@English@|@Georgian@
@abacuses@|@საანგარიშოები@
@abaft@|@უკან, უკან@
@abandon@|@ბუნებრიობა, მიტოვება, ძალდაუტანებლობა@
@abandoned@|@მიატოვა, მიტოვებული@
@abandons@|@ატოვებს@
@abase@|@დამცირება, დაქვეითება@
@abased@|@დაამცირა, დააქვეითა@
@abasement@|@დამცირება, დაქვეითება@
@abases@|@ამცირებს, აქვეითებს@
@abash@|@შეცბუნება@
@abashed@|@შეაცბუნა@
@abashes@|@აცბუნებს@
@abate@|@შემცირება, შესუსტება@
@abated@|@შეამცირა, შეასუსტა@
@abatement@|@შემცირება, შესუსტება@
@abates@|@ამცირებს, ასუსტებს@
@abattoir@|@სასაკლაო@
@abattoirs@|@სასაკლაოები@
@abbess@|@მონასტრის იღუმენია@
@abbesses@|@მონასტრის იღუმენიები@
@abbey@|@სააბატო@
@abbeys@|@სააბატოები@
@abbot@|@აბატი@
@abbots@|@აბატები@
@abbreviate@|@შეკვეცა@
@abbreviated@|@შეკვეცა, შეკვეცილი@
@abbreviates@|@კვეცავს@
@abbreviation@|@აბრევიატურა@
@abbreviations@|@აბრევიატურები@
@abdicate@|@უარის თქმა@
@abdicated@|@უარი თქვა, უარყოფილი@
@abdicates@|@უარს ამბობს@
@abdomen@|@მუცლის ღრუ@
@abdominal@|@მუცლის ღრუსი@
@abduct@|@გატაცება, მოტაცება@
@abducted@|@გაიტაცა, გატაცებული@
@abduction@|@გატაცება@
@abductions@|@გატაცებები@
@abducts@|@იტაცებს@
@Abe@|@აბელი@
@abeam@|@ტრავერსზე@
@abed@|@ლოგინში@
@Aberdeen@|@აბერდინი@
@aberrant@|@გზასაცდენილი@
@aberration@|@გზასაცდენა@
@abet@|@წაქეზება@
@abets@|@აქეზებს@
@abetted@|@წააქეზა@
@abeyance@|@გაურკვევლობა@
@abhor@|@სიძულვილის ქონა@
@abhorred@|@მოძულებული, სძულდა, შეძულებული@
@abhorrence@|@სიძულვილი@
@abhorrent@|@საძულველი@
@abhors@|@სძულს@
@abide@|@უერთგულო@
@abided@|@უერთგულა@
