@Italian (Theology)@|@English@
@aggiunta@|@(f- l')- addition, assistant@
@aggradare@|@to like, to please (ex:  se t'aggrada = if you like, if it pleases you)@
@aggrapparsi@|@to cling to, to grasp@
@aggredire@|@(isc verb)- to attack @
@aggregato@|@(m- l')- aggregate, cluster, set, (adj.)- associated, united, temporarily attached (past part. of aggregare)@
@aggregazione@|@(f- l')- aggregation, union, collection@
@agio@|@(m- l')- ease, comfort, leisure, wealth, opportunity, chance, clearance, gap@
@agire@|@(isc verb)- to act@
@ago@|@(m- l')- needle@
@agonistico@|@competitive, aggressive, athletic@
@agricola@|@agricultural@
@al confronto@|@in comparison, by comparison@
@al contrario@|@on the contrary, backwards, in reverse order, inside out, upside down (anzi- invece)@
@al cospetto di@|@in the presence of, before, in front of@
@al di là@|@beyond, on the other side@
@al di sopra di@|@above, over, beyond@
@al fine di@|@in order to@
@al pari di@|@in the same way as, just as, as…as@
@al quale@|@in which (in cui)@
@ala@|@(f- l')- wing@
@alba@|@(f- l')- dawn, daybreak, beginning@
@alcunchè@|@something, nothing, anything (qualcosa)@
@alfine@|@at last, eventually, in the end (alla fine)@
@alimentare@|@(m- l')- food, (verb)- to feed, to nourish, to supply, to furnish, to increase, to bolster, to add fuel to, (adj.)- food, dietary, alimony, maintenance@
@alito@|@(m- l')- breath, breeze@
@alla fine@|@at the end, in the end, eventually, at last (alfine)@
@alla rovescia@|@upside down, inside out, backwards, the wrong way, badly (a rovescio)@
@allagare@|@to flood, to inundate, to spread all over@
@allargare@|@to extend, to spread, to widen, to enlarge, to increase (diffondere- espandere- spandere- spargere)@
@allargata@|@stretching, widening, letting out@
@allattare@|@to nurse, to suckle, to nourish@
@alleanza@|@(f- l')- covenant, alliance@
@allegare@|@to allege, to plead, to produce, to present, to offer, to enclose, to attach@
@allentare@|@to loosen, to unloosen, to release, to slacken, to slow down, to relax@
@alleviare@|@to relieve, to alleviate, to ease, to mitigate (attenuare- attutire)@
@allievo@|@(m- l')- student, pupil, apprentice@
@all'impronta@|@immediately, at once@
@all'interno di@|@inside, within the context@
@alloggiare@|@to accommodate, to lodge, to house, to stay@
@allontanamento@|@(m- l')- separation, parting, departure, estrangement, alienation, deviation, dismissal, removal, sending away@
@allontanare@|@to move or push away, to remove, to avert, to repel, to keep at a distance, to estrange, to alienate@
@allontanarsi@|@to depart, to go away, to leave, to distance oneself, to move back, to stray, to deviate (recrip.)- to grow apart, to become estranged@
@allora@|@therefore, so (così- dunque- per cui- perciò- pertanto- quindi- sicchè), then, at that time, well, right, now then @
@allorché@|@when (quando- allorquando)@
@allorquando@|@when (quando- allorché)@
@alludere@|@to allude, to refer to, to hint (riferirsi)@
@almeno@|@at least@
@alquanto@|@rather, somewhat, a little, a bit, some, several@
@altare@|@(m- l')- altar@
@alterità@|@(f- l')- otherness, alterity@
@altezzoso@|@haughty, arrogant@
@altresì@|@also, too, likewise@
@altrettanto@|@as much, as many, the same@
@altrimenti@|@otherwise, or else@
@altro@|@other, another, further, different, else@
@altrove@|@elsewhere@
@altrui@|@someone else's, other people's@
@amarezza@|@(f- l')- bitterness, sadness, bitter taste, (pl.)- troubles (guai), sorrows, disappointments, griefs@
@amaro@|@bitter@
@ambasciata@|@(f- l')- embassy, message@
@ambedue@|@both@
@ambientazione@|@(f- l')- setting, background (ambiente- fondo- sfondo)@
@ambiente@|@(m- l')- background, environment, habitat, atmosphere, ambience, room, circle, sphere (ambientazione- fondo- sfondo)@
@ambito@|@(m- l')- scope, extent, range, field, circle (portata- sfera), (adj.) -sought-after, longed-for, coveted@
@ambone@|@(m- l')- ambo@
@ammettere@|@to admit, to grant, to allow, to concede (accedere- accettare- acconsentire- aderire- assentire- concedere- consentire)@
@ammonimento@|@(m- l')- admonishment, warning (avvertenza- avvertimento- avviso- monito- richiamo), caution, advice, admonition, rebuke, reprimand, lesson@
@amoroso@|@(m- l')- fiancé, boyfriend, (f- l')- girlfriend, (adj.)- love, loving, kindly, affectionate@
@ampiamente@|@amply, fully, extensively, at great length, widely@
@ampiezza@|@(f- l')- width, breadth, vastness, broadness, fulness, extent, magnitude, range@
@ampio@|@ample, wide, roomy@
@ampliamento@|@(m- l')- amplification, enlargement, expansion, development, addition, extension@
@anafora@|@(f- l')- anaphora (a literary device in which there is a repetition of a word or words at the beginning of each phrase- paragraph- etc. in order to emphasize a particular theme or message)@
@ancella@|@(f- l')- maidservant, maid@
@anche@|@also, too, even, still@
@ancora@|@still, yet, again (tuttora)@
@angoscia@|@(f- l')- anguish, distress, anxiety@
@angoscioso@|@distressing, painful, anguished@
@anima@|@(f- l')- soul@
@animo@|@(m- l')- mind, heart, thoughts, intentions, character, disposition@
@annata@|@(f- l')- year, crop, vintage, volume@
@ansioso@|@anxious@
@antecedente@|@antecedent, previous, prior, preceeding@
@antenato@|@(m- l')- ancestor, forefather@
@antipatia@|@(f- l')- antipathy, dislike, aversion@
@antitesi@|@(f- l')- anthesis, contrast@
@anzi@|@on the contrary, in fact, rather, better still, actually (al contrario- invece)@
@anziano@|@(m- l')- elder, (adj.)- elderly, senior@
@anzichè@|@rather than, instead of@
@anzidetto@|@above mentioned, aforesaid@
@anzitutto@|@first of all, first and foremost, primarily@
@apertamente@|@openly, plainly, frankly@
@apertura@|@(f- l')- opening, openness, broadmindedness, willingness, @
@apostata@|@(m or f- l')- apostate @
@appagabile@|@satisfiable, gratifiable@
@appagamento@|@(m- l')- satisfaction, contentment, gratification@
@appagare@|@to satisfy, to gratify@
@appagarsi di@|@to be content with@
@appaiare@|@to pair, to match@
@apparecchiare@|@to prepare, to make ready (approntare), to dress@
@apparentamento@|@(m- l')- kinship, relationship, alliance, connection@
@apparentemente@|@seemingly, on the face of it@
@apparenza@|@(f- l')- appearance, exterior, look@
@apparire@|@to appear, to seem, to look (parere)@
@appariscente@|@striking, showy, ostentatious, conspicuous@
@appartare@|@to set aside@
@appartarsi@|@to withdraw, to retire, to seclude oneself@
@appartenere@|@to belong, to pertain@
@appello@|@(m- l')- appeal, roll call@
@appena@|@hardly, scarsley, just, only@
@appoggiare@|@to lean, to prop, to support, to back, to side with, to sponsor, to base, to be based, to be founded, to rest, to stand@
@appoggiarsi@|@to lean on or against, to rely on, to depend on@
@appoggio@|@(m- l')- support, assistance, backing@
@apportare@|@to bring, to cause, to cite@
@apporto@|@(m- l')- contribution, input, supply, bringing@
@appositamente@|@on purpose, deliberately (apposta), appropriately, suitably @
@appositivo@|@in apposition (in grammar:  when a noun or pronoun is followed by another one which explains it), completing, complementing@
@apposito@|@special, suitable, fitting, proper@
@apposta@|@on purpose, intentionally, deliberately (appositamente)@
@appostare@|@to post, to position, to hide, to lie in wait for@
@apprendere@|@to learn, to grasp, to comprehend (imparare)@
@appresso@|@near, nearby, close, behind, after, later, following, next, along, with@
@apprezzamento@|@(m- l')- appreciation, estimation, valuation, opinion, judgment@
@apprezzare@|@to appreciate@
@approccio@|@(m- l')- approach@
@approdare@|@to come to, to lead to, to achieve something, to succeed (riuscire), to land, to dock@
@approfittare@|@to profit, to benefit, to gain, to take advantage of, to impose upon@
@approfondire@|@(isc verb)- to study in depth, to analyze thoroughly, to deepen @
@approntare@|@to prepare, to make ready (apparecchiare)@
@appropriarsi@|@to take possession of, to embezzle, to misappropriate, to usurp@
@appropriato@|@appropriate, suitable, convenient (past part. of appropriarsi)@
@approvazione@|@(f- l')- approval, acceptance, agreement@
@appunto@|@(m- l')- note, remark, comment, criticism, reprimand, (adv.)- exactly, precisely@
@arbitrio@|@(m- l')- will, judgment, discretion, liberty, licence, abuse, arbitrary act@
@ardere@|@to burn, to be on fire, to scorch, to rage@
@argento@|@(m- l')- silver@
@argomentare@|@(m- l')- reasoning, (verb)- to infer, to deduce, to argue, to reason@
@argomentativo@|@argumentative, by topic, by theme@
@argomentazione@|@(f- l')- reasoning, argumentation@
@argomento@|@(m- l') - argument, subject matter, topic, proof, summary, occasion@
@arma@|@(f- l')- weapon, arm, force@
@arraffare@|@to grasp, to seize, to catch, to steal@
@arrangiare@|@to arrange, to settle, to sort out, to adapt, to fix@
@arrangiarsi@|@to manage, to make due, to cope, to settle, to come to an agreement, to make oneself comfortable@
@arricchimento@|@(m- l')- enrichment@
@arruffare@|@to ruffle, to tangle, to muddle up@
@artefice@|@(m or f- l')- creator, author, craftsman@
@ascendere@|@to ascend@
@ascesa@|@(f- l')- ascent, ascension, rise@
@asceta@|@(m- l')- ascetic@
@asciutto@|@(m- l')- dry ground, (adj.)- dry, abrupt, terse, curt, (adv.)- curtly, tersely@
@ascondere@|@to hide (celare- nascondere- ricoprire)@
@aspettativa@|@(f- l')- waiting, hope, expectation@
@assaggiare@|@to taste, to sample, to test@
@assai@|@a lot of, much, enough@
@assediare@|@to lay siege to, to block, to surround, to pester@
@assediato@|@beseiged, tormented, beset@
@assegnato@|@allotted, assigned, unpaid (past part. of assegnare)@
@assembrarsi@|@to assemble, to meet, to gather (convenire- radunarsi)@
@assenso@|@(m- l')- assent, approval, consent, agreement@
@assentarsi@|@to leave, to go away, to absent oneself@
@assente@|@(m or f- l')- absentee, the deceased or departed, (adj.)- absent, absent-minded, distant@
@assentire@|@(isc verb)- to assent, to consent, to approve, to agree (accedere- accettare- acconsentire- aderire- ammettere- concedere- consentire)@
@asserire@|@(isc verb)- to assert, to affirm, to claim @
@asservire@|@to enslave, to subdue, to subjugate (assoggettare- sottomettere- sottoporre)@
@assetto@|@(m- l')- order, structure@
@assieme@|@(m- l')- whole, totality, unity, set, combination, ensemble, (adv.)- together, jointly, at the same time (insieme)@
@assioma@|@(m- l')- axiom@
@associabilità@|@(f- la)- associability, compatability@
@associare@|@to associate, to combine, to join@
@assodare@|@to ascertain, to find out, to strengthen, to consolidate@
@assoggettare@|@to subject, to subjugate, to subdue, to submit (asservire- sottomettere- sottoporre)@
@assoggettarsi@|@to submit@
@assolvere@|@to absolve, to pardon, to exonerate, to acquit, to release, to discharge, to perform@
@assomiglianza@|@(f- l')- resemblance, similarity, likeness (rassomiglianza- somiglianza)@
@assomigliare@|@to resemble, to look like, to be like, to be similar to, to compare, to liken (rassomigliare- somigliare)@
@assommare@|@to add, to amount to@
@assorbire@|@to absorb, to assimilate, to use up, to take up@
@assumere@|@to assume, to take upon oneself@
@assunto@|@(m- l')- task, undertaking (impegno- impresa- incarico), assumption, employee@
@ateismo@|@(m- l')- atheism@
@ateo@|@(m- l')- atheist, (adj)- atheistic@
@attaccamento@|@(m- l')- attachment, affection@
@attaccare@|@to attach, to fasten, to adhere, to attack@
@atteggiamento@|@(m- l')- attitude, manner, behavior, position, stance (attitudine- atto)@
@attendere@|@to attend to, to look after, to devote oneself to, to wait for@
@attendibile@|@reliable, trustworthy, dependable@
@attendibilità@|@(f- l')- reliability, credibility, trustworthiness@
@attenere@|@to keep, to maintain, to concern, to regard@
@attenersi@|@to cling, to hold, to keep, to follow, to conform@
@attenuare@|@to attenuate, to lessen, to ease, to alleviate, to mitigate (alleviare- attutire)@
@attenuazione@|@(f- l')- minimization, mitigation, lessening@
@attesa@|@(f- l')- waiting, expectation, hope@
@atteso@|@awaited, expected, longed for@
@attestato@|@(m- l')- proof, token, certificate, testimonial, reference@
@attestazione@|@(f- l')- attestation, statement, declaration, testimonial, sign, token@
@attimino@|@(m- l')- little moment@
@attimo@|@(m- l')- moment@
@attingere@|@to draw, to get, to obtain (ottenere- trarre- ricavare), to reach, to attain (raggiungere)@
@attirare@|@to draw, to attract (attrarre- tirare- trarre)@
@attitudine@|@(f- l')- attitude, position, posture (atteggiamento- atto), gift, ability, aptitude@
@attivo@|@active, working, operating, energetic, lively@
@atto @|@(m- l') - act, action, deed, attitude (atteggiamento- attitudine), gesture, mark, sign, (adj.)- suitable, capable, able@
@attorno a@|@about, around, round@
@attraente@|@attractive, fascinating, interesting@
@attrarre@|@to attract, to draw (attirare- tirare- trarre)@
@attraversare@|@to cross, to pass through, to thwart@
@attraverso @|@through, across@
@attrito@|@(m- l')- attrition, friction, dissention@
@attualizzazione@|@(f- l')- topical presentation, bringing up-to-date@
@attuare@|@to carry out, to implement, to effect@
@attuarsi@|@to come true, to be realized, to be fulfilled, to come to pass@
@attuazione@|@(f- l')- actualization, carrying out, realization, fulfillment@
@attutire@|@(isc verb)- to ease, to reduce, to lessen, to soften (alleviare- attenuare)@
@attutirsi@|@(isc verb)- to calm down, to lessen, to become muffled@
@augurare@|@to wish, to hope@
@aumento@|@(m- l')- increase, augmentation, addition, rise, extension@
@aureo@|@gold, golden, superb, excellent, precious@
@ausilio@|@(m- l')- assistance, aid, help@
@autorevole@|@authoritative, influential@
@autorizzare@|@to authorize@
@avanti@|@before, ahead, forward, come in@
@avarizia@|@(f- l')- avarice (brama- cupidigia- gola- ingordigia), stinginess, meanness@
@avere@|@(m- l')- property, possession, riches, wealth, (verb)- to have@
@avere in cantiere@|@to be preparing something, to have something going@
@avveduto@|@shrewd, clever, wise, prudent, wary, cautious, careful @
@avvenimento@|@(m- l')- event@
@avvenire@|@(m- l')- future, (pl.)- prospects, (verb)- to happen, to occur, to take place (accadere- capitare- occorrere- ricorrere- succedere- svolgersi- verificarsi)@
@avvento@|@(m- l')- Advent, coming, arrival, appearance, accession (ex: avvento al trono = accession to the throne)@
@avventura@|@(f- l')- adventure@
@avverarsi@|@to come true, to be realized@
@avversario@|@(m- l')- opponent, adversary, (adj.)- contrary, opposing, hostile@
@avvertenza@|@(f- l')- warning (avvertimento- avviso- ammonimento- monito- richiamo), notice, note, precaution, caution, prudence, attention, care, (pl.) - directions@
@avvertimento@|@(m- l')- notice, remark, warning (avvertenza- avviso- ammonimento- monito- richiamo), advice@
@avvertire@|@to notice, to observe, to warn, to caution, to inform@
@avviare@|@to begin, to set in motion, to guide, to direct, to help@
@avviarsi@|@to set out, to go out to@
@avvicendare@|@to alternate, to rotate@
@avvicinamento@|@(m- l')- approach@
@avvicinarsi@|@to get close or near to@
@avvincente@|@fascinating, captivating, engaging, charming@
@avviso@|@(m- l')- warning (avvertenza- avvertimento- ammonimento- monito- richiamo), notice, announcement, advice, opinion, view@
@azzardo@|@(m- l')- hazard, risk, peril, danger@
@badia@|@(f- la)- abbey@
@balia@|@(f- la)- power, authority (potere- potestà), wet nurse (nutrice)@
@balzo@|@(m- il)- jump, leap, cliff, ledge, band, stripe@
@banchetto@|@(m- il)- banquet, feast (convito)@
@banco@|@(m- il)- pew, seat, counter, bank@
@bara@|@(f- la)- coffin@
@basare@|@to base@
@basarsi su@|@to be based on, to rest on (poggiare su)@
@base@|@(f- la)- basis, foundation, base@
@basilare@|@basic, fundamental@
@basso@|@(m- il)- lower part, bottom, (adj.)- low, short, shallow, soft, faint, dim, lower, inferior, base, mean, vile, late (ex:  il Basso Medioevo = the Late Middle Ages)@
@bastone@|@(m- il)- staff, stick@
@battere@|@to beat, to hit, to defeat, to overcome@
@battuta@|@(f- la)- wisecrack, comment, speech, beating, beat, line, bar, measure@
@battuto@|@beaten, struck, defeated (past part. of battere)@
@ben presto@|@soon@
@ben provvisto@|@well-off, wealthy (benestante)@
@benchè@|@however, although, though (comunque- nondimento- per quanto- peraltro- pure- tuttavia)@
@benedicite@|@(m- il)- grace @
@beneplacito@|@(m- il)- consent, approval, will@
@benestante@|@well-off (ben provvisto)@
@beninteso@|@of course, naturally (certo- magari- senz'altro)@
@bensì@|@but, rather, indeed@
@bestemmia@|@(f- la)- blasphemy, curse, nonsense, absurdity@
@bilancia@|@(f- la)- balance, scale@
@binario@|@(m- il)- track, line@
@binomio@|@(m- il)- binomial, couple, pair@
@bisognoso@|@(m- il)- needy or poor person, (adj.)- needy, poor, in need@
@bloccare@|@to block, to blockade, to stop@
@blocco@|@(m- il)- block, blockade, stoppage, standstill, halt@
@bocciare@|@to reject, to turn down (disprezzare- respingere- rigettare- ripudiare), to fail, to hit@
@boia@|@(m- il)- executioner, murderer@
@bolla@|@(f- la)- bull (Papal), bill, note, seal, blister, bubble@
@bollire@|@to boil, to feel hot@
@bontà@|@(f- la)- goodness, kindness, wholesomeness, excellence@
@bozza@|@(f- la)- rough draft, proof@
@braccio@|@(m- il)- arm, (f- pl. = braccia)- hands, labor, laborers @
@brace@|@(f- le)- embers, live charcoal (bracia)@
@bracia@|@(f- le)- embers, live charcoal (brace)@
@brama@|@(f- la)- longing, craving, lust (brama- voglia), greed (avarizia- cupidigia- gola- ingordigia)@
@bramare@|@to long for, to crave, to desire, to yearn for@
@bramoso@|@longing for, eager for, greedy@
@brano@|@(m- il)- passage, piece@
@breccia@|@(f- la)- breach, gap, crushed stone@
@bronzo@|@(m- il)- bronze@
@bruciare@|@to burn@
@bruscamente@|@brusquely, roughly, rudely, bluntly@
@bugia@|@(f- la)- lie, falsehood (menzogna), candlestick@
@buio@|@(m- il)- dark, darkness, nightfall, (adj.) - dark@
@buttare@|@to throw, to cast, to waste, to become, to bud, to sprout@
@cacciare@|@to expel, to drive out@
@cadavere@|@(m- il)- corpse, dead body, ghost, skeleton (salma)@
@cadere@|@to fall, to drop, to crash (cascare) @
@caducità@|@(f- la)- perishableness, frailty, lapse@
@caduco@|@short-lived, fleeting, transient, perishable, frail@
@calata@|@(f- la)- fall, drop, descent, invasion@
@caligine@|@(f- la)- haze, fog, mist, darkness, dimness@
@calunnia@|@(f- la)- calumny, lie, slander, defamation, false accusation@
@calvario@|@(m- il)- ordeal, trial, calvary (ordalia- prova)@
@cammino@|@(m- il)- way, journey, route, path, progress (percorso- tragitto)@
@campagna@|@(f- la)- country, country-side, land, property, campaign@
@campana@|@(f- la)- bell@
@campanella@|@(f- la)- small bell@
@cancelleria@|@(f- la)- chancery@
@canonica@|@(f- la)- rectory (presbiterio- pievania)@
@canonico@|@canonical, prescribed, legitimate@
@canto@|@(m- il)- song, chant, singing, lyric poem, corner, side@
@capacità@|@(f- la)- capacity, capability, ability, skill@
@caparra@|@(f- la)- deposit, down-payment, pledge@
@capello@|@(m- il)- hair@
@capitare@|@to happen, to occur (accadere- avvenire- occorrere- ricorrere- succedere- svolgersi- verificarsi), to come to, to arrive at@
@capitolo@|@(m- il)- chapter, article, paragraph@
@capolavoro@|@(m- il)- masterpiece, classic, work of a genius@
@capoluogo@|@(m- il)- capital, chief town@
@capottare@|@to overturn (capovolgere- ribaltare- rovesciare)@
@capovolgere@|@to overturn, to turn upside down, to invert, to reverse (capottare- ribaltare- rovesciare)@
@cappellano@|@(m- il)- chaplain@
@cappello@|@(m- il)- hat, head, cover, introduction, preamble@
@capriccio@|@(m- il)- whim, fancy@
@carente@|@deficient, lacking in@
@carenza@|@(f- la)- lack, want, deficiency, shortage, scarcity, shortcoming@
@carica@|@(f- la)- charge (electrical or of arms), drive, impetus, boost, power, energy, office, appointment, position;@
@caricare@|@to load, to fill, to charge@
@caricarsi@|@to overburden onself with, to psych oneself up for@
@carico@|@(m- il)- load, weight, burden, (adj)- burdened, weighed down, loaded, charged@
@carie@|@(f- la)- decay, rot@
@carità@|@(f- la)- charity, love, mercy, alms@
@carriera@|@(f- la)- career@
@cascare@|@to fall, to drop, to tumble, to crash (cadere)@
@castamente@|@purely, chastely@
@castigare@|@to punish, to chastise, to discipline, to purify@
@casto@|@pure, chaste@
@catena@|@(f- la)- chain, bond, tie (vincolo), range, sequence, succession@
@catturare@|@to catch, to capture, to seize@
@causa@|@(f- la)- cause, reason, ground, motive@
@cautela@|@(f- la)- caution, cautiousness, prudence@
@cautelare@|@to protect, to secure, to safeguard, (adj.)- precautionary, protective@
@cautelarsi@|@to take precautions, to safeguard oneself@
@cavalleria@|@(f- la)- chivalry, gallantry, cavalry, generosity, fair play@
@cavare@|@to extract, to take out, to remove, to draw, to get@
@cecità@|@(f- la)- blindness@
@cedere@|@to give in, to yield, to surrender, to give way, to let someone have, to hand over, to transfer@
@celare@|@to conceal, to hide (ascondere- nascondere- ricoprire)@
@celato@|@hidden, concealed (coperto- nascosto), secret, dark (past part. of celare)@
@cenere@|@(f- la)- ash, cinder@
@cercare@|@to seek, to look for@
@cerchio@|@(m- il)- circle, ring@
@cerimoniale@|@(m- il)- ceremonial, etiquette, protocal, (adj.)- cerimonial, formal@
@certezza@|@(f- la)- certitude, certainty@
@certo@|@certainly, sure, of course (beninteso- magari- senz'altro), definite, certain, (indef. pron. pl.)- some, such@
@cervo@|@(m- il)- deer, stag, hind@
@cestello@|@(m- il)- basket@
@checché@|@whatever@
@chiacchierare@|@to chat, to gossip@
@chiarire@|@(isc verb)- to explain, to clarify@
@chiaro@|@clear, bright, light@
@chiedere l'elemosina@|@to beg@
@chierica@|@(f- la)- tonsure, bald patch@
@chierichetto@|@(m- il)- altar server@
@chierico@|@(m- il)- priest, seminarian- altar boy, scholar@
@chiostro@|@(m- il)- cloister@
@chissà@|@who knows, perhaps, maybe, possibly, I wonder@
@chiunque@|@whoever, whichever, anyone, anybody@
@chiusura@|@(f- la)- narrow-mindedness, closing, shutting, close, end, ending@
@ci vuole@|@it takes @
@ciascheduno@|@each, every, every one, each person (ciascuno)@
@ciascuno@|@each, every, every one, each person (ciascheduno)@
@cieco@|@(m- il)- blind man, (adj.)- blind@
@cifra@|@(f- la)- numeral, digit, figure, code, sum, amount, key feature, characteristic@
@cingere@|@to fasten or tie around, to gird, to surround@
@ciò@|@this, that, it@
@ciò che@|@what@
@cioè@|@that is, namely, I mean, or rather, at least (ossia)@
@ciononostante@|@nonetheless, nevertheless (malgrado- nondimento- nonostante- tuttavia)@
@circa@|@about, nearly, concerning, regarding@
@circolo@|@(m- il)- circle@
@circuito@|@(m- il)- circuit, route, course, track, loop@
@citare@|@to cite, to quote, to mention, to summon, to subpoena@
