@Haitian creole@|@English@
@abitue@|@to get s.o. accustomed; to get accustomed with@
@abitwe@|@to get s.o. accustomed; to get accustomed; habit@
@abitye@|@to get s.o. accustomed; to get accustomed; habit@
@abitye@|@cope, accustom, to be in the habit of, get used to@
@abiye@|@clothe, dress, to get dressed@
@abiyman@|@garment@
@abizan@|@abusive (person)@
@abize@|@to abuse, to take advantage of@
@abize@|@to abuse, take unfair advantage of@
@abizif@|@abusive, exaggerated@
@abjèk@|@abject@
@ablabla@|@to talk nonsense, trifle, babble@
@ablije@|@obligate@
@abò@|@aboard, on board, in or on a boat@
@abobo@|@vodou exclamation  don't use it@
@abobo@|@vodou expression, means amen, hallelujah@
@abòde@|@to come near, to approach@
@abòde@|@to come near, to approach, tackle, deal with@
@abòdjò@|@stupid, a stupid person@
@aboli@|@to supress, to abolish@
@abondan@|@bountiful, profuse, abundant@
@abondans la@|@abundance@
@abondans la@|@abundance, wealthy@
@abondone@|@give up@
@abòne@|@to subscribe (newspaper, goods, etc)@
@abòne@|@subscribe, subscriber, regular@
@abònen@|@to subscribe to anything that is delivered regular@
@abònen@|@to subscribe (newspaper, etc or products)@
@abònman an@|@subscription (anything delivered regularly)@
@abònman an@|@subscription, anything that is delivered regularly@
@abonocho@|@swear word  I renounce you, satan@
@abonocho@|@to damn someone, to renounse s o as satan@
@abonotcho@|@to damn someone, renounce so as satan@
@abonotcho@|@swear word I renounce you, satan@
@abou@|@parable@
@abou@|@to speak in parables@
@abou@|@at the very end, wit's end, end of patience@
@abou@|@at the very end, at my wits end, end of patience@
@aboupòtan@|@at close range, point-blank@
@aboupòtan@|@at close range, point blank@
@abouti@|@to result in, to succeed, to mature, ripen, arrive@
@abouti 2@|@to reach, end up@
@aboutisman@|@outcome, result@
@abrazif@|@abrasive@
@abrazyon@|@abrasion@
@abreje@|@to help, to be of assistance, to abbreviate@
@abreje@|@to help, to be of assistance@
@abrejman an@|@help, assistance@
@abrejman an@|@Help, assistance@
@abri a@|@shelter@
@abriko@|@amber, apricot@
@abrip@|@steep@
@absan@|@absent, away; absent minded@
@absan@|@absent, away, absent minded@
@absans@|@absence@
@absè@|@abscess@
@abse a@|@abscess@
@abse a abouti@|@The boil is ready to pop.@
@absent la@|@a type of beverage@
@absent la@|@absinthe (a plant); type of beverage@
@absòbe@|@absorb@
@absoli@|@absolute@
@absoliman@|@absolutely@
@absoud@|@absolve@
@absteni@|@to abstain, to abstain from@
@abstrè@|@abstract@
@abstrenn@|@abstain@
@abwa a@|@tip@
@abwenotcho@|@swear word - I renounce you, satan@
@abwenotcho@|@to damn someone, to renounse s o as satan@
@abyè@|@dressed@
@acèti@|@warn@
@acha@|@purchase, buy@
@achalandaj@|@clientele@
@achalande@|@well supplied@
@achemine@|@route@
@acheval@|@captious@
@achevèk@|@Archbishop@
@achitèk la@|@Architect@
@achitekti@|@Architecture@
@achiv la@|@archives@
@achtafè a@|@a busybody@
@achte@|@shop, buy@
@achtè a@|@buyer@
@achte afè a@|@busybody@
@achte bon mache@|@to buy cheap@
@achte chat nan makout@|@to buy a pig in a poke@
@achte chat nan sak@|@to buy a pig in a poke@
@achte dèyè@|@to flatter@
@achte figi@|@to flatter, to buy ones face@
@achte trò chè@|@to overpay@
@achtèdfigi@|@flatterer@
@adapte@|@to adapt@
@adefo@|@in the absence of@
@adezif la@|@adhesive tape@
@adibitòm@|@in great quantity, as much as you with@
@adibitòm 2@|@to your hearts content@
@adiltè a@|@adultery@
@adipopo a@|@misfortune, something that makes you lie & wait@
@adipopo a@|@magical trap, a problem without a solution@
@adipopo a 3@|@evil ways, something you can not get rid of@
@adistans (adj)@|@remote@
@adisyon an@|@addition@
@adisyonnen@|@to add@
@adjahountò a@|@largest of the drums of the rada rite@
@adje@|@fairwell, greetings, adieu@
@adjewidan@|@what a shame, o god@
@adjipopo a@|@misfortune, something that makes you lie & wait@
@adjipopo a 2@|@magical trap, a problem without a solution@
@adjipopo a 3@|@evil ways, something you can not get rid of@
@adjo@|@fairwell@
@adjountò a@|@largest of the drums of the rada rite@
@adjovat@|@it is finished, that is the end of it, good bye@
@adjwen an@|@assistant, aid@
@adlibitòm@|@in great quantity, as much as you wish@
@adlibitòm 2@|@to your hearts content@
@admèt@|@to admit, to acknowledge, to concede, to tolerate@
@admeton (ke)@|@let us assume that, let us suppose that@
@administratè@|@administrator@
@administre@|@to administer, to manage, to govern@
@admirasyon an@|@admiration@
@admire@|@to admire@
@adokte@|@to adopt@
@adonnen@|@to become addicted, give yourself over completely@
@adonnen 2@|@to devote oneself to@
@adopte@|@to adopt@
@adorasyon an@|@adoration (church term)@
@adore@|@to worship, to adore@
@adrès la@|@address (of a house)@
@adrese@|@to address, to speak to, to turn (to)@
@advantis la@|@Adventist@
@adwat@|@right (direction), to the right@
@adwat agòch@|@in all directions@
@adwatman@|@with tact@
@adwaz la@|@slate@
@adye@|@alas, my lord, for heavens sake@
@adye 2@|@fairwell, greetings, adieu@
@adye bondye@|@good god, what a pity@
@adyewidan@|@what a shame, oh god@
@adyo@|@fairwell@
@adyova@|@it is finished, that is the end of it, good bye@
@adyovat@|@it is finished, that is the end of it, good bye@
@aere@|@ventilated@
@aeropò@|@air port@
@af m pa bon@|@I am broke.@
@afab@|@affable, bland@
@afè a@|@business, matter, affair, baggage, belongings@
@afè a 2@|@genitals@
@afeksyon an@|@affection@
@afekte@|@affect@
@afèmaj la@|@renting, leasing, letting by contract house, farm@
@afèmay la@|@renting, leasing, letting by contract house, farm@
@afèmen@|@to lease@
@afere@|@busy@
@afese@|@depressed, down@
@afiba a@|@local food consisting of meat, small strips o pork@
@afiba a 2@|@worthless person or thing@
@afich la@|@poster@
@afiche@|@to affix, to post, to hang up in public@
@afiche 2@|@to make a show of, to speak evil of, defame@
@afiche avèk@|@to appear in public with@
@afime@|@affirm@
@afòs@|@because of, as a result of, by dint of@
@afre@|@ravenous, gluttonous@
@afre 2@|@one who devours or grabs large amts of food@
@afreman an@|@gluttony@
@Afrik@|@Africa@
@afro@|@popular dance, hairstyle@
@afron@|@affront, offense@
@afronte@|@affront@
@afwa@|@faith@
@afwonte@|@face@
@afyo a@|@net grass, coco grass, a potato like vegetable@
@aganman an@|@chameleon@
@agante@|@to seduce, to charm, attract@
@agasan@|@irritating, annoying@
@agase@|@enrage, to incite, needle, tease, irritate@
@agase 2@|@to get on someones nerves@
@agi ak@|@to treat, to handle@
@agida a@|@drumstick@
@agiman an@|@contention, argument, thesis@
@ago@|@exclamation denoting joy, consent, approval@
@agoch@|@to the left, on the left, awkward, clumsy@
@agòch@|@to the left, on the left, awkward, clumsy@
@agogo@|@plentiful@
@agoni@|@to be in the agonies of death@
@agoni an@|@agony@
@agonni an@|@agony@
@agonyon an@|@old bachelor or spinster@
@agraf@|@clasp, hook, clamp, fastener for garments@
@agrandi@|@to enlarge, to widen@
@agrandisman an@|@enlargement@
@agrandlijèn@|@in large quantity, in abundance@
@agranlijyèn@|@in large quantity, in abundance@
@agranman an@|@chameleon@
@agrave@|@to make worse, aggravate, to become more serious@
@agrave 2@|@to become more serious@
@agresif@|@agressive@
@agreyab@|@agreeable, nice, lovely, pleasing, pleasant@
@agreye@|@to polish, to adjust, to shape wood@
@agrikiltè a@|@farmer@
@agrikilti a@|@farming, agriculture@
@agrikòl@|@agricultural@
@agronòm nan@|@agronomist, agriculturalist@
@agwe@|@vodou deity@
@agwonnòm nan@|@agronomist, agriculturalist@
@ah@|@exclamation showing admiration, approval, surprise@
@aha@|@so@
@Aiysyen@|@Haitian@
@ajamè@|@forever@
@ajan@|@silver@
@ajans la@|@agency@
@aje@|@old@
@ajenou@|@kneeling@
@ajenouye@|@to kneel@
@aji@|@to act, acted, acting, deal, acts@
@aji ak@|@to treat, to handle@
@aji sou@|@to affect@
@ajil@|@nimble, clay, agile, deft@
@ajisman an@|@act, action, behavior, deed@
@ajiste@|@to adjust, to fit@
@ajitasyon an@|@excitement, agitation@
@ajite@|@restless@
@ajou@|@up-to-date, ready@
@ajoupa a@|@a country hut, a one room straw hut@
@ajoute@|@append, to add, to add on@
@ak@|@and, with, from, to, as, out of, like, for, in, of@
@ak apeti@|@with appetite, heartily@
@ak dekwa@|@for good reason@
@ak dlo nan je l@|@with tears in her eyes@
@ak la@|@act, action, activity@
@ak la 2@|@certificate, deed, legal document, act@
@ak pridans@|@cautiously@
@ak tout@|@in spite of, with all, although, even though@
@ak1o@|@couvenant@
@akable@|@to blame@
@akajou@|@mahogany@
@akapare@|@to grab, to take possession of@
@akaryat@|@grouchy, grumpy, fussy@
@akasan an@|@a very thivk beverage made with ground corn@
@akasya@|@acacia tree@
@ake@|@with, from, to, and@
@akeri (v)@|@gain@
@akèy la@|@reception, welcome@
@akeyi@|@To receive.@
@akeyi@|@to receive@
@aki a@|@edible vegetable must be cooked@
@akizasyon@|@accusation@
@akizatè@|@accuser@
@akize@|@to indict, to accuse@
@akize a@|@defendant@
@aklè@|@evident, obvious, openly, evidently, obviously@
@akò a@|@agreement, accord@
@akòde@|@to grant, to accord, to tune an instrument@
@akòdeyon an@|@accordion@
@akokiye@|@to curl up, cringe from fear or shyness@
@akokiye 2@|@to cuddle up, to crouch, used for persons only@
@akòkò@|@troublesome, bothersome, incurable thing@
@akòkò 2@|@you can't get rid of it@
@akoma a@|@one of the grandest trees in the Antilles@
@akondisyon@|@on condition that@
@akonpanye@|@to accompany, to escort@
@akonpanyen@|@to accompany, to escort@
@akonpli@|@to fulfill, execute, accomplish@
@akonplisman@|@achievement, accomplishment@
@akoste@|@to approach, to come along the side of@
@akote@|@beside, near, aside, alongside, in comparison with@
@akouche@|@to give birth, to deliver a child@
@akouchèz@|@midwife@
@akouchman an@|@childbirth, labor, delivery@
@akoukouman@|@crouch, crouched@
@akoupi@|@to crouch down, squat on ones feet@
@akouple@|@inbreed, mate@
@akòz@|@because of, owing to@
@akoz de@|@because of, as a result of, as a consequence@
@akra a@|@Malanga@
@akrèk@|@avaricious, greedy, said of a greedy person@
@akrekre a@|@insignificant person, loose woman@
@akro a@|@rip, tear@
@akrobat la@|@acrobat@
@akrochay la@|@conflict, argument, fight@
@aks@|@axe, axis@
@aksè@|@approach@
@akseleratè a@|@accelerator@
@akselere@|@to speed up, accelerate@
@akseptab@|@satisfactory, acceptable@
@aksepte@|@to accept, admit, tolerate@
@aksidan an@|@accident@
@aksidantèl@|@casual@
@akstrèm@|@extreme@
@aksyon@|@deed, action, act, audacity, unexpected event@
@aksyon an@|@unexpected event o fact arousing angry surprise@
@aksyondegras la@|@thanksgiving@
@aksyonè a@|@one who commits irresponsible acts, bad character@
@akt la@|@act, action, activity@
@akt la 2@|@certificate, deed, legal document, act@
@aktè a@|@actor@
@aktif@|@active@
@aktim kaporal@|@military grade close to corporal@
@aktivite a@|@activity@
@aktout@|@in spite of, with all, although, even though@
@aktris la@|@actress@
@akwabon@|@exclamation meaning what is the use@
@akwe@|@to string animals together, mistreat s o harshly@
@akwe 2@|@to tie an animal in preparation for slaughter@
@akwentans la@|@suspicious, equivocal relationship@
@akwòkò@|@troublesome, bothersome, incurable thing@
@al@|@contracted form of ale, used only before a word@
@al 2@|@to die, to pass away, to defecate@
@al bannann@|@to be finished, be over with, to end badly, fail@
@al bwa chat@|@to die@
@al chèche granmoun ou@|@go fetch the person responsible for you@
@al fè afè ou@|@go finish your work, go away, go do your thing@
@al fe rout ou@|@get out of here!@
@al lekòl@|@go to school@
@al vote@|@to go to the polls@
@ala@|@What! what a! how! yet, however, as for@
@ala fredi@|@what cold weather@
@ala lapenn@|@how sad@
@ala ou okipe@|@You are really busy!@
@alabri@|@safe, sheltered@
@aladen an@|@idler, vagabond@
@aladriv@|@drifting@
@aladyann nan@|@offspring of a Haitian and a Dominican@
@alafen@|@finally@
@alafwa@|@simultanously, at a time@
@alagouj@|@vague, loose, haphazardly@
@alagouj@|@vague, loose@
@alam nan@|@alarm@
@alame@|@to scare, to worry s o, to alarm@
@alamen@|@by hand@
@alamòd@|@fashionable@
@alamyab@|@out of court, amiably@
@alanaj@|@swimming@
@alanbik la@|@alcohol still, heavy drinker@
@alantou@|@around, about@
@alantou a@|@vicinity, surroundings@
@alantre@|@at the entrance@
@alapis@|@stealthily, with muffed tread, on tiptoes, spylike@
@alapis la@|@sandal@
@alaplas@|@instead of@
@alaploum@|@fast, in a jiffy@
@alaronnbadè@|@without exception, all around@
@alaronyay@|@lurking, prowling@
@alatant@|@expect@
@alatèt la@|@the chief, the boss@
@alavni@|@to come in the future, future@
@alavòl@|@on the wing, in flight@
@alawonyay@|@lurking, prowling@
@albè@|@prank, pranks@
@albinòs la@|@albino@
@ale@|@to go away, to depart, to get away, to go off@
@ale 2@|@to die, to pass away, to defecate@
@alè 2@|@on time@
@ale a@|@roadway, alley@
@ale ak@|@to go with, to match@
@ale chèche@|@to fetch@
@alè ki le@|@finally@
@ale nan peye san chapo@|@to die@
@ale non@|@go on, you may go@
@ale ou voum@|@to the devil with you@
@Ale ou vouzan@|@exclamation meaning scram, go away, git@
@ale pi dousman@|@slow down@
@ale pou vini@|@vice versa@
@ale prese@|@to rush, to hurry@
@ale sèlman@|@one way ticket@
@ale vini@|@the comings and goings@
@ale wè pou@|@let alone, not to mention@
@aleche@|@lure@
@alegra@|@toward@
@alèjman an@|@breather@
@aleka@|@apart, by oneself, separate, separately@
@alekè@|@level, plum level, square@
@alèkile@|@presently, now, nowadays, thus, so@
@alekout@|@mete zòrèy alekout, to listen attentively@
@aleksiwa@|@breadfruit not completely ripe@
@alèlè@|@blah, blah@
@alelouya a@|@hallelujah@
@alelouya satan@|@retro satanas, go away@
@alemye@|@relief@
@alemye a@|@improvement@
@alèn@|@breath@
@alèn nan@|@awl@
@alenn nan@|@awl@
@alenterè@|@with interest@
@alèrending@|@at a late and inopportune hour@
@alès@|@to the east@
@aletèt@|@at the head of, in charge of@
@aletranje@|@abroad, in foreign countries@
@alevini@|@coming and going@
@alevouzan@|@scram, go away, beat it@
@aleya lavi a@|@hazard, perils, or risks of life@
@alèz@|@allies, comfortable, at ease, easily, leisurely@
@alfabèt la@|@alphabet@
@alfò a@|@neckbag, hunting bag used by peasants@
@alilin nan@|@aniline, oily water soluable liquid for dyes@
@alimante@|@power@
@alimèt@|@match, matches as in to light something@
@aliminyòm nan@|@aluminum@
@aliyen@|@range, to line up, to align@
@aliyman an@|@alignment@
@alizyon@|@allusion@
@aljèb@|@algebra@
@alkòl la@|@alcohol, alcoholic beverage@
@alman@|@German@
@almanak la@|@almanac, calendar@
@Almay@|@Germany@
@alo@|@Hello@
@alò@|@then, so, thus@
@alòke@|@while, whereas@
@alòmenm@|@even if, even when@
@alòs@|@thus, so then@
@alòske@|@while whereas@
@aloufa a@|@heavy, insatiable eater, glutton@
@Aloumandya@|@grann Aloumandya, a benevolent spirit@
@alsiyis la@|@sexual sighs of pleasure@
@alte@|@to stop, to halt@
@altèkasyon an@|@altercation, argument, discussion@
@altere@|@alter@
@alwès@|@to the west@
@alyaj@|@compound@
@alyans la@|@wedding ring, alliance@
@alye@|@ally@
@alzan@|@chestnut colored horse@
@amadwe@|@to sweet talk, wheedle, cajole@
@amak la@|@hammock@
@amalgame@|@merge@
@aman@|@casing@
@aman an@|@lover@
@amandkè@|@illicit lover@
@amann@|@fine@
@amannkè a@|@illicit lover@
@amatè@|@amateur@
@amatè a@|@owner of a ship@
@amatè a@|@amateur, non professional, connaisseur, fan@
@amati@|@framework@
@ame@|@to arm, cock, to furnish weapons@
@amè@|@bitter@
@amelyore@|@improve@
@amèn@|@amen@
@amenajman@|@amenity@
@amensi@|@reduce@
@Amerik Latin@|@Latin America@
@ameriken@|@American@
@ami@|@friend, companion, used in set phrases 'mon ami'@
@amidal la@|@tonsils@
@amigdal la@|@tonsils@
@amilpye a@|@millipede, centipede@
@amitye a@|@friendship, type of parasitic plant like sp moss@
@amizan (adj)@|@fun@
@amize@|@to amuse, entertain, to enjoy oneself@
@amizman@|@fun, entertainment, amusement, roasted peanuts@
@ammadwe@|@to sweet talk, wheedle, cajole@
@amò@|@very much, exceedingly@
@amonika@|@harmonica@
@amonnyòm nan@|@harmonium@
@amonyòm nan@|@harmonium@
@amòs la@|@bait, beginning, foretaste@
@amòse@|@to prime, to begin@
@amòti@|@deaden, to dampen@
@amòtif la@|@pus of an abscess@
@amou an@|@love@
@amoure a@|@lover, sweetheart, boyfriend@
@amwenske@|@unless@
@an@|@in, into, as, from, of@
@an 1@|@determiner used after the nasal vowels an, on, en@
@an 3@|@interjection meaning oh, ah, oh well@
@an 4@|@year@
@an abondans@|@aplenty@
@an afè ak@|@in business with, involved with, have an affair w@
@an ajan@|@silver@
@an alè@|@let's go@
@an antye@|@whole, entirely, in its entirety@
@an aryè@|@in the back, behind@
@an atandan@|@meanwhile, until@
@an avan@|@ahead, in front@
@an bès@|@faltering@
@an chalè@|@in heat@
@an chat pent@|@stealthily, furtively. sneakily@
@an chikèt@|@one by one, sparingly, little by little@
@an chimè@|@moody, capricious, sullen, chimerical@
@an de fas@|@two faced, hypocritically@
@an de fas@|@hypocritical@
@an debòdman@|@overflowing@
@an dekonfiti@|@shabby@
@an demon@|@excited, out of ones mind, bold, obstinate@
@an dènye@|@last@
@an detay@|@in detail, retail@
@an dèy@|@in mourning, bereaved@
@an dèyo@|@in the country, in the countryside, outside of@
@an deyò@|@in the country, in the countryside, outside of@
@an dezakò@|@in disagreement@
@an dire@|@it seems@
@an dizan@|@while saying, andizan sa, since you mention it@
@an doub@|@in duplicate@
@an dwa@|@to have the right to@
@an efe@|@indeed@
@an efè@|@in fact, indeed, really@
@an ekay@|@made of shell@
@an ete@|@in the summer@
@an fas@|@oppositeopposite, facing, across from@
@an final@|@finally, in the end@
@an flè@|@in bloom@
@an flèch@|@fast and furious@
@an fòm@|@in (good) shape, in proper form@
@an fòm 2@|@well developed, shapely, in shape@
@an Frans@|@in France@
@an giz@|@instead of, in place of@
@an gras@|@please@
@an gren@|@granulated, shelled@
@an gro@|@wholesale@
@an ivè@|@in winter, in the winter@
@an jeneral@|@in general, generally@
@an jwèt@|@in jest, jokingly@
@an ka@|@in case that@
@an kachèt@|@secretly@
@an katimini@|@secretly, underhandedly@
@an lè@|@above, in the air, high@
@an menm tan@|@at the same time, simultaneously@
@an n byen ankò@|@let us make peace, let us be friends again@
@an nekò@|@flooding, overflowing@
@an nou@|@come on, let's go, let's@
@an nou li@|@let's read@
@an nou wè@|@come on@
@an ò@|@golden@
@an pàn@|@out of order, stuck, short of@
@an patan@|@to start with, in the first place@
@an penpan@|@fancy, swell, beautiful, ok, smart, elegant@
@an plas@|@in one place@
@an plis@|@besides, additionally, in addition, more, in exces@
@an premye@|@first, primary@
@an règ@|@in order@
@an releng@|@in rags, penniless@
@an reta@|@late, overdue@
@an reyalite@|@actually@
@an rout@|@enroute, on the way@
@an sis kat de@|@in a jiffy@
@an sòtan@|@while going out@
@an tchenkou@|@piecemeal, piece by piece, partly@
@an tè@|@earthen@
@an tò@|@at fault, wrong, guilty@
@an tou@|@altogether@
@an tou ka@|@in any case, in any event, anyhow, at any rate@
@an travè@|@crosswise, obliquely, across@
@an ve@|@bound by a vow@
@an verite@|@frankly, verily, in God's truth@
@an vitès@|@fast, in a jiffy@
@an zing de kontraryete@|@moody, in a bad mood, angry@
@anache@|@to harness a horse or mule@
@anachis la@|@anarchist@
@anachman an@|@harness, trappings, gear@
@analize@|@to analyse@
@anana@|@pineapple@
@anana a@|@pineapple@
@anasi a@|@type of spider@
@anba@|@bottom, beneath, under, below, down, downstairs@
@anba 2@|@beneath, underneath, through, with the help of@
@anba 3@|@at the bottom of, whats below, the lower part@
@anba anba@|@sly, sneaky@
@anba bra a@|@armpit@
@anba tè@|@underground@
@anba tivant la@|@abdomen@
@anba-a@|@down there@
@anbabra a@|@armpit@
@anbachal@|@illicit, secretly@
@anbake@|@to board, embark, put on board, leave@
@anbakman an@|@embarkment, going on board@
@anbalan@|@hesitant@
@anbale@|@to pack@
@anbale@|@bale@
@anbandisyon@|@in rebellion@
@anbandoulyè@|@slung over the shoulder@
@anbara a@|@embarrassment@
@anbarasan@|@cumbersome, embarrassing@
@anbarase@|@to perplex, confuse, hinder, puzzle, embarrass@
@anbarase 2@|@embarrassed, clumsy, blocked, occupied@
@anbarase 3@|@too busy, penniless, broke, hard up for money@
@anbarasman an@|@difficulties, financial or other@
@anbasad@|@embassy@
@anbasadè@|@ambassador@
@anbasadè a@|@ambassador@
@anbatè@|@underground@
@anbativant@|@stomach@
@anbativant la@|@abdomen@
@anbeka anbemòl@|@willy nilly, ou vle, ou pa vle means the same@
@anbeli@|@to embellish, beautify, become more beautiful@
@anbeli a@|@improvement in the weather, to clear up@
@anbelisman an@|@beautification@
@anben@|@interjection so, well then@
@anbès@|@faltering@
@anbetan@|@annoying, troublesome, teasing, boring@
@anbete@|@to bother, annoy, bug, tease, trouble@
@anbetman an@|@problems, troubles@
@anbilans la@|@ambulance@
@anbiskad la@|@ambush@
@anbisye@|@ambitious@
@anbisyèz@|@ambitious@
@anbisyon an@|@ambition, greed, covetousness, pretentiousness@
@anboche@|@to hire, hired, hiring, hire@
@anbonmen@|@to perfume, permeate with a bad smell, embalm@
@anboulatcha@|@troubled, topsy-turvy@
@anboulin@|@full speed ahead@
@anboulvès@|@troubled, topsy-turvy@
@anbouteyay la@|@bottleneck, traffic jam@
@anbouteye@|@to deceive through trickery causing problems@
@anbouye@|@to ravel, entangle, embroil@
@anbranl@|@mete n anbranl, start moving@
@anbrase@|@to embrace, hug, kiss@
@anbrenzeng@|@drunk, intoxicated@
@anbreyaj la@|@auto gear@
@anbreyay la@|@auto gear@
@anbreye@|@to put in gear, engage the gears@
@anbrizi@|@sickly, peaked, shabby, out of shape@
@anbrizi 2@|@broke, penniless@
@anchaje@|@to assign, commission, entrust, charge w a task@
@anchaje 2@|@to be in charge@
@anchaje a@|@the person in charge, proxy@
@anchalè@|@in heat@
@anchante@|@rapt, delighted, happy, to be enchanted@
@anchatpent@|@furtively, stealthily, poorly (in a bad manner)@
@anchennen@|@to chain@
@ancheri@|@to cherish, fondle, like@
@anchikèt@|@one by one, sparingly, little by little@
@anchimè@|@moody, capricious, sullen, chimerical@
@andaki@|@in parables, in code@
@andanmis@|@secretly, furtively@
@andebòdman@|@overflowing@
@andedan@|@inside, within, in, indoors, inward, into@
@andefas@|@hypocritical@
@andekonfiti@|@shabby@
@andenmon@|@excited, out of ones mind, bold, obstinate@
@andènye@|@last@
@andèrò@|@in the country, in the countryside, outside of@
@andetay@|@in detail, retail@
@andèy@|@in mourning, bereaved@
@andeyò@|@in the country, in the countryside, outside of@
@andezakò@|@in disagreement@
@andezay@|@middle aged@
@andezo@|@under the surface of the water@
@andi a@|@a coating of plaster, plastering, wall finish@
@andikap@|@handicap@
@andikape@|@disable@
@andirans@|@endurance@
@andire@|@to endure, to suffer@
@andire 2@|@it seems@
@andizan@|@while saying, andizan sa, since you mention it@
@andjenikon an@|@vodoo choirmistress@
@andjoze@|@to lure, seduce, entice, cajole@
@andòmi@|@to sedate, put to sleep, anesthitize, make numb@
@andose@|@to endorse as in a check@
@andoub@|@in duplicate@
@andouteyaj@|@jam@
@andouyèt@|@chitterlings@
@andoye@|@to baptize in an emergency, cheat with marked card@
@andui@|@to coat, to plaster@
@andui a@|@a coating of plaster, plastering, wall finish@
@andui a 2@|@type of meat prep, also called chitterlings@
@andwa@|@to have the right to@
@andwi a@|@a coating of plaster, plastering, wall finish@
@andwi a@|@chitterlings@
@andyable@|@uncontrolable, ferocious, out of bounds@
@andyoze@|@to lure, seduce, entice, cajole@
@ane@|@year@
@ane a@|@year@
@ane pase@|@last year@
@anemi an@|@anemia@
@anetwale a@|@star anise, anise@
@anfale@|@to collapse, crumble, fall down, subside@
@anfannkè a@|@altar boy, censer bearer, choirboy@
@anfanten@|@kindergarten@
@anfantin@|@kindergarten@
@anfarinay@|@muffled, low@
@anfas@|@opposite, facing, across from@
@anfavè@|@in favor of@
@anfèje@|@to corner, do away with, give a hard time@
@anfèmen@|@to lease@
@anfen@|@finally, at last@
@anfèt@|@indeed, in fact@
@anfinal@|@finally, in the end@
@anflajele@|@to destroy, ruin, make mincemeat of@
@anflamasyon an@|@tumefaction, swelling, inflamation@
@anfle@|@to swell, bulge, swollen@
@anflèch@|@fast and furious@
@anfòm@|@well developed, shapely, in shape, all set@
@anfòm (adj)@|@fine@
@anfòm 2@|@properly@
@anfondre@|@to tumble down, crumble, sink@
@anfonse@|@to drive in such as a nail, knock down, sink@
@anfouaye@|@to misplace, lose@
@anfoudraye@|@to drive s o crazy, to ruin@
@anfoudwaye@|@to drive s o crazy, to ruin@
@anfounen@|@to put in the oven, to bake@
