@English@|@Q'anjob'al@
@an instrument for spinning thread@|@petet@
@an intensifier (pero jun wal xajaw 'but it is for one month' - heb' naj kaw xmulna wal tu' - They really worked hard - Miman wal stel no hachej 'Your horse is very tall')@|@wal@
@and@|@ka@
@and (Ax pax naq huxhtaq? Literally And the Brother?  but means And where is your brother?)@|@ax pax@
@and (naq Lwin k'al naq Matin 'Peter and Matthew' but when there are several items listed they are separated by a comma and k'al only appears between the last two items)@|@k'al@
@Andrew@|@antil@
@Angelina@|@Axhul@
@anger@|@ow, owalej@
@animal's young (chick kitten etc)@|@job'wal@
@animal (this comes from the classifier 'no')@|@no'@
@animal of Guatemalan indigenous tradition that is an inseparable companion of a person and is considered a spiritual protector throughout his life@|@nawal@
@Anna@|@Anixh@
@Anona Squamose is a small well-branched tree or shrub that bears edible fruit called sugar-apples or sweetsops@|@k'ewex@
@another@|@junoq xa@
@another one@|@junoq xa@
@another time@|@junel xa@
@ant@|@sanik, sanik'@
@Anthony@|@Anton, Antun@
@antipassive of focus suffix that is rarely used in Q'anjob'al and is restricted to certain radical derived verbs that indicate an action that takes place just once and is not continuous@|@-waj@
@antler@|@uk'a', uk'ahej, yuk'a'@
@anus@|@yolil chopej@
@any@|@ya mi maktxel@
@any of several plants of the agave@|@saq ch'ech@
@any of various flies like the stable fly or warble fly that bite or annoy domestic animals@|@katx@
@anything very hard@|@kawk'olinaq@
@appearance@|@yili@
@apple@|@nansan, sat mansan@
@Are you sick?@|@Juntaq yalon ak'ul?@
@are you that one?@|@hachti@
@are you?@|@ach@
@armadillo@|@ib'atx, no' ib'atx@
@armfull@|@topan@
@armload@|@yuchan@
@armpit@|@yalan q'ab'ej@
@arrived (here)@|@max 'uli@
@arrived (there)@|@max 'apni@
@arrow@|@t'int'in@
@artisan@|@jatnom te'@
@artist@|@jatnom te'@
@as a direccional it means inward@|@-ok@
@as a directional it means downward@|@-ay@
@as a directional it means outward@|@-el@
@as a directional it means toward or to the other side@|@-ek'@
@as a directional it means upwards@|@-aj@
@as a verb it means to go down or get down@|@-ay@
@as a verb it means to pass@|@-ek'@
@as a verb means to enter@|@-ok@
@as a verb means to go up@|@-aj@
@as a verb means to leave@|@-el@
@as an intensifier this means very (kaw saq 'very white' - kaw chi' 'very sweet')@|@kaw@
@ash@|@stiq'il tan, tan@
@ashes@|@tan, tiq'al tan@
@asked@|@maxsq'ana'@
@asks a question in reference to a distant time whether in the past or future (a time determined by days or months or years etc)@|@b'aq'in@
@asks a question that has to do with the precise time in which an action was carried out or a few moments before or after the action@|@janik'@
@asleep@|@waynaq@
@at@|@b'ay@
@at night@|@yet aq'walil@
@ate (at a meal)@|@maxslo'@
@ate (fruit)@|@maslo'@
@ate it@|@max slo', maxsk'uxu'@
@atole made from flour or corn flour (a drink made of cooked corn diluted with water or milk and cooked until thickened)@|@ulul@
@atole made from immature corn@|@ajan ulul@
@attempted@|@aq'lej@
@attic or loft@|@kan@
@aunt (sister of your mother or father)@|@ikanej@
@avocado@|@on@
@ax (his)@|@yechej@
@axe@|@echej@
@baby@|@nene', yal unin@
@back@|@ichin, ichinej, witxin@
@backpack@|@pa@
@bad@|@yob', yob'al@
@bad position of a person due to tiredness or for dressing badly@|@jexhan yeji@
@bald@|@t'enan yeji, t'erjolom@
@ball that has been inflated tight@|@kawk'olinaq@
@banana@|@poratonixh, sat kenei@
@bank@|@sti@
@bar@|@yujul@
@bark@|@tz'umal@
@bark (skin)@|@tz'umal te'@
@barked@|@maxchiwaji@
@barn owl@|@xotx'@
@basket@|@motx@
@basket with a handle@|@xuk@
@basket with hoops@|@xuk@
@bat@|@sotz'@
@bathe@|@achinne', achinnej@
@bathed@|@max 'achni@
@bathtub@|@achimb'al@
@beak@|@tihej@
@beam@|@patzab'@
@bean@|@ub'al@
@beard@|@b'akxilti', xil, xil tihej@
@bearded@|@b'akxilti'@
@because@|@tol, yuj tol, yujtol@
@because of@|@yuj, yujk'al@
@because of (wal is an intensifier that makes this a more powerful statement like saying 'if it weren't for this that would not be')@|@yuj wal@
@because of that@|@yuj tu, yuj xan@
@Because thanks to God - literally Because thanks to God to our father God)@|@porque yuj wal Dyos b'ay koman Dyos@
@bed@|@tx'at@
@bee's wax@|@ixkab'@
@bee (honey)@|@kab'@
@before@|@yalantoq@
@behind@|@yintaq@
@belly@|@k'ul, k'ulej, tzukutz, yul k'ulej@
@belly button@|@muxukej@
@below@|@alan@
@below me@|@walan@
@below them@|@yalan heb'@
@below us@|@jalan@
@below you@|@halan@
@below you all@|@heyalan@
@belt@|@k'alilej@
@bench (for sitting on)@|@chemej@
@beneath@|@yayti'@
@beneath me@|@walan@
@beneath them@|@yalan heb'@
@beneath us@|@jalan@
@beneath you@|@halan@
@beneath you all@|@heyalan @
@bent forward@|@nojan 'ayoq, nojan yeji@
@beside@|@sk'atan@
@between@|@xolaq@
@big@|@miman, mimej@
@big clay bowl@|@puylan sek'@
@big fire (like a bonfire)@|@miman q'a'@
@bile@|@k'a'@
@bird@|@tz'ikin@
@bird not indigenous to the area@|@antil ch'ab'@
@bit@|@kucham@
@bit it (him or her)@|@max xhi', xhitoq@
@bit it (or him or her)@|@maxschi'@
@bite@|@chi'@
@bite (mosquito or other insect)@|@k'ilaj@
@bitter@|@k'a', q'a@
@black@|@k'eq, q'eqyin@
@black (yin)@|@q'eq@
@black earth@|@q'eq tx'otx'@
@black ground@|@q'eq tx'otx'@
@black wasp@|@snohal aqan@
@blackberry bush@|@mu, sat k'ix@
@blanket@|@txowej@
@bleat of a sheep@|@b'aaaaa@
@blew on it@|@maxsxu'@
@blood@|@chik', chik'il, chik'ilej@
@blow@|@xuhoni@
@blow gun@|@ub', ub'eb'al, uyb'al@
@blowgun@|@hob'eb'al@
@blue@|@yax@
@blue or azure@|@yaxyin@
@bluebird@|@xew@
@board@|@chemte'@
@body@|@mimanilej@
@body cavity that contains the stomach and intestines@|@k'ul@
@body lice@|@saq uk'@
@boiled@|@max 'uqi@
@bone@|@b'aq@
@book@|@hun, un, unej@
@border@|@sti'@
@born@|@alij, kisq'aqej@
@borrow@|@majan@
@boss (The boss is over there so be careful)@|@yajawil@
@bottle@|@xhalu@
@bottom@|@chop@
@bottom (buttocks)@|@yich@
@bought it@|@maxsmana'@
@boy@|@naq, unin, winaq unin@
@boy in his teens@|@ach'ej@
@braid@|@patx'ilej@
@braided it@|@maxpatx'ine'@
@brain@|@kawejal jolomej@
@brake@|@premo@
@branch@|@sq'ab'@
@break (Tx'otx' xij max smaq' poj naq unin - The boy broke the pot - Although both hit and break are used in this phrase it is only translated as broke)@|@maq' poj@
@breast@|@imej, txam sk'ul@
@breast (female)@|@yim ix@
@breast (male)@|@yim naq@
@breast (woman's)@|@imej@
@breast milk (of any kind)@|@yal imej@
@breathe@|@jiq'a', kaq'e', suq'xi@
@bridge@|@q'aja'@
@broke it (an item from the kitchen)@|@maxpoj toq@
@broken@|@pojil, q'ajil@
@bromeliad@|@ech'@
@brooding hen (hen sitting on her eggs)@|@paqyom@
@broom@|@k'isb'al@
@broth or juice from something@|@yal@
@brother@|@uxhtaq@
@brother (of a woman)@|@winaq nuhej@
@brother in law or sister in law(woman's brother or sister in law)@|@muhej@
@brothers@|@anab'ej uxhtaqej@
@brothers and sisters@|@uxhtaqej anab'ej@
@brought it@|@max yi teq@
@brought it up@|@max yahaj toq@
@browned it@|@maxsq'anb'ene'@
@brush@|@b'omb'al, b'omb'alil@
@bubbled (The water will bubble when it begins to boil)@|@maxworwoni@
@build@|@kawxi@
@built it@|@maxswatx'jene'ajoq@
@bum@|@uk'um 'an@
@bump@|@k'ilaj@
@bunch@|@topan@
@burn@|@chaw, tz'atoq@
@burned@|@max tz'atoq, maxtz'a toq@
@burned (His skin burned from the friction)@|@max tx'atoq@
@burned down@|@maxtz'a toq@
@burned it@|@maxsnistz'ahoq@
@burried it@|@maxsmuqu'@
@burro@|@wuro, yal chej@
@bury@|@muq@
@bush@|@ak'um, k'ultaq@
@bushy (The tree is so bushy it gives great shade)@|@pim@
@but@|@palta, peru@
@butterfly@|@nam, tzolol@
@buttocks@|@chop@
@buy@|@mana'@
@buy (Maxin man te mansan te' - I bought an apple)@|@man@
@buys (My brother buys his shoes here)@|@man@
@buzzard@|@hostok, ostok@
@by@|@yuj, yuj wal@
@by chance@|@amwal, amwali@
@by day@|@yet k'u, yin k'uhal@
@by eights@|@waxaqtaq@
@by night@|@yet aq'walil@
@by sevens@|@uqtaq@
@by twos@|@kab' kab'taq@
@cacao@|@kakaw@
@cactus@|@petxaq'@
@calabash@|@k'um@
@calf@|@sat penekej@
@call (phone or at the door)@|@awteb'al@
@called a gibnut in Belize@|@alaw@
@called to a meeting@|@awteb'il ok wajanoq@
@callus@|@pitalej@
@calmed down@|@numan@
@came@|@max jayi, xjayi@
@came from below@|@ajoloq@
@came to be@|@max 'apni yin@
@can@|@uji@
@can be combined with adverbs that describe the way something happened to express doubt or desire (choq wal hach lipk'oji 'I hope you trip')@|@wal@
@can be combined with an adverb that describes the way something happened to indicate desire or doubt (watx' mi means it would be good)@|@mi@
@canary@|@antil ch'ab'@
@candy@|@chi'@
@cane@|@aj, ja', k'ojotx, q'ojoch@
@cane from the cornfield@|@wale'@
@cane liquor@|@anej@
@canine tooth@|@ye' tx'i'@
@canoe@|@hukub', jukub'@
@Capixay or Lopil is the typical suit of clothes that men from San Mateo Ixtatan wear (it consists of white shirt and pants handmade black vest cowboy type boots and cowboy type hat)@|@ropil@
@capricious@|@ch'uj@
@carbon@|@saq'a'@
@carried it@|@maxyi toq@
@carried it (in the arms)@|@max smeq' ekoq@
@carried it (on the back)@|@maxyiqa'@
@carried it on the shoulders@|@max sjolom xik'nej@
@carry@|@b'el@
@carry the wood@|@b'el te' si'@
@carve@|@maxsjoso'@
@cassava@|@tz'in@
@cat@|@mis@
@category suffix indicating a radical transitive verb for those radical transitive verbs that have an 'o' in their root@|@-o'@
@category suffix indicating a radical transitive verb for those radical transitive verbs that have an 'u' in their root@|@-u'@
@category suffix indicating a radical transitive verbs@|@-'a@
@category suffix indicating that a verb is transitive@|@'@
@causing physical or moral damage to someone@|@b'ajwal@
@cave@|@na ch'en@
@cedar (trees)@|@k'ute'@
@centipede@|@komes@
@certain@|@yel, yel wal@
@chair@|@chem, chemej, xhila@
@changeable@|@ch'uj@
@changed it@|@maxsk'exa'@
@changed it (barter)@|@maxsk'exa'@
@charley horse@|@kan@
@chayote@|@tzoyol@
@chayote root@|@xe tzoyol@
@cherry@|@kapulin@
@chest@|@xam k'ulej@
@chewed it@|@maxskach'a', maxstx'a'@
@chi indicates an incomplete action where the object is the third person while ch is or commonly used with all other person markers (Chin wayi - I sleep - chi kanalwi - he dances)@|@chin@
@chicken@|@kaxhlan@
@child@|@unin@
@children@|@alej uninalej@
@chile pepper@|@ich@
@chin@|@yalan tihej@
@chisel@|@tz'uqb'al@
@choked@|@maxjiq'wi@
@chop (Yetoq ch'en echej chi smaq' poj naq winaq te si' - With an ax the man chops the firewood)@|@maq' poj@
@chopped it (to chop meat in pieces)@|@maxsk'up ajoq@
@chose it@|@maxsik'a'@
@chunk@|@kucham@
@cicada@|@tzeqelen@
@circumference@|@setan yayji@
@classifier for a group of things that is piled together@|@mochan@
@classifier for a mountain of things (things piled up in the form of a volcano)@|@kunan@
@classifier for an object that is extended like a cane@|@jilan@
@classifier for an uncountable group of things@|@nilan@
@classifier for family members of the feminine gender or intimate friends (only in San Juan)@|@q'oy@
@classifier for things stacked or placed tightly together such as firewood and tortillas (ox latz'an patej - three orderly stacks of tortillas)@|@latz'an@
@classifier for things that are flat@|@patxan@
@classifier for things that are rolled@|@chulan@
@classifier for water (ha tz'eka' means 'the hot water' - ha uk'b'ala' means 'the well' - ha najab' means 'the lake')@|@ha@
@classifier meaning the and employed only with animals or things derived from animals (like leather items etc)@|@no @
@classifier that indicates respect and is used in reference to the young woman@|@ix@
@classifier that indicates respect and used in reference to an older male or a person's superiors (in reference to a specific person cham means Mr - for instance Cham Lotaxh 'Mr Rodas' - but when the last name is not specified as in cham winaq it carries more the meaning of the man in a superior position and in English would correspond to Mister or sir - When using a superior's last name we would say 'Mr Brown' but where no last name is used we would just say 'he' as in 'He will leave for work) without mentioning his station however in Q'anjob'al a man in a superior position is always identified with cham - Hoq toq cham winaq mulnajil 'The sir will leave for work')@|@cham@
@classifier used for family members of the male gender or intimate friends (only in San Juan)@|@ya'@
@classifier used in Acatan and San Rafael to indicate respect for a man@|@naj@
@classifier used in reference to natural elements that are considered to correspond to the father or a person's superior (cham komam k'u 'our father sun' - cham waykan 'star' - cham motz 'constellation')@|@cham@
@classifier used with reference to the young man@|@naq@
@classifier used with things made of fibers (tx'an un notebook)@|@tx'an@
@clause that explains the purpose for which the pricipal action is carried out@|@yet axka tu, yuj tu, yuj tu', yuj xan@
@claw@|@isk'aq@
@claw it@|@maxstxal toq@
@clay@|@tz'aqb'al tx'otx'@
@clay pitcher that can be used for heating liquids@|@aqan xhalu@
@clean@|@saq@
@clean the cornfield@|@aq'in awal@
@cleaning of a cornfield@|@aq'in@
@clear blue sky@|@yaxjut'inaq sat kan@
@clench@|@mitx'@
@climbing plant@|@tx'an@
@close@|@kawil@
@close to@|@sk'atan@
@closed@|@makan, maqan@
@closed (the eyes)@|@maxsmutz'ay sat@
@cloth@|@q'ab'ej@
@clothing@|@pichil, pichilej, q'ap@
@cloud@|@asum, asun, sutz'an@
@club@|@awb'al@
@club (of)@|@yawb'al@
@coal@|@kux, saq'a'@
@coat (something to protect against the weather)@|@q'utej@
@coati@|@tz'utz'@
@coatimundi@|@tz'utz'@
@cob@|@b'aqal@
@coffee@|@capey, kape@
@cohune palm@|@map@
@coil@|@b'alan@
@coiled it@|@maxsb'alejoq@
@cold@|@sik@
@cold (water food ambiance day)@|@sik@
@cold (water or food)@|@chew@
@collared peccary@|@sk'ultaqil txitam@
@collect@|@wajlayi@
@collected it@|@maxsik'ajoq@
@collection of money (They took up a collection for the sick man)@|@wajtumin@
@color@|@ilb'alej, yili@
@comal@|@sam@
@comb@|@xiyab'ej@
@comb (the instrument)@|@xiab@
@come@|@seb'ach@
@come ahead@|@okan@
@come on in (Okan yul na Come on into the house)@|@okan@
@comes out of something@|@yeloloq@
@comical@|@elaw@
@comment or news that has not been verified that circulates amoung the people (generally negative comments or news)@|@wajq'anej@
@commerce@|@maxtxonji@
@commission@|@q'anej@
@commission (to do something)@|@ab'en@
@common reed or yellow cane@|@aj, ajte'@
@communicate with words@|@ala'@
@companion@|@etb'i, etb'ihej, yetb'i@
@completely@|@mayal@
@constructed it@|@maxswatx'jene'ajoq@
@consultation@|@q'anleb'al@
@consumed it@|@maxsloyaytoq@
@container made of glass or clay that is a lot wider around the center used for water oil or other liquids@|@mok@
@cooked corn@|@b'utx@
@cooked it@|@maxstxika'@
@cord@|@tx'an, tx'etx@
@corn@|@ajan, ixim@
@corn (hard bump on the foot)@|@pitalej@
@corn dough@|@kawej@
@corn drink@|@uq'aja@
@corn masa@|@kawej@
@corn tortilla made from nixtamal that was made with immature corn@|@ajan b'utx pat@
@corncob@|@b'ajal, b'aqal@
@corner@|@stxikin@
@cornfield@|@awal@
@correct (tojol watx')@|@watx'@
@cotton@|@tenu, tenuq'@
@cotton thread@|@tx'alej@
@cougar@|@koj@
@cough@|@ojob'@
@coughed@|@max'ojomb'i@
@could@|@uji@
@count@|@b'is@
@country@|@konob'@
@countryside@|@ak'al@
@courtyard@|@amaq', yamaq'il@
@cousin@|@hekan@
@cover (verb)@|@mak@
@covered it@|@maxsmaqche'@
@cow@|@wakax@
@coyote@|@oq@
@crab@|@yax@
@cracked it@|@maxsmaq' pojoq@
@craftsman@|@jatnom te'@
@cranium@|@kawejal jolomej@
@crate@|@letxb'al@
@crawled@|@max k'owi@
@cricket@|@sak', tzak', xil@
@cried@|@max 'oq'i@
@crime@|@mul, mulej@
@crooked@|@kotx'an@
@cross@|@kurus@
@crossed@|@max q'axb'oji@
@crouching@|@wotz'an@
@crow@|@joj@
@crush@|@chemej ayoq@
@crushed@|@chememi@
@crust@|@yinej@
@cry@|@oq'@
@cudgel@|@awb'al@
@cure@|@ante', antej, antelwan, antewan@
@cure with massages@|@wajlayi@
@curled up@|@b'ak'an@
@cut@|@k'upb'il, polb'il, q'ucheloq, tx'ina', tzok'o', xiqb'il@
@cut (this past tense word is used when wood has been cut with an instrument)@|@maxstzok'o'@
@cylindrical objects that are of a medium width and have a smooth texture (for instance animals with short smooth hair or poles that have no bark)@|@b'et@
@cypress@|@k'isis@
@cyst@|@kisq'aqej@
@damaged it@|@maxyetne' eloq@
@dance@|@kanal@
@dancer@|@kanalwan@
@dangerous@|@ay smay@
@dark@|@q'eq@
@daughter@|@une'@
@daughter (of a woman)@|@yune'@
@daughter in law@|@alib', alib'ej@
@day@|@k'u, k'uhalil@
@day before yesterday@|@kab'ji, kab'wi@
@dead@|@kamnaq@
@deaf@|@chakan@
@death@|@kaman@
@decomposed it@|@maxyetne toq@
@deep (literally this means big its bottom or butt)@|@miman yich@
@deer@|@chej, sk'ultaqil chej@
@defect@|@mulej@
@defend@|@kol@
@defended@|@max kol@
@delay@|@pural@
@delicate@|@yayili@
@deliver@|@aq'a'@
@dense@|@tat@
@dense (this sweater is of dense wool so it keeps me very warm)@|@pim@
@depleted@|@saq puminaq'eloq@
@deposit of water@|@amutx@
@derives a transitive verb from a positional base and indicates that something has to be left in the position indicated by the base (kox- is a positional root meaning twisted while hoq hakoxb'aj ayoq means you will twist it)@|@-b'al@
@despise or scorn someone@|@yajiloq@
@destroyed it@|@maxyetne toq@
@dew@|@yal ak'wal@
@diaper@|@b'alej@
@diarrea (literally to pass belly)@|@ek'ujul@
@did business@|@maxtxonji@
@die@|@kam, kami@
@died@|@maxkami, xkami@
@Diego@|@Yakin@
@diet@|@k'ajab' k'ulal@
@difficult@|@ya'@
@dig@|@jotajtej, joto'@
@direct@|@tjol, tojol@
@directional meaning down@|@ay@
@directional meaning from here toward there@|@-toq@
@directional meaning from or away@|@toq@
@directional meaning from there toward here@|@-teq@
@directional meaning in or into@|@ok@
@directional meaning out (outwards)@|@el@
@directional meaning pass@|@ek'@
@directional meaning to or toward@|@teq@
@directional meaning to stay without movement@|@kan@
@directional meaning up@|@aj@
@dirt@|@tz'il@
@dirtiness@|@tz'il@
@dirty@|@tz'il@
@dirty clothing@|@tz'il pichilej@
@discolored@|@saq puminaq'eloq@
@disgusting@|@tz'il@
@disturbed@|@max sten ek'oq@
@divined@|@ajtxum@
@diviner (fortune teller)@|@ajtxum@
@do@|@ute', utej@
@doctor@|@ajan@
@document@|@un, unej@
@dog@|@tx'i, tx'i'@
@doll@|@yechel unin @
@domestic animals@|@alom@
@donkey@|@yal chej@
@door of the house (its door house)@|@smaqil na@
@down@|@yayti', yaytu'@
@drank it@|@max yuk'aytoq, max yuk'e', maxsyuk'e'@
@dreamed it@|@maxswaychene'@
@dreamt it@|@maxswaychene'@
@dress@|@chanej@
@dribble@|@yal tihej@
@dried fruit@|@patix@
@dried it@|@max sjo taqoq@
@drink@|@uk'eja', uq'@
@drool (literally 'water of the mouth)@|@yal tihej@
@drop (noun)@|@t'ujan@
@drop (of water etc)@|@t'ujan, tz'uj@
@drought@|@taqin tihal@
@drowned@|@maxjiq'wi@
@drunk@|@uk'um 'an@
@dry@|@taqin@
@duck@|@pech@
@due to@|@yuj, yuj wal@
@dull@|@k'amye@
@dumb@|@mem@
@during the day@|@yet k'u, yin k'uhal@
@dust (noun)@|@poqoq@
@each (literally one one)@|@jujun@
@each one@|@huhun, jujunal@
@ear@|@txikin@
@ear (as a part of the body)@|@txikinej@
@ear of corn@|@nal@
@ear of corn with few grains@|@tuxkum@
@ear of corn with several heads@|@pachom@
@early@|@sq'inib'@
@earring@|@yul txikin, yul txikinej@
@earth@|@tx'otx', tx'otx'ej@
@earthquake@|@kixkab'@
@earthworm@|@luqum, luqum'@
@east@|@ilelb'a, yel tu'@
@East@|@yeltu'@
@easy@|@k'un yeji, sekoj, sub'oj@
@eat@|@lo', low, lowi@
@eat (as a command - Eat or you will get sick)@|@lowan@
@eat (fruit)@|@lo'@
@eat up (all of you)@|@lowaneq wal@
@edge@|@sti', ti@
@edible flower from the fig leaf gourd@|@uy@
@education@|@kuyoj@
@egg@|@jos@
@eggs@|@josej@
@eight@|@waxaqeb'@
@eight at a time@|@waxaqtaq@
@eighteen@|@waxaqlajuneb'@
@elder@|@icham winaq@
@eleven@|@husluk'eb, usluk'eb'@
@ember@|@saq'a'@
@empty@|@olan@
@empty house@|@janan kanoq@
@endured@|@maxtechaj yuj@
@enemy@|@ajk'ul@
@entered@|@max 'ok toq, x'oktoj@
@entrance of the house or town etc@|@sti@
@epazote a short-lived perennial used to flavor beans and as a tea or herb used medicianlly to treat malaria@|@uch'ej@
@equal@|@lajan@
@erred@|@max k'ay toq, max k'ayi@
@error@|@mulej@
@escaped@|@max 'elajoq@
@Esteban@|@Exhtep@
@Eulalia@|@Ewul@
@Eusebio@|@Xhewo@
@even@|@tutz'utz'i@
@every day@|@jun jun k'u@
@evil eye@|@satej@
@ewe (sheep)@|@me'@
@excrement@|@tza', tzayej@
@explained it@|@maxyal b'aytet yeji@
@expression of admiration@|@iiii@
@exterior@|@yin@
@eye@|@b'aq'satej, sat@
@eye (as a part of the body)@|@satej@
@eyebrow@|@xil satej@
@eyelash@|@stxowal satej@
@eyetooth@|@tx'i', tx'ik eh@
@face@|@sat, satej@
@face down@|@paqan@
@face down (The body was found face down on the ground)@|@nojan 'ayoq@
@face toward a specific place (The woman is facing the west)@|@akan@
@face up (He fell backwards and landed face up)@|@pak'an 'ajoq@
@fall@|@telk'oji@
@family member@|@ikannej@
@famous@|@ojtaqb'il@
@fang@|@tx'i', tx'ik eh@
@far@|@najat@
@fast (go without food for a time)@|@k'ajab' k'ulal@
@fat@|@b'al, b'aq'ech, mantekil, mantika@
@fat (body fat)@|@manteka@
@father@|@mam, mamej@
@father in law@|@ni'@
@fault@|@mulej@
@feather@|@tz'up, xik', xik'ej, xil@
@fern@|@tzib'@
@fertile ground@|@yax tx'otx'@
@few@|@kaboj, txennej@
@few (I just brought a little firewood)@|@kab'nej@
@fiber from the agave or hemp plant@|@chi'@
@fiber from the agave plant@|@saq ch'ech@
@field@|@ak'al@
@fiesta@|@q'in@
@fifteen@|@holajuneb'@
@fifth@|@so'@
@fifty@|@lajoneb' yoxk'al@
@fifty (ten towards three times twenty)@|@lajun yoxk'al@
@fig leaf gourd@|@q'o', q'oq'@
@fight@|@owal@
@film or layer of water@|@axub'@
@film or layer of water (or perhaps the breadnut tree)@|@axub'@
@finally (The last thing we did was to go to bed)@|@lajwi tu@
@fine (masa or corn flour)@|@kok'@
@fine agave fiber@|@tx'uxub'@
@finger@|@yiximal q'ab'ej@
@fingernail@|@isq'ajej, isq'aq, isq'aqej@
@finished it@|@maxslaja'@
@fire@|@q'a', q'a'ej, q'aq'@
@firefly@|@kuka, kukay, kukuy@
@first (do this before you do that)@|@b'ab'elal@
@first (Who is first in line?)l@|@b'ab'el@
@first born (Jesus is the firstborn of all creation according to Colossians 1 verse 15)@|@b'ab'el unin@
@first day of the fiesta or party@|@ajb'ab'el@
@first person plural possessive@|@j-@
@first person plural possessor of a noun that begins with a consonant@|@ko-@
@first person singular possessive@|@w-@
@first person singular possessor of a noun that begins with a consonant@|@hin-@
@first personal plural possessive@|@ko@
@fish@|@txay@
@fished@|@max txaywi@
@fishing net@|@txayb'al@
@five@|@how, howye', hoyeb', oyeb'@
@five at a time@|@oj'ojtaq@
@five by five@|@oj'ojtaq@
@fix@|@kawxi@
@flat@|@panan@
@flat land@|@ak'al@
@flea@|@q'aq@
@fled@|@max 'elajoq@
@flew@|@max toj jupupoq, xtoj jupnajoq@
@flexible@|@jib'an yeji@
@flipped@|@max smeltzene'@
@flooded@|@aman aytoq@
@floppy@|@k'un@
@flour@|@k'aj@
