@Laotian@|@English@
@ກະຈັບ@|@water chestnut@
@ກະຈັບປີ່@|@musical entrustment@
@ກະຈັບປີ່@|@a kind of lute@
@ກະຈາບ@|@a bird of one of the following species@
@ກະຈິບ@|@bird of one of the following species@
@ກະຈິບເຟືອງ@|@a bird of the lark type@
@ກະຈອມປ້ອງ@|@shovel@
@ກະຈອມປ້ອງ@|@spade@
@ກະຈອມປ້ອງ@|@scoop@
@ກະສາ@|@bird of the heron@
@ກະສາຄວາມນ້ອຍ@|@medicinal plant@
@ກະສິກິດ@|@agriculture@
@ກະສິກັນ@|@argiculture@
@ກະສິກັນ@|@cultivation@
@ກະສິກຳ@|@Agriculture@
@ກະສິກອນ@|@Farmer@
@ກະສິຣະ@|@milk@
@ກະສິຣະທາຣາ@|@flow of milk@
@ກະສີ@|@spirits who eat excrement@
@ກະສຸນ@|@projectile@
@ກະສຸນ@|@cartridge@
@ກະສຸນປືນ@|@Bullet@
@ກະເສຣາ@|@lustral water@
@ກະເສດ@|@Agriculture@
@ກະເສດ@|@a leguminous aquatic plant@
@ກະເສດຕະກອນ@|@agriculture@
@ກະເສດຕະກັມ@|@agriculture and animal husbandry@
@ກະເສດຕະສາດ@|@agronomy@
@ກະສັນ@|@imagine@
@ກະສັນ@|@wish@
@ກະສັນ@|@think@
@ກະສັນ@|@lust@
@ກະສັນ@|@feel sexual desire@
@ກະສັນດີ້ນໂດດ@|@anxious@
@ກະສັນດີ້ນໂດດ@|@desirous@
@ກະສັນດີ້ນໂດດ@|@thirsty for@
@ກະສັ່ນກະສາຍ@|@trembling@
@ກະສັ່ນກະສາຍ@|@shaking@
@ກະສັ່ນກະສາຍ@|@quivering@
@ກະສິນ@|@trance@
@ກະສຸນ@|@projectile@
@ກະສຸນ@|@cartridge@
@ກະສຸນ@|@bullet@
@ກະສຸນດິນດຳ@|@ammunition@
@ກະສຸນປືນ@|@ammunition@
@ກະເສນ@|@a large type of mango@
@ກະແສ@|@Current@
@ກະແສ@|@water flow@
@ກະແສ@|@intonation@
@ກະແສ@|@tree@
@ກະແສນ້ຳ@|@Current@
@ກະແສນ້ຳ@|@water flow@
@ກະແສຂ່າວ@|@flow or stream of news@
@ກະແສຄວາມຄິດ@|@flow of ideas@
@ກະແສຄວາມຄິດ@|@stream of thought@
@ກະແສໄຟຟ້າ@|@cirulation of currency@
@ກະແສກົງ@|@direct current@
@ກະແສຄຳພູດຈາ@|@flow of talk@
@ກະແສເງິນ@|@circulation of currency@
@ກະແສສະລັບໄຟຟ້າ@|@alternating current@
@ກະແສສຽງເວົ້າ@|@flow of talk@
@ກະແສນ້ຳເຢັນ@|@cold stream@
@ກະແສນ້ຳເຢັນ@|@cold current@
@ກະແສນ້ຳຮ້ອນ@|@warm stream@
@ກະແສນ້ຳຮ້ອນ@|@warm current@
@ກະແສລາຍວັນ@|@n. daily current account@
@ກະແສລັບສັ່ງ@|@royal decree@
@ກະແສລັບສັ່ງ@|@order or edict@
@ກະແສລົມ@|@air current@
@ກະແສເວລາ@|@passage of time@
@ກະແສເຫດການ@|@current of event@
@ກະສໍ່@|@a very small mango@
@ກະສໍ່@|@mangifera sp@
@ກະໄສ@|@of a debilitating illness@
@ກະໄສຍະໂຣກ@|@any internal ailment@
@ກະໄສການ@|@deluge@
@ກະໄສການ@|@end of the world@
@ກະສັກ@|@plant used medicinally@
@ກະສັງ@|@edible plant@
@ກະສັງ@|@peperomia pellucida kunth@
@ກະສິງ@|@dancers@
@ກະສິງ@|@dance@
@ກະສາຍ@|@odorous infusion of medicine@
@ກະສວຍ@|@shuttle used in weaving@
@ກະສັດຕາໄທ້@|@the king@
@ທິລາດ@|@monarch@
@ກະສັດຕີ@|@the queen@
@ກະສັດ@|@king@
@ກະສຽນ@|@age limit@
@ກະສຽນ@|@definitely finished@
@ກະສຽນ@|@terminated@
@ກະສຽນອາຍຸ@|@retirement@
@ກະສວຍ@|@shuttle used in weaving@
@ກະສວນ@|@part@
@ກະສວນ@|@component@
@ກະສວນ@|@model@
@ກະສວນ@|@pattern@
@ກະສອບ@|@sack@
@ກະສອບ@|@gunny sack@
@ກະສອບລູກປືນ@|@bullet pouch@
@ກະສອບເຂົ້າ@|@rice sack@
@ກະສາບ@|@cockroaches@
@ກະເສີມ@|@happy@
@ກະເສີມ@|@content@
@ກະຊະ@|@wild bamboo growing at the edge of rice-fields or streams@
@ກະຊາ@|@terrestrial orchid@
@ກະຊາ@|@tuber edible@
@ກະຊ້າ@|@hand basket@
@ກະຊ້າ@|@bamboo pannier@
@ກະແຊ@|@a toy of northern Laos@
@ກະຊິບ@|@whisper@
@ກະໂຊ້@|@irrigation scoop@
@ກະໂຊ້ສະນ້ຳ@|@pannier used to transfer water@
@ກະໂຊ້ກຽນ@|@a large pannier fitting into a cart@
@ກະເຊີ@|@pannier used to catch small fish by hand@
@ກະເຊົ້າ@|@pannier for display of wares@
@ກະຊັກ@|@name of a mountain north of Luang Prabang@
@ກະຊາກ@|@pull forcefully@
@ກະຊາກ@|@snatch up@
@ກະຊາກອອກ@|@pull out forcefully@
@ກະແຊງ@|@edible aquatic plant@
@ກະແຊງ@|@ottelia japonica miq@
@ກະແຊງ@|@hard wood tree cananga latiforia F@
@ກະຊອນ@|@kitchen utensil@
@ກະຊອນ@|@cricket-like insect@
@ກະຊວນ@|@ministry@
@ກະຊາມ@|@bowl@
@ກະຊັງ@|@walk in one’s sleep@
@ກະແຊງ@|@a large sampan with side-passage decks@
@ກະຊວງ@|@a ministry of the government@
@ກະຊວງກະເສດ@|@Ministry of Agriculture@
@ກະຊວງກະລາໂຫມ@|@Ministry of Defense@
@ກະຊວງການຄັງ@|@ministry of finance@
@ກະຊວງຄົມມະນາຄົມ@|@Ministry of Communications@
@ກະຊວງສະຫະກອນ@|@Ministry of Cooperation Affairs@
@ກະຊວງສາທາລະນະສຸກ@|@Ministry of Public Health@
@ກະຊວງເສດຖະກິດ@|@Minstry of Economic Affairs@
@ກະຊວງສຶກສາທິການ@|@Ministry of Education@
@ກະຊວງຍຸທິທັມ@|@Minsitry of Justice@
@ກະຊວງຕ່າງປະເທດ@|@Ministry of Foreign Affairs@
@ກະຊວງປ້ອງກັນປະເທດ@|@Ministry of Defence@
@ກະຊວງມະຫາດໄທ@|@Ministry of the Interior@
@ກະຊວງວັດທະນະທັມ@|@Ministry of the Culture@
@ກະຊວງອຸດສາຫະກັມ@|@Ministry of Industry@
@ກະຊາຍ@|@leguminous plant with edible root@
@ກະເຊດ@|@herb@
@ກະຊັ້ນ@|@approaching@
@ກະຊັ້ນ@|@closing in on@
@ກະຍ່າ@|@tree of the acacia family@
@ກະຍື@|@asthma@
@ກະຍຸງ@|@hard wood tree of the ebony family@
@ກະຍຸງ@|@dalbergia cochinchinensis@
@ກະແຍງ@|@a small species of river fish@
@ກະແຍງ@|@an edible leguminous weed growing in the rice fields@
@ກະແຍງໂຄ@|@a large river fish@
@ກະແຍງໂຄ@|@similar to Mystus spp@
@ກະໂຍມ@|@a fervent Buddhist@
@ກະຍອມ@|@a hard wood tree@
@ກະຍອມ@|@shore a floribunda@
@ກະເຍີມ@|@destiny@
@ກະເຍີມ@|@fate@
@ກະດີ@|@domitory for bonzes in the temple@
@ກະເດາະປາກ@|@click the tongue@
@ກະດາດ@|@paper@
@ກະດາດຊັບ@|@blotting paper@
@ກະດາດຂຽນຈົດຫມາຍ@|@writing paper@
@ກະດາດງັ້ດມື@|@paper nap-skin@
@ກະດາດນ້ຳມັນ@|@wax paper@
@ກະດາດກ້າກຍ້ອນ@|@carbon paper@
@ກະດາດແກ້ວ@|@transparent tracing paper@
@ກະດາດໄຂ@|@stencil@
@ກະດາດແຂງ@|@cardboard@
@ກະດາດສາ@|@native paper@
@ກະດາດຊາຍ@|@stand-paper@
@ກະດາດຊາຍ@|@polishing paper@
@ກະດາດຫໍ່່່ຂອງ@|@wrapping paper@
@ກະດໍ່@|@penis@
@ກະດໍ່ກະເດັ້ຍ@|@extremely@
@ກະດໍ່ກະເດັ້ຍ@|@exaggeratedly@
@ກະເດົາ@|@cinchona family@
@ກະເດົາ@|@melia indica@
@ກະເດົາຊ້າງ@|@Japanese lilac@
@ກະໄດ@|@flight of stairs@
@ຂັ້ນໄດ@|@ladder stairs@
@ກະໄດລິງ@|@vine@
@ກະດັກກະເດັ້ຍ@|@extremely@
@ກະດັກກະເດັ້ຍ@|@exaggeratedly@
@ກະດາກ@|@shame@
@ກະດາກ@|@modesty@
@ກະດາກ@|@bashfulness@
@ກະດິກ@|@shake or swing part of body or fingers or legs@
@ກະດິກກະແດກ@|@shake or swing parts of the body@
@ກະດິກກະແດກ@|@as the fingers or legs@
@ກະດິກຂາ@|@swing the legs@
@ກະດິກຕີນ@|@shake the feet@
@ກະດິກນີ້ວມື@|@wiggle the fingers@
@ກະດິກກະດຶ້ນ@|@shake or swing parts of the body@
@ກະດິງ@|@bells@
@ກະດິງ@|@chimes@
@ກະດິງກິນເຂົ້າ@|@dinner bell@
@ກະດິງປະຕູ@|@door bell@
@ກະດິງຫ້າວ@|@small suspended bells@
@ກະດິງຫ້າວ@|@sounded by the wing@
@ກະດິກກະດຽມ@|@tickle@
@ກະດຸກກະດິກ@|@wingle@
@ກະດຸກກະດິກ@|@squim@
@ກະດູກ@|@bone@
@ກະດູກຂາງ@|@rib@
@ກະດູກຂາ@|@leg@
@ກະດູກສັນຫລັງ@|@spine@
@ກະດູກສັນຫລັງ@|@backbone@
@ກະດູກມີດ@|@clavicle@
@ກະດູກຫລ້ອນ@|@bare bone@
@ກະດູກກົ້ນກົບ@|@sacroiliac@
@ກະດູກງູ@|@snake bones@
@ກະດູກສັນຫລັງຂອງຊາດ@|@backbone of the nation@
@ກະດູກຫລັງ@|@spine@
@ກະດູກຫລັງ@|@backbone@
@ກະດູກຂຽດນ້ອຍ@|@plant@
@ກະໂດກ@|@rotted wood@
@ກະດົກ@|@higher on one side@
@ກະດົກ@|@off plumb@
@ກະດົກກະເດື່ອງ@|@seesaw@
@ກະດ່າງກະດວາ@|@speckled@
@ກະດ່າງກະດວາ@|@spotted@
@ກະດ່າງກະດວາ@|@mottled@
@ກະດ່າງກະດວາ@|@stained@
@ກະດ້າງ@|@tough@
@ກະດ້າງ@|@hard@
@ກະດ້າງກະເດື່ອງ@|@recalcitrant@
@ກະດຸ້ງ@|@a large fish net@
@ກະດຸ້ງ@|@scoop net@
@ກະແດ້ງ@|@dry@
@ກະແດ້ງ@|@arid@
@ກະແດ້ງ@|@desiccate@
@ກະແດ້ງ@|@dried out@
@ກະດົ້ງ@|@a flat straw pannier in which paddy rice is tossed to remove chaff@
@ກະດອງ@|@carapace@
@ກະດອງ@|@skull@
@ກະດອງເຕົ່າ@|@tortoise shell@
@ກະດອງປູ@|@crab shell@
@ກະດອງຫົວ@|@skull@
@ກະເດືອນ@|@seesaw@
@ກະດາງ@|@an edible mushroom@
@ກະໂດດ@|@jump@
@ກະໂດດ@|@leap@
@ກະໂດດເຂົ້າ@|@jump in@
@ກະໂດດຂຶ້ນ@|@jump up@
@ກະໂດດໃສ່@|@jump at@
@ກະໂດດລົງ@|@jump down@
@ກະໂດດອອກ@|@jump out@
@ກະເດີດ@|@a small river fish@
@ກະເດີດ@|@trichinous@
@ກະເດື່ອງ@|@seesaw@
@ກະດາຍ@|@a word used for emphasis at the end of a sentence (not translated)@
@ກະດັດ@|@exaggerated@
@ກະດັດ@|@excessive@
@ກະດັນ@|@hard body growth such as a callus or goiter@
@ກະດັນ@|@leg cramp@
@ກະດັນຂາ@|@leg cramp@
@ກະດັນທ້ອງ@|@cramp in the stomach@
@ກະດັນງາ@|@flowery plant@
@ກະດັນຈີນ@|@vine@
@ກະດັນຈີນ@|@ornamental flowers@
@ກະດານ@|@board@
@ກະດານດຳ@|@blackboard@
@ກະດານປ້າຍ@|@bulletin board@
@ກະດານຟື້ນ@|@flooring@
@ກະດານຫົວ@|@skull@
@ກະດານຫິນ@|@a wooden tablet for writing@
@ກະດານຫມາກຣຸກ@|@checker or chess board@
@ກະດອນ@|@cork@
@ກະເດັນ@|@bounce@
@ກະເດັນ@|@rebound@
@ກະເດັນ@|@reject@
@ກະເດັນເຂົ້າ@|@bounce in@
@ກະເດັນຄືນ@|@bounce back@
@ກະເດັນໃສ່@|@bounce back at@
@ກະເດັນອອກ@|@bounce out@
@ກະໂດນ@|@sour leaf@
@ກະໂດນ@|@careya arborea@
@ກະໂດນນ້ຳ@|@tree@
@ກະໂດນນ້ຳ@|@edible leaf@
@ກະໂດນນ້ອຍ@|@tree@
@ກະໂດນນ້ອຍ@|@edible leaf@
@ກະດົ້ນ@|@anat@
@ກະດອນ@|@bounce@
@ກະດອນ@|@rebound@
@ກະດອນອອກ@|@bounce@
@ກະດອນອອກ@|@rebound@
@ກະໂດ້ນ@|@nape of the neck@
@ກະເດືອນ@|@earth worm@
@ກະດິບໆ@|@advance by continuous contraction and expansion@
@ກະດິບໆ@|@as a caterpillar@
@ກະດີບເດົ້າ@|@a small bird living near pools and characterized by a swooping flight@
@ກະເດບໆ@|@climb a tree@
@ກະເດບໆ@|@holding closely@
@ກະເດບໆ@|@chest against tree trunk@
@ກະດາມຜີ@|@epiphytic orchid@
@ກະດຶມ@|@shivering from disgust or repulsion@
@ກະແດບກະແດບ@|@climb a tree@
@ກະແດບກະແດບ@|@holding closely@
@ກະແດບກະແດບ@|@chest against tree trunk@
@ກະດຸມ@|@button@
@ກະດຸມພີ@|@capitalist@
@ກະດຸມພີ@|@wealthy person@
@ກະດອມ@|@bush@
@ກະດອມ@|@ornmental flowers@
@ກະດອມ@|@rothmannia venalis brem@
@ກະດອມເຄືອ@|@a vine with white flowers@
@ກະດອມເຄືອ@|@gymnopetalum indochina@
@ກະດອມຕົ້ນ@|@a tree with white flowers@
@ກະດອມພຸ໋ມ@|@a bush with white flowers@
@ກະດຽມ@|@modesty@
@ກະດຽມ@|@bashfulness@
@ກະດຽມ@|@ticklish@
@ກະດ້ວມກະດ້ຽມ@|@lethargically@
@ກະດ້ວມກະດ້ຽມ@|@slowly@
@ກະເດ່ວ@|@limping@
@ກະແດ່ວ@|@tottering@
@ກະດຽວວ່າ@|@argue@
@ກະດຽວວ່າ@|@understand that@
@ກະດຽວວ່າ@|@think that@
@ກະຕະເວທີ@|@gratitude@
@ກະຕະເວທີ@|@piety@
@ກະຕາທິການ@|@benefit@
@ກະຕາທິການ@|@merit@
@ກະຕ່າ@|@basket@
@ກະຕ່າກວຍ@|@a large@
@ກະຕ່າກວຍ@|@coarsely woven panier@
@ກະຕ່າຫ່າງ@|@a large pannier with coarse interstices@
@ກະຕ່າຫວາຍ@|@a basket mage of rattan@
@ກະຕິ@|@dormitory for bonzes@
@ກະຕິກາ@|@rule@
@ກະຕິກາ@|@agreement@
@ກະຕິກາ@|@provision@
@ກະຕິກາ@|@pact@
@ກະຕິກາສັນຍາ@|@conditions of a treaty@
@ກະຕິກາຕັ້ງກະຕິກາ@|@establish a regulation@
@ກະຕິກາຕັ້ງກະຕິກາ@|@set up rules@
@ກະຕິກາຮ່າງກະຕິກາສັນຍາ@|@draft a pact@
@ກະຕື້ລືລົ້ນ@|@be in earnests@
@ກະຕື້ລືລົ້ນ@|@hasten@
@ກະຕູ່@|@black toad@
@ກະແຕະ@|@plaited bamboo used to make carries for fowl@
@ກະແຕະ@|@hunting@
@ກະແຕ@|@a rodent of the squirrel type@
@ກະແຕແຊ@|@lid for pannier used to catch fish@
@ກະແຕແຮ@|@lid for pannier used to catch fish@
@ກະແຕລອດຂອນ@|@plant with medical roots@
@ກະເຕາະກະແຕະ@|@weak@
@ກະເຕາະກະແຕະ@|@feeble@
@ກະເຕາະກະແຕະ@|@pieces@
@ກະເຕະ@|@small household pannier@
@ກະຕໍ່@|@stump@
@ກະຕໍ່@|@rattan ball@
@ກະງຕິ@|@sieve or colander with large holes@
@ກະງຕິ@|@flotsam@
@ກະເຕິລອດຊ່ອງ@|@a small Lao cake@
@ກະເຕິລອດຊ່ອງ@|@a cloth press for squeezing out the cake@
@ກະໄຕ@|@scissors@
@ກະໄຕ້@|@torch of resinous wood@
@ກະເຕົາ@|@a small river fish@
@ກະເຕົາ@|@cooked or dried whole@
@ກະຕ່ຳ@|@wooden trap for large animal or fish@
@ກະຕັກ@|@goad@
@ກະຕາກ@|@cackle of a hen after laying an egg@
@ກະຕາກສຽງ@|@cackle of a hen after laying an egg@
@ກະຕິກ@|@thermos bottle@
@ກະຕິກນ້ຳ@|@thermos bottle@
@ກະຕິກນ້ຳກ້ອນ@|@thermos for ice@
@ກະຕິກນ້ຳຮ້ອນ@|@thermos for hot water@
@ກະຕືກ@|@tape worm@
@ກະຕືກກົມ@|@worm-shaped@
@ກະຕືກແປ@|@tape worm@
@ກະໂຕກ@|@a taboret for serving food@
@ກະຕອກ@|@knot@
@ກະຕັງກະຕິ້ວ@|@wild rubber tree or vine (of several species)@
@ກະຕອ່ງ@|@ladle of wood or straw@
@ກະຕ່າຍ@|@grater@
@ກະຕ່າຍ@|@shredder@
@ກະຕ່າຍຂູດຫມາກພ້າວ@|@coconut grater or shredder@
@ກະຕ່າຍທົ່ງ@|@grater@
@ກະຕ່າຍເຫລັກ@|@metal grater@
@ກະຕ່າຍແກ້ວ@|@white rabbit@
@ກະຕ່າຍບ້ານ@|@the domestic rabbit@
@ກະຕ່າຍປ່າ@|@hare@
@ກະຕ່າຍຫມໍ່@|@the large domestic rabbit@
@ກະຕ່ອຍ@|@plant@
@ກະຕ້ອຍ@|@wild pepper@
@ກະຕ້ອຍ@|@leaves chewed@
@ກະຕັດ@|@scissors@
@ກະຕາດ@|@plaited bamboo@
@ກະຕາດ@|@grill rack@
@ກະຕຸດ@|@a charm (usually of silver)@
@ກະຕຸດ@|@with engraved inscription@
@ກະຕັນຍູ@|@grateful person@
@ກະຕັນຍູ@|@gratitude@
@ກະຕັນຍູຄວາມກະຕັນຍູ@|@gratitude@
@ກະຕັນຍູສແດງຄວາມ ກະຕັນຍູ@|@express one’s gratitude@
@ກະຕັນຍູດ້ວຍຄວາມ ກະຕັນຍູ@|@with gratitude@
@ກະເຕັນ@|@a large fish-eating bird@
@ກະເຕັນຊິວ@|@a small fish-eating bird@
@ກະໂຕ່ນ@|@a vine of the pumpkin family@
@ກະໂຕ່ນ@|@edible fruit@
@ກະຕາບໆ@|@in the manner of climbing down a tree@
@ກະຕິບ@|@bamboo box for cooked glutinous rice@
@ກະຕິບເຂົ້າ@|@bamboo box for cooked glutinous rice@
@ກະແຕບ@|@a very small stream fish@
@ກະແຕບ@|@almost transparent@
@ກະຕາມ@|@no matter@
@ກະຕາມຊ່າງ@|@It’s not important@
@ກະຕາມເທາະ@|@It doesn’t matter@
@ກະຕຽມ@|@prepare@
@ກະຕ້ວມກະຕ້ຽມ@|@slowly@
@ກະຕ້ວມກະຕ້ຽມ@|@weak in action@
@ກະຕ້ຽວ@|@loincloth@
@ກະຕ້ຽວ@|@sanitary@
@ກະຕ້ຽວ@|@napkin@
@ກະຖາ@|@text@
@ກະຖາ@|@word@
@ກະຖາ@|@maxim@
@ກະຖາ@|@spell@
@ກະຖາ@|@amulet@
@ກະຖາ@|@story@
@ກະຖາ@|@tale@
@ກະຖາສົລເຄາະ@|@text@
@ກະຖາສົລເຄາະ@|@word@
@ກະຖາສົລເຄາະ@|@maxim@
@ກະຖາສົລເຄາະ@|@spell@
@ກະຖາສົລເຄາະ@|@amulet@
@ກະຖາສົລເຄາະ@|@story@
@ກະຖາເທດສະນາ@|@orginal sermon@
@ກະຖາສຣິຕສາຄອນ@|@collection of legends@
@ກະຖາບົດ@|@text of a story@
@ກະຖາພັນ@|@story@
@ກະຖາພັນ@|@romance@
@ກະຖາພັນ@|@recitation@
@ກະຖາມຸກ@|@introduction to a book@
@ກະຖາຣາມ@|@collection of legends@
@ກະຖາຣົມ@|@prologue@
@ກະຖິກ@|@orator@
@ກະຖຶກ@|@orator@
@ກະຖຶກ@|@speaker@
@ກະຖັງ@|@flower pot@
@ກະຖັງດອກໄມ້@|@flower pot@
@ກະຖິນ@|@the yellow robe of bonzes@
@ກະຖິນ@|@tree of the acacia family@
@ກະຖິນທານ@|@the offering of@
@ກະຖິນ ກະຖິນ@|@to the bonzes@
@ກະຖິນທອດກະຖິນ@|@offer or deliver@
@ກະຖິນຮັບກະຖິນ@|@receive@
@ກະຖຸນ@|@slingshot@
@ກະຖຸນ@|@catapult@
@ກະໂຖ@|@spittoon@
@ກະໂຖ@|@cuspidor@
@ກະຖຽນ@|@a wading bird@
@ກະຖີບ@|@suspended trap for small animals@
@ກະທະ@|@a large cooking pot@
@ກະທາ@|@partridge@
@ກະທູ້@|@subject@
@ກະທູ້@|@principle@
@ກະທູ້@|@question@
@ກະທິ@|@sweet juice from northern coconut@
@ກະທິຫມາກພ້າວ@|@Coconut cream@
@ກະທື@|@plant of the saffron family@
@ກະທໍ່່@|@cylindrical pannier of bamboo@
@ກະໄທ@|@a male (rare usage)@
@ກະທຳ@|@do@
@ກະທຳ@|@make@
@ກະທຳ@|@act@
@ກະທຳ@|@perform@
@ກະທຳ@|@implement@
@ກະທຳການທົດລອງ@|@experience@
@ກະທຳການທົດລອງ@|@test@
@ກະທຳການທົດລອງ@|@try@
@ກະທຳການຮ່ວມກັນ@|@work together@
@ກະທຳຕາມ@|@follow@
@ກະທຳຕາມຂອບອຳນາດ@|@act within the scope of one’s authority@
@ກະທຳຕາມຫນ້າທີ່@|@do one’s duty@
@ກະທຳຕາມຫນ້າທີ່@|@act in accordance with one’s duty@
@ກະທຳຕາມອຳເພີໃຈ@|@do as one please@
@ກະທຳຜິດກົດຫມາຍ@|@violate the law@
@ກະທຳຫນ້າທີ@|@do one’s job@
@ກະທຳອັດຕະວິນິບາດ@|@commit suicide@
@ກະທຳອັດຕະວິບາດ@|@commit suicide@
@ກະແທກ@|@throw forcefully against an object@
@ກະແທກ@|@bump@
@ກະແທກ@|@knock@
@ກະທັງ@|@hardwood tree@
@ກະທັ່ງ@|@until@
@ກະທ້າງ@|@large forest dwelling lizard@
@ກະທ້າງ@|@with black ruff@
@ກະທິງ@|@wild ox@
@ກະທຸງ@|@pelican@
@ກະທົງ@|@square container made of banana leaves holding an offering@
@ກະທົງຫນ້າງົວ@|@triangular container made of banana leaves holding offering to the head@
@ກະເທີຍ@|@gay@
@ກະທ້ວຍ@|@buttocks@
@ກະທາດ@|@a spiny vine@
@ກະທາດ@|@growing in clearing or brush@
@ກະທາດເລືອດ@|@climbing plant@
@ກະທາດເລືອດ@|@tuber used for dye@
@ກະທອດ@|@roof beam@
@ກະທັນ@|@jujube@
@ກະທັນຫັນ@|@suddently@
@ກະທັນຫັນ@|@precipitously@
@ກະທັນຫັນ@|@immediately@
@ກະເທີນ@|@average@
@ກະເທີນ@|@midiocre@
@ກະທົບ@|@clash@
@ກະທົບ@|@dispute@
@ກະທົບ@|@collide@
@ກະທົບ@|@hit againt@
@ກະທົບກະເທືອນ@|@injure indirectly through someone else@
@ກະທືບ@|@stamp one’s foot@
@ກະທົ່ມ@|@a flowering plant growing in-clearings@
@ກະທ່ອມ@|@hut@
@ກະທ່ອມ@|@cabin@
@ກະທ່ອມ@|@cottage@
@ກະທ່ອມເລືອດ@|@plant of the saffron family@
@ກະທຽມ@|@a plant of the garlic family@
@ກະທຽມດອງ@|@garlic shredded into sauce@
@ກະທຽມດິບ@|@green garlic@
@ກະແທວ@|@vince@
@ກະທຽວ@|@a large@
@ກະທຽວ@|@woven bamboo basket for carrying large objects@
@ກະໄນ່@|@a reddish animal of the squirrel family@
@ກະນອງ@|@cannon@
@ກະນ່ອງ@|@Achilles tendon@
