@English@|@Sanskrit@
@(6 pp) to cut@|@kR^intati@
@(6 pp) to dance@|@nR^ityati@
@(6 pp) to find@|@vindati@
@(6 pp) to loosen@|@muJNchati@
@(6 pp) to plough@|@kR^ishati@
@(6 pp) to ponder@|@mR^iishati@
@(6 pp) to scatter@|@kirati@
@(6 pp) to show@|@dishati@
@(6 pp) to sink@|@majjati@
@(6 pp) to sprinkle@|@siJNchati@
@(6 pp) to throb@|@sphurati@
@(6 pp) to throw@|@kshipati@
@(6 pp) to touch@|@spR^ishati@
@(6 up) to wish@|@ichchhati@
@(abl.S)from space or sky@|@aakaashaat.h@
@(ablat.)from guessing or induction@|@anumaanaat.h@
@(abstract noun)greatness;weeightiness@|@gurutvaM@
@(Acc.S)the great self@|@brahmaM@
@(adj m) a promoter@|@pravartaka@
@(adj) barren@|@nirastapaadapa@
@(adj) bendable@|@namya@
@(adj) bitter@|@tikta@
@(adj) blue@|@niila@
@(adj) confused@|@samaakula@
@(adj) content@|@samaahita@
@(adj) crystal clear@|@sphuTatara@
@(adj) curved@|@vakraa@
@(adj) desirous of sin@|@paapavaasaniik.h@
@(adj) done by human@|@maanavii@
@(adj) dropped off@|@galita@
@(adj) economic@|@aarthika@
@(adj) eight@|@aSTau@
@(adj) ethical@|@naitika@
@(adj) evil-minded@|@agha.MmanaH, durmanaH@
@(adj) false@|@aliika@
@(adj) fat@|@sthuulaH@
@(adj) five@|@paNca@
@(adj) flourishing@|@samudita@
@(adj) four@|@catvaraH@
@(adj) garlanded with rays@|@mariichimaalin.h@
@(adj) greedy@|@lobhaavishhTa@
@(adj) happy@|@sa.nhR^ishhTa@
@(adj) healthy@|@niraamaya@
@(adj) heavy@|@guru@
@(adj) immersed@|@magna@
@(adj) incapable@|@akshama@
@(adj) inhuman@|@amaanushha@
@(adj) known@|@GYaatachara@
@(adj) limited to@|@parimita@
@(adj) limitted@|@saN^kuchit.h@
@(adj) little bit@|@stoka@
@(adj) long@|@diirghaa, diirghaH@
@(adj) loud@|@prauchchaarita@
@(adj) modern@|@aadhunika@
@(adj) new@|@naviinam.h@
@(adj) nine@|@nava@
@(adj) of the government@|@shaasakiiya@
@(adj) old@|@praachiinam.h@
@(adj) one@|@ekaH@
@(adj) outdated@|@kaalabaahyam.h@
@(adj) prosperous@|@sphiita@
@(adj) proud@|@saaTopa@
@(adj) published@|@prakaashita@
@(adj) rough@|@parusha@
@(adj) seven@|@sapta@
@(adj) short@|@hrasvaa@
@(adj) similar@|@sadR^isha@
@(adj) six@|@SaT@
@(adj) skilled@|@paTu@
@(adj) still@|@achala@
@(adj) straight@|@R^ijuH@
@(adj) strong@|@sthuula@
@(adj) swallowed@|@kavaliikR^ita@
@(adj) ten@|@dasha@
@(adj) thin@|@kR^ishaH@
@(adj) thirty@|@trimsat.h@
@(adj) three@|@trayaH@
@(adj) transparent@|@paaradarshaka@
@(adj) twenty@|@viMsati@
@(adj) two@|@dvau@
@(adj) un-invited@|@anaahuta@
@(adj) unknown@|@agochara@
@(adj) unpleasant@|@asaumya@
@(adj) unsurpassed@|@niratiyasha@
@(adj) white@|@shveta@
@(adj) windless@|@nirvaata@
@(adv) above@|@pR^ishhThataH, upari@
@(adv) ample@|@bhR^isha@
@(adv) at the centre@|@kendre@
@(adv) hastily@|@sahasaa@
@(adv) in the corner@|@koNe@
@(adv) inside@|@antaH@
@(adv) merely@|@kevalaM@
@(adv) near@|@samiipe@
@(adverb) at will@|@yethechchayaa@
@(also just puurvaa)@|@puurvaaphalguni@
@(and) Spring season@|@vasantau@
@(autumnal seasons) years@|@sharadaH@
@(bahuvriihi) big-bodied@|@sthuulashariira@
@(bahuvriihi) friend@|@suhR^id.h@
@(bauvriihi) wheel-shaped@|@chakraaakaara@
@(become) proud or arrogant@|@pramadaH@
@(but)bereft of knowledge  of the Self@|@GYaanavihinaH@
@(causative of aa+sad) resort to@|@aasaadaya@
@(causative of anu+car) follow@|@anuchaaraya@
@(causative of cit) to think@|@chintaya@
@(causative of ut+pat) produce@|@utpaataya@
@(dat.Sing.) for he happiness of many@|@bahujanasukhaaya@
@(dat.Sing.)for the welfare of many@|@bahujanahitaaya@
@(dative of)people@|@prajaanaaM@
@(Dative S) for virtu@|@puNyaaya@
@(even a little) happiness@|@sukhaleshaH@
@(f)  road@|@viithi@
@(f) (sewing) needle@|@suuchii@
@(f) a box@|@mJNjushhaa@
@(f) a chain@|@shR^iN^khalaa@
@(f) a giver of delight@|@raJNjanaa@
@(f) a multinational corporation@|@bahuraashhTriyasaMsthaa@
@(f) a pregnant woman@|@garbhiNii@
@(f) a repulse@|@avadhiiraNaa@
@(f) a respected woman@|@aaryaa@
@(f) a sack@|@poTalikaa@
@(f) a small tunnel@|@suraN^gikaa@
@(f) a symbol of hatred@|@shvastika@
@(f) a thatched hut@|@parNakuTii@
@(f) a whip@|@kashaa@
@(f) a woman selling flowers and garlands@|@maalaakaarii@
@(f) a woman who can't get enough@|@niMbhuminyak.h@
@(f) actress@|@naTii@
@(f) assembly@|@sabhaa@
@(f) background@|@pR^ishhThabhumikaa@
@(f) balance@|@tulaa@
@(f) bed@|@shayyaa@
@(f) bee@|@madhumakshikaa@
@(f) bicycle@|@dvichakrikaa@
@(f) bottle@|@kuupii@
@(f) brick@|@ishhTikaa@
@(f) bride@|@vadhuu@
@(f) broom@|@sammarjanii@
@(f) bucket@|@droNii@
@(f) calamity@|@durghaTanaa@
@(f) calendar@|@dinadarshikaa@
@(f) canal (carrying water for irrigation)@|@kulyaa@
@(f) candle@|@sikthavartikaa@
@(f) centipede@|@shatapadii@
@(f) chillies@|@mariichikaa@
@(f) Chinese take-out@|@daghibaaga@
@(f) clock@|@ghatii@
@(f) coffin@|@shavapetikaa@
@(f) comittee@|@samitii@
@(f) competition@|@ahamahamikaa@
@(f) cooking fire@|@chulli@
@(f) creeper@|@lataa@
@(f) cucumber@|@karkaTi@
@(f) cupboard@|@nidhaanikaa@
@(f) curtain@|@yavanikaa@
@(f) dandia (a dance using wooden sticks)@|@yashhTikriiDaa@
@(f) danseuse@|@nartakii@
@(f) daughter@|@duhitaa, duhitaH@
@(f) daughter-in-law@|@snushhaa@
@(f) dawn@|@usaH@
@(f) demand@|@abhiyaachanaa@
@(f) dining room@|@bhojanashaalaa@
@(f) doll@|@paaJNchaalikaa@
@(f) doorbell@|@aakaarikaa@
@(f) drawer@|@antaHpeTikaa@
@(f) dustbin@|@avakarikaa@
@(f) earth@|@vasundharaa@
@(f) east@|@praachii@
@(f) economic policy@|@aarthikaniiti@
@(f) editor@|@sampaadikaa@
@(f) elephant's trunk@|@shuNDaa@
@(f) exhibition@|@pradarshinii@
@(f) expectation@|@apekshaa@
@(f) eyeball@|@kaniinikaa@
@(f) falsehood@|@nikR^itii@
@(f) fame@|@prathaa@
@(f) file@|@saJNchikaa@
@(f) garden@|@vaaTikaa@
@(f) gas (LPG)@|@anilachulli@
@(f) ghungroo@|@kiN^kiNii@
@(f) ginger@|@shuNThii@
@(f) girl@|@kumaarii, kumaarikaa@
@(f) goat@|@ajaa@
@(f) granddaughter (son's daughter)@|@pautri@
@(f) grandmother (father's mother)@|@pitaamahi@
@(f) grandmother (mother's mother)@|@maataamahi@
@(f) grapes@|@draakshaa@
@(f) gums@|@dantapaalii@
@(f) headache@|@shirovedanaa@
@(f) hen@|@kukkuTii@
@(f) house lizard@|@gR^ihagodhikaa@
@(f) ink@|@mashii@
@(f) intelligence@|@praGYaa@
@(f) key@|@kunchikaa@
@(f) kitchen@|@paakashaalaa@
@(f) knife@|@chhurikaa@
@(f) laboratory@|@prayogashaalaa@
@(f) ladder@|@niHshreNikaa@
@(f) ladies-finger@|@bhiNDiH@
@(f) lady teacher@|@adhyaapikaa@
@(f) lightning@|@kshaNaprabhaa, saudaaminii@
@(f) limits@|@parimiti@
@(f) line@|@aavali@
@(f) little finger@|@kanishhThikaa@
@(f) maid@|@cheTii@
@(f) matchbox@|@agnipetikaa@
@(f) matchstick@|@agnishalaakaa@
@(f) memory@|@medhaa@
@(f) moonlight@|@jyotsnaa, kaumudii@
@(f) mother@|@mataH@
@(f) name@|@aakhyaa@
@(f) necklace@|@kaNThabhuushhaa@
@(f) newspaper@|@patrikaa, vR^ittapatrikaa@
@(f) noodles@|@suutrikaa@
@(f) north@|@udiichii@
@(f) number@|@saN^khyaa@
@(f) nurse@|@dhaatrii@
@(f) observatory (weather@|@vedhashaalaa@
@(f) one who speaks agreeable things@|@priyamvada@
@(f) organisation@|@saMsthaa@
@(f) paint brush@|@kuurchikaa@
@(f) papaya@|@madhukarkaTi@
@(f) penance@|@tapasyaa@
@(f) pencil@|@lekhanii@
@(f) permission@|@anumati@
@(f) pigtail@|@veNii@
@(f) pipe@|@naalikaa@
@(f) plate@|@sthaalikaa@
@(f) pleasure@|@argasiM@
@(f) poetess@|@kavayitrii@
@(f) policewoman@|@aarakshikaa@
@(f) politics@|@raajaniti@
@(f) pressure cooker@|@baashhpasthaalii@
@(f) punching machine@|@randhrikaa@
@(f) queen@|@raaGYii@
@(f) radio@|@aakaashavaaNii@
@(f) rangoli@|@raN^gavalli@
@(f) rifle@|@bhushuNDii@
@(f) river@|@nadi, nimnagaa, saritaa@
@(f) rocket@|@kshepaNii@
@(f) safety pin@|@suuchikaa@
@(f) sand@|@siikataa@
@(f) saree@|@shaaTikaa@
@(f) saucer@|@chashhakaadhaanii@
@(f) scale@|@maapikaa@
@(f) school@|@paaThashaalaa@
@(f) scissors@|@kartarii@
@(f) serving spoon@|@darvii@
@(f) singer@|@gaayikaa@
@(f) sister@|@svasaH@
@(f) south@|@avaachii@
@(f) stapler@|@yojinii@
@(f) statue@|@pratimaa@
@(f) stream@|@sarani@
@(f) student@|@vidyaarthinii@
@(f) style@|@shailii@
@(f) sugar@|@sharkaraa@
@(f) sunrise@|@purvi@
@(f) superiority@|@gariimaa@
@(f) syringe@|@aushhadhasuuchii@
@(f) table@|@utpiiThikaa@
@(f) tablet@|@gulikaa@
@(f) tamarind@|@tintriNii@
@(f) tendency@|@pravR^itti@
@(f) that belongs to the evening@|@sayanthini@
@(f) tiles (on the floor)@|@sthalaa@
@(f) tongue@|@jivhaa@
@(f) towel@|@javanikaa@
@(f) turmeric (haldii)@|@haridraa@
@(f) vase@|@pushhpadhaanii@
@(f) virgin@|@kanya@
@(f) west@|@pratiichii@
@(f) where to your erection@|@bhajaina@
@(f) wine@|@madira@
@(f) woman@|@strii@
@(f) wool@|@uurNaa@
@(f) wristwatch@|@hastaghaTii@
@(f) yoke@|@dhuraa@
@(f)pr.n@|@bakulaa@
@(fem) battleground@|@sa.ngraama-bhuumi@
@(fem) branch@|@shaakhaa@
@(fem) cave@|@guhaa@
@(fem) creeper@|@valli@
@(fem) desire@|@vaa.nchhaa@
@(fem) evening twilight@|@astamavelaa@
@(fem) extreme corner/edge@|@koTi@
@(fem) needle@|@suuchi@
@(fem) rain@|@aavR^ishhTi, dhaaraa@
@(fem) rope@|@rajju@
@(fem) shaving@|@kshurakriyaa@
@(fem) stone@|@shilaa@
@(fem) time@|@velaa@
@(fem) tooth@|@da.nshhTraa@
@(fem.Acc. Sing.)nectar@|@sudhaaM@
@(fem.acc.Sing.)mother@|@maataraM@
@(fem.instr.S)intellect@|@medhayaa@
@(fem.instr.sing.) by knowledge@|@vidyayaa@
@(fem.nom.pl.) women@|@naaryaH@
@(fem.nom.S)false; unreal@|@mithyaa@
@(Fem.nom.S)the moon@|@cha..ndramaa@
@(feminine form of saadhu ie@|@saadhvii@
@(from chapala) rashness@|@chaapalya@
@(from idaM) this@|@imaM@
@(from) consunption/destruction@|@kshayaat.h@
@(gerund) holding forth@|@prasaarya@
@(he was)commanded@|@aadishhTavaan.h@
@(helpless) Woman@|@abalaa@
@(in the) presence/nearness of@|@sannihite@
@(ind) once@|@sakR^it.h@
@(indec.)in many ways or differently@|@bahuDhaa@
@(indec.)indeed@|@khalu@
@(indecl) here and there@|@itastataH@
@(indecl) wanton@|@vR^ithaa@
@(indeclinable) below@|@adhaH@
@(indeclinable) now@|@saaMprataM@
@(instr.) through false knowledge@|@mithyaaGYaanena@
@(instr.pl.) animals@|@pashubhiH@
@(instr.S)  money or riches or wealth@|@dravyeNa@
@(instr.S) thro'good knowledge@|@suGYaanaaya@
@(instr.S)thro' hearing@|@shrutena@
@(instr.sing.)thro' discourse or lecture@|@pravachanena@
@(involvement in) many hobbies@|@vyaasaN^ga@
@(let the two go) before (me)@|@agrataH@
@(Loc.S) in advising others@|@paropadeshe@
@(Loc.S)in India or Bharat@|@bhaarate@
@(loc.sing) in words or speech@|@vachane@
@(Loc.sing.) during the day i.e day-by-day@|@dine@
@(loc.sing.) in bravery or adventure@|@saahase@
@(loc.sing.) in other person's hand@|@parahaste@
@(loc.sing.) in Union or togetherness or group@|@sa.nghe@
@(lotus like-)posture-stood@|@aasanastham.h@
@(m ?) election@|@nirvaachana@
@(m adj.) a performer@|@aahartR^i@
@(m) a ball@|@kanduka@
@(m) a banyan tree@|@vaTavR^ikshaH@
@(m) a bow@|@dhanuH@
@(m) a celebration of homosexuality@|@gheparaida@
@(m) a conch@|@shaN^khaH@
@(m) a crab@|@kuliiraH@
@(m) a father who loves his son very much@|@pedabhaila@
@(m) a fisherman@|@dhiivara@
@(m) a gold coin@|@maashha@
@(m) a handicapped person@|@khaJNjaH@
@(m) a happy homosexual@|@diikinaaH@
@(m) a have-not@|@akiJNchanaH@
@(m) a heap@|@chaya@
@(m) a learned man@|@vipashchit.h@
@(m) a leopard@|@chitrakaH@
@(m) a merchant@|@saarthavaaha@
@(m) a mongoose@|@nakulaH@
@(m) a multitude@|@samuuha@
@(m) a play@|@naaTaka@
@(m) a play with too many words@|@shekishpira@
@(m) a saw@|@krakachaH@
@(m) a snake charmer@|@ahituNDikaH@
@(m) a vow@|@saMgara@
@(m) a water-gun used during Holi@|@sechananaalaH@
@(m) a whistle@|@shiishkaaraH@
@(m) a wooden basket@|@kaNDolaH@
@(m) aanchal in Hindi@|@aJNchalaH@
@(m) actor@|@naTaH@
@(m) address@|@saN^ketaH@
@(m) aim@|@uddeshaH@
@(m) ambassador@|@raajaduutaH@
@(m) an alternative man@|@pansi@
@(m) an electirc switch@|@piJNjaH@
@(m) ancestors@|@puurvaka@
@(m) anger@|@amarshha@
@(m) angle@|@koNaH@
@(m) argument@|@vaadaH@
@(m) arm@|@iirma@
@(m) arrow@|@baaNaH@
@(m) assitant@|@saahaayyaka@
@(m) astringent@|@kashhaaya@
@(m) astronaut@|@gaganayaatrikaH@
@(m) axe@|@parashuH@
@(m) bank@|@vittakoshhaH@
@(m) bear@|@bhallukaH@
@(m) bed@|@maJNchaH@
@(m) bedbug@|@matkuNaH@
@(m) bedroom@|@shayanaprakoshhThaH@
@(m) beehive@|@madhukoshaH@
@(m) beggar@|@bhikshukaH@
@(m) board@|@phalakaH@
@(m) boy@|@kumaara@
@(m) broadcast@|@prasaaraH@
@(m) brother@|@bhraataH@
@(m) bubbles@|@bud.hbudaaH@
@(m) buffalo@|@mahishha@
@(m) bull@|@vR^ishhabhaH@
@(m) butcher@|@ghaatukaH@
@(m) butterfly@|@chitrapataN^gaH@
@(m) button@|@kuN^malaH@
@(m) camel@|@ushhTraH@
@(m) cancer@|@arbudarogaH@
@(m) carpenter@|@takshakaH@
@(m) carpet@|@kaTaH@
@(m) cashewnut@|@bhallatakaH@
@(m) cat@|@biDaalaH, marjaaraH@
@(m) chalk@|@sudhaakhaNDaH@
@(m) cheek@|@kapolaH@
@(m) chimney@|@dhuumanirgamaH@
@(m) chocolate candy@|@chaakalehaH@
@(m) cloud@|@toyadaH, vaarivaaha@
@(m) cloves@|@lavaN^gaH@
@(m) clown@|@viduushhakaH@
@(m) coalition@|@sarvakaaraH@
@(m) cock@|@kukkuTaH@
@(m) cockroach@|@tailapaH@
@(m) coconut@|@naarikelaH@
@(m) comet@|@dhuumaketuH@
@(m) compensation@|@parihaaraH@
@(m) conclusion@|@nishhkarshhaH@
@(m) confidence@|@aatmavishvaasaH@
@(m) confused@|@kiMkartavyataamuuDhaH@
@(m) conversation@|@saMvaada@
@(m) countless@|@asaN^khyaH@
@(m) court@|@nyaayalayaH@
@(m) cover story@|@mukhapuTalekhaH@
@(m) crane@|@bakaH@
@(m) customer@|@graahakaH@
@(m) cyclone@|@chakravaataH@
@(m) dam@|@jalabandhaH@
@(m) darkness@|@tamaH@
@(m) date@|@dinaaN^kaH@
@(m) dawn@|@apararaatra@
@(m) decision@|@saN^kalpaH@
@(m) delicious@|@svaadishhTaH@
@(m) desert@|@marubhuumiH@
@(m) dhoti@|@veshhTiH@
@(m) director@|@nirdeshakaH@
@(m) divine music@|@sangiita@
@(m) dog@|@kukkuraH, shunaka, shvan.h@
@(m) donkey@|@gardabhaH@
@(m) doubt@|@sandehaH@
@(m) drawing room@|@svaagatakaxaH@
@(m) driver@|@chaalakaH@
@(m) duck@|@kaadambaH@
@(m) eagle@|@gR^idhraH@
@(m) earthen pot@|@ghataH, ghaTaH@
@(m) eater@|@atra@
@(m) editor@|@sampaadaka, sampaadakaH, saMpaadakaH@
@(m) effect@|@pariNaamaH@
@(m) elbow@|@kuurparaH@
@(m) electric iron@|@samiikaraH@
@(m) essence@|@saaraH@
@(m) exchange@|@vinimayaH@
@(m) expanding of the hood by a cobra@|@phaTaaTopa@
@(m) experiment@|@prayogaH@
@(m) famine@|@avagraha@
@(m) farmer@|@kR^ishhakaH, kR^ishhiivalaH@
@(m) father@|@pitaH@
@(m) feast@|@bhojotsavaH@
@(m) field@|@ajra@
@(m) fist@|@mushhTiH@
@(m) flag@|@dhvajaH@
@(m) foam@|@phenaH@
@(m) foot@|@charaNaH@
@(m) frock@|@ardhanicholaH@
@(m) garden@|@aaraama@
@(m) gardener@|@maalaakaara, udyaanapaalakaH@
@(m) gathering@|@avachaya@
@(m) giraffe@|@chitroshhTraH@
@(m) glass@|@chashhakaH@
@(m) goldsmith@|@suvarNakaaraH@
@(m) granddaughter (daughter's daughter)@|@dauhitri@
@(m) grandfather (father's father)@|@pitaamaha@
@(m) grandfather (mother's father)@|@maataamaha@
@(m) grandson (daughter's son)@|@dauhitra@
@(m) grandson (son's son)@|@pautra@
@(m) grasshopper@|@shalabhaH@
@(m) groundnut@|@kalaayaH@
@(m) group@|@nivahaH, samuha@
@(m) guard@|@rakshakaH@
@(m) guest@|@atithi@
@(m) gum@|@niryaasaH@
@(m) hammer@|@mudgaraH@
@(m) handcuffs@|@nigaDaH@
@(m) heel@|@paarshhNiH@
@(m) helmet@|@shirastraaNa@
@(m) hippopotamus@|@kariyaadaH@
@(m) homework@|@gR^ihapaaThaH@
@(m) human skull@|@kapaalaH@
@(m) hunter@|@lubdhaka, vyaadhaH@
@(m) ice/snow@|@tushhaara@
@(m) ideal@|@aadarshaH@
@(m) incandescent bulb@|@vidyut.hkandaH@
@(m) income@|@aayaH@
@(m) iron@|@ayasaH@
@(m) island@|@dviipaH@
@(m) jaggery@|@guDaH@
@(m) journalist@|@patrakaaraH@
@(m) journey@|@pravaasaH@
@(m) judge@|@nyaayaadhishaH@
@(m) king@|@mahipaala, nR^ipa, rajaH@
@(m) kite@|@vaataaTaH@
@(m) knot@|@granthiH@
@(m) lawyer@|@nyaayavaadii@
@(m) leader@|@netaa, pramukhaH@
@(m) left-overs@|@kaldaspaagheti@
@(m) letter-box@|@patrapeTikaa@
@(m) library@|@granthaalayaH@
@(m) lion@|@siMhaH@
@(m) lips@|@adharaH@
@(m) lock@|@taalaH@
@(m) lungi@|@chitraveshhTiH@
@(m) magnifying lens@|@madhyonnatakaachaH@
@(m) mahout@|@hastipakaH@
@(m) map@|@bhuupaTaH@
@(m) marriage@|@udvaaha@
@(m) mattress@|@talpaH@
@(m) mention@|@vyapadesha@
@(m) minister@|@sachiva@
@(m) mirror@|@darpaNaH@
@(m) missile@|@kshepaNaastraH@
@(m) monkey@|@kapiH@
@(m) mosquito@|@mashakaH@
@(m) mosquito net@|@mashakajaalaH@
@(m) mouse@|@muushhakaH@
@(m) mouth@|@aasya@
@(m) necklace@|@kaNThahaaraH@
@(m) neighbour@|@prativeshin.h@
@(m) neutral@|@taTasthaH@
@(m) objection@|@aakShepaH@
@(m) obstacle@|@antaraaya@
@(m) ocean@|@abdhii@
@(m) office@|@kaaryaalayaH@
@(m) officer@|@adhikaariin.h@
@(m) onion@|@palaaNDuH@
@(m) opinion@|@abhipraayaH@
@(m) opportunity@|@avasaraH@
@(m) opposition@|@pratirodhaH@
@(m) organiser@|@aayojakaH@
@(m) ostrich@|@ushhTrapakshii@
@(m) owl@|@uluukaH@
@(m) painter@|@chitrakaara@
@(m) parrot@|@shukaH@
@(m) pate@|@khalvaaTaH@
@(m) peacock@|@mayuuraH@
@(m) peas@|@nishhpaavaH@
@(m) person who builds houses@|@lepakaaraH@
@(m) pickle@|@avalehaH@
@(m) pig@|@varaahaH@
@(m) pillar@|@stambhaH@
@(m) pilot@|@vaimaanikaH@
@(m) pit@|@garta@
@(m) pocket@|@koshhaH@
@(m) point@|@binduH@
@(m) policeman@|@aarakshakaH@
@(m) political party@|@paksha@
@(m) porcupine@|@shalyaH@
@(m) postage stamp@|@muulyaaN^kaH@
@(m) postman@|@patravaahaH@
@(m) potter@|@kulaalaH@
@(m) pr.n@|@sidhdaa.rth@
@(m) prawns@|@paaThiinaH@
@(m) prize@|@puraskaaraH@
@(m) progress@|@pragatiH, unnatiiH, vikaasaH@
@(m) project@|@upakramaH@
@(m) prosperity@|@utkarshhaH@
@(m) protector of the earth@|@kshitipaala@
@(m) pungent@|@kaTu@
@(m) python@|@ajagaraH@
@(m) rabbit@|@shashaH@
@(m) railway track@|@lohamaargaH@
@(m) rain@|@vR^ishhTiH@
@(m) rainbow@|@indrachaapa, indradhanuH@
@(m) refrigerator@|@shiitaka@
@(m) relatives@|@parivaaraH@
@(m) reporter@|@vaartaaharaH@
@(m) representative@|@pratinidhii@
@(m) residence@|@aavaasaH@
@(m) respect@|@aadaraH@
@(m) result@|@anubandha@
@(m) rhinoceros@|@khaN^gamR^igaH@
@(m) road@|@adhvaan.h@
@(m) roof@|@chhadiH@
@(m) room@|@prakoshhThaH@
@(m) root@|@kandaH@
@(m) rope@|@doraka, rajjuH@
@(m) ruler@|@maapanadaNDaH@
@(m) salty@|@lavaNa@
@(m) Sanskrit hi-tech@|@kampiutaH@
@(m) satellite@|@upagrahaH@
@(m) scar@|@vraNaH@
@(m) school@|@vidyaalayaH@
@(m) scientist@|@vaiGYaanikaH@
@(m) sculptor@|@shilpii@
@(m) sea@|@payodhi@
@(m) servant@|@sevaka@
@(m) sheep@|@meshhaH@
@(m) shield@|@kheTaH@
@(m) shop@|@aapaNaH@
@(m) shop-keeper@|@aapaNikaH@
@(m) shoulder@|@skandhaH@
@(m) singer@|@gaayakaH@
