@English@|@Italian (Theology)@
@(adj.)- portrayed@|@ritratto@
@(adj.)- posthumous (published after the death of an author)@|@postumo@
@(adj.)- precarious@|@precario@
@(adj.)- precautionary@|@cautelare@
@(adj.)- precious@|@prezioso@
@(adj.)- previous@|@precedente@
@(adj.)- private@|@privato@
@(adj.)- profound@|@profondo@
@(adj.)- prophetic (veggente)@|@indovino@
@(adj.)- proposed (past part. of proporre)@|@proposto@
@(adj.)- proud@|@superbo@
@(adj.)- pure@|@puro@
@(adj.)- qualitative@|@qualitativo@
@(adj.)- real@|@effettivo@
@(adj.)- refined (past part. of raffinare)@|@raffinato@
@(adj.)- regulating@|@dispositivo@
@(adj.)- reverse@|@rovescio@
@(adj.)- rich@|@ricco@
@(adj.)- right@|@destro@
@(adj.)- rising (fonte- germe- origine- principio- provenienza)@|@sorgente@
@(adj.)- rival@|@rivale@
@(adj.)- rotten@|@marcio@
@(adj.)- ruling@|@reggente@
@(adj.)- running@|@corrente@
@(adj.)- rustic@|@contadino@
@(adj.)- same@|@uguale@
@(adj.)- shameful@|@vergognoso@
@(adj.)- silly@|@sciocco, stolto@
@(adj.)- single@|@singolo@
@(adj.)- skillful@|@esperto@
@(adj.)- slave@|@schiavista@
@(adj.)- smart@|@furbo@
@(adj.)- solid@|@saldo@
@(adj.) -sought-after@|@ambito@
@(adj.)- southern@|@meridionale@
@(adj.)- soverign@|@sovrano@
@(adj.)- straight@|@diritto, dritto@
@(adj.)- stuck in@|@fitto@
@(adj.)- successful@|@promosso@
@(adj.)- suffering@|@affetto, sofferente@
@(adj.)- suitable@|@atto@
@(adj.)- supernatural@|@soprannaturale@
@(adj.)- surrounding@|@intorno@
@(adj.)- teaching@|@docente@
@(adj.)- temporal@|@temporale@
@(adj.)- thick@|@spesso@
@(adj.)- tiny@|@pargolo@
@(adj.)- to turn@|@volgere@
@(adj.)- touched@|@tocco@
@(adj.)- turned@|@volto@
@(adj.)- uncertain@|@incerto@
@(adj.)- uncovered@|@scoperto@
@(adj.)- unexpected@|@imprevisto@
@(adj.)- unknown@|@sconosciuto@
@(adj.)- used@|@uso@
@(adj.)- usual@|@consueto, solito@
@(adj.)- vernacular@|@volgare@
@(adj.)- voluntary@|@volontario@
@(adj.)- western@|@occidentale@
@(adj.)- whole@|@intero@
@(adj.)- wicked@|@iniquo, malvagio@
@(adj.)- wide@|@lato@
@(adj./adv.)- upstairs@|@disopra@
@(adv.) - directly@|@dritto@
@(adv.) - slowly@|@adagio@
@(adv.)- away@|@via@
@(adv.)- curtly@|@asciutto@
@(adv.)- deeply@|@profondo@
@(adv.)- direct@|@diretto@
@(adv.)- directly@|@diritto@
@(adv.)- double@|@doppio@
@(adv.)- even@|@fino@
@(adv.)- exactly@|@appunto@
@(adv.)- from there@|@ne@
@(adv.)- further@|@innanzi@
@(adv.)- in a draw@|@pari@
@(adv.)- in any case@|@comunque@
@(adv.)- in between@|@tramezzo@
@(adv.)- in front@|@davanti, dinanzi@
@(adv.)- often@|@spesso@
@(adv.)- only@|@solamente, solo, soltanto, unicamente@
@(adv.)- opposite@|@incontro@
@(adv.)- quite@|@parecchio@
@(adv.)- round@|@intorno@
@(adv.)- softly@|@piano@
@(adv.)- together@|@assieme, insieme@
@(adv.)- under@|@sotto@
@(conj.)- but@|@soltanto@
@(conj.)- but only@|@solamente, solo@
@(conj.)- however@|@comunque@
@(conj.)- if only@|@magari@
@(conj.)- though@|@malgrado@
@(f- l') - emphasis@|@enfasi@
@(f- l') - inheritance@|@eredità@
@(f- l')- abbey@|@abbazia@
@(f- l')- acceptance@|@accettazione@
@(f- l')- actualization@|@attuazione@
@(f- l')- addition@|@aggiunta@
@(f- l')- adventure@|@avventura@
@(f- l')- affinity@|@affinità@
@(f- l')- age@|@età@
@(f- l')- aggregation@|@aggregazione@
@(f- l')- anaphora (a literary device in which there is a repetition of a word or words at the beginning of each phrase- paragraph- etc. in order to emphasize a particular theme or message)@|@anafora@
@(f- l')- anger@|@ira@
@(f- l')- anguish@|@angoscia@
@(f- l')- anthesis@|@antitesi@
@(f- l')- antipathy@|@antipatia@
@(f- l')- appearance@|@apparenza@
@(f- l')- approval@|@approvazione@
@(f- l')- ascent@|@ascesa@
@(f- l')- attestation@|@attestazione@
@(f- l')- attitude@|@attitudine@
@(f- l')- avarice (brama- cupidigia- gola- ingordigia)@|@avarizia@
@(f- l')- bitterness@|@amarezza@
@(f- l')- charity@|@elemosina@
@(f- l')- covenant@|@alleanza@
@(f- l')- dawn@|@alba@
@(f- l')- demand@|@esigenza@
@(f- l')- ecstasy@|@estasi@
@(f- l')- embassy@|@ambasciata@
@(f- l')- envy@|@invidia@
@(f- l')- epoch@|@epoca@
@(f- l')- essence@|@essenza@
@(f- l')- evidence@|@evidenza@
@(f- l')- exegesis@|@esegesi@
@(f- l')- expiation@|@espiazione@
@(f- l')- explanation@|@esplicazione@
@(f- l')- extraneousness@|@estraneità@
@(f- l')- formulation@|@impostazione@
@(f- l')- gathering@|@accolta@
@(f- l')- girlfriend@|@amoroso@
@(f- l')- greed (avarizia- brama- cupidigia- gola)@|@ingordigia@
@(f- l')- habit@|@abitudine@
@(f- l')- hegemony@|@egemonia@
@(f- l')- hesitation@|@esitazione@
@(f- l')- honesty@|@onestà@
@(f- l')- image@|@immagine@
@(f- l')- imprint@|@impronta@
@(f- l')- inaccuracy@|@imprecisione@
@(f- l')- incidence@|@incidenza@
@(f- l')- indigence@|@indigenza@
@(f- l')- inquiry@|@inchiesta@
@(f- l')- intendancy@|@intendenza@
@(f- l')- interference@|@ingerenza@
@(f- l')- maidservant@|@ancella@
@(f- l')- marginalization@|@emarginazione@
@(f- l')- minimization@|@attenuazione@
@(f- l')- nature@|@indole@
@(f- l')- objection@|@obiezione@
@(f- l')- opening@|@apertura@
@(f- l')- otherness@|@alterità@
@(f- l')- reasoning@|@argomentazione@
@(f- l')- reliability@|@attendibilità@
@(f- l')- request@|@istanza@
@(f- l')- research@|@indagine@
@(f- l')- resemblance@|@assomiglianza@
@(f- l')- restlessness@|@inquietudine@
@(f- l')- setting@|@ambientazione@
@(f- l')- shade@|@ombra@
@(f- l')- sloth@|@indolenza@
@(f- l')- sloth (indolenza)@|@accidia@
@(f- l')- soul@|@anima@
@(f- l')- sterility@|@infecondità@
@(f- l')- task@|@impresa@
@(f- l')- tax@|@imposta@
@(f- l')- topical presentation@|@attualizzazione@
@(f- l')- understanding@|@intesa@
@(f- l')- vestige@|@orma@
@(f- l')- waiting@|@aspettativa, attesa@
@(f- l')- warning (avvertimento- avviso- ammonimento- monito- richiamo)@|@avvertenza@
@(f- l')- wave@|@onda@
@(f- l')- weapon@|@arma@
@(f- l')- welcome@|@accoglienza@
@(f- l')- wholeness@|@interezza@
@(f- l')- width@|@ampiezza@
@(f- l')- wing@|@ala@
@(f- l')- year@|@annata@
@(f- la) - creature@|@creatura@
@(f- la) - fold@|@piega@
@(f- la) - spring@|@fonte@
@(f- la)- abbey@|@badia@
@(f- la)- achievement@|@realizazzione@
@(f- la)- addition@|@giunta@
@(f- la)- adhesion@|@aderenza@
@(f- la)- advisor@|@consigliera@
@(f- la)- agreement@|@concordanza, convenzione, sintonia@
@(f- la)- aim@|@mira@
@(f- la)- altar@|@mensa@
@(f- la)- anger@|@collera@
@(f- la)- appearance@|@comparizione, comparsa@
@(f- la)- arrogance@|@superbia@
@(f- la)- ascertation@|@constatazione@
@(f- la)- ash@|@cenere@
@(f- la)- associability@|@associabilità@
@(f- la)- attic@|@soffitta@
@(f- la)- availability@|@disponibilità@
@(f- la)- back@|@schiena@
@(f- la)- balance@|@bilancia@
@(f- la)- bank (of a river)@|@sponda@
@(f- la)- basis@|@base@
@(f- la)- bell@|@campana@
@(f- la)- bet@|@scommessa@
@(f- la)- blasphemy@|@bestemmia@
@(f- la)- blindness@|@cecità@
@(f- la)- boredom@|@noia@
@(f- la)- breach@|@breccia@
@(f- la)- brotherhood@|@fratellanza@
@(f- la)- bull (Papal)@|@bolla@
@(f- la)- calumny@|@calunnia@
@(f- la)- capacity@|@capacità@
@(f- la)- card@|@tessera@
@(f- la)- care@|@cura@
@(f- la)- career@|@carriera@
@(f- la)- cause@|@causa@
@(f- la)- caution@|@cautela@
@(f- la)- cave@|@grotta@
@(f- la)- certitude@|@certezza@
@(f- la)- chain@|@catena@
@(f- la)- challenge@|@sfida@
@(f- la)- chancery@|@cancelleria@
@(f- la)- change@|@muta@
@(f- la)- charge@|@retta@
@(f- la)- charge (electrical or of arms)@|@carica@
@(f- la)- charity@|@carità@
@(f- la)- chivalry@|@cavalleria@
@(f- la)- choice@|@scelta@
@(f- la)- civilization@|@civiltà@
@(f- la)- claim@|@pretesa@
@(f- la)- clause@|@clausola@
@(f- la)- coersion@|@coazione@
@(f- la)- coffin@|@bara@
@(f- la)- cohabitation@|@convivenza@
@(f- la)- coherence@|@coerenza@
@(f- la)- collapse@|@rovina@
@(f- la)- collection@|@colletta@
@(f- la)- column@|@colonna@
@(f- la)- coming@|@venuta@
@(f- la)- comparison@|@comparazione@
@(f- la)- competition@|@concorrenza@
@(f- la)- concord@|@concordia@
@(f- la)- conduct@|@condotta@
@(f- la)- Confirmation@|@Cresima@
@(f- la)- conscience@|@coscienza@
@(f- la)- consciousness@|@consapevolezza@
@(f- la)- consequence@|@conseguenza@
@(f- la)- conspiracy@|@congiura@
@(f- la)- constant@|@costante@
@(f- la)- convergence@|@confluenza@
@(f- la)- conviction@|@convinzione@
@(f- la)- copy@|@copia@
@(f- la)- corpse@|@salma@
@(f- la)- counseling@|@consulenza@
@(f- la)- country@|@campagna, patria@
@(f- la)- couple@|@coppia@
@(f- la)- cover@|@copertina@
@(f- la)- cowardice@|@viltà@
@(f- la)- crisis@|@crisi@
@(f- la)- crowd@|@folla@
@(f- la)- crucifiction@|@crocifissione@
@(f- la)- cruelty@|@crudeltà@
@(f- la)- crusade@|@crociata@
@(f- la)- curtain@|@tenda@
@(f- la)- custom@|@consuetudine@
@(f- la)- date@|@data@
@(f- la)- death@|@scomparsa@
@(f- la)- decay@|@carie, decadenza@
@(f- la)- defeat@|@sconfitta@
@(f- la)- defense@|@difesa@
@(f- la)- delegation@|@delega@
@(f- la)- delimitation@|@delimitazione@
@(f- la)- departure@|@partenza@
@(f- la)- dependability@|@affidabilità@
@(f- la)- deposit@|@caparra@
@(f- la)- descent@|@dicesa, discesa@
@(f- la)- destination@|@meta@
@(f- la)- destiny@|@sorte@
@(f- la)- discharge@|@scarica@
@(f- la)- discovery (rinvenimento- riscontro- ritrovato)@|@scoperta@
@(f- la)- disposition@|@disposizione@
@(f- la)- divergence@|@divergenza@
@(f- la)- division@|@spartizione@
@(f- la)- doctrine@|@dottrina@
@(f- la)- dove@|@colomba@
@(f- la)- drawing up@|@stesura@
@(f- la)- dust@|@polvere@
@(f- la)- Easter@|@Pasqua@
@(f- la)- effectiveness@|@efficacia@
@(f- la)- end@|@fine@
@(f- la)- esteem (pregio)@|@stima@
@(f- la)- event@|@vicenda@
@(f- la)- exhortation@|@paranese@
@(f- la)- existence@|@sussistenza@
@(f- la)- exit@|@uscita@
@(f- la)- fable@|@favola@
@(f- la)- face@|@faccia@
@(f- la)- fall@|@calata@
@(f- la)- farsightedness@|@lungimiranza@
@(f- la)- fatigue@|@fatica@
@(f- la)- fear@|@tema@
@(f- la)- fidelity@|@fedeltà@
@(f- la)- fight@|@mischia@
@(f- la)- fineness@|@finezza@
@(f- la)- finiteness@|@finitezza@
@(f- la)- firmness@|@fermezza, solidità@
@(f- la)- firstling@|@primizia@
@(f- la)- flight@|@fuga@
@(f- la)- foolishness@|@sciocchezza@
@(f- la)- footprint@|@pista@
@(f- la)- foretaste@|@pregustazione@
@(f- la)- fortune@|@ventura@
@(f- la)- foundation@|@instaurazione@
@(f- la)- fox@|@volpe@
@(f- la)- fraud@|@truffa@
@(f- la)- frontier@|@frontiera@
@(f- la)- genesis@|@genesi@
@(f- la)- goodness@|@bontà@
@(f- la)- grasp@|@presa, stretta@
@(f- la)- gratitude@|@riconoscenza@
@(f- la)- grave@|@fossa@
@(f- la)- greed@|@cupidigia@
@(f- la)- guarantee@|@garanzia@
@(f- la)- half@|@metà@
@(f- la)- hardness@|@durezza@
@(f- la)- harvesting@|@raccolta@
@(f- la)- haze@|@caligine, foschia@
@(f- la)- head@|@testa@
@(f- la)- hierarchy@|@gerarchia@
@(f- la)- hill@|@collina@
@(f- la)- holding@|@tenuta@
@(f- la)- homily@|@predica@
@(f- la)- hurry@|@premura@
@(f- la)- importance@|@portata@
@(f- la)- injury@|@ferita@
@(f- la)- introduction@|@premessa@
@(f- la)- joy@|@gioia@
@(f- la)- justice@|@giustizia@
@(f- la)- lack@|@carenza@
@(f- la)- law@|@legge@
@(f- la)- left@|@sinistra@
@(f- la)- leg@|@gamba@
@(f- la)- length@|@lunghezza@
@(f- la)- Lent@|@Quaresima@
@(f- la)- licence@|@licenza, patente@
@(f- la)- lie@|@bugia, menzogna@
@(f- la)- line@|@distesa, riga@
@(f- la)- location@|@collocazione@
@(f- la)- longing@|@brama@
@(f- la)- loss@|@perdita@
@(f- la)- lust (brama- voglia)@|@lussuria@
@(f- la)- majesty@|@regalità@
@(f- la)- management@|@gestione@
@(f- la)- manger@|@mangiatoia@
@(f- la)- march@|@marcia@
@(f- la)- mass@|@massa@
@(f- la)- matter@|@faccenda@
@(f- la)- measure@|@misura@
@(f- la)- meekness@|@mitezza@
@(f- la)- mercy@|@pietà@
@(f- la)- metaphor@|@metafora@
@(f- la)- method@|@modalità@
@(f- la)- mid-wife (a woman who helps another woman in childbirth)@|@levatrice@
@(f- la)- mine@|@miniera@
@(f- la)- misfortune@|@sventura@
@(f- la)- mistrust@|@diffidenza@
@(f- la)- miter@|@mitra@
@(f- la)- mode@|@moda@
@(f- la)- narrow-mindedness@|@chiusura@
@(f- la)- nave@|@navata@
@(f- la)- nearness@|@vicinanza@
@(f- la)- net@|@rete@
@(f- la)- newness@|@novità@
@(f- la)- nomination@|@nomina@
@(f- la)- norm@|@norma@
@(f- la)- nuance@|@sfumatura@
@(f- la)- numeral@|@cifra@
@(f- la)- oneness@|@unicità@
@(f- la)- opposition@|@contrapposizione@
@(f- la)- ordeal (calvario- prova)@|@ordalia@
@(f- la)- origin@|@provenienza@
@(f- la)- palace (palazzo)@|@reggia@
@(f- la)- Palm Sunday@|@Pasqua fiorita@
@(f- la)- parable@|@parabola@
@(f- la)- parish@|@parrocchia@
@(f- la)- part@|@parte@
@(f- la)- penalty@|@pena@
@(f- la)- Pentecost@|@Pasqua delle rose, Pentecoste@
@(f- la)- performance@|@prestazione@
@(f- la)- perishableness@|@caducità@
@(f- la)- perspective@|@prospettiva@
@(f- la)- planning@|@pianificazione, progettazione@
@(f- la)- plant@|@pianta@
@(f- la)- plea@|@supplica@
@(f- la)- plentitude@|@pienezza@
@(f- la)- plot@|@trama@
@(f- la)- point@|@punta@
@(f- la)- polemic@|@polemica@
@(f- la)- politics@|@politica@
@(f- la)- post@|@postazione@
@(f- la)- power@|@balia, potenza@
@(f- la)- praise@|@lode@
@(f- la)- praxis@|@prassi@
@(f- la)- preaching@|@predicazione@
@(f- la)- precedence@|@precedenza@
@(f- la)- prediction@|@previsione@
@(f- la)- predilection@|@predilezione@
@(f- la)- preface@|@prefazione@
@(f- la)- pregnancy@|@gravidanza@
@(f- la)- prescription@|@ricetta@
@(f- la)- presentation@|@prospettazione@
@(f- la)- pressing@|@pressa@
@(f- la)- pressure@|@pressione@
@(f- la)- presumption@|@presunzione@
@(f- la)- pretense@|@finta@
@(f- la)- prevalence@|@prevalenza@
@(f- la)- procedure@|@procedura@
@(f- la)- progeny@|@progenie@
@(f- la)- promise@|@promessa@
@(f- la)- promptness@|@sollecitudine@
@(f- la)- proof@|@comprova@
@(f- la)- propensity@|@propensione@
@(f- la)- property@|@proprietà@
@(f- la)- proposal@|@proposta@
@(f- la)- protection@|@tutela@
@(f- la)- Providence@|@provvidenza@
@(f- la)- push@|@spinta@
@(f- la)- quotation@|@citazione@
@(f- la)- race@|@razza@
@(f- la)- range@|@gamma@
@(f- la)- rashness@|@sconsideratezza@
@(f- la)- readiness@|@prontezza@
@(f- la)- reading@|@lettura@
@(f- la)- recovery@|@guarigione@
@(f- la)- rectory (canonica- presbiterio)@|@pievania@
@(f- la)- rectory (presbiterio- pievania)@|@canonica@
@(f- la)- recurrence@|@ricorrenza@
@(f- la)- relapse@|@ricaduta@
@(f- la)- relationship@|@parentela@
@(f- la)- request@|@richiesta@
@(f- la)- research@|@ricerca@
@(f- la)- resemblance@|@rassomiglianza, somiglianza@
@(f- la)- result@|@riuscita@
@(f- la)- resumption@|@ripresa@
@(f- la)- revenge@|@vendetta@
@(f- la)- review@|@rassegna, rivista@
@(f- la)- revolt@|@rivolta@
@(f- la)- right@|@destra@
@(f- la)- rock@|@roccia@
@(f- la)- room@|@stanza@
@(f- la)- root@|@radice@
@(f- la)- rough draft@|@bozza@
@(f- la)- route@|@rotta@
@(f- la)- rule@|@regola@
@(f- la)- rule (kingly)@|@signoria@
@(f- la)- safety@|@sicurezza@
@(f- la)- scene@|@scena@
@(f- la)- schedule@|@scheda@
@(f- la)- science@|@scienza@
@(f- la)- seat@|@sedia@
@(f- la)- sentence@|@sentenza@
@(f- la)- sequence@|@sequela@
@(f- la)- series@|@collana, serie@
@(f- la)- sham@|@finzione@
@(f- la)- shame@|@vergonia@
@(f- la)- shape@|@forma@
@(f- la)- sharp pain@|@fitta@
@(f- la)- sheep@|@pecora@
@(f- la)- ship@|@nave@
@(f- la)- shoulder@|@spalla@
@(f- la)- sickness@|@malattia@
@(f- la)- sign@|@nota@
@(f- la)- signature@|@firma@
@(f- la)- size@|@taglia@
@(f- la)- slavery@|@schiavitù@
@(f- la)- small bell@|@campanella@
@(f- la)- sobriety@|@sobrietà@
@(f- la)- solicitation@|@sollecitazione@
@(f- la)- sore@|@piaga@
@(f- la)- sovereignty@|@sovranità@
@(f- la)- spark@|@scintilla@
@(f- la)- species@|@specie@
@(f- la)- sphere@|@sfera@
@(f- la)- split@|@spaccatura@
@(f- la)- spring@|@sorgente@
@(f- la)- stain@|@macchia@
@(f- la)- statement@|@dichiarazione@
@(f- la)- step@|@tappa@
@(f- la)- stop@|@sosta@
@(f- la)- storm@|@tempesta@
@(f- la)- street@|@via@
@(f- la)- strength@|@forza@
@(f- la)- stronghold@|@rocca@
@(f- la)- structure@|@compagine@
@(f- la)- struggle@|@lotta@
@(f- la)- submission@|@sottomissione@
@(f- la)- sum@|@somma@
@(f- la)- surrender@|@resa@
@(f- la)- sword@|@spada@
@(f- la)- synthesis@|@sintesi@
@(f- la)- tear@|@lacrima@
@(f- la)- temperance@|@continenza@
@(f- la)- temptation@|@tentazione@
@(f- la)- tenderness@|@tenerezza@
@(f- la)- theme@|@tematica@
@(f- la)- thesis@|@tesi@
@(f- la)- thorn@|@spina@
@(f- la)- threat@|@minaccia@
@(f- la)- threshold@|@soglia@
@(f- la)- throat@|@gola@
@(f- la)- time@|@volta@
@(f- la)- tithe@|@decima@
@(f- la)- tonsure@|@chierica@
@(f- la)- torch@|@torcia@
@(f- la)- torture@|@tortura@
@(f- la)- trace@|@traccia@
@(f- la)- trial@|@prova@
@(f- la)- trip@|@gita@
@(f- la)- truce@|@tregua@
@(f- la)- trust@|@fiducia@
@(f- la)- truth@|@verità@
@(f- la)- tunnel@|@galleria@
@(f- la)- turning point@|@svolta@
@(f- la)- uprising@|@sommossa@
@(f- la)- valuation@|@valutazione@
@(f- la)- vein@|@vena@
@(f- la)- vigil@|@veglia@
@(f- la)- vine@|@vite@
@(f- la)- vineyard (vigneto)@|@vigna@
@(f- la)- wake@|@scia@
@(f- la)- wall@|@parete@
@(f- la)- watch@|@scolta, vigilia@
@(f- la)- weakness@|@debollezza@
@(f- la)- wealth@|@ricchezza@
@(f- la)- wetnurse (balia)@|@nutrice@
@(f- la)- wickedness@|@malvagità@
@(f- la)- widow@|@vedova@
@(f- la)- width@|@larghezza@
@(f- la)- will@|@voglia, volontà@
@(f- la)- wisdom@|@saggezza, sapienza@
@(f- la)- wisecrack@|@battuta@
@(f- la)- womb (grembo- seno)@|@viscere@
@(f- la)- wonder@|@meraviglia@
@(f- la)- writing@|@redazione@
@(f- la)- young girl@|@fanciulla@
@(f- le)- darkness@|@tenebre@
@(f- le)- embers@|@brace, bracia@
@(f- le)- wedding@|@nozze@
@(f- pl. = braccia)- hands@|@braccio@
@(f- pl.- le)- feelings@|@viscere@
@(f. pl.- le)- funeral rites@|@esequie@
@(indef. pron. pl.)- some@|@certo@
@(indef. pron.)- something@|@qualcosa@
@(inter.) - woe@|@guai@
@(inter.)- go away!@|@via@
@(inter.)- of course!@|@magari@
@(isc verb)- to abolish@|@abolire@
@(isc verb)- to accept@|@gradire@
@(isc verb)- to act@|@agire@
@(isc verb)- to adhere@|@aderire@
@(isc verb)- to articulate@|@scandire@
@(isc verb)- to assent@|@assentire@
@(isc verb)- to assert@|@asserire@
@(isc verb)- to astonish@|@stupire@
@(isc verb)- to attack@|@aggredire@
@(isc verb)- to be touched@|@intenerirsi@
@(isc verb)- to betray@|@tradire@
@(isc verb)- to bury@|@seppellire@
@(isc verb)- to calm down@|@attutirsi@
@(isc verb)- to carve@|@scolpire@
@(isc verb)- to come together@|@confluire@
@(isc verb)- to conceive@|@concepire@
@(isc verb)- to confer@|@conferire@
@(isc verb)- to construct@|@costruire@
@(isc verb)- to cry@|@guaire@
@(isc verb)- to cure@|@guarire@
@(isc verb)- to defer@|@deferire@
@(isc verb)- to differ@|@differire@
@(isc verb)- to disappear@|@sparire@
@(isc verb)- to dry up@|@inaridire@
@(isc verb)- to ease@|@attutire@
@(isc verb)- to exhaust@|@esaurire@
@(isc verb)- to exhibit@|@esibire@
@(isc verb)- to explain@|@chiarire@
@(isc verb)- to fail@|@fallire@
@(isc verb)- to favor@|@favorire@
@(isc verb)- to fulfull@|@adempire@
@(isc verb)- to give birth to@|@partorire@
@(isc verb)- to grant@|@esaudire@
@(isc verb)- to guard@|@custodire@
@(isc verb)- to hit@|@colpire@
@(isc verb)- to impart@|@impartire@
@(isc verb)- to impede@|@impedire@
@(isc verb)- to insert@|@inserire@
@(isc verb)- to intuit@|@intuire@
@(isc verb)- to lose weight@|@dimagrire@
@(isc verb)- to manage@|@gestire@
@(isc verb)- to perceive@|@percepire@
@(isc verb)- to perish@|@perire@
@(isc verb)- to pity@|@compatire@
@(isc verb)- to progress@|@progredire@
@(isc verb)- to react@|@reagire@
@(isc verb)- to reaffirm@|@ribadire@
@(isc verb)- to refer@|@riferirsi@
@(isc verb)- to report@|@riferire@
@(isc verb)- to rot@|@marcire@
@(isc verb)- to sanction@|@sancire@
@(isc verb)- to show off@|@esibirsi@
@(isc verb)- to spring@|@scaturire@
@(isc verb)- to study in depth@|@approfondire@
@(isc verb)- to suffer@|@patire, subire@
@(isc verb)- to suggest@|@suggerire@
@(isc verb)- to supply@|@fornire@
@(isc verb)- to touch@|@intenerire@
@(isc verb)- to unite@|@unire@
@(isc verb)- to use as@|@adibire@
@(isc verb)- to utter@|@proferire@
@(isc verb)- to wound@|@ferire@
@(m & f- il or la)- bully@|@prepotente@
@(m- i)- data@|@dati@
@(m- il & adj)- neurotic@|@nevrotico@
@(m- il & adj.)- amateur@|@dilettante@
@(m- il and adj.)- above mentioned@|@sopraddetto@
@(m- il) - beacon@|@faro@
@(m- il) - honey@|@miele@
@(m- il) - line@|@verso@
@(m- il) - quarrel@|@piato@
@(m- il)- advice@|@consiglio@
@(m- il)- advisor@|@consigliere@
@(m- il)- agreement@|@contratto@
@(m- il)- aid (study aid)@|@sussidio@
@(m- il)- altar server@|@chierichetto@
@(m- il)- arm@|@braccio@
