@English@|@Mangaian@
@hold fast!@|@mauria!@
@host@|@nuku, nuu@
@how many?@|@eia@
@i have love you@|@i inangaro ana au ia kotou@
@I will go to Sacred Island@|@E kave au i Motutapu@
@I will not climb@|@aua au e kake@
@I won't part with my grandson@|@aore a e pau atu i tau moko@
@in the presence of Vatea@|@i mua i te aro o Vatea@
@innumerable@|@manomano@
@invocations@|@karakia@
@irregular@|@hehe@
@it was dead@|@na kua mate@
@king@|@ariki@
@kua aati te nio o Veetini@|@the teeth of Vetini are broken@
@land crab@|@karau@
@last words@|@poro@
@let dow the ropes to spirits@|@e tuku te taura i enuakura@
@let the king rule@|@vananga mai nga aroki@
@let the land-crab climb@|@na te papaka e kake@
@life@|@te tangaengae, te vaerua@
@light@|@mahina@
@limit@|@vehu@
@love@|@aroa, inan'alo@
@Miru herself will provide it@|@Na Miru rai e kave@
@mokopuna@|@grandson@
@most sacred is that skin@|@e kiri taputapu taua kiri@
@moupuna@|@grandson@
@mute land@|@teenua-te-ki@
@my canoe has been destroyed@|@kua vavaiia ra taû vaka@
@na@|@behold!@
@na wai ano hoki enei i tou aroaro?@|@whose are these in front you?@
@na wi koe?@|@to whom do you belong?@
@naau@|@thine, thine@
@name of a bird@|@moho, moo, moso@
@name of a star@|@mere@
@name of a tree@|@karaka, maire@
@namu@|@mosquito@
@namunamu@|@a mosquito@
@nanave@|@to be delighted@
@nanu@|@to mutter@
@nati@|@to be entangled@
@neinei@|@name of a tree@
@night is at hand@|@kua veevee te po@
@nio@|@tooth@
@niu@|@the cocoanut palm@
@no@|@kare@
@not@|@aore@
@nothing@|@aore@
@nu@|@the cocoanut palm@
@nurse@|@iki@
@o light of the morning@|@o te ata i maiore@
@of@|@a@
@often@|@hokihoki@
@oh light of the morning@|@o te-ata-i-maiore@
@oh! my father@|@e taku metua e!@
@oil@|@inu@
@on the left side@|@kaui@
@open@|@amama@
@ordure@|@kegokego@
@parents are clothed in black@|@kua kau te metua i te ngarau@
@perfumed@|@aunga@
@pouch@|@pukete@
@pregnant@|@hapu@
@pus@|@kekakego@
@rafter@|@oka@
@raw@|@maka, mata@
@red@|@kura@
@reed@|@kakao@
@right@|@kotau@
@right hand@|@rima kotau@
@rock@|@mato@
@Rongo slay the fish@|@Rongo toou ika@
@Rongo who wards off the billow@|@o Rongo arai mai i te kea@
@sacrifices offered@|@marae@
@sandstone@|@kea@
@serve him right!@|@aitoa@
@shadows of evening're streched@|@kua roroa oki te ata aiai@
@shortly@|@auenei@
@sick@|@maki@
@sign of past tense@|@kua@
@sleep on reedside of the house@|@e moe e te kakao noou o te are@
@small rafters of a house@|@kao@
@small stones@|@kirikiri@
@smallers rafters of the house@|@e moe e te kao noou te are@
@son kept in the house@|@tamaherehere@
@strike the head@|@e oa i te upoko@
@strike the temples@|@i oa i to rae@
@string of coconut fiber@|@kaa@
@sub-tribe@|@hapu@
@surf@|@kare@
@swamp@|@ngaele, ngaere@
@sweet smelling@|@kakara, karakara tuputupu@
@sword fish@|@aku@
@tail@|@iku@
@Tane may drink a living water@|@Kia inu Tane i te vai kea ra@
@that bad god@|@i te io ra r kikino é@
@that bite with their teeth@|@i tei kakati to ratou nio@
@that god@|@te lo@
@the barb of the sting-ray@|@oto@
@the bladder of small animals@|@hogo@
@the body@|@koivi@
@the bright land of Vatea@|@te-enua-marama-o-Vatea@
@the children of Vatea@|@te anau Atea@
@the core@|@kao@
@the east@|@marangai, marara@
@the front@|@aro@
@the God of Day@|@Atea@
@the groin@|@huka@
@the host of the god is at here@|@I Rangikapua te nuku o te atua@
@the king's throne@|@kea-inamoa@
@the lands of the king@|@ngariki, riki@
@the las]rge maree at Ivirua@|@Maputu@
@the left side@|@maui@
@the living god@|@te Io ora@
@the lizard arrived from spirit@|@reia e te moko i enua-kura@
@the mallet of Mueu is sounding@|@kua tangi te ike a Mueu@
@the name of a tree@|@utu@
@the offspring of Vatea@|@te anau Atea@
@the pitch@|@io@
@the Pleiades@|@Mataiki, Matariki@
@the skin of a person@|@kiri@
@the sun@|@mahana@
@the vault of heaven@|@aparangi@
@the very beginning@|@vari-ma-te-takere, Vatea@
@the visage@|@aroga@
@the west wind@|@urutonga@
@the wind@|@matagi, matangi@
@they aped on the wind@|@i rere ki te matangi è@
@they shall salute you@|@e aroa mai oki ratou i a koe@
@thin land@|@te paparairai@
@thou@|@koe@
@thunder@|@mangungu@
@to@|@ki@
@to add@|@kapiti@
@to approach to a woman@|@motoro@
@to be agitated@|@makevakeva@
@to be crazy@|@faka-hehe@
@to be healed@|@mau@
@to be loosened@|@matara@
@to beat into shape with hammer@|@kurukuru@
@to bend@|@aka-mingi@
@to bite@|@kati@
@to carry@|@apai, kave@
@to carry on the shoulders@|@amo@
@to chew@|@kau-gao@
@to climb@|@kake@
@to clothe@|@aka-kakau@
@to clothe oneself@|@toere@
@to cool@|@faka-toketoke@
@to descend@|@eke@
@to dig up@|@uke@
@to drink@|@inu@
@to emit@|@purero@
@to fall@|@i'a@
@to fall off@|@marere, marerere@
@to flutter@|@kapakapa@
@to fly up@|@mahiki, mahitihiti, maiti@
@to follow@|@aru@
@to fringe@|@pugaheuheu@
@to give@|@o@
@to give us help@|@ia kiritia@
@to handle@|@miri@
@to hang up@|@ere@
@to interpret@|@korero@
@to komata toto@|@ever thirsting for blood@
@to laugh@|@kata@
@to mark@|@tairo@
@to mislead@|@faka-he@
@to move slightly@|@keu, keukeu@
@to my royl husband@|@ki taku tane ariki kia@
@to nurse@|@ikiiki@
@to puff@|@u@
@to rejoice@|@koakoa@
@to rejoice greately@|@koa@
@to run after@|@aruaru@
@to shake@|@ruru@
@to sit@|@nofi@
@to slip through@|@maemo@
@to steal@|@kaiaa, keia@
@to stir@|@koke@
@to stop@|@mahu@
@to strike@|@oa@
@to subdue@|@ereere@
@to take captive@|@faka-hei@
@to view@|@mirimiri@
@to ward off@|@arai@
@to wash@|@oroi@
@to waste@|@maumau@
@to whisper@|@katamutamu@
@tongue@|@arero@
@tribe@|@kopu@
@two thousand@|@mano@
@uncooked@|@aka-tumata@
@warm@|@maana@
@wearied of@|@maromaroa@
@what a flapping of wings@|@e kapakapa te manu e tau ra@
@when@|@inaea@
@when they came hither the hill@|@tae oki raua ki te maunga ra@
@whither thou must descend@|@ka eke atu ai e@
@will not@|@aua@
@with@|@ma@
@woman@|@vaine@
@ye shalt be forthwith devoured@|@kiritia kai e kinana@
@yes@|@ae, koia@
@yesterday@|@nanai@
@you were watching for dawn@|@kimi koe i te kavainga@

