@English@|@Nauruan@
@artist@|@amen òka, amen ôman@
@as@|@ñaga, ùga@
@as ball@|@adad@
@ascend@|@akòda, ewewòda@
@ascent@|@eroga@
@ash@|@emarañata@
@ashes@|@emarañata, emarangata@
@ashore@|@akerow@
@ask@|@egegae, kòñòñ, ùdò, ùdôn@
@assemble@|@òebwepoi@
@assiduous@|@betsibetsi, marum@
@assistant@|@amen buok@
@astonish@|@mwitòn@
@astonished@|@mwitòñ@
@astray@|@dairinaija, dùra, per@
@at@|@animwen, ean, i, ian@
@at Denigomody@|@Gadu@
@attack@|@ògòg, towe@
@attempt@|@òij, quiawieij@
@attend@|@edegeri, eraban@
@attention@|@eredu@
@attest@|@oduwen@
@attic of house@|@keyeb@
@augment@|@òebak@
@authority@|@ñabüna temoniba@
@avarice@|@ebwerara, itsiteñ@
@avaricious@|@bwerara@
@await@|@daiñ@
@awaken@|@rida, tòrer@
@axe@|@eta, natsi@
@back@|@erowin@
@backbone of the tribe@|@irin eamwit@
@bacon@|@pad it ikumo@
@bad@|@baka, ebaka@
@bad boy in legend@|@Demagomogum@
@bad words@|@kiyiyou@
@bag@|@debag, ebwer, paget@
@bait for eokwong@|@deguerara@
@bait goatfish@|@dorangarang@
@bake@|@omwin@
@baker@|@amen kanom@
@balance@|@epaun@
@bald@|@maradun@
@ball@|@epengato@
@ball game@|@ebwebwe, itsibweb@
@bamboo cane@|@ebarabaratu@
@band@|@band, reben@
@bandage@|@dedegai in òretsitsi@
@banded barracuda@|@egow@
@banquet@|@ekadañaina, ekadaro, ekaramwen@
@baptism@|@ebaptizo@
@baptize@|@baptizoi@
@barber@|@amen ij-bar@
@bare@|@eko bòñeàt duwen@
@barely@|@ta, te, ti, to, tu@
@bark@|@witin, witsit imin erò@
@barrow@|@ekabiroro@
@barter@|@erow, tuwab@
@base@|@ikùri@
@bashful@|@egadùkùrañ, emaiùr@
@bashfulness@|@gadûkùrañ, maiùr@
@basis@|@ikùri@
@basket@|@ebwar, ebwer@
@basket for edena@|@eberiniwiw, iwiw@
@basket for fish salting@|@ebweretsir@
@basket of treasures@|@eberr in betoioi@
@bastard@|@deadinimara@
@bathe@|@ugo@
@battle@|@eake@
@battlement@|@eoror@
@be@|@-n, an, wòn, wònò@
@beach@|@aròùrö@
@beam@|@òeaò, òPiej@
@bear@|@jen bùriòûn@
@beard@|@ebar@
@beat@|@abi, ira@
@beautiful@|@edabùg, omodangidang, omotañitañ@
@because@|@bwe dogin@
@because of@|@bwe dògin@
@beer@|@ekaburoro@
@before@|@amo, ian obwen, ian obwen, ñago amo@
@before(hand)@|@ian obwen, ñago amo@
@beg@|@egegae, kòñòñ, tòkòñòkòñòñ@
@beggar@|@amen tòkòñòkòñòñ@
@begin@|@òaweijidaen, òawin@
@beginning@|@òawin@
@Beginning@|@orig@
@behind@|@aeow, ea, imùr, iruwin@
@belief@|@itùeb@
@believe@|@tùeb@
@belly@|@bwereton, ije, ijen, iye@
@below@|@ijòñ, ijòñin, iyong@
@belt@|@epear@
@bend@|@wei@
@beneath@|@ijòñ@
@benediction@|@egeidawianaw@
@berry@|@kwan@
@beseech@|@egegae, kòñòñ, mañada@
@beside that@|@itañin, itirürûn@
@besiege@|@rogi@
@best itsibweb players@|@kawada@
@best wishes@|@E)kamawir Omo@
@bestow@|@aduei, idon@
@betrothal@|@ijad@
@between@|@ijugagain, inimagen@
@bewitch@|@mweaeo@
@bicycle@|@ekabiroro@
@big@|@ouwak@
@big-eye soldierfish@|@emwan@
@big-eyed tuna@|@itibab@
@big-headed jack@|@toruwa@
@bigot@|@amen tsitsino@
@bile@|@adsin@
@bind@|@òretsitsi, quòr@
@binoculars@|@dòbairatsi@
@bird@|@imin-oeta, imin ôeta@
@bird black noddy@|@darar@
@bird cage@|@an wak imin òeta@
@bird grey-brown@|@daguia@
@bird small@|@daguiguiya@
@bird small darar@|@demeriru@
@bird with good voice game@|@daguiduba@
@bird: cry said to announce death@|@kewen@
@bird: female frigate@|@etororr@
@bird: frigate bird@|@itsi@
@bird: kind of finch@|@itsirir@
@birth@|@ipudu@
@birthing mat@|@ibiwunwun@
@biscuit@|@beitker@
@bite open@|@òmarüñirûñ@
@bitter@|@obaoadin@
@black@|@etañañ, tangtang@
@black marlin@|@iubur@
@black spot snapper@|@iniame@
@black-tipped shark@|@ierangue@
@bleed@|@erara@
@blend@|@kamararoei@
@bless@|@ôgeidawianaw@
@blessed@|@ibibòki@
@blessing@|@egeidawianaw@
@blind@|@eò àt iròñin, eo edirongin@
@blink@|@eremòñimòñ@
@bliss@|@ibibòki, itsimor ñea eko tokin@
@blissful@|@ibibòki@
@blood@|@ara, era@
@blood sea bass@|@eanepe@
@blow@|@ira@
@blow gun game with emet stick@|@kabibita@
@blow out@|@jiw@
@blue jack@|@kwidada@
@blue-lined sea perch@|@earata@
@blue-spotted grouper@|@etom@
@blunt@|@eg-mwin, eò eòkòñ@
@blush@|@dabararoe@
@board@|@erra@
@boast@|@etow, owaroñen@
@boat@|@dobot@
@body@|@dorabat, dòrabat, ije@
@boil@|@iberr@
@bold@|@eò maiür, eô mañijùñij, kamamado@
@bone@|@ero, erò@
@bones@|@ròt eñame@
@bonito@|@eae@
@border@|@akowòñ it eb@
@bore@|@kamamei@
@bottle@|@dòbadòr@
@bough@|@ran@
@boundary@|@òañat-erò@
@bow@|@bereberedu@
@bow (weapon)@|@dobonara@
@bowl (wooden)@|@domaugu@
@box@|@batsi, egato@
@boy@|@dedemaro eman, eoniñ in eman, eoning-in-emwan@
@boy's name in legend@|@detora@
@braid@|@eàe@
@brain@|@ekaburor@
@brain (his)@|@gaburoron@
@branch@|@ran, rat imin erö@
@brandy@|@eogiten@
@brass@|@doborage@
@brave@|@eò mañijùnij, eò miow@
@breadfruit@|@deme@
@break@|@eònano@
@break in pieces@|@òbakoro@
@break open@|@oge, ogeda@
@breakfast@|@ijeiji in ijoran@
@breast@|@barran, ikimama, ikimwamwa@
@breath@|@bewow, òananon@
@breathe@|@ekenano, onano, ònano@
@breed@|@aròen, aròn@
@bright@|@eamagage, öramaramin@
@bring@|@òrean, otoruwei@
@bring away@|@onuaiw, otow@
@bring here@|@otoruwei@
@brink@|@jimen, mwin@
@bristle-toothed surgeon fish@|@iubwiya@
@broad@|@ereàb@
@brooch@|@aquòret ebe@
@brook@|@ekaw kadudu@
@brother@|@edin-emwan, etsin, idin@
@brother-in-law@|@agen man@
@brother's daughter@|@ngain idit eman@
@brush@|@brumei, dita, idita, iwit@
@bucket@|@dòbaget@
@bucket of sea water with fish@|@ekangang@
@bugle@|@dobo, dobu, oin@
@build@|@wei@
@burden@|@jimen, uwadan@
@burn@|@òñ@
@bury@|@iriedu@
@busy@|@betsibetsi, marûm@
@butcher@|@amen abab imin gogòrò@
@butter@|@bata@
@butterfly@|@iyewaeoe@
@buttocks@|@ededi@
@button@|@badden@
@buy@|@erow, tuwab@
@by@|@atsiu, ean, itûrin@
@by the side of@|@itañin, itirurûn@
@cable@|@dòmaeòn@
@cackle@|@dakak@
@cage@|@ebwerenebae@
@cajole@|@òedujow@
@calculate@|@kadad@
@calendar@|@buch ñaran òpan añòget eobweni@
@calf@|@ñait kuh@
@call@|@ekekùr@
@call a fish@|@ekaraiu@
@call a person@|@amwemwiten@
@call here!@|@emwitoruwei@
@calm@|@eònano@
@camp@|@etañ in mequòr, mequòr@
@can@|@kona@
@cancer@|@eor@
@candid@|@edobweduwen@
@candle@|@gaburorot edagua@
@cane@|@edabwike@
@cannon@|@ekanen@
@canoe@|@ekwo@
@canoe house@|@ininekwo@
@canoe mast@|@deneang@
@cap@|@cap, dòbaranimatañ, kap@
@captain@|@monibait deimanu@
@card@|@ekorob@
@caress@|@auwauwà@
@carriage@|@ekabiroro@
@carry@|@ôbù, ôijowi@
@carry away@|@ònnaiw@
@cart@|@ekabiroro@
@carve@|@etow@
@casket@|@batsi kadudu@
@castle@|@erak@
@castor oil fish@|@eaeokwor@
@cat@|@butsi@
@catapult@|@eabio@
@catarrh@|@eböreri@
@catch@|@eruwei, iba, òmme, òni, otoruwei@
@catching flying fish with net@|@adad emorr@
@catching noddies with net@|@adad darar@
@Catholic Mission founded@|@Baitsi@
@cause@|@dògin@
@cave@|@eraò@
@cave in channel@|@Mekua@
@cavity@|@ijùb@
@cement@|@epadi@
@cemetery@|@ebeà@
@central@|@ijugaga@
@central rib of coconut frond@|@etoyap@
@certain@|@iduwen@
@chagrin@|@damadam, eigirow@
@chain@|@eraroian@
@chalice@|@cap, iwùr@
@chamber@|@dorum@
@chameleon sea bass@|@erenai@
@channel@|@Ganiwuro, Gatoe@
@channel (narrow)@|@Gago@
@channel 'abundance'@|@Ganokwang@
@channel 'blood'@|@Ganara@
@channel 'eel'@|@Ganiamwe@
@channel 'fish'@|@Gonokwoy@
@channel 'kind of fish'@|@Ganabereber@
@channel 'not very deep'@|@Ganeno@
@channel: at Ewa@|@Ganama@
@channel: at Waboe@|@Gagori@
@channel: Boe 'shark'@|@Ganibawo@
@channel: Ewa (& Gonge)@|@Onge@
@channel: Ewa (& Onge)@|@Gonge@
@channel: 'the killer'@|@Ganaba@
@channel: which kills@|@Gabab@
@chapel@|@ewak it taramawir kadudu@
@characteristic@|@itema, wemai@
@charlatan@|@amen tabaite@
@chase@|@ededegeri@
@chaste@|@edereder, egadùkùrañ, emaiùr, eò dòg@
@cheat@|@quiawieij@
@cheater@|@amen iqui@
@cheek@|@anapan, anemen@
@chest@|@baran, barran, ikimwamwa@
@chew@|@mama@
@chicken feet@|@nanatdamo@
@chief@|@amen eow, temoniba@
@child@|@eoning, eoniù@
@child's chant in ekabararo@|@ikuo... ekuo... itsia@
@child's name?@|@Ederaene@
@chin@|@anabaran@
@chin (his)@|@an-baran@
@Chinese stick game@|@ekateba@
@choose@|@ij, ijij@
@christening@|@ebaptizo@
@Christmas@|@an bùm in pudu jesus@
@church@|@ecclesia, ewak it taramawir@
@churchyard@|@ebeà@
@cigar@|@etam@
@circular@|@òPaijòriòr@
@city@|@tekawa@
@clamor@|@ewarewar@
@clasp@|@aquòret ebe@
@class@|@deden, eòrin@
@claw@|@quit imin gògòrò@
@clean@|@edereder, öramaramin@
@clear@|@eamagage, edereder, ôgarò@
@climb@|@akòda, ewewòda@
@cling@|@ereribe, karamwai@
@clock@|@krak@
@close@|@tsima, wei@
@close to@|@ôwañada@
@cloth (piece of)@|@dedegai@
@cloud@|@denañ, denang, weron@
@coarse@|@ekadara, eò-edu@
@coat of arms@|@ekabina@
@cock@|@domo eman@
@cock fight game@|@kakadomo@
@coconut@|@anikiwi, eanakiwi, ini@
@coconut and hibiscus dry cake@|@dedangang@
@coconut branches for crayfish@|@iritonganga@
@coconut flesh@|@inikiwi@
@coconut grater@|@ikiwi@
@coconut husk@|@itsini@
@coconut leaf@|@retsini@
@coconut leaf torch used for deep sea fishing@|@idij@
@coconut leaf toy@|@kabanini@
@coconut net container@|@erei@
@coconut oil@|@yer@
@coconut shell@|@iwur@
@coconut shell scoop@|@eadi@
@coconut wood stick@|@dabwike@
@cold@|@egaramwamwe, mwamwe@
@cold (head)@|@eböreri@
@collect@|@ôebwepoi, òepoi@
@collector@|@amen kekepo@
@college@|@ekereri@
@college premises@|@ewak in kereri@
@color@|@erotum@
@colored@|@ekekae men@
@comb@|@kom@
@come@|@òrre@
@come back@|@redò@
@coming back from fire@|@rodu ani@
@command(ment)@|@edogor@
@commend@|@otota, tsitan@
@commodity@|@imin bait erow@
@common@|@ebaka@
@community@|@epo n ecclesia@
@companion@|@dañan@
@compel@|@enenei@
@competition@|@ibbon@
@complete@|@emagen, memak, og duwen, ogen, ogoro@
@comrade@|@aranon, dañan@
@conception@|@òren emwei@
@conclusion@|@emagen, magin@
@conduct@|@eow, onuaiw@
@conductor@|@amen eow@
@confess@|@pat idûra@
@confessing@|@etat dùra@
@confession@|@panet idûra@
@confirm@|@òebwigaga, ôekae@
@conjectural@|@kai, kaia@
@conjure@|@mweaeo@
@consciousness@|@marrat ibüriò@
@consecrate@|@ôgeidawianaw@
@consider@|@kamarar(ei)@
@consolation@|@òbebeàt ibùriò@
@constellation@|@demagomogum@
@constellation: Antares@|@ramanmada@
@constellation: Seven Sisters@|@eyouwit@
@construction@|@ekei, òaiot ibûriò@
@container of wood@|@iteu@
@content@|@òañan@
@continually@|@aeoweaeow, eo toki@
@continue@|@edoño, nuawen@
@converse@|@dorer, kakairù@
@convert@|@iwit ibûriô@
@convict tang@|@eweo@
@cook@|@amen tsitsin, tsim@
@cooked@|@emakò@
@cooking house@|@ewag in tsitsin@
@cool@|@egaramwamwe, òegaramwamwe@
@copper@|@eborage@
@copy@|@gar, kar@
@coral@|@iñi@
@coral trout@|@kawudo@
@cord@|@dômaeañ, dòmaeòñ, eanakeba, ereò@
@core@|@ebaba@
@cork@|@itsim, tsima@
@corner@|@inimatsijuñen, iñin@
@corpse@|@gatduwen@
@correct@|@eimwi, iduwen@
@cost@|@òmanen, pûmwet imin@
@cottage@|@ewak kadudu@
@cough@|@bobo@
@count@|@òdù@
@counterfeiter@|@amen kar@
@country@|@eb@
@courage@|@eò mañijùñij@
@course of events@|@nuawin@
@court@|@âtet, ekòm, ijad@
@cousin@|@earat edin@
@cover@|@bòñe, bôñeàn@
@covetousness@|@itsiteñ@
@coward@|@amen miow@
@cowardly@|@emañijùñij, kurara@
@craw@|@ewewò, kababaite@
@crayfish@|@eor, error@
@crayfish fishing@|@tuwin eram eorr@
@crazy@|@dairinaiya@
@cream@|@ekabit@
@create@|@òrig@
@creation@|@òriget imin@
@creator@|@amen karig, amen òrig@
@creep@|@ewewò, kababaite@
@cringing person@|@amen kababaite@
@criterion@|@ekeòweò@
@crocodile needlefish@|@iuiuj@
@crooked@|@epa, òkeno, òkeno@
@cross@|@ekaibar@
@cross (mark with)@|@eitsitsit@
@crown@|@òkauwe@
@crucifix@|@ekaibar@
@crucify@|@kaibarei@
@crust@|@witsin@
@cry@|@eòñ@
@cry in eketa game@|@piam@
@cudgel@|@abi, ira@
@cup@|@cap, dòmaugu, iwùr@
@curse@|@kabakai@
@curved@|@òkeno@
@custom@|@deden, eòrin@
@cut@|@etow, ira@
@cut open@|@etow, owaroñen@
@damp@|@ào, eriare@
@dance@|@iruwo@
@dance ground@|@etang in ruwo@
@danger@|@egatùrae@
@dangle@|@ereribe, karamwai@
@darar home tree@|@yangiì@
@daring@|@eô mañijùñij@
@dark@|@etùr, etùrùgago, itùr@
@darkness@|@itùr, itùrùgago@
@daughter@|@ñait ân, ngait en@
@dawn@|@baôin iaòin@
@day@|@aran, arran, ibùm@
@day after tomorrow@|@ñabûmino (ñea nan òrre)@
@day before yesterday@|@ñabùmino (ñea enuawen)@
@deaf@|@eò kaiot eñòg, obong iyungin@
@death@|@ima@
@debt@|@idùra@
@deceiver@|@amen iqui@
@deep@|@okab, òkeb@
@deep sea@|@earoara, ikwin rea@
@deep water between reef and sea@|@yako@
@defecate@|@eo bwibwiya@
@delicate@|@edabùg@
@delight@|@ibibòki, idorodoro@
@delivery@|@eñabai@
@demand@|@eköñòñ, kòñòñ@
@demolish@|@ijababa@
@deny@|@baite, ereri, ereriòn, keò@
@derision@|@ekawiduemin@
@desert@|@etomagage@
@desire@|@iteñ imin@
@despise@|@miowi@
@destroy@|@ijababa, òekeow@
@detach@|@eat@
@Detudamo's ancestor@|@Dwaetji@
@devastate@|@ijababa@
@dew@|@ào@
@diabetes@|@tuba@
@diarrhea@|@dabu, ekabò@
@die@|@ema@
@died in Gabab@|@Awiyeda@
@different@|@ekekae@
@difficult@|@eroe@
@dig@|@irir@
@digging stick@|@debugibug@
@diligent@|@betsibetsi, marum@
@dining room@|@dorum in ijeiji@
@dirt@|@ebaubo, ebwedùbwet, emwarere@
@dirty@|@mwarere, ômwarere@
@dirty person@|@ñait ikumo@
@disagreeable@|@mwijiña@
@disappear@|@gòrò@
@disavow@|@baite, ereri, ereriòn@
@discharge@|@quraò@
@discontent@|@damadam, eigirow@
@disembark@|@ebu ibû@
@disgrace@|@egadükùrañ, emaiùr, ibaka@
@dish@|@ekòm, ijeiji@
@disobedient/ence@|@eô-eraban@
@dispatch@|@òijòn@
@disposition@|@anin, ekamarar, ibùriò@
@dispute@|@eake@
@dissemble@|@tsitsino@
@dissembler@|@amen tsitsino@
@distinct@|@eamagage, edereder, ògarò, ôgarò@
@distress@|@ekamiow@
@distribute@|@dùbwañai@
@district@|@Aiwo@
@district (N.)@|@Ewa@
@district (N.) (relatively empty)@|@Anibare@
@district (S.)@|@Nibok, Uaboe@
@district foreigners (S.)@|@Denigomodu@
@district: major (S.)@|@Yaren@
@district: major (with Aiwo)@|@Boe@
@district: major president's house@|@Meneng@
@divide@|@dùbwañai@
@dizzy@|@tsietsio@
@do@|@ririñ@
@doctor@|@amen kògòmwe, dogida, mayayo@
@doer@|@amen ririñ@
@dog@|@robar@
@doll@|@deigenmùren@
@domestic servants@|@ñabuna itsiò@
@donation@|@eadu@
@donkey@|@esel@
@Don't touch me there!@|@Wea touwea na!@
@door@|@met-ewak, metoror@
@doubt@|@ekamwarar, kamwarar@
@dough@|@ibia@
@downward@|@adu iyong@
@downwards@|@edu@
@doze@|@mijimi@
@dozen@|@ata ma aro@
@drag@|@òrô@
@dragon fly game@|@ekerenoy@
@draw@|@eruwei, òni, otoruwei@
@drawer@|@amen karig@
@dread@|@ikurara, imiow@
@dream@|@erenimi, mi@
@dress@|@edua ekarawin, ekarawin@
@dress the hair@|@eit, komei@
@drill@|@ekamam@
@drill for canoe board sewing@|@kaibaba@
@drink@|@eren@
@drink from edongo powder@|@karieba@
@drive@|@eroga@
@drive out@|@ededegeri, òijòtsina@
@drunk@|@mañi@
@drunk from too much shark meat@|@marenga@
@drunkenness@|@demangimangi, emañi@
@dry@|@ômadet, òmòg@
@dry (substance)@|@emong@
@dry coconut@|@obo@
@dry pandanus cake@|@edongo@
@dry sand of beach@|@areureu@
@dry up@|@òmadet, òmòg@
@duck@|@bereberedu@
@dull@|@eko mwin, ikùba, kabaàt@
@dull (as knife)@|@egomwin@
@dungeon@|@gefângnis ion oaio@
@dust@|@badetsit emwarere, emarañata@
@dysentery@|@ekabò@
@each@|@memak, tamo@
@ear@|@etanung, ijùñen@
@early@|@antobwijùbwij@
@earnest@|@oquaqui@
@earring@|@eretsiyiung@
@earth@|@eb, emwarere, Firmament@
@earth oven@|@yom@
@earth oven for steam@|@kabayeri@
@easy@|@bebe, emeroro@
@eat@|@ijeiji, òn@
@eater@|@amen ijeiji@
@eating hall@|@dorum in ijeiji@
@eavesdrop@|@weijòn@
@ebb tide@|@enor@
@edge@|@jimen, mwin@
@eel@|@Eamwit@
@eel trap@|@ikwin eamwit@
@egg@|@apait imin (epait-domo), epaitdomo, epaitomo@
@eight@|@aoju, aoyu@
@eight hundred@|@aojuwer@
@eighteen@|@ata ma aoju@
@eighth@|@main aoju@
@eighty@|@aojomo, aoyomo@
@elapse@|@naña, ñow@
@elbow@|@iburenibe@
@election district@|@Ubenide@
@eleven@|@ata ma aiquen@
@elf of the bush@|@atsinoegaga@
@elope@|@ògòrien@
@embalm@|@òbit@
@embrace@|@arowong, babwiji@
@emissary@|@amen òñaneme@
@emperor@|@temoniba ogoda@
@empress@|@agen kaiser@
@empty@|@eko òañan@
@end@|@emagen, magin, mwin, tokin@
@endless@|@eko tokin@
@endure@|@edoño, enenei, oquaqui@
@engagement@|@ijad@
@enlarge@|@oouwak@
@enough@|@ewin, ogen@
@enrage@|@òeigirow@
@entrails@|@ibùriò@
@enumerate@|@ödü@
@envious@|@añ@
@envy@|@eañ@
@equal@|@tekei, tsitobo@
@erect@|@òweijoran@
@err@|@edûra, òPer@
@error@|@dairinaija, dùra, per@
@escape@|@garò, gòrò@
@establish@|@otoruwei@
@esteem@|@aia, kania, terò@
@etc.@|@ian obwen@
@eternally@|@eko tokin, eò toki@
@even@|@bet@
@evening@|@emero, emerò, jemerò@
@every@|@memak, tamo@
@everybody@|@tamo eñame@
@evil@|@ebaka@
@examine@|@ôij@
@example@|@ekar@
@exchange@|@erow, tuwab@
@excite@|@ababaro, oniñon@
@excrement@|@ibwiya@
@exist@|@-n, an, wòn, wònò@
@expensive@|@ouwak pùmwen@
@explanation@|@panen iat eñòg@
@extend@|@òñabida@
@extinguish@|@abi, jiw@
@exult@|@ibibòki@
@eye@|@eme@
@eyebrows@|@ewet eme@
@eyeshade@|@bongeet eme@
@eyrie@|@eika@
@fable@|@ekañae@
@face@|@men@
@fail@|@edûra, keò, òPer@
@failure@|@ekabò@
@faint@|@ògòb men@
@fainting@|@egòb@
@faith@|@itùeb@
@faithful@|@edòbweduwen@
@fall@|@emeiwedu@
@fall asleep@|@mijimi@
@false@|@baite@
@false deity@|@ijor in ani@
@fame@|@dagan, eraitsit@
@familiar with@|@tsiet@
@family name@|@Buada@
@famous@|@ôkaganado@
@fan@|@etongengit@
@far@|@goeow, ogoeow@
@farmer@|@amen kiàò@
@fast@|@apar, eò ñanümwi, eògedujow@
@fat@|@eduweduw, emeij, epat@
@fat (adjective)@|@duweduw@
@father@|@etongin, etòñin@
@fatherland@|@ûbwieda ino añ pudu ean@
@fault@|@idùra@
@favor@|@eauwàtegen, equed@
@favorite@|@â-auwà@
@fear@|@ikurara, imiow, kurara@
@feast@|@ekadañaina, ekadaro, ekaramwen@
@feast after itsibweb game@|@inugir@
@feast for child's first birthday@|@epaba@
@feast given by losers of game@|@eouwowag@
@feather@|@ewewen, ewewet imin òeta@
@feathers@|@ewewet imin òeta@
@feed@|@òat imin gògòrò, òijòijiet imin gògòrò@
@feel@|@nimòn, towe@
@fell@|@taijedu@
@fence@|@eoror@
@ferment@|@etar@
@fermented toddy@|@demangi@
@fertile@|@aduqua@
@festival@|@ekadaro, ekaramwen@
@fetch@|@eruwei, òni, otoruwei@
@feud@|@eake@
@fever@|@earak in kùñijarare@
@few@|@aigetow, eken, vad@
@field@|@etañ in kiàô@
@fifteen@|@ata ma aijimo@
@fifty@|@aijima, aiyma@
@fifty kg@|@aibu epaun@
@fight@|@eake, kake@
@fight domestic@|@ekañaeot@
@figure@|@ekeòweò@
@figured leatherjacket@|@erarata@
@filariasis@|@nwirara@
@file@|@baerei@
@file (tool)@|@dôbaer@
@filth@|@ebaubo, ebwedùbwet, emwarere@
@filthiness@|@ibaka@
@fin@|@fin@
@find@|@àt@
@fine@|@edabùg@
@finger@|@itsinibe@
@finger (his)@|@tsiniben@
@finished@|@emagen, og duwen, ogen@
@fire@|@àe, e@
@firm@|@eògedujow@
@first@|@adamonin@
@first step towards edongo@|@dedouwaye@
@fish@|@apwe, ebereber, ijo, iju, iù, ñawor, yuw@
@fish blue spotted boxfish@|@degomatotu@
@fish drying 'roof'@|@imwem@
@fish hook@|@eoe@
@fish line@|@iareu@
@fish not eaten raw@|@eanit@
@fish nurse shark@|@degoriria@
@fish red@|@eanepe@
@fish small crab near beach@|@eadum@
@fish stingray@|@debagommaroa@
@fish white tail lancet@|@deboe@
@fish with net and torch@|@tuwin kibiyong eram@
@fish: deep sea crab@|@rebenokwa@
@fish: marlin@|@ibwur@
@fish: red caught at night@|@inenanabumen@
@fish: small reef fish@|@kake kimago@
@fish: small starfish@|@eruteb@
@fish: yellowtail@|@eokwong@
@fisherman@|@amen ijo@
@fishhook@|@ewe@
@fishing by diving@|@egodu@
@fishing for eanepe or earata@|@tuwin eanepe@
@fishing for octopus and eels@|@tuwin ekarog@
@fishing rod from eteweyo branch@|@itobwa@
@fishing with hook@|@tuwin etao@
@fist@|@itûbwit ebe@
@five@|@aijimo, ayimo@
@five hundred@|@aijimower@
@fixed@|@eògedujow@
@flag@|@àñiden@
@flake@|@oñet iù@
@flat@|@eòweò@
@flatter@|@òedujow@
@flatterer@|@amen kedujow@
@flee@|@garò@
@flesh@|@duwet imin@
@float of eboko@|@gapi@
@flood@|@eneñab@
@flood (high) tide@|@enengab@
@flower@|@ekauwe@
@fly@|@òeta@
@fly (insect)@|@eñam@
@fly (the insect)@|@engam@
@flying fish@|@emor, emorr@
@fodder@|@òat imin gògòrò@
@follow@|@eà erowin, edegeri, eraban, ñeijùbwen@
@followers@|@ñabuna itsiò@
@food@|@ijeiji, òanò, òat imin gògòrò@
@food for itsibweb players before game@|@ekamadu@
@fool@|@amen kabaàt, amet dàirinaija@
@foolish@|@edairinaija, ekabaàt@
@foot@|@eana, enana, reren iwin@
@for that reason@|@bwe dògin@
@for you@|@bwe dògimià, bwe dögûm@
@force@|@enenei, eòaio@
@forehead@|@raman@
@foreign country@|@eratequò, iruwa@
@foreigner@|@eratequò, iruwa@
@forenoon@|@ijoran@
@foresee@|@kewa@
@forever@|@eko tokin, eò toki@
@forge@|@etañ in makur debitsi@
@forget@|@meijiòn@
@forgive@|@eat (idùra), eat (idûra)@
@fork@|@pok@
@form@|@ekeòweò@
@fornication@|@ite toreda@
@fort@|@eoror in ake@
@forty@|@ama@
@foundation@|@ikùri@
@fountain@|@burodaüt-ebòk, ebòken-eren@
@four@|@aeoq@
@four hundred@|@abu@
@fourteen@|@ata ma aeoq@
@fowl@|@domo@
@fragrant@|@boyarara@
@frame@|@ròt eñame@
@frame for luring darar birds@|@etarr@
@frantic@|@dairinaija@
