@English@|@Maliseet@
@angry: those two are ~ at each other@|@qayihtawotuwok (vai)@
@animal@|@weyossis (-ok)(na)@
@animal caught in a trap@|@kelhuket (na)@
@animal skin that has been dressed and cured@|@kisekonasit (na)@
@animal skin with fur@|@weyossisuwew (-iyik)(na)@
@animal: female ~@|@sqehkiqs (-ok)(na)@
@animal: male ~@|@napehsom (-ok)(na)@
@animal: SB has an ~ name@|@weyossisuwiwisu (vai)@
@announce self: ST ~s@|@kinuwehlosuwiw (vii)@
@announce ST@|@nostuhmon (vti)@
@announce ST about SB@|@messuwi-nsotuwal (vta)@
@announce: SB ~s@|@kinuwehtahsu (vai)@
@announcer@|@kinuwehtahsuwin (na), nuci-kakaluwet (na)@
@announcers@|@nuci-kakaluwecik (na-pl)@
@another@|@kotok (pra), kotok (pri), kotokik (pra-pl), kotokil (pri-pl)@
@answer back: SB ~s@|@asitewtom (vai)@
@answer SB question or call: SB ~s@|@asitehmuwal (vta)@
@answer SB: SB ~s@|@asitemal (vta)@
@answer ST: SB ~s@|@asitewtomon (vti)@
@answer: SB ~s@|@asitewtom (vai)@
@answer: SB knows how to ~ back@|@tawalokikemu (vai)@
@ante up: SB ~s@|@ecuwiw (vai)@
@Anthony@|@Ahtuwen (na)@
@antiquated: SB/ST ~@|@kaney (na/ni)@
@antique SB/ST@|@kaney (na/ni)@
@antler@|@somu (-wok)(na)@
@antlers: SB has big ~@|@kinahqisomuwe (vai)@
@anus: SB's ~@|@piktiwon (ni-d)@
@anxious: SB is ~@|@tomitahasu (vai)@
@anyhow@|@cika-te (pc)@
@anymore@|@aqamk (pc), aqamok (pc)@
@anyone@|@wen (pr)@
@anyway@|@pesqon-otehlu (pc)@
@aopologize to SB@|@ulimal (vta)@
@aorta@|@psuhunap (-iyik)(na)@
@aorta: SB's ~@|@moshunapiyil (na-d)@
@apart@|@cepi (cep-)(pv), cepiw (pc), cocepi (cocep-)(pv), cocepiw (pc), tom- (pv), tomi (pv)@
@apart: SB keeps himself ~@|@semahlosu (vai)@
@apart: ST falls ~@|@suhkessu (vii)@
@apart: take ST ~@|@siyehtun (vti), suhkehtun (vti)@
@apart: tear ST ~@|@paskinehtun (vti)@
@apathetic: SB is ~@|@malomahtu (vai)@
@ape@|@tehkoneps (-ok)(na)@
@apparition of a tall man@|@pihtenskosit (na)@
@apparitions of tall men@|@pihtenskosicik (na-pl)@
@appear (that): ST ~s@|@ksi-linaqot (vii)@
@appear in order to hire SB@|@sakhotomimal (vta)@
@appear sick: SB ~s@|@ksinuhkewinaqsu (vai)@
@appear: SB ~s@|@messuwessu (vai)@
@appendicitis: SB has ~@|@penotiksuwine (vai)@
@applaud SB: SB ~s@|@cipokehtuwal (vta)@
@apple@|@cikon (-iyik)(na), cikoniyahqemus (na)@
@apple basket@|@cikoni-posonut (ni)@
@apple: crab ~@|@cikonesis (na)@
@apple: small ~@|@cikonehsis (na dim), cikones (na)@
@appliance@|@mosinol (ni)@
@appliances@|@mosin (ni-pl)@
@apply pitch: SB ~s@|@pokuwihike (vai)@
@approach: SB ~s@|@wecuwawiye (vai)@
@approve of ST@|@ulitahatomon (vti)@
@approximately@|@akim (pc), al (pc)@
@April@|@ponatomuwi-kisuhs (na)@
@apron@|@lekopisuwon (ni)@
@apron: small ~@|@lekopisuwonsis (ni dim)@
@aquaint: SB gets ~ ed quickly with people@|@nokosa-noluwasu (vai)@
@arbitrator@|@nuci-tpolukemit (na)@
@arbor vitae@|@kakskus (na)@
@archaic SB/ST@|@kaney (na/ni)@
@archeologist@|@nutalkewin (na)@
@architect@|@nucihket (na)@
@architects@|@nucihkecik (na-pl)@
@area: within a certain ~@|@yali- (pv)@
@argue with SB: SB ~s@|@kolulal (vta), kolultiniyal (vai/vai+o)@
@argue: SB comes (goes) to ~ at length@|@natalamikesu (vai)@
@argued: SB is back from having ~@|@apuwalke (vai)@
@arid: ST is ~@|@kispahte (vii)@
@arise: SB ~s from sitting position@|@nomocessu (vai)@
@arm@|@-ptine- (v rt)@
@arm in arm with SB: SB is ~@|@kolinskenal (vta)@
@arm: rip SB's ~ off@|@moniptinephal (vta)@
@arm: SB has strong ~s@|@molihkiptine (vai)@
@arm: SB takes him by the ~@|@kolinskenal (vta)@
@arm: SB's ~@|@pihtinahqem (ni-d), pihtinahqem (ni-d)@
@Armistice Day@|@mehcihponoltin (vai)@
@armor: defensive ~@|@wahkaliqs (-ol)(ni)@
@armpit: SB has smelly ~s@|@maskilqiye (vai)@
@armpit: SB's ~@|@woloq (-iyil) (ni-d)@
@arms: SB has ~ folded@|@sakomawonosu (vai)@
@army life@|@somakonossuwey (-al)(ni)@
@army way@|@somakonossuwey (-al)(ni)@
@around@|@al (pc), yali- (pv)@
@around in a circle@|@wiwon- (pv), wiwoniw (pc)@
@arouse SB: SB ~s@|@kossomokimal (vta)@
@arrange hair@|@uluwahal (vta)@
@arrange SB@|@t-olewolal (vta), ulewolal (vta)@
@arrange SB on top@|@uskitewolal (vta)@
@arrange ST@|@t-olewotun (vti), ulewotun (vti)@
@arranged: ST is ~ correctly@|@wewte (vii)@
@arranger@|@nutewotahsit (na)@
@arrest SB@|@tahqonal (vta)@
@arrest: come and ~ SB@|@peci-tqonal (vta)@
@arrest: SB ~s@|@tqonke (vai)@
@arrival: foresee SB's ~@|@pecitahamal (vta)@
@arrival: upon ~@|@pec- (pv), pet- (pv)@
@arrive by means of ST@|@petuwehkan (vti)@
@arrive swimming: SB ~s@|@pethom (vai)@
@arrive: SB ~s@|@peciye (vai), petonome (vai)@
@arrive: SB ~s crawling@|@petapeku (vai)@
@arrive: SB ~s late@|@metsi-peciye (vai)@
@arrive: SB ~s on foot slowly or tiredly@|@petkenu (vai)@
@arrive: SB ~s paddling@|@peci-suku (vai)@
@arrive: SB ~s swiftly@|@pecessu (vai)@
@arrive: SB ~s swimming@|@pethom (vai)@
@arrive: SB ~s there@|@petonom (vai)@
@arrive: SB ~s unexpectedly@|@sakhiye (vai)@
@arrive: SB ~s walking@|@pecuhse (vai)@
@arrive: SB ~s with others@|@peci-wiciye (vai)@
@arrive: ST ~s@|@peciye (vii), peciyewiw (vii)@
@arrive: ST takes him a long time to ~@|@sipki-peciye (vai)@
@arrive: they ~ on foot@|@petapasuwok (vai)@
@arrive: they ~ walking@|@petapasuwok (vai)@
@arrive: they two ~ walking@|@petkawotuwok (vai)@
@arriving@|@pec- (pv), pet- (pv)@
@arrogant: SB is ~@|@kcitomitahamsu (vai)@
@arrow@|@pahq (-iyil)(ni)@
@arrowhead@|@sikuwan (-ol)(ni)@
@arrowhead: SB makes ~s for own use@|@suwankusu (vai)@
@arrrest SB regardless: SB ~s@|@kapehlal (vta)@
@arson: SB commits ~@|@psqolehtahsu (vai)@
@arsonist@|@pesqolehtahsit (na)@
@artery@|@psuhunap (-iyik)(na)@
@Arthur@|@Ahta (na)@
@articulate: SB is ~@|@nihtawolamuhtomon (vai)@
@artist@|@nuci-amalhocossawet (na)@
@artists@|@nuci-amalhocossawecik (na-pl)@
@as@|@kesq (pc), tahalu (pc)@
@as for@|@lu (pc), olu (pc)@
@as if@|@ansahc (pc), ansahc (pc), cess (pc), ceste (pc), cestehp (pc), sehpal (pc), stehpal (pc)@
@as long as@|@kiyasqi (pc)@
@as soon as@|@tan ci (pc), tan etuci (pc)@
@as though@|@sehpal (pc), stehpal (pc)@
@ascend: SB ~s@|@spiqiye (vai)@
@ascend: ST ~s@|@spiqiye (vii)@
@ash berry: American mountain ~@|@minahqimin (-ol)(ni)@
@ash that is brittle: white ~@|@kahkakomahq (na)@
@ash tree: basket ~@|@wikp (-iyik)(na)@
@ash tree: black ~@|@wikp (-iyik)(na)@
@ash tree: brown ~@|@wikp (-iyik)(na)@
@ash tree: heart wood of ~@|@lamahqem (na)@
@ash wood with dark color@|@mokosewikp (-iyik)(na)@
@ash wood with whitish color@|@wapikp (-iyik)(na)@
@ash wood with yellow color@|@wisawikp (-iyik) (ni)@
@ash: put ~es on SB@|@tupqanhal (vta)@
@ash: SB cleans ~es out of stove@|@monipqote (vai)@
@ash: SB removes ~ es from it@|@monipqotatomon (vti)@
@ash: white ~ (Fraximus americana)@|@akomahq (na)@
@ashamed of ST@|@toqesiktun (vti)@
@ashamed: SB is ~@|@tqesu (vai)@
@ashes@|@sqotewamq (-iyil)(ni)@
@ashes mixed with water: ~@|@ososq (na)@
@ashes on SB: put ~@|@tupqanhal (vta)@
@ashes: SB removes ~@|@pqonipqote (vai)@
@ashtray@|@sqotewamqinut (-iyik)(ni)@
@Asia: in ~@|@skiyahsonuk (nl)@
@Asia: to ~@|@skiyahsonuk (nl)@
@ask a favor of SB: SB is going to ~@|@kotuwapemal (vta)@
@ask SB@|@papehcimal (vta), qecimulal (vta), t-oqecimal (vta), t-oqecimulal (vta)@
@ask SB in vain to do ST: SB ~s@|@aluwimal (vta)@
@ask SB to extend stay@|@t-okelhal (vta)@
@ask SB to stay@|@t-okelhal (vta)@
@ask: SB ~s@|@qecikesu (vai)@
@asleep: SB pretends to be ~@|@kuwihkalsu (vai)@
@aspen: large toothed ~@|@mit (-iyik)(na)@
@assasinate: SB ~s@|@nehpahtike (vai)@
@assemble ST@|@mawe-punomon (vti), mawoskenomon (vti)@
@assemble: they ~@|@maqehhik (vai), mawehhik (vai), maweyyik (vai)@
@assist SB@|@wicuhkemal (vta)@
@assistance: offer of ~@|@wicuhketuwakon (-ol)(ni)@
@astonishingly@|@assoki (assok-)(pv)@
@at all times@|@askomi (askom-)(pv)@
@at certain point@|@tuc- (pv)@
@at first@|@amsqahs (pc)@
@at last@|@malom (pc), mam-ote (pc), mam (pc)@
@at least@|@kinaq (pc)@
@at that instant@|@miya-te (pc)@
@at that time@|@neke (pc), neket (pc)@
@ate: SB ~@|@kisihpu (vai)@
@Atlantic salmon@|@polam (-uwok)(na)@
@atone: SB ~s@|@anelsu (vai)@
@attach SB@|@napicehlal (vta)@
@attach SB by hitting@|@nastahal (vta)@
@attach SB sticky with a smoothing motion@|@napici-kolihqahal (vta)@
@attach ST by hitting@|@nastehmon (vti)@
@attach ST by striking@|@napittestun (vti)@
@attach ST by throwing@|@napittestun (vti)@
@attach ST by tugging@|@napittestun (vti)@
@attach ST sticky with a smoothing motion@|@napici-kolihqahmon (vti), napici-kolihqehmon (vti), napici-sicihqehmon (vti)@
@attach: SB ~s@|@napicessu (vai)@
@attach: ST ~s@|@napicessu (vii)@
@attaché case@|@polis (-ol)(ni)@
@attached to@|@siciw (pc)@
@attached: SB is ~ by fastener@|@napitopu (vai)@
@attached: ST is ~ by fastener@|@napitte (vii)@
@attaching@|@sic- (pv)@
@attack SB@|@qiltuwal (vta)@
@attack SB physically@|@mamseleyuwal (vta)@
@attempt ST@|@t-oqecehtun (vti)@
@attempt to@|@qec- (pv), qet- (pv)@
@attempt: SB ~s@|@qecehtu (vai)@
@attend: SB ~s@|@witahke (vai)@
@attract: SB is ~ed by ST@|@kotuwahatomon (vti)@
@attractive: she is ~@|@wolikossu (vai)@
@attractively: SB is ~ shaped@|@wolahkuksu (vai)@
@attractively: ST is ~ shaped@|@wolahkukot (vii)@
@authentic@|@kcahqi (prenoun)@
@author@|@nutuwikhiket (na)@
@automobile@|@atomupil (-ol)(ni)@
@autumn: in the ~@|@toqakuwiw (pc)@
@autumn: ST is ~@|@toqakiw (vii), toqakuwiw (vii)@
@avoid detection: SB ~s@|@kasuhke (vai)@
@await ST: SB ~s@|@askuwahtun (vti)@
@awake: SB is ~@|@spasu (vai)@
@away in motion@|@olom- (pv)@
@awestruck: SB is ~@|@assokitahasu (vai)@
@awning@|@akuwahtihikon (ni), wissekopolikon (-ol)(ni)@
@axe@|@ciktihikewey (-al)(ni), tomhikon (-ol)(ni), tomihtuhusut (-iyil)(ni)@
@axe handle@|@tomhikonahtoq (ni)@
@babble: SB ~s incoherently@|@wiwonasewestu (vai)@
@baboon@|@papun (-ok)(na), tehkoneps (-ok)(na)@
@baby@|@wasis (-ok)(na)@
@baby SB@|@motehsankalal (vta)@
@baby talk: SB is talking ~ (affectionately)@|@olocemaqsu (vai)@
@baby: cry ~@|@sopiqoniqs (-ok)(na)@
@baby: newborn ~@|@pileyahsis (-ok)(na)@
@baby: small unborn ~@|@lamotekonossossis (na dim)@
@baby: unborn ~@|@lamotekonossis (na)@
@babysit: SB ~s@|@ksonuwike (vai)@
@back and forth motion: do with a ~@|@-sawe- (v rt)@
@back and forth quickly: ST goes ~@|@sahsessu (vii)@
@back country@|@kataskomiq (ni)@
@back flip: SB does a ~@|@apuckolessu (vai)@
@back from having gone to do ST@|@api (ap-)(pv)@
@back from having gone to get SB: SB is ~@|@apiphal (vta)@
@back from having gone tracking: SB is ~@|@apaptahsu (vai)@
@back from having tracked SB: SB is ~@|@apaphal (vta)@
@back of ST@|@akuwi (akuw-)(pv)@
@back woods@|@kci-kcihq (ni)@
@back: going ~@|@wesuwe (pv2)@
@back: in ~@|@asit (pc), sehtayiw (pc)@
@back: out ~@|@pahkak (nl)@
@back: SB ~s up@|@sehtehe (vai)@
@back: SB goes ~@|@wesuwessu (vai)@
@back: SB goes ~ and forth quickly@|@sahsessu (vai)@
@back: SB's ~@|@pahkam (ni-d)@
@back: SB's lower ~@|@mosop (ni-d)@
@back: set SB ~@|@sehta-punal (vta)@
@back: ST goes ~ and forth quickly@|@sahsessu (vii)@
@backache: SB has a ~@|@pahkamine (vai)@
@backbone@|@wawikon (-ok) (ni)@
@backside: SB's ~@|@wolukonoput (ni-d)@
@backward@|@sehtay- (pv)@
@backward motion@|@sehtayiw (pc)@
@backward: SB falls over ~@|@apuckoliye (vai)@
@backward: SB goes ~s@|@sehtehe (vai)@
@backward: SB walks ~@|@sehtawse (vai)@
@backwards: ST snaps ~@|@sehtaskehtehson (vii)@
@backyard: in ~@|@pahkak (nl)@
@bad@|@moc- (pv/pn)@
@bad mouth ST@|@nutahtaqsuwatomon (vti)@
@bad: SB is ~evil: SB is ~@|@mociku (vai)@
@bad: SB looks ~@|@mocinaqsu (vai)@
@bad: ST is a ~ day@|@mocokiskot (vii)@
@bad: ST looks ~@|@mocinaqot (vii)@
@badmouth SB@|@mocakonimal (vta), nutahtaqsuwamal (vta)@
@bag@|@ptoqap (-iyil)(ni)@
@bag: duffle ~@|@somakonoss motqap (-iyil)(ni)@
@bail SB out (in boat)@|@t-otolikihikewal (vta)@
@bail SB out of custody@|@nutiyapenkotuwewal (vta)@
@bail ST out@|@t-okihikatomon (vta)@
@bail water out of SB@|@sinkolalal (vta)@
@bail water out of ST@|@sinkolahmon (vti)@
@bail: SB ~s out a boat or canoe@|@okihike (vai)@
@bailer for canoe made of birchbark@|@okihikakon (-ol)(ni)@
@bait@|@wakon (-ol)(ni)@
@bake SB@|@pisacqehlal (vta)@
@bake: SB is put in the oven to ~@|@pisacqehtahsu (vai)@
@bake: ST is put in the oven to ~@|@pisacqehtahsu (vii)@
@baked: someone ~ (e.g.bread)@|@pisacqehtasit (na)@
@baked: something ~@|@pisacqehtasik (-il)(ni)@
@baker@|@nutopanket (na)@
@baking pan@|@skawsis (-ok)(na)@
@baking soda@|@sallehtoss (-ol)(ni)@
@balance@|@tpapekhikon (-ol)(ni)@
@bald: SB is ~@|@apolahsatpe (vai), opolahsatpe (vai)@
@bald: SB is ~ (tire)@|@mehtapitehe (vai)@
@bald: SB is going ~@|@mehtuwehe (vai)@
@bald: SB is nearly ~@|@wahkatuwe (vai)@
@bald: SB is nearly ~ of fur (or pubic hair)@|@wahkatuwesu (vai)@
@ball (baseball pitch outside strike zone)@|@mecamit (na)@
@ball thrown low (baseball)@|@cinessit (na)@
@ball thrown straight@|@kiyahqessit (na)@
@balloon@|@polun (-ol)(ni)@
@balmony@|@athusossuwi-woniyakonol (ni)@
@balsam fir@|@stahqon (-uk)(na)@
@balsam fir tree@|@puhpukhawihqimus (-iyik)(na)@
