@English@|@Oriya@
@advance@|@agrasara, agrasara / agreema@
@advertisement@|@bigyapana@
@advice@|@upadesh@
@advise@|@paraamarsha@
@affection@|@sneha, sneha / anooraaga, sneha / anooraaga/ mamataa@
@affectionate@|@snehi@
@afraid@|@bhayabheeta@
@against@|@birudhha@
@age@|@bayasa@
@agency@|@sanstha@
@agree@|@sanmmata / sammatee@
@agreement@|@chuktee@
@aim@|@lakshya@
@alert@|@satarka@
@aligator@|@kumbheera@
@alight@|@olhaaeebaa@
@alike@|@samaan bhaabare@
@alimentary@|@prusteesaadhana sambandheeya@
@alimentary canal@|@khaadyanali@
@alimony@|@poshana bhatta@
@all@|@samasta, samasta / samooha@
@All purpose flour Maida@|@Maida@
@allegation@|@aarop@
@allege@|@aarop / abheejog@
@allegiance@|@aanugatya / aasakti@
@allergic@|@asahisthutaa@
@alleviate@|@upasama / laaghaba / hraasa@
@alley@|@sankeerna patha@
@alliance@|@bandhutaa sthaapana@
@allied@|@ekatrita / milita@
@allmighty@|@sarvashaktimaan@
@allmost@|@praaye@
@allocate@|@bantana karibaa@
@allow@|@aumatee debaa@
@allowance@|@nidhista bhatta@
@alloy@|@misra dhaatu@
@allude@|@parokhyare ullekh kareebaa@
@allure@|@pralobhana dekhaaibaa@
@alluring@|@manohara@
@ally@|@sahajogee@
@almond@|@baadaam@
@Almonds@|@Badam@
@almoner@|@swaasthya samaajsebaka@
@alms@|@bhikshyaa@
@aloft@|@urdhare / uchare@
@alone@|@ekaanta, ekaanta / ekaaki@
@along@|@sungare@
@alongside@|@paarsware@
@alongwith@|@sameta@
@aloof@|@durei rahiba@
@also@|@aau madhya@
@altar@|@bedee@
@altercation@|@kalaha@
@alternate@|@ekaantareeka@
@alternative@|@bikalpa@
@although@|@jadeeo@
@altitude@|@ucchhataa@
@altogether@|@sampoorna bhaabare@
@altruism@|@niswarthaparataa@
@always@|@sarbadaa, sarbadaa / sadaabele / sadayba@
@amalgamate@|@misrana karibaa@
@amass@|@ekatra / sangraha kareebaa@
@amateur@|@anabhignya / dakshyataahina@
@amazed@|@bismita@
@amazing@|@bismayakara / chamakprada@
@ambassador@|@raashtradoota@
@ambidextrous@|@sabyasaachi@
@ambiguous@|@ekaadhika artha thibaa@
@ambit@|@parisara@
@ambitious@|@ucchhabhilaashee@
@amble@|@dheere suste chaalibaa@
@ambush@|@ghaata@
@amenities@|@subidhaajanaka baisistasamuha@
@amenity@|@suvidhaa sujog@
@amiable@|@bandhu bhabapanna@
@amicable@|@bandhutwapurna@
@amid@|@madhyare@
@amity@|@bandhutwa / mitrataa@
@amnesia@|@smrutee haraaibaa@
@amnesiac@|@smaranasakti bihina byaktee@
@amok@|@unmata@
@among@|@gahanare@
@amoral@|@naiteekataa baheerbhuta@
@amount@|@pareemana@
@amour@|@gupta pranaya@
@ample@|@prachura@
@analysis@|@bislesana@
@analyst@|@bislesaka@
@analytical@|@bislesana sankraantiya@
@anarchy@|@araajakataa@
@anathema@|@ghrunya bastu@
@ancestor@|@purbapurusha@
@anchor@|@langara@
@ancient@|@puratana, puratana / ateeta sambandheeya@
@anciliary@|@sahaayaka@
@and@|@ebanm@
@anecdote@|@kshyudra upaakhyaana@
@anew@|@punaray / aau thare@
@angel@|@paree / debadoota@
@angelic@|@debataa sadrushya@
@anger@|@krodha@
@angrily@|@krodhaanwita@
@animal@|@pasu / jantu@
@Aniseed@|@Pana Mahuri@
@ankle@|@paadaganthee@
@anklet@|@paaunjee@
@annihilate@|@dhwansa / nischinha kareebaa@
@announcement@|@ghoshanaa@
@annual@|@baarsika@
@annuity@|@baarsika bhatta@
@anomaly@|@neeyamara byateekrama@
@anonymity@|@naama biheenataa@
@anonymous@|@benaami@
@answer@|@uttara@
@answerable@|@uttaradayee@
@antagonism@|@satrutaa@
@antecedent@|@purba parichaya@
@antelope@|@krusnasaara mruga@
@anthill@|@uee hunkaa@
@antic@|@haasyajanaka kaarjya@
@anticipate@|@purba anumaan@
@anticlimax@|@nairaasyajanaka parinatee@
@antique@|@puraatana bastu@
@antisocial@|@asamaajika@
@antisocial element@|@durbuta@
@antithesis@|@sampurna biparita@
@anxiety@|@utkanthaa@
@any@|@jekaunasee@
@apart@|@alagaa bhaabare@
@apartheid@|@barna bidwesh@
@apparel@|@poshaka@
@appear@|@prakata@
@appease@|@saanta kareebaa@
@Apple@|@Seoo@
@appliance@|@upakarana@
@applicable@|@prayogyajogya@
@applicant@|@prarthee@
@appraisal@|@abodhaarana@
@approval@|@anumodana / sammatee@
@approve@|@anumodana@
@area@|@kshetra, kshetra / anchala@
@argument@|@jukti@
@aristocracy@|@aabheejatiya@
@aristocrat@|@samvraanta byaktee@
@arm@|@baahu@
@arrangement@|@byabastaa@
@arrival@|@aagamana@
@arrived@|@pahanchibaa@
@artificial@|@kutrima@
@Asafoetida@|@Hengu@
@ascend@|@aarohana@
@ash@|@paaunsa@
@ask@|@pachaara@
@aspect@|@drushteekona@
@aspersion@|@apabaad / durnaama@
@aspirant@|@ichhuka@
@aspiration@|@abheelasha / aakanksha@
@aspire@|@abhilaash@
@assault@|@aakramana@
@assent@|@sammatee@
@assert@|@drudhokti@
@assess@|@nirdhaarana kareebaa@
@asset@|@mulyabaan sampatee@
@assiduity@|@pragaadha parisrama, pragadha pareesrama@
@assign@|@daaeetwa debaa@
@assistant@|@sahaayaka@
@assure@|@nischita kareebaa@
@astray@|@bipathare@
@astrology@|@jyotishasaastra@
@at once@|@abilambe, abilambe / turanta@
@athlete@|@khelaalee@
@atom@|@paramaanu@
@atrocity@|@nrusansa kaarjya@
@attach@|@salagna@
@attack@|@aakramana@
@attitude@|@aabhimukhya@
@attract@|@aakrushta@
@attraction@|@aakarshana@
@attractive@|@aakarshaniya@
@auction@|@nilaam@
@audacious@|@uddhata / nirllaja@
@augur@|@purba aavaas debaa@
@auspicious@|@subha, subha / anukula@
@authorise@|@kshyamataa nyasta karibaa@
@authority@|@prabhutva@
@autobiography@|@aatmajeebanee@
@automatic@|@swayan chaleeta@
@available@|@upalabhdha@
@avarice@|@utkata dhanalobha@
@avenge@|@prateesodh@
@aviator@|@bimaanachalaka@
@avoid@|@upeksha /prataranaa@
@awake@|@jagrata@
@award@|@oopadhi /bidhan, pradaan@
@aware@|@sachetana@
@awareness@|@sachetanata@
@away@|@duraku / durare@
@awl@|@phodani@
@axle@|@akshya danda@
@azure@|@gaadh neela@
@baby@|@sishu@
@bachelor@|@abibaahita purusha@
@back@|@pachha bhaaga@
@back and forth@|@aaga pachha@
@back out@|@oharijeebaa@
@back seat@|@nikrusta sthaana@
@backbone@|@merudanda@
@backbreaking@|@atee kathina@
@backyard@|@baari@
@Bad@|@Kharaap@
@bad blood@|@satrutaa@
@bad egg@|@duschartra byaktee@
@bad temper@|@badmijaaj@
@badge@|@soochaka phalaka@
@badger@|@odho@
@badinage@|@kautuleeyaa pareehaas@
@badtemper@|@tikta manobhaava@
@baffle@|@kinkartavyabimudha@
@bag@|@tholi@
@baggage@|@aasabaab patra@
@bait@|@thopa@
@balance@|@bharasaamya@
@balderdash@|@baaje katha / arthaheena katha@
@balm@|@suraveeta malam@
@balmy@|@sugandhajukta@
@bamboo@|@baaunsa@
@bamboozle@|@bibhraanta kareebaa@
@ban@|@nisedh kareebaa / nisedhaadesh@
@banal@|@tuccha / saamaanya@
@Banana@|@Kadali@
@bandit@|@dasyu@
@bandy@|@aaghaat pratyaaghaat@
@bane@|@durjoga@
@banish@|@nirbaasana / desaantikarana@
@bankrupt@|@debaaliyaa@
@banner@|@patakaa@
@banquet@|@aadambarapurna bhojee@
@banter@|@pareehaasa@
@barb@|@muno / tikhyana ansa@
@barbarian@|@nrusansa@
@barber@|@baarika@
@bard@|@gaayaka@
@barefaced@|@asishta / uddhata@
@barefoot@|@khali paadare@
@barely@|@kwocheet@
@bargain@|@mulachaala karibaa@
@bark@|@bakkala / bhukeebaa@
@barmaid@|@madasaalaara parichaarikaa@
@barrier@|@prateebandha@
@bated@|@utkantheeta@
@bath@|@snaana / gaadhoeebaa@
@bathroom@|@gadhuaaghara@
@batter@|@baarambaar aaghaat kareebaa@
@battle@|@juddha / rana / samara@
@battle dress@|@juddha poshaaka@
@battlefield@|@juddha khetra / rana khetra@
@batty@|@ardha paagala@
@bauble@|@mulyanaheena alankaara@
@bawdy@|@haasyatmaka o asleela@
@bawdy house@|@besyaalaya@
@bawl@|@chitkaar kareebaa@
@beach@|@samudra tata@
@beady@|@khudra o ujwala@
@beak@|@thanta@
@beam@|@sikhha@
@bear@|@bahana karibaa / bhaaloo@
@bear hug@|@nibeeda aaleengana@
@bearable@|@sahaneeya@
@beard@|@daadhee@
@beast@|@pasu@
@beastly@|@pasu aacharana@
@beautiful@|@sundara@
@beauty@|@saundarjya@
@beauty spot@|@sundara sthaana@
@because@|@jehetu@
@beckon@|@sanketare daakeebaa@
@bed@|@khata / palanka, khata / palanka /sajya@
@bed sore@|@sajyaa ghaa@
@bedevil@|@bisrunkhalita karibaa@
@bedlaam@|@kolaahalapurna abastaa@
@bedraggled@|@apareechanna / lochaa kochaa@
@bedspread@|@bichhonaa chaadara@
@bee@|@birudi, birudi / mahumachhi@
@beef@|@GOMANSA@
@beehive@|@mahufenaa@
@beeline@|@sidhhaasalakha jeebaa@
@beer@|@mada@
@befall@|@ghateebaa@
@before@|@purbaru@
@beforehand@|@aaguaa / purbaru@
@befriend@|@bandhutaa kareebaa@
@befuddle@|@hattabudhhi kareebaa@
@beget@|@janaka kimbaa baapaa hebaa@
@beggar@|@bhikaari@
@begin@|@aarambha@
@beginner@|@anabhignya byaktee@
@begrudge@|@eershyaa / dwesha kareebaa@
@beguile@|@thakeebaa@
@behalf@|@pakhyaru@
@behave@|@aacharana pradarshana@
@behaviour@|@chaaleechalana / aacharana@
@behead@|@mundakaat@
@behemoth@|@vishaala praanee / padartha@
@behest@|@aadesh / anurodh@
@behind@|@pachhare@
@beholden@|@krutagnya@
@behove@|@aabasyaka hebaa@
@being@|@steethhee / abastithhee@
@belated@|@beelambeeta@
@belch@|@heudee maaribaa@
@beleaguer@|@utpeedana kareebaa@
@belie@|@bhool dhaaranaa debaa@
@belief@|@dhaaraana / biswaas@
@beligerence@|@kalahapriya aacharana@
@belittle@|@nyuna kareebaa@
@bellow@|@radee chhadeebaa@
@belly@|@peta@
@belly button@|@naavee@
@bellyache@|@petara jantranaa@
@belongings@|@jinisapatra / aasabaabpatra@
@beloved@|@priyajana@
@below@|@nimnare / taule@
@bemoan@|@bilaap karibaa@
@bemuse@|@bivraanta@
@benchmark@|@maanabindoo@
@bend@|@nuaaeenbaa / bakra karibaa@
@beneath@|@taule@
@benediction@|@subhakaamana@
@benefaction@|@daana@
@benefactor@|@hitakaaree@
@beneficial@|@hitakaara@
@beneficial work@|@bikaasa mulaka kaarjya@
@beneficiary@|@upakruta byaktee@
@benefit@|@upakaar@
@Bengal gram@|@Buta@
@Bengal gram (Split)@|@Buta dali@
@benighted@|@agyna@
@benign@|@dayaalu@
@bequest@|@ichhapatra sampattee@
@bereave@|@shokaatura / shoka santapta@
@bereft@|@bancheeta@
@berry@|@kolee@
@beseech@|@prarthanaa / nibedana kareebaa@
@beside@|@pakhare / sangare@
@besiege@|@abarodh kareebaa@
@besotted@|@moheeta@
@bespectacled@|@chasamaajukta@
@best@|@sarvottama / shreshtha@
@best use@|@sadupajog@
@best wishes@|@suvechha@
@betray@|@biswasghaat@
@better@|@uttama@
@between@|@madhyare@
@betwixt@|@madhyama maarga@
@beverage@|@suswaadu paaneeya@
@beware@|@saabadhaan / satarka@
@bewitch@|@sammohita baa mantramugdhha@
@beyond@|@aara paakhare / anya pate@
@bias@|@purba matara pravaab@
@biceps@|@dueesirista pesee / baaku pesi@
@bicker@|@chota bisayare kalaha karibaa@
@bid@|@nilaam karibaa@
@bide@|@apekhya karibaa@
@big@|@bada@
@bigamy@|@duee patnee grahana@
@bigheaded@|@garbee@
@bighearted@|@udaara@
@bigot@|@andhabiswaasee@
@bigshot@|@pradhana byaktee@
@bilateral@|@duee pakhya bisista@
@bile@|@pitta@
@bilingual@|@dueebhaasee@
@bind@|@bandheebaa@
@binder@|@bandhaalee@
@binding@|@bandhana@
@binocular@|@durabikhsyana jantra@
@binomial@|@dueepada@
@biodiversity@|@jaibabibhinnataa@
@biological@|@jeeba sambandheeya@
@bipartite@|@duiansa bisista@
@bipolar@|@dueemeru / dueedhruba@
@bird@|@pakhi@
@birth@|@janma / utpattee@
@birthright@|@janmagata adhikaar@
@bison@|@maeensee@
@bit@|@chota khanda@
@bit by bit@|@tanna tanna kari@
@bitchy@|@aakrosha paraayana@
@bite@|@kamudeebaa@
@bitter@|@peetaa / tikta@
@bizarre@|@advoota@
@blab@|@anyatha gapibaa@
@black@|@kala@
@black and blue@|@aaghaat jogu bibarna@
@Black gram@|@Biri dali@
@Black gram (whole)@|@Biri@
@blackboard@|@kalaa pattaa@
@blackguard@|@neecha / khala loka@
@blackmail@|@bhaya dekhaai artha aadaay@
@blacksheep@|@baalungaa@
@blacksmith@|@kamaara@
@blame@|@dosha debaa / aarop karibaa@
@blanch@|@sweta padibaa@
@bland@|@durbala@
@blandish@|@khusamad@
@blanket@|@kambala / ghodei debaa@
@blare@|@uchha sabda karibaa@
@blase@|@udaasina@
@blast@|@bisforana@
@blast off@|@utkhepana@
@blatant@|@lajyaahina@
@blaze@|@ujuala agnisikhaa@
@bleak@|@rangaheena / neerasa@
@blemish@|@trutee@
@blend@|@misrana karibaa / misijeebaa@
@bless@|@aashirvaad@
@blighter@|@ghrunya byaktee@
@blind@|@drushteeheena / andha@
@blind alley@|@eka muhaan gali@
@blindspot@|@drushtee parisara bahaare@
@blister@|@photokaa@
@blitz@|@prabala bimaana aakramana@
@blizzard@|@prabala tushaarpaat@
@bloat@|@phulibaa@
@blob@|@eka topaa@
@block@|@abarodh karibaa@
@blockhead@|@nirbodha@
@blood@|@rakta@
@blood poisoning@|@rakta bisaakteeekarana@
@blood pressure@|@raktachaapa@
@blood relation@|@rakta samparka@
@bloodcurdling@|@bhayaanaka@
@bloom@|@prasfutita / phuteebaa@
@blossom@|@unnateera prathamaabstaa@
@blot@|@kalaa daaga@
@blow@|@phunkeebaa / pabana kareebaa@
@blunt@|@spastabaadee / daadhabihina@
@blur@|@aspasta@
@body@|@deha@
@boil@|@SIJHA@
@book@|@pustaka / bahi@
@border@|@seemaanta@
@bow&arrow@|@dhanu sara@
@boy@|@baalaka@
@bread@|@PAUNRUTI@
@break@|@bhaangiba / ulanghana@
@breast@|@chaatee@
@breathless@|@aunaniswaasee@
@bribe@|@utkocha@
@brothel@|@besyaalaya@
@brought forward@|@aagata@
@bucket@|@baaltee@
@building materials@|@nirmaana saamagree@
@burning@|@jwalanta@
@bus@|@bus@
@business@|@byabasaaya@
@bussinessman@|@byabasaayee@
@busy@|@byasta@
@butter@|@ghee@
@butterfly@|@prajapati@
@buy@|@kraya@
@buyer@|@kreta@
@by hook or by crook@|@kala bala kausale@
@Cabbage@|@Bandha Kobi@
@cable@|@taara guchha@
@cache@|@gupta jineesha baa dhana@
@cachet@|@praved karutheebaa chinha@
@cackle@|@kukudaa paree bobaaibaa@
@cacophony@|@karkasa swara baa sabda@
@cactus@|@naagapheni@
@cad@|@asaadaachaaree@
@cadaverous@|@saba sadrushya@
@caddish@|@neecha / asista@
@cadre@|@senaara mula srenee@
@cage@|@pinjaraa@
@cagey@|@satarka bhaabare@
@cahoots@|@gopana chukteere samprukta@
@cajole@|@phusulaaeebaa@
@calculation@|@hisaaba@
@calculative@|@hisaabi@
@calf@|@baachhuree@
@calloused@|@badhira charma@
@calm@|@nischala / saanta@
@camaraderie@|@bandhutwa@
@came@|@asila@
@camel@|@oto@
@camp@|@sibira@
@campaign@|@abheejaan@
@camphor@|@karpoora@
@campus@|@hataa@
@Can you lift the box?@|@Tume bax ti ku athai paribaki@
@cancel@|@radda@
@cancelled@|@baatil@
@cancer@|@karkata roga@
@candid@|@nishkapata / spastavadee@
@candidate@|@praarthee@
@candidature@|@prartheepatra@
@candle@|@mahambatee@
@candy@|@misiree@
@cane@|@beta@
@cannon@|@topa@
@canoe@|@sarua haalukaa dongaa@
@capacity@|@kshyamataa, kshyamataa / saamarthya@
@capsize@|@olateebaa@
@captivated@|@mugdha@
@captivating@|@mantramugdhhakaari@
@capture@|@kabjaa@
@Cardamom@|@Gujurati@
@care@|@jatna@
@carefully@|@jatnataara  sahita@
@caring@|@jatnabaan@
@Carrot@|@Gajar@
@cartridge@|@kaartoos@
@Cashew nut@|@Kaju@
@caste@|@jaatee@
@cat@|@bilei@
@Cauliflower@|@Phool Kobi@
@centre@|@kendra@
@ceremony@|@utsava@
@chair@|@chowkee@
@challenge@|@aawhaana@
@chance@|@soojog@
@change@|@paribartana@
@character@|@charitra@
@character building@|@charitra gathana@
@characterless@|@durachaari / lampata@
@charming@|@kamaneeya@
@check@|@nirdhaarana, nirdhaarana / tadarakh@
@cheese@|@CHHENA, GHEEAA@
@chemical@|@raasaayanika@
@Chick Peas@|@Buta@
@chicken@|@KUKUDA@
@child@|@santaana@
@Chinese@|@China@
@choice@|@pasanda@
@church@|@girijaghara@
@Chutney@|@Khatta@
@cime@|@aparaadh@
@Cinnamon@|@Dalchini@
@Cinnamon leaf@|@Teja Patra@
@clap@|@karataali@
@clean@|@safaa@
@clear@|@nirmala / swacha@
@clever@|@chatura@
@climb@|@aarohana / chadhiba@
@closed@|@nibuja@
@closing@|@udjaapita@
@Cloves@|@Labanga@
@coal@|@koeelaa@
@coastal@|@tateeya@
@coastal area@|@upakulabarti anchala@
@Coconut@|@Nadia@
@collect@|@sangatheeta, sangatheeta / sangraha@
@collection@|@sangraha / sambhaara@
@collectively@|@samabeta@
@colour@|@ranga@
@colourless@|@barnaheena@
@comb@|@paaniyaa@
@come@|@aasa@
@come in contact@|@sansparsha@
@common@|@saadhaarana@
@common sense@|@saadharana gyana@
@compare@|@tulana@
@competitor@|@pratijogi, pratijogi / pratidwandee@
@complaint@|@abheejog@
@complete@|@sampoorna@
@compliant@|@kathaa rakheebaa@
@complicated@|@jatila@
@compromise@|@samaadhaana@
@concentration@|@ekaagrataa@
@conclude@|@nirupana@
@conclusion@|@siddhanta@
@condition@|@abastaa / paristithee@
@condolence@|@samabedana@
@confine@|@aabadhha karibaa@
@confusion@|@dwanda@
@connection@|@sambandha@
@connection fail@|@samparka bichhinna@
@consecutive@|@kramaagata@
@conservative@|@rakshyanasheela@
@consider@|@bichaara@
@construction@|@nirmaana@
@consumer@|@graahaka / upabhoktaa@
@contact@|@sansparsha@
@context@|@sandharva@
@continuously@|@nirantara@
@control@|@niyantrana@
@cook@|@rosei / raandhibaa@
@cooked rice@|@bhata@
@cooperative society@|@samabaaya samity@
@copy@|@nakala@
@Coriander leaves@|@Dhania Patra@
@Coriander powder@|@Dhania Gunda@
@Coriander seeds@|@Dhania@
@correction@|@sansodhana@
@corruption@|@durneeti, durneeti / bhrashtaachaar@
@cotton@|@tulaa@
@counter attack@|@pratiaakramana@
@counting@|@gananaa@
@court@|@kutchery@
@courtyard@|@agana@
@covered@|@aabruta@
@cow@|@gaai / gomata@
@cowshed@|@guhala@
@create@|@srustee@
@creativity@|@srujjanasheelata@
@crime@|@aparaadh@
@criminal@|@aparaadhee@
@critical@|@sochaniya@
@criticize@|@samaalochanaa@
@critisize@|@samaalochana@
@cross@|@ateekrama@
@cruel@|@nisthura@
@crumble@|@bhusudibaa@
@cultivation@|@chaasa@
@cultural@|@saanskrutika@
@culture@|@sanskruti@
@Cumin@|@Jeera@
@Cumin seeds@|@Jeera@
@cunning@|@dhoorta, dhoorta / chatura@
@curd@|@Dahi@
@Curry@|@Tarkari@
@cursed@|@abhisapta@
@cursed life@|@abhisapta jeebana@
@curt@|@rukshya@
@customer@|@graahaka@
@cut@|@kaatibaa@
@daily@|@dainika@
@daily use@|@nitya byabahaara@
@danger@|@bipada@
@dark@|@andhaara@
@Dates@|@Khajoor@
@daughter@|@Kanya / putree@
@Daughter@|@Kanya@
@day@|@dina@
@day after tomorrow@|@paaradina@
@day dream@|@dibaswapna@
@death@|@marana /mrityu@
@decide@|@nirdharita, nirdharita / nispati@
@decide / decision@|@nispati@
@decision@|@nirdharjya /, nirdharjya / nirnaya@
@decisive@|@nirnaayatmaka@
@declaration@|@ghosanaa@
@declared@|@ghoseeta@
@decorative@|@saundarjya bardhaka@
@decrease@|@hraasa@
@deep@|@gabheera@
@defeat@|@parajeeta, parajeeta /parasta@
@demand@|@daabi / chaahidaa@
@dense@|@ghana@
@department@|@bibhaga@
@departure@|@pratyaabartana@
@depend@|@nirvara@
@dependable@|@nirvarjogya@
@dependent@|@nirvarasheela@
@depressed feeling@|@abasaada@
@deprive@|@banchita@
@depth@|@gabheerataa@
@descend@|@abarohana / olei, abarohana / olheiba@
@describe@|@barnanaa@
@description@|@barnanaa@
@desire@|@kaamana / ichha@
@dessert@|@MIHTA@
@destination@|@gantabyasthala@
@destiny@|@karmaa / karmafala@
@destroy@|@dhwansa@
@destruction@|@binaasha@
@development@|@bikaasha@
@deviate@|@bahirbhuta@
@devotee@|@upasaka@
@devotion@|@bhakti@
@dew@|@kaakara@
@dictionary@|@sabdakosha@
@Did you have your lunch?@|@Tu madhyana bhojana kal ki?@
@difference@|@paarthakya, paarthakya / prabheda@
@difference of opinion@|@mataved@
@different@|@bhinna@
@difficult@|@kathina, kathina / kashta@
@direction@|@deega@
@director@|@nirdeshaka@
@discipline@|@anusashana@
@discover@|@aavishkaara@
@discuss@|@aalochana@
@discussion@|@aalochanaaa@
@disease@|@byadhee@
@distant@|@samparkaheena bhaabare@
@distribute@|@bitarana@
@district@|@zilla@
@disturbance@|@bibhraata@
@divide@|@bibhakta@
@division@|@harana@
@Do you love me?@|@Tume mote bholapao ki?@
@Do you speak...@|@Kana aapana kahi paribe?@
@doctor@|@doctor@
@dog@|@kukura@
@doubt@|@sankaa@
@doubtful@|@sandehajanaka@
@dress@|@poshaaka@
@Drink@|@Peeba@
@drinking water@|@paaneeya jala@
@drown@|@budibaa@
@Drum Stick@|@Sajana Chuin@
@drunk@|@maataal@
@dry@|@sukhila@
@dull@|@neerasa@
@duplicate@|@nakala@
@dynamic@|@tejaswi@
@eager@|@aagraha@
@eagerness@|@tatparataa@
@earned@|@arjana@
@earnest@|@aantarika, aantarikataa@
@earnestness@|@aantarikataa@
@earning@|@rozgaara / arjita@
@earth@|@bhoomi, bhoomi / pruthivy@
@earthquake@|@bhoomikampa@
@east@|@poorba@
@east coast@|@purbatata@
@easy@|@sahaja@
@Eat@|@Khaiba@
@education@|@sikshya@
@effect@|@prabhaav@
@eight@|@aath@
@electricity@|@bidyut@
@elephant@|@haatee@
@embarrassed@|@lajjita@
@embrace@|@aaleengana@
@emergency@|@jarureekaaleena@
@emotional@|@bhaavaprabanata@
@empowerment@|@sasaktikarana@
@emptiness@|@shunyata@
@empty@|@khali@
@empty hands@|@soonyahasta@
@enchant@|@mugdhha karibaa@
@enchanted@|@mantramughdhha@
@enclose@|@gheraaibaa@
@encourage@|@protsaahana, protsaahana / utsaahita@
@encroach@|@jabardakhal@
@encroacher@|@jabardakhalkaari@
@end@|@samaapta@
@endurable@|@sahaneeya@
@enemy@|@shatru@
@English@|@Engrazi@
@engrossed@|@mugdha@
@engrossing@|@manohara@
@enough@|@jathesta, jathesta / paryaapta@
@enter@|@prabesha@
@entice@|@pralobhana dekhaaibaa@
@environment@|@pareebesha@
@establish@|@sthhaapana@
@established@|@sthhaapita@
@estimate@|@nirupana@
@evening@|@sandhyaa@
@every@|@pratyek, pratyek / prati@
@everybody@|@samaste@
@exact@|@abikala@
@examination@|@pareekshyaa@
@examine@|@anudhyana, anudhyana / tadarakh@
@example@|@udaaharana / namunaa@
@excess@|@atee@
@excite@|@utyakta, utyakta / uttejeeta@
@excited@|@utyakta heba, utyakta heba/uttejeeta@
@excitement@|@utejana, utejana / udbega@
@Excuse me@|@Khyama karibe@
@existence@|@astitva@
@exit@|@prasthaan@
@expansion@|@samprasaarana@
@expenditure@|@kharcha@
@experience@|@abheegnyataa@
@expert@|@nipuna / dakshya, nipuna / dakshya / dhurandhara@
@expertise@|@nipunata / dakshyataa@
@explanation@|@kayeefeeyat@
@exploit@|@soshana@
@explosion@|@bisforana@
@extinct@|@bilupta@
@extra@|@atirikta@
@extraordinary@|@asaadhaarana@
@eye@|@aakhi / chakhyu@
@face@|@sammukheen@
@fact@|@baastaba@
@factory@|@kaarkhanaa@
@failed@|@bifala@
@faith@|@bharosaa@
@false@|@mithhyaa@
@false promise@|@michha pratisrutee@
@fame@|@prasiddhhee, prasiddhi /pratishthaa@
@family@|@parivaara@
@family-head@|@murabee@
