@English@|@Basque@
@atlantic mackerel@|@berdel@
@atmosphere@|@giro@
@atmospheric pressure@|@a presio atmosferiko@
@atom@|@atomo@
@atom smasher@|@atomo-puskatzaile@
@atomic bomb@|@bonba atomiko@
@atrium@|@arkupe@
@atrocious act@|@zikin-keria@
@attach@|@gakoz lotu@
@attack of fever@|@sukarraldi@
@attempt@|@ahalegin, eginahal, saiatu@
@attention@|@oharmen@
@attitude change@|@jarrera-aldaketa@
@August@|@Abuztua@
@aunt@|@izeba@
@authenticate a signature@|@sinadura egiaztatu@
@automobile@|@kotxe@
@autumn@|@udazken@
@available@|@eskumenean, librerik@
@avalanche@|@elur-jausi@
@avoacado tree@|@ahuakat-arbola@
@awkward@|@erabilgaitz, gogaikarri, zakar@
@baboon@|@babuino@
@baby@|@haur@
@back@|@bizkar@
@back of the hand@|@eskugain@
@back part@|@atze@
@bad@|@gaitz, txar@
@bad temper@|@jenio txar@
@bad turn@|@azpikeria@
@badger@|@azkoin@
@badly@|@gaizki@
@bag@|@poltsa@
@baker@|@okin@
@bakery@|@okindegi, okintegi@
@balance@|@oreka@
@balance (scales)@|@balantza@
@balance of payments@|@ordainketa balantza@
@balance of power@|@boterearen oreka, boterearenn oreka@
@balance of trade@|@balantza, balantza merkatal@
@balance sheet@|@balantze@
@balcony@|@balkoi@
@bald@|@burusoil@
@ball@|@bola@
@ball bearing@|@kojinete@
@balloon@|@puxika@
@ball-peen hammer@|@mailu burubiribil@
@ball-pen@|@boligrafo@
@banana@|@platano@
@banana tree@|@bananondo@
@bank@|@banketxea, banku, kutxa@
@banner@|@bandera@
@baptism@|@bataio@
@bar@|@taberna@
@barbed wire@|@txarrantxa@
@bare-handed@|@esku-huska@
@bark@|@azal@
@barley@|@garagar@
@barley-sugar@|@kande-azukre@
@barque@|@itsasontzi@
@barrel@|@kanoi, upela@
@barren@|@agor@
@bartender@|@tarbernari@
@basket@|@saski@
@basking shark@|@marrazo erraldoi@
@Basque@|@euskara@
@Basque (adj)@|@euskal@
@basque (the one who speaks Basque)@|@euskaldun@
@Basque classes@|@euskarazko klaseak@
@Basque folk dance@|@aurresku@
@Basque Santa Claus@|@Olentzero@
@Basque school@|@euskaltegi, ikastola@
@bass@|@baxua, lupia@
@bass singers@|@ahots baxuak@
@Basse Navarre@|@Benafaroa@
@bat@|@sagutzar, saguzahar, saguzar@
@bathroom@|@bainugela, komun, komuna@
@bathroom sink@|@lababo@
@bathtub@|@bainu-ontzi@
@bay (geog.)@|@golko@
@Bay of Biscay@|@Bizkaiko Itsasoa@
@bay window@|@leiho irtena@
@bayonet@|@baioneta@
@be@|@da, egon, izan@
@be alike@|@kidetu@
@be alive@|@bizi izan@
@be born@|@jaio@
@be frightened@|@beldurtu@
@be on your guard!@|@erne ibili!@
@be sorry@|@sentitzen@
@be worthy of@|@merezi izan@
@beach@|@hondartz, hondartza@
@bean@|@baba@
@beans@|@babarrun, indaba@
@bear@|@hartz@
@beard@|@bizar@
@bearded@|@bizardum@
@beast@|@piztia@
@beating@|@kolpeka@
@beautiful@|@eder, ederra@
@beauty@|@edertasun@
@beauty contest@|@ederren lehiaketa@
@beauty parlor@|@ileapaindegi@
@beauty salon@|@apaindegi@
@beaver@|@kastore@
@because@|@-gatik, bai-, elako@
@become gruff@|@zakartu@
@become rich@|@aberastu@
@become rude@|@zakartu@
@become tender@|@guri-tu@
@becoming cold@|@hozte@
@bed@|@oge, ohe@
@bedroom@|@logela@
@bee@|@erle@
@beech@|@pago@
@beech grove@|@pagadi@
@beef@|@behiki@
@beer@|@garagardoa@
@beggar@|@eskale, eskeko@
@begi@|@hasi@
@being@|@nengoela@
@belly@|@sabel@
@beloved@|@maite@
@below@|@-pe(an)@
@belt@|@gerriko@
@berry@|@ale, baia@
@best wishes@|@zorionak@
@better@|@hobe@
@beverage@|@edari@
@beyond cure@|@sendaezina izan@
@beyond help@|@sendaezina izan@
@bicycle@|@bizikleta@
@big@|@handi, haundi@
@Bilbao@|@Bilbo@
@bilingual@|@elebidun@
@bill@|@kontu@
@billy goat@|@aker@
@biology@|@biologia@
@bird@|@txori@
@birthmark@|@jaiotze-marka@
@Biscay@|@Bizkaia@
@Biscayan (dialect)@|@Bizkaiera@
@bishop@|@apezpiku, gotzain@
@black@|@beltz@
@black bass@|@perka amerikar@
@black magic@|@sorginkeria@
@black mulberry tree@|@maruga beltz@
@black scorpionfish@|@krabarroka beltz@
@blackboard@|@arbel, harbel@
@blackmail@|@txantaje@
@blame@|@hoben, oben@
@blanket@|@burusi, ohazal, tapaki@
@bliss@|@poz, poztasun@
@block@|@bloke@
@blood@|@odol@
@blood sausage@|@txorizo@
@blouse@|@alkondara@
@blowing snow@|@goi-bisuts@
@blue@|@urdin, urdina@
@blue shark@|@tintoleta@
@blush@|@lotsa@
@boar@|@aketz, basurde@
@boar fish@|@basurde-arrain@
@board@|@administrazio-kontseilu, epaimahai (B)@
@board of directors@|@administrazio-kontseilu@
@board of management@|@zuzendaritza-kontseilu (B)@
@board of trustees@|@administrazio-kontseilu@
@boarfish@|@basurde-arrain@
@boat@|@itsasontzi, ontzi, txalupa@
@body@|@gorputz, gorputz-enbor, porputz, soin@
@boil@|@egosi, kabarro@
@boiling@|@borborka@
@boilingly@|@borborka@
@bolt@|@berno, kisketa@
@bone@|@hezur@
@bone marrow@|@hezur-muin@
@bone of contention@|@liskarbide@
@bone up on@|@jo eta ke ikasi@
@boneless fish@|@arrain hezurgabe@
@bonnet@|@kapela, txanoa@
@book@|@idazti, liburu@
@book-lover@|@liburuzale@
@bookstore@|@liburudenda@
@boot@|@bota@
@border@|@hegi@
@bored@|@aspergarri@
@boring@|@aspergarri@
@boss@|@nagusi, nagusi@
@boss around@|@i-en nagusia izan@
@botany@|@botanika@
@both of us@|@biok@
@bottom@|@ipurdi@
@bouquet@|@sorta@
@bouquet of flowers@|@lore-sorta bat@
@box tree@|@ezpel@
@box wrench@|@edontzi-giltza@
@boy@|@mutil, mutila@
@boyfriend@|@senargai@
@brain stem@|@garun-enbor@
@bramble shark@|@taxtuela@
@branch@|@abar, adar, rama@
@bread@|@ogi@
@break a promise@|@agindutakoa ez bete@
@breakfast@|@gosaldu, gosari@
@breast@|@bular, ugatz@
@breath@|@arnas, arnasa, hats@
@bridge@|@zubi@
@brief@|@idazki@
@briefcase@|@kartera@
@bright@|@argi@
@bring together@|@hurbildu@
@broken@|@apurtuta, puskatuta@
@bronce@|@brontze@
@Bronze Age@|@Brontze Aroa@
@brook@|@erreka@
@brother@|@anai, neba@
@brown@|@beltz-arran, marroi@
@bud@|@kima, kimu@
@buffalo@|@bufalo@
@bug@|@zomorro@
@bull@|@zezen@
@bull ring@|@zezen-plaza@
@bullet@|@bala@
@burden@|@zama@
@burn@|@erredura@
@burn away@|@kiskali@
@burn down@|@suntsitu@
@burn into@|@suaz markatu@
@burning@|@suketa@
@bus@|@autobus@
@bus station@|@autobus geltokia@
@bush@|@sasi, zuhaiska@
@business@|@betebehar, enpresa, Finant@
@business firm@|@enpresa@
@business matter@|@arazo@
@business trading@|@negozioak@
@businessman@|@enpresari@
@but (conj)@|@baina@
@butcher shop@|@harategi@
@butchers@|@harategi@
@butter@|@gurin@
@butterfly@|@pinpilipauxa, tximeleta@
@butterfly fish@|@tximeleta arrain@
@butterfly net@|@tximeleta-sare@
@buttocks@|@ipurdi@
@buy@|@erosi@
@buying@|@erosten@
@by (what) hour@|@ordutarako@
@by any means@|@inolaz (ere)@
@by baptism@|@bataioz@
@by default@|@besterik gabe@
@by design@|@asmoz@
@by hand@|@eskuz@
@by leaps@|@saltoka@
@cabbage@|@aza@
@cabinetmaker@|@zurgin@
@cable@|@kable@
@cable television@|@kable-telebista@
@cablegram@|@kablegrama@
@cafe au lait@|@cafesne@
@calabash@|@kalabaza@
@calculating rule@|@kalkulu-erregela@
@calendar@|@eguntegi, egutegi@
@calendar year@|@urte zibila@
@calf@|@xahal@
@call someone by phone@|@telefonoz hots egin/deitu@
@calm@|@isil, lasai@
@calmly@|@lasai@
@calumny@|@gezur-beltz@
@campaign@|@kanpaina@
@campsite@|@kanpin@
@cancer@|@minbizi@
@candle@|@kandela@
@cane@|@kanabera@
@cannibal@|@gizajale, kanibal@
@cannon@|@kanoi@
@cannot@|@ezin@
@canteen@|@kantina@
@canteen (Mil.)@|@mahai-tresnak@
@canyon@|@arroil@
@cap@|@txano, txapel@
@capillary@|@kapilar@
@capital@|@hiriburua@
@capital account@|@kapital-kontu@
@capital assets@|@ondare pasibo@
@capital city@|@hiriburu@
@capital goods@|@kapital-ondasunak@
@capital investment@|@kapital-bertsio@
@capital letter@|@letra larri@
@capital punishment@|@heriotza-zigor@
@capital transfer tax@|@plusbalioaren gaineko zerga@
@capture@|@harrapaketa, harrapatze@
@car@|@kotxe@
@caraway@|@txarpoil@
@caraway seed@|@txarpoil-hazi@
@carbon@|@karbono@
@carbon dioxide@|@karbono dioxido@
@carbon paper@|@kar-bono-paper@
@carcinoma@|@kar-tzinoma@
@card@|@txartel@
@card catalog@|@katalogo-fixta@
@card index@|@katalogo-fixta@
@cardinalfish@|@apogon gorri@
@caress@|@xaru@
@carnation@|@krabelin@
@carob bean tree@|@algarrobo@
@carp@|@karpa, zamo@
@carpentry@|@arostoki@
@carrot@|@azenario@
@cart@|@gurdi@
@cash@|@eskudiru@
@cash box@|@dirukutxa@
@cash card@|@kutxazain-txartel@
@cash deposit@|@diru-ezartze@
@cash in on@|@probetxua atera@
@cash on delivery@|@jasotzean ordaintzeko@
@casino@|@kasino@
@cassette recorder@|@kaset@
@cast iron@|@burdina galdatu@
@castle@|@gaztelu@
@castrated ram@|@zikiro@
@cat@|@katu@
@catalogue@|@katalogo@
@Catalunya@|@Katalunya@
@catapult@|@kata-pulta@
@cause@|@erro@
@caution@|@kontu@
@Caution! Careful!@|@Kontuz!@
@cautious@|@zuhur@
@cavalry@|@zaldizko soldadu@
@cave@|@haitzulo, koba, leiza, leize@
@cave in@|@behera egin@
@cave in to@|@i-en aurrean amore eman@
@cavern@|@kobazulo@
@cavity@|@barrunbe@
@cedar@|@zedro@
@cedar of Lebanon@|@Libanoko zedro@
@cedar wood@|@ze-droki@
@celery@|@apio@
@celestial@|@zeruko@
@center@|@erdi, zentro@
@century@|@gizaldi, mende@
@cereal crops@|@garau-uztak@
@ceremony@|@ospakizun@
@certainly@|@seguraski@
@certainty@|@ziurtasun@
@chain@|@kate@
@chain drive@|@katezko transmisio@
@chair@|@aulki@
@chamber pot@|@pixontzi@
@champion@|@txapeldun@
@championship@|@txapelket, txapelketa@
@chance@|@abagune, aldagai estokastiko, egokiera@
@change@|@aldatu, mutazio@
@change address (BUT)@|@aldatu helbidea@
@change of meaning@|@esanahi-aldaketa@
@change of pace@|@erritmo-aldaketa@
@change of phase@|@egoera-aldaketa@
@change of rhythm@|@erritmo-aldaketa@
@change of state@|@egoera-aldaketa@
@chaplain@|@kaperau@
@character actor@|@figurontzi, karakteristiko@
@charge@|@kontu@
@charm@|@lilora, xarma, zinginarri@
@charm (magic)@|@sorgindu@
@charming@|@liluratu, xarmatu@
@chasm@|@arrue@
@chatter@|@berriketa, ele-berriketa@
@cheap@|@merke@
@check@|@txeke@
@checks@|@checkak@
@cheek@|@masaila@
@cheerful@|@alai@
@Cheers!@|@Topa!@
@cheese@|@gazna, gazta, gaztae, gaztai@
@chemistry@|@kimika@
@cherry@|@gerezi@
@chess@|@xake@
@chestnut@|@gaztain, gaztaina@
@chestnut tree@|@gaztainondo@
@chicken@|@oilasko, oilo@
@chicken coop@|@oilategi@
@chicken out@|@atzera egin@
@chicory@|@txikoria@
@child@|@sehi, ume@
@chimney@|@kebide, tximini, tximinia@
@chimney sweep@|@kebide-garbitzaile@
@chin@|@kokots, kokotz@
@chipmunk@|@urtxintxa marradun@
@chisel@|@trintxa, zizel@
@chocolate substitute@|@txokolateordeko@
@chord@|@korda@
@chorizo@|@txorizo@
@chorus@|@koru@
@church@|@eliza@
@church member@|@eliztar@
@church wedding@|@eliz ezkontza@
@cider@|@sagardoa@
@cigarette@|@zigarreta@
@cigarette butt@|@zigarrokin@
@cigarette case@|@zigarro-kaxa, zigarro-kaxa@
@cigarette lighter@|@metxero@
@cinema@|@zinema@
@cinnamon@|@kanela@
@circle@|@biribil, korru, obo@
@circle of friends@|@koadrila@
@circus@|@zirku@
@city@|@hiri@
@city council@|@udal@
@city dweller@|@kaletar@
@Civil Guard@|@Goardia Zibil@
@claim@|@alegazio, eskabide, eskaera, eskakizun, eskatu@
@clasp@|@gako, mako@
@class@|@klase, klasea, maila@
@clause@|@klausula@
@claw@|@atzapar, erpe@
@claw hammer@|@iltze-mailu@
@clay@|@buztin, klera@
@clay pigeon shooting@|@plater-tiraketa@
@clean@|@xahu@
@clear@|@xabal@
@clinic@|@klinika@
@clip@|@moztu@
@cloak@|@kapa@
@clock@|@erreloju@
@close@|@itxi@
@close friend@|@adiskide@
@closed@|@itxita@
@closed circuit television@|@zirkuitu itxiko telebista@
@cloth@|@kapa, zapi@
@clothes@|@arropa, arropak, jantzi@
@cloud@|@hodei@
@cloudy sky@|@goibel@
@clover@|@hirusta@
@clown@|@pailaso@
@clowns@|@pailasoak@
@clumsy@|@moldakaitz, trakets, traketsa, zakar@
@coal@|@ikatz@
@coarse@|@zakar@
@coat@|@abrigue@
@cock@|@txorrota@
@cockroach@|@labe-zomorro@
@coconut@|@koko@
@coelacanth@|@zelakanto@
@coffee@|@kafe@
@coffee substitute@|@kafeordeko@
@coffee with milk@|@cafesne@
@coin@|@txanpon@
@colander@|@iragazki, xukadera@
@cold@|@hotz, hotza@
@cold period@|@hozte@
@cold time@|@hozte@
@collateral@|@paralelo@
@colleague@|@kide@
@colloquy@|@mintzaldi@
@cologne@|@kolonia@
@color change@|@kolore-aldaketa@
@column@|@zutabe@
@comb@|@orrazi@
@combat@|@gudu@
@Come!@|@Etorri!@
@comedian@|@komiko@
@comedy actor@|@komiko@
@comfort@|@erosotasun, kontsolamendu, ongizate@
@commander@|@komandante@
@comment@|@azalpen, zeresan@
@commentary@|@azalpen, iruzkin@
@common bass@|@lupia@
@common octopus@|@olagarro arrunt@
@common remora@|@erromero txiki@
@companion@|@kidego, lagun@
@comparison@|@erkatze@
@comparison (gram.)@|@konparizio@
@compass@|@iparrorratz, konpas@
@compass course@|@bide magnetiko@
@competition@|@lehiaketa@
@complain@|@kexa egin, kexatu@
@complainer@|@murruzkari@
@complaint@|@hil-eta@
@complete@|@osatu@
@complex (psy.)@|@konplexu@
@compound fraction@|@zatiki bikoitz@
@compound fracture@|@haustura anitza@
@compound interest@|@interes konposatu@
@compound sentence@|@perpaus elkartu@
@compound substance@|@gai konposatu@
@computer@|@ordenagailu@
@computer programming@|@informatika programazio@
@computer sceince@|@informatika@
@conclusion@|@ondoren@
@condition change@|@baldintz aldaketa@
@cone@|@kono@
@confirm@|@egiztatu, konfirmatu@
@conflagration@|@suketa@
@confuse@|@nahastu@
@conglomerate@|@konglomeratu@
@congress@|@kongresu@
@conjunction@|@juntagailu@
@conquest@|@konkista, konkistatze@
@consequence@|@ondoren@
@consequence; future@|@ondore@
@consolation@|@kontsolamendu@
@consomme@|@salda@
@consonant@|@kontsonante@
@constipation@|@idorreri@
@constitution@|@egitura, eratze@
@control@|@aginte@
@control board@|@kontrol-batzorde@
@conversation@|@solas@
@convince@|@komentzitu, sinestarazi@
@cook@|@egosi@
@cooked@|@eginda@
@cooker@|@su@
@cookie@|@gaileta, galleta@
@cooperate@|@lanean lagundu@
@copper@|@kobre, kobrezko@
@copper wire@|@kobrezko hari@
@coral fish@|@koral-arrain@
@corduroy@|@pana@
@cork@|@kortxo@
@cork tree@|@artelatz@
@corkscrew@|@ginbalet, sakakortxo@
@corn@|@arto, artoa@
@corner@|@hegi, izkina, txoko, zoko@
@coroner@|@heriotza-epaile@
@corporal@|@kaporal, lehen kabu@
@corporal punishment@|@gorputzeko zigor@
@corpse@|@gorpu@
@correct@|@zuzen@
@correctly@|@zuzen, zuzenki@
@correspond@|@baliokidea izan@
@cosmos@|@kosmos, ortzune@
@cost-of-living index@|@bizitzaren kostuaren indize@
@cottage cheese@|@gaztanbera@
@cotton@|@kotoi@
@cough@|@eztul@
@cough drop@|@eztulerako pilula@
@cough forth@|@eztul egin@
@cough mixture@|@eztulerako siropa@
@cough syrup@|@eztulerako siropa@
@cough up@|@eztulka bota@
@coughing spell@|@eztulaldi@
@council@|@kontseilu@
@country@|@herri@
@country house@|@baserri@
@courage@|@ausardia@
@court@|@auzitegi@
@court (of palace)@|@jauregi@
@court of justice@|@epaitegi@
@cousin@|@lehengusu@
@cover@|@azal, burusi, estalki, tapa@
@cover (Mil.)@|@babesleku@
@cover (shelter)@|@aterpe@
@cover up@|@ongi bildu@
@covers@|@ohazal@
@cow@|@behi@
@cowshark@|@garda@
@crab@|@karramarro@
@crack@|@karrask@
@crawl@|@narras ibiltze@
@crazy@|@ero@
@cream@|@esnegain, gain@
@cream (artificial)@|@krema@
@cream cake@|@kremazko tarta@
@cream cheese@|@gaztanbera goxo@
@credit@|@kreditu@
@creek@|@erreka@
@creme de la creme@|@mamikoak@
@crested lark@|@kutturlio arrunt@
@cricket@|@txirrita@
@criminal@|@gaizkile@
@criminal code@|@kode penal@
@criminal law@|@zuzenbide penal@
@criminal lawyer@|@abokatu penal@
@crocodile@|@kokodrilo@
@crop@|@laborantza@
@crop rotation@|@lurgintzen txandakatze@
@cross@|@gurutze, guruzbidean, zeharkatu@
@cross wind@|@haize gurutzatu@
@crotch@|@txardango@
@crow@|@bele@
@crowd@|@jendeketa, jendetza@
@cruel@|@anker, gogor@
@cruel acts@|@ankerkeriak@
@cry of fear@|@oihu@
@cry of pain@|@oihu@
@cry out for@|@oihuka eskatu@
@crying@|@negarrez@
@crystal ball@|@beirazko bola@
@cucumber@|@luzoker, pepino@
@culpability@|@hoben, oben@
@cultivate@|@landu@
@cultivated land@|@soro@
@cup@|@kopa@
@cupboard@|@armairu@
@cure@|@sendagailu@
@cure (course of medical treatment)@|@sendabide@
@curly@|@kiskur@
@current account@|@kontu korronte@
@curtain@|@errezel, gortina@
@custom@|@ohitura@
@customer@|@bezero@
@cut@|@xerra@
@cut back@|@kimatu@
@cut in@|@aurrean jarri@
@cut to pieces@|@txikitu@
@cut up@|@labanaz@
@cutlassfish@|@sable arrain isatsgabe@
@dagger@|@sastagai@
@damp@|@hezetasun@
@damselfish@|@kastainola@
@dark@|@ilun, ubel@
@darkness@|@ilun@
@data on file@|@fitxatutako da-tuak@
@daughter@|@alaba@
@day@|@egun@
@day after tomorrow@|@biharamun@
@day before yesterday@|@herenegun@
@dead@|@hil-dako@
@dead centre@|@erdi-erdi@
@dead leaves@|@ospel@
@dead letter@|@bidali ezinezko eskutitz@
@deadend street@|@kale itsu@
@deaf@|@gor@
@deal a blow@|@kolpatu@
@death@|@herio@
@death's head moth@|@sits pirata@
@debit@|@zor@
@debit amounts@|@kopuru zordunak@
@debit balance@|@zordun saldo@
@debt@|@zor@
@deceased@|@hil-dako@
@deciduous tree@|@zuhaitz hostoerorkor@
@decisively@|@zirt-edo-zart@
@deck pond@|@guardarrain@
@decline@|@beheraldi, gainbehera@
@deduction@|@kentze@
@deduction (deducing)@|@ateratze, ondorioztatze@
@deep@|@hondo, sakon@
@deer@|@orein@
@default@|@akats@
@default directory@|@berezko direktorio@
@defense@|@babeste, defendatze@
@defense budget@|@defentsarako aurrenkontu@
@delay@|@atzerapen@
@delight@|@atsegin, gozo@
@delivery@|@banatze, zabaltze@
@delivery man@|@banatzaile@
@delivery service@|@etxez etxe banatze zerbitzu, etxez exte banatze zerbitzu@
@demand@|@eskatu@
@demolish@|@lurreratu@
@demon@|@deabru@
@demonstrate@|@agertu@
@demonstration@|@erakuste@
@demonstration against@|@manifestazio kontra@
@demonstration for@|@manifestazio alde@
@dena@|@everything@
@dentures@|@hortz atxikorrak@
@deodorant@|@desodorante, usain-kentzaile@
@department@|@sail, saila@
@Department of Defence@|@Defentsa Sail@
@depose@|@lekukotza egin@
@depression@|@goibeladi@
@derelict@|@abandonaturiko gauza@
@descendant@|@geroko@
@describe@|@deskribatu@
@desert@|@basamortu, basmortu@
@design@|@diseinu@
@desire@|@gogo, gurari@
@desk@|@idazmahai@
@desk job@|@bulegoko lanpostu@
@desperate@|@etsirik@
@dessert@|@goxoki@
@destiny@|@zori@
@destroy@|@erraustu, suntsitu@
@destruction@|@suntsitze, txikizio@
@determination@|@asmo tinko, tinko@
@develop@|@garatu@
@devil fish@|@manta-arraia@
@devilfish@|@manta-arraia@
@dew@|@ihintz@
@diacritical sign@|@zeinu diakritiko@
@dialect@|@euskalki@
@dialogs@|@elkarrizketak@
@diamond@|@diamante@
@diarrhea@|@kakeria@
@dice@|@dadoak@
@dictionary@|@hitzegia@
@diet@|@dieta@
@difficult@|@gogor, zail@
@difficult to use@|@erabilgaitz@
