@English@|@Sami@
@advance@|@ovdamáksu@
@advance tax@|@ovdavearru@
@advertisement@|@máinnus@
@advertising@|@máinnusteapmi@
@advice@|@bagadus, ráva@
@adviser@|@bagadeaddji, ráððeaddi@
@aerodrome@|@girdihámman, girdinšillju@
@affluence@|@riigodat@
@Africa@|@Afrihkká@
@African (person)@|@afrihkáláš@
@after something@|@mangngá@
@again@|@fas, oððasis@
@against something@|@cheese, vuostá@
@against the law@|@lága vuostá@
@age@|@ahki@
@agitation@|@agitašuvdna@
@ago@|@dassái@
@agreement with someone@|@soahpamuš@
@air@|@áibmu@
@air mail@|@girdinpoasta@
@air route@|@girdinlinjjá@
@air traffic@|@girdijohtolat@
@air waybill@|@girdifievrrádusbábir@
@aircraft@|@áibmufievru@
@airmail@|@áibmoboasta@
@Alaska@|@Alaska@
@Albania@|@Albánia@
@alcohol@|@alkohola@
@alcoholic beverage tax@|@viidnevearu@
@alder@|@læi'be@
@algorithm@|@algoritma@
@all@|@buot, gait@
@all in all@|@oktibuot, oktiibuot@
@all of a sudden@|@fáhkkestaga@
@all the time@|@álo áigge, oppa áigge@
@allergy@|@allergiija@
@alliteration@|@álgošuoknga@
@almost@|@lagabui, meastta@
@alphabet@|@alfabehta@
@alphabetical@|@alfabehtalaš@
@alphabetical order@|@alfabehtalaš ortnet@
@already as a question@|@juogo@
@Alta@|@Áltá@
@altar@|@áltár@
@alternative@|@molssaevttolaš@
@alternative costs@|@molssarávdnji, vekselstrøm@
@alternative costs?@|@molssaevttolaš golut@
@alto@|@álta@
@always@|@álo@
@ambulance@|@buohccibiila@
@America@|@Amerihkká@
@American@|@amerihkálaš@
@amethyst@|@ametista@
@amethyst mine@|@ametistaruvke@
@amidst X@|@gaskkas@
@ammunition@|@bissoneavvut@
@among others@|@earret eará@
@amount of something@|@mearri@
@an average of@|@gaskaárvvu mielde, gaskamearálažžat@
@an indigenous person@|@álgoálbmot, eamiálbmot@
@an old unit of weight@|@viehku@
@anatomy@|@anatomiija@
@ancestor@|@máttar@
@and@|@ja@
@and someone else@|@~guovttos@
@and such like@|@ja eará dakkár@
@anemia@|@varrasonahat@
@angel@|@eanggal, enggel@
@Angeli@|@Ángngel@
@angelica@|@boska, olbmoborranrássi@
@angle@|@vuog'ga@
@angler@|@oaggu@
@angry@|@bahá, suhttan@
@animal@|@ealli@
@animal husbandry@|@šibitdoallu@
@annexation@|@veagaloamasteapmi@
@annual report@|@jahkediedahus, jahkeraporta@
@anorexia@|@anoreksiija@
@another@|@nubbi@
@ant@|@gotka@
@anthology@|@antologiija, choakkáladat, diktachoakkáldat@
@anthrax@|@dáðvesonahat, dávdesonahat@
@antiquity@|@máttaráigi@
@anus@|@bahtaráigi@
@anvil@|@stáðði@
@anyone@|@feara gii, oktage, oktage@
@anyways@|@goittot@
@apartment@|@lanjadat@
@apartment asunto@|@orrunsadji@
@apparatus@|@apparáhtta@
@apparently@|@várra@
@appear@|@guojeti-@
@applause@|@giehtaspeažžun, speažžun@
@apple@|@eahppel, eppel@
@apple tree@|@eppelmuorra@
@applesauce@|@eppelnjuvddus@
@applicant@|@ohcci@
@appropriate for something@|@heivvolaš@
@appropriateness@|@heivvolašvuohta@
@approximately@|@sullii@
@apricot@|@aprikosa@
@April@|@cuongománnu@
@apron@|@firkkal@
@aquaculture@|@mearadoallu@
@Aquarius@|@cháhceolmmái@
@archaic@|@boarásnuvvan@
@Archangel@|@Árkangggal@
@archbishop@|@árkapismá@
@archeological@|@arkeologalaš@
@archeologist@|@arkeologa@
@archeology@|@arkeologiija@
@architect@|@arkiteakta@
@arctic@|@arktalaš, árktalaš@
@arctic bramble@|@gieddemuorji, váðot@
@arctic char@|@rávdu, valas@
@arctic fox@|@njálla@
@Arctic hare@|@njoammil@
@arctic kidney lichen@|@duolbajeagil@
@arctic skua@|@suolaskáiti@
@arctic tern@|@chearret@
@arctic warbler@|@davvelastavizar@
@area@|@viidodat@
@argument@|@ákkastallan@
@Aries@|@Fierca@
@arithmetic@|@aritmetihkka, rehket:g@
@arrow@|@njuolla, nuoll, nuull@
@art@|@dáidda@
@art history@|@dáiddahistorjá@
@artichoke@|@artiskohkka@
@article@|@artihkkala@
@article for daily use@|@atnudingga@
@artist@|@artista@
@artistic@|@dáiddálaš@
@artistic director@|@dáiddálaš hoavda@
@as@|@seammá@
@as far as s.o. is concerned@|@dáfus@
@as follows@|@chuovvovachchat@
@as much as@|@juoba@
@as X@|@seammá@
@Asia@|@Ásia@
@asp@|@suppe@
@asparagus@|@aspárggus, aspárgosa@
@assessment@|@árvvoštallan@
@assessment unit of land@|@olmmošlohku@
@asshole@|@battaraigi@
@assistant@|@amanuensa@
@association@|@searvi@
@astronaut@|@astronávta@
@astronomy@|@astronomiija@
@asylum seeker@|@dorvoohcci@
@at first@|@vuos@
@at home@|@ruovttus@
@at least@|@unnimusat@
@at night@|@ihkku@
@at the age of X@|@X-jahkásažžan@
@at the beginning of the year@|@álgojagis@
@at what time?@|@gall'áigge?, galle áigge, man áigge?@
@at X's@|@luhtte@
@athlete@|@falástalli, faláštalli@
@Atlantic halibut@|@bálddis@
@atlantic puffin@|@bovttáš@
@attic@|@lokta@
@attorney@|@advokahta@
@attribute@|@attribuhtta@
@auction@|@chuorvvasgávpi@
@audio book@|@jietnagirji@
@augment@|@lasse@
@August@|@borgemánnu@
@aunt@|@goaski, ipmi, siessá@
@auroral@|@guovssahasas@
@Australia@|@Austrália, Australiija@
@Austria@|@Nuortariika@
@auto@|@biila@
@autobiography@|@autobiografiija, iešbiografiija@
@automat@|@automáhtta@
@automatic@|@automahtalaš@
@automation@|@automatiseren@
@automobile@|@personbiila@
@autonomy@|@autonomiija@
@autonomy theory@|@autonomiijateoriija@
@autumn@|@chakcha@
@average@|@gáskamearalaš, gáskamearálaš@
@avocado@|@avokádo@
@away from something@|@eret@
@awl@|@oarre@
@axe@|@ákšu, miehtjër, vähtjër, viechcher, viehcher@
@bachelor@|@boaresbárdni@
@back@|@chiel'ge, sealgi@
@back of knife@|@šimer@
@back of the hand@|@giehtaláhpi, giehtaramas@
@back of the neck@|@niski@
@background@|@duogás@
@back-up copy@|@sihkkarastinmángggus@
@bacterium@|@bákteriija@
@bad news@|@morašsáhka@
@bag@|@lávka@
@baking powder@|@gáhkkenbulvarat@
@ball@|@spábba@
@Baltic herring@|@sallit@
@balu@|@gohchcháhit@
@band-aid@|@plásttar, plástter@
@bank@|@bangku, bángku@
@bank card@|@bángkokoarta@
@bankrupt@|@konkursa, reastaluvvan@
@barbed wire@|@biikastreangga@
@barbed-wire fence@|@biikaáidi@
@Barents Area@|@Barentsguovlu@
@barley@|@bivgi@
@barn@|@láhtu@
@barn swallow@|@suorrespálfu@
@barnacle goose@|@vilgesnierçuonjá@
@barrel@|@fárppa@
@bar-tailed godwit@|@ruksesguškil@
@basic information@|@vuoððodieðut@
@basic right@|@vuoððoriekti@
@bathroom@|@basadanlatnja@
@battallion@|@bataljovdna@
@batten@|@bielka@
@bay@|@luokta@
@be beaten by s.o. with fists@|@chorpmahallat@
@be caught in a fight@|@leat gaskal@
@be impossible to do something@|@leat veadjemeahttun@
@be of the opinion of something@|@oaivvildit@
@be pessimistic about something@|@leat pessimisttalaš@
@be quiet!@|@oro jaska!@
@bean@|@báhpu@
@bean goose@|@chuonjá@
@bear@|@bierdna, bierdnegoahti, guovža@
@bear cub@|@bierdni@
@beard@|@seamu@
@bearded seal@|@jiegis@
@beast of prey@|@spire@
@beautiful@|@cháppat, fávru@
@beaver@|@maajeh, maajjeg, mádjit, maggjeg, maggjeg, maggjek, maggjek, majjij@
@because of s.t.@|@geažil@
@because of something@|@dihte@
@become furless through soaking@|@navválit@
@bed@|@oaððensádji, sadji, seangga@
@bedpatient@|@seanggabuohcci@
@bedroom@|@oaððenlatnja@
@bee@|@mieðašeatni@
@beer@|@vuola@
@beet@|@ruksesruohtas@
@before@|@ovdalgo@
@before the hour@|@váile@
@before X o'clock@|@ovdal@
@beginning@|@álgu@
@behind@|@kaahcait@
@behind something@|@duogás, duohkái@
@Belgium@|@Belgia@
@belle@|@fávru@
@bellflower@|@biellorássi@
@beluga@|@buovjja, vilgesguolli@
@bend@|@notke@
@benefit@|@ávki@
@bequest@|@árbi@
@berry@|@muor'je, muorji@
@beside@|@~gáttis@
@best@|@buoremusat@
@Bethlehem@|@Betlehem@
@better@|@buoret@
@bevel@|@heivenvingkil@
@beverage@|@jugus, juhkamuš@
@biblbiography@|@bibliográfia, bibliografiija@
@Bible@|@biibbal, bippal@
@bibliography@|@girjjálašvuohta@
@bicycle@|@sihkkel, sihkkel, sihkkelat@
@big@|@kaakulatj, stuoris@
@bilateral@|@bilaterála@
@bile@|@sáhppi@
@bile acid@|@sáhppesuvri@
@bilingual@|@guovttegielalaš@
@bilingualism@|@guovttegielatvuohta@
@bill (money)@|@seattal@
@binder@|@máhppa@
@binding vowel@|@laktavokála, máttavokála@
@binoculars@|@kiikkar, kiikkár@
@biographical@|@biográfalaš@
@biological@|@biologalaš@
@biology@|@biologiija@
@birch tree@|@soahki@
@bird@|@loddi@
@bird hunting@|@loddebivdu@
@birdhouse@|@vuovda@
@birth@|@riegádeapmi, riegádeapmi, riegádus@
@birthday@|@riegádanbeaivi@
@birthmark@|@riegádanmearkka@
@birthplace@|@riegádanbáiki@
@birth-rate@|@riegádanlohku@
@bishop@|@bisma, bismá@
@bit@|@bihttá@
@black@|@cháhppat, cháhppes@
@black currant@|@cháhppesjieret@
@black grouse@|@hurri@
@black guillemot@|@chielkkis@
@black woodpecker@|@ruovddagas@
@black-billed magpie@|@skire@
@blackcap@|@gahpervizar@
@black-cock@|@chuk'cha@
@Blackey@|@cháhppe@
@black-headed gull@|@gahperbáiski@
@black-legged kittiwake@|@skierru@
@blacksmith@|@rávdi@
@black-tailed godwit@|@cháhppesbaðošguškil@
@black-throated diver@|@dovtta@
@blind@|@chalmmeheapme, chalmmeheapme, sohken, sohkenis, sovkke, sovkkenis@
@blind (1)@|@chuovggaheapme@
@blister@|@doavhli@
@blood@|@varra@
@blood donor@|@varraaddi@
@blood pressure@|@varradeaddu, varradeatta@
@blood pudding@|@guhppár, gumppus@
@blood test@|@varraiskkus@
@blood-poisoning@|@varramirkkohus@
@blow the nose@|@nisteti-@
@blubber@|@fálka@
@blue@|@alit@
@blue tit@|@alitgaccet@
@blue whale@|@alitfális@
@blueberry@|@sarrit@
@blueberry jam@|@sarretmeastta@
@bluethroat@|@giellavealgu@
@board meeting@|@stivrraçoahkkin@
@board of culture@|@kulturlávdegoddi@
@Board of Education@|@Skuvlaráððehus@
@board saw@|@fiellosahá@
@boat@|@fanas@
@body@|@rumaš@
@body of a person@|@rumaš@
@bogey@|@sparru@
@Bohemian waxwing@|@bealljerásttis@
@boil@|@orbmes, ur'mas, urbmes@
@bone@|@dákti@
@bone marrow@|@aða@
@bonfire@|@dolla@
@book@|@girji@
@book of solutions@|@choavddagirji@
@bookkeeper@|@rehketdoalli@
@bookkeeping@|@rehketdoallu@
@booze@|@viidni@
@border@|@rádjá, rádji@
@Børselv@|@Bissojohka@
@boss@|@beaivválašjoðiheaddji@
@botanical@|@šaddodieðalaš@
@botany@|@botanihkka@
@both@|@goabbáge, goappašagat, guktot@
@both-and@|@sihke-ja@
@Botswana@|@Botswana@
@bottom@|@bodni@
@bottom of the foot@|@juolgevuoððu@
@bottom of the river@|@jogabodni@
@bounce up and down@|@njuikkuhit@
@bouquet@|@paande@
@bow@|@njakka@
@box@|@gássa, kássa, puor'na@
@box whortleberry@|@ehtemas, juogot@
@boy@|@gánda@
@brain@|@vuoingngamaççat@
@brake@|@goazan@
@bramble raspberry@|@cháhppesvaðot@
@brambling@|@vintán@
@branch@|@oak'se, oaksi, sagge@
@Braselv@|@Guolleveadji@
@bravery@|@roahkkavuohta@
@Brazil nut@|@paraniehtti@
@bread@|@láibi@
@break@|@luok'cha@
@breakfast@|@iðidachchat, iðitbiebmu@
@breast@|@chižži, melki, miel'ga@
@breast milk@|@chižžemielkki@
@breath@|@vijns, vuoi'gingâ, vuoi'gngâ, vuoi'nga, vuoingas@
@Breivikbotn@|@Goahtechoarru@
@brick@|@diilageaðgi@
@bride@|@moarsi@
@bridge@|@šaldi@
@brine@|@vuorda@
@bristle@|@chokko-@
@Brit@|@brihttalaš@
@British Columbia@|@Brihttalaš Kolumbia@
@broad@|@gallje, viiddis@
@broad-billed sandpiper@|@suotnjoliráš@
@broom@|@luvdá@
@broth cube@|@liepmachoaltu@
@brother@|@viellja@
@brown@|@ruškes@
@brown trout@|@dápmot, veahttaçáhceguolli@
@Brünnich's guillemot@|@jiekngachielkkis@
@bucket@|@gieðbmi@
@budget@|@bušeahtta@
@building@|@huksehus, kantiidna@
@Bulgaria@|@Bulgaria@
@Bulgarian@|@bulgarialaš@
@bulimia@|@bulimiija@
@bull@|@burru@
@bull reindeer@|@varis@
@bun@|@bullá@
@bureaucracy@|@byrokratiija@
@bureaucrat@|@byrokráhta@
@bureaucratic@|@byrokráhtalaš@
@Buryat@|@burjáhtalaš@
@bus@|@busse@
@bus stop@|@busseorustan sadji@
@business@|@gávppašeapmi@
@but@|@muhto@
@butter@|@vuodja@
@butterfly@|@beaiveloddi@
@buttocks@|@bahta, churti@
@button@|@boallu@
@by airplane@|@girdiin@
@by car@|@biillain@
@by oneself@|@okto@
@by pure chance@|@ipmašis@
@by the stove@|@uvdnagáttis@
@by-product@|@liigebuvtta@
@cabbage@|@gálla, vilgesgálla@
@cake decoration@|@gáhkkochiknga@
@cake filling@|@gáhkkodeavda@
@cake pan@|@gáhkkofoarbma@
@cake platter@|@gáhkkofáhtta@
@cake server@|@gáhkkospoaððu@
@cake spreader@|@gáhkkobožan@
@cake tester@|@gáhkkosággi@
@Calanus finmarchicus@|@boggi, ruksesoahttu@
@calculator@|@rehkenastinmaáiidna@
@call@|@jearaldat@
@camel@|@kamela@
@Canada@|@Kanáda@
@Canada goose@|@kanádachuonjá@
@cancer@|@boras, borasdávda@
@Cancer@|@Reabbá@
@candidate@|@evttohas@
@candle@|@ginttal@
@candlestick@|@ginttaljuolgi@
@candy@|@njálggis@
@cannery@|@riibadahttinfabrihkka@
@canoe@|@fânâs, vanaas, vânâs, vans, vønas, vønnas, vøns@
@canoe (1)@|@kanohta@
@cap@|@gahpir@
@cap for pen@|@peannabagaldat@
@capacity@|@chaðahannávvcat@
@capelin@|@šákša@
@capercaillie@|@chukchá@
@capercallie@|@beahceloddi@
@capital and its surrounding@|@oaivegávpotguovlu@
@capital city@|@oaivegávpot@
@Capricorn@|@Báktebohkká@
@car accident@|@oktiibeaškkiheap@
@car door@|@biilauksa@
@car ferry@|@biilafearga@
@car key@|@biilachoavdda@
@car seat for a child@|@máná biilastuollu@
@car window@|@biilaláse@
@carbohydrate@|@karbohydráthta@
@card@|@spealla@
@cardamon@|@kardemumma@
@cardinal number@|@vuoððolohku@
@car-driving@|@bilisme@
@careful@|@várrugas@
@cargo vessel@|@gálvofanas@
@cargohold@|@ruopmi@
@carrier@|@girdinfitnodat@
@carrion crow@|@garjá@
@carrot@|@rušpi@
@carry@|@vikke-, vïkke-, vikki-@
@cartilage@|@mjuorges@
@carton of cigarettes@|@duhpátskáhppu@
@carving@|@lat'to@
@case@|@kásus, sadjeheapmi@
@cassette@|@kaseahtta, káseahtta@
@cat@|@bussá@
@catalogue@|@kartotehka card@
@catcher@|@dustejeaddji@
@category@|@kategoriija@
@cauliflower@|@diehppegálla@
@caviar@|@meaððennjuvddus@
@cavitation@|@kavitašuvdna@
@cavity@|@vouw'da@
@cayenne pepper@|@kajennebihpporat@
@ceiling@|@rohpi@
@cellular phone@|@mobiltelefuvdna@
@census@|@olmmošlohkan@
@centimeter@|@sentimehter@
@Central America@|@Gaska-Amerihkká@
@Centre for Sámi Studies@|@Sámi dutkamiid guovddáš@
@centrifugal compressor@|@turbo@
@centrifuge@|@cháhcenjaman@
@cereal@|@gordneseagáš, gordni@
@certainly@|@vissa@
@cervix@|@mánágoahtechotta@
@Cetraria juniperina@|@reatkájeagil@
@chaffinch@|@beibboš@
@chain@|@láhkki@
@chair@|@stuollu@
@chairman@|@sátnejoðiheaddji@
@challenge@|@hástalus@
@challenge to do something@|@hástalus@
@Chancellor of Justice@|@vuoigatvuohtakansler@
@changepurse@|@bursa@
@changing room?@|@molssodanlatnja@
@channel@|@kanála, nuorri@
@chapter@|@boddu@
@character encoding@|@kodatabealla@
@charcoal@|@chaðða@
@charge nurse@|@ossodatbuohccedivššár@
@chart@|@tabealla@
@charter@|@friddjavuoðareive@
@chaser@|@doarrideaddji@
@chauffeur@|@vuoddji@
@cheap spirits@|@buolliviidni@
@Chechnya@|@chechchenia@
@cheek@|@muohtu@
@cheekbone@|@nierra@
@cheese@|@vuostá@
@cheese mold@|@vuostálohkki@
@cheese sandwich@|@vuostáláibi@
@cheese slicer@|@vuostáheavval@
@chef@|@goahkka, koahkka@
@chemistry@|@kemiija@
@cheque@|@šeahkka check@
@cherimoya@|@cherimoija@
@cherry@|@chirsa@
@chest@|@raddi@
@chew@|@gaske-@
@chicory@|@sihkor@
@chief editor@|@oaiveodoaimmaheaddji@
@chief of police@|@poliisahoavda@
@child@|@mánná@
@child abuse@|@mánáid seksuálalaš illásteapmi@
@child benefit@|@mánáidoadju, mánáidruhta@
@child prostitution@|@mánáidprostitusšuvdna@
@child welfare@|@mánáidsuodjaluspedagoga@
@childhood@|@mánnávuohta@
@childish@|@mánálaš@
@childless@|@mánáheapmi@
@children's book@|@mánáidgirji@
@chili pepper@|@chilibihpporat@
@chimpanzee@|@šimpánsa@
@chin@|@gáibi, oalol@
@China@|@Kiinná@
@choir@|@lávlungoarra, lávlunjoavku@
@cholesterol@|@kolesterola@
@choose soneone as something@|@válljet/@
@Christian@|@risttalaš@
@Christian democrat@|@Ristalaš demokráhtta@
@Christianity@|@risttalašvuohta@
@Christmas@|@juovllat@
@christmas carol@|@juovlalávlla@
@Christmas Day@|@juovlabeaivi@
@Christmas Eve@|@juovlaruohtta@
@Christmas morn@|@juovlaiðit@
@christmas present@|@juovlaskeangka@
@Christmas tree@|@juovlamuorra@
@Chukchi@|@chukchalaš@
@church@|@girku@
@church service@|@ipmilbálvalus@
@cigar@|@sigára@
@cinder@|@metállabázahus, metállašealgu, metallinkiilto@
@cinnamon@|@kánelat@
@circumference@|@birramihttu@
@cistern@|@gumma@
@citizen@|@stáhtaborgár@
@city@|@gávpot@
@city police department@|@poliisalágádus@
@civil@|@vuoððolágalaš@
@civil law@|@romálašriekti@
@civil rights@|@vuoððorievttit@
@clangy things@|@kilkutin, skilanas@
@clarinet@|@klarinehtta@
@classification@|@klassifikašuvdna@
@clause@|@eaktu@
@clean@|@buhtis, ráinnas@
@cleaner@|@bassi, chorgejeaddji@
@clear weather@|@muenje@
@clever@|@fihtolaš, fihtolaš, fitmat@
@climate@|@klimáhta@
@clock time@|@diibmoáigi@
@closed@|@abba, oabâ, obâ, obbâ, omp, ompi, öpp@
@closed-sheath cotton-grass@|@heavnnisávvat@
@cloth@|@liidni@
@cloud@|@balva@
@cloudberry@|@luomi@
@coachwork@|@biilagoavdi@
@coal@|@koalla@
@coal tit@|@cháhppesgaccet@
@cocoa@|@kakáo@
@cod@|@dorski@
@cod-liver oil@|@lieksi@
@coffee@|@gáffe@
@coffee grounds@|@gáfet@
@coffeepot@|@gievdni@
@coffeeshop@|@kafea@
@coffin@|@gistu@
@cohort study@|@kohortadutkan@
@cold@|@buolaš, sogjide-@
@collar bone@|@oalgedákti@
@collective@|@oktasaš@
@college@|@allaskuvla@
@colon@|@gassachoalli@
@colony@|@koloniija@
@color photo@|@ivdnegovva@
@colorless@|@ivnneheapme, ivnneheapmi@
@Columbia@|@Kolumbia@
@comitative@|@komitatiiva@
@commission@|@kommišuvdna@
@commission member@|@kommišuvdnalahttu@
@common blackbird@|@cháhppesrásttis@
@common bullfinch@|@ruksesruoivil@
@common buzzard@|@sáhpánboaimmáš@
@common chiffchaff@|@skilkeskálka@
@common coot@|@giehpavuonccis@
@common crane@|@guorga@
@common crossbill@|@guossabáhcatloddi@
@common eider@|@ákta, hávda@
@common flax@|@beallemas@
@common goldeneye@|@choaðgi@
@common greenshank@|@stuorraçoavžžu@
@common guillemot@|@lánggá@
@common juniper@|@gaskkas, reatká@
@common kestrel@|@bieggafálli@
@common merganser@|@gusagoalsi@
@common moorhen@|@láttovuonccis@
@common mussel@|@bohkkaguiski, bohkkaskálžu@
@common pochard@|@ruksesfiehta@
@common raven@|@gáranas@
@common redpoll@|@ummolcizáš@
@common redshank@|@choavžu, choavžžu, ruksesjuolchoavžžu@
@common redstart@|@leaibeloddi@
@common rosefinch@|@ruksesbeibboš@
@common sandpiper@|@gáddebiroš@
@common scoter@|@njurggu@
@common shelduck@|@ruossaduoršu@
@common skate@|@skáhttu@
@common snipe@|@meahkástat@
@common starling@|@stárra@
@common swift@|@leahttospálfu@
@common teal@|@chiksa@
@common tern@|@guollechearret@
@common whitethroat@|@miesttavizar@
@common wood pigeon@|@dielkoduvvá@
@common-law marriage@|@rabaslihttu@
@common-law spouse@|@orronguoibmi@
@communication@|@gulahallan, kommunikašuvdna@
@community center@|@birasviessu@
@commuter traffic@|@pendelasti johtolat@
@comparative@|@komparatiiva@
@compare@|@veardit@
@compensation@|@buhtadus@
@compensation fund@|@buhtadusfoanda@
@competition@|@gilvu@
@competitor@|@gilvejeaddji@
@compilation@|@antologiija@
@complaint@|@váidda@
@complete@|@dievaslaš@
@composer@|@komponista@
@composing@|@bordin@
@computer@|@dihtor@
@computer terminal@|@dihtorterminála@
@concept@|@konseapta@
@concern@|@kuoska-, kuosngati-, kuuske-@
@concerning something@|@guoskevaš@
@concert@|@konsearta@
@conditional@|@konditionála@
@condominium@|@duksalanjadat@
@conference@|@konferánsa, konfereansa@
@conifer@|@bæcce@
@conjugation table@|@sojahanminstar@
@conjunction@|@konjunkšuvdna@
@conjuntional@|@konjuntionála@
@conjure@|@labmo-@
@consomme@|@liepma@
@consonant@|@konsonánta@
@consonant gradation@|@dássemolsašupmi@
@constipation@|@obbondávda@
@constitution@|@vuoððoláhka@
@construction@|@huksenteknihkka@
@construction worker@|@huksejeaddji@
@consultant@|@oaivvadeaddji@
@contact@|@oktavuohta, yhteenkuuluvuu@
@contact information@|@oktavuohtadieðut@
@contact person@|@gulahallanolmmoš@
@contact with something@|@oktavuohta@
@container for food@|@biebmovuorká@
@content@|@duhtavaš@
@contents@|@sisdoallu@
@context@|@konteaksta@
@continuity@|@kontinuitehta@
@contract@|@šiehtadus, soahpamuš@
@convention@|@konvenšuvdna@
@cool@|@juoskos@
@cooperation@|@oktasašbargu, ovttasbargu@
@coordinate@|@koordináhta@
@coordinates@|@koordináhtavuogáhdat@
@co-ordination@|@koordinašuvdna@
@co-ordinator@|@koordinator@
@Copenhagen@|@Københámmán@
@copper@|@veaiki@
@copyright@|@álggadahkkivuoigatvuohta@
@coral lichen@|@korállajeagil@
@coral reef@|@korállaoahci@
@cornered@|@chiegat@
@corosion@|@korrošuvdna@
@corpse@|@liika@
@correct@|@riekta@
@correspondence course@|@reivegurse@
@corresponding@|@vástideaddji@
@cost of production@|@buvttadangollu@
@cottage@|@visoš@
@cottonball@|@bumbol@
@cough@|@gosahat@
@county@|@leatna@
@county road@|@fylkkaluodda@
@courageously@|@roahkkadit@
@courtyard@|@šillju@
@cousin (female)@|@oambealle@
@cousin (male)@|@vilbealle@
@cove@|@gohppi@
@cow@|@gussa@
@cowberry@|@joknga@
@cowshed@|@návet@
@crab@|@gazzareabbá, reabbá@
@cradle@|@gietkä@
@craft@|@dámpa@
@cream@|@lákca@
@creative work@|@luovvananbargu@
@credit hour@|@oahppovahkku@
@creditor@|@velgoheaddji@
@credo@|@oskkudovddastus@
@Creole@|@kreolalaš@
@crested tit@|@vuoktagaccet@
@crime@|@rihkolašvuohta@
@crime laboratory@|@rihkuslaboratoria@
@criminal@|@rihkolaš@
@criminal action@|@rihkusášši@
@criminal investigation@|@rihkusdutkan@
@crispbread@|@smierroláibi@
@critique@|@kritihkka@
@cross@|@rista@
@cross-beam@|@totko@
@crow@|@vuorâžâs, vuorchchis, vuorches, vuorrâžâs@
@crowberry@|@cháhppesmuorji@
@crowded@|@sajiheapmi@
@crown@|@kruvdna, ruvdna, ruvdnasaš@
@crown (money)@|@kruvdno@
@crown money@|@ruvdno@
@cruet@|@sálkor@
@crumb@|@moarra@
@crusted snow@|@ritni@
@crusted snowdrift@|@cuongo@
@crybaby@|@chierrá@
@cuckoo@|@giehka@
@culture@|@kultuvra@
@cup@|@gohppa, gohppu@
@curb-side parking@|@gáhtanalorosteapmi@
@curious@|@ártet@
@currant@|@korinta, viidnemuorji@
@curtain@|@lássaliidni@
@curtain in the theater@|@lávdebeaitta@
@curtains@|@beaitta@
@cusk@|@loahkka@
@Customs@|@tuollodoaimmahat, tuollu@
@cuvket@|@to break@
@czar@|@cára@
@daily@|@beaivválachchat, beaivválaš@
@daily allowance@|@beaiveruhta@
@dairy@|@mejeriija@
@dam@|@buoððo@
@damn it!@|@vuoi fasttat@
@dandelion@|@vuodjarássi@
@dangerousness@|@várálašvuohta@
