@Spanish (Business)@|@English@
@dividendo@|@divided@
@divisas@|@foreign exchance@
@divulgación@|@disclosure@
@donación@|@donation@
@dueño de una propiedad@|@property owner@
@duración del proceso de trámite@|@processing time@
@economía@|@economy@
@economía política@|@political economy@
@economías de escala por proximidad física@|@agglomeration economies@
@educación para compradores de vivienda@|@home buyer education@
@efectivo@|@cash, effective@
@efectivo en caja@|@cash on hand@
@efectivo en mano@|@cash on hand@
@efecto de tipo de cambio@|@exchange rate effect@
@efectos negociables@|@commercial paper@
@ejecución hipotecaria@|@foreclosure@
@ejercicio@|@year@
@ejercicio económico@|@trading year@
@elasticidad del precio@|@price elasticity@
@eliminación de deuda por bancarrota@|@discharge in bankruptcy@
@empoderamiento@|@empowerment@
@empresa@|@enterprice@
@empresa no lucrativa@|@non profit corporation@
@empresario@|@entrepreneur@
@entidad crediticia@|@lender@
@entrada@|@entrance fee@
@entrega@|@delivery@
@entrega contra reembolso@|@cash on delivery, COD (Cash on Delivery)@
@escritura de fideicomiso@|@deed of Trust@
@escritura de propiedad inmobiliaria@|@deed@
@especulación@|@speculation@
@estado civil@|@marital status@
@estado de cuentas@|@statement of accounts@
@estado de ganancias y pérdidas@|@income statement@
@estado de resultados@|@earning report@
@estar en deuda@|@to be in debt@
@estatuto@|@statute@
@estimación@|@estimate@
@estudio de la propiedad@|@survey of property@
@estudio de mercado@|@market research@
@estudio técnico@|@technical study@
@etiqueta@|@label@
@evaluación de proyectos@|@proyect evaluation@
@evaluación financiera@|@finance evaluation@
@evaluación impositiva@|@tax assessment@
@exención@|@waiver@
@existencias@|@inventories@
@exportador@|@exporter@
@exposición@|@exposure@
@extensión@|@outreach@
@extracto de cuenta@|@statement@
@fábrica@|@factory@
@fabricante@|@manufacturer@
@factura@|@invoice@
@facturación@|@turnover@
@familia@|@family@
@familiares@|@relatives@
@Farmers Home Administration@|@FMHA@
@fecha de cambio de pago de una hipoteca@|@payment change date@
@fecha de vencimiento@|@due date@
@fecha del cierre@|@closing date@
@Federal Housing Administration@|@FHA@
@feria de compra de viviendas@|@Home-Buying Fair@
@financiación@|@financing@
@financiación del propietario@|@owner financing@
@financiación hipotecaria@|@mortgage financing@
@flete@|@freight@
@flete terrestre@|@in land freight@
@flujo@|@flow@
@flujo de caja@|@cash flow@
@flujo de caja del inversionista@|@cash flow audience@
@flujo de caja del proyecto futuro@|@inherited audience@
@flujo e capital a largo plazo@|@long term capital flows@
@flujo libre de efectivo@|@free cash flow@
@flujos netos de efectivo@|@net cash flow@
@fondo@|@fund@
@fondo de amortización@|@sinking found@
@fondo de rotación@|@revolving found@
@fondos de Asistencia Pública@|@public assistance funds@
@fondos en garantía@|@escrow funds@
@fondos insuficientes@|@insufficient funds@
@formularios W-2@|@W-2 Forms@
@franco a bordo@|@FOB (franc on board)@
@fuga de capital@|@capital flight@
@fundación@|@foundation@
@fusión@|@merger@
@fusiones y adquisiciones@|@M&A (mergers and acquisitions)@
@ganancia@|@profit@
@ganancias@|@carnings, earnings@
@ganancias por acción@|@earnings per share, EPS@
@garantía@|@warranty@
@garantía de tasas de interés@|@rate lock-in@
@garantía del propietario@|@homeowner's warranty@
@gastos@|@expenses@
@gastos de hipoteca@|@fixed expenses@
@gastos de mantenimiento de la propiedad@|@upkeep expenses@
@gastos de vivienda@|@housing expenses@
@gastos discrecionales@|@discretionary expenses@
@gastos estables de vivienda@|@stable housing costs@
@gastos generales@|@overheads@
@gastos indirectos@|@overheads@
@gastos mensuales actuales@|@current monthly expenses@
@generación de valor@|@value engineering@
@gerente@|@manager@
@giro@|@drawing@
@gran compañía@|@blue chip company@
@gravamen@|@levy, lien@
@grupo comunitario@|@community group@
@grupo de educación al consumidor@|@customer education group@
@guia sobre propiedad de vivienda@|@guide to homeownership@
@hipoteca@|@mortgage@
@hipoteca asumible@|@assumable mortgage@
@hipoteca con pagos quincenales@|@biweekly-payment mortgage@
@hipoteca con tasa de interés ajustable@|@adjustable-rate mortgage(ARM)@
@hipoteca con tasa de interés fija@|@fixed-rate mortgage@
@hipoteca de rehabilitación@|@rehabilitation mortgage@
@hipoteca en Dos Pasos@|@Two Step® mortgage@
@hipoteca financiada por el vendedor@|@seller take-back mortgage@
@hipoteca secundaria@|@second mortgage@
@historial crediticio@|@credit history@
@hogar@|@home@
@hoja de trabajo@|@worksheet@
@honorarios@|@fee, fees@
@importación@|@importation@
@impuesto@|@tax@
@impuesto sobre la renta@|@income tax@
@impuestos y seguro@|@taxes and insurance (PITI)@
@incremento@|@increase@
@incumplimiento@|@default@
@indicador bursátil@|@stock index@
@índice@|@rate@
@índice de apalancamiento@|@leverage rate@
@índice de cotización en bolsa@|@share index@
@índice de precios al consumo@|@consumer price index@
@inflacción@|@inflation@
@inflación galopante@|@runaway inflation@
@informe anual@|@statement@
@ingreso bruto@|@gross income@
@ingreso nacional@|@national income@
@ingresos@|@income, money received@
@ingresos anuales@|@annual income@
@inmaterial@|@intangible@
@insolvente@|@insolvent@
@insumo@|@input@
@intercambios@|@interchange@
@interés acumulado@|@accrued interest@
@interés compuesto@|@compound interest@
@interés real@|@real interest@
@interés simple@|@simple interest@
@inventarios@|@inventory@
@inversión@|@investment@
@inversión inicial@|@initial investment@
@justificante@|@voucher@
@le debo@|@IOU (I owe you)@
@letra de cambio@|@bill of change, draft@
@Ley de Equidad de Informes de Crédito@|@Fair Credit Reporting Act@
@Ley de Equidad de Vivienda@|@Fair Housing Act@
@Ley de Igualdad de Oportunidades de Crédito@|@ECOAEqualCreditOpportunityAct@
@leyes antimonopólicas@|@anti trust laws@
@libro de contabilidad@|@ledger@
@límite máximo dInterés dte laVida útil dl préstamo@|@lifetime cap@
@línea de crédito sobre el capital en la propiedad@|@home equity line@
@liquidez@|@liquidity@
@Listado Múltiple de Casas en Venta (NILS en ingl.)@|@Multiple Listing Service (MLS)@
@locador@|@landlord, lessor@
@lote@|@lot@
@mano de obra@|@labor@
@marca de fábrica@|@brand@
@margen@|@margin@
@margen de beneficio@|@profit margin@
@masa@|@bulk@
@materia prima@|@raw material@
@material@|@tangible@
@mayorista@|@wholesaler@
@mecanismo de protección (garantía en el exterior)@|@forwards@
@mejoras@|@improvements@
@mensualidad@|@monthly payment@
@mercadería@|@commodity@
@mercado@|@market@
@mercado bursátil en alza@|@bull market@
@mercado bursátil en declinación@|@bear market@
@mercado de capital@|@capital market@
@mercado hipotecario principal@|@primary mortgage market@
@mercado hipotecario secundario@|@secondary mortgage market@
@mercado libre@|@open market@
@método de evaluación financiera@|@financing evaluation method@
@moneda@|@currency@
@moneda dura@|@hard currency@
@monto de una deuda@|@amount@
@monto máximo de hipoteca@|@maximum mortgage amount@
@mora en el pago@|@delinquency@
@movimiento accionario@|@share turnover@
@movimientos@|@movement@
@muebles@|@furniture@
@multa@|@penalty@
@multa por pago anticipado@|@prepayment penalty@
@negociación@|@negotiation@
@negociaciones salariales@|@wage talks@
@negocio@|@deal@
@nivel de endeudamiento@|@debt limit@
@nivel de precios@|@price range@
@nómina@|@payroll, wage slip@
@normas contables@|@FASB@
@nuevaForma dAlcanzar laViviendaPropia pa'nortemcns@|@Showing America aNew Way Home®@
@número de cuenta@|@account number@
@obligación@|@liability@
@ocupación de la casa@|@occupancy@
@ocupante@|@occupant@
@oferta@|@bid, offer, supply@
@oferta agregada@|@aggregate supply@
@oficina de crédito para el consumidor@|@consumer credit bureau@
@opciones de financiación@|@financing options@
@operación@|@operation, transaction@
@organizaciones sin fines de lucro@|@nonprofit organizations@
@paga@|@wages@
@paga (semanal)@|@wage@
@pagar en efectivo@|@pay in cash@
@pagare@|@promissory note, promissory quota@
@pago@|@payment@
@pago a plazos@|@deferred payment@
@pago al contado@|@cash payment@
@pago al final@|@balloon payment@
@pago atrasado@|@payment in arrears@
@pago contra entrega@|@cash on deliver, COD (Cash on Deliver)@
@pago global@|@lump sum@
@pago inicial@|@down payment@
@países desarrolados o avanzados@|@advanced countries@
@papel comercial@|@commercial paper@
@parientes@|@relatives@
@participación@|@share@
@partida@|@item@
@partidas extraordinarias@|@exceptional items@
@pasivo@|@liabilities@
@pasivo circulante@|@current liabilities@
@patrimonio@|@stock holders@
@pérdida@|@loss@
@periodo@|@period@
@periodo de recuperación@|@payback period@
@planificación@|@planing@
@plazo@|@installment@
@poder adquisitivo@|@buying power, purchasing power@
@política de ingresos@|@income policy@
@políticas de tesorería de grupo@|@Group's treasury policies@
@pre inversión@|@pre investment@
@precio@|@price@
@precio al contado@|@cash price@
@precio de costo@|@cost price@
@precio de entrada@|@entrance fee@
@precio de mercado@|@market price@
@precio fijo@|@fixed price@
@precio justo@|@fair price@
@precio mínimo@|@bottom price@
@precio neto@|@net price@
@precio promedio@|@average price@
@precio tope@|@ceiling price@
@precios administrados@|@administered prices@
@premio en metálico@|@cash prize@
@presidente@|@CEO (Chief Executive Officer), chief executive officer@
@prestador@|@lender@
@préstamo@|@borrowing, loan@
@préstamo a corto plazo@|@short term loan@
@préstamo a largo plazo@|@long term loan@
@préstamo hipotecario@|@mortgage loan@
@préstamo VA@|@VA loan@
@prestar@|@to lend@
@presupuesto@|@budget@
@principios contables@|@accounting conventions@
@problema q surge al pasar de la micro. a la macro.@|@aggregation problem@
@producción@|@output, production@
@productos manufacturados@|@manufactures products@
@proveedor@|@supplier@
@proveedores@|@providers@
@proyección@|@proyection@
@publicidad@|@advertising@
@punto de comparación@|@bench mark@
@punto de equilibrio@|@break even point@
@racionamiento de capital@|@capital rationing@
@radón@|@radon@
@rata@|@rate@
@razón beneficio costo@|@cost benefit ratio@
@razón de liquidez@|@liquidity ratios@
@razones financieras@|@financial ratios@
@recargo@|@surcharge@
@recargo por mora@|@late charge@
@recibo@|@receipt@
@recibo de sueldo@|@wage slip@
@reclamo@|@claim@
@red@|@net@
@red de valor agregado@|@value added network@
@reducción de la tasa de interés por pago adicional@|@buy down@
@reembolso@|@rebate, refund, repayment@
@refinanciación@|@refinancing@
@refinanciar@|@to refinance@
@reforma agraria@|@agricultural reform@
@reglamentaciones de los códigos de construcción@|@building code regulations@
@reivindicación salarial@|@wage claim@
@relación precio ganancia@|@price earning rate@
@relación préstamo a valor@|@loan-to-value ratio (LTV)@
@remanente a cuenta nueva@|@balance carried down@
@renta gravable@|@taxable income@
@renta imponible@|@taxable income@
@rentabilidad@|@income yield capacity, rentability@
@rentas@|@income@
@reparaciones@|@repairs@
@reserva de efectivo@|@cash reserve@
@residencia@|@residence@
@residencia principal@|@principal residence@
@residente legal@|@legal resident@
@responsabilidad@|@liability, responsibility@
@retorno sobre activos@|@return on assets@
@retorno sobre el patrimonio@|@return on equity@
@retorno sobre la inversión@|@required return@
@reunir los requisitos@|@to qualify@
@revitalización@|@revitalization@
@riesgo@|@exposure@
@robo de nómina@|@wages snatch@
@rotación@|@turn over@
@rotura@|@breakage@
@S.A. (Sociedad Anónima)@|@plc (public limity company)@
@sacar el efectivo producido@|@harversting strategy@
@salario@|@salary@
@salario mínimo@|@minimum wage@
@saldo@|@balance@
@saldo acreedor@|@credit balance@
@saldo de caja@|@cash balance@
@saldo pendiente@|@balance outstanding@
@saldos@|@settlement@
@sector primario o agropecuario@|@agricultural sector@
@seguridad@|@security@
@seguro@|@insurance@
@seguro contra inundaciones@|@flood insurance@
@seguro de una propiedad@|@property insurance@
@seguro de vida hipotecario@|@mortgage life insurance@
@seguro del propietario@|@homeowner's insurance@
@seguro hipotecario@|@mortgage insurance (MI)@
@seguro hipotecario privado@|@private mortgage insurance(PMI@
@seguro por riesgos@|@hazard insurance@
@seguro y flete@|@CIF@
@servicio de Remisión y Guía HomePath SM@|@HomePath SM@
@Servicio de Renta Interna@|@Internal Revenue Service (IRS)@
@servicios de inspección de construcción@|@building inspection servicies@
@servicios de préstamos@|@loan servicing@
@servicios públicos@|@utilities@
@servidumbre@|@fasement@
@sesgo@|@bias@
@sin fondos@|@NF (no founds)@
@sistema de comercio preferencial@|@preferential trading system@
@sistema de desagüe@|@sewage system@
@sistema de enfriamiento@|@cooling system@
@sobre de la paga@|@wage packet@
@sobre del sueldo@|@wage packet@
@sobretasa@|@surtax@
@Sociedad Norteam. de Inspectores de Vivienda@|@Am. Society of Home Inspectors@
@sociedad unipersonal@|@sole trader@
@solicitar@|@applying, to apply@
@solicitud de un préstamo hipotecario@|@mortgage loan application@
@subasta pública@|@auction@
@subsidio@|@grant, subsidy@
@subsidio otorgado a personas de bajos ingresos@|@income support@
@subvención@|@subsidy@
@sueldo@|@wages@
@sueldo (mensual)@|@salary@
@sueldo (semanal)@|@wage@
@suma@|@sum@
@tarifas@|@prive list@
@tarjeta de crédito@|@credit card@
@tarjeta de negocios@|@business card@
@tarjeta de residente legal@|@legal resident card@
@tarjeta del cajero automático@|@cashcard@
@tasa@|@rate@
@tasa de cambio@|@exchange rate@
@tasa de corte@|@hurdle rate@
@tasa de crecimiento@|@rate of growth@
@tasa de interés@|@interest rate, rate of interest@
@tasa de interés asegurada@|@lock-in rate@
@tasa de interés fija@|@fixed interest rate@
@tasa de interés inicial@|@initial interest rate@
@tasa efectiva@|@effective rate@
@tasa efectiva anual@|@effective rate per annuu@
@tasa interna de retorno@|@internal rate of return@
@tasa internacional de retorno@|@IRR (intnal rate of return)@
@tasa nominal@|@nominal rate@
@Tasa Porcentual Anual@|@APR (Annual percentage rate)@
@tasa preferencial@|@prime rate@
@tasación@|@appraisal@
@tasador@|@appraiser@
@tendencia@|@bias@
@tenedor de libros@|@bookkeeper@
@tenencia conjunta@|@joint tenancy@
@terrenos@|@land@
@tiempo apareado@|@matched timing@
@tipo de cambio@|@exchange rate@
@título@|@title@
@título limpio@|@clear title@
@títulos@|@securities@
@tolerancia@|@forbearance@
@tomar un préstamo@|@assume a loan@
@tomar una hipoteca@|@assume a mortgage@
@tope@|@cap@
@tope de la tasa de interés@|@rate cap@
@tope de pago de hipoteca@|@payment cap@
@trabajador autónomo@|@self-employed@
@trabajo de tiempo parcial@|@part-time job@
@transacciones en eurodolares en USA@|@IBF (intnal banking facility)@
@transferencia@|@transfer@
@transferencia de fondos@|@fund transfer@
@transportador marítimo@|@carrier@
@transporte@|@transport@
@tratamiento de nación más favorecida@|@most favored nation treatment@
@trayectoria crediticia@|@credit record@
@trueque@|@barter, counter trade@
@ubicación@|@location@
@unión@|@merger@
@utilidad@|@profit@
@utilidades de capital@|@capital gains@
@vale@|@voucher@
@valor@|@value@
@valor calculado@|@assessed value@
@valor de mercado@|@market value@
@valor de reemplazo@|@replacement value@
@valor de salvamento@|@surrender value@
@valor económico@|@economic profit@
@valor futuro@|@future worth@
@valor incluyendo costo@|@CIF@
@valor incluyendo costo y flete@|@C&F@
@valor neto (patrimonio)@|@net worth@
@valor nominal@|@face value@
@valor presente neto@|@net present value, NPV (net present value)@
@valoración@|@valuation@
@valores@|@securities@
@valorización@|@valorization@
@vecindarios d personas pertenecients a ls minorías@|@minority neighborhoods@
@vendedor@|@dealer, seller@
@venta@|@sale@
@venta a plazos@|@hire purchase@
@viajante de comercio@|@commercial traveller@
@vida útil del préstamo@|@life of loan@
@vivienda@|@housing@
@vivienda en serie@|@townhouse@
@vivienda popular@|@low income housing@
@vivienda suntuaria@|@high income housing@
@vivienda unifamiliar(1-4 unidades)@|@single-family home (1-4 units)@
@viviendas a precios razonables@|@affordable housing@
@volumen@|@bulk@
@volumen de ventas@|@turnover@

