@Esperanto@|@English@
@absorbi@|@absorb@
@absorbilo@|@absorbent@
@absorbita de@|@absorbed in@
@absorbo@|@absorption@
@abstemio@|@teetotalism@
@abstinado@|@abstinence; abstention@
@abstinenco@|@abstinence, teetotalism@
@abstinenculo@|@total abstainer@
@abstini@|@abstain@
@abstrakta@|@abstract(2)@
@abstraktaĵo@|@abstraction@
@abstrakti@|@abstract(2)@
@absurda@|@absurd@
@absurdaĵo@|@absurdity@
@absurdeco@|@absurdity@
@abunda@|@abundant@
@abunde@|@abundantly@
@abundeco@|@abundance@
@abundi@|@abound@
@abundo@|@plenty, abundance@
@abundokorno@|@cornucopia@
@abutmento@|@abutment, buttress@
@aĉa@|@rotten, terrible, awful@
@aĉaĵo@|@disgusting thing@
@acerba@|@acerbic@
@acero@|@maple@
@aĉetado@|@going shopping, purchase, acquisition@
@aĉetaĵo@|@purchase@
@aĉetanto@|@client, buyer, purchaser@
@acetato@|@acetate@
@aĉetebla@|@for sale@
@aĉeti@|@purchase, buy@
@aĉeti aŭkcie@|@buy at a public sale@
@acetileno@|@acetylene@
@aĉeto@|@purchase@
@aceto@|@acetic acid@
@acetono@|@acetone@
@acida@|@sour, tart, acid@
@acida ĉerizo@|@morello@
@acido@|@acid@
@Acoroj@|@Azores@
@aĉulo@|@wretch@
@adaĝa@|@leisurely, slow@
@adaĝo@|@adagio@
@Adamo@|@Adam@
@adapti@|@accommodate, adapt, adjust(2), fit(2)@
@adapti por orkestro@|@score, orchestrate@
@adaptiĝemo@|@adaptability@
@adaptiĝi@|@become adapted, adjust(2)@
@adaptiĝo@|@adaptation, adjustment@
@adaptinto@|@adapter@
@adaptita@|@adapted@
@adapto@|@adaptation@
@ade@|@continually@
@adekvata@|@adequate@
@adekvateco@|@adequacy@
@Adelaido@|@Adelaide@
@Adena Golfo@|@Gulf of Aden@
@Adeno@|@Aden@
@adepto@|@adept, supporter@
@adhero@|@adhesion@
@adi@|@keep, keep on, continue@
@adiaŭ@|@farewell, bye, good-bye@
@adiaŭa@|@goodbye@
@adiaŭi@|@take leave of, say goodbye to@
@adiaŭo@|@farewell, parting, good-bye@
@adicii@|@add(2), add up@
@adicio@|@addition@
@Adisabebo@|@Addis Ababa@
@adjektiva@|@adjectival@
@adjektivo@|@adjective@
@adjudiki@|@invite tenders for, put out to tender@
@adjunkto@|@assistant@
@adjutanto@|@aide-de-camp, adjutant@
@administra@|@administrative@
@administra aparato@|@machine of government@
@administra jaro@|@financial year@
@administra ofico@|@stewardship@
@administracio@|@administration(2), management@
@administrado@|@administration, management@
@administrantaro@|@administration, management@
@administranto@|@manager@
@administri@|@manage, administer@
@administristaro@|@management(2), administration(2)@
@administristo@|@administrator@
@administro@|@administration, management(2)@
@admira@|@admiring@
@admiralitato@|@admiralty@
@admiralo@|@admiral@
@Admiraltoj@|@Admiralty Islands@
@admirantino@|@admirer@
@admiranto@|@admirer@
@admiri@|@admire@
@admirinda@|@admirable@
@admoni@|@scold, admonish@
@admonletero@|@dunning-letter@
@admono@|@admonition, exhortation@
@ado@|@-ing, -ation@
@adobo@|@adobe@
@adoleskantino@|@adolescent, teenage girl@
@adoleskanto@|@adolescent, teenage boy@
@adoleskeco@|@puberty@
@adolto@|@adult(2)@
@adonido@|@pheasant's eye@
@Adono@|@Adonis@
@adoptado@|@adoption@
@adoptaj gepatroj@|@foster-parents, adoptive parents@
@adopti@|@adopt@
@adoptita@|@adopted@
@adoptito@|@adoptive child@
@adopto@|@adoption@
@adoptulo@|@adoptive child@
@adorado@|@worship, adoration@
@adorantino@|@adorer, worshipper@
@adoranto@|@adorer, worshipper@
@adoratino@|@adored one@
@adori@|@adore, worship@
@adorinda@|@adorable@
@adoro@|@adoration, worship@
@adrenalino@|@adrenaline@
@adresanto@|@shipper, sender@
@adresaro@|@address list@
@adresato@|@addressee@
@adresi@|@address@
@adresiga maŝino@|@addressing machine, addressograph@
@adresigilo@|@addressing machine@
@adresito@|@addressee@
@adreslibro@|@directory@
@adreso@|@address@
@adresŝanĝo@|@change of address@
@Adriatiko@|@Adriatic Sea, Adriatic@
@adstringa@|@tart, astringent@
@adstringilo@|@astringent@
@adulteri@|@adulterate@
@adulti@|@commit adultery@
@adulto@|@adultery@
@adultulino@|@adulteress@
@adultulo@|@adulterer@
@advento@|@advent@
@adverba@|@adverbial@
@adverbo@|@adverb@
@adversa@|@adverse@
@adversulo@|@adversary, antagonist@
@advokataĉo@|@shyster, pettifogger@
@advokato@|@advocate, lawyer@
@ĉra@|@airy, ethereal; overhead@
@ĉra rezisto@|@air-resistance@
@ĉrdefenda artilerio@|@anti-aircraft guns, ack-ack@
@ĉrdefendo@|@air-defence, anti-aircraft defence@
@ĉreskadro@|@air squadron@
@ĉrfiltrilo@|@air-filter@
@ĉrfloto@|@air-fleet@
@ĉrkavo@|@air-pocket@
@ĉrklapo@|@air-valve@
@ĉrklimatizita@|@air-conditioned@
@ĉrkuseno@|@air cushion@
@ĉrlinio@|@airline@
@ĉrmalpurigo@|@air-pollution@
@ĉrmalsana@|@airsick@
@ĉrmalsano@|@airsickness@
@ĉrmeĥanikisto@|@flight mechanic, flight engineer@
@ĉro@|@air@
@ĉrodromo@|@airfield@
@ĉrogramo@|@ĉrogramme@
@ĉrohaveno@|@airport@
@ĉrolito@|@meteoric stone@
@ĉroplano@|@plane, airplane, ĉroplane@
@ĉrostato@|@balloon, air-balloon@
@ĉrpafilo@|@air-gun, air gun@
@ĉrpirato@|@skyjacker@
@ĉrponto@|@airlift@
@ĉrpoŝtmarko@|@air-mail stamp@
@ĉrpoŝto@|@airmail@
@ĉrpremo@|@air-pressure@
@ĉrŝipo@|@air-ship@
@ĉrtubo@|@tube@
@ĉruma krado@|@air-grid@
@ĉrumi@|@air out, ventilate@
@ĉrvojo@|@airway@
@afabla@|@affable, good-natured, friendly, kind@
@afableco@|@kindness, affability@
@afablega@|@most charming@
@afazio@|@aphasia@
@afekcii@|@touch, affect; move@
@afekciita@|@affected; moved, touched@
@afekcio@|@affection, disorder@
@afekta@|@artificial, affected@
@afektado@|@affectation@
@afektema@|@affected@
@afekti@|@pose, put on airs, attitudinise@
@afektita@|@inflated@
@afekto@|@affectation@
@afektulo@|@attitudiniser, poseur@
@aferkoncerneco@|@relevance@
@afero@|@business deal, thing, affair, matter, business@
@aferŝarĝito@|@charg‚ d'affaires@
@afgana@|@Afghan@
@afganino@|@Afghan woman@
@Afganio@|@Afghanistan@
@afgano@|@Afghan@
@afido@|@aphid@
@afikso@|@affix@
@afineco@|@affinity@
@afiŝi@|@placard, post up, post(2)@
@afiŝkolono@|@advertising pillar@
@afiŝo@|@notice, placard, poster@
@afiŝtabulo@|@bill-board, notice-board@
@afliktado@|@trial, affliction, ordeal@
@aflikti@|@afflict, grieve@
@afliktiĝo@|@affliction, sadness@
@afliktita@|@afflicted, sad@
@aflikto@|@affliction@
@aforismo@|@aphorism@
@afranki@|@put on stamps, prepay@
@afrankita@|@stamped, post-paid@
@afranko@|@postage@
@afranktarifo@|@postal rates@
@afrika@|@African@
@afrikano@|@African@
@afrikansa@|@Afrikaans@
@afrikansa lingvo@|@Afrikaans language, Afrikaans@
@afrikanso@|@Afrikaner, Afrikander@
@afrikazia@|@Afro-Asian@
@Afriko@|@Africa@
@Afrodito@|@Aphrodite@
@afrodiziigaĵo@|@aphrodisiac@
@afto@|@aphtha@
@afusto@|@carriage, gun-carriage@
@aĝa@|@aged@
@agaca@|@irritating; tart@
@agaci@|@set on edge, irritate@
@agado@|@action, activity@
@Agamemno@|@Agamemnon@
@agaragaro@|@agar, agar-agar@
@agariko@|@mushroom, agaric@
@Aĝario@|@Adzharia@
@agato@|@agate@
@agavo@|@agave@
@agema@|@active@
@agemo@|@activity@
@agendo@|@appointment book, memo book, agenda@
@agentejo@|@agency@
@agento@|@agent@
@agenturo@|@agency@
@agi@|@act@
@agi laŭ@|@observe, follow@
@aĝio@|@premium@
@aĝioti@|@speculate in stocks@
@agita@|@agitational, inflammatory@
@agitado@|@commotion, agitation@
@agitanto@|@agitator, activist@
@agitgrupo@|@action group, action committee@
@agiti@|@incite, stir up; shake, agitate@
@agitiĝo@|@commotion, agitation@
@agito@|@disturbance, agitation, excitement, commotion@
@agla nazo@|@aquiline nose@
@aglibero@|@leeway, elbow-room@
@aglido@|@eaglet@
@aglo@|@eagle@
@aglomeraĵo@|@agglomeration@
@aglomeri@|@agglomerate@
@aglonaza@|@beak-nosed@
@aglutina@|@agglutinating@
@agnoski@|@acknowledge, recognise@
@agnosko@|@acknowledgement@
@ago@|@action@
@aĝo@|@age@
@ago@|@act@
@agonii@|@be near death@
@agonio@|@death throes, agony@
@agorafobio@|@agoraphobia@
@agordi@|@tune@
@agordiĝemo@|@tractability, manageability@
@agordo@|@agreement@
@agoro@|@agora@
@agrabla@|@nice, agreeable, enjoyable, pleasant@
@agrable@|@agreeably, comfortably, pleasantly@
@agrableco@|@pleasantness@
@agrafa fermilo@|@hooks and eyes@
@agrafi@|@clasp@
@agrafo@|@hook, clasp@
@agrara@|@agricultural, farm@
@agregacio@|@agr‚g‚ [French academ.degree]@
@agregaĵo@|@aggregate@
@agregato@|@aggregate@
@agresa@|@aggressive@
@agresema@|@aggressive@
@agresi@|@aggress@
@agresiva@|@aggressive@
@agreso@|@aggression@
@agrikultura lernejo@|@agricultural school@
@agrikultura produktaĵo@|@agricultural product@
@agrikulturista ligo@|@farmers' union@
@agrikulturisto@|@farmer(2), agrarian@
@agrikulturo@|@agriculture, tillage, farming@
@agro@|@field@
@agrokulturisto@|@farmer(2)@
@agrokulturo@|@agriculture@
@agronomia@|@agronomic@
@agronomio@|@agronomy@
@agronomo@|@agronomist@
@agropiro@|@couch-grass@
@aĥ@|@ah, oh, ow@
@aha@|@aha@
@Aĥeno@|@Aachen, Aix-la-Chapelle@
@Aĥerono@|@Acheron@
@aĥila kalkano@|@Achilles' heel@
@aĥila tendeno@|@Achilles' tendon@
@aideso@|@AIDS@
@aidoso@|@AIDS@
@aj@|@ouch, ow@
@Ajaco@|@Ajax@
@ajlero@|@garlic bulb@
@ajlo@|@garlic@
@ajn@|@-soever, -ever, at all@
@ajna@|@any, random@
@ajnulo@|@anyone@
@ajnvica@|@random-access@
@aĵo@|@thing@
@aĵoj@|@things, stuff@
@Ajro@|@Ayr@
@aĵura@|@open-work@
@ajuto@|@nozzle@
@akacio@|@acacia@
@akademia@|@academic(2)@
@akademiano@|@academician@
@akademio@|@academy@
@akaĵuo@|@cashew-nut@
@akanto@|@acanthus@
@akapari@|@monopolise, corner@
@akaro@|@mite@
@akcelanta@|@accelerative@
@akcelanto@|@promoter@
@akceli@|@accelerate(2), speed up; promote@
@akceliĝi@|@accelerate(2), pick up@
@akceliĝo@|@acceleration@
@akcelilo@|@accelerator, accelerator pedal@
@akcelo@|@acceleration@
@akcenti@|@accent, stress, accentuate@
@akcento@|@stress, accent@
@akĉento@|@accent@
@akcentsigno@|@stress-mark@
@akceptanto@|@acceptor@
@akceptebla@|@acceptable@
@akceptejo@|@reception room@
@akcepti@|@receive, accept, take, take in@
@akcepti vizitantojn@|@receive, entertain@
@akceptigi@|@win acceptance for@
@akceptinda@|@acceptable@
@akceptindeco@|@acceptability@
@akceptistino@|@receptionist@
@akceptita@|@accepted@
@akcepto@|@acceptance@
@akceptosalono@|@reception room@
@akceptsalono@|@reception room@
@akcesora@|@accessory(3), secondary@
@akcesora fako@|@subsidiary subject@
@akcesora tono@|@overtone@
@akcesoraĵo@|@accessory(3), side-issue@
@akcesoraĵoj@|@accessories@
@akciaro@|@share-capital@
@akcidentema@|@accident-prone@
@akcidenti@|@have an accident@
@akcidento@|@accident@
@akcidentrisko@|@accident risk@
@akcio@|@share of stock@
@akcipitro@|@hawk@
@akciuleco@|@shareholdership@
@akciulo@|@shareholder@
@akcizo@|@excise-duty, excise@
@Akeno@|@Aix-la-Chapelle, Aachen@
@akeo@|@ai, sloth@
@Akerono@|@Acheron@
@Akilo@|@Achilles@
@akirado@|@acquisition@
@akiraĵo@|@acquisition, gain, accession@
@akirebla@|@obtainable@
@akiri@|@acquire, obtain, attain, get@
@akiro@|@asset, acquisition, gain@
@aklame@|@by acclamation@
@aklami@|@acclaim, applaud@
@aklamo@|@approval, acclaim, acclamation@
@aklimatizi@|@acclimatise@
@akneo@|@acne@
@akno@|@pimple@
@akolito@|@acolyte@
@akomodi@|@accomodate@
@akomodiĝo@|@accommodation@
@akomodo@|@accommodation@
@akompana@|@accompanying; incidental@
@akompanado@|@accompaniment@
@akompanantaro@|@train, suite@
@akompanantino@|@chaperon, duenna@
@akompananto@|@accompanist, companion@
@akompani@|@accompany@
@akompani varte@|@squire, chaperon@
@akompano@|@escort, accompaniment@
@akonito@|@monkshood, aconite@
@akorda@|@in accordance@
@akordi@|@agree@
@akordiĝema@|@manageable, tractable@
@akordiĝi@|@come to an agreement, reach an accord@
@akordigi@|@bring into agreement@
@akordionisto@|@accordionist@
@akordiono@|@accordion@
@akordo@|@agreement, settlement, chord, accord@
@akoro@|@calamus@
@akra@|@acute, sharp, harsh, acrid@
@akra tono@|@tartness@
@akraĵo@|@sharp edge@
@akratona@|@tart, snappy, shrill, sharp-toned@
@akreco@|@sharpness@
@akreditaĵo@|@credential@
@akrediti@|@accredit@
@akreditivo@|@letter of credit@
@akreo@|@acre@
@akresona@|@shrill@
@akrido@|@locust, grasshopper@
@akrigi@|@sharpen@
@akrigrimeno@|@strop@
@akro@|@acre@
@akrobata@|@acrobatic@
@akrobatado@|@acrobatics@
@akrobato@|@acrobat@
@akromatopsia@|@colour-blind@
@akronimo@|@acronym@
@Akropolo@|@Acropolis@
@akselo@|@armpit@
@aksesoraĵo@|@accessory@
@aksingo@|@nave, hub@
@aksiomo@|@axiom@
@akso@|@axis; axle@
@aktinio@|@actinium@
@aktisto@|@actuary@
@aktiva@|@active@
@aktiva voĉo@|@active voice@
@aktiveco@|@vigour, activity@
@aktivigi@|@switch on, turn on(2), start(2), activate@
@aktivo@|@assets@
@aktivoj@|@assets@
@akto@|@document, certificate, act, act; certificate@
@aktori@|@act@
@aktorino@|@actress@
@aktoro@|@actor@
@aktuala@|@present-day, topical, present, current, up-to-date@
@aktualaĵo@|@topic@
@aktualeco@|@topicality@
@aktuario@|@actuary@
@aktujo@|@brief case, portfolio@
@akumulatoro@|@accumulator, battery, storage battery@
@akumuli@|@accumulate, heap, stack, pile up@
@akumulilo@|@battery, accumulator, storage battery@
@akupunkturisto@|@acupuncturist@
@akupunkturo@|@acupuncture@
@akurata@|@punctual, accurate, on time, prompt@
@akurate@|@exactly, sharp@
@akurateco@|@exactitude, accuracy, precision@
@akuŝi@|@give birth, labour, be in labour@
@akuŝigi@|@deliver (baby)@
@akuŝintino@|@lying-in woman@
@akuŝistino@|@midwife@
@akuŝlito@|@childbed@
@akuŝoĉambro@|@lying-in room; delivery room@
@akustika@|@acoustic@
@akustika ujo@|@resonance-box@
@akustiko@|@acoustics@
@akuta@|@acute@
@akuza@|@accusatory@
@akuzaĵo@|@indictment, complaint, accusation, charge@
@akuzanto@|@accuser@
@akuzativo@|@accusative@
@akuzi@|@accuse@
@akuzi pri@|@accuse of, impeach of, indict for, tax with@
@akuzito@|@defendant, accused@
@akuzo@|@accusation@
@akvaforto@|@etching@
@akvamarino@|@aquamarine@
@akvarelo@|@water-colour@
@akvario@|@aquarium@
@akvedukto@|@aqueduct@
@akvero@|@drop, drop of water@
@akvilegio@|@columbine@
@akvo@|@water(2)@
@akvo-@|@aquatic-@
@akvobubalo@|@water buffalo, water-buffalo@
@akvofalo@|@waterfall@
@akvofarbo@|@water colour@
@akvokloŝo@|@diving-bell@
@akvolilio@|@waterlily@
@akvomelono@|@watermelon@
@akvonecesejo@|@water-closet@
@akvorado@|@water wheel@
@akvoriĉa@|@abounding in water@
@akvovaporo@|@vapour@
@akvumado@|@watering@
@akvumi@|@irrigate, water(2)@
@akvumilo@|@watering-can@
@al@|@to, towards, toward@
@al ci@|@to you, you@
@al ili@|@them, to them@
@al mi@|@me, to me@
@al ni@|@to us, us@
@al vi@|@to you, you@
@alabastra@|@alabaster@
@alabastro@|@alabaster@
@Alaho@|@Allah@
@alaranĝi@|@adjust, adapt@
@alarma@|@alarming@
@alarmbremso@|@communication-cord@
@alarmi@|@alarm@
@alarmilo@|@alarm@
@alarmo@|@alarm@
@alarmsignalo@|@alarm-signal, alarm@
@alarmsonorilo@|@alarm-bell@
@alaŭdo@|@lark@
@albana@|@Albanian@
@albana lingvo@|@Albanian language, Albanian@
@albanino@|@Albanian woman@
@Albanio@|@Albania@
@albano@|@Albanian@
@albatroso@|@albatross@
@Albertlago@|@Lake Albert@
@albigenso@|@Albigensian@
@albino@|@albino@
@Albiono@|@Albion@
@albo@|@alb@
@albordiĝa haveno@|@port of call@
@albordiĝejo@|@landing-stage, pier@
@albordiĝi@|@land@
@albumino@|@albumin@
@albumo@|@album@
@alceli@|@hunt for, aim for, pursue@
@alĉemilo@|@lady's mantle@
@alcentrigi@|@centralise@
@alciono@|@kingfisher@
@aldehido@|@aldehyde@
@Aldernejo@|@Alderney@
@aldo@|@alto, falsetto@
@aldone@|@in addition@
@aldoni@|@add@
@aldoni akvon al@|@weaken, dilute@
@aldonita@|@added, accompanying@
@aldono@|@rider, codicil, addition, appendix@
@aldonvalora imposto@|@VAT@
@aldulino@|@alto, contralto@
@ale al@|@towards, toward@
@Aleganoj@|@Alleghenies@
@alegoria@|@allegoric@
@alegorio@|@allegory@
@aleksandra verso@|@alexandrine@
@Aleksandrio@|@Alexandria@
@alelekti@|@co-opt@
@aleo@|@avenue@
@Alepo@|@Aleppo@
@alergia@|@allergic@
@alergio@|@allergy@
@alero@|@shed(2), penthouse@
@alesti@|@be present@
@Aleŭtoj@|@Aleutian Islands@
@alfabeta@|@alphabetical@
@alfabeto@|@alphabet@
@alfabetumo@|@ABC book@
@alfao@|@alpha@
@alfiksi@|@affix, attach@
@alfikso@|@attachment@
@alflugdirekto@|@approach path, approach route@
@alflugi@|@approach(3), fly@
@alfluo@|@flow, influx; high tide@
@alfronti@|@face, confront@
@alfundigi@|@deposit@
@alfundiĝi@|@sink(2)@
@algebra@|@algebraic@
@algebro@|@algebra@
@alĝeria@|@Algerian@
@alĝerianino@|@Algerian woman@
@alĝeriano@|@Algerian@
@Alĝerio@|@Algeria@
@Alĝero@|@Algiers@
@alglui@|@post up, post, paste up, paste@
@algluiĝema@|@sticky@
@algluiĝi@|@stick@
@algo@|@seaweed, alga@
@algoritmo@|@algorithm@
@alĝustigi@|@put right, adjust@
@alĝustigo@|@adjustment@
@alĥemiisto@|@alchemist@
@alĥemio@|@alchemy@
@alia@|@another, other, else@
@aliancano@|@ally@
@alianco@|@alliance@
@alibio@|@alibi@
@alie@|@differently, else@
@aliena@|@mentally ill@
@alieni@|@sell, dispose of@
@alies@|@another man's, other people's@
@aliflanke@|@on the other hand@
@alifoje@|@another time@
@aliformigi@|@transform@
@aliformiĝo@|@metamorphosis@
@aliformigo@|@transformation(2)@
@aliformiĝo@|@transformation@
@aliformigo@|@refashioning, recreation@
@aligatoro@|@alligator@
@aliĝi@|@join(2)@
@aligi@|@adjoin, add@
@aliĝilo@|@application form@
@aliĝo@|@accession@
@aliigi@|@alter@
@aliiĝi@|@change(2)@
@aliiĝi@|@alter@
@aliigi@|@change(2)@
@alilanda@|@foreign@
@alilandano@|@foreigner, alien@
@alilande@|@abroad@
@aliloke@|@elsewhere@
@aliloken@|@elsewhere@
@alimaniere@|@differently@
@alimento@|@alimony@
@alinei@|@indent@
@alineo@|@paragraph@
@alinome@|@otherwise, alias, otherwise called@
@alinomita@|@differently named@
@alinomite@|@alias, otherwise, otherwise called@
@alirebla@|@accessible@
@aliri@|@advance, approach(3), come on@
@aliro@|@approach; access@
@alirvojo@|@access road@
@alispeca@|@another kind of@
@aliteracio@|@alliteration@
@aliulo@|@another, another man@
@aljuĝado@|@tender; awarding@
@aljuĝi@|@etc.), award (prize@
@aljungi@|@put@
@alkala@|@alkaline@
@alkaleca@|@alkaline@
@alkalkuli@|@add, attribute, include@
@alkalo@|@alkali@
@alkemilo@|@lady's mantle@
@alkemio@|@alchemy@
@alklaki@|@click on@
@alklimatiĝi@|@acclimate, acclimatise@
@alklimatiĝo@|@acclimatisation@
@alko@|@moose, elk@
@alkohola@|@alcoholic@
@alkoholaĵo@|@booze, spirits, liquor, alcoholic beverage@
@alkoholaĵoj@|@alcoholic beverages@
@alkoholentenanta@|@alcoholic@
@alkoholismo@|@alcoholism@
@alkoholo@|@alcohol@
@alkoholtitro@|@alcoholic content@
@alkoholulo@|@alcoholic@
@alkonformiĝemo@|@adaptability@
@alkonformiĝo@|@adaptation@
@alkonformigo@|@adaptation@
@alkonstrui@|@add@
@alkovo@|@recess, alcove@
@alkroĉi@|@hitch on, hook on@
@alkroĉiĝi@|@cling, get caught@
@alkudri@|@sew on, sew@
@alkuro@|@crush@
@alkutimaĵo@|@trick(2), habit@
@alkutimiĝi@|@become accustomed, get used (to)@
@allasi@|@admit, allow@
@alligi@|@attach; moor@
@alligiteco@|@attachment(2)@
@alloga@|@attractive@
@allogaĵo@|@attraction@
@allogeco@|@charm, attractiveness, attraction@
@allogi@|@attract, draw@
@almanako@|@almanac@
@almarŝi@|@march on, advance@
@almenaŭ@|@at least@
@almeti@|@attach, put onto@
@almezuri@|@take one's measure for@
@almiksi@|@admix@
@almozmonaĥo@|@mendicant friar@
@almozo@|@alms@
@almozordeno@|@mendicant order@
@almozpetado@|@begging@
@almozpetanto@|@beggar@
@almozpeti@|@beg@
@almozpetulo@|@beggar@
@almozulejo@|@workhouse, almshouse@
@almozulino@|@beggar-woman@
@almozulo@|@beggar@
@alnaĝi@|@be washed ashore@
@alno@|@alder@
@alo@|@wing; arm; aisle@
@aloino@|@aloin@
@alojo@|@alloy@
@aloligno@|@eaglewood@
@aloo@|@aloe@
@Alosto@|@Alost@
@alosuko@|@aloe juice@
@alpago@|@extra fee@
@alpako@|@alpaca@
@alpara@|@at par@
@alparolebla@|@communicative, get-at-able, approachable@
@alparoli@|@address@
@alpaŝi@|@approach(3), tackle, deal with@
@alpaŝo@|@approach(3)@
@alpherbejo@|@alpine pasture, alp@
@alpismo@|@mountaineering@
@alpisto@|@Alpinist, mountain climber, climber@
@alpo@|@mountain pasture, alp@
@Alpoj@|@Alps@
@alportado@|@arrivals, supply, arrival@
@alporti@|@fetch, bring@
@alpreĝi@|@pray to, invoke@
@alpreni@|@adopt, take on@
@alproksimigi@|@bring close together@
@alproksimiĝi@|@come close, approach@
@alproksimiĝo@|@approach@
@alproprigi al si@|@appropriate@
@alsaca@|@Alsatian@
@alsacano@|@Alsatian@
@Alsaco@|@Alsace, Elsass@
@Alsaco-Loreno@|@Alsace-Lorraine@
@alŝovi@|@push (toward)@
@alŝoviĝi@|@glide (toward)@
@alŝultrigi@|@shoulder@
@alŝuti@|@upload@
@alta@|@high, tall, lofty@
@Alta Kanto@|@Canticles, Song of Songs, Song of Solomon@
@altaĵo@|@hillock, mound, high place@
@altaro@|@altar@
@altartabulo@|@altarpiece@
@altebenaĵo@|@plateau@
@alteco@|@height@
@alten@|@up(wards)@
@alteriĝi@|@land@
@alterna@|@alternate, alternating@
@alternado@|@alternation@
@alternativo@|@alternative, option@
@alterne@|@alternately@
@alterni@|@alternate@
@alterno@|@alternation@
@altigi@|@elevate, raise@
@altiĝi@|@rise@
@altira forto@|@attraction@
@altiri@|@attract@
@altklasulo@|@member of the upper-class@
@altkreska@|@tall@
@altlernejo@|@institut.of higher education@
@altmontarano@|@Highlander@
@altmontaro@|@high mountain range@
@alto@|@altitude, height@
@altometro@|@altimeter@
@altpreza@|@high-priced, pricey@
@altrudi@|@force, impose upon@
@altruisma@|@altruistic@
@altruismo@|@altruism@
@altstatura@|@tall, of high stature, lanky@
@altvalora@|@of great value@
@aludi@|@allude, hint@
@aludi kalumnie@|@insinuate@
@aludo@|@allusion@
@alumeto@|@match@
@aluminio@|@aluminium, aluminum@
@alumino@|@alum earth, alumina@
@aluno@|@alum@
@aluvia@|@alluvial@
@aluvio@|@alluvion, alluvium@
@alveni@|@arrive, get(2)@
@alveno@|@arrival@
@alveturejo@|@driveway, approach(2), access@
@alveturi@|@run, collide@
@alveturigi@|@bring, convey, supply(2)@
@Alvo@|@Alva@
@alvoki@|@invoke, appeal to@
@alvoki preĝe@|@invoke@
@alzana@|@roan, reddish-brown@
@amafero@|@love affair@
@amaĵi@|@have a love affair@
@amalgami@|@amalgamate@
@amando@|@almond@
@Amano@|@Amman@
@amantino@|@lover@
@amanto@|@lover@
@amao@|@aum@
@amara@|@bitter@
@amaranto@|@amaranthus@
@amareco@|@bitterness@
@amarilido@|@amaryllis@
@amasfabriki@|@mass produce@
@amasigi@|@heap, amass, stack, pile up@
@amasiĝo@|@assembly@
@amaskomunikiloj@|@mass media@
@amasloĝejo@|@mass accommodations@
