@Koine Greek@|@English@
@ἁγνῶς @|@purely, sincerely@
@ἀγνωσία -ας -ἡ @|@ignorance@
@ἄγνωστος -ον @|@unknown@
@ἀγορά -ᾶς -ἡ @|@market-place@
@ἀγοράζω @|@I buy@
@ἀγοραῖος -ον @|@a lounger in the market-place@
@ἄγρα -ας -ἡ @|@catching, a catch@
@ἀγράμματος -ον @|@uneducated@
@ἀγραυλέω @|@I spend the night in the open@
@ἀγρεύω @|@I catch, capture@
@ἀγριέλαιος -ου -ἡ @|@a wild olive tree@
@ἄγριος -ία -ιον @|@wild, fierce@
@Ἀγρίππας -α -ὁ @|@Agrippa@
@ἀγρός -οῦ -ὁ @|@a field, the country@
@ἀγρυπνέω @|@I am awake@
@ἀγρυπνία -ας -ἡ @|@sleeplessness, watching@
@ἄγω @|@I lead@
@ἀγωγή -ῆς -ἡ @|@conduct@
@ἀγών -ῶνος -ὁ @|@a contest@
@ἀγωνία -ας -ἡ @|@contest, agony@
@ἀγωνίζομαι @|@I strive, contend@
@Ἀδάμ -ὁ @|@Adam@
@ἀδάπανος -ον @|@without expense, free@
@Ἀδδί -ὁ @|@Addi@
@ἀδελφή -ῆς -ἡ @|@a sister@
@ἀδελφός -οῦ -ὁ @|@a brother@
@ἀδελφότης -τητος -ἡ @|@brotherhood@
@ἄδηλος -ον @|@unseen, not obvious@
@ἀδηλότης -τητος -ἡ @|@uncertainty@
@ἀδήλως @|@out of sight, uncertainly@
@ἀδημονέω @|@I am troubled, distressed@
@Ἅδης -ου -ὁ @|@Hades@
@ἀδιάκριτος -ον @|@unambiguous@
@ἀδιάλειπτος -ον @|@unceasing, unremitting@
@ἀδιαλείπτως @|@unceasingly@
@ἀδιαφθορία -ας -ἡ @|@incorruptibility, soundness, integrity@
@ἀδικέω @|@I act unjustly towards@
@ἀδίκημα -ατος -τό @|@a crime, misdeed@
@ἀδικία -ας -ἡ @|@unrighteousness@
@ἄδικος -ον @|@unjust, unrighteous@
@ἀδίκως @|@unjustly@
@ἀδόκιμος -ον @|@failing to pass the test@
@ἄδολος -ον @|@pure@
@Ἀδραμυττηνός -ή -όν @|@belonging to Adramyttium@
@Ἀδρίας -ου -ὁ @|@the Adriatic Sea@
@ἁδρότης -τητος -ἡ @|@lavishness@
@ἀδυνατέω @|@to be impossible@
@ἀδύνατος -ον @|@incapable, impossible@
@ᾄδω @|@I sing@
@ἀεί @|@always@
@ἀετός -οῦ -ὁ @|@an eagle, bird of prey@
@ἄζυμος -ον @|@unleavened, the paschal feast, uncorrupted@
@Ἀζώρ -ὁ @|@Azor@
@Ἄζωτος -ου -ἡ @|@Azotus, Ashdod@
@ἀήρ -ἀέρος -ὁ @|@air@
@ἀθανασία -ας -ἡ @|@immortality@
@ἀθέμιτος -ον @|@illegal, unlawful@
@ἄθεος -ον @|@godless@
@ἄθεσμος -ον @|@lawless@
@ἀθετέω @|@I annul@
@ἀθέτησις -εως -ἡ @|@nullification, abrogation@
@Ἀθῆναι -ῶν -αἱ @|@Athens@
@Ἀθηναῖος -α -ον @|@Athenian@
@ἀθλέω @|@I compete@
@ἄθλησις -εως -ἡ @|@a contest@
@ἀθυμέω @|@I lose heart@
@ἀθῷος -ον @|@guiltless@
@αἴγειος -α -ον @|@of a goat@
@αἰγιαλός -οῦ -ὁ -@|@sea-coast, beach@
@Αἰγύπτιος -α -ον @|@Egyptian@
@Αἴγυπτος -ου -ἡ @|@Egypt@
@ἀΐδιος -ον @|@eternal@
@αἰδώς -οῦς -ἡ @|@shame, modesty@
@Αἰθίοψ -οπος -ὁ @|@an Ethiopian@
@αἷμα -ατος -τό @|@blood@
@αἱματεκχυσία -ας -ἡ @|@a shedding or pouring forth of blood@
@αἱμορροέω @|@I suffer from a continual flow (oozing) of blood@
@Αἰνέας -α -ὁ @|@Aeneas@
@αἴνεσις -εως -ἡ @|@praise@
@αἰνέω @|@I praise@
@αἴνιγμα -ατος -τό @|@a riddle, an enigma@
@αἶνος -ου -ὁ @|@praise@
@Αἰνών -ἡ @|@Aenon@
@αἱρέω @|@I choose, prefer@
@αἵρεσις -εως -ἡ @|@a self-chosen opinion, a sect@
@αἱρετίζω @|@I choose@
@αἱρετικός -ή -όν @|@factious@
@αἴρω @|@I raise, lift up@
@αἰσθάνομαι @|@I perceive@
@αἴσθησις -εως -ἡ @|@perception@
@αἰσθητήριον -ου -τό @|@perceptive faculty@
@αἰσχροκερδής -ες @|@greedy@
@αἰσχροκερδῶς @|@greedily@
@αἰσχρολογία -ας -ἡ @|@filthy speech@
@αἰσχρός -ά -όν @|@base, disgraceful@
@αἰσχρότης -τητος -ἡ @|@obscenity, indecency, baseness@
@αἰσχύνη -ης -ἡ @|@shame@
@αἰσχύνομαι @|@I am ashamed, am put to shame@
@αἰτέω @|@I ask, request, beg, petition@
@αἴτημα -ατος -τό @|@a petition, request@
@αἰτία -ας -ἡ @|@a cause, reason, charge@
@αἰτίωμα -ατος -τό @|@a charge, accusation@
@αἴτιον -ου -τό @|@cause, crime@
@αἴτιος -ου -ὁ @|@the cause of, the originator of@
@αἰφνίδιος -ον @|@unexpected, sudden@
@αἰχμαλωσία -ας -ἡ @|@captivity@
@αἰχμαλωτεύω @|@I take captive@
@αἰχμαλωτίζω @|@I take captive, subdue, ensnare@
@αἰχμάλωτος -ου -ὁ @|@a captive, prisoner@
@αἰών -ῶνος -ὁ @|@an age, a cycle of time@
@αἰώνιος -ία -ιον @|@eternal, unending@
@ἀκαθαρσία -ας -ἡ @|@uncleanness, impurity@
@ἀκάθαρτος -ον @|@unclean, impure@
@ἀκαιρέομαι @|@I am without a suitable opportunity@
@ἀκαίρως @|@unseasonably@
@ἄκακος -ον @|@innocent, guileless, simple@
@ἄκανθα -ης -ἡ @|@a thorn-bush@
@ἀκάνθινος -η -ον @|@made of thorns@
@ἄκαρπος -ον @|@unfruitful, barren@
@ἀκατάγνωστος -ον @|@uncondemned, unimpeachable@
@ἀκατακάλυπτος -ον @|@not veiled, unveiled@
@ἀκατάκριτος -ον @|@uncondemned@
@ἀκατάλυτος -ον @|@indissoluble, that cannot be broken up@
@ἀκατάπαυστος -ον @|@not ceasing from, not abandoning@
@ἀκαταστασία -ας -ἡ @|@disturbance, upheaval, revolution@
@ἀκατάστατος -ον @|@unsettled, unstable@
@ἀκατάσχετος -ον @|@unrestrainable, unruly, untamable@
@Ἀκελδαμά @|@Akeldama@
@ἀκέραιος -ον @|@simple, unsophisticated, innocent@
@ἀκλινής -ες @|@unbent, unyielding, resolute@
@ἀκμάζω @|@I reach maturity, become ripe@
@ἀκμήν @|@even now@
@ἀκοή -ῆς -ἡ @|@hearing, faculty of hearing, ear@
@ἀκολουθέω @|@I accompany, attend, follow@
@ἀκούω @|@I hear, listen@
@ἀκρασία -ας -ἡ @|@incontinence, intemperance, lack of restraint@
@ἀκρατής -ές -@|@lacking self-control, inclined to excess@
@ἄκρατος -ον @|@unmixed, undiluted@
@ἀκρίβεια -ας -ἡ @|@strictness, accuracy@
@ἀκριβέστατος @|@most exact, strict@
@ἀκριβόω @|@I examine carefully, inquire strictly@
@ἀκριβῶς (.) @|@carefully, exactly, strictly@
@ἀκρίς -ίδος -ἡ @|@a locust@
@ἀκροατήριον -ίου -τό @|@auditorium, recitation hall, court room@
@ ἀκροατής -οῦ -ὁ @|@a hearer of, a listener to@
@ἀκροβυστία -ας -ἡ @|@foreskin@
@ἀκρογωνιαῖος -α -ον @|@in the corner, cornerstone@
@ἀκροθίνιον -ίου -τό @|@spoil, treasure@
@ἄκρον -ου -τό @|@the end, extremity@
@Ἀκύλας -ου -ὁ @|@Aquila@
@ἀκυρόω @|@I annul, make of no effect, cancel@
@ἀκωλύτως @|@freely, without hindrance@
@ἄκων -ἄκουσα -ἆκον @|@unwilling@
@ἀλάβαστρον -ου -τό @|@an alabaster phial or bottle@
@ἀλαζονεία -ας -ἡ @|@boasting, show, arrogant display@
@ἀλαζών -όνος -ὁ @|@a boaster@
@ἀλαλάζω @|@I cry aloud, a clanging or clashing cymbal@
@ἀλάλητος -ον @|@unutterable, that baffles words@
@ἄλαλος -ον @|@unable to speak@
@ἅλας -ατος -τό @|@salt@
@ἀλείφω @|@I anoint@
@ἀλεκτοροφωνία -ας -ἡ @|@cockcrow@
@ἀλέκτωρ -ορος -ὁ @|@a cock, rooster@
@Ἀλεξανδρεύς -έως -ὁ @|@an Alexandrian@
@Ἀλεξανδρῖνος -η -ον @|@Alexandrian@
@Ἀλέξανδρος -ου -ὁ @|@Alexander@
@ἄλευρον -ου -τό @|@meal, flour@
@ἀλήθεια -ας -ἡ @|@truth@
@ἀληθεύω @|@I say, speak truth, I do truth@
@ἀληθής -ές @|@unconcealed, true@
@ἀληθινός -η -ον @|@true, real, genuine@
@ἀλήθω @|@I grind@
@ἀληθῶς @|@truly, really, certainly@
@ἁλιεύς -έως -ὁ @|@a fisherman@
@ἁλιεύω @|@I fish@
@ἁλίζω @|@I salt, sprinkle with salt, keep fresh and sound@
@ἀλίσγημα -ατος -τό @|@pollution, perhaps a polluted thing@
@ἀλλά @|@but, except@
@ἀλλάσσω @|@I change, alter@
@ἀλλαχόθεν @|@from another quarter, by another way@
@ἀλληγορέω @|@I speak allegorically@
@Ἁλληλούϊα @|@Hallelujah, Praise the Lord@
@ἀλλήλων @|@one another@
@ἀλλογενής -ες @|@of another nation, a foreigner@
@ἅλλομαι @|@I leap, bubble up@
@ἄλλος -η -ον @|@other, another, different@
@ἀλλοτριοεπίσκοπος -ου -ὁ hippo’ @|@a prier into other men’s affairs@
@ἀλλότριος -ία -ιον @|@belonging to another person, foreign@
@ἀλλόφυλος -ον @|@foreign@
@ἄλλως @|@otherwise@
@ἀλοάω @|@I thresh@
@ἄλογος -ον @|@unreasonable, senseless@
@ἀλόη -ης -ἡ @|@aloes@
@ἅλς -ἁλός -ὁ @|@salt@
@ἁλυκός -ή -όν @|@salty, saltine, bitter@
@ἄλυπος -ον @|@free from pain, grief, trouble@
@ἅλυσις -εως -ἡ @|@a light chain@
@ἀλυσιτελής -ές @|@profitless, unprofitable@
@Ἀλφαίος -ου -ὁ @|@Alphaeus@
@ἅλων -ωνος -ἡ @|@a threshing-floor@
@ἀλώπηξ -εκος -ἡ @|@a fox@
@ἅλωσις -εως -ἡ @|@capture, capturing@
@ἅμα @|@at the same time, along with@
@ἀμαθής -ές @|@unlearned, ignorant@
@ἀμαράντινος -η -ον @|@unfading, fadeless@
@ἀμάραντος -ον @|@unfading@
@ἁμαρτάνω @|@I sin@
@ἁμάρτημα -ατος -τό @|@a fault, sin, evil deed@
@ἁμαρτία -ας -ἡ @|@a sin@
@ἀμάρτυρος -ον @|@without witness, untestified to@
@ἁμαρτωλός -ον @|@sinning, sinful, a sinner@
@ἄμαχος -ον @|@not quarrelsome, peaceable@
@ἀμάω @|@I mow, reap@
@ἀμέθυστος -ου -ἡ @|@amethyst@
@ἀμελέω @|@I neglect@
@ἄμεμπτος -ον @|@blameless@
@ἀμέμπτως @|@blamelessly@
@ἀμέριμνος -ον @|@free from anxiety@
@ἀμετάθετος -ον @|@unchanged, unchangeable@
@ἀμετακίνητος -ον @|@immovable, firm@
@ἀμεταμέλητος -ον @|@not to be repented of@
@ἀμετανόητος -ον @|@unrepentant@
@ἄμετρος -ον @|@not measurable, immeasurable@
@ἀμήν @|@verily, truly, amen, so let it be@
@ἀμήτωρ -ορος ’ @|@whose mother’s name is not recorded or known@
@ ἀμίαντος -ον @|@undefiled, untainted@
@Ἀμιναδάβ -ὁ @|@Amminadab@
@ἄμμος -ου -ἡ @|@sand@
@ἀμνός -οῦ -ὁ @|@a lamb@
@ἀμοιβή -ῆς -ἡ @|@a change, an exchange@
@ἄμπελος -ου -ἡ @|@a vine@
@ἀμπελουργός -οῦ -ὁ @|@a vine-dresser@
@ἀμπελών -ῶνος -ὁ @|@a vineyard@
@Ἀμπλίας -ου -ὁ @|@Ampliatus@
@ἀμύνομαι @|@I defend@
@ἀμφίβληστρον -ου -τό @|@a fishing net, drag-net@
@ἀμφιέννυμι @|@I put on, clothe@
@Ἀμφίπολις -εως -ἡ @|@Amphipolis@
@ἄμφοδον -ου -τό @|@a street, quarter, block@
@ἀμφότεροι -αι -α @|@both of two@
@ἀμώμητος -ον @|@without blame or fault@
@ἄμωμος -ον @|@blameless@
@Ἀμών -ὁ @|@Amon@
@Ἀμώς -ὁ @|@Amos@
@ἄν @|@an untranslatable word that makes a statement contingent@
@ἀνά @|@and, apiece, by, each, every, in, through@
@ἀναβαθμός -οῦ -ὁ @|@a step, a flight of steps@
@ἀναβαίνω @|@I go up, mount, ascend@
@ἀναβάλλω @|@I postpone, defer@
@ἀναβιβάζω @|@I draw up@
@ἀναβλέπω @|@I look up, recover my sight@
@ἀνάβλεψις -εως -ἡ @|@recovery of sight@
@ἀναβοάω @|@I shout upwards, cry out, raise my voice@
@ἀναβολή -ῆς -ἡ @|@postponement, delay, putting off@
@ἀναγγέλλω @|@I announce, make known, report@
@ἀναγεννάω @|@I beget again, beget into a new life@
@ἀναγινώσκω @|@I read@
@ἀναγκάζω @|@I force, compel@
@ἀναγκαῖος -α -ον @|@necessary, essential@
@ἀναγκαστῶς @|@by force, necessarily@
@ἀνάγκη -ης -ἡ @|@necessity, constraint, compulsion@
@ἀναγνωρίζω @|@I make known to again, make to be recognized@
@ἀνάγνωσις -εως -ἡ @|@reading@
@ἀνάγω @|@I lead up, put to sea, set sail@
@ἀναδείκνυμι @|@I show forth, show clearly, proclaim, appoint@
@ἀνάδειξις -εως -ἡ @|@the proclamation of an appointment@
@ἀναδέχομαι @|@I welcome, receive kindly, undertake@
@ἀναδίδωμι @|@I send up, deliver, hand over@
@ἀναζάω @|@I come to life again, revive@
@ἀναζητέω @|@I seek out, search for@
@ἀναζώννυμι @|@I gird up, brace up@
@ἀναζωπυρέω @|@I stir up the fire, fan the flame of@
@ἀναθάλλω @|@I thrive or flourish again@
@ἀνάθεμα -ατος -τό @|@a curse, a cursed thing@
@ἀναθεματίζω @|@I curse, invoke curses@
@ἀναθεωρέω @|@I look at attentively, consider@
@ἀνάθημα -ατος -τό @|@an offering dedicated by a worshipper@
@ἀναίδεια -ας -ἡ @|@shamelessness, shameless persistence@
@ἀναίρεσις -εως -ἡ @|@killing, slaying, murder@
@ἀναιρέω @|@I take up, abolish, murder@
@ἀναίτιος -ον @|@guiltless@
@ἀνακαθίζω @|@I sit up@
@ἀνακαινίζω @|@I renew, restore@
@ἀνακαινόω @|@I renew, amend, change@
@ἀνακαίνωσις -εως -ἡ @|@renewing@
@ἀνακαλύπτω @|@I unveil@
@ἀνακάμπτω @|@I return@
@ἀνάκειμαι @|@I recline, especially at a dinner-table@
@ἀνακεφαλαιόω @|@I sum up, summarize, recapitulate, gather up in one@
@ ἀνακλίνω @|@I make to recline, I recline at a table@
@ἀνακράζω @|@I shout aloud@
@ἀνακρίνω @|@I examine, inquire into@
@ἀνάκρισις -εως -ἡ @|@judicial examination, preliminary inquiry@
@ἀνακύπτω @|@I raise myself, look up@
@ἀναλαμβάνω @|@I take up, raise@
@ἀνάληψις -εως -ἡ @|@a taking up, lifting up@
@ἀναλίσκω @|@I destroy, annihilate@
@ἀναλογία -ας -ἡ @|@proportion, measure@
@ἀναλογίζομαι @|@I think upon, consider attentively@
@ἄναλος -ον @|@saltless, tasteless, flat@
@ἀνάλυσις -εως -ἡ @|@departing, departure from this life@
@ἀναλύω @|@I depart, return@
@ἀναμάρτητος -ον @|@without blame, faultless@
@ἀναμένω @|@I await@
@ἀναμιμνήσκω @|@I remind, admonish, remember@
@ἀνάμνησις -εως -ἡ @|@a recalling, remembrance, memory@
@ἀνανεόω @|@I renew@
@ἀνανήφω @|@I become sober again, recover sound sense@
@Ἀνανίας -α -ὁ @|@Ananias@
@ἀναντίρρητος -ον @|@indisputable, not to be contradicted@
@ἀναντιρρήτως @|@without contradiction@
@ἀνάξιος -ον @|@unworthy, inadequate@
@ἀναξίως @|@unworthily, in an unworthy manner@
@ἀνάπαυσις -εως -ἡ @|@rest, cessation from labor, refreshment@
@ἀναπαύω @|@I make to rest, give rest to, rest, take my ease@
@ἀναπείθω @|@I urge by evil persuasion, I tempt@
@ἀναπέμπω @|@I send up to a higher tribunal, I send back@
@ἀνάπηρος -ον @|@crippled, maimed@
@ἀναπίπτω @|@I lie down, recline, fall back upon@
@ἀναπληρόω @|@I fill up, make up, fulfill@
@ἀναπολόγητος -ον @|@indefensible, inexcusable@
@ἀναπτύσσω @|@I unroll@
@ἀνάπτω @|@I kindle, set on fire@
@ἀναρίθμητος -ον @|@uncountable, innumerable@
@ἀνασείω @|@I shake up, stir up, excite@
@ἀνασκευάζω @|@I pervert, unsettle, destroy@
@ἀνασπάω @|@I drag up, pull up@
@ἀνάστασις -εως -ἡ @|@a rising again, resurrection@
@ἀναστατόω @|@I turn upside down, upset, unsettle@
@ἀνασταυρόω @|@I crucify again@
@ἀναστενάζω @|@I groan or sigh deeply@
@ἀναστρέφω @|@I overturn, turn upside down, return, mid. and pass: I conduct myself, live@
@ἀναστροφή -ῆς -ἡ @|@behavior, manner of life@
@ἀνατάσσομαι @|@I arrange, draw up, compose@
@ἀνατέλλω @|@I make to rise, I rise, shine@
@ἀνατίθημι @|@I lay a case before, impart, communicate, relate@
@ἀνατολή -ῆς -ἡ @|@rising of the sun, the East@
@ἀνατρέπω @|@I subvert, overturn, overthrow@
@ἀνατρέφω @|@I rear, bring up@
@ἀναφαίνω @|@I sight, I appear@
@ἀναφέρω @|@I carry up, lead up, offer up@
@ἀναφωνέω @|@I call out, shout@
@ἀνάχυσις -εως -ἡ @|@outpouring, excess@
@ἀναχωρέω @|@I return, retire, depart, withdraw@
@ἀνάψυξις -εως -ἡ @|@refreshing, refreshment@
@ἀναψύχω @|@I refresh, revive, comfort@
@ἀνδραποδιστής -οῦ -ὁ @|@an enslaver, a kidnapper@
@Ἀνδρέας -ου -ὁ @|@Andrew@
@ἀνδρίζομαι @|@I act like a man, am brave@
@Ἀνδρόνικος -ου -ὁ @|@Andronicus@
@ἀνδροφόνος -ου -ὁ @|@a murderer@
@ἀνέγκλητος -ον @|@irreproachable, blameless@
@ἀνεκδιήγητος -ον @|@indescribable, that cannot be thoroughly related@
@ἀνεκλάλητος -ον @|@unspeakable@
@ἀνέκλειπτος -ον @|@unfailing@
@ἀνεκτός -ή -όν @|@endurable, tolerable@
@ἀνελεήμων -ον @|@without compassion, cruel@
@ἀνεμίζω @|@I am blown with the wind@
@ἄνεμος -ου -ὁ @|@the wind@
@ἀνένδεκτος -ον @|@impossible@
@ἀνεξερεύνητος -ον @|@that cannot be searched into, inscrutable@
@ἀνεξίκακος -ον @|@enduring evil, patient of evil@
@ἀνεξιχνίαστος -ον @|@incomprehensible@
@ἀνεπαίσχυντος -ον @|@having no cause to be ashamed@
@ἀνεπίληπτος -ον @|@irreproachable@
@ἀνέρχομαι @|@I come up, go up@
@ἄνεσις -εως -ἡ. @|@relief, remission, indulgence, freedom, rest@
@ἀνετάζω @|@I examine judicially@
@ἄνευ @|@without, without the cooperation or knowledge of@
@ἀνεύθετος -ον @|@unsuitable, inconvenient@
@ἀνευρίσκω @|@I find by seeking out@
@ἀνέχομαι @|@I endure, bear with@
@ἀνεψιός -οῦ -ὁ @|@a cousin@
@ἄνηθον -ου -τό @|@anise, dill@
@ἀνήκω @|@is due, becoming, suitable, proper@
@ἀνήμερος -ον @|@not tame, fierce@
@ἀνήρ -ἀνδρός -ὁ @|@a male human being, a man@
@ἀνθίστημι @|@I take a stand against, oppose, resist@
@ἀνθομολογέομαι @|@I confess, give thanks to@
@ἄνθος -ους -τό @|@bloom, flower@
@ἀνθρακιά -ᾶς -ἡ @|@a heap of burning coals@
@ἄνθραξ -ακος -ὁ @|@a coal@
@ἀνθρωπάρεσκος -ον @|@desirous of pleasing men@
@ἀνθρώπινος -η -ον @|@belonging to human beings, human@
@ἀνθρωποκτόνος -ου -ὁ @|@a murderer@
@ἄνθρωπος -ου -ὁ @|@a man, one of the human race@
@ἀνθυπατεύω @|@to act as proconsul, be a deputy@
@ἀνθύπατος -ου -ὁ @|@a proconsul@
@ἀνίημι @|@I let go, loosen, release, give up, neglect@
@ἀνέλεος -ον @|@without mercy@
@ἄνιπτος -ον @|@unwashed@
@ἀνίστημι @|@I raise up, set up, rise from@
@Ἅννα -ας -ἡ @|@Anna@
@Ἄννας -α -ὁ @|@Annas@
@ἀνόητος -ον @|@foolish, thoughtless@
@ἄνοια -ας -ἡ @|@folly, madness@
@ἀνοίγω @|@I open@
@ἀνοικοδομέω @|@I rebuild, build up, build@
@ἄνοιξις -εως -ἡ @|@the act of opening@
@ἀνομία -ας -ἡ @|@lawlessness, iniquity@
@ἄνομος -ον @|@lawless, sinful, illegal@
@ἀνόμως @|@without law@
@ἀνορθόω @|@I make straight again, rear again, restore@
@ἀνόσιος -ον @|@regarding nothing as holy@
@ἀνοχή -ῆς -ἡ @|@forbearance@
@ἀνταγωνίζομαι @|@I resist, strive against@
@ἀντάλλαγμα -ατος -τό @|@an exchange, purchasing price@
@ἀνταναπληρόω @|@I fill up in place of someone else@
@ἀνταποδίδωμι @|@I give in return@
@ἀνταπόδομα -ατος -τό @|@a gift in return, a return, a recompense@
@ἀνταπόδοσις -εως -ἡ @|@a reward, recompense@
@ἀνταποκρίνομαι @|@I contradict@
@ἀντεῖπον @|@I speak or say in opposition, I contradict@
@ἀντέχομαι @|@I hold fast to@
@ἀντί @|@instead of, for@
@ἀντιβάλλω @|@I throw at in opposition, exchange words with@
@ἀντιδιατίθεμαι @|@I oppose@
@ἀντίδικος -ου -ὁ @|@an opponent, adversary@
@ἀντίθεσις -εως -ἡ @|@opposition@
@ἀντικαθίστημι @|@I resist@
@ἀντικαλέω @|@I invite in return@
@ἀντίκειμαι @|@I resist, oppose@
@ἀντικρύ @|@right opposite, over against@
@ἀντιλαμβάνομαι @|@I take hold of, help, share in@
@ἀντιλέγω @|@I speak or say in opposition, contradict@
@ἀντίληψις -εως -ἡ @|@help, ministration@
@ἀντιλογία -ας -ἡ @|@contradiction, contention, rebellion@
@ἀντιλοιδορέω @|@I abuse in return, give abuse for abuse@
@ἀντίλυτρον -ου -τό @|@a ransom@
@ἀντιμετρέω @|@I measure in return, give equivalent measure@
@ἀντιμισθία -ας -ἡ @|@a reward, recompense@
@Ἀντιόχεια -ας -ἡ @|@Antioch@
@Ἀντιοχεύς -έως -ὁ @|@an Antiochian@
@ἀντιπαρέρχομαι @|@I pass opposite@
@Ἀντίπας -α -ὁ @|@Antipas@
@Ἀντιπατρίς -ίδος -ἡ @|@Antipatris@
@ἀντιπέραν @|@on the opposite side or shore@
@ἀντιπίπτω @|@I fall foul of, resist, oppose@
@ἀντιστρατεύομαι @|@I campaign against, war against@
@ἀντιτάσσομαι @|@I set myself against, resist@
@ἀντίτυπος -ον @|@typical of, representing by type or pattern@
@ἀντίχριστος -ου -ὁ @|@antichrist@
@ἀντλέω @|@I draw, draw out@
@ἄντλημα -ατος -τό @|@a pail@
@ἀντοφθαλμέω @|@I face, resist@
@ἄνυδρος -ον @|@without water, dry@
@ἀνυπόκριτος -ον @|@unfeigned, without hypocrisy@
@ἀνυπότακτος -ον @|@unruly@
@ἄνω @|@up, above, things above, heaven@
@ἀνώγεον -ου -τό @|@an upper room@
@ἄνωθεν @|@from above, from the beginning, again@
@ἀνωτερικός -ή -όν @|@upper, higher-lying@
@ἀνώτερον @|@higher, to a more honorable place, previously, above@
@ἀνωφελής -ές @|@useless, unprofitable@
@ἀξίνη -ης -ἡ @|@an axe@
@ἄξιος -ία -ιον @|@worthy, worthy of, deserving@
@ἀξιόω @|@I account or treat as worthy@
@ἀξίως @|@worthily, in a manner worthy of@
@ἀόρατος -ον @|@unseen, invisible@
@ἀπαγγέλλω @|@I report, bring a report, announce@
@ἀπάγχω @|@I choke, strangle@
@ἀπάγω @|@I lead, carry, take away@
@ἀπαίδευτος -ον @|@untrained, uneducated@
@ἀπαίρω @|@I take away, remove@
@ἀπαιτέω @|@I ask back, ask what is my due@
@ἀπαλγέω @|@I am past feeling, cease to care, become callous@
@ἀπαλλάσσω @|@I free from@
@ἀπαλλοτριόομαι @|@I estrange, alienate@
@ἁπαλός -ή -όν @|@tender@
@ἀπαντάω @|@I meet, encounter@
@ἀπάντησις -εως -ἡ @|@the act of meeting, to meet@
@ἅπαξ @|@once, once for all@
@ἀπαράβατος -ον @|@inviolable, unchangeable@
@ἀπαρασκεύαστος -ον @|@unprepared@
@ἀπαρνέομαι @|@I deny, disown, disregard@
@ἀπαρτισμός -οῦ -ὁ. @|@completion, perfection.@
@ἀπαρχή -ῆς -ἡ @|@the first-fruits@
@ἅπας -ασα -αν @|@all, the whole@
@ἀπατάω @|@I deceive, lead into error@
@ἀπάτη -ης -ἡ @|@deceit, deception@
@ἀπάτωρ -ορος -τό @|@without father, of unknown father@
@ἀπαύγασμα -ατος -τό @|@a light flashing forth, radiation, gleam@
@ἀπείθεια -ας -ἡ @|@willful unbelief, obstinacy, disobedience@
