@English@|@Mam Todos Santos@
@a cinch that holds the cloth in the waist of the person who weaves (The weaver's waist doesn't get too tired if the cinch that holds the cloth is wide)@|@iqb'il@
@a clay bowl or jug similar to a colander that is used to strain nixtamal (called a 'pichancha' in Guatemala)@|@xawuk'@
@a cold (to have a cold)@|@chonwib'aj@
@a colima machete (these machetes are sharpened on both sides of the blade and weighted on the back side to allow for a sweeping cut motion on both the fore and backhand strokes useful for clearing land of tall grass or brush)@|@kuyin@
@a combination of particles that indicate that something seems to be (It looks like that is my son walking over there)@|@nku'j@
@a combination of particles that indicates something is like something else (Don't do it like those people do it)@|@nku'jo@
@a command meaning 'you cut' (tx'e'ma 'cut' n 'directional suffix' ka 'imperative marker which makes this a command' -ya 'second person singular suffix meaning 'you')@|@tx'e'mankaya@
@a common desert shrub called 'brittlebush' in English or 'incienso' in Spanish@|@xaq ixaj@
@a commonly used expression in casual talk that loosely means 'let's say' or 'let's just say' (Let's say I wear that dress will these shoes go with it? or How was your day? Let's just say it wasn't the best)@|@qochku'@
@a complicated situation (Everything is so complicated)@|@xpatx'il, xpotx'il@
@a container into which something is poured so as to move it to another container especially the grains that are kept in another receptacle@|@a'mb'il@
@a container that is used to give enemas and for vaginal and bladder washes in a hospital@|@chitob'il@
@a continuing and bitter hate or ill will@|@yab' wi'b'aj@
@a cord that is about 68 and a half feet long that is used to measure land by cord@|@ky'ajaj@
@a couple@|@jumoj@
@a cover (jacket or sweater etc) to protect a person from the cold during the night@|@txo'wj@
@a creeping plant that grows wild in fairly dry areas whose flowers are yellow and leaves are small and thin@|@sk'en@
@a crowd@|@b'u'l@
@a crybaby@|@uch-@
@a cut (on the body)@|@qitjin, tz'iynaj@
@a cylindrical object that throws itself down and stays horizontal@|@toleb'il@
@a dancer@|@b'ixal@
@a darker than normal night@|@qtaken@
@a day@|@jun q'ij@
@a day on the Mayan calendar@|@b'atz'@
@a deep smooth cut made with some type of instrument for cutting@|@tx'naj@
@a detailed account of something that happened@|@tqanil@
@a determined quantity of something that a person can carry (We only brought one load of wood)@|@iqtz@
@a discourse@|@chik'b'ab'il@
@a disordered pile of objects@|@b'u'li@
@a disrespectful way to refer to a tall and slender person@|@txak'@
@a disrespectful way to refer to someone who is skinny@|@yuk'@
@a disrespectful way to refer to someone who is skinny that is moving rapidly@|@yuk'uk'un@
@a distance of about 4 kilometers or 3 miles@|@ajlab'@
@a distributive number that indicates two for each one@|@kakab'@
@a distributive suffix that occurs on interrogatives (Alkyeqechaq che' ul  'Who all will come' - alkyeqechaq qaq'unab'il 'which tools' - aqechaqtzan 'some of them' - nimxchaq 'many things')@|@-chaq@
@a distributive suffix that occurs on numbers and can occur on some quantity words for instance wuq means 'seven' while wuqchaq means 'in groups or parcels of seven' or it can mean 'seven for each one') chaq is only obligatory on numbers above five@|@-chaq@
@a domestic animal that has no owner@|@b'etloj@
@a doodle@|@ch'ok@
@a drink@|@k'wa'b'aj@
@a drop in the level of fluid something contains@|@tz'aq@
@a falsehood@|@jaw nik'an@
@a fat person@|@lan@
@a fat person standing (jenky-  is a positional root)@|@jenky-, lenky-@
@a fat person standing or sitting (b'onk- is a positional root)@|@b'onk-@
@a fat person that is standing or sitting@|@xb'onk@
@a father (father unpossessed)@|@tatb'aj@
@a feeling of love or affection toward a person or an animal@|@k'ujlab'il@
@a few@|@ch'in, junjun, ni'xa@
@a few (more than one)@|@jte, kab'e@
@a fight or a war that has been fought@|@b'uqan@
@a fine thread@|@chekoxh@
@a fire started by someone whether intentional or not that destroys something that shouldn't have been destroyed@|@b'laq'aq'@
@a fistful of lightweight things@|@kyitx@
@a fork (like a pitchfork)@|@jachil@
@a form of expressing feelings of pain or from being scolded@|@jiq'jil@
@a fruit that is very mature and doesn't have much juice but is porous and makes a sound when bitten (My apple is very porous)@|@jaxhaxhan@
@a generalized word for looking for something@|@jyol@
@a giant species of fern@|@saq txib'@
@a gift@|@kotz, oyaj@
@a gift received@|@kotz@
@a gland that is usually found on top of the tail of poultry and other birds (this gland contains gasses that make the meat taste bad if it is not removed before cooking)@|@tchisb'il@
@a good place@|@jun tb'anel najb'il@
@a gourd used to keep tortillas warm@|@aqe'n@
@a gratuity@|@oyaj@
@a great deal@|@nimixix@
@a great quantity@|@txqan@
@a green worm that causes fever if you touch it@|@chol@
@a group of@|@txqan@
@a group of light weight objects thrown out (there was an armful of leaves thrown in front of my house)@|@b'at'li@
@a handful of something light weight@|@b'at'@
@a hard rain@|@kyuw xmu's@
@a heap (a number must precede this word)@|@b'a'uj@
@a holy day on the mayan calendar@|@ob'al@
@a hook@|@ch'ok@
@a hot fire with tall flames and popping sound (jayil implies hearing the sound of the fire but it focuses on the intensity of a fire while julil focuses more on the sound of the fire)@|@julil@
@a house that is constructed of cane and mud@|@b'itz'ja@
@a hug@|@tz'ul@
@a jacket@|@kamisaj, kolb'il@
@a joke@|@sok@
@a judge@|@kawil@
@a killing (this is what they call the massacre of indiginous Mayans in the 80s)@|@b'iyinj@
@a kind of wood@|@jun weq tze'@
@a large tamale that is made with corn masa only (used on long trips)@|@tz'oqo'n@
@a leafy green plant that grows wild and is called black nightshade in the US but called hierba mora in Central America (it is used in soups and stuffed corn tortillas)@|@k'a i'mach, mo'ch@
@a leguminous plant that grows between some crops@|@tchewa'xo'j@
@a lie@|@slak'@
@a limited quantity of something@|@jni'x@
@a line (Put a line under the correct answer)@|@xhqit@
@a little@|@ch'imu's, ch'in, ch'i'n, ch'i'n ch'i'n, jni'x, yaj, yin@
@a little (Noq ch'i'nch'i'n na'n we wu'n la tej kyb'ajx tzqij tzaj tuj k'ul I barely remember when the pines began to dry up)@|@ch'i'nch'i'n@
@a little bit@|@ch'intl, jun ch'ine@
@a little clear@|@spiky'anka@
@a little close@|@neqa'ka@
@a little later@|@yaj@
@a little more@|@ch'intl, ch'i'ntl@
@a little while ago@|@k'itxqe, ma yin, may@
@a little while ago (mataq nchin wa'na - mataq 'recent past tense marker' nchin 'I with the progressive tense marker' wa'na eat with the antipassive marker n and first person singular enclitic a' - I was eating)@|@mataq@
@a little while each (junjun kmujchaq te junjo k'okil te iqil ko'k - We take turns a little while each one to carry the load in the backpack)@|@junjun kmujchaq@
@a load of something that isn't very big or heavy that can be carried easily (I slept in the truck and when I got out I forgot my bundle)@|@iq'inj@
@a load or lump of something thrown down (wank- is a positional root)@|@wank-@
@a loan that has been repaid (This money was the money Peter paid back)@|@ch'exb'en@
@a long cylindrical object that is very pliable and can be bent easily (like a willowy tree branch)@|@xhokokon@
@a long piece of wood or metal that crosses from one part to another@|@b'alb'a'l@
@a long thin line made by hand or mechanically@|@iqit@
@a long thing strip of something like thread or twine or rope (this is a measure word so it is mandatory to precede it with a number)@|@qinij@
@a long time ago@|@atxax, ojtxi, ojtxi'@
@a longish coat with faldones that is tailored to the body from the waist up and loose at the hips (these were usually brightly colored and decoratively trimmed - similar to those worn by the guards at Buckingham Palace)@|@kamisaj, kolb'il@
@a loosely tied knot (a knot that needs to be tightened)@|@che'ch@
@a lot@|@ala', b'a'mpun, b'a'uj, b'u'uj, nim, nimqe, nintz, txqan, wen, wena@
@a lot more@|@txqantl@
@a lot of@|@ila'@
@A lot of people came (A lot person they came)@|@Nintz xjal e' ul@
@a lot of things piled up@|@tenli@
@A lot of water enter the house through the coping@|@Oktz nim jb'al toj t-chkin ja@
@a loud laugh@|@jejeyil@
@a magpie (bird)@|@ch'ok@
@a man@|@jun xinaq@
@a match (for lighting something)@|@jusbil@
@a mature grain just before it is ready to dry@|@tijil@
@a means or instrument that is used to construct something@|@b'inchab'il@
@a measure of long objects like herbs or wood that have been left lying@|@b'ochli@
@a measure of something like firewood@|@b'a'l@
@a measure that consists in a small portion of things tied in bundles@|@b'och@
@a measure that consists of small portions of objects that are usually long such as herbs wood etc@|@b'ik'oj@
@a mecapal made of agave fiber@|@iqb'il@
@a medium sized plant whose stem contains a poisonous sap@|@pa'b'l@
@a message@|@jun ab'ax@
@a minority ethnic group that lives in Guatamala called Ladino@|@amaq'@
@a moment ago@|@may@
@a more generalized word for looking for something@|@jyetil@
@a nail (made of metal)@|@klawxh@
@a naked person standing (slinky- is a positional root)@|@slinky-@
@a night for each one (each one takes a night - guarding the field or whatever)@|@junjun aq'b'il chaq te junjun@
@a normal amount of smoke (from a fire)@|@qusil@
@a notice@|@jun ab'ax@
@a number (that quantifies it) goes before this word (jun tal jet' one small load)@|@jet'@
@a number must precede this word (un bocado@|@jatz'@
@a nurse@|@onil ajq'an@
@a obese person@|@b'ox@
@a one-hundred dollar bill@|@jok'al@
@a one meter measuring device (like a yardstick)@|@malb'il@
@a pad that is fitted snugly on the back of a pack animal (and upon which a load is placed) to protect the animal's back while carrying loads (especially through rough country where the load might shift otherwise)@|@xalmo@
@a pair@|@jumoj, jun muj@
@a pair of pants (jeans etc)@|@jun wexj@
@a pan or a jug or a tin can when it is used to cook in@|@txikyb'il@
@a park@|@ojlab'il@
@a particle that indicates some action only exists in thought or imagination and that a condition would have had to be met so that it might happen (If you would have done this that might have happened)@|@wit@
@a particular edible herb@|@ch'ixtan@
@a particular way that a woman wears her skirt@|@amalal@
@a past action that was not carried out@|@nti'@
@a past tense adverb that means since yesterday@|@ewtxi'@
@a paunchy person sitting down@|@b'orli@
@a penny (un centavo in Guatemala)@|@jun b'u'ch@
@a person@|@jun xjal@
@a person's tendency to do someone else wrong because they are jealous@|@chk'a@
@a person's years of youth (I spent my youthful years on a farm)@|@ku'ximil@
@A person came to our house (literally - Arrived one person our house)@|@Ul jun xjal qjaye@
@a person of one's own country@|@winaq@
@a person or an object that is very shameless or ugly@|@pak'a'ch@
@a person or animal that goes from one place to another without having a fixed place to live@|@b'etje@
@a person or animal that is subdued or conquered@|@b'etza'an@
@a person speaks harshly@|@ajtzi'@
@a person that constantly grumbles or nags@|@jawna@
@a person that entwines one thing with another to make a necklace@|@aq'il@
@a person that is given a lot of privileges or consideration (The children of Fredrick never learned to work because they were always treated with consideration)@|@k'u'jlan@
@a person that is walking on a public road@|@nojni txol@
@a person that likes to touch things that he shouldn't touch because they don't belong to him@|@ch'op@
@a person that prepares the ground to make it ready for planting (something often done with bulls pulling a plow)@|@ch'okil, xokil@
@a person who acts with respect and consideration@|@klo'n@
@a person who beats dry corn to remove it from the cob@|@b'ujb'il jal@
@a person who commits a crime or offence@|@ilil@
@a person who commits many sins or crimes@|@ajil@
@a person who constantly blinks@|@mutz'witz@
@a person who doesn't like to speak or doesn't answer when spoken to@|@xtan@
@a person who doesn't pay attention or acts deaf when something is said to him@|@chkyin@
@a person who empties out something@|@amil@
@a person who gathers bottles usually to collect the deposit@|@armutil@
@a person who is employed to explain something@|@aq'pul@
@a person who is engaged in diverse tasks or chores@|@ajb'inchil@
@a person who is engaged in killing people (premeditated and perhaps for a living)@|@b'iyol xjal@
@a person who is swollen whether due to poor eating habits sickness or a bad habit their faces are swollen@|@b'ur@
@a person who likes to invent things that aren't true@|@chal yol@
@a person who likes to talk a lot@|@ajtzi'@
@a person who maintains a relationship outside their marriage@|@ajpaj@
@a person who makes predictions or who tryies to discover hidden or unknown things by procedures that are not based on reason or scientific knowledge@|@ajmes, Ajyo'@
@a person who pays all his debts@|@chojonel@
@a person who pulls something with a steel hook@|@ch'okil, xokil@
@a person who relieves or cures injuries@|@b'ansal@
@a person who tells lies@|@niky'il yol@
@a person who volunteers their services to the community for a specified period of time@|@ajb'el@
@a person who will eat anything and everything@|@tzeq@
@a person who wolfs their food down without chewing whether on purpose or accidentally@|@b'ilq'ul@
@a person whose hair is unkempt@|@b'at'@
@a person whose job it is to bend something such as a person who works in a tortillarilla@|@jo'q@
@a person whose job it is to get things wet@|@ak'sal@
@a person whose occupation it is to transport merchandise by mule or another such animal@|@ajchej@
@a person whose thoughts are skattered@|@qejli@
@a person with fat legs standing or sitting (renky- is a positional root)@|@renky-@
@a person with just one arm or leg sitting or standing (tunk- is a positional root)@|@tunk-@
@a picture or miniature representation of something (I drew a picture of my dead chicken)@|@ilb'il@
@a piece@|@ch'i'n@
@a piece of earth@|@jun pixh tx'otx'@
@a piece of flat wide wood that is placed beneath a grinding stone@|@aq'an@
@a piece of food@|@tx'anaj@
@a piece of land twenty five rods square@|@ech@
@a pile (a number must precede this measure word)@|@b'a'uj@
@a pile of@|@job'an@
@a place set aside to plant broad beans@|@chonb'il@
@a place that is higher than another (put the basket up above)@|@jawl@
@a place that is usually over the main altar in the Catholic church where they keep the cup with the consecreted hosts@|@ttenb'il Dyos, xjanasan, xjanasa'n@
@a place to live@|@najb'il@
@a place used to hide something or someone@|@e'wb'il@
@a place where there have been dances before@|@b'ixb'en@
@a plant that grows in the middle of seeded land (especially in cornfields) that has white flowers and its leaves stick to clothing and the hands (it can be fed to sheep)@|@q'olq'e'n@
@a plant that is sometimes used as pasture or forage for cows@|@kujb'ile@
@a plant that is used to cure children of the evil eye@|@lo'n@
@a plant used to prevent heart attacks@|@chiliso'j@
@a plant with wide leaves and small yellow flowers@|@sjam@
@a plate of beans@|@jun laq chenq'@
@a poisonous plant that is used for fishing (it kills all the fish big or small) the natives also use this plant as soap for washing their clothes as it produces suds like soap@|@ch'upech@
@a portion of something@|@maq'@
@a prase that is used when one does something themselves such as I painted this picture by myself@|@aqinxe@
@a prefix indicating the actor who does the next verb@|@aj@
@a prefix placed before the name of a place such as ajpetz'al Petz'al being the place of origin for a person@|@aj-@
@a pretty bird called the Mountain trogan or Mexican trogan of the Trogonidae family@|@kawin@
@a pretty place@|@jun tb'anel najb'il@
@a print of@|@b'ajlen@
@a problem@|@il@
@a processive suffix added to transitive and intransitive stems it adds adds 'go' and the imperative to the meaning (b'iyol means 'to kill' while b'iyo'tz means 'go and kill!')@|@-'tz@
@a processive suffix added to transitive and intransitive stems it adds the meaning 'go and do it' (ma'kj 'go and say' comes from ma 'say')@|@-'kj@
@a puppy@|@jun tal ttx'yan@
@a quality that applies especially to foods prepared by hand@|@b'anan@
@a rapidly moving mass of air and water and dust or smoke that turns in a whirl@|@xkyaqan pach@
@a rattle (plastic baby toy)@|@chil@
@a reflexive relational noun@|@-ib'aj@
@a relational noun that functions as an instrument (denotes the instrument or means by which action is accomplished) or a comitative (denotes accompaniment)@|@-uk'al@
@a ritual that is performed before the rains begin that involves prayer for abundant rain and a good harvest (Before the Holy Week the Maya priests perform the ritual of begging for rain in all of the hills)@|@tqanil jb'al@
@a ritual that is performed the day after someone is burried where all the dead ones belongings are gathered together and they bury a small piece behind the house or in a special place of the house (A lot of people attend this ritual)@|@ttz'is anmi@
@a rolling boil@|@loqlol@
@a rooster's comb@|@ch'o'k@
@a rover@|@b'etje@
@a sacred day on the Mayan calendar@|@no'j@
@a series of dialogs recited by the dancers in the 'bailadores de moros' (danced in memory of the battle between the Moors and the Christians during the Spanish conquest of Guatemala) and the 'bailadores de venados' (a dance of prehispanic origin directed by a Maya priest and considered to be sacred) or the 'bailadores de la conquista' (a dance of Hispanic colonial origin with a warrior theme - the dance ends with the death of Tecun Uman the K'iche king and the conversion to Christianity by the Maya - it is danced in honor of the Black Christ of Esquipulas)@|@pakab'@
@a series of ritual words with which a Mayan believer addresses a deity or saint during Maya ceremonies@|@totrin@
@a sheath full of grains (such as that of broad beans)@|@jitz'an@
@a shoe last@|@b'inchb'il xjab'@
@a shoot (some plants will put out new shoots even after they have been cut off)@|@xul@
@a short fat person sitting or standing (xhpreq'- is a positional root)@|@xhpreq'-@
@a shrubby plant called 'blood of Christ' with small purple flowers and berry-like fruit@|@txhkyin k'il@
@A shrubby plant with a woody stem and alternating lanceolate leaves (it produces white berries)@|@tpaq pich'@
@a sign left by something@|@b'ajlen@
@a sign of@|@b'ajlen@
@a sin@|@il@
@a singer of liturgical solos in a wake or funeral@|@ajb'itzon@
@a situation that provokes laughter@|@tze'b'il@
@a skirt that when onse side is worn out can be reversed because the inside is still in good condition@|@meltz'u'n@
@a sling made of twine with a narrow piece of leather in the center that is used to throw rocks and hunt birds@|@payb'il@
@a slope@|@kub'il@
@a slushee style beverage made with crushed or shaved ice@|@txache'w@
@a small bundle (of herbs or something)@|@jun b'och@
@a small hoe-like digging tool with two curved teeth (called a garabato in Guatemala)@|@xhok@
@a small piece of something solid that is swallowed without chewing@|@b'liq'@
@a small plant that has white flowers and is used as soap@|@ch'pech@
@a small white dog@|@jun b'o'tz saq tx'yan@
@a small woody container typically made from the fruit of the calabash tree and used to serve hot food in order to keep it warm@|@tzima'@
@a smock (worn by hospital workers)@|@k'olb'il xb'alin@
@a songbird about seven inches long with a fat beak and brownish feathers (called a Triguero in Guatemala)@|@xlak'uk'@
@a special way of warming recently born babies with fire such as in a sauna@|@lemil@
@a species of ants that are black and white and live in rotten logs and in cane@|@eleq' sup@
@a species of fish about the size of a sardine whose flesh is delicate and attractive to the Guatemalans (Pepesca dry and toasted with a lot of salt to preserve it)@|@katz@
@a species of snake that they say turns around and whistles@|@chintor@
@a specific way to duck@|@leqeb'il@
@a spiritistic practice of consulting by means of the beans of the Coral tree@|@michil@
@a spool@|@chank-@
@a spool thrown down@|@chank-@
@a sprout@|@xul@
@a stick used to hold back tall grass while it is being cut with a machete@|@ch'ok@
@a story@|@qanil@
@a stray@|@b'etje, b'etloj@
@a strobe light (like emergency vehicles use)@|@qoptz'ajil@
@a suffix that derives intransitive verbs from positional roots giving the sense of putting or getting in the position indicated by the root (Ma kub joqe tx'yan - Past tense go down went face down dog - The dog laid face down)@|@-e@
@a swelling@|@mal@
@a system of measuring grains by means of baskets@|@chi'li'n@
@a talk@|@chik'b'ab'il@
@a tenemaste (three rocks where a pan rests in a simple wood stove) for a specific use@|@t-xk'ub'il, xk'ub'il@
@a term that is used when something is well made or has a good appearance@|@b'anan@
@a term used when something is well made or has a good appearance@|@b'anin@
@a thick strong bar@|@tolam k'uxb'il@
@a thin leafless branch used to herd animals@|@k'ixhlob'@
@a thin unglazed clay or metal disk that is used to cook tortillas (toast coffee or cacao) or dry roast any type of food@|@xk'o'n@
@a time adverb used to indicate mid day which is considered to be between 11 in the morning until two in the afternoon@|@chik'l q'ij@
@a time long ago (in ancient history)@|@ojtxa@
@a time period when salt is given to stock animals@|@atz'amib'il@
@a time set aside for viewing a corpse before burial@|@utz'le'n@
@a tip@|@oyaj@
@A tree that grows in temperate zones especially on the Pacific Coast of Guatemala@|@kapulin@
@a two-headed eagle that is used to adorn huipiles (Mayan blouses or dresses that are embroidered)@|@t'iw@
@a type of bird@|@xq'anpitz'@
@a type of bird called a swallow@|@xtx'a'yil@
@a type of palm whose flowers are edible@|@ch'i'lil@
@a unique way for a woman to use her skirt@|@amil@
@a unit of capacity employed mainly to measure grains and sometimes liquids@|@alm@
@a variety of orchid@|@ip@
@a variety of reed with thick canes@|@pjatz@
@a variety slightly elongated small black bean eaten in Guatamala@|@chenaq'@
@a verb applied solely to the action of getting tangled up with threads ropes or hemp (the cow got tangled up in the rope)@|@b'alq'il@
@a verb used to describe the mistreatment a person has received at the hands of another person@|@ak'@
@a very heavy object@|@al@
@a very nutritious wild high grass that horses and cattle are fed@|@k'uxk'ub'@
@a vocative (used to indicate one is being directly addressed) used between men of the same age who know each other (like saying man or boy but with respect)@|@q'aye@
@a walker (used by babies or people who have a hard time walking)@|@b'etb'il@
@a way of answering a person you are conversing with with to affirm what he is saying (That's right sir life is difficult now)@|@iknatzun@
@a way of carrying out an activity or thing step by step (Would you like to learn basic Waltz steps?)@|@tqanil@
@a way of doing something quickly and poorly@|@b'alq'il@
@a way of expressing pain or shame@|@xjiq'paj@
@a way of measuring some things like grains in small piles of the same size (When they divine someone's luck they place grains in equal sized piles)@|@ch'uqchaq@
@a way to go down@|@kub'il@
@a week ago@|@kub'xe, qub'xe@
@a well ordered and systematic search for something@|@txolil@
@a while ago@|@maytxi', ojtxi@
@a whistle (for lifeguards police etc in Guatemala)@|@xur@
@a whole lot@|@nimixix@
@a whole lot of something@|@b'u'j@
@a wild edible turnip like green@|@napx@
@a wild fiberous plant that in times of scarcity serves as food for cattle@|@tzach'um@
@a wild grass that in Spanish is called Pajón that is rich in fiber and serves as food for cattle when pasture land is scarce@|@ch'um@
@a wild herb that grows like onions and is used as a condiment@|@chokchoxh@
@a witch@|@jun aj matz'@
@a woman@|@jun xu'j@
@a womon who has recently given birth@|@iky' chuj@
@a wooden musical instrument similar to the xylophone and is usually played by three people@|@chinab'@
@a word indicating that something has to be done by washings a quantifing number has to be used with this word (for example My shirt didn't come clean because I only washed it one time - jun tx'aj means 'one washing')@|@tx'aj@
@a word that indicates the totality of a group of things or set of things@|@a'lix@
@a word to indicate that the sounds made by one thing can be heard by other people (I can tell when you are upset because I hear you slamming things around)@|@q'ojq'oj@
@a word used for measurement that indicates a pile of things of the same size - this word must be preceded by a number (they gave each of us two small piles of corn)@|@b'u'uj@
@a word used to describe the low temberatures that occur in high regions of Western Guatamala during the early hours of the morning when the water tends to form frost or thin ice)@|@che'w@
@a word used to indicate or to ask whether something is really true@|@axi'x@
@a word used to introduce adverbial clauses that provide additional information to the predicate in relation to the past tense@|@tej@
@a worm that glows bright green at night and will burn your skin if you touch it@|@chi'ch@
@a worm that is peculiar to a certain fruit or crop (I ate the worms of the mango)@|@t-xtonil, xtonil@
@a yard (measurement)@|@jaj@
@a year ago@|@jnab'a, jnab'e, jnab'i@
@a year ago (this is an adverb)@|@jnab'i@
@a yellow bird with black and white feathers that is found in all Central American regions@|@ch'o'l@
@a yellow plant with spines@|@xkojkojte'@
@a young hawk@|@lik@
@ab'kyio or stick fish is a species of tree that grows in temperate climates.@|@ab'kyio@
@abandon@|@oqb'e@
@abandoned@|@ko'lin@
@abdomen@|@k'u'j, k'u'jb'aj@
@abhorance@|@suchb'il@
@ability@|@junpaqx@
@abort@|@e'lil@
@abortion@|@elsa'maj@
@about@|@i'j, -i'jile, ti'j, ti'jile, tu'n@
@about it@|@ti'j@
@about them@|@kyi'j@
@about whom? about what?@|@al i'j@
@about you@|@ti'je@
@above@|@wi'@
@above (it or him or her)@|@twi'@
@above (used only with the third persons)@|@-wi'@
@Abraham was God's friend@|@ok Abrahan te amiw qMan Dios@
@abrasive@|@txak', txaw@
@abreast of@|@ttxlaj@
@absolutely straight@|@jiqinxix@
@absorption@|@tz'ub'@
@abstract concept of reason@|@nab'il, nab'l@
@abstract noun always possessed and often begins with a t@|@b'anel@
@abstract noun derived from the adjective b'a'n (this noun must always be possessed)@|@tb'anil@
@abstract noun that indicates the authority that someone possesses@|@tajwalil@
@abstract noun that indicates the central part of something@|@nik'ajchaqil@
@abstract noun that indicates the central portion of something@|@tnik'ajchaqil@
@abstract noun that indicates the fever that is an effect of some pain or wound (especially one that is infected)@|@tkyeqal@
@abstract noun that indicates the infancy or smallness of something@|@tne'chil@
@abstract noun that indicates the interior temperature of something (The warmth or coolness of the earth for instance)@|@tkyeqal@
@abstract noun that indicates the misfortune of something (I fell into a misfortune)@|@koxil@
@abstract noun that indicates the pain that something produces@|@tky'itz@
@abstract noun that indicates the thickness of something (The bark on that tree is very thick)@|@pimil, tpimil@
@abstract noun that means the nervious sensation that provokes laughter (ticklishness)@|@tky'aqachil@
@abstract noun that means the yellow of something (As a grapefruit matures you can see the yellow of the peel)@|@q'nal@
@abstract noun that means the yellow of something (The yellow of an egg is its yolk)@|@tq'anal@
@abstract noun that points out the misfortune of something@|@tkoxil@
@abstract noun that refers to the anger or annoyance of someone@|@ttx'u'jil, tx'ujil@
@abstract noun that refers to the circulatory system of a person or animal@|@tib'otx'il@
@abstract noun that refers to the control of counting something (such as money)@|@tajlal@
@abstract noun that refers to the marrow of a specific bone (Marrow from beef or chicken etc)@|@tsu'majil@
@abstract noun that refers to the origin of a family's linage@|@tyajil@
@abstract noun that refers to the origin of the line of a family (this word is always possessed so you may see it as tyajil qyajil etc)@|@yajil@
@abstract noun that refers to the softness of something@|@tq'uyinil@
@abstract noun that refers to the specific date of some event (ie the date to sow seed or someone's birthdate)@|@q'ijlal@
@abstract noun that refers to the specific date of some event (the date to sow seed)@|@tq'ijlal@
@abstract noun that refers to the thin part of something@|@txhk'li'kil@
@abstract noun that refers to the whole body of a being@|@t-xmilal@
@abstract noun that refers to the whole body of a person@|@t-ximilal@
@abstract noun that signifies the penalty of a crime or the dishonor for having broken a promise@|@tilil@
@absurd@|@tzakaj@
@abundant@|@cheman, nimx@
@accept@|@kutzb'il, tzaj ttzaq'we'n, tze'a-@
@access toward the interior of a house or corral (a gate in the case of a corral)@|@tzija@
@accidental@|@alolx, noqx@
@accidentally scrape something but with some force@|@pelil, pelj@
@accompanied (not alone)@|@uk'le'n@
@accompany walking@|@wab'a-@
@accomplice (The mother is an accomplice in her daughter's actions)@|@iqil@
@accord@|@mojxim@
@according (According to Helen it is green)@|@q'u'n@
@according as@|@ayixtza'n@
@according to oral tradition this term refers to a man who walks the rivers and is caable of destroying a city or other thing by means of the river@|@chepanek@
@accordingly@|@tu'ntsji@
@account@|@tajlal@
@accountant@|@ajlal pwaq@
@accursed (witch)@|@ajk'a, ajky'a'@
@accused@|@japu'n@
@accuser@|@b'ajsal@
@accustomed to (naq'- is a positional root)@|@naq'-@
@achiote@|@o'x@
@acid@|@tx'om@
@acid stomach@|@tx'omal k'u'j@
@acidic@|@tx'am, tx'om@
@acolyte in the Catholic church (he is a attendant or helper to the priest)@|@mojil pale@
@acoustic booth@|@matu'jal@
@acquaintence@|@tzqi'n@
@across@|@jlajx@
@act@|@b'inchb'en@
@action@|@b'inchb'en@
@action of breaking (when said with a short 'i')@|@pis@
@action of making someone suffer by hitting or mistreating them (The mosquitos are making me suffer)@|@naj tu'n@
@action that is carried out when a man moves in with his wife@|@oyil tib'@
@actions@|@ajlal@
@active person@|@sak'@
@added to a number relates to days@|@-wnaq@
@added to the end of a word makes it or the noun following it plural (nimaq tze big trees)@|@-aq@
@additionally@|@nya o'kxjo@
@address@|@janejenel, tjaq'amal'be@
