@English@|@Romanian@
@blow@|@sufla@
@blue@|@albastru@
@blue jeans@|@blugi@
@blush@|@înroşi@
@boat@|@barcă@
@body@|@corp, trup@
@boil@|@fierbe@
@boiled@|@fiert@
@bon voyage@|@drum bun@
@bone@|@os@
@bonus@|@gratifacaţie@
@book@|@carte@
@book of tickets@|@carnet@
@booklet@|@broşură@
@bookshop@|@librărie@
@boot@|@cizmă@
@border@|@hotar@
@boring@|@plictisitor@
@born@|@născut@
@borough@|@cartier@
@borsch@|@ciorbă@
@bosom@|@sîn@
@both@|@ambii, amîndoi@
@both ... and@|@şi ... şi@
@both... and@|@şi... şi@
@bottle@|@butelie, sticlă@
@bottom@|@fund@
@boulevard@|@bulevard@
@bouquet@|@buchet@
@bowl@|@oală@
@box@|@cutie, ladă@
@boy@|@băiat, fecior@
@boyar@|@boier@
@brain@|@creier@
@brake@|@frîna@
@branch@|@creangă, ramură, sucursală@
@brave@|@viteaz@
@Brazil@|@Brazilia@
@bread@|@pîine@
@break@|@frînge, sparge@
@break out@|@izbucni@
@break the law@|@încălca legea@
@breath@|@respira@
@breathing@|@sflare@
@bride@|@mireasă@
@bridegroom@|@mire@
@bridge@|@pod@
@bright blue@|@senin@
@bring@|@aduce@
@British@|@britanic@
@broken@|@frînt, spart@
@brooch@|@broşă@
@broom@|@mătură@
@brother@|@frate@
@brother-in-law@|@cumnat@
@brought@|@adus@
@brown@|@căprui, maro@
@brush@|@perie@
@bucket@|@găleată@
@budget@|@buget@
@build@|@zidi@
@Bulgaria@|@Bulgaria@
@bull@|@taur@
@bullet@|@glonţ@
@burden@|@sarcină@
@burn@|@arde@
@burnt@|@ars@
@bury@|@îngropa@
@bus@|@autobuz@
@bus stop@|@staţie@
@business@|@afacere, treabă@
@businessman@|@om de afaceri@
@busy@|@occupat, ocupat@
@but@|@dar@
@but (after negative)@|@ci@
@butter@|@unt@
@button@|@nasture@
@buy@|@cumpăra@
@by@|@de către@
@by air mail@|@prin avion@
@by any chance@|@cumva@
@by chance@|@din întîmplare@
@by mistake@|@din greşeala@
@by the piece@|@cu bucata@
@by the way@|@apropo@
@cabbage@|@varză@
@cable railway@|@teleferic@
@cake@|@prăjitură, tort@
@calculation@|@socoteală@
@calculator@|@calculator@
@calf@|@viţel@
@call@|@chema@
@call out@|@striga@
@calm@|@liniştit@
@camera@|@aparat de fotografiat@
@can@|@a putea@
@Canada@|@Canada@
@candle@|@lumînare@
@cannon@|@tun@
@capital@|@capitală@
@car@|@maşină@
@cardboard@|@carton@
@care@|@grijă@
@careful@|@îngrijit@
@carefully@|@cu grijă@
@caress@|@alinta, mîngîia@
@carol@|@colind@
@Carpathian mountains@|@Munţii Carpaţi@
@carpet@|@covor@
@carriage@|@vagon@
@carrot@|@morcov@
@carry@|@duce@
@cart@|@car@
@case@|@caz, proces@
@cashier@|@casier@
@cashier (female)@|@casieriţă@
@cask@|@butoi@
@cassette@|@casetă@
@cassette player@|@casetofon@
@castle@|@castel@
@castor sugar@|@zahăr tos@
@cat@|@pisică@
@catch@|@capta, prinde@
@catch cold@|@răci@
@catch sight@|@zări@
@categorical@|@categoric@
@caterpillar@|@omidă, şenilă@
@cattle@|@vită@
@caught@|@prins@
@cauldron@|@cazan@
@cauliflower@|@conopidă@
@cause@|@cauză@
@caviar@|@icre negne@
@cease@|@înceta@
@ceiling@|@plafon, tavan@
@celebrate@|@celebra, sărbători@
@celebration@|@sărbătoare@
@cell@|@celulă@
@central@|@central@
@centre@|@centru@
@century@|@secol, veac@
@cereal@|@cereală@
@certain@|@sigur@
@certainly@|@desigur@
@certify@|@certifica@
@chain@|@lanţ@
@chair@|@scaun@
@chair (university)@|@katedră@
@chalet@|@cabană@
@champagne@|@şampanie@
@change@|@rest, schimba@
@change of place@|@deplasare@
@change one's mind@|@răzgîndi - se@
@changeable@|@variabil@
@channel@|@canal@
@chaos@|@haos@
@chaotic@|@haotic@
@chapter@|@capitol@
@characteristic@|@trăsătură@
@charity@|@binefacere@
@charm@|@farmec@
@chase away@|@goni@
@chatter@|@sporovăi@
@chatterbox@|@limbut@
@cheap@|@ieftin@
@cheek@|@obraz@
@cheeky@|@obraznic@
@cheers@|@noroc@
@cheese@|@brînză@
@chemistry@|@chimie@
@chemist's@|@drogherie@
@cheque@|@cec@
@cherish@|@nutri@
@cherry@|@cireaşă@
@chest@|@piept@
@chestnut@|@castaniu@
@chestnut tree@|@castan@
@chicken@|@pui@
@chief@|@şef@
@child@|@copil@
@childhood@|@copilărie@
@children@|@copii@
@chilli pepper@|@ardei iute@
@chin@|@bărbie@
@China@|@China@
@chocolate@|@ciocolată@
@choir@|@cor@
@choose@|@alege@
@chosen@|@ales@
@Christian@|@creştin@
@Christmas@|@Crăciun@
@chroicle@|@letopişet@
@chronicle@|@cronică@
@chronology@|@cronologie@
@church@|@biserică@
@cigarette@|@ţigară@
@cinema@|@cinema, cinematograf@
@circle@|@cerc@
@circumstance@|@împrejurare@
@circus@|@circ@
@citadel@|@cetate@
@citizen@|@cetăţean@
@civil servant@|@funcţionar@
@clarify@|@limpezi@
@classroom@|@clasă@
@claw@|@gheară@
@clean@|@curat@
@clear@|@clar, limpede@
@clear oneîs throat@|@şi drege glasul@
@clever@|@deştept@
@client@|@client@
@climate@|@climă@
@climb@|@ascensiune, se urca, sui, urca@
@climbing@|@alpinism@
@clinic@|@policlinică@
@close@|@încheia, închide@
@closed@|@închis@
@cloth@|@pînză, stofă@
@clothing@|@îmbrăcăminte@
@cloud@|@nor@
@coal@|@cărbune@
@coast@|@coastă, ţărm@
@coat@|@haină@
@cock@|@cocoş@
@coffee@|@cafea@
@coffee shop@|@cofetărie@
@cognac@|@coniac@
@coin@|@monedă@
@cold@|@frig, răceală, rece@
@collar@|@guler@
@colleague@|@coleg@
@colour@|@culoare@
@comb@|@pieptăna, pieptene@
@comb hair@|@se prieptăna@
@come@|@veni@
@come on@|@hai, haide, haidem, haideţi@
@come undone@|@se dezlega@
@comedy@|@comedic@
@comfort@|@consola@
@comma@|@virgulă@
@comment upon@|@comenta@
@committee@|@comitet@
@common@|@islaz@
@company@|@companie@
@compare@|@compara@
@compartment@|@compartiment@
@competition@|@concurs@
@complain@|@se plînge@
@comrade@|@tovarăş@
@conceited@|@orgolios@
@concentrate@|@se concentra@
@concert@|@concert@
@concise@|@succinct@
@conclusion@|@concluzie, încheiere@
@concrete@|@beton@
@condemn@|@condamna, osîndi@
@condition@|@condiţie@
@conditional@|@condiţional@
@conductor@|@dirijor@
@confess@|@mărturisi@
@confidence@|@încredere@
@confront@|@înfrunta@
@confuse@|@zăpăci@
@congratulate@|@felicita@
@congress@|@congres@
@conjunction@|@conjuncţie@
@connection@|@legătură@
@conquer@|@cuceri@
@conscience@|@conştiinţă@
@conscientious@|@conştiincios@
@conscious@|@conştient@
@consequently@|@urmare - prin@
@construct@|@construi@
@contain@|@cuprinde@
@contained@|@cuprins@
@contemporary@|@contemporan@
@contents@|@conţinut@
@continually@|@mereu@
@continue@|@continua@
@contract@|@crispa@
@contradict@|@contrazice@
@contradicted@|@contrazis@
@contrast@|@contrast@
@control@|@stăpîni@
@conversation@|@conversaţie@
@cook@|@coace, găti@
@coolness@|@răcoare@
@copper@|@aramă@
@copy@|@copie, exemplar@
@cork@|@dop@
@corn@|@porumb@
@corner@|@colţ@
@corpse@|@leş@
@correct@|@corect@
@corridor@|@coridor@
@coruption@|@depravare@
@costs@|@costă@
@cotton wool@|@vată@
@cough@|@tuşi@
@cough syrup@|@sirop de tuse@
@council@|@consiliu@
@count@|@număra@
@count on@|@conta pe@
@country@|@ţară@
@county@|@judeţ@
@courage@|@curaj@
@cousin@|@văr@
@cover@|@acoperi, tacîm@
@cover over@|@înveli@
@covered@|@acoperit@
@cow@|@vacă@
@coward@|@laş@
@crane@|@cocor@
@cream@|@cremă@
@create@|@crea@
@crested@|@moţat@
@crew@|@echipaj@
@cried@|@plans@
@criminal@|@scelerat@
@cripple@|@schilod@
@crisis@|@criză@
@criticism@|@critică@
@cross@|@cruce, traversa@
@crowd@|@droiae, gloată@
@crowded@|@aglomerat@
@crucify@|@răstigni@
@cruel@|@crud@
@cruelty@|@cruzime@
@crumple@|@mototoli@
@crush@|@zdrobi@
@crushed garlic@|@mujdei@
@cry@|@plînge@
@cube@|@cub@
@cuckoo@|@cuc@
@cucumber@|@castravete@
@cuff-link@|@buton@
@cultivate@|@cultiva@
@cultural@|@cultural@
@culture@|@cultură@
@cup@|@ceaşcă@
@cupboard@|@cămară@
@curb@|@bordură@
@curl@|@bucla, buclă@
@current@|@actual, curent@
@curse@|@blestema, drăcui@
@custom@|@obicei@
@customs@|@moravuri@
@customs control@|@vamă@
@customs officer@|@vameş@
@cut@|@tăia@
@Czech@|@ceh@
@Czech Republic@|@Cehia@
@daily@|@zilnic@
@damage@|@strica@
@damn@|@la naiba@
@damp@|@umed@
@danger@|@pericol, primejdie@
@Danube@|@Dunărea@
@dare@|@îndrăzni@
@dark@|@beznă, întunecat@
@darken@|@întuneca@
@dative@|@dativ@
@daughter@|@fiică@
@daughter-in-law@|@noră@
@dawn@|@auroră@
@day@|@zi, ziuă@
@day after tomorrow@|@poimîine@
@day before yesterday@|@alaltăieri@
@days@|@zile@
@dead@|@mort@
@deaf@|@surd@
@dealer@|@negustor@
@dear@|@drag@
@death@|@moarte@
@decadence@|@decădere@
@deceitful@|@mincinos@
@December@|@Decembrie@
@decide@|@decide, hotărî, se hotărî@
@decided@|@decis@
@decision@|@hotărîre@
@deck chair@|@şezlong@
@declare@|@declara@
@decree@|@decret@
@deed@|@faptă@
@deep@|@adînc@
@defeat@|@birui, înfrînge, învinge@
@defeated@|@înfrînt, învins@
@defect@|@cusur, defect@
@defend@|@apăra@
@degradation@|@înjosire@
@delay@|@intîrziere@
@delicate@|@delicat@
@delicatessen@|@delicatesă@
@delta@|@deltă@
@demolish@|@dărîma, demola@
@demonstration@|@demonstraţie@
@demonstrative@|@demonstrativ@
@denigrate@|@denigra@
@Denmark@|@Danemarca@
@denote@|@denota@
@denounce@|@denunţa@
@denouncer@|@denunţător@
@density@|@densitate@
@dental@|@dentar@
@dentist@|@dentist@
@deny@|@dezice@
@departure@|@plecare@
@depend on@|@depinde de@
@dependence@|@dependenţă@
@dependent@|@dependent@
@deport@|@deporta@
@deposit@|@depune@
@deposited@|@depus@
@depot@|@depou@
@depraved@|@depravat@
@depreciate@|@deprecia@
@depress@|@deprima@
@depth@|@adîncime@
@describe@|@descrie@
@described@|@descris@
@desert@|@dezerta, pustiu@
@deserter@|@dezertor@
@desertion@|@dezertare@
@deserve@|@merita@
@dessert@|@desert@
@destroy@|@distruge@
@destroyed@|@distrus@
@detail@|@amănunt@
@detest@|@detesta@
@detour@|@ocol@
@develop@|@dezvolta@
@development@|@dezvoltare@
@deviation@|@abatere@
@device@|@aparat@
@devil@|@diavol, drac@
@dew@|@rouă@
@dial a number@|@face un număr@
@dialogue@|@dialog@
@diary@|@agendă@
@dictionary@|@dicţionar@
@die@|@muri@
@die of hunger@|@muri de foame@
@diesel oil@|@motorină@
@diet@|@regim@
@difference@|@deosebire, diferenţă@
@difficulty@|@dificultate@
@dig@|@dezgropa, săpa@
@dignity@|@demnitate@
@diminuation@|@scădere@
@dining room@|@sufragerie@
@dinner party@|@dineu@
@dip@|@înmuia, muia@
@diploma@|@diplomă@
@diplomat@|@diplomat@
@direct@|@direct@
@direction@|@direcţie@
@dirt@|@gunoi@
@dirty@|@murdar@
@disappear@|@dispărea@
@disappeared@|@dispărut@
@discord@|@dezbinare, discordie@
@discover@|@descoperi@
@discrete@|@discret@
@discuss@|@discuta@
@discussion@|@discuţie@
@disentangle@|@descurca@
@disgust@|@dezgusta, greaţă@
@disintegration@|@dezintegrare@
@dismantle@|@demonta@
@disobedient@|@neascultätor@
@displace@|@deplasa@
@distance@|@depărtare, distanţă@
@distant@|@depărtat, îndepărtat@
@distinguish@|@deosebi, distinge@
@distinguished@|@distins@
@distort@|@denatura, răstălmăci@
@ditch@|@groapă, şanţ@
@divide@|@divide, împărţi@
@dizzy@|@buimac@
@do@|@face@
@do justice@|@face dreptate@
@do you speak Romanian@|@vorbiţi româneşte@
@doctor@|@doctor, medic@
@document@|@document@
@dog@|@cîine@
@doll@|@păpuşă@
@dollar@|@dolar@
@domestic@|@casnic@
@done@|@făcut@
@door@|@uşă@
@double@|@dubla, dublu@
@doubt@|@dubiu, îndoială, se îndoi@
@doubtful@|@dubios@
@dough@|@aluat@
@doughnut@|@gogoaşă@
@downcast@|@amărît@
@downstairs@|@la parter@
@doze@|@aţipi@
@drain@|@drena@
@draw@|@nul@
@drawing@|@desen@
@drawing room@|@salon@
@dread@|@spaimă@
@dream@|@visa@
@dregs of society@|@drojdia societăţii@
@dress@|@îmbrăca, pansa@
@dressing@|@pansament@
@dressing gown@|@halat@
@dressing table@|@toaletă@
@drilling@|@foraj@
@drink@|@băutură, bea@
@drive@|@conduce@
@driven@|@condus@
@driver@|@şofer@
@driving licence@|@permis de conducere@
@drop@|@lepăda, pica, picătură, strop@
@drown@|@îneca@
@drug@|@drog@
@drunk@|@băut@
@dry@|@sec, usca, uscat@
@duck@|@raţă@
@due to@|@datorită@
@dumb@|@mut@
@during@|@in timpul@
@during the day@|@ziua@
@dust@|@praf@
@duty@|@datorie@
@dynamic@|@dinamic@
@dynamics@|@dinamică@
@dynamite@|@dinamită@
@dynasty@|@dinastie@
@each@|@fiecare@
@eagle@|@vultur@
@ear@|@ureche@
@early@|@devreme@
@earn@|@cîştiga@
@earth@|@pămînt@
@earthquake@|@cutremur@
@easily@|@lesne@
@easily frightened@|@sperios@
@east@|@est, răsărit@
@Easter@|@Paşti@
@easy@|@lesnicios@
@eat@|@mînca@
@echo@|@ecou@
@edge@|@margine, muchie@
@edible oil@|@untdelemn@
@edition@|@ediţie@
@editorial@|@articol de fond@
@education@|@învăţămînt@
@effect@|@efect@
@effort@|@efort@
@egg@|@ou@
@Egypt@|@Egipt@
@eight@|@opt@
@eight hundred@|@opt sute@
@eighteen@|@optsprezece@
@eighteenth@|@optsprezecea, optsprezecelea@
@eighth@|@al optulea, opta, optulea@
@eightieth@|@optzecea, optzecilea@
@eighty@|@optzeci@
@either... or@|@ori - ori, sau... sau@
@either... or (clauses)@|@fie... fie@
@elbow@|@cot@
@electric plug@|@ştecăr@
@electric point@|@priză@
@electric ring@|@reşou@
@electrician@|@electrician@
@elegant@|@elegant, şic@
@elegiac folksong@|@doină@
@element@|@element@
@eleven@|@unsprezece@
@eleventh@|@unsprezecea, unsprezecelea@
@elucidate@|@lămuri@
@embassy@|@ambasadă@
@embrace@|@îmbrăţişa@
@embroidered peasant blouse@|@ie@
@emigrate@|@emigra@
@emperor@|@împărat@
@empire@|@imperiu@
@employee@|@salariat@
@empty@|@gol, goli@
@enchant@|@fermeca@
@encourage@|@încuraja@
@end@|@capăt, muc, sfîrşit@
@endure@|@păţi@
@enemy@|@duşman, inamic@
@energy@|@energie@
@engine@|@motor@
@engineer@|@inginer@
@England@|@Anglia@
@English@|@englez, englezesc@
@Englishwoman@|@englezoaică@
@engrave@|@grava@
@enjoy oneself@|@se distra@
@enlist@|@înrola@
@enormous@|@enorm@
@enough@|@destul@
@enrich@|@îmbogăti@
@enrol@|@înscrie, se înscrie@
@enrolled@|@înscris@
@enrolment@|@înscriere@
@enslave@|@înrobi@
@enslavement@|@înrobire@
@enslaving@|@înrobitor@
@enter@|@intra@
@enterprise@|@întreprindere@
@entrance@|@intrare@
@entrust@|@încredinţa@
@envelop@|@învălui@
@envelope@|@plic@
@epoch@|@epocă@
@equality@|@egalitate@
@equally@|@deopotrivă@
@equilateral@|@echilateral@
@equilibrium@|@echilibru@
@equinox@|@echinocţiu@
@equip@|@echipa@
@equipment@|@echipament@
@era@|@eră@
@escape@|@evada, scăpa, scăpare@
@especially@|@îndeosebi, mai ales@
@establish@|@ínfiinţa, stabili@
@estate@|@moşie@
@esteemed@|@stimat@
@eternal@|@veşnic@
@Europe@|@Europa@
@European Union@|@Uniunea Europeană@
@even@|@chiar@
@evening@|@seară@
@event@|@eveniment@
@everywhere@|@pretutindeni@
@everzbody@|@toată lumea@
@exact@|@exact@
@exactly@|@fix, tocmai@
@examination@|@examen@
@examine@|@cerceta@
@example@|@exemplu@
@excellent@|@excelent@
@exchange@|@schimb@
@excited@|@emoţionat@
@excitement@|@emoţie@
@excursion@|@excursie@
@excuse@|@scuză@
@exercise@|@exerciţiu@
@exhaust@|@istovi@
@exhausted@|@istovit@
@exhausting@|@istovitor@
@exit@|@ieşire@
@expand@|@se lărgi@
@expatiation@|@ispăşire@
@experience@|@experienţă@
@explain@|@explica@
@expression@|@expresie@
@exterior@|@exterior@
@extinguished@|@stins@
@eye@|@ochi@
@eyebrow@|@sprînceană@
@eyelash@|@geană@
@face@|@faţă@
@fact@|@fapt@
@factory@|@fabrică@
@faculty@|@facultate@
@fail@|@da greş@
@faint@|@leşina@
@fair@|@blond@
@fairly well@|@binişor@
@fall@|@cădea@
@fall asleep@|@adormi@
@fall ill@|@se îmbolnăvi@
@falling snow@|@ninsoare@
@fame@|@celebritate, faimă@
@family@|@familie@
@famous@|@celebru, renumit@
@far@|@departe@
@fashion@|@modă@
@fast train@|@accelerat@
@fat@|@gras, grăsime@
@fate@|@soartă@
@father@|@tată@
@Father Christmas@|@Moş Crăciun@
@father in law@|@socru@
@fatherland@|@patrie@
@faultlessly@|@fără greş@
@favourable@|@de bun augur@
@fear@|@frică, groază, se teme, teamă@
@feared@|@temut@
@feather@|@pană@
@February@|@Februarie@
@feed@|@hrăni@
@feel@|@se simţi, simţi@
@feeling@|@sentiment, simţ@
@female civil servant@|@funcţionară@
@female cook@|@bucătăreasă@
@female doctor@|@doctoriţă@
@female pharmacist@|@farmacistă@
@female student@|@studentă@
@female worker@|@muncitoare@
@feminine@|@feminin@
@fence@|@gard@
@fern@|@ferigă@
@fertile@|@fertil@
@few@|@puţini@
@fiance@|@logodnic@
@fiancee@|@logodnică@
@field@|@cîmp, lan@
@fifteen@|@cincisprezece@
@fifteenth@|@cincisprezecea, cincisprezecelea@
@fifth@|@al cincilea, cincea, cincilea, cincime@
@fiftieth@|@cincizecea, cincizecilea@
@fifty@|@cincizeci@
@fig@|@smochină@
@fight@|@luptă, se lupta@
@figure@|@cifră@
@fill in@|@completa@
@film@|@film@
@filtration@|@filtrare@
@find@|@afla, găsi@
@fine@|@foc@
@finger@|@deget@
@finish@|@termina@
@Finland@|@Finlanda@
@fir tree@|@brad@
@fireman@|@pompier@
@fireplace@|@şemineu@
@firm@|@firmă@
@first@|@dintîi, întîia, întîiul, prim, prima, primul, una@
@first.@|@intîi@
@fish@|@peşte@
@fist@|@pumn@
@fit into@|@încăpea@
@fitted into@|@încăput@
@fitting@|@cuvenit@
@five@|@cinci@
@five hundred@|@cinci sute@
@flag@|@steag@
@flake@|@fulg@
@flame@|@flacără@
@flat@|@apartament@
@flatter@|@linguşi, măguli@
@flattering@|@linguşitor@
@flattery@|@linguşire@
@flax@|@in@
@flea@|@purice@
@flee .@|@fugi@
@flesh@|@carne@
@flight@|@zbor@
@float@|@pluti@
@flood@|@inunda@
@floor@|@duşumea, etaj, podea@
@flour@|@făină@
@flourish@|@înflori@
@flourishing@|@înfloritor@
@flow@|@curge@
@flower@|@floare@
@fly@|@muscă, zbura@
@foam@|@spumă, spumega@
@fog@|@ceaţă@
@fold@|@îndoi@
@folder@|@dosar@
@follow@|@urma, urmări@
@following@|@următor@
@food@|@aliment, bucate, hrană, mîncare@
@fool@|@bufon@
@football@|@fotbal@
@for@|@pentru@
@for a long time@|@de mult@
@for sale@|@de vînzare@
@for the time being@|@deocamdată@
@forbid@|@interzice@
@forbidden@|@interzis, oprit@
@force@|@forţă, sili@
@ford@|@vad@
@forehead@|@frunte@
@foreign@|@extern, străin@
@foreman@|@meşter@
@forest@|@pădure@
@forget@|@uita@
@forgive@|@ierta@
@fork@|@furculiţă@
@form@|@alcătui, figură, forma, formă, formular@
@formal@|@formal@
@former@|@de demult, fost@
@formerly@|@odinioară@
@fortieth@|@patruzecea, patruzecilea@
@forty@|@patruzeci@
