@English@|@Hawaiian@
@airline company@|@hui mokulele, hui mokulele@
@airplane@|@mokulele@
@airport@|@kahua ho`olulu mokulele, kahua mokulele, kahua mokulele@
@Airport@|@kahua ho`olulu mokulele@
@alas@|@aloha`ino!, auê, aue!@
@alas!@|@auë@
@ale@|@pia@
@alert@|@maka`ala, miki`ala@
@algae@|@limu@
@Algaroba tree@|@kiawe@
@alike@|@like (pu)@
@alive@|@ola@
@all@|@a pau, apau, apau, nâ mea a pau, pau, pauloa@
@All@|@ná pea ápau@
@all over again@|@hana hou@
@All right!@|@`Ololaiki!@
@almost@|@kokoke, kokoke@
@Aloha@|@Ke Aloha@
@alphabet@|@hua palapala, pi apa@
@alright@|@hiki (no), hiki [no], pololei, pololei@
@also@|@kekahi@
@always@|@i hea, i`ane`i, ma`ane`i@
@amen@|@`amene, `âmene@
@America@|@`Amelika@
@among@|@i waena, loko, mawaena@
@amuse@|@ho`okolohe, ho`ole`ale`a@
@an@|@he@
@anchor@|@heleuma@
@ancient@|@kahiko@
@and@|@a, a [before verbs], a me, a me [before nouns]@
@and others@|@mâ@
@and then I ate fern roots@|@a mahope ai au i ka hapuu@
@And you?@|@A `o `oe?@
@anew@|@hana hou@
@angel@|@`anela, `ânela@
@anger@|@huhu, inaina, ukiuki@
@angry@|@huhû, huhü@
@animal@|@holoholona, holoholona@
@anniversary@|@la ho`omano`o, piha makahiki@
@annoint@|@poni@
@announce@|@ho`ike, kukala@
@annoy@|@ho`okolohe, ho`onaukiuki@
@Annual Moloka'i to O'ahu race@|@Moloka'i Hoe@
@another@|@kekahi@
@ant@|@naonao@
@anthem@|@mele@
@antique@|@kahiko@
@anus@|@`amo, 'okole@
@Any kind of protuberance@|@pu'u@
@anything@|@ka mea e loa`a ana@
@apart@|@ka`awale@
@apartment@|@ke`ena noho@
@apiece@|@pakahi@
@apologize@|@mihi, mimihi@
@apostle@|@luna`olelo@
@appear@|@hiki, puka@
@appellation@|@inoa@
@appetite@|@ono ka`ai@
@Appetizer@|@püpü@
@applause@|@pa`ipa`ilima@
@apple@|@`apala, 'äpala, poma@
@appropriate@|@kûpono, küpono@
@April@|@`apelila, `apelila@
@arch@|@papi`o, pi`o@
@Are you not ashamed?@|@Aohe ou hilahila?@
@area close to beach@|@lihikai@
@Area west of Honolulu@|@'ewa@
@arena@|@kahua, pa@
@argue@|@ho`opa`apa`a, paio@
@arithmetic@|@huina helu@
@arm@|@lima, lima@
@arm [anat.]@|@lima@
@armpit (axilla)@|@po`ae`ae@
@army@|@kaua, pu`ali, pu`ulu@
@around@|@kela wahi keia wahi, puni@
@arrange@|@ho`onoho(noho)@
@arrest@|@hopu(na)@
@Arrival@|@hó`ea@
@arrive@|@hiki@
@arrow@|@pua@
@as@|@like me, me(he)@
@as good `opihi@|@kakani@
@ascend@|@pi`i@
@ascent@|@alapi`i@
@ash@|@lehu, lehu, pa`u ahi@
@ashamed@|@hilahila@
@aside@|@ma ka`ao`ao@
@ask@|@nînau@
@ask (question)@|@ninau, ui@
@ask (request)@|@no`i, nonoi@
@ask a question@|@nînau@
@asleep@|@hiamoe@
@ass@|@`elemu@
@assemble@|@ho`ili`ili@
@assistance@|@kokua, kokua@
@association@|@hui@
@at@|@i, i, i, i(a), ia, ma, ma, mai@
@athletic@|@`alapa@
@atmosphere@|@lewa@
@attach; imitate@|@ho`opili@
@attack@|@ho`ouka kaua, po`ipu, pu`e@
@attempt@|@ho`a`o@
@attend@|@malama@
@attention@|@maliu, nana@
@attentive@|@ho`olohe, ho`olono, lohe pone@
@attractive (looking)@|@hie, makahehi@
@audience@|@anaina@
@augment@|@ho`onui@
@August@|@`Aukake, `aukake@
@aunt@|@`anake, `anakê, Makuahine, makuahine@
@aunty@|@`anakê@
@Australia@|@`Aukekulelia@
@authentic@|@`Oia`i`o@
@author@|@kakau mo`olelo, mea kakua@
@automobile@|@ka`a@
@autumn@|@hä`ule lau@
@avenue@|@alanui, alanui akea@
@average@|@waena, waena@
@avoid@|@(ho)`alo@
@await@|@kali@
@awake@|@ala, ala, makalahi@
@away@|@aku@
@awful@|@weliweli@
@awhile@|@manawa pokole@
@awkward@|@hemahema@
@awkward (in doing something)@|@hemahema@
@axe@|@ko'i@
@axilla [anat.]@|@po`ae`ae@
@baby@|@kama, keiki, pepe, pêpê@
@bachelor@|@kanaka i male `ole, wahine `ole@
@back@|@kua@
@back (anatomy)@|@kua@
@backbone@|@iwikuamo`o, iwikuamo`o@
@backpack@|@`awe[`awe]@
@backward@|@i hope@
@bacon@|@`i`o pua`a uahi, pêkona@
@bad@|@`ino, `ino, kolohe, maika`i `ole, pilau@
@Bad@|@Maika`i `ole@
@bad smelling@|@hohono@
@bad-smelling@|@hohono@
@bag@|@`eke[`eke]@
@baggage@|@`ope`ope, ukana, ukana@
@baggage)@|@halihali@
@bairn@|@kamali`i@
@bake@|@`oma@
@Baked shredded meat@|@kalua@
@Balance@|@Ka Lôkahi@
@balcony@|@lanai@
@ball (for games)@|@kinipôpô@
@ball (game)@|@kinipöpö@
@balloonfish@|@`o`opu hue@
@banana@|@mai`a@
@bang (explosion)@|@poha@
@Bank@|@panaká@
@bark (tree)@|@`ili [la`au]@
@bark at@|@`aoa@
@barley@|@palaoa huluhulu@
@base@|@kumu@
@base location@|@kahua@
@bask in the sun@|@`ôlala@
@bass fish@|@`o`opu haole@
@bathe@|@`au`au@
@batter (cooking)@|@mea `ono mo`a ole@
@battery (electric)@|@pakali@
@bay@|@hana, hono@
@be alive@|@ola@
@be careful of@|@akahele@
@be on top of something; position@|@kau@
@be willing to@|@makemake@
@beach@|@kahakai, kahakai@
@beacon@|@lama kuhikuhi@
@beak@|@nuku@
@beam@|@kukuna, kukuna@
@beans@|@ka pea@
@bear@|@hanua, pea@
@bear (ursine)@|@pea@
@beard@|@`umi`umi, 'umi'umi@
@beast@|@holoholona@
@beat@|@pepehi@
@beautiful@|@maika`i, na`au, nani, nani, u` i, u`i@
@Beautiful forest@|@nahele nani@
@bed@|@moe@
@bedroom@|@lumi moe@
@bedsheet@|@uhi pela@
@bee@|@meli@
@beef@|@`i`o@
@Beef@|@`i`o pipi@
@Beef jerky@|@pipi kaula@
@beer@|@bia@
@Beer@|@pia@
@before@|@mua@
@beginning@|@kumu@
@behind@|@hope, hope@
@belly@|@`ôpû@
@belonging to@|@kä, na, no@
@beloved@|@milimili@
@below@|@iho, lalo@
@bend down@|@kûlou@
@beneath@|@lalo@
@beside@|@mai@
@best@|@`oi [loa], maika`i a`e@
@better@|@`oi@
@between@|@loko@
@Beverage@|@mea inu@
@beyond@|@`ô aku@
@bible@|@paipala@
@bicycle@|@paikikala, paikikala, paikikalo@
@big@|@[nu]nui, loa, ma`aka, nui@
@bill (currency)@|@pila@
@bird@|@manu, manu@
@bird house@|@hale manu@
@birthday@|@la hanau@
@Birthday@|@lá hánau@
@birthplace@|@`âinahânau, one hânau@
@birthplace (poetic)@|@one hänau@
@bitter@|@mülea@
@black@|@`ele`ele@
@Black@|@`Ele`ele@
@Black coral@|@`êkaha kû moana@
@black eye@|@maka uli@
@Black eye@|@maka uli, uli ka maka@
@Black magic@|@`anâ`anâ@
@Black market@|@makeke mawaho o ke kânâwai@
@Black Sea@|@Kai `ele`ele@
@Black smith@|@ku`i hao@
@Black-and-blue skin@|@uli mâhole ka ili@
@Blackberry@|@ôhelo `ele`ele@
@blackboard@|@papa `ele`ele@
@Blackboard@|@papa `ele`ele@
@Blackout@|@ho`o pôuliuli@
@blame@|@`ahewa@
@blank@|@kea@
@blanket@|@kapa moe@
@blanket)@|@häli`i@
@bleach@|@ho`oke`oke`o@
@bleed@|@kaha koko@
@bless@|@ho`omaika`i@
@blessing@|@pule@
@blind@|@makapo, makapô@
@blink@|@`i`imo@
@blood@|@koko@
@bloom@|@pua@
@blue@|@polu, uli, uli@
@Blue@|@Polû, Uliuli@
@Blue eyes@|@maka polû@
@Blue jeans@|@`ahina@
@Bluebloods@|@ali`I Uliuli@
@blushing@|@`ula, mea@
@board@|@`e`e@
@board (council)@|@ke`ena@
@board (lumber)@|@papa [la`au]@
@boast@|@ha`anui, kaena@
@boat@|@moku, moku@
@body@|@kino, kino@
@body hair@|@hulu, hulu[hulu], huluhulu@
@body surfing@|@he`e umauma@
@boil@|@lapalapa, paila@
@boil (as cooking method)@|@kupa@
@bold@|@[maka] koa, maha`oi, wiwo`ole@
@bomb@|@poka pahu@
@bon appetit@|@E 'ai ka-kou (pl), E 'ai ka-ua (dl)@
@bone@|@iwi, iwi@
@bonefish@|@`o`io@
@book@|@puke, puke@
@bookstore@|@hale hu`ai puke@
@boring@|@manakâ@
@boss@|@ali`i@
@bottle@|@`ômole@
@bottom@|@kumu@
@bow@|@kunou@
@bow (kneel)@|@kulou@
@bow (of ship)@|@ihu wa`a@
@bow (ship)@|@ihu@
@bow (weapon)@|@pana [`iole]@
@bowl@|@`umeke, ipu, pola@
@bowling@|@[`ulu] maika@
@box@|@kâ@
@boy@|@boe, keiki, keiki, keiki käne, keikikâne@
@boy's older brother@|@kaikua`ana@
@boy's sister@|@kaikuahine@
@boy's younger brother@|@kaikaina@
@bracelet@|@apolima, apolima@
@brain@|@lolo [po`o]@
@branch@|@lâlâ@
@bread@|@pelena@
@Bread@|@palaoa@
@breadfruit@|@`ulu@
@Breadfruit@|@'ulu@
@break@|@po`i@
@Breakfast@|@`aina kakahiaka@
@breast@|@u, ü, waiu@
@breath@|@aho, hanu@
@bridge@|@ua po@
@Bridge@|@uapo@
@bright@|@kônane@
@brilliant@|@kônane@
@bring@|@lawe mai@
@bring shore@|@ho`opae@
@broad@|@laulä, laulä@
@broken (to bits as a shipwreck)@|@nahaha@
@brother@|@kaikua`ana@
@brother (of a female)@|@[kai]kunane@
@brother (older of a male)@|@kaikua`ana@
@brother (younger sibling of same sex)@|@[kai]kaina@
@brother of a sister@|@kaikuanâne@
@brother-in-law@|@kaiko`eke@
@brow@|@lae@
@brow; cape headland@|@lae@
@brown@|@sea@
@Brown@|@Palaunu@
@Brown Hawaiian skin is beauty@|@Nani ka `ili `ula`ula Hawai`i@
@brush@|@palaki@
@bubble@|@hu`a@
@bucket@|@pakeke, pâkeke@
@bud@|@`apu`u, liko@
@bug@|@mu, pu`u@
@bugle@|@pu@
@build@|@kukulu, kûkulu@
@building@|@hale, hale@
@bull@|@pipi kane, pipi käne, pipi laho@
@bullet@|@pohaku waiki, poka@
@bump@|@`anapu`u, pu`u@
@burglary@|@wawahi hale@
@bury@|@kanu, kanu@
@Bus@|@ka`a `óhua@
@Bus station@|@ka`aahi hale ho`olulu@
@bush@|@la`au li`ili`i@
@but@|@akâ@
@But no hole@|@`A`ole ona puka@
@butter@|@[waiu]paka, waiûpaka@
@butterfly@|@pulelehua, pulelehua@
@buttocks@|@`elemu, `elemu, `okole, lemu, papakole, papakole@
@Buttocks@|@'ökole@
@button@|@pihi, pihi@
@buy@|@kû`ai aku, kû`ai mai@
@by@|@a, mai, o@
@by her@|@näna@
@by him@|@näna@
@by it@|@näna@
@bye@|@A hui hou@
@cabbage@|@kapiki, kâpiki, käpiki@
@cabinet@|@[pahu] waihona@
@cactus@|@panini, papipi@
@cafe@|@hale `aina@
@cafeteria@|@hale `aina@
@cage@|@pahu holoholona, pahu manu@
@cake@|@mea `ono@
@calico@|@kalakoa@
@call out@|@kâhea, kähea@
@caller@|@malihini@
@calm@|@mâlie@
@camel@|@kämelo@
@can@|@kini, kini@
@can opener@|@mea wehe kini@
@canal@|@'auwai@
@cancer stick@|@kikaliki@
@candle@|@ihoiho, ihoiho [kukui]@
@candlenut@|@kukui@
@candlenut tree@|@kukui@
@candy@|@kanakê@
@cannery@|@hale ho`okomo kini@
@canoe@|@wa`a, wa'a@
@cap@|@kapu@
@cape headland; brow@|@lae@
@capital city@|@Honolulu@
@captain@|@kâpena, käpena@
@car@|@ka`a, ka`a@
@caramel@|@kalamela@
@carbon paper (copy)@|@pepa kope@
@care@|@malama@
@care about@|@mâlama@
@caretaker@|@malama@
@Caring for one another@|@Ka Mâlama@
@carpetbagger@|@kôlea@
@carried belongings@|@ukana@
@carry@|@halihali, halihali, häpai@
@case (container)@|@pahu, poho, wahi@
@case (court)@|@hihia@
@cast ashore@|@ho`opae@
@cat@|@popoki, pôpoki@
@catalog@|@puke nana mea ku`ai@
@catch@|@hopu@
@catepillar@|@[`e]nuhe, pe`elua@
@caterpillar@|@`enuhe@
@Catholic@|@kakolika@
@cattle@|@pipi@
@Caucasian@|@haole@
@caucasian (esp. American)@|@haole@
@cause@|@kumu@
@cave@|@ana@
@cavern@|@ana@
@cease@|@ho`opau@
@ceiling@|@kaupaku@
@celebrate@|@ho`olaule`a@
@celery@|@kelaki@
@Cellana exarata (blackfoot limpet snail)@|@`opihi@
@cement@|@kimeki@
@cemetery@|@[pa] ilina@
@cent@|@keneka@
@center@|@kikowaena, waena, waena[konu]@
@centipede@|@kanapî, kanapï@
@ceremony@|@hana ho`ohanohano@
@certain (particular)@|@kekahi@
@certain (positive)@|@maopopo loa@
@Certain species of crevalle@|@ulua@
@chain@|@kaula, kaula hao@
@chair@|@noho, noho@
@chairman@|@luna ho`omalu@
@chalk@|@poho, poho@
@challenge@|@`a`a@
@champion@|@mea lanakila@
@chance@|@manawa@
@change (transform)@|@ho`olilo, loli@
@changed@|@loli@
@chant@|@mele@
@chant (not danced to) esp. with prolonged phrases@|@oli@
@chapter@|@mokuna@
@charcoal@|@nânahu@
@charred@|@pâpa`a@
@cheap@|@emi, emi@
@check@|@pila kiko`o@
@cheek@|@papalina, papälina@
@cheers!@|@Okole Maluna!@
@Cheers!@|@Hipahipa!@
@cheese@|@waiüpa'a@
@cheque (bank)@|@pila kiko`o@
@chest@|@umauma@
@chest (anatomy)@|@houpo, umauma@
@chest (container)@|@holowa`a@
@chewing gum@|@kamu, kamu@
@chicken@|@moa@
@chicken egg@|@huamoa@
@chicken skin@|@Local version of "goose bumps"@
@Chief@|@ali'i@
@child@|@kama, kama, kamali`i@
@Child@|@keiki@
@children@|@kamali`i, kamali`i, keiki@
@chili pepper@|@nî`oi@
@chili pepper water@|@kai nïoi@
@chilly@|@hu`ihu`i@
@chin@|@`auwae, 'auwae@
@China@|@[`aina] pake@
@Chinese@|@Pake, Páké@
@Chinese New Year@|@konohi@
@Chinese noodles@|@mein@
@Chinese system of meditative@|@tai chi, tai chi chuan@
@chocolate@|@kokoleka, kokoleka@
@Christ@|@Kristo@
@Christ the Lord is born@|@Hanau `ia Kristo ka haku@
@Christmas@|@Kalikimaka, Kalikimaka@
@church@|@hale pule, halepule@
@Church@|@hale pule@
@cigar@|@kika@
@cigarette@|@kikaliki, puhi paka@
@cinnamon@|@kinamona@
@circle@|@apo, po`ai, pohai@
@circumcise@|@`oki, kahe [ule], poepoe@
@citizen@|@kupa, maka`ainana@
@city@|@kulanakauhale, kûlanakauhale@
@claim@|@palapala ho`opi`i@
@clam@|@`olepe, papaua@
@clan@|@`ohana nui@
@clap@|@pa`i[pa`i]@
@class@|@papa, papa@
@classify@|@ho`onohonoho@
@classmate@|@hoa kula@
@claw@|@miki`ao@
@clay@|@palolo@
@clean@|@ho`oma`ema`e, ma`ema`e, ma`ema`e@
@clean something@|@ho`oma`ema`e@
@Cleanliness@|@Ka Ma`ema`e@
@cleanse@|@ho`oma`ema`e@
@clear@|@kea, maopopo@
@cleverly done@|@no`eau@
@Cliff@|@pali@
@clock@|@uaki, uaki@
@close (proximity)@|@kokoke@
@Closed@|@pa`a@
@clothes@|@lole@
@clothing@|@`a`ahu@
@cloud@|@ao@
@clown@|@kalaunu@
@club@|@hui@
@cluster@|@`âhui@
@coal@|@lanahu, länahu@
@coals (to roast over)@|@kô`ala@
@coat@|@kuka, kuka@
@cock@|@moa kane@
@cocoa@|@koko, kôkô@
@coconut@|@niu, niu@
@coconut grater@|@mea wa`uniu@
@coconut husk@|@pulu@
@coconut milk@|@wainiu@
@coconut pudding@|@haupia, haupia@
@coffee@|@kope@
@Coffee@|@kope@
@cold@|@anu, anuanu, anuanu@
@cold (not hot)@|@anu[anu], hu`ihu`i, ko`eko`e@
@collect@|@ho`ili`ili@
@color@|@kala, kala, waiho`olu`u, waiho`olu`u@
@Colors@|@Nâ Waiho`olu`u@
@come@|@hele, hele mai@
@come back@|@ho`i mai@
@comfortable@|@`Olu`Olu@
@command@|@kauoha, kauoha@
@company@|@malihini@
@compare@|@ho`ohâlike@
@Competitiveness@|@Ka Ho`okûkû@
@completed@|@pau@
@compose@|@haku@
@computer@|@kamipiula, lolo uila@
@conceited@|@ho`okano@
@conch shell@|@`ole, pu@
@confusing@|@pohihihi@
@constant@|@mau@
@container@|@`umeke, ipu, kâ@
@continual@|@mau@
@contract (agreement)@|@kepa@
@converse@|@`olelo, ha`iha`i, kama`ilio, kama`ilio@
@cook@|@ho`omo`a, kuke@
@cook on hot coals@|@pûlehu@
@cooked@|@mo`a@
@cookie@|@kuki@
@cool@|@anu@
@cool after being hot@|@ma`alili@
@Cooperativeness@|@Ka Laulima@
@copper@|@keleawe@
@coral pieces@|@`âko`ako`a@
@cord@|@kaula@
@corner (outside point)@|@kihi@
@correct@|@'oiä'i'o, pololei@
@Correct@|@pono@
@cotton@|@pulu@
@country@|@aupuni@
@Courage@|@Ke Koa@
@court (law)@|@`aha@
@cousin@|@hoahanau, hoahânau, hoahänau, kaukini@
@cow@|@pipi, pipi wahine@
@Cowboy@|@Paniolo@
@cowrie shell@|@leho@
@cracked@|@makili, naha, naka@
@crater@|@lua@
@crawl@|@kolo, kolo@
@crazy@|@pupule@
@cream@|@kalima, kalima@
@crooked@|@kapakahi, kapakahi@
@crow@|@'alalä@
@cruel@|@makona@
@crunchy@|@kakani, kakani@
@cry@|@uê@
@cry (tears)@|@uë@
@cuckoo@|@kûkû@
@cucumber@|@ka`ukama, ka`ukama@
@cultivate@|@mahi@
@cunning@|@ma`alea@
@cup@|@ipu, pola@
@cupboard@|@pahu pa@
@cured@|@ola loa@
@curious@|@niele@
@current (in the sea)@|@kai@
@cut@|@`oki, moku@
@cut hala fruit@|@puahala@
@Cut off my head@|@Moku ke po`o@
@Cut off the tail@|@Moku ka hi`u@
@cut up@|@`oki`oki@
@cute@|@kiuke@
@cutworm@|@poko@
@daddy@|@pâpâ@
@dagger@|@pahoa@
@daily@|@i kela me keia la@
@dairy@|@hale `ui waiu@
@dam@|@kaupale, pani wai@
@damage@|@po`ino, poho, poho@
@damn@|@ho`ino wale, kuamuamu@
@Damn fool!@|@Kamipulu!@
@damp@|@ma`u@
@dampen@|@ho`oma`u@
@dance@|@hula[hula]@
@dance characterized by rhythmic body movements@|@hula@
@dance school@|@kula a`o hulahula@
@Dancer@|@'olapa@
@dancer (contrasted with ho`opa`a)@|@`olapa@
@dark@|@pô`ele`ele, pouli@
@darling@|@ipo@
@daudle@|@ho`olohi, loloiahili@
@daughter@|@kaikamahine@
@Daughter@|@Kaikamahine@
@daughter-in-law@|@hunona wahine@
@day@|@ao@
@Day@|@lá@
@dead@|@make, make [loa], moe lepo@
@deadline@|@kaupalena@
@deadly@|@make@
@deaf@|@[ho`o]kuli@
@deaf-mute@|@a`alolo kuli@
@deal (agreement)@|@`aelike@
@deal (apportion)@|@ha`awi, mahele@
@dear@|@dia@
@death@|@make, make loa@
@December@|@Kekemapa, kekemapa, kékémapa@
@deep@|@hohonu@
@Deep blue sea@|@kai uli@
@deep dark color@|@Uliuli, uliuli@
@deer@|@dia@
@define@|@wehewehe `ano@
@Deity (God) of agriculture@|@Lono@
@Deity (God) of healing@|@Kamakanuihaelono@
@delicate@|@lahilahi@
@delicious@|@`ono@
@Delicious@|@'ono@
@delicious!@|@He `ono!@
@deliciousness@|@`ono@
@demigod who take the shapes@|@Kamapua'a@
@den@|@ana, pûnana@
@deny@|@hö`ole@
@depart@|@waiho@
@Departure@|@he`alele@
@desert@|@wao one@
@desire@|@makemake@
@Dessert@|@mea `ai momona@
@dew@|@hau@
@diagonal@|@lala@
@diagram@|@ki`i@
@dial@|@wili@
@diamond@|@kaimana, kaimana@
@Diamond Head@|@kaimana hila, Le`ahi@
@diaper@|@kaiapa@
@diarrhea@|@[pala]hi@
@dictionary@|@puke wehewehe `olelo, puke wehewehe 'ölelo@
@die@|@make@
@different@|@`oko`a@
@difficult@|@pa`akikî@
@difficulty@|@pilikia@
@dig up@|@`eli@
@Dignity@|@Ka Hanohano@
@dillydally@|@ho`olohi, loloiahili@
@diminutive@|@iki@
@dining table@|@papa`aina@
@Dinner@|@`aina ahiahi@
@dirt@|@lepo@
@dirty@|@lepo@
@disappeared@|@nalu@
@discuss (put things in right order)@|@ho`oponopono@
@distant@|@mamao@
@divine power@|@mana@
@do (something)@|@e@
@do something@|@e@
@Do you have...@|@Ké`ai aku `oe ...?@
@Do you speak Hawaiian?@|@'Olelo 'oe 'ölelo Hawai'i?@
@Do you speak...@|@`Ólelo `oe ...?@
@doctor@|@kauka, kauka@
@dog@|@`ilio, 'ïlio@
@dolphin@|@nai`a@
@dolphin fish@|@mahimahi@
@dolphinfish@|@mahimahi@
@donkey@|@këkake@
@don't do something@|@mai@
@Don't touch me there!@|@mai p' mai ia'u ma laila!, mai p'mai ia'u ma laila@
@door@|@puka, puka [hale]@
@doorway@|@puka komo@
@dough@|@palaoa ho`owali`ia@
@Down@|@lalo@
@download@|@ho`oili@
@downstairs@|@iho@
@draft (air)@|@hihio@
@dress@|@lole@
@drink@|@inu, mea inu, meainu@
@drinking glass@|@kî`aha@
@drive a car@|@kalaiwa, kalaiwa@
@drive away@|@kipaku@
@drop@|@kulu@
@drum@|@pahu@
@dry@|@malo`o@
@duck@|@kakä, pïwai@
@duck native to Hawai'i@|@koloa@
@dull@|@kümümü, mümü@
@dull (stupid)@|@lolohi@
@dumb@|@lôlô@
@dunce@|@hepa, hupo@
@dust@|@'e'a, 'ehu@
@each@|@kela me keia mea, pakahi@
@eagle@|@'aeko@
@ear@|@pepeiao, pepeiao, pepeiao@
@early@|@hiki mua, koko, koko, mua@
@early afternoon@|@`auinalâ@
@earn@|@loa`a@
@earring@|@kulapepeiao@
@earth@|@`aina, `aina, 'aina, ao, honua, honua@
@earthquake@|@`ola`i, naueue@
@earthworm@|@ko`e, ko`e@
@easy@|@ma`alahi@
@eat@|@`ai@
@ebb@|@emi@
@eccentric@|@`ano`e@
@echo@|@kupina`i, nakulu@
@eclipse@|@pouli@
@economical@|@makauli`i, minamina@
@Eden@|@`ekena@
@edge@|@ka`e@
@edit@|@ho`oponopono@
@edition@|@pa`i ana@
@editor@|@luna ho`oponopono@
@educate@|@ho`ona`auao@
@education@|@a`o palapala@
@eel@|@kuna, puhi, puhi@
@effort@|@ho`a`o@
@egg@|@hua, hua [moa], huamoa@
@egg (chicken)@|@hua moa@
@Egg white@|@kauô ke`oke`o@
@eggplant@|@lahopipi@
@eight@|@`ewalu, [`e]walu, walu@
@eight hundred@|@`ewalu haneli@
@eighteen@|@`umi-kúmá-walu@
@eighty@|@kana-walu, kanawalu@
@eighty-one@|@kanawalu kumakahi@
@elder@|@kupuna@
@elders@|@kûpuna@
@electrical)@|@ho`ä@
@elephant@|@'elepani@
@elevator@|@`eleweka@
@eleven@|@`umi kumakahi, `umi-kúmá-kahi@
@embarrassed@|@hilahila, hilahila@
@enclosure@|@pa@
@encourage@|@paipai@
@enemy@|@hoa paio, hoa paio, hoa paio@
@energetic@|@`eleu@
@English@|@Pelekane@
@enjoy@|@nani@
@enlarge@|@ho`onui@
@enlightenment@|@malamalama@
@enough@|@lawa@
@entrails of the `opihi@|@weka@
@esteem@|@mahalo@
@etc.)@|@hea, laila@
@evening@|@ahiahi, ahiahi@
@evening meal@|@`aina ahiahi@
@Evergreen@|@uli mau Poni@
@exact@|@pono@
@Excellence@|@Ke Kela@
@exclusive)@|@makou@
@exclusively@|@wale nô@
