@English@|@Han@
@give me the baby@|@tr'enin sh-tl'ahche@
@give me the blanket@|@ts'at sh-tl'ahchu@
@give me the bullets@|@k'ahtthe' sh-tl'inle@
@give me the dog@|@lay sh-tl'ahche@
@give me the gun@|@jik'a sh-tl'intay@
@give me the moccasins@|@kentra sh-tl'inle@
@give me the paper@|@dahtl'a sh-tl'ahchu@
@give me the rock@|@tthe sh-tl'in'a@
@give me the stick@|@tat sh-tl'intay@
@give me the tea@|@lejit sh-tl'inka@
@give the water@|@chu sh-tl'inka@
@go and get the rock@|@tthe kiha@
@go and get the salt@|@lesel kiha@
@go and get the tea@|@lejit kiha@
@go away@|@an@
@good@|@hozo, nezo@
@grandmother cuts fish@|@wetso cha luk et'a@
@grass is growing@|@tl'o nohshe@
@grayling@|@srejil@
@gun@|@jik'a@
@hand me the axe@|@chi'a o@
@hand me the big knife@|@sre cho o@
@hand me the bullets@|@k'atthe' o@
@hand me the gun@|@jik'a o@
@hand me the knife@|@sre o@
@Happy New Year@|@drin cho zhit sho ahlay@
@he@|@wanjit@
@he caught three fishes@|@luk chak dhohch'ar@
@he is crying@|@etra@
@he is dancing@|@ch'odza@
@he is drinking cold water@|@chu k'at dena@
@he is drinking tea@|@lejit dena@
@he is drinking water@|@chu dena@
@he is eating@|@ch'e'al@
@he is eating dry fish@|@luk gay e'al@
@he is fine@|@wanjit hozo@
@he is going hunting@|@natazre@
@he is having fun@|@we srehonch'e@
@he is hungry@|@wezhudintsay@
@he is not hungry@|@wezhudintsay ko@
@he is packing water@|@chu doh'ay@
@he is playing@|@doghor@
@he is playing outside@|@ah'a doghor@
@he is running along@|@agak@
@he is sewing@|@a'netl'u@
@he is sitting@|@dheja@
@he is sleeping@|@dhetay@
@he is standing@|@nadhat@
@he is walking around the lake@|@man myang natejak@
@he is wearing his gloves@|@welaju cha zhit dedek@
@he looks in pocket for matches@|@dech'ahch'at kwan' kanecha@
@he made a nice fire place@|@kwan' dak'it zu' dhohtsay@
@he misses the moose@|@jejik ha'dak'a@
@he slleps under a tree@|@ts'ok tl'a dhetay@
@he wants berries@|@jek nindhan@
@he wants dry fish@|@luk gay nindhan@
@he wants salmon@|@luk cho nindhan@
@he'll make a fire with them@|@k'ar he kwan' tahtsey@
@her name is Mabel@|@wozre Mabel@
@here@|@na'@
@here is the gun@|@dazhik dik'a dhecha@
@here is the packsack@|@zhahcha zhik dhe'a@
@here is the tent@|@zhodha zhik dhe'a@
@here is the trap@|@hel zhik de'a@
@here; take it@|@na'@
@he's also wagging his tail@|@deche' cha dohta@
@he's cooking bannock@|@le oht'e@
@he's cooking something@|@itsey kak ka'dot'e@
@he's making a fire@|@kwan' nadehka'a@
@he's really happy@|@hontl'at sho nelay@
@he's really hungry@|@la wezhudintsay@
@he's really smilling@|@la dlok nahthan@
@he's stending by the shore@|@taman gha nadhat@
@he's still wearing his hat@|@tth'echa detthets'yat tade'ya@
@he's walkin' round a mountain@|@ddhalh kak natejak@
@he's walking around the creek@|@han dek natejak@
@he's walking around the hill@|@tayh kak natejak@
@he's walking around the shore@|@tamyang natejak@
@he's walking to the school@|@hatr'unohtan zho ts'a' ahal@
@he's walking to the store@|@ch'uket zho ta'a' ahal@
@he's weariing a nice toque@|@tthets'yat zu' tade'a@
@he's wearing a canvas coat@|@dahsro dek ik nadochu@
@he's wearing moose mitts@|@jejik dha bat zhit deedek@
@he's wearing moose mukluks@|@jèjik dhà kèchin zhìt dè'ìt@
@high-bush berry@|@trantthel@
@his dad is stting in the boat@|@wecha' tr'ehcho zhit dheja@
@his dad takes fish out the net@|@wecha' tehmen ts'an luk hale@
@his father has a nice hat@|@wecha' tthets'yat zu eday'@
@his father is eating bannock@|@wecha cha leht'e e'al@
@his father'll go hunting today@|@wecha' juk drin natazre@
@his grandmo has a nice scraf@|@wetso k'ont'ey zu' eday@
@his grandmo has lots of beads@|@wetso ul etla eday@
@his grandmo is nicely dressed@|@wetso hozo nawdozha@
@his grandmother is sewing@|@wetso a'netl'u@
@his granmo is making moccasins@|@wetso kentra yajit ohtsey@
@his house@|@wezho@
@his mom cuts fish@|@wenya luk et'a@
@his mother is drinking tea@|@wenya lejit denya@
@his name is ta'o@|@wozre ta'o@
@his old sister gaffes a fish@|@waje luk uk'ak@
@his packsack is lying over@|@weghel 'yat de'ya@
@hot@|@elegu@
@how about you?@|@nan yu?@
@how are they?@|@huwanjit dahonch'e?@
@how are you (pl)?@|@nekhwanjit dahonch'e?@
@how are you?@|@nanjit dahonch'e?@
@how is he?@|@wanjit dahonch'e?@
@how is it outside?@|@ah'a dahonch'e?@
@how many stars do you see?@|@san' danech'e nah'ay?@
@i@|@shanjit@
@i am a little bit sick@|@hontsul dhekts'ek@
@i am cold@|@ihdley@
@i am crying@|@ihtra@
@i am dancing@|@ch'egedza@
@i am drinking cold water@|@chu k'at eshna@
@i am drinking water@|@chu eshna@
@i am eating@|@ch'ihal@
@i am eating bannock@|@leht'e ih'al@
@i am eating dry meat@|@nelay gay ih'al@
@i am fine@|@shanjit hozo@
@i am fishing@|@yach'ar ih'yak@
@i am going to the creek@|@handek ts'a' ihshal@
@i am going to the lake@|@man ts'a' ihshal@
@i am happy@|@sho ihlay@
@i am hungry@|@shezhudintsay@
@i am not hungry@|@shezhudintsay ko@
@i am not really cold@|@hontl'at ihdley ko@
@i am packing water@|@chu dek-ay@
@i am playing@|@degeghor@
@i am running along@|@egegak@
@i am sewing@|@a'nihtl'u@
@i am sitting@|@dhija@
@i am sleeping@|@dhitay@
@i am sleepy@|@bal sh-dehla@
@i am standing@|@nihthat@
@i am tanning a hide@|@edha ihtho@
@i am tired@|@tishedak@
@i am walking along@|@ihshal@
@i don't have matches@|@kwan' ihday ko@
@i don't know@|@heshdey ko@
@i don't see any stars@|@san' nak-'ay ko@
@i don't understand language@|@hozo jenezhu ditth'ek ko@
@i don't understand you@|@ndihtth'ek ko@
@i don't want fish@|@luk nihthan ko@
@i don't want tea@|@lejit nihthan ko@
@i don't want water@|@chu nihthan ko@
@i have a hat@|@tthets'yat ihday@
@i have a shirt@|@dek ek ihday@
@i have clothes@|@ech'el ihsay@
@i have dry branches@|@k'el ihday@
@i have gloves@|@lajur ihday@
@i have matches@|@kwan' ihday@
@i have mitts@|@bat ihday@
@i have moccasins@|@kentra ihday@
@i have pants@|@ch'ahle ihday@
@i have shavings@|@ch'azrek ihday'@
@i have socks@|@tal ihday@
@i live in Dawson@|@Dawson huhch'in@
@i live in Moosehide@|@Moosehide huhch'in@
@i live in mouth of Klondike@|@tr'ochek huhch'in@
@i live in the bush@|@tr'al cha huhch'in@
@i see a baby fox@|@nagat ga nak-'ay@
@i see a big moose@|@jejik cho nak-'ay@
@i see a calf moose@|@detsik nak-'ay@
@i see a lot of sheep@|@debe nedla nak-'ay@
@i see a lot of wolves@|@zhur nedla nak-'ay@
@i see a moose@|@jejik nak-'ay@
@i see a rabit@|@ga nak'ay@
@i see a small moose@|@jejik tsul nak-'ay@
@i see a wolf pup@|@zhurh ga nak-'ay@
@i see lots of black bears@|@shar nedla nak-'ay@
@i see lots of caribou@|@wedzey nedla nak-'ay@
@i see lots of stars@|@san' nedla nak-'ay@
@i see my older brother@|@shonday nak-'ay@
@i see my older sister@|@shaje nak-ay@
@i see my younger brother@|@shechil nak-ay@
@i see my younger sister@|@sheje nak-ay@
@i see one star@|@san' ihlek nak'ay@
@i see the clouds@|@k'o nak-'ay@
@i see the moon@|@ch'adrek nak-'ay@
@i see the puppies@|@lay ga nak-'ay@
@i see the stars@|@san' nak-'ay@
@i see the sun@|@sra nak-'ay@
@i see two stars@|@san' nankay nak-'ay@
@i understand the language@|@jenezhu dihtthe'ek@
@i understand you@|@ndihtth'ek dahonch'e@
@i want dry meat@|@nelay gay nihthan@
@i want fish@|@luk nihthan@
@i want meat@|@nelay nihthan@
@i want milk@|@ma' nihthan@
@i want tea@|@lejit nihthan@
@i want water@|@chu nihthan@
@i will hunt for moose@|@jejik ka nategezre@
@i wnat hot soup@|@shis chu' dhal nihthan@
@i'am walking to the school@|@hatr'unohtan zho ts'a'ihshal@
@ice is starting to go out@|@lut teje@
@i'm going hunting@|@nategezre@
@i'm going to creek's mouth@|@tachek ts'a' ihsahl@
@i'm going to the hill@|@tayh ts'aa ihshal@
@i'm going to the mountain@|@ddhal ts'a ihshal@
@i'm just walking around@|@zhaok natihjak@
@i'm making a fire@|@nakwan'dek-k'a@
@im picking berries@|@jek nektsey@
@i'm still learning@|@tth'eycha huge'ay@
@i'm walking round the lake@|@man myang natihjak@
@i'm walking to Peter's house@|@Peter zho ts'a' ihshal@
@i'm walking to the lake@|@man ts'a' ihshal@
@i'm walking to the store@|@ch'uket zho ts'a'ihshal@
@is he hungry?@|@wezhudintsay?@
@is it cold outside?@|@ah'a ya wenedek'at?@
@is it sunny?@|@ya sra ni'a?@
@is it windy?@|@ya hohtr'ey?@
@is the ice breaking up?@|@ya lut ladenonay?@
@is the ice gone?@|@ya lut ko?@
@is the snow melting?@|@zha tawdelit?@
@is this your cup?@|@jit nechuchin dinch'e?@
@it is a marten skin hat@|@tsuk dha ts'yat dinch'e@
@it is a really nice day@|@la ah'a hozo@
@it is cloudy@|@ah'a k'o holay@
@it is cold outside@|@wenedek'at@
@it is day time@|@drin holay@
@it is fall time@|@kheyts'à' hònlay@
@it is getting cold@|@wedenek'at@
@it is getting warm?@|@ya wenedhal?@
@it is mid-day@|@drin tatl'at holay@
@it is midnight@|@tat tatl'at holay@
@it is morning@|@k'ahman' holay@
@it is night@|@tat holay@
@it is not cold outside@|@wenedek'at ko@
@it is not my cup@|@shechuchin dinch'e ko@
@it is not snowning@|@hohsha ko@
@it is not sunny@|@sra ni'a ko@
@it is not warm@|@wenedhal ko@
@it is not windy@|@hohtr'ey ko@
@it is raining@|@ah'a hohcha@
@it is really cloudy@|@la hontl'at k'o holay@
@it is really muddy@|@la hontl'at leht'ot holay@
@it is really raining@|@hontl'at hohcha@
@it is really windy@|@ah'a hontl'at hohtr'ey@
@it is snowning@|@hohsha@
@it is snowning?@|@ya hohsha?@
@it is springtime@|@srana holay@
@it is still cloudy@|@tth'ey cha k'o holay@
@it is still cold@|@tth'ey cha wenedek'at@
@it is still raining@|@tth'ey cha hohcha@
@it is summer@|@shin honlay@
@it is summertime@|@shin holay@
@it is sunny@|@ah'a sra ni'a@
@it is warm for me@|@shanjit wenedhal@
@it is windy@|@ah'a hohtr'ey@
@it it raining?@|@ah'a ya hohcha?@
@it it warm for you?@|@nanjit wenedhal?@
@it tastes good to him@|@we hokay@
@it's really nice outside@|@hon'tl'at ah'a hozo@
@it's warm inside the house@|@huzho zhit wenedhal@
@king salmon@|@luk cho@
@knife@|@sre@
@leaves are growing@|@et'a nohshe@
@let there be peace on earth@|@nan kak tsenahdan hule@
@ling cod@|@chehluk@
@listen@|@udhedhahtth'a@
@little dog is hungry for fish@|@weling tsul luk dehtla@
@low-bush berry@|@netl'at@
@make a big fire@|@kwan' cho dahk'a@
@make fire@|@kwan' dajk'a, nakwan' dahk'a@
@man@|@jeje@
@me too; i'm fine@|@shench'a shanjit hozo@
@melt some snow to make tea@|@zha ahcher lejit tr'etahtsey@
@Merry Christmas@|@drin tsul zhit sho ahlay@
@moose@|@jejik@
@moosehide slide@|@edha dadhecha@
@moosehide village@|@edha dadhecha kek'it@
@mushrooms are growing@|@enay nohshe@
@my house@|@shezho@
@my name is Percy@|@shozre percy@
@New Year Day@|@drin cho@
@no@|@ko@
@no way@|@juwe@
@now he's really doing well@|@t'ahklo hontl'at wajit hozo@
@now it's night time@|@t'ahkho khal ts'a' honlay@
@old man@|@nehji'@
@old person@|@ch'edat@
@old woman@|@shaghan@
@older brother draggs wood@|@wonday trat alu@
@older sister wears rubber boot@|@waje cha chu kentra zhit de'it@
@one@|@ihlek@
@our house@|@nizho@
@our mom is tanning a hide@|@ninya edha edho@
@outside; the leaves're falling@|@ah'a et'a naje@
@owl@|@edzay@
@owl is sitting on the spruce@|@edzay ts'ok kak dadheja@
@people living along the Yukon@|@hän hwëch'in@
@plants grow in the spring time@|@day cha gu nohshe@
@poor thing@|@teju@
@rabbit@|@ga@
@raspberry@|@k'anch'ok@
@red@|@dot'al@
@reely good@|@la hozo, la nezo@
@rhubarb is growing@|@ts'eygu nohshe@
@salmonberry@|@nihba'@
@scram@|@an@
@she is walking around@|@ok natejak@
@sheep@|@debe@
@she's cross cutting the fish@|@luk denezre ohtsey@
@she's playing with brother@|@dechil he doghor@
@sit down@|@dedhatth'it, dhaja, dhinja@
@small@|@tsul@
@small knife@|@sre tsul@
@small moose@|@jejik tsul@
@spruce boughs are growing@|@ts'ok al nohshe@
@stand up@|@nahthat, nededhazha, nidhat@
@ta'o collects dry willows@|@ta'o k'ar nohtsey@
@ta'o cooks some bannock@|@ta'o le dot'e@
@ta'o fell asleep nicely@|@ta'o hozo netay@
@ta'o finds his matches@|@ta'o dekwan udhah'ya@
@ta'o goes hunting@|@ta'o natazre@
@ta'o is camping@|@ta'o tanahal@
@ta'o is carrying his backpack@|@ta'o deghel aghel@
@ta'o is carrying his blanket@|@ta'o dets'at aghel@
@ta'o is eating nicely@|@ta'o hozo nach'e'al@
@ta'o is getting water@|@ta'o chu kaha@
@ta'o is hungry@|@ta'o zhudintsay@
@ta'o is kneeling@|@ta'o got dezha@
@ta'o is lighting a fire@|@ta'o kwan' dehk'ya@
@ta'o is looking for moose@|@ta'o jejik ka noh'ay@
@ta'o is smilling@|@ta'o dlok nahthan@
@ta'o is still smilling@|@ta'o tth'echa dlok nahthan@
@ta'o sees moose tracks@|@ta'o jejik k'e noh'ay@
@ta'o shoots at the moose@|@ta'o jejik ts'a' dedek'a@
@ta'o smells the bannock@|@ta'o le hozo ohtsan@
@ta'o spots a moose@|@ta'o jejikhade'ay@
@ta'o thinks about dry willows@|@ta'o k'ar ajit naji'edhat@
@ta'o walks along the creek@|@ta'o handek ahal@
@ta'o walks to the lake@|@ta'o man  ts'a' ahal@
@ta'o's sleeping beside a fire@|@ta'o kwan' gha dhetay@
@ta'o's younger sister sleeps@|@ta'o weje dhetay@
@thank you@|@hay, mahsi@
@the bannock is cooking nicely@|@le kozo oht'e@
@the bird is flying around@|@chuga natenit'a@
@the boy is fishing@|@cha nach'ar'i'yak, cha yach'ar e'yak@
@the boy is walking along@|@cha ahal@
@the boys are hungry@|@cha in huzhudintsay@
@the dog's sitting on its house@|@lay dezho kak dheja@
@the duck is swimming around@|@dets'an natibek@
@the fire is burning nicely@|@kwan' kozo dek'an@
@the fire's making a slow smoke@|@kon' cha edehtth'a@
@the fish camp@|@luk tr'ohgay hahjak@
@the fish is heavy too@|@luk cha enda@
@the frying pan is hot@|@t'aychan nedhal@
@the goose is walking around@|@kha natejak@
@the grouse is making a nest@|@dey det'o ohtsey@
@the ice is gone@|@lut ko@
@the ice went out@|@lut tejik@
@the man is dancing@|@jeje ch'odza@
@the man is going hunting@|@jeje natazre@
@the man is hunting for caribou@|@jeje wedzey ka natazre@
@the men are going hunting@|@jeje in nahetazre@
@the moon is shining@|@ch'adrek honlay@
@the moose drinks water@|@jejik chu denya@
@the moose runs away@|@jejik thotesha@
@the moose spots ta'o@|@jejik ta'o hade'ay@
@the moose stands in the water@|@jejik chu zhit nadhat@
@the mosquito bit me@|@etth'ay shegot@
@the raven is eating@|@tatra' ch'e'al@
@the spider is spinning a web@|@kelahdre da'etl'u@
@the willow has dried out@|@k'ay' dedetrat@
@the woman is going hunting@|@tr'inja natazre@
@the woman is picking berries@|@tr'inja jek nohtsey@
@the woman is running along@|@tr'inja agak@
@the woman is sewing@|@tr'inja a'netl'u@
@the women are drinking hot tea@|@tr'inja lejit dhal hedena@
@the wood box is full@|@trat chin dadene'a@
@the worm is crawling around@|@gu natejuk@
@the young one borned in spring@|@day cha wega holay@
@their house@|@huzho@
@there are 4 fish on the shore@|@luk dan taman cha dhedla@
@there are lots of animals@|@nun holay@
@there are stars in the sky@|@san' zhazhit honlay@
@there's lots os flies in house@|@zho zhit eday holay@
@these are beaver tracks@|@jit tsa' k'e dinch'e@
@these are moose tracks@|@jit jejik k'e dinch'e@
@these are mouse tracks@|@jit sahtsat k'e dinch'e@
@these are ta'o's relatives@|@ta'o wenya wecha' dahinch'e@
@these are wolf tracks@|@jit zhur k'e sinch'e@
@they@|@huwanjit@
@they are drinking cold water@|@chu k'at hedena@
@they are drinking tea@|@lejit hedena@
@they are drinking water@|@chu hedena@
@they are fine@|@huwanjit hozo@
@they are talking to each other@|@lihts'a' hehihe@
@they aren't hungry@|@huzhudintsay ko@
@this is a babby rabbit@|@jih gah zhar dinch'e@
@this is a baby@|@jit tr'enin tsul cinch'e@
@this is a bear cub@|@jit sharh ga dinch'e@
@this is a berry@|@jit jek dinch'e@
@this is a bird@|@jit chuga dinch'e@
@this is a black hat@|@jit ts'yat dhezray dinch'e@
@this is a blanket@|@jit ts'at dinch'e@
@this is a blue hat@|@jit ts'yat dodler dinch'e@
@this is a boy@|@jit cha dinch'e@
@this is a brid singing@|@chuga edeh'a@
@this is a brown hat@|@jit ts'yat dottho dinch'e@
@this is a butterfly@|@jit elal dinch'e@
@this is a calf moose@|@jit detsek dinch'e@
@this is a cane@|@jit tat dinch'e@
@this is a caribou hide@|@jit wedzeyh dha dinch'e@
@this is a child@|@jit tr'enin dinch'e@
@this is a cup@|@jit chuchin dinch'e@
@this is a fish@|@jit luk dinch'e@
@this is a fly@|@jit eday dinch'e@
@this is a girl@|@jit t'aga dinch'e@
@this is a grayling@|@jit srejil dinch'e@
@this is a high-bush cranberry@|@jit trantthel dinch'e@
@this is a king salmon@|@jit luk cho dinch'e@
@this is a ling cod@|@jit chehluk dinch'e@
@this is a low-bush cranberry@|@jit netl'at dinch'e@
@this is a man@|@jit jeje dinch'e@
@this is a moose hide@|@jit jejik dha dinch'e@
@this is a mosquito@|@jit etth'ay dinch'e@
@this is a plate@|@jit tth'yak dinch'e@
@this is a raspberry@|@jit k'anch'ok dinch'e@
@this is a red hat@|@jit ts'yat dot'al dinch'e@
@this is a salmonberry@|@jit nihba dinch'e@
@this is a spider@|@jit kelahdre dinch'e@
@this is a spoon@|@jit k'ahtsal dinch'e@
@this is a white hat@|@jit ts'yat dhek'al dinch'e@
@this is a whitefish@|@jit luk dhey dinch'e@
@this is a woman@|@jit tr'inja dinch'e@
@this is a worm@|@jit gu dinch'e@
@this is an elder@|@jit ch'edat dinch'e@
@this is an elderly lady@|@jit shaghan dinch'e@
@this is an elderly man@|@jit nehji' dinch'e@
@this is an owl@|@jit edzay dinch'e@
@this is his arm@|@jit wegan dinch'e@
@this is his chest@|@jit wezrek dinch'e@
@this is his hair@|@jit wetthegha' dinch'e@
@this is his head@|@jit wetthe' dinch'e@
@this is his little white dog@|@jit weling lek'al dinch'e@
@this is his neck@|@jit wek'o dinch'e@
@this is his stomach@|@jit wetral dinch'e@
@this is my ear@|@jit shedzak dinch'e@
@this is my elbow@|@jit shets'a dinch'e@
@this is my eye@|@jit shejak dinch'e@
@this is my face@|@jit shini' dinch'e@
@this is my father@|@jit shecha' dinch'e@
@this is my foot@|@jit sheke' dinch'e@
@this is my grandfather@|@jit shetsey dinch'e@
@this is my grandmother@|@jit shetso dinch'e@
@this is my knee@|@jit shegot dinch'e@
@this is my mother@|@jit shena dinch'e@
@this is my nose@|@jit shentsay dinch'e@
@this is my tooth@|@jit shegho' dinch'e@
@this is ta'o grandmaother@|@jit ta'o wetso dinch'e@
@this is wetso tlek@|@wetso tlek dinch'e@
@this spring ice went out nice@|@juk day hozo luh tejik@
@three@|@chak@
@to see@|@nak'ay@
@today his mother'll tan a hide@|@juk drin wenya edha tadho@
@two@|@nankay@
@we@|@niyanjit@
@we are drinking cold water@|@chu k'at tr'edena@
@we are drinking tea@|@lejit tr'edena@
@we are drinking water@|@chu tr'edena@
@we are fine@|@niyanjit hozo@
@we are hungry@|@nizhudintsay@
@what are the men doing?@|@jeje in daheday?@
@what are these tracks@|@jit ji k'e dinch'e?@
@what are they drinking?@|@ji hedena?@
@what are you doing?@|@dinday'?, nan dinday'?@
@what are you drinking?@|@ji ina?@
@what do they call it?@|@nts'a jenezhu k'e kiyuzre?@
@what do you have?@|@ji inday?@
@what do you see in the sky?@|@zhazhit ji nah'ay?@
@what do you see?@|@ji nah'ay?@
@what do you want?@|@ji nindhan?@
@what does he want?@|@ji nindhan?@
@what does ta'o see?@|@ta'o ji noh'ay?@
@what hide is this?@|@jit ji dha dinch'e?@
@what is he doing?@|@daday?@
@what is he eating?@|@ji el'al?@
@what is her name?@|@nts'a wozre?@
@what is our mom doing?@|@ninya daday?@
@what is the boy doing?@|@cha daday?, cha tsul daday?@
@what is the man doing?@|@jeje daday?@
@what is the man hunting for?@|@jeje ji ka natazre?@
@what is the owl doing?@|@eghan edzay daday?@
@what is the woman doing?@|@tr'inja daday?@
@what is this?@|@jit ji dinch'e?@
@what is your name?@|@nts'a nozre'?@
@what the woman is doing?@|@tr'inja daday?@
@what will you hunt for?@|@ji ka natazre?@
@what's ta'o doing?@|@ta'o dada?@
@wher is the tent?@|@zhodha yaday?@
@where are my matches?@|@shekwan yanay?@
@where are the snowshoes?@|@a zhik dhedla@
@where are you walking to?@|@nde ts'a' ihal?@
@where can i get dry willows?@|@nde ts'an k'ar utihdek?@
@where do you live?@|@nde honch'in?@
@where is he walking to?@|@nde ts'a' ahal?@
@where is he walking?@|@nde natejak?@
@where is ta'o walking to?@|@ta'o nje ta'a' ahal?@
@where is the dog sitting?@|@lay nde dheja?@
@where is the gun?@|@dik'a yanday?@
@where is the packsack?@|@zhahcha yaday?@
@where is the trap?@|@hel yaday?@
@white@|@dhek'al@
@whitefish@|@luk dhey@
@who do you see?@|@dok nah'ay?@
@who is this?@|@dok dinch'e?, jit dok dinch'e?@
@willow leaves are growing@|@k'ay t'a nohshe@
@wolves@|@zhur@
@woman@|@tr'inja@
@worm@|@gu@
@yes@|@aha'@
@you@|@nanjit@
@you (pl)@|@nekhwanjit@
@you (pl) are drinking water@|@chu adena@
@you are dinking cold water@|@chu k'at ina@
@you are drinking water@|@chu ina@
@young boy is paccking wood@|@cha tsul trät dàdozhek@
@young sister puts wood on fire@|@weje kon' kak trat dale@
@younger sister packs 2 fishes@|@weje luk nakay alel@
@younger sister watches mummy@|@weje tsul cha denya k'anohcha@
@your house@|@nezho@
@your house (pl)@|@nekhwezho@
@you're drinkin' cold water (pl@|@chu k'at adena@

