@English@|@Greenlandic@
@a small stone@|@nakataq, nakatassaq@
@a species of crayfish@|@eqqaluk@
@a species of heather with white flowers@|@issutit (ikippaa)@
@a stockfish@|@aggaatsoq (S.G.)@
@a superficial thought@|@isumaq ikkattoq@
@a sure hit@|@eqqorneqaat@
@a swarming crowd@|@ujameriassuit@
@a very small ledge in a rock@|@illernaasannguaq@
@a vessel@|@issoraavik, ikioqqaavik@
@a vision@|@takorruugaq, takorroornartoq@
@a white piece of linen@|@qalipaaq (qaa)@
@a woman's boat@|@umiat marlunnit qajartallit@
@a word which is not used@|@kappaa@
@abandons something@|@ujajaarsuppoq@
@abdomen@|@aqajak@
@ability@|@nakkaallappoq@
@about ten@|@qulit missiliorlugit, qulit missigissaat@
@above@|@qaani, qaavani@
@abstains from it@|@alleruppaa@
@abundance@|@peqangaarpoq@
@abuses@|@oqqippoq@
@abusive term@|@oqaasipiluk@
@accent@|@taalluartaat@
@accompanies him@|@pattappaa@
@according to@|@missiliorlugu@
@according to his word@|@oqaasia missiliorlugu@
@according to your pleasure@|@nammineq iluarisassinnik@
@accusation@|@pasilliut@
@accuses@|@pasivaa@
@acorn@|@paarnarluk@
@acquires a taste for something@|@mammaarpoq@
@act of grace@|@saammaassineq@
@acts improvidently@|@nalinginnaq iliorpoq@
@acts inconsiderately@|@nalinginnarpoq@
@acts mercifully towards him@|@naakkinnittuliffigaa@
@acts on his own@|@nammineerpoq@
@acts sensibly@|@ukullersaarpoq@
@adapts it@|@missiluuppaa@
@addition (to the length of something)@|@uigu, uiu@
@addition to coffee@|@kaffilaaq@
@adds it as the other one@|@aappiuppaa@
@adds one to it@|@aapperpaa@
@adds something to its length@|@uiguaa, uiuaa@
@adds what is lacking@|@naammaquserpaa@
@admixes blubber@|@orsorsivoq@
@advances by working against the current@|@sarfaq qaqillugu ingelavoq@
@affix@|@uiggiut@
@agrees with something@|@naleqquppoq@
@agriculturalist@|@naggorissaasoq@
@aims at it (with his missile)@|@orlerpaa@
@aims straight in the direction of it@|@nalaarpaa@
@airfield@|@timmisartut mittarfiat@
@airport@|@timmisartoqarfik@
@Airport@|@Mittarfik@
@airs his clothes@|@kaasserpaa (atisani), kaasserpai (kumaat)@
@alarm clock@|@eqeersaasoq@
@albino@|@ukaleriaq@
@alcohol@|@imigassaq@
@alert@|@eqiingavoq@
@all possible things@|@tamalaaq@
@all right! well then@|@qaa@
@all sorts@|@nalinginnat, tamalit, tamarlit@
@all sorts of people@|@inuit nalinginnaat, inuit tamalaat@
@all sorts of words@|@oqaatsit tamalaat@
@all together@|@tamarsuarmik@
@almond@|@qaqqortariaq@
@along it@|@qaagut- qaatigut@
@also@|@aamma@
@amber@|@nutsat kajungerisaat@
@ammonia@|@najorsittaat@
@ammunition@|@pequtissat@
@an almost separated part@|@affassak@
@an animal that has given birth  young@|@ernineq@
@an animal which several have had a hand in killing@|@persuussaq@
@an animal with horns which are to be shed@|@katattartunik nassulik@
@an animal with spines instead hairs@|@kapinartunik meqqulik@
@an incipient gradient@|@nakassariaq@
@an independent person@|@nammineerniartoq@
@an infectious@|@nappaat aatsornartoq@
@an inlet in a bay@|@kangerluup eqinga@
@and@|@aamma@
@and then he is called a hunter!@|@aali piniartumik taaneqartoq@
@and then it is only a blind person who has made it!@|@aali tappiitsup sanaa@
@anger@|@kamanneq@
@angry@|@ajuallappoq@
@animal@|@Uumasut@
@animal emaciated by sickness@|@qapak@
@animal with young@|@piaralik@
@announces@|@nalunaajaappaa@
@annoyed@|@uggorpoq, ugguarpoq@
@anorak@|@annoraaq@
@answers him@|@appiuppaa@
@antennæ (or an insect)@|@nassuusaq@
@antilope@|@oqilasooq@
@antler@|@aagiaq (aaq)@
@anvil@|@kaaffik@
@anybody@|@nalinginnaq@
@apothecary@|@nakorsaasiortoq@
@applies a hot poultice@|@kiattulersorpoq@
@applies a plaster to it@|@mattuserpaa@
@applies it as a plaster@|@mattusiuppaa@
@approaches@|@aggeriarpoq, aggerpoq, qanilliartorpoq@
@approaches him@|@pallimavaa@
@appropriates@|@qapasappoq@
@appropriates it@|@pigiliuppaa@
@appurtenances@|@peruseq@
@apron@|@saaliaqut@
@aquall@|@aggiasoorpoq (S.G)@
@arched@|@qaarajuppoq@
@are angry with each other@|@kamaapput@
@are joined@|@katipput@
@are together and sing drum song@|@ajagarput@
@are you in a hurry?@|@tuavioaqaat? @
@Are you well?@|@Ajunngilatit@
@armed bull-head@|@kanajorlak, kaniorlak@
@arms himself@|@sakkulersorpoq@
@arranges a rug for him on the sleeping platform@|@qasserpaa@
@arranges it according to something else@|@naapertuuppaa@
@arrest@|@parnaarussivik@
@arrives at it on a rough calculation guesses@|@taqamuppaa, taqammorpaa@
@arsenal@|@sakkussamaasivik@
@art@|@eqqumiitsuliorneq@
@articulated animal@|@affassaasallit@
@artillery@|@qamutileriartartut@
@artist@|@eqqumiitsuliortoq@
@as a shelter against rain@|@qangatsiffik@
@as compared with now@|@maannakkumit@
@as he had no one to go with@|@allamik@
@as in accordance with the laws@|@inatsisit naapertorlugit@
@as much as possible@|@sapinngisaq@
@as now@|@maannatut, maannakkutut@
@as regards all@|@tamanik@
@as soon as my cough abates@|@quersornera sakkukilleriarami@
@as there are no inner mittens in my mittens@|@aaqqatikka kapitannginnamik assaarsinaqaat@
@as we have no more blubber@|@orsuerukkatta qaminngavugut@
@ascends a mountain@|@qaqqippoq@
@ascends something (-mut)@|@qaqivoq (qaa)@
@ascidian@|@nakasuusaq@
@asks for assistance@|@paqqisaarpoq, paqqasaarpoq@
@asks him for something@|@orulluvigaa@
@assistance in building@|@illugissaat@
@assists@|@ikiuuppoq@
@association@|@peqatigiinniat@
@at a moment@|@uisorernerinnakkut uisoriinnaq@
@at a rough calculation@|@taqamut@
@at once@|@ernerluinnarluni, erniinnaq, katsorna, katsornani@
@at random@|@taamungaannaq@
@at that time@|@taamani, taamanikkut@
@at the edge of the iceblink@|@sermip killingani@
@at this very moment@|@aatsaarluinnaq, aatsaaqqinnaaq@
@atones for his sin@|@matoorsivoq ajortaanik matoorfigaa@
@attaches it to something (-mut);@|@kakkersuuppaa@
@attacks it@|@periarpaa@
@attempts@|@ooqattaarpoq@
@attempts it@|@ooqattaarpaa (uuppaa)@
@attempts to sit comfortably@|@isssiffarissaarpoq@
@auditor@|@naalatsi@
@autumn@|@ukiaq@
@auxiliary tent pole@|@qanaguaq@
@axe@|@ulimaat@
@axe bag@|@ikkussivik@
@babbler@|@oqajamaaq@
@babbles@|@oqaloruusarpoq@
@bachelor@|@aappaqanngitsoq@
@back@|@utimut@
@back of bow@|@sanneriaq@
@back stitches@|@mersorneq akussiaasaq@
@bait@|@ujukkuaq@
@baking powder@|@qaffarsaat@
@balanus@|@kaattungiaq@
@bales@|@qaloorpoq, qaluaa (qaa)@
@ballast@|@ujaqqiut@
@bandage@|@mattusersorneq@
@bandages it@|@mattusersorpoq@
@Bank@|@Aningaaserivik@
@banner@|@erfalasoq@
@barbed seal@|@taqammuaq@
@barbed seal (Phoca harbata)@|@ussuk@
@basin@|@errortorfik@
@bastes it@|@kakiorpaa, kakiorarpaa@
@basting thread@|@kakiaat, kakioraat@
@bathroom@|@anartarfik@
@bawls.@|@uaarpoq, uaartorpoq@
@be careful with the boat@|@umiatsiaq misisuullugu qajannaqaaq@
@bead@|@sapangaq, sapangaaraq@
@beads@|@sapangaaqqaat@
@beam@|@paakkarut@
@beans@|@eertat amitsukujuut@
@bear@|@allaq@
@bear-hunter@|@nannunniaq@
@bear cub@|@nanooraq, nanuaraq@
@bear prematurely@|@allerut, erniagaluarpoq@
@bears him a son@|@ernertaappaa@
@bears in mind@|@eqqaavoq@
@bears it in mind@|@eqqaamavaa@
@bears prematurely@|@erninerluppoq@
@beats frozen blubber@|@kaavaarivoq, kaavaavoq@
@beats him or her@|@pattorpaa@
@beats it@|@kaaavarpaa, kaallattarpaa@
@beats it (the drum)@|@katuppaa@
@beats its wings together@|@pattattorpoq@
@beautilul ribbons@|@qallit pinnersut@
@beaver@|@kiggiaq@
@because we believe in God@|@Guuti upperfigigatsigu@
@become fewer@|@ikillipput, ikilipput@
@becomes a believer@|@uppertunngorpoq@
@becomes angry@|@kanajajoorpoq, kaniajoorpoq@
@becomes brown@|@kajortippoq@
@becomes crooked@|@equvoq, najorpoq@
@becomes envious of him@|@kanajajugaa, kanajajuukkuppaa, kaniajuuppaa@
@becomes giddy@|@aqajannguummivoq@
@becomes glorious@|@naalannarsivoq@
@becomes good@|@ajunngissivoq@
@becomes hard@|@maannivoq, maannineq@
@becomes heavy@|@oqimangerpoq@
@becomes higher@|@qattusivoq@
@becomes hoarse@|@iggiinngarpoq@
@becomes irresolute@|@nakimmappoq, nakimmarpoq@
@becomes it greater@|@allivoq (angivoq)@
@becomes lean@|@qammorpoq@
@becomes more shallow@|@ikkalivoq@
@becomes or has become autumn@|@ukiarpoq@
@becomes perplexed@|@uisanguserpoq@
@becomes smaller@|@millivoq@
@becomes stiff@|@ajagullarpoq@
@becomes suddenly ashamed@|@kanngutippoq, kanngutsippoq@
@becomes supple@|@eqaallivoq@
@becomes suspicious@|@pasitsappoq@
@becomes thin@|@sallivoq (sak)@
@becomes thinner@|@saaliorpoq@
@becomes unwell@|@peqqiilliorpoq@
@becomes visible@|@erserpoq@
@becomes worse and worse@|@ajoriartorpoq@
@bed bug@|@saaluallak@
@bed clothes@|@oqorutit@
@bed curtain@|@siniffiup saagua@
@beer@|@immiaq@
@before all@|@tamanit@
@before everyone@|@tamarmik takkuanni@
@before his eyes@|@takkuanni@
@before it is too late@|@maannangaaq@
@before the wind@|@oqqumut, oqqummut@
@begets him@|@ernertaaraa@
@beginner at kayaking@|@qajalugaq@
@begins to be bad@|@ajulerpoq@
@begins to be kayak "giddy."@|@nangialerpoq@
@begins to form ears@|@karreqalerpoq@
@behaves as a child@|@meerarpaluppoq, meerassivoq@
@belabours it on both sides@|@illukisaarlugu passuppaa@
@belief@|@upperneq, uppersuseq, uppissuseq@
@believes@|@upperpoq@
@believes him (what he says)@|@upperaa@
@believes in him@|@upperfigaa@
@belly@|@naaq@
@belly meat@|@aqajamineq@
@below@|@kana@
@below here@|@kanani@
@bench@|@issavik, issiaffik@
@bends down in order to see it@|@ujakkarpaa@
@bends himself@|@najortippoq@
@bends his ear forwards@|@siunni manivaa@
@bends his head@|@niaqqi ukuppaa@
@bends his pride@|@makitassusia ukutippaa@
@bends it@|@najortippaa@
@bends it down@|@palusippaa@
@bends it into another shape@|@ajorinngorserpaa@
@bends it together@|@ukuppaa, ukutippaa@
@bends it up@|@peqippaa@
@bends over it@|@peqquppaa@
@bends over something in order to see what is below@|@ujakkarpoq@
@bends over something in order to see what is below it@|@ujangippoq (ujappoq)@
@bends several times@|@pequsarpoq, pequsappoq@
@bends together frequently@|@ukusarpoq@
@bends up@|@pequvoq@
@beroe@|@ippiarsuusaq@
@berry heather@|@paarnaqut@
@besides@|@saniatigut@
@betrothed@|@aappassiaq@
@between@|@akirnanni@
@between decks@|@ikiarut@
@bib@|@manoqut@
@bids him@|@peqquaa @
@birch@|@patitsit@
@birches him@|@orpinnguarpaa, orpippaa@
@birthday@|@innulk@
@birthday greetings@|@Inuuinni pilluarit@
@bishop@|@ilagiit paarsisaat@
@bite@|@kiggeq, kiineq@
@bits of ice drifting in the sea@|@kassuk (kaappaa)@
@blackens him with soot@|@paaverluerpaa@
@blackens himself with soot@|@paaverluerpoq@
@blackens it with soot@|@paaterpaa@
@bladder@|@nakerut@
@bladder dart@|@alligarpaa@
@blames@|@pasillerpaa@
@blasphemes@|@uppernarsaavoq, uppernarsaarivoq@
@blasted land@|@ikineq@
@bleats@|@meerpoq, meertorpoq@
@bleeds him@|@taqarsiorpaa@
@blinks@|@uisaqqalaarpoq, uisorerpoq, uisorersarpoq, uisorersorpoq@
@blinks at him repeatedly@|@uisorersarfigaa, uisorersorfigaa@
@blister (on the skin)@|@qaanneq@
@blocks its way@|@sapivaa@
@blocks their way@|@sapivai@
@blood-spitting@|@assineq, assisarneq@
@blotting paper@|@patequt@
@blow or mark of blow@|@pattorneq@
@blow with an axe@|@ulimaneq@
@blows from there@|@ikanngarpoq@
@blows his nose@|@kakkippaa@
@blows his nose (refl.)@|@kakkippoq@
@blows in gusts from the lee side@|@oqquisartorpoq@
@blows more strongly@|@nakkisaarpoq, nakkisaartarpoq@
@blubber@|@mami, orsoq, orsuut@
@blubber can@|@orserfik@
@blubber depot@|@orsivik@
@blubber for kindling a fire@|@ikummarluppoq@
@blubber or fat for dry food@|@illussaq@
@blubber which has become@|@igineq@
@blue mussel@|@uiloq@
@bluff@|@ippik@
@bluff or bay@|@sammeqatigiipput@
@boa tarde@|@kutaa@
@board@|@salliligaq@
@boards for platform@|@illisit@
@boat or barge for fetching stones@|@ujarattaatissaq@
@bodkin@|@qaqerluut@
@boil@|@ajuaq@
@boiled seal blood mixed with crow berries@|@qajulaalik@
@boils@|@igavoq@
@boils easily@|@qalatsorpoq, uujavoq (uuvoq)@
@boils eggs@|@manniliorpoq@
@boils it@|@igavaa, kiattarpaa@
@boils it (the skin) in order to eat@|@kiappaa@
@boils peas@|@eertaliorpoq, eersiorpoq@
@boils sea scorpions@|@kanassiorpoq, kanissiorpoq@
@boils vigorously@|@qalaruluppoq@
@bon appetit@|@nerilluarisi@
@bone at the end of a trace@|@peersaat@
@bone knob at the hind part of the bird@|@qaquit, qaquiseq@
@bone mounting@|@kallu@
@bone peg at the upper end of a throwing board for a harpoon@|@kakassaq, kakammik@
@boned and dried liver@|@qaqquaq@
@book@|@allakkat, atuagaq, mappersaqagaq, mappersigaq@
@book binder@|@kakkersaasoq@
@books@|@allakkat@
@boot stretcher@|@kammiut@
@boot-jack@|@kamillaat, kamillartaat@
@borders on or adjoins  something@|@attuumavaa@
@bottle@|@ermuseq, ernguseq@
@bowels@|@erlavik@
@boxes him on both ears@|@illukisaarlugu ersaartarpaa@
@boxes his ears@|@ersaarpaa@
@Boy@|@Nukappiaraq@
@boy's harpoon (for practising)@|@mamagoq@
@bracelet@|@tajak@
@braces@|@ujatsiutit@
@brain@|@qarasaq, qarasak@
@brandy@|@kaajallak@
@brass@|@kannussak qaqortoq@
@bread@|@iffiaq@
@breaks a rib@|@sakiaajarpoq@
@breaks down@|@ukuvoq@
@breaks his kayak paddle@|@paataajarpaa, paataajarpoq@
@breaks it@|@napivaa@
@breaks something@|@kaluppoq (kappaa)@
@breaks stones@|@ujaqqeraaq, ujaqqerivoq@
@breaks the lateral point off it@|@aajarpaa@
@breaks time after time@|@qaraarpoq, qaraalavoq@
@breast bone (its lower end)@|@qajuutaasaq, qajuuppaasaq@
@breast cloth@|@sakiaqut@
@breathes heavily@|@kalisappoq@
@breathing hole@|@allu@
@breech loader@|@kangiatigooq, kangiagooq@
@bridal couple@|@katittut, katittussat@
@bridge@|@ikaartarfik@
@brief summary@|@eqitsit@
@bright metal@|@kannussak, kanngussak, kanngusaq@
@brimstone@|@ikuallassaat@
@bring it here for a moment!@|@qaakkallaak@
@bring it here!@|@qaassuk@
@brings forth young@|@erniorpoq@
@brings him or it to someone@|@orniguppaa@
@brings him something@|@aatsivigaa@
@brings it@|@aggiuppaa@
@brings it as a gift@|@pajugutigaa@
@brings it in@|@eqquppaa (iserpoq)@
@brings it in several turns@|@aatserivoq@
@brings letters@|@allakkisarpoq@
@brings mail in connection with the arrival of a ship@|@umiarsuit paarutigaavut@
@brings something for him@|@nassaappaa@
@broad-leaved willow herb@|@paannaq, paannaat@
@bronze@|@kannussaasaq@
@broom@|@saligutit@
@brother's child@|@qaniaq@
@brown bean@|@qaqquaasaq@
@brown dog@|@kajoq, kaasserpai (kumaat)@
@Brünnich's guillemot@|@appa@
@brushes the dust off it@|@sangiussineq@
@bubble@|@qalaarneq, qalak, qalaneq@
@bubbles (from the oar)@|@ilutip qalai or qalarni@
@buckleo on a sword@|@panalerpoq@
@bug bear@|@maamajooq@
@building site@|@illuliorfissa@
@builds a dike@|@sapusiorpoq@
@builds a house@|@illuliorpoq@
@builds a house for him@|@illuliorpaa@
@builds it@|@marrarterpaa@
@bunch of flowers in the top of a plant@|@karri (kangi)@
@bunch of grapes@|@viinnequtip paarmiorfia, viinnissat@
@burden@|@nammagaq@
@buries it@|@assaappaa@
@burns@|@ikualavoq (ikippaa), ikumavoq@
@burns it@|@ikikkarpaa, ikikkartippaa@
@burns well@|@ikummarippoq@
@but@|@kisianni@
@but when?@|@qangali, qangalikiaq@
@butterfly@|@pakkaluaq, paluaq@
@butterfly larva@|@aassik@
@buttons his braces@|@ujatsiuserpoq@
@butts him@|@nassummippaa@
@butts him (several times)@|@nassummigarpaa@
@buys something for a shark line@|@eqalussuarniutissarsivoq@
@buys something to tie round a hair knot@|@qalissarsivoq@
@buzz@|@kaassaaq@
@by himself@|@namminermigut@
@by his (relf.) belief@|@uppernermigut@
@by his belief@|@uppersutsimigut@
@by his order@|@peqqusaanik@
@by no means@|@ila naagga@
@by our faith we are in community with God@|@upperneq Guutimut ilagiissutigaarput@
@by pulling at it from one side and pushing it from the other.@|@illuanit noqillugu illuanit ajallugu@
@by pushing the kayak@|@kaassuinnaq@
@by the sweat of his brow@|@kiammiulluni@
@cabin boy@|@saqisoq@
@cackles@|@makkulutsitsivoq@
@Cafe@|@sutorniafik@
@cake@|@mamatuliaq@
@cake (loan word)@|@kaagi@
@calcareous algæ@|@immap issui@
@calf@|@nakasunnaaq, ussiaraq@
@calico@|@saatoralaaq allalik@
@call the police@|@politiimik kalerriigitsi!, politiinut sianerit, politiinut sianeritsi@
@calligraphy@|@allaaseq@
@callous@|@maattuvoq@
@calls for help@|@eertarpoq@
@calls him by his name@|@aqqagut taavaa@
@calls out "kayak"@|@qajaartorpoq@
@calls uâ@|@uaarpoq, uaartorpoq@
@calumniates him@|@kapivaa, mamalerpaa, oqaatissuarpaa, oqallisigaa@
@calumniator@|@mamarliisoq@
@calved ice@|@uukkarnerit@
@calves many times in succession@|@uukaavoq@
@can be mentioned@|@taassaavoq@
@can be moved@|@ajassaavoq@
@can but it@|@ajuutinngilaa@
@can do something@|@piginnaanertuvoq@
@can manage to do it@|@ajunngilaa@
@can never get enough@|@naammagittaappoq@
@can rise with his kayak@|@makittaqarpoq@
@can sing@|@erinaqarpoq@
@candle@|@naneruut@
@candle stick@|@naneruuserfik@
@cannot@|@saperpoq@
@cannot be bothered@|@eqiagaa, eqeersaatissaq, eqianarpoq, eqeersoorpoq@
@cannot be healed@|@matsuippoq@
@cannot be mentioned@|@taassaanngilaq@
@cannot buy it@|@ajuuppaa@
@cannot do anything@|@sapersarpoq@
@cannot get any farther@|@sapersippoq@
@cannot get back its former shape@|@ajorinngorpoq, ajorunngorpoq@
@cannot get farther@|@sapernivoq, sapernuvoq@
@cannot get farther for that reason@|@sapernussutigaa@
@cannot get tired of looking at him@|@takoruttorpaa@
@cannot make water@|@nakivoq@
@cannot manage him@|@saperpaa@
@cannot manage to do it@|@ajorsivaa@
@cannot recognize him@|@takornarilerpaa@
@cannot row@|@ipunneq naluvoq@
@cannot set the door straight@|@matu iluarsarneq naluaa@
@cannot sleep@|@eqeersoorpoq@
@cannot stand any more@|@merngorpoq@
@canoe@|@qajariaq@
@cap@|@marnusaq@
@capable at hunting@|@nakuaq, nakuarsuaq@
@caplin dip@|@qalut@
@capsizes (a kayak)@|@mamitarpoq@
@captain (of a ship)@|@umiarsuit naalagaat@
@car@|@biili@
@card@|@qissassanut illaajaatit@
@caresses it@|@aqassuppaa, arsuppaa@
@carpenter@|@sanasoq@
@carpenter's@|@sannavik@
@carriage@|@qamutit assakaasullit@
@carries (on the shoulder)@|@ersuppoq (ersik)@
@carries a kayak@|@maqippoq@
@carries a load@|@assartorpoq@
@carries him on his head@|@kakappaa, ingammik, akimmik@
@carries him or it on the arm@|@pernermippaa@
@carries it@|@ersuppaa, maqippaa@
@carries it (the hand@|@ujamippaa@
@carries it across his loins.@|@makisermippaa@
@carries it gradually right across@|@ikaartiterpaa@
@carries it on his back@|@nammappaa@
@carries it round something@|@kaavissuppaa@
@carries it under the chin@|@manormippaa@
@carries it up@|@majuuppaa@
@carries it with him towards the land@|@kangiaappaa, kangujaappaa@
@carries mail@|@allakkisarpoq@
@carries on both shoulders@|@illuttorluni ersuppoq@
@carries on net hunting (seals)@|@qaattarpoq, qaattorpoq@
@carries something on his back@|@nammappoq@
@carries them in@|@eqqussorpai@
@carries them up@|@majuussorpai@
@carries weapons against him@|@sakkuarpaa@
@carrot@|@musaq@
@carrying pole@|@ersuut, ersuttaat@
@carrying strap@|@nammaat, nammaataq@
@cash register@|@karsi@
@cassowary (loan word)@|@kaasuaaq@
@castle@|@illussaarsuaq@
@catches a creeping seal@|@paarmuliarpoq@
@catches a hare@|@ukalerpoq@
@catches a seal in a net@|@napittorpoq@
@catches a swimming land animal@|@naluttorpoq@
@catches gulls by throwing a line with a piece of blubber@|@ujukkuartorpoq@
@catches it@|@qapasattaraa@
@catches it with a bladder dart@|@alligarnippoq@
@catches several in a net@|@qaattaavoq@
@caught in a snare@|@napiagaq, napititaq, napittortaq@
@cause of weakness@|@sanngiippoq@
@causes surprise@|@uissuumminarpoq@
@causes trouble@|@perluliorpoq, perleerivoq@
@cautious@|@mianersorpoq@
@cave (in a rock)@|@qangattaq (qaa)@
@ceiling@|@qaliaq (qa)@
@celebrates him or it in singing@|@erinnersaarutigaa@
@celebrates him or it in song@|@erinarlersuutigaa, erinarsuutigaa@
@celebrates his wedding day@|@katiffissiorpoq@
@celebrates in singing@|@erinnersaarpoq@
@celebrates the new year@|@ukiortaarsiorpoq@
@cello@|@agiarsuaq@
@centronotusgunellus@|@tajarnaq@
@chain@|@kalunnerit, kalunnerit, kalinnerit@
@chair@|@issiavik@
@chalk@|@allaatitaq@
@chance@|@nalaatsorneq@
@channel@|@ikerasaliaq@
@chapel@|@oqaluffik@
@chapitel@|@immikoortoq@
@Charles' Wain@|@naleqqat@
@chars it@|@uulinerpaa,uulinilerpaa@
@chary@|@erlippoq@
@cheers!. good health!@|@kasuutta!@
@chess or draughtmen@|@(inukkat) illersartut@
@chest@|@illerfik, sakissat@
@chest medicine@|@sakiagissaat@
@chest tea@|@sakiagissaatit@
@chetopod@|@sangujaaq@
@chews@|@tamorpoq@
@chews it@|@tamorpaa, tamuavaa@
@chews it (blubber)@|@oriorpaa@
@chews it together with something@|@oriorfigaa@
@chews the cud@|@tamuavoq@
@child@|@meeraq, merlaaq, merlertoq@
@child (obsolete word)@|@illaarsuk@
@child of one's sister@|@ujoruk@
@children@|@meeqqat@
@children's word for qavdlunâq@|@lal´ laaq@
@chilly person@|@qaajutooq@
@chin strap@|@allorpoq@
@china@|@marraq, ujaraasiaq@
@china plate@|@puuguttat ujaraasiat@
@chip@|@ulimmaku@
@chip box@|@matusartoq, pertaq@
@chisel@|@kaattariaq, ukkiarneq@
@chooses the right@|@naapertuilluarpoq@
@chopping block@|@ulimmavik@
@choral singing@|@erinarsoqattaarneq@
@Christmas and New Year greetings@|@Juullimi Ukiortaassamilu Pilluarit (sg), Juullimi Ukiortaassamilu Pilluaritsi (pl)@
@Church@|@Oqaluffik@
@church spire@|@oqaluffiup napparutaa@
@churchgoer@|@naalagiaq@
@city.@|@illorpassuit, illorpassualik@
@claps his cheek@|@ersarissarpaa@
@claps his hands@|@assani ersaartorpai@
@clasp-knife@|@savik ukusartoq@
@clatters@|@makkorpaluppoq, makkorpoq, makkuluppoq@
@cleaning instrument@|@saligut@
@cleans it@|@eqqiarpaa, salippaa, sannerpaa (sanik)@
@cleans it of soot@|@paaviarpaa@
@clears the table@|@nerrivik piiarpaa@
@cleaves it (the bird dart)@|@alluarpaa@
@clergyman@|@palasi@
@clerk@|@allattartoq@
@clever@|@ittanneq, mallak@
@climbing foot@|@majuffaseq@
@clings to something@|@najummatserpoq@
@clock-dial@|@nalunaaqquttap kiinaasaa@
@clod of sand@|@sioqqat issoqqat@
@closed@|@matuvoq@
@closes it@|@matuaa@
@closes the entrance to him or it@|@paangerpaa@
@closes well@|@mamilippoq@
@clothed@|@qallerpoq@
@clothes' chest@|@illerfiusaq@
@clothes it@|@qalleraapput qallerpaa qaatigut@
@clothes' line@|@manioqqat@
@clothes´ pin@|@kiggeqqut@
@clotted mass@|@issoqqaq@
@clove@|@qaquisaasaq@
@coal scuttle@|@qajuuttaq@
@coarse woollen material@|@meqqusaalik@
@coat@|@qallersaat@
@coat of mail@|@saattuaasaq, sakkutuussutit@
@coat or water-tight skin@|@erfaq (erippaa)@
@cock of gun@|@kiasiusaq@
@cocks the gun@|@kiasiusaa qiversippaa, silutippaa@
@coffee berry@|@kaffeq@
@coffee grounds@|@kaffikut, tangikut@
@coffee pot@|@kaffisorfik@
@coffee tree@|@kaffequt@
@cold@|@issi@
@collapses@|@ajaluvoq, ajalorpoq@
@collapses (a pile of wood@|@maqqartappoq@
@collects something@|@katersivoq@
@colour@|@qalipaat, qalipaatissaq@
@comb@|@illaagutit, illaajaatit pl@
@combs his hair@|@illaarpoq@
@come here@|@qarriitsi, qaagitsi, qaallusi@
@come here for a moment!@|@qaana, qaatsiarna, qaagallaat@
@come hither!@|@qarriit, qaallutit@
