@English@|@Old Nahuatl@
@artesian@|@amantecatl@
@artesian well@|@atiacuihuayan@
@artifial satellite@|@tepozcitlalcalli@
@artist@|@tocatzahualli, toltecatl@
@as@|@in yuh@
@as soon as@|@in oyuh@
@Asia@|@Axian@
@Asian@|@axiatecatl, axiatl@
@Asiatic@|@axiatecatl, axiatl@
@ask (to)@|@tlatlani@
@astro@|@citlalli, ilhuicatlamatli@
@astrologist@|@citlaltlamatini@
@astrology@|@citlaltlamatiliztli@
@astronaut@|@citlaltepozacalteyacanqui, ilhuicanemini@
@astronomical observatory@|@tzacualilhuicalli@
@astronomy@|@ilhuicatlamatiliztli@
@at@|@in canin@
@at dawn@|@oc yohuatzinco@
@at heaven@|@ilhuicac@
@at night@|@yohuac, yohualtica@
@at or on the Earth@|@tlalticpac@
@at the city@|@altepepan@
@at the hill@|@tepepan@
@at the hospital@|@cocoxcalpan@
@at the sky@|@ilhuicac@
@atmosphere@|@ehecaliztli@
@atole@|@atolli@
@aubergine@|@camohtomatl@
@aunt@|@ahuitl@
@auto@|@tepozmalacatl@
@autumn@|@tonalco@
@avocado@|@ahuacatli@
@awake (to)@|@tecochehua@
@awesome@|@teocuitlamatemecatl@
@axolote@|@axolotl (ambystoma mexicanum)@
@Aztec@|@aztecatl, mexicatl, nahuatl@
@Aztec bed@|@petlatl@
@Aztec language@|@mexicatahtolli, mexicatl, nahuatl, nahuatlahtolli@
@baby@|@conenetl, conetzintli, piltontli@
@back@|@cuetlapantli, elcomalli@
@back animal leg@|@icxitl@
@bacon@|@coyamenacahuaztli@
@bad@|@acualli, amo cualli@
@bad breath@|@camapotoniliztli@
@bag@|@tanatl, topcotl, xiquipilli, xiquipiltontli@
@bagpipes@|@ehuatlapitzalli@
@ballast@|@acaltetlalincateconi@
@banana@|@tzapalolli, tzapalotl@
@banner@|@pamitl, pantli@
@banner boat@|@acalcuachpamitl@
@bar@|@ocnamacoyan@
@barn owl@|@ahuatecolotl, chihtitl (asio flammeus), tolchicuatli@
@base@|@nelhuayotl@
@basquet@|@chiquihuitl@
@basquetball@|@chiquiuhtapayoliztli@
@bat@|@tzinacantli@
@bathroom@|@alticalli, axixcalli, nealtimaloyan@
@battle rations@|@yaoitacatl@
@bawl (to)@|@choquilitzatzi@
@bay@|@anepalco@
@be (to)@|@ca@
@be afraid (to)@|@imacaci@
@be African (to)@|@africa@
@be American (to)@|@ixachitlaca@
@be Asian (to)@|@axia@
@be Aztec (to)@|@azteca, mexica, nahua@
@be born (to)@|@hualnemi@
@be Chihuahuan (to)@|@chihuahua@
@be Cuban (to)@|@copa@
@be dying of hunger (to)@|@apizmiqui@
@be European@|@eutlocpa@
@be French@|@franzia@
@be frightened (to)@|@momauhtia@
@be happy (to)@|@paqui, yolpaqui@
@be hungry (to)@|@mayana@
@be Italian (to)@|@italia@
@be Korean (to)@|@coreya@
@be Latino (to)@|@latina@
@be Lebanese (to)@|@libanoya@
@be Mexican (to)@|@azteca, mexica, nahua@
@be Nahuatl (to)@|@azteca, mexica, nahua@
@be New Mexican (to)@|@yancuic mexica, yancuic nahua@
@be placed at (to)@|@motlalia@
@be sad@|@tlaocoya@
@be scared to death (to)@|@aaxixa@
@be shipwrecked (to)@|@acallapani@
@be sick (to)@|@mococoa@
@be sleepy (to)@|@cochmiqui@
@be something (to)@|@moyetztica@
@be South African (to)@|@africahuitztlalia@
@be Swedish (to)@|@zueca@
@be thirsty (to)@|@amiqui@
@be Tlaxcaltecan (to)@|@tlaxcala@
@be Utan (to)@|@yuta@
@beach@|@atentli, xaltentli@
@bead@|@cozcatl@
@bean@|@etl (phaseolus vulgaris)@
@beautiful@|@chichipaltic, cualtzin, quetzaltic, yectli@
@beaver@|@atuzan (castor canadensis)@
@because@|@ca, ic, pampa@
@become (to)@|@mochihua@
@become new (to)@|@yancuiya@
@become soft (to)@|@yemania@
@become white (to)@|@iztaya@
@bed@|@pechtli@
@bedroom@|@cochiantli, cochihuayan@
@bee@|@pipiyolin (apis mellifica), pipiyolli@
@beef@|@cuacuauhnacatl@
@beetle@|@atetepitztli, pinacatl@
@begin@|@pehua@
@behind@|@icuitlapan@
@belly@|@ititl@
@below@|@tlani@
@benign@|@tlatlacatl@
@berry@|@acecexocotl@
@berth@|@acalcochihuayan@
@between@|@intzalan@
@biceps@|@acolnacayotl@
@big@|@huei, huey@
@big basquet@|@cacaxtli@
@big sapota@|@cuatzapotl@
@bikini@|@maxtli@
@bile@|@chichicatl@
@bilge@|@acallayayaliztli@
@bilingual@|@ometlahto@
@bill@|@amatomin@
@bird@|@tototl@
@black (colour)@|@tliltic@
@black ant@|@tlilazcatl@
@black bear@|@tecuanotl (ursus americanus)@
@black beetle@|@pinacatl@
@black corn@|@yahuitl@
@black man (African people)@|@cacatzac, catzahuac@
@black people@|@cacatzactic, catzahuac@
@blackberry@|@amacapolin (morus nigra)@
@bless (to)@|@yectenehua@
@blood@|@eztli, yeztli@
@blossom@|@xochitl@
@blown up@|@aatenqui@
@blue@|@texotic, texotli@
@boat@|@acalli, acaltontli@
@boatman@|@acalhuacaquixtini@
@bobcat@|@ocomiztli (felis silvestris)@
@body@|@nacayotl@
@bold@|@acanixmauhqui@
@bone@|@omitl@
@book@|@amoxtli@
@bookshop@|@amoxtlatiloyan@
@border@|@tentli@
@born (to)@|@tlacati@
@bow@|@acalyacatl@
@bowl@|@caxitl@
@bowl stone@|@molcaxitl@
@boy@|@pilli, piltontli, telpochtli@
@bracelet@|@matemecatl@
@branch@|@cuauhmaitl@
@bread@|@tlaxcalli@
@break (to)@|@tlapana@
@breakfast (to)@|@teniza@
@bridge@|@ohatl, panoayan, tenolli@
@brief@|@maxtli@
@bring (to)@|@hualhuica@
@bring down (to)@|@tlaza@
@bring near (to)@|@teacitlania@
@broad and thick@|@patlahuacatilahuac@
@broccoli@|@cuauhtontzin@
@broom (to)@|@tlachpana@
@brother@|@icniuhtli, temini@
@brown@|@camiltic, tlaltic@
@bubble (to)@|@aapopoti@
@buffalo@|@tlacaxolotl (bison bison)@
@building@|@calli@
@bull@|@oquichcuacuahue (bos taurus)@
@bumblebee@|@cuaxicotli (apis bombus), xicotli@
@bungalow@|@xacalli@
@burn (to)@|@tlatla@
@bury (to)@|@toca@
@bus@|@calmimilolli@
@bussinesman@|@pochtecatl@
@but@|@auh, tel@
@butter@|@cuacuahuececeyotl@
@butterfly@|@papalotl@
@buy (to)@|@cohua@
@bye@|@ane, cualohtli@
@cabin@|@acalcochihuayan@
@cabinboy@|@acallanelotl, acalticapanoni@
@caffee (beverage)@|@cafetzin@
@caffee tree@|@cafecuahuitl (caffea arabica)@
@cake@|@necuhpantzin, tlaoyotlaxcalli@
@calendary@|@tonalamatl, tonalpohualli@
@Californian condor (vulture)@|@cozcatzopilotl@
@call someone (to)@|@hualmonochilia, notza@
@came@|@ohualla@
@camel@|@cameyotl (camelus bactrianus)@
@candy@|@xochitlacualiztli@
@cane@|@acatl@
@cane basquet@|@acachiquihuitl@
@cane box@|@acachiquihuitl@
@cane glue@|@acachauhtli@
@cane thicket@|@acatlan@
@cane tobacco@|@acayetl@
@canoe@|@acalpechtli, acaltontli@
@capitan of ship@|@acaltepachoani@
@capsicum@|@chilli (capsicum annuum)@
@car@|@tepozmalacatl@
@carrot@|@caxtilcamohtli, xochicamohtli@
@carry (to)@|@itqui@
@castle@|@caxtilcalli@
@cat@|@mixin (felis domestica), mizton@
@cataract@|@ixchichiticahuiliztli, ixtotolicihuiztli@
@catch up (to)@|@teaci@
@caterpillar@|@chiahuitl, tomaocuilin, tomaocuilli@
@Catholic@|@quixtiani, tlalticpacayo, tlalticpaquixtiani@
@Catholic church@|@tlalticpaquixtianayotl@
@cauliflower@|@xochiquilitl@
@cave@|@oztotl@
@cave-in@|@acoyoctli@
@celestial heaven@|@ilhuicatl@
@center@|@tlahco@
@centipede@|@petlazolcoatl@
@centre@|@tlahco@
@centzontli (Mexican nightingale)@|@centzontli (mimus polyglottos@
@chair@|@icpalli@
@Chalcan rulers@|@chalcatlatoque@
@chayote@|@chayotli (sechium edule)@
@cheer (to)@|@acohuetzi@
@cheerful@|@aahuiani@
@cheese@|@tlatetzauhtli@
@cherry@|@capolin, capolli, chilcapolin@
@chest@|@elpantli, tlacalaquilli@
@chestnut@|@cacahuacomitl@
@chick@|@piotl, pipiolotl@
@chicken@|@piotl, pipiolotl@
@chicken soup@|@totolayotl@
@Chihuahuan dog@|@tetlamichichi@
@child@|@conetl@
@children@|@cocone@
@chilli@|@chilli (capsicum annuum)@
@chilli pepper@|@chilli (capsicum annuum)@
@chin@|@camachalli@
@chipmuck@|@mototli@
@chocolate@|@xocolatl@
@choko@|@chayotli (Sechium edule)@
@Christian@|@quixtiani@
@Christian calendary@|@tonalpohualquixtiani@
@church@|@teocalli, teopantli@
@cirrostratus@|@tonatiuhcalli@
@citizen@|@altepehuatl, altepetlacatl@
@city@|@altepetl@
@clean@|@chipahuac@
@clean (to)@|@chipahua@
@clear@|@chipahuac@
@cliff@|@acuezcomatl@
@climb (to)@|@tleco@
@close (to)@|@tzacua@
@clothes@|@tlaquemitl@
@cloud@|@mixtli@
@coarseness@|@acualtlahtolli@
@cob@|@centli@
@cobweb@|@tocatzahualli@
@cock@|@caxtotolin (gallus domesticus, caxtotolli@
@cocoa@|@cacahuatl@
@coconut@|@cocotl@
@codex@|@amoxtli@
@collar bone@|@omicuicatl@
@college@|@telpochcalli@
@color@|@tlapalli@
@colour@|@tlapalli@
@come (to)@|@hualehua@
@come closer (to)@|@maxitia@
@come in (to)@|@calaqui@
@comet@|@citlalmina@
@command (to)@|@nahuatia@
@commoner@|@macehualli@
@completely@|@cenquizca@
@comprehend (to)@|@yeccaqui@
@computer@|@chiuhpohualhuaztli@
@conception@|@tlacatilia@
@concubinage@|@nemecatiliztli@
@cone@|@acalton@
@confortable@|@acohuetziqui@
@conforting@|@acohuetziqui@
@conquistador@|@tepehuani@
@consolation@|@acohuetziliztli, acotlazaliztli@
@console (to)@|@acohuetzi@
@consoling@|@acohuetziqui@
@constellation@|@centzonhuitzahuac@
@contemplation@|@acohuehuetiliztli, acoyaliztli@
@contemplative@|@acoyani@
@continent@|@hueytlahtocayotl, hueytlalpan@
@cooking fire@|@tlecuilli@
@cooking pot@|@comitl@
@cookware@|@comalli@
@copy@|@neixcuitilli@
@cord@|@mecatl@
@corn@|@centli@
@corn cob@|@centli@
@corn mass@|@nextamalli@
@corn paste@|@nixtamalli@
@corn pop@|@achipotzacellotl@
@corn stalk@|@elozacatl@
@corn straw@|@elozacatl@
@corner@|@calnacaztli@
@corsair@|@acalteichtecamictini@
@cosmic energy@|@teotiliztli@
@cosmo@|@ilhuicatl@
@cosmonaut@|@citlaltepozacalteyacanqui, ilhuicanemini@
@cotton@|@ichcatl@
@cougar@|@ocelotl@
@could it be@|@cuix@
@could water@|@acecec@
@count (to)@|@pohua@
@country@|@tlahtocayotl, tlalpan@
@country laborer@|@millacatl@
@courgette@|@ayoconetl@
@cousin@|@teixoyuhtli@
@cover@|@netlaquentiliztli@
@cow@|@cuacuahue, cuacue, huacaxi (bos domesticus)@
@coward@|@mauhcatlacatl, mauhcatlayecoani@
@cowardly person@|@mauhcatlacatl@
@cowboy@|@cuacuahueni@
@coyote@|@coyotl (canis latrans)@
@coyote-colored cotton@|@coyoichcatl@
@crab@|@atecuicitli, atecuiztli (grapsus grapsus)@
@craftsman@|@toltecatl@
@crate@|@cacaxtli@
@crater@|@axalapazco@
@cream@|@itlaixochichihualayotl, tlachichihualiztli@
@creature@|@yolcatl@
@cricket@|@chopilin, chopilli@
@cross@|@cuauhtollo@
@cry  (to)@|@choca@
@cry much (to)@|@choquilitzatzi@
@Cuba@|@Copan@
@Cuban@|@copanecatl, copatl@
@cucumber@|@ayoxoxouhcatl@
@cultural legacy@|@huehuetlahtolli@
@culture@|@huehuetlahtolli@
@cure (to)@|@patia@
@curse@|@acualitiliztli@
@cut (to)@|@cotona@
@cylindrical@|@acatic@
@daily@|@cecemilhuitica, momoztlae@
@damnation@|@acualitiliztli@
@dark@|@catzactic, catzahuac@
@dark blue@|@matlaltic@
@dark green@|@matlactic@
@dart@|@mitl@
@dattel@|@zoyacapolin@
@daughter@|@cihuaconetl@
@dawn@|@tlaneci@
@day@|@ilhuitl@
@day (morning)@|@tonalli@
@day after tomorrow@|@huiptla@
@deal by ship (to)@|@teacalhuia@
@dear father@|@tahtzintli@
@dear mom@|@nantzintli@
@dear son@|@piltzintli@
@dear teacher@|@temachticatzintli@
@death evening@|@acochiztlamicqui@
@deceitful word@|@iztlacatlatolli@
@deep@|@huehcatlan@
@deer@|@mazatl (cervus communis)@
@deformed@|@amocualneci@
@delicate@|@celic, chipahuac@
@delouse (to)@|@acelana@
@demolish (to)@|@cocotona@
@demon@|@tzitzimitl@
@depart (to)@|@onehua@
@departure@|@quizaliztli@
@depth@|@huehcatlan@
@descend (to)@|@temo@
@desire (to)@|@eiehuia@
@desk@|@acopechtli@
@destroy (to)@|@cocotona@
@devil@|@acualli, tlacatecolotl@
@devil’s doing@|@tlacatecoloyotl@
@devils@|@tlatlacatecolo@
@diabolical@|@atlacatl@
@dictionary@|@tlahtolamoxtli@
@die (to)@|@miqui@
@dine (to)@|@mocochcayotia@
@diner@|@tlacualoyan@
@dining room@|@tlacualoyan@
@dinner@|@cochcayotl@
@dinosaur@|@hueycuetzpalin@
@dirty@|@catzactic, catzahuac@
@dirty black@|@catzahuac@
@dirty-colored@|@catzahuac@
@diseased@|@cocoxqui@
@dish@|@caxpechtli@
@dismember (to)@|@cocotona@
@distant@|@huehca@
@ditch@|@acopinalli@
@do (to)@|@chihua@
@do someone (to)@|@chihuilia@
@dock@|@acalco, acaltecoyan@
@doctor@|@tepatiani, ticitl@
@dog@|@chichi (canis familiaris), itzcuintli (canis mexicanus)@
@dog meat@|@chichinacatl, itzcuinnacatl@
@dogs@|@itzcuintin@
@don’t@|@macamo@
@don’t worry@|@macamo xitequipacho@
@done@|@yeh@
@donkey@|@axnotl (equus asinus)@
@door@|@calacoayan, caltentli, tlatzacuillotl@
@dove@|@huilotl@
@down@|@temo, tlani@
@dragonfly@|@apipiyalotl, tlacocotl@
@dream (to)@|@cochitlehua@
@dream mystic visions@|@cochitta@
@drink (to)@|@coni, oni@
@drink water (to)@|@atli@
@drone@|@oquichpipiyolli@
@drowsy@|@cochmiqui@
@drugstore@|@pacalli@
@drunk@|@ihuintic@
@drunkenness@|@neihuintiliztli@
@dry cough@|@huaccatlatlaciztli@
@duck@|@canauhtli (anas sibilatrix)@
@duck egg@|@canauhtetl@
@dung ant@|@cuitlazcatl@
@during the afternoon@|@teotlac@
@eagle@|@cuauhtli (aquila chrysaetos)@
@eagle meat@|@cuauhnacatl@
@ear@|@nacaztli@
@earth@|@cemanahuactli, cemtalticpac@
@earth red@|@achiotic@
@earthquake@|@ollin, techicuacentecac, tlalollin, tzintzincaliztli@
@easily@|@ayohui@
@easy@|@ayohui@
@eat (to)@|@tlacua@
@edge@|@tentli@
@egg@|@atetl, totoltetl@
@eggplant@|@camohtomatl@
@eight@|@chicueyi@
@eighteen@|@caxtolli huan yei, caxtolyei@
@eighty@|@nauhpoalli@
@either@|@nozo@
@elbow@|@molictli@
@elephant@|@elepantli (elephas maximus)@
@eleven@|@matlacce, matlactli huan ce@
@elk@|@temazatl (rangifer tarandus)@
@embark (to)@|@acalaquia@
@embark on high sea (to)@|@tlaacallaza@
@enchantment@|@tlacatecolotlahtolli@
@England@|@Inglatlalpan@
@English@|@inglatecatl, inglatl@
@English language@|@inglatlahtolli@
@enjoice@|@aaquiliztli@
@enjoice (to)@|@aaqui@
@enjoy@|@aaquiliztli@
@enjoy (to)@|@aaqui@
@esteemed noble person@|@tlazotitlacatl@
@euro@|@euro@
@Europe@|@Eutlocpan@
@European@|@eutlocpatl, eutloctecatl@
@evening@|@yoalli, yohualli@
@every@|@ixquich@
@every day@|@cecemilhuitica, momoztlae@
@everyone@|@mochitlacatl@
@everything@|@ixquich, mochi@
@example@|@tezcatl@
@excite (to)@|@acomana@
@excrement@|@cuitlatl@
@exterior space@|@ilhuicalli@
@extract (to)@|@copina@
@eye@|@ixtelolotl, ixtelotli@
@face@|@ixtli, xayacatl@
@fail@|@acanoyehui@
@fair person@|@melahuacatlacatl@
@falcon@|@tohtli (falco communis)@
@fall down (to)@|@huetzi@
@falls (autumn)@|@tlahuetzico, tonalco@
@false god@|@iztlacateotl@
@falsehood@|@iztlacatiliztli, iztlacatlatolli@
@family@|@cenyeliztli@
@famine@|@apizmiqui@
@fan@|@aaquetzalli@
@fan (to)@|@tlaaquetza@
@far@|@huehca@
@farewell@|@ma xipatinemi@
@farm@|@axcatl@
@farmer@|@millacatl@
@fast@|@iciuhcan@
@fast food@|@tlacatlacualli@
@fasting food@|@tlacatlacualli@
@fat@|@tomahuac@
@father@|@tahtli@
@fathers@|@tahtin@
@fatigued@|@ciciamicqui@
@fax@|@faxi@
@fear (to)@|@imacaci@
@fearful person@|@mauhcatlacatl@
@feed (to)@|@tlacua, tlacualtia@
@feel good (to)@|@mohuelmati@
@female@|@cihuatic, cihuatl@
@ferryman@|@acalhuacaquixtini@
@fetch (to)@|@hualhuica@
@fever@|@atonahui, comitl@
@fifteen@|@caxtolli@
@fifty@|@ompoalomatlactli@
@fig@|@hicox@
@finally@|@zatlatzonco@
@finger@|@mapilli@
@fingernail@|@iztetl@
@finish (to)@|@tlami, tlatzopa, tlayacauhqui@
@fir@|@ozocotl (abies religiosa)@
@fire@|@tletl@
@firefly@|@copitl (neotragus pygmaeus), icpitl@
@firewood@|@tlecuahuitl@
@firmament@|@ilhuicalpan@
@firm-fleshed@|@nacatetic@
@firtly@|@achtopa@
@firts@|@acattopa, achto@
@fish@|@michin@
@fishing@|@michmaliztli@
@fishing rod@|@acacuextli@
@five@|@macuilli@
@flag@|@pantli@
@flame@|@tletl, tlexiuhtic@
@flamingo@|@quecholli@
@flat pan@|@comalli@
@flay (to)@|@tlaxipehua@
@flea@|@tecpintli@
@flee (to)@|@choloa@
@flesh@|@nacatl@
@flesh of cattle@|@cuacuauhnacatl@
@flesh of men@|@tlacanacatl@
@flesh of pig@|@pitzonacatl@
@flesh of the ankle@|@quequeyolnacatl@
@flesh of the calf@|@cotznacatl@
@flesh of the chest@|@elnacatl@
@flesh of the face@|@ixnacatl@
@flesh of the finger@|@mapilnacatl@
@flesh of the head@|@cuanacatl@
@flesh of the knee@|@tlancuanacatl@
@flesh of the leg@|@cotznacatl@
@flesh of the lips@|@tennacatl@
@flesh of the navel@|@xicnacatl@
@flesh of the neck@|@quechnacatl@
@flesh of the palm of the hand@|@macpalnacatl@
@flesh of the sole of the foot@|@xocpalnacatl@
@flesh of the thigh@|@metznacatl@
@flesh of the toe@|@xopilnacatl@
@flesh penis@|@nacatepolli@
@flesh-like@|@nacatic@
@flower@|@xochitl@
@flower cord@|@xochimecatl@
@flower necklace@|@xochicozcatl@
@flower song@|@xopancuicatl@
@flute of pan@|@acatlapitzalli@
@fluted@|@acaltic@
@fly@|@zayolin (musca domestica), zayolli@
@fly (to)@|@patlani@
@follow someone (to)@|@hualtepotztoca@
@font@|@acaxtontli@
@food@|@tlacualli@
@food for the road@|@itacatl@
@foot@|@xotl@
@for a while@|@huehcauhtica@
@for ever@|@cemiac@
@for some time short@|@huehcauhtica@
@foreface@|@ixcuaitl@
@forest@|@cuauhtlan@
@forgive (to)@|@mopopolhuilia, tlapopolhuia@
@forward@|@ocachinepan, ocnepan@
@foundation@|@nelhuayotl@
@founder (to)@|@tlaacana@
@fountain@|@ameyalli@
@four@|@nahui@
@four reed@|@nahuacatl@
@fourteen@|@matlacnahui, matlactli huan nahui@
@fourty@|@ompoalli, ompohualli@
@France@|@Franzitlan@
@free (to)@|@momaquixtilia@
@French@|@franzitecatl, franzitl@
@French language@|@franzitl, franzitlahtolli@
@frequently@|@achi miecpa@
@fresh@|@celic, chipahuac@
@fresh water@|@chipahuacatl@
@fresh water prawn@|@acamayatl (penaeus riveti)@
@friday@|@macuililhuitl@
@friend@|@icniuhtli@
@frigate@|@acalli teyaochihuani@
@frog@|@cueyatl, milcacalatl (rana pipens)@
@from@|@ihuicpa, in ihuicpa@
@front animal leg@|@matli@
@frontier@|@calixcuatl, panohco@
@fruit@|@cuitlaxocotl, xochicualli@
@fulfill (to)@|@tlaaxiltia@
@full bodied@|@nacatic@
@furious@|@aacqui@
@furniture@|@nealtimaloyan@
@galaxy@|@citlalpopocac@
@garbage@|@tlazolli@
@garden@|@xochitlan@
@garland of flowers@|@xochicozcatl@
@garlic@|@coznacatl (allium sativum)@
@gather (to)@|@mocentlalia@
@gay man@|@huilontli, tecuiloni@
@gentle@|@tlatlacatl@
@gentle person@|@yamancatlacatl@
@gentleman@|@tlacatzintli@
@geography@|@cemanahuactiliztli@
@German@|@teutontecatl, teutontlacatl, teutotl@
@German language@|@teutontlahtolli, teutotl@
@Germany@|@Teutotitlan@
@get closer (to)@|@maxitia@
@get dressed (to)@|@motlaquentia@
@get in!@|@¡ xoncalaqui !@
@get inside (to)@|@calaqui@
@get pregnant (to)@|@tlacatilia@
@get tired (to)@|@ciyahui@
@get up (to)@|@mehua@
@girl@|@cihuatontli@
@give (to)@|@maca, momaquilia@
@give food (to)@|@tlacualtia@
@give pleasure (to)@|@pactia@
@glad@|@aahuiani@
@gladly@|@ica paquiliztli@
@gloworm@|@copitl (neotragus pygmaeus), icpitl@
@glue@|@acatzacuiztli@
@go down (to)@|@temo@
@go out (to)@|@hualquiztia, quiza@
@go to greet someone (to)@|@tlapalotiuh@
@go up (to)@|@tleco@
@goat@|@tentli, tentzontli@
@god@|@teotl@
@God@|@teocuitlamatemecatl@
@God father@|@Diotzin, moyocoyani, teyocoyani@
@god of the heavens@|@ilhuicateotl@
@gods’ song@|@teocuicatl@
@gold@|@teocuitlatl, teocuitlatl (Au)@
@gold arm band@|@teocuitlamatemecatl@
@gold necklace@|@teocuitlacozcatl@
@golden@|@teocuitlatic@
@golden arm band@|@teocuitlamatemecatl@
@golden bracelet@|@teocuitlamatemecatl@
@golden necklace@|@teocuitlacozcatl@
@golf@|@golfiztli@
@good@|@cualli, cualli ic, huelic, yectli, yectli@
@good afternoon@|@cualli teotlactin@
@good bye@|@ane, cualohtli, ichquixca moztla@
@good evening@|@cualli teotlac, cualli teotlactin, cualli yohualtin@
@good morning@|@cualli tonally, cualli tonaltin, panolti@
@good night@|@cualli yohualli, cualli yohualtin@
@goodness@|@cuallotl@
@goods@|@yeyectin@
@goose@|@tlalalacatl (anser anser)@
@gossip@|@tlacatlahtolli@
@gossip (to)@|@teaachcui@
@governor@|@tlahtoani@
@grab (to)@|@ana@
@grandfather@|@colli, huehuetahtli@
@grandfathers@|@coltin@
@grandmother@|@cihtli, ilamanantli@
@grandmothers@|@cicihtin@
@grapefruit@|@hueylalaxtli, hueyxocotl@
@grapes@|@xocomecatl (vitis uvifera)@
@grass@|@acaxacahuitztli, zacatontli@
@grasshopper@|@chapolin@
@gray@|@nextic@
@great-grandfather@|@achtontli@
@green@|@xoxoctic, xoxoctli@
@green beans@|@exotl@
@green lizard@|@cuauhcuetzpalin, ozohuitli (iguana iguana)@
@green stone necklace@|@chalchiuhcozcatl@
@green tomato@|@miltomatl, tomatl (physalis ixocarpa)@
@greet (to)@|@tlapaloa@
@Gregorian calendary@|@tonalpohualquixtiani@
@grey@|@nextic@
@grind (to)@|@teci@
@grinding stone@|@metlatl@
@grow (to)@|@cueponi@
@guava@|@chalxocotl, xaxocotl@
@guava tree@|@xaxocuahuitl@
@gulf@|@anepantlan@
@gull@|@atototl@
@guts@|@cuitlaxcolli@
@guy@|@telpocatl, telpochtli@
@hair@|@tzontli@
@hand@|@maitl@
@happen an event (to)@|@mochihua@
@harbour@|@acalquixoayan@
@hard@|@chicahuac@
@hard-fleshed@|@nacatetic@
@hards@|@chicahuaque@
@hare@|@citli (lepus callotis)@
@have children (to)@|@tlacachihua@
@have dinner (to)@|@mocochcayotia@
@have the need to go to the restroom (to)@|@axixmiqui@
@He@|@yeh-, yehuatl@
@head@|@cuaitl, tzontecomatl@
@healer@|@tepatiani, ticitl@
@health resort@|@acaxotlan@
@healthy@|@chicahuac@
@hear (to)@|@caqui@
@heart@|@yollotl@
@heaven@|@ilhuicalpan, ilhuicatl@
@heavy@|@yetic@
@heavy fleshed@|@nacateton@
@heavy rope@|@huepanmecatl@
@heel@|@chocholli, icxitl@
@hell@|@tlacanacatl@
@hello@|@hao, niltze@
@hells@|@tlatlacatecolo@
@helmsman@|@acalhueltecani@
@help (to)@|@palehuia@
@hen@|@cuanacatl, totolin, totolli (gallus domesticus)@
@herb@|@xihuitl@
@here@|@nican@
@here is@|@izcatqui@
