@English@|@Maltese@
@Believing@|@Twemmin@
@Belittling@|@Tiċkien@
@Bellows@|@Minfaħ@
@belly@|@żaqq@
@Beloved@|@Għażiż@
@Bench@|@Bank@
@Beside@|@Ma' ġenb@
@betray@|@Ittradixxa@
@Better@|@Aħjar, Itjeb@
@Between@|@Bejn@
@Between one and another@|@Bejn ħaġa u oħra@
@Big@|@Kbir@
@Bigger@|@Akbar@
@bike@|@rota@
@Billow@|@Ħalla@
@Bine@|@Dielja@
@Bird@|@Għasfur@
@Biscuit@|@Biskott@
@bite@|@Gidem@
@Bitter@|@Morr@
@Black@|@Iswed, Sewda@
@Blackness@|@Swidija@
@Blacksmith@|@Ħaddied@
@Blacktail@|@Kaħlija@
@Blade@|@Xafra@
@bleed@|@Fasad@
@bless@|@Bierek@
@Blessed@|@Mbierek@
@Blessing@|@Barka, Tberik, Tberika@
@Blind@|@Agħma, Għamja@
@Blindness@|@Għama@
@blink@|@Petpet@
@blood@|@demm@
@blossom@|@Iffjori (-xx-)@
@Blossom@|@Żahra@
@blow@|@Nefaħ@
@Blow@|@Nefħa@
@Blowing@|@Nfiħ@
@Blue@|@Blun, Ikħal, Kaħla@
@Boat@|@Dgħajsa@
@Body@|@Ġisem@
@boil over@|@Far@
@Bone@|@Għadma@
@Bonfire@|@Ħuġġieġa@
@book@|@Ibbukja@
@Book@|@Ktieb@
@boot@|@żarbuna@
@Born@|@Milud@
@borrow@|@Issellef@
@Bosom@|@Ħobb@
@boss@|@mgħallem@
@Bottle@|@Flixkun@
@Bottom@|@Qiegħ@
@Bought@|@Mixtri@
@Bowl@|@Bieqja@
@boy@|@tifel@
@Boyhood@|@Tfulija@
@Brain@|@Moħħ@
@Branch@|@Brazz, Fergħa@
@Brazier@|@Maġmar@
@Bread@|@Ħobża@
@break@|@kiser, Qasam@
@Break@|@Tkissira@
@Breaking@|@Tkissir@
@Breast@|@Sider@
@breathe@|@respira@
@Breathlessly@|@Bla nifs@
@Bridegroom@|@Għarus@
@Brightness@|@Dija@
@bring@|@ġab@
@bring down@|@Niżżel@
@bring nothing@|@Xejjen@
@bring s.o. near@|@Ressaq@
@Broken@|@Miksur, Mkisser@
@Brooding Hen@|@Qroqqa@
@Broom@|@Mselħa@
@brother@|@ħu@
@Brother-in-law@|@Ħaten@
@Brought@|@Miġjub@
@Brown@|@Kannella@
@Brownish@|@Smajjar@
@Brownness@|@Smura@
@bruise@|@Benġel@
@Bruise@|@Tbenġila@
@Bruising (v.n.)@|@Tbenġil@
@Bubble@|@Bużżieqa@
@Bucket@|@Delu@
@build@|@Bena@
@Builder@|@Bennej@
@Built@|@Mibni@
@Bull@|@Barri@
@Bunch@|@Mazz@
@Bundle@|@Sorra@
@burn@|@Ħaraq@
@Burn@|@ħruqa@
@Burning@|@ħruq@
@bury@|@Difen@
@Businessman@|@Negozjant@
@But@|@Iżda@
@butcher@|@Biċċer@
@Butchered@|@Imbiċċer@
@butter@|@butir@
@buy@|@Xtara@
@By air@|@Bil-arju@
@By any chance?@|@Jewilla?@
@By everyone@|@Minn kullħadd@
@By fair means@|@Bis-sewwa@
@By fould means@|@Bid-dnewwa@
@By right@|@Bil-jedd@
@By what right?@|@Min sa fejn?@
@Cabbage@|@Kaboċċa@
@Cage@|@Qafas@
@Calf@|@Għoġol@
@call@|@ċempel@
@Came@|@Ġej@
@Camel@|@Ġemel@
@camera@|@kamera@
@Canary@|@Kanarin@
@Candlestick@|@Gandlier@
@cap@|@kappell@
@Car@|@Karozza@
@Careful@|@Attent@
@Carelessly@|@Bla attenzjoni@
@Carelessness@|@Addoċċ@
@Caressing touch@|@Tmellisa@
@Carnival@|@Karnival@
@Carpet@|@Tapit@
@carress@|@Melles@
@Carressing@|@Tmellis@
@Carriage@|@Ġarr@
@carry@|@ġarr@
@Cassocks@|@Suttana@
@Castle@|@Kastell@
@Cat@|@Qattus@
@Catcher@|@Kaċċatur@
@Caulker@|@Qalfat@
@cause@|@ġiehel@
@cause cut@|@Qatta'@
@cause hernia@|@Bażwar@
@Cave@|@Għar@
@Ceiling@|@Saqaf@
@Celery@|@Karfusa@
@Century@|@Seklu@
@Certain@|@Ċertu, Żgur@
@Certainly@|@Bilfors@
@Certainty@|@Ċertezza@
@Chaffeur@|@Xuffier@
@Chair@|@Siġġu@
@Chalk@|@Ġibsa@
@challenge@|@Iċċalenġja@
@change@|@Bidel@
@Change@|@Bidla, Bqija@
@Changing@|@Bdil@
@Chapel@|@Kappella@
@Chaplain@|@Kappillan@
@Charming@|@Gustuż@
@chat@|@Paċpaċ@
@Cheap@|@Rħis@
@Cheaper@|@Irħas@
@cheat@|@Bixkel@
@Cheek@|@Ħadd@
@Cheese@|@Ġobna@
@Cheese form@|@Qaleb@
@Cheese grater@|@Mħakka@
@Cheque@|@Ċekk@
@cherish@|@Għażż@
@Cherry@|@Ċirasa@
@Chicken@|@Fellus@
@child@|@tifel/tifla@
@Child@|@Tifel, Wild@
@Childhood@|@Żgħożija@
@Child's cloak@|@Mleff@
@choose@|@Għażel@
@Christan@|@Nisrani@
@Christmas@|@Millied@
@Church@|@Knisja@
@Cistern@|@Ġiebja@
@City@|@Belt@
@clap@|@ċapċap@
@clarify@|@Iċċara@
@Clayey@|@Tafli@
@Clean@|@Pulit@
@Cleanliness@|@Ndafa@
@Clever@|@Bravu@
@Clock@|@Arloġġ@
@close@|@għalaq@
@Closed@|@Magħluq@
@Cloth@|@Xoqqa@
@cloud@|@sħaba@
@Cloud@|@Sħab@
@Cloudy@|@Musħab@
@Club@|@Klabb@
@coagulate@|@Ikkoagula@
@Coak@|@Glekk@
@coat@|@kowt@
@Cock@|@Serduq@
@Coffin@|@Tebut@
@Coin@|@Fils@
@Coins@|@Bqija@
@Cold@|@Biered, Kiesaħ, Ksieħ@
@Cold Sickness@|@Riħ@
@collapse@|@Sfonda@
@Collar@|@Ħannieqa@
@collect@|@Ġabar, Ġama'@
@Collection@|@Ġabra@
@Collision@|@ħabta@
@Colony@|@Kolonja@
@Color@|@Kulur, Lewn@
@Colt@|@Felu@
@comb@|@Maxat@
@Comb@|@Petne@
@come@|@Ġie@
@come true@|@Saħħ@
@Comfort@|@Kumidita@
@comfort s.o.@|@Sabbar@
@Coming@|@Miġja@
@Coming after@|@Ta' wara@
@command@|@Ikkmanda@
@Communion@|@Tqarbina@
@Companion@|@Sieħeb@
@Compassion@|@Mogħdrija@
@compell@|@Għaġal@
@Compelling (noun)@|@Tiġġgħil@
@compete@|@Ikkompeta@
@Competition@|@Għeluq@
@complain@|@Gerger@
@Complaint@|@Tgergira@
@Complicated@|@Mħawed@
@compose@|@Ikkompona@
@computer@|@kompjuter@
@Concealment@|@Mistoħbija@
@Conception@|@Kunċizzjoni@
@concern@|@Ikkonċerna@
@confess@|@Qarr, Stqarr@
@Confession@|@Qrara@
@Confusion@|@Taħwid@
@Considering that…@|@La darba@
@contain@|@Wasa'@
@contest@|@Ikkontestja@
@Contract@|@Kuntratt@
@contradict@|@Mera, Miera@
@Contrarily@|@Kuntrarjament@
@Contrary@|@Kuntrarju@
@contribute@|@Ikkontribw (-xx-)@
@cook@|@Sar@
@Cooking@|@Sajran@
@copy@|@Ikkopja@
@Corkstopper@|@Tapp@
@Corn@|@Kallu, Qamħa@
@Corner@|@Rokna@
@Corner of eye@|@Ir-rokna tal-għajn@
@Corpse@|@Masġar@
@Cottage@|@Dwejra@
@Cottom@|@Qotna@
@Couldn’t be more…@|@Adj + Fuq li + adj@
@count@|@għadd@
@Country@|@Pajjiż@
@Courage@|@Kuraġġ@
@Couragious@|@Qalbieni@
@cousin@|@kuġin@
@cover@|@Kopra@
@Cow@|@Baqra@
@Coward@|@Ġifa@
@crack@|@Xaqq@
@Craft@|@Sengħa@
@creak@|@żaqżaq@
@Creak@|@żaqżiqa@
@Creaking@|@żaqżiq@
@create@|@Ħalaq@
@Creature@|@Ħlieqa@
@Creed@|@Kredu@
@cripple@|@Stronkja@
@Crisis@|@Kriżi@
@Critic@|@Kritiku@
@Cross@|@Salib@
@crucify@|@Sallab@
@Cruel@|@Kattiv, Kiefer, Krudil@
@crunch@|@Qarmeċ@
@Crunch@|@Tqarmiċa@
@Crunching@|@Tqarmiċ@
@cry@|@beka@
@cut@|@Qata', qata’@
@Cut (adj)@|@Maqtugħ@
@cut inpieces@|@Qatta'@
@Cutlery@|@Pużati@
@Damnation@|@Telfien@
@dance@|@Żifen@
@Dance@|@Żifna@
@Dancing@|@Żfin@
@Dark place@|@Dalma@
@Darkness@|@Dlam@
@Date@|@Tamla@
@Daughter@|@Bint@
@day@|@ġurnata@
@Day@|@Jum@
@daybreak@|@Sebaħ@
@Dead@|@Mejjet@
@Deaf@|@Trux, Truxa@
@deal@|@Iddilja@
@Dear@|@Għażiż@
@Dearer@|@Egħżiż@
@Death@|@Mewta@
@Death (instance)@|@Mewta@
@Death (v.n.)@|@Mewt@
@Debt@|@Dejn@
@deceive@|@Iġġakbina@
@decide@|@Iddiċida@
@Decided@|@Deċiż@
@decompose@|@Iddekompona@
@decorate@|@żejjen@
@Deed@|@Għamil@
@deepen@|@Approfondi (-xx-), Fannad@
@defame@|@Infama@
@defend@|@Iddeffenda@
@Defended@|@Difiż@
@Defense@|@Difensur@
@deferr@|@Iddifferixxa@
@Deferred@|@Iddifferit@
@Definite@|@Definit@
@degenerate@|@Iddeġenera@
@Delegate@|@Delegat@
@delight@|@Paxxa@
@deliver@|@Ħeles@
@Demote@|@Taħħat@
@Denial@|@Tiċħid@
@denounce@|@Iddenunzja@
@deny@|@Ċaħad@
@deny oneself@|@Iċċaħħad@
@depart@|@Telaq@
@Departure@|@Safar@
@Dependent@|@Dipendenti@
@descend@|@Niżel@
@Descending (adj)@|@Nieżel@
@Descending (p.p)@|@Nieżel@
@Descent@|@Nżul@
@descriminate against@|@Iddivrenzja@
@Desirious@|@Xewqan@
@destroy@|@Qered@
@Destroyed@|@Mħarbat@
@Determination@|@Determinazzjoni@
@Devastation@|@Tħarbit@
@develop@|@żviluppa@
@Devil@|@Xitan@
@devour@|@Ħeġem@
@die@|@Miet@
@Dieing@|@Mewt@
@differ@|@Iddiferi (-xx-)@
@Difficult@|@Diffiċli@
@dig@|@Għażaq, ħaffer@
@Diligent@|@Bieżel@
@direct@|@Idderieġa@
@Director@|@Diriġent@
@disappear@|@Għab@
@disassmeble@|@żarma@
@disassociate@|@Iddiżassoċja@
@disburse@|@Żborża@
@discharge from work@|@Issensja@
@Disciplinary@|@Ta' dixxiplina@
@Discipline@|@Dixxiplina@
@Dishonered@|@Diżonorat@
@Dishonest@|@Diżonest@
@disinfect@|@Iddiżinfetta@
@disobey@|@Iddiżubbi (-xx-)@
@Disordered@|@Diżordenat@
@Disqalified@|@Skwalifikat@
@dissapprove@|@Iddiżapprova@
@distance@|@distanza@
@distance oneself@|@Tbiegħed@
@Distinction@|@Distinżjoni@
@distribute@|@Qassam@
@Distributing@|@Taqsim@
@Distributing (v.n.)@|@Tqassim@
@Distribution@|@Taqsima, Tqassima@
@dive (plane)@|@Iddajvja@
@divide@|@Qasam@
@Division@|@Divixin@
@Divorce@|@Divorzju@
@divorce s.o.@|@Iddivorzja@
@Divorced@|@Divorzjat@
@do@|@Għamel@
@Doctor@|@Tabib@
@Dog@|@Kelb@
@dominate@|@Iddomina@
@Domination@|@Dominanza@
@Donkey@|@Ħmar@
@Door@|@Bieb@
@Dormancy@|@Rqad@
@Dostaff@|@Magħżel@
@Dot@|@Tikka@
@doubt@|@Iddubita@
@download@|@Iddawnlowdja@
@Downward@|@L isfel@
@Drawer@|@Kexxun@
@Drawing-room@|@Sala@
@dream@|@Ħolom@
@Dream@|@Ħolma@
@Dreaming@|@Ħolm, Ħolm@
@Dress@|@Libsa@
@dress fashionably@|@Faġġaġ@
@dress s.o.@|@Lebbes@
@Dressed@|@Liebes@
@Dressed up@|@Liebes@
@drink@|@Xorob@
@Drink@|@Xarba, Xorba@
@drink pints@|@Pennet@
@Drinking@|@Xorb@
@Drinking Glass@|@Tazza@
@drip@|@Qattar@
@Driving@|@Sewqan@
@Drop@|@Qatra@
@drum@|@Tanbar@
@Drum@|@Tanbur@
@Drumming (v.n.)@|@Tanbir@
@Drunk@|@Sikran@
@Drunkenness@|@Sokor@
@Dry@|@Niexef@
@Dryness@|@Nixfa@
@duel@|@Iddwella@
@Duel@|@Dwell@
@Dumb@|@Mutu@
@Dunghill@|@Miżbla@
@During the day@|@Bi nhar@
@dust@|@traba@
@Dusting@|@Tfarfar@
@Dusty@|@Mutrab@
@Duty@|@Obbligu@
@Each@|@Kul wieħed@
@Each other@|@Li Xulxin@
@Eache one@|@Kull wieħed@
@Eager@|@Ħerqan@
@Eagerness@|@Ħerqa@
@Ear@|@Widna@
@earn@|@Qala'@
@Earned@|@Maqlugħ@
@Earning (v.n.)@|@Qligħ@
@Earth@|@Art@
@Earthquake@|@Terremot@
@East@|@Lvant@
@Easy@|@Faċli, Ħafif@
@eat@|@Kal, Kiel@
@echo@|@Rbombja@
@edit@|@Editja@
@Editing (v.n.)@|@Editjar@
@Eel@|@Sallur@
@Egg@|@Bajda@
@Eight@|@Tmienja@
@Eighteen@|@Tmintax@
@Eighth@|@It-tmien@
@Eighty@|@Tmenin@
@Elbow@|@Minkeb@
@Eleven@|@Ħdax@
@embark@|@Imbarka@
@embroil@|@Bixkel@
@emerge@|@Feġġ@
@emigrate@|@Siefer@
@Emperor@|@Imperatur@
@Emphasis@|@Tanbira@
@employ@|@Mpjega@
@empty@|@Battal@
@enchant@|@Seħħer@
@Enchantment@|@Seħer@
@Enclosure@|@Magħlaq@
@encumber@|@Ngombra@
@End@|@Tarf@
@enemy@|@għadu@
@English@|@Ingliż@
@enjoy@|@Gawda@
@enjoy oneself@|@Ixxala@
@Enjoyment@|@Divertiment@
@enlarge@|@Kabbar@
@Enough@|@Biżżejjed@
@enroll oneself@|@Ngaġġa@
@enter@|@Daħal@
@Entering@|@Dħul, Dieħel@
@Enthusiasm@|@Ħeġġa@
@Entrance@|@Daħla@
@envy@|@Għar@
@err@|@Żbalja@
@Error@|@Żbalju@
@errupt@|@żbroffa@
@espose oneself@|@Tperreċ@
@establish@|@Stabili (-xx-)@
@Eternal@|@Etern@
@Eventually@|@Eventwalment@
@Every@|@Kull@
@Everyone@|@Kull ħadd@
@Everything@|@Kollox@
@Everywhere@|@Kullimkien@
@Evil@|@ħażena@
@examine@|@Eżamina@
@Examiner@|@Eżaminatur@
@Except@|@Għajr, Għejr, Ħlief@
@Exclamation@|@Stagħġiba@
@Excuse me@|@Skużi@
@excuze@|@Skuża@
@exercise@|@Skonġra@
@Exit@|@Ħarġa@
@Exiting@|@Ħruġ@
@Expense@|@Spiża@
@Expensive@|@Għali@
@explain@|@Fiehem, Fisser@
@exploded@|@Sploda@
@exploit@|@Esplojtja@
@Exploit@|@Bravura@
@Exponent@|@Esponent@
@expose@|@Espona, Perreċ@
@expose the sun@|@Xemmex@
@express@|@Esprima@
@extend@|@Estenda, Stenda@
@Extended@|@Estiż@
@Eye@|@Għajn@
@Eyebrow@|@Ħaġeb@
@Eyebrows@|@Ħuġbejn@
@Eyelash@|@Ix-xagħar tal-għajn@
@Eyelid@|@L-għatu tal-għajn@
@Face@|@Wiċċ@
@face a situation@|@Iffronta@
@facilitate@|@Iffaċilita@
@factory@|@fabbrika@
@fail a test@|@Weħel@
@faint@|@Żvina@
@Fairytale@|@Ħrafa@
@Faith@|@Fidi@
@Faithfully@|@Fedelment@
@fall@|@waqa’@
@fall sick@|@Marad@
@falsify@|@Fallas@
@Family@|@Familja@
@Fan@|@Mrewħa@
@Fanatic@|@Fanatiku@
@fancy@|@Fantas@
@Fantasy@|@Fantażija@
@Far@|@Bgħid, Bogħod@
@Farm@|@Qasam@
@Farther@|@Ibgħad@
@fast@|@Sam@
@Fast@|@Sawma@
@fasten@|@Hemeż@
@fasten with nails@|@Sammar@
@Fastening of nails@|@Tismira@
@Fasting@|@Sajjem@
@Fasting (adj)@|@Sajjem@
@Fasting (v.n.)@|@Sawm@
@fat@|@xaħma@
@Fat@|@Smin@
@Father@|@Missier@
@Fatness@|@ħxuna@
@fatten@|@Baċċaċ, ħaxxen@
@Fatter@|@Ismen@
@Favorite@|@Favorit@
@fear@|@Baża', beża’@
@feather@|@rixa@
@feed@|@Tama'@
@feed animals@|@Għalef@
@feel@|@ħass@
@feel repugnance for@|@Ombra@
@Fennel@|@Busbiesa@
@ferment@|@Ħemer@
@Ferocious@|@Feroċi@
@Fertile@|@Għammiel@
@fester@|@Denna@
@Festival@|@Għid@
@Fever@|@Deni@
@Field@|@Għalqa@
@Fierce@|@Aħrax, Ħarxa@
@Fiercer@|@Eħrex@
@Fifteen@|@Ħmistax@
@Fifth@|@Il-ħames@
@Fifth (1/5)@|@Kwint@
@Fifty@|@Ħamsin@
@fight@|@ġġieled, Tqabad@
@Fight@|@Ġlieda, Tqabida@
@Fighting@|@Ġlied, Tqabid@
@Fighting (v.n.)@|@Tqabid@
@Figure@|@Figura@
@fill@|@Mela@
@fill with clods@|@Tawwab@
@Filled@|@Mimli@
@Filly@|@Felwa@
@Finance@|@Finanza@
@find@|@sab, Sar@
@Finger@|@Saba', Sabagħ@
@Fingernail@|@Difer@
@finish@|@Spieda, Temm@
@fire@|@Spara@
@Fire@|@Nar@
@Firing@|@Sparatura@
@Firm@|@Sod@
@First@|@L-ewwel@
@First (Adjective)@|@Ewlieni, Ewlenija@
@Fish@|@Ħuta@
@Fishing@|@Sajd@
@Fishing Hook@|@Sunnara@
@Fishing Line@|@Xlief@
@Fishing Net@|@Għażel@
@fit@|@Iffittja@
@Five@|@Ħamsa@
@Fixation@|@Fissazzjoni@
@Fixed@|@Ċass, Fiss@
@Flat@|@Ċatt@
@flatten@|@Iċċattja@
@Fled@|@Maħrub@
@flee@|@Skappa@
@float@|@għam@
@Flock@|@Merħla@
@floor@|@art@
@flow@|@għadda@
@flower@|@fjura@
@Flower@|@Fjur@
@Flowing@|@Mexxej@
@fly@|@Qela, Tar@
@Fly@|@Dubbiena@
@Fodder@|@Magħlef@
@fog@|@ċpar@
@Folding Knife@|@Mus@
@Folkloric@|@Folkloristiku@
@follow@|@Segwa@
@fool s.o.@|@ċewweċ@
@Foolish@|@Belhieni, Ibleh, Belha@
@Foot@|@Sieq@
@Footwarmers@|@Papoċċ@
@For@|@Għal@
@For no good reason@|@Għal xejn@
@For one year@|@Għal sena@
@for the reason that@|@Billi@
@For today@|@Għal-lum@
@For what reason?@|@Għalfejn?@
@For which@|@Li għal + p.s.@
@Forehead@|@Ġbin, Moħħ, Moħħ@
@Foreign@|@Barrani@
@forest@|@foresta@
@forget@|@Nesa@
@forgive@|@Ħafer@
@Forgiveness@|@Maħfra@
@Forgotten@|@Minsi@
@Fork@|@Furketta@
@Fortunately@|@Fortunament@
@Fortune@|@Fortuna@
@Found@|@Misjub@
@Fountain@|@Għajn@
@Four@|@Erbgħa@
@Fourteen@|@Erbatax@
@Fourth@|@Ir-raba'@
@Fourty@|@Erbgħin@
@Fowl@|@Tajr@
@Fragile@|@Fraġli@
@Fragrance@|@Fwieħa@
@frame s.th.@|@Nkwadra@
@free@|@Ħeles@
@Free@|@Ħieles@
@Freed@|@Meħlus@
@Freedom@|@ħelsa, Ħelsien@
@freeze@|@ffriza@
@French@|@Franċiż@
@Fresh@|@Frisk@
@fridge@|@friġġ@
@Fried@|@Moqli@
@Friend@|@Ħabib@
@frighten@|@Bażża'@
@From@|@Minn@
@From behind@|@Minn wara@
@From now on@|@Min issa 'l quddiem@
@From the list@|@Mil-lista@
@From the people@|@Min-nies@
@From what@|@Billi@
@Frost@|@Ġlata@
@Fruit@|@Frotta@
@Fruomg {am@|@Taġen@
@Frying@|@Qali@
@Full of@|@Mimli bi@
@Function@|@Funzjoni@
@furnish@|@Forna@
@Furniture@|@Għamara@
@Furrow@|@Radda@
@Fusion@|@Fjuxin@
@Fussy@|@Għaġeb@
@Galley@|@Ġifen, Xini@
@Gallows@|@Forka@
@Game@|@Logħba@
@Garden@|@Ġnejna, Ġnien@
@Gardener@|@Ġennien@
@Gas@|@Gass@
@gather@|@Ġema'@
