@English@|@Turkish@
@bare@|@çıplak açık sade@
@barefaced@|@yüzsüz@
@barefoot@|@yalınayak@
@barely@|@sadece@
@bargain@|@anlaşma pazarlık@
@barn@|@anbar ahır@
@barracks@|@kışla@
@barren@|@kısır kurak@
@barring@|@_ Hariç@
@barrister@|@avukat vekil@
@bashful@|@çekingen utangaç sıkılgan@
@basin@|@leğen havuz@
@bask@|@tadınıçıkarmak hoşlanmak güne@
@batter@|@yumruklamak vurmak hamur@
@bawdy@|@seksle ilgili açıksaçık terbi@
@bawl@|@bağırmak haykırmak@
@bay@|@bölme bölüm@
@be apt to@|@_mek eğiliminde olma@
@be descended@|@soyundan gelmek@
@be going to@|@_mek üzere olmak@
@be taken aback@|@şaşalamak şaşırıp kalmak@
@beacon@|@işaretateşi denizfeneri@
@bead@|@boncuk tesbih@
@beak@|@gaga ağız@
@bean@|@fasulye@
@beard@|@sakal@
@bearing@|@ilgi tahammül@
@beast@|@canavar@
@beat@|@darbe dayak@
@beckon@|@işaret etmek@
@bedstead@|@karyola@
@beeline@|@kuşuçumu@
@beetroot@|@pancar@
@befall@|@olmak başına gelmek@
@beforelong@|@çokgeçmeden@
@beggar@|@dilenci çapkın@
@begone@|@defol!@
@behalf of@|@adına namına@
@behold@|@farkınavarmak görmek@
@belated@|@gecikmiş@
@belch@|@geğirti püskürtü@
@belligerent@|@savaşçı kavgacı@
@bellow@|@böğürmek köpük@
@belly@|@karın@
@beloved@|@sevgili sevilen@
@bend@|@kavis viraj bükmek eğmek@
@benediction@|@takdis hayırdua@
@benefactor@|@iyilikeden velinimet@
@bent@|@azmetmek çokistemek@
@bequest@|@bağışlama vasiyet@
@bereave@|@elindenalma yoksunbırakma@
@berth@|@yatak ranza@
@beseech@|@yalvarmak@
@besides@|@bunun yanısıra@
@besiege@|@kuşatma@
@bestial@|@hayvanca vahşi@
@bestow@|@vermek hediye@
@beverage@|@içecek@
@bewail@|@ağlamak@
@bewilder@|@şaşırtmak@
@bewitch@|@büyülemek@
@bias@|@meyil önyargı@
@bid@|@emir teklif@
@bigamy@|@ikieşlilik@
@bigotry@|@darkafalılık@
@bilateral@|@ikitaraflı@
@bilingual@|@ikidilli@
@billfold@|@cüzdan@
@billow@|@büyük dalga@
@bin@|@sandık teneke@
@bind@|@sarmak ciltlemek@
@binoculars@|@dürbün@
@bite@|@ısırma sokma@
@bitting@|@keskin acı@
@blab@|@boşboğazlılık@
@blast@|@borusesi patlama@
@blaze@|@alev yangın@
@bleach@|@ağartmak beyazlatmak@
@bleak@|@rüzgara açık soğuk@
@blear@|@çapaklı@
@bleed@|@kanamak@
@blend@|@karışım alaşım harman@
@bliss@|@saadet mutluluk@
@blizzard@|@kar fırtınası@
@bloat@|@şişirmek@
@bloom@|@çiçek gençlik tazelik@
@blot@|@leke ayıp@
@blow@|@esmek üflemek uçurmak@
@bluff@|@blöf@
@blunder@|@hata gaf pot@
@blunt@|@kesmez kör lafınısakınmaz@
@blur@|@leke bulaşık@
@blurt out@|@ağzından kaçırmak@
@blush@|@kızarma utanma@
@boar@|@erkek domuz@
@boast@|@övünme palavra@
@bob@|@inip çıkmak, hareket etmek@
@bobby@|@polis memuru@
@bogus@|@sahte yapmacık@
@boisterous@|@şiddetli gürültülü@
@bold@|@cesur atılgan küstah@
@bolster@|@yastık desteklemek@
@bolt@|@cıvata sürme yıldırım@
@bond@|@bağ ilişki tahvil@
@bony@|@kemikli kılçıklı@
@booty@|@ganimeti yağma@
@botch@|@kötü iş yapmak içine etmek@
@bounce@|@sıçrama@
@bout@|@nöbet yarış gösteri@
@bow@|@yay kavis@
@bowl@|@kase tas yuvarlama@
@bracelet@|@kelepçe bilezik@
@bracket@|@kol destek raf@
@braid@|@saç örgüsü kurdela@
@brawl@|@kavga gürültü@
@brew@|@yapmak hazırlamak (çay)demlem@
@brief@|@kısa kısaca@
@brim@|@kenar ağız(bardak kap)@
@brink@|@kenar ağız(kaya uçurum)@
@brisk@|@faal canlı@
@brittle@|@kolay kırılır gevrek@
@broach@|@delik açmak@
@broil@|@gürültü kavga@
@brood@|@civciv kuşyavrusu@
@brook@|@dere çay@
@broom@|@süpürge@
@broth@|@etsuyu@
@brow@|@kaş alın@
@bubble@|@köpük@
@buckle@|@toka kopça@
@bud@|@tomurcuk@
@buffoon@|@soytarı maskara@
@bug@|@böcek tahtakurusu@
@bulb@|@soğan ampul@
@bulge@|@belverme şiş@
@bulk@|@hacim kütle@
@bully@|@korkutmak@
@bum@|@serseri başıboş@
@bump@|@vuruş çarpma@
@bunch@|@demet deste@
@bundle@|@bağ bohça paket@
@bungle@|@bozma berbat etme@
@bunk@|@yatak ranza zırva saçmalık@
@bunny@|@tavşan(cık)@
@buoyant@|@batmaz yüzer@
@burden@|@yük ağıriş nakarat@
@burly@|@iriyarı@
@burst@|@patlama yarık@
@bush@|@çalı çalılık@
@bustle@|@faaliyet telaş@
@butt@|@fıçı dipçik@
@buttress@|@payanda destek@
@by and by@|@yavaşyavaş@
@by and large@|@genellikle@
@by far@|@çok daha fazla@
@by gone@|@geçmiş eski@
@cabbage@|@lahana@
@cage@|@kafes asansör@
@calamity@|@felaket afet@
@call at@|@_e uğramak@
@call for@|@_i istemek@
@call on@|@_i ziyaret etmek@
@callous@|@sertleşmiş hissiz@
@camomile@|@papatya@
@canary@|@kanarya@
@candid@|@samimi açık@
@candy@|@şeker bonbon@
@cane@|@baston değnek@
@cannibal@|@yamyam@
@cannon@|@top@
@canopy@|@tente gölgelik@
@cant@|@ikiyüzlü riyakar@
@canvas@|@keten bezi tuval@
@cape@|@burun pelerin@
@capsize@|@devirmek devrilmek@
@caption@|@manşet başlık altyazı(film)@
@captivate@|@büyülemek cezbetmek@
@captive@|@tutsak esir@
@capture@|@yakalama esir alma@
@carcase@|@leş@
@cardigan@|@yün ceket, hırka@
@carefree@|@kaygısız@
@careless@|@ihmalci@
@caress@|@okşamak@
@caretaker@|@kapıcı yönetici@
@caries@|@diş çürümesi@
@carnal@|@cinsel şehevi@
@carpenter@|@marangoz doğramacı@
@carriage@|@araba vagon taşıma nakil@
@carrier@|@taşıyıcı@
@carry on@|@devam ettirmek@
@carry out@|@yerine getirmek@
@carve@|@oymak oymacı@
@case@|@hal husus olay, kutu kasa@
@cask@|@fıçı varil@
@cast@|@(tiyatro)oyuncular, atma atış, dökme kalıp, tip kalite@
@castor@|@tuzluk biberlik@
@castrate@|@hadım etmek@
@casual@|@tesadüfi rastgele@
@casualty@|@kaza kayıp@
@catarrh@|@nezle@
@catastrophe@|@felaket facia@
@catchword@|@parola slogan@
@cater for@|@_i tedarik etmek hazırlamak@
@cavity@|@çukur boşluk oyuk@
@cease@|@bitmek durmak@
@celebrity@|@şöhret@
@cement@|@çimento tutkal@
@cemetary@|@mezarlık@
@censure@|@eleştiri azar@
@census@|@nüfus sayımı@
@certain@|@kesin emin muhakkak@
@certify@|@tasdik onay@
@chafe@|@sürtmek sürtünmek@
@chaff@|@saman tozu@
@challenge@|@meydan okuma davet@
@chamber@|@oda salon meclis@
@charcoal@|@mangal kömürü@
@charm@|@büyü sihir cazibe@
@charter@|@kiralamak@
@chase@|@av takip kovalama@
@chasm@|@yarık uçurum@
@chaste@|@iffetli temiz@
@cheat@|@hile düzen@
@cheek@|@yüzsüzlük@
@cheer@|@alkış neşe@
@cheer on@|@yüreklendirmek@
@cheer up@|@teselli@
@chest@|@sandık kutu göğüs@
@chestnut@|@kestane@
@chew@|@(ağızda)çiğnemek@
@chill@|@soğuk algınlığı üşütme@
@chin@|@çene@
@chink@|@yarık çatlak@
@chip@|@çentik kırıntı yontmak@
@choir@|@koro@
@choke@|@tıkamak boğmak@
@chop@|@darbe parça pirzola@
@chord@|@kiriş tel@
@chubby@|@tombul şişko@
@churchyard@|@kilise avlusu@
@chute@|@çağlayan, paraşüt@
@cinder@|@cüruf kor@
@circumcise@|@sünnet@
@circumstance@|@hal koşul@
@civil@|@iç dahili, nazik, sivil@
@clack@|@tıkırtı@
@clammy@|@soğuk ıslak, yapışkan@
@clandestine@|@gizli elaltından@
@clank@|@tınlama çınlama@
@clarify@|@arıtmak, süzmek@
@clash@|@çarpışmak@
@claw@|@pense@
@clay@|@balçık@
@clear up@|@halletmek@
@clemency@|@şefkat yumuşaklık@
@client@|@müşteri@
@cliff@|@kayalık uçurum@
@climax@|@zirve doruk@
@cling to@|@_e yapışmak@
@cloak@|@manto palto@
@clog@|@kütük engel@
@close in on@|@_in etrafını çevirmek@
@clove@|@yarmak ayırmak@
@clown@|@palyaço@
@clumsy@|@acemi@
@cluster@|@demet salkım küme@
@clutch@|@kavrama debriyaj@
@co_partner@|@ortak@
@coarse@|@bayağı kaba@
@coat@|@ceket kat tabaka palto@
@coax@|@kandırmak@
@cock@|@horoz musluk@
@coconut@|@hindistan cevizi@
@cocoon@|@koza@
@code@|@konum şifre@
@coeducation@|@karma eğitim@
@coerce@|@zorlamak@
@coffin@|@tabut@
@cohere@|@yapışmak tutmak@
@coil up@|@(kangal,bobin)sarmak@
@collaborate@|@iş birliği@
@collapse@|@çökme yığma@
@collapsible@|@açılır kapanır@
@collar@|@yaka tasma yakalamak@
@collected@|@aklı başında@
@collide with@|@_ile çarpışmak@
@collision@|@çarp(ış)ma@
@color bar@|@ırk ayrımı@
@combustible@|@tutuşabilir@
@come about@|@olmak@
@come across@|@_e rast gelmek@
@come along@|@ilerlemek acele etmek@
@come at@|@_e vermek@
@come by@|@elde etmek@
@come for@|@_i alıp götürmek@
@come loose@|@çözülmek gevşemek@
@come off@|@kopmak@
@come to@|@_e gelmek@
@come upon@|@rast gelmek@
@commemorate@|@kutlama anma töreni@
@commend to@|@_e emanet etmek@
@commentary@|@yorum açıklama@
@commit@|@teslim etmek tevdi etmek@
@commitment@|@taahhüt@
@commodity@|@mal ticari eşya@
@commoner@|@burjuva@
@commonsense@|@sağduyu@
@commotion@|@heyecan ayaklanma@
@communal@|@toplumsal@
@commute@|@değiştirmek (cezayı)hafifletm@
@companion@|@arkadaş eş ortaklık@
@comparative@|@orantılı@
@compass@|@çevre alan saha pusula@
@compassion@|@merhamet acıma@
@compatriot@|@vatandaş yurttaş@
@compete for@|@(...için)müsabakaya girmek@
@competent@|@yetkili yeterli@
@complacent@|@kendini beğenmiş@
@compliance@|@uyma itaat@
@compliment@|@iltifat@
@comply with@|@razı olmak@
@compose@|@yazmak bestelemek@
@compound@|@bileşim alaşım@
@comprehend@|@anlamak kavramak@
@comprise@|@kapsamak içermek@
@compromise@|@uzlaşma@
@compulsion@|@zorlama@
@compunction@|@vicdan azabı pişmanlık@
@comrade@|@arkadaş yoldaş@
@conceit@|@kibirli kendini beğenmiş@
@conceive@|@düşünmek kavramak gebe olmak@
@conception@|@fikir görüş gebe kalma@
@concern@|@firma ortaklık, ilgi endişe@
@concession@|@ayrıcalık imtiyaz, teslim kabul@
@conciliate@|@uzlaştırmak barıştırmak@
@concise@|@kısa özlü@
@conclude@|@bitirme sonuçlandırmak@
@concord@|@uygunluk barış@
@concrete@|@beton somut belirli@
@concur with@|@_e uymak razı olmak@
@condemn@|@mahkum etmek kınamak@
@condescend@|@tenezzül@
@condole with@|@_e başsağlığı dilemek@
@conduct@|@davranış tavır, yönetmek idare etmek@
@cone@|@koni külah@
@confection@|@şekerleme@
@confer@|@danışmak görüşmek@
@confess@|@kabul etmek itiraf etmek@
@confide@|@emanet etmek güvenmek@
@confident@|@emin güvenli@
@confidential@|@gizli mahrem@
@confine@|@sınırlamak hapsetmek@
@confiscate@|@el koymak@
@conflagration@|@yangın@
@conflict@|@uyuşmazlık aykırılık@
@conform@|@uy(dur)mak@
@confound@|@(kafasını) karıştırmak@
@confront@|@karşılaştırmak@
@confuse@|@karıştırmak şaşırtmak@
@congeal@|@don(dur)mak@
@congestion@|@tıkanıklık@
@congregate@|@toplanmak birleşmek@
@conjecture@|@zan sanı tahmin@
@conjugal@|@evlilikle ilgili@
@conjunction@|@birleşme bağlaç@
@conjure@|@büyü ile çağırmak@
@conquer@|@fethetmek zaptetmek@
@conscience@|@vicdan(lı)@
@conscious@|@bilinçli şuurlu@
@conscription@|@askere çağırma@
@consecrate@|@takdis etmek kutsamak@
@consecutive@|@ard arda gelen ardıl@
@consent@|@müsaade izin@
@consequence@|@sonuç akıbet@
@conservation@|@koruma muhafaza@
@consider@|@düşünmek hesaba katmak@
@considerable@|@hayli çok önemli@
@considerate@|@saygılı nazik@
@consign@|@göndermek teslim etmek@
@consist of@|@_den oluşmak@
@consistency@|@koyuluk kıvam@
@consolidate@|@birleştirmek sağlamlaştırmak@
@consonant@|@sessiz harf ünsüz@
@consort@|@eş@
@conspiracy@|@gizli anlaşma suikast@
@constant@|@devamlı sürekli sabit@
@consternation@|@donup kalma hayret@
@constituency@|@seçim çevresi seçmenler@
@constitute@|@tayin etmek atamak@
@constitutional@|@anayasal@
@construct@|@inşa etmek kurmak@
@consult@|@başvurmak danışmak@
@consume@|@tüketmek yiyip bitirmek@
@contact@|@dokunma temas@
@contagious@|@bulaşıcı@
@contain@|@içermek içine almak@
@contaminate@|@kirletmek bulaştırmak@
@contemplate@|@seyretmek düşünmek tasarlamak@
@contemporary@|@çağdaş@
@contempt@|@küçük görme kibir@
@contend for@|@_için yarışmak çarpışmak@
@content@|@öz kapasite hacim memnuniyet@
@contest@|@yarışma müsabaka itiraz@
@continent@|@kıta@
@contort@|@burmak bükmek@
@contour@|@dış hatlar@
@contraband@|@kaçak mal@
@contraceptive@|@gebeliği önleyici@
@contract@|@sözleşme daraltma kısaltma@
@contradict@|@yalanlama@
@contrary@|@ters zıt karşıt@
@contribute@|@bağışlamak@
@contrivance@|@buluş hüner cihaz@
@controversy@|@çekişme@
@contusion@|@bere çürük@
@convalesce@|@iyileşmek@
@convenience@|@uygunluk rahatlık@
@convention@|@toplantı anlaşma@
@conversation@|@konuşma sohbet@
@conversion@|@değiş(me)tirme dininden dönme@
@convey@|@taşımak götürmek@
@convict@|@mahkum suçlu@
@convince@|@inandırmak ikna etmek@
@convoke@|@toplantıya çağırmak@
@convulsion@|@kıvranma çırpınma@
@cope with@|@boy ölçüşmek@
@copious@|@çok, bol@
@cordial@|@samimi candan@
@cork@|@mantar tıpa@
@corn@|@hububat mısır tuzlamak@
@cornet@|@kağıt külah@
@corporate@|@ortaklığa ait şirkete ait@
@corpse@|@ceset@
@corpulent@|@şişman@
@correspond with@|@uymak uygun gelmek mektuplaşm@
@correspondence@|@mektuplaşma@
@corrigible@|@düzeltilebilir@
@corroborate@|@doğrulamak@
@corrode@|@aşındırmak çürümek@
@corrupt@|@çürümüş rüşvetçi@
@cost@|@fiyat maliyet zarar@
@cosy@|@rahat keyifli@
@cottage@|@küçük ev klübe@
@cotton@|@pamuk(bezi)@
@couch@|@yatak divan yatmak çömelmek@
@cough@|@öksürmek@
@counsel@|@danışma fikir öğüt@
@countenance@|@yüz çehre@
@counter to@|@önlemek karşılamak@
@counterfeit@|@sahte taklit@
@country side@|@kırsal köy@
@county@|@vilayet il@
@courier@|@haberci kurye@
@court@|@avlu alan mahkeme kur yapmak@
@courteous@|@nazik kibar@
@covet@|@şiddetle arzu etmek@
@cow@|@dişi inek manda@
@coward@|@korkak yüreksiz@
@crab@|@yengeç@
@crack@|@çatlak yarık kırmak yarmak@
@craft@|@hüner sanat hile@
@crag@|@sarp kayalık@
@cramp@|@mengene kenet@
@crank@|@manivela, kol, garip adam@
@crash_landing@|@zorunlu iniş@
@crave@|@şiddetli arzu@
@crawl@|@sürünmek@
@creak@|@gıcırdamak@
@credulous@|@herşeye inanan@
@creed@|@iman inanç@
@creep@|@sürünmek ürpermek sarılmak@
@cremate@|@(ölüyü)yakmak@
@crescent@|@hilal yeniay ayça@
@crevice@|@yarık buzul çatlağı@
@crew@|@tayfa takım@
@crime@|@suç cinayet@
@crimson@|@fes rengi@
@cringe@|@köpeklenmek yaltaklanmak@
@cripple@|@sakat(lamak)@
@crisp@|@kıvırcık gevrek@
@critic@|@eleştirmen@
@crockey@|@çanak çömlek@
@crook@|@kanca değnek dolandırıcı@
@crop@|@ekin ürün@
@cross of@|@çizmek silmek@
@crow@|@karga ötmek@
@crucial@|@kesin önemli@
@crude@|@ham kaba@
@cruel@|@zalim gaddar@
@crufix@|@çarmıh@
@cruise@|@gemi ile gezmek@
@crunch@|@çiğnemek ezmek@
@crusade@|@haçlı seferi@
@crush@|@kalabalık ez(il)mek@
@crutch@|@koltuk değneği@
@cry@|@bağırmak ağlamak@
@cub@|@hayvan yavrusu@
@cucumber@|@hıyar salatalık@
@cuddle@|@kucaklamak@
@cudgel@|@sopa değnek dövmek@
@cuff@|@kolluk yen tokat@
@culminate@|@zirvesine ermek sonuçlandırma@
@culprit@|@suçlu sanık@
@cult@|@ibadet tapınma@
@cumulative@|@birikmiş biriken@
@cunning@|@kurnaz açıkgöz@
@curable@|@tedavi edilebilir@
@curfew@|@sokağa çıkma yasağı@
@curl@|@kıvrım bukle@
@currency@|@sürüm nakit para@
@curse@|@lanet beddua küfür@
@curtail@|@kısaltmak@
@curtain@|@perde@
@curtsy@|@diz bükerek reverans@
@cushion@|@yastık minder@
@custody@|@gözetim bakım nezaret@
@custom@|@adet örf gümrük@
@cute@|@açıkgöz zarif hoş@
@cutlet@|@pirzola@
@cyclone@|@siklon@
@cynical@|@kötü gözle gören@
@dab@|@hafifçe vurmak@
@dagger@|@hançer, kama@
@dainty@|@nefis ince zarif lezzetli@
@dairy@|@sütçü(dükkanı)@
@dale@|@vadi dere@
@dam@|@baraj bent@
@damp@|@rutubet nem(lendirmek)@
@dangle@|@asılıp sallanmak@
@dare@|@cesaret etmek kalkışmak@
@dash@|@atılmak fırlamak, darbe vuruş çizgi, saldırma hamle@
@dashboard@|@kontrol paneli@
@dawdle@|@aylaklık, tembellik@
@dawn@|@şafak tanyeri@
@day off@|@boş gün@
@daze@|@kamaştırmak sersemletmek@
@dazzle@|@gözünü kamaştırmak@
@deadline@|@son teslim tarihi@
@deaf@|@sağır@
@deal@|@miktar alışveriş anlaşma dağı@
@dealings@|@iş ilişkisi@
@debar from@|@_den mahrum etmek@
@debase@|@alçaltmak@
@debate@|@tartışmak@
@debit@|@borç açık zimmet@
@debris@|@enkaz@
@decadence@|@çöküş@
@decapitate@|@_in başını kesmek@
@decay@|@çürüme bozulma@
@decease@|@ölüm vefat@
@deceit@|@hile aldatma@
@decelerate@|@yavaşlamak@
@decency@|@terbiye namus@
@decipher@|@_in şifresini çözmek@
@deck@|@güverte@
@decline@|@azalma gerileme@
@declivity@|@iniş meyil@
@decoy@|@tuzak yem@
@decree@|@hüküm karar@
@decrepit@|@dermansız zayıf@
@deduce from@|@anlamak sonuç çıkarmak@
@deed@|@eylem hareket belge@
@deer@|@geyik karaca@
@deface@|@bozmak@
@defeat@|@yenilgi bozgun@
@defect@|@kusur eksiklik@
@defer@|@ertelemek@
@defiant@|@karşı gelen serkeş@
@deficit@|@(mali)açık@
@defile@|@geçit boğaz@
@definite@|@kesin belirli@
@deflate@|@havasını boşaltmak@
@deflect@|@saptırmak çevirmek@
@defrost@|@buzlarını çözmek@
@delay@|@gecikme tehir@
@deliberate@|@düşünmek tartışmak, kasıtlı temkinli@
@delicate@|@nazik ince@
@deliquent@|@suçlu@
@delude@|@aldatmak@
@demise@|@vefat ölüm@
@demolish@|@yıkmak@
@demon@|@şeytan cin@
@denomination@|@ad(landırma)@
@denote@|@göstermek@
@denounce@|@suçlamak@
@dense@|@sık yoğun@
@dental@|@dişlere ait@
@dentures@|@takma dişler@
@depart from@|@_den ayrılmak@
@departure@|@gidiş kalkış@
@depend@|@bağlı olmak güvenmek@
@deplore@|@acımak@
@depose@|@azletmek@
@depot@|@anbar@
@depraved@|@ahlakı bozuk@
@depress@|@indirmek alçaltmak@
@dept@|@derinlik@
@deputy@|@vekil muavin@
@deride@|@alay etmek@
@derive@|@çıkarmak türetmek@
@derogatory@|@aşağılayıcı@
@descend@|@inmek alçalmak@
@descent@|@iniş yokuş, soy nesil@
@describe@|@tanımlamak@
@deserve@|@haketmek layık olmak@
@designate@|@belirtmek seçmek@
@desolate@|@harap ıssız@
@despair@|@ümitsizlik@
