@English@|@Manx@
@adieu@|@bannaght eu, dy row mie erriu@
@adjudge@|@jannoo briwnys er@
@adjudication@|@jannoo briwnys@
@adjudicte@|@jannoo briwnys@
@adjure@|@cur fo loo@
@admirable@|@deeu yindys@
@admiral@|@ard-marragh@
@admiring@|@ammyssagh@
@admiringly@|@lesh taitnys@
@admission card@|@kaart entreilys@
@adolescent@|@aegidagh, aeglagh@
@adoration@|@ard-ooashley@
@adore@|@cur ooashlaghey da, ooashlaghey@
@adorer@|@ooashleyder@
@adulation@|@ard-volley@
@adulatory@|@ard-vollee, ard-vollee@
@adult@|@fer aasit, peiagh aasit@
@adult (female)@|@ben aasit@
@adult (male)@|@fer aasit@
@adulterer@|@maarderer@
@adulterous@|@maarderagh@
@adultery@|@adultrinys@
@adults@|@sleih aasit@
@adults (males)@|@fir aasit@
@advance@|@immeeaght er-oi@
@advantageous@|@vondeishagh@
@adverb@|@rovreear@
@adverbial@|@rovreeragh@
@advertence@|@frioose@
@advice@|@coyrle@
@advocacy@|@pleadeil@
@Aegean@|@Aejeeanagh@
@aeroplane@|@etlan@
@aesthete@|@aesthete@
@aesthetics@|@aesthetaght@
@afar@|@er-foddey@
@affair@|@cooish@
@affection@|@kynn@
@affirm@|@niartaghey@
@affording@|@foardrail@
@affricate@|@affricaid@
@affront@|@cur sneih da@
@Afghan@|@Afgaanagh@
@afloat@|@er-flod@
@afoot@|@er chosh@
@afresh@|@ass-y-noa@
@African@|@Affrickagh@
@aft@|@gys y jerrey@
@after@|@erreish, jei, lurg@
@after (time)@|@er-giyn@
@after (us@|@nyn yei@
@after me@|@my lurg, my yei@
@after this@|@ny yei shoh@
@afterbirth@|@bein@
@afternoon@|@fastyragh@
@afternoon; evening@|@fastyr@
@aftertaste@|@aavlass@
@afterthought@|@aasmooinaght, aasmooinaghtyn(er)@
@afterwards@|@jei@
@again@|@reesht, reeshtagh@
@against@|@noi, oi@
@against (us@|@nyn oi@
@against him@|@n'oi, noi@
@against it@|@noi@
@agate@|@agaid@
@age@|@amm, eash@
@aggravate@|@cur ferg er@
@aggregate (building)@|@myn-claghyn@
@aggressive@|@aarloo dy woalley, caggoil@
@aggressiveness@|@baggyrtys, caggoilid@
@aghast@|@atchimit@
@ago@|@er-dy-henney, henney: er dy henney@
@agonize@|@jeir-phianaghey@
@agonized@|@land angaaish@
@agonizing@|@aaghaeragh@
@agony (physical)@|@aaghaer@
@agreeable@|@coar@
@agreement@|@coardailys@
@ahead@|@kionroish@
@ailing@|@aslayntagh@
@ailment@|@aslaynt, doghan@
@aimless@|@gyn bun ny baare@
@air channel@|@ammyr aer@
@air pressure@|@timmid aer@
@air; sky@|@aer@
@airborne@|@currit lesh yn aer@
@airless@|@gyn aer, plooghagh, plooghagh@
@airlock@|@bac aer@
@airy@|@aeragh, aeroil@
@aisle@|@ahlley@
@ajar@|@beggan-foshlit@
@alarm@|@alarym, cur raaue da, larm@
@Alas!@|@Aless!@
@Alas! Woe is me!@|@My chragh!@
@Alas! Woe!@|@Atreih!@
@Albania@|@Yn Albane@
@Albanian@|@Albaneagh@
@albeit@|@agh, gur@
@albino@|@banee@
@alcohol@|@alcoal@
@alder@|@farney@
@aldern@|@farney@
@alertness@|@geyre-inchynys@
@algebra@|@algeerey@
@alias@|@er ennym elley@
@alibi@|@alibai@
@alienate@|@cur noi@
@alimental@|@beeoil@
@alimentary@|@yn vee@
@alive@|@bio@
@alive with vermin@|@er croo@
@alkalai@|@alkalaih@
@alkaline@|@alkalaihagh@
@alkaloid@|@alkaloyd@
@all@|@cagh, ooilley, ooilliu@
@all in all@|@ooilley as ass@
@all night@|@fud ny hoie@
@all right@|@ooilley kiart@
@All Soul's Day@|@Laa'l ny Merriu@
@all the more@|@wheesh shen smoo@
@allegiance@|@urrym@
@allergic@|@allerjagh@
@allergy@|@allerjee, allerjee@
@alley@|@alley@
@alleyway@|@alley@
@alligator@|@alligatyr@
@allow@|@cur raad da@
@allowance@|@tortys@
@allowed@|@lowit@
@all-powerful@|@ooilley-chummaghtagh, ooilley-niartal@
@all-purpose@|@ooilley-aignagh, ooilley-chooishagh@
@all-seeing@|@ooilley-reayrtys@
@all-wise@|@ooilley-chreeney@
@almanac@|@feaillere, meesaghan@
@almighty@|@ooilley-niartal@
@almond (nut)@|@almon@
@almond oil@|@ooil almon@
@almost@|@bunnys@
@alms@|@jeirk@
@aloe@|@aloe@
@aloft@|@heose@
@alone@|@lomarcan, ynrican@
@alongside@|@cur liorish@
@aloof@|@er cheu ny geayee@
@aloofness@|@freayll er-lheh@
@alphabet@|@abbyrlhit@
@alphabetical@|@abbyrlhitagh@
@Alpine@|@Alphagh@
@already@|@hannah@
@already (emph.)@|@hannah hene@
@alright@|@ooilley kiart@
@also@|@neesht@
@altar@|@altar, altaragh@
@altar boy@|@guilley altar (agh)@
@altered@|@caghlaait@
@alternately@|@er-eiyrt, my-shagh@
@alternative@|@caghlaaee@
@although@|@ga (dy)@
@altogether@|@ooilley-cooidjagh, ooilley dy lieragh@
@altruism@|@altrooaghtys@
@alum@|@cur ollym er, ollym@
@aluminum@|@ollymin@
@always@|@dy kinjagh, kinjagh, rieau@
@am@|@ta@
@am not@|@cha nel@
@ambassador@|@ambasseydeyr@
@amber@|@ombyr@
@ambergris@|@ombyr glass@
@ambiguity@|@daa-cheayllaght@
@ambivalence@|@daa-heuaght@
@ambivalent@|@daa-heuagh@
@amble@|@mynneragh@
@ambling@|@mynneraght@
@amenableness@|@freggyraght@
@amenity@|@ymmyd@
@America@|@America@
@amethyst@|@ametyst@
@amicableness@|@caarjoilid@
@amid(st)@|@fud@
@ammonia@|@ammoiney@
@amnesty@|@feaysley cadjin@
@amoeba@|@amoeba@
@among@|@mastey@
@among them@|@nyn vud@
@among(st)@|@fud@
@amorous@|@er cannoo@
@amorphous@|@gyn cummey@
@amount@|@mooadys@
@amp@|@amp@
@ampere@|@ampere@
@ample@|@dy liooar@
@amusing@|@aitt@
@an academic subject@|@cooish-ynsee@
@an account@|@coontey@
@an article@|@art@
@an egg@|@ooh@
@analogical@|@rere y cheilley@
@analyse@|@oltscarrey@
@analysis@|@mynscrutaghey, oltscarrey@
@analyst@|@oltscarreyder@
@analytical@|@oltscarree@
@anarchist@|@meereiltagh@
@anarchy@|@anreiltagh, meereiltys@
@anathema@|@ard-feoh@
@anathematize@|@cur fo mollaght@
@anchor@|@ackeragh@
@anchorless@|@gyn aker@
@and@|@as@
@and a half@|@dy lieh@
@and so on@|@as myr shen@
@and thirdly@|@as tree@
@andvantage@|@vondeish@
@anew@|@ass-y-noa@
@angel@|@ainle@
@Angel fish@|@guiy marrey@
@anger@|@jymmoose@
@angle@|@ollaghan@
@angle of land@|@injeig@
@angry@|@jymmoogh, jymmoosagh@
@angry; anger@|@corree@
@anguish@|@ard-ghuinn@
@anguished@|@land angaaish@
@angular@|@injeigagh@
@animal@|@bioagh@
@ankle@|@abane (f), abaneagh@
@ankle strap@|@yeeal abaneagh@
@ankle-deep@|@gys beeal ny braag@
@annexe@|@oor-thie@
@annihilate@|@cur gys neunhee@
@annihilation@|@neunheeys@
@anniversary@|@feailley bleeaney, laa bleeaney@
@announcer@|@beealeyder@
@annoy greatly@|@jymmoosey@
@annoyed@|@jymmoosit@
@annually@|@gagh blein@
@annul@|@cur gys neunhee@
@annulment@|@neunheeaghys@
@anode@|@anode@
@anomalous@|@amreiltagh@
@anonymity@|@neuennymid, neuennymid@
@anonymous@|@gyn ennym, neuennymagh@
@anonymously@|@dy neuennymagh, gyn ennym erbee@
@another@|@elley@
@answer (letter)@|@ansooragh@
@answer for@|@freegyrt er son@
@answer!@|@freggyr!@
@answered@|@freggyrit@
@answering; an answer@|@freggyrt@
@antagonism@|@asschaarjys@
@antagonize@|@cur noidys er@
@Antartic@|@Kione Jiass y Theihill@
@antenna@|@enneyder@
@antibiotic@|@noi-vaagh@
@antibody@|@noi-chorpeen@
@anticipate@|@bee rolaue@
@anticlerical@|@noi ny saggyrtyn@
@anti-personnel@|@noi-sleih@
@antonym@|@noi-cheeayl@
@anvil@|@ingan, ingan ny cleayshey@
@anxiety@|@anaash, imnea@
@anxious@|@imneagh@
@anxiousness@|@imneays@
@any person@|@peiagh erbee@
@any small bit@|@sleig@
@anyhow@|@aght erbee@
@anyone@|@peiagh erbee@
@anything@|@nhee erbee, veg@
@anyway@|@aght erbee, aghterbee, ansherbee@
@anywise@|@er chor erbee@
@aorta@|@ard-chuishley@
@apace@|@dy tappee@
@apapte@|@beeal-foshlit@
@apart@|@veih-my-cheilly@
@apartment@|@arasane@
@apathetic@|@neuyeean@
@apathy@|@neuyeeanid@
@aperitif@|@miandid@
@apiary@|@ynnyd hellan@
@apolitical@|@meepholitickagh@
@apology@|@leshtal@
@apostle@|@ostyl@
@apostleship@|@ostyllys@
@appall@|@agglaghey@
@appalling@|@agglagh@
@appeal@|@aghin, guee (er), yeearreeaght@
@appealable@|@gueeagh@
@appear in a vision@|@ashlaghey@
@appearance@|@cummey, shassoo stiagh@
@appearances@|@cummaghyn@
@appease@|@cur shee er@
@appellant@|@shualtagh@
@applaud@|@bwoalley bassyn@
@apple@|@ooyl@
@apple sauce@|@aunlyn ooyllagh@
@applicant@|@yeearreyder@
@application@|@ymmyd@
@apply@|@cur rish@
@appointing@|@poisheil@
@appraise@|@cur leagh er@
@apprehensively@|@dy twoaieagh@
@apprentice@|@prindeys@
@appropriate@|@cooie@
@apricot@|@apricoc@
@April@|@Averil, Mee Averil@
@aptness@|@freggyrtys@
@aquarium@|@ushteydane@
@aqueous@|@ushtoil@
@aquiline@|@urleydagh@
@Arabian horse@|@cabbyl Arabagh@
@arable@|@traauoil@
@arbitrate@|@reaghey@
@arboreal@|@ny keylley@
@arbour@|@cabbane biljagh@
@arch@|@arc, jannoo aae jeh@
@archangel@|@ard-ainle@
@archducke@|@ard-duic@
@archer@|@sideyr@
@archery@|@sideyrys@
@archetype@|@ard-chaslys@
@archipelago@|@ellanragh@
@architecture@|@seyrnaght@
@archives@|@recortyssyn@
@arctic skua@|@maarliagh marrey@
@arctic smoke@|@kay arctagh@
@ard-cheeill@|@ard-cheeayllagh@
@are@|@ta@
@are not@|@cha nel@
@argot@|@glare roosteyryn@
@arguing@|@arganey@
@argument@|@argane, arganys, ym resoon@
@aristocracy@|@ooashlaght@
@aristocratic@|@ooasle@
@Arklow@|@Inver Mooar@
@armchair@|@caair vooar@
@armful@|@lane-aghlish@
@armistice@|@aash caggee, farkaght chaggee@
@armour@|@plaaitail@
@armour-bearer@|@ymmyrkagh eilley@
@armoured@|@plaaitit@
@armpit@|@oghlish@
@army@|@armee@
@army officer@|@oikagh armee@
@aromatic@|@jeih-hoaral@
@around@|@mygeayrt@
@arraign@|@jannoo cooish-leigh noi@
@arrange@|@reaghey@
@arranged@|@reaghit@
@arranger@|@reagheyder@
@arresting@|@goaill seose@
@arrive@|@roshtyn@
@arrogant@|@kione-ard@
@arrow@|@side@
@arrowhead@|@kione-sidey@
@art@|@ellyn, jallooaght@
@art gallery@|@laaragh ellyn@
@art of war@|@ellyn chaggee@
@artfully@|@dy schleial@
@arthritis@|@olt-hingys@
@artichoke@|@onnane vlasstal@
@article (of clothing)@|@guibbyl@
@article of faith@|@banglane y chredjue@
@articles (pl.)@|@artyn@
@articular@|@juntagh, oltagh@
@articulated@|@juntit@
@articulation@|@olt-chiangley@
@artificial@|@laue-jeant@
@artillery@|@gunnaghyn@
@artilleryman@|@gunneyder@
@artist@|@aghtallagh, peinteyr@
@artlessly@|@gyn ellyn, gyn keirdoilaght@
@as@|@cho@
@as many@|@quilleen, whilleen@
@as much@|@wheesh@
@as much as@|@whilleen, whillin@
@as much more@|@wheesh elley@
@as soon as@|@cho leah as@
@as well@|@neesht@
@as well as@|@chammah as@
@asbestos@|@asbestos@
@ascension@|@irreeaght@
@Ascension@|@Frastyl@
@ascertain@|@feddyn magh@
@ascetic@|@aseeticoil@
@aseptic@|@aseptagh@
@ash@|@potash@
@ash tree@|@billey unjin@
@ask (for)@|@yeearree (er)@
@ask!@|@brie!@
@asking@|@briaght@
@asleep@|@ny cadley@
@aslope@|@gys un cheu@
@asparagus@|@asparag@
@asphalt@|@asfalt, pick@
@aspic@|@aspagh@
@aspiration@|@ard-vian@
@aspire@|@yeearree (er)@
@aspirin@|@aspryn@
@ass@|@assyl@
@assailable@|@bwoaltagh@
@assassin@|@dunver@
@assembly hall@|@halley chymsee@
@assess@|@cur keesh er@
@assignee@|@ynnydee@
@assistant (female)@|@ben-choonee@
@associate@|@freayll sheshaght rish@
@assume (Geometry)@|@abbyr@
@assumption@|@froaishid@
@assurance@|@raane@
@aster@|@lus yn "Eaill Vaayl@
@asteroid@|@mynphlannad@
@astir@|@er-cosh@
@astrologer@|@astroayllee@
@astrology@|@astroaylleeaght@
@astronomer@|@rollageyder@
@astronomy@|@rollageydys@
@asunder@|@veih-my-cheilly@
@at@|@ec@
@at all@|@er chor erbee, erbee@
@at any rate@|@er chor erbee@
@at her@|@eck@
@at him@|@echey@
@at it@|@echey, eck@
@at last@|@fy-yerrey@
@at long last@|@fy-yerrey hoal@
@at me@|@aym@
@at us@|@ain@
@at you@|@ayd, eu@
@atheism@|@neuyeeys@
@athirst@|@paa@
@atlas@|@Atlas@
@atomic weight@|@trimmid breneenagh@
@atonic@|@atoanagh@
@attache@|@myn-chaghter@
@attain@|@roshtyn@
@attendance@|@frastyl, waiteil@
@attendant@|@taagheyder@
@attention@|@frioose@
@attentiveness@|@currymid@
@attenuate@|@keylagh@
@attenuated@|@keyl@
@attenuation@|@keylagh@
@attest@|@cur fo loo, ymmyrkey feanish@
@attestation@|@cur fo loo, gymmyrkey feanish@
@attic@|@garrad@
@attorney@|@ynnydagh@
@attributive@|@calleeagh@
@audacious@|@neunearagh@
@augur@|@insh rolaue@
@August@|@Mee Luanistyn@
@auk@|@alk@
@aunt@|@naunt@
@aurora@|@fainey yn laa@
@auspices@|@fo scaa@
@Australia@|@Yn Austrail@
@Austria@|@Yn Austeyr@
@Austrian@|@Austeyragh@
@authenticity@|@rieughid@
@author@|@ughtar@
@authoratative@|@ughtaragh@
@authoress@|@ben-ughtar@
@authority@|@lught-reill@
@authorship@|@ughtarys@
@autobiography@|@hene-veashnys@
@autograph@|@autograaf@
@automatic@|@seyr-obbragh@
@avail@|@baardagh, vondeishal@
@average@|@troggal mean er@
@await@|@fuirraghtyn rish@
@awake@|@dooisht@
@award@|@aundyr@
@away@|@ersooyl@
@awe@|@aggle, atchim@
@awesome@|@atchimagh@
@awe-stricken@|@atchimit@
@awful@|@agglagh, atchimagh@
@awfulnee@|@atchimid@
@awhile@|@dreayst@
@awkward@|@mertraght, neulauee, turlogh@
@awkward (handed) butter-fingers@|@maaigerey@
@awkwardness@|@lutchynys, maaigaght, neuchooieid, neuyeshid, turloghid@
@awl@|@mennee@
@awry@|@fragym@
@axehead@|@kione teigh@
@axiom@|@baghtaght@
@azimuth@|@assamad@
@baa@|@maa, maalagh, maaley@
@babbler@|@beealerey@
@babe@|@bab, oikan@
@baboon@|@baboon@
@baby@|@babban, oikan@
@baby calf@|@babban-lheiy@
@babysit@|@freeayll arrey er paitchey@
@bachelor@|@fer nuephoost@
@bacillus@|@bacilleen@
@back@|@cooyl, cooyl, erash@
@back to back@|@dreeym-ry-ghreeym@
@back to front@|@dreeym er oaie@
@backache@|@guin drommey@
@backbone@|@craue-drommey@
@back-handed@|@neuyeearagh, neuyeearagh@
@backward step@|@kesmad er-ash@
@backwards@|@er-dreeym@
@backwoods@|@keylljyn fadaneagh@
@bacon@|@bagoon@
@bad@|@drogh, loau, olk@
@bad accident@|@drogh-haghyrt@
@bad condition@|@andoaie@
@bad language@|@caaynt gharroo, drogh chaaynt@
@bad luck@|@drogh-aigh@
@bad mannered@|@drogh-ellynagh@
@bad manners@|@drogh-ellyn@
@bad name@|@drogh-ennym@
@bad report@|@abghoo@
@bad taste (of liquids)@|@amvlass@
@bad treatment@|@drogh-ghellal@
@bad turn@|@drogh-heaym@
@bad way@|@feer ching@
@bad weather@|@drogh-emshir@
@badly@|@dy sie@
@badness@|@olkid, olkid, olkys, olkys@
@bag@|@sac(k)@
@bagatelle@|@frit@
@bagpipe (Irish)@|@piob ullinagh@
@bagpipe (Scottish)@|@yn phiob vooar@
@bail@|@kit, raane@
@bailiff@|@baylee@
@bailiwick@|@bayleeaght@
@bairn@|@paitchey@
@bait@|@bite@
@bake@|@fuinney@
@baked@|@fuinnit@
@baker@|@fuinneyder@
@baker's dozen@|@tree-jeig@
@balance@|@meihaghan@
@balance weight@|@trimmid-corrym@
@balanced@|@meihit@
@balcony@|@balcane, porch er lout@
@bald head@|@kione meayl@
@Balearic@|@Balearagh@
@baleful@|@olkyssagh@
@balk@|@dreeym ingagh, immyr vane, ymmyr vane@
@ball; balls@|@bluckan (pl. bluckanyn)@
@ballad@|@ballaid@
@ballast@|@ballast@
@ballerina@|@caillin ballay@
@ballet@|@ballay@
@ballpoint pen@|@penn grine-virragh@
@balm@|@balsym, baum, ooil@
@balsam@|@balsym, ooil lheihys@
@ban@|@cur fo sarey, cur lhiettrimys er@
@banal@|@frittagh, taareeagh@
@banality@|@taareeaght@
@banana@|@bananey@
@band@|@rybban@
@band (musical)@|@bann@
@bang@|@bwoalley, feeam@
@banging@|@poltal@
@banjo@|@banjoe@
@bank@|@banc@
@banker@|@banceyr@
@banking@|@bancagh@
@bankruptcy@|@bancvrishey@
@banner@|@banneyr, mergey@
@Bannockburn@|@Alt ny Bannaig@
@banquet@|@cur fleah da@
@banqueting hall@|@halley fleah@
@bantling@|@paitchey@
@baptistry@|@ynnyd vashtee@
@barb@|@piyl, wheddyr@
@barbarian@|@barbaragh@
@barbarity@|@dewilid@
@barbarous@|@gyn chymmey@
@barbed@|@wheddyragh@
@barber@|@baareyder@
@barberry@|@barbrag@
@barbican@|@barbicaanagh@
@bard@|@bard, bardagh, bardoonagh@
@bardic@|@bardoonagh@
@bareback@|@dreeym rooisht, gyn jeelt@
@barebacked@|@dreeym rooisht@
@bare-faced@|@gyn faasaag@
@barely@|@er-egin@
@barest@|@s'lhomey@
@bargained@|@barganit@
@bargainer@|@barganeyder@
@barge@|@barje@
@barge in@|@bwoalley stiagh@
@baritone@|@baritone@
@bark@|@roost@
@barley@|@oarn (f)@
@barley meal@|@meinn oarn@
@barley seed@|@oarn-chorrey@
@barley sugar@|@oarnag villish@
@barmaid@|@caillin lhionney, inney vaayl@
@barn@|@skibbalt@
@barn owl@|@caillagh oie, hullad soailt, hullad vane@
@barnacle@|@guiy twoaie@
@baron@|@barran@
@baronage@|@barranaght@
@baronial@|@barranagh@
@barque@|@barc@
@barrage@|@barraje@
@barrel@|@feddan@
@barrell-head@|@kione stoandee@
@barren@|@gennish@
@barrenness@|@gennishid@
@barricade@|@troggal creagh fendeilagh@
@base@|@gruntal@
@baseless@|@gyn bun, gyn vun@
@basement@|@laare fo halloo@
@bash@|@labb, labbal@
@basin@|@meilley@
@basket@|@barag, bastag@
@bass@|@scryss theilley@
@bassoil@|@deathlike@
@bassoon@|@bassoon@
@bastinado@|@yeealley ny boynyn jeh@
@bat@|@bad, baddal@
@bathroom@|@shamyr-oonlee@
@batsman@|@baddeyder@
@battalion@|@cahnaght@
@batten@|@cur slatten er@
@battered@|@bwoailt@
@battery@|@battree, bwoailtys, kishtey-pooar@
@battle@|@caggee, cah@
@battle frenzy@|@merre chaggee@
@battle order@|@oardyr caggee@
@battle royal@|@cah mooar@
@battledress@|@eaddagh caggee@
@baum@|@balm@
@baumagh@|@balmy@
@bawl@|@baic@
@bay@|@baie, gullal, gullarnee@
@bay (of dog)@|@gull@
@baying@|@gullal, gullarnee@
@baylee@|@bailiff@
@bayleeaght@|@bailiwick@
@bayr@|@drive, lane, road, roadway@
@bea millish@|@sweet, sweetmeat@
@bea varrkey@|@plankton@
@bea veayn@|@eternal life, eternal life, long life, long life@
@beach@|@traie@
@bead@|@beed@
@beagh@|@nourish@
@beaghey agglish@|@benefic, church living@
@beaghey lesh spein@|@spoonfed@
@beaghey ny sodjey (na)@|@outlive, outlive@
@beaker@|@beekyr@
@beaks@|@gib@
@beam@|@caabyr@
@beamy@|@cut@
@bean@|@poanrey@
@beaoil@|@moral@
@bear@|@ymmyrkey@
@bear off@|@dy lhie mooie jeh, ymmyrkey ersooyl@
@bear out@|@ymmyrkey magh@
@beardless@|@gyn faasaag@
@bearer@|@ymmyrkagh@
@bearing@|@ymmyrkane@
@beashnys@|@biography, biography@
@beashnyseyr@|@biographer@
@beashnyssagh@|@biographical@
@beasid@|@compliance, morality, passiveness@
@beasit@|@tamed@
@beast@|@ollagh (f)@
@beastings@|@groonoays@
@beasyn@|@manners@
@beat@|@bwoalley, custhey, yeealley@
@beat in@|@bwoalley stiagh@
@beat metal@|@inganey@
@beaten@|@bwoalt, yeelt@
@beaten (as track)@|@taaghit@
