@Greenlandic@|@English@
@aappiivoq@|@is two years old@
@aappisarpoq@|@has someone with him@
@aappiuppaa@|@adds it as the other one@
@aaq@|@lateral point @
@aaqaaq (Upern)@|@elder sister or brother@
@aaqakka@|@my half-sleeves@
@aaqanngitsoq@|@waistcoat@
@aaqat@|@half-sleeves@
@aaqqat@|@glove@
@aaqqatikka@|@my mittens@
@aaqqatikka kapitannginnamik assaarsinaqaat@|@as there are no inner mittens in my mittens@
@aaqqatissaq salisaq@|@skin for mittens@
@aaraq@|@half-sleeve@
@aarluppoq@|@has wet sleeves@
@aarnertuvoq@|@the bird dart has lateral points@
@aarnikippoq@|@the lateral pionts do not project very much @
@aarpaa@|@pulls on his sleeve@
@aarpoq@|@puts his arm into the sleeve@
@aarsuaq-una@|@you guy!@
@aasanna@|@it is down there!@
@aassiit@|@constellation appearing on the shortest day of the year@
@aassik@|@butterfly larva@
@aat?@|@what? @
@aataaq naallerparput@|@the saddleback smelt us@
@aataaq ugguaraa killinnginnamiuk@|@he is angry that he did not hit the saddleback properly@
@aataat saperpakka@|@I cannot catch the saddlebacks@
@aatsaaginnaq tusarpara@|@I have just heard it @
@aatsaalli@|@take care@
@aatsaalli qimmissaq@|@that was a dog worth having@
@aatsaarluinnaq, aatsaaqqinnaaq@|@at this very moment@
@aatsaarpoq@|@yawns with sleep@
@aatsaat@|@just now@
@aatsaat eqqartorikkit iserputit@|@I had just been speaking of you when you came in@
@aatsaat malugilerpakka marluusut@|@now only did I perceive that there were two@
@aatsaat sapiitsoq@|@how bold or courageous he is!@
@aatsaat!@|@well I never! @
@aatsangavoq@|@stands open@
@aatsarpoq@|@gapes@
@aatserivoq@|@brings it in several turns@
@aatsivigaa@|@brings him something@
@aatsorluut@|@temptation@
@aatsorpaa@|@infects him@
@aatsuivoq@|@he carries infection@
@aatsuuppoq, aatsornarpoq@|@it is infectious@
@aattorpaa@|@skins it (a large animal)@
@aattuut@|@flensing knife@
@aavaa@|@fetches it@
@aavartut ikorsimaffii@|@the camping place of the reindeer hunters@
@affaa@|@half of it@
@affaku@|@scrap, remnant@
@affaq@|@half@
@affaq (avippoq)@|@half@
@affarleq@|@separate compartment@
@affarleriipput@|@They live in separate rooms@
@affarlilersorpaa@|@divides it into several compartments@
@affassaasallit@|@articulated animal@
@affassak@|@an almost separated part@
@afrikamiut naggueqatigiissortaat@|@the African tribes@
@aggaatsoq (S.G.)@|@a stockfish, one who sleeps in his clothes@
@aggerfia@|@the way he came by@
@aggerfik@|@way@
@aggeriarpoq@|@approaches@
@aggerpoq@|@is underway,  approaches@
@aggiasoorneq@|@sudden gust of wind, squall@
@aggiasoorpoq (S.G)@|@is a sudden gust of wind, aquall@
@aggiuppaa@|@brings it@
@aggiut@|@day of arrival@
@agiaq@|@violin@
@agiarpaa@|@files on it, plays it @
@agiarpoq@|@rubs, files, plays a violin@
@agiarsuaq@|@cello@
@agiorpaa@|@hovers, soars above it@
@agiorpoq@|@hovers, soars@
@agiuppaa@|@rubs it against something@
@agiut@|@file, rubbing stone, violin bow@
@ai@|@his sleeves@
@ai?@|@What?@
@aja@|@maternal aunt@
@ajaa qasoqaanga@|@how tired I am!@
@ajaa, aja@|@exclamation of dismay@
@ajaamitsiarlugu@|@push off a little!@
@ajaamivaa@|@keept it @
@ajaappiarpoq@|@walks with a stick@
@ajaappissaq@|@walkingstick@
@ajaappoq@|@falls into the water @
@ajaaq@|@cross-tree@
@ajaasaq@|@coursin of his mother@
@ajaataq@|@pole@
@ajagaa@|@she is his maternal aunt@
@ajagaq, ajakkaat@|@ring-and-pin game@
@ajagarpoq@|@plays ring-and-pin@
@ajagarput@|@are together and sing drum song@
@ajagulavoq@|@furs and the like@
@ajagullarpoq@|@becomes stiff@
@ajagutaq, ajâgutaq@|@support@
@ajagutarpaa@|@props it up@
@ajagutarpoq@|@is propped up@
@ajagutserpaa@|@props it@
@ajakattarpaa@|@strikes against it@
@ajakkaarpoq@|@strikes against something @
@ajalunaveeqqut@|@list along the upper edge of the sledge runners@
@ajalupput@|@the sledge runners go zigzag@
@ajalusoorpoq@|@his sledge collapses@
@ajaluvoq, ajalorpoq@|@collapses@
@ajangigaa@|@feels deterred by him@
@ajangippoq@|@is pushed back@
@ajangisaarpaa, ajangitippaa@|@puts him away from him@
@ajannguajaaq@|@wooden platter@
@ajaperpaa@|@supports the hand against it@
@ajaperpoq@|@supports the hand against something@
@ajappaa@|@pushes it away@
@ajappaarppoq@|@gets up by pushing the oar against the bottom of the kayak@
@ajappattorpaa@|@supports himself against it@
@ajappattorpoq@|@pushed himself forward@
@ajappoq@|@hits the mark in ring-and-pin@
@ajaqqiffigaa@|@strikes against it@
@ajaqqippoq@|@strikes against@
@ajaqqisaarpoq@|@strikes against it @
@ajaraarpoq, ajaraappoq@|@is slippery@
@ajaraq@|@spit @
@ajasoornarpoq@|@is strange@
@ajasoorpoq@|@is surprised@
@ajassaanngilaq@|@is immovable@
@ajassaat@|@fork in the various senses of the word@
@ajassaavoq@|@can be moved@
@ajassarpaa@|@stikcks into it@
@ajassarpoq@|@pokes at something@
@ajasserpaa@|@puts a cross-tree into it @
@ajassersorpaa@|@puts cross-trees into it@
@ajasuu (S.G.)@|@How strange!@
@ajattaavoq@|@stands upright and rows forward @
@ajattarpaa@|@pushes it from him @
@ajattorpaa@|@pushes him away@
@ajattorpoq@|@is rejected@
@ajoqerpaa@|@teaches him@
@ajoqersivaa@|@follows his instruction@
@ajoqersivoq@|@follows the instruction@
@ajoqersornerluppaa@|@teaches him badly@
@ajoqersorpaa@|@teaches him@
@ajoqersortaa@|@his teacher@
@ajoqersortaq@|@pilot@
@ajoqersorti@|@teacher@
@ajoqersugaq@|@pupil@
@ajoqersuiartortippaa@|@sends him out as a missionary@
@ajoqersuiartortitaq@|@missionary@
@ajoqersuiartortitseqatigiit@|@missionary society@
@ajoqersuineq@|@teaching@
@ajoqersuinerluttoq@|@false teacher@
@ajoqersuinerluut@|@false teaching@
@ajoqersuisoq@|@teacher@
@ajoqersuivoq@|@teaches@
@ajoqersuuppaa@|@gives him instruction@
@ajoqersuut@|@teaching@
@ajoqersuutit@|@text-book@
@ajoqiat, ajoqiitaat@|@their catechist@
@ajoqiit (S.G.)@|@teacher@
@ajoqiitissaq (S.G.)@|@pupil at a school for teachers@
@ajoqip illua naalagiarfigisarparput@|@we hold a service in the house of the catechist@
@ajoquserpaa, ajoqusersorpaa@|@puts obstacles in his way@
@ajoqut@|@obstacle@
@ajoqutaavoq@|@is an obstacle@
@ajoquteqanngilaq@|@there is nothing to prevent it@
@ajoqutigaa@|@is prevented by it@
@ajoraa@|@does not like it@
@ajoraara@|@I do not like it@
@ajoraluartumik@|@unfortunately@
@ajoriartorpoq@|@becomes worse and worse@
@ajorinngorpoq, ajorunngorpoq@|@cannot get back its former shape@
@ajorinngorserpaa@|@bends it into another shape@
@ajorinngujuippoq@|@is elastic@
@ajorinngujuitsoq@|@steel spring@
@ajorliaa matoorpaa@|@covers his trans-gression@
@ajornanngilaq@|@it is easy to do@
@ajornaq@|@would that I had!@
@ajornarpoq@|@is impossible@
@ajornartoqanngilaq@|@it is easily done@
@ajornartorsiut@|@problem@
@ajornatoorpoq@|@meets difficulties@
@ajornatoortippaa@|@forces him@
@ajorneq@|@the worst@
@ajorneq ajorpoq@|@it is always or generally well@
@ajorpa?@|@is it bad? @
@ajorpaa@|@is powerless against him @
@ajorpoq@|@false@
@ajorsaappoq@|@is never in want@
@ajorsaat@|@want@
@ajorsaatigaa@|@lacks it@
@ajorsaatiginngilakka@|@I have enough of them@
@ajorsaatikka amerlaqaat@|@there are many things which I lack@
@ajorsarnaappoq@|@there is prosperity@
@ajorsarnaaqqutaavoq@|@it delivers from need@
@ajorsarnarpoq@|@is starvation time@
@ajorsarpoq@|@suffers want@
@ajorsartippaa@|@conquers him@
@ajorsartut ikioriaqarput@|@the needy should be helped@
@ajorsippaa@|@makes him give it up@
@ajorsippoq@|@gives it up@
@ajorsisippaa@|@conquers him@
@ajorsitsaarpoq@|@is stubborn@
@ajorsivaa@|@cannot manage to do it@
@ajorsivoq@|@gets ill@
@ajorsuseq, ajussuseq@|@wickedness@
@ajortaajarpaa@|@takes away his sin@
@ajortaappoq@|@is without sin@
@ajortaaruppoq@|@has been freed from sin@
@ajortaarussutigaa@|@is freed from sin by it@
@ajortai@|@his sins@
@ajorteqanngilaq@|@is free from sin@
@ajorti@|@sin@
@ajortilik@|@sinner@
@ajortoq@|@wicked@
@ajortuliaq@|@misdeed@
@ajortuliarpoq@|@leads a sinful life@
@ajortuliffigaa, ajortuliorfigaa@|@does him harm@
@ajortulivoq, ajortuliorpoq@|@does harm@
@ajortumeerpaa@|@copulates with her@
@ajortumik mersorpaa@|@she has sewn it badly@
@ajortumik pivaa@|@he treats him badly@
@ajorukuppaa@|@thinks that he will not like it@
@ajorunnaarpoq@|@has recovered@
@ajuaasaq@|@a kind of boil@
@ajualissuuvoq@|@is full of boils@
@ajuallaatigaa@|@is offended by it@
@ajuallakkajuppoq@|@is easily offended@
@ajuallannarpoq@|@is offensive@
@ajuallanneq@|@offence@
@ajuallappoq@|@angry@
@ajuallatsippaa@|@offends him@
@ajuaq@|@boil@
@ajugaaffigaa@|@vanquishes him@
@ajugaasoq@|@conqueror@
@ajugaavoq@|@is conqueror@
@ajugaq@|@superior@
@ajugaqanngilaq@|@is almighty@
@ajugaqanngissuseq@|@omnipotence@
@ajugaqanngitsoq@|@the Almighty@
@ajukkuffigaa@|@considers him unworthy of it@
@ajukkuppaa@|@is unsatisfied with it@
@ajukkuppoq@|@is unsatisfied with himself@
@ajukuluppoq@|@is not quite well@
@ajulerpoq@|@begins to be bad@
@ajulersarpoq@|@is feeble@
@ajunaarpaa@|@does him harm@
@ajunaarpoq@|@comes to grief@
@ajunaarsaarsoq@|@seducer@
@ajunaarsarpaa@|@makes him hurt himself@
@ajungaanngilaq@|@is not very ill@
@ajunngigaa@|@considers it good@
@ajunngilaa@|@can manage to do it@
@ajunngilanga@|@I'm fine@
@Ajunngilanga@|@I am well@
@ajunngilaq@|@is good@
@Ajunngilaq@|@That's alright@
@Ajunngilatit@|@Are you well?@
@ajunnginaarpaa@|@thinks he is better@
@ajunnginneq@|@the best@
@ajunnginneruvoq@|@it is better@
@ajunnginngilaq@|@is not good@
@ajunnginniarna, inuulluarina (long parting), ajuungikkina@|@goodbye@
@ajunngisaarfigaa@|@treats him kindly@
@ajunngisaarpoq@|@obliging@
@ajunngissivoq@|@becomes good@
@ajunngissuseq@|@goodness@
@ajunngitsilivoq, ajunngitsuliorpoq@|@does good@
@ajunngitsoq@|@fit efficient@
@ajunngitsuliaq@|@good deed@
@ajunngitsuliffigaa, ajunngitsuliorfigaa@|@does good towards him@
@ajunngitsumik mersorpai@|@she has sewn them well@
@ajunngitsumik pivaa@|@he treated him well@
@ajunngitsuut@|@good thing@
@ajunngitsuutippaa@|@considers it or him good@
@ajupataarpoq@|@is too slack to do his work@
@ajuppaa@|@extends it@
@ajuppoq@|@is extended@
@ajusoorutigaa@|@is surprised at it@
@ajussimaasarnarpoq@|@is exciting @
@ajussisippoq@|@escapes@
@ajussivaa@|@misses it@
@ajutoorpaa (S.G.)@|@extends it @
@ajuuppaa@|@cannot buy it@
@ajuusaarpoq@|@is rather bad@
@ajuut, ajuliut@|@weakness@
@ajuutaa@|@that which is the matter with him@
@ajuutinngilaa@|@can but it@
@akeqanngilaq@|@it is free@
@akeqarpoq@|@cost@
@aki@|@price@
@akikippoq@|@it is cheap@
@akilerumaarpinga?@|@will you pay me? @
@akirnanni@|@between@
@akisuvoq@|@it's expensive@
@akulikitsumik@|@frequente@
@akusungila?@|@is it not expensive? @
@Allaaqqippoq@|@the sky is clear@
@allaarsigallarlanga@|@let me disentangle the traces@
@allaarsivoq@|@disentangles the traces@
@allaaseq@|@calligraphy@
@allaasiut@|@steel pen@
@allaat@|@hand writing@
@allaatigaa@|@writes about it, writes with it@
@allaatitaq@|@chalk@
@allaffigaa@|@writes to him@
@allaffik@|@office, writing table@
@allagarsiaa@|@the letter he received@
@allagarsiaq@|@letter@
@allagarsiffigaa, allagarsivigaa@|@gets a letter from him@
@allagarsivoq@|@gets a letter@
@allagassiaq@|@note paper, writing paper@
@allagissaarpoq@|@is variegated, motley@
@allak@|@stripe, spot, figure, pattern@
@allakkat@|@writing, book, books, lettter@
@allakkat iluartut@|@the Holy Scripture@
@allakkerivik@|@post office@
@Allakkerivik@|@post office@
@allakkisarpoq@|@carries mail, brings letters@
@allalik@|@variegated@
@allamik@|@as he had no one to go with@
@allaneri ullup nalaanut ersipput@|@the writing is visible when held against the light@
@allanneq@|@letter@
@allapalaarpaa@|@embroiders it@
@allappaa@|@writes it or on it@
@allappoq@|@writes@
@allaq@|@bear, land-bear@
@allaqarpoq@|@it is provided with figures@
@allaqqissaarneq@|@has a beautiful writing@
@allaqqissaarpoq@|@embroidery@
@allattaat@|@(slate) pencil@
@allattaaviit@|@pocket book@
@allattakkat@|@diary, journal@
@allattarfik@|@table, slate@
@allattartoq@|@writer, clerk, secretary@
@allattooq@|@young saddleback @
@allattorpaa@|@enters it (in writing)@
@allattuiffik@|@note book@
@allattuuaraq@|@small young saddleback@
@alleq@|@even quite to the west there remained silent@
@allerneq@|@for the sake of her deceased husband she abstains from meat@
@allerpaa, allerutigaa@|@miscarriage@
@allerpoq@|@miscarry@
@allerulavoq, allerulaarpoq@|@jaw-bone@
@alleruppaa@|@abstains from it @
@allerut@|@bear prematurely@
@alleruut@|@his teeth chatter@
@alliallappoq@|@has grown a little@
@alliaq, mannguseq@|@umbilical cord@
@alligaq (aki)@|@taboo@
@alligarnippoq@|@catches it with a bladder dart@
@alligarpaa@|@bladder dart@
@alligartaq@|@fixes the bladder dart into it@
@allikarfigaa@|@gets out to it@
@allikarpoq (alippaa)@|@a seal caught with a bladder dart@
@allisippaa@|@raises it@
@allisitsiut, allisisiut@|@microscope@
@allivoq (angivoq)@|@becomes it greater@
@alloriarneq ooqattaassasutit@|@try to walk a step@
@allorpaa@|@dislocates the jaw@
@allorpoq@|@chin strap@
@allu@|@breathing hole@
@alluaq@|@fishing hole@
@alluarpaa@|@cleaves it (the bird dart)@
@alluarpoq@|@is made tight@
@allunaaq@|@seal-thong@
@allunaariaqattaarpoq, allunaaqattaarpoq@|@walks on a ropé@
@allunaasaaraq@|@twine@
@allunaasaq@|@string@
@allunaassat ingitsikkat@|@oakum@
@allunaassiassat@|@hemp@
@allunaassiornikut@|@hemptow@
@allunassat@|@straps@
@aluu@|@hello@
@aluu!, ulloq naalluanrniariuk!@|@have a nice day@
@ameq kaatitaq@|@a depilated skin@
@ameq kiattaq@|@a scalded skin@
@ameq malivoq@|@the hairs rise on the skin @
@ameq meqqulik@|@a skin with the hair on@
@Amerikarmiuuvunga@|@I am American@
@amerlassuseq@|@quantity@
@amerlasuut marloriagassat@|@pellets for two shots@
@amia katagarpoq@|@his skin peels -off@
@amissaq illuarpaa@|@strips off the skin of an umiak by cutting it up at the side@
@amissaq illuartaq@|@the stripped-off skin of an umiak@
@Ammasarfiit@|@Opening hours@
@ammavoq@|@open@
@ammip eqartaa@|@the grain of the skin@
@amorlaaq@|@fresh fish@
@anaana@|@mother@
@anartarfik@|@bathroom, toilete@
@anersaap pii@|@spiritual conditions@
@angajoqqaat@|@parents@
@angajuni nallerpaa@|@he has reached his elder brother@
@angalalluarina@|@have a good jorney@
@angallat@|@water craft@
@angallatsitsivik@|@travel agency@
@angerlarfissarput nallerpaa@|@it is at the time that we shall go home@
@angivallaaqaaq  ilaa?@|@it is far too large is it not?@
@angut@|@man@
@angutip@|@gentleman@
@angutip illua@|@the man's house@
@angutip illui@|@the man's houses@
@angutit illuat@|@the men's house@
@angutit illui@|@the men's houses@
@aningaasat@|@money@
@Aningaaserivik@|@Bank@
@annoraaq@|@anorak@
@annoraartaara ooqattaarniarpara@|@I should like to try on my new dress@
@annorassap eqartaa@|@the right side of the material@
@anoraa piartunngilaq@|@the wind does not increase@
@anorersuaq@|@storm@
@anori@|@wind@
@anori nakakkiartorpoq@|@the wind is on the point of turning@
@anori sallaatsoq@|@a gentle wind@
@apeqqut@|@question@
@apivoq@|@it has been snowing@
@appa@|@Brünnich's guillemot @
@appaaq@|@young guillemot@
@appaavoq@|@is dying@
@appakaappoq@|@enters the door@
@appakarpoq@|@comes through@
@appaliarsuk@|@little auk (Arctica alle)@
@apparluk@|@razor bill (Alca torda)@
@appat@|@frequently occuring name of bird cliffs@
@appinissarpoq@|@preludes@
@appippaa@|@commences a song@
@appippoq@|@leads the singing@
@appisaluuppaa@|@scolds him@
@appiuppaa@|@answers him@
@appiussorpaa@|@does it several times@
@aput@|@snow@
@aqaat@|@"petting" song@
@aqaatiliorpoq@|@makes a petting song@
@aqaatiliuuppaa@|@makes a petting song for it@
@aqagu@|@tomorrow@
@aqagu errorsissaagut@|@tomorrow we are going to wash@
@Aqagu sila qanorissava@|@What will the weather be like tomorrow?@
@aqaguagu@|@day after tomorrow@
@aqaguaguani@|@two days afterwards@
@aqaguani@|@the following day@
@aqagukkut@|@the day after@
@aqaguppat@|@tomorrow@
@aqaguppoq@|@postpones it until tomorrow@
@aqagussaq@|@the following day@
@aqagutaaq, aqagumisaaq@|@left over from yesterday@
@aqagutaaraa@|@has it left over from yesterday@
@aqagutaarpoq, aqagumisaarpoq@|@has something left over from yesterday@
@aqagutaassaq, aqagumisaassaq@|@something which is to be used tomorrow@
@aqaguukkaluarpanga@|@if I live to see the day tomorrow@
@aqaguuppaa@|@it takes him another day@
@aqajak@|@abdomen@
@aqajamineq@|@belly meat@
@aqajannguummivoq@|@becomes giddy@
@aqajaqqerpoq@|@is crammed with food@
@aqajaqqivoq@|@prepares a belly@
@aqajaqqut@|@stomachs@
@aqajaroq@|@stomach@
@aqajarua@|@his stomach@
@aqajaruusaa@|@the bowl @
@aqajaruusaataa@|@his pipe bowl@
@aqajaruusaq@|@pipe bowl@
@aqajaruutaa@|@the seal belly he uses@
@aqalliarpoq@|@goes salmon fishing@
@aqarpaa@|@pets it@
@aqassuppaa, arsuppaa@|@caresses it@
@aqerlup qajua@|@lead ashes@
@aqerluusamik piiaat@|@india rubber@
@aqisseq@|@ptarmigan @
@aqisserniaq@|@hunter of ptarmigan@
@aqissiaq@|@young ptarmigan@
@aqissit ussallugit tikippoq@|@he came home and had got many ptarmigans@
@aqissiusaq@|@partridge @
@aqqa taaguk@|@name his name!@
@aqqagut taavaa@|@calls him by his name@
@aqqaneq@|@eleven@
@aqqaneq-marluk@|@twelve@
@aqqusineq@|@street, way@
@aqqut@|@way@
@aqqutissaanik ajoqersuuppaa@|@tells him the way@
@arfeq@|@whale@
@arfinek-pingasut@|@eight@
@arfineq@|@six@
@arfineq-marluk@|@seven@
@arnap@|@lady@
@arnaq@|@woman@
@arnaq eertaatsoq@|@disorderly woman@
@arriitsumij aqalulaalit@|@please speak more slowly@
@artorsarpoq@|@is in want of something which is not to be had@
@asavaa@|@he loves her@
@asavaanga@|@he loves me@
@asavaasi@|@he loves you (pl)@
@asavaatigut@|@he loves us@
@asavaatit@|@he loves you@
@asavai@|@he loves them@
@asavakka@|@i love them@
@asavakkit@|@i love you@
@asavara@|@i love him@
@asavarma@|@you love me@
@asavassi@|@i love you (pl)@
@asavat@|@you love him@
@asavatsigut@|@you love us@
@asavavit@|@you love them@
@aserorpoq@|@it's broken@
@assa@|@hand@
@assaappaa@|@buries it@
@assaasat@|@something which resembles fingers@
@assaasigut eqillugu@|@squeezing his hand@
@assaat@|@hands@
@assagiaq, assagiarsuk@|@crab@
@assagiikkut@|@harpoon knob @
@assagippoq@|@has a beautiful or good hand@
@assagiusaq@|@the skin under the nail@
@assai sajupput@|@his hand trembles@
@assai talerpilliit@|@his right hand@
@assak@|@hand@
@assakaasoq@|@wheel@
@assakaatippaa@|@rolls it round@
@assakaavoq@|@runs round@
@assakarpoq@|@turns over @
@assakka matumut kiggisippakka@|@my fingers got jammed in the door@
@assakka matup kiggippai@|@the door pinched my fingers@
@assaligutit@|@grater@
@assalikaarut@|@rolling pin@
@assalippaa@|@rubs it between his hands@
@assalittaatit@|@rake@
@assalittaavoq@|@rolls dough@
@assalittarpaa@|@kneads it (the dough)@
@assallappaa@|@turns it over@
@assallappoq@|@turns about@
@assallatserpaa@|@turns it over@
@assallatserut@|@plough@
@assalluppoq@|@has a bad hand or finger@
@assammipput@|@they pull at hooks@
@assammiu@|@finger ring@
@assani ersaartorpai@|@claps his hands@
@assani manivai@|@extends his hand@
@assani paarlappai@|@folds his hands@
@assappaa@|@strikes on it a single time@
@assappoq@|@is turned over@
@assaq@|@summer@
@assaqqoq@|@upper part of arm@
@assarkartippaa@|@turns it over@
@assarnaannguarpoq@|@a slight east wind@
@assarnaarpoq@|@there is a strong east wind@
@assarneq@|@east wind@
@assarnerpoq@|@there is an east wind@
@assarput (anivoq)@|@they move out@
@assartorpaa@|@transports it@
@assartorpoq@|@carries a load@
@assartuut@|@great boat@
@assassoriaq@|@guitar@
@assassorpaa@|@has it in hand@
@assassorpoq@|@uses his hands@
@assataq@|@weight@
@assattorpaa@|@strikes on it several times@
@asserpaa, assivaa@|@spills blood on it@
@assiliaq@|@photography@
@assineq, assisarneq@|@blood-spitting@
@assiorpoq@|@makes soup of dried blood@
@assit@|@reticulum @
@assivoq@|@spits blood@
@assoq@|@weather side@
@assoqquppaa@|@goes to windward of it@
@assoralinarpoq@|@the wind is scant@
@assoralivoq@|@has the wind a little against him@
@assorleq@|@farthest out to windward@
@assororpoq, agsorôrpoq@|@makes an effort@
@assorparpoq, assorparterpoq@|@gains against the wind@
@assorpoq@|@drives@
@assorsuaq@|@with all his might@
@assortorpaa@|@contradicts him@
@assortuineq@|@opposition@
@assortuisoq@|@opponent@
@assortuukkanni oqassarlerpoq@|@I silenced him by contradicting him@
@assortuupput@|@they fight with each other@
@assoruuppaa@|@fights with him@
@assoruuppoq@|@pulls himself together@
@assoruupput@|@they wrestle@
@assoruutigaa@|@exerts himself with it@
@assuanit@|@from windward@
@assuaraa@|@reproves him@
@assuaraakkit atukkatit toqqunngisaannarakkit@|@I have that against you@
@assuarlerajuppoq@|@is apt to blame@
@assuarlersigaa@|@has him against him@
@assuarliutigaa@|@reproves someone for it@
@assuarnaagaa@|@considers him blameless@
@assuarnaappoq@|@is blameless@
@assuarnaraa@|@finds him or it reprovable@
@assuarnarpoq@|@is blamable@
@assumukarpoq, assumoorpoq@|@has the wind against him@
@assumut@|@to windward@
@assungaatsiaq@|@rather much@
@assut@|@much@
@assuunngitsumik@|@gently!@
@ata peqanguussusia@|@how well-off he is!@
@ataani@|@under@
@ataaseq@|@one@
@ataaseq naligaa@|@is unchanged@
@ataata@|@father@
@ateq@|@name@
@atisat oqortut@|@warm clothes@
@Atisat oqortut@|@warm clothing@
@atserivik@|@slop pail@
@atserivoq@|@throws out refuse on the refuse heap@
@atsiorpaa@|@sews a sleeve for him@
@atsiorpoq@|@sews a sleeve@
@atsip-paa, aap-paa@|@cuff@
@atsip paassaq@|@fur for edging of a sleeve@
@atsipaaqut@|@cuff (of shirt)@
@atsit@|@sleeves@
@atsivoq@|@sews on a sleeve@
@attakoorfik@|@place of the refuse heap@
@attakoorpoq@|@trows out refuse@
@attakui@|@his or their refuse heap@
@attakut@|@refuse heap@
@attassaq@|@slop pail@
@attat@|@refuse heap@
@atten (from 13 and on it's used Danish numbers)@|@eighteen@
@attoqut@|@facing@
@attorpaa@|@touches it@
@attorqutserpaa@|@puts a facing round it@
@attuumavaa@|@borders on or adjoins  something@
@attuumavoq@|@touches something@
@atuagaq@|@book@
@Atuakkanik atorniartarfik@|@Library@
@atuarfik@|@school@
@atuarfissamik ajorsarput@|@they lack a school@
@atuarfiup pii@|@the inventory of the school@
@atuarneq ajunngilaa@|@he is able to read it@
@atuartoq@|@teacher@
@avaleqqoq@|@the arms of a star fish@
@avannaa@|@north Greeland@
@avannaq@|@north@
@avattap paaguai@|@the guards of the sealing bladder@
@aviisi@|@newspaper@
@aviisiliortoq@|@journalist@
@biili@|@car@
@ee, eeq@|@fie! oh! ugh, how nasty!, the first sound made by a child@
@eeeeee@|@help!@
@eeqqa@|@his relative@
@eeqqatuk@|@his second cousin@
@eeraa@|@is disgusted with it@
@eernarpoq@|@is disgusting, loathsome@
@eerpoq@|@says fie, is disgusted.@
@eertaappoq@|@is uncleanly@
@eertaliorpoq, eersiorpoq@|@boils peas@
@eertaq@|@pea@
@eertarpoq@|@calls for help@
@eertat@|@yellow peas@
@eertat amitsukujuut@|@beans@
@eertat qernertut@|@grey peas@
@eertorpoq@|@says ê.@
@enoghalvtreds (from 13 and on it's used Danish numbers)@|@fifty one@
@enogtyve (from 13 and on it's used Danish numbers)@|@twenty one@
@eqaallisarpaa@|@makes it soft, pliable@
@eqaallivoq@|@becomes supple, pliable@
@eqaappoq@|@is soft, pliable@
@eqaarsaarfik@|@gymnasium@
@eqaarsaarneq@|@gymnastics@
@eqaarsaarpoq@|@does gymnastics@
@eqaatsoq@|@star fish @
@eqalugaq, eqaluaq, eqaloraq@|@Polar cod @
@eqaluk@|@salmon, sea trout@
