@English@|@Macedonian@
@abhorrence@|@gadewe, odvratnost@
@abhorrent@|@gaden@
@abide@|@`ivee, ~eka, podnesuva, prestojuva, trpi@
@abide (pt pp abode)@|@ostanuva (veren), se zadr`uva na@
@abiding@|@postojan, traen@
@abilities@|@talent@
@ability@|@sposobnost, umeewe@
@abject@|@gaden, podmolen, prezren, rasipan@
@abject (n)@|@bednik, podmolen ~ovek@
@abjection@|@niskost, podmolnost, prostotilak, rasipanost@
@abjuration@|@odrekuvawe pod zakletva@
@ablaze@|@bleskav, rasplamten, silno vozbuden (fig)@
@ablaze 1@|@silno osvetlen, vo plamen@
@able@|@kadaren, silen, sposoben, talentiran, ve{t, zdrav@
@able bodied@|@silen@
@ably@|@ve{to@
@abnegate@|@ne priznava, osporuva, pobiva, porekuva@
@abnegation@|@odrekuvawe, osporuvawe, pobivawe@
@abnegator@|@onoj {to pobiva@
@abnormal@|@~udovi{en, grozen, neobi~en, nepravilen@
@abnormality@|@~udovi{nost, abnormalnost, neobi~nost@
@aboard@|@na brod, vo avion@
@aboard (Am)@|@vo voz (avtobus tramvaj)@
@abode@|@`iveali{te, dom, prestoj, stan@
@abolish@|@poni{tuva, stava von sila, ukinuva@
@abolishable@|@poni{tliv, uni{tliv@
@abolishment@|@poni{tuvawe@
@abolition@|@poni{tuvawe, ukinuvawe@
@abolition 1@|@abolicija, ukinuvawe ropstvo@
@abolitionist@|@abolicionist, protivnik na ropstvoto@
@abominable (abominably)@|@gnasen@
@abominate@|@~uvstvuva gadewe kon@
@abomination@|@gadewe@
@aboriginal (n)@|@domorodec (od Avstralija), starosedelec@
@aboriginal (pl aborigines)@|@{to im pripa|a na domorodcite, prvobiten@
@aboriginal 1@|@domorodno rastenie (`ivotno)@
@abort@|@abortira, izjalovuva (fig), pometnuva@
@abortion@|@abortirawe, izjalovuvawe (fig), pometnuvawe@
@abortive@|@bezuspe{en, izjaloven@
@abound@|@izobiluva so, vrvi od@
@abounding@|@bogat, obilen, ploden@
@about@|@naokolu, okolu, sekade, vo blizina@
@about (adj)@|@gotov@
@about (prep)@|@okolu, pokraj, vo pogled na, za@
@about 1@|@prili~no, skoro@
@aboutface@|@svrtuva grb@
@above (adj)@|@spomnat pogore (vo tekst)@
@above (adv)@|@gore@
@above (prep)@|@nad, pove}e od, preku@
@above all@|@pred s#@
@above board@|@iskren (dogovor)@
@above ground@|@`iv@
@above mentioned@|@gorespomnat@
@above named@|@gore-imenuvan@
@above nothing@|@ne trepnuva pred ni{to@
@above quoted@|@gore-naveden@
@above suspicion@|@von somnenie@
@above the average@|@natprose~no@
@above zero@|@nad nulata@
@aboveboard@|@~esen@
@abracadabra@|@hokus-pokus@
@abrade@|@lupi, o{tetuva, sogoluva, trie, uni{tuva (fig)@
@abrasion@|@izlupeno mesto, lupewe, sogoluvawe, triewe@
@abrasive.ly@|@{to razjaduva (lupi), abraziven@
@abreast@|@eden pokraj drug, naporedno@
@abreast of (with)@|@naporedno so@
@abridge@|@skratuva@
@abridgement@|@ograni~uvawe, skratena verzija, skratuvawe@
@abroad@|@na vozduh, nadvor, von od doma@
@abroad 1@|@nadaleku, vo stranstvo@
@abrogate@|@otpovikuva, poni{tuva, ukinuva@
@abrogation@|@otpovik, poni{tuvawe, ukinuvawe@
@abrupt@|@nagol, otse~en, prek (odnos), strm, vrle`en (breg)@
@abruptness@|@isprekinatost, naglost, otse~enost, strmnina@
@abruptness 1@|@grubost, prekost@
@abscess@|@~ir@
@abscond@|@bega (otkako opleskal), se krie@
@absconder@|@bega~@
@absence@|@nedostig, nepostoewe, otsutnost@
@absence of mind@|@otsustvo (na duhot)@
@absent minded@|@rasean@
@absent mindedly@|@raseano@
@absent mindedness@|@raseanost@
@absent oneself@|@izostanuva@
@absent.ly@|@dalek, nepostoe~ki, otsuten@
@absentee (n)@|@neprisuten (~ovek), otsuten@
@absolute@|@~ist, bezusloven, potpoln, sovr{en@
@absolute 1@|@apsoluten, neograni~en, nezavisen@
@absolute 2@|@apsolutisti~ki, samovlasten@
@absolutely@|@bezuslovno, naprosto, potpolno, sekako, sosema@
@absolutely (adv)@|@apsolutno, nesomneno@
@absoluteness@|@bezuslovnost, potpolnost, sovr{enost@
@absoluteness 1@|@apsolutna vlast, negrani~enost, sigurnost@
@absolution@|@razre{uvawe od grevovi@
@absolutism@|@apsolutizam, samovlastie@
@absolutist@|@apsolutist, samovlasnik@
@absolve@|@osloboduva (od obvinenie), razre{uva (od grevovi)@
@absolver@|@onoj {to razre{uva od grevovi@
@absorb@|@apsorbira, potpolno opfa}a, vpiva, vsmukuva@
@absorbed in@|@vdlabo~en vo@
@absorbent@|@{to vpiva (sredstvo)@
@absorption@|@apsorbiranost, apsorpcija, vpivawe@
@abstain@|@apstinira, se vozdr`uva@
@abstainer@|@apstinent, vozdr`liv ~ovek@
@abstemious@|@proslava), skromen (ru~ek, vozdr`liv@
@abstemiousness@|@umerenost, vozdr`livost, vozdr`uvawe@
@abstention@|@pritesnuvawe, stesnuvawe, vozdr`uvawe (od glasawe)@
@abstinence@|@umerenost (so hrana), vozdr`livost@
@abstinent@|@umeren, vozdr`liv@
@abstract@|@apstrakten, maten, nevistinski, te{ko razbirliv@
@abstract (n)@|@izvadok, kus pregled, rezime@
@abstract (v coll)@|@krade, zdipluva@
@abstract (v)@|@odvlekuva (vnimanie), odvojuva, rezimira@
@abstract 1@|@~ist (mat i fizika), mislena (imenka), teoriski@
@abstracted@|@nevnimatelen, odvle~en, rasean@
@abstracted (adj)@|@maten, te{ko razbirliv@
@abstraction@|@apstrakcija, izdvojuvawe, odvlekuvawe, raseanost@
@abstraction 1@|@kra`ba (razg), odvra}awe@
@abstractness@|@apstraktnost@
@abstruse@|@maten, nerazbirliv, skri{en, temen@
@abstruseness@|@matnost, nejasnost, nerazbirlivost@
@absurd@|@apsurden, besmislen, glup, nesfatliv@
@absurdness absurdity@|@apsurdnost, besmislica@
@abundance@|@izobilie@
@abundant@|@izobilen, obilen@
@abuse@|@navreduva, odava (tajna), pcue, zloupotrebuva@
@abuse (n)@|@navreda, nepravilnost, odavawe (tajna), oskvernuvawe, pcuewe, zaveduvawe, zloupotreba@
@abuse 1@|@izmamuva, obes~estuva, zaveduva (devojka)@
@abuse 2@|@oskvernuva@
@abusive@|@{to oskvernuva, navredliv@
@abusiveness@|@navreda, navreduvawe@
@abut@|@dopira, se grani~i, str~i@
@abutment@|@grani~ewe, potpor, potporen stolb@
@abutter@|@vlasnik na soseden posed@
@abutting@|@soseden@
@abysmal@|@bez dno, ponoren@
@abyss abysm@|@ambis, bezdna, pekol, ponor, provalija@
@acacia@|@akacija, bagrem@
@academic@|@akademski (gra|anin)@
@academical@|@akademski, univerzitetski@
@academician@|@akademik@
@academy@|@akademija@
@accede@|@pristapuva (kon partija), se soglasuva so@
@accede 1@|@stapuva (na prestol)@
@accelerate@|@zabrzuva, zgolemuva brzina@
@acceleration@|@zabrzuvawe@
@accelerator@|@akcelerator@
@accent@|@akcent, izgovor (stranski-tu|), naglasok@
@accentuate@|@akcentira, istaknuva, naglasuva@
@accentuation@|@istaknuvawe, naglasuvawe@
@accept@|@prezema, prifa}a, prima, priznava, uva`uva@
@accept 1@|@podnesuva, podnesuva (navreda), se soglasuva@
@acceptability@|@priem~ivost, prifatlivost@
@acceptable acceptably@|@dobredojden, priem~iv, prifatliv@
@acceptance@|@dobar priem, naklonost, prifa}awe@
@acceptation@|@dobar priem, soglasnost@
@accepted.ly@|@prifaten, voobi~aen@
@access@|@audiencija, priod, pristap, vlez@
@accessary@|@ortak, pomaga~, sou~esnik@
@accessibility@|@dostapnost, pristapnost@
@accessible@|@dostapen, dosti`en, pristapen@
@accession@|@dobivawe visoko mesto, postignuvawe visok rang@
@accession 1@|@pridodavawe (kon zbirka)@
@accession 2@|@pro{iruvawe (na soznavawe), udovoluvawe (barawe)@
@accession to the throne@|@stapuvawe na prestol@
@accessories (pl)@|@dodatok, pribor@
@accessory@|@dodaten, pomo{en@
@accidence@|@fleksija (vo gramatika), otstapuvawe@
@accident@|@povreda, slu~aj, slu~ajno svojstvo, soobra}ajka@
@accident 1@|@nesre}en slu~aj, nezgoda@
@accidental@|@nebiten, slu~aen, sporeden@
@acclaim@|@odobruva, pozdravuva (odu{eveno)@
@acclamation@|@pozdravuvawe (odu{eveno)@
@acclimatization@|@aklimatizacija, prilagoduvawe@
@acclimatize@|@aklimatizira, se prilagoduva@
@acclivitous@|@strm@
@acclivity@|@strm pat, strmnina@
@accommodate@|@~ini  usluga, izleguva vo presret, prima (na stan)@
@accommodate 1@|@prilagoduva (ne{to nekomu), snabduva (nekogo so)@
@accommodation ladder (Am)@|@podvi`ni skali@
@accomodate@|@~ini  usluga, izleguva vo presret, prima (na stan)@
@accomodate 1@|@prilagoduva (ne{to nekomu), snabduva (nekogo so)@
@accomodate 2@|@izgladuva (spor)@
@accomodating@|@presretliv, uslu`en@
@accomodation@|@pomagawe, prilagoduvawe, snabduvawe@
@accomodation (Am pl)@|@mesto, smestuvawe, stan i hrana@
@accomodation (Am)@|@izgladuvawe na spor, spogodba@
@accomodation 1@|@izleguvawe vo presret, udobnost, uslu`nost@
@accomodation train@|@lokalen voz@
@accompaniment@|@pridru`ba, propratna pojava@
@accompany@|@pridru`uva, propra}a@
@accomplice@|@sou~esnik@
@accomplish@|@ispolnuva, izvr{uva, sproveduva, zavr{uva@
@accomplish 1@|@postignuva@
@accomplished@|@obrazovan (sestrano), sovr{en, vi~en@
@accomplished fact@|@svr{en fakt@
@accomplishment@|@ispolnuvawe, izveduvawe, izvr{uvawe@
@accomplishment 1@|@obrazovanost, usovr{uvawe, vi~nost@
@accomplishments@|@nadarenost, sposobnost, talent, znaewe@
@accord@|@odobruvawe, sloga, soglasnost, sovpa|awe@
@accord (v)@|@dopu{ta, odobruva, se slo`uva, se soglasuva@
@accord (vi)@|@uskladuva@
@accordance@|@slagawe@
@accordant@|@{to e vo soglasnost, {to odgovara, {to se slo`uva@
@according@|@vo zavisnost@
@according as@|@sprema toa (kako raboti-u~i)@
@according to@|@sprema, vo zavisnost od@
@accordingly@|@sprema toa, zatoa@
@accordion@|@harmonika (ra~na)@
@accost@|@nagovara, prio|a na, se obra}a kon@
@account@|@izraz, izvestuvawe, presmetka, smetka@
@account (v)@|@dava smetka, dr`i, odgovara, odgovoren e, smeta@
@account (vi)@|@izvestuva, obrazlo`uva@
@account 1@|@objasnuvawe, polza, prednost, prikaz@
@account 2@|@obyir, pri~ina, va`nost, vrednost, zna~ewe@
@accountability@|@odgovornost@
@accountable@|@{to mo`e da se objasni, odgovoren@
@accountant@|@revizor, smetkovoditel@
@accounting@|@smetkovodstvo@
@accredit@|@akreditira (pratenik), poveruva@
@accredit sth to sb@|@pripi{uva ne{to nekomu@
@accreditation@|@akreditirawe@
@accretion@|@prirast, rast, srastuvawe@
@accrue@|@narastuva, proizleguva, se zgolemuva@
@accumulate@|@se akumulira, se natrupuva, se sobira@
@accumulation@|@akumulacija, nasobirawe, natrupuvawe@
@accumulative@|@akumulativen@
@accumulator@|@akumulator@
@accuracy@|@preciznost, to~nost@
@accurate@|@precizen, to~en@
@accursed (accurst)@|@proklet@
@accusation@|@obvinuvawe, okrivuvawe@
@accusative@|@akuzativen (pade`)@
@accusatory@|@obvinuva~ki@
@accuse@|@obvinuva, okrivuva (za)@
@accused@|@obvinet@
@accuser@|@obvinuva~@
@accusingly@|@obvinuva~ki@
@accustom@|@priviknuva na@
@accustomed@|@naviknat na, sviknat, voobi~aen@
@ace@|@edinica (vo tabla), kec (vo karti)@
@ace 1@|@as (vo vozduhoplovstvo), prvenec@
@acerbate@|@`esti, izbezumuva, ogor~uva@
@acerbate (adj)@|@izbezumen, ogor~en@
@acerbity@|@`e{tina, gor~ina, lutina, ogor~enost@
@acetate@|@acetat@
@acetic (acetous)@|@kisel, oceten@
@ache@|@boli, kopnee@
@ache (n)@|@bol, kopne`@
@achieve@|@ispolnuva, ostvaruva, postignuva@
@achievement@|@ispolnuvawe, ostvaruvawe, postignuvawe@
@achievement 1@|@delo (izvonredno), rezultat, uspeh@
@achoo atchoo (Am)@|@ap~iha!@
@acid@|@kisel, palen@
@acid (fig)@|@kisel, zajadliv@
@acid (n)@|@kiselina@
@acid drops@|@kiseli bonboni@
@acid test@|@isprobuvawe, proba@
@acidify@|@zakiseluva@
@acidity@|@kiselost@
@acidless@|@bez kiselina@
@acidulate@|@zakiseluva (slabo)@
@acidulous@|@kiselkav, nakisel@
@acidulous (fig)@|@kisel, zajadliv@
@acknowledge@|@prepoznava, prifa}a, priznava@
@acknowledge 1@|@iska`uva blagodarnost za, potvrduva priem na@
@acknowledgement@|@blagodarnost, pofalba, priznanie@
@acknowledgement 1@|@potvrduvawe na priem@
@acme@|@kriza, vrv (na uspeh razvoj)@
@acne@|@~ir~e, akna@
@aconite@|@bole~, otrovna bilka@
@acorn@|@`ir@
@acoustic.al.ly@|@akusti~en, zvu~en@
@acoustics@|@akustika@
@acquaint@|@zapoznava (nekogo so ne{to)@
@acquaintance@|@poznanik, poznanstvo, poznavawe@
@acquaintanceship@|@poznanstvo@
@acquiesce@|@se pomiruva, se soglasuva@
@acquiescence@|@pomiruvawe@
@acquiescent@|@pokoren, pomirliv, povodliv@
@acquire@|@se zdobiva so (pari znaewe), steknuva@
@acquire 1@|@nau~uva, osvojuva (metodologija)@
@acquire 2@|@postignuva@
@acquired taste@|@steknata sklonost@
@acquirement@|@postignuvawe, sprema, steknato znaewe@
@acquisition@|@dobivawe, nabavka, obogatuvawe@
@acquisitive@|@ambiciozen, revnosen, straden@
@acquisitiveness@|@lakomost@
@acquit@|@osloboduva@
@acquit 1@|@namiruva (dolgovi)@
@acquit oneself well@|@dobro se dr`i@
@acquital@|@osloboduvawe, razre{uvawe@
@acquitance@|@namiruvawe@
@acre@|@ar@
@acreage@|@povr{ina zemja (vo ari)@
@acrid@|@gor~liv, ogor~en, palen@
@acridity@|@gor~livost, ogor~enost@
@acrimonious@|@lut, ogor~en, oster (govor kavga)@
@acrimony@|@gor~ina, lutina, ogor~enost, ostrina vo odnesuvawe@
@acrobat@|@akrobat, pelivan@
@acrobatic@|@akrobatski@
@acrobatics@|@akrobatika, pelivanstvo@
@across@|@nakrst, napreku, popreku, vodoramno (krstozbor)@
@across (prep)@|@niz@
@across from@|@nasproti@
@across the board@|@{to se odnesuva na site, op{t, vo site sloevi@
@across the road@|@od onaa strana na patot@
@acrostic@|@vkrsten (zbor)@
@act (5)@|@glumi, igra (rolja)@
@act (n)@|@~in, delo, dogovor, odluka, odredba, postapka@
@act (v)@|@deluva, raboti, slu`i, vr{i funkcija na@
@act 1@|@akt, zakon@
@act 1 (v)@|@funkcionira, odi, postapuva, se odnesuva@
@act 2 (v)@|@izrazuva (preku dela), postapuva, se rakovodi@
@act 3 (v)@|@vlijae (na)@
@act 4 (v)@|@dava (pretstavuva), izveduva, prika`uva@
@act in bad faith@|@postapuva ne~esno@
@Act of God@|@vi{a sila@
@act of grace@|@dobro delo@
@act of hostility@|@neprijatelska postapka@
@act of oblivion@|@ukaz za pomiluvawe@
@act of sale@|@kupoproda`ben dogovor@
@act up (coll)@|@"izveduva", {kripi, majtapi@
@actable (adj)@|@izvedliv@
@acting (adj)@|@koj {to deluva@
@acting (head)@|@vr{itel na dol`nost ({ef)@
@acting (n)@|@gluma@
@action@|@~in, akcija, dejstvo, delo, postapka@
@action 1@|@funkcionirawe (na mehanizam), parnica, tu`ba@
@action 2@|@dvi`ewe (na balerina), tek (na pretstava)@
@action 3@|@boj, borba@
@actionable (actionably)@|@kazniv@
@activate@|@aktivira@
@activation@|@aktivirawe@
@active@|@aktiven, energi~en, raboten, rabotliv@
@active voice@|@aktiven zalog (na glagol)@
@activist@|@aktivist@
@activity@|@aktivnost, dejnost, zanimavawe@
@activity 1@|@`ivost, aktivnost (mno`), vrabotenost@
@actor@|@akter, glumec@
@actress@|@glumica@
@actual@|@sega{en, su{tinski, vistinski@
@actuality@|@aktuelnost, dene{nica, sovremenost, su{testvenost, su{tina, vistinitost@
@actuality pl@|@sostojba@
@actualization@|@aktualizacija, ostvaruvawe@
@actualize@|@aktualizira, osovremenuva, ostvaruva@
@actually@|@navistina, vsu{nost@
@actuate@|@pottiknuva, razdvi`uva, vdahnovuva, vodi@
@actuation@|@razdvi`uvawe, stavawe vo dejstvo, vodewe@
@acuity@|@izostrenost@
@acumen@|@bistrina, ostroumnost, proniklivost@
@acute@|@{ilest (predmet bol), akuten (slu~aj), golem (nedostig), izostren (miris smisla), legnat (akcent), ostroumen, piskav (glas)@
@acuteness@|@`e{tina, itnost, ostrina, ostroumnost, silina@
@ad@|@oglas@
@ad seriatim (lat)@|@edno po drugo@
@adage@|@pogovorka@
@adamancy@|@cvrstina, nepokoleblivost@
@adamant@|@dijamant, tvrd kamen@
@adamantine@|@nepokolebliv, tvrd kako dijamant, tvrdokoren@
@adamantly@|@nepokolebliv, postojan, tvrd@
@adapt@|@adaptira (tekst), doteruva, prerabotuva, prilagoduva, prisposobuva, sreduva@
@adaptability@|@prilagodlivost, snaodlivost@
@adaptable@|@prilagodliv, snaodliv@
@adaptation@|@adaptacija, prerabotuvawe@
@adapter@|@adapter (na struja), prilagoduva~@
@add@|@dodava, pridava, pridru`uva, pripojuva@
@add in@|@vklu~uva@
@add insult on injury@|@redi navreda po navreda@
@add up@|@pripa|a zaedno (fig), sobira@
@add up to@|@iznesuva, zna~i (fig)@
@adder@|@{arka, zmija otrovnica@
@addict@|@`eni, ~itawe), narkoman, pijanica, zavisnik (od droga@
@addiction@|@droga), oddadenost (na alkohol@
@addictive@|@koj{to sozdava navika@
@addition@|@dodatok, dodavawe, nadograduvawe, nov stanben kvart (Am), primesa (vo jadewe), sobirawe, zbir@
@additional.ly@|@dodaten, dopolnitelen@
@additive@|@dodatok (vo hrana benzin)@
@addle@|@mrdnat, neploden, prazen, rasipan (jajce), zbrkan@
@addle (v)@|@se mrdnuva, se rasipuva, se zbrkuva@
@addle-brained@|@praznoglav@
@addle-headed@|@zbrkan@
@addle-pated@|@glup, tup@
@address@|@adresa, adresira, dr`ewe, dr`i govor, govor, molba, naslov, obra}awe, odnesuvawe, oslovuva, poraka, pozdrav, se obra}a, ume{nost@
@address oneself@|@se zafa}a so@
@addressee@|@adresat@
@adduce@|@dava (kako dokaz ili primer), naveduva@
@adept@|@adept, posvetenik (vo tajni nauki), stru~no lice, ume{en, upaten, upaten ~ovek, ve{t, ve{tak@
@adequacy@|@adekvatnost, prilagodenost, zadovolitelnost@
@adequate@|@adekvaten, dovolen, prilagoden, zadovolitelen@
@adhere@|@se lepi (cvrsto), se pridr`uva (kon pravila)@
@adherence@|@poddr{ka, prilepuvawe, privrzanost, sledewe@
@adherent@|@privrzanik, sledbenik@
@adherent (adj)@|@privrzan, veren@
@adhesion@|@adhezija, prilepuvawe, privrzanost, srastuvawe@
@adhesion 1@|@poddr{ka@
@adhesive@|@lepliv@
@adhesive (n)@|@lepilo@
@adhesive plaster@|@flaster@
@adhesive tape@|@selotejp@
@adieu@|@zbogum, zboguvawe@
@adipose@|@debel, masen@
@adjacency@|@blizina, dopirawe, grani~ewe, sosedstvo@
@adjacent@|@grani~en, soseden@
@adjectival@|@pridavski@
@adjective@|@pridavka@
@adjoin@|@grani~i, pridodava, se dopira, se prisoedinuva@
@adjourn@|@odlo`uva (sednica), prekinuva (povremeno)@
@adjournment@|@odlagawe (privremeno), prekinuvawe@
@adjudge@|@izrekuva (presuda), presuduva@
@adjudgement@|@dosuduvawe, re{enie@
@adjudicate@|@dosuduva, precenuva (vo spor), presuduva@
@adjudicate 1@|@arbitrira, donesuva (odluka za izbor)@
@adjudicate 2@|@proglasuva (pobeda bankrot)@
@adjudication@|@arbitra`a, odluka (za izbor), presuda@
@adjudicator@|@~len na `iri, arbiter, porotnik, presuduva~@
@adjunct@|@dodatok, pomo{nik@
@adjunction@|@dodavawe, svrzuvawe (vo gramatika)@
@adjuration@|@kolnewe, molewe, prekolnuvawe@
@adjure@|@kolne, moli, prekolnuva@
@adjust@|@doteruva, namestuva, prilagoduva, regulira@
@adjust 1@|@izgladuva (spor), izramnuva, uskladuva@
@adjustable@|@{to mo`e da se dotera, prilagodliv@
@adjuster@|@regulator@
@adjustment@|@doteruvawe, namestuvawe, regulirawe@
@adjustment 1@|@izgladuvawe (spor), uskladuvawe@
@adjutant@|@a|utant@
@ad-lib@|@improvizatorski, slobodno (preveduvawe)@
@ad-lib (coll)@|@improvizira@
@admeasure@|@deli, meri, odmeruva@
@admeasurement@|@odmeruvawe, podeluvawe@
@administer@|@primenuva (propisi), se gri`i za (imot), upravuva@
@administer 1@|@dava (lek pri~esna)@
@administer an oath@|@zakolnuva@
@administer justice@|@deli pravda@
@administer the law@|@presuduva@
@administer upon a will@|@izvr{uva zave{tanie@
@administrable@|@izvr{liv, sprovedliv@
@administration@|@rakovodewe, uprava, upravuvawe@
@administration 1@|@primenuvawe (propisi), sproveduvawe (pravda)@
@administration 2@|@davawe (lek - pri~esna)@
@administrative@|@administrativen@
@administrator@|@administrator, rakovoditel, upravitel@
@administrator 1@|@izvr{itel na (zave{tanie), organizator@
@administratrix@|@administratorka, organizatorka@
@administratrix 1@|@izvr{itelka na zave{tanie@
@admirable@|@voshituva~ki@
@admiral@|@admiral@
@admiralty@|@admiralitet@
@admiration@|@obo`uvawe, voodu{evuvawe, voshit, voshituvawe@
@admire@|@ceni, se voodu{evuva od, se voshituva so@
@admirer@|@obo`avatel, qubitel@
@admiring@|@obo`uva~ki, voodu{evuva~ki, voshituva~ki@
@admissibility@|@prifatlivost@
@admissible@|@prifatliv, usvoiv@
@admission@|@priem (vo klub), pristap, priznavawe (na gre{ka), vlez, vleznica@
@admission free@|@sloboden vlez@
@admit@|@dopu{ta, dozvoluva, prima, priznava, propu{ta, pu{ta, tolerira, trpi@
@admit to bail@|@osloboduva so kaucija@
@admited@|@ozloglasen, priznat@
@admitedly@|@kako {to e poznato@
@admittance@|@pristap, vlez@
@admix@|@dodava (primesa), me{a (se me{a so)@
@admixture@|@primesa@
@admonish@|@kara, obrnuva vnimanie (na), opomenuva, prekoruva, sovetuva@
@admonishing@|@opomenuva~ki, prekoruva~ki@
@admonition@|@opomena, prekor, sovet, ukor@
@admonitory@|@opomenuva~ki, prekoruva~ki@
@ado@|@buka, maka, trud, vreva@
@adobe@|@plet@
@adolescence@|@mladost (rana), pubertet@
@adolescent@|@mlad (mom~e mome)@
@adopt@|@odobruva (plan), po}er~uva, posinuva, posvojuva, prifa}a, prisvojuva (metod stil)@
@adoption@|@po}er~uvawe, posinuvawe, posvojuvawe, prezemawe (metod), prifa}awe, prisvojuvawe@
@adoptive@|@koj {to posvojuva@
@adoptive daughter@|@po}erka@
@adoptive father@|@potatko@
@adoptive mother@|@pomajka@
@adoptive son@|@posinok@
@adorable@|@za obo`uvawe@
@adoration@|@obo`uvawe@
@adore@|@obo`ava@
@adorer@|@obo`uva~@
@adorn@|@kiti, razubavuva, ukrasuva@
@adornment@|@kitewe, nakit, ukras, ukrasuvawe@
@Adriatic@|@jadranski@
@adrift@|@prepu{ten na sudbinata@
@adroit@|@ume{en, vidrest@
@adroitness@|@ume{nost@
@adulate@|@laska (ponizno), se dodvoruva@
@adulation@|@dodvoruvawe, laskawe (ponizno)@
@adulator@|@dodvoruva~, laskavec@
@adulatory@|@dodvoruva~ki@
@adult@|@polnoleten, vozrasen, zrel@
@adulterate@|@falsifikuva, mati@
@adulteration@|@falsifikuvawe, matewe, rasipuvawe@
@adulterator@|@falsifikator@
@adulterer@|@brakolomnik, prequbnik@
@adulteress@|@brakolomnica, prequbnica@
@adulterous@|@brakolomen, prequbni~ki@
@adultery@|@brakolomstvo, prequba@
@adulthood@|@polnoletstvo, zrelost@
@adumbrate@|@nazna~uva, skicira@
@adumbration@|@skica@
@advance@|@dava (pari predvreme), iznesuva (predlog), napreduva (vojska ekonomija), potpomaga, povi{uva (cena), promenuva (datum na sostanok), raste (cena), ubrzuva, unapreduva@
@advance (n)@|@~elo (na kolona), akontacija, napredok, napreduvawe, unapreduvawe@
@advance (pl)@|@dvorewe, prio|awe@
@advance party@|@prethodnica@
@advance sale@|@pretproda`ba@
@advanced@|@napreden, naprednat, sovremen@
@advanced in years@|@vo godini@
@advanced level certificate@|@matursko svidetelstvo@
@advancement@|@{irewe, napredok, napreduvawe, progres, unapreduvawe@
@advantage@|@dobit, korist, nadmo}, prednost@
@advantageous@|@korisen, pogoden, povolen, zgoden@
@advent@|@doa|awe, pojavuvawe (na va`no lice), pristignuvawe@
@Adventist@|@adventist, sabotjanin@
@adventitious.ly@|@neo~ekuvan@
@adventure@|@avantura, do`ivuvawe (neobi~no), opasnost, patuvawe (interesno), pogibija, potfat, rizik@
@adventurer@|@{pekulant, avanturist, skitnik@
@adventuress@|@{pekulantka, avanturistka@
@adventurous@|@rizi~en@
@adverb@|@prilog@
@adverbial@|@prilo{ki@
@adversary@|@neprijatel, protivnik, sopernik@
@adverse@|@neprijatelski, neprijaten, soperni~ki, sprotiven, sprotivstavuva~ki@
@adversity@|@nesre}a, nevolja, zla kob@
@advert@|@obrnuva vnimanie, uka`uva@
@advertise@|@objavuva, oglasuva (slobodno mesto), reklamira@
@advertisement@|@objava, objavuvawe, oglas, oglasuvawe, reklama@
@advertiser@|@oglasnik mal, onoj {to pravi reklama@
@advertising@|@pravewe reklama@
@advertising agency@|@reklamna agencija@
@advice@|@glas, izvestuvawe, mislewe, predlog, preporaka, sovet, vest@
@advisability@|@prepora~livost, prikladnost@
