@English@|@Jerriais@
@31st@|@la trente-tch'ieunième@
@32nd@|@la trente-deuxième@
@33rd@|@la trente-traîsieme@
@34th@|@la trente-quatrième@
@35th@|@la trente-chîntchième@
@36th@|@la trente-siêxième@
@37th@|@lé trente-septchième, lé trente-septième@
@38th@|@lé trente-huitchième, lé trente-huitième@
@39th@|@la trente-neuvième@
@3rd@|@la traîsieme@
@4 pints@|@un pot@
@40 pints@|@un cabot@
@400th@|@lé/la quat' chentchième, lé/la quat' chentième@
@40th@|@la quarantchième@
@41st@|@la quarante-tch'ieunième@
@42nd@|@la quarante-deuxième@
@43rd@|@la quarante-traîsieme@
@44th@|@la quarante-quatrième@
@45th@|@la quarante-chîntchième@
@46th@|@la quarante-siêxième@
@47th@|@lé quarante-septchième, lé quarante-septième@
@48th@|@lé quarante-huitchième, lé quarante-huitième@
@49th@|@la quarante-neuvième@
@4th@|@la quatrième@
@500th@|@lé/la chîn chentchième, lé/la chîn chentième@
@50th@|@lé/la chînquantchième@
@51st@|@lé/la chînquante-tch'ieunième@
@52nd@|@lé/la chînquante-deuxième@
@53rd@|@lé/la chînquante-traîsieme@
@54th@|@lé/la chînquante-quatrième@
@55th@|@lé/la chînquante-chîntchième@
@56th@|@lé/la chînquante-siêxième@
@57th@|@la chînquante-septième, lé chînquante-septchième@
@58th@|@lé chînquante-huitchième, lé chînquante-huitème@
@59th@|@lé/la chînquante-neuvième@
@5th@|@la chîntchième@
@600th@|@lé/la siêx chentchième, lé/la siêx chentième@
@60th@|@lé/la souaixantchième@
@61st@|@lé/la souaixante-tch'ieunième@
@62nd@|@lé/la souaixante-deuxième@
@63rd@|@lé/la souaixante-traîsieme@
@64th@|@lé/la souaixante-quatrième@
@65th@|@lé/la souaixante-chîntchième@
@66th@|@lé/la souaixante-siêxième@
@67th@|@lé souaixante-septchième, lé souaixante-septième@
@68th@|@lé souaixante-huitchième, lé souaixante-huitième@
@69th@|@lé/la souaixante-neuvième@
@6th@|@la siêxième@
@700th@|@lé/la sept chentchième, lé/la sept chentième@
@70th@|@lé/la septantchième@
@71st@|@lé/la septante-tch'ieunième@
@72nd@|@lé/la septante-deuxième@
@73rd@|@lé/la septante-traîsieme@
@74th@|@lé/la septante-quatrième@
@75th@|@lé/la septante-chîntchième@
@76th@|@lé/la septante-siêxième@
@77th@|@lé septante-septchième, lé septante-septième@
@78th@|@lé/la septante-huitchième, lé/la septante-huitième@
@79th@|@lé/la septante-neuvième@
@7th@|@la septchième, la septième@
@8 cabots@|@un quartchi@
@800th@|@lé/la huit chentchième, lé/la huit chentième@
@80th@|@lé/la huiptantchième, lé/la quatre-vîngtchième@
@81st@|@lé/la huiptante-tch'ieunième@
@82nd@|@lé huiptante-deuxième, lé quatre-vîngts-deuxième@
@83rd@|@lé huiptante-traîsieme, lé quatre-vîngts-traîsieme@
@84th@|@lé huiptante-quatrième, lé quatre-vîngts-quatrième@
@85th@|@lé huiptante-chîntchième@
@86th@|@lé huiptante-siêxième, lé quatre-vîngts-siêxième@
@87th@|@lé huiptante-septchième, lé huiptante-septième@
@87th (1)@|@lé/la quatre-vîngts-septchième@
@87th(2)@|@lé/la quatre-vîngts-septième@
@88th@|@lé huiptante-huitchième, lé/la huiptante-huitième@
@88th (1)@|@lé/la quatre-vîngts-huitchième@
@88th (2)@|@lé/la quatre-vîngts-huitième@
@89th@|@lé huiptante-neuvième, lé quatre-vîngts-neuvième@
@8th@|@la huitchième, la huitième@
@900th@|@lé/la neu chentchième, lé/la neu chentième@
@90th@|@lé/la nénantchième@
@91st@|@lé/la nénante-tch'ieunième@
@92nd@|@lé/la nénante-deuxième@
@93rd@|@lé/la nénante-traîsieme@
@94th@|@lé/la nénante-quatrième@
@95th@|@lé/la nénante-chîntchième@
@96th@|@lé/la nénante-siêxième@
@97th@|@lé/la nénante-septchième, lé/la nénante-septième@
@98th@|@lé/la nénante-huitchième, lé/la nénante-huitième@
@99th@|@lé/la nénante-neuvième@
@9th@|@la neuvième@
@a bag@|@eune pouque@
@a bagful@|@eune pouquelée, eune poutchie, eune satchie@
@a bank@|@eune banque@
@a banker@|@un bantchi@
@a bargain@|@un bardgîn@
@a bargeload@|@eune gabâthée@
@a barrelful@|@eune bathilyie, eune pannelée@
@a basketful@|@eune pannelée@
@a batallion@|@un bataillon@
@a bearded man@|@un barbu@
@a belief@|@eune crianche@
@a bellyful@|@eune ventrée@
@a bet@|@eune gageaille, un pathi@
@a bit@|@un mio@
@a boatful@|@eune bat'lée@
@a borrower@|@un emprunteux@
@a bowlful@|@eune bollée, eune dgichonnée@
@a boxful@|@eune boêtée@
@a breadwinner@|@un gângne-pain@
@a breeze@|@eune brise@
@a bunch of fives@|@un mouoché à chîn carres@
@a cash machine@|@eune machinne à sou@
@a caskful@|@eune bârritchie, un tonné@
@a cauldronful@|@eune tchaûdronnée@
@a chairful@|@eune tchaîsie@
@a cheque@|@eune chèque@
@a cheque book@|@eune chèque, un chètchi@
@a chequebook@|@un chètchi@
@a clap of thunder@|@un coup d'ôrage@
@a clearing@|@un clièrgeon@
@a cloud@|@eune nuée, un nouage, un nouage@
@a coin@|@eune piéche@
@a couple@|@un coupl'ye@
@a credit card@|@eune carte dé crédit@
@a creditor@|@un créditeu@
@a crowd@|@eune foule, un fliotchet@
@a cupful@|@eune tâssée@
@a day off@|@un jour pouor, un jour pouor lé Rouai@
@a debtor@|@un detteur@
@a degree@|@un dégré@
@a demon@|@un dêmon@
@a deposit@|@eune caution@
@a dibber@|@un didget@
@a dictionary@|@un dictionnaithe@
@a dishful@|@eune pliatelée@
@a downpour@|@eune dêcliaitchie, eune dêtchèrque@
@a dram@|@eune dranme@
@a drop of drink@|@eune reinchette, un filet, un filot, un lèrmîn, un sico@
@a drop of drink (1)@|@eune reinchette, un sico@
@a drunk man@|@un trop-pliein@
@a drunk woman@|@eune biche@
@a drunkard@|@un bouaissonneux, un ivrouongne, un soûlard@
@a fairy@|@eune fée@
@a faith healer@|@un dêcompteux@
@a fathom@|@eune brache@
@a feast@|@un r'pas rouoya@
@a fieldful@|@eune cliôsée@
@a flock@|@un troupé@
@a foot@|@un pid@
@a forkful@|@eune fourquéthée@
@a fortune teller@|@eune dîs'resse, un d'vîn@
@a gale@|@eune dgêle@
@a gallon@|@un gallon@
@a gambler@|@un gageux, un joueux d'sous@
@a game of cards@|@eune gamme dé cartes@
@a ghost@|@un r'vénant@
@a glassful@|@eune vèrrée@
@a goblin@|@un lutîn@
@a gramme@|@un granme@
@a greenhouseful@|@eune sèrrée@
@a grimoire@|@lé grand-mêle, lé grand Albèrt@
@a group@|@eune dgaîngue@
@a guarantee@|@un garanti@
@a handful@|@eune pouongnie@
@a hatful@|@eune chap'lée@
@a haunted house@|@eune maîson hantée, eune maîson vîsionnée@
@a heap@|@un lopîn@
@a hearthful@|@eune âtrée@
@a heavy drinker@|@un chucheux, un pînteux, un topeux@
@a helping hand@|@un coup d'main@
@a hiveful@|@eune rueûtchie@
@a houseful@|@eune maîsonnée@
@a jugful@|@eune cannée@
@a kilo@|@un kilo@
@a kilometre@|@un kilomètre@
@a large amount@|@eune foulboulque@
@a large number@|@eune racachie@
@a large quantity@|@eune bahouée, eune cotonnée@
@a largish piece@|@un betchet@
@a lender@|@un prêteux@
@a litre@|@un litre@
@a litter@|@eune fourcée@
@a little@|@un brîn@
@a loan (borrowed)@|@un emprunt@
@a loan (lent)@|@eune prêt'tie@
@a loss@|@eune pèrte@
@a lot@|@eune mâsse, un tas@
@a mile@|@un mille@
@a miser@|@un stégrîn@
@a monster@|@un divèrs, un monstre@
@a mortgage@|@eune hypothèque@
@a mouthful@|@eune bouochie@
@a mugful@|@eune modgie@
@a nightmare@|@eune ponserêsse@
@a note@|@eune bille@
@a pack of cards@|@un patchet d'cartes@
@a pack-saddleful@|@eune batée@
@a pageful@|@eune pagie@
@a pair@|@eune pathe@
@a paper bag@|@eune pouque en papi@
@a peck@|@bécot@
@a penny@|@un pénîn@
@a perch (=484 sq.ft.)@|@eune pèrque@
@a piece@|@un morcé@
@a pinch@|@eune pînchie@
@a pint@|@eune pînte@
@a pipeful@|@eune pipée@
@a plastic bag@|@eune pouque en plastique@
@a plateful@|@eune assiettée@
@a pocketful@|@eune paûtée, eune pouch'tée@
@a poker face@|@eune fache dé bouais@
@a potful@|@eune potée@
@a pound@|@eune livre, un louis@
@a prediction@|@eune prédiction@
@a profit@|@un profit@
@a punch@|@un co d'poing@
@a purseful@|@eune boursée@
@a quantity@|@eune suée@
@a quarter@|@un quartchi@
@a quarter of an hour@|@un quart d'heuthe@
@a quarter pound@|@un quart'ron@
@a rainbow@|@Un arc@
@A rat has a tail like a cat has@|@Rat' a coue-aînchîn' a cat@
@a ratepayer@|@un contribuabl'ye@
@a receipt@|@eune tchittance, un r'chu@
@a repayment@|@un rembours@
@a roomful@|@eune chambrée@
@a scoopful@|@eune paîmée@
@a server@|@un sèrveux@
@a sewing machine@|@eune machinne à couôtre@
@a shilling@|@un chélîn@
@a shot@|@un coup d'feu@
@a shower@|@eune achie@
@a snowball@|@eune boule dé né@
@a spadeful@|@eune bêtchie@
@a spell@|@un charme, un chorchéthon@
@a spoonful@|@eune tchul'lée@
@a star@|@eune êtaile@
@a statement@|@un êtat@
@a superstition@|@eune supèrstition@
@a table@|@eune tabl'ye@
@a tinful@|@eune tinnée@
@a ton@|@eune tonné@
@a trowelful@|@eune truellée@
@a tubful@|@eune toubée@
@a vergee (=40 perch)@|@eune vrégie@
@a vraic fork@|@eune frouque à vrai@
@a vraicqueur@|@un vraitcheux@
@a washing machine@|@eune machinne à laver@
@a wink@|@un clyîn dg'yi@
@a wizard's child@|@un chorchillon@
@a yard@|@eune vèrgue@
@abandon@|@abandon@
@abandonment@|@abandonnement@
@abbess@|@l'abbêsse@
@abbey@|@l'abbaye@
@abbot@|@l'abbé@
@abcess@|@l'abcès@
@abortion@|@l'avouortément@
@Abraham@|@Âbra-am, Âbréhan, Bram@
@abroad@|@l'êtrangi@
@absinth@|@l'absînthe@
@absolution@|@l'absolution@
@abuse@|@l'abus@
@academician@|@l'académicien@
@accept@|@atchiêsci@
@accordion@|@un accordéon@
@accountant@|@lé comptabl'ye@
@accounts book@|@un livre d'comptes@
@accusation@|@l'atchusâtion@
@accused@|@l'atchusé@
@accuser@|@l'atchuseux@
@ace@|@l'as@
@aches and pains@|@l's ahans@
@acorn@|@eune tchênelle, un gliand@
@acquaintance@|@l'accointance@
@acrobat@|@l'acrobate@
@act@|@acte@
@actor@|@l'acteur@
@actress@|@l'actrice@
@Adam@|@Âdam@
@addiction@|@l'addiction@
@address@|@adréchi, l'adresse@
@adjective@|@adjectif@
@adjudicator@|@l'adjudicateu@
@adjutant@|@l'agîtant@
@administrator@|@l'adminnistrateu@
@admiral@|@l'amitha@
@admiralty@|@l'amithauté@
@Adolphus@|@Dâlpheusse@
@adult@|@adulte@
@adulterer@|@l'adultéthe@
@adverb@|@advèrbe@
@adversary@|@l'advèrsaithe@
@adviser@|@lé consillieux@
@advocate@|@un avocat@
@adze@|@tîle@
@afford@|@affaûrder@
@Afghanistan@|@Afghanistan@
@Africa@|@Afrique@
@African@|@Afritchaine@
@African lily@|@lé bliu lis, lé lis d'Afrique@
@Africaner@|@Afritchain@
@after-effects@|@l'èrtûnfîn@
@afternoon@|@l'arlévée@
@agriculture@|@l'agritchultuthe@
@ague@|@la fièvre trembliante, les s'tembres@
@air@|@air@
@air conditioning@|@la clyînmatisâtion@
@airport@|@l'aéroport@
@Alabamian@|@Alabamien@
@Alaskan@|@Alastchien@
@Albania@|@Albannie@
@Albert@|@Albèrt@
@Alberta@|@Albèrta@
@Albertan@|@Albèrtain@
@alcohol@|@l'alcool@
@alcoholic@|@alcoolique@
@alcoholism@|@l'alcoolisme@
@Alder@|@un aune@
@Alderneyman@|@Aur'gnais@
@Alexanders@|@d'l'alisandre@
@Algeria@|@Algérie@
@alive@|@vif@
@All Saints@|@la Toussaint@
@allow@|@allouer@
@alloy@|@alouai@
@allspice@|@la toute-êpice@
@almanac@|@un almonas@
@aloe@|@d'l'aloé@
@alongside@|@bord à bord@
@Alps@|@Alpes@
@altar@|@l'autel@
@ambassador@|@l'ambassadeu@
@ambulance@|@l'ambulance@
@America@|@Améthique@
@American Samoa@|@Samoa Améthitchain@
@Amice@|@Âmice@
@Âmice@|@Âmice@
@ammunition@|@la meunition@
@Amsterdammer@|@Amstèrdanmien, Amstèrdanmouais@
@Amsterdanian@|@Amstèrdanmien@
@an abridged grimoire@|@lé p'tit-mêle, lé p'tit Albèrt@
@an account@|@un compte@
@an acre@|@eune acre@
@an answering machine@|@eune machinne à rêpondre@
@an apronful@|@eune d'vant'lée@
@an armful@|@eune braichie@
@an attack@|@eune achie, eune attaque@
@an auction@|@eune vendue@
@an auditor@|@un auditeu@
@an elf@|@un faîté@
@an exorcist@|@un d'senchorchéleux@
@an icicle@|@un gliaichon@
@an inch@|@un pouce@
@an officer@|@un officyi@
@an omen@|@un avèrti@
@an ounce@|@eune onche@
@an ovenful@|@eune fouânnée@
@anaemia@|@l'sang d'navet@
@anaemic@|@anémique@
@anarchist@|@l'anarchiste@
@ancestor@|@l'anchêtre@
@anchor@|@ancrer, l'ancre, mouoilli@
@anchovy@|@d's anchouais@
@ancient@|@ancien@
@ancient times@|@l'ancienneté@
@Andorra@|@Andorre@
@Anemones@|@d'la sînmie, l'anémône@
@angel@|@un ange@
@angelica@|@lé graslard@
@angler-fish@|@la raînotte dé mé, lé paîsson à pouchettes@
@Anglican@|@Anglyican@
@anglicise@|@anglyiciser@
@Angola@|@Angola@
@Anguilla@|@Anguilla@
@aniseed@|@l'anis@
@ankle@|@la g'vil'ye@
@Anne@|@Anne@
@announcer@|@l'annonceux@
@annual@|@annuel@
@Annual Meadow-grass@|@d'l'hèrbe à poules@
@Annual Mercury@|@d'la têtue@
@ant@|@lé frémîn, lé freunmion@
@Antarctica@|@Antarctique@
@Antartic@|@Antarctique@
@anthill@|@la freunmionniéthe@
@anthrax@|@lé tchèrbon@
@Antigua and Barbuda@|@Antigua et Barbuda@
@Antilles@|@Antillais@
@Antwerp@|@Anvèrs@
@anus@|@lé bas d'sé@
@anvil@|@enclieunme@
@anvil block@|@choutchet@
@ape@|@lé marmoûset@
@apoplexy@|@l'apoplexie@
@apostle@|@l'apôtre@
@apostolic@|@apostolique@
@apple@|@la pomme@
@apple brandy@|@l'ieau-d'vie d'cidre@
@apple for winter storage@|@eune pomme dé garde@
@Apple tree@|@un pommyi@
@apple-cake@|@la gache à pommes, la gâche mêlée@
@apple-sauce@|@lé gelot@
@applicant@|@l'applyitchant@
@application@|@eune applyicâtion@
@apply the brake@|@êtreindre lé chabot@
@appointment@|@un appointement@
@approach@|@appraichi@
@approve@|@approuver@
@April@|@Avri@
@April Fool@|@lé paîsson d'Avri@
@apron@|@lé d'vanté@
@Aquitaine@|@Atchitaine@
@Arabia@|@Arabie@
@Arabian Sea@|@la Mé Arabe@
@Arabic@|@Arabe@
@arch@|@l'arche@
@arch stone@|@les pièrres dé votte@
@archaeology@|@l'archéologie@
@archangel@|@un archange@
@archbishop@|@un archêvêque@
@architect@|@l'architecte@
@archstones@|@les pièrres dé votte@
@Argentina@|@Argentinne@
@Argentine@|@Argentinne@
@Argentinian@|@Argentîn@
@Argentum@|@d'l'argentinne@
@arithmetic@|@lé caltchul@
@Arizonan@|@Arizonnien@
@Arkansan@|@Arkansan@
@arm@|@lé bras@
@arm in arm@|@bras d'ssus bras dssous@
@armament@|@l'armément@
@armchair@|@la grand'tchaîse@
@Armenia@|@Arménie@
@Armenians@|@Arméniens@
@armistice@|@l'armistie@
@army@|@l'armée@
@arrange@|@arrangi@
@arrears@|@l's arriéthages@
@arrive@|@arriver@
@arsenal@|@eune arsénal@
@arsenic@|@l'arsénîn@
@art@|@l'art@
@Arthur@|@Èrthu@
@article@|@eune articl'ye@
@artillery@|@l'artill'lie@
@artist@|@l'artiste@
@Aruba@|@Aruba@
@Ascension@|@l'Ascension@
@Ascension and Tristan da Cunha@|@Ascension et Tristan da Cunha@
@ash@|@chendre@
@Ash@|@un frêne@
@Ash Wednesday@|@Mêcrédi des Chendres@
@Asia@|@Âsie@
@ask@|@d'mander@
@asparagus@|@l'aspèrge@
@Asparagus@|@d'l'aspèrge@
@Aspen@|@un trembl'ye@
@ass@|@lé tchu@
@assassin@|@l'assâsîn, un assâsîn@
@assassination@|@l'assâsinâtion@
@assistant@|@l'assistant@
@Associations@|@Associâtions@
@assorted low-grade@|@du litchet, du litchîn@
@assorted low-grade vraic@|@du litchet, du litchîn@
@asthma@|@l'asthma, la courte-haleine@
@astonish@|@êtonner@
@astronomy@|@l'astronomie@
@at death's door@|@au pas d'la mort@
@at war@|@en dgèrre@
@atchoo!@|@ètcheunme!@
@atheist@|@l'athée@
@Athenian@|@Athénien@
@Atlantic@|@Atlantique@
@Atlantic Ocean@|@l'Océan Atlantique@
@atmosphere@|@l'atmosphéthe@
@attack@|@attatchi@
@attic@|@la mansarde@
@attorney@|@lé protchuleux, un protchuleux@
@aubergine@|@l'aubèrginne@
@auctioneer@|@l'encanteux@
@auditor@|@l'auditeu@
@auger@|@téthiéthe@
@August@|@Août@
@aunt@|@la tante@
@auntie@|@tantinne@
@Australasia@|@Australâsie@
@Australia@|@Australie@
@Australian@|@Australien@
@Austria@|@Autriche@
@Austrian@|@Autrichien@
@Autumn crocus@|@d'l'hèrbe des veuves@
@awkward person@|@l'achocre@
@awl@|@alêne@
@axe@|@hache@
@axle@|@l'esseu, lé moueu@
@axle clamps@|@les cappes d'embrâleurs@
@axle-pin@|@l'euche@
@Azerbaijan@|@Azerbaidgian@
@baa-lamb@|@bée@
@babbler@|@lé fliaûneux@
@back@|@lé dos@
@back cross-beam@|@lé tchian dé driéthe@
@backside@|@lé driéthe@
@back-up@|@la baqu'thie@
@bacon@|@lé jambon feunmé@
@bad@|@mauvais@
@bad cough@|@la bréhole, la créheule@
@bad worker@|@lé toûchas@
@bad workman@|@lé mâcl'ye@
@badger@|@lé blaireau@
@bad-tempered woman@|@la chipie@
@bag@|@pouque@
@bagpipe@|@la caution, la pouque à vent@
@Bahamas@|@Bahames@
@Bahrain@|@Bahrain@
@bail@|@la caution@
@Bailiff@|@lé Bailli@
@bait@|@bète@
@baker@|@lé boulandgi@
@bakery@|@boulangu'thie, la boulangu'thie@
@ball bearing@|@la rouôl'lie à balles@
@ballan wrasse@|@un pèrlé@
@ballot@|@lé scrutîn@
@ballot box@|@l'urne du scrutîn@
@Balm-leaved Figwort@|@d'l'orvale@
@balsam@|@la belsaminne@
@Balsam Poplar@|@lé baûmyi@
@Baltic Sea@|@la Mé Baltique@
@balustrade@|@la balustrade@
@bamboo@|@bambou@
@Bamboos@|@du ros d'gardîn@
@banana@|@la banane@
@band saw@|@scie à riban@
@bandage@|@lé bandage@
@bandit@|@un bandit@
@bangers@|@les cracots@
@Bangladesh@|@Bangladesh@
@banister@|@lé balustre@
@bank@|@banque, la banque@
@banker@|@lé bantchi@
@bankrupt@|@en d'sastre@
@bankruptcy@|@la banqueroute, lé d'sastre@
@banns@|@l's annonces@
@bantam@|@eune bannetinne@
@bantam cock@|@lé bannetîn@
@bantam hen@|@la bannetinne@
@Barachois@|@Barachouais@
@barb (of hook)@|@lé barbet@
@Barbados@|@Barbados@
@barbarian@|@lé barbare@
@barbecue@|@un r'pas à la broche@
@barber@|@lé barbi, un barbyi@
@barber shop@|@eune barbel'lie@
@Barberry@|@d'l'èpinne-vinnette@
@bargain@|@bardgîn@
@bark@|@l'êcorche, la p'liche dé bouais, ouasser@
@barley water@|@l'ieau d'orge@
@barn@|@la grange@
@barn owl@|@un blianc cahouain@
@Barnaby@|@Bèrnabé@
@baron@|@lé bâron@
@baroness@|@la bâronne@
@barracks@|@berrèxes, les berrèxes@
@barrel@|@bathi@
@Barren Brome@|@d'la droe@
@barrier@|@lé bârrage@
@barrister@|@l'avocat, l'homme d'affaithes@
@basin@|@bachîn, dgichon@
@basket@|@bostchot@
@Basque@|@Bastchais@
@Basque Country@|@Pays Bastchais@
@bass@|@la bâsse, un bar@
@bassoon@|@un basson@
@bastard@|@l'êfant d'galiotage, lé bâtard, lé bâtard, lé bâtard, lé couotron, lé couotron@
@batallion@|@lé bataillon@
@Batchelor's Buttons@|@des bliuettes, des boutons d'or@
@bathroom@|@la salle dé bain@
@batter@|@la farce@
@battering ram@|@un mouton@
@battery@|@la bat'tie@
@battle@|@la batâle@
@Battle of Hastings@|@la Batâle dé Hastings@
@Battle of Jersey@|@la Batâle dé Jèrri@
@bawl@|@brailli@
@bawler@|@lé criailleux@
@bay@|@la baie, lé louothyi@
@Bay Stater (Massachusetts)@|@Massachusetchais, Massachusetchi, Massachusetchien@
@bayonet@|@eune baïonnette@
@be@|@être@
@be again@|@èrêt'@
@be on the verge of throwing up@|@aver lé tchoeu près des lèvres@
@be worth@|@valer@
@beach@|@la grève@
@beam@|@lé run@
@beam-ends@|@les cônettes@
@bean@|@lé haricot@
@bean crock@|@les pais au fou@
@bear@|@l'ours@
@beard@|@eune barbe, la barbe@
@bearded@|@barbu@
@beating@|@eune dêgraîsseuse, eune èrlîntcheuse, eune ronde@
@beating (1)@|@eune sécouée, eune stipanne, eune suée@
@beating (2)@|@eune latteuse@
@beautiful@|@bieau@
@beauty@|@bieauté@
@beaver@|@lé castor@
@bed@|@lé liet@
@bed bug@|@la bog'se@
@beddy-byes@|@dodo, lôlô@
@bedridden@|@au pliâtre, grabataithe, sus l'cârré@
@bedroom@|@la chambre@
@bedsheets@|@les lîncheurs@
@bedstead@|@lé bouais d'liet@
@Beech@|@un fau@
@beef@|@dé vaque, la viande dé boeu@
@beer@|@la biéthe@
@beetroot@|@la betterave@
@beggar@|@lé bédgeux, lé pouqu'teux@
@begin@|@c'menchi@
@beginner@|@lé c'menchant@
@Beijingese@|@Beijingouais@
@Bel Royal@|@lé Bel Rouoya@
@Belarus@|@Bêlarus@
@Belgian@|@Belge@
@Belgium@|@Belgique@
@Belgrader@|@Belgradgais, Belgradgien@
@belief@|@la crianche@
@believe@|@craithe@
@believer@|@lé croyant@
@Belize@|@Bélize@
@bell@|@la clioche@
@Bell Heather@|@d'la brüethe@
@bellows@|@soûffliets@
@bellringer@|@lé sonneux@
@belly of shafts@|@lé ventre des limons@
@belt@|@la cheintuthe@
@Belt of Orion@|@les Trais Rouais@
@belting@|@eune slîndgeûse@
@bench@|@banc, un banc@
@benches@|@les bancs@
@benefactor@|@lé beinfaiteur@
@beneficiary@|@l'ayant-drouait@
@Benin@|@Benin@
@Benjamin@|@Benjamîn@
@Berliner@|@Berlinais@
@Bermuda@|@Bermude@
@Best wishes@|@Auve les miyeurs souhaits@
@bet@|@gagi@
@betting@|@la gag'gie@
@bevel square@|@fausse êtchèrre@
@Bhutan@|@Bhutan@
@bib@|@la bav'thette@
@Bible@|@la Bibl'ye@
@bicarbonate@|@bicarbonate, lé bicarbonate@
@bicycle@|@eune bike@
@bidet@|@lé bidet@
@biff@|@un ouappe@
@big@|@grand@
@bigwigs@|@les grôsses têtes@
@bike@|@bike@
@bike rack@|@lé par à bikes, par à bikes@
@bikini@|@lé bikini@
@Bilbao@|@Bilbô@
@bilge-channel@|@l'oursas@
@bilge-water@|@l'ieau d'câle@
@bill@|@des piègnes@
@billhook@|@la sèrpe, sèrpe@
@bill-poster@|@lé cliuteux d'affiches@
@billy-goat@|@lé bichot@
@binder (of straw)@|@la fagot'rêsse@
@Bindweed@|@des veîl'yes@
@binoculars@|@les longues-veues@
@birch@|@les vèrgues, un patchet d'vèrgues@
@bird@|@un ouaîsé@
@birdie@|@loûseau@
@birds@|@ouaîselîn@
@birth certificate@|@lé bâptistaithe@
@biscuit@|@la galette@
@bishop@|@l'êvêque@
@bison@|@la bison@
@bit@|@lé mors@
@Biting Stonecrop@|@du jaune pain à crapauds, pèrche-pierre@
@Biting Stonecrop (1)@|@corînthe à poules, hèrbe ès tuilles@
@bitter@|@amé@
@Bittersweet@|@d'l'amièrdoux (m), du mèrdou, la douoche-améthe@
@black@|@nièr@
@black beetle@|@lé potithon@
@Black Bindweed@|@du pèrsicarré@
@black cat@|@un nièr cat@
@black clouds@|@des nièrs nouages@
@Black Currant@|@des gradiles@
@black dog of death@|@lé tchico@
@black eye@|@un yi pochi@
@Black Forest@|@La Néthe Forêt@
@black hair@|@des nièrs quéveux@
@Black Horehound@|@du meuthe-en-c'mîn@
@black ice@|@lé verglias, lé verglias@
@Black Medick@|@du trêfl'ye à moutons@
@Black Nightshade@|@du vèrjus au dgiâbl'ye@
@Black Sea@|@la Néthe Mé@
@Black Spleenwort@|@du ou d'la capillaithe@
@black winkle@|@eune néthe coque@
@Blackberry@|@des mouaithes, eune ronche@
@blackbird@|@un mêle@
@blackbird (female)@|@eune mêlerêsse@
@blackbird (male)@|@un mêle@
@blackboard@|@eune néthe plianche@
@blackcap@|@lé marté, un craquelîn@
@blackcurrant@|@gradile@
@blackguard@|@lé blégèrde@
@black-headed gull@|@la maûvette@
@blacksmith@|@lé forgeux@
@Blackthorn@|@d'la néthe êpîngne, eune preunelle, la néthe êpîngne, lé preunellyi@
@bladder@|@la vessie@
