@English@|@Mohegan@
@bald eagle@|@wôpsuq, wôpsuqák@
@ball@|@pôhpaskôk, pôhpaskôkansh@
@band@|@yôpko@
@bark@|@wuyacásq, wuyacásqash@
@barn@|@micumikamuq, micumikamuqsh@
@basket@|@manotá, manotásh@
@basket splint@|@pôpayik, pôpayikansh@
@bat@|@mutapasqáhs, mutapasqáhsak@
@be crippled@|@pôkasu-, pôkasu-@
@be crooked@|@wôkáyu-@
@be drunk@|@kakiwá-@
@be few in number@|@akôhsihsu-@
@be in a hurry@|@cáyhqatum-@
@be lazy@|@mikiskutu-@
@be many@|@mutáwi-@
@be many (animate things)@|@mutáwi-@
@be proud@|@pucuwanumu-@
@be seated@|@matapu-@
@be sick@|@máhcuná-@
@be sleepy@|@katukôm-@
@be sorry@|@siwôhtum-@
@be well@|@kôkicá-, kôkicash!@
@Be well!@|@Kôkicaq! (pl), kôkicash!@
@beach@|@t'kamuq, t'kamuqash@
@bead@|@wampum@
@bean@|@masqusit, masqusitash@
@bean liquid@|@masqusitôp@
@bear@|@awáhsohs, awáhsohsak, mosq@
@beat@|@takam-@
@beaver@|@tumôhq, tumôhqák@
@because@|@sômi@
@because of that@|@niwuci@
@bed@|@apun, apunásh@
@bee@|@ohkeommoose@
@before@|@ásqam, nikôni@
@begin@|@kucshun-@
@behind@|@wuták@
@being alive@|@kitiyawôkak (pl), kitiyawôkak (pl), kitiyayôk@
@belly@|@muyakusash, yakus@
@belt@|@tukucôpi, tukucôpish@
@better@|@kicá-@
@beyond@|@ôkowi@
@Birch@|@Wuc'hkapiyuk@
@bird@|@cits, cits, citsak, citsak, môyhsh, moyhshak, psuk@
@blackbird@|@acokayihs, acokayihsak@
@blanket@|@piyôkut, piyôkutash@
@blood@|@musqi@
@blueberry@|@sôht, sôhtásh@
@boat@|@mushoy, mushoyash@
@bobwhite@|@pohpohqutihs, pohpohqutihs, pohpohqutihsak, pohpohqutihsak (pl)@
@body@|@ahak@
@body hair@|@wihshákan, wihshákansh@
@body paint@|@wuyam, wuyamansh@
@bone@|@-skan, nuskansh@
@book@|@wuskhwik, wuskhwikansh@
@born@|@niku-@
@bottle@|@qôyowasq, qôyowasqash, qôyowasqash (pl)@
@bowl@|@wishq, wisq, wisqash@
@boy@|@mukacuks, mukacuksak@
@bracelet@|@yôpko@
@branch@|@wutqun, wutqunsh@
@bread@|@tukunik, tukunikansh@
@breakfast@|@yôpôwihpwu-@
@breast@|@hpôyák, m'hpôyákansh@
@breath@|@yáhsháwôk, yáhsháwôkansh@
@breathe@|@potá-, yáhshá-@
@bridge@|@tayôshq, tayôsq, tayôsqônsh@
@bring him@|@pásaw-@
@bring it@|@páto-@
@bring it to him@|@pátaw-@
@Bring tobacco!@|@Inpáwôk pátawush!@
@brook@|@sipowihs, sipowihsash@
@brother@|@ihsums, nihsumsak, ntôyuks, nuntôyuksak@
@brother-in-law@|@atôq, natôqak@
@building@|@kamuq, kamuqsh@
@building a house@|@wicômash, wicuw@
@but@|@qut, wipi@
@But deliver us from evil@|@Wipi pôhqásunan wuci mácituk@
@butter@|@pum@
@call him@|@wihkum-@
@call it@|@tam-@
@can@|@tápi@
@canoe@|@mushoy, mushoyash@
@carry it@|@kinum-@
@casino@|@kusawasikamuq, kusawasikamuqsh@
@cat@|@pohpohs, pohpohsak@
@catch him@|@táhqun-@
@certainly@|@mohci@
@chair@|@papon, paponsh@
@chase him@|@natskaw-@
@cheek@|@anonaw, nanonawash@
@chest@|@hpôyák, m'hpôyákansh@
@chestnut@|@wôpum@
@chestnut tree@|@wôpumus@
@chicken@|@môyhsháks, môyhsháksak@
@chief@|@sôcum, sôcumôk@
@child@|@nicôn, nunicônak@
@chimney@|@wunáhcukamuq, wunáhcukamuqash (pl)@
@chin@|@-tôpkan, mutôpkansh (pl)@
@chipmunk@|@aniks, aniksak@
@church@|@môwáwikamuq, môwáwikamuqsh@
@clean him@|@kucusum-@
@clean it@|@páhkito-@
@clean it wash it@|@kucusuto-@
@clock@|@qôpayuwôk@
@cloud@|@ôkatuq, ôkatuqash@
@coat@|@akuwôk, akuwôkansh (pl)@
@cold of weather@|@t'hkáyu-@
@come in@|@suqi-@
@come in!@|@suqiq (pl), suqish!, wiqômun, Wiqômun (pl)@
@come out of@|@kaciy-@
@Come to the sweatlodge@|@Piyôsh pisupôk@
@Come to the winter feast@|@Piyôq i pupôn nikômo@
@Come to the winter feast (pl)@|@Piyôsh i pupôn nikômo@
@Come with me!@|@wicáwiq, wicáwun@
@come!@|@piyôq!, piyôsh!@
@commonly@|@wikôci@
@completed@|@kisi@
@concerning@|@papômi@
@cookie@|@tukunikanihs@
@cornmeal mush@|@sôp@
@cough@|@w'squni-@
@cousin@|@atôks@
@cover it@|@ôkhum-, ôkhum-@
@cow@|@káhsh, káhshunak@
@cranberry@|@pôcum, pôcumunsh@
@crane@|@tayák, tayákôk@
@crow@|@kôkôc, kôkôc@
@cup@|@tatamwáwic, tatamwáwicash@
@cut it@|@tumusum-@
@dance@|@mutáhká-@
@Dance with me at the feast@|@Witkámiq nikômuk (pl), Witkámun nikômuk@
@dance with someone@|@witkám-@
@daughter@|@nutônihsak, tônihs@
@daughter-in-law@|@hshum, n'hshumak@
@day@|@kisk, kiskash@
@deer@|@attuck, noy'hcák, noyuhc@
@definitely@|@mohci@
@die@|@nupu-@
@dine@|@mitsu-@
@dirt@|@ki, kish@
@dish@|@wiyôk, wiyôkansh (pl)@
@do@|@i-@
@do planting@|@kihcá-@
@does counting@|@akisu-@
@dog@|@anúm, náhtiyá, náhtiyák@
@door@|@sqôt, sqôtásh@
@doorway@|@sqôt, sqôtásh@
@downward@|@wômiyo@
@dream@|@uyuqôm-, uyuqômuwôk@
@drink@|@wutatam-@
@drum@|@popowutáhuk, popowutáhukanak@
@dry it@|@nunshum-@
@duck@|@qiqikum, qiqikumash@
@dung@|@mikucut, mikucutash@
@dwells@|@wut'hki-@
@eagle@|@wómpissacuk@
@ear@|@htawaq, n'htawaqash@
@earring@|@saksáhon, saksáhonsh@
@earth@|@ki, kish@
@earthward@|@kiyo@
@easily@|@nukumi@
@eastward@|@wôpanayo@
@eat@|@mitsu-@
@eat him@|@moh-@
@eat it@|@micu-@
@eat lunch@|@pôhshqáhpu-, pôhshqáhpwu-@
@eat supper@|@wuyôkpwu-@
@Eat!@|@mitsuq!, mitsush!@
@edge@|@wus, wusásh@
@eel@|@nihsh, nihshôwak@
@egg@|@wôm, wômansh@
@eight@|@shwôsk@
@eighth@|@shwôskut@
@eighty@|@shwôsk-shuncák@
@either@|@asu@
@eleven@|@páyaq napni nuqut@
@elsewhere@|@ôkutakanuk@
@embrace him@|@wôkum-@
@emotion@|@uyutáháwôk, uyutáháwôkansh@
@enjoyment@|@wikôtamuwôk, wikôtamuwôkansh@
@enough@|@tápi@
@enter@|@suqi-@
@evening-eat@|@wuyôhpuwôk, wuyôhpuwôkansh@
@everybody@|@wôcak@
@evil deed@|@matôpáwôk, matôpáwôkansh@
@exceedingly@|@mutáwi@
@exist@|@ayu-@
@eye@|@nuskisuqash, skisuq@
@face@|@nuskisuqash, skisuq@
@fall@|@tuksuni-@
@fall down@|@pasksháhsan-@
@family@|@cáhsháyuwôk, cáhsháyuwôkansh@
@fan@|@páwantôk, páwantôkansh@
@far away@|@yôwatuk@
@farm@|@cuk, cukánsh@
@father@|@-ohsh, nohshak@
@father-in-law@|@nusiyohsak, siyohs@
@fear@|@qusháwôk, qusháwôkansh@
@feather@|@miqun@
@feces@|@mikucut, mikucutash@
@feed him@|@ahsam-, áhsam-@
@feel a certain way@|@uyutáhá-@
@feeling@|@uyutáháwôk, uyutáháwôkansh@
@female bird@|@môyhsh, moyhshak@
@female deer@|@quniq, quniq, quniqák, quniqák@
@fetch it@|@nimskam-@
@field@|@cuk, cukánsh@
@fifth@|@nupáwut@
@fifty@|@nupáw-shuncák@
@fill him@|@yumwah-@
@fill it@|@yumwáhto-@
@find him@|@muskaw-@
@find it@|@muskam-@
@finger@|@icuk, nicukansh@
@finish it@|@kacihto-@
@finished@|@kisi@
@fire@|@yoht, yohtásh@
@first@|@nikôni, nikôni@
@fish@|@naumaùs, piyámáq, piyámáqak@
@fish scale@|@wahakay, wahakayash@
@fist@|@putuqunic, putuqunic@
@five@|@nupáw@
@flea@|@apiq, apiqak@
@floor board@|@sukôsq, sukôsqash@
@flower@|@upihsháw, upihsháwônsh@
@fly (the insect)@|@ocáwáhs, ocáwáhsak@
@food@|@micuwôk, micuwôkansh@
@foot@|@-sit, nusitash@
@for a second time@|@naháhtôwi@
@for no reason@|@ákowi@
@for the purpose of@|@wáci@
@forehead@|@-skatuq@
@forever@|@mucimi@
@forget it@|@wanôhtam-@
@forgive him@|@áhqôhtamaw-@
@forgive it@|@áhqôhtam-@
@forty@|@yáwuncák@
@four@|@yáw@
@four days@|@yáwuqunakat@
@fourth@|@yáwut@
@fox@|@wôks, wôksak, wonkis@
@free@|@nayawi, nayawiyu-@
@freely@|@nayawi@
@friday@|@nupáwuqunakat@
@friend@|@-itôp@
@frighten him@|@wisay-@
@frog@|@kopayáhs, kopayáhsak@
@from@|@wuci, wuci@
@future marker@|@mus@
@gamble@|@kusawasu-@
@garden@|@tayhkihcáwôk, tayhkihcáwôkansh@
@garment@|@môyák, môyákunsh@
@gather@|@môwáwi-@
@gather it@|@mukunum-@
@gathering place@|@môwáwikamuq, môwáwikamuqsh@
@gesture of greeting@|@wôqutuwôk, wôqutuwôkansh@
@ghost@|@cipay, cipayak (pl)@
@girl@|@sqáhsihs, sqáhsihsak@
@give him food@|@ahsam-@
@give it to him@|@miy-@
@give it to me@|@misiq!, misum!@
@give it to us@|@misunán@
@give it up@|@pakitam-@
@Give me five!@|@Misum nupaw!@
@Give me the birch cup@|@Misum wuc'hkapiyuk tatamwáwic@
@glove@|@micáhs, micáhsak@
@go and@|@mawi@
@go away@|@môci-, môci-@
@go back@|@putuki-@
@go down@|@wômsu-@
@go fast@|@kipshô-@
@go fishing@|@piyámáqcá-, piyámáqcá-@
@go get it@|@nimskam-@
@go on a hunt@|@acá-@
@go out@|@qaci-@
@go outside@|@qaci-, qaci-@
@Go safely!@|@Piyôq nánáwihtiyi! (pl), Piyôsh nánáwihtiyi!@
@go to a place@|@ô-@
@god@|@manto, mantowak@
@God bless your family@|@Manto wuyôtam kucáhsháyuwôk@
@God is good@|@Manto wikuw@
@God is in all the world@|@Manto apuw wámi pômkokik@
@God's will@|@Manto uwikôtamuwôk@
@going to@|@katawi@
@good@|@wuyi@
@good afternoon@|@wikun qátáhqáw@
@good day@|@wikun kisk@
@good evening@|@wikun wuyôksuw@
@Good journey@|@Pômsháwôk wikun@
@Good morning@|@wiqáhsun@
@good morning!@|@wiqáhsun@
@good night@|@wikun tupkuw@
@goodbye@|@nahunsháq, nahunshásh@
@Goodbye!@|@Nahunsháq! (pl), Nahunshásh!@
@good-looking@|@wikco-@
@goose@|@káhôk, káhôkak@
@gooseberry@|@pasqatamunsh@
@grandchild@|@nohsak, ohs@
@grandfather@|@nokunáhsak, okunáhs@
@grandmother@|@nánu, nunánuk@
@grape@|@winom, winomunsh@
@grasshopper@|@qáqiqihshôt, qáqiqihshôták@
@grease@|@pum@
@Great Spirit@|@Manto kôkci@
@greetings@|@aquy@
@gun@|@páskhik, páskhikansh@
@hair of the head@|@-ohpsk, nohpskak@
@half@|@cáhci@
@Hallowed is Thy name@|@Wuyitupôhtam ayuki kuwisuwôk@
@hand@|@ic, nicish@
@handle@|@inôk, inôkansh@
@handsome@|@wikco-@
@harvest@|@kipunumuwôk, kipunumuwôkansh@
@harvest it@|@kipunum-@
@hastily@|@kipi@
@hat@|@ôhshoyhqôn, ôhshoyhqônash@
@hatchet@|@takôk, takôkansh@
@hate him@|@sháyum-@
@hate it@|@shôhtam-@
@have as ones land@|@wut'hkiwôk@
@have as one's land@|@wutkiwôk@
@have him@|@wacôn-@
@have it@|@wacônum-@
@have to@|@côci@
@hawk@|@awáhsh, awáhshák@
@he asks him@|@natotum-@
@he blows@|@potá-@
@he comes@|@piyô-@
@he comes from@|@wucshá-@
@he goes from@|@wucshá-@
@he has such a voice@|@uyôtowá-@
@he hurts@|@ôhqamamu-@
@he is afraid@|@wisôsu-, wisôsu-@
@he is afraid of him@|@qush-, qushá-@
@he is afraid of it@|@qihtam-@
@he is black@|@sukisu-@
@he is blue@|@siwôpisu-@
@he is brown@|@môpamuqisu-@
@he is careful@|@wáwôtam-, wáwôtam-@
@he is clean@|@páhkisu-@
@he is clothed@|@aqu-, aqu-@
@he is cold@|@qusqacu-@
@he is confused@|@cipshá-@
@he is crazy@|@cunáyu-@
@he is dead@|@nupu-@
@he is dirty@|@nuskinôqusu-@
@he is far away@|@yôwapu-@
@he is foolish@|@asoku-@
@he is good@|@wiku-@
@he is good-looking@|@wikco-@
@he is great@|@mushaki-@
@he is green@|@askasqisu-@
@he is happy@|@wiyayu-@
@he is healthy@|@wiyámo-@
@he is heavy@|@qusuqan-@
@he is hot@|@kusápusu-@
@he is hungry@|@yôtum-@
@he is in pain@|@ôhqamamu-@
@he is jealous@|@uskawusu-@
@he is located@|@apu-@
@he is named@|@usuwisu-@
@he is pitiful@|@kucumôkusu-@
@He is praying@|@Ôkosuw@
@he is quiet@|@ciqunapu-@
@he is ready@|@qáhshapu-@
@he is red@|@musqisu-@
@he is sad@|@nowôhtam-@
@he is short@|@táyôhqusu-@
@he is so@|@isu-, isu-@
@he is strong@|@mihkiku-@
@he is tall@|@qunôhqusu-@
@he is tired@|@sôhsuni-@
@he is well@|@kôkicá-@
@he is wet@|@wutukisu-@
@he is white@|@wôpisu-@
@he is yellow@|@wisôwisu-@
@he is young@|@wuskinu-@
@he laughs@|@háhanu-@
@he learns it@|@nihto-@
@he licks it@|@nosqatam-@
@he likes it@|@wikôtam-@
@he lives@|@pumôtam-@
@he makes it@|@wusto-@
@he makes it for him@|@wustaw-@
@he paints it@|@ayakunum-@
@he plays@|@pôhpu-@
@he plays music@|@pupiqá-@
@he prays@|@ôkosu-@
@he puts him@|@pon-, pon-@
@he puts it in@|@pito-@
@he receives it@|@watunum-@
@he recovers@|@kicá-@
@he saves it@|@tômwihto-@
@he says@|@iwá-@
@he sews@|@yonáhqôsu-@
@he sews it@|@yonáhqam-@
@he shovels it@|@shupiham-@
@he smells him@|@muyôw-, qucimôy-@
@he smells it@|@muyôtam-, qucimôtam-@
@he smiles@|@wihco-@
@head@|@hkunôk, m'hkunôkansh@
@head him@|@putaw-@
@hear him@|@putaw-@
@hear it@|@putam-@
@heart@|@-táh, mutáhash@
@heated of substances@|@kusaputá-@
@heaven@|@kisuq@
@height@|@qunôhqusuwôk, qunôhqusuwôkansh@
@hello@|@aquy@
@help him@|@ayunamaw-@
@hem@|@wus, wusásh@
@here@|@yotay@
@hide@|@putaqi-, shay@
@hide it@|@kôcto-@
@high up@|@wáwápi@
@himself@|@wahakáh@
@his blood@|@umsqi@
@his brother-in-law@|@watôqah@
@his hair@|@uwihshákansh@
@hit him@|@takam-@
@hit it@|@takatam-@
@hold him@|@mihkun-@
@hold it@|@mihkunum-@
@home@|@-ik, ik, mikash, mikash@
@Honor thy father and thy mom@|@Qutiyánumôhq kohsh tá kunonôk@
@hoof@|@-hkas, hkas, n'hkasak@
@hoofs@|@hkasak@
@horse@|@husihs, naynayoûmewot@
@horses@|@husihsak@
@house@|@-ik, ik plural mikash@
@how@|@uy@
@how are you@|@tôn kutaya, tôn kutayamô (pl)@
@How are you?@|@Tôn kutaya?@
@how do you say@|@tôn kutiwá, tôn kutiwámô? (pl)@
@how do you say?@|@tôn kutiwá?, tôn kutiwámô? (pl)@
@how in questions@|@tôn@
@how many (animate)@|@cáhsuw@
@how many (inanimate)@|@cáhshi@
@how many animate@|@cáhsuw@
@how many inanimate@|@cáhshi@
@huge@|@kôkci-@
@hull@|@wahakay, wahakayash (pl)@
@human@|@inskitôp, inskitôpák (pl), skitôp, skitôpák (pl)@
@hundred@|@pásuq@
@hunt (noun)@|@acáwôk, acáwôkansh (pl)@
@hurt him@|@wis-@
@husband@|@-áhsuk, náhsukak (pl)@
@I@|@ni@
@I am fine@|@nuwiyámo, nuwiyámo@
@I am in good health@|@nukôkicá@
@I am praying@|@Nutôkosuw@
@I am sick@|@Numáhcuná@
@I don't know@|@tatô, tatô@
@I give away at the feast@|@Numiyô nikômuk.@
@I love you@|@kuwômôyush@
@I shall not want@|@mutu pish nucôhtam@
@I thank you@|@kutápatamush, kutápatamuyumô (pl)@
@I will talk to you soon@|@Kukakoyush qino@
@ice@|@kupat, kupatunsh (pl)@
@in a hurry@|@kipi@
@in front of someone@|@áyhqapi@
@in front of something@|@áyaqáhtuk@
@in order that@|@wáci@
@in such a way@|@uy@
@in the middle@|@yáyôwi@
@in the morning@|@yôpôwi@
@in the same way@|@nánuk@
@in vain@|@ákowi@
@increases@|@it kotunihto@
@Indian@|@inskitôp, inskitôpák (pl)@
@Indian corn@|@wiwáhcum, wiwáhcumunsh@
@Indian-style house@|@cáhqin, cáhqinsh (pl), wiqám, wiqámsh (pl)@
@information@|@ôcimu-, ôcimu-@
@injure him@|@wis-@
@inside of@|@ayômi, ayômi@
@instead@|@wipi@
@insufficient@|@notáhshá@
@is thus@|@uyáyu-@
@island@|@munhan, munhansh (pl)@
@it comes@|@piyômu-@
@it falls@|@punshá-@
@it goes from@|@wucshá-@
@it grows@|@nikun-@
@It helps them on their journe@|@Anunkush wupômsháwôkuwuk@
@it is a part@|@cupáyu-@
@it is a year@|@katumu-@
@it is afternoon@|@qátqá-@
@it is autumn@|@taqôqu-@
@it is big@|@makáyu-, sháyu-@
@it is black@|@sukáyu-@
@it is blue@|@siwôpáyu-@
@it is brown@|@môpamuqáyu-@
@it is clean@|@páhkáyu-@
@it is closed@|@kupáyu-@
@it is cloudy@|@kupqat-@
@it is cold@|@sôyôqat-@
@it is day@|@kisukat-@
@it is difficult@|@sayakat-@
@it is dry@|@nunahtáyu-@
@it is easy@|@nukumat-@
@it is empty@|@sawáyu-@
@it is enough@|@tápáyu-@
@it is equal to@|@tátupiyu-@
@it is evening@|@wuyôksu-@
@it is evil@|@macitu-@
@it is five days@|@nupáwuqunakat, nupáwuqunakat@
@it is foggy@|@awan-@
@it is good@|@wikun-@
@it is green@|@askasqáyu-@
@it is hard@|@cáhsun-@
@it is holy@|@wuyitupôhtam-@
@it is hot@|@kusaputá-@
@it is hot of weather@|@kusutá-@
@it is light in weight@|@yôkan-@
@it is little@|@piwáhcu-@
@it is located@|@áhtá-, áhtá-@
@it is long@|@qunáyu-@
@it is new@|@wuskáyu-@
@it is night@|@tupku-@
@it is noon@|@pôhshqá-, pôhshqá-@
@it is one day@|@nuqutuqunakat@
@it is red@|@musqáyu-@
@it is right@|@wimonáyu-@
@it is sharp@|@wusqan-@
@it is short@|@táyôhqáyu-@
@it is shut@|@kupáyu-@
@it is six@|@qutôskuqunakat@
@it is snowing@|@socpo-@
@it is soft@|@yohkáyu-@
@it is spring@|@siqan@
@it is straight@|@sôpáyu-@
@it is strong@|@mihkáyu-@
@it is summer@|@nipun@
@it is sunrise@|@pátôhtá-, wôpan@
@it is sweet@|@wiksapákat@
@it is tall@|@qunôkan-@
@it is thick@|@pakáyu-@
@it is thin@|@wasapáyu-@
@it is time@|@qôpáyu-@
@it is true@|@wimonáyu-@
@it is two days@|@nisuqunakat@
@it is warm@|@c'wáyu-@
@it is wet@|@wutukáyu-@
@it is white@|@wôpáyu-@
@it is windy@|@wápáyu-@
@it is winter@|@pupon@
@it is yellow@|@wisôwáyu-@
@it looks like good weather@|@wiyôqat@
@it rains@|@sokuyôn@
@it says so@|@iwômu-@
@it smells good@|@wuyimôqat@
@it tastes good@|@wihpqat@
@It's been too long@|@Ayuw áyuwi qunáyuw, nitôp@
@jacket@|@akuwôk, akuwôkansh@
@jar@|@qôyowasq, qôyowasqash@
@jaw@|@mutôpkansh, tôpkan@
@Journey well!@|@Wi papômshô!@
@jump@|@qihshô-@
@Káwtántowit made us@|@Káwtántowit kukis'huwáwuqun, Manto kutatohumuqun@
@keep it@|@wacônum-@
@kettle@|@kohq, kohqak@
@kill him@|@nuhsh-@
@knee@|@-hkutuq, n'hkutuqash@
@knife@|@punitôk, punitôkansh (pl)@
@know him@|@wáh-@
@know it@|@wáhto-@
@lake@|@nupsapáq, nupsapáqash (pl)@
@lamp@|@wiqanôtik, wiqanôtikansh@
@land@|@ki, kish (pl)@
@language@|@uyôtowáwôk, uyôtowáwôkansh (pl)@
@last in order@|@macush@
@later@|@páhsut@
@later on@|@páhsut@
@lead him there@|@uyasun-@
@leaf@|@wunipaq, wunipaqash (pl)@
@leaves fall@|@punipakat-@
@left side@|@miyac@
@leftward@|@miyaco@
@leg@|@-hkôt, n'hkôtash (pl)@
@legend@|@ôtshohkôk, ôtshohkôkansh (pl)@
@legging@|@kôkuw, kôkuwansh (pl)@
@let it fall@|@patupshato-@
@Let's bring the powwow drum@|@Pawáwôk popowutáhuk pásawôtuk@
@Let's eat!@|@mitsutuk!@
@Let's Go@|@Ôtuk@
@Let's go home!@|@Wucshátuk kikun!@
@Let's go sweat!@|@Pisupátuk!@
@Let's go to meeting!@|@Piyôtuk môwáwiyuk!@
@let's listen to him@|@kihtawôtuk!@
@let's listen to it@|@kihtamutuk!@
@Let's pray!@|@Ôkosutuk!@
@Let's put it there@|@nitay ponomutuk@
@letter@|@wuskhwik, wuskhwikansh (pl)@
@life@|@pumôtamuwôk, pumôtamuwôkansh@
@lift it@|@uspunum-@
@like to eat him@|@wikimoh-@
@like to eat it@|@wikimicu-@
@likewise@|@nánuk@
@listen to him@|@kihtaw-@
@listen to it@|@kihtam-@
@listen!@|@kihtamoq! (pl), kihtamsh!, kihtaw!, kihtôhq! (pl)@
@little bit@|@kôcuci@
@little dog@|@ayumihs, ayumihsak@
@lives at@|@wut'hki-@
@living@|@kitiyawôkak, kitiyayôk@
@lobster@|@mushôc, mushôcák@
@lodges@|@mikash@
@long@|@quni-@
@long clam@|@suksuw, suksuwak@
@long time ago@|@yôwat@
@look at him@|@kunaw-@
@look at it@|@kunam-@
@look for him@|@natskaw-@
@look for it@|@natskam-@
@looking good@|@wiku-@
@love him@|@wômôy-@
@love it@|@wômôhtam-@
@loving each other@|@wômôyutuwôk, wômôyutuwôkansh (pl)@
@maggot@|@ohq, ohqák@
@make a fire@|@potawá-@
@make corn meal@|@yohkhikancá-@
@make him@|@wusuh-@
@male deer@|@ayôp, ayôp, ayôpák, ayôpák@
@man@|@in, inak (pl)@
@man's brother@|@imat, nimatak@
@man's sister@|@itôps, nitôpsak@
@manure@|@mikucut, mikucutash@
@mark@|@kunasuwôk, kunasuwôkansh (pl)@
@marmot@|@aûsup@
@me@|@ni@
@meal@|@mitsuwôk, mitsuwôkansh (pl)@
@measure him@|@qutah-@
@measure it@|@qutaham-@
@meat@|@wiyawhs, wiyawhsash (pl)@
@medicine man@|@môyikow, môyikowak (pl)@
@meet him@|@nakuskaw-@
@mend it@|@ôc'tiyá-@
@middle of@|@yáyôwi@
@mirror@|@pipinacucôhqôk, pipinacucôhqôkansh (pl)@
@mitten@|@micáhs, micáhsak@
@moccasin@|@máhkus, máhkusunsh (pl)@
@Mohegan@|@mohiks, mohiks-inak (pl), mohiksak@
@Mohegan Indian@|@moyahikaniw, moyahikaniwak (pl)@
@Monday@|@nuqutuqunakat@
@money@|@muni, munish (pl)@
@moon@|@wiyon, wiyonak@
@moose@|@moòs, mos, mosak (pl)@
@more@|@áyuwi@
@mortar for pounding corn@|@taqôk, taqôkansh (pl)@
@mother@|@nonôk@
@mother-in-law@|@-suks, nusuksak@
@mountain@|@wacuw, wacuwash@
@mountain lion@|@pussoúgh@
@mouse@|@apqáhs, apqáhsak (pl)@
@mouth@|@-ton, mutonsh@
@move@|@mômôci-@
@music@|@pupiqáwôk, pupiqáwôkansh (pl)@
@musical instrument@|@pupiq, pupiqansh@
@my arm@|@n'hputin, n'hputinsh@
@my back@|@m'hpsquansh, n'hpsqan@
@my blood@|@numsqi@
@my cousin@|@natôks, natôksak@
@my father@|@nohsh@
@my hair@|@nuwihshákansh@
@my left@|@numiyac@
@my mother@|@nunonôk@
@myself@|@nahak@
@myth@|@ôtshohkôk, ôtshohkôkansh (pl)@
@nail@|@-hkas, n'hkasak (pl)@
@name@|@wisuwôk, wisuwôkansh@
@name him@|@ahuy-@
@near@|@kuski@
@neck@|@-sucipuk, musucipukansh (pl)@
@neither@|@mut asu@
@nephew@|@-yuqáhs, -yuqáhs, nuyuqáhsak, nuyuqáhsak (pl)@
@never@|@mutôm@
@new@|@wuski-@
@next to@|@kuski@
@nice to have met you@|@nuwikôtam nákuskôyak, nuwikôtam nákuskôyôn@
@nine@|@pásukokun@
@ninety@|@pásukokun-shuncák@
@ninth@|@pásukokunut@
@no@|@mutu@
@nor@|@mut asu@
@northward@|@nanumayo@
@nose@|@-côy, mucôyush (pl)@
@not@|@mut, mutu@
@not enough@|@notáhshá@
@not many of people or animals@|@akôhsihsu-@
@not yet@|@ásqam@
@nothing@|@mucáq@
@now@|@iyo@
@nut shell@|@wahakay, wahakayash (pl), wahakayash (pl)@
@obey it@|@wôwistam-@
@obtain@|@watunum-@
