@English@|@Kaska@
@he is really hungry@|@lane denebet@
@he is sewing@|@nenehtsek@
@he is very happy@|@la senet'in@
@he is walking to the store@|@dene ekedi koa ts'i' ayal@
@he is wearing his jacket@|@dedode' deseda'@
@he jumped up@|@yidahtl'a'@
@he leaned his gun on the rock@|@de'une' tse' ka k'edanehtan@
@he looked for his gun@|@de'une' kede'ih@
@he looked for moose@|@geda kede'ih@
@he might eat fish@|@luge etsedze si@
@he missed@|@meyi'un@
@he really wants bannock@|@sune' la nezen@
@he shot very fast@|@la hadi t'eh edes'un@
@he smiled as packed his gun@|@de'une' egeli de'ezele@
@he wants some tea and bannock@|@lidi yeh sunet'es nezen@
@he was shocked@|@dzadedetlah@
@he went to sleep@|@shenestin@
@he will make a fire@|@kon duhk'ai@
@head@|@tsi'@
@hehas his hat on his lap@|@detsuze dets'ade seh'an@
@here@|@na'@
@here are the snowshoes@|@jani la ah@
@here is the packsack@|@jani la hel@
@here is the tent@|@jani la hide@
@here is the trap@|@jani la hel@
@he's gathering dry branches@|@dests'i leshedele@
@he's gathering dry wood@|@tses kosyai nezen@
@he's going into the woods@|@dechen tah guts'i' ayal@
@he's going to make a fire@|@kon dihk'a@
@he's looking for the matches@|@tl'el kah neneta@
@he's making a fire place@|@kon k'eh gule@
@he's the wood lying there@|@tses sala'@
@he's very happy@|@la senet'in@
@he's walking to school@|@dene kedihi koa ts'i' ayal@
@his@|@me@
@his Kaska name is nadzestile@|@dene k'eh Nadzestile guye@
@his name is Jason@|@mesi Jason guye@
@horses@|@gundan@
@house@|@kua@
@how about you?@|@neni hi?@
@how are Ross River people?@|@tu lidlini dene degiht'a?@
@how are they?@|@deget'a?@
@how are you all?@|@daht'a?@
@how are you?@|@denht'a?@
@how is outside?@|@ogi sogi duguht'a?@
@how's your younger brother?@|@enchidle det'a?@
@hurry@|@hadi, hadi eht'in, hadi ent'in, hadi neeht'in@
@i am crying@|@estsih@
@i am dacing@|@eslih@
@i am eating@|@estsets@
@i am eating bannock@|@sune estsets@
@i am eating dry meat@|@etsen' gane estsets@
@i am fine@|@estie@
@i am going hunting@|@ejedasya@
@i am hungry@|@desbet@
@i am making fire@|@kon desk'a@
@i am not hungry@|@ula desbet@
@i am packing water@|@tu naskal, tu nes-hes@
@i am picking berries@|@dzidze nesbeh@
@i am playing@|@kenestah@
@i am running@|@estl'el@
@i am sewing@|@nenestsek@
@i bought a blanket@|@ts'ede' isket@
@i bought a cane@|@tes isket@
@i bought a cup@|@kuk'a isket@
@i bought a plate@|@ts'a' isket@
@i bought a spoon@|@ts'ale isket@
@i bought food@|@bede isket@
@i don't have matches@|@eskun endue@
@i don't want fish@|@ula luge nessen@
@i don't want tea@|@ula di nessen@
@i don't want water@|@ula tu nessen@
@i have a hat@|@ts'at dest'in@
@i have a shirt@|@ech dest'in@
@i have clothes@|@ech'ele' dest'in@
@i have dry branches@|@dests'i dest'in@
@i have dry willows@|@gule segani dest'in@
@i have firewood@|@tses dest'in, tses dest'in-am?@
@i have matches@|@kun dest'in@
@i have mitts@|@labat dest'in@
@i have moccasins@|@ke dest'in@
@i have pants@|@tutal dest'in@
@i have shavings@|@eghadze' dest'in@
@i have socks@|@lek'un dest'in@
@i live at Frances lake@|@tu chu mene nesde@
@i live at ross river@|@tu lidlini nesde@
@i live in the bush@|@dechenh ta nesde@
@i 'm drinking water@|@tu esdan@
@i see a big moose@|@keda cho ganestan@
@i see a moose@|@keda ganestan@
@i see a rabbit@|@gah ganestan@
@i see a small moose@|@keda zuze ganestan@
@i see lot of sheep on mountain@|@his kage debe nestlon ganestan@
@i see lots of black bears@|@sas nestlon ganestan@
@i see lots of horses@|@gundan nestlon ganestan@
@i see lots of sheep@|@debe nestlon ganestan@
@i see lots of wolves@|@jiyune nestlon ganestan@
@i see my older brother@|@gudie ganestan@
@i see my older sister@|@edade ganestan@
@i see my younger brother@|@echedle ganestan@
@i see my younger sister@|@ededze ganestan@
@i understand it a little@|@lahtade dene k'eh edests'ek@
@i understand native language@|@dene k'eh edests'ek@
@i want dry meat@|@etsen gane nessen@
@i want fish@|@luge nessen@
@i want meat@|@etsen' nessen@
@i want milk@|@t'u nessen@
@i want soup@|@tuzel nessen@
@i want tea@|@di nessen@
@i want water@|@tu nessen@
@i'm fishing@|@luge kah edesch'ash@
@I'm going hunting moose@|@keda kah ejedasya@
@i'm going to walk to the lake@|@men ts'i' asyal@
@i'm learning to speak kaska@|@dene k'eh gudesde-i kesdi@
@i'm walking to my brother's@|@eslah koa ts'i' asyal@
@i'm walking to the school@|@dene kedihi koa ts'i' asyal@
@i'm walking to the store@|@dene ekedi koa ts'i' asyal@
@is it a lowbush cranberry?@|@itl'et let'e@
@is it cold for you?@|@endega gusdliam?@
@is it sunny?@|@sa gulinam?@
@is the boy hungry?@|@eskie debedam?@
@it has become night time@|@tedze guja'@
@it is cloudy@|@k'os gulin@
@it is cold for me@|@esdega gusdli@
@it is cold outside@|@ogi gusdli@
@it is fall time@|@nededehhaye@
@it is getting cold@|@gusdli gudadil@
@it is getting near@|@ha' gudedil nezen@
@it is getting to be winter@|@haye gudedil@
@it is not cold for me@|@ula esdega gusdli@
@it is not cold outside@|@ogi ula gusdli@
@it is not snowing@|@ula zas nedestl'it@
@it is not sunny@|@ula sa gulin@
@it is raining@|@cha nedetl'it@
@it is really windy@|@la ets'i nets'i@
@it is snowing@|@zas nedetl'it@
@it is still raining@|@sek'ade cha nedetl'it@
@it is sunny@|@sa gulin, sa gulinsa gulin@
@it is windy@|@ihts'i nets'i@
@it it cold outside?@|@ogi sogi gusdliam?@
@it it snowing?@|@zas nedestl'idam?@
@it was drinking water@|@tu' edon@
@it's really cloudy@|@la k'os gulin@
@it's really snowing@|@tla zas nedestl'it@
@knee@|@got@
@leaves are falling@|@et'ane nikets@
@make fire!@|@kon denhk'a!@
@man@|@dene@
@matches@|@kun@
@me too-i'm fine@|@seni; estie@
@merry christmas@|@dene tie chue gulin, dzenes la gudege gutie@
@milk@|@t'u@
@mitts@|@labat@
@moccasins@|@ke@
@mon kitty's drinking tea@|@gemoma' kitty lidi edan@
@moose@|@keda@
@moose jumped into the willows@|@geda gule tah gutentl'a'@
@mother@|@esmuma@
@my@|@es@
@my broither is sleeping@|@echedle shenetin@
@my brother is dancing@|@echedle elih@
@my brother is running@|@echedle etl'el@
@my brother is sitting@|@echedle seda@
@my brother is standing@|@echedle nezet@
@my brother is walking@|@echedle ayal@
@my home@|@eskoa@
@my name is testloa@|@eszi' Testloa guye@
@my sister is dancing@|@edeze elih@
@my sister is running@|@edeze' etl'el@
@my sister is sewing@|@ededze' nenehtsek@
@my sister is sitting@|@edeze' seda@
@my sister is sleeping@|@ededze' shenetin@
@my younger brother is fine@|@eschidle etie@
@nahgani is tired@|@nahgani met'ie nedue eja'@
@nahgani's dog is also working@|@nahgani le' ki kila@
@nahgani's mons cutting fish@|@nahgani moma luge egeniht'as@
@neck@|@k'os@
@no@|@endue@
@nose@|@tsih@
@our@|@gu@
@pants@|@tutal@
@peace on earth@|@gutie guyeh gu'ai@
@plate@|@ts'a'@
@rabbit@|@gah@
@Ross River@|@Tu Lidlini@
@Ross River people are fine@|@tu lidlini dene getie@
@she gaffed four fish@|@lent'e luge sehsel@
@she is gaffing fish@|@luge ka edehsel@
@sheep@|@debe@
@she's telling grandpa a story@|@getsie' dugedich@
@shirt@|@ech@
@sister@|@edeze'@
@sit down@|@senda@
@socks@|@lek'un@
@soup@|@tuzel@
@spoon@|@ts'ale@
@stand up@|@nenzet@
@stomach@|@bet@
@tea@|@di, di'@
@that woman wants berries@|@i gedeni dzedze nezen@
@that woman wants dry fish@|@i gedeni luge gane nezen@
@that woman wants salmon@|@i gedeni ges nezen@
@the boy is drinking tea@|@eskie di' edan@
@the boy is eating@|@eskie etsets@
@the boy is eating bannock@|@eskie sune etsets@
@the boy is fishing@|@eskie luge kah edehch'ash@
@the dry wood is standing@|@tses ni'a@
@the end@|@kula@
@the fish camp@|@luge koa@
@the man has fallen asleep@|@dene shenestin@
@the man is going hunting@|@dene ejedehya@
@the sun is not bery bright@|@sa ula nedi@
@the woman is eating dry fish@|@gedeni luge gane etsets@
@the woman is going hunting@|@gedeni ejedehya@
@the woman is making fire@|@gedeni kon dihk'a@
@the woman is picking@|@gedeni dzidze nebeh@
@their@|@ge@
@there are many stars@|@son la nestlan@
@there's no firewood@|@tses endue@
@they are all drinking tea@|@di' negedan@
@they are all fine@|@kent'ede negetie@
@they are drinking tea@|@di' gedan@
@they are fine@|@egetie@
@they are hungry@|@gedebet@
@this is@|@let'e@
@this is a baby@|@aht'ut let'e@
@this is a berry@|@dzidze let'e@
@this is a blueberry@|@dahba' let'e@
@this is a boy@|@eskie let'e@
@this is a child@|@dzedane let'e@
@this is a fish@|@luge let'e@
@this is a girl@|@gedeni let'e@
@this is a grayling@|@desk'ishe let'e@
@this is a king salmon@|@ges let'e@
@this is a lingcod@|@luge tsune let'e@
@this is a lowbush cranberry@|@ilt'et let'e@
@this is a man@|@dedi dene let'e, dene let'e@
@this is a raspberry@|@dehkadle let'e@
@this is a small child@|@dzedane zuze let'e@
@this is a whitefish@|@luge dek'ale let'e@
@this is a woman@|@gedeni let'e@
@this is an elder@|@echo let'e@
@this is his arm@|@megane' let'e@
@this is his chest@|@medzezule' let'e@
@this is his hair@|@metsigha' let'e@
@this is his head@|@metsi' let'e@
@this is his house@|@Mekua let'e@
@this is his neck@|@mek'os let'e@
@this is his stomach@|@mebet let'e@
@this is my ear@|@eszasbali let'e@
@this is my eye@|@estsih let'e@
@this is my face@|@esni' let'e@
@this is my father@|@esbuba let'e@
@this is my foot@|@eske' let'e@
@this is my grandfather@|@estsie let'e@
@this is my grandmother@|@estsu let'e@
@this is my house@|@eskua let'e@
@this is my knee@|@esgot let'e@
@this is my mother@|@esmuma let'e@
@this is my tooth@|@esyu' let'e@
@this is nahgani@|@dedi nahgani let'e@
@this is nahgani's older sister@|@naghani dade let'a@
@this is our house@|@gukua let'e@
@this is their house@|@gekua let'e@
@this is you house@|@enkua let'e@
@tooth@|@yu'@
@tsilat sees the moose tracks@|@tsilat geda kegi ganehtan@
@tsilat went hunting@|@tsilat ejedehya'@
@wait!@|@tsede!@
@water@|@tu@
@we are all drinking tea@|@di' nedzedan@
@we are drinking tea@|@di' dzedan@
@we are fine@|@edzetie@
@we are hungry@|@dzedebet@
@what are they drinking?@|@ye gedana?@
@what are you all drinking?@|@ye ahdana?@
@what are you doing?@|@ye denh'ina?@
@what are you drinking?@|@ye endana?@
@what are you going hunting for@|@ye kah ejedenya?@
@what berry is it?@|@ye dzidze et'a?@
@what did you buy?@|@ye enkeda?@
@what do you have?@|@ye dent'ina?, ye edent'ina?@
@what do you see?@|@ye ganhtana?@
@what do you want?@|@ye nenzena?@
@what does the woaman want?@|@i gedeni nezena?@
@what fish is it?@|@ye luge et'a?@
@what is he doing?@|@adade ye deh'ina?, ye deh'ena?, ye deh'ina?@
@what is his Kaska name?@|@dene k'eh mezi' duguya?@
@what is his name?@|@mezi' duguya?@
@what is the boy doing?@|@eskie ye deh'ina?@
@what is the man doing?@|@dene ye deh'ina?@
@what is the man going hunting?@|@dene ye kah ejedehya?@
@what is the woman doing?@|@gedeni ye deh'ina?@
@what is the woman eating?@|@gedeni ye etsedza?@
@what is this?@|@dedi ye t'a?@
@what is your name?@|@enzi' duguya?@
@what kind of fish are they?@|@ye luge' set'e?@
@what the woman is doing?@|@gedeni ye deh'ina?@
@what's my brother doing?@|@echdle ye deh'ina?@
@what's my sister doing?@|@edeze ye deh'ina?@
@wher do you live?@|@dehyega nenda?@
@where are my snowshoes?@|@es'ahe' endi?@
@where are the snowshoes?@|@ah endi?@
@where are you going walking?@|@dehyege ts'i' enyala?@
@where is he going?@|@dahyige guts'i' ayala?@
@where is he walking to?@|@dahyege ts'i' ayala?@
@where is my gun?@|@es'une' nedi?@
@where is my trap?@|@es-hele endi?@
@where is the packsack?@|@hel endi?@
@where is the tent?@|@hide endi?@
@where is the trap?@|@hel endi?@
@who do you see?@|@ma ganhtana?@
@who is this?@|@ma t'a?@
@winter has come@|@haye guja@
@wolves@|@jiyune@
@woman@|@gedeni@
@yes@|@ham@
@you@|@neni@
@younger sister is sleeping@|@gededze shenetin@
@your@|@en@
@your (pl)@|@neh@

