@English@|@Arabic (romanized)@
@at least@|@3alal `aqall@
@at once@|@Hālan@
@at the beginning@|@fi-l bidâya@
@at the same time@|@fî nafs al waqt@
@at.......o'clock.@|@3alâ sâ3a....@
@atlas ocean@|@muHît il-atlas@
@attack@|@Hamla (Hamalāt)@
@aunt@|@3amma@
@Australian@|@awstraliy@
@automobile@|@sayyāra@
@awake@|@yaqdhân@
@awakening@|@yaqadha@
@bad@|@radī’ (’ardiyā’)@
@banana@|@mawz@
@bank@|@bank (bunūk)@
@bean@|@fâsûlyâ@
@beautiful@|@jamīl@
@beauty@|@jamâl@
@because@|@bisababi, li`annî / li`annak, li’anna@
@because of@|@3ashan, li-@
@because of my job@|@3ashan al 3amal@
@because of the condition@|@bi sabab il wad@
@because of the sea@|@3ashan al baHr@
@bed@|@firāsh (furush, ’afrisha)@
@bedouin@|@badawī (badw)@
@before@|@min qabl, qabl@
@behind@|@warā’a@
@below@|@taHt@
@benefit@|@fā’ida (fawā’id)@
@better@|@aHsan/afDal, khayr@
@between@|@bayna@
@big@|@kabīr (kibār, kubarā’)@
@bird@|@Tayr (Tuyūr)@
@bitter@|@murr@
@black@|@’aswad (sūd)@
@Black Sea@|@baHr-il-aswad@
@Bless you! (atchoo!)@|@saHHa!@
@blue@|@’azraq (zurq)@
@board@|@majlis (majālis)@
@book@|@kitāb (kutub)@
@bookstore@|@maktaba@
@boredom@|@al-malâl@
@boring@|@mumill@
@both of you@|@ithnayn@
@boy@|@Sabī (Sibya, Sibyān), walad (’awlād)@
@brain@|@dimâgh@
@bread@|@khubz@
@breakfast@|@fiTr@
@brother@|@’akh (’ikhwa, ’ikhwān), akh@
@brown@|@asmar (sumr)@
@building@|@?imāra@
@business@|@shughl@
@busy@|@mashghūl@
@but@|@’ammā, bal, bas (mid.east), lākin@
@butter@|@zubda@
@by@|@bi-, ladā@
@by studying (you) everyday@|@ba3an an tadrus kul yawm@
@by the way@|@3alâ fikra@
@camel@|@jamal (jimāl)@
@card@|@waraq (’awrāq)@
@cartoon(s)@|@rusûm (mutaharrika)@
@center@|@markaz (marākiz)@
@certain@|@mu3yan@
@chair@|@kursî@
@chapter@|@faSl (fuSūl)@
@cheap@|@rakhîS, rakhīS@
@cheese@|@jubn@
@chemistry@|@al-kimyâ@
@chicken@|@al-dajaj@
@child@|@at-Tifl, Tifl (’aTfāl), walad (’awlād)@
@childhood@|@at-Tfoolah@
@children@|@aTfâl@
@Chinese (person)@|@Sîniy@
@cinema@|@sinemâ@
@circumstance@|@Zarf (Zurūf)@
@city@|@madīna (mudun)@
@civil@|@madanī@
@civilian@|@madanī@
@class@|@al-faSl, as-Saf@
@classmate@|@zamîl@
@clean@|@naDīf (niDDāf)@
@clear@|@wāDih@
@clever@|@dhakī (’adhkiyā’), dhakî (zekî)@
@clock@|@sā?a@
@coast@|@sāHil (sawāHil)@
@coffee@|@qahwa (qahāwī)@
@cold@|@bard, bārid@
@cold (adj.)@|@bârid@
@color@|@lawn (’alwān)@
@colour@|@al-lawn@
@come with me!@|@ta3âla ma3î!@
@company@|@sharika@
@completely@|@tamâman@
@computer@|@al-Hâsûb / kompyûter@
@concerning@|@bikhuSūsi@
@condition@|@Hāl (’aHwāl), sharT (shurūT)@
@consult the original arabic script.@|@*note: for exact pronunciation@
@contemporary@|@mu?āSir@
@contract@|@?ahd (?uhūd)@
@cook@|@Tabbākh@
@could you +verb@|@hal lâ + verb past tense@
@could you translate this?@|@hal lâ tarjamta hâthâ?@
@could you write it down?@|@hal lâ katabta hâthâ?@
@council@|@majlis (majālis)@
@countries@|@bilâd@
@country@|@bilād (buldān)@
@court@|@maHkama (maHākim)@
@cow@|@baqara (baqarāt)@
@crisis@|@’azma (’azamāt)@
@crocodile@|@timsâH@
@crowd@|@jumhūr (jamāhīr)@
@crowded@|@muzdaHim@
@cup@|@finjān (finājīn), ka’s (ku’ūs)@
@danger@|@khaTar (’akhTār)@
@date@|@ta’rīkh (tawārīkh)@
@date (fruit)@|@tamr (tumūr)@
@dates@|@tamr@
@daughter@|@bint, ibna (banāt)@
@day@|@yawm (’ayyām)@
@daytime@|@nahār@
@dead@|@mayyit (mawtā, ’amwāt)@
@dear@|@?azīz (’a?izzā’, ’a?izza)@
@death@|@mawt@
@declaration@|@taSrīH (taSrīHāt)@
@deep@|@?amīq@
@defense@|@difā?@
@degree@|@daraja@
@delegate@|@mandūb@
@delegation@|@wafd (wufūd, ’afwād)@
@deputy@|@nā’ib (nuwwāb), nā’ib (nuwwāb), wakīl (wukalā’)@
@desert@|@bādiya@
@detective stories@|@qisas bolisiyya@
@different@|@mukhtalif@
@difficult@|@Sa?b (Si?āb), Sa3b@
@difficulty@|@Su?ūba@
@dinner@|@?ashā’ (’a?shiya), al-3ashâ@
@dirty@|@wasikh@
@discourse@|@kalām@
@district@|@minTaqa (manāTiq)@
@division@|@taqsīm@
@do you want to drink something?@|@aturîd an tashrib shay`an?@
@doctor@|@Tabīb (’aTibbā’)@
@doll@|@dumya@
@door@|@bāb (’abwāb)@
@drawing@|@rasm@
@during@|@’athnā’a, athnâ, khilāla@
@during the discussion@|@athnâ al munâqasha@
@duty@|@wājib (wājibāt)@
@dwelling@|@maskan (masākin)@
@early@|@mubakkir@
@earth@|@’arD@
@ease@|@suhūla@
@east@|@mashriq, sharq@
@easy@|@sahl, sahl (suhūl)@
@economy@|@iqtiSād@
@eggs@|@bayD (buyūD)@
@Egypt@|@miSr@
@elementary school@|@ibtidâî@
@elephant@|@al-fîl@
@emir@|@’amīr (’umarā’)@
@employee@|@muwaZZaf@
@engineer@|@muhandis@
@engineering@|@handasa@
@enlightment@|@tanwîr@
@enough@|@bas (mid.east)@
@entrance@|@madkhal (madākhil)@
@especially@|@khusûsan, khuSūSan, walāsiyyamā@
@essentially@|@aSlan (in tr. "aslen")@
@Europe@|@’urūba@
@evening@|@masā’ (’amsīya)@
@event@|@Hādith (Hawādith)@
@every@|@jamī?, kull@
@every summer@|@kulli sayf@
@everyone@|@al-kull, kulli wâHid@
@everyone understands english here.@|@al-kull yafham inglizî hunâ.@
@exactly@|@bi-ddabt@
@example@|@mithāl (’amthila)@
@excellent@|@Tayyib@
@except@|@’illā@
@exit@|@makhraj (makhārij)@
@expenditure@|@maSrūf@
@expensive@|@ghālin, mukallif@
@experience@|@khibra (khubr)@
@expert@|@khabīr (khubarā’)@
@export@|@Sādir (Sādirāt)@
@exterior@|@khārijī@
@external@|@khārijī@
@eye@|@?ayn (?uyūn)@
@eyes@|@3uyûn@
@face@|@wajh (’awjuh, wujūh)@
@factory@|@maSna? (maSāni?)@
@fair@|@?ādil@
@faithful; secretary@|@’amīn (’umanā’)@
@family@|@’ahl (’ahālin), āl@
@famous@|@mashhūr@
@far@|@ba?īd, ba3îd@
@farm@|@mazra?a (mazāri?)@
@father@|@abb, wālid@
@father (of)@|@’abū@
@feminine@|@mu`annath@
@festival@|@?īd (’a?yād)@
@few@|@qalīl (qilāl)@
@finally@|@’akhīran@
@fine@|@daqīq (diqāq), jayyid (jiyād)@
@fire@|@nār (nīrān)@
@first@|@’awwal@
@first (f)@|@’ūlā@
@fish@|@samak (’asmāk)@
@food@|@Ta?ām (’aT?ima)@
@foods@|@aT'ima@
@foods special to ramadan.@|@aT3ima al khassa bi ramaDân.@
@foot@|@qadam (’aqdām)@
@for@|@li-@
@for / for the sake of (smb.)@|@min ajl...@
@for a long time@|@min zamân@
@for instance@|@mathalan@
@for the first time@|@awwal marra@
@for the sake of my friend@|@min ajli sâdiqî@
@for this (reason).@|@li hâdhâ@
@for this reason.@|@li hâdhâ-ssabab.@
@forbidden@|@mamnū?, mamnû3@
@foreign@|@’ajnabī (’ajānib)@
@forest@|@al-ghâba@
@forever@|@’abadan@
@forget it.@|@insâ dhâlik.@
@form@|@shakl (’ashkāl)@
@fort@|@qaSr (quSūr)@
@foundation@|@’asas (’usus)@
@french literature@|@adab-il-faransî@
@fresh (fruits etc.)@|@tâzaja@
@friend@|@Sadīq (’aSdiqā’), saHib/saHibti(f)(mid.east)@
@friends@|@asdiqâ, asHâb@
@from@|@?an, min@
@frontier@|@Hadd (Hudūd)@
@fruit@|@fākiha (fawākih)@
@future@|@mustaqbal, mustaqbil@
@game@|@lu3ba@
@garden@|@Hadīqa (Hadā’iq)@
@gate@|@bāb (’abwāb)@
@general@|@?āmm, ’umūmī, qā’id (qāda, quwwād)@
@gentleman@|@sayyid (sāda)@
@geography@|@al-jughrâfiya@
@girl@|@bint, ibna (banāt)@
@glass@|@ka’s (ku’ūs)@
@glass (substance)@|@zujāj@
@glottal "a"@|@"3"@
@go away!@|@imshî !@
@go away! (plural)@|@imshû!@
@go on.@|@nikammal.@
@God@|@allāh@
@good@|@Hasan, jayyid (jiyād), khayr@
@good luck!@|@bit-tawfîq!@
@good results@|@natâ`ij Hasana@
@goodness@|@Husn@
@government@|@Hukūma@
@governor@|@wālin (wulāt)@
@grandfather@|@jadd@
@grandmother@|@jadda@
@great@|@?aZīm (?uZamā’, ?iZām), jalīl (’ajillā’, ’ajilla)@
@great.@|@mumtâz@
@green@|@’akhDar (khuDr)@
@group@|@Hizb (’aHzāb)@
@guest@|@Dayf (Duyūf)@
@half@|@niSf (’anSāf)@
@hamza / glottal stop@|@`@
@hand@|@yad (’aydin)@
@handsome@|@Hasan@
@happened@|@Hadath@
@happy new year!@|@sana sa3îda!@
@hard@|@Sa3b@
@have you had lunch?@|@hal akalti al-ghadâ?@
@have you visited Lebanon?@|@hal zurta Lubnân?@
@he@|@huwa@
@he came@|@atâ@
@he changes@|@yughayyar (transitive)@
@he decided to...@|@qarrar an...@
@he fasted@|@sâma, sâma@
@he looked for@|@baHatha@
@he rules@|@yaHkum...@
@he seems sleepy.@|@yabdû na3san.@
@he sleeps@|@yanâm@
@he thought...@|@dhanna...@
@he voted@|@sawwat@
@he was doing...@|@akhadha/kâna yaf3al..., kâna yaf3al...@
@he watches@|@yushâhid@
@he woke up@|@istayqadh@
@he/she is silent.@|@hwa/hya sâkit/a. (male/female)@
@headquarters@|@markaz (marākiz)@
@health@|@SiHHa@
@healthy@|@SaHīH (SiHāH, ’aSiHHā’, ’aSiHHa)@
@heart@|@qalb (qulūb)@
@heat@|@harâra, Harr@
@heavy@|@thaqīl (thuqalā’, thiqāl)@
@heavy "d"@|@"D"@
@heavy "t"@|@"T"@
@here@|@hunā@
@here you are/ please@|@tafaDDal / tafaDDalî (m./f.)@
@hero@|@al-baTal@
@high@|@murtafi3@
@high school@|@al-thanawiyya@
@high temperature@|@harâra murtafi3a@
@history@|@ta’rīkh (tawārīkh)@
@hobbies@|@hiwâyat@
@homeland@|@waTan, waTan (’awTān)@
@honest@|@SāliH@
@horse@|@faras (’afrās), HiSān (’aHSina, HuSun)@
@horses@|@khayl@
@hot@|@harr@
@hotel@|@funduq (fanādiq), hutayl@
@hour@|@sā?a@
@hours@|@sa3ât (pl.)@
@house@|@āl, bayt (buyūt)@
@how@|@kayfa, kîf (mid.east)@
@how are you?@|@shlawnak? (syrian)@
@How are you?@|@kaifak/kaifik?@
@how long (time)@|@kam muddat@
@how much?@|@kam@
@how old are you?@|@kam 3umrak?@
@how was it at school?@|@wsh sawaiti fil madrasa?(mid.e@
@how's it going?@|@wsh tsawîn? (f)@
@how's the weather there?@|@kaif al jaw hunâk?@
@human@|@’insān (nās)@
@humble@|@mutawâdhi3@
@husband@|@zawj (’azwāj)@
@I@|@’anā, ana@
@I am bored. (lt. "I feel boredom")@|@ana ash3ur bil-malâl.@
@I am just joking.@|@amzaH faqaT.@
@I am looking for a job.@|@ana abHath 3an 3amal.@
@I am waiting (I wait)@|@antadhiru@
@I ate a japanese food.@|@akaltu Ta3âman yâbâniyya.@
@I became Sherlock Holmes.@|@ana sirtu Sherlock Holmes.@
@I became...@|@ana sirtu...@
@I believe@|@a3taqid@
@I buy@|@ashtarî@
@I came@|@ataytu@
@I came here to learn arabic.@|@ataytu huna li at3allam 3arabî@
@I can@|@astaTi3u@
@I can/it is possible...@|@yumkin an...@
@I change@|@ughayyar, ughayyar@
@I come@|@attî, attî@
@I cry@|@abkî@
@I dislike french movies.@|@akrahu aflâm faransiyya.@
@I dislike..@|@akrahu...@
@I don't fear the exam!@|@lâ akhâfu min'l imtiHân!@
@I don't know exactly.@|@la a3raf biddabt.@
@I don't know except for Istanbul.@|@ana la a3raf ghayr IsTanbûl.@
@I don't know yet.@|@lâ adrî ba3d.@
@I don't mean that.@|@lâ aqsad thâlik.@
@I fasted@|@sumtu@
@I feel sorrowful.@|@ash3aru bil-Huzn.@
@I finish@|@akmil (or ukmil), ukmil@
@I finished this book.@|@kamaltu hâthal kitâb.@
@I forgot to change it.@|@Nasa`tu an aghayyarhû.@
@I forgot was I was going to say.@|@Nasa`tu mâthâ kuntu sa-aqûl.@
@I get connected (comp.)@|@attî@
@I go out to do sports every day.@|@akhruju ilal riyâDat kul yawm@
@I go out to do sports everyday.@|@ukhriju ilal-riyâDat kull yawm@
@I go.@|@ana rayeH (mid.east)@
@I got tired@|@ta3abtu@
@I had an exam yesterday.@|@kâna 3indî imtiHân ams.@
@I had breakfast.@|@akaltu al-ifTâr.@
@I had dinner.@|@akaltu al-3ashâ.@
@I had lunch.@|@akaltu al-ghadâ.@
@I had said this already.@|@ana qultu hâthâ sâbiqan.@
@I had turtles@|@kâna 3indî sulHufât.@
@I had...@|@kâna 3indî...@
@I have class today.@|@3indî faslun al-yawm.@
@I have no idea.@|@Lâ adrî.@
@I have to@|@yajib 3alayya@
@I have to go.@|@lâ budda an athhab.@
@I haven't finished the story yet.@|@lam ukmil al qissa ba'd.@
@I haven't found it (yet).@|@lam ajidhû.@
@I haven't visited there.@|@Lam azûrhâ.@
@I haven't. (in reply to any question)@|@lam af'al.@
@I help@|@usâ3id@
@I joked.@|@mazaHtu.@
@I keep (a pet etc.)@|@urabbî@
@I know it (or her) for a long time.@|@ana a3rafhâ min zamân.@
@I leave...@|@atruk...@
@I like American films.@|@ufaDDilu aflâm amrikiyya.@
@I like novels.@|@ana ufaDDil al-riwâyât.@
@I like travelling.@|@ana uHibbu as-safar.@
@I like...@|@ufaDDilu..@
@I live in Turkiye.@|@Ana a3îshu fi Turkiyya.@
@I live...@|@a3îshu...@
@I looked for the word in the dictionary.@|@baHathtu al kalima fi al-qâmûs@
@I made a friend today.@|@3amaltu sâdiq al-yawm., kasabtu sâdiq al yawm.@
@I make a lot of friends here.@|@a3mal asdiqâ kathîr hunâ.@
@I mean...@|@aqsad...@
@I must...@|@lâ budda an...@
@I need to go@|@ahtâj an athhab@
@I need to sleep.@|@ana lâzim an anâm.@
@I remember@|@atathakkar.@
@I return@|@a3ûd@
@I returned.@|@3udtu, raja3tu / 3udtu.@
@I sleep@|@anâm@
@I slept@|@nimtu@
@I started learning this year.@|@bada`tu ata'allam hâthihissana@
@I stay here.@|@abqa hunâ.@
@I stayed at home.@|@baqaytu fil manzil.@
@I studied Lit. for four years.@|@Darastu al-adab 3arba sanawat.@
@I study@|@adrusu@
@I study linguistics.@|@ana adrus al-alsun.@
@I succeed@|@anjaH@
@I suppose@|@a3taqid@
@I talked@|@takallamtu@
@I think so.@|@adhûn thâlik.@
@I think...@|@adhûn...@
@I thought@|@fakkartu@
@I thought...@|@dhanantu...@
@I travel@|@asâfar@
@I use@|@asta3milu, astakhdimu@
@I used to do something...@|@3adatan kuntu af3al shay...@
@I vote@|@usawwit@
@I voted@|@sawwatu@
@I want to cry.@|@ana urîd an abkî.@
@I was busy today.@|@kâna'l-yawma mashghûl.@
@I was planning to ask you.@|@kuntu urîdu an as2alak.@
@I watched@|@shahadtu@
@I watched a movie.@|@tafarrajtu 3alâ film.@
@I will help my mother.@|@sawda usâ3id ummî@
@I will look up in the dictionary.@|@sawfa anthur fil-qâmûs.@
@I will return.@|@sawfa a3ûd., sawfa arji3u.@
@I will stay.@|@sa-abqa.@
@I wish you success.@|@atamanna lak al-tawfîq.@
@I wish...@|@atamanna...@
@I woke up@|@istayqadhtu@
@I woke up in the morning.@|@istaykathtu fi-ssabâH.@
@i.e.@|@’ay@
@idea@|@fikra (’afkār, fikar)@
@if@|@’idhā, ’in, law@
@illness@|@maraD (’amrāD)@
@I'm 20 years old.@|@3umrî 3ishrîn sana.@
@I'm afraid of the result!@|@akhâfu min an-natîjah!@
@I'm always here.@|@ana dâiman hunâ.@
@I'm angry.@|@ana ghaDbân.@
@I'm awake.@|@ana yaqdhân.@
@i'm bored of the school.@|@ana tfasht mn almadrasah(sla.)@
@I'm bored.@|@ana tafshan.@
@I'm fasting.@|@ana sâ`im@
@I'm glad@|@ana masrur@
@I'm hungry.@|@ana jâ`i3.@
@I'm interested in movies.@|@ana mutashawwiq ilal aflâm.@
@I'm listening to...@|@ana astami3u li...@
@I'm sleepy.@|@ana na3san.@
@I'm sorry(if u dont hear smth)@|@3afwan!@
@I'm sorry.@|@ana âsaf.@
@I'm thirsty.@|@Ana 3aTshân.@
@i'm tired@|@ana ta3ban(m)/ta3bana (fm)@
@I'm used to going to the school.@|@3âdatan athhab ilal-madrasa.@
@importance@|@’ahammiyya@
@important@|@hāmm, jalīl (’ajillā’, ’ajilla), muhimm@
@in@|@fī@
@in addition to this@|@bil-iDhâfati ilâ hâthâ@
@in front of@|@’amāma, tujāha@
@in order to@|@likay, li-kay@
@in place of@|@bi-nniyâbati 3an..@
@in poor condition@|@miskîn@
@in reality@|@aSlan (in tr. "aslen")@
@in spite of@|@ma?a@
@in that case@|@ithan@
@in the middle@|@fi al-wasat@
@in the morning@|@fi-s-sabâH, sabâHan / fissabâH@
@in the near future@|@fi al-mustaqbal qarîb@
@in the same way@|@hākadhā@
@independence@|@istiqlāl@
@industrious@|@mujtahid@
@industry@|@Sinā?a@
@inhabitant@|@sākin (sukkān)@
@inner beauty@|@jamâl-ud-dâkhilî@
@inside@|@dākhil@
@instead of@|@bi-nniyâbati@
@instead of me.@|@bi-nniyâbati 3annî.@
@instead of..@|@bi-nniyâbati 3an..@
@intelligence@|@?aql (?uqūl)@
@intelligent@|@?āqil, ma?qūl@
@interest@|@maSlaHa (maSāliH)@
@interior@|@dākhilī@
@internal@|@dākhilī@
@international@|@duwalī@
@is it so? (as a question word)@|@...ajal?@
@is not@|@laysa@
@Islam@|@’islām@
@island@|@jazīra (juzur, jazā’ir)@
@isn't@|@mâfish (mid.east)@
@isn't it?@|@alaysa kethalik?@
@Istanbul@|@isTanbûl@
@it changes (i.e. the weather)@|@yaghayyar (intransitive)@
@it is raining today.@|@yanzul al maTar al-yawm.@
@it seems good.@|@yabdû jayyid.@
@it seems...@|@yabdû....@
@it seems....@|@yabdû...@
@it started to rain.@|@bada"at al-maTar., bada`at al-maTar.@
@It's 10 o'clock.@|@innahâ al-'ashira.@
@it's not your business!@|@mish shughlak!(mid.east)@
@it's nothing (no need to thank).@|@lâ shukra 3ala wâjib.@
@it's time for noon prayer now.@|@al 2ân salât ad-dhuhr.@
@japanese@|@yâbânî@
@jasmine@|@yasmîn@
@job@|@shughl@
@joke@|@mizâH@
@journalism@|@SiHāfa@
@journey@|@as-safar, safar (’asfār)@
@just@|@?ādil@
@justice@|@?adl@
@killed@|@qatīl (qatlā)@
@kind@|@laTīf (liTāf, luTfā)@
@king@|@malik (mulūk)@
@kingdom@|@mamlaka (mamālik)@
@kitchen@|@al-matbakh, maTbakh (maTābikh)@
@kulli usbu3@|@every week@
@kulli yawm@|@every day@
@lady@|@sayyida@
@language@|@lugha@
@languages@|@al-alsun@
@large@|@kabīr (kibār, kubarā’)@
@last@|@’akhīr, ākhir (’awākhir)@
@late@|@muta`akhhir@
@later@|@fî mâ ba3d@
@latest@|@’akhīr@
@Latin (language)@|@lâtînî@
@law@|@qānūn (qawānīn)@
@Law@|@al-Huqûq@
@leader@|@qā’id (qāda, quwwād), ra’īs (ru’asā)@
@leading@|@ra’īsī@
@left@|@yasâr, yasār@
@leg@|@rijl (’arjul)@
@lemon@|@leymûn@
@lesson@|@al-faSl, dars (durūs)@
@letter@|@risāla (rasā’il, risālāt), risâlah@
@libraries@|@makâtib@
@library@|@maktab, maktaba@
@life@|@Hayât@
@light@|@nūr (’anwār)@
@light (weight)@|@khafīf (’akhfāf, khifāf)@
@light-colored@|@fātiH@
@like@|@ka-, kamā@
@like in "duh"; letter "dhad"@|@"D"@
@lilac@|@lailek@
@limit@|@Hadd (Hudūd)@
@list@|@qā’ima (qāwā’im, qā’imāt)@
@literature@|@al-adab@
@little@|@qalīl (qilāl), Saghīr (Sighār)@
@lives (female)@|@ta3îsh@
@long@|@tawîl, Tawīl (Tiwāl)@
@long (adverb)@|@tawîlan, tawîlan, tawîlan@
@love@|@Hubb, maHabba@
@lucky@|@maHdhûdh (mahzûz in mid. east@
@lunch@|@al-ghadâ, ghadā’@
@macaroni@|@ma3karûna@
@maiden@|@3adhrâ@
@malaysia@|@malisya@
@man@|@imra’ | al-mar’, rajul (rijāl)@
@manager@|@mudīr@
@manner@|@Tarīqa (Tarā’iq, Turuq), uslûb@
@manual@|@yadawī@
@many@|@kathîr, kathīr (kithār)@
@mare@|@faras (’afrās)@
@market@|@sūq (’aswāq)@
@marriage@|@zawāj@
@marvellous@|@?ajīb@
@masculine@|@muthakkar@
@math@|@riyâDiyat, riyâDiyât@
@matter@|@’amr (’umūr), sha’n (shu’ūn)@
@maybe@|@rubbamâ@
@means@|@wāsiTa (wasā’iT)@
@meat@|@laHm (luHūm, liHām)@
@meeting@|@ijtimā?@
@member@|@?uDw (’a?Dā’)@
@merchant@|@tājir (tujjār)@
@merely@|@faqaT@
@messenger@|@rasūl (rusul)@
@midday@|@Zuhr (’aZhār)@
@middle@|@’awsaT, wasat, wasaT (’awsāT)@
@milk@|@al-Halîb@
@minister@|@wazīr (wuzarā’)@
@ministry@|@wizāra@
@minute@|@daqīqa (daqā’iq)@
@mister@|@sayyid (sāda)@
@mobile phone@|@mawbayl@
@modern@|@?aSrī, Hadīth@
@modest@|@mutawâdhi3@
@moment@|@laHZa@
@money@|@fils (fulūs)@
@month@|@shahr (’ashhur, shuhūr)@
@months@|@shuhûr@
@moon@|@qamar (’aqmār)@
@morning@|@SabāH, SubH (’aSbāH)@
@mother@|@umm, umm (ummhāt)@
@mountain@|@jabal (jibāl)@
@mouse@|@fa`r@
@movement@|@Haraka@
@movie@|@film@
@movies (pl.)@|@aflâm@
@Mrs.@|@sayyida@
@much@|@kathîr, wājid@
@municipality@|@baladiyya@
@Muslim@|@muslim@
@must/should@|@yajb@
@my aunt@|@3ammati@
@my brother@|@akhi@
@my brother is younger than me.@|@akhî asghar minnî.@
@my childhood@|@Tfûlatî@
@my condolences.@|@3adham Allah ajrakum.@
@my father@|@abî@
@my friends@|@asdiqâî@
@my mother@|@ummî@
@my sister had...@|@kâna 3inda ukhtî...@
@my sister is older than me.@|@ukhtî akbar minnî.@
@my vacation is only two weeks.@|@ijâzati usbu'ayn faqaT.@
@my younger sister@|@ukhtî saghîr@
@mystery@|@al-lughz@
@naîman@|@sleepy@
@name@|@ism (’asmā’)@
@narrow@|@Dayyiq@
@nation@|@’umma (’umam), qawm (’aqwām)@
@national@|@waTanī@
@nationalistic@|@qawmī@
@near@|@?inda, bi’l-qurbi min, ladā@
@near (to)@|@qarīb (’aqribā’)@
@necessary@|@Darūrī@
@necessity@|@Hāja@
@need@|@Darūra@
@never mind.@|@lâ ba`s.@
@new@|@Hadīth, jadīd (judud)@
@news@|@khabar (’akhbār)@
@newspaper@|@jarīda (jarā’id), saHîfa@
@newspapers@|@saHâ"if@
@next@|@qādim@
@next year@|@sanatil qâdim@
@nice to meet you@|@ana sa3îd bi ma3rifatik@
@night@|@layla (layāl)@
@no@|@lā, lam af'al., mâfish (mid.east)@
@no problem.@|@mâfish mushkilah (mid.east)@
@noble@|@karīm (kiram, kuramā’)@
@nomad@|@badawī (badw)@
@non-@|@ghayr@
@noone@|@lâ aHad@
@noone speaks here.@|@lâ aHad yatakallam hunâ.@
@normal@|@mu3tadil@
@north@|@shimâl, shimāl@
@not@|@lā, mish (mid.eastern dialects)@
@not long ago@|@qabla qalîl@
@not yet.@|@laysa ba'd@
@not; what@|@mā@
@nothing@|@mâshi (contraction of lâ shay)@
@nothing in particular.@|@lâ shay mu3yan@
@novel@|@al-riwâya@
@now@|@al-ān@
@number@|@?adad (’a?dād), raqm (’arqām)@
@oath@|@qasam@
@occasion@|@furSa (furaS)@
@ocean@|@al-muHît@
@of@|@min@
@of course@|@akîd, bittakîd@
@office@|@dā’ira (dawā’ir), maktab (makātib)@
@officer@|@DābiT (DubbāT)@
@official@|@rasmī@
@OK@|@mâshi (mid.east), Tayyib (mid.east)@
@old@|@qadīm (qudamā’)@
@on@|@?alā, fawq@
@on my own@|@bi nafsî@
@once@|@marra, marra@
@once again@|@min jadîd@
@one@|@wāHid@
@one and a half hour@|@sâ3a wa niSf@
@only@|@faqaT, faqaT@
@only two days!@|@yawmayn faqaT!@
@open@|@maftūH@
@opinion@|@ra`y, ra’y (’arā’)@
@or@|@’aw, am / aw@
@orange@|@burtuqâl@
@orchard@|@bustān (basātīn)@
@order@|@’amr (’awāmir), Hukm (’aHkām), niZām (’anZima)@
@ordinary@|@3âdiyan@
@origin@|@’aSl (’usūl)@
@original@|@’aSlī@
@other@|@ākhar (’ukhrā’)@
@other countries@|@bilâd il-ukhra@
@outside@|@khārij@
@over@|@fawq@
@owner@|@SāHib (’aSHāb)@
