@English@|@Sesotho@
@accused@|@baqosuwa, moqosuwa@
@accuser@|@baqosi, moqosi@
@ache@|@bohloko, mahloko, opa@
@achieve@|@atleha@
@acid@|@bodila, diesiti, esiti@
@acne@|@dihloba, sehloba@
@acquaint@|@tlwaela, tlwaetsa@
@acquaintance@|@ho tseba tsohle, tsebano@
@acquisition@|@phumano@
@acquit@|@lokolla@
@acquittal@|@ditokollo, tokollo@
@across@|@rapalla, rapalletse@
@act@|@melao, molao@
@Actinium@|@Aktiniamo@
@action@|@diketso, ketso@
@activate@|@sebedisa@
@active@|@mafolofolo@
@active link@|@kopantshano e mafolofolo, tsela e sebetsang@
@activist@|@ramafolofolo@
@activity@|@ditshebetso, tshebetso@
@actor@|@dibapadi, sebapadi@
@actually@|@hantlentle@
@acute@|@bohale@
@adamant@|@manganga@
@adapt@|@tjhorisa@
@add@|@eketsa@
@addict@|@lekgoba, makgoba@
@addiction@|@bokgoba@
@addition@|@kekeletso@
@additional@|@eketsang@
@address@|@aterese, buisa, diaterese@
@adequate@|@lekanang, phihlello e lekaneng@
@adhere@|@mamarela@
@adhesive@|@dikgomaretsi, mamarelang, sekgomaretsi@
@adjacent@|@bapileng@
@adjective@|@lekgethi, makgethi@
@adjourn@|@qhalana@
@administration@|@tsamaiso@
@administration office@|@ofisi ya tsamaiso@
@admiration@|@ho rata@
@admire@|@boha@
@admonish@|@kgalema@
@adolescent@|@bakenaboholo, mokenaboholo, morwetsana@
@adolescent (male)@|@bahlankana, mohlankana@
@adore@|@kgahlwa@
@adorn@|@kgabisa@
@adult@|@baholo, baholo, holo, moholo, moholo@
@advanced edit@|@fetolo e shebetswengpele@
@advancement@|@tswelopele@
@advantage@|@menyetla, monyetla@
@adventurer@|@bolekele, malekele@
@adverb@|@lehlalosi, mahlalosi@
@advertise@|@bapatsa@
@advertisement@|@dipapatso, papatso@
@advice@|@keletso@
@advise@|@eletsa@
@advisor@|@moeletsi@
@Advisor@|@Moeletsi@
@advisory@|@eletsang@
@advocate@|@mmuelli@
@aerial@|@dieriale, eriale@
@aeroplane@|@difofane, sefofane@
@affect@|@ama@
@affectionate@|@ratehang@
@affidavit@|@bopaki bo ngotsweng@
@affluence@|@nala@
@Africa@|@Aforika, Afrika@
@African@|@Baaforika, Moaforika, Seaforika, Seaforika, Seafrika@
@African buffalo@|@dinare, nare@
@African civet@|@leqaqane@
@African elephant@|@ditlou, tlou@
@African wild cat@|@qwabi@
@afrikaans@|@Seafrekanse@
@Afrikaans culture@|@Seafrekanse, Seburu@
@Afrikaans language@|@Seafrekanse@
@Afrikaner@|@Leaforikanere, Maaforikanere@
@after@|@hoba, ka mora@
@afterbirth@|@mohlana@
@afternoon@|@dithapama, motsheare, motshehare, thapama@
@afterwards@|@ha morao@
@again@|@hape, monyako@
@against@|@kgahlanong le@
@age@|@boholo, tsofala@
@aged@|@tsofetseng@
@aged person@|@leqheku, maqheku@
@agent@|@agente, diagente, moemedi, moemedi@
@agile@|@matjato@
@agility@|@ramatjato@
@agitator@|@mohlohli@
@agreement@|@ditumellano, tumellano@
@agricultural@|@ditemothuto, temothuto@
@agriculture@|@bolemi, ditemo, temo@
@ahead@|@ka pele@
@aid@|@thusa@
@aids@|@lefu la AIDS, phamokate@
@AIDS@|@kwatsi ya bosolla hlapi@
@aim@|@lebisa@
@air@|@meya, moya@
@air bridge@|@tsela e kenang sefofaneng@
@air pressure@|@kgatello ya moya@
@airline company@|@dikhampani tsa difofane, khampani ya difofane@
@airline ticket@|@tekete ya sefofane@
@airmail@|@poso ya moya@
@airplane@|@sefofane@
@airplane landing@|@ho dula ha sefofane@
@airplane propeller@|@tsebe ya lefehlo@
@airplane take off@|@ho tloha ha sefofane@
@airport@|@boemafofane, boemeladifofane@
@Airport@|@Difofaneng@
@alarm@|@alamo, dialamo@
@albino@|@lesofe, masofe@
@alcaline@|@alekhalaene, dialekhalaene@
@alcohol@|@tahi@
@alcoholic@|@letahwa, matahwa, tahang@
@alcoholic drink@|@dino tse tahang, seno se tahang@
@alert@|@hlokomediso, sedi@
@algebra@|@alejebora@
@alias@|@lebitso le leng@
@alignment@|@bopa mola, ditokiso, tokiso@
@alike@|@tshwana@
@alkane@|@alkeini, dialkeini@
@all@|@bohle, eohle, lohle, sohle, tsohle, yohle@
@All@|@Kaofela@
@all (1)@|@hohle, ohle, whohle@
@all except@|@bohle ka ntle ho@
@all files@|@difaele kaofela@
@all the chickens@|@dikgoho tsohle@
@all the children@|@bana bohle@
@allergy@|@aleji, dialeji@
@alliance@|@dilekane, selekane@
@alligator@|@polo, polomashwashe@
@alliteration@|@alethereishene, dialethereishene, didumammoho@
@all-knowing@|@ho tseba tsohle@
@allocate@|@aba@
@allow@|@dumella@
@almost@|@batlile@
@aloe@|@lekgala, makgala@
@alone@|@a mang, bo bong, di ding, e meng, mong, mong, mong, se seng, se seng@
@alone (1)@|@ho hong, le leng, o mong@
@along@|@pela@
@aloud@|@tlerola@
@alphabet@|@alfabete, dialfabete@
@already@|@se@
@altar@|@altare, dialtare@
@alternate@|@tjhentjhana@
@although@|@le ha, leha@
@Aluminium@|@Aluminiamo@
@always@|@ka mehla@
@amateur@|@baithutwana, moithutwana@
@amazement@|@dimakatso, makatso@
@amazing@|@makatsang@
@ambassador@|@baambasadara, leqosa, maqosa, moambasadara@
@ambition@|@maikemisetso@
@ambulance@|@ambulanse, diambulanse@
@ambush@|@tallo@
@amen@|@amen@
@amendment@|@diphetolo, phetolo@
@America@|@Amerika@
@Americium@|@Amerikiamo@
@ammunition@|@dibetsa@
@Amos@|@Amose@
@amplitude@|@ampolitjhute, diampolitjhute@
@amputate@|@poma@
@amuse@|@qabola, thabisa@
@amusement@|@boithabiso@
@amusing@|@qabolang@
@An evil doer has no marks@|@Moloi ha a mela boya@
@an internal error occurred@|@ho hlahile phoso ya ka hare@
@anaemia@|@phokolo ya madi@
@anaesthetist@|@ngaka wa sethethefatsi, tidima ya madimong@
@analogy@|@dipapiso, papiso@
@analyse@|@hlopholla, manolla@
@analysis@|@ditshekatsheko, mohlophollo, tshekatsheko@
@analysis (1)@|@manollo@
@ancestor@|@medimo, modimo@
@ancestors@|@badimo@
@anchor@|@ankere, diankere@
@ancient times@|@boholoholo@
@ancient tribes@|@ditjhaba tsa kgale@
@and@|@le, mme@
@and (between sentences)@|@mme@
@angel@|@lengeloi, mangeloi@
@angle@|@dihuku, dikgutlo, huku, sekgutlo@
@Angola@|@Angola@
@angry with oneself@|@ikgalafetse@
@animal@|@diphoofolo, phoofolo@
@animation@|@ketsahatso@
@ankle@|@leqaqailana, maqaqailana@
@ankle bracelet@|@sefaha sa leqaqailana@
@anklet@|@boseka@
@announce@|@tsebisa@
@announcement@|@ditsebiso, tsebiso@
@annoy@|@tena@
@annoyance@|@ho tena@
@annoying@|@tenang@
@annual@|@ka selemo@
@anoint@|@tlotsa@
@answer@|@araba, arabile, dikarabo, karabo, karabo@
@answering machine@|@motjhini wa melaetsa@
@ant@|@bohlwa, lerwana, mahlwa, marwana@
@Antarctica@|@Anthakethika@
@anthropology@|@thuto ya meetlo le setso@
@antibiotic@|@antibayotiki, diantibayotiki, twantshamahloko@
@antibody@|@masole a mmele, sehananalemmele@
@antidote@|@moupello@
@antigen@|@kokwanahloko@
@Antimony@|@Antimoni@
@antiseptic lotio@|@mokedikedi wa setlolo tshitisi@
@anus@|@dibono, mohlamu, sebono@
@anxiety@|@ngongoreho@
@anxious@|@ngongorehile@
@anybody@|@mang kapa mang, mang le mang@
@anyhow@|@jwang kapa jwang@
@anywhere@|@kae kapa kae@
@apartmen@|@folete@
@ape@|@kgabo@
@apies@|@Tshwane@
@Apies River@|@Noka ya Tshwane@
@apologise@|@kopa tshwarelo@
@apology@|@ditshwarelo, Tshwarelo@
@apostle@|@baapostola, moapostola@
@apparatus@|@disebediswa@
@appeal@|@boipiletso, ipiletsa@
@Appeal@|@Thapeli@
@appeal court@|@lekgotla la boipiletso@
@appear@|@bonahala, hlaha, seka@
@appear to@|@hlahela@
@appearance@|@ho hlaha, tjhadimeho@
@Appearances are deceptive@|@Metse e metle kantle@
@appendix@|@dihlomathiso, sehlomathiso@
@appetite@|@takatso ya dijo@
@applaud@|@tlotlisa@
@apple@|@apole, diapole@
@apple juice@|@lero la apole@
@apple tree@|@sefate sa apole@
@applicant@|@bakopamosebetsi, mokopamosebetsi@
@application@|@dikopo, ditshebediso, kopo, tshebediso@
@application cannot be started@|@tshebediso e ka se qadiswe@
@application form@|@lengolo la boikopelo@
@applied competence@|@tshebediso ya bokgoni@
@apply for work@|@kopa mosebetsi@
@appoint@|@hira@
@appointment@|@kgiro, lebaka, mabaka@
@appreciate@|@ananela@
@apprehension@|@letsoalo@
@approach@|@atamela, katamelo@
@appropriate@|@lokelang@
@approval@|@ditumello, kananelo, tumello@
@approximate@|@akanyang@
@apricot@|@apolokose, diapolekose@
@apricot tree@|@sefate sa apolekose@
@April@|@Mmesa@
@Arab person@|@Learabia, Maarabia@
@Arabic culture@|@Searabia@
@Arabic language@|@Searabia@
@arbiter@|@baahlodi, moahlodi@
@arbitrary@|@hloka leeme@
@arbitrate@|@ahlola@
@arc@|@akere, diakere@
@archeology@|@thuta-masupi@
@architect@|@baakhiteke, moakhiteke@
@are you happy?@|@u thabile?@
@Are you happy?@|@O thabile?@
@area@|@dibaka, ditulo, sebaka, tulo@
@arena@|@arena, diarena@
@Argon@|@Argone@
@argue@|@lwana, lwanne, nganga@
@argument@|@ngangisano@
@arguments@|@dikgang@
@arid@|@sabatoala@
@aristocrat@|@seithati@
@arithmetic@|@aremetiki, Dipalo@
@arithmetic sequence@|@tatelano ya aremetiki@
@arm@|@letsoho, matsoho@
@armpit@|@lehafi, mahafi@
@army regiment@|@dimphi, mphi@
@around@|@ka hohle@
@arrange@|@hlopha, hlophisa@
@arrange horizontally@|@hlophisa ka ho rapameng@
@arrange vertically@|@hlophisa ka ho tsepameng@
@arrangement@|@hlophiso, tlhophiso@
@arrest@|@tshwara@
@Arrival@|@Ho fihla@
@arrival hall@|@holo ya ba fihlang@
@arrive@|@fihla@
@arrived@|@fihlile@
@arrow@|@metsu, motsu@
@Arsenic@|@Arseniki@
@arson@|@tjhesetso@
@art@|@mekgabo, mokgabo@
@art gallery@|@tulo ya mokgabo@
@artery@|@methapo ya madi, mothapo wa madi@
@article@|@atekele, diatekele@
@artificial@|@maiketsetso@
@artificial insemination@|@kemariso ya maiketsetso@
@artificial respiration@|@phefumoloho ya maiketsetso@
@Arts and Culture@|@Bonono le Botjhaba, Bonono le Setso@
@as@|@jwale ka@
@as big as@|@a makana ka, kaa ka, se sekana ka, tse kana ka@
@as big as (1)@|@ba bakana ka, bo bokana ka, kaalo, le lekana ka@
@as big as (2)@|@e kana ka, e mekana ka, ho hokana ka, kana-kana, o mokana ka@
@asbestos@|@asebesetose, diasebesetose@
@ascend@|@nyoloha@
@ascertain@|@nnetefatsa@
@ash@|@melora, molora@
@ash heap@|@dithotobolo, thotobolo@
@Asia@|@Asia@
@aside@|@ka thoko, thoko@
@ask@|@botsa, kopa@
@ask for@|@kopa, shebetsa@
@asked@|@botsitse, botswa@
@askew@|@ka lekeke@
@asleep@|@robetse@
@assault@|@hlasela, otla, otla@
@assembly@|@diboka, dikopano, kopano, seboka@
@assess@|@akanya, hlahloba@
@assessment@|@ditekanyetso, tekanyetso@
@Assessment Standards@|@Maemo a Tekanyetso@
@assessor@|@baakanyi, moakanyi@
@assistance@|@dithuso, thuso@
@assistant@|@bathusi, mothusi@
@association@|@mekgatlo, mokgatlo@
@assonance@|@asonense, diasonense, didumannotshi@
@assualt@|@kotlo@
@assurance@|@ashorense, diashorense@
@Astatine@|@Astatine@
@asteroid@|@aseteroete, diaseteroete@
@asthma@|@letshwea@
@astonish@|@makatsa@
@astrology@|@bolepi ba dinaledi@
@astronomy@|@thuto ya dinaledi@
@astute@|@masene@
@at home@|@hae@
@at night@|@bosiu@
@at school@|@sekolong@
@at the fountain@|@sedibeng@
@athletics@|@diatletiki@
@Atlantic Ocean@|@Lewatle le Atlantiki@
@atlas@|@atlelase, diatlelase@
@atmosphere@|@atemosefere, diatemosefere@
@atmospheric pressure@|@kgatello ya atemosefere@
@atom@|@athomo, diathomo@
@atomic mass@|@boimo ba athomo@
@attach@|@hokela, momahanya, tlama@
@attachment@|@metlamo, momahano, motlamo@
@attack@|@futuhela@
@attain@|@fihlela@
@attendance@|@boteng@
@attention@|@hloko, mamelo@
@attorney@|@mmuelli@
@attract@|@hohela@
@attraction@|@digohelo, kgohelo@
@attractive@|@hohelang, rateha@
@attribute@|@dihloleho, hloleho@
@auction@|@difantisi, fantisi@
@auctioneer@|@bafantisi, mofantisi@
@audible@|@utlwahala@
@audio@|@kutlo@
@audio card@|@karete ya kutlo@
@auditor@|@bahlahlobaditjhelete, mohlahlobaditjhelete@
@August@|@Phato@
@aunt@|@bommangwane, mmangwane, rakgadi@
@aunt (1)@|@bonkgono, nkgono@
@Australasia@|@Oseteralesia@
@Australia@|@Oseteralia@
@author@|@bangodi, mongodi@
@authority@|@borena, botsebanyane, matla, tsebanyane@
@autobiography@|@ngolophelo ya mong ka boyena, othobayokerafi@
@autoformat@|@sebopehose iketsahallang@
@autumn@|@hwetla, mahwetla@
@Autumn@|@Lehwetla@
@available@|@fumaneha@
@avarice@|@lekgonatha@
@avenge@|@iphetetsa, lefetsa@
@avenue@|@avenyu, diavenyu@
@average@|@mahareng@
@avert@|@phema@
@avocado@|@avokhado, diavokhado@
@avoid@|@qoba@
@await@|@emela@
@awe@|@tshisimoso@
@awl@|@lehlabo@
@axe@|@dilepe, selepe@
@axis@|@diekesisi, ekesisi@
@axle@|@ase, diase@
@babble@|@bebera@
@baboon@|@tshwene@
@baby@|@lesea, masea, nana@
@bachelor@|@lesoha, masoha@
@back@|@mekokotlo, mokokotlo, morao@
@background@|@bokamorao, ditikoloho, tikoloho@
@backyard@|@ka morao ho jarete@
@bacon@|@nama ya kolobe@
@bacteria@|@kokwana@
@bad@|@mpe, se sebe@
@Bad@|@Ha ke sa phela hantle, Ha ke teng@
@bad (1)@|@a mabe, a mabe, ba babe, bo bobe, e mebe, le lebe, tse mpe@
@bad (2)@|@e mobe, O mobe@
@badly@|@hampe@
@baffle@|@hlolla@
@bag@|@mekotla, mokotla@
@baggage reclaim@|@sebaka sa ho nka thepa@
@bake@|@apeha, baka@
@baked@|@bakile@
@baker@|@babaki, mobaki@
@balance@|@botsitso@
@balanced equation@|@tekanyo e lekanang@
@bald@|@lefatla@
@ball@|@bolo, dibolo@
@ball gown@|@mose wa tantshi@
@ballad@|@balate, dibalate@
@balloon@|@balune, balunu, dibalune, dibalunu@
@bamboo@|@leqala, maqala@
@banana@|@banana, dibanana, dipanana, panana@
@banana tree@|@sefate sa banana@
@bananas@|@dibanana@
@band@|@bente, mokgahlelo@
@bandage@|@bantetjhe, dibantetjhe@
@banded mongoose@|@letodi, matodi@
@bangle@|@bengele, dibengele@
@banjo@|@banjo, dibanjo@
@bank@|@banka, dibanka@
@bank note@|@ditjhelete tsa pampiri, tjhelete ya pampiri@
@bank river@|@lebopo, mabopo@
@banned person@|@dithibetse, thibetse@
@baptise@|@kolobetsa@
@baptism@|@dikolobetso, kolobetso@
@bar@|@bar, bara, dibar, dibara, kotela@
@barbarian@|@leqaba, maqaba@
@barbecue@|@hadika@
@barbed wire@|@terata e metsu@
@barber@|@bakuti, lebeola, mabeola, mokuti@
@Barium@|@Bariamo@
@bark@|@bohola, bohotse, lekgapetla, makgapetla@
@barn@|@disekiri, sekiri@
@barter@|@ananya@
@base@|@beisi, dibeisi@
@base directory@|@tshupetso ya motheo@
@baseline assessment@|@tekanyetso ya motheo@
@basic@|@metheo, motheo@
@basic IDE@|@IDE ya motheo@
@basin@|@sejana sa ho itlhatswetsa@
@bask@|@athamela@
@basket ...@|@mmanki@
@basotho chief@|@bereng, letsie, masopha, molapo, seeiso@
@Basotho men's dance@|@mohobelo, seakgi@
@Basotho people@|@Basotho@
@Basotho women's dance@|@mokhibo, moqoqopelo@
@Basque culture@|@Sebaske@
@bat ..@|@mmankgane@
@bath@|@bate, dibate, todile, tola@
@bathe@|@tola@
@bathroom@|@batekamore, dibatekamore, kamore ya ho hlapa@
@bathroom (1)@|@kamore ya ho tola@
@battery@|@beteri, dibeteri@
@battle@|@dintwa, ntwa@
@battle-axe@|@dikwakwa, kwakwa@
@battlefield@|@ntweng@
@battleship@|@dikepe tsa ntwa, sekepe sa ntwa@
@bawdy@|@tlhapa@
@bay@|@kou@
@be alert@|@lemoha@
@be angry@|@sena@
@be astonished@|@maketse@
@be audible@|@utlwahala@
@be cast@|@bopjwa@
@be caused to enter@|@kenngwa@
@be change@|@fetolwa@
@be cold@|@bata@
@be delirious@|@phofa@
@be different@|@tse fapaneng@
@be drunk by@|@nowa ke@
@be educated@|@rutehile@
@be emotional@|@kena moyeng@
@be equal in a race@|@fasafasana@
@be friendly@|@tlwaeleha@
@be grateful@|@itumeleng@
@Be happy@|@Thabang@
@be impossible@|@sita@
@be joyous@|@itumeleng@
@be lean@|@otile@
@be observed@|@bonwa@
@be paid@|@lefjwa@
@be roadworthy@|@lokela tsela@
@be shown@|@bontshwa@
@be sorry@|@swabile@
@be tame@|@thapile@
@be thankful@|@lebohang@
@be unhappy@|@hlora@
@be violent@|@befa@
@be written@|@ngolwa@
@beacon@|@mekolokotwane, mokolokotwane@
@bead@|@difaha, sefaha@
@beadwork@|@difaha@
@beak@|@melomo, molomo@
@bean@|@dinawa, nawa@
@beans@|@dinawa@
@bear@|@bere, dibere, mamella@
@bear glass@|@kgalasa ya jwala@
@beard@|@ditedu, tedu@
@beast@|@dibata, sebata@
@beat@|@hlola, meretheto, meretheto, moretheto, moretheto@
@beat up car@|@diskoroskoro, skoroskoro@
@beaten@|@hlolwa@
@beautiful@|@a matle, a matle, ba batle, ntle, se setle, se setle, tse ntle@
@Beautiful@|@Motle@
@beautiful (1)@|@bo botle, e metle, hantle, le letle, le letle, o motle@
@beautiful (2)@|@ntlafala@
@beautiful clothes@|@majabajaba@
@beautify@|@intlafatsa@
@beauty@|@botle, dintle, setsoto@
@because@|@hobane@
@beckon@|@hwehla@
@become@|@Ba@
@become afraid@|@tshaba@
@become astonished@|@makala@
@become blind@|@foufala@
@become clear@|@totobala@
@become deep@|@teba@
@become educated@|@ruteha@
@become excited@|@tsoseleha@
@become ill@|@kula@
@become independent@|@thuthuha@
@become known@|@tsebahala, tsebeha@
@become lean@|@ota@
@become nice@|@natefala@
@become numerous@|@anafala@
@become quiet@|@thola@
@become strong@|@natlafala@
@become thin@|@tseta@
@become true@|@netefala@
@bed@|@bethe, dibethe@
@bedclothes@|@diphate@
@bedpan@|@dithuana, thuana@
@bedroom@|@kamore ya ho robala@
@bee@|@dinotshi, notshi@
@beef@|@nama, nama ya kgomo, ya kgomo@
@beer@|@jwala, majwala@
@beetle@|@dikgolabolokwe, kgolabolokwe@
@beetroot@|@bete, dibete@
@before@|@pele@
@before daybreak@|@ka dialla@
@beg@|@kopa, kopile, qela@
@beget@|@beleha, tswala@
@beggar@|@bakopi, mokopi, mokopi@
@begin@|@qala@
@beginner@|@baqadi, moqadi@
@beginning@|@qalo@
@behave@|@itshwara@
@behaviour@|@boitshwaro@
@behaviour change@|@phetoho ya boitshwaro@
@behind@|@moraho, morao@
@beige@|@beije@
@being@|@e le@
@being called@|@bitswa@
@being careful@|@Tlhokomelo@
@being eaten@|@jewa@
@being married@|@nyalwa@
@being sick@|@kula@
@being walked@|@tsamauwa@
@belch@|@bohla@
@Belgium@|@Belgiamo@
@believe@|@kgolwa@
@believe erroneously@|@hloma@
@believer@|@badumedi, modumedi@
@belittle@|@nyenyefatsa@
@beloved@|@baratuwa, moratuwa@
@below@|@tlasa@
@belt@|@lebanta, mabanta@
@bend@|@koba, methinya, mothinya@
@Bengali culture@|@Sebengali@
@Bengali person@|@Lebengali, Mabengali@
@bereavement@|@bofifi@
@Berkelium@|@Berkeliamo@
@Beryllium@|@Beriliamo@
@besides@|@ntle, ntle le@
@best man@|@moemedi wa monyadi@
@bet@|@betjha, mobetjho@
@Bethlehem@|@Bohloking, Bohlokong@
@betray@|@eka@
@between@|@hara@
@Beverage@|@seno@
@beware@|@hlokomela@
@bewitch@|@loya@
@beyond@|@nqa yane, nqane@
@beyond the end@|@felleng@
@Bhojpuri culture@|@Sebhojpuri@
@Bible@|@Bebele, Bibele, Dibebele, Dibibele@
@biceps@|@dipotongwane@
@bicycle@|@baesekele, dibaesekele@
@bicycle pump@|@dipompo tsa baesekele, pompo ya baesekele@
@big@|@a maholo, a maholo, ba baholo, kgolo, se seholo, tse kgolo@
@big (1)@|@bo boholo, e kgolo, e kgolo, e meholo, le leholo@
@big stone@|@ditpitla, pitla@
@big toe@|@monwana o motona wa leoto, monwana wa leoto o moholo@
@bikini@|@bikini, dibikini@
@bilharzia@|@bilehasia@
@bill@|@molao o thehwang@
@billion@|@dimilione tse sekete@
@biltong@|@dihwapa, sehwapa@
@binary@|@baenari, dibaenari@
@binary logic@|@lojiki ya baenari@
@binary numbers@|@dipalo tsa baenari, palo ya baenari@
@bind@|@bofa, tlama@
@binoculars@|@diferekekere, ferekekere@
@biography@|@bayokerafi, dibayokerafi@
@biography (1)@|@ngolophelo ya mong ka e mong@
@biology@|@bayoloji@
@bird@|@dinonyana, nonyana@
@birth@|@ditswalo, peleho, tswalo@
@birthday@|@letsatsi la tlhaho@
@Birthday@|@Letsatsi la tswalo@
@birthday (1)@|@matsatsi a tlhaho, matsatsi a tswalo@
@birthmark@|@letshwao la tswalo@
@birthplace@|@tulo ya tswalo@
@biscuit@|@basekeite, biskete, dibasekeite, dibiskete@
@bishop@|@babishopo, mobishopo@
@Bismuth@|@Bismute@
@bit@|@bonyentane@
@bite@|@loma, lomile@
@bitmap@|@bitimapa, dibitimapa@
@bitmap file@|@difaele tsa bitimapa, faele ya bitimapa@
@bitter@|@baba@
@black@|@a matsho, a matsho, ba batsho, ntsho, ntsho, se setsho, se setsho, tse ntsho@
@black (1)@|@bo botsho, e metsho, le letsho, o motsho@
@black and white@|@botsho le bosweu@
@black rhinoceros@|@tshukudu e molomo wa haka@
@black wildebeest@|@mmamononwane, pudumo@
@black-backed jackal@|@diphokojwe, phokojwe@
@black-faced impala@|@phala e sefahleho se setsho@
@blame@|@nyatsa@
@blank page@|@leqephe le feela@
@blanket@|@dikobo, kobo@
@blanket worn as clothes@|@lesolanka@
@blazer@|@boleisara, maboleisara@
@bleach@|@sweufatsa@
@bleed@|@tswa madi@
@blesbok@|@dinone, none@
@bless@|@hlohonolofatsa@
@blessing@|@mahlohonolo@
@blind@|@foufetse@
@blind make@|@foufatsa@
@blind person@|@difofu, sefofu@
@blindness@|@bofofu@
@blink@|@panya@
@blister@|@letswabadi, matswabadi@
@block@|@bloko, dibloko, thibela@
@blockquote@|@tsopollo ya bloko@
@Bloemfontein@|@Mangaung@
@blonde@|@tshowana@
@blood@|@madi@
@blood donation@|@phano ya madi@
@blood donor@|@mofani wa madi@
@blood pressure@|@kgatello ya madi@
@blood pressure measurer@|@sekala sa kgatello ya madi@
@Blood River@|@Nkome@
@blood test@|@hlahlobo ya madi@
@blood transfusion@|@phepelo ya madi@
@blood vessel@|@methapo, mothapo@
@bloodstream@|@phallo ya madi@
@bloublasie@|@boloubolasi, diboloubolasi@
@blouse@|@bolouso, dibolouso@
@blow@|@fefola, mina@
@blue@|@a maputswa, a maputswa, ba baputswa, bo boputswa, bolou, le leputswa, se seputswa, tala, tala, tse putswa@
@blue (1)@|@botala ba lehodimo, e meputswa, o moputswa@
@blue crane@|@moholodi@
@blue duiker@|@diphuthi, phuthi@
@blue wildebeest@|@dikgaranyane, dikgokong, kgaranyane, kgokong@
@blunt@|@nthithi@
@board@|@boroto, diboroto@
@boarding house@|@ntlo ya marobalo@
@boast@|@ithorisa@
@boastful@|@ithorisang@
@boat@|@diketswana, seketswana@
@body@|@mmele@
@body fluid@|@maro a mmele@
@body temperature@|@themperetjhara ya mmele@
@body text@|@mmele wa polelo@
@Bohrium@|@Bohriamo@
@boil@|@bela, betse, lethopa, pjatla@
@boil well@|@pjatla@
@bold@|@botenya@
@bolt@|@boutu, diboutu@
@Bon voyage@|@O tsamaye hantle, Tsela tsweu (white road)@
@bond@|@ditlamo, tlamo@
@bondage@|@bohlanka@
@bone@|@lesapo, masapo@
@bonnet@|@bonete, dibonete@
@bontebok@|@dinyamatsane, nyamatsane@
@book@|@buka, dibuka@
@bookkeeping@|@bukhiping@
@bookmark@|@khopotso, letshwaho la buka@
@bookshelf@|@raka ya dibuka@
@boot@|@butu, dibutu@
@border@|@bodara, dibodara, meedi, moedi, moedi@
@Boron@|@Borone@
@borrow@|@adima, adimile@
@borrower@|@baadimi, moadimi@
@both@|@bobedi@
@Bothaville@|@Mophate@
@bother@|@kgathatsa@
@Botswana@|@Botswana@
@bottle@|@botlolo, dibotlolo@
@bottle-feed@|@ho antsha lesea botlolo@
@bottom@|@botlase@
@botumo@|@fame@
@bought@|@rekile, rekilwe, rekwa@
@boundary@|@meedi, moedi@
@boundless@|@saballetse@
@bovine@|@dikgomo, kgomo@
