@English@|@Kiribati@
@a cooker@|@kuuka@
@a corpse of some days@|@banna@
@a covenant@|@berita@
@a cover@|@bonotanimata@
@a covering@|@bakarube@
@a crowd of people@|@te bua n aomata@
@a crown@|@baunuea@
@a cup@|@taai@
@a cutaneous disease@|@bunekéaki@
@a debauchee@|@baka n tamare@
@a deep-water fish@|@eri@
@a deformity@|@baibainanti@
@a delicious smell@|@bukangkang@
@a dirk@|@bekenene@
@a disease@|@babubura@
@a disease in the groin@|@binakare@
@a disease of the skin@|@guni-keaki, guni-maiô@
@a dish consisting of grated coconut and toddy@|@bakamaieta@
@a disturbance arising from the unfaithfulness man@|@bainimane@
@a fair sale@|@boraoi@
@a fallen young coconut@|@bangu@
@a farthing@|@baring@
@a feast@|@te amarake ni baka@
@a feast on the occasion of breaking off a marriage@|@anaibung@
@a feather@|@buraeniman@
@a female spirit@|@abinoa, aibong@
@a fence@|@bwerei@
@a fierce warrior@|@te tia Bouru@
@a fish@|@arinainamawa, babu, baibo, baneriki, bawea, bawetabuariki, bawetaburimai, bukimaka, bukimanga, bukinrin, bukiraereke, bukiraro, bukitakeiau, buni, bureinawa, butatora@
@a fish of preceding species@|@awakura, awakurere@
@a fish-trap made of withes@|@bâñ, boñ@
@a fleet of canoes@|@tína@
@a float-board@|@papa@
@a floating stump of a tree having roots visible@|@baku ni kuia@
@a flowering tree@|@bairiati@
@a fly@|@naño@
@a folio@|@borio@
@a food@|@am'arake@
@a foreign perfume@|@bumatangitang@
@a fort@|@bote@
@a franc@|@borangki@
@a furlong@|@borang@
@a game@|@abuabu, bebenu, takaakaro@
@a game of knocking coconuts@|@kauniben@
@a game played with playing cards@|@roka@
@a general term for metals other than iron@|@bititaom@
@a gentleman@|@ôamata, ômat@
@a giant@|@toa@
@a gimlet@|@timreke@
@a girl@|@teiti n'aiine@
@a good dance@|@te ruoia rap@
@a gun@|@boboia@
@a half sail@|@ienikinongo@
@a half-size coarse mat@|@bakatarawa@
@a hammer@|@bainororo@
@a healthy leaf@|@ba rerei@
@a heap of stones piled up@|@te bei ni baenata@
@a heathen@|@bekan@
@a heathen marriage ceremony with incantations@|@baibain@
@a helmet@|@barengaru@
@a hen's egg@|@bunnimoa@
@a hole@|@buñabuña, kibangabanga@
@a holiday@|@motirawa@
@a hook@|@bainikanewe@
@a hoop@|@bamoti@
@a house with an elevated floor@|@bao@
@a house with lofty plates@|@buatarawa@
@a huge baurua@|@baurua rekareka@
@a huge sail@|@ien teaba@
@a hundred@|@ñâ@
@a hut used as kitchen@|@bareuma@
@a kind of basket mat flat open@|@bengabenga@
@a kind of big bararuku@|@bautongo@
@a kind of big fish trap made of inai (mats)@|@butongotongo@
@a kind of dance@|@îa@
@a kind of fish@|@bubutakataka, tinaemea@
@a kind of game@|@bebengu@
@a kind of game played with playing cards@|@kabutikai@
@a kind of loin cloth with fringe@|@bakabenuamuri@
@a kind of rod baited@|@ba n ruruo@
@a kind of skin disease@|@barere@
@a knot@|@timoi@
@a large cetacea@|@baneki@
@a large constellation of four stars of Hercules@|@baraitoa ae te are@
@a large fan-shaped fish@|@ienwa@
@a large fish@|@baimanu@
@a large fish trap formerly used in deep water@|@banga n tau ngea@
@a large man@|@bakora@
@a large mullet@|@auatara@
@a large opening@|@bengabenba@
@a large red fish@|@arataba@
@a large shell fish@|@batua@
@a large sleeping mat@|@bakarouaba@
@a large specimen of the fish@|@bukimangai@
@a large spherical fish@|@banga ni aine@
@a leaf of a tree@|@bâ@
@a lie@|@baranikewe@
@a little@|@te berona, uta@
@a little tobacco@|@uta ni tebâke@
@a lock@|@roka@
@a long and broad knife@|@taaba@
@a long brace for supporting the prow of a canoe@|@bakatoko@
@a long spear@|@auabubuti@
@a lot of things@|@te bua ni bai@
@a louse@|@auç, auti@
@a lover of discussions@|@banga ni karabakau@
@a low wall@|@bonobono@
@a man engaged in any business@|@tane@
@a man of blood@|@bairara@
@a man of extraordinary strength@|@tiriato@
@a man of peace@|@teiti rô@
@a man that builds houses@|@tane katî te bat@
@a man who builds houses@|@teiti katîa bat@
@a man who carries speech@|@tane witi te taitai@
@a man's combat@|@bo mane@
@a marine animal@|@burikakana@
@a meeting for exchange@|@baketi@
@a mistake@|@bure@
@a mode of tabunea to attract attention@|@iaonimata@
@a mother@|@tina@
@a name of a village on Tarawa@|@Buariki@
@a nation@|@botanaomata@
@a native of Makin@|@dî-Mâkin@
@a neuralgic@|@bakarere@
@a new sail@|@iemoa@
@a paddle@|@buénar, bweennarina, poênar, poipoi@
@a palace@|@bareti@
@a palm tree@|@bam@
@a pan@|@ban@
@a pan leaf@|@banikaina@
@a paragraph@|@barekurabe@
@a parent of a son or daughter-in-law@|@butika@
@a parenthesis@|@berentiti@
@a partridge@|@bateriti@
@a passion for womem@|@baba n aine@
@a paste made of the arum@|@ninepo@
@a peck@|@beke@
@a pelican@|@berikan@
@a peninsula@|@benentura@
@a penny@|@bene@
@a person detested@|@tinanikubeka@
@a person having a sharp chin@|@bakamangai@
@a person skilful at making this binding@|@te bautimu n aomata@
@a person who becomes very slim@|@butakitaki@
@a person who is a laughing stock@|@bai n rang@
@a Pharisee@|@baritaio@
@a phylactery@|@burakitere@
@a piece of coconut@|@bunniba@
@a pile of things@|@te bota ni bai@
@a pilgrim's staff@|@eko@
@a pillar@|@beira@
@a pillar of maneaba@|@boitabu@
@a pillow@|@uniga@
@a pimple@|@butokou@
@a pin for splitting@|@bwerenriri@
@a pineapple@|@bainabora@
@a pint@|@bainte@
@a pitcher@|@bitia@
@a plane tree@|@buren@
@a planet@|@buraneti@
@a plant@|@amoro, aronga@
@a platform on the outrigger side of canoe@|@baretama@
@a pleasant breeze@|@timu n ang@
@a plow@|@barau@
@a policeman@|@boritiman@
@a pomegranate@|@bamiuranete@
@a poor man@|@bu-ni-mân@
@a porcupine@|@baokubain@
@a pound@|@baun@
@a powdered food made from pandanus@|@kabubu@
@a prairie@|@burere@
@a preparation of food made from taro@|@buatoro@
@a printing press@|@boreti@
@a prophet@|@burabeti@
@a protestant@|@buratetanti@
@a pygarg@|@baikaki@
@a quarrel@|@ibewi@
@a question@|@titiraki@
@a rack@|@betarao@
@a rain cloud@|@buki n ang@
@a rat@|@kimoa@
@a ray@|@atunaomata@
@a ray without sting@|@bukikororo@
@a razor@|@bai-ni-kurubuai@
@a red birthmark on skin@|@baun nei kiebaeba@
@a repulsive smell@|@butokotoko@
@a ripe coconut whose kernel is unusually hard@|@bentiki@
@a rough ledge of rock or stratum@|@bakateke@
@a rudder@|@bwee@
@a running vine@|@barariku@
@a sacred enclosure@|@bangota@
@a sail partly furled to avoid too strong wind@|@ie n taorabi@
@a sandbank nearly covered by sea@|@te bike n aitao@
@a scar of a burn@|@baituru@
@a sea slug@|@buruburu ni koinawa@
@a seamew@|@timu@
@a send off party@|@te kaborau@
@a send-off party before a departure@|@banekatia@
@a shark with white spots on fins@|@baibure@
@a shell@|@binaoro, burena@
@a shell or tin for cutting@|@bwere@
@a shell with pointed end@|@bukikakang@
@a short pan leaf@|@bukimaki@
@a shoulder@|@anga@
@a sieve@|@kameríri@
@a sixty-gallon cask@|@bukibuki@
@a small box with a cover@|@tiruma@
@a small cocoa-nut@|@te muimot uarêrek@
@a small gelatinous marine animal@|@bonubonu@
@a small hat@|@baraitoa@
@a small insect@|@bingita, bukimangarua@
@a small louse@|@baiuti@
@a small parcel@|@batia@
@a small shell@|@burebangaki@
@a small yellow cowrie@|@buroa@
@a sociable@|@butika te aba@
@a sort of ballet dance@|@bakatamoa@
@a sort of gooseberry@|@ibir@
@a sound@|@bengubengu@
@a spear@|@tabû@
@a special gift given to a favourite in secret@|@buakoro@
@a special kind of string@|@bautimu@
@a special way of playing oreano@|@ika ni maiaki@
@a species of fish@|@awataratara, batokitoki, bukitakieau@
@a species of fish with large fins@|@baitaba@
@a species of jelly fish@|@baitari@
@a species of pandanus@|@anikomri@
@a species of sea urchin@|@batinou@
@a species of shark@|@babunibakoa, babutababa, baiburebure, ianti, tapap@
@a species of taro@|@babue@
@a species of yellow tuna@|@baiura@
@a spike off sea urchin@|@benenakai@
@a spirit@|@bakaoraora, timuniman@
@a spoon made of human hair@|@kadêran@
@a spy-glass@|@bai-ni-kadaradara, bainikataratara@
@a star@|@aikoriri, aratai, baieti, baikare, bairikaki, baitaere, batena, batirara, etinimeang@
@a state of abundance@|@ebiebi@
@a state of discouragement@|@ebu@
@a stay to a mast@|@ata@
@a steering oar@|@bwe@
@a stick (or root) of taro@|@te kai ni te boboi@
@a stoic@|@titoiko@
@a stone idol@|@te boua n anti@
@a store@|@titooa@
@a straight or even row as of trees or houses@|@bakatati@
@a stranger just arrived@|@te aomata mai Bouru@
@a strong regular wind@|@bairaro@
@a stump@|@boto@
@a sweet husked coconut@|@buniababai@
@a swept place@|@buroung@
@a syllable@|@tirebare@
@a system of choreography composition@|@banerere@
@a table knife with bone handle@|@borauea@
@a taro-bed@|@rua@
@a tattooer@|@tane taitai, teiti taitai@
@a thief@|@baikimoa@
@a thin brittle bivalvular shell fish@|@berereun@
@a thing@|@bai, bê, bêi, pê@
@a thing given with regret@|@baitangitang@
@a throne@|@bao n uea, baonuea, te bao n uea@
@a tree@|@bingibing@
@a variety of babai@|@bamai@
@a variety of crab@|@batinana@
@a variety of food@|@bakawai@
@a variety of the bara@|@baraikarikiriki, barakua, barataburimai@
@a variety of the bubu@|@bubuawai, bubukirikiri, bubunabanaba, buburoba, bubutakawaru, bubuwaki, bubuwiura@
@a variety of the ibo@|@tinanibo@
@a vein@|@iia, tiia@
@a venerated personage@|@ba-atua@
@a very disagreeable odour@|@bukamawiwi@
@a very relishable ripe coconut@|@benikangkang@
@a virgin@|@baretenia@
@a vulture@|@barotia@
@a want of assurance@|@butima@
@a war club@|@batiraku@
@a wart@|@ínuai@
@a water or oil pipe@|@baibi@
@a way of climbing trees@|@te kabenga@
@a way of fishing@|@ba rairai@
@a whale@|@kua@
@a whimperer@|@banga ni kaniko@
@a whitish variety of the b'ere@|@beremai@
@a woman with manners of a man@|@bina mane@
@a word@|@bana@
@a word used in entreating@|@boñaga, búñaga@
@a work only half done@|@boriao@
@a yard@|@bwenauateaomata@
@a young cocoa-nut@|@up@
@a young coconut leaf when used in sorcery@|@bunna@
@a. awkward in throwing or spearing@|@baikabubu@
@a. habit of lying@|@banga ni kewe@
@a. knowing a great number of songs@|@banga ni kuna@
@a. pale like leaves of kanawa@|@ba ni kanawa@
@abakin aon@|@area@
@abdomen@|@bíroto, piloto@
@able to turn over as an infant@|@babaraki@
@abode of spirits@|@abaoti@
@abounding in atinai@|@atinai@
@abounding in awatai fish@|@awatai@
@abounding in babaeao@|@babaeao@
@abounding in beru@|@beruberu@
@abounding in boingo@|@boboingo@
@abounding in caves@|@babanganimatang@
@abounding in ikabata@|@ikabata@
@abounding in ikabunoti@|@ikabunoti@
@abounding in ripe coconut@|@beniben@
@abounding in shoals@|@bonouatibaba@
@abounding in skinny flakes@|@buiangeange@
@abounding in the leaves of the uri@|@babanuri@
@abounding in very young coconut trees@|@enene@
@about to come@|@kandroko (kan' roko)@
@above@|@i-ô, i eta, iéta, iéta, iô@
@acacia@|@aketia@
@accident@|@kabuanib'ai@
@accord@|@aitara raoi, bonnano@
@account book@|@te boki n taumwi@
@accustom@|@tataneiai@
@ache@|@maraki@
@acquit one's debt@|@kabara baena@
@act of@|@te kaberebere@
@Adam@|@atam@
@adder@|@atibi@
@adherents of idol@|@kain te boua n anti@
@admitting@|@karinrin@
@adolescent@|@pakouak@
@adzing out of an outrigger@|@tirirama@
@affirmation@|@aeng!@
@afloat@|@bîbus, bíbuti@
@afraid to handle@|@baikuikui@
@Africa@|@Aberika@
@after@|@imwiin, iramui, karamui, mui@
@after him@|@imwiina@
@after you@|@imwiim@
@afternoon@|@b'akantaai, tanimaeaontaai@
@again@|@manga, naba@
@against@|@akai, kai@
@agate@|@akete@
@aged person@|@tû@
@ages@|@rooro@
@agile hands@|@baikoa@
@Agnes@|@Akineti@
@agony@|@te buaka ni mate@
@agree@|@tî, tii@
@agricultural workers@|@taan ununiki@
@agriculture@|@unuuniki@
@ai aomata ra!@|@how real looking!@
@air@|@eea@
@airplane@|@waanikiba@
@akî roko muîu@|@none came after me@
@alabaster@|@arabata@
@alarm clock@|@auantai@
@Albert@|@Arobati@
@albicore@|@tiñámi@
@Alexander@|@Arekantara@
@alive@|@maiu@
@all@|@náko, onton@
@all Beru is there@|@e bane Beru@
@all eaten@|@apani in kanák@
@all kinds of fish taken in net@|@ika ni karaun@
@all large geckos@|@beru taburimai@
@all of you be there@|@baneakiningkami@
@all religions are the same@|@ti te bo te aro@
@all speaking together@|@beroro n taetae@
@alligator@|@ariketa@
@almond@|@amon@
@almost@|@guri, kuri@
@almug@|@arekam@
@aloes@|@aroe@
@alpaca@|@arebaka@
@alpha@|@areba@
@already@|@iákaman, kaman@
@alternate@|@batoara@
@altogether@|@kabane@
@altogether cracked@|@tiriou@
@always looking for better@|@banga n rino@
@ambidextrous person@|@angaua@
@Amelia@|@Ameria@
@amen@|@amene@
@America@|@Amerika@
@amethyst@|@ametuteto@
@among them@|@ibuakoia@
@among yourselves@|@e rûmi@
@amongst@|@i buakon@
@amongst us@|@i buakon te ... i buakora@
@an@|@te@
@an abandoned rejected person@|@te baki te aobaki@
@an agreeable odour@|@burungurungu@
@an altar@|@baonikarea, te bao ni karea@
@an approximate calculation@|@katautau@
@an army@|@te tanga ni buaka@
@an assembly@|@botaki@
@an axe@|@tânai@
@an eel-pot@|@û@
@an elevated platform@|@baonimoto@
@an exclamation of disgust@|@tioi@
@an eye-lash@|@buraenimata@
@an idiot@|@buraei@
@an imperfect or partial rainbow@|@bibitoi@
@an incantation over a child@|@bainataei@
@an instrument for looking@|@bai ni kataratara@
@an insulting exclamation of great contempt@|@bere@
@an isolated rock@|@atumotu@
@an odour of fish@|@bu ika@
@an old and dry cocoa-nut@|@tokotok@
@an unfaithful servant@|@buki kimoa@
@an unknown country situated north of Gilberts@|@bukiroro@
@an untractable brother in law@|@butikatengea@
@analogous@|@anara@
@ancestor@|@bakatibu@
@anchor@|@angka, edin-rô, edjin-rô, pehi piti, roo, roo@
@and@|@an, ao, áo, ma, o@
@and behold!@|@akea ba@
@and you?@|@Ao ngkoe@
@Andrew@|@Anterea@
@angel@|@anera@
@angel fish@|@ieniwa@
@angelfish@|@ikabingao@
@angry shark@|@arawa@
@animal@|@man@
@animals@|@maan@
@anise@|@aneto@
@Ann@|@Anna@
@anna@|@terra firma@
@annabai@|@screwpine@
@annan@|@more frequently used@
@annanea@|@believe in.@
@annanikai@|@bruised skin@
@annara@|@half dark@
@anne@|@right there@
@anneanea@|@to take care of@
@anni@|@under the coconut trees@
@ano@|@ball@
@anoa@|@beckon to@
@anoai@|@calm streak@
@anoaia@|@tie in a bow-knot@
@anoano@|@beckoning@
@anoanoa@|@frequentative of anoa@
@anoi@|@shark@
@anointing oil@|@tionraurau@
@another@|@tenana@
@anou@|@place where souls suffer@
@anra@|@to undermine@
@anrairake@|@species of taro@
@antai@|@who?@
@antari@|@bottom of the sea@
@antarira@|@distant relatives@
@antekirito@|@antichrist@
@antena@|@whose@
@anterobe@|@antelope@
@Anthony@|@Antonio@
@anti@|@ghost@
@anti mainiku@|@a species of taro@
@antibuaka@|@spirit or god@
@antimama@|@Crustacean@
@antina@|@deify@
@antingoa@|@to hold@
@antinoa@|@persistent@
@antinroa@|@to be attached@
@antinti@|@abounding in spirits@
@anto@|@ink@
@antouman@|@a species of taro@
@anua@|@replica of...@
@anus@|@ki@
@anuti@|@white wood@
@anvil@|@anibiri@
@any thing fragrant@|@îtu@
@ao@|@fish-line@
@aoa@|@hour@
@aoaine@|@under half of a fish@
@aoakina@|@propel as a canoe with a pole@
@aoao@|@propelling a canoe with a pole@
@aoaoka@|@frequentative of aoka@
@aoaoraki@|@frequentative of aoraki@
@aoaoria@|@frequentative of aoria@
@aoatata@|@beach above the high water@
@aobai@|@weather side@
@aobaia@|@to overcome@
@aobaki@|@debris@
@aobanabana@|@indolent looking@
@aobanebane@|@uncovered@
@aobari@|@surface slightly convex@
@aobuaka@|@rough@
@aoburamaiu@|@apparently obstinate@
@aoburamaiua@|@e@
@aoi@|@having dew.@
@aoka@|@deny or refuse a request@
@aokan@|@harmonium@
@aokangare@|@funny@
@aokati@|@August@
@aoki@|@hawk@
@aokua@|@arched@
@aomakuna@|@maintaining secrets@
@aomane@|@upper half of a fish@
@aomang@|@a species of fish@
@aomanni@|@surface@
@aomano@|@reserved@
@aomara@|@smooth@
@aomari@|@abudance@
@aomata@|@humanity, person@
@aomatana@|@to take someone for one's man@
@aomatata@|@clear@
@aomate@|@stunted@
@aomatoa@|@hard to break@
@aon@|@over@
@aon te ora@|@strand@
@aonaba@|@all lands@
@aonanga@|@carry on the shoulder@
@aoneinei@|@wet land@
@ape@|@ebe@
@apostle@|@ebaotere@
@Apostle@|@abotoro@
@apostrophe@|@ebatobi@
@appear@|@oti, ria@
@appearance@|@Tara@
@appetizing smell@|@boikangkang@
@applaud@|@to poupo@
@apple@|@abora@
@approach cautiously for the purpose of stealing@|@babai@
@April@|@eberi@
@arch@|@areti@
@Archangel@|@akanera@
@ardour@|@auakina@
@are there?@|@iai, iê@
@are ye friends?@|@kam aiiók?@
@are you displeased?@|@ko iribâk@
@are you done?@|@ñkam a tia?@
@Are you really from Abemama?@|@Boni kaain Abemama ngkoe?@
@are you sick? I am not@|@ko aoraki? I aki@
@are you sparing (saving) it?@|@ko tabuíia@
@areopagus@|@areiobako@
@arm@|@bai, pai, pei@
@armed to the teeth@|@babatinikai@
@armpit@|@anibai@
@army@|@taanga@
@aroia aomata@|@habits@
@aromatic plant@|@amomum@
@arrangement@|@baaire, baireakin@
@arresting the attention of females@|@butinaine@
@art thou done?@|@ko tîa@
@article for males@|@Nang@
@as a canoe@|@bakeke@
@as a child in the arms@|@babakoa@
@as a rope of fish line@|@barabara@
@as for vehicles and boats@|@buti@
@as leaves for thatch@|@boraua@
@as stories@|@buto@
@as the cover of a basket@|@ieta@
@as the eaves of a house@|@eba@
@as the sky@|@borengarenga@
@ascend@|@ararake, tam'arakea@
@ash@|@mannang@
@Asia@|@Aatia@
@aside@|@okoro@
@ask@|@kanhai@
@ask too late@|@butikara@
@assail a woman with reference to a man@|@bainimanea@
@assemble@|@bootaki@
@assembled in great numbers@|@bekoko@
@assembled in numbers@|@babaro, baro@
@assembly@|@bootaki@
@assembly building@|@m'aneaba@
@assist in a fight.@|@aonibai@
@asterisk@|@ateriti@
@at@|@gin, i, i, in, kin, n, ni, ni@
@at dance to attract attention@|@bungitarai@
@at night@|@ni bong@
@at Peru@|@i Peru@
@attach@|@kapaia-kepei@
@attend@|@iri@
@attitude of dancer imitating flight of wings@|@bai ni man@
@August@|@Aokati@
@Australia@|@Aotiteeria, aotiteria@
@awake@|@taratara@
@awkward@|@baibake, baira@
@axe@|@áñara, tanai@
@axis@|@akiti@
@babai suckers@|@atinikatoka@
@back@|@âgu, áku, aukou, buki, bûtara, nuuka@
@back of@|@bukin@
@back of head@|@kamo@
@backing@|@butikatoko@
@bad@|@be, buaakaka, buákaka, bubuaka, buréti, kino kino, tabobe@
@bad smell@|@bingao, poira@
@bad smelling@|@boboira@
@badly@|@baimanra@
@badly battered as a hand@|@bakatata@
@badly cooked oil@|@bukarongorongo@
@badly dressed@|@burabura n rang@
@bail out@|@anan@
@bailer@|@anima@
@bain aon te ora@|@shell fish@
@bait@|@abea@
@bait thrown out to allure fish@|@anea@
@baked@|@umunaki@
@balance@|@bai ni katine@
@bald@|@mara@
@bald head@|@atumara@
@ball@|@booro@
@ball bat@|@oreano@
@bamboo@|@kaibâba, takibaba@
@banana@|@b'anaanaa@
@bandage@|@kabae@
@bandaged@|@kabaeaki@
@bang!@|@beku!@
@bank@|@bangke@
@barbed spear@|@Tara, Tara@
@barbel of lobster@|@burae ni mata@
@barely visible in distance@|@buranira@
@barracuda@|@banunua, ikabauea@
@barred snapper@|@tinanmea@
@bars of canoe between taka and biro@|@bai n tinaniku@
@Bartholomew@|@B'arotorome@
@basaltic stones@|@buañ@
@base of ribs of canoe@|@boto n aiai@
@basin@|@beetin@
@basket@|@apéi, b'aene, baiene, banga n u, rab@
@bath@|@tebotebo@
@bathe@|@tebotebo@
@bathroom@|@um'an tabu@
@battlement@|@nono@
@baua@|@a bau rimwi@
@be afraid@|@auba@
@be at anchor@|@rooroo@
@be friends with@|@raonna, raoraona@
@be given@|@anganaki@
@be in a dying condition@|@aiwau@
@be in haste to depart@|@ientabakau@
@be like a fool@|@barebare n rang ni baba@
@be moidered by noise@|@ibetaninga@
@be present@|@roko@
@be quick@|@detáv@
@be quick!@|@kabirimakako@
@be superior@|@rine@
@be the first to seek reconciliation@|@ientumoa@
@be unemployed@|@aoria@
@beach@|@biga, bîka, bike, kabikôuea, pik@
@beads@|@bâmuti, takatau, tenikadaradara@
@beans@|@binti@
@beard@|@buai@
@bearing fruit@|@uaa@
@beat of@|@orean@
@beat wings@|@batibobo@
@beating benu to clean it@|@tiribenu@
@beating the air@|@baitanganga@
@Beatrix@|@Beatirike@
@beautiful@|@bakitoutou, tikiraoi@
@beautiful arms and elegance of dancers@|@baikakateke@
@beautiful leaf of tree@|@ba niko@
@because@|@b'a, bukina, ibukina@
@become@|@riki@
@bed@|@kainiwene@
@been cut.@|@koreaki@
@beet@|@bite@
@before@|@im'aain, m'aain, mâ, mân, mô, môn@
@before me@|@im'aaiu@
@before names of special canoes@|@aka@
@before yesterday@|@i main nanoa@
@before you.@|@im'aaim@
@begging@|@baua@
@begging done in an abject way@|@bakaonon@
@beginning of the good season@|@te moanibong@
@beginning to enlarge as in pregnancy@|@bea@
@beginning to ooze in thin trickle@|@bakatiti@
@behave well@|@ako@
@behind@|@akuun, i akun, idamui, inawiu, iramui, mai akun@
@behind (1)@|@ri akun, te...@
@being as a stranger@|@butimaewe@
@being extracted from coconut@|@katarinaki@
@being twins@|@bebeunta@
@beka@|@bika@
@belch@|@pani kana@
@believe@|@kakoauaa@
@bell@|@beero@
@belly@|@bíroto, piroto@
@bellying much as a sail@|@barukuruku@
@belonging to@|@rû@
@below@|@ana, i-â, i nano, iâ@
@bend@|@b'aoua@
@beneath@|@iân@
@benevolent@|@atataiaomata@
@Benjamin@|@Beniamina@
@bent@|@benono, bô, bû@
@bent in two@|@baoua@
@bent over under a heavy load@|@beneuanging@
@bereaved@|@buanibai@
@betray@|@kam'anea@
@better@|@riai@
@between@|@marenan@
@between them@|@marenaia@
@bewilderment@|@aotakaka@
@Bible@|@Baibara@
@bicycle@|@b'aatika@
@big@|@ab'aab'aki, búbura@
@big bonito fish@|@atuati@
@big liar@|@bara ni kewe@
@big sail@|@te ie ae tababa@
@billion@|@birion@
@billow@|@nuo@
@billycan@|@birikan@
@bind with a cord@|@bauta@
@bird@|@eitei, man. maen, mannikiba@
@birds of@|@manin@
@biscuit@|@boraeita@
@bishop@|@ebikobo@
@bite@|@tena@
@bite it@|@dinaia@
@bite you@|@tenaiko@
@bitter@|@nii@
@bitumen@|@bitumen@
@bivalvular shell@|@ibetao@
@bivalvular shell-fish@|@iborano@
@black@|@b'ata, b'áta, euto, kun, roró, roroo@
@black and threatening as an approaching squall@|@batongotongo@
@black beard@|@buai roro@
@black jack@|@aongo@
@black naped tern@|@akiaki@
@black shark@|@bakua@
@black stingray@|@atuaomata@
@black triggerfish@|@bubuaki@
@blackboard@|@burakibooti, burakiboti@
@bleeding@|@raraa@
@blind@|@egêgi, po mata@
@blond beard@|@buai ura@
@blood@|@rara@
@blood vessel@|@ia@
@blow@|@toouk@
@blow nose@|@ngako@
@blows which I give@|@ana bo@
@blubber@|@moéti@
@blue@|@b'ata, buru, mawaawa@
@blue-stone@|@buruton@
@blunt@|@bubu, kábub, kabubu@
@boa constrictor@|@boakantirikita@
@boat@|@booti@
@boat sail@|@ien te boti@
@body@|@rab'ata, rab'ata, rabáta@
@body undeveloped@|@tina ni kora@
@boil@|@kaburoa@
@boiled@|@bakanimtao, kaburoaki@
@bomb@|@boom@
@bone@|@teri@
@bone of the shoulder@|@rî-n'aña@
@bonito@|@kaneheke@
@bony buttocks@|@bukimake@
@bony fish@|@ikarii@
@book@|@boki@
@books@|@booki@
@border of a mat@|@ekira@
@born@|@bungiaki@
@born before term@|@burae n aomata@
@bosom@|@panipani, panupanu@
@both@|@uaia@
@bottle@|@tínaba@
@bottle made of a cocoa-nut@|@naip@
@bottom fallen out of basket@|@bakakurabe@
@bought@|@kabooaki@
@bowl@|@boora@
@box@|@babai n anti, baoki, pakenge@
@box made of matting@|@apiñi@
@boxing@|@itauu@
@boy@|@ataeinimane, ataeinimm'aane@
@braid@|@tokoran@
@branch@|@m'ánga@
@branch of@|@m'aangan@
@bread@|@kariki@
@breadfruit@|@mai, mehi@
@break@|@otouia@
@break a coconut into halfves@|@ibeua@
@break into many pieces@|@iberikia@
@break open as a coconut@|@ibea@
@breakers@|@nok@
@breakers on the reef@|@bauti@
@breakfast@|@amaraken te ingabong@
@breaking everything@|@baitabuariki@
@breaking up or open@|@ibeibe@
@breast@|@b'aáb'aa, mama, mama tetehi, pani pani, úb'a@
