@English@|@Parakan@
@be green (fruits)@|@akyr@
@Be here@|@Enog ka@
@be strong@|@akow@
@be!@|@aipa@
@beard@|@enywahaw@
@beat me@|@xenopo@
@beautiful@|@aro@
@become wormy laziness@|@mopoko@
@bee@|@átza, e'irow, exa, exi, ipiroxe'ir, koroto@
@bee Ipiroxe'ira cuts hair@|@Ipiroxe'ira omanahag awa@
@bee korotoehira makes house@|@Korotoehira ywype axoropewa@
@bees in the termites pricks@|@E'irowa ywa'owowa oxaroete@
@beetle@|@karemoho@
@Before yesterday@|@Ymawe raka kwexarewe@
@behind@|@eewe@
@belly@|@-akape, eweg@
@Beside our area@|@Xeka'a katy@
@big basket@|@manako@
@big boss@|@moropeteg@
@big head macaw@|@ararakyg@
@big head macaw is red@|@Ararakyga ipytogoho@
@big house@|@agaroho@
@Big Inambu@|@inamoxiraka'i@
@big language@|@kopokoho@
@big nestling@|@memyrere@
@big yam@|@karaxakwer@
@biguá-tinga@|@itarara@
@bird@|@iaixig, ma'ir, wyra@
@bite@|@kyy@
@black@|@on@
@black anu (kind of bird)@|@ano@
@black stone@|@itakyron@
@blind@|@e'apam, ehapam, epam@
@blood@|@-owy, owya@
@blue macaw@|@araron@
@boa@|@maxoho@
@body@|@ete@
@boiled corn@|@awaximymoni@
@bone@|@kiñ, kyg@
@bone of the leg@|@etymokyg.@
@bone of the monkey@|@ka'iakyg@
@book@|@ipinim@
@born@|@'an@
@boss@|@moroyro@
@bottle gourd@|@kox, koxapo'a@
@Bottle gourd is plantation@|@Toria remityma koxa@
@boy@|@apewe@
@Boy@|@Konomi'ia@
@boy defecated early morning@|@Konomia opoxi koemawy'ymamo@
@boy holed his own shinbone@|@Oaham wetymokyg konomia@
@boy made arrow of to kill bird@|@Konomia oapo inaxowywa@
@boy ran for close to his mom@|@konomia oxon ohya pyri@
@boy's beaten the head's side@|@Konomia oxenopo oatypypekaty@
@boy's seating inside of house@|@Oa'yi konomitoa pyri@
@bracelet@|@mo'yr@
@brain@|@apyta'om@
@branch@|@a'e, hexoi, inemy'ymta, Tyroa ihya ipohei, Ware'ia@
@branch shovel@|@Kwe rakokwe ma'e@
@breakdown@|@Taekyxohone wexa rakokwe@
@breast@|@-kom, kom@
@brightness@|@enyxig@
@bring me the hammer@|@Eron xeratokawa@
@bringing@|@eron-ta, erota@
@broad bean@|@komana@
@broken@|@open@
@broom@|@ety’apei’awa@
@brother of mine husband@|@Xemenareke'yra@
@brother-in-law@|@airo'yr, enyramen, menareke'yr, menareke'yr, menywyr@
@brown sugar@|@ehiraretom@
@brush of washing clothes@|@Tyroa pinawa haxaxia@
@bug-laziness@|@mapoko@
@bugs@|@maropa@
@burn@|@aweren@
@bush@|@ka@
@bush-hawk@|@kwanopew@
@buttocks@|@ko'a@
@caititu (a kind of roedent)@|@xiwa'a@
@came with the clothes shining@|@On wyro renyramo@
@camera@|@morexakaw@
@can@|@xa'e@
@canindé-macaw@|@arara kanine@
@canoe@|@y’ar@
@capibara@|@akapi'ywar@
@Capybara's seating in the edge@|@Akapi'ywara 'yaremeyware oina@
@cardeal-tangará (kind of bird)@|@atyrapytog@
@cari is inside of the stones@|@Imi'opetyma itapema pope aka@
@carrion@|@ma'enem@
@carry in the backs@|@moxepiran@
@cassava@|@maniag, maniag, maniagato, manyaga@
@cat of the bush@|@marakaxa@
@catarrh@|@ama'ypew@
@Causative Prepositional@|@-kan@
@center of the chest@|@arawe@
@centipede@|@karapi'o@
@chair@|@moapykaw@
@chameleon@|@enemy@
@Chico is excellent pilot@|@Chico y'ara rerowakareteete@
@Chico's woman is of protection@|@Imemyran Chico ratya@
@chief@|@awaoho@
@chief clothes@|@moroyroa ryroa@
@child@|@konomi@
@children@|@konomito@
@chin@|@enyw@
@cinnamon@|@etymakyg@
@claw@|@-koape@
@clock@|@mapykwahaw@
@clock is a time marker@|@Mapykwahawa ararexakawa@
@close past@|@kwehe@
@clown@|@ma'exiropapareteoho@
@coal@|@atapyni@
@cocoa@|@aka'oagaw@
@coconut@|@inata, inata'a, inata'a, inaxa, innate, innate, innate@
@coconut tree@|@inata'yw@
@coconut tree babassu@|@inata’yw-a@
@coconut's plantation of toria@|@Inata'a toria remityma@
@coffee@|@kape@
@comb@|@'awapokatotaw, awapokatotawa@
@conversation@|@kwawe'egaw@
@cook@|@mimoapykar@
@cooked@|@moapypyr@
@corn@|@arywe, awaxi@
@corn porridge@|@awaxikawoni@
@corn porridge is tastefull@|@hewenete awaxikawonia@
@corn's leaf@|@awaxia raw@
@corpse@|@erewer, etekwer@
@costume@|@amo-ma'e-apo-taw-a, amoma'eapotaw@
@cotton@|@amynyxo@
@country@|@kaa@
@cousin@|@enyr@
@cover the hole for me@|@e’a ywykwara xeohi@
@coxio of the bearded monkey@|@Koxia henywawoho@
@crab@|@oa@
@crab's in the hole of a stone@|@Oa itakwara ropi aka@
@creation@|@emimoxe'ow, motowitaw@
@crippled@|@kykanowa'e@
@crooked@|@agam, agaw, apapam, kanokano@
@crooked head@|@'agawoho@
@crutch@|@mine@
@cure@|@mokatotaw@
@curimatá is entering the river@|@Ipira warara oxonoho iema ropi@
@curse@|@awarawer@
@curved@|@kanapa, kaxowe@
@cutting@|@kyxitaw@
@dance hat@|@arawy@
@Daniel@|@I'agamwa'e@
@daughter@|@koxapa'i@
@daughter-in-law@|@memytatya@
@day@|@ara@
@dead person@|@away'ym@
@death@|@ewer, kyitaw@
@declarative@|@-aow@
@deer@|@maroxe, mixara, mixara@
@Deer bone@|@Mixarakyga@
@deer head@|@mixara iawakyga@
@departure@|@aatawa@
@descent@|@exawe'yni@
@dies@|@koaiwoma@
@Difuso@|@-imo@
@dirty@|@ety'a@
@disease@|@ma'ea'y@
@distant@|@kwe@
@distant past@|@rakokwe@
@do labial hole@|@emekwamomog@
@Do you know the thrush bird?@|@Pekwaham pa awixa xe'egara?@
@dog@|@mymaw, xawar@
@domestic cat@|@marakaxaron@
@Done of straw@|@Pinawa po@
@Don't clean@|@Ehyweme@
@don't do it@|@eapoeme, peapoeme@
@don't do it again@|@Peapo xokwe rapo ma'e einon@
@don't have done eat@|@nahemi'oihiete@
@Don't make again this@|@Nepeapoi xokwen eomia@
@Don't make that@|@eapoeme@
@Don't steel more money@|@Pemimeme amote tamatare goa hi@
@doubt@|@rimo@
@Dressed a clothes in him@|@Tyroa omonem ixope@
@dribble@|@eny@
@drugstore@|@mo'agaryro@
@drum@|@motok@
@drunk@|@ka'oetewa'e@
@dry wood@|@akoapin@
@e@|@your own one@
@ear@|@-nami, apy@
@earth@|@yvy@
@East@|@araimaw@
@edge@|@emeyware@
@edge of the river is smelly@|@'Ywy'oma inemete@
@egg@|@opi'a@
@embaúba (kind of fruit)@|@ama'yw, amayw@
@emery@|@itaky@
@enemy@|@akwaw@
@enough@|@he'e, hy’y, hyy@
@Enough!; Leave a little for me@|@He'e erenoemawapo xeohi@
@entrance@|@ketaw@
@eremit@|@akawamoxepe@
@Everything removes for you@|@Eno'emam aoxexowe@
@exit@|@erohem@
@exortative@|@ke@
@expression of admiration@|@maano@
@eye@|@-e'a@
@face@|@atypy@
@fast@|@kowei@
@fat@|@ikawohoa, kawoho, kyraoho@
@father@|@ana, miaga@
@father of somebody@|@towa@
@father-in-law@|@atyow, menarow, menarow, menow@
@feather@|@aw@
@feces@|@epoxy@
@ferment@|@momarapaw@
@fern@|@hamamax@
@few@|@pipi@
@fine@|@emo'i@
@finger@|@koakyg, kotoni@
@finished@|@opam@
@fire@|@ata, tata@
@fire bee@|@tata’yr-a@
@fire fan@|@atapekwaw@
@first@|@hypy, myn@
@first woman@|@koxoypy@
@firstborn of woman@|@memyrypy@
@fish@|@akara, awaron, imi'opetym, imi'opetym, imi'opetym, ipira, ipirapoko@
@fish (1)@|@ita'ea, koaiwom, koaiwom, koropite, maima, maima, maima, manowe, manowe, mao'o@
@fish dog@|@hoimoko@
@fish duck doesn't have tooth@|@Ipiraximokoa nahoihi heme xowe@
@fish is inside of the stone@|@Ita'ea itakwara ropi aka@
@fish piau@|@ipixaw@
@fish sarapó's alone in the mud@|@Itowirawa tyxoga wyri aka@
@fish sp@|@moromoro@
@fishhook@|@ita'oni@
@flashlight@|@kanapa, kanyni@
@flashlight lamp@|@e'ayni@
@flat@|@hym@
@flour@|@o'i, o'ia@
@flour of cassava peel@|@manime@
@flour's divided to the middle@|@O'ia oaegam haxei@
@flu@|@amyw@
@fly@|@merow@
@fly blowfly@|@meropew@
@focus@|@ke@
@follower@|@eheweakawa'e@
@fontanel@|@apyto@
@food@|@emi'o, ma'exiroa@
@foot@|@-py, my@
@for here@|@ka ropi@
@For here@|@kakaty@
@for him to see@|@toexag@
@for mistake@|@kyyxipa@
@for their own mothers also@|@pexehyke we.@
@for you@|@neope@
@forehead@|@eekwar, ekwar@
@forgetfulness@|@eakaxym@
@fork@|@itakoipa@
@former student@|@emimo'ekwer@
@former-boss@|@moroyrokwer@
@former-student@|@hemimo’ekwer-a@
@former-student of the noIndian@|@Torikoxoa remimo'ekwera@
@four@|@irogatoete@
@frog@|@aperew@
@fruit@|@kwapohywi@
@frustrative@|@pane@
@function of a person@|@-ar@
@future betrayal@|@exagokatawom@
@future death@|@kyinom@
@future food@|@emi'orom@
@future former-mother@|@hykwerom@
@future mother@|@hykerom@
@gerund@|@-ata@
@get out of me@|@ekwa xeohi@
@Gino has machinephotographic@|@Piwe'a hekai morexakawa.@
@glance@|@ma'e@
@glass@|@torixa'e-@
@glass broke in pieces@|@Ika'ika'i torixa'e@
@glasses@|@e'aopaw@
@gluttonous@|@e'onaroho@
@go@|@aha, ataw@
@Go does well@|@Ere eapo kato@
@goat@|@mixaragaw@
@goatee@|@enywaw@
@good@|@kato, ma'earowehe@
@Good day for you@|@Ko'emame neope@
@gossiper@|@kymytog@
@granddaughter@|@emiariro@
@grandfather@|@amoni@
@grandmother@|@amoige@
@grandson@|@emomino@
@grass@|@amarope'aw@
@grating@|@kytykawa@
@grave@|@emitym@
@gravel@|@ita'i@
@grease@|@kam@
@great true boss@|@live-yro-ho-ete@
@green corn@|@awaxikyr@
@green corn is good to be eaten@|@awaxikyra ikatoete toro'one@
@green gecko eats cricket@|@Ararapia ykyxoa o'o@
@green little parrot@|@axoro@
@green lizard@|@ararapi@
@grinder@|@kytykaw@
@guava@|@koiaw@
@guitar@|@emimoxe'egar@
@had plowed@|@Ywakwara ropi@
@hair@|@'aw@
@hair cut machine@|@'awamanakar@
@hairy@|@'awoho@
@half@|@'apyter, axexo, myter@
@hammer@|@atokaw@
@hand@|@-pa@
@hard-working@|@ma'eapotar@
@hat@|@akygyro, arapexig@
@have feather of me@|@E'og xerehe; i'i@
@hawk@|@kwano, kwanopion, mykoaxig@
@hawk-of-head-gray@|@kwano'i.@
@hawk-old@|@kwanopytog@
@hawk-real@|@kwanoete@
@hawk's feather@|@Kwanoa rawa@
@he@|@a-, o-, o-, w-@
@He asked a lot@|@Omome'o xokwexokwen@
@He ate venison@|@O'o ma'ea'a had mixed ra'a@
@he broke the coco with the axe@|@inata oka xy’a po@
@he broke the neck@|@open iawakyga@
@He broke the own knee@|@Wexamewa omopen@
@he called the fathar with you@|@Ana neopi i'i@
@He cut a lot of cassava@|@Omanaag maniaga heta@
@He cut the own cinnamon@|@Oxekymowai wetymakygime@
@he cut us@|@a’e orekyxi@
@He did me to erect truly@|@A'e xemopo'ogatoete@
@he didn't go down@|@oxym@
@He didn't say@|@I'i hy'ym@
@He diffused hisown mat@|@Oapakwan emiaxiga@
@He eats in the afternoon@|@Karowamo ikaroi@
@He eats plant when he borned@|@O'o ka'a opapaka@
@He escaped@|@Aha kotoete@
@He gave coin it's little value@|@Itapema omana hepyytywa'e@
@he gave shorts for me@|@omana koairoa xeope@
@he gave your shirt to my bro@|@Omana neapeyroa xekywyra@
@he goes in front@|@aha tenone@
@he goes now@|@aharame@
@he got up something@|@opo’om@
@he had the hair burned@|@oawerem i'awa@
@he has power@|@hakowa@
@He heard the conversation@|@Oenom ikwawe'egawa@
@He is a cook@|@Imimoapykara@
@he is a tapir killer@|@a’e tapi’ira xokatarete@
@he is good@|@ikato@
@He is my transformer@|@Xegoamokatotara@
@he is not good@|@naikatoi@
@He is pilot@|@Herowakara@
@He is the loader@|@Herohara@
@He is warming up water@|@Omopypon 'ya@
@He killed ten trairões (fish)@|@He'yxowe ixokai tare'yra@
@He knelt down@|@Ikopyta hekoxa@
@He landed at your house@|@Ohyka neawyripe@
@He leaves fast@|@Kowei ekwa@
@He looked at the hill@|@Oma'e ywytyra@
@he looked to the hill@|@oma'e ywytyra pe@
@he made the bank@|@Oapo tenawa@
@he made to lift him@|@omopo'om@
@He made to see it well@|@Omoma'e imokato@
@He piled up it@|@A'e omoapyterakwa@
@He played@|@Omaman hatya@
@he realy said the truth@|@a'ete i'i@
@He ripened@|@A'e  omoapym@
@He rocked my son for to sleep@|@Omoxaximog token xememyra  oxa@
@he rose@|@oxepo’om@
@he said@|@i'i@
@he said for you@|@Eewykai i'i neope@
@he said hardly@|@i'ioho@
@He salted the fish@|@Ipira omoxokyrete@
@He shook yours own clothes@|@Imowawag otyroa@
@he sings@|@oxe'egan@
@he sings lay down@|@oxe'egan o'apa@
@he slept first@|@oken@
@He smells well@|@Ipihe oeton@
@He sobs@|@Iaxag@
@He spoke for the loader@|@Omome'o heraatara@
@He spoke ugly@|@I'i agam@
@he takes@|@heraha@
@He takes a pleasant perfume@|@Xemopi'etawa hekwenwa'e heraha@
@He takes him to sleep@|@Eroken heraha, Eroken heraha@
@he talked about me@|@oporogeta xerehe@
@He took care of himself@|@Oxemoryryi oxeehe.@
@he tore our shirts@|@a’e omararag oreapeiroa@
@he turned off the motor@|@Omoxe'enag motoa@
@he waited@|@haro aka@
@He waited his future betrayal@|@Hexagokatawoma haro aka@
@he walks@|@oata@
@he warmed up him@|@owakom@
@He was inside of house@|@Itoni oawyripe@
@He was moved away from me@|@Koxete i'oni xeohi@
@He was with him@|@Ihai hopi@
@he went by the river@|@aha paranoa ropi@
@He went for together@|@ikatoi'ywa'e pyri@
@He went to hunt a tapir@|@Aha oata toxokane tapi'ira@
@he went to there@|@aha kwekaty@
@He will be like this my niece@|@Nonohopota wetekoxan.@
@He will be one great same boss@|@Imoroyrohoetepota@
@He will kill deer to eat@|@oxoka wemi'oromamo xowe i'o@
@He will seed côco of the bush@|@Oayixagta ware'ia@
@head@|@'akwer, 'akwer, akyg, akyñ@
@height@|@-poko@
@her forehead shone@|@Heekwara heny@
@her son is sick@|@Hahyete imemyra ixohi@
@her swollen cheek@|@Hatypywowon@
@here is there@|@eipo, oga@
@Here it is my plantation@|@xeremityma@
@Here that we were@|@Ome xaka@
@heron@|@wyraxiga@
@he's a treacherous@|@Hexagokahara@
@He's to be there at the house@|@Iawyrimo ihai@
@He's waiting the deer eats@|@oaaro mixara remi'oa@
@hill@|@Moapyterakwa@
@hip@|@anagopy, ko'ake@
@Hiratoa is glutton@|@Hiratoa te'onarohoete@
@Hiratoa is strong@|@Hatoete Hiratoa@
@his bank@|@Imoapykawa@
@his blood@|@h-owy-@
@His corpse@|@Herewera@
@his ears@|@iapya@
@His father is medicine man@|@Imiaga moromopo'omara@
@his follower is strong@|@Hatoete heheweakawa'e@
@his food is at the pot@|@hemi'oa xa'e pope@
@His forehead is shining@|@Hekwa kaworoho@
@his liver aches@|@ipy’a ha’y@
@his son@|@ha'yra@
@his stomach@|@Hawa@
@history@|@morogeta, morogetataw@
@hole@|@kwar@
@hole in the ear@|@namikwar@
@homosexual@|@mixa'ag@
@honey@|@akoxe'ir, axoropew, e'iaro, e'iaro, e'iaro, e'iaro, e'ir, e'ir, e'ir, e'iraxow, e'iraxow, e'iwax, e'yapyni@
@honey (1)@|@kopixe'ir, kwaxe'ir@
@honey is inside of the wood@|@E'iaroa ywypype itoi@
@honey left behind is as water@|@E'iwaxa kopi'ia pope imoi@
@hope@|@moroaxawer@
@horn@|@atowaxi@
@hornet@|@kapew, kaw@
@horsefly@|@mytog@
@hose@|@mo'aw@
@hot@|@hakom@
@house@|@ag, awyr@
@house's owner@|@agaxar@
@how much?@|@marani@
@human hair@|@awapiner-a@
@hummingbird@|@wainomya@
@hunt@|@emi'ar@
@hunt meat@|@ma'ea'a@
@husband@|@men@
@I@|@a-, a-, we-, wet-, xe@
@I am hard-working@|@Ma'eapotara ixe@
@I am not sad@|@Nahehaiteihi@
@I am strong@|@xerakom@
@I am tall@|@xepoko@
@I arrived@|@ixe axan@
@I arrived for close to you@|@axan nepyri@
@I beat you@|@anopo@
@I brought in mine backs@|@Amoxepirata herota weapei aron@
@I came@|@axan@
@I came to your house@|@axan neawyripe, axan nepyri@
@I caught things@|@Napyhygi amoa@
@I cooked it for you@|@Ixe amoapyg  tere'o@
@I covered the hole@|@a’a ywykwara@
@I covered the hole by me@|@a'a ywykwara wexeohi@
@I create chicken@|@Omoxehom wyrapaxe@
@I didn't catch land turtle@|@napyhygihi xaoxia@
@I didn't kill the chicken@|@wyrapaxe naxokarihi@
@I didn't say@|@a'ehy'ym@
@I didn't went@|@nahai@
@I dried the cassava@|@Ixe amotowyn maniaga@
@I dropped you@|@Ixe  oromo'an@
@I eat porridge; I'll be happy@|@Kawonia a'oramopota xerorywete@
@I gave him medicine for Karaxa@|@Amana  mo'aga Karaxa@
@I go there in front; formerly@|@Rakokwe ixe peepota aha@
@I go to his house@|@aha haga pe@
@I go to roast paca@|@Amoka'epota Karowara@
@I go with Piwe@|@aha Piwe’a ropi@
@I got out@|@hexaka aha@
@I hole labial@|@emekwar@
@I holed the ball@|@Amoomog ywa@
@I left; seeing him@|@hexaka aha@
@I liked a lot what you gave me@|@Apotarete neremimora@
@I lost my knife@|@Akaxym xeky'e@
@I made flour@|@aapo o'ia@
@I made to enter toria@|@Amoge toria@
@I planted the foot of pepper@|@Ky'ynia ywa atym@
@I raised mine@|@manakoa kweraha@
@I ran; tired and fallen@|@wekani'oramo axon weata@
@I roasted tapir in the fire@|@Amoxypam tapi'ira tata@
@I said@|@a'e@
@I saw his entrance@|@Aixag iketawa@
@I saw my own mother@|@Aexag wehya@
@I saw our mothers@|@Aexag xerehyke@
@I saw sniffing of the dog@|@Aixag xawara xexopiawa@
@I saw the boy at the river@|@aexag konomia paranome@
@I saw you@|@oroexag@
@I saw you (pl)@|@ixe penexag@
@I saw you arriving at my house@|@aexag weawyripe neroramo@
@I saw you when I arrieved@|@Aexagawa awa wetota@
@I see very well@|@Aexakatoete@
@I sing@|@axe'egan@
@I sleep@|@aken@
@I think it is fat@|@ha'a'o rimo@
@I think this is the place@|@awixe xawa@
@I told history for the father@|@amome’o morogeta ana pe@
@I treated your wound@|@Ixe amoka'e nepirona@
@I walk@|@weata@
@I walked around@|@Aha aatao@
@I want to sleep@|@Apotan weken  tawa@
@I went down boy of me@|@Amoxym  konomia wexeohi@
@I went fast@|@koweikowei aha@
@I went to Apyterewa@|@aha apyterewa pyri@
@I will scream@|@xera'emta@
@I will take a bath because I am smelly@|@Ixe axahog ta xekaxiremete@
@I will tie my own net@|@Aexipota wetopawa@
@I will wander everything@|@Amoronta xoporemo@
@I will water@|@Amohomohog ta@
@i...@|@i...@
@Iatora brought bean seed@|@Pexao ra'ynia weron Iatora@
@Ikoreria is low@|@Iapo'a pipi Ikoreria@
@ilium@|@amakyg@
@I'll taste it@|@agata hekwenete@
@I'm going to the diver's house@|@Aha goamoxepominara pyri@
@I'm hungry@|@xete’o@
@I'm really sick@|@ixe xeawaipawete@
@in my direction@|@xe ope katy@
@in summer there is no water@|@Aripe 'ya nama'etywihi@
@in the afternoon@|@karowamo@
@in the daytime@|@arimo@
@in the direction of@|@katy@
@in the island has inajazeiro@|@Inaxa'ywa heta 'yarapypa'ome.@
@in the morning@|@arimo, ko’emamo@
@in the night time@|@ypytonimo@
@In the winter has diseases@|@Amynime heta ma'ea'ya@
@in this place@|@awixe@
@inabu-chicken@|@araka'ika@
@inajazeiro tree@|@inaxa'yw@
@inambu only peeps at night@|@Inamoxiraka'ia ypytonimo@
@Inamoa is son-in-law of Anywa@|@Inamoa Anywa raxywena@
@ingá tree@|@iga@
@inhambu@|@inamo@
@inhambu's the true big inhambu@|@Inamoeteohoa eimi ixytaoho@
@Insect that exhales badly smel@|@meoa@
@insect the burns eye@|@oporo'eamanan@
@intense pain@|@karowar@
@interrogative@|@pa@
@intoxicated@|@ewaewag, ka'o@
@Iori was upside down@|@Wekwarimo itoi Iori@
@Iotara's descendants@|@Iatora remominowa'e@
@Ipatinga@|@ipaxiga@
@is a basket type@|@Manakoa@
@is born inside of the coconut@|@Ware'ia@
@is dehydrated@|@ikawepampi, Xokarowara@
@Is it that what you tell me?!@|@Eiporamo xekwawe'eg ipe@
@is not afraid of me@|@Ekyyxeeme xeohi@
@Is that?!@|@eiporamo@
@Is this one?@|@'a xawa@
@Is this our own smell@|@aipa rike xenerawi'e xowe xepe@
@island@|@hapypa'o@
@it deviates for here@|@Kakaty eykewe'eg@
@it files annoying@|@itakywaw@
@it goes@|@eha@
@it goes first@|@A'e hypyrame@
@it has a lot of besourinho@|@maropa xehapinawa@
@it has gravel in the river@|@Ita'ia paranome ropi@
@it has stones in the river@|@Hetaete itatywa paranoa pope@
@it has streets asphalted in Belém@|@Hetaete ita'ywa Werem pyri@
@it is beautiful@|@aro@
@it is dehydrated@|@kawepampi@
@it is excellent@|@katoete@
@it is here@|@ogare@
@it is his bank@|@Iapykawa@
@it is not beautiful@|@naiaroiete@
@It is not beautiful@|@Naiaroi@
@it is that here@|@eowyni@
@it is thin@|@kawepam@
@It is very fat@|@ikawohoa@
@it Rounds the mud piece@|@Emoakypo'a xa'eoma@
@it shuts up@|@epoeme@
@it was@|@-kwer@
@It was honey wax@|@Ehira retowera@
@It will rain@|@Okynta  amyna@
@Itainya accelerates the motor@|@Itainya omoxemamarete motoa@
@Itainya works a lot for us@|@Itainya oma'eapoete aka oreope@
@It's like this; He said for us@|@Einon; I'i oreope..@
@jack@|@koroamyni@
@jacu-of-crack@|@axig@
@jail@|@akwapetymaw@
@Japu (bird sp)@|@kararaore@
@John's moustache is big@|@Ixytahoa John amotahawa@
@Jorge is seeing the microscope@|@oexag ro'ya rexakawa kaare@
@Kaiapó scrapes the head@|@Kaiapó oxeapyterag i'apinera@
@Kaina is pot bellied@|@Kaina hewegohoa@
@Kaina; son of Korikoa; is miss@|@Korikoa oexaga'om wa'yra Kaina@
@Kaoria sucks@|@Okamo Kaori@
@Karamoa has a hair cutter@|@Karamoa i'awamanakaramo hekai@
@Karamoa is hair cutter@|@Karamoa i'awamanakara@
@Karamoa's belly recovered@|@Karamoa py'a oka'eete@
@Karara's older sister of Peta@|@Koxariwa Petaga rykerymyna@
@Kare crooked his knife@|@Kare omoapan ky'e'ia@
@keep all sit@|@Peapypam@
@killer@|@moropiarer, morópiaréra, oxokawa’e@
@kind of fish@|@ipiraxig/, ipiraximoko@
@kind of monkey@|@akyky@
@kindness@|@katotaw@
@kneader@|@motawataw@
@knee@|@ekoxa, examew, kopyt@
@knife@|@ky'e'i@
@knowledge@|@kwaham@
@Koatinemo-Place name@|@kwatinemo@
@Kokia  created dog@|@Kokia omoxe'om mymawa@
@Koria has goatee@|@Koria weka henywawa@
@Koria increased the marries@|@Koria tomoxyta waga@
@Korona was to fish@|@Aha ipirare Korona@
@Koxaita is almost blind@|@Koxaita hepam werehe@
@Koxaita is old@|@Koxaita ihyohoa@
@Koxaita makes rattle@|@Koxaita oapo imoxinika@
@Koxapara sifts the flour@|@Koxapara omowopam o'ia@
@language@|@ko@
@large knife@|@ky'e@
@lay down@|@'apaw@
@leaf@|@ako, ka'a@
@Leave@|@Eha xeope, ekwa@
@leave that I remove the wood@|@emei tamonexy'yma ywa.@
@leech@|@ewo'ipew@
@leg@|@etymo@
@lemon@|@axy'ymwa'e@
@lemon is bitter@|@rawete haxy'ym wa'e@
@let us stay together@|@Aoxeoho oro'e ixope@
@let's go@|@araha@
@let's hunt in this area@|@Xenexata xereha xereka'ape@
@light@|@ataeny, enywa'e, kanyni, naipohoi@
@Light the fire@|@Emoxapo'o tata@
@lightning@|@epixam@
@like this@|@einon, non@
@Like this not@|@Einoneme@
@line@|@mowenim@
@lips@|@eme, hene@
@liver@|@-py'a@
@loader@|@eraatar, ero-have-ar, erohar@
@long@|@poko@
@look@|@exag@
@look here@|@ema’e kape@
@loop@|@kopy@
@lot of people were seated@|@He'yi goa henoina tokaro@
@louse@|@'awakyw, kyw, nymykyron@
@Louse scratches a lot@|@Inymykyrona hemonete@
@lover@|@motatar@
@low@|@apo'a pipi, mewei@
@low price of the clothes@|@Tyroa repyytyma@
@Lula is the great boss@|@Lula moropetegohoete@
@macaw@|@arar, arara@
@macaw canindé is yellow@|@Itarawewaxiga arara kanine@
@ma'exiroa had spoiled@|@Porixagawa pykara@
@major@|@Tinamus@
@make a circle there@|@earowag rimo@
@make fatter@|@a'a'o@
@male tapir@|@arakyta@
@man@|@akoma'e, akoma'e@
@mango@|@mag@
@Manoel Lucas planted coconut@|@Tamanowa pyo'ao otym inata'ywa@
@man's daughter@|@axyr@
@man's more-old sister@|@enyrymyn@
@many@|@he'yi@
@Marabá city@|@marawa@
