@English@|@Choctaw@
@sunrise@|@hashi kocha@
@sunset@|@hashi okattola@
@surely@|@Alhi@
@surface@|@apaknali@
@sweet@|@champuli, champuli@
@table@|@aiimpa@
@take@|@ishi@
@talk@|@anumpoli@
@tall@|@chaha@
@tasty@|@champuli@
@ten@|@pokkoli@
@thank you@|@yakoke, yokoke@
@that@|@mA, mat, yvmma@
@there@|@mA, yvmma@
@there is...(something alive)@|@anta@
@thick@|@sokko@
@thin; skinny@|@chunna@
@think about@|@anukfilli@
@thirteen@|@awah tochchina, awah tuchena@
@thirty@|@pokkoli tochchina@
@thirty-four@|@pokkolitochchina akohcha oshta@
@this@|@ilvppa, pA@
@this summer@|@himmak toffa@
@this year@|@himmak afammi@
@thither@|@pit@
@thought@|@anukfila@
@three@|@tochchina, tuchena@
@three hundred@|@talhipa tochchina@
@Thursday@|@Lhasti@
@tired@|@tikabi, tikahbi@
@to act@|@akaniohmi@
@to approve@|@ahnichi@
@to arrive here@|@aivla, vla@
@to ask for@|@asilhha@
@to be arriving there@|@onna@
@to be bigger@|@chinto@
@to be boiled@|@honni@
@to be closed@|@akama@
@to be cutting@|@tambli@
@to be fast@|@palhki@
@to be finished@|@taha@
@to be full@|@alota@
@to be hidden@|@aluma@
@to be in my pocket@|@am-Alhto@
@to be inside@|@fokka@
@to be kicking@|@hambli@
@to be loated@|@anta@
@to be located@|@anta@
@to be made from@|@atoba, atoba@
@to be outside@|@kochcha@
@to be the biggest@|@chieto@
@to be troubled@|@ataklama@
@to beg@|@asilhha@
@to begin to run@|@balilit ishtia@
@to beseech@|@asilhha@
@to bind up@|@afohommi@
@to bother (group 2)@|@ataklammi@
@to break@|@kobaffi@
@to bring about@|@akaniohmi@
@to bury@|@hoppi@
@to cease@|@issa@
@to close something@|@akvmmi@
@to come@|@minti@
@to come (does not imply arrival)@|@MIti@
@to come here@|@vla@
@to come here (plural)@|@aivla@
@to cut in two@|@tabli@
@to daub@|@apolusli@
@to decide@|@apesa@
@to dewll@|@ahanta@
@to do@|@akaniohmi@
@to do well@|@achukmali@
@to drink@|@ishko@
@to eat@|@vpa@
@to eat a meal; to dine@|@impa@
@to exist@|@vtta@
@to fill (something)@|@alotali@
@to find@|@ahayuchi, ahochi@
@to fix@|@apoksia@
@to fly@|@hika@
@to fold@|@polhlhi@
@to give thanks@|@ayukpache@
@to go@|@iya@
@to hear@|@haklo@
@to hide (something) at@|@aluhmi@
@to hire@|@tohno@
@to hit@|@isso@
@to judge@|@apesa@
@to kick@|@habli, halhlhi@
@to kill@|@abi, vbi@
@to kindle@|@oti@
@to like (something)@|@achukmahni@
@to like something@|@ayukpAchi@
@to listen to@|@hvko@
@to look after@|@apesachi@
@to look at@|@pIsa; pisa@
@to look carefully at@|@achukmat pisa@
@to make a ruling@|@apesa@
@to measure@|@apesa@
@to meet@|@afama@
@to need (group 2)@|@bvnna@
@to open (door)@|@tiwwi@
@to oversee@|@apesachi@
@to pare@|@loffi@
@to patch@|@akalli@
@to pay@|@atobbi@
@to petition@|@asilhha@
@to play (somewhere)@|@awashoha@
@to pour into@|@vni@
@to praise@|@ayukpache@
@to protect@|@atukkuchi@
@to repair@|@apoksia@
@to respect@|@ahnichi@
@to return there@|@ona@
@to say (direct quote)@|@achi@
@to see@|@pIsa, pIsa; pisa@
@to settle@|@aioklvchi@
@to sew@|@achunli@
@to shield@|@atukkuchi@
@to smear@|@apolusli@
@to spank@|@fammi@
@to sprout@|@offo@
@to stay around in one place@|@vttat Aya@
@to take from@|@akuchi@
@to take out@|@akuchi@
@to tend@|@apesachi@
@to trouble@|@ataklammi@
@to try to eat@|@vpat pisa@
@to turn around@|@afololichi@
@to walk@|@nowa@
@to want@|@bvnna@
@to wish for@|@aiahni@
@today@|@himmak nittak@
@tomorrow (in the morning)@|@onnaha@
@tonight@|@himmak ninak@
@toward (the speaker)@|@auet@
@town@|@tamaha, tvmaha@
@train@|@pini@
@travel along@|@Aya@
@tree@|@iti@
@tree trunk@|@api@
@true@|@Alhi@
@truly@|@Alhi@
@Tuesday@|@Tosti@
@turkey@|@akAk chaha, cholokloha@
@turn back@|@afololichi@
@twelve@|@awah toklo, awah tuklo@
@twenty@|@pokkoli toklo@
@twenty-one@|@pokkoli toklo akohcha chaffa@
@twilight@|@oklhilinchi@
@two@|@toklo, tuklo@
@two hundred@|@talhipa toklo@
@two thousand@|@talhipa sipokni toklo@
@understand (group 2)@|@anukfOka@
@up@|@vba@
@venison@|@issi nipi@
@very many@|@lAwa@
@very much@|@aiAlhi@
@visit; come see@|@ant pisa@
@walk together@|@itanowat ia, itanowat ita@
@wall@|@aboha isht holita@
@warm@|@libisha@
@warm place@|@ailibesha@
@wash@|@achefa@
@water@|@oka@
@way@|@aiyamohmi@
@Wednesday@|@Winsti@
@week@|@nittak hollo@
@wet@|@lvcha@
@what?@|@nanta?@
@wheat flour@|@onush bota@
@where?@|@katimma?@
@white@|@tohbi@
@White@|@Nahollo@
@who?@|@kata?@
@wide@|@awata, patha@
@window@|@okhisushi@
@winter (sunfall)@|@hashtola@
@wish for@|@ahma@
@within@|@anOkaka@
@wives of father's relatives@|@hvshki@
@wolf@|@nashoba@
@woman@|@ohoyo@
@woman's father-in-law@|@amafo@
@woman's mother-in-law@|@sapokni@
@wood@|@iti@
@woods@|@KOwi@
@word@|@anumpa@
@workshop@|@atoksvli@
@wrap around@|@afohommi@
@year@|@afammi, afvmmi@
@yellow@|@lakna, lvkna@
@yes@|@A@
@yesterday@|@pilash, pilashash@
@young@|@himitta@

