@English@|@Old English@
@abhor?@|@wiþreotan@
@abide@|@abidan, anbidian, sittan, standan@
@abide continuously@|@þurhwunian@
@abiding@|@eardfæst@
@abiding place@|@biding@
@ability@|@cræft, gemet, god, mæþ, mæþ, miht, strengþ, strengu, þegnscipe, þrymm@
@abject@|@hean, heanlic, hnag, hnag@
@abjectly@|@niþlice@
@abjure@|@ofswerian, oþswerian@
@abjure (gen)@|@oþsacan@
@ablative@|@ætbredendlic@
@able@|@leoðufæst, maga, mihtig, strang, wræst@
@able (be physically)@|@magan@
@able to go@|@fere@
@able to see at night@|@nihteage@
@able to speak@|@wordsprecende@
@able to swim@|@swimmendlic@
@able-bodied@|@weorcwyrðe@
@ablution@|@wæsc, wæscing@
@ably@|@gesceaplice@
@abnormally strong desire@|@lustgeornnes@
@abode@|@biding, wic@
@abode in a grove@|@herheard@
@abode of serpents@|@wyrmgeard@
@abode?@|@gefeald@
@abolish@|@afyllan, alecgan, fordilgian@
@abominable@|@awyrgedlic, awyrgedlic, gehyspendlic, sliðelic@
@abomination@|@onscunung, scunung@
@abomination?@|@sliðnes@
@abortion@|@awegaworpnes, beorðorcwelm, misbyrd@
@abortive@|@misboren@
@abound@|@genyhtsumian, manigfealdan, weligian@
@abound in@|@tyddrian@
@abounding@|@nyhtsum, til@
@about@|@abutan, abutan, be, be, be, bi, forhwæga, forneah, huru, hwega, in, neah, nealice, nean, of, ofer, onbutan, ymb, ymb, ymbe, ymbutan@
@about that place@|@þærabutan@
@about to be sent (on a journey)@|@sendlic@
@about to die@|@deadlic, sweltendlic@
@above@|@abufan, bufan, bufan, bufan, foran to, ofer, ofer, ofer, onufan, onuppan, toforan, uferra, wiþufan, wiþuppon@
@above (at above)@|@ufan, uppe@
@above (from above)@|@uppan@
@above all@|@onforeweardum@
@above or before written@|@forewriten@
@above the air@|@oferlyftlic@
@above-mentioned@|@bufancweden, foresprecen@
@abreast of@|@onemn@
@abroad@|@langwege, ute@
@abroad (from)@|@utanbordes@
@abrogate@|@lytlian@
@abrupt@|@sticol@
@abscess@|@gegaderednes, toborstennes@
@absence@|@æfweardnes, forlætennes, miss@
@absent@|@æfweard, framwesende, of, ofhende, unandweard, wan@
@absinthe@|@wermod@
@absolutely@|@forþearlice@
@absolution@|@scrift@
@absolvable@|@onliesendlic@
@absolve@|@aliesan@
@absorb@|@bedrincan, gesupan, swelgan@
@abstain from food@|@fæstan@
@abstemious@|@syferæte@
@abstention@|@forbyrd, geswicennes@
@abstinence@|@forhæfnes, healdsumnes@
@abstinence from food@|@fæsten@
@abstinent@|@forhæbbend, syfre@
@abstract@|@scortnes, scyrting@
@absurd@|@unþæslic@
@abundance@|@cystignes, fullsumnes, geneah, genyht, genyhtsumnes, genyhtsumung, manigfealdnes, micelnes, rumnes, sped@
@abundance of food@|@ætwela@
@abundance of friends@|@freondsped@
@abundance of treasure@|@sincgewæge@
@abundance?@|@forwana@
@abundant@|@genog, genogian, genyhtful, genyhtsum, geþuhtsum, manigfeald, nyhtsum, rife, spedig, þicce@
@abundant peace@|@friðosped@
@abundant riches@|@blædwela@
@abundantly@|@geneahhe, genog, genyhtlice, rume, rumlice, ungrædiglice@
@abuse@|@forcweðan, heardcwide, hierwan, læðan, misræcan, miswendan, miswenian, orwyrþ, sarstæf, tæl, teonræden, teonword, þrea, unword, wiergan, wyrgnes@
@abuse of law@|@unlagu@
@abusive@|@scandword@
@abusive language@|@hospword@
@abut on@|@utsceotan@
@abysmal@|@neowol@
@abysmal dwelling@|@grundsele@
@abyss@|@æfgrynde, botm, dæl, deopnes, geswelg, grund, grut, grynde, neowolnes, niþ, ofdæle, sægrund, swelgend@
@abyss of hell@|@hellegrund@
@academic@|@uþwitlic@
@acc)@|@onbutan, wiþinnan@
@accede to@|@hieran@
@accept@|@andfon, ceosan, clyppan, ðicgan, geþicgean, niman, onfon, þicgan, underfon@
@acceptable@|@andfenge, cweme, hold, leofwende, licwyrðe, þancweorþ, welgelicwirðe@
@acceptable to@|@gefæge@
@acceptableness@|@andfengnes@
@acceptably@|@holde@
@acceptance@|@andfang, andfengnes, onfangennes@
@accepted@|@licwyrðe@
@access@|@ingang, nealæcung, neosung, togang@
@accessible two ways@|@twifere@
@accessory in theft@|@gestala@
@accessory to a murder@|@rædbana@
@accessory to murder@|@rædbana@
@accident@|@gelimp@
@accidentally@|@weas@
@accompany@|@geferscipian, midsiðian, samodsiðian, togelæstan@
@accompany with gifts@|@gelacian@
@accomplish@|@aræfnan, aræfnan, forþian, forþian, forþlæstan, fremman, fremman, fullgan, fullgangan, læstan, onorettan, þurhendian@
@accomplish (dative)@|@fulgan@
@accomplishment@|@last, last@
@accord@|@gerisnian@
@accordant@|@answege, gemodsum, sammæle@
@according as@|@þæs@
@according to@|@æfter, æfter, æfter, on@
@according to (dat)@|@neah@
@according to (monastic)@|@regollic@
@according to common law@|@folcriht@
@accordingly@|@þæs@
@accost@|@gretan, nægan@
@account@|@bemetan, gerad, gerad, gescead, getæl, giedd, racu, racu, rihtnes, riman, talian, tellan, tellan@
@accouterments@|@hyrst, wighyrst@
@accoutre@|@gescyrpan@
@accoutrements@|@fyrdsearu@
@accumulate@|@ætflowan, heapian@
@accuracy@|@gerad, gescead@
@accurate@|@gesceadlic@
@accurately@|@nearolice, smeagendlice, smealice, soðe@
@accursed@|@awyrigende, ungesælig@
@accursed from old times@|@ealdwerig@
@accusation@|@betogenes, færing, gestal, gewregednes, oncunnes, oncunning, onsagu, ontygnes, talu, tihtle, wregung, wroht, wrohtstæf@
@accusative@|@wregendlic@
@accuse@|@acusan, ahenan, beclypian, behligan, belecgan, beteon, betihtlian, cwiðan, cwiðan, forsecgan, forwregan, fræpgian, gescyldan, hienan, leahtrian, meldian, niðerian, oncunnan, onweorpan, tælan, teon, tihtan, tihtlian, witan, wregan@
@accuse falsely@|@forsecgan, forsecgan@
@accuse of@|@bespanan, onstælan, secgan on, stælan@
@accuser@|@fordemend, hienend, onspeca, onspecend, teond, wregend, wregere, wrehtend, wrohtberend, wrohtbora@
@accustom@|@wenian@
@accustomed@|@bewuna, bewuna, togewunod@
@ache@|@acan, ece@
@achieve@|@geforðian, hegan@
@achieve by fighting@|@gefeohtan@
@acid@|@afor, eced, scearp, sur@
@acid drink@|@eceddrenc@
@acidity@|@scearpnes@
@acknowledge@|@andettan, oncnawan, tocnawan@
@acknowledged@|@geanwyrde@
@acknowledging@|@gecnæwe@
@acknowledgment@|@cnawelæcing, cnawlæc, gecnawnes, oncnawennes@
@acolyte@|@acolitus, candelbora, huselþen, taporberend, weaxberende@
@acorn@|@æcern@
@acorn meal@|@acmelu@
@acorns@|@mæst@
@acquaint@|@acyðan@
@acquaintance@|@cuða, cuþnes, cyþ(þ), cyþnes@
@acquire@|@bycgan, ofgan, ofgangan, strienan, tobegietan, wyrcan@
@acquirer@|@strina@
@acquisition@|@geagnung, streon, tilung@
@acquisitions@|@begeat@
@acre@|@gicer@
@across@|@geond, ofer, ofer, ofere, ymbe@
@act@|@adreogan, behealdan, gefaran, onginnan, þing@
@act as aperient?@|@sincan@
@act as guardian of@|@mundian@
@act crookedly@|@lytigian@
@act deserving gratitude@|@geearnung@
@act foolishly@|@dysgian@
@act in authority@|@sciran@
@act of building@|@timbrung@
@act of commemoration@|@gemynd@
@act of disobedience@|@mishernes@
@act of dwelling@|@wunung@
@act of filling a bottle@|@cyllfylling@
@act of giving@|@sealdnes@
@act of going stealthily@|@stealcung@
@act of hanging@|@hienþu@
@act of joining an order of monks@|@mynstergang@
@act of listening@|@hlysting@
@act of making a breach@|@weallgebrec@
@act of making thin@|@þynnung@
@act of measuring@|@gemet@
@act of seeking the protection of a lord@|@hlafordsocn@
@act of sitting@|@gesæt@
@act or right of taking toll@|@toll@
@act which causes death@|@morþweorc@
@acting against@|@onweard@
@acting alone@|@anlaga@
@acting rightly@|@rihtfremmende@
@action@|@anginn, dæd, dæd, framscipe, gebære, mal, sacu, weorcdæd@
@action of fighting@|@feoht@
@action of grinding@|@grist@
@action of guiding aright@|@rihting@
@action of law@|@talu@
@action of loving@|@lufung@
@action of sending@|@sand@
@action of taking@|@niming@
@active@|@caf, dædlic, donlic, fram, from, horsc, hræd, hræd, hror, hwæt, orped, scearp, swiþ, trum, unslaw, unslaw, unsleac, weorcful@
@active strong@|@snell@
@active?@|@idig@
@activity@|@hwætnes, hwætscipe@
@actor@|@truþ@
@actress@|@scericge@
@actual@|@andweard, andweardlic@
@actual hamsocn@|@rihthamsocn@
@actual perpetrator@|@rihthanddæda@
@acus@|@gronwisc@
@acute@|@scearp, smeah@
@acutely@|@scearplice@
@acuteness@|@scearpnes@
@adamant@|@aþamans@
@adapt?@|@leoðuwæcan@
@adapted@|@gerad, rihtlic, screpe@
@adapted for instruction?@|@læregedefe@
@add@|@cnyssung, eacnian, settan, toætycan, todon, underycan@
@add to@|@ætycan, iecan, oþecan, togeiecan@
@added to@|@togeiecendlic@
@adder@|@aspide, nædre, nædre@
@adder-wort@|@næddrewinde, nædrewyrt@
@addict to@|@underþeodan@
@addicted to@|@gelenge@
@addicted to butting (of an ox)@|@hnitol@
@addition@|@æteaca, bot, eaca, ofereaca, togeihtnes@
@address@|@becweðan, mæðelword, motian, næfan, nægan, namnian, nemnan, tospecan@
@address formally?@|@maðelian@
@adduce@|@bringan@
@adequacy@|@gemet@
@adhere@|@ætcliðan, ætclifian, ætfeolan, ætfyligan, clengan, clifan, clifian, geclifian, geþeodlæcan, onclifian, oþclifan, oþfeolan, togeþeodan@
@adhere to@|@toclifian@
@adhering to monastic rules@|@regolfæst@
@adhesion@|@ætfele@
@adjectival@|@togeiecendlic@
@adjectival suffix denoting derivation@|@cund@
@adjective@|@togeiecendlic@
@adjoin@|@togeþeodan@
@adjourn@|@andagian@
@adjudge@|@scieppan@
@adjudication@|@mæðung@
@adjure@|@halsian@
@adjust@|@twæman@
@adjustment@|@gemetlicung@
@administer@|@bewitan, bewitian, brytnian@
@administer the Eucharist@|@mænsumian@
@administer the sacrament@|@huslian@
@administration@|@þeodscipe, toþenung@
@administration of an estate@|@tunscir@
@administration of the Eucharist@|@gemænsumung@
@administration of the sacrament@|@huslung@
@admiration@|@wundrung@
@admire@|@awundrian, wafian@
@admission@|@gecierrednes, infær, infæreld@
@admit@|@stælan, stælan@
@admitting@|@geþæf@
@admonish@|@becweðan, manian@
@admonisher@|@maniend@
@admonition@|@manung, manung, myndgung, mynegung@
@adolescence@|@geoguþhad@
@adopt@|@agnian@
@adoption@|@bearnlufe, gewyscednes, gewyscing, togecorennes@
@adoration@|@onhnigenes@
@adoration of human beings@|@manweorðung@
@adore@|@bletsian, eaþmedan, geeaþmodian@
@adorn@|@afægrian, besettan, beweorðian, bewyrcan, bewyrcan, bindan, bywan, fægrian, gearwian, gefrætwan, gehlæstan, gerenian, gierwan, glengan, glengan, gliwian, gyrwan, hreodan, hyrstan, onhreodan, stepan, teon@
@adorn with gems@|@gimmian@
@adorn with precious stones@|@astænan, stænan@
@adorn?@|@areccan@
@adorned@|@geatolic, gewloh, glengful, hroden, hroden@
@adorned with bone (deer antlers)@|@banfag@
@adorned with bonework@|@banfag@
@adorned with costly ornaments@|@sinchroden@
@adorned with figures of snakes@|@wyrmfah@
@adorned with gold@|@goldhladen@
@adorned with rings@|@beaghroden, hringmæled@
@adorned with snakes@|@wyrmfah@
@adorning@|@frætwednes, frætwung@
@adornment@|@gierela, glengnes@
@adroned@|@geatolic@
@adulation@|@lyffetung, twaddung@
@adult@|@geþogen, gewintred, orped@
@adulterer@|@æwbreca, firenhicga, horing, nydhæmedre, unrihthæmedfremmere, unrihthæmend, unrihthæmere, wemmend, wohhæmere@
@adulteress@|@firenhicge, firenhicgend, forleges, forlegnes, horcwene, scrætte@
@adulteress?@|@nydhæmestre@
@adulterous@|@æwbræce, dyrneforlegen, dyrneleger, dyrnhæmende, unrihthæmed@
@adulterous sex@|@dyrneforlegenes@
@adultery@|@æwbryce, dyrnegeligre, dyrnelegernes, forliggang, geligere, hæmed, hor, unrihthæmed, wifgeornes, wohhæmed@
@advance@|@faran, forðgan, forþgan, forþgang, forþstæpping, fremman, fyrþran, gan, gangan, gemedemian, sigan, stæppan, steppan, þeoging, wadan@
@advance (money)@|@foresellan@
@advanced@|@forðweard, forþlic, gelyfed@
@advanced age@|@æfteryld, langieldo@
@advancing@|@forþgenge@
@advantage@|@behof, bot, bot, bot, bryce, duguþ, eaca, forþdæd, fremu, fremung, gehyðnes, gescrepe, getæse, getæsnes, god, hyðegung, hyþþ, notu, nytt, nyttung, ongehyðnes@
@advantageous@|@hyðelic@
@advent@|@cyme, hercyme, hidercyme, tocyme@
@adverb@|@biword@
@adversary@|@andsaca, gefa, gewinna, inwidda, sceþþend, wiðerbersta, wiðerbreca, wiðerbroga, wiðercora, wiðerflita, wiðerling, wiðersaca, wiðerwearda, wiðerwengel, wiðerwinna, winna, wiþersaca, wiþfeohtend@
@adversative@|@ongeanweardlic@
@adverse@|@þweorh, þweorlic, wiðerræde, wiðerrædlic, wiðerweard@
@adversity@|@broc, ungetimu, unsælþ, wiðermodnes, wiðerrædnes@
@advice@|@geþeaht, geþeaht, lar, ræd, ræd, þeaht, tyhting@
@advice (bad)@|@unræd@
@advisable@|@rædlic, sel@
@advise@|@gelæran, gerædan, læran, manian, rædan, rædan, rædan, rædþeahtung@
@advise wrongly@|@misrædan@
@adviser@|@geþeahta, geþeahtere, rædbora, rædend, rædesmann, rædwita, runwita@
@advisor@|@rædbora, runwita, wita, wita@
@advocacy@|@forespræc, forespræc, þingung@
@advocate@|@forespreca, midspeca, midspecend, mundbora, mundbyrdnes, þingere, þingestre@
@aerial@|@lyften, lyftlic@
@aerial robber (raven)@|@lyftsceaða@
@aerial wonder@|@lyftwundor@
@affable@|@gespræce, wordwynsum@
@affably@|@cuþlice, mildelic@
@affair@|@belimp, cierr, þing, þing@
@affect with longing@|@alangian@
@affected@|@andwliteful@
@affection@|@lufu, myne@
@affection (for a child)@|@bearnlufe@
@affection of relatives@|@mægsibb@
@affectionate@|@lufiende@
@affectionately@|@luflice@
@affections@|@breostcofa, heorte@
@affinity@|@gesibnes, neahsibb, sibreden@
@affirm@|@aseðan, geatan, seðan, togænan@
@affirmation@|@onsagu@
@afflict@|@adreccan, ahwænan, aswencan, awælan, bædan, belecgan, beswencan, bewælan, bisgian, brocian, brocian, cwielman, dreccan, dyrfan, forsecan, forþræstan, geangsumian, gedreccan, gedrefan, geþryscan, getyrfan, gewægan, hefigian, hienan, ierman, myscan, nætan, nearwian, ofsettan, ofþryccan, oncnyssan, sargian, sengan, swencan, swencan, swingan, tawian, tawian, þreagan, þrean, þryccan, þurhslean, wægan, wælan, witnian@
@afflict with@|@ætfæstan@
@afflict with longing@|@longian@
@afflict?@|@stencan@
@afflicted@|@seoslig@
@afflicted (with grief)@|@fornæman@
@affliction@|@bisgu, broc, broc, brocung, dreccednes, dyrfing, earfoþnes, geswencednes, gyrnstafas, hæft, hearm, hearmscearu, hefignes, hienþu, myrðu, niþ, niþhete, nydcosting, sacu, sar, sarnes, scendung, swipu, þræstung, þreanied, þreatnes, þrycnes, torn, trag, unbliss, wa, wa@
@affliction caused by Moses' rod@|@gierdwite@
@afford@|@astellan, þurhteon@
@afloat@|@aflote@
@aforementioned@|@ærnemned@
@aforesaid@|@forcuaeden, forecweden, foresæd, foresprecen, foresprecen, gemyndgod@
@afraid@|@forht, forht, forhtful, forhtlic, fyrht, ofdrædd@
@after@|@æfter, æfter, æfter, æfterweard, æftum, æthindan, after ðæm, beæftan, beæftan, behindan, hinder, ofer, siþþan, þæs þe, wiþæftan, yferra, ymb@
@after (dat)@|@onufan@
@after (from after)@|@æftan@
@after (thought)@|@hinder@
@after a time@|@siþlice@
@after that@|@siþþan, þanonforþ@
@after that time@|@þa@
@after this@|@heræfter@
@after this manner@|@þæslice@
@afterbirth@|@cildhama, hala, hala@
@afterborn@|@æfterboren@
@after-claim@|@æfterspræc@
@afternoon (after 3 PM)@|@ofernon@
@afternoon meal@|@nonmete@
@after-part of a ship@|@steorsetl@
@afterwards@|@æfter, æftersona, beæftan, eft, siððan, siþ, siþ, siþþa, siþþan, þæs@
@again@|@æftersona, edniwan, eft, eft, eft, gen, ongean, ongean, ongean@
@against@|@into, ongean, ongean, ongean, þærwiþ, togeanes, towiðere, wiðer, wiþ, wiþ@
@against one's will@|@unwilsumlice@
@agate@|@gagates@
@age@|@ealddom, ealdor, ealdung, gamolian, ieldo, ieldu, ieldu, yldu@
@age (grow old)@|@ealdian, forealdian@
@aged@|@forealdod, gamol, gamol, gamolferhþ, gelefed@
@aged wife?@|@geomeowle@
@agency@|@hand@
@agent@|@dælere, forwyrhta, lim@
@aggravate@|@hefigian@
@agile@|@hwearflic, leoðucræftig, leoht, swiþsnel@
@agility@|@snelnes@
@aging@|@ealdung@
@agitate@|@astyrian, bestyrman, geondstyrian, geondstyrian, geunstillan, hreran, onstyrian, styrian, styrian, wecgan@
@agitated@|@grorn@
@agitation@|@swangettung, unstilnes, weallung, yþung@
@agnail@|@angnægl@
@agony@|@deaðcwalu@
@agony of death@|@swyltcwalu@
@agree@|@efencuman, forewyrdan, gadrian, gemodsumian, gerisnian, gesprecan, geþwærian, geþwærlæcan, geþyldian, þeahtian@
@agree to@|@cierran, tiþian@
@agree with@|@onbugan, þæslæcan@
@agreeable@|@andfenge, arlic, bliðe, cweme, eaðe, gemede, genge, getæse, geþwære, glædlic, leof, leoftæl, leofwende, liciendlic, liciendlic, liðe, lustbære, myrge, onwille, smeðe, softe, swæs, swæslic, swete, þancful@
@agreeable (of sound)@|@swetswege@
@agreeable food@|@wilþegu@
@agreeableness@|@wellicung@
@agreed@|@sammæle, seht@
@agreeing@|@efenþwære, getenwyrde, geþafsum, geþwærlic@
@agreeing to@|@geþæf@
@agreement@|@annes, anrædnes, cwide, foreweard, forewyrd, formæl, gecwedræden, gecwedrædnes, gecwidræden, gemodsumnes, gemodsumnes, geþafsumnes, geþeodsumnes, geþinge, geþingþ, handgewrit, loc, mal, meting, olæcung, rædnes, seht, sehtnes, som, treow, truwa, wedd@
@agriculture@|@eorþbigennes, eorþtilþ@
@agrimony@|@agrimonia, garclife, sticwyrt@
@ague?@|@colcwyld@
@aid@|@ætstæl, fylst, help@
@aim@|@atyhting, ontyhting@
@aim at@|@lælian@
@aimlessly@|@mislice@
@air@|@æþm, geþyll, hwiða, lyft, lyft, lyft, lyfþelm, weder@
@ait@|@iggaþ@
@akin@|@freondhealdlic, sibb@
@alacrity@|@cafscipe@
@alarm@|@abregan, bregan, geacolmodian, hream@
@alas@|@æ@
@alb@|@alb@
@albugo@|@eagfleah, fleah@
@alcoholic@|@oferdrincere@
@alder@|@aler, alor@
@alder bark@|@alorrind@
@alder bed@|@alorbedd@
@alder wood@|@alorholt@
@ale@|@ealo, ealu, ealu, ealaþ@
@ale bench@|@ealubenc@
@ale drinking@|@ealodrincende@
@ale flagon@|@ealuwæge@
@ale-bench@|@beorsetl, ealubenc@
@alehoof@|@hofe@
@alehouse@|@ceapealeðel, ealuhus, ealusele@
@alert@|@hræd@
@ale-tippler@|@ealuwosa@
@ale-vat@|@ealufæt@
@alga@|@waroþ@
@alien@|@ealþeodisc, ellorgæst, elþeodig, elþeodisc, feorlic, fremde, fremde, uþgenge, utlenda@
@alien enemy@|@unfriþmann@
@alien spirit@|@ellorgast@
@alien?@|@unmæg?@
@alienate@|@afremdan, fremedlæcan@
@alienatio@|@ælfremedung@
@alienation@|@ælfremedung, afremþung@
@alight@|@alihtan, lihtan@
@alike@|@efenlice, gelic@
@alive@|@cwic, cwic, cwicu, gangende, in life@
@alive (on life lif (dative))@|@onlif@
@alkalized water@|@leag@
@all@|@æghwilc, ælc, eall, eall, eall, gehwilc@
@all at once@|@samtinges@
@all but@|@butan@
@all gold@|@eallgylden@
@all ready@|@ealgearo@
@allay@|@alecgan@
@allegiance@|@geongordom, geongordom, hiernes, holdscipe, hyldo, mannræden@
@allegorical@|@bicnendlic, gehiwendlic@
@allegory@|@bispell@
@alleviate@|@alihtan, geieðan, lihtan, lihtan, underlihtan@
@alleviation@|@liðung, lihting, liss@
@all-golden@|@eallgylden@
@all-good@|@eallgod@
@all-green@|@eallgrene@
@all-holy@|@eallhalig@
@alliance@|@þoftscipe@
@all-icy@|@eallisig@
@allodium@|@eleþ@
@allot@|@giefan, lætan, medemian, scearian, sceotan, sciftan, scirian, scrifan, sellan@
@alloted time@|@dogorgerim@
@allotted land@|@gehlotland@
@allotted time@|@þinggemearc@
@allow@|@aliefan, aliefan, alyfan, ðafian, geliefan, geþafian, lætan, liefan, þafian, þolian, unnan@
@allow (gen)@|@agieldan@
@allow to escape@|@lætan@
@allowance of corn to dependents@|@metecorn@
@allowance of food@|@flæscþenung@
@allowed@|@let, lete, leton@
@all-powerful@|@ælcræftig@
@all-ruler@|@alwalda@
@all-ruling@|@þrymwealdend@
@all-silk@|@ealgodwebben@
@all-silk cloth@|@ealgodwebb@
@allure@|@aspanan, atyhtan, belytegian, betyllan, ongespanan, smacian, spanan, teon, weman@
@allurement@|@forspaning, gespan, leassponung, oleccung, onworpennes, tyhting, wamlust, ymbspænning@
@alluvial ground@|@scydd@
@all-wielding@|@eallwealdende@
@almighty@|@ælcræftig, ælmihtig, eallmihtig@
@almond@|@amigdal@
@almond tree@|@magdalatreow@
@almost@|@æthwon, ætrihte, ætrihte, eallmæst, forneah, forneah, fulneah, lytesna, neah@
@alms@|@ælmesfeoh, ælmesse, ælmesse, ælmesse@
@alms giver@|@ælmesdond@
@almsdeed@|@ælmesdæd, ælmesweorc@
@almsgiving@|@ælmesgiefu, ælmeshand, ælmesse, ælmesse, ælmessylen@
@almsman@|@ælmesmann@
@alms-penny@|@ælmespening@
@aloe@|@alewe@
@aloft@|@heah, healice, on lofte@
@alone@|@an, an, an, an, ana, anliepig, anum, anum@
@alone for@|@þrowian@
@along@|@æfter, andlanges, be, emnlange, onweg@
@along (extending opposite)(gen)@|@andlang@
@along the way@|@ealne weg@
@alongside@|@onemn, þæronemn, toefenes@
@aloud@|@hlude@
@alphabet@|@abecede, stæfræw, stæfrof@
@already@|@ær, furðum@
@also@|@eac, eac, ealswa, ge, gen, samod, swelce eac, swilce, toeacan@
