@English@|@French@
@abominate [v tr]@|@abhorrer [v tr], abomination; avoir en ~, abominer [v tr], haïr [v tr]@
@abomination {n}@|@abomination {f}@
@aboriginal [adj]@|@aborigène [adj‚ autochtone]@
@aboriginal {n} (inhabitant)@|@aborigène {m/f} [autochtone]@
@Aboriginal {n} [of Australia]@|@Aborigène {m/f} d'Australie@
@aborigine [adj]@|@aborigène [adj‚ autochtone]@
@aborigine {n} [animal]@|@indigène; animal {f} ~@
@aborigine {n} [plant]@|@indigène; plante {f} ~@
@abort [v intr]@|@avorter [v intr]@
@abort [v tr‚ of a foetus]@|@avorter; faire ~ [un fœtus]@
@abort {n} [COMPUT]@|@abandon {m} [INFORM]@
@abort {n} [MIL]@|@mission {f} avortée [MIL]@
@aborted [adj]@|@avorté(e) [adj]@
@abortient {n}@|@abortif {m}@
@abortifacient [adj]@|@abortif (-ve) [adj] [MÉD]@
@abortifacient {n}@|@abortif {m}@
@aborting {n}@|@avortement {m}, interruption {f} de grossesse@
@abortion {n} [failure of plan]@|@avortement {m} [d'un projet]@
@abortion {n} [medically]@|@avortement {m} [MÉD], interruption {f} de grossesse@
@abortion; spontaneous ~ {n}@|@avortement {m} spontané@
@abortionist {n}@|@avorteur {m}, avorteuse {f}@
@abortive [adj‚ MED]@|@abortif (-ve) [adj] [MÉD], avorté(e) [adj‚ MÉD]@
@abortive [adj‚ unsuccessful]@|@avorté(e) [adj], manqué(e) [adj]@
@abound [v intr]@|@abonder [v intr], foisonner [v intr]@
@abound in [v intr]@|@abonder en [v intr], regorger de [v intr]@
@about [adv‚ approximately]@|@environ [adv]@
@about [adv‚ MAR : ready ~!]@|@virer; paré à ~ !@
@about [adv‚ turn and turn ~]@|@rôle; à tour de ~@
@about [prep‚ carried with]@|@sur soi [loc prép]@
@about [prep‚ in]@|@sur [prép‚ sens local]@
@about [prep‚ occupied with]@|@occupé(e) (à‚ de) [loc adj], train; en ~ de [loc adj]@
@about [prep‚ towards]@|@vers [prép‚ sens temporel]@
@about [prep‚here and there in]@|@ci; de-~ de-là, côté; de ~ et d'autre@
@about [prep‚on the subject of]@|@propos; à ~ [loc prép], sujet; au ~ de [loc prép]@
@about here [adv phr]@|@près d'ici [loc adv]@
@about ten [adv phr]@|@trentaine {f} [environ 30]@
@about to [adv phr]@|@point; sur le ~ de [loc adv]@
@about turn [interj‚ MIL]@|@demi-tour [interj‚ MIL]@
@about; to be ~ to do@|@disposer; se ~ à faire, près; être ~ de faire@
@about; to be ~ to leave@|@départ; être sur le ~@
@about-face {n}@|@demi-tour {m (~~s)}, revirement {m}, volte-face {f inv}@
@about-turn {n}@|@demi-tour {m (~~s)}, volte-face {f inv}@
@above [adv‚ of a text]@|@ci-dessus [adv]@
@above [adv‚ upstairs]@|@haut; en ~ [loc adv]@
@above [prep‚ higher in rank]@|@supérieur(e) [adj‚ hiérarchie]@
@above [prep‚ more than]@|@plus de [ loc adv]@
@above [prep‚ over]@|@dessus; au-~ de [loc adv]@
@above {n} [the ~]@|@précité(e) [adj]@
@above all else [adv phr]@|@avant toute chose [loc adv]@
@above ground [prep phr]@|@surface; en ~ [loc prép]@
@above mentioned [adj phr]@|@précité(e) [adj]@
@above reproach [adj phr]@|@irréprochable [adj]@
@above the line promotion@|@promotion des ventes@
@above; as ~@|@ci-dessus; comme ~@
@aboveboard [adj]@|@honnête [adj], loyal(e) [adj]@
@aboveboard [adv]@|@honnêtement [adv], loyalement [adv]@
@abradant {n}@|@abrasif {m}@
@abrade [v tr]@|@abraser [v tr], écorcher [v tr], éroder [v tr]@
@abrasin oil {n}@|@huile {F} de Tung@
@abrasion {n} [scrape]@|@écorchure {f}, éraflure {f}@
@abrasion {n} [TECH]@|@abrasion {f} [TECH]@
@abrasive [adj]@|@abrasif (-ive) [adj], décapant(e) [adj], perçant(e) [adj]@
@abrasive {n}@|@abrasif {m}, décapant {m}@
@abreast [adv‚ up to date]@|@page; à la ~ [loc adv], temps; de son ~ [loc adv]@
@abreast [adv‚ well-informed]@|@courant; au ~ [loc adv]@
@abridge [v tr]@|@abréger [v tr‚ écourter], limiter [v tr], raccourcir [v tr]@
@abridged [adj]@|@raccourci(e) [adj]@
@abridged edition {n}@|@édition {f} réduite@
@abridgement {n}@|@abrégé {m}, réduction {f} de texte@
@abridgment; without ~[adv phr]@|@in extenso [loc adv]@
@abrin {n}@|@toxalbumine {f}@
@abrine {n} [CHEM‚ toxin]@|@abrine {f} [CHIM‚ toxine]@
@abroad [adv]@|@étranger; à l'~ [loc adv], loin; au ~ [loc adv]@
@abrogate [v tr]@|@abolir [v tr]@
@abrogation {n}@|@abolition {f}, abrogation {f}@
@abrupt [adj‚ BOT; truncated]@|@décapité(e) [adj‚ BOT]@
@abrupt [adj‚ curt]@|@abrupt(e) [adj‚ tout de go], inattendu(e) [adj]@
@abrupt [adj‚ steep]@|@abrupt(e) [adj‚ escarpé], escarpé(e) [adj], pic; à ~ [loc adj‚ escarpé], raide [adj‚ escarpé]@
@abrupt [adj‚ sudden]@|@brusque [adj], soudain(e) [adj], subit(e) [adj]@
@abrupt change {n}@|@revirement {m}@
@abruptio placentae {n}[PATHOL]@|@apoplexie {f} utéroplacentaire, hématome {m} rétroplacentaire@
@abruptly [adv‚ sharply]@|@abruptement [adv], sèchement [adv]@
@abruptly [adv‚ suddenly]@|@brusquement [adv‚ subitement], soudainement [adv]@
@abruptness {n} [brusqueness]@|@rudesse {f}@
@abruptness {n} [steepness]@|@raideur {f} [d'une pente]@
@abruptness {n} [suddenness]@|@soudaineté {f}@
@abscess {n} [PATHOL]@|@abcès {m} [PATHOL]@
@abscisic acid {n} [BOT]@|@abscissine {f} [phytohormone], acide {m} abscissique [BOT], dormine {f} [phytohormone]@
@abscisin {n} [BOT]@|@abscissine {f} [phytohormone], acide {m} abscissique [BOT], dormine {f} [phytohormone]@
@abscissa {n} [MATH]@|@abscisse {f} [MATH]@
@abscond [v intr]@|@disparaître [v intr], enfuir; s'~ [v pr]@
@absconder {n}@|@évadé {m}, évadée {f}, fugitif {m}, fugitive {f}@
@absconding [adv]@|@fuite; en~ [loc adv]@
@absconding {n}@|@évasion {f}, fuite {f} [évasion]@
@abseil [v intr‚ ALP]@|@descendre en rappel [loc verb]@
@abseil {n} [ALP]@|@rappel {m} [ALP]@
@absence {n}@|@absence {f}@
@absence {n} of [lack of]@|@absence {f} de, manque {m} de@
@absence of mind {n}@|@distraction {f}@
@absence of postage {n}@|@port {m} dû@
@absence; in the ~ of@|@défaut; à ~ de [loc prép], faute de [loc prép]@
@absent [adj‚ inattentive]@|@inattentif (-ve) [adj]@
@absent [adj‚ not existing]@|@manquant(e) [adj]@
@absent [adj‚ not present]@|@absent(e) [adj]@
@absent oneself [v refl]@|@absenter; s'~ [v pr]@
@absent; to go ~@|@absent; se faire porter ~@
@absentee {n} [not present]@|@absent {m}, absente {f}@
@absentee {n}[regularly absent]@|@absentéiste {m/f}@
@absenteeism {n}@|@absentéisme {m}@
@absently [adv]@|@inadvertance; par ~ [loc adv]@
@absentminded [adj]@|@préoccupé(e) [adj]@
@absentmindedly [adv]@|@distraitement [adv]@
@absent-mindedness {n}@|@distraction {f}@
@absinth {n} [BOT]@|@absinthe {f} [BOT], herbe {f} aux vers [absinthe]@
@absinthe {n} [liqueur]@|@absinthe {f} [liqueur]@
@absinthin {n}@|@absinthine {f}@
@absolute [adj]@|@absolu(e) [adj], parfait(e) [adj]@
@absolute alcohol {n} [CHEM]@|@alcool {m} absolu [CHIM]@
@absolute rule {n}@|@autocratie {f}@
@absolute ruler {n}@|@autocrate {m/f}@
@absolute scandal {n}@|@véritable scandale {m}@
@absolute temperature {n}@|@température {f} absolue [PHYS]@
@absolute value {n} [MATH]@|@valeur {f} absolue [MATH]@
@absolute zero {n}@|@zéro {m} absolu@
@absolutely [adv]@|@absolument [adv]@
@absolution {n}@|@pardon {m}@
@absolution {n} [REL]@|@absolution {f} [REL]@
@absolutism {n}@|@absolutisme {m}@
@absolve [v tr]@|@absoudre [v tr], innocenter [v tr]@
@absorb [v tr‚ consume]@|@absorber [v tr‚ consommer]@
@absorb [v tr‚ include]@|@intégrer [v tr]@
@absorb [v tr‚ interest]@|@absorber [v tr‚ intéresser]@
@absorb [vt‚reduce the effect]@|@absorber [v tr‚ neutraliser]@
@absorbability {n}@|@absorptivité {f}@
@absorbable [adj]@|@absorbable [adj]@
@absorbable material {n}@|@matériau {m} résorbable@
@absorbance {n} [OPT]@|@absorbance {f} [OPT], densité {f} optique [OPT]@
@absorbed [adj]@|@absorbé(e) [adj‚ accaparé]@
@absorbed in [adj phrase]@|@absorbé(e) par [loc adj], plongé(e) dans [loc adj]@
@absorbed; to be ~@|@résorber; se ~ [v pr]@
@absorbefacient {n}@|@auxiliaire {m} d'absorption@
@absorbency {n} [CHEM]@|@pouvoir {m} absorbant [CHIM]@
@absorbent [adj]@|@absorbant(e) [adj]@
@absorbent cotton {n}@|@coton {m} hydrophile@
@absorbent gauze {n}@|@gaze {f} hydrophile@
@absorber {n}@|@absorbeur {m}@
@absorbifaciens {n}@|@auxiliaire {m} d'absorption@
@absorbing [adj]@|@absorbant(e) [adj‚ captivant], captivant(e) [adj], passionnant(e) [adj]@
@absorptiometer {n}@|@absorptiomètre {m}@
@absorption {n}@|@absorption {f}, résorption {f}@
@absorption spectrum {n} [OPT]@|@spectre {m} d'absorption [OPT]@
@absorptive [adj]@|@absorbant(e) [adj]@
@absorptive power {n}@|@pouvoir {m} absorbant@
@absorptivity {n}@|@pouvoir {m} absorbant@
@abstain [v intr] (from)@|@abstenir; s'~ [v pr] (de)@
@abstain [v intr] [alcohol]@|@abstinence; faire ~ [alcool]@
@abstainer {n}@|@abstinent {m}, abstinente {f}@
@abstemious [adj]@|@frugal(e) [adj‚ sobre], sobre [adj‚ alimentation]@
@abstemiously [adv]@|@frugalement [adv], sobrement [adv]@
@abstemiousness {n}@|@sobriété {f}@
@abstention {n}@|@abstention (f}@
@abstentionism {n}@|@abstentionnisme {m}@
@abstentionist {n}@|@abstentionniste {m/f}@
@abstinence {n}@|@abstinence {f}@
@abstinent [adj]@|@abstinent(e) [adj]@
@abstract [adj‚ ART]@|@abstrait(e) [adj‚ ART]@
@abstract [adj‚ not concrete]@|@abstrait(e) [adj‚ non concret]@
@abstract [adj‚ theoretic]@|@abstrait(e) [adj‚ théorique]@
@abstract [v tr‚ consider ~ly]@|@abstraire [v tr]@
@abstract [v tr‚ distract]@|@distraire [v tr]@
@abstract [v tr‚ summarize]@|@résumer [v tr]@
@abstract [v tr‚ take out of]@|@enlever [v tr] de, retirer [v tr]@
@abstract [vt‚ euphem. : steal]@|@soustraire [v tr‚ voler]@
@abstract {n}@|@analyse {f}, précis {m}, résumé {m}@
@abstract {n} [~ term]@|@terme {m} abstrait@
@abstract {n}[an ~ work of art]@|@abstrait {m} [ART]@
@abstract oneself [v refl]@|@distraire; se ~ [v pr]@
@abstracted [adj]@|@distrait(e) [adj]@
@abstractedly [adv]@|@distraitement [adv]@
@abstraction {n} [ART]@|@abstraction {f} [ART], art {m} abstrait@
@abstraction {n} [removal]@|@abstraction {f} [action]@
@abstraction {n}[abstract idea]@|@abstraction {f} [idée abst.]@
@abstruse [adj]@|@abscons [adj], abstrus(e) [adj], alambiqué(e) [adj], amphigourique [adj]@
@abstrusely [adv]@|@abstruse; de façon ~ [loc adv], incompréhensiblement [adv], intelligiblement [adv]@
@abstruseness {n}@|@amphigouri {m} [LITTER], inintelligibilité {f}@
@absurd [adj‚ illogical]@|@aberrant(e) [adj], absurde [adj‚ illogique], illogique [adj]@
@absurd [adj‚ incongruous]@|@absurde [adj‚ incongru]@
@absurd [adj‚ ridiculous]@|@absurde [adj‚ ridicule]@
@absurdity {n (ies)}@|@absurdité {f}@
@absurdly [adv]@|@absurdement [adv]@
@absurdness {n}@|@absurdité {f}@
@abundance {n}@|@abondance {f}, foisonnement {m}@
@abundant [adj]@|@abondant(e) [adj]@
@abundantly [adv‚ in abundance]@|@largement [adv‚ abondamment]@
@aburamycin {n}@|@aburamycine {f}@
@abuse [v tr‚ insult]@|@insulter [v tr]@
@abuse [v tr‚ misuse]@|@abuser de [v tr ind‚ exagerer]@
@abuse {n}@|@abus {m}, usage {m} abusif@
@abusive [adj]@|@abusif (-ve) [adj]@
@abusive [adj‚ offensive]@|@grossier (-ère) [adj‚ impoli], injurieux (-euse) [adj]@
@abut [v intr‚ adjoin] on@|@avoisiner; s'~ [v pr], border; se ~ [v pr]@
@abut [v intr‚ touch upon] on@|@adossé(e); être ~, contigu(e); être ~@
@abut [v tr‚ adjoin] on@|@avoisiner [v tr] border [v tr]@
@abut [vi‚ touch upon] against@|@contigu (-güe); être ~ [RO]@
@abutment {n}@|@arc-boutant {m (~s~s)}, arcboutant {m} [RO], contrefort {m}@
@abysmal [adj]@|@insondable [adj‚ sans fond], profond(e) [adj]@
@abysmal [adj‚ bad]@|@épouvantable [adj], terrible [adj‚ abominable]@
@abyss {n}@|@abîme {m}, abime {m} [RO], gouffre {m}, précipice {m}@
@abyssal [adj]@|@abyssal [adj]@
@Abyssinia {n} [HIST‚ Ethiopia]@|@Abyssinie {f} [HIST‚ Éthiopie]@
@Abyssinian [adj]@|@abyssin(e) [adj], abyssinien(ne) [adj]@
@Abyssinian {n}@|@Abyssin {m}, Abyssine {f}, Abyssinien {m}, Abyssinienne {f}@
@Abyssinian {n} [a cat]@|@abyssin {m} [chat]@
@Ac [CHEM‚ symbol of actinium]@|@Ac [symbole de l'actinium]@
@acacetin {n}@|@acacétine {f}@
@acacia {n} [BOT]@|@acacia {m} [BOT]@
@acacia {n} [gum Arabic]@|@gomme {f} arabique@
@acacic acid {n} [CHEM]@|@acide {m} acacique [CHIM]@
@academe {n}@|@collectivité {f} universitaire@
@academia {n}@|@milieu {m} universitaire@
@academic [adj‚ conventional]@|@académique [adj‚conventionnel]@
@academic [adj‚ of school]@|@scolaire [adj]@
@academic [adj‚ of university]@|@universitaire [adj]@
@academic [adj‚ sceptical]@|@sceptique [adj]@
@academic {n}@|@universitaire {m/f}@
@academic year {n}@|@année {f} académique@
@academical [adj]@|@universitaire [adj]@
@academically [adv]@|@académiquement [adv]@
@academicals {npl}@|@costume {m} universitaire@
@academician {n}@|@académicien {m}@
@academism {n}@|@académisme {m}@
@academy {n}@|@académie {f}@
@academy of music {n} [MUS]@|@conservatoire {m} [MUS]@
@acanthus {n} [ARCH]@|@acanthe {f} [ARCH]@
@acanthus {n} [BOT]@|@acanthe {f} [BOT]@
@acarenoic acid {n}@|@acide {m} acarenoïque@
@acaricide [adj]@|@acaricide [adj], antiscabieux (-euse) [adj]@
@acaricide {n}@|@acaricide {m}@
@acarine {npl} [ZOOL]@|@acariens {mpl} [ZOOL]@
@accede [v intr‚ agree]@|@donner suite à@
@accede [v intr‚ subscribe] to@|@affilier; s'~ [v pr]@
@accede [v intr‚ take office]@|@accéder [v tr ind] aux trône, monter [v tr ind] sur le trône@
@accelerate [adj]@|@accéléré(e) [adj]@
@acceleration {n}@|@accélération {f}@
@acceleration {n} [PHYS]@|@accélération {f} [PHYS]@
@accelerative [adj]@|@accélérateur (-trice) [adj]@
@accelerator {n} [AUTO]@|@accélérateur {m} [AUTO], pédale {f} d'accélération@
@accelerator {n} [GEN]@|@promoteur {m} [GÉN]@
@accelerator factor {n} [BIOCH]@|@facteur V {m} [BIOCH]@
@accelerator pedal {n}@|@accélérateur {m} [AUTO], pédale {f} d'accélération@
@accelerin {n} [BIOCH]@|@accélérine {f} [BIOCH], facteur VI {m} [BIOCH]@
@accent [v tr‚ accentuate]@|@accentuer [v tr‚ souligner], souligner [v tr‚ relever]@
@accent [v tr‚ MUS]@|@accentuer [v tr‚ MUS]@
@accent [v tr‚ write an ~ on]@|@accentuer[vtr‚placer 1 accent], souligner@
@accent {n} [emphasis]@|@accent {m} [intonation], ton {m} [timbre]@
@accent {n} [LING]@|@accent {m} [LING]@
@accent {n} [MUS]@|@accent {m} [MUS]@
@accent {n} [sign]@|@accent {m} [phonétique]@
@accent mark {n}@|@accent {m} [phonétique]@
@accenting {n}@|@accentuation {f}@
@accentuate [v tr]@|@accent; mettre l'~ sur, accentuer [v tr‚ souligner], souligner [v tr‚ relever]@
@accentuation {n}@|@accentuation {f}@
@accept [vt‚ receive as valid]@|@accepter [v tr‚ admettre]@
@accept [vt‚ regard favourably]@|@accepter qqn [v tr], accueillir [v tr]@
@accept [vt‚ say yes]@|@accepter [v tr‚ acquiescer]@
@accept [vt‚ tolerate]@|@accepter [v tr‚ tolérer]@
@accept [vt‚ undertake]@|@accepter [v tr‚ consentir]@
@accept [vt‚consent to receive]@|@agréer, recevoir@
@accept a bid {n} [COMM]@|@adjuger [v tr‚ COMM]@
@accept without qualification@|@accepter sans conditions, accepter sans réserves@
@acceptable [adj‚ adequate]@|@adéquat(e) [adj], satisfaisant(e) [adj]@
@acceptable [adj‚ admissible]@|@acceptable [adj], admissible [adj‚ acceptable]@
@acceptable [adj‚ tolerable]@|@tolérable [adj]@
@acceptable [adj‚ welcome]@|@bienvenu(e) [adj]@
@acceptable risk level {n}@|@seuil {m} de risque acceptable@
@acceptably [adv]@|@acceptable; de façon ~ [adv]@
@acceptance {n [affirm. answer]@|@acceptation {f}, consentement {m}@
@acceptance {n} [COMM]@|@réception {f} [COMM]@
@acceptance {n} [of candidate]@|@admission {f}@
@acceptance; failing such ~@|@accord; à défaut d'~, accord; faute d'~@
@acceptation {n}@|@acception {f}@
@accepted [adj‚ conventional]@|@reconnu(e) [adj], usuel(le) [adj]@
@accepted [pp]@|@accepté(e) [adj]@
@accepted fact {n}@|@chose {f} admise, fait {m} acquis, fait {m} reconnu@
@acceptor {n} [CHEM]@|@accepteur {m} [CHIM]@
@acceptor {n} [COMM]@|@accepteur {m} [COMM]@
@acceptor {n} [PHYS]@|@accepteur {m} [PHYS]@
@access {n} [COMPUT]@|@accès {m} [INFORM]@
@access {n} [way in]@|@accès {m} [entrée]@
@access {n} of [crisis]@|@accès {m} de [crise], poussée {f} de [crise]@
@access {n} to [right of entry]@|@accès {m} à [droit d'entrer]@
@access control {n}@|@contrôle {m} d'accès@
@access of anger {n}@|@accès {m} de colère@
@access point {n}@|@point {m} d'accès@
@access road {n}@|@bretelle {f} de raccordement@
@access time {n} [COMPUT]@|@accès; temps {m} d'~ [INFORM]@
@accessibility {n}@|@accessibilité {f}@
@accessible [adj]@|@accessible [adj]@
@accessible [adj‚ of a person]@|@accueillant(e) [adj]@
@accession {n} [a thing added]@|@addition {f} [ajout]@
@accession {n} [JUR]@|@accession {f} [JUR]@
@accession {n} [to a post]@|@accession {f} [à un poste]@
@accession {n} [to throne]@|@accession {f} [au trône], avènement {m}@
@accession number {n}@|@numéro {m} d'ordre@
@accessories {npl}@|@accessoires {mpl}@
@accessory {n} [an extra thing]@|@extra {m}@
@accessory equipment {n}@|@fournitures {fpl}@
@accessory; to be ~ to@|@impliqué(e); être ~ dans@
@accident {n}@|@accident {m}, sinistre {m}@
@accident risk {n}@|@risque {m} d'accident@
