@English@|@Romani@
@Before this fire burns out@|@May angle sarte merel kadi yag@
@beg@|@g'e-g@
@Beg your pardon@|@Mong your shünaben@
@bellows@|@poodéllas@
@beloved@|@ves'tacha@
@belt@|@kis'ti, kishti@
@beneath@|@tele@
@berry@|@durrel, mu-ra, mura, muréngi@
@Beyond the waters@|@Perdal lpaya@
@bicycle@|@griddler@
@big@|@ba-ro, baro, baro', barri, bori@
@bill-hook@|@kassóni@
@billigoat@|@busno@
@biord@|@dester'edre@
@bird@|@chíriko, chírilo@
@birth@|@jati@
@black@|@kauli@
@Black@|@Kale@
@blackberry@|@brembelia@
@blackbird@|@káulochírilo@
@black-currants@|@káulodúros@
@blacken@|@kaljarel@
@Blacksmiths@|@Kovachi@
@blanket@|@kappar@
@bleeding@|@ratválo@
@blood@|@rat, raty@
@blood sister@|@she'enedra@
@blood-bound@|@kal'enedral@
@body@|@tru-pos, trup, trupos@
@bone@|@cokalos@
@bongo@|@bongo@
@book@|@lil@
@books@|@lila@
@boots@|@chiokers, chockas@
@boss@|@glox@
@bottle@|@valin@
@bottle of good brandy@|@pliashka@
@boxer@|@kóraméngro@
@boy@|@chavo, chavvie@
@brass@|@toot@
@Brazilian@|@Gajão@
@Brazilian woman@|@gajin@
@bread@|@marrão, moro, morum, panum@
@breadcrumbs@|@xume, xumer@
@breast@|@berk, c'uc'i, chuchi@
@bride@|@boria, shebari@
@bride on horse@|@bori k-o grast@
@bridegroom or son-in-law@|@zhamutro@
@bride-price@|@darro@
@bridle@|@sáliwésher@
@bringing the bride home@|@zheita@
@broken@|@poggered@
@bronze@|@sónnasáster@
@brother@|@bar, phal, phral, plal, pral, prala@
@brotherhood@|@pralipe, shena@
@brothers die@|@Te merel muro dad muri dei@
@bull@|@groovno, grov, gurno@
@but@|@ale, ali, ama, no, pale, po@
@butcher@|@maséngro@
@butter@|@kil, tullaben@
@butter-bean soup@|@fusui eski zumi@
@buttocks@|@bul@
@button@|@koc'o, kocho@
@by the gods@|@li'ha'eer@
@by the highest gods@|@li'sa'eer@
@cabbage@|@shok@
@Can you not speak Romany?@|@Ne rakesa tu Romanes?@
@Can you speak Romany?@|@Can tute rakker Romanes?@
@canary@|@meláno@
@candle@|@mumli@
@car@|@drag, lork@
@caravan@|@wardo@
@caravan group@|@kumpa'nia@
@casual friend@|@kestra@
@cat@|@mac'ka, machka, matchiko, matchko@
@cemetery@|@múlladipóov@
@ceremonial celebrations to honour special guests@|@pachiv@
@ceremony to divide money earned@|@lovoro@
@chaffinch@|@rúppavo@
@cheer up@|@manc', manch@
@cheese@|@kal@
@chemist@|@drabber@
@cherries@|@lalos@
@cherry@|@gurli@
@chesse@|@quiraz@
@chicken stew@|@puyo@
@chicken thief@|@kanniechor@
@chieftain@|@ataman@
@child@|@sedre@
@children@|@sedrin@
@Christian cross@|@Treshul@
@cigarette@|@tóovalo@
@cigarette paper@|@toovlil@
@circumcision wedding@|@sunet biaf@
@city@|@forjus, foros@
@clan@|@shena, varnas, vitsa, vitsi@
@clock@|@ora@
@clothes@|@togs@
@clothes-peg@|@feeter, togram@
@coat@|@chuffa, chukka, jiffro@
@coffee@|@kafa@
@collections made among a kumpania@|@kidemos@
@come there@|@av akai@
@coming@|@'tori, toreen@
@companion animals@|@jel'sutho'edrin@
@companions?@|@shavora@
@comparative@|@mai@
@confort@|@du'dera@
@Coopersmith@|@Kalderash@
@co-parent-in-law@|@xanamiki@
@corn@|@giv, grannum@
@corpse@|@mulla@
@count@|@gin@
@countryside@|@monkri, tem@
@cousin@|@siménsa@
@cow@|@dunnick, groovni, gurni@
@crazy@|@didlo, divi, divio@
@cream@|@smente'na, smentena@
@cup@|@koro@
@curse@|@amràn, amriya, armàn, armaya@
@Cursed German@|@Bengesko niamso@
@daffodil@|@dyker@
@dance!@|@Te mange[s]-khel!, Te mange[s] khel!@
@dark@|@narked@
@darling@|@pisliskurja@
@daughter@|@chey, chikni@
@daughter-in-law@|@bori@
@day@|@divvus, o d'ives@
@dead man's string@|@mulengi dori@
@dead person@|@mulo@
@death@|@méripen, moarte@
@death feasts@|@poma'na@
@deceit@|@hóckaben, hóokamen@
@deep song@|@cante jondo@
@deer@|@filshinákos, starni@
@deer-footed@|@liha'irden@
@departed@|@gilo@
@destroy@|@rumindel@
@destroyed@|@rumindelgjol@
@devil@|@beng@
@devilish@|@bengalo@
@direction@|@zeravo@
@dirges@|@mulengi djilia@
@dirt@|@chik, melalo@
@dirty@|@chikly@
@dishonored@|@prastlo@
@do you understand?@|@hai shala@
@doctor@|@drabéngro, drabméngro@
@dog@|@dogue, jog, jook, júckal, rikono@
@dog license@|@slinger@
@donkey@|@jinnik, mailo, moilo, myla@
@don't@|@nanti@
@Don't forget the 500@|@Na bister 500, 000@
@Don't forget the 500 000@|@Na bister 500 000@
@Don't talk so loud@|@mor rakker sä drován@
@Don't touch me there!@|@Na azba mande khote!, Te na azvas man kothe!@
@door@|@jigger@
@double-reed conical-bone wind instrument@|@zurla@
@dough@|@xume'r, xumel@
@drink@|@lus, lus'@
@drink to@|@pe-, pi-, pitarer-@
@drinks@|@pi'bati@
@drunk@|@mato, motto@
@dumps@|@tips@
@ear@|@kan, year, yurr@
@Easter@|@patragi@
@eel@|@sappéskomátchi@
@egg@|@yaras, yora, yoro@
@eiderdown@|@gunha@
@eight@|@oito@
@eleven@|@desh ta yek@
@elopement@|@romni nashli@
@emancipation from slavery@|@desrobireja@
@enemy@|@doshman, jostumal@
@engagement feast@|@pliashka@
@enough@|@dosta@
@erection@|@karbaro, midjloli, porado@
@European dialect of Romani@|@european@
@ever@|@vare@
@-ever@|@vare-@
@Everybody sees only his own dish@|@Sako peskero charo dikhel@
@explain@|@get'ke@
@extended family@|@familia@
@eye@|@yak@
@eys@|@acans@
@face@|@muj@
@faeces@|@gunoi@
@family heirloom@|@sumadji@
@far@|@dur@
@farmer@|@givéngro@
@fart@|@kan, khan@
@fat@|@tulla@
@fate@|@baxt@
@father@|@bato, dad, dadrus, dadus, dat@
@father-in-law@|@sastro@
@fear@|@trash@
@fellow@|@chal@
@female genitals@|@mindj@
@female reader@|@drabarni@
@field@|@sa'rk@
@fighting@|@kuriying@
@find@|@kulath@
@fingers or hand@|@vázes@
@fire@|@yog@
@first person singular for preterite@|@-em@
@fish@|@macho, maczo, matchi@
@fish farm@|@purchery@
@five@|@pansh@
@floor@|@dila@
@flower@|@nazar, rustler@
@food@|@cabén, hobben, scran@
@foot@|@pir, pirri@
@foreign@|@themenge@
@forest@|@besh, bos, ves', vesh, wesh@
@forest spirit@|@kesali@
@Forester@|@Padureani@
@forgetful@|@var' athanda@
@fork@|@fonga@
@formal tribunal@|@kris@
@fortunetelling@|@drúkkeribén, dukkering@
@fortune-telling booth@|@ofisa@
@four@|@stor@
@foverver@|@sutho@
@fowl@|@kanni@
@fox@|@mókadi jóok, weshjook@
@freedom@|@slobuzenja@
@fresh water@|@pani nevi@
@fried cornbread@|@xaritsa@
@fried flour bread@|@pufe@
@friend@|@bor, mora, much@
@friend of... (as an insult)@|@-ran@
@friendly@|@tukali@
@friendship@|@kámmoben@
@frighten@|@darakerel, daravel@
@frog@|@beng, chíkchani, chiténgro@
@frogs@|@brashki@
@frozen@|@ledome@
@fruit@|@becker@
@frying pan@|@hótchiméngri@
@funeral feast@|@pomana@
@gadje@|@balame, payo@
@gadje gypsy-groupies@|@puyuria@
@Gadje with Gadje-Rom with Rom@|@Gadje Gadjensa-Rom Romensa@
@gamekeeper@|@weshéngro@
@gander@|@pápingo@
@garlic@|@sir@
@gate@|@stéggus, stíggerus, stúggerus@
@gem@|@grauni@
@gentlemen@|@rai@
@get out@|@crush@
@ghost of Romany man@|@moolo, muladi@
@ghost's vomit@|@johai@
@girl@|@chavi, chey, shey@
@girlfriend@|@monishi@
@girl's dowry@|@cheiz@
@go@|@za@
@go away@|@jal avree@
@go gently@|@kathal@
@go onward@|@kele@
@Go with God and in good health@|@Zhan le Devlesa tai sastimasa@
@God@|@devel, duvêl, Duvvel@
@God go with you@|@Dza devlesa@
@godmother@|@kirvi@
@gold@|@sonkai, sónnakai, sunacai@
@gold coins@|@galbi@
@Goldsmiths@|@Kobzari@
@Goldwashers@|@Aurari, Zlatari@
@gone@|@gelo@
@good@|@kushti, lacho@
@good evening@|@lacshì ti rat, lashi rachi@
@good fortune@|@baksheesh@
@good luck@|@kushti bak@
@good morning@|@dobroj tume, lachshí tí yavin, lashi de tehara@
@good morning (1)@|@bahtali ti avin@
@good night@|@kushti ratti, lashi rat, lokì ti rat@
@Good night!@|@Kushti ratti!@
@goodbye@|@achen devlesa, ashen devlesa, dzan devlesa@
@goodbye ( 2)@|@achshòv devlèsa@
@goodbye (1)@|@devlesa, jidikhibnà, latcho drom@
@goose@|@papin@
@gooseberry@|@ogrúsela@
@goosedown pillows covered in gay@|@sheranda@
@gourd@|@dudum@
@grandfather@|@puro dad, púrodad@
@grandmother@|@puri daj, púridaia@
@great lords@|@ray baro@
@great trick@|@hokano baro, o xonxano' baro'@
@greeting@|@sastipe@
@groom@|@kirvi@
@grow@|@barjol@
@gullible person@|@so' trekoth@
@gun@|@pus'ka, pushka, yogéngri, yogger@
@gypsy chief@|@vaida@
@Gypsy expelled from tribe@|@pikie@
@gypsy fairy tales@|@paramicha@
@Gypsy outside the Romany tribes and of mixed blood@|@didikai, didikoi@
@Gypsy stories@|@svatura@
@gypsy story@|@svata@
@gypsyhood@|@romipen@
@gypsyness@|@romipen@
@hair@|@bal, bala, balum, hummel@
@half@|@posh@
@half-Gypsy person@|@poshrat@
@hammer@|@deloméskro@
@hand@|@faster, ha-th, morler, vast, wast, wast@
@handkerchief@|@stook@
@happy@|@baktalo@
@hare@|@konéngri, morgan@
@has@|@ha@
@hat@|@kaydi, stardi@
@haunted by a dead person@|@múladi@
@hawk@|@tale@
@hay@|@kas@
@He wants to dance'@|@Mangel te khelel!@
@head@|@'se-ro, 'ser'o, `ser`o, ser'o, ser`o, sero, sharo, sherro@
@head of a familia@|@phuro@
@head person@|@shora, shura@
@heart@|@ozi@
@heat@|@gha-m@
@heath@|@grígatem@
@heather@|@griga@
@hedgehog@|@hotchi@
@hello@|@dobroj tu, dobroj tume, dobroj tut@
@hello (1)@|@devlesa araklam, ej, lasho des, sastimos, sastipé@
@hello (2)@|@droboy tume, hálo, lachshí tí yavin@
@hello (3)@|@bahtali ti avin, mey, sarmai san, yov sasti@
@helpful spirit@|@leshya'e@
@hens@|@khania@
@herbs@|@drab, xacas@
@herbs used in cures@|@pattríensis@
@here@|@'kai, 'koi, akai@
@Here there are also smacks@|@Isi ili daba@
@hide@|@mortsi-@
@high-court judge@|@pókinyos@
@hither@|@kori@
@homosexual@|@she'chorne@
@honey@|@píshomgúdlo, spishi@
@honor for road travel@|@yuthi'so'coro@
@hoof@|@petál@
@hops@|@lévinorménqris, scroops@
@horse@|@grai, gras, grast, groi@
@horse-dealer@|@graiéngro, groiéngero@
@Horse-dealers@|@Lovara@
@horseshit@|@sheka@
@horseshoe@|@petalo@
@hot@|@tat'o, tato-, tatt'o, tatti@
@hot barbecue sauce@|@chile mole@
@house@|@k'ena, ken, kenner, ker@
@House-builders@|@Salahori@
@house-dweller@|@kennick, keréngro@
@household@|@ts'erha@
@How are you?@|@Mishto, Sar san?, Sar shan?@
@hundred@|@shel@
@hunger@|@bokh@
@hungry@|@bocklo, panish@
@hungry soul@|@trushal odji@
@husband@|@dom, lom, Rom, romer@
@huts@|@kleti@
@I@|@man, mandi, me@
@I accuse@|@bangjaràv@
@I am a journalist@|@so hramosorav andi gazeta@
@I am Bardu@|@Me som Bardu@
@I am glad to see you@|@Mishto hom me dikava tute@
@I am going to shit on you@|@Ka xlia ma pe tute@
@I am replete@|@Chailo sim@
@I am Spiro's daughter@|@Me san de spiroski shey@
@I don't understand@|@Chi hacharav@
@I drink water@|@Me piav pani@
@I have a little money@|@Isi ma xarica love@
@I now leave you to God@|@Akana mukav tut le Devlesa@
@i read@|@drabarav@
@I read@|@gilabav@
@I stop@|@'chava@
@I would have sung...@|@Me ka gilavgjum sine@
@I would've come@|@ka avavas, Te khelelas-ka avavas@
@ice@|@haréef, led@
@idiot@|@dinili@
@if@|@ako, eger, kana, te@
@If he had danced@|@Te khelelas, Te khelelas-ka avavas@
@If they conquer the world@|@Mukhenpe te khan la lumia@
@If you want@|@Te mange[s]-khel!, Te mange[s] khel!@
@ill@|@nafli, násfalo@
@illness@|@naswalemos@
@In Lovara=rabbits@|@Shoshoraya@
@In which vitsa@|@Ande save vitsa@
@incest@|@socro-bori@
@individual household within a familia@|@tsera@
@inn@|@albergo, kir`c`ima, kirchima@
@inside@|@andre@
@inspired one@|@awenydd, awnydd@
@intelligence service@|@chordane@
@intermediary with gaje/leader@|@Rom bar`o@
@into town@|@ando foro@
@iron@|@saster@
@Ironworkers@|@Ferari@
@is@|@hi, se, si@
@Is it okay@|@Ov yilo isi@
@It is God who brought you@|@Devlesa avilan@
@It is with God that we found you@|@Devlesa araklam tume@
@item@|@inox@
@jellied pig's feet and ears@|@pertia@
@Jesus Christ@|@Develésko mush@
@judge@|@jude@
@judgment@|@kr`isis@
@kettle@|@kaba, kavvi, kekkávvi, khavri@
@kettle iron@|@kávvisáster@
@kettle-iron@|@sásterkábakósh@
@Kind of noodle and cheese pudding@|@pirogo@
@king@|@kralis, urai@
@kiss@|@chooma@
@knife@|@cheuri, churi@
@kris complaint@|@bavo@
@kris judgement using armaya@|@solakh@
@kris judges@|@krisatora@
@kris precedents@|@bayo@
@lad@|@chiavala@
@lady@|@paxivalin, rauni@
@lame@|@bungy@
@lamp@|@lampo@
@landowners@|@raya@
@language@|@jib@
@laughing@|@hasandor@
@law@|@liri@
@lawyer@|@póokersaméngri@
@leaf@|@patrin@
@leather@|@mortsi@
@leave@|@muk@
@leek@|@póorami@
@left side@|@zeravo-@
@leg@|@pero@
@legend@|@páttrimíshi@
@Let him dance!'@|@Te khelel!@
@let us come@|@avas@
@lie@|@cabipe@
@life@|@jívaben@
@light@|@deram@
@like@|@sar@
@Like crabs in a bucket@|@Sar laci and'ekh vadra@
@liquor@|@xinbire@
@little sister@|@jel'enedra@
@living wagon@|@vardo@
@lobster@|@heréngro@
@lock@|@klissin@
@long@|@duro@
@long road@|@lungo drom@
@long-distance travellers@|@storvandre@
@louse@|@joob@
@lousy@|@joobly@
@love@|@kambulin, kom@
@luck@|@bak, baque, baxt, bok@
@lucky@|@bakalo, baxtalo@
@made@|@ked`om, kerdem@
@magistrate@|@bistering mush, bitcherin' mush@
@magpie@|@kackarátchi@
@male reader@|@drabarno@
@Male singer or reader@|@gilabno@
@mallard@|@rómanirétchka@
@man@|@dom, feen, glox, lom, moosh, mush, Rom, Ron@
@man of the forest@|@veshengo@
@mare@|@grasni@
@marime@|@palecido@
@market@|@wélgora@
@marking@|@shpera@
@marriage@|@abiav, abijav, amnjav, bijav, ebav@
@married@|@ramado, romered@
@married of a man@|@ansurimè@
@martyr@|@marturo@
@masculine ending@|@-os@
@match@|@conger@
@May I be buried next to X@|@Te prakhon man pasho o X@
@May I die@|@Te merav@
@May I eat at your wedding@|@Te xav ka to biav@
@May I redden the earth with my blood@|@Te lolirav I phuv mure ratesa@
@may it be so@|@bater@
@May my blood spill@|@Te shordjol muro rat@
@May my child die tomorrow@|@Te merel muri shey@
@May my father@|@Te merel muro dad muri dei@
@May our favourite stallion die@|@Te merel amaro kuro o lasho@
@May the malignant disease waste him@|@Te malavel les i menkiva@
@May this be before you@|@Te avel angle tute@
@May you burn candles for me@|@Te pabaren mange memelia@
@May you remain with God@|@Ashen Devlesa-Romale@
@May your names be forgotten@|@Te bisterdon tumare anava@
@maybe I can help you@|@a-ko isi pomoshinav tumen@
@me@|@man, mandi, me@
@meat@|@mas@
@medicine man@|@drabengro@
@meeting@|@divano@
@melon@|@dudu'm@
@Members of a horde@|@Laieshi@
@migratory farm workers@|@spalpeens@
@milk@|@chuti, tood, tud@
@Mimi's son-in-law@|@Yodjo la Mimako Zhamutro@
@mine@|@mandi's@
@Miners@|@Rudari@
@ming@|@cunt@
@mirror@|@dikkoglímmer, dikkornéngro@
@money@|@bob, cadéns, gored, grushi, love, poshes, wongur@
@Money in hand@|@Love k-o vast@
@monkey@|@púgurus@
@month@|@moon@
@moon@|@dood, shon@
@more@|@kom`i, komi@
@mother@|@bata, dai, daia, daj, day, dya, Te merel muro dad muri dei@
@motor@|@drag@
@mountain@|@bar, bur@
@mouse@|@kadessa@
@mouth@|@mooi, mui, muj@
@mule@|@djolano, dz'olana, moaker, mukka@
@musician@|@bashaldò@
@Musicians@|@Bashalde@
@my@|@mandi's@
@my brother@|@Miro prala@
@my dear sister@|@Miri kushti pen@
@my mother@|@miri dye@
@naked@|@nongo@
@name@|@nav@
@name word@|@lav@
@nanny-goat@|@stagni@
@narrow high brass container with a long handle@|@djezbeh@
@nation@|@natsia@
@near@|@uzal, uzo@
@neckerchief@|@diklo@
@nephew@|@palésko@
@-ness@|@-pen@
@nest@|@besh@
@niece@|@penyáki@
@night@|@dirachin, rarti@
@nightingale@|@rártigíllichal@
@nine@|@inneon@
@no@|@kekka, na, nanetee@
@no good@|@bi-lacho@
@nomadic@|@bravi'os@
@non Rom@|@gadjó@
@non-gypsy@|@gadjikane@
@non-Gypsy@|@gaujo@
@non-gypsy boy@|@raklo@
@non-gypsy man@|@gadjo@
@non-Gypsy man and woman@|@geyri, geyro@
@non-Rom@|@gage, gorgio, pale'cido@
@non-Rom womon@|@b'o-r@
@non-Roma girl@|@rakli@
@non-Romani name@|@anàv gadñikanò@
@nonsense@|@shesti@
@noose on a spring@|@bender@
@nose@|@nak, nakh, nok@
@not@|@kek@
@nut@|@petlar@
@oath@|@amìra@
@obstinate@|@nappy@
@old@|@poori, pooro, puro@
@old mare recently in foal@|@tit@
@on the ground@|@'prey o poov'@
@on the river or lake@|@'prey o pani'@
@on top@|@opre@
@once@|@yéckorus@
@one@|@yak, yeck@
@one being@|@corthu@
@one who eats@|@xari@
@oneness@|@jekhipe@
@onion@|@purum, strangler, strangli@
@opposite@|@mamuj, mujal@
@or@|@ili, ja, ja palem, vaj@
@other@|@wavver@
@our@|@ama-ro, amar'o, amaro, amaro', asma-'ka, hama-ra@
@Our big land@|@Amaro baro them@
@out of@|@andar@
@oven@|@bo-v, bov@
@over@|@upral@
@overseer@|@ciocoi, vatave@
@owl@|@wéshimúlo@
@own@|@nogo@
@pachiv song@|@pachivaki djili@
@parson@|@tompad, tonpad@
@partners@|@wortacha@
@partridge@|@bíttikánni@
@Pay for their shame@|@Te pochinen penge lazhav@
@pea@|@boobi@
@peaceful@|@konyo@
@peacock@|@bárripóari@
@pear@|@ambrol, broller@
@pegs@|@faida@
@penis@|@kar, kori@
@Pentecostals@|@aleluyas@
@people@|@folki, manush@
@pepper@|@pipere, táttikovi@
@petticoats@|@chuffas@
@piece@|@koto-r, kotor@
@pig@|@grunter@
@pigeon@|@wiffler@
@pigs@|@'si-drugs, shades, shadogs@
@pike@|@moolyin matchi@
@pint@|@shant@
@pipe@|@swiggler@
@plate@|@charo, skóodalin@
@play the fiddle@|@kel the bosh@
@playing cards@|@wardis@
@pleasant@|@bárrikánni@
@Please turn away@|@Bolde tut-kako@
@plenty@|@doosta@
@plural noun suffix@|@-uri, -uria@
@pocket@|@pootsi@
@poisonous snakes@|@drábaneysapa@
@police@|@garda, glo-kots@
@police constable@|@shanglo@
@policeman@|@baulo, gav mush, gavver, mushgro, musker@
@pond@|@rebniko@
@poor@|@chori@
@Portuguese language@|@querdapanin@
@possessive case ending@|@-e'sko@
@posterior@|@chad@
@pot@|@cóokerell@
@potato@|@poovéngro, póover@
@pouch inside a skirt@|@posoti@
@priest@|@rashái@
@prison@|@stíraben, stúraben@
@prostitute@|@lóoverni@
@proud@|@bu-ino, buino@
@pub@|@kitchima, lévinorkénna@
@publican@|@holéno@
@pudding@|@gooi@
@pure@|@zuhno@
@Purity@|@wuzho@
@purity code@|@mageripen@
@purse@|@kis, kis`i@
@putting@|@chiving@
@quarter of a town@|@mahala@
@rabbit@|@drummer, shoshi@
@rabbit stew@|@xaimoko@
@rabbit-snare@|@paramíkri@
@race@|@r'asa, rasa@
@rag and bone dealing@|@tatting, totting@
@rain@|@brichindin, brushíndo, pan, pani@
@raspberries@|@smowrélias@
@raven@|@curaco@
@read aloud@|@dav opre@
@red@|@lala, lalo, lolo@
@redcurrant@|@ribiséla, rosela@
@redpole@|@lólochírillo@
@reed@|@risko@
@relatives@|@niamo@
@religious state-of-grace@|@cha'risma@
@remain@|@atchava@
@resignation@|@vai'datha@
@retarded@|@dili@
@ring@|@fauni@
@ring on finger@|@wóngustrin@
@ritually unclean@|@móggerdowie, mókadi, mókado@
@road@|@drom, drum, tober@
@road sign@|@patrin@
@roads@|@droma@
@robin@|@lólodúianchír@
@rolled pastry with fruit@|@saviako@
@rom man@|@man`u`s@
@Rom man@|@calon@
@Rom woman@|@calin@
@Roma Arise!@|@Opre Roma!@
@Romani language@|@romanes@
@Romani man@|@Rom@
@Romani name@|@anàv rromanò@
@Romani women@|@Romni@
@run away@|@jass@
@running@|@vetha@
@sack@|@goonna@
@sad@|@kachardin@
@saddle@|@zen@
@safe@|@sadullos@
@sailor@|@tiffi@
@saints' day festivals@|@slavi@
@salmon@|@báuromátchi@
@salt@|@lon@
@saw@|@suni@
@sea@|@dari-av, dariav, deriav@
@seagull@|@chaipáni@
@see!@|@isda@
@seer@|@awenyddion@
@self@|@kókkero@
@sent across@|@bitchady pawdel@
@sent out for supplies@|@paguba@
@settled family groups@|@clachans@
@seven@|@efta@
@shaman@|@taibhsear, taibshsear@
@shame@|@lashav@
@shantytown@|@bidonville@
@Sharpeners@|@Cutitari@
@sheep@|@bokro@
@ship@|@bero@
@shirt@|@gad, miltog@
@shit@|@khul@
@shoes@|@chókalis, tiráques@
@shop@|@bolta, búriker, buteker, chover, gropa@
@short-distance travellers@|@smavandre@
@si!@|@besh!@
@sibling@|@edre@
@sickness@|@naçualão@
@side-roads@|@boreens@
@sieve-makers@|@Churara@
@signpost@|@the kosht that pookers thedrom, the pookering-kosh@
@silk@|@ki`s, kish@
@silly@|@dinilo@
@silver@|@rap, rup, rupper@
@Silversmiths@|@Argintari@
@sin@|@bino@
@sing@|@gilyabar@
@sir@|@rye@
@sister@|@ben, bhen, edra, pen, penne, phei, phen, shaia@
@six@|@shoav@
@six months@|@sixmoon@
@skewer@|@spíngarus@
@skin@|@mortsi-@
@sleep@|@sootti@
@small@|@bitti@
@small domestic stills@|@kazan@
@small house@|@tigins@
@smear@|@mrak`s@
@smelly@|@khantino@
@smith@|@pútcherléngro@
@smutty@|@mélali@
@snails@|@bauri@
@snake@|@sap, sapper, sarp@
@snare@|@titlaméngro@
@snow@|@eef, shiv, snaff@
@soldier@|@kooli@
@some sort of food@|@rahat lokum@
@son@|@chikno@
@song@|@gilli@
@songs@|@djilia, gillia@
@sorrow songs@|@brigaki djilia@
@soup@|@simmin, zumi@
@sour@|@bushalo@
@speakers of other dialects@|@Lalleri@
@spear@|@piko@
@special healing herb@|@drarnego@
@speculation@|@krethes@
@spell@|@draba@
@spirit@|@te'sorthene@
@spirit of the dead@|@mulo@
@spirit of the night@|@martiya@
@spirit who brings illness@|@mamioro@
@spirits@|@táttipáni@
@Spirits of dead children?@|@detlene@
@spoon@|@rull@
@Spoon-makers@|@Lingurari@
@spy@|@spiuni@
@squirrel@|@rúkkersaméngri@
@stable@|@stanya@
@stack@|@stoggers, stoggrus@
@stained@|@magerd`o@
@star@|@aster, chakano@
@stars@|@chere@
@stick@|@koshter@
@stick dance@|@rovliako khelipen@
@stink@|@summa@
@stocking@|@holofer@
@stockings@|@olivas@
@stomach@|@pir@
@stop!@|@'chavaia!@
@stopping place@|@atchen tan@
@story@|@lil@
@straddle the legs open@|@puterdea@
@strange@|@streyino@
@stranger@|@gájikano@
@strawberries@|@slabérias@
@strength@|@zor@
@strictly fiddlers@|@Lautari@
@stuffed cabbage@|@sarma@
@stupid@|@dinlo@
@suffix@|@-er@
@suffix -er@|@-der@
@suffix for abstact nouns@|@-mos@
@suffix for passive participles@|@-me@
@suffix to form abstract nouns@|@-ben@
@suffix to form passive participles@|@-m`e, -men@
@sugar@|@goodlo@
@summons@|@slang@
@sun@|@cam, kam, kham@
@superstitious and supernatural stories@|@darane svatura@
@swear@|@she@
@Swede@|@snokrel@
@sweer@|@mariki@
@System of servitude to pay off debts and credits@|@monchimo@
@take@|@b'e-g, salk@
@taken away@|@nicobado@
@tale@|@lil, parami`sus, paramishus@
@taste@|@kang@
@tax collector@|@jude@
@tea@|@chao, meski@
@teeth@|@danners@
@ten@|@desh@
@tent@|@tserha@
@Tent-dwellers@|@Chergari@
@tent-pole@|@shoshka@
@term of endearment@|@chav@
@thank you@|@gestena, nais, najis tuke@
@Thank you@|@Nais tuke@
@That's untrue@|@Dovo's a huckaben@
@the@|@e, i, le, o@
@the devil@|@bang@
@the devouring ie the Holocaust@|@porraimos@
@The great trick@|@O xonxano baro@
@the live one@|@o zhuvindo@
@the moles@|@l vakandoka@
@the most common exclamation@|@dordi@
@the ocean@|@the bori lon pani@
@The people make you dance@|@O manusha khelevan tut@
