@English@|@Naskapi@
@abstain from food: he/she ~s@|@siiwaaitiisuw (vai-u)@
@abundant (anim): it is ~@|@miihchaatuw (vai-i)@
@accident: he/she hits him/her/it (an.) by ~@|@pistaahwaaw  (vta)@
@accidentally)@|@nipaaiwaaun (ni)@
@accordion@|@chistwaawaapichikin (ni)@
@accounts: he/she does the ~@|@tipisinaaichaaw  (vai)@
@accurate: it is ~@|@muyaamipiyuw (vai/ii-i)@
@across (the portage) in the next lake downstream@|@twaakaahch (p)@
@across: he/she takes it ~@|@aasuuwiihtaaw (vai+o)@
@act self-confidently toward him/her: he/she ~s@|@suuhchaaimutuwaaw (vta)@
@adam's apple: his/her ~@|@upiskukutaakin (nid)@
@advice: he/she gives him/her ~@|@kichaaschimaaw (vta-r), kichaaschimaaw (vta r)@
@affectionate: he/she is ~@|@chisaawaatisiiw (vai)@
@afraid for him/her: he/she is ~@|@kustimuwaaw (vta)@
@again@|@miin (p), miinuwaach (pc)@
@agreeable: he/she is ~@|@naahaaihtim (vti)@
@ahead@|@niikaanuuhch (p)@
@ahead in time@|@niikaan (p)@
@aid: it ~s@|@naaipiyaamikin (vii)@
@aim it: he/she ~s@|@wiyaapaahtim (vti)@
@air it (anim): he/she ~s@|@chisiiyaastimaaw (vta)@
@air pump@|@puutaataaikin (ni)@
@airplane@|@kaapimiyaast (nap)@
@airplane with four propellers@|@kaanaaumuich-kaapimiyaast(nap)@
@airplane with two propellers@|@kaaniisumuich-kaapimiyaast(na)@
@airplane: float ~@|@nipiich-kaatwaaut-kaapimiyaast@
@alcohol@|@kaasuuhchiimikaahch (nip)@
@alcohol: he/she is affected by ~@|@chiiskwaapaaskaakuw (vai-u)@
@alert: he/she is ~@|@kichaahtaawaaihtim (vti-r), kichaahtaawaaihtim (vti)@
@all@|@misiwaa (p)@
@all of smth.@|@nuutim (p)@
@allowance: family ~@|@awaasich-suunaayaaw (ni)@
@along the edge@|@such (p)@
@along the edge of the rock@|@yaayaapisch (p)@
@along the edge of the shore@|@yaayaaw (p)@
@along with@|@chich (p)@
@alot: there is ~@|@miihchaatuw (vai-i)@
@already@|@saas (p)@
@although@|@aaisaach (p)@
@always@|@kaachaay (p)@
@amulet@|@nituchikin (ni)@
@amuse him/her: he/she ~s@|@muchaahaaw (vta)@
@amuse himself/herself: he/she ~s@|@miywaaihtimiisuw (vai-u)@
@amusement@|@miywaatimuun (ni)@
@amusing person@|@uwiitaaihtaakusuw (vai-i)@
@amusing: it is ~@|@miywaaihtaakun (vii)@
@an awl@|@chiistaaikin (ni)@
@anchor chain@|@punisinaapaasuunaayaapiiy (ni)@
@and@|@aaku (p)@
@angry because he/she is hungry: he/she is ~@|@chiswaahkitaaw (vai)@
@angry: he/she is very ~@|@suuhchichiswaasuw (vai-i)@
@animal): it ~s@|@piswaaw (vta)@
@ankle joint: his/her ~@|@upiskuukunaan (nid)@
@annoint (greases) someone's feet: he/she ~s@|@tuumisitaanaaw (vta)@
@antler@|@aaskin (na)@
@anxiously waiting for him/her: he/she is ~@|@pikwaahaaw (vta)@
@any liquid which is rubbed on@|@suupwaachiiun (ni)@
@anyway@|@iyaapich (p)@
@apiece@|@paahpaaikw (p r)@
@apparition: he/s sees a ~@|@maayaasinim (vti)@
@appear so: he/she ~s@|@isinaakusuw (vai-i)@
@appear so: it ~s@|@isinaakun (vii)@
@applies himself/herself@|@aaihimiihtaaw (vai)@
@apply cream to someone else's hands: he/she ~s@|@tuumitiihchaanaaw (vta)@
@apply it (an.) in lumps: he/she ~s@|@piskutimwaahaaw (vta)@
@apply it in lumps: he/she ~s@|@piskutimuuhtaaw (vai+o)@
@apply lotion to one's own hands: he/she ~s@|@tuumitiihchaaniisuw (vai-u)@
@arctic char (Salvelinus alpinus)@|@suusaasuw (na)@
@area of trees in the valley: it is an ~@|@pisaaskwaaw (vii)@
@armchair@|@uchimaaw-taahtipuwaakin (ni)@
@arm-length: one ~@|@paaikunisch (p)@
@arm-lengths: four ~@|@naaunisch (p)@
@arm-lengths: many ~@|@miihchaatunisch (p)@
@arm-lengths: there are four ~@|@naaunischaayaaw (vii)@
@arm-lengths: there are many ~@|@miihchaatunischaayaaw (vii)@
@arm-lengths: there are three ~@|@nistunischaayaaw (vii)@
@arm-lengths: there are two ~@|@niisunischaayaaw (vii)@
@arm-lengths: three ~@|@nistunisch (p)@
@arm-lengths: two ~@|@niisunisch (p)@
@around ankle and calf@|@waakaahkunaaun (ni)@
@arrange him/h/it as load on sled for s.o.: he/s ~s@|@utaapaaniihkaatuwaaw (vta)@
@arrange it (an.@|@naahaawaapiihchaanaaw (vta)@
@arrange it (string-like): he/she ~s@|@naahaawaapiihchaanim (vti)@
@arrange it as a load on toboggan/sled: he/she ~s@|@utaapaaniihkaatim (vti)@
@arrange things: he/s ~s@|@naaustaaw (vai)@
@arrive at last rapids going downstream: he/she ~s@|@niihtaachuunaaham (vti)@
@arrive at the shore in a vehicle: he/she ~s@|@mitaapaapiyuw (vai-i)@
@arrive too late to catch it (ex plane): he/she ~s@|@mwaastinim (vti)@
@artery: his/her ~@|@umiihkwaayaapiiy (nid)@
@as if not@|@aaskw aakaa (p)@
@assistant@|@kuuhpaanaaw (na)@
@assistant manager@|@uchimaas (na d)@
@at least@|@aatimikw (p), aatuwiiy (p)@
@at several points@|@mimaan (p)@
@at the bottom@|@aanaahch (p), aanaahch (p)@
@attach another piece of cord onto it: he/she ~s@|@aaniskuwaapiihchaanim (vti)@
@attached on: it is ~@|@aaniskuwaaw (vii)@
@attached to another one: he/she@|@aaniskupisuw (vai-u)@
@attached: it is ~@|@aaniskuuhtin (vii), aaniskuusin (vai)@
@attaches them (in) one after another: he/she ~@|@aanischiyaapiihkaatim (vti)@
@attorney@|@kaaiyimit (nap)@
@attractive: he/she is ~@|@suwaaihtaakusuw  (vai-i)@
@aunt (father's sister): his/her ~@|@usikusa  (nad)@
@automobile@|@utaapaan (ni)@
@automobile fuel@|@utaapaan-pimiiy (ni)@
@autumn: it is ~@|@tikwaachin (vii)@
@avaricious: he/she is ~@|@aaspuunisiiw (vai)@
@awake confused: he/she ~s@|@chiiskwaahusuw (vai-u)@
@aware of him/her as a help: he/she is ~@|@maahtaaimaaw (vta)@
@awl@|@pisimin@
@axe handle@|@akitaaskwaaskw (ni)@
@axe-blade (edge or sharp side of)@|@utaastimaapitich (p)@
@babiche wrapped around snowshoe frame@|@apistaaskwaanuut (vai-cj)@
@baby@|@awaas (na)@
@baby goose@|@nischis (na d)@
@baby wrapping@|@awaas-aahchikuyaan (na)@
@baby: new ~@|@uschiwaas (na)@
@baby-sits: he/she ~@|@kinuwaasaaw (vai)@
@back of smth: at the ~@|@aatimaachipiskun (p)@
@back of smth: on the ~@|@aatimaachipiskun (p)@
@back: in the middle of his/her ~@|@taauchipiskun (p)@
@back: on the top of his/her ~@|@taahkuchipiskun (p)@
@backbone@|@waaukinaachaakin (ni)@
@backward (an): he/she pulls him/her/it ~s@|@saapitaaw (vta)@
@backward (an.): he/she drive it ~s@|@saapiyaahaaw (vta)@
@backward: he/she drives it ~@|@saapiihtaaw (vai+o)@
@backward: he/she pulls it ~s@|@saapitim (vti)@
@backward: he/she runs ~s@|@saapaahtaaw (vai)@
@backwater of river: it's a ~@|@aapimichuun (vii)@
@bad (anim@|@michaachisuw (vai-i)@
@bad boy@|@michinaapaas (na d)@
@bad boy: he is a ~@|@michinaapaasiiw (vai)@
@bad language@|@michiyimuuun (ni)@
@bad language: he/she uses ~@|@michiyimuw (vai-i)@
@bad man: he is a ~@|@michinaapaauw (vai-u)@
@bad word@|@michiyimuuun (ni)@
@bad: he/she is ~@|@maayaatisiiw (vai)@
@bad: it is ~@|@maayaatin (vii)@
@badness@|@maayaatisiiun (ni)@
@bag for blankets@|@nipaakinut (ni)@
@bag for traps@|@aschiihkumaanut (ni)@
@bag) up and hoists it up: he/she ~s@|@uuhpaapiihkaatim (vti)@
@bag: hide ~@|@piisaakinimiiut (ni)@
@bag: leather ~@|@piisaakinimiiut (ni)@
@bag: plastic ~@|@kaakaauskut (ni)@
@bag: school ~@|@kaachiskutimaachaau-miiut (ni)@
@Baie-du-Poste@|@mistisiniiw-iiyuw (na)@
@Baie-du-Poste (loc)@|@mistisiniiy (ni)@
@bail water out: she ~s@|@saasiikaaipaaw (vai)@
@bait@|@kuschaayuw (na)@
@bait it (hook or trap); he/she ~s@|@kuschaayaahkaahtim (vti)@
@bakeapple berry@|@sikutaaw (ni)@
@bakeapple plant (Rubus chamaemorus)@|@sikutaawaahtikw (na)@
@baking powder (fizzing medicine for stomach)@|@kaauhtaapiich (nip)@
@baking soda@|@kaawiiswaaupiich (nip)@
@ball@|@muususiniiy (ni), tuuwaan (na)@
@balloon@|@kaapuutaataakinut (nap)@
@balsam fir tree (Abie balsamifera)@|@iiyaasiiht (na)@
@balsam fir trees: it is an area of ~@|@iiyaasiihtiskaaw (vii)@
@balsam fir: it is an area of dense ~@|@sichiiyaaschiskaaw (vii)@
@banana@|@kaawaakaaskaach (nip)@
@band councillor@|@iiyuuchimaahkaan (na)@
@bandage@|@maakupichikin (ni)@
@bandage for hand@|@maakutiihchaapisuun (ni)@
@bandaid@|@pisikuschuwaataaikin (ni)@
@bank building@|@suunaayaauchiwaahp (ni)@
@bank: on top of the ~@|@taahkutaauhch (p)@
@bankrupt: he/she is ~@|@naatwaapiyuw (vai-i)@
@bannock (food)@|@iiyuupaakwaasikin (na)@
@bannock: fried ~@|@puunaakin (na)@
@bannock: he/she makes ~@|@iiyuupaakwaasikiniihchaaw(vai)@
@bare hands: he/she has ~@|@saasaatiihchaaw (vai)@
@bare legs: he/she has ~@|@musaakaataaw (vai)@
@bare someone's body: he/she ~s@|@musaaskitaanaaw (vta)@
@bare-bottomed: he/she is ~@|@musaakichisuw (vai-i)@
@bare-chested: he/she is ~@|@musaayaaschikinuw (vai-i)@
@barefoot: he/she is ~@|@saasaachiituw (vai-i)@
@barefooted: he/she lies ~@|@saasaachiitisin (vai)@
@bare-headed: he/she is ~@|@saasaachistikwaanaaw (vai)@
@bare-legged: he/she is ~@|@saasaachikaataaw (vai)@
@barely@|@chaatisch (p)@
@barely enough: it is ~@|@chaatischipiyuw (vai/ii-i)@
@barn (for animals)@|@awaasiisichiwaahp (ni)@
@barren@|@musaa (p)@
@barren ground person@|@musuwaaw-iiyuw (na)@
@barren island: it is a ~@|@ministikwaamiskaaw (vii)@
@barren: it is ~@|@musuwaaw (vii)@
@barricade (an. stick-like): he/she uses it as a ~@|@chipaaskimwaahaaw (vta)@
@barrier (an. sheet-like): he/she places it as a ~@|@chipaakimwaahaaw (vta)@
@barrier (an. string-like): he/she holds it as a ~@|@chipaapaakimwaahaaw (vta)@
@barrier (sheet-like): he/she puts up as a ~@|@chipaakimuuhtaaw (vai+o)@
@barrier (stick-like) he/she uses it as a ~@|@chipaaskimuuhtaaw (vai+o)@
@barrier (string-like): he/she holds it as a ~@|@chipaapaakimuuhtaaw (vai+o)@
@barrister@|@kaaiyimit (nap)@
@basement@|@niihtichuw (ni)@
@bat (mammal)@|@paamiyaaw-aapikusiis (na-d)@
@bath to him/her: he/she gives a ~@|@pikaasimwaahaaw (vta)@
@bathing: he/she is ~@|@pikaasimuw (vai+u)@
@bathrobe@|@chaachisaapaaukuuhp (ni)@
@bathroom@|@miisiiuchiwaahp (ni)@
@bathtub@|@kaastaapaawiisunaanuuch (nip)@
@bay that goes into the land: it is a ~@|@piihchistwaawaasaaw (vii)@
@bay: it is a pointed ~@|@chiiniwaasaaw (vii)@
@bay: it is a sandy ~@|@waasaataauhkaaw (vii)@
@beacon@|@chistinuwaachiihtaakin (ni)@
@bead@|@miisch (na)@
@beads: he'she works with ~@|@nuuchimiichisaaw (vai)@
@beak: it has a big ~@|@maahchikutaaw  (vai)@
@bear@|@chisaayaakw (na)@
@bear deadfall trap@|@chisaayaakuunaaikin (ni)@
@bear fat@|@chisaayaakupimiiy (ni)@
@bear grease@|@chisaayaakupimiiy (ni)@
@bear guts@|@chisaayaakutichisiiy (nid)@
@bear intestines@|@chisaayaakutichisiiy (nid)@
@bear skin@|@chisaayaakuyaan (na)@
@bear skull@|@chisaayaakustikwaanikin (ni)@
@bear trap@|@chisaayaakuschiihkumaan (ni)@
@bear trap: he she sets a ~@|@chisaayaakustaaw@
@bear: young ~@|@chisaayaakus (na-d), chisaayaakus (na d)@
@beard starts to grow out: his ~@|@saakuwaaw (vai)@
@beard: he has a ~@|@miistuwaaw (vai), wiistuw (vai-u)@
@beard: he has a long ~@|@chinwaaskustuwaaw (vai)@
@beard: his ~@|@umiistuwaan (nid), wiistuy (nid)@
@bearded person@|@kaawiistuut (nap)@
@beat a drum: he/she ~s@|@taawaahwaaw (vta)@
@beat: it ~s@|@paahkaahaan (vii), paahkaaukuw (vai-u), paahkaaun (vii)@
@beaver meat@|@amiskw-wiyaas (ni)@
@beaver pelt@|@amiskuyaan (na)@
@beaver skin@|@amiskuyaan (na)@
@beaver tail (it's)@|@amiskusuy (nid)@
@beaver trap@|@amiskuschiihkumaan (ni)@
@beaver trap: he/she sets a ~@|@amiskustaaw (vai)@
@beaver: carved ~@|@amiskuuhkaan (na)@
@beaver: old ~@|@chisaamiskw (na)@
@beaver: stuffed ~@|@amiskuuhkaan (na)@
@beaver's nose@|@amiskuchaat (nad)@
@bed@|@nipaaun (ni)@
@bed: he/she goes to ~@|@kuusimuw (vai-u)@
@bed: he/she is making his/her ~@|@kuusimuniihkaasuw (vai+u)@
@bedroll@|@nipaakinut (ni)@
@bedroom@|@kaaipinaanuuch (nip)@
@bee (insect)@|@aamuw (na)@
@beer (modern word)@|@naahpiyaan (ni)@
@beer: home brewed ~@|@siihtaakunaapuy (ni)@
@before@|@aamwaayaa (p), aaskw aakaa (p)@
@befriends him/her@|@chistimaachaaimaaw (vta)@
@begging money: he/she goes ~@|@nituusuunaayaataaw (vai)@
@begging: he/she goes ~@|@naanituupikusaaimuw (vai-u), nituupikusuuimaaw (vai)@
@begging: he/she is ~@|@pikusiihtaaw (vai)@
@begin to feel its effects: he/she ~s@|@maatimaahchiihtaaw (vai)@
@begin to portage: he/she ~s@|@wiikipitaaw (vai)@
@begin: he/she ~s@|@chiihchiiw (vai)@
@being@|@miswaakin (na)@
@being a leader@|@uchimaaun (ni)@
@believable: it is ~@|@taapwaauchaaihtaakun (vii)@
@believe him/her: he/s ~s@|@taapwaauchaaimaaw (vta)@
@believe him/her: he/she ~s@|@taapwaatuwaaw (vta)@
@believe it: he/she ~s@|@taapwaahtim (vti), taapwaauchaaihtim (vti)@
@bell@|@mitwaaikin (ni)@
@bell: jingle ~@|@mitwaaikinis (ni d)@
@bellows (to blow a fire)@|@puupuukin (ni)@
@belly: he/she has a big ~@|@misiskitaaw (vai)@
@belly: his/her ~@|@uskitiy (nid)@
@bellyache: he/she has a ~@|@aahkwaatimaahchiiw (vai)@
@belong there: he/she ~s@|@tipaaihtaakusuw (vai-i)@
@belong there: it ~s@|@tipaaihtaakun (vii)@
@below@|@aanaahch (p), aanaahch (p), niihtaahch (p)@
@below the rapids@|@niihtaachuun (p)@
@belt@|@pikwaataaun (na)@
@belt: he/she wears a ~@|@pikwaataaw (vai)@
@beluga (Delphinapterus leucas)@|@waapimaakw (na)@
@bend at an angle@|@piihchinaaw (vta)@
@bend at an angle: it ~s@|@piihchipiyuw (vai/ii-i)@
@bend her/his arm: he/she ~s@|@piihchipitunaawiiw (vai)@
@bend it: he/she ~s@|@piihchipiihtaaw (vai+o)@
@beneath@|@aanaahch (p), aanaahch (p)@
@berries (an.) change color: the ~@|@atiihtaapiyuw (vai-i)@
@berries (an.): they are many ~@|@miihchaatuminichisuuch(vai pl)@
@berries: many ~@|@miihchaatuminich (p)@
@berries: mashed ~@|@paaschusaawaan (ni)@
@berries: there are many ~@|@miihchaatuminikaawa (vii pl)@
@berry@|@miinis (ni-d), miinis (ni d)@
@berry (an.) it is a little ~@|@apisiminichisuw (vai-i)@
@berry juice@|@miinaapuy (ni)@
@berry: it is a big ~@|@maahchiminikaaw (vii)@
@berry: it is a little ~@|@apisiminikaasuw (vii-i d)@
@best man at a wedding@|@kaawiichiiwaat (nap)@
@bet: he/she ~s@|@pistinaachaaw (vai)@
@between two layers: it is ~@|@piihtuwiihtaaw (vii)@
@Bible@|@chiihchimisinaaikin (ni)@
@bicycle@|@kaaniisukaataawaayaasch (nip)@
@big legs: he/she has ~@|@miihchaaskukaataaw (vai)@
@'big man')@|@mistaapaaw (na)@
@big: it is ~@|@miihchaachisuw (vai-i), miihchaakin (vii), miihchaapaachisuw (vai-i), miihchaapaakin (vii), miihchaapischisuw (vai-i), miihchaapiskaaw (vii)@
@bile@|@wiisaapuy (ni), wiisaawaakimuw (vii-i)@
@billiards@|@kaachiskaawaakinuuch (nip)@
@bind it (an.): he/she ~s@|@titipiyaahaaw (vta)@
@bind it: he/she ~s@|@titipiihtim (vti)@
@bingo@|@pinikuw (ni)@
@bingo card@|@piniku-kaayuw (na)@
@binoculars@|@tuuskaapaahchikin (ni)@
@birch bark canoe@|@uskwaauut (ni)@
@birch tree (Betula glandulosa)@|@uskuy (na)@
@birch trees: it is an area of ~@|@uskwaamiskaaw (vii)@
@bird seen in the evening@|@kaapinikwaachaat (nap)@
@bird that migrates@|@niipinipiyaasiis (na d)@
@bird): he/she ~s@|@pichiskaahwaaw (vta)@
@bird): it ~s@|@paahpuwaachiiw (vai r), pinaayaayuw (vai-u)@
@bird: large summer ~@|@niipinipiyaasuw (na)@
@bird: large summer migratory@|@niipinipiyaasuw (na)@
@bird: summer ~@|@niipinipiyaasiis (na d)@
@birth to a son: she gives ~@|@ukusuuw (vai-uu)@
@birth to an illegitimate child: she gives ~@|@pikutusaaw (vai)@
@birth: it (beaver) gives ~@|@pinaamiskwaaw (vai)@
@birth: it (caribou) gives ~@|@pinaatiihkuw (vai-u)@
@birth: it (dog) gives ~@|@pinaastimuw (vai-u)@
@birth: it (otter@|@pinaayaachikuwm (vai-u)@
@birth: it (porcupine) gives ~@|@pinaayaakuw (vai-u)@
@birth: it (rabbit) gives ~@|@pinaayaapusuw (vai-u)@
@birthmark: his/her ~@|@umiinim (nid)@
@biscuit@|@kwaaihkunaaw (na), mistikwaaihkunaaw (na)@
@bit more: a little ~@|@miiskuw (p)@
@bite him/her/it (an.): he/she ~s@|@maakumaaw (vta)@
@bite it off (an.): he/she ~s@|@chimimaaw (vta)@
@bite it off: he/she ~s@|@chimaahtim (vti)@
@bite it: he/she ~s@|@maakwaahtim (vti)@
@bite: he/she ~s@|@maakwaahchaaw (vai)@
@black (an.): he/she/it is ~@|@wiipisiiw (vai)@
@black eye to him/her: he she gives a ~@|@utuukaapaawaaw (vta)@
@black eye: he/she has a ~@|@utuukaapuw (vai-i)@
@black person@|@paanitikw (na)@
@black spruce (Picea mariana)@|@iiyaahtikw (na)@
@black spruce trees: it is an area of ~@|@iiyaahtikuskaaw (vii)@
@black: it is ~@|@wiipaaw (vii)@
@blackfly@|@piihkus (na)@
@bladder (of a caribou for fat storage)@|@piihchipimaanb (ni)@
@bladder (of a fish)@|@wiihkuwiiy (ni)@
@bladder of caribou filled with fat for storage@|@piihchipimaan (ni)@
@blade (of a knife)@|@muuhkumaanaapiskw (ni)@
@blame him/her for it: he/she ~s@|@ataamaaimaaw (vta)@
@blame it: he/she ~s@|@ataamaaihtim (vti)@
@blanket@|@nipaakin (ni)@
@blanket: hide ~@|@piisaakinipaakin (na)@
@blanket: leather ~@|@piisaakinipaakin (na)@
@bleach@|@kaawiichaahtit-waapaakaaikin@
@bless him/her: he/she ~s@|@suwaaimaaw (vta)@
@bless: he/she ~s@|@suwaaihchichaaw (vai)@
@blesses: he/she ~@|@suwaaihchichaaw (vai)@
@blessing@|@suwaaihchichaaun (ni)@
@blind@|@aakuwaakaaikin (ni)@
@blindfold him/her: he/she ~s@|@aakuuhkwaapiihhaataaw (vta)@
@blindfolded: he/she is ~@|@aakuuhkwaapiisuw (vai-u)@
@blink his/her eyes: he/she ~s@|@pisaahkaapuw (vai-i)@
@blink: he/she ~s@|@pisipisikwaapuw (vai)@
@blister on his/her foot: he/she has a ~@|@paahkuwiistaasin (vai)@
@blister: he/she has a ~@|@paahkuniiw (vai)@
@blizzard: it is a blinding ~@|@uwaapuwaahtaan (vii)@
@blizzard: there is a ~@|@piiputaastin (vii)@
@blizzard: there is a very big ~@|@aamaaipwaahkaaun (vii)@
@bloated: it is ~@|@puutuwaaw (vii)@
@block access to him/her@|@aakuskuwaaw (vta)@
@block access to smth (it): he/she ~s@|@aakuskim (vti)@
@block his/her light: he/she ~s@|@aakuwaastaaskuwaaw (vta)@
@block it up with mud using his/her hands: he/s ~s@|@chipuschuuchinim (vti)@
@block it up with mud: he/she ~s@|@chipuschuutaaw (vai+o)@
@block of wood (for foundation of building)@|@taahtaaskwaaikin (ni)@
@block someone's way: he/she ~s@|@chipiskuwaaw (vta)@
@block the way: he/she ~s@|@chipiskim (vti)@
@block the way: there is a rock which ~s@|@chipwaapiskaastaaw (vii)@
@blockage of a trail@|@chipiskinuw (p)@
@blockage of the road@|@chipiskinuw (p)@
@blocked with sand: it is ~@|@chipwaauhkaaw (vii)@
@blocking the way: he/she is ~@|@chipiskaachaaw (vai)@
@blonde: he/she is ~@|@wiisaaustikwaanaaw (vai)@
@blood@|@miihkw (ni)@
@blood (an.): he/she sprinkles him/her/it with ~@|@suwiihkuuhwaaw (vta)@
@blood soup@|@miihkwaapuy (ni)@
@blood: he/she sprinkles it with ~@|@suwiihkuuhtaaw (vai+o)@
@blood: otter ~@|@umiikwaachikw (ni)@
@bloody (an): he/she/it is ~@|@suwiihkusiiw (vai)@
@bloody (an. stone@|@suwiihkwaapischisuw (vai-i)@
@bloody (an. string-like): it is ~@|@suwiihkwaapaachisuw (vai-i)@
@bloody (an.) from lying around: it gets ~@|@suwiihkusin (vai)@
@bloody (anim@|@suwiihkwaachisuw (vai-i)@
@bloody (sheet-like): it is ~@|@suwiihkwaakin (vii)@
@bloody (stick-like): it is ~@|@suwiihkwaaskun (vii)@
@bloody (stone@|@suwiihkwaapiskaaw (vii)@
@bloody (string-like): it is ~@|@suwiihkwaapaakin (vii)@
@bloody from lying around: it gets `@|@suwiihkutin (vii)@
@blouse: woman's ~@|@maatiniit (ni)@
@blow out (flame): it ~s@|@aastuwaayaastin (vii)@
@blowing (an.): it is ~@|@chipwaakitaasuw (vai-i)@
@blowing (ex snow): it is ~@|@chipwaakitaastin (vii)@
@blowing snow@|@piiputaastin (vii)@
@blowing snow: it is ~@|@aapimaakitaastin (vii)@
@blowing: he/she is ~@|@akwaayaasuw (vai-i)@
@blowing: it is ~@|@akwaayaastin (vii)@
@blown (an.): it is ~@|@aapimaakitaasuw (vai-i)@
@blown-up by the wind@|@puutuwaakaastin (vii), puutuwaakaasuw (vai-i)@
@blue (an. sheet-like): it is ~@|@pichiskinaachisuw (vai-i)@
@blue (an. stick-like): it is ~@|@pichiskinaaskusuw (vai-i)@
@blue (an. stone@|@pichiskinaapischisuw (vai-i)@
@blue (an. string-like): it is ~@|@pichiskinaapaachisuw (vai-i)@
@blue (sheet-like): it is ~@|@pichiskinaakin (vii)@
@blue (stick-like): it is ~@|@pichiskinaaskun (vii)@
@blue (stone@|@pichiskinaapiskaaw (vii)@
@blue (string-like): it is ~@|@pichiskinaapaakin (vii)@
@blue: it is ~@|@pichiskinaaw (vii)@
@blueberry plant (Vaccinium uliginosum)@|@nischiminaahtikw (ni)@
@blueberry: species of ~@|@iiyimin (na), nischimin (na)@
@blunt it: he/she ~s@|@saaham (vti)@
@blunted: it gets ~@|@siihtin (vii)@
@blushes: he/she ~@|@miihkuuhkwaapiyuw (vai-i)@
@board for a toboggan@|@utaapaanaaskwaahtikw (ni)@
@board used to bar an opening@|@chipaaskwaaikin (ni)@
@boat@|@pikaaw (vai), uut (ni)@
@boat motor@|@iskutaautis (ni d)@
@boat): he/she ~s@|@puusiihtaaw (vai+o)@
@body: both sides of the ~@|@aaituuyuw (p)@
@body: he/she has a large ~@|@miihchaaskuiiwaaw (vai)@
@body: he/she has a long ~@|@chinuyuwiiwaaw (vai)@
@body: he/she has a twisted ~@|@piimiiw (vai)@
@body: inside the ~@|@utaamiyuw (p)@
@body: inwardly in the ~@|@piihchiiyuw (p)@
@body: someone's ~@|@miyuw (nid)@
@bog@|@mischaakw (ni)@
@bog: it is a ~@|@mischaakuskimikaaw (vii)@
@boggy: it is ~@|@mischaakuw (vii-u)@
@boil (on skin): his/her ~@|@uminiischima (nad)@
@boil away (an.): it ~s@|@maastaachuusuw (vai-u)@
@boil away: it ~s@|@maastaachuwaahtaaw@
@boil dry (an.): it ~s@|@paahkwaachuusuw (vai-u)@
@boil here and there (liquid): it ~s@|@mimuschichuun (vii r)@
@boil it (an.) until it (an.) falls apart: he/she ~@|@pichiskaachuuswaaw (vta)@
@boil it dry (an.): he/she ~s@|@paahkwaachuuswaaw (vta)@
@boil it dry: he/she ~s@|@paahkwaachuusim (vti)@
@boil it until it falls apart: he/she ~s@|@pichiskaachuusim (vti)@
@boil it whole (an.): he/she ~s@|@nuutimaachuuswaaw (vta)@
@boiled whole (an.): it is being ~@|@nuutimaachuusuw (vai-u)@
@bolt it: he/she ~s@|@aatisaakaaham (vti)@
@book@|@misinaaikin (ni)@
@book: small ~@|@misinaaikinis (ni d)@
@boot: rubber ~@|@chimuunischin (ni)@
@boot: sealskin@|@aahchikwaaschin (ni)@
@boot: winter ~@|@pipunischin (ni)@
