@English@|@Danish@
@12 dozen (12*12=144)@|@gros@
@12.(> 32.7 m/s)@|@12.Beaufort-Orkan@
@12th@|@12te, tolvte@
@135°@|@SØ (sydøst)@
@13th@|@trettende@
@14 kg@|@otting (vægtmål=14 kg)@
@14th@|@fjortende@
@15th@|@femtende@
@16@|@seksten@
@160 kg@|@skippund (160 kg)@
@18 months@|@halvandet år@
@180° (south)@|@S (syd)@
@187 (penal code California)@|@187 (mordparagraf Californien)@
@2@|@anden, to@
@2 m^2@|@1. tønde land@
@2.(1.6-3.3 m/s)@|@2.Beaufort - svag vind@
@2^2=4@|@potens, potens@
@2+1 road@|@tresporet (vej)@
@20 (groups of~)@|@snes@
@2001-2100 (both included)@|@enogtyvende århundrede@
@202.5°@|@SSV (syd-sydvest)@
@20th@|@tyvende@
@21-gun salute@|@kanonsalut(-en)@
@22@|@to og tyve@
@22.5°@|@NNØ (nord-nordøst)@
@24@|@fire og tyve@
@24 time zones-15° of longitude@|@normaltid@
@240 (2 short/small gross)@|@ring (4 skok=240 stk.)@
@247.5°@|@VSV (vest-sydvest)@
@24th of December@|@juleaftensdag@
@25@|@fem og tyve@
@25th@|@femogtyvende@
@26@|@seks og tyve@
@27@|@syv og tyve@
@270°@|@V (vest)@
@273.15 K°= 0 C°@|@Kelvin (K°)@
@-273.15°C@|@Kelvin (0°K), Kelvin (K°)@
@28@|@otte og tyve@
@29@|@ni og tyve@
@292.5°@|@VNV (vest-nordvest)@
@2nd@|@anden@
@3@|@tre, tredje@
@3. (3.4-5.4 m/s)@|@3.Beaufort-Let vind@
@3/4 bathroom (US)@|@brusekabine(-en)@
@30@|@tredive@
@30 pieces of silver@|@30 sølvpenge@
@30th@|@tredivte, tredvte@
@31@|@en og tredive@
@315°@|@NV (nordvest)@
@33@|@tre og tredive, tre og tredive, treogtredive@
@337.5°@|@NNV (nord-nordvest)@
@37 hour week in Denmark@|@arbejdsuge@
@3th@|@tredje@
@4 minutes of arc (Denmark)@|@geografisk mil(dansk-7420.44m@
@4 wheel drive motorcycle@|@tærrængående køretøj@
@4.(5.5-7.9 m/s)@|@4.Beaufort - Jævn vind@
@40@|@fyrre@
@40 hour week (usually)@|@arbejdsuge@
@40320 km/t@|@undvigelseshastighed (jorden)@
@40th@|@fyrrende, fyrreogtyvende@
@45°@|@NØ (nordøst)@
@4-room appartment in USA@|@treværelses lejlighed@
@4th@|@fjerde@
@5 grammes@|@kvint(-en)@
@5.(8.0-10.7 m/s)@|@5.Beaufort - Frisk vind@
@5°)@|@SSØ (syd-sydøst)@
@50@|@halvtreds, halvtredsindstyve (2½*20)@
@50 bob (money)@|@50 spir (penge)@
@500 gram@|@pund (dansk)@
@50th@|@halvtredsindstyvende (2½*20)@
@5516@|@1. tønde land@
@5516.2 m^2@|@tønde land (groft ½ ha +10%)@
@5th@|@femte@
@5-year period@|@lustrum (soningsoffer/5 år)@
@6@|@mol/avogadros tal@
@6' (feet) 4" (inches) ~193 cm@|@6' (fod) 4" (tommer) ~193 cm@
@6 -12 a.m.@|@formiddag@
@6 lbs)@|@lispund (16 pund=8 kg) (Livland/Letland)@
@6.(10.8-13.8 m/s)@|@6.Beaufort - Hård vind@
@60@|@skok, skok (60), tres, tresindstyve@
@60% of world' rail@|@standardspor (jernbane)@
@60th@|@tresindstyvende, tresindstyvende (3*20)@
@647497 m²@|@quarter section@
@65th wedding anniversary@|@krondiamantbryllup@
@67.5°@|@ØNØ (øst-nordøst)@
@6th@|@sjette@
@7.(13.9-17.1 m/s)@|@7.Beaufort - Stiv kuling@
@70@|@halvfjerds@
@70th@|@halvfjedsindstyvende (3½*20)@
@7532.48/4 = 1883.12 m@|@fjerdingvej (1/4 dansk mil)@
@7th@|@syvende@
@8@|@ottetal@
@8 bells (watch tour)@|@glas (maritimt)@
@8 kg (17@|@lispund (16 pund=8 kg) (Livland/Letland)@
@8.(17.2-20.7 m/s)@|@8.Beaufort-Hård kuling@
@80@|@firs, ol@
@80th@|@firsindstyvende (4*20)@
@8th@|@ottende@
@9.(20.8-24.4 m/s)@|@9.Beaufort-Stormende kuling@
@9.83m/s²-9.78m/s²@|@9.78m/s² Jordens ækvator, 9.83m/s² Jordens poler, tyngdeacceleration (Jorden)@
@90°@|@Ø (øst)@
@90th@|@halvfemsindstyvende (4½*20)@
@9th@|@niende@
@a@|@en, et, om, på@
@a "fledgeling"@|@endnu ikke flyvefærdig unge, purung@
@A (440 Hz)@|@kammertone(-en)@
@a bad thing@|@et onde@
@a bad turn@|@en bjørnetjenste@
@a baker's dozen@|@13 (for en sikkerheds skyld)@
@a barrel of oil(ca.159 liter)@|@1 tønde olie(ca. 159 liter)@
@a beat of the heart@|@hjerteslag@
@a beating@|@en dragt klø@
@a bend@|@krumning(-en)@
@a benefit to whom?@|@hvem gavner det (qui bono)@
@a big shot@|@en stor kanon@
@a bit@|@en kende@
@a bit (too far)@|@lovlig (meget)@
@a bit crazy@|@lidt skør (i hovedet)@
@a blast@|@en ren svir@
@a brood of hens@|@hønseflok@
@a bunch of keys@|@nøgleknippe@
@a bungler@|@nokkefår@
@a cake of soap@|@sæbe (et stykke~)@
@a carload of furniture@|@flyttelæs(-et)@
@a chip off the old block@|@være nogen op ad dage@
@a classic@|@klassiker(-en)@
@a clattering of choughs@|@allikeflok@
@a close shave@|@en tæt barbering, på et hængende hår@
@a cock-horse@|@kæphest(-en)@
@a cold@|@forkølelse(-en)@
@a cold snap@|@en pludselig indsættende kuld@
@a corset@|@korset@
@a crying shame@|@synd og skam@
@a cuckoo@|@kukker(-en)@
@a cuckoo-clock@|@kukker(-en)@
@a curve@|@krumning(-en)@
@à de@|@parvis@
@a dear child has many names@|@kært barn har mange navne@
@a difficulty@|@knibe@
@a dime a dozen@|@i dusinvis for en skilling@
@a disappointment@|@streg i regningen@
@a dram@|@snaps@
@a dull pain in my tooth@|@det murrer i min tand@
@a fellow@|@man, mand(-en)@
@a few@|@fåtal, nogle@
@a few days ago@|@forleden@
@a few pennies@|@klatskilling(-en)@
@a figurehead@|@toppen af kransekagen@
@A flat (note)@|@as (node)@
@a fluke@|@slumpetræf@
@a fourth@|@¼@
@a fourth (1/4)@|@kvart@
@a going over@|@gennemsyn(-et)@
@a gong@|@tam-tam@
@a good deal@|@adskilligt@
@a good head-@|@have et godt hoved, pære (god~) (hoved), pære (hoved)@
@a good turn@|@en god gerning, gøre en tjeneste@
@a great many things@|@mangt og meget@
@a helping hand@|@håndsrækning, nap@
@a hiding@|@bank, endefuld(-en), få nogen på huden, prygl, prygl, tæsk, tæv@
@a host of-@|@en hærskare af-@
@a hot ticket@|@livstykke (være et livstykke)@
@a human dynamo@|@livstykke (være et livstykke)@
@a hunch@|@en anelse@
@a hundred dollar bill@|@hund (hundrekroneseddel)@
@a jaunty fellow@|@friskfyr@
@a jest@|@morsomhed@
@à la (like)@|@a la (ligesom)@
@a lamentation of swans@|@svaneflok@
@a layette@|@spædbørnsudstyr@
@a letup in the rain@|@opholdsvejr@
@A level@|@test(til uni.)der skal bestås, ug@
@a lick and a promise@|@kattevask(-en)@
@a licking@|@høvl (prygl)@
@a light dawned upon him@|@der gik en prås op for ham@
@a little@|@lidt@
@a loaf of bread@|@et formet brød, et helt brød, et uskivet brød@
@a lot of bullshit@|@en bunke sludder@
@a lot of rubbish@|@en bunke sludder@
@a man of few words@|@en mand af få ord, ordknap mand@
@a man of principle@|@en principfast mand@
@a man of substance@|@en velstående mand@
@a married couple@|@et gift par, ægtefolk@
@a matter of history@|@historisk@
@a mess@|@en køn redelighed@
@a metrical foot (in words)@|@jambe(-en)@
@a mill@|@en mølle@
@a minor under the law@|@myndling@
@a moot point@|@omdisputeret punkt@
@a murder of crows@|@krageflok(-en)@
@a museum piece@|@fortidslevninger@
@a nasty piece of work@|@øretæveindbydende@
@a nest of eggs@|@redefuld@
@a neuter@|@gilding(-en)@
@a nine@|@nier@
@a nuisance@|@djævelskab(-et), irritationsmoment(-et)@
@a pair of curtains@|@et fag gardiner@
@a pair of fire tongs@|@ildtang(-en)@
@a pair of lopping shears@|@grensaks(-en)@
@a pair of nutcrackers@|@nøddeknækker@
@a pair of pincers@|@knibtang(-en)@
@a pair of snuffers@|@lysesaks(-en)@
@a pair of trousers@|@et par bukser@
@a peep of chickens@|@kyllingeflok(-en)@
@a perfunctionary paint job@|@hattelak (give en gang~)@
@a person of feeling@|@følelsesmenneske, hjertemenneske, hjertemenneske(-et)@
@a plum job@|@en drømmestilling, et ønskejob@
@a pretty/fine kettle of fish@|@en køn redelighed@
@a punter@|@en helflugter (fodbold), en spiller (heste/hazard)@
@a quarter of a square mile@|@quarter section@
@a question of money@|@pengespørgsmål@
@a quibble@|@spidsfindighed@
@a real glossing over@|@hattelak (give en gang~)@
@a real snorter@|@alle tiders, dødlækkert, en hård nød at knække@
@a roll (baker)@|@simle@
@a rude awakening@|@en brat opvågning@
@a score@|@træffer@
@a scream@|@et skrig, hylende grinagtig, hylende grinagtigt@
@a set of curtains@|@et fag gardiner@
@a severe trial@|@spidsrod@
@a shade (amount)@|@en kende@
@A sharp@|@ais (tone)@
@a sharp turn@|@et skarpt sving@
@a shot (drink)@|@genstand (10 g ren alkohol), genstand(-en)@
@a shrinking violet@|@en bly viol@
@a siege of bitterns@|@rørdrumflok@
@a slap-up meal@|@et lukullisk/overdådigt-måltid@
@a slip@|@særk@
@a slow train (all stations)@|@bumletog(-et)@
@a smattering@|@en anelse(fx. nogle få gloser, en lille smule@
@a soft drink@|@en alkoholfri drik@
@a soft spot@|@et blødt punkt@
@a solid hour@|@en hel time@
@a sore throat@|@ondt i halsen@
@a sorry excuse@|@en dårlig undskyldning, en ussel undskyldning@
@a sound beating@|@en læsterlig gang prygl, tærsk@
@a spanking@|@dada (smæk), endefuld(-en), smæk@
@a spark@|@en gnist, friskfyr, friskfyr(-en)@
@a spike of barley@|@bygaks@
@a spike of rye@|@rugaks@
@a spike of wheat@|@hvedeaks@
@a spot of whisky@|@en lille whisky, en sjat whisky, en tår whisky@
@a square meal@|@et ordentligt måltid mad@
@a stab in the back@|@en kniv i ryggen, et bagholdsangreb@
@a stack of cut wood(108 feet³)@|@ca.3 rummeter skåret brænde@
@a still (distillery)@|@et brændevinsbrænderi@
@a stirrup cup@|@en lille en på faldrebet@
@a strapping fellow@|@krabat (en ordentlig ~)@
@a stray bullet@|@en vildfaren kugle@
@a stroke of genius@|@et genialt indfald@
@a stroke of lightening@|@et lynnedslag@
@a stroke of luck@|@et lykketræf@
@a suite(f.x. a bedroom suite)@|@møblement@
@a tablet of soap@|@sæbe (et stykke~)@
@a taste for@|@have smag for@
@a text book case@|@en sag lig efter lærebogen@
@a thing of the past@|@en saga blot@
@a thought better@|@en smule bedre@
@a thrashing@|@høvl (prygl), prygl@
@a tight bend@|@et skarpt sving@
@a timid snowdrop@|@en bly viol@
@a tiny bit@|@gran(-en)@
@a token wage@|@en symbolsk løn, en ussel løn (oftest)@
@a topor@|@kvartalsdranker(-en)@
@a touch of the sun@|@solstik, solstik@
@a trifle@|@en kende@
@a two stroke engine@|@en totaktsmotor@
@a two-hitch@|@dobbelt halvstik(-et)@
@a vanful of furniture@|@flyttelæs(-et)@
@a very small amount@|@tøddel@
@a vexed question@|@omdebatteret@
@a vile mood/temper@|@et rædsomt humør@
@a vile temper@|@et rædsomt temperament@
@a weakness for@|@faible(-en)@
@a web of deceit@|@et spind af løgne@
@a web of lies@|@et spind af løgne@
@a while back@|@for et stykke tid siden@
@a wisp of hair@|@en hårtot@
@a wit@|@spasmager@
@a woman chaser@|@Don Juan@
@a wonder@|@under (mirakel)@
@a working knowledge in french@|@kunne begå sig på fransk@
@a wrong@|@brøde(-en)@
@a yearly basis@|@årsbasis (på)@
@A.D. (After Christ - A.C.)@|@A.D. (anno domini)@
@a.m.@|@ante meridiem(før middag), midnat - middag (24-12)@
@a^2+b^2=c^2@|@pythagoræisk (læresætning)@
@a² + b² = c²@|@pythagoræisk (læresætning)@
@aardvark@|@jordsvin(-et)@
@aardwolf@|@jordulv(-en)@
@Aaron@|@Aron@
@abacus@|@kugleramme(-en)@
@abaft@|@agter@
@abaft the beam@|@agten for tværs@
@abalone@|@konkylie(-en)@
@abandon@|@forlade, løssluppethed, opgive, prisgive, skrinlægge@
@abandon (without restraint)@|@overstadighed@
@abandon oneself to@|@hengive sig@
@abandoned@|@forvorpen, gudsforgåen, herreløs, uafhentet@
@abandonment@|@hengivelse@
@abase@|@fornedre@
@abash@|@beskæmme@
@abashed@|@beskæmmet, flov, genert, sky@
@abate@|@aftage, fortone, mindskes, slappe, stilne, tage af@
@abated@|@afdæmpet@
@abatement@|@annullering, formindskelse, moderation@
@abbattoir@|@slagtehus@
@abbess@|@abbedisse(-en)@
@abbey@|@abbedi(-et), kloster(-et)@
@abbey church@|@klosterkirke(-en)@
@abbot@|@abbed(-en)@
@abbr.@|@forkorte, forkortelse(-en)@
@abbrev.@|@forkorte, forkortelse(-en)@
@abbreviate@|@forkorte@
@abbreviation@|@forkortelse(-en)@
@abdicate@|@abdicere@
@abdicate (the throne)@|@frasige@
@abdication@|@abdikation(-en), frasigelse(-en), tronfrasigelse@
@abdomen@|@bug(-en), mave(-en), underliv@
@abdominal belt@|@mavebælte(-et)@
@abdominal cavity@|@bughule(-en)@
@abdominal muscle@|@bugmuskel(-en)@
@abduct@|@bortføre@
@abduction@|@bortførelse(-en)@
@abecedarian@|@skoleelev@
@abele@|@poppelpil@
@aberrance@|@afvigelse(-en)@
@aberrant@|@afvigende@
@aberration@|@afvigelse(-en), fejl(-en), forvildelse(-en), vildskud@
@abet@|@hjælpe, være medskyldig@
@abeyance@|@stillet i bero, venteposition@
@abhor@|@afsky@
@abhorrence@|@afsky, modbydelighed, vederstyggelighed@
@abhorrent@|@afskyvækkende@
@abide@|@følge, holde ud, tolerere@
@abide (bear@|@orke@
@abide by@|@opretholde, overholde, respektere@
@abide by (follow)@|@adlyde@
@ability@|@egnethed(-en), evne(-en), kunnen@
@ability to pay taxes@|@skatteevne@
@abject@|@sølle, uværdig, ydmyg, ynkelig@
@abjure@|@afsværge@
@ablaut@|@ablaut, gradvis overgang, inddeling i trin@
@ablaze@|@flammende, i brand@
@able@|@duelig, dygtig, habil@
@able bodied@|@arbejdsdygtig@
@able seaman@|@matros(-en)@
@able to buy@|@købedygtig@
@able to deliver@|@leveringsdygtig@
@able to grow@|@voksedygtig@
@able-bodied@|@fuldbefaren, helbefaren, sund og stærk@
@able-bodied seaman@|@helbefaren (matros)@
@ably@|@dygtigt@
@abnomal fear of high places@|@højdeskræk@
@abnormal@|@abnorm, unormal@
@abnormal fear of crowds@|@oklofobi (angst for trængsel)@
@abnormal/impaired functioning@|@dysfunktion@
@abnormality@|@abnormitet(-en)@
@abnormally low bloodsugar level@|@hypoglykæmi (abnormt lavt blodsukker)@
@aboard@|@ombord@
@abode@|@bolig(-en), lejlighed@
@abolish@|@afskaffe, nedlægge, ophæve, sløjfe@
@abolition@|@nedlæggelse, ophævelse, sløjfning@
@abolitionist@|@modstander af slaveriet@
@abomasum@|@løbe (drøvtyggermave), løbemave (køer)@
@abominable@|@afskyelig, afskyvækkende, rædselsvækkende, vederstyggelig@
@abomination@|@afsky, afskyelighed, afskylighed(-en), modbydelighed, pestilens, vederstyggelighed@
@aborgininals@|@naturfolk(-et)@
@aboriginal@|@oprindelig@
@aboriginal~@|@urtilstand@
@aborigine@|@indfødt (Australien)@
@aborigine/original population@|@aboriginer(-en)@
@aborigines@|@urfolk@
@aborigins@|@oprindelig befolkning, urbefolkning@
@abort@|@afbryde, aflyse@
@abortion@|@abort(-en)@
@abortion (criminal)@|@fosterdrab(-et)@
@abortive@|@mislykket, omsonst@
@abound@|@bugne, findes i overflod@
@abounding in grain or corn@|@kornrig@
@abounding in water@|@vandrig@
@about@|@angående, cirka, henimod, henved, om, omkring, omtrent@
@about a month (time)@|@månedstid@
@about eight (o'clock)@|@ottetiden@
@about four o'clock@|@firetiden@
@about nine o' clock@|@nitiden@
@about seven o'clock@|@syvtiden@
@about ten o'clock@|@titiden@
@about the study of birds@|@ornitologisk@
@about this@|@herom@
@about three o'clock@|@tretiden@
@about twelve o'clock@|@tolvtiden@
@about two a'clock@|@totiden@
@about what/which@|@hvorom, hvorover@
@about/around six o'clock@|@sekstiden@
@about-face (fig.)@|@ombestemme@
@above@|@foroven, opad, opadtil, oppe, oven, oveni, ovenover, over@
@above (mentioned)@|@ovenanført@
@above age of majority@|@myndig@
@above ground@|@overjordisk@
@above mentioned@|@førnævnt@
@above par@|@over pari@
@above suspicion@|@hævet over enhver mistanke, udenfor mistanke@
@above-board@|@ærlig@
@above-mentioned@|@ovenstående@
@abrasion@|@hudafskrabning, ridse@
@abrasive@|@kradsende, skarp@
@abreact@|@afreagere@
@abreast@|@holde sig ajour, jævnsides@
@abreast of the times@|@på forkant af udviklingen@
@abridge@|@forkorte, indskrænke@
@abridgement@|@beskæring@
@abroad@|@udenfor, udenlands@
@abroad is fine-for home I pine@|@ude er godt - hjemme bedst@
@abrogate@|@afskaffe@
@abrupt@|@abrupt, pludselig, stejl@
@abruptness@|@pludselighed@
@ABS (Anti-lock Brake System)@|@ABS(AntiblokeringsBremseSystem@
@abscess@|@absces (byld), absces(-en), byld(-en)@
@abscissa (x-axis)@|@abscisse (x-akse)@
@abscond@|@stikke af@
@absconder@|@afhopper(-en)@
@absence@|@bortrejse(-en), fraværelse(-en), mangel@
@absent@|@fraværende@
@absent oneself@|@afrejse(-en), forføje, gå ud, stikke af@
@absent owing to illness@|@sygemeldt@
@Absent With Out Leave@|@udeblivelse uden grund@
@absent yourself!@|@forføje@
@absentee@|@en der pjækker, fraværende@
@absentee ballot(-ing)@|@brevstemme@
@absentminded@|@distræt, åndsfraværende@
@absent-minded@|@adspredt, fraværende@
@absent-mindedness@|@distraktion(-en)@
@absolute@|@absolut, egenmægtig, enevældig, fuldstændig@
@absolute (fx power)@|@uindskrænket@
@absolute master@|@eneherre(-en)@
@absolute monarch@|@enevoldskonge(-en)@
@absolute monarchy@|@enevoldsherredømme(-et), enevælde(-en)@
@absolute power@|@magtfuldkommenhed@
@absolute zero@|@0°K = -273.15°C, det absolutte nulpunkt, Kelvin (0°K), Kelvin (K°)@
@absolutel@|@fuldkommen@
@absolutely@|@ganske, rent@
@absolutely necessary@|@bydende nødvendig, naturnødvendig, uomgængelig@
@absolutely safe@|@helgarderet@
@absolutely silent@|@bomstille, fuldstændig stille@
@absoluteness@|@uindskrænkethed@
@absolution@|@benådning, kirkelig tilgivelse, syndsforladelse, syndsforladelse@
@absolvation fee@|@aflad@
@absolve@|@løse fra løfte@
@absolve from sin@|@syndsforladelse, syndsforladelse@
@absorb@|@absorbere, indsuge, opsluge, opsuge, suge@
@absorbed in@|@fordybet, hensynke@
@absorbent@|@vandsugende@
@absorbent cotton@|@sygevat@
@absorption@|@indsugning, opslugthed, opsugning@
@absorption of oxygen@|@iltoptagelse(-en)@
