@English@|@Venetian@
@move@|@móvar@
@mud removers@|@burchielli dacava fanghi@
@my father he's behind to speak@|@me pàre 'l jèra drìo a parlàr@
@nail@|@còdo@
@narrow canal@|@rielo@
@nephew@|@nevódo@
@nest@|@nharo@
@newspaper@|@jornà£e, xornà£e@
@nightmare@|@mara@
@No stà tocarme lì!@|@Don't touch me there!@
@nosy@|@sfharexón@
@not cultivated@|@végro@
@not even@|@nhanka@
@notary@|@nodàro@
@nothing@|@ninte@
@nuisance@|@raganhò£o@
@nut@|@nóxa@
@oar makers@|@remeri@
@obelisks@|@guglie@
@oil@|@ogio, òyo@
@OK@|@po£ìto@
@onion@|@çeó£a@
@opposite@|@rimpeto@
@ounce@|@ónsa@
@out@|@fhóra@
@owl@|@a£okón@
@owner of coffee shop@|@caffetiere@
@oysters@|@ostreghe@
@pain@|@magànha@
@painter@|@depentor@
@pan@|@penhàta, técia@
@pan maker@|@pignater@
@parsley@|@parsìmo£o, persemolo@
@parsonage@|@canonica@
@pass@|@passar@
@patron@|@provveditore@
@paw@|@sata@
@peach@|@pèrsego@
@peas@|@bìsi@
@pen@|@pena@
@people@|@jénte, xénte@
@pepper@|@pévare@
@permit@|@permétar@
@pharmacist or spice merchant@|@spezier@
@piece@|@tòko@
@pig foot@|@£evaró£a@
@pigeon@|@pipión@
@piggy bank@|@muxìna@
@pigs ribs@|@sparagànhe@
@pile@|@marè£o@
@pine-nut merchant@|@pignoli@
@pitch worker@|@pegoloti@
@pitcher@|@xara@
@place of foundries@|@getto, ghetto@
@places were dyed cloth was hung out to dry@|@chiovere@
@plum@|@brónba@
@pocket@|@gayòfha@
@point@|@pontar@
@point of a dagger also style@|@stilo@
@police man@|@marte£àro@
@pork butchers@|@luganegheri@
@precocious@|@parmédo@
@prison@|@cason@
@procrastinator@|@xlandrón@
@public place where gambling was permitted@|@ridotto@
@put@|@métare@
@quartered (i.e. executed)@|@squartai@
@quay@|@molo@
@quiet@|@kièto@
@raftsmen@|@zattieri@
@rag merchants@|@strazzeri@
@raspberry@|@anpómo£a@
@rat@|@sórxe@
@razor@|@rasaóro@
@red@|@róso@
@refuse collectors@|@burchieri, burchierillanti@
@registration@|@mariegola@
@repairers of copper and terracotta pans@|@conzalavezze, lavezer@
@ricotta cheese@|@puìna@
@ring@|@scona@
@rock@|@cénjo@
@rock slide@|@marònhe@
@rooster@|@xhal@
@root@|@raìxa@
@rope-makers@|@cordaroli@
@round twist@|@zirada@
@rubbish tip@|@scoazera@
@rubble removers@|@burchielli da rovinassi@
@sail maker@|@vele@
@salamander@|@£igaóro@
@sale@|@véndar@
@sanctuary@|@capitello@
@sand@|@lòsa@
@sand merchants@|@sabbioneri@
@sandy ground@|@sabbioso@
@Saracen@|@sarasina@
@scaffolding@|@baldréska@
@scatter-brained (like a pinning top)@|@corlo@
@school@|@skó£a@
@seat@|@sentar, shénta@
@see@|@védar@
@see entrecosei@|@manini@
@seller of boiled lamb's feet@|@penini@
@sellers of persica (thick conserve of peaches)@|@persicata@
@serve@|@servir@
@shadow@|@ónbrìa@
@she takes@|@tó£e@
@she was@|@£a xera@
@shearer@|@cimadore, simadore@
@sheepskin@|@moltón@
@shivers@|@xgrìxo£e@
@shoemakers@|@calegheri@
@shop selling fried fish etc. to the poor@|@furatole@
@shop selling fries fish etc. to the poor@|@pizzicagnoli@
@shop selling imported wine@|@malvasie@
@short for what@|@sa@
@shuddered@|@balbo@
@side walls on a bridge.@|@bande@
@silk braider@|@vergola, vergoler@
@silly@|@nhanho@
@sing@|@cantare@
@singing a lullaby@|@ninàre@
@ski@|@stèrke£e@
@skirt@|@còtoa@
@slap@|@papìna, skope£òto, xlépa@
@slaughter house@|@beccarie@
@slave@|@scào@
@sleep@|@dormir@
@slices@|@fete@
@slippers@|@sanpòto£e@
@slippery@|@£ispo@
@small balls used in ballots@|@ballotte@
@small chiovere@|@chioverette@
@small fly@|@musolìn@
@small hole@|@foro@
@small mountain@|@montagnola@
@small picture@|@ancona@
@small woollen blankets@|@schiavine@
@smith@|@fabbre@
@snake@|@bissa@
@snot@|@xnharòko@
@snow flake@|@fhalìva@
@snugly@|@kisa@
@soap makers@|@saoneri, soneri@
@spice merchants@|@spezieri da grosso@
@spices (ground)@|@pesta@
@spindle makers (spinning machines)@|@fuseri@
@spinners workshop@|@filatoio@
@spires@|@guglie@
@spit@|@xgàparo@
@splinter@|@stè£a, stèla@
@spoon@|@skuliéro@
@square@|@broglio@
@stain with grease@|@onfegàre@
@state chief physician@|@protomedico@
@stingy@|@peocóxo@
@stone-cutter@|@tagiapietra@
@stool@|@skanho@
@stove usually where stueri operated@|@stua@
@stranger@|@fhorèsto@
@straw@|@pagia@
@street cleaners@|@scoazzere@
@strip (of land)@|@lista@
@stupid@|@fhabiòko@
@stupid person@|@baùko, drugo@
@sturgeon@|@sturion@
@summer@|@istà@
@supper@|@çena@
@suspended choir@|@barco@
@swallow-type of bird@|@sixì£a@
@sweater@|@maya@
@swollen@|@infhià@
@sword@|@spade@
@sword makers@|@spadaria@
@tables@|@tò£e@
@tables or boards (timber sellers)@|@tole@
@tailors@|@sarti, sartoria@
@tails of long tuxedo@|@melórde@
@take@|@portar@
@talcum powder@|@polvere@
@tangles (thin gold chains that got tangled up)@|@entrecosei@
@tea cup@|@cìkara@
@ten@|@diéxe@
@the@|@el@
@the dog was dirty@|@el can 'l jèra sporc(o)@
@the exit@|@insìda@
@the Fall@|@saràda@
@the fat big female cat@|@La gatona grassa@
@the fat big female cats@|@Le gatone grasse@
@the fat big male cat@|@El gaton gras@
@the fat big male cats@|@I gatoni grassi@
@the laptop@|@sora£ake@
@the Spring@|@vèrta@
@the tickles@|@gatarìso£e, gatè£e@
@the touch@|@tóko@
@there@|@£ive@
@they themselves have woken up@|@(luri) i se ga/à svejà@
@thorny heap of bushes@|@baro@
@Thursday@|@xòbia@
@timber transporters@|@burchielli da legna@
@tin workers@|@stagneri@
@tired@|@xbramoxà@
@to accumulate@|@ingrumàre@
@to be afraid@|@temer@
@to be ashamed@|@ingrisàrse@
@to be disoriente@|@inoriàrse@
@to be filled@|@inpasà@
@to become@|@nhaér@
@to bend@|@kipàre@
@to break@|@skavesàre@
@to clap@|@scokàre@
@to climb@|@ranpegàre@
@to close@|@saràre@
@to cool down@|@tibiàre@
@to drink@|@bévare@
@to dry up@|@sugàre@
@to fight@|@petufhàrse@
@to flash@|@xbarlukàre@
@to forget@|@dexmentegàrse@
@to get covered with mud@|@inbolxemàre@
@to get to work@|@spesegàre@
@to glue@|@petàre@
@to grease@|@ónxare@
@to hear@|@scoltar@
@to help@|@yudàre@
@to imprison@|@incasonare@
@to knock down@|@skoraiàre@
@to look after@|@téndare@
@to mend@|@takonàre@
@to move around stretching@|@xvanpo£àrse@
@to muffle oneself@|@infholponàrse@
@to pinch@|@spithigàre@
@to play@|@xugàre@
@to prepare@|@parecàre@
@to press@|@frakàre@
@to prowl@|@ruxàre@
@to push@|@urtàre@
@to rash@|@rusàre@
@to read@|@lèdhare@
@to reveal@|@pàndare@
@to scrutinize@|@peretàre@
@to shake@|@sgorlàr, skorlàre@
@to slip@|@xbrisiàre@
@to smother@|@stofegàre@
@to snore@|@ronkexàre@
@to speak gibberish@|@causkàre@
@to spray@|@xbitaràre@
@to steal@|@furari@
@to strike@|@scékenàre@
@to thunder@|@tanbràre@
@to tumble@|@rigolàre@
@to turn on@|@inpisàre@
@to untie@|@dexgrafàre@
@to wag@|@kanpigo£àre@
@to walk quickly@|@petotàre@
@to waste time@|@piato£àre@
@to water@|@xbiansàre@
@to whimper@|@finfotàre@
@tool used to whip milk@|@kitàra@
@transportation vehicle@|@slòsa@
@trend@|@fhòdha@
@trestles used by weavers and dyers for drying clot@|@cavalletti@
@tripe cooks@|@triperi@
@turkey@|@pào@
@turn@|@inbotonar, zirada@
@turn off@|@xmorsàre@
@twisted around@|@intorko£à@
@type of berry@|@franfrìgo£a@
@type of bird@|@gardéna, panpa£ùgo@
@type of cheese@|@kèserle@
@type of cherries@|@marinè£e@
@type of coin@|@scudi@
@type of drain@|@gatolo@
@type of food@|@nhòko@
@type of gardening scythe@|@sìxo£a@
@type of hay@|@madhégo@
@type of mushroom@|@fhìnfarli@
@type of tree@|@làrexe@
@ugly@|@moleca@
@umbrella's ray@|@marè£a@
@urban blocks (former islands)@|@insulae@
@used to@|@ùxo@
@useless object@|@trapè£o@
@varnish@|@varnìxa@
@vendors of almonds and dried fruit@|@mandoleri@
@Venetian coin@|@zecchine@
@Venetian floor layer@|@terazzera@
@very dirty@|@scàsaro@
@vicar@|@visdomino@
@vicarage@|@canonica@
@vice@|@biastema@
@vinegar@|@aseo@
@vomit@|@gòmito@
@voracious@|@xlaparón@
@wad@|@panhùgo£o@
@wall made of stones@|@masiéra@
@wanderer@|@xbrindo£ón@
@warehouse@|@fondaco, fontega@
@was@|@yera@
@was the dog dirty?@|@el can jèrelo sporc(o)?@
@washbasin@|@£avaóro@
@washers@|@lavanderi@
@wasp@|@brèspa@
@watch out@|@òco@
@water snake@|@àspexe@
@water-melon@|@anguria@
@weak@|@patòfhia@
@weaver@|@testor@
@weavers of silk drapes@|@palii@
@were you dirty?@|@(ti) xèrito sporco?, (ti)jèritu sporc?@
@wheat@|@mazena@
@wheel@|@riota@
@when@|@kó@
@Where is my room?@|@Dove xela la me camara?@
@Where is the bar?@|@Dove xelo el bar?@
@Where is the beach?@|@Dove xela la spiajia?@
@whimp@|@frìto£a@
@whipped@|@frustai@
@wife@|@fhémena, moyére@
@wig@|@parucheta@
@wild berry@|@pèrla@
@willow reeds@|@strope@
@wine seller@|@magazen (da vin)@
@wise@|@marxemìn@
@witch@|@anguàna@
@wool lustrer@|@manganer@
@worse@|@pèdho@
@wrinkles@|@gréspe@
@wrong step@|@malpasso@
@yellow@|@dhà£o@
@yestarday@|@yeri@
@you have asked yourself@|@ti te te à/ga/ghè domandà@
@you were dirty@|@ti te jèra sporc, ti te jèri sporco@
@you were dirty (1)@|@ti te xeri sporco@
@you yourself are washed@|@(ti) te te à/ga/ghè lavà@
@young fellow@|@yóvene@
@young peasant@|@barukè£o@
@zipper@|@pate£ón@

