@English@|@Wolof@
@a timid@|@ganaar@
@a tiny bit@|@kallentaan@
@a tree@|@kadda, kadda, kel@
@a tribe from Senegal@|@seereer@
@a vice grip@|@keppa@
@a wooden writing tablet@|@aaluwa@
@a worm@|@sax@
@a wound@|@gaañu gaañu, jam-jam@
@Aaba naa henna mbubba ci Sira@|@I borrowed a dress from Sira@
@abandon@|@baayi, uus, wocca@
@ability@|@moo, mun-mun@
@Abraham@|@Ibu@
@abundant@|@maax@
@achievement@|@ngoóra@
@acquaintance@|@am-di-jamma@
@activity of rainy season@|@nawetaan@
@admirer@|@soope@
@affair@|@afeer, mbir@
@afternoon@|@bëcëg, bëcëk, Bekec@
@afternoon prayer@|@tisbaar@
@age group@|@morom@
@age groups@|@maase@
@aged person@|@mag@
@aim@|@diir@
@alcohol@|@sangara@
@Alikali is a big borrower@|@Alkaki aabakat bu mag la-@
@alike@|@meéngoo@
@all@|@lepp, yëpp@
@All@|@yaip@
@all os a sudden@|@bureét@
@alliance@|@kollërë@
@alms@|@sarax@
@alone@|@kot@
@already@|@jéeg@
@also@|@itam, tam, tam, tamit, te@
@amen@|@amiin@
@amount@|@nangam@
@amulet@|@gaalaaj, pas, teere, xonjom@
@an expression of surprise@|@ii@
@an uncircumsized person@|@aat@
@an understanding@|@gis-gis@
@and@|@ag@
@angry@|@mer@
@animal@|@Rab@
@animals@|@Rab-yee@
@ankle@|@doojoor@
@another@|@beneen, doo@
@antelope@|@kewël, mbila@
@anuone@|@keppa@
@anus@|@muuti@
@anything@|@leppa@
@Appearance@|@Lumumel@
@apple@|@pom@
@apple of mahogany@|@Darkase@
@apprentice@|@apparanti@
@April@|@Raki Gamo@
@Arab@|@Araab@
@arabic scholar@|@almuudu, taalube@
@Are there vacancies for today?@|@Ndax am nga neeg@
@arm@|@mbaga@
@arm pit@|@poxotaan@
@Arrival@|@delu si, nyow@
@arse@|@sar@
@article lying about on@|@tereene, terende@
@artist@|@ndaanaan@
@as@|@itam@
@ashes@|@dóom@
@assigment@|@sas@
@at@|@la@
@at the tip@|@juba@
@August@|@Barah-Lu@
@aunt@|@tanta, yumpaañ@
@authority@|@ndiggal@
@axe@|@séemeñ@
@baabab tree@|@buy, guy@
@baboon@|@gong@
@baby@|@liir, neene@
@baby-sitter@|@baambaanekat@
@back@|@digi-ganaaw, ganaw@
@back-yard@|@ganaawkër@
@bad@|@bonn, bonn na@
@badness@|@mbon@
@baggy breeches@|@caaya@
@bait@|@meeb@
@baked@|@ñor@
@bamboo@|@gong@
@bamboo bed@|@gonga@
@banana@|@banaana@
@bandage@|@bandaas@
@bandit group@|@ganglgeng@
@bank@|@bank@
@bantaba; village meeting place@|@penca@
@baobab fruit@|@buy@
@barbeque@|@yaasa@
@baren@|@jaasiir@
@barrel@|@bórig@
@basket@|@pañe@
@bath@|@janaaba@
@Bathing@|@Sangue@
@bathroom@|@duus, sanguwaay, Wanak@
@be a hypocrite@|@waane@
@be able@|@mun@
@be abundant@|@naax@
@be active@|@sawar@
@be afraid@|@regal, xuta@
@be aim@|@tiire@
@be airy@|@fiix, piix@
@be allergic@|@jomlu@
@be almost@|@xala, xaw@
@be ashamed@|@rus@
@be bad@|@bon@
@be bear with pain@|@mattu@
@be beauty@|@taar@
@be behave sulkily@|@diiju@
@be better@|@gén, tane@
@be bewitched@|@jommi@
@be bind@|@gumbo@
@be bitter@|@wex@
@be bland@|@lewet@
@be born@|@judu@
@be bother@|@lakkal@
@be broken@|@yaaxu@
@be bruised@|@rooceeku@
@be business like@|@tëstës@
@be charred@|@xóm@
@be cheap@|@yomba@
@be close@|@jegeñ@
@be closed@|@ubbu@
@be cloudly@|@xiin@
@be cold@|@sedda@
@be completed@|@sooti, sooti, suti@
@be confortable@|@teeda@
@be conspicious@|@xumba@
@be contagious@|@waale@
@be content@|@gore, tuux@
@be crazy@|@wéy@
@be crooked@|@lunka@
@be dare@|@sañ@
@be deaf@|@tëx@
@be depriciate@|@raaga@
@be different@|@utee, wutee@
@be dirty@|@salte, salte, tilim@
@be disapear@|@sanku@
@be disappointed@|@loru@
@be divided@|@xajaaloo@
@be dizziness@|@meer@
@be dressed@|@solu@
@be dried@|@ñeer, ngeer@
@be dry@|@wow@
@be dull@|@soof@
@be early@|@teel@
@be enormous@|@duuf@
@be entangle@|@lëj@
@be entangled@|@lëju@
@be equal@|@tooloo@
@be expect guest@|@seéntu@
@be extraordinarily dressed@|@samallu@
@be fade@|@paal@
@be fair in complexion@|@xeereer, xees@
@be faith@|@ngóm@
@be familiar with@|@miis@
@be famous@|@jar@
@be far@|@sore, sori@
@be fermented@|@ëna@
@be finished@|@raaf, sutal@
@be first@|@jëkka@
@be flat@|@taaca@
@be forbidden@|@xaraam@
@be friends@|@xaritoo@
@be full@|@suur@
@be fussy@|@sob@
@be gathered@|@rasu@
@be good@|@baax@
@be greedy@|@tiit@
@be hair@|@sëxa@
@be hanging@|@yooru@
@be hot@|@taanga@
@be hungry@|@xiif, xoos@
@be important@|@jampa@
@be in a bad mood@|@say@
@be in a corner@|@kaju@
@be in diapers@|@ngeenbu@
@be in doubt@|@jaaxle@
@be in excess@|@óppa@
@be in flames@|@jaf@
@be in harmonious relation@|@judoo@
@be in uniform@|@niroole, nuroole@
@be informed@|@yëg@
@be innocent@|@ey@
@be interest@|@ite@
@be interesting@|@xumbal@
@be jamble@|@rux-ruxi@
@be jealous@|@siis@
@be join@|@seéxa@
@be jumble@|@ruubaate@
@be known for@|@xamee@
@be large@|@dija, réy@
@be late@|@tarde@
@be late at night@|@guddee@
@be located@|@nekka@
@be lonely@|@wéet@
@be look like@|@niroo, nuroo@
@be loose@|@kal-kali, yanxa, yanxa, yanxa, yanxa, yëmbëx, yëmbëx, yëmbëx, yolom, yolom, yumbur, yumbux@
@be lost@|@gëlëm@
@be lucky@|@jig@
@be mystified@|@waaru@
@be near@|@jege@
@be need@|@soxla@
@be negligent@|@saggan@
@be old fashioned@|@xewwi@
@be opposite@|@jublu@
@be part@|@waala@
@be past@|@paase@
@be patient@|@muñ, teey@
@be pious@|@seela@
@be pity@|@yérém@
@be pleased to God@|@soobee@
@be plenty@|@las@
@be precious@|@panka@
@be pregnant@|@ñeebe@
@be present@|@teew@
@be prosperous@|@naat@
@be pure@|@piir@
@be quick@|@Gaaw@
@be quiet@|@mukus, selew@
@be reluctant@|@ñeeg@
@be respect@|@naw, yaru@
@be restless@|@muut-muuti@
@be rich@|@riis@
@be right@|@xat@
@be rigid@|@kadda@
@be rumple@|@sufuné@
@be sad@|@mer@
@be sand grains in food@|@xejem@
@be save@|@mucca, oór@
@be scattered@|@tasaaroo@
@be schocking@|@waar@
@be sensitive@|@nab@
@be serious@|@ñanga@
@be sheet@|@darab@
@be short@|@gaata@
@be sick@|@wéradi@
@be sick often@|@xiibon@
@be skinny@|@mees@
@be slack@|@yadaax, yedaax@
@be slow@|@yiix@
@be small@|@ndaw@
@be smart@|@Aay, saas@
@be soft@|@nooy@
@be spacious@|@yaatu@
@be spread@|@raccu@
@be sticky@|@ñapaaku, sécca@
@be stinky@|@nay@
@be straight@|@taali@
@be struggle@|@xaru@
@be stubborn@|@génékat@
@be stupid@|@toóy@
@be suffer@|@torox@
@be sufficient@|@mut@
@be tasteless@|@saapi, xormbet@
@be tasty@|@saf@
@be terrible@|@doywaar@
@be thin@|@sew, yooy@
@be thrusty@|@mar@
@be tight@|@seere@
@be tired@|@soona, xoox@
@be tired of something@|@iiñ@
@be too much@|@oppal@
@be transparent@|@perewere@
@be trend@|@saari@
@be trurned over@|@kóppa@
@be ugliness@|@ñaawaay@
@be umpleasant@|@naxari@
@be un trained@|@yaradeku@
@be uncontrolable@|@të@
@be underestimate@|@xeeb@
@be undressed@|@simeéku@
@be unstuffed@|@ñuuxeeku@
@be used to@|@miin, taama@
@be very@|@guy@
@be very drunk@|@dur@
@be very full@|@këll@
@be weak@|@nasax, yolox@
@be well@|@wér@
@be wet@|@tooy@
@be white@|@weex@
@be wicked@|@soxor, xiis@
@be womanish@|@goór-jigeén@
@be worse@|@yées@
@beach@|@tefes@
@bean@|@sëb@
@bean cake@|@akara@
@beans@|@ñeebe@
@beautiful@|@rafet@
@beautiful woman@|@jongama@
@beauty@|@taar@
@because@|@komka, ndax, ndig, ndigte, ndigte, ngir@
@bed@|@lal@
@bed bugs@|@matta@
@bedroom@|@kabinet@
@beef@|@nak@
@Beef@|@yapa, yapi harr, yapi nakk@
@beer@|@beer, sangara@
@Beer@|@sangara@
@beetle@|@gunduur, gunuur, wanxa@
@before@|@balaa@
@begger@|@woyaankat@
@Behaviour@|@Jiko@
@behind@|@ganaaw, Ginnaaw@
@being shave@|@nelu@
@being sufficent@|@doy@
@belief@|@yaakaar@
@believe in@|@gëm, góm@
@belly@|@koola@
@betray@|@janfaa@
@betrayal@|@janfaa@
@betrayer@|@orkat@
@Beverage@|@naan@
@bicycle@|@welo@
@big dipper@|@kudu luus@
@big elephant ears@|@mbiif@
@big parent@|@maam@
@bird@|@picc, picca, pichaa@
@birth@|@juddu@
@Birthday@|@besi judu@
@biscuit@|@mbiskit@
@bitter tomatoes@|@xuluñel@
@black@|@ñuul, nyool@
@black bird@|@ndóbin@
@black pepper@|@poobar@
@black scorpion@|@jankalaar@
@bleach@|@ordasawel, weexal@
@bleck smith@|@tëga@
@blind@|@gumbë@
@blink wink@|@xef@
@blister@|@futta@
@blocked@|@kalle@
@blood@|@deret@
@blouse@|@baybaas, mariñeer@
@blue@|@Baxa, bulu@
@boat@|@gaal, saxaar@
@Body@|@Yaram@
@boil@|@taab@
@boiled peanuts@|@gete-baxal@
@bone@|@yax@
@book@|@teere@
@boot@|@maal@
@boss@|@patrong@
@bother@|@mbuggal@
@bottom@|@suuf@
@botton@|@butoñ@
@bowl@|@bool, ndab@
@box@|@boyet@
@boy friend@|@coro@
@bracelet@|@jara, lam@
@brain@|@yuur@
@branch@|@banxaas@
@brave man@|@gaynde@
@bread@|@mbur, mbuuru@
@Bread@|@mburu@
@breakfast@|@Ndeewo, ndekki@
@Breakfast@|@ndaywoh@
@breast@|@ween@
@bride@|@séet@
@bridesmaid@|@palaale@
@bronze@|@porom, xanjar@
@broom@|@bale@
@brother@|@caameñ@
@brown@|@guru@
@bull@|@ëkka@
@bunch@|@cabba, saan@
@burial@|@baameel, suul@
@burn@|@lakka-lakka@
@burp@|@giix@
@Bus@|@Kaar rapid@
@bush@|@all@
@bush fowl-known to be wise@|@cookeer@
@bush pig@|@mbaam-aala@
@business@|@mbir@
@but@|@bari, waay, wante@
@butter@|@bota@
@buttocks@|@kofal, kus, kus, taar, taat, wang, wong@
@cabbage@|@supo me@
@cable@|@fiil@
@cage@|@kaaf@
@cake@|@laamarsees@
@caked residue@|@xooñ@
@calabash@|@këll, koog@
@calamity@|@estuwaar@
@calculate@|@kalkil@
@call@|@oote@
@calm@|@jat@
@camel@|@gëlëm@
@candle@|@sondeel@
@candy@|@tangal@
@canoe@|@looco@
@car park@|@gaaraas@
@carpenter@|@minisé@
@carpet@|@tape@
@carrot@|@karot@
@carry@|@uuf@
@cart@|@sareet, saret@
@cassava@|@ñambi, pulloox@
@cassava dough@|@fufu@
@cat@|@mus@
@catfish@|@kong@
@catholic@|@gurmet@
@cattle@|@jur@
@cause@|@tax@
@celebrate@|@maagal@
@celebration@|@xew@
@cemetary@|@janaase@
@censer@|@anda@
@center of the house@|@diggi-néeg@
@cereal@|@findi@
@certanly@|@saalaaw@
@chaff@|@cox@
@chain@|@toogu@
@chair@|@siis@
@chance@|@alaafiya@
@change@|@weccit@
@charcoal@|@keriñ@
@chat@|@waxtaan@
@chatting@|@garang-palaas@
@cheek@|@lex@
@Cheers!@|@jaraama@
@chest@|@dënna, ndena@
@chewing stick@|@soocu@
@chick@|@cuuc@
@chicken@|@ganaar, ganar@
@child@|@doom, doom, goné, guné, xale, xalel@
@chin@|@sikim@
@Chinese@|@chinese@
@Chinese green tea@|@warga@
@church@|@jangu, jangu bi@
@cinema@|@sinemaa@
@circle@|@geéw@
@circumcision@|@lël@
@class@|@kalaas@
@clay@|@ban@
@clayish@|@potopoto@
@clean@|@laabu, set@
@clear@|@leer@
@client@|@killiyaan@
@clitoris@|@cóola, coota@
@Closed@|@taych na@
@clothes@|@yéré@
@clothes pin@|@keppu@
@clots@|@gallox@
@cloud@|@niir@
@club@|@mbootaay@
@coal pot@|@furno@
@coastal village@|@teeru@
@coat@|@palto@
@cobbler@|@uude@
@cock@|@séexa@
@cockroach@|@mbóot@
@coffee@|@café@
@Coffee@|@Kafe@
@coincidence@|@toombee@
@cola@|@guro@
@cold@|@Seda, sedd, sedd, xurfaan@
@cold water@|@Ndoh Bu Seda@
@color@|@kuloor, melo@
@colors@|@culor@
@command@|@ndigtal@
@commanding@|@jëmma, jomma@
@companion@|@Andandoo@
@company@|@kompin@
@complainer@|@jaambaatkat@
@complete@|@mat@
@compound@|@kër@
@confrontation@|@aaka@
@conjuntivities@|@waanent@
@constable@|@konsumél@
@continuous@|@takkarnasse@
@cook@|@toogakat@
@Cooking oil@|@Deew-lin@
@cooperative@|@koparatiif@
@corageous man@|@jambaaryaa@
@corn@|@nbooxa@
@corpse@|@niiw@
@cosmetic for the eyelashes@|@tusungal@
@cotton@|@witéen@
@counter@|@kontuwaar@
@counterpart@|@njaati gi@
@country@|@reew, reéw@
@courage@|@fit@
@courthouse@|@aateekaay@
@courtyard@|@diggi-kër@
@cover@|@kubeer, m'baj@
@cow@|@kuy, kuy, nag, nak@
@co-wife@|@wujja@
@cows for plowing@|@kamp@
@cream@|@soow@
@creole@|@aku@
@crevice@|@seela@
@cricket@|@soocet@
@crocodile@|@jasig, jasit, jësit, jicit@
@crooked legs@|@las, las, rënka@
@crossed eyed@|@jéela@
@crossing point@|@jaaleekaay@
@crow@|@baaxoñ@
@cube@|@donja@
@cucumber@|@kokumber@
@cup@|@pot@
@cupboard@|@almoor@
@curious@|@kumpa@
@currency@|@weccat@
@curtircura@|@illa@
@curve@|@jadda@
@cut@|@góom@
@cutlet of fish@|@tëla@
@Dakar@|@ndakaaru@
@dance@|@ndëppa, pecc@
@darkness@|@lëndëm@
@date tree@|@taandarma@
@Daughter@|@dorm ju jigain@
@dawn@|@fajar, njël@
@day@|@berep, Bes, fan@
@Day@|@fann@
@day before yesterday@|@barkaati demba@
@day break@|@bórset, börset, bótset, bötset@
@deaf@|@tëx@
@death@|@saay@
@death anoucement@|@taagee@
@December@|@Tobaski@
@decency@|@sutura@
@deer@|@kewel@
@Departure@|@dem, jogay@
@dependant@|@surga@
@desire@|@sago@
@dew@|@laayi@
@difference@|@wutee@
@different@|@wuute@
@difficult@|@jafe@
@difficulty@|@coono, gaalankoo, tëxa-tëxa@
@digger@|@gaskat@
@dignity@|@daraja, fulla@
@dinner@|@reer@
@Dinner@|@rerr@
@dirt@|@salte@
@dirty@|@noo@
@discuss@|@diisó@
@dish@|@mbuum@
@dish with the sauce of peanut@|@maafe@
@dishonest@|@dëng@
@dislocation@|@foxoj@
@dispute@|@xuloo@
@distance@|@diis@
@divide@|@sédaale@
@dizziness@|@miir@
@do intentionaly@|@tey@
@Do you accept credit cards?@|@ding deh nangu, jaill credit cards?@
@Do you have...@|@ndah am nga....@
@Do you speak...@|@ding deh laka, ding deh wah ...@
@dock@|@waaf@
@doctor@|@doktor@
@dog@|@haj, xaj@
@doing laundry@|@gërgéepa@
@donkey@|@mbaam-sëf@
@Don't touch me there!@|@Bouma lal fofu!, Buma laal foofu!@
@door@|@bunt, bunta@
@dough nuts@|@beñe@
@down@|@chi suuf, suuf@
@down pour of water@|@walangaan@
@doze@|@gam-gami@
@dozing@|@jinkoo@
@dream@|@gent@
@dress@|@mbubba, rooba, yëre@
@dressing well@|@paree@
@dried fish@|@geeja@
@drink@|@naan@
@drinks@|@naan-yee@
@driver@|@daraayba, dawalkat@
@drizzle@|@wis-wisal@
@drought@|@beekoor, maral@
@drum@|@mantaas, ndënda, tabala@
@drummer@|@tëgakat@
@drunkard@|@daajukat@
@dry fish@|@geij@
@dry food@|@weseng@
@dry season@|@noor@
@duck@|@canara, kanaara@
@dugout@|@gaal@
@dumb@|@lu, lu, muumu@
@duration of life@|@giiru-dunda@
@duration of one's life@|@giiru-dundam@
@dusk@|@marax, timis@
@dwarf@|@ndaama@
@dye@|@cuub@
@each other@|@xeebante@
@eagle@|@licin, tan@
@ear@|@nopp, noppa@
@Ear@|@nopa@
@early@|@teel@
@ear-ring@|@jaaru-noppa@
@easy@|@yomb@
@eat@|@lekal@
@economy@|@kom-kom@
@edge@|@cat@
@egg@|@nen, neu@
@egg plant@|@batanse@
@eight@|@jurome nyeta, juróom-ñett@
@Eight@|@Jurom Nyetta@
@eighteen@|@fuka ak jurome nyeta, fukk ak juróom-ñett@
@eighth@|@juróom-ñettéélu@
@eighty@|@jurome nyeta fuka, juróom-ñett-fukk@
@elbow@|@concu@
@elderly person@|@kilifa@
@electricity@|@kurang, lampa@
@elegant@|@jek@
@elephant@|@ñay, ñey@
@eleven@|@fuka ak bena, Fuka Bena, fukk ak benn@
@ember@|@xal@
@embroidery@|@dawume@
@emphasies words@|@ne@
@empty@|@neen@
@empty container@|@xoota@
@enclosure@|@naag@
@end@|@muj, muje@
@engaged@|@far@
@England@|@Angalteer@
@English@|@angale, angaleh, english@
@erection@|@kuddal@
@essence@|@safal@
@European@|@tubaab@
@even@|@sax@
@evening@|@ngoón@
@Evening@|@ngou@
@ever@|@mukk, mus@
@everuday@|@bés bu nekka@
@everyone@|@ku-nekka@
@everything@|@lu-nekka, yëp@
@everytime@|@saayu-nekka@
@everywhere@|@fu nekka@
@excuse me@|@Baal ma@
@expressing contempt@|@sooy@
@expressing sorrow@|@mas@
@expression of certanty@|@daal@
@expression of disgust@|@cam, cem, cim@
@eye@|@bëñ, bot, böt@
@eye brown@|@éen@
@eye glasses@|@lunet@
@eyebrows@|@yeen@
@fabric@|@piis@
@face@|@kanam@
@factory@|@isin@
@faeces@|@day, duul@
@faith@|@cofel@
@fall@|@burum@
@family@|@njaboot@
@family name@|@sant@
@famous@|@daraja@
@fancy@|@xemem@
@far@|@sore, sori@
@fare@|@paas@
@Farewell@|@Be Bennan Yon@
@farmer@|@bëykat@
@fat@|@diwiñor, gerees@
@Fat person@|@Ku rey@
@father@|@baay, laabe, paa, papa@
@Father@|@bai@
@fatigate@|@coono@
@feast month@|@korite@
@feast of end of the ramadan@|@korité@
@feather@|@dunxa@
@February@|@Digi@
@feel cold@|@liw@
@feel confortable@|@yaatal@
@female@|@bu jigéen@
@female pilgrim@|@ajaratu@
@fence@|@saaket, tapaat@
@field@|@tool@
@fifteen@|@fuka ak jurome, fukk ak juróom@
@fifth@|@juróoméélu@
@fifty@|@jurome fuka, juróom-fukk@
@film@|@fiim@
@filter@|@xer@
@finger@|@Baaraam, we, wey@
@Finger@|@Baram@
@finger-ring@|@jaaru-baaram@
@fingers@|@aram-yee@
@fire@|@lakk@
@fire of bush@|@Daay@
@firewood@|@lo, poñit@
@first@|@bu njëk, jëkk, Njeken tel bi, njëkka, përëmye@
@first (1)@|@njëkke@
@first born child@|@taaw@
@first name@|@tur@
@first round of the ataya@|@lëwal@
@fish@|@jen, jën, këccax, ndawal, ngot, yaax@
@Fish@|@jainn@
@fish ball@|@bulet@
@fisherman@|@cubalo, móol@
@fishhook@|@oons@
@fishing line@|@caas, xiir@
@fist@|@këmëx@
@five@|@jurom, jurome, Juroom, juróom@
@flat@|@taapandaar@
@flat wood@|@taaparka@
@flavour@|@cafka, cafko, safaay@
@flea@|@meesees@
@flip-flaps@|@carax@
@fly@|@weñ@
@food@|@cin, leka, ñam@
@food made of millet@|@cere@
@fool@|@muxat@
@foot@|@tanca@
@foot sole@|@tëstan@
@football@|@kupe@
@footpath@|@teretuwaar@
@for@|@ngir, pur@
@for a long time@|@gëj@
@forbidden@|@Aay@
@forehead@|@jë@
@foreign@|@gan@
@foreigner@|@laakakat, tubaab, waaliyaan@
@fork@|@furset@
@form of a stomach up set@|@fiw@
@fortune@|@alal@
@four@|@ñeent, ñenent, ñent, nyenent@
@fourteen@|@fuka ak nyenent, fukk ak ñeent@
@fourth@|@ñeentéélu, ñenentéel, Nyenentel bi@
@fowl@|@nat@
@frame@|@kaadar@
@France@|@tugël@
@French@|@français@
@friday@|@Gaaw@
@Friday@|@Ajjuma, Aljuma@
@friend@|@kharit, xarit@
@Friend@|@harit@
@frock@|@anaago@
@frog@|@mboota@
@fruit@|@doom, doom, koóni@
@Fruit@|@Kojomtu@
@fula@|@pól@
@full@|@fees@
@funeral@|@déc, dëj@
@funny@|@reelu@
@future@|@Elak@
@future teller@|@gisaan-kat@
@gall bladder@|@wextan@
@game@|@po@
@gap between the tooth@|@jaal@
@garlic@|@laac, laaj@
@gas station@|@esaanseer@
@gathering@|@jataay, jotaay, mbooloo, ndaje@
@generous@|@laabiir@
@German@|@almagne, german@
@get to hell@|@gatul@
@gift@|@maye, meye, meye, ndawtal, ndëwénal, yóobal@
@gift of money@|@ndawtal@
@gills@|@caaxoñ@
@ginger@|@jinjar@
@giraffe@|@njamla@
@girl@|@janxa@
@give thanks@|@santa@
@glue@|@kol@
@go away@|@aca@
@go beyond@|@weesu@
@go in vain@|@kasaara@
@go look for@|@uti@
@go on@|@aca@
@go straight@|@taalal@
@go to@|@waali@
@go!@|@aca@
@goat@|@bey@
@God@|@yaala@
@goitre@|@boolox@
@gold@|@urus, wurus@
@good@|@baah, baah na@
@good afternoon@|@jama nga endoh@
@Good afternoon@|@jama nga endoh, Naka Beket Bi@
@good evening@|@jama nga endoh@
@Good evening@|@Naka Ngonci@
@good health@|@wargu-yaram@
@good morning@|@jama nga fanaan@
@Good morning@|@Naka Subaci@
@good night@|@fanaan jama@
@Good night@|@Fanan Jama@
@goodbye@|@chi jama@
@Good-bye@|@Ci Jama@
@gourd@|@gamba, kandaama@
@government@|@guwernemaa, nguur@
@grab quickly@|@cas@
@graft@|@jang@
@grafter@|@jankat@
@grain@|@pepp@
@grand child@|@sët@
@grand parent@|@maam@
@grape@|@résëñ@
@grass@|@ñax@
@grate@|@os@
@grave@|@waraaj@
@green@|@lu werta@
@greeting@|@maaleekumsalaam@
@grill@|@wajj@
@grilled peanut@|@caaf@
@grilled peanuts@|@gerte-lakka, saaf@
@guard@|@gardekat@
@guava@|@guyaab@
@guide@|@njiit@
@Guinea-Bissau@|@Giné Bisaaw@
@Guinea-Conakary@|@Giné-Konaakiri@
@Guinea-fowl@|@naat@
@guitar@|@xalam@
@gullet@|@put@
@gulp@|@guux@
@gum@|@daakaande@
@gum boil@|@pat@
@habit@|@jikko@
@habitual@|@ka@
@hair@|@Cawar Jerte@
@half@|@genawalla, xarit@
@half kilo@|@liibar@
@half past@|@Fan wer minit@
@hammer@|@marto@
@hammock@|@piliyaan@
@hand@|@loho, loxo@
@hand over@|@yoor@
@handicap@|@laago, lafañ@
@hang over@|@laxal@
@happy@|@beg@
@Happy Birthday!@|@besi judu@
@hardness@|@dëgëraay@
@hare@|@lëk, Njombor, ñombar@
@harvest@|@mbay, mbey@
@hat@|@mbaxana@
@have a cold@|@soj, xurfaan@
@have a large family@|@jaboot@
@have fever@|@sibiru@
@have just@|@soga, sooga@
@have leprosy@|@ngaana@
@have little power@|@neéw@
@have something unexpectedly@|@gomee@
@he@|@la, la, moo, mu, mu, mungi@
@he is not@|@du@
@head@|@boopa, bopp, nampatal, njiit@
@Head@|@Bopa@
@head of the village@|@alkaali@
@head tie@|@musóor@
@healer@|@fajkat@
@heart@|@xol@
@heat@|@tangaay, tanggoor, tangoor@
@heaven@|@aljana, arjana@
@heavy@|@diis@
@hedgehog@|@saaw@
@hell@|@safara@
@Hello@|@Nakam@
@help@|@dimbal, ndimbal@
@hen@|@pil@
@henna@|@fuddan@
@herd@|@geeta@
@here@|@fii@
@hey you!@|@saa-waay@
@Hi!@|@Maalekum salaam!@
@hill@|@tunda@
@him@|@Dafa, ko, ko, moom@
@hinder@|@koñe@
@hoe@|@ileer, ngoos-ngoos@
@hold@|@jaapa@
@hole@|@bón-bónna, pax, soo@
@hollow@|@kamba@
@holy@|@teexet@
@holy mosque in Mecca@|@kaaba@
@holy place@|@ñaanukaay@
@holy water@|@saafara@
@home@|@suwo@
@honesty@|@ngor@
@honey@|@lem, len@
@honeymoon@|@céetal@
@honor@|@jom@
@hook@|@lonka@
@hope@|@yaakaar@
@horn@|@béejin@
@horse@|@fas@
@hospital@|@lopitaan, lorpitaan@
@hospitality@|@teranga@
@host@|@ngan@
@hot@|@tang, tanga@
@hour@|@Wahtu, waxtu, woxtu@
@house@|@kër, neeg@
@how@|@naka@
@how about@|@nag@
@How are you?@|@Jamun Gam?, naka nga def, nan nga def@
@How do you do?@|@Na nga def ?, Naka nga def ?, Noo def?@
@How do you say this in English@|@naka ngaa waheh li chi english@
@How is the Family?@|@Naka Wa Ker Ga?@
@how much@|@jotu, ñaata@
@How much does this cost?@|@lee nyata la?, lee nyata laa jarr@
@How much is the fare?@|@pass bi nyaata la?@
@how?@|@naka@
@however@|@wurus@
@How's it going?@|@Naka mu demee?, Numu demee?@
@human being@|@Domi Adanaa@
@hump@|@joogare@
@hunch back@|@xuuge@
