@English@|@Welsh@
@as a result@|@o'r herwydd@
@as a rule@|@fel rheol@
@as far as he knew@|@hyd y gwyddai@
@as far as I know@|@am wn i@
@as good@|@cystal@
@as if it were@|@megis@
@as large. as many@|@cymaint@
@as little as@|@cyn lleied ag@
@as long as@|@cyhyd ag, hyd@
@as one ought to@|@fel y dylid@
@as usual@|@fel arfer@
@as well@|@yn ogystal â@
@as well as@|@yn ogystal â@
@ascent@|@dringfa@
@ash trees@|@ynn@
@ask@|@ceisio, erchi, erchi i, gofyn, gofyn, gofyn i, holi@
@aspect@|@pryd@
@assembly@|@cynnull@
@assist@|@cynorthwyo@
@associate@|@cysylltu@
@at@|@am, am, ar@
@at all@|@erioed, o gwbl, o gwbwl@
@at last@|@o'r diwedd@
@at once@|@rhag blaen@
@at random@|@ar antur@
@at the moment@|@ar hyn o bryd@
@at the time of@|@adeg y@
@at times@|@ar adegau, ar brydiau@
@atmosphere@|@awyrgylch@
@attack@|@cyrchu, rhuthr, rhuthro, ymosod, ymosod ar, ymosodiad@
@attacks@|@pyliau@
@attempt@|@antur, antur, cais, cynnig, cynnig, ymgais, ymgais@
@attention@|@sylw@
@attitude@|@agwedd, agwedd@
@attorney@|@twrnai@
@attract@|@atynnu, denu@
@attractive@|@atyniadol, deniadol@
@attribute@|@priodoli@
@audible@|@clywadwy@
@audit@|@archwiliad@
@August@|@Awst@
@author@|@awdur@
@authorities@|@awdurdodau@
@authority@|@awdurdod@
@authorize@|@awdurdodi@
@auxiliary@|@cynorthwyol@
@avalanche@|@afalans@
@avenue@|@rhodfa@
@average@|@cyfartal@
@aversion@|@casbeth@
@awake@|@ar ddihun@
@away@|@i fwrdd@
@awful@|@enbyd, enbyd@
@awkward@|@chwithig@
@axe@|@bwyell@
@babble@|@prepian@
@back@|@cefn, yn ôl@
@bacon@|@cig moch, cig moch@
@bad@|@drwg, drwg@
@bag@|@cod@
@bagful@|@codaid@
@baggy@|@codog@
@bake@|@crasu@
@balance@|@cydbwysedd, mantol, mantoli@
@bald@|@moel@
@bang@|@taro@
@banish@|@alltudio@
@bank@|@glan@
@banquet@|@gwledd@
@barbel@|@barfogyn@
@barber@|@barbwr@
@bardic@|@barddol@
@barrel@|@casgen@
@base@|@bôn, seilio, seilio, sylfaen, sylfaen@
@bashful@|@swil@
@bashfulness@|@swilder@
@basis@|@sail@
@basket@|@basged@
@bathe@|@ymdrochi@
@battle@|@brwydr, brwydyr@
@be@|@bod, bodoli@
@be able@|@gallu@
@be allowed@|@cael@
@be anxious@|@pryderu@
@be armed@|@arfog@
@be heated@|@poethi@
@be lazy@|@diogi@
@be present@|@presenoli@
@be silent@|@tewi@
@be sober@|@sobri@
@be surprised@|@synnu@
@be surprised at@|@synnu at@
@be tired out@|@ymlâdd@
@beach@|@traeth, traeth@
@beam@|@dist@
@beans@|@ffa@
@bear@|@dal@
@beard@|@barf@
@bearded@|@barfog@
@beat@|@curiad, curo, curo, tabyrddu@
@beautiful@|@hardd, prydferth, teg, telaid@
@beauty@|@prydferthwch, tegwch@
@because@|@achos, achos, am, oblegid@
@beckon@|@amneidio@
@become@|@dod yn@
@become mouldy@|@llwydo@
@become night@|@nosi@
@become pale@|@gwelwi@
@become part@|@ymdoddi@
@become serious@|@dwysáu@
@become tired@|@dyddfu@
@bed@|@gwely@
@bedroom@|@stafell wely@
@beef@|@cig eidion, cig eidon@
@beer@|@cwrw@
@bef@|@crefu ar@
@before@|@cyn, o'r blaen@
@before hand@|@ymlaen llaw@
@before long@|@cyn bo hir@
@beg@|@begio, erfyn, erfyn ar@
@begin@|@dechrau, dechrau@
@beginning@|@dechrau@
@behind@|@tu cefn, tu ôl@
@belief@|@cred@
@believe@|@credu, credu@
@believer@|@credadun, credwr@
@bell@|@cloch@
@bellow@|@rhuo@
@belly@|@rhumen, tor@
@belong@|@perthyn@
@beloved@|@cun@
@below them@|@oddi tanynt@
@belt@|@gwregys@
@bench@|@mainc@
@bend@|@plygu@
@beneficial@|@buddiol, llesol@
@benefit@|@llesâd@
@bent@|@crwm@
@beside@|@wrth ochor, wrth ymyl@
@besiege@|@gwarchae@
@besieged@|@gwarchaeëdig@
@best@|@gorau@
@between@|@rhwng@
@bewilder@|@moedro@
@bewitched@|@witsio@
@beyond@|@trosodd@
@big@|@mawr@
@big toe@|@bawd@
@bilingual@|@dwyieithog@
@bilingualism@|@dwyieithrwydd@
@bingler@|@stompiwr@
@biography@|@bywgraffiad@
@biology@|@bywydeg@
@birch@|@bedw@
@birch grove@|@bedwerw@
@bird@|@aderyn@
@birds@|@adar@
@birthday@|@pen blwydd@
@biscuit@|@bisged@
@bitter@|@chwerw@
@bitterness@|@chwerwedd@
@black@|@du@
@blackbird@|@aderyn du, mwyalchen@
@blackness@|@duedd@
@blasphemy@|@cablair@
@blight@|@mall, malltod@
@bloody fool@|@baliffw^l@
@blow@|@ergyd@
@blows@|@dyrnodiau, ergydion@
@blue@|@glas@
@blue joke@|@stori faswedd@
@blunt@|@pylu@
@blush@|@cochi, gwrid, gwrido@
@boar@|@baedd@
@board@|@bwrdd@
@boast@|@brawl@
@boastful@|@mawreddog@
@boat@|@bad, cwch@
@bodies@|@cyrff@
@body@|@corff@
@bog@|@cors@
@boil@|@berwi@
@boiling@|@goferw, yn ferw@
@bold@|@dewr, eofn@
@bolt@|@bolltio, prenio@
@bonfire@|@coelcerth@
@bookshop@|@siop lyfrau@
@booty@|@preiddin@
@border@|@goror@
@borders@|@ffiniau@
@borken down@|@wedi torri lawr@
@borrow@|@benthyg@
@bosom@|@mynwes@
@botch@|@stompio@
@bother@|@o daro, trafferthu@
@bottle@|@costrelu, potel@
@bound@|@rhwym@
@bout@|@pwl@
@bout of@|@pwl o@
@bouts@|@pyliau@
@bowl@|@mail@
@box@|@paffio@
@box on the ears@|@bonclust@
@boy@|@bachgen@
@brain@|@ymennydd@
@brass@|@pres@
@brave@|@dewr, dewr, gwrol@
@bravery@|@dewrder@
@breach of promise@|@tor-amod@
@bread@|@bara@
@break@|@gwant, torri, torri@
@break up@|@chwalu@
@breakfast@|@brecwast@
@breast@|@bron, bron@
@breath@|@anadl@
@breathe@|@anadlu@
@breed@|@brîd, epilio@
@Breton@|@Llydaweg@
@brewed for the second time@|@ail-fragu@
@brewery@|@bragdy@
@brick@|@priddfaen@
@bridge@|@pont@
@bright@|@disglair@
@bring@|@dwyn at, dyfod ag@
@bring credit@|@dwyn clod@
@British@|@Prydeinig@
@brittle@|@bregus@
@broad@|@eang@
@broadcast@|@darllediad, darlledu@
@broadcaster@|@darlledwr@
@broadcasters@|@darlledwyr@
@broad-minded@|@eangfrydig@
@bronze@|@pres@
@brook@|@cornant, nant@
@brother@|@brawd@
@brothers@|@brodyr@
@brown@|@gwrm@
@brownish@|@cochddu@
@brows@|@aeliau@
@bruises@|@cleisiau@
@brush@|@brwrsio, brws@
@build@|@adeiladu@
@builder@|@adeiladwr, saer@
@building@|@adeilad@
@buildings@|@bildins@
@bull@|@tarw@
@bundle@|@cocyn, sopyn, sypyn@
@burbot@|@llofen@
@burden@|@baich, bwrn@
@bureau@|@biwrô@
@burning slowly@|@mud-losgi@
@bury@|@claddu@
@bus@|@bws@
@bus stop@|@safle bysiau@
@business@|@busnes@
@busy@|@prysur@
@butcher@|@cigydd@
@butt@|@cornio@
@butter@|@menyn@
@buttermilk@|@enwyn@
@buy@|@prynu@
@buyer@|@prynwr@
@buzz@|@suo@
@by@|@erbyn, gan, gan, wrth, wrth@
@by all means@|@ar bob cyfri@
@by the way@|@gyda llaw@
@by then@|@erbyn hynny@
@by virtue of@|@yn rhinwedd@
@cackle@|@cocian@
@cahin@|@tid@
@cairn@|@carn@
@cake@|@teisen@
@calendar@|@calendr@
@calf@|@llo@
@call@|@galw@
@call at@|@galw yn@
@calm@|@tawel, tawelwch@
@calmer@|@llonyddach@
@camera@|@camera@
@camp@|@gwersyllu@
@candid@|@agored@
@candidate@|@ymgeisydd@
@canvas@|@cynfas@
@capable@|@abl@
@capital@|@cyfalaf, prifddinas@
@capitalist@|@cyfalafol@
@captivity@|@caethiwed@
@capture@|@cipio, cipio@
@car@|@car@
@carcass@|@celain@
@card@|@cerdyn@
@career@|@galwedigaeth, gyrfa@
@careful@|@gofalus@
@caress@|@anwes@
@caretaker@|@gofalwr@
@carp@|@carp@
@carpenter@|@saen, saer@
@carriage@|@cerbyd@
@carry@|@arwain, cario@
@case@|@achos@
@cast@|@bwrw@
@castle@|@castell@
@cat@|@cath@
@catch@|@dal@
@catch salmon@|@eoca@
@catfish@|@morgath@
@catholic@|@catholig@
@cattle@|@da, gwartheg@
@cattle dealer@|@porthmon@
@cause@|@achos, achosi, codi, peri i@
@cause injustice@|@gwneud cam@
@cave@|@ogof@
@cease@|@peidio, peidio@
@ceaseless@|@dibaid@
@celebrate@|@dathlu@
@cellar@|@seler@
@central@|@canolog@
@central area@|@canolbarth@
@centre@|@canolbwyntio, canolfan, canolwr@
@centuries@|@canrifoedd@
@century@|@canrif@
@certainly@|@siwr o fod@
@certainty@|@sicrwydd@
@chair@|@cadair@
@challenge@|@her, herian, herio@
@champion@|@pencampwr@
@chance@|@cyfle@
@change@|@cyfnewid, newid, newidiad@
@channel@|@sianel@
@chant@|@canu@
@chaos@|@anhrefn, anhrefn@
@chapter@|@pennod@
@char@|@torgoch@
@characterise@|@nodweddu@
@characteristics@|@teithi@
@charge@|@cyhuddo@
@charm@|@swyn@
@charming@|@swynol@
@chart@|@siart@
@chat@|@sgwrs, sgwrs@
@chat with@|@cael sgwrs â@
@chatter@|@clebran@
@cheap@|@rhad, rhad@
@cheeks@|@gruddiau@
@cheese@|@caws, cosyn@
@cheque@|@siec@
@cheque card@|@cerdyn siec@
@chess@|@gwyddbwyll@
@chessboard@|@tawlbwrdd@
@chest@|@mynwes, ysgyfaint@
@chew@|@cnoi@
@chicken@|@cyw iâr@
@chief@|@brif, pennaeth, prif@
@child@|@plentyn@
@children@|@plant@
@chill@|@oeri@
@chin@|@gên@
@chips@|@sglodion@
@chisel@|@cy^n@
@choice@|@dewis, dewis, dewisiad@
@choke@|@tagu@
@choose@|@dewis@
@chosen@|@dewisedig, dewisol@
@christening@|@bedydd@
@chub@|@annog@
@church@|@eglwys@
@churlish@|@di-foes@
@churn@|@corddi@
@cinema@|@sinema@
@cintribute@|@cyfrannu@
@circle@|@cylcho@
@circuit@|@amdaith@
@citizen@|@dinesydd@
@city@|@caer@
@civilisation@|@gwareiddiad@
@civilised@|@gwâr@
@class@|@dosbarth, dosbarth@
@classify@|@dosbarthu@
@claw@|@crafangu, ewin, ewino@
@clean@|@glanhau@
@cleaning@|@glanhau, glanhau@
@cleanse@|@puro@
@clear@|@clir, eglur@
@click@|@clecian, clecian@
@cliff@|@clogwyn@
@climax@|@uchafbwynt@
@climb@|@dringad, dringfa, dringo@
@climber@|@dringwr@
@climg@|@glynu wrth@
@cloak@|@coban, cochli@
@clock@|@cloc, orlais@
@clod@|@priddell@
@close@|@agos, cau, gau@
@clothes@|@dillad@
@cloud@|@cwmwl@
@club@|@clwb, cnwpa@
@clumsily@|@yn afrwydd@
@clumsy@|@cobleraidd@
@cluster@|@clwstwr@
@coaching@|@hyfforddiant@
@coal@|@glo@
@coal mine@|@pwll glo@
@coal scars@|@creithiau glo@
@coast@|@arfordir@
@coat@|@cot@
@coax@|@darbwyllo@
@cobbler@|@cobler@
@coble@|@coblera@
@cockles@|@cocos@
@cod@|@penfras@
@coffee@|@coffi@
@cognition@|@gwybyddiaeth@
@coincidence@|@cyd-ddigwyddiad@
@cold@|@annwyd, oer, oerfel@
@coldish@|@oeraidd@
@collect@|@casglu, casglu, cynnull@
@collection@|@casgl@
@college@|@coleg@
@colleges@|@colegau@
@colloquial@|@tafodieithol@
@collwge@|@athrofa@
@colonies@|@trefedigaethau@
@colony@|@trefedigaeth@
@comb@|@cribo@
@come@|@dod@
@come back@|@dod nôl@
@comfort@|@cysur@
@comfortable@|@cyfforddus@
@coming@|@dyfodol@
@command@|@erchi, erchi i, gorchymyn, gorchymyn@
@commentary@|@esboniad@
@commerce@|@cyfnewid@
@commission@|@comisiwn@
@commit@|@cyflawni@
@committee@|@pwyllgor@
@common@|@cyffredin, cyffredinol@
@common people@|@gwrêng@
@commotion@|@cynnwrf, cynnwrf@
@communicate@|@cyfathrebu@
@communication@|@cyfathreb@
@communities@|@cymunedau@
@community@|@cymuned@
@companies@|@cwmnïau@
@companions@|@cymdeithion@
@company@|@cwmni, mintai@
@comparative@|@cymharol, cymharol@
@comparatively@|@cymharol@
@compare@|@cyffelybu, cymharu@
@comparison@|@cymhariaeth@
@compel@|@cymell, gorfodi i@
@competence@|@cymhwyster@
@complain@|@achwyn, cwyno@
@complain of@|@achwyn ar, cwyno ar@
@complete@|@cyflawn, cyflawni@
@completely@|@penbaladr, yn lân@
@complex@|@cymhleth@
@complicated@|@cymhleth@
@compose poetry@|@prydyddu@
@comprehend@|@amgyffred@
@comprehensive@|@cyfun, cynhwysfawr@
@computer@|@cyfrifadur@
@conceal@|@cuddio@
@concealhide@|@cuddio@
@concentrate@|@canolbwyntio@
@concert@|@cyngerdd@
@condemnation@|@condemniad@
@condition@|@amod, ansawdd, cyflwr, diwyg@
@conditions@|@telerau@
@conference@|@cynhadledd@
@confess@|@cyfaddef, cyffesu@
@confession@|@cyffes@
@confidence@|@hyder@
@confident@|@hyderus@
@confuse@|@drysu@
@confused@|@dryslyd@
@confusion@|@dryswch@
@conger eel@|@cyhyren@
@congratulate@|@llongfarch@
@conjunction@|@cysylltiad, cysylltiad@
@connection@|@cyswllt, cysylltiad@
@conquer@|@concro, gorchfygu@
@conscience@|@cydwybod@
@conscientious@|@cydwybodol@
@conscientious objector@|@consi@
@conscript@|@gorfodog@
@consensus@|@consensws@
@consequence@|@canlyniad@
@consequences@|@canlyniadau@
@consider@|@ystyried@
@considerable@|@cryn@
@consistent@|@cyson, cyson@
@consolation@|@cysur@
@constantly@|@byth a hefyd, yn gyson@
@constitution@|@cyfansoddiad@
@constructive@|@adeiladol@
@consult@|@ymgynghori@
@consumption@|@darfodedigaeth, traul@
@contact@|@cysylltu â@
@contain@|@cynnwys@
@contempt@|@dirmyg@
@content@|@cynnwys, cynnwys@
@context@|@cyd-destun@
@continent@|@cyfandir@
@continental@|@cyfandirol@
@continually@|@o hyd@
@continuous@|@parhaol, parhaol@
@contour@|@amlinell@
@contribute to@|@cyfrannu at@
@contribution@|@cyfraniad@
@control@|@rheolaeth@
@convenient@|@cyfleus@
@conversation@|@sgwrs, ymddiddan@
@conversion@|@troedigaeth@
@convictions@|@arghyoeddiadau@
@convince@|@argyhoeddi, darbwyllo@
@convinced@|@argoeddedig@
@cook@|@coginio@
@cool@|@oeri@
@cooperate@|@cydweithredu@
@co-operate@|@cydweithio@
@co-operation@|@cydweithrediad@
@co-operative@|@cydweithredol@
@cope@|@côpio@
@copper@|@copr, pres@
@copy@|@copi@
@copyright@|@hawlfraint@
@corduroy@|@melfared@
@corn@|@^yd, corn@
@corner@|@cornel, cornelu@
@cornflakes@|@creision ^yd@
@coronation@|@coroni, coroniad@
@corporation@|@corfforaethol@
@corpse@|@corff@
@corpses@|@cyrff@
@correct@|@cywir, cywiro@
@correspond@|@cyfateb, cyfated, gohebu@
@costs@|@costau@
@cosy@|@clyd@
@cottage@|@bwthyn@
@cotton grass@|@plu gweunydd@
@counsellor@|@cynghorwr@
@count@|@cyfrif@
@counter@|@cownter@
@counter charge@|@croes achos@
@counterproductive@|@gwrthgynhyrchol@
@counties@|@siroedd@
@countrified@|@gwledig@
@country@|@gwlad, gwledig@
@country bumpkin@|@cyntri lump@
@countryside@|@cefn gwlad@
@county@|@sir, swydd@
@courage@|@dewrder, dewrder@
@courageous@|@cefnog@
@courses@|@cyrsiau@
@court@|@cwrt, llys@
@courting@|@yn canlyn@
@covenant@|@cyfamod@
@covered@|@yn frith@
@cow@|@buwch@
@coward@|@cachadur, llwfr@
@cowardly@|@llwfr@
@cowshed@|@beudy@
@crab@|@cranc@
@craft@|@celfyddyd, celfyddyd@
@craftsman@|@crefftwr@
@crazy@|@penwan@
@create@|@creu@
@creation@|@cread@
@creative@|@creadigol@
@creature@|@creadur@
@credit@|@credyd@
@creed@|@credo@
@crew@|@criw@
@crib@|@preseb@
@crime@|@trosedd@
@criminal@|@troseddol@
@crisis@|@argyfwng@
@crisps@|@creision@
@critic@|@beirniad@
@critical@|@beirniadol@
@criticize@|@beirniadau@
@crooked@|@cam, crwca, crwm, gogam@
@crop@|@cnwd, cyndio@
@cross@|@croes, croesi, crog, draws, traws@
@crossroads@|@croesffordd@
@crow@|@brân, brân@
@crowd@|@haid, twrr@
@crown@|@coron, coroni@
@crown of the head@|@corun@
@crowned@|@coronog@
@crucifix@|@crog@
@cruel@|@creulon@
@crumb@|@briwsionyn@
@crumble@|@malurio@
@cry@|@crio, disgyr, dolef, llefain@
@cry out@|@dolefain@
@cult@|@cwlt@
@cultivate@|@amaethu@
@cultural@|@diwylliannol@
@culture@|@diwylliant@
@cultured@|@coeth, coeth@
@cunning@|@cyfrwys, cyfrwys@
@cup@|@cwpan@
@cupboard@|@cwpwrdd@
@cure@|@gwella, gwella@
@curl up@|@crychu@
@curriculum@|@cwricwlwm@
@curse@|@melltith, melltithio@
@curtly@|@yn gwta@
@custody@|@gwarchodaeth@
@custom@|@arfer@
@customers@|@cwsmeriaid@
@customs@|@arferion@
@cut@|@briw, torri@
@cut up@|@darnio@
@cuts@|@briwiau@
@daily@|@peunyddiol@
@dam@|@argae@
@damage@|@niweidio@
@damp@|@gwlybyrog, llaith@
@dance@|@dawns, dawnsio@
@dangerous@|@enbyd, enbyd@
@dare@|@beiddio, meiddio, mentro, mentro@
@daring@|@eofn@
@dark@|@tywyll@
@dark blue@|@gwrm@
@darkness@|@tywyllwch@
@dash it all@|@dario unwaith@
@date@|@dyddiad, oed@
@daughter@|@merch, merch@
@daunt@|@dantio@
@dawn@|@dyddio@
@day@|@diwrnod, dydd@
@day dream@|@pensynnu@
@daze@|@syfrdanu@
@dazed@|@syfrdan@
@deacon@|@diacon@
@deal@|@delio, trin@
@deal with@|@delio â@
@dealer@|@masnachwr@
@dear@|@annwyl, cun, drud, prid@
@dearth@|@drudaniaeth@
@death@|@angau, dilaith@
@debate@|@dadl, dadl, dadlau, dadlau@
@debris@|@malurion@
@debt@|@dyled@
@decade@|@degad@
@deceit@|@twyll@
@deceive@|@twyllo@
@December@|@rhagfyr@
@decisiveness@|@pendantrwydd@
@declaration@|@datganiad@
@declare@|@datgan@
@decorate@|@addurno@
@decoration@|@addurn@
@decreed@|@actiedig@
@dedicate@|@cyflwyno@
@deep@|@dwfn@
@deer@|@carw, hydd@
@defamation@|@gogan@
@defame@|@goganu@
@defect@|@diffyg@
@defend@|@amddiffyn, amddiffyn rhag@
@defiant@|@herfeiddiol, herllyd@
@definite@|@pendant, pendant derfynol@
@definitely@|@yn bendant@
@defy@|@beiddio, herfeiddio@
@degree@|@gradd@
@delay@|@oedi, oediad@
@delegates@|@cynrychiolwyr@
@delight@|@hyfrydwch@
@deliver@|@traddodi@
@delve@|@palu@
@demand@|@gofyn, hawl@
@democrat@|@gwerinwr@
@democratic@|@gwerinaidd@
@demonstrate@|@arddangos@
@denounce@|@lladd ar@
@dent@|@tolcio@
@deny@|@gwadu@
@depart@|@ymadael, ymado ag, ymdael@
@department@|@adran@
@depend@|@penderfynu@
@depend on@|@dibynnu aar@
@dependent@|@dibynnol@
@deprive@|@amddifadu, difreinio@
@depth@|@dyfnder@
@descend@|@disgyn@
@descendant@|@disgynnydd@
@descent@|@disgyniad@
@deserve@|@haeddu, haeddu@
@design@|@bwriad, cynllun, cynllunio@
@desire@|@awydd, dymuna, dymuniad, gofuned@
@despair@|@anobeithio, gwanobaith, gwanobeithio@
@despite himself@|@er ei waethaf@
@despite that@|@serch hynny@
@despondency@|@gwanobaith@
@despondent@|@prudd@
@despot@|@teyrn@
@destroy@|@dinistro@
@destroyer@|@dinistriwr@
@deteriorate@|@gwaethygu@
@deterioration@|@dirywiad@
@determined@|@penderfynol@
@develop@|@datblygu@
@developmen@|@datblygiad@
@development@|@datblygiad, datblygiad@
@devil@|@cythraul, cythrel@
@devout@|@duwiol@
@dew@|@gwlith, gwlitho@
@dewdrop@|@gwlithyn@
@dewy@|@gwlithog@
@dictionary@|@geiriadur@
@die@|@marw@
@different@|@gwahanol@
@difficult@|@anodd@
@difficulty@|@anhawster@
@dig@|@cloddio, palu@
@dignity@|@urddas@
@din@|@trwst@
@dining room@|@stafell fwyta@
@dinner@|@ancwyn, ancwyn, cinio, cinio@
@dioxide@|@deuocsid@
@diphthong@|@deusain@
@direct@|@cyfeirio, uniongyrchol, yn syth@
@direction@|@cyfeiriad, cyfer@
@directly@|@yn syth@
@dirt@|@baw@
@dirty@|@budr@
@disabled@|@anabl@
@disadvantage@|@anfantais@
@disagreement@|@anghydfod@
@disappear@|@diflannu@
@discipline@|@disgyblaeth@
@discomfort@|@anghysur@
@discontented@|@anfoddog, anfodlon@
@discourteous@|@anghwrtais@
@discover@|@canfu, darganfod@
@discuss@|@trafod, trafod, ymarwar@
@disgrace@|@gwaradwydd, gwaradyddo, gwarth@
@disgraceful@|@gwaradwyddus, gwarthus@
@disgust@|@diflastod@
@dish@|@llestr@
@dishonest@|@anonest@
@dismiss@|@digyflogi@
@disobedient@|@anufudd@
@disorder@|@anhrefn@
@disorganised@|@anhrefnus@
@dispute@|@amau@
@disregard@|@diystyru@
@distraction@|@ddifyrrwch@
@distribution@|@dosbarthiad@
@district@|@ardal, ardal, dosbarth@
@districts@|@ardaloedd@
@disturb@|@aflonyddu, aflonyddu ar, tarfu@
@disturbance@|@styrbans@
@disturbing@|@ystyrbiol@
@divide@|@rhannu@
@division@|@dosran@
@doctor@|@meddyg@
@document@|@dogfen@
@dog@|@ci@
@dogfish@|@penci@
@dogs@|@cw^n@
@dollar@|@doler@
@domesticated@|@dof@
@door@|@drws@
@doubt@|@amau, amheuaeth, dadl, dadl@
@doubtful@|@amheus, ansicr@
@doubtless@|@diau@
@dough@|@toes@
@dove@|@colomen@
@down@|@i lawr@
@dowry@|@gwaddol@
@doze@|@hepian, pendwmpian@
@dragon@|@draig@
@dramatist@|@dramaydd@
@drat it@|@dario@
