@English@|@Tamil@
@Bad Times@|@Kettakālam@
@Badminton@|@Shattil (E)@
@Bag@|@Pai@
@Bail@|@Jāmīn (S)@
@Ball@|@Pandhu@
@Bandicoot@|@Perichāļi@
@Bangalore@|@Bengaļūr@
@Bangle@|@Vaļai@
@Banyan Tree@|@Ālamaram@
@Barheaded Goose@|@Nīrvāththu@
@Bark@|@Vaļ@
@Bark (of a Dog)@|@Kulai@
@Barn Owl@|@Chāvu Kuruvi@
@Basin@|@Thotti@
@Basket@|@Kūdai@
@Bat@|@Vavvāl@
@Baya Weaver Bird@|@Thonga-nathan@
@Baybacked Shrike@|@Kichan Kuruvi@
@Beach@|@Kadarkaŗai, Kadarkkarai@
@Bean@|@Avarai@
@Bear@|@Karadi@
@Beard@|@Dhādi (S)@
@Beast@|@Mirugam (S)@
@Beat (in Music)@|@Thālam@
@Beautiful@|@Ałagāna@
@Beautifully@|@Ałagā@
@Beauty@|@Ałagu@
@Because of That@|@Adhanāl@
@Because of This@|@Idhanāl@
@Because of Which@|@Edhanāl@
@Bed@|@Padukkai@
@Bedding@|@Padukkai@
@Bedsheet@|@Pōruvai@
@Bee@|@Churumbu@
@Bee Fish (Lactarius delicatulus)@|@Churumbumīn@
@Bee-Eater@|@Kattalan Kuruvi, Panchānkam@
@Beetle@|@Vańdu@
@Beggar@|@Pichchaikkāran@
@Beginning@|@Agaram, Ārambam (S)@
@Behaviour@|@Nadanam@
@Belief@|@Nambikkai@
@Believer@|@Āsthigan (S)@
@Belonging@|@Poruļ@
@Belonging To@|@Udaya@
@Below@|@Kīła@
@Benefit@|@Nalvaŗavu@
@Bengal@|@Vangai@
@Bengal Gram@|@Kadalaipparuppu@
@Besan@|@Kadalaimmāvu@
@Besra Sparrow-Hawk@|@Chinna Vaļļuru@
@Best@|@Chirandha@
@Betel-leaf@|@Veththalai@
@Betelnut@|@Pākku@
@Big@|@Periya@
@Big (stand alone adjective)@|@Periyadhu@
@Big Person (Derogatory)@|@Ingulanddu Rāńi (E,S)@
@Billionnaire@|@Kōdīsvaran (S)@
@Biography@|@Charithram (S)@
@Biological Life@|@Uyiru@
@Bird@|@Paŗavai@
@Birth@|@Piravai@
@Birth Certificate@|@Piravai Pathrikai@
@Birthday@|@Pirandhanāļ@
@Bite@|@Kadi@
@Bitter Gourd@|@Pāvakkāy@
@Bittern@|@Narai@
@Black@|@Karuppu@
@Black Bittern@|@Karuppu Narai@
@Black Bulbul@|@Karuppu Końdai Kuruvi@
@Black Drongo@|@Karichan@
@Black Eagle@|@Karunkaługu@
@Black Precious Stone@|@Māńikkam@
@Black-blotched Grey Seafish (Pristipoma maculatum)@|@Kadichchaimīn@
@Blackbuck@|@Murukku Mān@
@Blacknecked Stork@|@Periya Narai@
@Blackwinged Stilt@|@Pavilla Kāl Uļļan@
@Blind@|@Kurudu@
@Blind Person@|@Kurudan@
@Bliss@|@Ānandham (S)@
@Blood@|@Raktham (S)@
@Blooming@|@Malarchchi@
@Blossom@|@Malar@
@Blue@|@Nīļa@
@Blue Rock Pigeon@|@Malai Purā@
@Blue Sea Fish (Holocanthus imperator)@|@Kallukkōłimīn@
@Boar (Informal)@|@Panni@
@Board@|@Palagāy, Pattai, Vāriyam@
@Boast@|@Bandhā@
@Boat@|@Kappal@
@Body@|@Udal@
@Body (Informal)@|@Udambu@
@Boiled@|@Vendha@
@Boiled Water@|@Vennīr@
@Boiling@|@Pongal@
@Bomb@|@Vediguńdu@
@Bomb Explosion@|@Guńduvedi@
@Bone@|@Elumbu@
@Book@|@Chuvadi, Nūl@
@Book of morals@|@Nannūl@
@Boon@|@Varam (S)@
@Booted or Bonelli's Hawk-Eagle@|@Rājāli@
@Boredom@|@Aruvai@
@Borough@|@Thāllukku@
@Boss@|@Mudhalāļi, Yajamān (S)@
@Boulder@|@Kallu@
@Bow@|@Vil@
@Box@|@Dabbā (S)@
@Boy@|@Kumaran (S), Piļļai@
@Brace of Carp in Gold@|@Puńarmīn@
@Brackish Water@|@Kałi@
@Brahminy Kite@|@Krishnar Parundu, Sen Parundu@
@Brahminy Myna@|@Pappaththi Nahanavai@
@Brass@|@Chembu, Piththaļai@
@Brave Woman (Colloquial)@|@Jānsirāńi, Rāńi Mangamma@
@Bravery@|@Vīram (S)@
@Breaking News@|@Mukkiya Cheythi@
@Breath@|@Mūchchu@
@Breeze@|@Thenŗal@
@Bribe@|@Lanjam@
@Brick@|@Chengal@
@Bride@|@Peń@
@Bride by Traditional law@|@Muŗaippeń@
@Bride-Fish (Lutjanus marginatus)@|@Kanmīn@
@Bridegroom@|@Māppiļļai, Varam (S)@
@Bridge@|@Pālam@
@Brightness@|@Veļicham@
@Brine@|@Kałi@
@Brinjal@|@Kaththirikkāy@
@Broadcast@|@Oļiparappu@
@Bronze Coin Fish (Etroplus maculatus)@|@Piththaļaikkāsumīn@
@Broom@|@Viļakkumār@
@Brother@|@Sagōdharan (S)@
@Brother-In-Law@|@Maidhuvan@
@Brother-In-Law (Colloquial)@|@Machchān@
@Brown Flatfish (Pleuronecter erumei)@|@Kadanākkumīn@
@Brown Seafish (Serranus pantherus)@|@Panŗimīn@
@Brown Semi-precious Stone@|@Gōmēdhagam@
@Bucket@|@Vāļi@
@Buffalo@|@Eŗumai@
@Buffalo?@|@Kōńam@
@Building@|@Kattadam, Nilayam@
@Bulbul@|@Końdai Kuruvi, Końdalati@
@Bull@|@Kāļai@
@Bullet@|@Guńdu@
@Burden@|@Chumai@
@Buried Treasure@|@Pudhayal@
@Burning-ghat@|@Sudukādu@
@Burnt@|@Erindha@
@Burn-wound@|@Chūdu@
@Business@|@Viyābāram (S)@
@Bustard-Quail (female)@|@Kurunkadik@
@Bustard-Quail (male)@|@Āńkadik@
@Butter@|@Veńńai@
@Butterfly@|@Pattāmpūchi@
@Butttermilk@|@Mōr@
@By Him/Her (Respectful)@|@Avarāl@
@By/Because of Her@|@Avaļāl@
@By/Because of Him@|@Avanāl@
@By/Because of It@|@Adhāl@
@By/Because of Me@|@Ennāl@
@By/Because of Oneself@|@Thannāl@
@By/Because of Thee@|@Unnāl@
@By/Because of Them@|@Avargaļāl@
@By/Because of Us@|@Engaļāl@
@By/Because of You@|@Ungaļāl@
@By/Because of You (Respectful)@|@Thangaļāl@
@C. Annadurai's nickname@|@Ańńā@
@C. Rajagopalachari's nickname@|@Rājāji@
@Cabbage@|@Muttakōs@
@Calculation@|@Kańakku@
@Calf@|@Kańńu@
@Camel@|@Ottagam@
@Campaign@|@Pōrāttam@
@Camphor@|@Chūdan, Karpūram (S)@
@Cancer@|@Karkarāsi (S)@
@Candle@|@Meługuvaththi@
@Cap@|@Thoppi@
@Capital City@|@Thalainagaram@
@Capricorn@|@Makararāsi (S)@
@Capsicum@|@Kodamiļagāy@
@Capsule@|@Kuppi@
@Captive@|@Kaidhi (S)@
@Card@|@Attai@
@Cardboard@|@Attai@
@Carnatic@|@Karnādaga@
@Carp@|@Keńdai@
@Cash@|@Pańam@
@Caspian Tern@|@Periya Kadal Kuruvi@
@Cassiopeia@|@Sharmishtai (S)@
@Caste@|@Jādhi@
@Cat@|@Pūnai@
@Catamaran@|@Kattamaran@
@Cattle Egret@|@Unnikkokku@
@Caucasian@|@Veļļaikkāran@
@Cauliflower@|@Pļavar (E), Pļāvar (E)@
@Cavity@|@Kułi@
@Centaurus@|@Narathurangam (S)@
@Century@|@Nūŗŗāńdu@
@Certificate@|@Pattam (S)@
@Ceylon@|@Singaļam@
@Ch as in 'Ch'urch@|@Ch@
@Chain@|@Changili@
@Chains to Bound Prisoners@|@Villangu@
@Chaitra@|@Chiththirai (S)@
@Chalk@|@Chākpīs (E)@
@Challenge@|@Savāl@
@Change@|@Māŗŗam@
@Chapathi@|@Rotti@
@Character@|@Charithram (S)@
@Charcoal@|@Kari@
@Charges@|@Kūli (S)@
@Chariot@|@Thēr@
@Charioteer@|@Sārathi (S)@
@Charity@|@Pichchai@
@Cheek@|@Kańńam@
@Chest@|@Nenju@
@Chestnut Bittern@|@Kuruttukkokku@
@Chicken@|@Kōłi@
@Chicken Curry@|@Kōłikari@
@Chief Minister@|@Mudhal Amaichchar@
@Child@|@Kułandhai@
@Child's Word for Annoyance@|@Dū@
@Chilled@|@Jillu@
@Chilli@|@Miļagāy@
@Chilly@|@Orappāna, Orappu@
@Chilly Powder (Informal)@|@Orappodi@
@China@|@Chīna@
@Chit@|@Chīttu@
@Chital@|@Puļļimān@
@Chitra@|@Neymīn, Neyvānmīn@
@Chola Realms@|@Chōłamańdalam@
@Christ@|@Karthar (E)@
@Chubby@|@Kołu@
@Chutney@|@Chattani@
@Cinema-Hall@|@Thirai-Arangam@
@Circle@|@Vattam@
@Circle-Inspector@|@Sarkil (E)@
@City@|@Mānagar (S), Nagaram@
@Civet@|@Maranāy@
@Civil@|@Nāgariga (S)@
@Civilisation@|@Nāgarigam (S)@
@Civility@|@Nāgarigam (S)@
@Clap@|@Kai Thattu@
@Clarified Butter@|@Ney@
@Classical Dance or Music Concert@|@Kachchēri@
@Clock@|@Gadigāram@
@Cloth@|@Thuńi@
@Clothes@|@Thuńigaļ@
@Clothing@|@Javuļi@
@Cloud@|@Mēgam (S)@
@Club@|@Manŗam@
@Coal@|@Kari@
@Cobra@|@Nāgapāmbu, Nallapāmbu@
@Cock@|@Sēval@
@Cockle@|@Chippimīn@
@Cockroach@|@Karappu@
@Coconut@|@Thēngāy@
@Coconut Oil@|@Thēngayeńńai@
@Coconut Tree@|@Thennamaram@
@Coffee@|@Kāpi (E)@
@Coimbatore@|@Kōvai@
@Coimbatore-Salem Area@|@Kongu@
@Coin@|@Kāsu@
@Coin of Former Pudukkottai Princely State@|@Amman Kāsu@
@Cold@|@Kuļuru, Pańī@
@Cold Water@|@Thańnīr@
@Collection@|@Kūttu@
@College@|@Kallūri@
@Colloquial for Periyadhu@|@Perisu@
@Colloquial name for Chennai@|@Patnam@
@Colombo@|@Kołumbu@
@Colour@|@Mēni, Niŗam@
@Comb@|@Chīppu@
@Comb Duck@|@Mūkkan Thara@
@Comet@|@Vālmīn@
@Comfort@|@Sugam (S)@
@Comfortable@|@Sugamāna@
@Common Grey Hornbill@|@Mūnru Mūkkuļļa Kātkāy@
@Common Teal@|@Chiŗaki, Kilavai@
@Companion@|@Thuńaivan@
@Company@|@Thuńai@
@Compassion@|@Karuńai (S)@
@Compound@|@Kōttam@
@Computer@|@Kańipori@
@Conclusion@|@Mudivu@
@Condemnation@|@Gańdanam (S)@
@Confluence@|@Sangamam (S)@
@Confrontation@|@Thagarār (S)@
@Consonant@|@Meiełuththu@
@Contest@|@Pandhayam@
@Cooked Rice@|@Annam (S), Chādham, Chādham@
@Cooked Vegetables@|@Kāygari@
@Cooking@|@Chamayal@
@Coorg@|@Kodagunād@
@Copia@|@Nidhi@
@Copper@|@Piththaļai, Thāmbaram (S)@
@Copra@|@Kopparai@
@Coral@|@Pavałam@
@Cormorant@|@Kadal-kāgam, Nīr-kāgam@
@Corn@|@Chōļam@
@Corner@|@Mukku (noun)@
@Coromandel@|@Chōłamańdalam@
@Corporation@|@Kałagam@
@Corpse@|@Pońam@
@Correct@|@Sari@
@Correctly@|@Sariyā, Sariyāga@
@Costly@|@Vilayāna@
@Cot@|@Kattil@
@Cough@|@Iŗumal@
@Country@|@Nādu@
@Courage@|@Dhairiyam (S)@
@Court@|@Kachchēri, Manŗam@
@Court of Law@|@Nīdhimanŗam@
@Courtyard@|@Vāsal@
@Cow@|@Mādu, Pasu@
@Coward@|@Bayandhānguļi, Kōłan@
@Crab@|@Nańdu@
@Cracker@|@Vedi@
@Crackers@|@Pattās@
@Cradle@|@Thottil@
@Crake@|@Kanan Kōłi@
@Creature@|@Piravi@
@Creeper@|@Lathā (S), Vaļļi@
@Crested Goshawk@|@Veļļuru@
@Cricket@|@Kirikket (E)@
@Crimsonbreasted Barbet@|@Chinna Kukuravan@
@Criticism@|@Gańdanam (S)@
@Crocodile@|@Makaramīn@
@Crooked@|@Kōńal@
@Cropfield@|@Vayal@
@Crore@|@Kōdi (S)@
@Crow@|@Kākkai@
@Crow Pheasant@|@Chempakam, Kaļļi Kākkai@
@Crowd@|@Kūttam@
@Crowfish@|@Kākkaimmīn@
@Cruel@|@Kadu@
@Crustacean@|@Ottumīn@
@Cuckoo@|@Kuyil@
@Cuisine@|@Chamayal@
@Curd@|@Thayir@
@Custom@|@Muŗai@
@Cygnus@|@Saravańan (S)@
@Cymbals@|@Jālarā@
@D as in 'D'og@|@D (Tamil same letter as T)@
@Dabchick@|@Mukkulippan, Tanni-pullu@
@Dad@|@Appā@
@Dairy@|@Māttupańńai, Pańńai@
@Damage@|@Nāsam (S)@
@Dance@|@Āttam@
@Dancing@|@Ādal@
@Danger@|@Abāyam@
@Dangerous@|@Bayangaramāna@
@Dangerously@|@Bayangaramā@
@Dark@|@Mai@
@Darkness@|@Iruttu@
@Darling@|@Kańmańi, Rāsa@
@Date@|@Thēdhi (S)@
@Daughter@|@Magaļ, Puththiri (S)@
@Daughter-in-Law@|@Maŗumagaļ@
@Dawn-star@|@Vidimīn@
@Day@|@Nāļ@
@Day-After-Tomorrow@|@Nāļańi@
@Day-Before-Yesterday@|@Mundhānāļ@
@Day-Before-Yesterday (Informal)@|@Mundhānēththi@
@Daydream@|@Pagal Kańavu@
@Daylight@|@Pagal@
@Dear@|@Chellam@
@Death@|@Chāvu, Marańam (S)@
@Death Anniversary@|@Thidhi@
@Death Certificate@|@Marańa Pathrikai (S)@
@Death Sentence@|@Marańa Dhańdanai (S)@
@Debt@|@Kadan@
@Debtor@|@Kadangāran@
@Decision@|@Mudivu@
@Decoration@|@Alankāram (S)@
@Deep Thought@|@Chindhanai@
@Deer@|@Mān@
@Defeat@|@Thōlvi@
@Degree@|@Pattam (S)@
@Deity@|@Bagavadham (S)@
@Delhi@|@Delli@
@Deliverance@|@Mukthi (S)@
@Delusion@|@Birammam (S)@
@Deneb@|@Saravańa Natchaththiram (S)@
@Depth@|@Āłam@
@Desire@|@Āsai, Āsai (S)@
@Detachment@|@Vairāgiyam (S)@
@Developed Nation@|@Mēlnādu@
@Development@|@Munnēŗŗam@
@Devotee@|@Bakthan, Bakthan (S)@
@Devotion@|@Bakthi (S)@
@Dh as in 'Th'is@|@Dh (Tamil same letter as Th)@
@Dhal@|@Paŗuppu@
@Dharamshala@|@Chaththiram@
@Dhole@|@Chennāy, Kāttunāy@
@Dhoti@|@Kaili@
@Diagonal@|@Kōńal@
@Dialogue@|@Vasanam@
@Diamond@|@Vairam@
@Diamond (Adj.)@|@Vaira@
@Diarrhoea@|@Bēdhi@
@Dictator@|@Sarvādhikārī (S)@
@Dictionary@|@Akarāthi@
@Difference@|@Vidhiyāsam@
@Difficulty@|@Kashtam@
@Diphthong AI as I..E in Bike@|@AI@
@Diphthong AU as OW in Cow@|@AU@
@Dirt@|@Ałukku@
@Dirty@|@Ałukkāna@
@Discount@|@Thaļļupadi, Thaļļuppadi@
@Disease@|@Nōy@
@Distress@|@Vēdhanai (S)@
@District@|@Māvattam@
@Divine Being@|@Dhēvadhai@
@Divine Grace@|@Kadavuļ Thuńai@
@Divine Nectar@|@Amudham (S)@
@Divine Play@|@Thiruvilayādal@
@Divinity@|@Aruļ@
@Division@|@Vagupparai@
@Diwali Festival@|@Dhībāvaļi@
@Dog@|@Nāy@
@Doll@|@Bommai@
@Don (Colloquial)@|@Pisthā@
@Donkey@|@Kałudhai, Kałuthai@
@Door@|@Kadhavu@
@Dosa@|@Thōsai@
@Dot@|@Pottu, Puļļi@
@Double@|@Irettai@
@Dove@|@Purā@
@Down With!@|@Oługa!@
@Drama@|@Nādagam (S)@
@Drawing Pin@|@Guńdūsi@
@Dream@|@Kańavu@
@Dried fish@|@Karuvādu@
@Drizzle@|@Thūral@
@Drongo@|@Irettaivālan Kuruvi@
@Drumstick@|@Murungakkāy@
@Drunkard@|@Kudikkāran@
@Drunkenness@|@Bōdhai@
@Duck@|@Vāththu@
@Dugong@|@Kadalpanŗi@
@Dull-witted Person (colloquial)@|@Māngāy@
@Dumb@|@Ūmai@
@Dunderhead@|@Maramańdai@
@Duo@|@Iruvar@
@Dusk@|@Pirpagal@
@Dust@|@Pułudhi, Thūļ@
@Dustbin@|@Kuppathotti@
@Duty@|@Kadamai@
@Dwarf@|@Kuļļan@
@Eagle@|@Āli, Kaługu@
@Ear@|@Kādhu@
@Ear-stud@|@Thōdu@
@Earth@|@Būmi (S), Mań@
@Earthquake@|@Būgambam (S)@
@East@|@Kiłakku@
@Eatery@|@Vōttal (E)@
@Eclipse@|@Grahańam (S)@
@Edge@|@Ōram@
@Education@|@Padippu@
@Egg@|@Muttai@
@Egret@|@Kokku@
@Eight@|@Ettu@
@Eight Annas@|@Ettańa@
@Eighth Tamil Month@|@Kārthigai, Karththigai (S)@
@Eighty@|@Embadhu@
@Either@|@Edhuvum@
@Either This Or That@|@Adhu Illātāl Idhu@
@Either....Or@|@Illātal@
@Elder@|@Periyavar@
@Elder Aunt@|@Periyammā@
@Elder Brother (formal)@|@Ańńan@
@Elder brother (informal)@|@Ańńā@
@Elder Sister@|@Akkā@
@Elder Uncle@|@Periyappā@
@Electricity@|@Minsāram@
@Electricity Board@|@Minsāra Vāriyam@
@Elephant@|@Ānai@
@Elephant Calf@|@Ānaikkutti@
@Elephant Fish@|@Ānaimīn@
@Eleventh Tamil Month@|@Thai@
@Else@|@Vēŗa@
@Emblem of Married Status for a Woman@|@Thāļi@
@Emerald@|@Maragadham@
@Emerald Dove@|@Padaki Purā@
@Emotion@|@Uńarchi@
@Emphatic suffix@|@-dhān@
@Employee@|@Vēlaikkāran@
@Employee (F)@|@Vēlaikkāri@
@Enemy@|@Edhirāļi@
@English@|@Āngilam@
@English (Adjective)@|@Āngila@
@English or other European Loan Word@|@(E)@
@Enough@|@Pōdhum@
@Epithet of M. K. Gandhi@|@Magāthmā (S)@
@Epithet of Subramanya Bharati@|@Bhārathiyār@
@Equal@|@Samam@
@Error@|@Thavar@
@especially for holy matters@|@Thiru-@
@Esteemed@|@Prabala (S)@
@etc)@|@Peyint Adikka (E)@
@Eve@|@Ēvāļ@
@Evening@|@Mālai@
@Exaggerative Exclamation@|@Sūpar (E)@
@Examination@|@Paritchai@
@Excellent Person@|@Uththaman (S)@
@Excess@|@Adhigam@
@Excitement@|@Kōlāhalam (S), Paravasam (S)@
@Expenditure@|@Chelavu@
@Expensive@|@Vilayāna@
@Expert@|@Nipuńar (S)@
@Explosion@|@Vedi@
@Extinct@|@Ałindha@
@Extreme Pain@|@Vēdhanai (S)@
@Eye@|@Kań@
@Eyesight@|@Kańpārvai@
@F as in A'f'rica@|@:P@
@Face@|@Mugam (S)@
@Face To Face@|@Nērukku Nēr@
@Fairy Bluebird@|@Pańakāra Kuruvi@
@Falling octave@|@Avarōhanam (S)@
@Falsehood@|@Poy@
@Family@|@Kudumbam (S), Kulam (S)@
@Famous@|@Pugałpeŗŗa@
@Fan@|@Rasigar@
@Fantastic@|@Piramādham@
@Far@|@Dhūram (S), Dhūramāna, Thaļļi@
@Far (Adverb)@|@Dhūramā@
@Farmer@|@Ułavar@
@Farmer Caste in North Tamil Nadu@|@Vańńiyār@
@Fast@|@Upavāsam, Vēgamāna@
@Fasting@|@Viradham (S)@
@Fat@|@Guńdu (adjective)@
@Fat (adverb)@|@Guńdā@
@Fate@|@Bāggiyam, Rāsi (S), Vidhī@
@Father@|@Thagappan, Thagappanār@
@Father (formal)@|@Appan@
@Father's Sister@|@Aththai@
@Favourite@|@Pudiththa@
@Fear@|@Achcham, Bayam (S)@
@Feather@|@Iŗagu@
@Feature Film@|@Thiŗaippadam@
@Fee@|@Kattańam@
@Feelings@|@Uńarchchi@
@Feet-worship (of elders)@|@Pādhappūjai (S)@
@Female Citizen@|@Kudimagaļ@
@Female Prefix@|@Peń-@
@Female Student@|@Māńavi@
@Festival@|@Pańdigai, Viłā@
@Few@|@Sila@
@Fibre@|@Nār@
@Fierce Fish@|@Kadumīn@
@Fifth Tamil Month@|@Āvańi@
@Fifty@|@Aimbadhu@
@Fight@|@Chańdai@
@Finch-Lark@|@Vanambādi Kuruvi@
@Fine@|@Podisu@
@Finger@|@Viral@
@Finger/Toe Nail@|@Negam@
@Fire@|@Neŗuppu, Neruppu, Thī@
@Fire Ant (Solenopsis)@|@Neŗupperumbu@
@Fireworks@|@Pattās@
@First@|@Mudhal@
@First Diwali After Marriage@|@Thalai Dhībāvaļi@
@First letter in Tamil alphabet@|@Agaram@
@First Respects@|@Mudhal Mariyādhai@
@First Stage Performance@|@Arangēŗŗam@
@First Tamil Month@|@Chiththirai (S)@
@Fish@|@Mīn@
@Fish Swimming Against Current@|@Edhirmīn@
@Fisherman@|@Valayā@
@Fish-eyed (An epithet of Goddess Shakthi)@|@Mīnakshi (S)@
@Fish-shaped Toe-ring@|@Nagaramīn@
@Five (casual)@|@Anju@
@Five (formal)@|@Aindhu@
@Flag@|@Kodi@
@Flagpole@|@Kodimaram@
@Flame@|@Neŗuppu, Thī@
@Flamingo@|@Pun Narai, Urian@
@Flat Ricecake@|@Āppam@
@Flavour@|@Suvai@
@Flood@|@Veļļam@
@Floor@|@Tharai@
@Florist@|@Pūkkāran@
@Flour@|@Māvu@
@Flower@|@Pū@
@Flower Vendor@|@Pūkkāran@
@Flowering@|@Malarchchi@
@Flycatcher@|@Īpidippān@
@Flying-fish@|@Paŗavaimmīn@
@Flying-fish (Exocoetus)@|@Chiŗakimīn@
@Folk Art@|@Kūthu@
@Fool@|@Asadu, Makku@
@Fool (slang)@|@Thēngāy@
@Foot@|@Kāl@
@Football@|@:Putbāl (E)@
@For Her@|@Avaļukkāga@
@For Him@|@Avanukkāga@
@FoR Him/Her (Respectful)@|@Avarukkāga@
@For It@|@Adhukkāga@
@For Me@|@Enakkāga@
@For Oneself@|@Thanakkāga@
@For Them@|@Avargaļukkāga@
@For Us@|@Engaļukkāga@
@For You@|@Unakkāga, Ungaļukkāga@
@For You (Respectful)@|@Thangaļukkāga@
@Forehead@|@Neŗŗi@
@Foreign@|@Veļināttu@
@Foreigner@|@Paŗangi, Parangi, Veļināttukkāran@
@Forest@|@Kādu@
@Former@|@Munnāl@
@Former Ruler of Tanjore@|@Nāyagar (S)@
@Fort@|@Kōttai@
@Forthcoming@|@Varungāla@
@Fortune@|@Adhishtam (S)@
@Fortune-teller@|@Kuŗavanchi@
@Forty@|@Nārppadhu@
@Four (casual)@|@Nālu@
@Four (formal)@|@Nāngu@
@Four Annas@|@Nālańa@
@Fourth Tamil Month@|@Ādi@
@Fowl@|@Kōłi@
@Fox@|@Kuļļanari@
@Fragrance@|@Vāsam, Vāsanai@
@Freedom@|@Vidudhalai@
@Freightage@|@Chumaikkūli@
@Freshwater Fish@|@Nannīrmīn@
@Freshwater Fish (Anabas scandens)@|@Koymīn@
@Freshwater Fish (Lepidocephalichthyes thermalis)@|@Noymmīn@
