@Lakota@|@English@
@akíčiktunža yo - (male speaking)@|@Forgive me@
@alétka@|@Tree branch@
@Amayas'in ca slolyaye@|@You know you want me@
@Amayupta yo/ye@|@Answer me@
@Amáyuštaŋ yo (m>sg)@|@Leave me alone!@
@Anáǧoptaƞ pe! (Female Speaker)@|@Listen everyone!@
@Anáǧoptaƞ po! (Male speaker)@|@Listen everyone!@
@Anagoptan po/pe!@|@Listen up!@
@Anáǧoptaƞ ye! (female)@|@Listen!@
@Anáǧoptaƞ yo!  (male)@|@Listen!@
@Aƞpétu maǧážu@|@It's raining today@
@Aƞpétu mašté.@|@It is a sunny day@
@anúŋkȟasaŋ@|@Bald eagle@
@Aŋ aŋ@|@[ã]    (IPA)@
@ȟáŋ isláye@|@a, Cream, Salve@
@ȟáŋ wíyaskabye@|@Band-aid, Plaster@
@aŋpéhaŋ@|@During this day@
@Aŋpétu@|@Day@
@Aŋpétu kiŋ lé@|@Today@
@Aŋpétu Núŋpa@|@Tuesday (2nd day)@
@Aŋpetu T'okeca  (Santee Sioux)@|@John Other Day@
@Aŋpétu Tȟokáhe@|@Monday@
@Aŋpétu Tópa@|@Thursday (4th day)@
@Aŋpétu Wakȟáŋ / Aŋpétu Šakówiŋ@|@Sunday (Holy day) (7th day)@
@Aŋpétu wašté@|@Good day@
@Aŋpétu wašté yuhá pe (f>pl)@|@Have a nice day!@
@Aŋpétu wašté yuhá po (m>pl)@|@Have a nice day!@
@Aŋpétu wašté yuhá ye (f>sg)@|@Have a nice day!@
@Aŋpétu wašté yuhá yo (m>sg)@|@Have a nice day!@
@Aŋpétu Yámni@|@Wednesday (3rd day)@
@Aŋpétu Záptaŋ@|@Friday (5th day)@
@áŋpo wičháȟpi@|@Morning star@
@ȟaŋté@|@Cedar@
@ap’óič’iya (v)@|@Steam oneself @
@apéhaŋ@|@Fold something, to (v)@
@apsíča@|@jump over (v)@
@Asáŋpi@|@Milk@
@asáŋpi sutá@|@Cheese@
@Asáŋpi wigli@|@Butter@
@asápazila@|@Salamender@
@Ataya wanblake sni@|@I didn't see him/her/it at all@
@Até@|@My father@
@até (if father’s brother)@|@Uncle@
@Até (M or F speaker)@|@Father@
@Até kapȟópapi hé čhíŋ@|@Dad wants a pop@
@Até tókheškhe hé úŋ he@|@How is dad?@
@Ayustan yo/ye@|@Leave it alone@
@Ayúštaŋ yo (m>sg)@|@Stop!@
@azílya (v)@|@Smudge@
@ažúŋtka@|@Kidneys@
@B b@|@[b]    (IPA)@
@BIRD tókhel Lakȟótiya ehápi he?@|@How do you say BIRD in Lakota?@
@blatkáŋ wačhíŋ@|@I want this to drink, I would like this to drink@
@blé@|@Lake@
@bléla@|@Pond@
@bló@|@Potato@
@Bló patȟáŋpi@|@Mashed potatoes@
@blokétu@|@Summer@
@blóza@|@White pelican@
@Bluhá@|@I have@
@boo-boo - (children’s term)@|@Sore@
@č@|@English J in Jury@
@C'aḣaḣake@|@Hump @
@C'aȟli Wakpala@|@Powder River@
@C'aŋ Ȟaȟacedaŋ (Santee Sioux)@|@South Scatterwood Lake@
@C'aŋ Ȟe@|@Wood Mountain@
@C'aŋ Kasdata (Tree Crept Up On) (Santee Sioux)@|@Big Sioux, Lower, Lower Big Sioux River@
@C'aŋ Mde (Lake of the Woods) (Santee Sioux)@|@Lake Jessie, Long Lake and Lake Addie@
@C'aŋ Naȟmedaŋ  (Santee Sioux)@|@Lost Timber, Hidden Woods@
@C'aŋ Nuŋpa Mde (Santee Sioux)@|@Two Woods Lake@
@C'aŋ Saŋsaŋ (White Trees or possibly White Birches)@|@James River@
@C'aŋ Šuška Watpadaŋ (Box Elder Creek)  (Santee Sioux)@|@Elm Creek @
@C'aŋha Saŋ Wita@|@Maple Island@
@C'aŋkdeška T'awa  (Yankton Sioux)@|@His Hoop@
@C'aŋkpe Opi Wakpala@|@Wounded Knee Creek@
@C'aŋnuŋpa Ok’e@|@Pipe Stone Quarry@
@C'aŋnuŋpa Ša K’api@|@Pipe Stone Quarry@
@C'aŋnuŋpa Waŋbli@|@Eagle Pipe@
@C'etaŋ Wak'ute (Yankton Sioux)@|@Shooting Hawk@
@C'etaŋ Wak'uwa Mani  (Hawk that Hunts Walking) also known as T‘aoyate Duta  (His Red People) (Santee Sioux)@|@Little Crow@
@Č č@|@[tʃ]    (IPA)@
@C‘aŋdi T'aŋka@|@Big Tobacco@
@Č’ č’@|@[tʃ']    (IPA)@
@canku luta ogna mani owica kiya po@|@And help all the people walk the red road@
@canlí@|@Tobacco@
@Cante wasteya nape ciyuzapi@|@I shake your hands with a good heart@
@čaŋšká@|@Red tailed hawk@
@Cekpa oyakile hwo/he?  (M/F speaker)@|@Are you looking for your navel cord?@
@čepȟáŋši (female speaking)@|@Female cousin@
@Ceye sni yo/ye@|@Don't cry@
@čh@|@English CH in Chalk@
@Čh čh@|@[tʃʰ]    (IPA)@
@čháǧa@|@Ice@
@čháǧa onážužu@|@Ice breaking in river@
@čhaǧú@|@Lungs@
@čháŋ@|@Tree@
@Čhaŋ-nápȟopa Wí@|@February - Moon of Popping Trees (caused by the cold)@
@čhaŋȟáka@|@Brush, Bushes@
@čhaŋáletka@|@Tree branch@
@čhaŋbláska ská@|@whiteboard, Whiteboard@
@čhaŋčháŋ@|@tremble (v)@
@čháŋčheǧa@|@Drum@
@čhaŋgléška@|@Medicine wheel@
@čháŋhaŋpa háŋska@|@Boots@
@čhaŋháŋpi@|@Sugar@
@čhaŋháŋpšaša@|@Candy, Sweets@
@čhaŋkátotola@|@Woodpecker@
@čhaŋkpé@|@Knee@
@čhaŋkpé makȟágle@|@kneel (v) @
@Čhaŋkpé Ópi@|@Wounded Knee@
@čhaŋksáyuha@|@Police person@
@Čhaŋksáyuhá kiŋ wičhákiyuȟla yo (m>sg)/ye (f>sg)/po (m>pl)/pe (f>pl)@|@Call the police!@
@čhaŋlí wapȟáȟta@|@Tobacco ties@
@čhaŋmskúya@|@Candy, Sweets@
@čhaŋnákpa@|@Mushrooms, Tree fungus@
@čhaŋnúŋpa@|@Pipe@
@čhaŋnúŋpa olówaŋ@|@Pipe song@
@chaŋpȟá@|@Chokecherry@
@čhaŋpȟá@|@Chokecherries@
@Čhaŋpȟá Šá Wí@|@July - Moon of Red Cherries@
@čhaŋpámna@|@Brush, Bushes@
@čhaŋpúŋpuŋ@|@Rotten wood@
@čhaŋšáša@|@Red willow bark@
@čhaŋšíŋ@|@Gum (chewing)@
@čhaŋšúška@|@Box elder tree@
@čhaŋté@|@Heart@
@Čhaŋté Yuškáŋškaŋpi@|@Emotions@
@čhaŋtéšičA@|@Sad@
@čhaŋtéšicé - (heart feels bad)@|@I'm sorry@
@čhaŋtéwašte@|@Happy@
@Čhaŋtewašteya waŋčhíyaŋke kštó/ló (F/M speaker)@|@I’m happy to have met you.@
@Čhaŋtóčhignake@|@I love you@
@čhaŋwákȟaŋ@|@Sacred tree@
@Čhaŋwápe Ǧí Wí@|@September - Moon of Colored Leaves@
@Čhaŋwápe Kasná Wí@|@October - Moon of Falling Leaves@
@Čhaŋwápe Tȟó Wí@|@May - Moon of Green Leaves@
@čhaŋyáȟ’u@|@Cottonwood@
@čhaŋzéka@|@angry@
@čhápa@|@Beaver@
@čhapȟúŋka@|@Mosquito@
@čhatkáyatahaŋ@|@Left side@
@Čhažé Oíglaka@|@Introductions - (introducing oneself)@
@čhečá@|@Thigh@
@čhéǧa@|@Pot@
@Čhékičhiyapi@|@Addressing Relatives@
@čhékiya@|@pray (v)@
@čhépa@|@Fat@
@čhet’úŋgla@|@doubt something, doubt someone (v)@
@čhetáŋ@|@Hawk@
@čheyáka@|@Mint@
@čheží@|@Tongue@
@Čhiƞčá@|@Her child, His child@
@Čhiƞkší@|@Son@
@Čhiŋ@|@want (v)@
@Čhíŋkš (M or F speaker)@|@Son@
@čhiŋšká@|@Spoon@
@Čhiyé - (male speaker)@|@Older brother@
@čhiyúonihaŋ@|@I respect you@
@čhoȟwáŋžiča@|@Willow tree@
@čhú@|@Morning dew@
@Čhuƞkš (M or F speaker)@|@Daughter@
@Čhuƞkší@|@Daughter@
@čhúŋšoke@|@Forest@
@čhúŋwaŋča@|@Forest@
@čhuŋwíyapehe@|@Grapes@
@čhusní@|@Morning dew and cold@
@Čhuwé - (female speaker)@|@Older sister@
@čhuwí@|@Back (body part), Back (Body Parts)@
@čhuwínuŋǧa@|@Camel@
@Čik'ala@|@Little (name)@
@čík'ala@|@Little, Small@
@Ciŋškaya Wakpa Cik’ala@|@Little Big Horn@
@Ciŋškayapi Wakpala@|@Bighorn River@
@Ciyut'in kte!@|@I'm going to strangle you!@
@čónala (adj) huŋ (pronoun)@|@Few@
@cry@|@cry (v)@
@Dearie@|@Dearie, I'm here and I want to see you (song line)@
@ȟé@|@Mountain@
@E e@|@[e]    (IPA)@
@Ȟe Ška (White Mountains)@|@Rocky Mountains@
@Ȟe Ška Ot'uŋwahe  (Rocky Mountain City)@|@Denver@
@Ecamun wacin sni@|@I don't want to do it@
@Ecamun yacin hwo?@|@Do you want me to do it?, Would you like me to do it?@
@Ecani imunkin kte@|@I'm going to bed early@
@Ecani kahla kte@|@The bell's going to ring soon@
@Ecani owayawa ewakihunni kte@|@I'm going to graduate soon@
@Ečháŋni aníčisni kte ní!@|@Get well soon!@
@Ečháš akhé ú pe/po (F/M speaker)@|@You must all come again@
@Ečháš akhé ú we/wo (F/M speaker)@|@You must come again@
@Ečhúƞ wo!@|@Do it!@
@Ečhúŋ šni ye/yo (F/M speaker)@|@Don’t do it!@
@Ečíyapi@|@Called, to be (v)@
@ehá@|@You said@
@éha@|@Instead@
@ehá peló’ eháŋkeč’uŋ@|@You spoke truly@
@eháƞ aƞpétu tókča he?@|@What kind of day is it now?@
@eháŋk’ehaŋ@|@Long ago@
@eháŋni@|@Long ago@
@Ehas tiokate@|@It is too hot in here@
@Ehas tiosni@|@It is too cold in here@
@ékiciktunža wo - (woman speaking)@|@Pardon me@
@ékiciktunža wo (woman speaking)@|@Pardon me@
@ékiciktunža yo - (male speaking)@|@Pardon me@
@ékiciktunža yo (male speaking)@|@Pardon me@
@Ektunja yo/ye@|@Forget it@
@El@|@At, In@
@Emáčiyapi@|@I am called@
@Émičiktuŋža yo (m>sg)@|@Excuse me@
@Eníčiyapi@|@You are called@
@ȟeóškiške@|@Hills and canyons, Rough land@
@épatȟaŋ@|@touch (v)@
@épazo@|@point (v)@
@Ȟesápa@|@The Black Hills@
@Exa Magozua@|@Rain In The Face@
@éya@|@Well!@
@Eya le…/Ho eya…@|@Well…@
@ȟeyáta@|@In the mountains, Out in the country@
@ȟeyátakiya@|@Toward the hills@
@eyáya@|@Say repeatedly, to (v)@
@éyaya@|@They left@
@ȟeyúŋka@|@Frost@
@Ȟeyúškiška@|@Bighorn Mountains@
@Food/Drink/Condiment/Utensil mak’ú@|@Give me ......, Pass me the .....@
@Food/Drink/Condiment/Utensil wačhíŋ@|@I want this@
@g@|@English G in Gorilla@
@ǧ@|@German gutteral G@
@G g@|@[ɡ]    (IPA)@
@Ǧ ǧ@|@[ʁ] / [ʀ]    (IPA)@
@ǧaǧéca@|@Full of large holes@
@Ǧí@|@Brown@
@gmahú@|@Black walnut tree@
@gmú tȟáŋka@|@Mountain lion@
@gnašká@|@Frog@
@gnašká há@|@Bills, Notes@
@gnayÁŋ@|@deceive (v)@
@gnugnúška@|@Grasshopper@
@H h@|@[h]    (IPA)@
@há@|@Skin@
@hahó hahó! - (expression of gratitude)@|@Thank you @
@hála@|@Flea@
@hálablaská@|@Bedbug@
@Háƞ@|@Yes@
@Hanbléčheya@|@Vision Quest Rite@
@Hanhepi tak tokanun hwo/he?@|@What did you do last night?@
@Háŋ@|@Yes, I would like some of that@
@haŋhépi@|@Night, Last night@
@Haŋhépi@|@Night@
@haŋhépi kiŋ@|@Tonight@
@Haŋhépi wašté@|@Good night@
@haŋhépi wí@|@Moon@
@haŋká (M speaker)@|@Sister-in-law@
@Haŋkáši (male speaking)@|@Female cousin@
@háŋpa@|@Shoes@
@háŋska@|@Long, Tall@
@haŋwíyaŋpa@|@Moonlight@
@háu@|@Hello, male friend, Yes@
@Hau/Haŋ@|@Good morning, Hello, Hello (male/female speaker), how are you?, I am hungry, Yes@
@Haú/Háŋ@|@Yes, I am full@
@Hau/Haŋ ímápuze@|@Yes, I am thirsty@
@Hayápi@|@Clothing@
@Hayé hayé - (used in addressing sacred beings)@|@Thank you @
@Hci s'e hingle@|@He/She headed out all of a sudden@
@he@|@(Making a question - female)@
@Hé čhíŋ  ( note that He can be dropped in verbs)@|@He/She wants@
@He ecetu sni@|@He/She is not right@
@He egnaka yo/ye@|@Put that away@
@He hecun s'a@|@He/She always does that@
@Hé ičú@|@He/she gets@
@He Jate (Yankton Sioux)@|@Forked Horn@
@He kuja hingle@|@He/She was suddenly sick @
@He lila nunhcan@|@He/She is really deaf@
@Hé líla waȟpániča kštó/ló (F/M speaker)@|@He is very poor, She is very poor@
@He makau wo/we@|@Bring that to me@
@He Maza  (Yankton Sioux)@|@Iron Horn@
@Hé natá yazáŋ kštó/yeló (F/M speaker)@|@He has a headache, She has a headache@
@He Oḣdoka  (Yankton Sioux)@|@Hollow Horn@
@Ḣe Sapa@|@Black Hills@
@Hé táku he/hwo? (F/M speaker)@|@What is that?@
@Hé tȟawá@|@His/her@
@Hé tuwé he/hwo? (F/M speaker)@|@Who is that?@
@Hé úŋ@|@He/she is@
@He wacinko s'a@|@He/She is a pouter@
@He wahtewala sni@|@I hate that (person or thing)@
@He wanah'un sni@|@That one doesn't listen@
@Hé waŋyáŋka@|@He/she sees@
@He wiole un@|@He is looking for a woman (girlfriend)@
@He witkotkoke@|@That person is nuts/wild@
@Hé yuha@|@He/she has@
@He yus'inyemaye@|@That startled/scared me@
@heȟáka@|@Elk, Male elk@
@Heȟaka Wakpa@|@Elk River@
@hečá@|@Buzzard, Turkey vulture@
@Hecanun kin cicasaksakin kte@|@If you do that, I'll whip you@
@Hecegla!@|@That's all, That's it!@
@héčha etáŋ wačhíŋ kštó/yeló (F/M speaker)@|@Yes, I would like some of that@
@Héčhetu šni kštó/yeló (F/M speaker)@|@That is not right@
@héčhiya@|@In that direction@
@Héčhuŋ šni ye/yo (F/M speaker)@|@Don’t do that@
@hečíya@|@He said that to him@
@Héčiya aƞpétu tókča he?@|@What kind of day is it over there?@
@Hecunp s'e…@|@Just like that…@
@Hehaka Gleška@|@Spotted Elk (Chief)@
@Hehaka Najiŋ (Yankton Sioux)@|@Standing Elk@
@Hehaka Wakpa (Elk River)@|@Yellowstone River@
@Hehan waste@|@That's good enough@
@Hehanyan hecun sni yo/ye@|@Don't do that any more@
@hená@|@Those@
@héna@|@Right there@
@Hená wašté peló@|@They are good@
@Hená waštépe@|@They are good (Female speaking)@
@Hená waštépi hwo?@|@Are they good?@
@Hená waštépi ksto@|@They are good (female speaking)@
@héya@|@Lice@
@Heyab iyaya yo/ye@|@Get away@
@hí@|@Teeth@
@Hí mayázaŋ kštó/yeló (F/M speaker)@|@I have a toothache@
@híhaŋni wašté@|@Good morning@
@híhaŋni wašté . (means something was good this morning)@|@Good morning@
@Hinyanka@|@Wait now…@
@hiŋháŋ@|@Own@
@Hiŋhaŋ Ša@|@Red Owl@
@Hiŋhaŋ Ša  (Yankton Sioux)@|@Red Owl@
@híŋhaŋni@|@Morning, This morning@
@Híŋhaŋni@|@Morning@
@híŋhaŋni kiŋ@|@Tomorrow@
@híŋhaŋni wašté@|@Hello, Good morning, how are you?@
@híŋtkala@|@Nits@
@hiŋyéte@|@Shoulder@
@Hiyá@|@No@
@Hiyonihipi@|@They came to pick you up@
@Hiyú pe!@|@Everybody come here! (Female speaker)@
@Hiyú pe/po (F/M speaker)@|@Come. (to more than one person or to a group)@
@Hiyú po!@|@Everybody come here! (Male speaker)@
@Hiyú we!@|@Come here! (Female speaker)@
@Hiyú we/wo (F/M speaker)@|@Come. (to one person)@
@Hiyú wo!@|@Come here! (Male speaker)@
@Hiyu yeto@|@Come here once@
@Hóȟ@|@No!@
@ho hecel lena oyate kin nipi kte@|@This I ask so that these people may live@
@Ho Tunkasila Wakan Tanka@|@Grandfather, Great Spirit@
@Hoc'ap'e@|@Speafiish @
@hóčhoka@|@Altar@
@hoǧáŋ@|@Fish@
@Hok'iyoȟloka Wakpala@|@Pass Creek@
@hoká@|@Eel@
@hókahé!@|@Welcome (to my home)@
@hokšíčala@|@baby@
@Hoksicala kin wastela@|@The baby is so cute@
@hokšíla@|@Boy@
@Hokšíla kiƞ lé táku yuhá he?@|@What does the boy have? (Female speaker), What has the boy got?  (Female speaker)@
@Hokšíla kiƞ lé táku yuhá hwo?@|@What does the boy have?  (Male speaking)@
@hoȟpápi pȟežúta@|@Cough Medicine@
@Hotankaya eya yo/ye@|@Say it loudly, Say it out loud@
@Hoȟwóžu@|@Planters by the stream or water@
@hú@|@Leg@
@Hugmiyan kin nasnije@|@The tire is flat@
@Hugmiyan omak'u wo/we@|@Lend me some wheels (your car)@
@huhá@|@Limbs@
@Hunh yacin hwo/he?@|@Do you want some?, Would you like some?@
@Huŋkáyapi@|@Making of Relatives Rites@
@Húŋkpapȟa@|@End of the camp entrance@
@huŋyákȟuŋ@|@Socks@
@hupȟéstola@|@Yucca@
@húte@|@Root of a plant@
@hútela@|@Stem@
@hutkȟáŋ@|@Root of a plant@
@hwo@|@(making a question)@
@í@|@Mouth@
@I i@|@[ɪ]    (IPA)@
@iȟát’a@|@laugh out loud (v)@
@ičámna@|@Snow flurries@
@ičáȟpe hú@|@Coneflower@
@Ičhé@|@Please@
@Ičú@|@Get, to (v)@
@Icu wo/we@|@Take it@
@iglúzičA@|@stretch (v)@
@igmú@|@Cat@
@iǧúǧaothila@|@Rock wren@
@ihá@|@Lips@
@Iha amayute@|@He/She smiled at me@
@iháŋbla@|@dream (v)@
@Iháŋktȟuŋwaŋ@|@Camp at the end@
@Iháŋktȟuŋwaŋna@|@Little camp at the end@
@Ihpeya yo/ye!@|@Throw it away!@
@ikčé wičháša@|@Common man@
@Ikčé wóunspé ki aphasya (pi/pelo)@|@Basic science, Pursue common learning, to@
@Ikceya manka wacin@|@I just want to sit around@
@Ikceya wahi@|@I just came for no reason@
@ikhú@|@Chin@
@ikhúsaŋla@|@Mink@
@ikpí sáŋ@|@Antelope@
@ikpísaŋla@|@Pronghorn@
@iktómi@|@Spider@
@ímaphi@|@Yes, I am full@
@Iná@|@My mother@
@iná (if mother’s sister) (F speaker)@|@Aunt@
@Iná (M or F speaker)@|@Mother@
@Iná wičázo hé yuha he@|@Does mom have a pencil?@
@Inajin na wapostan glusloka po/pe.@|@Stand up and remove your hat@
@Inajinpi na wapostan glusloka po/pe@|@Stand up and remove your hats@
@ináȟni@|@hurry (v)@
@Ináȟni pe/po! (F/M speaker)@|@ Hurry! (to more than one or to a group)@
@Ináȟni ye/yo! (F/M speaker)@|@Hurry! (to one person)@
@Iníla yaƞká pe@|@Quiet everyone (Female speaker)@
@Iníla yaƞká po@|@Quiet everyone (Male speaker)@
@Inila yanka po/pe@|@Sit quietly/Be quiet@
@Iníla yaƞká ye@|@Shsh. Be quiet! (Female speaker)@
@Iníla yaƞká yo@|@Shsh. Be quiet! (Male speaker)@
@Iníla yaŋká pe/po (F/M speaker)@|@ Sit quietly. (to more than one or to a group)@
@Iníla yaŋká ye/yo (F/M speaker)@|@Sit quietly. (to one person)@
@Iníla!@|@Be quiet!@
@Íniphi he@|@Are you full? - (food and drink)@
@Inípi / Iníkaǧapi@|@Sweat/Purification Rite@
@Ínipuza he@|@Are you thirsty?@
@íŋ@|@Wear around the shoulders, to (v)@
@Iŋ iŋ@|@[ĩ]    (IPA)@
@íŋyaŋ@|@Rock, Stone@
@Iŋyaŋ Bosdata  (Santee Sioux)@|@Castle Rock, Standing Rock@
@Iŋyaŋ Ša K’api@|@Pipe Stone Quarry@
@Iŋyaŋ Šaša@|@Des Moines River@
@Íŋyaŋ Woslá Háŋ Oyáŋke él wathí kštó/yeló (F/M speaker)@|@I live on Standing Rock@
@Iŋyaŋ Woslal Haŋ@|@Standing Rock@
@Iŋyaŋ Yaŋka Watpa (River with Stones In) (Santee Sioux)@|@Little Sioux River@
@íŋyaŋkA@|@run (v)@
@iphíyaka@|@Belt@
@íputȟaka@|@kiss, to (v)@
@íputȟakA@|@kiss, to (v)@
@Iš ta Maza@|@Iron Eyes@
@Isaŋ Mde (Santee Sioux)@|@Mystic Lake, Knife Lake@
@Isáŋyathi@|@Dwells at the place of the knife flint@
@iškáhu@|@Ankle@
@iškáhu háŋska@|@Boots@
@išláyatahaŋ@|@Right side@
@Išna Wic'a@|@Lone Man @
@Isnáthi Awíčhalowaŋpi@|@Becoming a Woman Rite@
@išpá@|@Elbow@
@ištá@|@Eye@
@Išta Ištiŋba  (Santee Sioux)@|@Sleepy Eyes@
@ištá ȟmiȟmí@|@Cross-eyed@
@Ištá Wičháyazaŋ Wí@|@March - Moon of Snow Blindness@
@ištáȟehiŋ@|@Eyebrow@
@Ištíŋma pe/po (F/M speaker)@|@Go to sleep. (to ore than one or to a group)@
@Ištíŋma ye/yo! (F/M speaker)@|@Go to sleep. (to one person)@
@istó@|@Forearm@
@Isto kawege@|@She broke her arm@
@It'uŋka Saŋ Mat‘o@|@Bear Weasel@
@It'uŋkasaŋ Gleška@|@Spotted Weasel@
@It'uŋkasaŋ Wašte@|@Pretty Weasel@
@ítan@|@Proud@
@Itancan kin wana hi@|@The chief is here now@
@Itázipčho@|@Without bowls@
@Itázipe Čholá@|@No bowls@
@ité@|@Face@
@ité ipákiŋte@|@Napkin, Serviette@
@Ite Maǧažu@|@Rain In The Face@
@Ite Wakiŋyaŋ@|@Thunder Face@
@ithúhu@|@Forehead@
@Ito Magaju@|@Rain In The Face@
@Ito Nagaju@|@Rain In The Face@
@Itokab sni yo/ye@|@Don't worry about it@
@itókaǧata@|@South@
@itȟúŋkala@|@Mouse, Rodent@
@itȟúŋkasaŋ@|@weasel@
@itȟúŋpȟa@|@Surprised@
@Iwáču@|@I get@
@iwóblu@|@Blizzard@
@Iwoglaka@|@Descriptive, talk about (v)@
@Iyáču@|@You get@
@iyágle@|@Lead towards, to (v)@
@íyagle@|@You murmur about it@
@Iyáwapi@|@Numbers@
@Iyáya pe!@|@Everybody go! (Female speaker)@
@Iyáya po!@|@Everybody go! (Male speaker)@
@Iyáya ye! (Female speaker)@|@Go!@
@Iyáya yo! (Male speaker)@|@Go!@
@Iyeciciye sni@|@I didn't recognize you@
@Iyecinkinyanka un nat'e@|@He/She/It got run over by a car@
@Iyecinkinyanke kin iyaye sni@|@The car doesn't run, The car won't start@
@iyókphii@|@Happy@
@iyókšičA@|@Sad@
@Iyómakphi kštó/yeló (F/M speaker)@|@I am happy@
@Iyomaksice@|@I'm sad@
@Iyonikpi hwo/he?@|@Are you happy?@
@Iyotaka po/pe@|@Sit down@
@Iyótaŋčhila@|@I love you@
@iyówata@|@Rays of the sun streaming upwards before sunrise@
@iyóya@|@yawn (v)@
@iyúškiŋ@|@Excited@
@iyúšla@|@Scissors@
@iyútȟA@|@taste (v)@
@Iyuta yo/ye@|@Try it@
@Izuza Mde (Whetstone Lake) (Santee Sioux)@|@Crystal Lake@
@Jaŋjaŋ Blaska (Flat Bottle)@|@Shin Buttes@
@kȟ@|@Gutteral K + h@
@k@|@English K in Skill@
@K'aŋǧi Gleška@|@Spotted Crow@
@K'aŋgi Ok'ute  (Where they Shot the Crow)@|@Crow Creek@
@K'aŋǧi Šuŋ Watpa  (Crow Feather Creek)  (Santee Sioux)@|@Crow River@
@K'aŋza Wic'aktepi (Where they killed the Kansas)@|@Kanaranzi Creek@
@Kȟ kȟ@|@[kˣ]    (IPA)@
@K k@|@[k]    (IPA)@
@K’ k’@|@[kʼ]    (IPA)@
@Kaḣoke  (Santee Sioux)@|@He Goes Drifting@
@Kaitomni mahingle@|@I'm dizzy all of a sudden@
@kaká@|@Maternal grandfather@
@kakhí@|@Take something to one, to (v)@
@kákhi@|@In yonder direction@
@Kaȟmi T'aŋka@|@Big Bend @
@káŋ@|@Old@
@kaŋǧí@|@Crow@
@kȟaŋǧí waŋží@|@Quarter (money)@
@kȟáŋt’a@|@Frustrated@
@kȟáŋta@|@Wild plumbs@
@kȟáŋta sápa@|@Prunes@
@Kapȟópapi@|@Pop (fizzy drink)@
@Kapȟópapi wačhíŋ@|@I want a pop@
@Kapȟópapi yačhíŋ he@|@Do you want a pop?@
@Kasna sni yo/ye@|@Don't miss (the shot)@
@kašpápi@|@Coins@
@kašpápi okhíse@|@Nickel (money)@
@kašpápi waŋží@|@Dime (money)@
@kȟáta@|@Hot (object)@
@kh@|@English K in Kin@
@Kh kh@|@[kʰ]    (IPA)@
@kĥáŋta@|@Plum@
@kĥáta@|@Hot, to be (v)@
@khechá. - (pronounced  khecháh.)@|@Shaggy dog@
@khes’ámna@|@Stink turtle@
@khéya@|@Snapping turtle, Turtle@
@Khiyéla Iwaƞyaƞka pi/pelo@|@Analysis, Look at closely, to (v)@
@khúža@|@Sick@
@Kibleza yo/ye@|@Sober up@
@kičhí@|@With one@
@kičhíŋ@|@want for someone (v)@
@kici@|@Each other (reflexive infix)@
@Kici ciyankin kte@|@I'm going to sit with you@
@Kici mayanin kta hwo/he?@|@Are you going to go with me?@
@Kicizap sni yo/ye@|@Don't fight!@
@Kikšúya@|@Remember!@
@Kiktá pe/po! (F/M speaker)@|@Wake up! (to more than one or to a group)@
@Kiktá ye/yo! (F/M speaker)@|@Wake up! (to one person)@
