@English@|@Lakota@
@100@|@opáwiŋǧe@
@1000@|@kȟoktá, kȟoktópawiŋǧe@
@11@|@aké waŋží@
@12@|@aké núŋpa@
@128@|@opáwiŋǧe waŋží sáŋm wikčémna núŋpa sáŋm šaglóǧaŋ@
@13@|@aké yámni@
@14@|@aké tópa@
@15@|@aké záptaŋ@
@16@|@aké šákpe@
@17@|@aké šakówiŋ@
@18@|@aké šaglóǧaŋ@
@19@|@aké napčíyuŋka@
@2@|@Núŋpa@
@20@|@wikčémna núŋpa@
@21@|@wikčémna núŋpa sáŋm waŋží@
@22@|@wikčémna núŋpa sáŋm núŋpa@
@23@|@wikčémna núŋpa sáŋm yámni@
@24@|@wikčémna núŋpa sáŋm tópa@
@25@|@wikčémna núŋpa sáŋm záptaŋ@
@26@|@wikčémna núŋpa sáŋm šákpe@
@27@|@wikčémna núŋpa sáŋm šakówiŋ@
@28@|@wikčémna núŋpa sáŋm šaglóǧaŋ@
@29@|@wikčémna núŋpa sáŋm napčíyuŋka@
@3@|@Yámni@
@30@|@wikčémna yámni@
@349@|@opáwiŋǧe yámni sáŋm wikčémna tópa sáŋm napčíyuŋka@
@38@|@wikčémna yámni sáŋm šaglóǧaŋ@
@4@|@Tópa@
@40@|@wikčémna tópa@
@45@|@wikčémna tópa sáŋm záptaŋ@
@5@|@Záptaŋ@
@50@|@wikčémna záptaŋ@
@53@|@wikčémna záptaŋ sáŋm yámni@
@6@|@šákpe@
@60@|@wikčémna šákpe@
@61@|@wikčémna šákpe sáŋm waŋží@
@7@|@šakówiŋ@
@70@|@wikčémna šakówiŋ@
@77@|@wikčémna šakówiŋ sáŋm šakówiŋ@
@8@|@šaglóǧaŋ@
@80@|@wikčémna šaglóǧaŋ@
@9@|@napčíyuŋka@
@90@|@wikčémna napčíyuŋka@
@a@|@ȟáŋ isláye, makȟóčhe owápi, teȟmúǧa, wablúška, Wagmú, waŋ, wayáka@
@act crazy (v)@|@witkótkoka, witkótkokA@
@Acts the Bear@|@Mat‘o Wakiye@
@Addressing Relatives@|@Čhékičhiyapi@
@afraid of something (v)@|@kȟokípȟA@
@Afternoon@|@wícokaŋhiyaya@
@Algae@|@mnítȟola, mniwáthičoǧa@
@All my relations@|@Mitákuye Oyás’iŋ@
@Alphabet@|@Óowaptaya@
@Altar@|@hóčhoka, owáŋka wakȟáŋ@
@American elm@|@p’é@
@American Horse@|@Wašicu T'ašuŋka@
@Among@|@óhaŋ@
@an@|@waŋ@
@Analysis@|@Khiyéla Iwaƞyaƞka pi/pelo@
@And help all the people walk the red road@|@canku luta ogna mani owica kiya po, Na hun oyate oyasin@
@And how are you?@|@Nis tog?@
@and the Wisdom to know the difference@|@Kin wounspe un wowablezeh iwachu owakihi kte/lo@
@and upwards@|@Na waka tinya, na waka tinya ahitonwan po@
@And upwards@|@Na waka tinya, na waka tinya ahitonwan po@
@And what is your name?@|@Na níš táku eníčiyapi he/hwo? (F/M speaker)@
@And you@|@Na níš, tuktél yathí he/hwo? (F/M speaker)@
@and you?@|@Matáŋyaŋ, na níš?, Taŋyáŋ waúŋ@
@angry@|@čhaŋzéka@
@Animals@|@wamákȟaškaŋ@
@Ankle@|@iškáhu@
@Answer me@|@Amayupta yo/ye@
@Ant@|@tȟažúška@
@Antelope@|@ikpí sáŋ, niǧé sáŋla@
@any@|@waŋží@
@Anything else?@|@Taku ko?@
@Apple@|@tȟaspáŋ@
@Applied science@|@Wóunspé aphasiya aphantun (pi/pelo)@
@apply a pursuit@|@Wóunspé aphasiya aphantun (pi/pelo)@
@Appreciation ceremony with food@|@Wóphila Aŋpétu@
@April - Moon of Green Grass@|@Pȟeží Tȟó Wí@
@Are they good?@|@Hená waštépi hwo?@
@Are you all doing/sitting okay?@|@Tanyan nankab hwo/he?@
@Are you all ready?@|@Winyeya nankab hwo/he?@
@Are you finished?@|@Nígluštaƞ hwo?@
@Are you finished? (Female speaking)@|@Nígluštaƞ he?@
@Are you full? - (food and drink)@|@Íniphi he@
@Are you going home now?@|@Wana yakiyagla hwo/he?@
@Are you going to go to eat?@|@Wol nin kta hwo/he?@
@Are you going to go with me?@|@Kici mayanin kta hwo/he?@
@Are you going to use this?@|@Le nun kta hwo/he?@
@Are you happy?@|@Iyonikpi hwo/he?@
@Are you hungry?@|@Loyáčhiŋ he/hwo (F/M speaker)@
@Are you looking for your navel cord?@|@Cekpa oyakile hwo/he?  (M/F speaker)@
@Are you lost?@|@Yanuni hwo/he? (M/F speaker)@
@Are you thirsty?@|@Ínipuza he@
@Armpit@|@á@
@Arrow River@|@Wahiŋkpe Wakpala@
@Arrowstone River@|@Waŋhi Ok’edaŋ Watpa (Santee Sioux)@
@Ash tree@|@pséȟtiŋ@
@Aspirin@|@natá yazáŋpi pȟežúta@
@At@|@El@
@Attorney General@|@wákhiya itȟáŋčhaŋ@
@August - Moon of Ripening/Harvest Moon@|@Wasútȟuŋ Wí@
@Aunt@|@iná (if mother’s sister) (F speaker), Tȟuŋwíŋ (M or F speaker)@
@autumn@|@ptaŋyétu@
@baby@|@hokšíčala@
@Back (body part)@|@čhuwí@
@Back (Body Parts)@|@čhuwí@
@Bacon@|@wašíŋ@
@Bad@|@šíča@
@Bad River@|@Wakpa Šice@
@Bad weather@|@ošíčeča@
@Badger@|@ȟoká@
@Badlands@|@Makȟóšiča, Oškiškita@
@Baked beans@|@Omníča špaŋyáŋ@
@Bald eagle@|@anúŋkȟasaŋ@
@Banana@|@zíškopa@
@Band-aid@|@ȟáŋ wíyaskabye@
@Basic science@|@Ikčé wóunspé ki aphasya (pi/pelo)@
@Bay@|@mniówaŋča okáȟmiŋ@
@Be@|@Úŋ@
@be one@|@waŋží@
@Be one of a specific group@|@waŋží@
@Be quiet!@|@Iníla!@
@Beads Lake@|@Pšit'ola Ok’e@
@Bear@|@matȟó@
@Bear Brain@|@Nasula (Ivan Starr)@
@Bear Weasel@|@It'uŋka Saŋ Mat‘o@
@Beard@|@phuthíŋhiŋ@
@Beaver@|@čhápa@
@Becoming a Woman Rite@|@Isnáthi Awíčhalowaŋpi@
@Bedbug@|@hálablaská@
@Beet@|@pȟaŋǧí šašá@
@Bells@|@ȟláȟla@
@Belonging to (posessive pronoun)@|@Tȟawá@
@Below zero cold@|@osní šíča@
@Belt@|@iphíyaka@
@Big Bend@|@Kaȟmi T'aŋka@
@Big Dipper@|@wichákhiyuhapi@
@Big Eagle@|@Wambdi T'aŋka  (Santee Sioux)@
@Big Sioux@|@C'aŋ Kasdata (Tree Crept Up On) (Santee Sioux), Watpa Ipakšaŋ, Watpa Ipakšaŋ  (River Bend)  (Santee Sioux)@
@Big Thunder@|@Wakiŋyaŋ T'aŋka  (Santee Sioux)@
@Big Tobacco@|@C‘aŋdi T'aŋka@
@Big Village Lake@|@Mde T'ipi T'aŋka  (Santee Sioux)@
@Big Woman (aka Mary Big Woman Under Baggage)  see Under Baggage@|@Wiŋyan Taŋka@
@Bighorn Mountains@|@Ȟeyúškiška@
@Bighorn River@|@Ciŋškayapi Wakpala@
@Bills@|@gnašká há, mniȟúha mázaska@
@Bird@|@ziŋtkála@
@Bitter root@|@siŋkpȟé tȟawóyute@
@Black@|@Sápa@
@Black bird@|@ziŋtkála sápa@
@Black Eagle@|@Waŋbli Sapa  (Eugene Buechel)@
@Black Hills@|@Ḣe Sapa, Paha Sapa@
@Black soles of feet (Blackfoot)@|@Sihásapa@
@Black Spotted Horse@|@Suŋgdeška Sapa (David Zephier)  (Yankton Sioux)@
@Black Tail people@|@Na wiyohinyanpata, sinte sapila oyate ahitonwan po@
@Black walnut tree@|@gmahú@
@Blizzard@|@iwóblu@
@Blood@|@Wé@
@Blue@|@Tȟó@
@Blue Cloud@|@Maḣpiya T‘o (William Bean) (Yankton Sioux)@
@Blue Earth@|@Mak'a T'o Oyuze@
@Bluebird@|@ziŋtkátȟo@
@Boating Lake@|@Mde Watop'apidaŋ (Santee Sioux)@
@Body@|@tȟaŋčháŋ@
@Bon voyage!@|@Taŋyáŋ ománi (m>sg), Taŋyáŋ ománi pe (f>pl), Taŋyáŋ ománi po (m>pl), Taŋyáŋ ománi ye (f>sg)@
@Book@|@wówapi@
@Boots@|@čháŋhaŋpa háŋska, iškáhu háŋska@
@Bowl@|@wakší škopá@
@Box elder tree@|@čhaŋšúška@
@Boy@|@hokšíla@
@Boy from an incestuous relationship@|@wicogluze hokšila@
@Braids (in hair)@|@osúŋ@
@Brains@|@nasúla@
@Brave Dog@|@Suŋka Ohitika@
@Bravery@|@wóohitika@
@Bread@|@Aǧúyapi@
@Bread crust@|@aǧúyapi sáka@
@Bread rolls@|@aǧúyapi pagmúŋpi@
@Bring that to me@|@He makau wo/we@
@Brother-in-law@|@šič’é (F speaker), tȟaŋháŋ (M speaker)@
@Brother-in-law (of man)@|@tĥaŋháŋ@
@Brown@|@Ǧí@
@Brown Bear@|@Mat‘o Ġi@
@Brush@|@čhaŋȟáka, čhaŋpámna@
@Buffalo bull@|@tȟatȟáŋka@
@Buffalo Comes to Life@|@T‘at‘aŋka Kinina (Yankton Sioux)@
@Buffalo cow@|@ptewíŋyela@
@Buffalo Gap@|@T'at'aŋka Mak'alȟpaya (Where the Buffalo Fell to Earth)@
@Buffalo people@|@Na waziyata, tatunka oyate kin ahitonwan po@
@buffaloberries@|@maštíŋčaphute@
@Bug@|@wablúška@
@Bullfrog@|@wóš’iŋ@
@Burning Earth@|@Mak‘a Ideya (He Bums the Earth) (Sisseton Sioux)@
@Burnt thighs@|@Sičháŋǧu@
@Bury something@|@ȟá@
@Bus@|@wayáwa itȟókšu@
@Bushes@|@čhaŋȟáka, čhaŋpámna@
@Bushotter@|@Ot‘eḣi (Hardship)@
@Butcher's knife@|@míla kaš’íŋ@
@Butter@|@Asáŋpi wigli@
@Butterfly@|@kimímela, kimímila@
@Buzzard@|@hečá@
@Bye@|@tókša@
@Cactus@|@uŋkčéla pȟepȟé@
@Cake@|@aǧúyapi skúyela@
@Calculator@|@wíslolye@
@Calf (animal)@|@ptehíŋčala@
@Call the police!@|@Čhaŋksáyuhá kiŋ wičhákiyuȟla yo (m>sg)/ye (f>sg)/po (m>pl)/pe (f>pl)@
@Called@|@Ečíyapi@
@Calling of the spirit@|@uŋȟnáǧičala hotȟúŋpi@
@Camel@|@čhuwínuŋǧa@
@Camp at the end@|@Iháŋktȟuŋwaŋ@
@Candy@|@čhaŋháŋpšaša, čhaŋmskúya@
@Canyon@|@ósmaka, wakȟógla@
@Captive@|@wayáka@
@Carpenter@|@thiáphiya@
@Carrot@|@pȟaŋǧí ziz@
@Castle Rock@|@Iŋyaŋ Bosdata  (Santee Sioux)@
@Cat@|@igmú@
@Catch a woman@|@winyuze@
@Cattle@|@ptegléška@
@Cedar@|@ȟaŋté@
@Chair@|@oákaŋke@
@Chamberlain@|@Mak'a T'ipi (Sod House Town)@
@Change (money)@|@yušpúšpupi@
@Charger@|@Waanataŋ@
@Charging Bear@|@Mat‘o T'akpeva (Yankton Sioux)@
@Cheek@|@tȟapȟúŋ@
@Cheese@|@asáŋpi sutá@
@Chest (body part)@|@makhú@
@Cheyenne River@|@Sahiyena Oju Watpa (River where the Cheyenne Planted)  (Santee Sioux), Wakpá Wašté@
@Chickadee@|@škípipila@
@Chicken@|@kȟokȟóyaȟ’aŋla@
@Child@|@wakȟáŋyeža@
@Children@|@wakȟáŋyeža@
@Chin@|@ikhú@
@Chippewa River@|@Maya Wak'aŋ (Mysterious Cliff)@
@Chokecherries@|@čhaŋpȟá@
@Chokecherry@|@chaŋpȟá@
@Clam@|@thúki@
@Climbing Eagle@|@Waŋbli K‘iyahe@
@Clinical trials@|@Pejuta ounye uha wóunspé ki henna wa yasu yakel pasi (pi/pelo)@
@Clock@|@mázaškaŋškaŋ@
@Close it up@|@Nataka yo/ye@
@Clothing@|@Hayápi@
@Cloud Man@|@Maḣpiya Wicašta (Santee Sioux)@
@Clouds@|@maȟpíya@
@Cloudy@|@Maȟpiya@
@Cockerel's comb@|@pȟesá@
@Cocoon@|@wamníyomni - (pronounced  wamuhníomuhni)@
@Coffee@|@pȟežúta sáp, Wakȟálapi@
@Coins@|@kašpápi@
@Cold@|@osní@
@Cold (object)@|@osní@
@Cold weather@|@Osní@
@Collaboration@|@Witayela oyate taku kpahsi yakel wóichuƞ@
@Colours@|@Oówa@
@Colt (animal)@|@šuŋkčhíŋčala@
@Come again@|@Akhé ú we/wo (F/M speaker)@
@Come closer@|@Sam kiyela u wo/we@
@Come here once@|@Hiyu yeto@
@Come here!@|@Ú wo!@
@Come here! (Female speaker)@|@Hiyú we!@
@Come here! (Male speaker)@|@Hiyú wo!@
@Come in@|@Thimá hiyú we/wo (F/M speaker)@
@Come. (to more than one person or to a group)@|@Hiyú pe/po (F/M speaker)@
@Come. (to one person)@|@Hiyú we/wo (F/M speaker)@
@Comes Out Bear@|@Mat‘o Inap‘a@
@Common man@|@ikčé wičháša@
@Community-based Participatory Research@|@Pta yela oyate ki takuƞ wounspe itahan pasiyakel skan (pi/pelo)@
@compassion@|@wówauŋšila@
@Computer@|@wóuŋspe omnáye@
@Conduct yourself like a Lakota@|@Lakota s'e opiic'iya yo/ye@
@Coneflower@|@ičáȟpe hú, úŋglakčapi@
@Consider to be related@|@takuye@
@Controlled group@|@Taku un oyate oshpaya witap@
@Cook@|@wóhAŋ@
@Cook something@|@olíȟ’aŋ ye/yo (F/M speaker)@
@Cooking@|@lol’íȟ’aŋ@
@Corn@|@Wagmíza@
@Corn with husk on@|@wahúwapa@
@Cottonwood@|@čhaŋyáȟ’u, wáǧačhaŋ@
@Cough Medicine@|@hoȟpápi pȟežúta@
@Covet@|@kúŋ@
@Cow@|@múla - (baby word), pté@
@Cowboy hat@|@pteóle wapȟóštaŋ, wapȟóštaŋ tȟáŋka@
@Coyote@|@šuŋgmánitu@
@crawl (v)@|@sloháŋ@
@Crayfish@|@matúgna@
@Crazy Bear@|@Mat'o Witko@
@Crazy Horse@|@T'asuŋke Witko  (His horse is crazy)@
@Crazy Horse Mountain@|@T'ašuŋke Witko Ite Kakaŋpi He@
@Cream@|@ȟáŋ isláye@
@Creator@|@Wakȟáŋ Tȟáŋka, Wakȟáŋ Tȟáŋka@
@Creature@|@táku@
@Cricket (insect)@|@thiyóšlola@
@Cross-eyed@|@ištá ȟmiȟmí@
@Crow@|@kaŋǧí@
@Crow Creek@|@K'aŋgi Ok'ute  (Where they Shot the Crow)@
@Crow River@|@K'aŋǧi Šuŋ Watpa  (Crow Feather Creek)  (Santee Sioux)@
@cry (v)@|@cry@
@Crystal Lake@|@Izuza Mde (Whetstone Lake) (Santee Sioux)@
@Cuckoo spit (on plants)@|@wanáǧi tȟašóše@
@Cucumber@|@kuŋkúŋ@
@Cup@|@wíyatke@
@Custer@|@P‘ehiŋ Haŋska (Long Hair)@
@Dad wants a pop@|@Até kapȟópapi hé čhíŋ@
@Dam (man-made)@|@mninátȟake@
@dance (v)@|@wačhí@
@Daughter@|@Čhuƞkš (M or F speaker), Čhuƞkší@
@Daughter-in-law@|@tȟakóš  (M or F speaker), wiwóȟa@
@Day@|@Aŋpétu@
@Dearie@|@Dearie, wanciyanka wau na waun welo@
@deceive (v)@|@gnayÁŋ@
@December - Moon of Mid-winter@|@Waníčhokaŋ Wí@
@Deep snow@|@wašmé@
@Deep water@|@mni šmé@
@Deer@|@tháȟča@
@Deer hide@|@tĥahá@
@Denver@|@Ȟe Ška Ot'uŋwahe  (Rocky Mountain City)@
@Des Moines River@|@Iŋyaŋ Šaša@
@Descriptive@|@Iwoglaka@
@Desk@|@akáŋ wówapi@
@despise (v)@|@waȟtéla šni@
@Destination@|@Tókhiya@
@Devil’s Lake@|@Mni Wak'aŋ (Mysterious Water)@
@Devil’s Lake Mountain@|@Mni Wak'aŋ C'aŋte (Heart of the Mysterious Water)@
@Dictionary@|@wičhóiye wówapi@
@Did you bring some leftovers home?@|@Watȟéča etáŋ ayágli he/hwo? (F/M speaker)@
@Did you fill up the water container?@|@Mni ognake kin ojuyaya hwo/he?@
@Did you see a dog?@|@Šuŋká waŋ waŋláka he@
@Dime (money)@|@kašpápi waŋží@
@Diploma@|@wóuŋspe wówapi sutá@
@Disobedient@|@wánaǧoptaŋ šni@
@Disrespectful@|@waóhola šni@
@Ditch (noun)@|@oškókpa@
@DNA@|@Wé@
@Do it better@|@Sam tanyan ecun wo/we@
@Do it!@|@Ečhúƞ wo!@
@Do you all understand?@|@Oyakahnigab hwo/he?@
@Do you have a pencil?@|@Wíčazo luhá he@
@Do you have a problem?@|@Táku iníčakiža he/hwo? (F/M speaker)@
@Do you have a question?@|@Woiyunge wanji luha hwo/he?@
@Do you have a stomach ache?@|@Thezí niyázaŋ he/hwo? (F/M speaker)@
@Do you know the answer?@|@Woayupte kin slolyaya hwo/he?@
@Do you know?@|@Slolyaya hwo/he?@
@Do you like this?@|@Le wasteyalaka hwo/he?@
@Do you speak Lakota?@|@Lakotiyaya hwo/he?@
@Do you speak X?@|@X iyá wóyaglaka he?@
@Do you want a pop?@|@Kapȟópapi yačhíŋ he@
@Do you want me to do it?@|@Ecamun yacin hwo?@
@Do you want me to help you?@|@Ociciya yacin hwo/he?@
@Do you want some?@|@Hunh yacin hwo/he?@
@Doctor@|@pȟežúta wičháša@
@Doe@|@tȟaȟča wíŋyela@
@Does mom have a pencil?@|@Iná wičázo hé yuha he@
@Dog@|@šúŋka@
@Dollar (one)@|@mázaska waŋží@
@Domestic Animals@|@Waníyaŋpi@
@Don’t be afraid@|@Kȟokípȟe šni ye/yo (F/M speaker)@
@Don’t do it!@|@Ečhúŋ šni ye/yo (F/M speaker)@
@Don’t do that@|@Héčhuŋ šni ye/yo (F/M speaker)@
@Donkey@|@šúŋšuŋla@
@Don't be scared@|@Wakokpe sni yo/ye@
@Don't be shy@|@Wistece sni yo/ye@
@Don't bicker@|@Ahoyekiciyap sni yo/ye@
@Don't cause trouble@|@Wosice sni yo/ye@
@Don't cry@|@Ceye sni yo/ye@
@Don't do it yet@|@Nahahci ecun sni yo/ye@
@Don't do that any more@|@Hehanyan hecun sni yo/ye@
@Don't drop it@|@Yusna sni yo/ye@
@Don't fight!@|@Kicizap sni yo/ye@
@Don't go yet@|@Nahahci ye sni yo/ye@
@Don't make something out of it@|@Yutaku sni yo/ye@
@Don't miss (the shot)@|@Kasna sni yo/ye@
@Don't pout@|@Wacinko sni yo/ye@
@Don't tell them@|@Owicakiyake sni yo/ye@
@Don't worry about it@|@Itokab sni yo/ye@
@Donut@|@aǧúyabskuyagmigma@
@Door man@|@thiyópa awáŋyaŋka@
@Dotted greyfeather@|@tȟat’éčhaŋnuǧa@
@doubt someone (v)@|@čhet’úŋgla@
@doubt something@|@čhet’úŋgla@
@Dragonfly@|@thuswéčha@
@dream (v)@|@iháŋbla, wíhaŋbla@
@Dried corn@|@waštúŋkala@
@Dried meat@|@pápa@
@Dried meat w/cherries & pemmican@|@wasná@
@Dried pounded meat@|@wakápȟapi@
@Drifting clouds@|@maȟpíya kaȟwóke@
@Drinks@|@WÓYATKE@
@Drizzle@|@swuyéla hiŋhé@
@Drowsy@|@ȟwá@
@Drum@|@čháŋčheǧa@
@Dry@|@púza@
@Duck (bird)@|@maǧá, maǧáksiča@
@During this day@|@aŋpéhaŋ@
@Dwells at the place of the knife flint@|@Isáŋyathi@
@Dwels among the leaves@|@Waȟpétȟuŋ@
@Each other (reflexive infix)@|@kici@
@Eagle@|@waŋblí     (pronounced   wamlí)@
@Eagle Bird@|@Ziŋtkala Waŋbli@
@Eagle Butte@|@Waŋbli Hoȟpi (Eagle’s Nest)@
@Eagle Dog@|@Suŋka Waŋbdi  (Yankton Sioux)@
@Eagle people@|@Na itokagata, wambli oyate kin ahitonwan po@
@Eagle Pipe@|@C'aŋnuŋpa Waŋbli@
@Eagle Track@|@Waŋbdi Owe  (Yankton Sioux)@
@Ear@|@núŋǧe@
@Earth@|@makȟá@
@East@|@wiyóhiyaŋpata@
@Eat@|@wóta, wótA@
@Eat (to more than one personor to a group)@|@Wóta pe/po (F/M speaker)@
@Eat (to one person)@|@Wóta ye/yo (F/M speaker)@
@Eat it up@|@Tebya yo/ye@
@Edward Rough Country@|@Soški  (Yankton Sioux)@
@Eel@|@hoká@
@Egg@|@wítka@
@Elbow@|@išpá@
@Elderly man@|@wičháȟčala@
@Elderly woman@|@winúȟčala@
@Elephant@|@phutéwokič’u@
@Elk@|@heȟáka@
@Elk River@|@Heȟaka Wakpa@
@Elm Creek@|@C'aŋ Šuška Watpadaŋ (Box Elder Creek)  (Santee Sioux)@
@Elm tree@|@p’e čháŋ@
@Emotions@|@Čhaŋté Yuškáŋškaŋpi@
@End of the camp entrance@|@Húŋkpapȟa@
@English CH in Chalk@|@čh@
@English G in Gorilla@|@g@
@English J in Jury@|@č@
@English K in Kin@|@kh@
@English K in Skill@|@k@
@English P in Pill@|@ph@
@English P in Spill@|@p@
@English S in Pleasure@|@ž@
@English SH in Shell@|@š@
@English T in Still@|@t@
@English T in Tin@|@th@
@Envelope@|@wówapi ožúha@
@Epidemiology@|@Ska oyate wokhúža ithahaƞ wóunspé iphasi yakel wichoškan@
@Evening@|@Ȟtayétu@
@Everybody come here! (Female speaker)@|@Hiyú pe!@
@Everybody come here! (Male speaker)@|@Hiyú po!@
@Everybody go! (Female speaker)@|@Iyáya pe!@
@Everybody go! (Male speaker)@|@Iyáya po!@
@Excited@|@iyúškiŋ@
@Excuse me@|@Émičiktuŋža yo (m>sg)@
@Experimentalist@|@Taku un unspepi khtacha iutha (pi/pelo)@
@extended family@|@thiyóšpaye@
@Extended family@|@THIÓŠPAYE@
@Eye@|@ištá@
@Eyebrow@|@ištáȟehiŋ@
@Face@|@ité@
@Fall (season)@|@ptaŋyétu@
@Fall River@|@Mni Woblu@
@Family@|@thiwáhe, Tiwáhe@
@Fast@|@lúzahaŋ, oȟ’áŋkȟo@
@Fast Horse@|@T'asuŋke Oḣ'apk'o@
@Fast Lightning@|@Wak'aŋ Hdi Oḣ'aŋk'o (Santee Sioux)@
@Fat@|@čhépa@
@Father@|@Até (M or F speaker)@
@Father-in-law@|@tȟuŋkáši (M or F speaker)@
@Fatigued@|@t’at’á@
@Fearful@|@wakȟókpȟa@
@Feather@|@wíyaka@
@February - Moon of Popping Trees (caused by the cold)@|@Čhaŋ-nápȟopa Wí@
@Female cousin@|@čepȟáŋši (female speaking), Haŋkáši (male speaking)@
@Female elk@|@uŋpȟáŋ@
@Few@|@čónala (adj) huŋ (pronoun)@
@Fine@|@Taŋyáŋ@
@Fingernail@|@šaké@
@Fingers@|@napsú, napsú okázuŋte@
@Fire@|@pȟéta@
@Fire Thunder@|@P'eta Wakiŋyaŋ@
@Fire! (there is a)@|@Pȟéta!@
@Firefly@|@waŋyéča@
@First-born@|@tȟokápȟa@
@Fish@|@hoǧáŋ@
@Flag@|@wápaha@
@Flat River@|@Mni Blaska (see Nebraska)@
@Flea@|@hála@
@Flood (noun)@|@mnitáŋ@
@Floods@|@mni-híyaye@
@Flour@|@aǧúyapi blú@
@Fly@|@teȟmúǧa@
@Fly (insect)@|@teȟmúǧa, theȟmúŋǧa@
@Flying Bull@|@T‘at‘aŋka Kiŋyaŋ (Yankton Sioux)@
@Fog@|@p’ó@
@Foggy@|@P’ó@
@Fold something@|@apéhaŋ@
@Food@|@WÓYUTE@
@Foods@|@Wóyute@
@Fool White Bear@|@Mat'o Witko@
@Foot@|@sí@
@For a purpose@|@Taku un oyate oshpaya witap@
@Forearm@|@istó@
@Forehead@|@ithúhu, pȟaȟté@
@Forest@|@čhúŋšoke, čhúŋwaŋča@
@Forget it@|@Ektunja yo/ye@
@Forgive me@|@akíčiktunža wo - (woman speaking), akíčiktunža yo - (male speaking)@
@Fork@|@wíčhapȟe@
@Forked Horn@|@He Jate (Yankton Sioux)@
@four winds (the)@|@tȟatíye tópa@
@Four winds and also Father Great Spirit@|@Tate owe topa na ate Wakan Tanka namahun po@
@Fox@|@suŋkǧíla@
@Frank Fool’s Crow@|@Mat'o Waŋbli@
@Friday (5th day)@|@Aŋpétu Záptaŋ@
@Friend@|@Kola, kȟolá (male to male), máške (female to female), wakinyan niktepi@
@Frightened@|@yuš’íŋyaya@
@Frog@|@gnašká@
@Frost@|@ȟeyúŋka@
@Fruit@|@waskúyeča@
@Frustrated@|@kȟáŋt’a@
@Fry bread@|@wígli uŋ káǧapi@
@Full of large holes@|@ǧaǧéca@
@Full of small holes@|@zazéča@
@Gall@|@T'ap'izi@
@Garden@|@máǧa@
@generosity@|@wačháŋtognáka@
@Genetics@|@Wé imahél wichoichagha ki um pelo (pi)@
@George Armstrong@|@P‘ehiŋ Haŋska (Long Hair)@
@German gutteral G@|@ǧ@
@Get@|@Ičú@
@Get away@|@Heyab iyaya yo/ye@
@Get away; go on@|@Wicay/we@
@Get to work now@|@Wana skinciya po/pe@
@Get well soon!@|@Ečháŋni aníčisni kte ní!@
@Ghost Boy@|@Naġi Gnaškiŋyaŋ@
@Ghost spittle (on plants)@|@wanáǧi tȟašóše@
@giggle (v)@|@naȟmá iȟát’a@
@Girl@|@wičhíŋčala@
@Girl from an incestuous relationship@|@wicogluzewin@
@Give it to me@|@Mak'u wo/we@
@Give me ......@|@Food/Drink/Condiment/Utensil mak’ú@
@Give me a call later@|@Toksa mayuhla yo/ye@
@Giving thanks@|@wóphila@
@Glance@|@tuŋwáŋ@
@Global warming@|@makȟásitomniyaŋ okȟál áye@
@Glottal stop (Khéze)@|@´'@
@Gloves@|@napíŋkpa@
