@English@|@Spanish (Business)@
@exchange rate@|@tasa de cambio, tipo de cambio@
@exchange rate effect@|@efecto de tipo de cambio@
@expenditure@|@desembolso@
@expense@|@desembolso@
@expenses@|@gastos@
@exporter@|@exportador@
@exposure@|@exposición, riesgo@
@face value@|@valor nominal@
@factory@|@fábrica@
@Fair Credit Reporting Act@|@Ley de Equidad de Informes de Crédito@
@Fair Housing Act@|@Ley de Equidad de Vivienda@
@fair price@|@precio justo@
@family@|@familia@
@Farmers Home Administration@|@administración de viviendas d trabajadores rurales@
@FASB@|@normas contables@
@fasement@|@servidumbre@
@Federal Home Loan Bank(FBLB)@|@Banco Federal de Préstamos para Viviendas@
@Federal Housing Administration@|@Administración Federal de Vivienda@
@fee@|@comisión inicial, honorarios@
@fees@|@honorarios@
@FHA@|@Federal Housing Administration@
@fiddling@|@chanchullos@
@finance evaluation@|@evaluación financiera@
@financial advisor@|@asesor financiero@
@financial backing@|@apoyo financiero@
@financial ratios@|@razones financieras@
@financial review@|@análisis financiero@
@financing@|@financiación@
@financing evaluation method@|@método de evaluación financiera@
@financing options@|@opciones de financiación@
@firm@|@compañía@
@fixed assets@|@activo circulante, activo fijo@
@fixed expenses@|@gastos de hipoteca@
@fixed interest rate@|@tasa de interés fija@
@fixed liabilities@|@deudas a largo plazo@
@fixed price@|@precio fijo@
@fixed-rate mortgage@|@hipoteca con tasa de interés fija@
@float@|@cheques girados y no cobrados@
@floating@|@cheques girados y no cobrados@
@floating debt@|@deuda flotante@
@flood insurance@|@seguro contra inundaciones@
@flow@|@circulación, flujo@
@FMHA@|@Farmers Home Administration@
@FOB (franc on board)@|@franco a bordo@
@forbearance@|@tolerancia@
@fordwarder@|@despachador@
@foreclosure@|@ejecución hipotecaria@
@foreign exchance@|@divisas@
@forward@|@cobertura en moneda extranjera@
@forwards@|@mecanismo de protección (garantía en el exterior)@
@foundation@|@fundación@
@free cash flow@|@flujo libre de efectivo@
@freight@|@flete@
@fund@|@fondo@
@fund transfer@|@transferencia de fondos@
@furniture@|@muebles@
@future worth@|@valor futuro@
@gambling@|@apuesta@
@gift letter@|@carta de obsequio@
@golden parachute@|@"paracaídas dorado" - indemnización@
@good will@|@buena imagen@
@goods@|@bienes@
@graduated-paymentMortgage(GPM)@|@*hipoteca con pago graduado@
@grant@|@beca, subsidio@
@gross benefit@|@beneficio bruto@
@gross income@|@ingreso bruto@
@Group's treasury policies@|@políticas de tesorería de grupo@
@guide to homeownership@|@guia sobre propiedad de vivienda@
@hard currency@|@moneda dura@
@harversting strategy@|@sacar el efectivo producido@
@hazard insurance@|@seguro por riesgos@
@heating@|@calefacción@
@hedge@|@cobertura@
@hedging@|@cobertura@
@high income housing@|@vivienda suntuaria@
@hire purchase@|@venta a plazos@
@home@|@hogar@
@home buyer education@|@educación para compradores de vivienda@
@home equity line@|@línea de crédito sobre el capital en la propiedad@
@Home-Buying Fair@|@feria de compra de viviendas@
@homeowner's insurance@|@seguro del propietario@
@homeowner's warranty@|@garantía del propietario@
@HomePath SM@|@servicio de Remisión y Guía HomePath SM@
@house@|@casa@
@housing@|@vivienda@
@housing expenses@|@gastos de vivienda@
@hurdle rate@|@tasa de corte@
@IBF (intnal banking facility)@|@transacciones en eurodolares en USA@
@importation@|@importación@
@improvements@|@mejoras@
@in land freight@|@flete terrestre@
@income@|@ingresos, rentas@
@income policy@|@política de ingresos@
@income statement@|@estado de ganancias y pérdidas@
@income support@|@subsidio otorgado a personas de bajos ingresos@
@income tax@|@impuesto sobre la renta@
@income yield capacity@|@rentabilidad@
@increase@|@incremento@
@inflation@|@inflacción@
@inherited audience@|@flujo de caja del proyecto futuro@
@initial interest rate@|@tasa de interés inicial@
@initial investment@|@inversión inicial@
@input@|@insumo@
@insolvent@|@insolvente@
@installment@|@crédito, cuota, plazo@
@installment debt@|@deuda de cuota@
@insufficient funds@|@fondos insuficientes@
@insulation@|@aislación@
@insurance@|@seguro@
@intangible@|@inmaterial@
@interchange@|@intercambios@
@interest rate@|@tasa de interés@
@internal rate of return@|@tasa interna de retorno@
@Internal Revenue Service (IRS)@|@Servicio de Renta Interna@
@inventories@|@existencias@
@inventory@|@inventarios@
@investment@|@cartera, inversión@
@invoice@|@factura@
@IOU (I owe you)@|@le debo@
@IRR (intnal rate of return)@|@tasa internacional de retorno@
@issuing company@|@compañía emisora@
@item@|@partida@
@joint tenancy@|@tenencia conjunta@
@joint venture@|@actividad emprial conjunta entre socios de 2países@
@join-venture@|@acuerdo de cooperación entre empresas de 2países@
@junk bond@|@bono basura@
@label@|@etiqueta@
@labor@|@mano de obra@
@lakeover@|@adquisición hostil@
@land@|@terrenos@
@landlord@|@arrendador, locador@
@late charge@|@recargo por mora@
@lease with purchase option@|@alquiler con opción a compra@
@ledger@|@libro de contabilidad@
@legal resident@|@residente legal@
@legal resident card@|@tarjeta de residente legal@
@lender@|@entidad crediticia, prestador@
@lessor@|@arrendador, locador@
@letter of credit@|@carta de crédito@
@leverage rate@|@índice de apalancamiento@
@levy@|@gravamen@
@liabilities@|@pasivo@
@liability@|@deuda, obligación, responsabilidad@
@lien@|@gravamen@
@life of loan@|@vida útil del préstamo@
@lifetime cap@|@límite máximo dInterés dte laVida útil dl préstamo@
@liquidity@|@liquidez@
@liquidity ratio@|@coeficiente de caja, coeficiente de liquidez@
@liquidity ratios@|@razón de liquidez@
@listed securities@|@acción cotizada en bolsa@
@listing agent@|@agente listador@
@load@|@cargamento@
@loan@|@préstamo@
@loan officer@|@agente de préstamos@
@loan servicing@|@servicios de préstamos@
@loan-to-value ratio (LTV)@|@relación préstamo a valor@
@location@|@ubicación@
@lock-in rate@|@tasa de interés asegurada@
@long term capital flows@|@flujo e capital a largo plazo@
@long term debt@|@deuda a largo plazo@
@long term loan@|@préstamo a largo plazo@
@long-term@|@a largo plazo@
@long-term liabilities@|@deudas a largo plazo@
@loss@|@pérdida@
@lot@|@lote@
@low income housing@|@vivienda popular@
@lump sum@|@pago global@
@M&A (mergers and acquisitions)@|@fusiones y adquisiciones@
@manager@|@gerente@
@manufacturer@|@fabricante@
@manufactures products@|@productos manufacturados@
@margin@|@margen@
@marital status@|@estado civil@
@market@|@mercado@
@market price@|@precio de mercado@
@market research@|@estudio de mercado@
@market value@|@valor de mercado@
@matched timing@|@tiempo apareado@
@maximum mortgage amount@|@monto máximo de hipoteca@
@meeting@|@asamblea@
@merger@|@fusión, unión@
@minimum wage@|@salario mínimo@
@minority neighborhoods@|@vecindarios d personas pertenecients a ls minorías@
@monetary adjustment@|@corrección monetaria@
@monetary correction@|@corrección monetaria@
@money@|@dinero@
@money growth@|@crecimiento del dinero@
@money received@|@ingresos@
@monthly payment@|@mensualidad@
@mortgage@|@hipoteca@
@mortgage arrears@|@atrasos en el pago de la hipoteca@
@mortgage bank@|@bancos hipotecarios@
@mortgage banker@|@banquero hipotecario@
@mortgage broker@|@agente hipotecario, asesor hipotecario@
@mortgage financing@|@financiación hipotecaria@
@mortgage insurance (MI)@|@seguro hipotecario@
@mortgage life insurance@|@seguro de vida hipotecario@
@mortgage loan@|@préstamo hipotecario@
@mortgage loan application@|@solicitud de un préstamo hipotecario@
@mortgage shopping@|@búsqueda de un préstamo hipotecario@
@mortgagee@|@acreedor hipotecario@
@mortgagor@|@deudor hipotecario@
@most favored nation treatment@|@tratamiento de nación más favorecida@
@movement@|@movimientos@
@Multiple Listing Service (MLS)@|@Listado Múltiple de Casas en Venta (NILS en ingl.)@
@national income@|@ingreso nacional@
@negotiation@|@negociación@
@net@|@red@
@net cash flow@|@flujos netos de efectivo@
@net present value@|@valor presente neto@
@net price@|@precio neto@
@net profit@|@AA beneficio neto@
@net worth@|@valor neto (patrimonio)@
@NF (no founds)@|@sin fondos@
@nominal rate@|@tasa nominal@
@non profit corporation@|@empresa no lucrativa@
@nonprofit organizations@|@organizaciones sin fines de lucro@
@notice of default@|@aviso de incumplimiento en el pago@
@NPV (net present value)@|@valor presente neto@
@number@|@cifra@
@occupancy@|@ocupación de la casa@
@occupant@|@ocupante@
@offer@|@oferta@
@open market@|@mercado libre@
@operating profit@|@beneficio de explotación@
@operation@|@operación@
@operation costs@|@costos de operación@
@ordinary shares@|@acciones comunes@
@output@|@producción@
@outreach@|@extensión@
@outstanding shares@|@acciones en circulación@
@overheads@|@gastos generales, gastos indirectos@
@owner financing@|@financiación del propietario@
@part-time job@|@trabajo de tiempo parcial@
@pay in cash@|@pagar en efectivo@
@payback period@|@periodo de recuperación@
@payment@|@pago@
@payment advance@|@avance@
@payment cap@|@tope de pago de hipoteca@
@payment change date@|@fecha de cambio de pago de una hipoteca@
@payment in arrears@|@pago atrasado@
@payroll@|@nómina@
@penalty@|@multa@
@period@|@periodo@
@personal assets@|@bienes personales@
@planing@|@planificación@
@Planned UnitDevelopments(PUDs)@|@Desarrollo de Unidades Planificadas@
@plc (public limity company)@|@S.A. (Sociedad Anónima)@
@plumbing@|@cañerías@
@political economy@|@economía política@
@pre investment@|@pre inversión@
@preference shares@|@acciones preferentes@
@preferential trading system@|@sistema de comercio preferencial@
@prepayment penalty@|@multa por pago anticipado@
@prequalification@|@calificación previa@
@price@|@precio@
@price control@|@control de precios@
@price earning rate@|@relación precio ganancia@
@price elasticity@|@elasticidad del precio@
@price fall@|@caída de precios@
@price freeze@|@congelación de precios@
@price range@|@nivel de precios@
@primary mortgage market@|@mercado hipotecario principal@
@prime rate@|@tasa preferencial@
@principal@|@capital@
@principal & interest (P&I)@|@capital e interés@
@principal residence@|@residencia principal@
@private mortgage insurance(PMI@|@seguro hipotecario privado@
@prive list@|@tarifas@
@processing time@|@duración del proceso de trámite@
@production@|@producción@
@profit@|@beneficio, ganancia, utilidad@
@profit margin@|@margen de beneficio@
@project life cycle@|@ciclo de vida del proyecto@
@promissory note@|@pagare@
@promissory quota@|@pagare@
@property insurance@|@seguro de una propiedad@
@property owner@|@dueño de una propiedad@
@providers@|@proveedores@
@proyect evaluation@|@evaluación de proyectos@
@proyection@|@proyección@
@public assistance funds@|@fondos de Asistencia Pública@
@purchase@|@compra@
@purchasing power@|@poder adquisitivo@
@quota@|@cupo@
@radon@|@radón@
@rate@|@índice, rata, tasa@
@rate cap@|@tope de la tasa de interés@
@rate lock-in@|@garantía de tasas de interés@
@rate of growth@|@tasa de crecimiento@
@rate of interest@|@tasa de interés@
@raw material@|@materia prima@
@real estate@|@bienes raíces@
@real estate agent@|@agente de bienes raíces@
@real estate attorney@|@abogado de bienes raíces@
@real estate owned (REO)@|@bienes raíces en propiedad@
@real interest@|@interés real@
@rebate@|@descuento, devolución, reembolso@
@receipt@|@recibo@
@recession@|@desaceleración@
@reciprocal trade@|@acuerdo comercial@
@redemption@|@amortización@
@refinancing@|@refinanciación@
@refund@|@reembolso@
@rehabilitation mortgage@|@hipoteca de rehabilitación@
@relatives@|@familiares, parientes@
@rentability@|@rentabilidad@
@repairs@|@reparaciones@
@repayment@|@reembolso@
@replacement value@|@valor de reemplazo@
@required return@|@retorno sobre la inversión@
@residence@|@residencia@
@responsibility@|@responsabilidad@
@return on assets@|@retorno sobre activos@
@return on equity@|@retorno sobre el patrimonio@
@revitalization@|@revitalización@
@revolving found@|@fondo de rotación@
@roucher@|@comprobante@
@runaway inflation@|@inflación galopante@
@salary@|@salario, sueldo (mensual)@
@sale@|@venta@
@savings@|@ahorros@
@savings account@|@cuenta de ahorros@
@Savings and Loan Association@|@Asociación de Ahorro y Préstamo@
@second mortgage@|@hipoteca secundaria@
@secondary mortgage market@|@mercado hipotecario secundario@
@securities@|@títulos, valores@
@security@|@seguridad@
@self-employed@|@trabajador autónomo@
@seller@|@vendedor@
@seller take-back mortgage@|@hipoteca financiada por el vendedor@
@selling agent@|@agente de ventas@
@set back@|@contratiempo@
@settlement@|@saldos@
@settlement agent@|@agente a cargo de la operación de cierre@
@sewage system@|@sistema de desagüe@
@share@|@acción, participación@
@share capital@|@capital social@
@share certificate@|@certificado de acción@
@share index@|@índice de cotización en bolsa@
@share portfolio@|@cartera de acciones@
@share prices@|@cotización de las acciones@
@share turnover@|@movimiento accionario@
@shareholder@|@accionista@
@shares of stock@|@acciones@
@shares outstanding@|@acción en circulación@
@shopping for a home@|@búsqueda de una vivienda@
@short term loan@|@préstamo a corto plazo@
@short-term@|@a corto plazo@
@Showing America aNew Way Home®@|@nuevaForma dAlcanzar laViviendaPropia pa'nortemcns@
@simple interest@|@interés simple@
@single-family home (1-4 units)@|@vivienda unifamiliar(1-4 unidades)@
@sinking found@|@fondo de amortización@
@Social Security benefits@|@beneficios del seguro social@
@sole trader@|@sociedad unipersonal@
@speculation@|@especulación@
@stable housing costs@|@gastos estables de vivienda@
@statement@|@extracto de cuenta, informe anual@
@statement of accounts@|@estado de cuentas@
@statute@|@estatuto@
@stock@|@capital@
@stock company@|@compañía anónima@
@stock corporation@|@compañía anónima@
@stock exchange@|@bolsa de valores@
@stock holder@|@accionista@
@stock holders@|@patrimonio@
@stock index@|@indicador bursátil@
@stock market@|@bolsa de valores@
@stock pile@|@acumulación de inventarios@
@stockbroker@|@corredor de bolsa@
@storing@|@almacenamiento@
@straight line method@|@AAA@
@subsidy@|@subsidio, subvención@
@sum@|@suma@
@supplier@|@proveedor@
@supply@|@oferta@
@surcharge@|@recargo@
@surrender value@|@valor de salvamento@
@surtax@|@sobretasa@
@survey of property@|@estudio de la propiedad@
@swap@|@cambalache@
@tangible@|@material@
@tax@|@impuesto@
@tax assessment@|@evaluación impositiva@
@tax benefits@|@beneficios impositivos@
@tax consultant@|@asesor impositivo@
@tax return@|@declaración de impuestos@
@taxable income@|@renta gravable, renta imponible@
@taxes and insurance (PITI)@|@impuestos y seguro@
@technical study@|@estudio técnico@
@tenancy@|@arrendamiento@
@title@|@título@
@title search@|@búsqueda de títulos de propiedad@
@to allocate@|@asignar@
@to apply@|@solicitar@
@to appreciate (in value)@|@apreciar (el valor)@
@to be in debt@|@adeudar, estar en deuda@
@to debit@|@adeudar@
@to go into debt@|@contraer deuda@
@to lend@|@prestar@
@to owe@|@adeudar, deber@
@to qualify@|@calificar, reunir los requisitos@
@to refinance@|@refinanciar@
@to rent@|@alquilar@
@townhouse@|@vivienda en serie@
@trade@|@comercio@
@trading year@|@ejercicio económico@
@transaction@|@operación@
@transfer@|@transferencia@
@transport@|@transporte@
@trial balance@|@balance de comprobación de saldos@
@Truth-In-Lending Statement@|@declaración de veracidad de un préstamo@
@turn over@|@rotación@
@turnover@|@cifra, facturación, volumen de ventas@
@Two Step® mortgage@|@hipoteca en Dos Pasos@
@unemployment@|@desempleo@
@up turn@|@alza@
@upkeep expenses@|@gastos de mantenimiento de la propiedad@
@utilities@|@servicios públicos@
@VA loan@|@préstamo VA@
@valorization@|@valorización@
@valuation@|@valoración@
@value@|@valor@
@value added network@|@red de valor agregado@
@value engineering@|@generación de valor@
@venture capital@|@capital de riesgo@
@Veterans Administration loan@|@admnistración de temas relacionados con veteranos@
@voucher@|@comprobante, cupón, justificante, vale@
@W-2 Forms@|@formularios W-2@
@wage@|@paga (semanal), sueldo (semanal)@
@wage claim@|@reivindicación salarial@
@wage earner@|@asalariado@
@wage freeze@|@congelación salarial@
@wage packet@|@sobre de la paga, sobre del sueldo@
@wage slave (colloq)@|@currante@
@wage slip@|@nómina, recibo de sueldo@
@wage talks@|@negociaciones salariales@
@wage-paid@|@asalariado@
@wager@|@apuesta@
@wages@|@paga, sueldo@
@wages snatch@|@robo de nómina@
@waiver@|@exención@
@warranty@|@garantía@
@wholesaler@|@mayorista@
@winery@|@bodega@
@winset on line@|@bolsa electrónica@
@working capital@|@capital de trabajo@
@worksheet@|@hoja de trabajo@
@year@|@año, ejercicio@

