@English@|@Persian@
@according to@|@alâ, az qarâr(e), bar tebq(e), be, be qarâr(e)@
@according to common use@|@orfi@
@accordingly@|@banâ bar in (ân)@
@account@|@hesâb, surate hesab@
@accountancy@|@hesâbdâri@
@accountancy department@|@hesâbdâri@
@accountant@|@hesâbdâr@
@accounts@|@mohâsebât@
@accoutrements@|@yarâq@
@accruing@|@âed, âyed@
@accuracy@|@deqqat@
@accurate@|@bâ deqqat, daqiq@
@accursed@|@mal'un@
@accusation@|@da'vâ@
@accused@|@mottahem@
@accuser@|@modda'i@
@accustomed@|@mo'tâd@
@achieving one's desire@|@kâmyâbi@
@acid@|@torsh@
@acknowledging [adj]@|@mo'taref@
@acorn@|@balut@
@acquaintance@|@âshnâi@
@acquaintanceship@|@shenâsâi@
@acquainted@|@âshnâ@
@acquire [to]@|@be dast âvardan, dar yâftan, gir âvardan@
@acquiring@|@nâel, nâyel, tahsil@
@acquiring [subs]@|@kasb@
@acquisition@|@daryâft, hosul, tahsil@
@acquittal@|@tabre'e@
@act coquettishly [to]@|@adâ dar âvardan@
@act of seeing@|@rai, ra'i@
@acting as a deputy@|@vekâlat@
@acting as a representative@|@vekâlat@
@acting as a substitute@|@vekâlat@
@acting as an agent@|@vekâlat@
@acting being a deputy@|@vekâlat@
@action@|@eqdâm, fe'l, kâr, kerdâr, konesh@
@actions@|@âmâl (pl. of amal)@
@active@|@fa'âl, jeddi@
@activity@|@fa'âliyat, jeddiyat@
@actor@|@honarpishe@
@actual@|@konuni@
@actually@|@fe'lan@
@acute instability@|@tashannoj@
@ad infinitum@|@elâ âkher@
@Adam@|@âdam@
@adapt [to]@|@vefq dâdan@
@adaptable (a person)@|@sâzgâr@
@adapting@|@eqtebâs@
@add [to]@|@jam' kardan@
@added@|@mozâf@
@addicted (to)@|@mo'tâd@
@addicted to subtle reasoning@|@mushekâf@
@addiction to pleasure@|@aiyâshi@
@adding@|@ezâfe@
@addition@|@ezâfe@
@address@|@envân, neshâni@
@adhere [to]@|@caspidan@
@adherent@|@molhaq@
@adjacent@|@mojâver@
@adjoining@|@mottasel@
@adjust [to]@|@eslâh kardan@
@adjusting@|@ta'dil@
@administer [to]@|@edâre kardan@
@administer an oath [to]@|@sougand dâdan@
@administering control@|@zabt@
@administering justice@|@dâdras@
@administration@|@edâre@
@administrative district@|@bakhsh@
@administrative division@|@dehestân, shahrestân@
@administrator@|@modabber@
@administrator of a foundation@|@motavalli@
@admiral@|@daryâsâlâr@
@admired@|@pasandide@
@ado@|@ghâ'ele@
@adoration@|@ebâdat@
@adorn [to]@|@ârâstan@
@adorning@|@tahzib@
@adroit@|@câbok@
@adult (person)@|@sâlmand@
@adults who attend classes@|@akâber (pl. of kabir)@
@advance@|@pishraft@
@advance (in banking)@|@pishbahâ@
@advance (loan)@|@mosâ'ede@
@advance [to]@|@qadam bar dâshtan@
@advance payment@|@pishpardâkht@
@advantage@|@estefâde@
@advantages@|@manâfe (pl. of manfa'at)@
@adventurer@|@mâ jara ju@
@adversary@|@taraf@
@adversity@|@sheddat@
@advertisement@|@âgahi@
@advice@|@andarz, mashvarat, nasihat, pand@
@advise [to]@|@mashvarat dâdan, mashvarat kardan@
@advisor@|@mostashâr@
@adze@|@tishe@
@aerial [adj]@|@havâi@
@aero-navigation@|@havânavârdi, nâvbare havâi@
@aeroplane@|@havâpeimâ, taiyâre@
@aeroplane pilot@|@havânavârd@
@affair@|@amr, bâb, kâr@
@affairs@|@masâleh (pl. of maslahat), omur@
@affected@|@mota'asser@
@affection@|@alâqe, âtefe, mohabbat@
@affianced@|@nâmzad@
@affinity@|@nesbat@
@affirmation@|@esbât@
@affirmative@|@mosbat@
@afflict [to]@|@âzordan@
@afflicted@|@delgir, delkhor, mobtalâ, ranjur, siahruz@
@afflicted by@|@gereftâr(e)@
@affliction@|@mehnat, ranj, sotuh@
@aforesaid@|@mazbur, nâmborde@
@after@|@ba'd, dar pei(ye), dombâl(e), pei(ye)@
@after (in search of)@|@aqab(e), az pei(ye), dar pei(ye)@
@after [conj]@|@ba'd az ânke, pas az ânke@
@after [pre]@|@ba'd az, pas az@
@after the fashion of@|@bozorgmanesh@
@afternoon@|@asr, pasin@
@afternoon tea@|@asrâne@
@afterwards@|@ba'dan, sepas@
@afterwards [adv]@|@ba'd@
@again@|@bâz, digar, dobâre, farâ, farâz, mojaddadan@
@against@|@alâ, aleih, bar, bar aleih(e), bar zedd(e)@
@against him@|@aleih, bar aleih(e)@
@age@|@ahd, senn@
@age of discretion@|@roshd@
@aged@|@mosenn@
@agency [polit; com]@|@kârgozâri@
@agenda@|@dastur@
@agent@|@âmel, gomâshte, kârpardâz, mobâsher@
@aggregate@|@jam'@
@aggression@|@tajâvoz@
@aggressive@|@motajâvez@
@aggressor@|@motajâvez@
@agile@|@câbok@
@agio@|@sarf@
@agitate [to]@|@âshoftan, bar âshoftan@
@agitated@|@moztareb@
@agitation@|@âshoftegi, ezterâb, tazalzol@
@agree upon [to]@|@bar ân dâshtan@
@agreeable@|@gavâr, khosh, movâfeq, pasand, pasandide, safâ@
@agreeable (of a place)@|@bâsâfâ@
@agreed upon@|@mon'aqed, moqarrar@
@agreeing@|@movâfeq, qâel, qâyel@
@agreement@|@ahd, ettefâq, mou'ed, movâfeqat, ta'ahhod@
@agreement (treaty)@|@peimân, peimânnâme, qarârdâd@
@agreement for a concession@|@emteyâznâme@
@agricultural@|@falâhati, zerâ'ati@
@agricultural labourer@|@barzegar@
@agriculture@|@falâhat, keshâvarzi, zerâ'at@
@ah!@|@afsus@
@aid@|@mo'âvenat@
@aide-mémoire@|@yâddâsht@
@aim@|@gharaz, hadaf, manzur, maqsad, marâm@
@aims@|@maqâsed (pl. of maqsad)@
@air@|@havâ, jav@
@air force@|@niruye havâi@
@aircraft carrier@|@kashtiye havâpeimâbar@
@alarm@|@e'lâme khatar, harâs, khatar@
@alas!@|@afsus@
@algebra@|@jabr@
@alien@|@gheir@
@alighting [subs]@|@nozul@
@alike@|@nazir@
@alive@|@zende@
@all@|@hame, hamegân, har, jami', koll, kolli, tamâm@
@all three@|@har se@
@alleviated@|@mokhaffaf@
@alleviation@|@takhfif@
@alley-way@|@timce@
@alliance@|@ettefâq, ettehâd@
@Allied Powers@|@mottafeqin@
@allow [to]@|@gozâshtan@
@allowable@|@jâhez@
@allowed@|@mobâh, mojâz@
@allusion@|@eshâre@
@ally@|@mottafeq@
@almanac@|@taqvim@
@almond@|@bâdâm@
@alone@|@monfared, tak, tanhâ@
@also@|@ham, niz@
@also used in counting villages@|@pârce@
@alteration@|@badal, taghyir@
@altercation@|@khosumat@
@altered@|@mobaddal@
@although@|@agarcé, bâ inke, bâ vojudike, har cand ke@
@altogether@|@be kolli, jami'an, ruye ham rafte@
@always@|@hamishe, hamvâre@
@amalgamation@|@ekhtelât@
@amazed@|@heirân, mât, motahaiyer@
@amazement@|@ta'ajjob@
@ambassador@|@safire kabir@
@ambassadors@|@sofarâ (pl. of safir)@
@ambiguity@|@shobhe@
@ambition@|@hemmat, jâhtalabi@
@ambitious@|@jâhtalab@
@ambling (noun of a horse)@|@yorqe@
@amends@|@talâfi@
@America@|@amrikâ@
@among@|@az jomle(ye), bein(e), dar miân(e), miân(e)@
@among (what is between)@|@dar bein(e), mâ bein(e)@
@among them@|@az ân jomle@
@amongst@|@men jomle(ye)@
@amorous@|@âsheq@
@amount@|@meqdâr, qadr@
@amount of money taken out@|@bardâsht@
@amphibious@|@zu hayâtein@
@amplification@|@tousi'@
@amplitude@|@touse'e@
@an acquaintance@|@âshnâ@
@analogy@|@qiâs@
@analysis@|@tajzie@
@anarchy@|@harj o marj@
@anatomy@|@kâlbodshenâsi@
@ancestor@|@jadd, niâ@
@anchor@|@langar@
@anchorage@|@langargâh@
@ancient@|@atiq, bâstân, bâstâni, dirin, dirine, qadim@
@ancient (of things)@|@kohne@
@and@|@o, va@
@and if not@|@va ellâ@
@and so on@|@qes alâ hâzâ@
@anemone@|@lâle@
@anew@|@mojaddadan@
@angel@|@fereshte, malak@
@anger@|@zahr@
@angiologist@|@ragshenâs@
@angiology@|@ragshenâsi@
@angle@|@zâvie@
@animal@|@heivân, jânevar@
@animate@|@ziruh@
@ankle@|@moce pâ@
@annex@|@enzemâm@
@annexed@|@molhaq, mozâf@
@annexes@|@mozâfât@
@annihilate [to]@|@nist o nâbud kardan@
@annihilated@|@nâbud@
@annihilating [subs]@|@mahv@
@annihilation@|@en'edâm, fanâ@
@announcement@|@e'lâm, e'lâmiye, e'lân@
@announcing@|@eblâgh, e'lâm@
@annulling@|@faskh, naskh@
@anonymous@|@binâm, gomnâm@
@answer@|@javâb@
@answer [to]@|@javâb dâdan@
@ant@|@murce@
@antecedent@|@moqaddam@
@anterior@|@motaqaddem@
@anthropology@|@mardomshenâsi@
@anti-aircraft@|@zedde havâi@
@anticipation@|@pishbini@
@antidote against poison@|@taryâq@
@antimony@|@kohl@
@antique [subs]@|@atiqe@
@antler@|@shâkh@
@anxiety@|@ezterâb, gham, negarâni, tashvishe khâter, vahm@
@anxious@|@moztareb, negarân@
@any@|@har, hic@
@any (of two or more)@|@hic kodâm@
@any game of hazard@|@qomâr@
@any male animal@|@kal@
@anyone@|@hic kas, kasi, shakhsi@
@anyone with authority@|@ma'mur@
@anything borrowed@|@âriye@
@anything fetid@|@gand@
@anything given in remembrance@|@yâdbud@
@anything given in trust@|@amânat@
@anything lent@|@âriye@
@anything oozing out from pores@|@araq@
@anything spread out@|@basât@
@anything unprofitable@|@hadar@
@anything vain@|@hadar@
@anything which is outstanding@|@ma'reke@
@apart@|@joz@
@apart from@|@gozashte az, qat'e nazar az@
@ape@|@meimun@
@apologize [to]@|@ozr khâstan@
@apology@|@ozr, puzesh@
@apostles@|@morsalin@
@apparel@|@lebâs@
@apparent@|@namâyân, peidâ@
@apparently@|@zâheran@
@apparition@|@namâyesh@
@appeal@|@estinâf@
@appear [to]@|@namudan, peida shodan, zohur kardan@
@appearance@|@manzare, namâyesh, rikht, shekl, vajh, zohur@
@appearing@|@namâyân, namudâr@
@appeased [to]@|@qarâr gereftan@
@appellation@|@estinâf@
@appendages@|@mozâfât@
@appendix@|@zeil@
@appetite@|@eshtehâ@
@applause@|@âfarin, tahsin@
@apple@|@sib@
@application@|@poshtekâri@
@appoint [to]@|@gomâshtan@
@appraising@|@enteqâdi@
@appreciably@|@be marâteb@
@appreciation@|@qadrdâni@
@apprehension@|@tashvish, vahm@
@apprehensive@|@negarân@
@apprentice@|@shâgerd@
@approbation@|@tahsin@
@appropriate@|@shâyân@
@appropriate unjustly [to]@|@heif o meil kardan@
@approved@|@pasand, pasandide@
@approximately@|@taqriban@
@appurtenances@|@mota'alleqât, mozâfât, tavâbe (pl. of tâbe')@
@apricot@|@qeisi, zardâlu@
@apricot [kind of]@|@qeisi@
@apt@|@mosta'edd@
@aptness@|@monâsebat@
@aquatic (of animal)@|@âbi@
@Arab@|@arab@
@Arabian@|@arabi@
@Arabic@|@arabi, tâzi@
@arbitrary@|@mostabedd@
@arbitration@|@dâvari, hakamiyat@
@arbitrator@|@dâvar, hakam, monsef@
@arc (of a circle)@|@qous@
@arch@|@tâq@
@arch of a bridge@|@cashme@
@archaeologist@|@bâstânshenâs@
@archaeology@|@bâstânshenâsi@
@architect@|@me'mâr@
@architecture@|@me'mâri@
@archives@|@bâyagâni@
@archivist@|@bâyagân@
@ardent@|@do âteshe, garm@
@area@|@sarzamin@
@arena@|@ma'reke, meidân@
@argue [to]@|@sar o kalle zadan@
@argument@|@bahs, modda'â@
@aristocratic@|@ashrâfi@
@arithmetic@|@hesâb@
@armed@|@mojahhaz, mosallah@
@armed force [fig]@|@sarneize@
@Armenian@|@armani@
@armoured (vehicle)@|@zeredâr, zerepush@
@armoury@|@khazâne@
@arms@|@selâh, yarâq@
@army@|@artesh, jond, lashkar, nezâm, qoshun, sepah, sepâh@
@army commander@|@sepahsâlâr@
@army officer@|@afsar@
@around@|@dour(e), gerd(e)@
@arrack@|@araq@
@arranged@|@monazzam, morattab@
@arranged in a row@|@manzum@
@arranged in a series@|@manzum@
@arrangement@|@nasaq, nazm, radif, sâzesh, tamhid, tartib@
@arrangement ¹@|@entezâm, nezâm@
@arrangements@|@tadâbir (pl. of tadbir)@
@arrest@|@bâzdsht, dastgiri, touqif@
@arrest [to]@|@bâz dâshtan@
@arresting@|@touqif@
@arrival@|@rasid, rasidegi, vosul@
@arrive [to]@|@dar rasidan, rasidan@
@arriving@|@nâel, nâyel@
@arriving [adj]@|@vâred@
@arrogance@|@takabbor@
@arrogant@|@gardankash, gostâkh@
@arrow@|@tir@
@arsenal@|@qurkhâne@
@art@|@fann, honar, san'at@
@art of medicine@|@tabâbat@
@art of painting@|@naqqâshi@
@artery@|@shariân@
@artichoke@|@kangar@
@artichoke [kind of]@|@kangar@
@article@|@maqâle@
@article (of a law; etc)@|@mâdde@
@articles@|@mavâdd (pl. of mâdde)@
@articles of association@|@nezâmnâme@
@artificial@|@masnu'i@
@artillery (branch of army)@|@tupkhâne@
@artilleryman@|@tupci@
@artisan@|@pishevar@
@artist@|@honarpishe@
@artless@|@sâde@
@arts@|@fonun (pl. of fann)@
@as@|@be envân(e), be manzele (ye), conânce@
@as an enclosure (in a letter)@|@laffan@
@as far as possible@|@be qadre emkân, hattâ-l-maqdur@
@as follows@|@az in qarâr, be tariqe zeil@
@as it were@|@guyâ@
@as long as@|@mâ dâm, mâ dâmike, tâ@
@as much as@|@ân qadr ke, be qadrike@
@as soon as@|@be mahze inke, be mojarrade inke, haminke, tâ@
@ascend the throne [to]@|@jolus kardan@
@ascertained@|@tahqiqi@
@ascertaining the truth@|@tahqiq@
@ash@|@khâkestar@
@ash (tree)@|@zabângonjeshk@
@ashamed@|@sharmgin, sharmsâr@
@ashes@|@khâkestar@
@Asia@|@âsiâ@
@Asiatic@|@âsiâi@
@aside@|@bar kenâr@
@ask [to]@|@porsidan@
@ask pardon [to]@|@ma'zarat khâstan, ozr khâstan@
@asking@|@ested'â@
@asking advice@|@moshâvere@
@asking earnestly [adj]@|@motamanni@
@asking forgiveness@|@esteghfâr@
@asking help@|@estemdâd@
@asking in marriage@|@khâstgâri@
@asking pardon@|@esteghfâr@
@asking to be excused@|@puzesh@
@asparagus@|@mârcube@
@asphalted@|@asfâlte@
@aspiration@|@hemmat@
@ass@|@khar, olâgh@
@assemble [trans] [to]@|@jam' kardan@
@assembled@|@farâham@
@assembling@|@jam'@
@assembly@|@majles, majma'@
@assembly of friends@|@halqe@
@assembly to mourn the dead@|@khatm@
@assent to [to]@|@paziroftan@
@assertion@|@bayân@
@assessor@|@zabet@
@assistance@|@dastyâri, mo'âvenat, mosâ'edat, yâvari@
@assistant@|@dastyâr, mo'âven, nâeb, yâvar@
@assistant patrol-leader@|@jukheyâr@
@assistant scout master@|@rasadyâr@
@assisted@|@mo'ayyad@
@associate@|@moshtarek, sharik@
@associated@|@moqâren@
@associates@|@shorakâ (pl. of sharik)@
@associating together@|@sohbat@
@association@|@jâme'e@
@assurance@|@etminân, yaqin@
@assured@|@khâterjam, motma'enn@
@astonished@|@heirân, mabhut, mât, motahaiyer@
@astonishing@|@badi'@
@astonishment@|@shegeft@
@astray@|@gomrâh@
@astringent [adj]@|@gas@
@astrologer@|@monajjem@
@astrology@|@elme nojum@
@astronomer@|@monajjem@
@astronomy@|@elme nojum@
@asylum@|@bast, dâr ol-majânin, malâz, panâh@
@at@|@bar, bar sar(e), dam(e), sar(e)@
@at any time@|@hic vaqt@
@at least@|@aqallan, daste kam, lâ aqall@
@at night@|@shabâne@
@at present@|@fe'lan, naqdan@
@at table@|@sare miz@
@at the foot@|@pâ(ye)@
@at the rate of@|@az qarâr(e)@
@at the same time@|@dar eine hâl@
@atmosphere@|@havâ, jav@
@atom@|@zarre@
@atrocious@|@faji'@
@attached@|@alâqemand, vâbaste@
@attached (to)@|@mota'alleq@
@attached to@|@vâbaste@
@attachment@|@alâqe, erâdat@
@attack@|@hamle, hojum@
@attacker@|@mohâjem@
@attacking@|@hojum@
@attaining [adj]@|@nâel, nâyel@
@attempt on s.o.'s life@|@su'e qasd@
@attendant@|@molâzem@
@attendants@|@ahshâm (pl. of hasham), khadam (pl. of khâdem)@
@attention@|@e'tenâ, morâqebat, tavajjoh@
@attentive@|@motavajjeh, shenavâ@
@attestation of faith@|@shahâdat@
@attorney@|@vakil@
@attract [to]@|@farâ âvardan, kashidan@
@attracting@|@jalb, jâleb, jazb@
@attraction@|@jalb, jazb@
@attractive@|@jâleb@
@attribute@|@nesbat, sefat@
@attribute [to]@|@nesbat dâdan@
@auction@|@harâj@
@audacious@|@gostâkh@
@audacity@|@jesârat@
@auditor@|@momaiyez@
@augmentation@|@mazid@
@augmented@|@mazid@
@august@|@homâyun, homâyuni@
@authentic@|@mo'tabar@
@authenticated@|@mohaqqaq@
@author@|@mo'allef@
@authorities@|@maqâmât (pl. of maqâme)@
@authority@|@ekhteyâr, e'tebâr@
@autocratic@|@khodmokhtâr@
@automatic@|@khodkâr@
@automatically@|@be khodiye khod@
@autopsy@|@kâlbodgoshâi@
@autumn@|@pâ'iz@
@available@|@dastras, farâham, moujud@
@avalanche@|@bahman@
@avarice@|@hers@
@avaricious@|@momsek@
@avenue@|@khiâbân@
@average@|@mo'addel@
@aversion@|@goriz, nefrat@
@aviator@|@khalabân@
@avoid [to]@|@duri jostan (az)@
@avoid doing (sthg.) [to]@|@az zire bâr dar raftan@
@avoiding@|@hazar@
@avowing@|@mo'taref@
@awaiting@|@montazer@
@awake@|@bidâr@
@aware@|@âgâh@
@awareness@|@âgâhi@
@axis@|@mehvar, qotb@
@axis of a pulley@|@carkhe@
@axle@|@mile@
@axle-tree@|@mil@
@azure@|@lâjvard, lâjvardi@
@back@|@farâ, farâz, kul@
@back (of the body)@|@posht@
@backgammon@|@nard@
@backgammon board@|@takhtenard@
@background@|@zamine@
@back-street@|@paskuce@
@bacteriologist@|@mikrobshenâs@
@bacteriology@|@mikrobshenâsi@
@bad@|@bad, nâsavâb@
@bad temper@|@ouqâte talkhi@
@badness@|@badi, su'@
@bag@|@javâl, kif, kise@
@baggage@|@bone@
@Baghdad boil@|@sâlak@
@bailiff@|@mobâsher, nâzer, zabet@
@baker@|@khabbâz, nânvâ@
@bakery@|@khabbâzkhâne, nânvâi, nânvâkhâne@
@baking@|@nânvâi@
@balance@|@mizân@
@balance (in banking)@|@tarâz@
@balance [tr] [to]@|@tarâz kardan@
@balance sheet@|@tarâznâme@
@balcony@|@eivân@
@bale (of cloth)@|@tup@
@bale (of cotton)@|@adl@
@ball@|@tup@
@ballistics@|@tupandâzi@
@balls of pounded cooked meat@|@kufte@
@banana@|@mouz@
@band@|@band@
@band of music@|@naqârekhâne@
@band of people@|@goruh@
@bank@|@lab@
@bank (monetary)@|@bânk@
@bank of a river@|@shatt@
@banknote@|@eskenâs@
@bankrupt@|@varshekast@
@bankruptcy@|@varshekastegi@
@banner@|@parcam@
@banquet@|@sur@
@barbarity@|@vahshigari@
@barbed wire@|@sime khardar@
@barber@|@dallâk, salmâni@
@barberry@|@zereshk@
@bare@|@barâhne@
@barefaced@|@porru@
@bargain [to]@|@câne zadan@
@bark (of a dog)@|@pârs@
@bark (of a tree)@|@qeshr@
@bark [to]@|@pârs dâdan@
@barley@|@jou@
@barracks@|@sarbâzkhâne@
@barrel (of a gun)@|@lule@
@barren@|@aqim@
@barren (of land)@|@lam yazra'@
@barrow@|@carkhe@
@barter@|@pâyâpâi@
@barter agreement@|@qarârdâde pâyâpâi, qarardade tahatori@
@base@|@dun, haqir, nâkas, nâmard@
@basement@|@sardâb@
@baseness@|@mazallat@
@basically@|@asâsan@
@basin@|@houz, lagan@
@basis@|@asâs, bone, bonyâd, dastur, pâye@
@basket@|@sabad, zambil@
@bastard@|@harâmzâde@
@bat [zool]@|@shappare@
@bath@|@hammâm@
@bath-attendant@|@dallâk@
@batman@|@masdar@
@battalion@|@gordân@
@battle@|@jang, kârzâr, ma'reke, nabard, peikâr, qetâl, razm@
@battle cruiser@|@nabardnâv@
@battle-field@|@meidâne jang@
@battle-front@|@jabhe, jebhe@
@bay@|@khalij@
@bay (colour)@|@kahar@
@bazaar@|@bâzâr@
@be [to]@|@budan@
@be a nuisance [to]@|@asbâbe zahmat shodan@
@be able [obs] [to]@|@yârastan@
@be able [to]@|@tavânestan@
@be able of getting [to]@|@dastrasi dâshtan (be)@
@be about (to do sthg.) [to]@|@dar sadad bar âmadan, dar sadad bar budan@
@be about to [to]@|@khâstan@
@be acceptable [to]@|@pasand âmadan@
@be accomplished [to]@|@anjâm yâftan, anjâm shodan@
@be advantageous [to]@|@sarfe dâshtan@
@be agreed upon [to]@|@bar ân budan@
@be appropriate [to]@|@vâred budan@
@be ashamed [to]@|@khejâlat kashidan@
@be asleep [to]@|@khâb budan@
@be au courant [to]@|@vâred budan@
@be available [to]@|@dar dastras budan@
@be aware of [to]@|@âgâhi dâstan@
@be badly fractured [to]@|@qalam shodan@
@be bold [to]@|@jor'at dâshtan@
@be calmed [to]@|@qarâr gereftan@
@be certain (of sthg.) [to]@|@yaqin dâshtan@
@be certain [to]@|@hatm dâshtan@
@be clothed in [to]@|@dar bar dâshtan@
@be completed [to]@|@be etmâm rasidan@
@be conformable with [to]@|@vefq dâdan@
@be connected (with) [to]@|@rabt dâshtan@
@be connected [to]@|@nesbat dâshtan@
@be conquered [to]@|@maftuh shodan@
@be contained [to]@|@gonjidan@
@be content (with little) [to]@|@qanâ'at kardan@
@be covetous [to]@|@tama' dâshtan@
@be deceived [to]@|@gul khordan@
@be decided [to]@|@banâ budan, qarâr budan, qarâr shodan@
@be defeated [to]@|@shekast khordan@
@be deprived [to]@|@mahrum mândan@
@be destroyed [to]@|@az bein raftan, talaf shodan@
@be determined (on sthg.) [to]@|@tasmim kardan@
@be determined upon [to]@|@bar ân budan@
@be dislocated (of a limb) [to]@|@dar raftan@
@be disordered [to]@|@be ham khordan@
@be doubtful [to]@|@tardid dâshtan@
@be durable [to]@|@davâm kardan@
@be educated [to]@|@parvaresh yâftan@
@be established as true [to]@|@sedq peida kardan@
@be exhilarated [to]@|@keif kardan@
@be extinguished [to]@|@mordan@
@be famous (for) [to]@|@ma'rufyat dâshtan@
@be famous [to]@|@shohrat dâshtan@
@be finished [to]@|@be etmâm rasidan, separi shodan@
@be firm [to]@|@qarâr gereftan@
@be fitting@|@be sazâ@
@be fitting [to]@|@shâyestan (defective)@
@be fixed [to]@|@qarâr gereftan@
@be formed [to]@|@tashkil shodan@
@be frightened [to]@|@dast o pâ gom kardan@
@be grieved [to]@|@ghosse khordan@
@be held [to]@|@gonjidan@
@be hit (by a bullet) [to]@|@tir khordan@
@be importunate [to]@|@esrâr kardan@
@be in a fix [to]@|@gir kardan@
@be in a hurry [to]@|@ajale dâshtan@
@be in distress [to]@|@dar mândan@
@be in on (sthg.) [to]@|@dâkhel budan@
@be in vain [to]@|@be hadar raftan@
@be inclined (to) [to]@|@tamâyol dâshtan@
@be inclined [to]@|@mâyel budan@
@be indebted for a favour [to]@|@mennat dâshtan@
@be intoxicated [to]@|@keif kardan@
@be irrelevant [to]@|@part shodan@
@be late [to]@|@dir kardan@
@be lawful [to]@|@ravâ budan@
@be lazy [to]@|@tambali kardan@
@be left over [to]@|@bâqi mândan@
@be like [to]@|@shabâhat dâshtan@
@be lost [to]@|@az dast raftan@
@be necessary (defective) [to]@|@bâyestan@
@be off the subject [to]@|@part shodan@
@be on bad terms with s.o. [to]@|@bad budan bâ kasi@
@be on duty [to]@|@kashik budan@
@be on good terms with so. [to]@|@khub budan bâ kasi@
@be on guard [to]@|@kashik budan, pâs dâdan@
@be out (in a game) [to]@|@sukhtan@
@be partial (to) [to]@|@mâyel budan@
@be permissible [to]@|@ravâ budan@
@be perplexed [to]@|@dast o pâ gom kardan@
@be possible [to]@|@emkân dâshtan@
@be present [to]@|@tashrif dâshtan@
@be probable [to]@|@ehtemâl dâshtan@
@be produced [to]@|@be amal âmadan@
@be profitable [to]@|@sarfe dâshtan@
@be ready [to]@|@hâzer shodan@
@be reckoned (as) [to]@|@be shomâr raftan@
@be reckoned [to]@|@mahsub shodan@
