@English@|@Nahuatl@
@and; but@|@auh@
@anew; for the first time@|@yancuican@
@anger@|@cualantli, tlahuelli@
@animal@|@yolcatl@
@animal owner@|@yolcahua@
@animal; living thing@|@yolqui@
@animals@|@yolque@
@animals; four-footed; they walk on four feet@|@manenemi@
@ankle bone; wrist bone@|@quequeyolli@
@another@|@no ce@
@another place; two places@|@occan@
@ant@|@azcatl@
@antelope@|@tlamacazcamazatl@
@antled@|@cuacuahue@
@ants@|@azcame, tzicame, tzicatl@
@anywhere@|@campa@
@apart@|@cecni, noncua, noncuah, nononcua@
@apart; alone; aside; by himself; separately@|@iyoca@
@aqueous@|@atic@
@arched@|@mamalacachtic@
@archer; one who shoots arrows@|@tlaminani@
@argemone@|@chiclotl@
@arise@|@ximehua@
@arm band; wrist band; bracelet@|@matemecatl@
@arm; hand@|@maitl@
@armadillo@|@ayotochi, ayotochtli@
@aromatic; evil-smelling; stinking; a foul odor@|@ihyac@
@around it; from it; with it; in it; into it@|@itech@
@around someone@|@tetech@
@arquebus@|@matlequiquiztli@
@arquebusier@|@matlequiquizoani@
@array of the gods@|@teotlatquitl@
@array; article; property; goods; clothing; wealth@|@tlatquitl@
@arraying of people@|@techichihualo@
@arrow@|@tlacochtli@
@arrow; bolt; dart; spear@|@mitl@
@arrow; dart; reed@|@acatl@
@art of medicine@|@ticiotl@
@artifact@|@tlachihualli@
@artificial mountain@|@tlachihualtepetl@
@as if@|@yuhquinma@
@as if; as; like; thus; so; such; likewise; similar@|@iuhqui@
@as if; like; as@|@iuhquima@
@as many as@|@quexquich@
@as many as; so many@|@quexquichtin@
@as; like; so; thus@|@iuh@
@ash tree@|@ilin@
@ash; ashes@|@nextli@
@ash-colored; gray; ashen; grey@|@nexehuac@
@ashen@|@ixnextic, matenextic, nexehuaque, nextique, tehtenextic, ticehuac, tlilnextic@
@ashen and scant@|@nexcacayactic@
@ashen land; ashen soil@|@nextlalli@
@ashen mound@|@nextlatilli@
@ashen water@|@tenexatl@
@ashen; ash-colored@|@nexectic@
@ashen; ash-colored; gray@|@nextic@
@ashen; ashen green; ash-colored; dark ashen@|@cuitlanextic@
@ashen; dark ashen@|@nexyayactic@
@ashes are scattered@|@nexpixolo@
@ash-face@|@ixnex@
@at a distance@|@nipa@
@at both ends; at each end@|@necoc@
@at both ends; on both sides; on each side@|@nenecoc@
@at dawn; early in the morning@|@yoatzinco@
@at daybreak@|@tlathinahuac@
@at first@|@acachto, yacachto@
@at four places; in four directions/places@|@nauhcampa@
@at his hand; at his hands@|@imac@
@at his leisure; without haste; calm; calmly;gently@|@ihuian@
@at its edge@|@itenpa@
@at its edge; in his lip; on her lips; on his lips@|@itenco@
@at its foot; at its base; at the base of it@|@itzintlan@
@at its head; at the end@|@icuac@
@at its tail; at its tail end; in its tail@|@icuitlapilco@
@at midday; noon@|@nepantla tonatiuh@
@at midnight; midnight@|@yohualnepantla@
@at night@|@yohuayan@
@at night; by night@|@yoaltica@
@at night; by night; in the dark@|@yohualtica@
@at night; in the dark@|@yoac@
@at one side; half@|@cectlapal@
@at such a time@|@iuhcapan@
@at that time@|@quinicuac@
@at that time; at the time; at this time;then;while@|@ihcuac@
@at the base; below; at the bottom; at the foot@|@tlatzintlan@
@at the battlefield; in a warlike place@|@yaopan@
@at the canal; over the canal@|@acaloco@
@at the crossroads; crossroads@|@omaxac@
@at the edge of the forest@|@cuauhtenco, cuauhtenco@
@at the edge of the road@|@otenco@
@at the end of one year@|@cexiuhtica@
@at the end of three years@|@yexiuhtica@
@at the end of two years@|@oxiuhtica@
@at the fire@|@tletica@
@at the mist house; in the mist house@|@ayauhcalco@
@at the prow of a boat@|@acalyacac@
@at the same time@|@no ihcuac@
@at the shore; coast; shore; water's edge; on shore@|@atenco@
@at the tip@|@iyacac@
@at the top of it; on top of it; upon; on top of@|@icpac@
@at the wall@|@tenantitlan@
@at us; of us@|@toca@
@atole@|@yollatolli@
@atole made with wrinkled chia@|@chiantzotzolatolli@
@atole treated with lime@|@tenexatolli@
@atole with honey@|@necuatolli@
@atole; maize gruel@|@atolli@
@attractive@|@cualnezcapol@
@aunt@|@teahuitzin@
@aunts@|@teahuihuan@
@average size; small@|@cualton@
@avocado@|@ahuacatl@
@awakens one@|@tehixitia@
@awesome place@|@mahuizpan@
@awl@|@coyolomitl@
@ax@|@cuauhxeloloni@
@ax owner@|@tepoze@
@ax; copper; iron; hardmetal; irons; metal@|@tepoztli@
@axin is provided; axin is applied@|@maxhuia@
@axolotl@|@axolotl@
@ax-wielder@|@tlatepozhuiani@
@babies; baby; boy; child; small child@|@piltzintli@
@babies; boys; children; little children@|@pipiltotonti@
@baby boy; male child; boy; male child; noble boy@|@oquichpiltontli@
@baby fish@|@michconetl@
@baby girl; girl child; female child; girl@|@cihuapiltontli@
@baby girl; girl; maiden@|@ichpochtontli@
@baby; baby boy; child; boy; girl; small boy; puppy@|@piltontli@
@baby; child; girl; infant; small child@|@conetontli@
@baby; child; little girl; children; little child@|@conetzintli@
@babyishness@|@coneyotl@
@back and forth@|@ahuic, ahuiccampa@
@back and forth; here and there@|@ahuic@
@bad@|@ahcualli, ahyectli, ayectli, tlahueliloc, tlahuelilocapil@
@bad smelling@|@chipayac, tocuayac@
@bad; evil@|@acualli@
@badger@|@tlalcoyotl@
@bald pate; bald head@|@cuaxipetztli@
@baldpate; sand eater@|@xalcuani@
@bale of cacao@|@cacahuapetlatl@
@ball court@|@tlachtli@
@ball of feathers@|@ihhuitelolotli@
@ball-like@|@tohtolontic@
@ball-like; like a ball@|@tapayoltic@
@band for the calf of the leg; leather leg band@|@cotzehuatl@
@band of cloth@|@tlatentli@
@banded-backed wren@|@ayacachtototl@
@banquet invitation@|@tecohuanotzalitztli@
@bark paper@|@texamatl@
@barked@|@xincayo@
@barked; having bark@|@ehuayo@
@barn owl@|@chichtli@
@barn owl; screech owl@|@chicuatli@
@barn swallow@|@cuicuitzcatl@
@base; beam; board; plank@|@huapalli@
@basin@|@caxitl@
@basin; earthen basin; earthen tub; tub@|@apaztli@
@basis@|@tlapepechiotl@
@basket@|@chiquihuitl, tanatl@
@basket seller@|@tananamacac@
@bastard child@|@calpan pilli@
@bat@|@tzinacan@
@bathed ones@|@tlatloaltiltin@
@bathed ones (ceremonially bathed ones)@|@tlaaltilti@
@bathed ones; bathed slaves@|@tlatloaltilti@
@bathed person; ceremonially bathed person@|@tloaltilli@
@bather; one who bathes people@|@tealtiani@
@bathers of slaves; bathers; slave bathers@|@tealtianime@
@batten; weaving stick; wide batten@|@tzotzopaztli@
@battle gear; war goods@|@yaotlatquitl@
@battle rations@|@yaoitacatl@
@battle; battlefied; region of battle@|@yaoc@
@be happy@|@xahuia, xompaqui@
@be prosperous@|@xonmocuiltono@
@be prudent@|@ximimati@
@bead; necklace; neck band@|@cozcatl@
@bean@|@etl@
@bean owner@|@ehua, ehuah@
@bean seller@|@enamacac@
@beans are sown@|@metlaza@
@bear; wolf@|@cuitlachtli@
@bearded@|@tentzone@
@bearded ones@|@tentzoneque@
@bearers of iron sword; swordsmen@|@tepozmacuahueque@
@beast; biter@|@tecuani@
@beater@|@acuahuitl@
@beates@|@tlatzotzonque@
@beautiful@|@chontzin, cuacualti@
@beautiful; good looking; of good appearance@|@cualnezqui@
@because of him; about him@|@ica@
@because of him; with his help; by him; by hisgrace@|@ipal@
@because of it; therefore@|@ipampan@
@because of us@|@topampa@
@because; because of him; on his account@|@ipampa@
@because; because of it; on account of it; for it@|@ipanpa@
@becomes a noblewoman@|@cihuapilti@
@bedbug@|@texcan@
@bee honey@|@xiconeuctli@
@bee honey; wild bee honey; wild honey@|@cuauhneuctli@
@beeswax@|@xicocuitlatl@
@before her; in front of her; before him@|@ixpan@
@before her; in front of her; in her presence@|@iixpan@
@before him; in front of him; in his presence@|@iixpantzinco, ixpantzinco@
@before him; in his presence@|@ixco@
@before him; infront of him; in public@|@teixpan@
@before people@|@teixtlan@
@before the hearth@|@tlecuilixcuac@
@before them; in front of them@|@inixpan@
@before them; in front of them; in their presence@|@imixpan@
@before you (pl.) in front of you (pl.)@|@amixpan, amixpantzinco@
@before you; in front of you; in your presence@|@mixpan@
@before you; in your presence; in your face@|@mixco@
@before your face; in your presence@|@mixtlan@
@before your lips@|@motentlan@
@before yu (h.) in your (h.) presence@|@omixpantzinco@
@begin it@|@xocompehualti@
@beginner@|@tlatzintile@
@beginning@|@peuhtica@
@beginning of lineage@|@tlacamecayopeuhcayotl@
@begins; he begins; it begins; it starts@|@pehua@
@beguiling@|@tenxochitl@
@behind him; behind his back; behind it@|@icampa@
@behind others@|@teicampa@
@behind them@|@imicampa@
@behind you@|@micampa@
@behold it@|@izcatqui@
@behold it; here it is; behold@|@izca@
@behold them@|@izcate@
@behold; here it is@|@izcan@
@being@|@yelizyotl@
@believable@|@neltoconi@
@bell@|@coyolli, oyohualli@
@belly@|@ihtitl@
@belovd last daughter@|@xocotzin@
@beloved slaves@|@tlatlacotzitzintin@
@beloved women; honored women@|@cihuatzitzinti@
@below; deep@|@tlani@
@benign@|@tlahtlacatl@
@benign; gentle@|@tlatlacatl@
@between his fingers@|@imapiltzalan@
@between our fingers@|@tomapiltzala@
@between them@|@intzatzalan@
@between them; his stomach; in him; in his stomach@|@iitic@
@big mouthed; having an open mouth@|@camaxacal@
@big star@|@citlalpol@
@big; big and coarse; huge; large; very big@|@hueitepol@
@big; great; large; grown; long@|@huehuei@
@big; great; large; important; greatly; expertly@|@huei@
@big; high; long; tall@|@hueyac@
@big-mouthed; having a wide mouth@|@camaxacaltic@
@bile@|@chichicatl@
@bird amaranth; bird amaranth seed; chicken feed@|@totolhuauhtli@
@bird arrow; feathered arrow@|@totomitl@
@bird banner@|@totpanitl@
@bird feather@|@totoihhuitl@
@bird feather; turkey feather@|@totolihhuitl@
@bird net@|@totomatlatl@
@bird of ill omen@|@tetzauhtototl@
@bird; fledgling; penis@|@tototl@
@bird-egg amaranth seed@|@totoltehuauhtli@
@birds@|@totome@
@bird's bill@|@tototentli@
@bird's egg; turkey's egg@|@totoltetl@
@bird's eye@|@totoixtli@
@bird's tongue@|@totonenepilli@
@birds with toasted maize@|@totoizquitl@
@bitter@|@chichic, chichicacococ@
@bitter to the taste@|@camachichic@
@bitter water@|@alchichic@
@bitumen@|@chapopotli@
@black@|@cacatzactic, cacatzactli, capotztic, tlilchichintic, tliltic@
@black ant@|@tlilazcatl@
@black bean@|@tliletl, tlilletl@
@black beetle@|@pinacatl, temoli@
@black bowl@|@tlilcaxitl@
@black color@|@tlilli@
@black dried ear of maize@|@yauhcintli@
@black on the surface; dark@|@ixtliltic@
@black outline@|@tlilantli@
@black skimmer@|@tenitztli@
@black stain@|@tlilli@
@black sweat@|@tliltzotl@
@black vulture@|@tzopilotl@
@black; black (pl.)@|@tliltique@
@black; dark colored@|@tlilehuac@
@black; dirty; dirty black; dirt-colored@|@catzahuac@
@black-billed@|@tentliltic@
@black-crowned night heron@|@huexocanauhtli@
@blackish@|@cuichectic, cuichehuac, tlilnextic, tlilpoyahuac, yayactontli@
@blackish; dark@|@tlilectic@
@blacksnake@|@tlilcohuatl@
@bladder@|@axixtecomatl@
@blanket; large cape; mantle@|@cuachtli@
@blemished@|@itlacauhqui@
@blind@|@ixpohpoyotic@
@blind people@|@ixpopoyome@
@blinded vision@|@ixpopoyotlachializtli@
@blindness@|@ixpopoyotl@
@blindness; glazing of the eyes@|@ixtezcaihcihuitzli@
@blister@|@totomoniliztli@
@blisters quickly form@|@acuacualacatihuetzi@
@blood@|@eztli@
@blood banner@|@ezpanitl@
@blood vessel@|@ezcocotli@
@blood-colored@|@eztic@
@blood-flecked; spotted with blood@|@ezcuicuiltic@
@blood-flint; blood-stone@|@eztecpatl@
@bloodied@|@tlaezhuilli, tlaezzotilli@
@bloodstone@|@eztetl@
@bloody@|@ezio, ezo@
@bloody pus@|@eztemalli@
@bloody urine@|@ezaxixtli@
@bloody; stained with blood; having blood@|@ezzo@
@bloomer@|@xotlani@
@bloomer; blossomer@|@cueponini@
@blooming constantly@|@cuecuepocatimani@
@blooms constantly@|@tlacuecuepoca@
@blossom@|@xochitl@
@blossomed; in blossom; blossomer@|@cueponqui@
@blossomer; bloomer@|@moxochiotiani@
@blossoming@|@cueponcayotl@
@blossoms@|@xochime@
@blotched with black@|@motlilchachapatz@
@blouse; shift@|@huipilli@
@blue@|@texohtic@
@blue cotingas@|@xiuhtotome@
@blue grosbeak@|@elotototl@
@blue honeycreeper@|@chalchiuhtototl@
@blue pulque@|@matlaloctli@
@blue water@|@matlalatl@
@blue; green; blue-green; greenish; light blue@|@xoxoctic@
@blue; light blue@|@texotic@
@blue-winged teal@|@metzcanauhtli@
@boaster@|@moquichitoani@
@boat@|@acalli@
@boat owners@|@acaleque@
@boating pole@|@ahuictli@
@boatmakers@|@acalquetzque@
@boats go striking each other@|@macalhuitectihui@
@boats strike each other@|@macalhuitequi@
@boat-tailed grackle@|@teotzanatl@
@bobcat@|@ocotochin@
@bobcat; mountain cat@|@ocotochtli@
@body@|@tlactli@
@body of water@|@apan@
@boil@|@tlaxhuiztli@
@bone blade@|@omihuictli@
@bone rasp@|@omichicahuaztli@
@bone; bone awl@|@omitl@
@bone; bony@|@omio@
@boneless@|@aomio@
@book@|@amoxtli@
@book for interpreting dreams@|@temicamatl@
@book of days@|@tonalamatl@
@book of dreams; dream book@|@temicamatl@
@book of years@|@xiuhamatl@
@bordered@|@tene@
@borer@|@tlacoyoniani@
@both@|@omexti@
@bow; bow (for arrows)@|@tlahuitolli@
@bowed@|@tlahuitoltic@
@bowing@|@tololiztli@
@bowing of the head@|@tololli@
@bowl for tobacco@|@yecaxitl@
@bowl; vessel@|@caxitl@
@bowl-like@|@caxiuhqui@
@bowl-like; concave; bowl-shaped@|@caxtic@
@boy@|@oquichtli@
@boys; small boys; young boys@|@oquichpipiltotonti@
@bracelet@|@macuextli, maquiztli, teocuitlamatemecatl@
@bracelet snake@|@macuexcohuatl@
@bracelet tortilla@|@macuextlaxcalli@
@brain@|@cuatextli@
@brains@|@cuatetextli@
@brave@|@ixchicahuac, yolchicahuac@
@brave-hearted; stout of heart; brave@|@yollochicahuac@
@bravery; ocelot warriorhood; status of warrior@|@oceloyotl@
@brazier@|@tlecuazco@
@breakable@|@tlapanoni@
@breath; spirit@|@ihiyotl@
@breech clout; breechcloth@|@maxtlatl@
@breedable@|@nemitiloni@
@bride; woman; female; hen; uterus; girl@|@cihuatl@
@brief time; moment; bit of time@|@cahuitontli@
@briefly; quickly@|@cuecuel, cuel@
@brine; salty water@|@iztayotl@
@bringer of pleasure@|@paquini@
@briny@|@iztayotic@
@bristles@|@tomio@
@bristling; songy; light@|@zonehuac@
@bristly@|@ahuayo@
@bristly; shaggy; tangle-haired;having tangled hair@|@pazotic@
@broad@|@coyahuac, patlanqui@
@broad and thick@|@patlahuacatilahuac@
@broad face; having a broad face; having a wideface@|@ixpechtic@
@broad leaves@|@amatlapalpatlactotonti@
@broad; wide@|@papatlactic, papatlahuac, patlactic@
@broad; wide; flat@|@patlachtic@
@broad-billed@|@tempatlactic@
@broad-footed; one who has broad feet@|@xopapatlactic@
@broad-leafed@|@amatlapalpatlahuac@
@broad-tailed hummingbird@|@quetzalhuitzilin@
@brown@|@camillhuiltic, camillo, camiltique, tlapalcamiltic@
@brown bean; purple bean@|@paletl@
@brown chipmunk@|@motoyahuitl@
@brown crane@|@tocuilcoyotl@
@bulbous@|@tolontic@
@bulwark@|@yaotenamitl@
@bumblebee; honey bee; large bee@|@xicotli@
@bundle@|@quimilli@
@burden; burden borne on one's back@|@tlamamalli@
@burn@|@nexotlaliztli@
@burning@|@chichicacococ@
@burning; it burns like pepper; misery; pain@|@cococ@
@burrowing owl@|@zacatecolotl@
@bushy@|@tapazoltic@
@bushy; fleecy; matted; matter@|@pazoltic@
@but@|@yeceh@
@butterfly@|@papalotl@
@butterfly ant@|@azcapapalotl@
@butterfly net@|@papalomatlatl@
@buy it for me@|@xinechoncohui@
@buzzer@|@quiquinacani@
@by boat; by means of a boat; in boats; by boats@|@acaltica@
@by day@|@tlaca@
@by day; in the daytime@|@tlahca@
@by his grace; through him@|@ipaltzinco@
@by his hand@|@imac@
@by it; next to it@|@itlan@
@by laziness@|@tlatzihuiliztica@
@by means of a bone blade@|@omihuictica@
@by means of a metal knife@|@tepozhuictica@
@by means of a precious cape@|@tlazotilmatica@
@by means of a stick@|@tlacotica@
@by means of a wooden vessel@|@cuauhcaxtica@
@by means of chocolate; with drink@|@atica@
@by means of clothing@|@tlaquentica@
@by means of darts@|@tlacochtica@
@by means of fire@|@tletica@
@by means of flowers@|@xochitica@
@by means of food@|@tlacualtica@
@by means of gold@|@teocuitlatica@
@by means of ice@|@cetica@
@by means of iron swords@|@tepozmacuauhtica@
@by means of it; for this reason; since; thus@|@inic@
@by means of laziness@|@tlatzihuiliztica@
@by means of licking@|@iztlactica@
@by means of mean words@|@chicotlatoltica@
@by means of metal@|@tepoztica@
@by means of paper@|@amatica@
@by means of pine resin@|@ocotzotica@
@by means of smoke@|@poctica@
@by means of talking@|@tlatoltica@
@by means of tenderness@|@yamancatlatoltica@
@by means of; with it; by it; by means of it@|@ic@
@by night; darkness; dark place@|@yohuayan@
@by talking@|@tlatoltica@
@by the fire@|@tletica@
@by the house@|@caltech@
@by the water@|@atlan@
@by twenties@|@cecempoalli@
@by yourself@|@mocel@
@cacao bean@|@cacahuatetl@
@cacao tree@|@cacahuacuahuitl@
@cacao; cacao bean; chocolate@|@cacahuatl@
@calf of the leg@|@cotztetl, cotztli@
@calloused@|@chacayoltic, chachacayoltic@
@calm@|@yocoxca@
@calmly; peacefully; peaceful; slowly@|@ihuiyan@
@canal; canals@|@acalotli@
@cancer@|@cualocatl@
@candid; honest person; just person@|@tlacamelahuac@
@cane stalk; reed; cane@|@otlatl@
@canine teeth emerge@|@coatlanquiza@
@canoe@|@acalli@
@canvas-back@|@cuacoztli@
@canyon@|@atlauhtli@
@cape of duck feathers@|@xomoihhuitilmatli@
@cape with designs@|@tlacuiloltilmatli@
@cape; mantle@|@tilmatli@
@captive; loot; booty@|@malli@
@captives@|@mamalti, mamaltin, mamaltzitzinti@
@captives are taken; there is taking of captives@|@tlamalo@
@captor; hunter; it is the custom@|@tlamani@
@captor; one who owns a captive@|@male@
@captors; takers of captives;those who take captive@|@tlamanime@
@carded cotton@|@ichcatlapochintli@
@careless@|@cuitlatzcopic@
@caretaker@|@tlapiani@
@caretaking@|@tlapializtli@
@carnal life; incontinence; debauchery@|@ahuilnemiliztli@
@carpenter@|@tlaxinqui@
@carpenter; woodcarver; woodcutter@|@cuauhxinqui@
@carpenters; woodcutters@|@cuauhxinque, tlaxinque@
@carrier@|@tlazacani, tlazazacani@
@carrying frame@|@cacaxtli@
@carrying frame; frame; framework@|@colotli@
@carved@|@tlaxixintli@
@carving@|@tlaxintli, tlaxixintli@
@cast down; cast about; it is strewn about@|@huehuetztoc@
@cast down; cast away; he is lying down@|@huetztoc@
@castig of gold@|@teocuitlapitzcayotl@
@castigation@|@alcecec tzitzicaztli, atl cecec tzitzicaztli@
@castigation; punishment@|@cuahuitl tetl@
@casting of copper@|@tepozpitzcayotl@
@cat@|@mizton@
@cataract@|@ixchichiticahuiliztli, ixtotolicihuiztli@
@cautiously; slowly; deliberately@|@iyolic@
@cave; spring@|@oztotl@
@cease! stop!@|@ximocahua@
@ceaseless talker@|@atenpoztequini@
@celestial woman; heavenly woman@|@ilhuicacihuatl@
@celestial women@|@ilhuicacihua@
@Chalcan rulers@|@chalcatlatoque@
@chalk seller@|@tizanamacac@
@chalk; white earth@|@tizatl@
@chalky@|@tecehuac, tenextic, ticectic, tizayo@
@chalky pulque; white pulque@|@tizaoctli@
@chalky shield@|@tizachimalli@
@chalky; pale; whitish; grey; light-colored; white@|@ticehuac@
@chalky-ashen@|@nexehuacaticectic@
@chalky-legged@|@xothiticectic@
@character@|@yelizyotl@
@charcoal@|@tecolli@
@charcoal and water paste@|@tecolatl@
@charcoal brazier)@|@tlecomic@
@charcoal-colored@|@tecoltic@
@chaste@|@chipahuacanemilice, mopiani@
@chastity@|@nepializtli@
@chastity; clean way of life; pure life; clean life@|@chipahuacanemiliztli@
@cheat@|@tenenenco@
@cheek@|@camatetl, cantli@
@cherishable@|@pialoni@
@cherished@|@tlazotli@
@cherry; cherry tree@|@capoli@
@chewable@|@cuacualco@
@chewable; edible@|@cuacualoni@
@chia@|@chia, chian, chien@
@chia seller@|@chiennamacac@
@chick@|@totolconetl@
@chicken; turkey; turkey hen@|@totolin@
@chickens@|@cuanacame@
@chicks@|@totolpipil@
@chided him; he berated him@|@cahuaya@
@chief@|@tlatoani@
@child@|@conetzin, pilpil@
@child; girl@|@conetl@
@child; noble; nobleman@|@pilli@
@childishness@|@coneyotl@
@childishness; babyishness@|@coconeyotl@
@childishness; puerility@|@pipillotl@
