@Laotian (romanized)@|@English@
@á nū lom@|@According to natural principles@
@á nū lom@|@consent@
@á nū lom@|@oblige@
@á nū lom@|@follow@
@á nū lom@|@imitate@
@á nū lom@|@yield@
@á nū lom@|@obey@
@á nū lom@|@obedience@
@á nū lom@|@correspond@
@á nū lom@|@favourable@
@á nū lom@|@regular order@
@á nū lom@|@odinary@
@á nū lom@|@suitable@
@á nū lom@|@sufficient@
@á nū lom@|@conforming to@
@á nū lom@|@According to natural principles@
@á nū lom@|@consent@
@á nū lom@|@oblige@
@á nū lom@|@follow@
@á nū lom@|@imitate@
@á nū lom@|@yield@
@á nū lom@|@obey@
@á nū lom@|@obedience@
@á nū lom@|@correspond@
@á nū lom@|@favourable@
@á nū lom@|@regular order@
@á nū lom@|@odinary@
@á nū lom@|@suitable@
@á nū lom@|@sufficient@
@á nū lom@|@conforming to@
@á nū lom@|@According to natural principles@
@á nū lom@|@consent@
@á nū lom@|@oblige@
@á nū lom@|@follow@
@á nū lom@|@imitate@
@á nū lom@|@yield@
@á nū lom@|@obey@
@á nū lom@|@obedience@
@á nū lom@|@correspond@
@á nū lom khao nam phuak diew kan@|@assimilate@
@á nū lom khao nam phuak diew kan@|@cause to resemble@
@á nū mard@|@authorise@
@á nū mard@|@sanction@
@á nū mard@|@consent@
@á nū mard@|@probation@
@á nū mard@|@approve@
@á nū marn@|@inference@
@á nū marn@|@induction@
@á nū mon ti:@|@inference@
@á nū mon ti:@|@induction@
@á nū nhà:t@|@permit@
@á nū nhà:t@|@authorise@
@á nū nhar to tou lar karn@|@mediator@
@á nū nhar to tou lar karn@|@conciliator@
@á nū nhar to tou lar karn@|@arbitration judge@
@á nū nhauk@|@question@
@á nū nhauk@|@interrogate@
@á nū pa nhauk@|@gram@
@á nū pa nhauk@|@subordinate clause@
@á nū pa nhauk@|@not applicable@
@á nū pa sa nar@|@observe@
@á nū pa sa nar@|@contemplate@
@á nū pa sa nar@|@reflection@
@á nū pa sa nar@|@consideration@
@á nū pa sa nar@|@observe@
@á nū pa sa nar@|@contemplate@
@á nū pa sa nar@|@reflection@
@á nū pa sa nar@|@consideration@
@á nū pa sam ban@|@Buddh@
@á nū pa sam ban@|@novice@
@á nū pa sam ban@|@Layman@
@á nū pha ri nhar@|@concubine@
@á nū phan@|@in contact with@
@á nū phan@|@in relation with@
@á nū phan ra nhar@|@minor wife@
@á nū phar kar xard@|@Junior Red Cross Society@
@á nū phard@|@tell repeatedly@
@á nū phark@|@partical@
@á nū phark@|@chapter@
@á nū pharp@|@power@
@á nū pharp@|@splendour@
@á nū pharp@|@majesty@
@á nū phaud@|@enlighten@
@á nū phaud@|@enlightenment@
@á nū phaud@|@enlighten@
@á nū phaud@|@enlightenment@
@á nū phong@|@collateral branch@
@á nū phong@|@royal descendant@
@á nū phong@|@family@
@á nū sa ti@|@memory@
@á nū sa ti@|@the subconscious@
@á nū san nhar@|@agreement@
@á nū san nhar@|@protocol@
@á nū san nhar@|@convention@
@á nū sar sa ni:@|@counsel@
@á nū sar sa ni:@|@advice@
@á nū sar sa ni:@|@instruction@
@á nū sar sok@|@teacher@
@á nū sar sok@|@advisor@
@á nū sar sok@|@guardian@
@á nū sar sok@|@protector@
@á nū sar sok@|@director@
@á nū sar va li:@|@triumphal arch@
@á nū sar va li:@|@memorial@
@á nū sar va li:@|@monument@
@á nū sar va li: khon tai@|@cenotaph@
@á nū sard@|@teaching@
@á nū sard@|@advice@
@á nū sard@|@explanation@
@á nū sard@|@instruction@
@á nū say@|@innate disposition@
@á nū say@|@tendency@
@á nū sid@|@advice@
@á nū sid@|@warning@
@á nū sid@|@scolding@
@á nū son@|@souvenir@
@á nū son@|@memorial@
@á nū son@|@remembrance@
@á nū son thi@|@connection@
@á nū son thi@|@succession@
@á nū son thi@|@consequence@
@á nū song@|@aspiration@
@á nū thei ra@|@Buddh. bonze of a certain rank@
@á nū thei ra@|@lower than an abbot@
@á nū thok@|@Dryness@
@á nū thok@|@no water@
@á nū vard@|@apply@
@á nū vard@|@conform to@
@á nū vard@|@imitate@
@á nū vard@|@patch@
@á nū vong@|@enlightenment@
@á nū xar@|@younger brother or sister@
@á nū xar nhar@|@concubine (royal lang)@
@á nū xard@|@those born later@
@á nū xard@|@neither super@
@á nū xard@|@nor inferior@
@á nū xard bou roud@|@one worthy of his parents@
@á nū xid@|@ever-conquering@
@á nū xon@|@young people@
@á nū xon@|@youth@
@á nū xon@|@younger generation@
@á pa ka rou nar@|@cruel@
@á pa khoun@|@without merit@
@á pa lauk@|@tale@
@á pa lauk@|@recital@
@á pa lauk@|@telling@
@á pa lauk@|@the act of giving notice of an interntion@
@á pa nhod@|@dishonour@
@á pa nhod@|@disgrace@
@á pa rar@|@be vanquished@
@á pa rar@|@be defeated@
@á pa rar@|@be afraid@
@á pa rar@|@losing@
@á pa rar@|@be vanquished@
@á pa rar@|@be defeated@
@á pa rar@|@be afraid@
@á pa rar@|@losing@
@á pa ri marn@|@limitless@
@á pa ri marn@|@incalculable@
@á pa ri marn@|@infinite@
@á pa ri marn@|@innumerable@
@á pa sauk@|@free of worries@
@á pa ti houp@|@incomparable@
@á pa vard@|@remonstration@
@á pa vard@|@reproach@
@á phā vā@|@disappearance@
@á phā vā@|@absence@
@á phā vā@|@decadence@
@á pharp@|@incapable@
@á pharp bauk khon@|@inept@
@á pharp bauk khon@|@unworthy@
@á pharp bauk khon@|@unfit@
@á pharp bauk khon@|@nonqualified@
@á pharp phon@|@bad result@
@á phay@|@forgive@
@á phay nha tharn@|@save@
@á phay nha tharn@|@give asylum@
@á phay nha thaud@|@pardon@
@á phay nha thaud@|@amnesty@
@á phi@|@superiority@
@á phi@|@intensity@
@á phi barn@|@guard@
@á phi barn@|@protector@
@á phi bou xar@|@honour@
@á phi bou xar@|@approve@
@á phi khard@|@killing@
@á phi khard@|@putting to death@
@á phi khard@|@attack damage@
@á phi lard tha moun ti:@|@Royal High Councilior@
@á phi mar na@|@self respect@
@á phi mar na@|@pride@
@á phi mar na@|@haughtiness@
@á phi na sa kom@|@Buddh@
@á phi na sa kom@|@take the yellow robe out of respect for parents or superiors@
@á phi nan@|@content@
@á phi nan@|@satisfaction@
@á phi nan@|@great pleasure@
@á phi nan tha nar karn@|@show of joy.@
@á phi nan tha nar karn@|@with the compliments of@
@á phi nan tha nar karn@|@show of joy@
@á phi nan tha nar karn@|@with the compliments of@
@á phi ni harn@|@magic power@
@á phi pai@|@speak@
@á phi pai@|@opinion@
@á phi pai@|@discussion@
@á phi pai@|@speak@
@á phi pai@|@opinion@
@á phi pai@|@discussion@
@á phi rack@|@protect@
@á phi rack@|@defend@
@á phi rack@|@guard@
@á phi rack@|@watch over@
@á phi rack khid@|@marked@
@á phi rack khid@|@fixed@
@á phi rack khid@|@appointed@
@á phi rack khid@|@prescribed@
@á phi rack khid ta karn@|@designated time or date@
@á phi rack khid ta sa may@|@designated time or date@
@á phi rard tha moun ti:@|@supreme councilor@
@á phi rarm@|@nice@
@á phi rarm@|@friendly@
@á phi rarm@|@pleasant@
@á phi rarm@|@agreeable@
@á phi rom@|@rest@
@á phi rom@|@be leased with@
@á phi rom@|@be satisfied@
@á phi roud@|@voice@
@á phi roud@|@noise@
@á phi roup@|@well-shaped@
@á phi roup@|@pretty@
@á phi roup@|@attractive@
@á phī sa mar charn@|@standard of conduct@
@á phī sa may@|@Buddh@
@á phī sa may@|@enlightenment@
@á phī sa may@|@illumination@
@á phī sa may@|@attainment@
@á phī sam pho thi@|@Buddh@
@á phī sam pho thi@|@enlightenment through one's own high intelligence@
@á phī sek@|@anointing with water@
@á phī sek@|@celebration or ceremonial@
@á phī sek som rod@|@wedding cermony@
@á phi tham@|@Buddh@
@á phi tham@|@metaphysical section of the Buddhist Bible@
@á phi tham@|@metaphysical science@
@á phi thar@|@name@
@á phi thar@|@sound@
@á phi thar@|@appellation@
@á phi thar@|@literal sense of a word@
@á phi tharn@|@word@
@á phi tharn@|@name@
@á phi thay@|@name@
@á phi van@|@respect@
@á phi van@|@show respect@
@á phi van tha nar@|@prostration in respect@
@á phi vard@|@respectful greeting with hands joined@
@á phi vard@|@prostration@
@á phī xar@|@greed@
@á phī xar@|@avidity@
@á phī xar@|@cupidity@
@á phi xard@|@well-born@
@á phi xard boud@|@well-born and well-endowed child@
@á phī xay@|@victory@
@á phī xay phī sit@|@anoint@
@á phī xay phī sit@|@prerogative@
@á phī xay phī sit@|@anoint@
@á phī xay phī sit@|@prerogative@
@á phī xid@|@prerogative@
@á phī xid@|@win@
@á phī xid@|@victorious@
@á phī xid@|@prerogative@
@á phī xid@|@win@
@á phī xid@|@victorious@
@á phi xon@|@descendant of a noble family@
@á phi xon@|@one of high birth@
@á phin nhar@|@Buddh@
@á phin nhar@|@the six great powers of the Buddha@
@á phon@|@without profit@
@á phon@|@vain@
@á ra@|@spoke of a wheel@
@á ra@|@radius of a circle@
@á ra@|@girl@
@á ra@|@woman.@
@á ra han@|@Buddh@
@á ra han@|@Buddhist enlightenment@
@á ra han@|@saint@
@á ra han@|@holy man@
@á ra han ta khard@|@hagiocide@
@á ra han ta khard@|@the killing of arhat@
@á ra hard@|@Buddh@
@á ra hard@|@sainthood@
@á ra hard@|@arhat@
@á ra hard mack@|@Buddh@
@á ra hard mack@|@the road to sainthood@
@á ra hard phon@|@Buddh@
@á ra hard phon@|@the attainment of sainthood@
@á ra hard vi mauk@|@Buddh.@
@á ra hard vi mauk@|@release from desire through attainment of sainthood@
@á ra hung@|@blessed Buddha@
@á ra na@|@pacifist@
@á ra na@|@calm@
@á ra na@|@quiet@
@á ra na@|@distant@
@á ra na@|@far away@
@á ra na@|@pacifist@
@á ra na@|@calm@
@á ra na@|@quiet@
@á ra na@|@distant@
@á ra na@|@far away@
@á ra ti@|@discontent@
@á ra ti@|@dissatisfaction@
@á ra ti@|@dislike@
@á ra xa@|@clean@
@á ra xa@|@pure@
@á ra xa@|@dustless@
@á ra xa@|@unblemished@
@á ran nha@|@forest@
@á ran nha@|@desert@
@á ran nha va si:@|@forest-dweller@
@á ran nha va si:@|@forest hermit@
@á ran nha vi harn@|@forest hermitage@
@á ran nhik@|@forest@
@á ran nhik@|@hunter@
@á rauk@|@health@
@á rauk@|@absence of disease@
@á ri@|@rival@
@á ri@|@adversary@
@á ri@|@opponent@
@á ri@|@enemy@
@á ri nha@|@honest@
@á ri nha@|@noble@
@á ri nha@|@civilised distinguished@
@á ri nha bauk khon@|@civilised@
@á ri nha bauk khon@|@individual@
@á ri nha ka@|@the Aryan people@
@á ri nha mack@|@Buddh@
@á ri nha mack@|@the straight road to sainthood@
@á ri nha sard@|@Buddh@
@á ri nha sard@|@sanctity@
@á ri nha sard@|@the name of a Buddhist scripture@
@á ri nha tham@|@civilisation@
@á rou no thay@|@dawn@
@á rou no thay@|@the time of sunrise@
@á roun@|@dawn@
@á roun@|@aurora@
@á sa ni: bard@|@thunderbolt@
@á sa ni: bard@|@falling of a thunderbolt@
@á sa ni:, ard sa ni:@|@weapon of Indra@
@á sa ni:, ard sa ni:@|@weapon of Indra@
@á sam phin@|@alike@
@á sam phin@|@homogeneous@
@á sam phin phong@|@pure or unmixed lineage@
@á săn nha kam@|@death@
@á săn nha pharp@|@incalculable@
@á săn nha pharp@|@infinite@
@á săn nha phop@|@unconscious field unconscious state@
@á săn nhi:@|@coma@
@á săn nhi:@|@unconsciousness@
@á săn nhi: pharp@|@coma@
@á săn nhi: pharp@|@unconsciousness@
@á săn nhi: sard@|@a group of spirits without souls@
@á seik kha@|@Buddh@
@á seik kha@|@one who has no further need of instruction@
@á si@|@knife@
@á si@|@sword@
@á si chan nhar karn@|@fencing instruction@
@á si ni@|@zool. yellow tiger@
@á si thar rar@|@edge of the sword@
@á si ti@|@math.@
@á si ti@|@eighty@
@á si ti ma har sar vauk@|@Buddh.@
@á si ti ma har sar vauk@|@the eighty great disciples of Buddha@
@á song khay@|@incalculate@
@á song khay@|@infinite@
@á song khay pi:@|@incalculable number of years@
@á sor ra phid@|@venomous creatures@
@á sor ra phid@|@especially snakes@
@á sou@|@breath@
@á sou@|@life@
@á sou pha@|@corpse@
@á sou pha@|@disagreeable@
@á sou pha@|@corpse@
@á sou pha@|@disagreeable@
@á sou ra@|@the giants@
@á sou ra@|@lowest class of spirits@
@á sou ra ka:y@|@spirits of dead criminals@
@á sou rin@|@the chief of the giants@
@á sou rin@|@dragon's head@
@á sung har ri ma xarp@|@real property@
@á sung har ri ma xarp@|@immovable properties or real estate property@
@á surd cha@|@lie@
@á surd cha@|@falsity@
@á surd cha@|@disloyalty@
@á surd cha@|@infidelity@
@á tham@|@injustice@
@á tham@|@immoral@
@á thám@|@unjust@
@á thám@|@indecent@
@á thám@|@immoral@
@á thám@|@wicked@
@á tharp pha veid@|@the Athava Veda@
@á tharp pha veid@|@dealing with mantras and  incantations@
@á thi@|@eminent@
@á thi@|@supreme@
@á thi@|@large@
@á thi@|@very@
@á thi@|@super@
@á thi ay nha karn@|@prosecutor general@
@á thi ba:y@|@explain@
@á thi ba:y@|@clarify@
@á thi bor di:@|@rector@
@á thi bor di: pa cham ka xuang@|@director general at the ministry@
@á thi ka mard@|@intercalated lunar month@
@á thi ka mard@|@the second eight month@
@á thi ka sou ri thin@|@additive day for a leap year ( 365 +1 days)@
@á thi ka varn@|@the intercalated day in the seventh month of the lunar calendar@
@á thi kar ri ni:@|@abbess@
@á thi kar ri ni:@|@directress@
@á thi karn@|@conduct@
@á thi karn@|@management@
@á thi karn@|@administration@
@á thi karn bor di:@|@principal@
@á thi karn bor di:@|@rector@
@á thi karn vard@|@abbot@
@á thi khom@|@arrival@
@á thi khom@|@acquisition@
@á thi khom@|@achievement@
@á thi kon@|@cause@
@á thi kon@|@matter@
@á thi kon@|@case@
@á thi kon@|@error@
@á thi mard@|@innumerable@
@á thi mauk@|@ardency@
@á thi moud ti@|@good character@
@á thi moud ti@|@good disposition@
@á thi pá tay@|@sovereignty@
@á thi pá tay@|@accomplishment@
@á thi pá tay neua phaen din@|@sovereignty@
@á thi rà:t@|@suzerain@
@á thi rà:t@|@monarch@
@á thi sei nar bor di:@|@first adviser of government@
@á thi sin@|@high morality@
@á thi sin@|@great wisdom@
@á thi thă:n@|@desire@
@á thi thă:n@|@ask@
@á thi thă:n@|@request@
@á thi thă:n@|@need@
@á thi thă:n@|@hope@
@á thi và:t@|@home@
@á thi và:t@|@residence@
@á thi và:t sa na@|@abstinence@
@á thi và:t sa na@|@continence@
@á thi và:t sa na@|@forbearance@
@á thid tharn@|@resolution@
@á thid tharn@|@invocation@
@á thid tharn@|@supplication@
@á thid tharn on von@|@invoke@
@á thid tharn vi von@|@supplicate@
@á thin nar tharn@|@thief@
@á thin nar tharn@|@robber@
@á thin nar tharn@|@misappropriation@
@á ti mar na@|@pride@
@á ti mar na@|@arrogance@
@á ti mar na@|@haughtiness@
@á ti marn@|@pride@
@á ti marn@|@arrogance@
@á ti marn@|@haughtiness@
@á ti rard@|@great king@
@á ti rek@|@special@
@á ti rek@|@additional@
@á ti rek@|@surplus@
@á ti rek@|@extra@
@á ti rek@|@too much@
@á ti rek@|@superdeity@
@á ti rek@|@special@
@á ti rek@|@additional@
@á ti rek@|@surplus@
@á ti rek@|@extra@
@á ti rek@|@too much@
@á ti rek ka chi: von@|@Buddh@
@á ti rek ka chi: von@|@extra yellow robe@
@á ti rek ka larp@|@windfall@
@á ti rek ka larp@|@good luck@
