@English@|@Rajasthani@
@a good fodder botanical@|@Sania@
@a good fodder grass@|@bharunt@
@a granary@|@Khalo@
@a grass with spiny fruits@|@bhankadi@
@A great war@|@cakabu@
@a guest@|@pamvanu@
@a hamlet@|@dhao@
@a hand fan@|@bijnon@
@a handful@|@pasai@
@A handle of a knife@|@baimso@
@a heap@|@kudo@
@A heap@|@kudha@
@A he-goat@|@amasyo@
@A herd of bullocks@|@balada@
@a high bed@|@dailo@
@A high long hillock of sand@|@bhara@
@a hillock@|@Dungari@
@a hole in the ground@|@tagara@
@A hole in the ground@|@aghana, pamvadi@
@A horse-saddle@|@jinda@
@a husband@|@paranyom@
@A husband@|@kantha@
@A husbandman@|@palati@
@A hypocrite@|@phaili@
@A jackal@|@jamabu@
@A khejrá tree@|@janta@
@a kick@|@toro@
@A kind of cake@|@dovatho@
@A kind of citron@|@karanu@
@a kind of community@|@bhopa@
@A kind of cucumber@|@tevarasi@
@A kind of dance@|@ghummaraghalabo@
@A kind of firework@|@churri, hingoto@
@A kind of garland@|@causara@
@A kind of grain@|@samvakya@
@a kind of grass@|@lagarayo@
@A kind of grass@|@lampa@
@A kind of liquid food@|@Khato@
@A kind of mortgage@|@bhagalau@
@A kind of play@|@cirabhira, titibhayo@
@a kind of soft stone@|@gaibhato@
@A kind of turban@|@peco@
@A kind of vegetable shaped@|@tindaso@
@A kind of very rich food@|@munnabhoga@
@A kind of waist-coat@|@bagatari@
@A kite made of paper@|@kanakho@
@A labourer@|@camvalyo@
@a lake@|@nadi@
@a lapidary@|@bega@
@A large crowd of persons@|@kanakhala@
@A large iron spoon perforated@|@bhkara@
@A large metal spoon@|@kalai@
@A leg of a table@|@pago@
@A little@|@ciniso@
@A lizard said to be poisonous@|@goyaro@
@A log of wood@|@goli@
@a long piece of land@|@Liro@
@a lover@|@pañchi@
@A man@|@janu@
@a man of foolish nature@|@Gailo@
@a mantle of a woman@|@Lugado, Odhanon@
@A marriage feast@|@gorana@
@a master@|@dharamandala, dharamaraja@
@A master tradesman@|@usato@
@a mat made of twigs@|@Pal@
@A medicinal plant@|@akalakaravo@
@A mendicant@|@dhanakadhari@
@A metal vessel@|@ramabhkaro@
@A mild quarrel@|@bhkarapa?a@
@A mild term for envious@|@anosagaro@
@a miser@|@Munji@
@A mixture of different grains@|@bekara@
@A moment@|@damasata@
@a mouner@|@dagyo@
@a mouthful of any thing@|@bagala@
@a narrow stream of water@|@Turki@
@A narrow-mouthed brass@|@amarati@
@A necklace worn@|@baleva@
@A nut used by dyers@|@hara@
@A pain in the head@|@ghubo@
@a painter@|@Chitero@
@a pen for cattle@|@nhoro@
@a person@|@manasa@
@A picture@|@chibbi@
@a piece@|@pindo@
@A piece of cloth worn@|@picho@
@A pinch@|@caruntyo@
@a place@|@thoye@
@A place at the door@|@gokho@
@a plank of wood@|@pha@
@a plant@|@cedo@
@a plant in dry areas@|@Dab@
@A ploughman@|@hali baladi@
@A plug@|@chando@
@A pocket formed by tucking@|@payaco@
@a poisonous snake@|@Pivano@
@A poisonous snake@|@bandi@
@a pole made of khejadi tree@|@Mando@
@a pond@|@pokhira@
@a portion of food@|@nevaja@
@a purse@|@naula@
@A quarrel@|@khardapharda@
@a rajasthani petticot@|@Kharo-ghagaro@
@A rat@|@undaro@
@A red dye@|@kasummabo@
@a relation@|@byai@
@a riddle@|@paha, phali@
@a ring in hand@|@Kadiyo@
@A ring made of múnj@|@Indi@
@A ripple on water@|@habholo@
@a river@|@nandi@
@a rope@|@Jewadi@
@A rumour@|@allapalla@
@a salap@|@dhai@
@a secret@|@peto@
@A semi-circular window@|@gulamabara@
@A she-goat@|@chayali, tata@
@a shrub found in desert area@|@Phog@
@A skein of cotton thread@|@gaththi@
@A slap on the face@|@cinagata@
@a slave@|@bando@
@A slave@|@golo@
@A slice of any vegetable@|@kapi@
@A small basket@|@chabalyo@
@a small bell@|@Ghugario@
@A small chapátí@|@candayo, khankarayo@
@a small container@|@Doliyo@
@A small earthen vessel@|@karavo@
@A small fort@|@gadhaiya@
@a small hole@|@polako@
@A small hole as the nostril@|@kocaro@
@A small lotá used for drinking@|@kalasyo@
@A small nose@|@nakalyo@
@A small plate@|@batakyo@
@A small pony@|@tingana@
@A small water vessel@|@tuti@
@A snake-charmer@|@kalabelyo@
@a snake's hood@|@Fan@
@A sour substance@|@jamvana@
@A spark of fire@|@tinagyo@
@a spinning top@|@bangu@
@a spinning wheel@|@Charkho@
@A splint of wood@|@cippala@
@A sprain@|@cinaka@
@a step@|@pamvado, panda@
@a stirrup@|@paga@
@A stirrup-leather@|@pallana@
@A stone bracket@|@kachyo@
@A stone held in the hand@|@Lodi@
@A stone in the middle of water@|@patapa@
@a stone pestle@|@Lodi@
@A strip of skin@|@santha@
@a strong pony@|@ro@
@A sweetmeat@|@mingipaka@
@A sweetmeat made of til seeds@|@Palo@
@A swelling@|@babara@
@a swing@|@Hindo@
@a tassel@|@phundo@
@a temple@|@devaro@
@a temporary hut@|@tapi@
@a thin fexible mix of clay@|@Kamp@
@a thing stolen@|@muddo@
@A thorny bush@|@pasarakateli@
@A tree from the leaves@|@chilo@
@a type of panjiri@|@Khodi@
@A very coarse cotton@|@Dhabalo@
@A very large earthen vessel@|@bhkala@
@A walking stick@|@Ghoto@
@a war song@|@sindu@
@A waste water pipe@|@pandalo@
@a weed of bajra crop@|@Runkhdi@
@a weekday@|@Var@
@a well off family@|@Khato-peeto@
@a whelp@|@hucarayo, pallo@
@A winnowing fan@|@chajalo@
@a wolf@|@lyali@
@A woman@|@kamani@
@a woman carrying water@|@Paniharin@
@A woman's chádar@|@syalu@
@A wooden trowel@|@bataka@
@a woolen blanket@|@bardi@
@A worshipper@|@kama@
@A young buffalo@|@rega@
@A young cow@|@osari@
@ablution@|@sinco@
@above@|@malai, mande@
@abundant@|@samvatho@
@Acacia jacquemontii plant@|@baonli@
@access especial the production@|@Kunt@
@account@|@suaba@
@Accusation@|@chimpato@
@act and behave like thakur@|@thukres@
@act of breaking ears of corn@|@damyaim@
@actual@|@Sagi@
@adress@|@sesabhala@
@Adultery@|@camacori@
@advance@|@Agünch@
@aeroplane@|@Chilgadi@
@after@|@pachai, pachanai, pachanai, puñchi@
@After@|@pachanai, ponchaya mpoñchayam, puñchi@
@after mixing@|@Milay'r@
@after somebody@|@Larai@
@after taking@|@Ley'r@
@After which@|@jana pachai@
@afternoon@|@Dindhale@
@again@|@hoto, Ojun, ojyum, ojyum, Otho, pherayum@
@Age@|@austa@
@agricultural land of a village@|@Rohi@
@alas@|@oya oya@
@alert@|@Sawchet@
@all@|@saba, sabaka, sabalo, sai, satata@
@all members of family@|@Sighriya@
@Allowance made to one for food@|@khanagi@
@Alloyed silver@|@aumli@
@alone@|@yekalo@
@Alone@|@ekalothokalo@
@along with@|@bhelai@
@alternate name of harijan@|@Dhedh@
@alternate name of jats@|@Khotlo@
@alternate name of rajputs@|@Rangdo@
@always@|@sasto@
@Amethyst@|@katelo@
@an abuse@|@Kamin, Mariliya, Mariliya, Marzana@
@An account book@|@khara@
@an agricultural implement@|@Kasio@
@An animal with long hair@|@bhkindiyo@
@an arch@|@tanna@
@An arrow@|@pataga@
@An ash-pit@|@ru@
@An ash-pit near the village@|@ukara@
@An ass@|@caupo@
@An auspicious@|@samurata@
@an axe of heavy weight@|@Kuhav@
@an axe of light weight@|@Kuhadio@
@An earthen vessel@|@jamvani, pato@
@An earthen-ware vessel@|@tapakyo@
@an epithet of Hanuman@|@Ghoto@
@An evasive answer@|@alamatoli@
@An expletive@|@dujum, haijo@
@an important desert tree@|@Khejdi@
@An indent@|@tañca@
@An infant@|@gigalo@
@An invitation to a dinner@|@sasavanni@
@An invitation to dinner@|@nangavara, nyonto, sigarayo@
@An opium-eater@|@amaladara@
@an ornament worn@|@Fini, sata@
@an utensil of bronze metal@|@batko@
@ancestors@|@badera, badka, Purkha@
@and@|@ar, hara@
@And@|@ara@
@anger@|@bhkallata@
@angry@|@sumsa@
@animal@|@Jiniwar@
@animal in heat@|@Chhav@
@ankle@|@muracyo@
@Anklets@|@Pajebs@
@another@|@pailo@
@anus@|@phoki, pori@
@anxiety@|@lipadanda@
@Anxiety@|@dandola@
@Any earthen-ware vessel@|@dhabbara@
@appearance@|@cesta@
@Appointed time@|@thido@
@aquantance@|@Jan-pichhan@
@arid shrub with strong odour@|@Irno@
@armlet@|@baju bandh@
@Around@|@apasa@
@arrogance@|@Adans, tauro@
@artisan@|@Chejaro@
@As@|@jyanna@
@As far as is possible@|@banatañchatam@
@As much@|@jatanu, jataro, jatto@
@assault@|@dhammammunki@
@Assembled@|@itakhode@
@Astonishment@|@talabeli@
@at@|@mamhum@
@At a distance@|@antarai, paranai@
@At any rate@|@nyava gaira nyava@
@at hand@|@dhingare@
@at higher rates@|@Mungho@
@At once@|@hakatali@
@aunty@|@Kaki@
@back@|@moram, Otho, Pachha@
@bacterial eye infection@|@ankh dükhani@
@bad properly decorated@|@Sej@
@bad son@|@ut@
@bajra ear head@|@Sito@
@ball@|@Gindi@
@baloon@|@Fugo@
@bamboo@|@bans@
@bandicoot rat@|@kola@
@barati's reception ceremony@|@Sehlo@
@barber@|@khavasa@
@bark of the kikar tree@|@ranga@
@barn for animals@|@Rado@
@barter@|@Dhado@
@basket@|@dhakolo, dhokali@
@bathing ceremony@|@nikonhana@
@be accustomed to do@|@halajabo@
@be agreeable to@|@suvabo@
@be carried on@|@nimhabo@
@be dishonoured@|@dhelo hobo@
@be squandered@|@bhorayo udabo@
@beautiful@|@Futari@
@beautiful and sexy woman@|@Kamangari@
@became displeased@|@Rusgyo@
@bed@|@sukaseja@
@Before@|@jonum@
@before sunrise@|@bhakfate@
@Beginning and also end@|@theta@
@behind something@|@Oto@
@behold@|@oji, orai, tokai@
@beloved@|@lauñci@
@belts used to fix saddle@|@Tangadpatiyo@
@bent@|@banko@
@best@|@tanako@
@Between@|@gabai@
@Bhang@|@bhanga@
@big@|@saintho@
@big basket@|@dhokaro@
@big container made of tin@|@Dol@
@big room on the ground floor@|@sala@
@billiant light@|@sincannana@
@bird@|@ka, vali@
@bird with long peak@|@titudi, titudi@
@birth@|@bhotar@
@Bitter@|@khari@
@bitter gourd@|@Tumo@
@bitter guard@|@Gadtumbo@
@black colour on cooking@|@Kaluns@
@Blemish@|@bikho@
@blind man@|@a'no@
@blinking@|@miñcyo@
@body@|@Dil@
@boiled cerials@|@Ghughari@
@Boiling water for rice@|@adana@
@born@|@Jayedi@
@born in one gotra@|@Goti@
@Born of a mother@|@jamana ko jayo@
@Boundary@|@kanka@
@bounds@|@paravanna@
@bowl@|@Gumado@
@box@|@Peti@
@boy@|@Chhoro@
@Bracelets@|@Gokhru@
@brahman@|@baman@
@braided hair of a woman@|@catto@
@brass metal pitcher@|@Dhuaro@
@bread of wheat@|@Falko@
@breadth@|@painu@
@breakfast@|@Kalewo@
@Breakfast@|@siravana@
@breast of female@|@bobo@
@bribe@|@saumpa, saunka@
@bride@|@bindani@
@bridegroom@|@binda@
@bridgegroom@|@bin@
@brightness@|@Ujalo@
@bringing home of a wife@|@a gantha@
@brother@|@bhayo, biro@
@brother's wife@|@bhoja, bhojai@
@brunch of a farmer@|@Chhak@
@Buffalo horn@|@kacaka@
@bull@|@Naro, Sand@
@bull branded by a hot iron@|@ankala@
@bundle of bajra@|@Pulo@
@bundles of bajra@|@bagar@
@bur@|@bharabhunta@
@burden@|@sanam@
@burning piece of wood@|@Angar@
@burr@|@tantio@
@Bushes used for fencing@|@bhintaka@
@bussinessman@|@baniyon@
@but@|@pana@
@butter@|@Ghi, lunyum@
@Calamity@|@bajaraga@
@call of cattle@|@ardano@
@call with force@|@Helo@
@calling of one by hand@|@bhkalo@
@calmness@|@jaka@
@Came@|@Aaya chha, padhara chha@
@cameleon@|@kirakantyo@
@campus of a family@|@Nauro, Nohro@
@Can you write the exam?@|@Tu pariksha de paaye lo?@
@canopy made of a cloth@|@chandvo@
@care@|@lalo@
@Care@|@jabato@
@careful@|@savaceta@
@Careful@|@sabadana@
@caress@|@hinjara@
@Carving on wood@|@catrama@
@cattle@|@Dangara, dhando@
@ceremony after death@|@Mausar@
@Ceremony in honour of the dead@|@tiyo@
@ceremony of giving gifts-bride@|@tiko@
@ceremony of meet after death@|@uthavanu@
@ceremony of offering breakfast@|@Kanwar Kalevo@
@ceremony of showing ornamets@|@Rangbari@
@ceremony performed by maternal@|@Chhuchhak@
@Ceremony performed marriage@|@Phera@
@certain animal@|@cimyom@
@certanly@|@sadarupa@
@Chaff@|@khakalo@
@chain to lock a gate@|@Kunto@
@chair made of munj straws@|@Muddho@
@charm@|@karatuta@
@cheap@|@saungo, Sungho, sungo, sungo@
@cheapness@|@maula@
@child@|@tabar@
@Children@|@ronya mbhonnyam@
@child's dress@|@mekhalyo@
@Child's mischief@|@äl@
@churning milk@|@bilowano@
@churning stick@|@bhkeranu@
@Chutney made of unripe mangoes@|@lyonji@
@clan@|@Got@
@class of people@|@lodá@
@clear a field of weeds@|@ninani@
@clever@|@ukabi@
@Clever lady@|@Gajban@
@clod@|@daggala@
@Cloth@|@kapa@
@cloth covering put over raths@|@kholo@
@cloth to protect from the cold@|@siraka@
@clothes@|@Ghaba@
@Clothes of man@|@calako@
@cloud@|@badali@
@Cloudy@|@ghughuhapa@
@coach-house@|@nyolyo@
@coarse@|@jado@
@Coarsely ground wheat@|@thuli@
@cocoon and weaving thread@|@ati-dora@
@cold@|@davo, siyam@
@coldness@|@si@
@collected@|@bheli@
@comb@|@Kangasio@
@Commotion@|@odu@
@complaint@|@rojanu@
@Complaint@|@olmabo, unnyanu@
@condition@|@jamaro@
@confusion@|@satapatata@
@Confusion@|@gabagubi@
@connection@|@satto@
@consent@|@Hamal@
@constant use@|@apatthi@
@contemptuous term@|@ranga@
@contemptuous term for a weaver@|@dhedha@
@contract@|@Ijaro@
@contribution@|@chando@
@convenient@|@Subhito@
@cook@|@kuka@
@coquetry@|@nakharo@
@corner@|@Kunt@
@corner of a table@|@kunta@
@cotton plant@|@bana@
@cotton thread@|@mala@
@cover the head with a wrapper@|@ghungali marabo@
@Cow-dung fuel@|@ukalya@
@cpricious@|@phirapotyo@
@Cracked@|@jojaro@
@craving desire@|@khutaka@
@cream@|@thara@
@crop of semi arid areas@|@Gwar@
@crop production@|@Jamanon@
@cross piece of wood@|@aduvo@
@crow@|@Kagalo@
@crowd of beggars@|@bhegata@
@crumb@|@khero@
@cucumber@|@Kakadio@
@cud@|@Jugali@
@cuff@|@Thap@
@cultivable land in heights@|@Mauro@
@Cupping apparatus@|@singa@
@curry@|@Khato@
@custom@|@carso, Dharo@
@custom of giving presents@|@bhadai@
@customs@|@danna@
@Cutts of wood which are useful@|@kheruñja@
@daily@|@Rojina@
@daily wages@|@Dhyangi@
@dandy@|@rasiyo@
@darkness@|@handero@
@daughter-in-law@|@bhauvala@
@death@|@Hun@
@decay of a brick and lime@|@Lethari@
@decoction@|@Kado@
@decoratives used for camels@|@Gorband@
@deep sleep@|@Khuntitankar sono@
@Deeply intoxicated@|@gaidula@
@defect@|@binga@
@Delay@|@amvara@
@delicious food@|@Lyojibhay@
@delivery@|@Japo@
@delivery of female animal@|@byagi@
@dependent@|@Pan@
@desert crop rich in protiens@|@Moth@
@desire@|@citarasa, pika@
@desolate@|@dhanda@
@destitute@|@ghatayata@
@detail@|@bigata@
@Did you have your lunch?@|@Tanne dupahar ko khano khayo?@
@died@|@samagayo@
@Difficult@|@abidho@
@difficult to bite@|@Chido@
@difficulty@|@Do'ro@
@Direction@|@mera@
@dirt of eyes@|@Gid@
@dirty clothes@|@Childa@
@disciples@|@celacanti@
@disease of children@|@curanyam@
@disease of the nose@|@bisali@
@dishonesty with bias in sm.b.@|@Rungas@
@disobedient@|@anakhayako@
@Disobedient@|@nisara@
@Disorder@|@jagadduvala@
@displeased@|@rotha@
@distance@|@antro@
@distance of about 2 kilometers@|@avadi@
@distinguishing feature@|@Anan sanan@
@disturbance@|@Udham@
@division@|@Panti, pu@
@Do@|@karamacandyo@
@do not@|@mannai@
@Do you love me?@|@Tu manne pyaar kare hai kaain?@
@dodging@|@ciratalo@
@doer@|@Ha@
@door@|@baranu@
@doubt@|@bhaima@
@dough@|@lotha@
@Dough@|@kamali@
@dove bird@|@Kamedi@
@down-sloping pitch@|@Saran@
@dowry@|@Dayjo@
@drama played on the street@|@khyala@
@drawings on wall@|@Mandnom@
@dream@|@Sapanon@
@dress of a child@|@topalo@
@dried cow dung@|@Chhana@
@Drink@|@Piyo@
@driver@|@satiyo@
@Drizzling rain@|@bhkaramarabhkaramara@
@drop down@|@Nankh@
@drum beater@|@Dholi@
@drunkard@|@maru@
@Dry pieces of mucus@|@gungo@
@dunghill@|@runa@
@dusty and hairy crops@|@Fank@
@Dyed with the colour@|@kasummala@
@dysentery@|@singarani@
@earlier@|@Paili@
@early morning@|@Tadkau, Tadko@
@earn of corn@|@daingi@
@earthen pot used to boil milk@|@Kadhawani@
@earthen pot used to keep flour@|@Jhawli@
@earthenware lid@|@malaso@
@earthquake@|@bhaingaja@
@East@|@uguna, uguni@
@eastern direction@|@Aguni@
@easy@|@So'ri, So'ro@
@Eat@|@Kha@
@ecstasy@|@halura@
@Edge@|@kandaro@
@Either@|@khai@
@elected@|@Chunyovi@
@elephant@|@bhuri@
@Elsewhere@|@othai@
@emaciated@|@manka@
@empty@|@Rito@
@encircle money over someone@|@Unwaro@
@engage one to carry a message@|@ajuro@
@engaged@|@Lagyoda@
@Enmity@|@anabolo@
@entertainment progrrame@|@tuntiyo@
@Entirely@|@khanaka@
@Entirely torn to pieces@|@lhilara kantha@
@envious@|@phalaso@
@Equal in age@|@damim@
@erase@|@bhujano@
@eunuch@|@Khojo@
@Evening@|@anthana, anthanau@
@ever@|@kadyanna@
@Ever@|@kanam, karam, khana@
@everything@|@sokyom@
@everywhere@|@sarainthai@
@evidence@|@sayadi@
@Exact time@|@tetavo@
@Excitable@|@tirachola@
@exclamation@|@baisandara, bogalabo, boja@
@Exclamation@|@aji, bai, baisandara, baisandara, bhojanem, bogalabo, boja@
@excreta of camel@|@Mingana@
@excreta of sheep@|@Mingani@
@experienced@|@dathika@
@explain with expressions@|@Sain@
@explosion@|@Khudko@
@Extravagance@|@ammarasumsa@
@extreme thirst@|@hauka@
@Extremely desirous@|@nadido@
@Extremely generous@|@auladaula@
@eye@|@daimyum, dimyum@
@eye-brow@|@bhamvaro@
@eyelash@|@bhapan, bhapanbamphani@
@face@|@Mundo@
@failure@|@bithoga@
@Failure@|@dabako@
@fair@|@Melo@
@fair colour@|@Gora@
@Faith@|@ikhana@
@falgun folk songs@|@Dhamal@
@fame@|@dhanakanamva@
@famine@|@Kal@
@far@|@bisatara@
@farm boundary@|@Sinw@
@farm in the vicinity of city@|@Khedo@
@farm labour@|@Dhyankyo@
@fast@|@Tawlo, vasa@
@fast growing arid zone tree@|@Firans, France@
@fat@|@podo@
@father-in-law of one's son@|@Sago@
@father's elder brother@|@babo@
@fatigue and stress in muscles@|@Bark@
@Fearlessly@|@achanta@
@feast@|@sarabara@
@feast 12th day after death@|@baro@
@feed of birds@|@Chugo-pani@
@feeling of motion@|@Hangar@
@female child@|@tingari@
@female friend@|@bhayli@
@female relations@|@byana@
@fermented substance@|@pasa@
@festival of swings@|@Tij@
@fever@|@una@
@few@|@Thodai@
@field@|@uva@
@field festival@|@Halsotio@
@filling up of the hole@|@rujabo@
@finger@|@angli@
@finger nail@|@num@
@fire@|@baste, laya@
@fire of dried cow-dung@|@khiro@
@Firewood@|@balito@
@first@|@Pai'lo@
@first floor room@|@Chaubaro@
@First of all@|@pailyampaila@
@flag of Gogaji deity@|@Nezo@
@flame@|@hulo@
@flash@|@bhalakabo@
@flat plate made of baked clay@|@ili@
@flippant@|@phorayo@
@flour@|@Chun@
@flowers@|@sathaka@
@flowers folded in the leaf@|@khalli@
@flowers of khejri tree@|@Minjar@
@fly@|@Mankhi@
@flying fox@|@bagala@
@fodder@|@charo, Fus@
@fodder for cattle@|@nirani@
@fodder grass@|@Dhaman@
@Food distributed at festival@|@dhunda@
@Food given daily@|@hatakara@
@Food made of ground grain@|@pito@
@Food made of ground gram@|@bela@
@food material left in dish@|@Junth@
@Food other than grain food@|@sagara@
@Food which hasn't been in ghee@|@lhuko@
@for@|@bei, le, tamim, tamim, tanni@
@For@|@kaile@
@for listening@|@Sunba@
@for this@|@Mathai@
@forcibly@|@Dhinganon@
@foreign@|@Disawar@
@foremost@|@aglo@
@foretelling@|@paracyo@
@fort@|@hatiya@
@fortunate@|@ramakolada, ugarabhagi@
@foundation@|@simva@
@fourth day before today@|@taralai dina@
@fox@|@Gadadi, laungati, lunka@
@Fraud@|@galapataramim@
@fresh cow dung@|@Potho@
@friend@|@bhayalo@
@Friendship@|@bhayala, jyasa@
@friut of jharberi@|@borio@
@from@|@Sun@
@From one's very own@|@gharangharu@
@from somebody@|@Kanasun@
@From that day@|@asum@
@front airy open verandah@|@Poli@
@front long pole of plaugh@|@Hal@
@fruits@|@Fal@
@fruits of radish@|@Sogri@
@fryday@|@Sani-var@
@fuel@|@mungadhanu@
@Fuel made of cow-dung@|@channu@
@full@|@haikala@
@function to honour baraatis@|@Samthuni@
@funeral ceremony@|@calavo@
@funeral pile@|@sara@
@furrow@|@kudha@
@future@|@anwati@
@game@|@Khudda-dari, Lunkyar, Lunkyar, Mal-dadi@
@game of hide and seek@|@Lukbhinchani@
@game played with a ball@|@Hardado@
@Ganesha pujan ceremony@|@ban@
@Garrulity@|@gagaranu@
@gate@|@barno, khataka@
@Gathered together@|@ikatau@
@general name for clothes@|@gabo@
@general term for a feast@|@thicothamako@
@gesture@|@latako@
@get-together ceremony@|@Mel@
@giddiness@|@Tinwala@
@Giddiness@|@garanaeto@
@girl@|@Chhori, dava@
@give money to the groom@|@Var-Pher@
@Go@|@Jawo@
@go into anger-chamber@|@ati-pati@
@god@|@Isar@
@goddess@|@Mawali@
@Going to the water-closet@|@khatakä@
@Gold lace bound on a pagrí@|@Kilangi@
@gold ornament worn by men@|@Guddo@
@golden bangles@|@Bangadhi@
@goldsmith's shears for cutting@|@katiyo@
@goldsmith's tool@|@jamuri@
@gone to sleep@|@So'gi@
@good@|@ächho, sirai, sulyam@
@good health@|@sata@
@good looking@|@Chokha@
@good looking (female)@|@Chokhi@
@gossip@|@thail@
@Grain@|@kanuka@
@Grain thrown to birds@|@cugera@
@grains@|@Dana@
@Gram fried with ghee@|@bhagatadala@
@grandfather@|@dado@
@grandmother@|@dadi@
@grass with delicious root@|@Mothia@
@Gratis@|@alaphata@
@grazing land@|@bid@
@greasy@|@Chikano@
@great@|@babari@
@Great in value@|@badako@
@greedy@|@lyalyo@
@green and dried twigs@|@Mugdano@
@green fresh leaves of khejri@|@Gobalia@
@grind teeth with rage@|@Jaladi peesai@
@group of five@|@picaka@
@grown up@|@Luntho@
@Grudge@|@kisso@
@guest@|@batewu, mijamana, Panwano@
@gully formed due to rain water@|@Khalo@
@gulp down any liquid@|@naralabo@
@gum@|@Gun@
@gust of wind@|@sanakaro@
@habit@|@calo@
@hailstorm@|@Ola@
@hair of the head left unshaven@|@patta@
@half a sherd of a coconut@|@tokasi@
@hamlet@|@dhanni@
@hand over@|@Sunpo@
@handkerchief@|@nantanu@
@hanger about a chief's house@|@paragai@
@hanger-on@|@sainnu@
@happy@|@manta@
@hard@|@bajya@
@Hard@|@katha@
@Hardened skin@|@antana@
@hardy@|@Chidho@
@hare@|@Khalo@
@Harness of a horse@|@santara@
@harvest@|@nava@
@harvesting@|@Lawani@
@Haste@|@agatape@
@hasty@|@tintyo@
@haughtiness@|@gurro@
@have the monthly courses@|@bhintani vhaibo@
@Having an angry look@|@samsapala@
@Having ears like a winnowing@|@supara@
@Having hair on one's breast@|@chatomai mbala vhabo@
@Having made dry@|@sukera@
@Having the monthly courses@|@phulairo@
@Having the patronage@|@manakayo@
@He@|@u, Woh@
@He ate an apple@|@Woh seb khatam kar diyo@
@He eats an apple@|@Woh seb khato hai@
@He goes@|@Woh ja rayo hai@
@He has eaten@|@Woh kho liyo hai@
@He is eating an apple@|@Woh seb kha rayo hai@
@He slept the whole night@|@Woh saari raat maay soyo@
@He will come@|@Woh aawe lo@
@He will eat@|@Woh khaa si@
@He will go@|@Woh jaa si@
@head@|@Sir@
@Head load of grass for cattle@|@bharauti@
@head-breaker@|@mundapho@
@heap of bajra@|@Punjali@
@heap of gwar pods@|@Dhungari@
@heap of sweepings@|@Kurdi@
@heart@|@Hivado, Kaljo@
@heat@|@tamasa@
@Heat@|@atasa@
@heavy@|@Luntho@
@heavy feminine@|@Sai'li@
@heavy gold ornament@|@Hamel@
@heavy masculine@|@Sai'lo@
@help@|@saharo@
@hemi-spherical ceiling@|@Dholo@
@herb which is a good fodder@|@Sato@
@herbal plant@|@bekario@
@herbal plant with white flower@|@Bui@
@herd of sheep@|@Rewad@
@here@|@adai, aindhai, andai, athai, Ijan, nhyam@
@Here@|@andai, Urai@
@hidden@|@Chhanon@
@Hidden@|@chanu@
@hill@|@dungara, dungara@
@hillock@|@Dungari@
@his@|@Iko@
