@English@|@Uyghur@
@Another cat came to my house@|@Oyimizge yene bir moxuk keldi.@
@ant@|@chümälä, chümüle, qümöle, qümüle@
@antelope@|@böken, žärrän, žegren, žeren@
@Any day will do@|@Khaqan bolsa boleveridu@
@Any different opinion?@|@Ohximighan pikiringiz barmu?@
@Any messages for me?@|@Manga khaldurulghan soz barma?@
@Any questions?@|@Soallar barmu?@
@Any thing else?@|@Baxkha ixingiz barma?@
@Any tickets left?@|@Oxukh billet barmu?@
@Anything to drink?@|@Iqimlik kerekmu?@
@apple@|@alma@
@Appointments@|@Koruxux@
@apricot@|@ürük, ürük@
@April@|@Avril@
@aquila fulva@|@bürküt@
@Are there shops around here?@|@Bu etirapta dukanlar barmu?@
@Are you a native Chinese?@|@Siz Hitayda tughulghanma?@
@Are you a native speaker?@|@Sizning ana-tilingiz?@
@Are you free this Saturday?@|@Siz Xembe kuni bikarma?@
@Are you insane?@|@Kallangdin ajridingmu?@
@Are you kidding?@|@Qahqakh khilivatamsiz?@
@Are you married?@|@Siz toy khilghanmu?@
@Are you sure?@|@Jezmen xundakhma?@
@Are you watching TV now?@|@Siz TV korivatamsiz?@
@Are you with me?@|@Quxendinglarmu?@
@aren't they?@|@Xundakh emesmu?@
@Aren't you concerned about it?@|@Uningdin ensirimidingizma?@
@argali@|@ghulja@
@arm@|@bilek, khol, qol@
@armed@|@khurallikh@
@around@|@etrap@
@arrange@|@jap-@
@arrow@|@oq@
@artery@|@temir, tomur@
@As soon as he comes@|@U kelgen zaman@
@ash@|@kül@
@ashes@|@kül@
@Asking Directions@|@Ehval suruxturux; yol sorax@
@Asking For Help@|@Yardem Telep Khilix@
@At 3 pm@|@Saat 3ke diyixip khoyghanidim@
@At 6 in the morning@|@Etken saat 6de aqidu@
@At 6 o'clock sharp@|@Saat del 6de@
@At about seven@|@Yettiler etirapida@
@At what time?@|@Saat khanqide?@
@August@|@Avghust@
@aunt@|@acha, apa@
@aunt (father side)@|@kiqik ana, kiqik apa@
@aunt (mother side)@|@kiqik ana, kiqip apa@
@autumn@|@küz@
@awl@|@biz@
@axe@|@palta@
@back@|@aqa, arkha, arqa, arqa, art, sirt, ucha@
@back saddlegirth@|@chivilän@
@bad@|@jaman, osal, yaman@
@badger@|@borsuq@
@bag@|@janchuq@
@bald@|@taz@
@bark@|@qobuq, qovzaq@
@barley@|@apa, arpa@
@barren cow@|@qisir@
@bat@|@xepereng@
@be brought together@|@qavuš-@
@Be careful!@|@Dikhkhet!@
@be lazy@|@ješiq@
@Be quiet!@|@Tinq@
@be satisfied@|@una-@
@beads@|@monchaq@
@bear@|@eyikh@
@beard@|@sakhal, saqal@
@beautiful@|@gözäl, qiraylikh-set@
@beaver@|@khunduz@
@become entangled@|@chal-ma-š-@
@become pale@|@ong-, öng-@
@bed@|@kariwat, karvat@
@bee@|@here, heri@
@beer@|@piwa@
@beetle@|@qongGuz@
@Being a mother is not easy@|@Ana bolux asan ix emes@
@Believe it or not!@|@Ixinemsen ixenmemsen; ozendin@
@bell@|@qonghiraq, qonghraq@
@belly@|@qerin@
@beloved@|@amraq@
@belt@|@qor@
@bend@|@qajre-, qari-, qijšaj-@
@better@|@yahxirakh@
@big@|@büjük, chong, johan, qong-kiqik@
@big needle@|@tömünä@
@billion@|@bilyon@
@birch tree@|@qejin@
@bird@|@khux, quš@
@bird of prey@|@sa, sar@
@bitch@|@qanchuq, qanžiq@
@black@|@khara, qara, qare, siya reng@
@Bless you!@|@Salamet bolung@
@blessing@|@alqiš@
@blood@|@khan, qan@
@blue@|@kök@
@boar@|@qavan@
@boat@|@kemä, qéyiq@
@body@|@beden, gevde@
@bone@|@söngäk, söngek@
@book@|@kitab@
@bosom@|@qojyn@
@bother@|@emgek@
@bottom@|@ast@
@Bottoms up!@|@Sokhe rumkini!@
@boundary@|@etiz@
@bow@|@ja@
@brain@|@menge, mingä@
@bran@|@kepek, topan@
@branch@|@chiviq, putaq, tarmaq@
@brave man@|@jigit@
@Bravery and courage@|@Baturlukh ve jüretlik@
@bread@|@nan@
@breast@|@kökräk, köküs, töš@
@breast (fem.)@|@ämchäk, mämä@
@bride@|@kelin@
@bridge@|@köprük, kövrük, köwrük@
@bridle@|@jügän@
@bring into motion@|@jajqa-@
@Bring me the bill please@|@Tamakh hekhini elip keling@
@broad@|@jalpaq@
@brother@|@aka, ini, oghul kherindax, uka@
@brown@|@khungur reng, qongur, qula@
@brush my teeth@|@qiximni qotkilap@
@buck@|@möng-, möngkü-@
@Bug off@|@Neri bara@
@bull@|@bugha, buha, buqa, uj@
@bundle@|@bah@
@busy@|@aldiraq@
@but it's very quiet@|@birakh u jimla yuridu@
@but not quite right@|@birakh digendek toghra emes@
@but the line was busy@|@lekin alghili bolmidi@
@But you sound so sad@|@Konglungiz yerimdek turidighu@
@butterfly@|@kepilek, kepinek@
@buttocks@|@qong@
@button hole@|@salma@
@calf@|@baldir, mozaj@
@Call the doctor!@|@Dohturgha telefon bering!@
@camel@|@bota, tögä, töge@
@camel stallion@|@bohra, buhra@
@camping-site@|@jurt, jut@
@Can I help you?@|@Manga yardem khilsingiz?@
@Can I Help You?@|@sizga yardam kirakmu?@
@Can I use the lift?@|@Liftni ixletsem bolamdu?@
@Can I walk up there?@|@Piyarda baralaymenmu?@
@Can she be a driver?@|@U xopur emestu?@
@Can you came down a bit?@|@Bahasini biraz quxuremsiz?@
@Can you give me hand?@|@Manga yardem beringe?@
@Can You Help Me?@|@manga yardam Qlarsizmu@
@Can you recognize that woman@|@avu ayalni tonudingizmu?@
@Can you stay a little longer?@|@Yene biraz turamsen?@
@Can you write in English?@|@Englizqide makhale yazalamsiz?@
@canary@|@serikh'khuqkhaq@
@Cancer is a deadly disease@|@Rak kesel bir davasiz keseldur@
@candle@|@sham@
@Can't you do anything right?@|@Birer ixni ongxap khilalamsen?@
@cap@|@börk, tumaq@
@caress@|@sipa-@
@carpenter@|@yaghaqqi@
@carry on back@|@art-, at-@
@cartilage@|@kekidäk, kekirdäk@
@cat@|@arslan, möšük, möxük, müshük@
@cattle@|@siyir@
@cave@|@ünggür@
@Certainly@|@Elbette@
@certificate@|@guvahname@
@chalk@|@bo, bor@
@Channel 5 is off the air now@|@Khanal bex tohtapkhaldi@
@chap@|@jehi, jehi(r)@
@chase@|@aw, ö@
@cheap@|@erzen@
@cheek@|@ingek, mengz@
@Cheer up!@|@Bolunglar!@
@cheerful@|@tetik@
@cheese@|@pishlaq@
@cherry@|@gilas, kiraz@
@chick@|@qüje@
@chicken@|@qje, tohu@
@child@|@bala@
@childhood@|@balilikh@
@children@|@bala-chaqa@
@chin@|@éngek, mengze@
@chukkar@|@keklik@
@cicada@|@tomuzgha@
@claw@|@tirnaq@
@clay@|@balchuq@
@clean@|@eriq@
@clear@|@oqukh@
@Close the door after you@|@Ixikni yepip qikhing@
@closed@|@yepikh, yëpikh@
@cloud@|@bulut@
@cloudy@|@bulutlukh@
@clover@|@žumrušqa@
@club-footed@|@majmaq@
@coal@|@kömü, kömür@
@coarse@|@javuz@
@cockered@|@ärkä@
@cockle@|@qarimuq@
@cockroach@|@tarakan@
@coffee@|@qehve@
@cold@|@soghukh, sohaq@
@colostrum@|@ohuz@
@comb my hair@|@qeqimni taraymen@
@Come in@|@Kiring@
@Come on@|@Bole, Kele@
@come out@|@chiq-@
@Come With Me!@|@buyaqqa kiling, man bilan billa minging@
@community@|@toj@
@compact@|@ting@
@completely@|@top@
@comrade@|@yoldax@
@Congratulations!@|@Mubarek bolsun!, Tebrikleymen!@
@Control yourself!@|@Ozengni tutival!@
@copper@|@mis, paqir, žäz@
@corner@|@bulung@
@cotton@|@paxta@
@cotton seed(s)@|@chigit@
@Could you say it again?@|@Yene bir khaytilang?@
@Could you show me on the map?@|@Haritide korsetsingiz bolamdu?@
@Could you wrap it for me@|@Manga orap bersingiz khandakh?@
@Count me on@|@Menimu kirguzup khoy@
@countries and nationalities@|@dolet ve grajdanlikh@
@country@|@äl, il@
@courage@|@jüräk@
@cover@|@qapaq, qapqaq, qobuh@
@cow@|@inäk, inek, kala@
@co-wife@|@kündäš@
@craftsman@|@us@
@crane@|@turna@
@craw@|@poqaq@
@crazy@|@alang, alaq@
@crippled@|@cholaq@
@crocodile@|@timsakh@
@croup skin@|@sahra@
@crow@|@kagha, qagha, qaha, qarha@
@crush@|@soq-@
@cry@|@ahla-, qichqir-@
@cuckoo@|@kakkuk@
@cumin@|@zire@
@cup@|@ajaq, qacha@
@curse@|@qaha-, qarha-@
@Curzon Street?@|@Curzon Koqa?@
@cut in slices@|@til-@
@Cut it out@|@Boldi khile@
@dark@|@kharangghu@
@dates@|@hurma@
@daughter@|@khiz, khiz bala, qiz@
@daughter-in-law@|@kelin@
@Day@|@Kun@
@Days@|@Künler@
@dead@|@ölük@
@death@|@ölüm@
@December@|@Dekabir@
@decisive@|@keskin@
@deed@|@iš@
@deep snow@|@kürt@
@deer@|@kiyik@
@deer male@|@buhu@
@demolish@|@üz-@
@desert@|@chöl, chöl@
@despise@|@tärgi-@
@destroy@|@buz-@
@dictionary@|@lughet@
@Did You Like It Here?@|@siz bu yarni kOramsiz ?@
@Did you miss the bus?@|@Aptovusdin khaldingizma?@
@difficult@|@khiyin@
@dirt@|@kir, saz@
@distant@|@jiraq@
@ditch@|@qerim@
@Do I have to@|@Khilmisam bolmamda?@
@Do I need to be hospitalized?@|@Dohturhanida yetixim kerekma?@
@Do you get much rain in summer@|@Yazda yamghur kop yaghamdu?@
@Do you go on picnics?@|@Siz pikniklerge baramsiz?@
@Do you have a bigger one?@|@Qongaraghi barmu?@
@Do you have a computer?@|@Sizde computer barmu?@
@Do you have a TV guide?@|@Sizde TV nomurliri barmu?@
@Do you have any hobbies?@|@Sizning aditingiz nime?@
@Do you have any more colors?@|@Baxkha rengdikiler barmu?@
@Do you have glue?@|@Sizde xilim barmu?@
@Do you have maps?@|@Harite barmu?@
@Do you have my pencil?@|@Sizde khelem barmu?@
@Do you have shampoo here?@|@Bu dukanda xampo barmu?@
@Do you know Mary?@|@Siz Maryni tonamsiz?@
@Do you know the exact date?@|@Nekh kunni bilemsiz?@
@Do you know what time it is?@|@Saat khanqe boldi; bilensen!@
@Do you know why?@|@Sevebini bilemsiz?@
@Do you often go to a concert?@|@Siz dahim konsertkha baramsiz?@
@Do you plan to do some odd job@|@Khoxumqi ixley devatamsiz?@
@Do you read advertisements too@|@Siz ilanlarni koremsiz?@
@Do you speak English?@|@Englizqe sozlexni bilemsiz?@
@Do you want some fruit?@|@Sizge azrakh mive ekileymu?@
@Does she like ice-cream?@|@U marajonni yahxi koremdu?@
@dog@|@it, ixt@
@doll@|@qochaq, qohurchaq, qorchaq@
@dolphin@|@yunus@
@donkey@|@ešäk, éshek, exek, ixek@
@Don't be so childish@|@Kiqik balidek ixni khilmang@
@Don't be so modest@|@Bek kemter bolup ketmeng@
@Don't be that way!@|@Undakh khilma!@
@Don't bother me@|@Meni avare khilma@
@Don't count on me@|@Mandin umit kutme@
@Don't dream away your time@|@Vahtingni bikar otkuzme@
@Don't fall for it!@|@Uninggha aldanma!@
@Don't give me that!@|@Khoye; undakh gepingni!@
@Don't give me your attitude@|@Menga korenglime@
@Don't give me your excuses@|@Bana tapma@
@Don't give me your shit@|@Khalaymikhan julimigne@
@Don't hesitate any more@|@Ikkilenmeng@
@Don't keep me waiting long@|@Meni bek uzun sahlitivetmeng@
@Don't keep the truth from me@|@Ras gepni mendin yuxurmang@
@Don't let me down@|@Mening umidimni yerde khoyma@
@Don't let this get you down@|@Ozengni yuturup khoyma@
@Don't let this get you down-1@|@Bu ixtin ozengni quxkunlime@
@Don't look at me like that@|@Ademge nimandakh kharaysen!@
@Don't lose your head@|@Kallangni sahla, Ozengni tutival@
@Don't make so much noise@|@Varang-qurung khilmangla@
@Don't move!@|@Khimirlima!@
@Don't nag me!@|@Tola kapximighina!@
@Don't panic!@|@Khorkhma!@
@Don't push me!@|@Meni zorlaveme jumu!@
@Don't talk to me like that!@|@Men bilen undakh gep khilma!@
@Don't touch me there!@|@U yerge qekhilmang!@
@Don't trust to chance!@|@Teleyingni sinap yurme@
@Don't waste my time any more@|@Vahtimni isirap khilmighna!@
@Don't worry@|@Ensirimeng@
@Don't worry about it@|@Hatirjem bolung@
@dormitory@|@yatakh@
@downwards@|@quju@
@drawer@|@tartma@
@dream@|@chüš, tüš@
@drop@|@tamche@
@Drop dead@|@Ole!@
@dry@|@khurukh, qaq, qurhaq, quruq@
@duck@|@ödäk, ördäk, ördek@
@duckmole@|@ödektumxukh@
@dung@|@majaq, tezäk@
@dung beetle@|@tizekqi@
@during the summer@|@yaz pesilliride (yazda)@
@dust@|@toh, toz@
@dye@|@bojaq@
@eagle@|@bürküt@
@ear@|@khulakh, qulaq@
@early@|@etken@
@earmark@|@än@
@earth@|@tupraq@
@earthworm@|@sazung khurut@
@earth-worm@|@chuwalchang@
@East; west; home is best@|@Oyge yetidighan yer yokh@
@easy@|@asan@
@edge@|@jaqa, qihaq, qirhaq@
@edge of cloth@|@etäk@
@egg@|@tuxum@
@egret@|@khutan@
@Ehow do I get to the Museum?@|@körgezmige khandakh bariman?@
@eight@|@sekkiz@
@eighty@|@seksen@
@elbow@|@jeynek@
@elder brother@|@aha, aka@
@elder brother's wife@|@jengge@
@elder sister@|@aqa, hede@
@elephant@|@fil, pil@
@eleven@|@on bir@
@empty@|@boš, box@
@endowment@|@ülüš@
@enemy@|@düshmen@
@Enjoy yourself!@|@Hoxal-horam oynival, Oyunung jayida bolsun!@
@Enough is enough!@|@Emdi boldi khile!@
@entertainment@|@ermäk@
@evening@|@ahxam, axsham, kächä@
@every Friday@|@her jüme@
@Everything has its beginning@|@Hemme ixning baxlinixi bolidu@
@exactly@|@chaq@
@examination@|@tärgäw@
@Example is better than precept@|@Misal sozdin ela bolidu@
@excellent student@|@elaqi@
@Excuse me@|@Kequrung@
@Excuse me Sir.@|@Kequrung ependim@
@Excuse Me...!@|@Kachurung.....!@
@expenditure@|@qikhim@
@expensive@|@khimmet@
@Expression In Class@|@Derslik Jumliler@
@Expressions@|@Ipadiler@
@Expressions of suggestions@|@Telep khoyux@
@eye@|@köz@
@eye pus@|@chapaq@
@eye-ball@|@qarchuq, qarichuq@
@eyebrow@|@khax, qaš@
@eyelash@|@kipik, kirpik@
@eyelid@|@köz khapighi, qawaq@
@face@|@bät, chiray@
@Faith and purity@|@Ixenq ve paklikh@
@falcon@|@tohan@
@family@|@aile@
@far@|@uzaq, yirakh@
@Farms and Factories@|@Perma bilen Zavutlar@
@fast@|@qapsan@
@Fasten your seat belt@|@Belbaghni baghlang@
@fat@|@jah, maj, semiz@
@father@|@ata, dada@
@father-in-law@|@kheyin ata@
@fathom@|@hulach@
@fear@|@wehime@
@feast@|@bajha, bajram@
@February@|@Fevral@
@federation@|@birlexme@
@Feel better?@|@Yahxirakh boldungmu?@
@felt@|@kigiz@
@female camel@|@ingan, inggan@
@fermented milk@|@qimiz@
@fetters@|@kišen@
@Fiancee@|@Nixanlighi@
@fifty@|@ellik@
@file@|@ekäk, igäk@
@finger@|@barmakh, barmaq@
@finger ring@|@üzük@
@fingernail@|@tirnaq@
@fire@|@ot@
@fire steel@|@chaqmaq-taš@
@first@|@bax-ahir, birinqi@
@fish@|@belijan, belikh, belikh, beliq@
@fish trap@|@tuh@
@fishing rod@|@qamaq, qarmaq@
@fit into@|@sih-@
@five@|@Bash, bex@
@five hundred@|@bex yüz@
@Five times four is twenty@|@Bexke tortni köpeytsek yigrime@
@flag@|@bajaq, bajraq, vajraq@
@flat@|@japilaq@
@flea@|@bürgä, bürge@
@float@|@üz-@
@flood@|@kelkün@
@flour@|@un@
@flower@|@chechäk, gül@
@flu@|@tumu@
@fly@|@chivin, uch-@
@foal@|@qulun@
@foaled mare@|@bijä@
@fog@|@bus@
@foggy@|@tomanlikh@
@Follow me@|@Keynimde mening@
@foot@|@ajaq, ayakh, ayaq, put@
@for the sake of@|@üchün@
@forearm@|@biläk, žäjnäk@
@forehead@|@pixane@
@foreign(er)@|@jat@
@Forget about it@|@Untup khiling@
@Forget it!@|@Khoye seni!@
@fortnight@|@yerim ay (on bex kün)@
@forty@|@khirkh, qiq, qirq@
@foul@|@chirik@
@foundation@|@ul, ül@
@four@|@tört, töt@
@four seasons@|@tört pesil@
@fox@|@tülkä, tülke@
@freckles@|@säpgün, säpkä, säpkü@
@free@|@bekar@
@Friday@|@Jüme@
@friend@|@dost@
@Friend!@|@adash, aghin@
@frog@|@baqa, pakha, paqa@
@From 4 to 4:30@|@Saat torttin tort yerimghiqe@
@front@|@ajl, aldi, aldi, öng@
@frost@|@ajaz@
@fruit@|@jemiš@
@full@|@toj-, tola, tolhan, tolukh@
@Full@|@Toluq@
@gadfly@|@köküyün@
@gall@|@öt@
@gappy@|@siräk@
@garden@|@baghche@
@garlic@|@samsaq@
@gate@|@qapla-@
@gather@|@tär/j-@
@gazelle@|@kiyik@
@Get away from me!@|@Mendin neri ture!@
@Get lost@|@Qikhe!@
@Get off my back@|@Tola valakhlima@
@Get out of my face@|@Ikkinqi manga yolukhma@
@Get out of my life@|@Ikkinqi manga yolukhma@
@Get over yourself@|@Ozengni bilmey khalma@
@Get the hell out of here!@|@Qikhe; ma yerdin@
@get to know@|@tani-, tonu-@
@gift@|@bäläk, soha@
@giraffe@|@zirafe, zirape@
@girl@|@qiz@
@Give me a break@|@Boldi khile@
@Give me a definite answer@|@Manga inikh bir javap bering@
@Give me a hand!@|@Manga bir yardem khile!@
@glowing coals@|@choh, choq@
@glue@|@jelim@
@Go ahead take it for $300@|@$300 dollargha elinge@
@Go Straight!@|@udul minging!@
@goat@|@öchke@
@god@|@tängri, tengri@
@gold@|@altun, altun reng@
@good@|@jaqši, yahxi@
@Good Bye!@|@Khayr khosh!@
@Good Evening@|@Kachlikingz khayrilik bolsun@
@Good job!@|@Yahxi ix boldi!@
@Good luck!@|@Teleyingge yarixa bolsun!, Teliying ong bolsun!@
@Good morning@|@Yahximusiz?@
@Good night@|@Hox emise@
@Good Night!@|@Kachlikingz khayrilik bolsun@
@Good try@|@Yahxi oylapsiz@
@Goodbye@|@Hox@
@goose@|@ghaz, haz@
@gooseberry@|@charchaj@
@gopher@|@jumran@
@grandfather@|@buva@
@grandmother@|@muma@
@grandson@|@nevre@
@grape@|@üzüm@
@grapes@|@üzüm@
@grass@|@ot@
@grasshopper@|@chekätkä, qeketke, qiketke@
@gray@|@kül reng@
@green@|@yéshil, yexil@
@Greetings@|@Tixlikh Sorax@
@grey@|@bos, boz@
@greyish blue@|@cheqir@
@Grief and sorrow@|@Hesret ve khayghu@
@griffon vulture@|@kharitaz@
@grind@|@uva-@
@gruel@|@kocha küche@
@Guess what?@|@Ozeng tape khini?@
@guest@|@méhman@
@guilt@|@kesir@
@gull@|@qayka@
@gutter@|@olaq@
@hack@|@chapqu@
@hail@|@toly@
@hair@|@chach, qax, qil, saq@
@hair of head@|@chach@
@Half of kilo tomatoes@|@Yerim kilo pemidur@
@hand@|@el, ilik, khol, khol, qol@
@handful@|@och@
@handle@|@sap@
@hard@|@qetiq, qijin@
@hare@|@qojan, tošqan@
@harvest tax for poor@|@käpsän@
@Has everybody got a sheet?@|@Hemminglarda kheghez barmu?@
@hat@|@qalpaq@
@Have fun!@|@Tamaxa khilayli!@
@Have I made myself clear?@|@Inikh quxendurdummu?@
@Have you decided?@|@Belgilidingizmu?@
@Have you got a bag?@|@Haltingiz barmu?@
@Have you got anything cheaper?@|@Ezenrek nersingiz barmu?@
@Have you reserved your ticket?@|@Beletke yezildingizmu?@
@Have you seen Kate lately?@|@Kateni yekhinda kordungmu?@
@Have you seen the doctor?@|@Siz dohturgha korundingizmu?@
@hawk@|@hurhuj, kharqigha, qarhaj@
@haystack@|@chömülä@
@he@|@u@
@He always talks big@|@U dahim po atidu@
@He came by train@|@U poyuz bilen keldi@
@He came to the point at once@|@U nukhtilikh gep khildi, Ugepning meghizini khildi@
@He can hardly speak@|@U gep khilalmay khaldi, Uning zuvani qikhmay khald@
@He can't take a joke@|@U qahqakh kotirelmeydu@
@he doesn't@|@uningda yokh@
@He doesn't care about me@|@Uning men bilen kari yokh@
@He grasped both my hands@|@U ikki kholumni tutivaldi@
@He has a large income@|@Uning mahaxi yukhuri@
@He has a sense of humor@|@U yomurlukh sozleydu, Uning gepi khizzikh@
@He has a strong accent@|@Uning tili khattikh iken@
@He has completed the task@|@U vezipisini orundudi@
@He has his own practice@|@Ozining duhturhanisi bar@
@He has quite a few friends@|@Uning birmunqe dostliri bar@
@He has that book@|@Uningda xu kitab bar@
@He is a doctor@|@U duhtur@
@He is a smart boy@|@U bir ekhillikh bala iken@
@He is a very creative student@|@U ijadiyetqan bir okhughuqi@
@He is acting an old man@|@U ozini qong korivatidu@
@He is collecting money@|@U pul yighivatidu@
@He is ill in bed@|@U oyde aghrip tatidu@
@He is in his everyday clothes@|@U adettiki kiyimi bilen keptu.@
@He is just a child@|@U pekhet bir bala tursa@
@He is looking for a job@|@U hizmet izdevatidu@
@He is my age@|@U men bilen bir yaxta@
@He is physically mature@|@Uning beden terekhiyati tolukh@
@He is respectful to his elders@|@U qonglarni hormet khilidu@
@He is taller than I by ahead@|@U mendin bir bax egiz@
@He is the happiest man alive@|@U dunyada eng hoxal bir adem@
@He lacks courage@|@U juret khilalmidi@
@He led them down the mountain@|@U ularni taghdin baxlap quxti@
@He looks very healthy@|@Uning salametligi yahxi turidu@
@He majored in Computers@|@U computer kespide okhuydu@
@He owes my uncle $100@|@Taghamning $100 kherzi bar@
@He ran his horse up the hill@|@U atni qapturup dongge qikhti@
@He repaired his house@|@U oyini yasap qikhti@
@He seems at little nervous@|@U biraz jiddilexkendek turidu@
@He speaks with London accent@|@U Londonlikhlardek sozleydiken@
@He strolls about the town@|@U koqida aylinip yuridu@
@He suggested a picnic@|@U piknik khilixni telep khildi@
@He walks with a quick pace@|@U nahayti qapsan mangidu@
@He was absent yesterday@|@U tunogun kelmidi@
@He was born in New York@|@U New Yorkta toghulghan@
@He was efficient in his work@|@U ixni qapsan khilidu@
@He was not a bit tired@|@U pekhet harmidi@
@He was not a little tired@|@U bek herip ketiptu@
@He will do anything but work@|@U ixlextin baxkhini bilmeydu@
@He won an election@|@U saylamda utup qikhti@
@head@|@baš, Bash, bax, khapa@
@healthy@|@sah@
@heap of stones@|@qoram@
@heart@|@yurek@
@heavy@|@eghir, ehir@
@hedgehog@|@kirpe@
@heel@|@ökchä, tapan@
@he-goat@|@tekä@
@he'll cry for a day@|@bu bir kun yighlaydu@
@hello@|@Yahximusiz@
@Hello@|@Alo@
@Hello!@|@Yahximusiz?@
@help@|@kömek@
@Help yourself@|@Heqkhisi yokh@
@hemp@|@kendir@
@hen@|@mékiyan, toho@
@here@|@buyer@
@Here is your change@|@Parqe pulingiz mana@
@Here we are@|@Mana@
@Here you are@|@Mana ala, Mana eling@
@Here!@|@Bar!@
@Here's a gift for you@|@Bu sizge berilgen sogha@
@Here's your change@|@Mana sizning paqa pulingiz@
@heron@|@qaqira@
@He's a manager@|@U baxkhurghuqi@
@He's a very pleasant person@|@U intayin huxhoy adam@
@He's Bob@|@U Bob bolidu@
@He's good at lifting weights@|@U eghirlikh koturuxte yahxi@
@He's my classmate@|@U mening savakhdixim@
@He's not in@|@U kelmidi@
@He's only about five feet high@|@Uning igizligi pekhet bex fit@
@Hi!@|@Salam?, yahshimusiz ?@
@high@|@egiz@
@High rank and royalty@|@Yukhuri derjilik ve hanlikh@
@higher@|@ëgizrek@
@hilltop@|@töpe@
@hilt@|@baldaq@
@His father runs a restaurant@|@Uning dadisi ristirant aqidu@
@His looks are always funny@|@Uni korsemla kulgim kelidu@
@hit@|@itär-@
@hoar-frost@|@qija, qira, qiro@
@Hold on@|@Biraz sahlap turung, Selle ture@
@Hold On Please!@|@birdam kutup turung!@
@hollow@|@quaq@
@honey@|@bal, hesel@
@Honor and loyalty@|@Xohret ve sadakhetlik@
@honorary place in the house@|@tö, tör@
@hoof@|@tuwaq@
@hook@|@ilmaq@
@hoop of a tambourine@|@qasqan@
@hopeless@|@ümidsiz@
@horn@|@münggüz@
@horse@|@arghimakh, at, baytal@
@hot@|@issikh, issiq@
@hour@|@saet@
@house@|@öj, öy@
@How about going to a movie?@|@Kino korup kelsek khandakh?@
@How about Mary?@|@Maryqu?@
@How are things going?@|@Ixlar khandakh ketip baridu@
@How are you doing?@|@Ehvaling yahximu?@
@How are you recently?@|@Ozingiz khandarakh?@
@How are you?@|@Ehvalingiz yahximu?@
@How Are You?@|@Yahshi mu siz ?@
@How can you say that?@|@Bundakh digining nimisi?@
@How dare you!@|@Kheni; khorkhmisang qikhe!@
@How did spend your holiday?@|@Tetilni khandakh otkezdingiz?@
@How did you like it?@|@U yerni yahxi kordingizmu?@
@How do you call this in Englih@|@Buni Englizqide nime deyilidu?@
@How do you do?@|@Ehvaling khandakh?, Yahximusiz!@
@How do you spell it?@|@Khandakh yezilidu?@
@How far is the bus station?@|@Aptovuz bekiti yirakhmu?@
@How fragrant the flowers are!@|@Guller bek mizilik purapketti!@
@How have you been these days?@|@Oz ehvalingiz khandakh?@
@How is your business?@|@Sizning ixingiz khandakh?@
