@English@|@American@
@Tart@|@A Flirt@
@Terrace@|@Bleachers@
@the line's engaged@|@the line's busy@
@The Maenopause@|@Menopause@
@through@|@tru@
@Tin@|@Can@
@to dial(on) STD@|@to dial direct@
@to give way@|@to yield right of way(road)@
@to have finished@|@be(to)through@
@toilet@|@comfort station@
@Toilet@|@bathroom@
@Torch@|@Flashlight@
@town@|@city@
@Trainers@|@Sneakers@
@Trillion@|@Billion@
@trolley@|@cart@
@Trolley@|@Shopping Basket, Shopping Cart@
@Trousers@|@Pants@
@trunk call@|@long distance call@
@Tyre@|@Tire@
@Vest@|@Undershirt@
@vice@|@vise(tool)@
@Waistcoat@|@Vest@
@wallet@|@billfold, wallet@
@Wardrobe@|@Closet (bedroom)@
@Wellies@|@Golashes@
@Wellingtons@|@Golashes@
@Windscreen@|@Windshield@
@zebra crossing@|@pedestrian crossing@
@Zebra Crossing@|@Cross Walk@
@Zed@|@Zee (letter)@

