@English@|@Ojibwe@
@((vii) of =VV > =VV= theme)@|@(vii)+@
@((vii) of inherent plural subject)@|@(viip)@
@((vta) of =' > ='= theme)@|@(vta)C+@
@((vta) of =C > =Cw= theme)@|@(vta)C+w@
@((vta) of =Co > =Cw= theme)@|@(vta)Cw+@
@((vta) of =m > =m= theme)@|@(vta)C+@
@((vta) of =n > =n= theme)@|@(vta)C+@
@((vta) of =s > =s= theme)@|@(vta)C+@
@((vta) of =sh > =S= theme)@|@(vta)S+y@
@((vta) of =shi > =S= theme)@|@(vta)Sy+@
@((vta) of =w > =w= theme)@|@(vta)C+@
@((vta) of =z > =z= theme)@|@(vta)C+@
@((vta) of =zh > =N= theme)@|@(vta)N+y@
@((vta) of =zhi > =N= theme)@|@(vta)Ny+@
@((vta) of inherent plural object)@|@(vtap)@
@((vta) of only inverse property)@|@(vtai)@
@((vti) [(vti1)])@|@(vti)am+@
@((vti) of =aan > =aam=/=aa= theme)@|@(vti4)@
@((vti) of =am > =am=/=aa= theme)@|@(vti) [(vti1)]@
@((vti) of =in > =i= theme)@|@(vti3)@
@((vti) of =oon > =oo= theme)@|@(vti2)@
@((vti) of inherent plural object)@|@(vtip)@
@((vti2)@|@(vti)oo+@
@((vti3))@|@(vti)i+@
@((vti4))@|@(vti)aam+@
@(0) for (neg) (vii)+@|@+sinoon (ga)@
@(0') for (neg) (vii)+@|@+sinini (ga), +sininiw= (ga)(RT)@
@(0) for (neg) (vii)+d@|@+sinoon (ga)@
@(0') for (neg) (vii)+d@|@+sinini (ga), +sininiw= (ga)(RT)@
@(0) for (neg) (vii)+n@|@+sinoon (ga)@
@(0') for (neg) (vii)+n@|@+sinini (ga), +sininiw= (ga)(RT)@
@(0) for (neg) (vii)n+@|@+zinoon (ga)@
@(0') for (neg) (vii)n+@|@+zinini (ga), +zininiw= (ga)(RT)@
@(0) for (vii)+@|@+[none] (ga), +w= (ga)(RT)@
@(0') for (vii)+@|@+ni (ga), +niw= (ga)(RT)@
@(0) for (vii)+d@|@+d (ga)@
@(0') for (vii)+d@|@+dini (ga)@
@(0) for (vii)+n@|@+n (ga)@
@(0') for (vii)+n@|@+ni (ga), +niw= (ga)(RT)@
@(0) for (vii)n+@|@+[none] (ga), +w= (ga)(RT)@
@(0') for (vii)n+@|@+ini (ga), +iniw= (ga)(RT)@
@(0)(cnj) for (neg) (vii)+@|@+sinog (ga)@
@(0')(cnj) for (neg) (vii)+@|@+sininig (ga)@
@(0)(cnj) for (neg) (vii)+d@|@+sinog (ga)@
@(0')(cnj) for (neg) (vii)+d@|@+sininig (ga)@
@(0)(cnj) for (neg) (vii)+n@|@+sinog (ga)@
@(0')(cnj) for (neg) (vii)+n@|@+sininig (ga)@
@(0)(cnj) for (neg) (vii)n+@|@+zinog (ga)@
@(0')(cnj) for (neg) (vii)n+@|@+zininig (ga)@
@(0)(cnj) for (vii)+@|@+g (ga)@
@(0')(cnj) for (vii)+@|@+nig (ga)@
@(0)(cnj) for (vii)+d@|@+k (ga)@
@(0')(cnj) for (vii)+d@|@+dinig (ga)@
@(0)(cnj) for (vii)+n@|@+g (ga)@
@(0')(cnj) for (vii)+n@|@+nig (ga)@
@(0)(cnj) for (vii)n+@|@+g (ga)@
@(0')(cnj) for (vii)n+@|@+inig (ga)@
@(0)(cnj)(dub) for (neg) (vii)+@|@+sinoogwenh (ga), +sinoogwen (ga)(alt)@
@(0')(cnj)(dub) for (neg) (vii)+@|@+sinoonigwenh (ga), +sinoonigwen (ga)(alt)@
@(0)(cnj)(dub) for (neg) (vii)+d@|@+sinoogwenh (ga), +sinoogwen (ga)(alt)@
@(0')(cnj)(dub) for (neg) (vii)+d@|@+sinoonigwenh (ga), +sinoonigwen (ga)(alt)@
@(0)(cnj)(dub) for (neg) (vii)+n@|@+sinoogwenh (ga), +sinoogwen (ga)(alt)@
@(0')(cnj)(dub) for (neg) (vii)+n@|@+sinoonigwenh (ga), +sinoonigwen (ga)(alt)@
@(0)(cnj)(dub) for (neg) (vii)n+@|@+zinoogwenh (ga), +zinoogwen (ga)(alt)@
@(0')(cnj)(dub) for (neg) (vii)n+@|@+zinoonigwenh (ga), +zinoonigwen (ga)(alt)@
@(0)(cnj)(dub) for (vii)+@|@+gwenh (ga), +gwen (ga)(alt)@
@(0')(cnj)(dub) for (vii)+@|@+nigwenh (ga), +nigwen (ga)(alt)@
@(0)(cnj)(dub) for (vii)+d@|@+dogwenh (ga), +dogwen (ga)(alt)@
@(0')(cnj)(dub) for (vii)+d@|@+dinigwenh (ga), +dinigwen (ga)(alt)@
@(0)(cnj)(dub) for (vii)+n@|@+gwenh (ga), +gwen (ga)(alt)@
@(0')(cnj)(dub) for (vii)+n@|@+nigwenh (ga), +nigwen (ga)(alt)@
@(0)(cnj)(dub) for (vii)n+@|@+ogwenh (ga), +ogwen (ga)(alt)@
@(0')(cnj)(dub) for (vii)n+@|@+inigwenh (ga), +inigwen (ga)(alt)@
@(0)(cnj)(prt) for (vii)+@|@+giba (ga)(alt), +giban (ga)@
@(0')(cnj)(prt) for (vii)+@|@+nigiba (ga)(alt), +nigiban (ga)@
@(0)(cnj)(prt) for (vii)+d@|@+giba (ga)(alt), +giban (ga)@
@(0')(cnj)(prt) for (vii)+d@|@+dinigiba (ga)(alt), +dinigiban (ga)@
@(0)(cnj)(prt) for (vii)+n@|@+giban (ga)@
@(0')(cnj)(prt) for (vii)+n@|@+nigiban (ga)@
@(0)(cnj)(prt) for (vii)n+@|@+giba (ga)(alt), +giban (ga)@
@(0')(cnj)(prt) for (vii)n+@|@+inigiba (ga)(alt), +inigiban (ga)@
@(0)(cnj)(prt)(dub) for (vii)+@|@+gobane (ga)(alt), +gobanen (ga)@
@(0')(cnj)(prt)(dub) for (vii)+@|@+nigobane (ga)(alt), +nigobanen (ga)@
@(0)(cnj)(prt)(dub) for (vii)+d@|@+dogobane (ga)(alt), +dogobanen (ga)@
@(0')(cnj)(prt)(dub) for (vii)+d@|@+dinigobane (ga)(alt), +dinigobanen (ga)@
@(0)(cnj)(prt)(dub) for (vii)+n@|@+gobanen (ga)@
@(0')(cnj)(prt)(dub) for (vii)+n@|@+nigobanen (ga)@
@(0)(cnj)(prt)(dub) for (vii)n+@|@+ogobane (ga)(alt), +ogobanen (ga)@
@(0')(cnj)(prt)(dub) for (vii)n+@|@+inigobane (ga)(alt), +inigobanen (ga)@
@(0)(dub) for (vii)+@|@+ dig (ga)@
@(0')(dub) for (vii)+@|@+niwidig (ga)@
@(0)(dub) for (vii)+d@|@+dadig (ga)@
@(0')(dub) for (vii)+d@|@+diniwadig (ga)(NE), +diniwidig (ga)@
@(0)(dub) for (vii)+n@|@+ dig (ga)@
@(0')(dub) for (vii)+n@|@+niwidig (ga)@
@(0)(dub) for (vii)n+@|@+adig (ga)@
@(0')(dub) for (vii)n+@|@+iniwadig (ga)(NE), +iniwidig (ga)@
@(0)(dub)(neg) for (vii)+@|@+sinoodig (ga)@
@(0')(dub)(neg) for (vii)+@|@+sinooniwidig (ga)@
@(0)(dub)(neg) for (vii)+d@|@+sinoodig (ga)@
@(0')(dub)(neg) for (vii)+d@|@+sinooniwidig (ga)@
@(0)(dub)(neg) for (vii)+n@|@+sinoodig (ga)@
@(0')(dub)(neg) for (vii)+n@|@+sinooniwidig (ga)@
@(0)(dub)(neg) for (vii)n+@|@+zinoodig (ga)@
@(0')(dub)(neg) for (vii)n+@|@+zinooniwidig (ga)@
@(0)(prt) for (vii)+@|@+ba (ga)(alt), +ban (ga)@
@(0')(prt) for (vii)+@|@+niba (ga)(alt), +niban (ga)@
@(0)(prt) for (vii)+d@|@+daba (ga)(alt), +daban (ga)@
@(0')(prt) for (vii)+d@|@+diniwaba (ga)(NE)(alt), +diniwaban (ga)(NE), +diniwiba (ga)(alt), +diniwiban (ga)@
@(0)(prt) for (vii)+n@|@+ban (ga)@
@(0')(prt) for (vii)+n@|@+niban (ga)@
@(0)(prt) for (vii)n+@|@+aba (ga)(alt), +aban (ga)@
@(0')(prt) for (vii)n+@|@+iniwaba (ga)(NE)(alt), +iniwaban (ga)(NE), +iniwiba (ga)(alt), +iniwiban (ga)@
@(0)(prt)(dub) for (vii)+@|@+goba (ga)(alt), +goban (ga)@
@(0')(prt)(dub) for (vii)+@|@+nigoba (ga)(alt), +nigoban (ga)@
@(0)(prt)(dub) for (vii)+d@|@+dogoba (ga)(alt), +dogoban (ga)@
@(0')(prt)(dub) for (vii)+d@|@+dinigoba (ga)(alt), +dinigoba (ga)(NE)(alt), +dinigoban (ga), +dinigoban (ga)(NE)@
@(0)(prt)(dub) for (vii)+n@|@+goban (ga)@
@(0')(prt)(dub) for (vii)+n@|@+nigoban (ga)@
@(0)(prt)(dub) for (vii)n+@|@+ogoba (ga)(alt), +ogoban (ga)@
@(0')(prt)(dub) for (vii)n+@|@+inigoba (ga)(alt), +inigoba (ga)(NE)(alt), +inigoban (ga), +inigoban (ga)(NE)@
@(0)>(1)(cnj)(neg)(vta)+m@|@+migosiwaan@
@(0)>(1)(cnj)(neg)(vta)+n@|@+nigosiwaan@
@(0)>(1)(cnj)(neg)(vta)C+@|@+igosiwaan@
@(0)>(1)(cnj)(vta)+m@|@+migoyaan@
@(0)>(1)(cnj)(vta)+n@|@+nigoyaan@
@(0)>(1)(cnj)(vta)C+@|@+igoyaan@
@(0)>(1)(neg)(vta)+m@|@n*+__+migosiin@
@(0)>(1)(neg)(vta)+n@|@n*+__+nigosiin@
@(0)>(1)(neg)(vta)C+@|@n*+__+igosiin@
@(0)>(1)(vta)+m@|@n*+__+migon@
@(0)>(1)(vta)+n@|@n*+__+nigon@
@(0)>(1)(vta)C+@|@n*+__+igon@
@(0)>(1p)(cnj)(neg)(vta)+m@|@+migosiwaang@
@(0)>(1p)(cnj)(neg)(vta)+n@|@+nigosiwaang@
@(0)>(1p)(cnj)(neg)(vta)C+@|@+igosiwaang@
@(0)>(1p)(cnj)(vta)+m@|@+migoyaang@
@(0)>(1p)(cnj)(vta)+n@|@+nigoyaang@
@(0)>(1p)(cnj)(vta)C+@|@+igoyaang@
@(0)>(1p)(neg)(vta)+m@|@n*+__+migosiimin@
@(0)>(1p)(neg)(vta)+n@|@n*+__+nigosiimin@
@(0)>(1p)(neg)(vta)C+@|@n*+__+igosiimin@
@(0)>(1p)(vta)+m@|@n*+__+migomin@
@(0)>(1p)(vta)+n@|@n*+__+nigomin@
@(0)>(1p)(vta)C+@|@n*+__+igomin@
@(0)>(2)(cnj)(neg)(vta)+m@|@+migosiwan@
@(0)>(2)(cnj)(neg)(vta)+n@|@+nigosiwan@
@(0)>(2)(cnj)(neg)(vta)C+@|@+igosiwan@
@(0)>(2)(cnj)(vta)+m@|@+migoyan@
@(0)>(2)(cnj)(vta)+n@|@+nigoyan@
@(0)>(2)(cnj)(vta)C+@|@+igoyan@
@(0)>(2)(neg)(vta)+m@|@g*+__+migosiin@
@(0)>(2)(neg)(vta)+n@|@g*+__+nigosiin@
@(0)>(2)(neg)(vta)C+@|@g*+__+igosiin@
@(0)>(2)(vta)+m@|@g*+__+migon@
@(0)>(2)(vta)+n@|@g*+__+nigon@
@(0)>(2)(vta)C+@|@g*+__+igon@
@(0)>(21)(cnj)(neg)(vta)+m@|@+migosiwang@
@(0)>(21)(cnj)(neg)(vta)+n@|@+nigosiwang@
@(0)>(21)(cnj)(neg)(vta)C+@|@+igosiwang@
@(0)>(21)(cnj)(vta)+m@|@+migoyang@
@(0)>(21)(cnj)(vta)+n@|@+nigoyang@
@(0)>(21)(cnj)(vta)C+@|@+igoyang@
@(0)>(21)(neg)(vta)+m@|@g*+__+migosiimin@
@(0)>(21)(neg)(vta)+n@|@g*+__+nigosiimin@
@(0)>(21)(neg)(vta)C+@|@g*+__+igosiimin@
@(0)>(21)(vta)+m@|@g*+__+migomin@
@(0)>(21)(vta)+n@|@g*+__+nigomin@
@(0)>(21)(vta)C+@|@g*+__+igomin@
@(0)>(2p)(cnj)(neg)(vta)+m@|@+migosiweg@
@(0)>(2p)(cnj)(neg)(vta)+n@|@+nigosiweg@
@(0)>(2p)(cnj)(neg)(vta)C+@|@+igosiweg@
@(0)>(2p)(cnj)(vta)+m@|@+migoyeg@
@(0)>(2p)(cnj)(vta)+n@|@+nigoyeg@
@(0)>(2p)(cnj)(vta)C+@|@+igoyeg@
@(0)>(2p)(neg)(vta)+m@|@g*+__+migosiinaawaa@
@(0)>(2p)(neg)(vta)+n@|@g*+__+nigosiinaawaa@
@(0)>(2p)(neg)(vta)C+@|@g*+__+igosiinaawaa@
@(0)>(2p)(vta)+m@|@g*+__+migonaawaa@
@(0)>(2p)(vta)+n@|@g*+__+nigonaawaa@
@(0)>(2p)(vta)C+@|@g*+__+igonaawaa@
@(0)>(3)(cnj)(neg)(vta)+m@|@+migosig@
@(0)>(3')(cnj)(neg)(vta)+m@|@+migosinig@
@(0)>(3)(cnj)(neg)(vta)+n@|@+nigosig@
@(0)>(3')(cnj)(neg)(vta)+n@|@+nigosinig@
@(0)>(3)(cnj)(neg)(vta)C+@|@+igosig@
@(0)>(3')(cnj)(neg)(vta)C+@|@+igosinig@
@(0)>(3)(cnj)(vta)+m@|@+migod@
@(0)>(3')(cnj)(vta)+m@|@+migonid@
@(0)>(3)(cnj)(vta)+n@|@+nigod@
@(0)>(3')(cnj)(vta)+n@|@+nigonid@
@(0)>(3)(cnj)(vta)C+@|@+igod@
@(0)>(3')(cnj)(vta)C+@|@+igonid@
@(0)>(3)(neg)(vta)+m@|@w*+__+migosiin@
@(0)>(3')(neg)(vta)+m@|@w*+__+migosiinini@
@(0)>(3)(neg)(vta)+n@|@w*+__+nigosiin@
@(0)>(3')(neg)(vta)+n@|@w*+__+nigosiinini@
@(0)>(3)(neg)(vta)C+@|@w*+__+igosiin@
@(0)>(3')(neg)(vta)C+@|@w*+__+igosiinini@
@(0)>(3)(vta)+m@|@w*+__+migon@
@(0)>(3')(vta)+m@|@w*+__+migonini@
@(0)>(3)(vta)+n@|@w*+__+nigon@
@(0)>(3')(vta)+n@|@w*+__+nigonini@
@(0)>(3)(vta)C+@|@w*+__+igon@
@(0)>(3')(vta)C+@|@w*+__+igonini@
@(0)>(3p)(cnj)(neg)(vta)+m@|@+migosigwaa@
@(0)>(3p)(cnj)(neg)(vta)+n@|@+nigosigwaa@
@(0)>(3p)(cnj)(neg)(vta)C+@|@+igosigwaa@
@(0)>(3p)(cnj)(vta)+m@|@+migowaad@
@(0)>(3p)(cnj)(vta)+n@|@+nigowaad@
@(0)>(3p)(cnj)(vta)C+@|@+igowaad@
@(0)>(3p)(neg)(vta)+m@|@w*+__+migosiinaawaan@
@(0)>(3p)(neg)(vta)+n@|@w*+__+nigosiinaawaan@
@(0)>(3p)(neg)(vta)C+@|@w*+__+igonaawaan@
@(0)>(3p)(vta)+m@|@w*+__+migonaawaan@
@(0)>(3p)(vta)+n@|@w*+__+nigonaawaan@
@(0)>(3p)(vta)C+@|@w*+__+igonaawaan@
@(0ip) for (pr)C+@|@+an (sf)@
@(0p) for (n)(pt)C+@|@+in (sf) /default/@
@(0p) for (n)(pt)d+ > ø+@|@+jin (sf) /default/@
@(0p) for (n)C+@|@+an (sf) /default/@
@(0p) for (n)C+A [(loc) provided]@|@+an (sf) /default/@
@(0p) for (n)C+w in o@|@+on (sf) /default/@
@(0p) for (n)C+w in oo@|@+oon (sf) /default/@
@(0p) for (n)C+w in wa@|@+wan (sf) /default/@
@(0p) for (n)C+wy@|@+wiin (sf) /default/@
@(0p) for (n)C+y@|@+iin (sf) /default/@
@(0p) for (n)Cy+@|@+in (sf) /default/@
@(0p) for (n)ii+@|@+yan (sf)(SE/PO/CS) /default/@
@(0p) for (n)nh+ > nø+@|@+yan (sf) /default/@
@(0p) for (n)V+@|@+wan (sf) /default/@
@(0p) for (n)VV+@|@+n (sf) /default/@
@(0p) for (neg) (vii)+@|@+sinoon (ga)@
@(0'p) for (neg) (vii)+@|@+sininiwan (ga)@
@(0p) for (neg) (vii)+d@|@+sinoon (ga)@
@(0'p) for (neg) (vii)+d@|@+sininiwan (ga)@
@(0p) for (neg) (vii)+n@|@+sinoon (ga)@
@(0'p) for (neg) (vii)+n@|@+sininiwan (ga)@
@(0p) for (neg) (vii)n+@|@+zinoon (ga)@
@(0'p) for (neg) (vii)n+@|@+zininiwan (ga)@
@(0'p) for (pr)C+@|@+an (sf)@
@(0p) for (pr)V+@|@+g (sf), +n (sf)@
@(0p) for (pr)V+w@|@+wag (sf)@
@(0p) for (vii)+@|@+noon (ga)(SE), +wan (ga)@
@(0'p) for (vii)+@|@+niwan (ga)@
@(0p) for (vii)+d@|@+doon (ga)@
@(0'p) for (vii)+d@|@+diniwan (ga)@
@(0p) for (vii)+n@|@+wan (ga)@
@(0'p) for (vii)+n@|@+niwan (ga)@
@(0p) for (vii)n+@|@+oon (ga)@
@(0'p) for (vii)n+@|@+iniwan (ga)@
@(0p)(cnj) for (neg) (vii)+@|@+sinog (ga)@
@(0'p)(cnj) for (neg) (vii)+@|@+sininig (ga)@
@(0p)(cnj) for (neg) (vii)+d@|@+sinog (ga)@
@(0'p)(cnj) for (neg) (vii)+d@|@+sininig (ga)@
@(0p)(cnj) for (neg) (vii)+n@|@+sinog (ga)@
@(0'p)(cnj) for (neg) (vii)+n@|@+sininig (ga)@
@(0p)(cnj) for (neg) (vii)n+@|@+zinog (ga)@
@(0'p)(cnj) for (neg) (vii)n+@|@+zininig (ga)@
@(0p)(cnj) for (vii)+@|@+g (ga)@
@(0'p)(cnj) for (vii)+@|@+nig (ga)@
@(0p)(cnj) for (vii)+d@|@+k (ga)@
@(0'p)(cnj) for (vii)+d@|@+dinig (ga)@
@(0p)(cnj) for (vii)+n@|@+g (ga)@
@(0'p)(cnj) for (vii)+n@|@+nig (ga)@
@(0p)(cnj) for (vii)n+@|@+g (ga)@
@(0'p)(cnj) for (vii)n+@|@+inig (ga)@
@(0p)(cnj)(dub) for (neg) (vii)+@|@+sinoogwenh (ga), +sinoogwen (ga)(alt)@
@(0'p)(cnj)(dub) for (neg) (vii)+@|@+sinoonigwenh (ga), +sinoonigwen (ga)(alt)@
@(0p)(cnj)(dub) for (neg) (vii)+d@|@+sinoogwenh (ga), +sinoogwen (ga)(alt)@
@(0'p)(cnj)(dub) for (neg) (vii)+d@|@+sinooinigwenh (ga), +sinoonigwen (ga)(alt)@
@(0p)(cnj)(dub) for (neg) (vii)+n@|@+sinoogwenh (ga), +sinoogwen (ga)(alt)@
@(0'p)(cnj)(dub) for (neg) (vii)+n@|@+sinoonigwenh (ga), +sinoonigwen (ga)(alt)@
@(0p)(cnj)(dub) for (neg) (vii)n+@|@+zinoogwenh (ga), +zinoogwen (ga)(alt)@
@(0'p)(cnj)(dub) for (neg) (vii)n+@|@+zinoonigwenh (ga), +zinoonigwen (ga)(alt)@
@(0p)(cnj)(dub) for (vii)+@|@+gwenh (ga), +gwen (ga)(alt)@
@(0'p)(cnj)(dub) for (vii)+@|@+nigwenh (ga), +nigwen (ga)(alt)@
@(0p)(cnj)(dub) for (vii)+d@|@+dogwenh (ga), +dogwen (ga)(alt)@
@(0'p)(cnj)(dub) for (vii)+d@|@+dinigwenh (ga), +dinigwen (ga)(alt)@
@(0p)(cnj)(dub) for (vii)+n@|@+gwenh (ga), +gwen (ga)(alt)@
@(0'p)(cnj)(dub) for (vii)+n@|@+nigwenh (ga), +nigwen (ga)(alt)@
@(0p)(cnj)(dub) for (vii)n+@|@+ogwenh (ga), +ogwen (ga)(alt)@
@(0'p)(cnj)(dub) for (vii)n+@|@+inigwenh (ga), +inigwen (ga)(alt)@
@(0p)(cnj)(prt) for (vii)+@|@+giba (ga)(alt), +giban (ga)@
@(0'p)(cnj)(prt) for (vii)+@|@+nigiba (ga)(alt), +nigiban (ga)@
@(0p)(cnj)(prt) for (vii)+d@|@+giba (ga)(alt), +giban (ga)@
@(0'p)(cnj)(prt) for (vii)+d@|@+dinigiba (ga)(alt), +dinigiban (ga)@
@(0p)(cnj)(prt) for (vii)+n@|@+giban (ga)@
@(0'p)(cnj)(prt) for (vii)+n@|@+nigiban (ga)@
@(0p)(cnj)(prt) for (vii)n+@|@+giba (ga)(alt), +giban (ga)@
@(0'p)(cnj)(prt) for (vii)n+@|@+inigiba (ga)(alt), +inigiban (ga)@
@(0p)(cnj)(prt)(dub) for (vii)+@|@+gobane (ga)(alt), +gobanen (ga)@
@(0'p)(cnj)(prt)(dub) for (vii)+@|@+nigobane (ga)(alt), +nigobanen (ga)@
@(0p)(cnj)(prt)(dub) for (vii)+d@|@+dogobane (ga)(alt), +dogobanen (ga)@
@(0'p)(cnj)(prt)(dub) for (vii)+d@|@+dinigobane (ga)(alt), +dinigobanen (ga)@
@(0p)(cnj)(prt)(dub) for (vii)+n@|@+gobanen (ga)@
@(0'p)(cnj)(prt)(dub) for (vii)+n@|@+nigobanen (ga)@
@(0p)(cnj)(prt)(dub) for (vii)n+@|@+ogobane (ga)(alt), +ogobanen (ga)@
@(0'p)(cnj)(prt)(dub) for (vii)n+@|@+inigobane (ga)(alt), +inigobanen (ga)@
@(0p)(dub) for (vii)+@|@+ digenan (ga)@
@(0'p)(dub) for (vii)+@|@+niwidigenan (ga)@
@(0p)(dub) for (vii)+d@|@+dadigenan (ga)@
@(0'p)(dub) for (vii)+d@|@+diniwadigenan (ga)(NE), +diniwidigenan (ga)@
@(0p)(dub) for (vii)+n@|@+ digenan (ga)@
@(0'p)(dub) for (vii)+n@|@+niwidigenan (ga)@
@(0p)(dub) for (vii)n+@|@+adigenan (ga)@
@(0'p)(dub) for (vii)n+@|@+iniwadigenan (ga)(NE), +iniwidigenan (ga)@
@(0p)(dub)(neg) for (vii)+@|@+sinoodigenan (ga)@
@(0'p)(dub)(neg) for (vii)+@|@+sinooniwidigegan (ga)@
@(0p)(dub)(neg) for (vii)+d@|@+sinoodigenan (ga)@
@(0'p)(dub)(neg) for (vii)+d@|@+sinooniwidigegan (ga)@
@(0p)(dub)(neg) for (vii)+n@|@+sinoodigenan (ga)@
@(0'p)(dub)(neg) for (vii)+n@|@+sinooniwidigegan (ga)@
@(0p)(dub)(neg) for (vii)n+@|@+zinoodigenan (ga)@
@(0'p)(dub)(neg) for (vii)n+@|@+zinooniwidigegan (ga)@
@(0p)(prt) for (vii)+@|@+baniin (ga)@
@(0'p)(prt) for (vii)+@|@+nibaniin (ga)@
@(0p)(prt) for (vii)+d@|@+dabaniin (ga)@
@(0'p)(prt) for (vii)+d@|@+diniwabaniin (ga)(NE), +diniwibaniin (ga)@
@(0p)(prt) for (vii)+n@|@+baniin (ga)@
@(0'p)(prt) for (vii)+n@|@+nibaniin (ga)@
@(0p)(prt) for (vii)n+@|@+abaniin (ga)@
@(0'p)(prt) for (vii)n+@|@+iniwabaniin (ga)(NE), +iniwibaniin (ga)@
@(0p)(prt)(dub) for (vii)+@|@+gobaniin (ga)@
@(0'p)(prt)(dub) for (vii)+@|@+nigobaniin (ga)@
@(0p)(prt)(dub) for (vii)+d@|@+ digobaniin (ga)@
@(0'p)(prt)(dub) for (vii)+d@|@+dinigobaniin (ga), +dinigobaniin (ga)(NE)@
@(0p)(prt)(dub) for (vii)+n@|@+gobaniin (ga)@
@(0'p)(prt)(dub) for (vii)+n@|@+nigobaniin (ga)@
@(0p)(prt)(dub) for (vii)n+@|@+ogobaniin (ga)@
@(0'p)(prt)(dub) for (vii)n+@|@+inigobaniin (ga), +inigobaniin (ga)(NE)@
@(0p)>(1)(cnj)(neg)(vta)+m@|@+migosiwaan@
@(0p)>(1)(cnj)(neg)(vta)+n@|@+nigosiwaan@
@(0p)>(1)(cnj)(neg)(vta)C+@|@+igosiwaan@
@(0p)>(1)(cnj)(vta)+m@|@+migoyaan@
@(0p)>(1)(cnj)(vta)+n@|@+nigoyaan@
@(0p)>(1)(cnj)(vta)C+@|@+igoyaan@
@(0p)>(1)(neg)(vta)+m@|@n*+__+migosiinan@
@(0p)>(1)(neg)(vta)+n@|@n*+__+nigosiinan@
@(0p)>(1)(neg)(vta)C+@|@n*+__+igosiinan@
@(0p)>(1)(vta)+m@|@n*+__+migonan@
@(0p)>(1)(vta)+n@|@n*+__+nigonan@
@(0p)>(1)(vta)C+@|@n*+__+igonan@
@(0p)>(1p)(cnj)(neg)(vta)+m@|@+migosiwaang@
@(0p)>(1p)(cnj)(neg)(vta)+n@|@+nigosiwaang@
@(0p)>(1p)(cnj)(neg)(vta)C+@|@+igosiwaang@
@(0p)>(1p)(cnj)(vta)+m@|@+migoyaang@
@(0p)>(1p)(cnj)(vta)+n@|@+nigoyaang@
@(0p)>(1p)(cnj)(vta)C+@|@+igoyaang@
@(0p)>(1p)(neg)(vta)+m@|@n*+__+migosiimin@
@(0p)>(1p)(neg)(vta)+n@|@n*+__+nigosiimin@
@(0p)>(1p)(neg)(vta)C+@|@n*+__+igosiimin@
@(0p)>(1p)(vta)+m@|@n*+__+migomin@
