@Georgian@|@English@
@აგარაკები@|@bowers, camps, dachas@
@აგარაკი@|@bower, camp, dacha@
@აგდებს@|@chucking, chucks, extrudes, extruding, ousting, ousts,@
@აგდებს, ამხობს@|@overturning, overturns@
@აგდებს, რიცხავს@|@excludes, excluding@
@აგდებს, ცვივა@|@sloughing, sloughs@
@აგდებულად@|@disparagingly@
@აგდებულად ეუბნება უარს@|@spurning, spurns@
@აგდებულად უთხრა უარი@|@spurned@
@აგდებული@|@contemptuous@
@აგდებული დაცინვა@|@jeer@
@აგდებული დაცინვები@|@jeers@
@აგდებული უარის თქმა@|@spurn@
@აგება@|@engineer@
@აგებინებს@|@apprises, apprising@
@აგებს@|@engineering, engineers, loses, losing, paves, paving,@
@აგებულება@|@conformation, constitution@
@აგებულებები@|@conformations, constitutions@
@აგებული@|@engineered@
@აგენტები@|@agents@
@აგენტი@|@agent@
@აგენტურა@|@espionage@
@აგერებს@|@inhibits@
@აგვისტო@|@August@
@აგვისტოს@|@august@
@აგზავნის@|@bundles, despatches, despatching, dispatches,@
@აგზნება@|@excite, ferment, stimulate, stimulation@
@აგზნება, აღელვება@|@excitement@
@აგზნებადობა@|@excitability@
@აგზნებები@|@stimulations@
@აგზნებულად@|@feverishly@
@აგზნებულად, აღელვებულად@|@excitedly@
@აგზნებული@|@excited, stimulated@
@აგზნებულობა@|@dither@
@აგზნებულობა გამოიწვია@|@dithered@
@აგზნებულობას იწვევს@|@dithering, dithers@
@აგზნებულობის გამოწვევა@|@dither@
@აგიზგიზებული@|@aglow, flamed@
@აგინებს@|@berates@
@აგიჟებს@|@maddening, maddens@
@აგირავებს@|@hocking, hocks, mortgages, mortgaging, pawning, pawns,@
@აგიტატორები@|@agitators@
@აგიტატორი@|@agitator@
@აგლომერატული@|@agglomerate@
@აგლომერაცია@|@agglomeration, conurbation@
@აგლომერაციები@|@conurbations@
@აგნოსტიკოსები@|@agnostics@
@აგნოსტიკოსი@|@agnostic, nescient@
@აგნოსტიკური@|@agnostic@
@აგნოსტიციზმი@|@agnosticism@
@აგონებდა@|@resembled@
@აგონებს@|@resembles, resembling@
@აგონია@|@agony@
@აგორა@|@agora@
@აგორაფობია@|@agoraphobia@
@აგორებს@|@bowls, trundles, trundling, wheeling, wheels@
@აგრავირებს@|@hatches@
@აგრარი@|@agrarian@
@აგრეთვე@|@both, either, item, too@
@აგრესიულად@|@aggressively, belligerently@
@აგრესიული@|@aggressive, belligerent@
@აგრესიულობა@|@aggressiveness@
@აგრესორები@|@aggressors@
@აგრესორი@|@aggressor@
@აგრილებს@|@cooling, cools@
@აგრის ჩამომწევი მეზღვაურები@|@reefers@
@აგროვებდა@|@collected@
@აგროვებს@|@collecting, collects, gathering, gathers, lumping,@
@აგრძელებს@|@continues, continuing, elongates, elongating,@
@აგურგამოსაწვავი ღუმელები@|@brickkilns@
@აგურგამოსაწვავი ღუმელი@|@brickkiln@
@აგურები@|@bricks@
@აგურებით აშენებს@|@bricks@
@აგურების დაწყობა@|@brick@
@აგურებს აწყობს@|@bricks@
@აგური@|@brick, diamonds@
@აგურით ამოშენება@|@brick@
@აგურით ამოშენებული@|@bricked@
@აგურის ნამტვრევები@|@brickbats@
@აგურის ნამტვრევი@|@brickbat@
@აგურის ქარხანა@|@brick-field, brickwork@
@აგურის ქარხნები@|@brick-fields, brickworks@
@-ად, - ით@|@for@
@ადამი@|@Adam@
@ადამიან თა ჯგუფები@|@gangs@
@ადამიანები@|@beings, folk, humans, jacks, persons@
@ადამიანები, ან საგნები, რომელთაც უბედურება მოაქთს@|@jinxes@
@ადამიანები, რომელთაც პრეტენზია აქვთ ინტელექტუალობაზე@|@highbrows@
@ადამიანები, რომლებიც არარეგულარულად მუშაობენ@|@jobbers@
@ადამიანები, რომლებიც ბევრს მოგზაურობენ@|@globetrotters@
@ადამიანები, რომლებიც თავს არიდებენ თავის მოვალეობებს@|@wrigglers@
@ადამიანები, რომლებიც თავს არიდებენ რაიმეს@|@shirkers@
@ადამიანები, რომლებიც საქონლის შესაღებას ცდილობენ@|@touts@
@ადამიანები, რომლებიც სხვებს უმწარებენ სიამოვნებას@|@killjoys@
@ადამიანთა მოდგმა@|@mankind@
@ადამიანთა შეჯგუფება@|@clump@
@ადამიანთა შეჯგუფებები@|@clumps@
@ადამიანთა ჯგუფი@|@gang@
@ადამიანი@|@being, human, jack, person@
@ადამიანი@|@chaperon@
@ადამიანი, ან საგანი, რომელსაც უბედურება მოაქვს@|@jinx@
@ადამიანი, რომელიც არარეგულარულად მუშაობს@|@jobber@
@ადამიანი, რომელიც ბევრს მოგზაურობს@|@globetrotter@
@ადამიანი, რომელიც თავს არიდებს თავის მოვალეობებს@|@wriggler@
@ადამიანი, რომელიც თავს არიდებს რაიმეს@|@shirker@
@ადამიანი, რომელიც მუდმივად ერთ ადგილას არ ცხოვრობს@|@nonresident@
@ადამიანი, რომელიც საქონლის შესაღებას ცდილობს@|@tout@
@ადამიანი, რომელიც სხვებს უმწარებს სიამოვნებას@|@killjoy@
@ადამიანი, რომელსაც პრეტენზია აქვს ინტელექტუალობაზე@|@highbrow@
@ადამიანი, რომელსაც ძაფები უჭირავს@|@wirepuller@
@ადამიანის მსგავსი@|@anthropoid@
@ადამიანის მსგავსი მაიმუნი@|@anthropoid@
@ადამიანის წონა@|@avoirdupois@
@ადამიანისკვლა@|@manslaughter@
@ადამიანურ სახედაკარგული@|@dehumanized@
@ადამიანურ სახეს აკარგვინებს@|@dehumanizes, dehumanizing@
@ადამიანურად@|@humanly@
@ადამიანური@|@human@
@ადამიანური სახე დააკარგვინა@|@dehumanized@
@ადამიანური სახის დაკარგვინება@|@dehumanize@
@ადანაშაულებს@|@inculpates, inculpating@
@ადაპტაცია@|@adaptation@
@ადაპტაციები@|@adaptations@
@ადაპტირება@|@adapted@
@ადაპტირება გაუკეთა@|@adapted@
@ადაჟიო@|@adagio@
@ადაჟიოები@|@adagios@
@ადარდიანებს@|@discourages, discouraging@
@ადარებს@|@collates, collating, compares, comparing@
@ადასტურებს@|@affirming, affirms, authenticates, authenticating,@
@ადგება@|@mooring, moors@
@ადგენს@|@ascertaining, ascertains, compiles, compiling, enacting,@
@ადგილები@|@locales, locals, places, stations@
@ადგილები ბუხართან@|@firesides@
@ადგილები პარლამენტში@|@benches@
@ადგილები პარტერში@|@stalls@
@ადგილები პრესის წარმომადგენლებისათვის@|@press-boxes, pressgalleries@
@ადგილები სდაც პულს თამაშობენ@|@poolrooms@
@ადგილები ცეცხლთან@|@ingle-nooks@
@ადგილები, გუბეები სადაც საქონელი გორაობს@|@wallows@
@ადგილები, სადაც ბაზრობები ეწყობა ხოლმე@|@fairgrounds@
@ადგილები,სადაც უწესრიგოდ ყრია უსარგებლო ნივტები@|@glory-holes@
@ადგილებიდან@|@chucker-out@
@ადგილზე ბრუნი@|@facings@
@ადგილი@|@local, locale, place, station@
@ადგილი ამოირჩია@|@sited@
@ადგილი ბუხართან@|@fireside@
@ადგილი პარლამენტში@|@bench@
@ადგილი პარტერში@|@stall@
@ადგილი პრესის წარმომადგენლებისათვის@|@press-box, press-gallery@
@ადგილი სადაც პულს თამაშობენ@|@poolroom@
@ადგილი ცეცხლთან@|@ingle-nook@
@ადგილი, გუბე სადაც საქონელი გორაობს@|@wallow@
@ადგილი, სადაც ბაზრობები ეწყობა ხოლმე@|@fairground@
@ადგილი, სადაც უწესრიგოდ ყრია უსარგებლო ნივტები@|@glory-hole@
@ადგილის ამორჩევა@|@site@
@ადგილმდებარეობა@|@locality, locus, site@
@ადგილმდებარეობა განსაზღვრა@|@located, positioned@
@ადგილმდებარეობაგანსაზღვრული@|@located, positioned@
@ადგილმდებარეობას განსაზღვრავს@|@positioning, positions@
@ადგილმდებარეობას საზღვრავს@|@locates, locating@
@ადგილმდებარეობები@|@localities, loci, sites@
@ადგილმდებარეობის განსაზღვრა@|@locate, location, position@
@ადგილობრივად@|@topically@
@ადგილობრივი@|@local, topical, vernacular@
@ადგილობრივი გადასახადებისაგან ათავისუფლებს@|@derates, derating@
@ადგილობრივი გადასახადებისაგან განთავისუფლდა@|@derated@
@ადგილობრივი გადასახადებისაგან განთავისუფლება@|@derate@
@ადგილობრივი გადასახადებისაგან განთავისუფლებული@|@derated@
@ადგილობრივი ინტერესები@|@localisms@
@ადგილობრივი ინტერესი@|@localism@
@ადგილობრივი კილო@|@patois@
@ადგილობრივი მკვიდრები@|@natives@
@ადგილობრივი მკვიდრი@|@indigenous, native@
@ადგილობრივი წარმოების@|@home-grown, home-made@
@ადგილობრივი ხელისუფლების ორგანოთა განკარგულება@|@bye-law, bylaw@
@ადგილობროვო ხელისუფლების ორგანოთა განკარგულებები@|@bye-laws,@
@ადგილს ირჩევს@|@sites, siting@
@ადგომა@|@rise, rising, stand@
@ადგომები@|@risings@
@ადგომის დრო@|@reveille@
@ადებს@|@superimposes, superimposing@
@ადეკვატურად@|@adequately@
@ადეკვატური@|@adequate@
@ადეკვატურობა@|@adequacy@
@ადელაიდა@|@Adelaide@
@ადემიკრატიულებს@|@democratizes@
@ადემოკრატიულებს@|@democratizing@
@ადენოიდები@|@adenoids@
@ადენოიდური@|@adenoidal@
@ადეპტი@|@adept@
@ადვენტისტები@|@Adventists@
@ადვენტისტი@|@Adventist@
@ადვილაალებადი@|@combustible@
@ადვილად აალებადი@|@inflammable@
@ადვილად აგზნებადი@|@excitable@
@ადვილად მისადგომი@|@approachable@
@ადვილად მიღწევა@|@get-at-able@
@ადვილად მოსანელებელი@|@digestible@
@ადვილად რომ აწყენინებ@|@assailable@
@ადვილად რომ უშვებს შეცდომებს@|@fallible@
@ადვილად რომ ღიზიანდება@|@fretful@
@ადვილად რომ შეუყვარდება ხოლმე@|@amorous@
@ადვილად შემგუებელი@|@adaptable@
@ადვილადაალებადი საგანი@|@tinderbox@
@ადვილადაალებადი საგნები@|@tinderboxes@
@ადვილი@|@cushy, facile@
@ადვილი გამარჯვება@|@walkaway, walkover@
@ადვილი გამარჯვებები@|@walkaways, walkovers@
@ადვილი სიკვდილი@|@euthanasia@
@ადვილმონელებადობა@|@digestibility@
@ადვოკატები@|@advocates, barristers, attorneys, lawyers@
@ადვოკატთან მოლაპარაკება@|@retainer@
@ადვოკატთან მოლაპარაკებები@|@retainers@
@ადვოკატი@|@barrister, attorney, lawyer@
@ადიანტუმები@|@maidenhairs@
@ადიანტუმი@|@maidenhair@
@ადიდებს@|@aggrandizes, aggrandizing, augmenting, augments,@
@ადის@|@ascending, ascends, levitates, levitating, mounting,@
@ადის აბება@|@Addis Ababa@
@ადიულტერები@|@adulteries@
@ადიულტერი@|@adultery@
@ადიუნკტები@|@adjuncts@
@ადიუნკტი@|@adjunct@
@ადიუტანტები@|@adjutants@
@ადიუტანტი@|@adjutant@
@ადმაიანი, რომელიც თავის შინაგან სამყაროზე აქვს გულისყური@|@introvert@
@ადმინისტრატორები@|@administrators@
@ადმინისტრატორი@|@administrator@
@ადმინისტრაცია@|@administration@
@ადმინისტრაციები@|@administrations@
@ადმინისტრაციულად@|@administratively@
@ადმინისტრაციული@|@administrative@
@ადმირალები@|@admirals@
@ადმირალი@|@admiral@
@ადნობდა@|@fused@
@ადნობს@|@fuses, fusing, fuzes, melting, melts, smelting, smelts@
@ადრე@|@betimes, early@
@ადრე, მალე@|@ere@
@ადრენალინი@|@adrenalin@
@ადრესატები@|@addressees@
@ადრესატი@|@addressee@
@ადრესოგრაფები@|@Addressographs@
@ადრესოგრაფი@|@Addressograph@
@ადრეული ბავშვობა@|@babyhood, infancy@
@ადრექრისტიანული დღესასწაული@|@love-feast@
@ადრიანი@|@Adrian, early@
@ადუნებს@|@enervates, enervating@
@ადუღებს@|@boils, simmering, simmers, welding, welds@
@ადუღებული@|@boiled@
@ადღვებილი@|@churned@
@აელმებდა@|@squinted@
@აელმებს@|@squinting, squints@
@აერთებს@|@compacting, compacts, conjoining, conjoins, conjugates,@
@აერთებს შპუნტით@|@joggles, joggling@
@აერთიანებს@|@blends, combines, combining, jointing, unifies,@
@აეროდინამიკა@|@aerodynamics@
@აეროდინამიკური@|@aerodynamic@
@აეროდრომები@|@aerodromes, airdromes@
@აეროდრომი@|@aerodrome, airdrome@
@აეროზოლი@|@aerosol@
@აეროპორტები@|@airports@
@აეროპორტი@|@airport@
@აეფარა@|@shielded@
@აეჭვებს@|@boggles@
@ავ სულებს განდევნის@|@exorcizes@
@ავ სულებსგანდევნის@|@exorcizing@
@ავად@|@currishly@
@ავად გამხდარი@|@sickened@
@ავად გახდა@|@sickened@
@ავად გახდომა@|@sicken@
@ავად ხდება@|@sickening, sickens@
@ავადებს@|@adjourning, adjourns@
@ავადმყოფები@|@invalids, valetudinarians@
@ავადმყოფების აიები@|@sick-lists@
@ავადმყოფების ოთახები@|@sick-rooms@
@ავადმყოფების საწოლები@|@sickbeds@
@ავადმყოფების სია@|@sick-list@
@ავადმყოფი@|@dicky, ill, ill, invalid, invalid, sick, sore,@
@ავადმყოფის ოთახი@|@sick-room@
@ავადმყოფის საწოლი@|@sickbed@
@ავადმყოფობა@|@ail, ailment, illness, malady, sickness@
@ავადმყოფობები@|@ailments, illnesses, maladies, sicknesses@
@ავადმყოფობის ისტორია@|@case-history@
@ავადმყოფობის ისტორიები@|@case-histories@
@ავადმყოფურად@|@morbidly, sorely@
@ავადმყოფური@|@morbid, sickly, unhealthy@
@ავადმყოფური მგრძნობიარობა@|@morbidness@
@ავადმყოფურობა@|@morbidity, soreness@
@ავადმყოფურობები@|@morbidities@
@ავაზაკები, მკვლელები@|@thugs@
@ავაზაკი, მკვლელი@|@thug@
@ავალდებულებს@|@obligates, obligating, obliges, obliging@
@ავალებს@|@tasking, tasks@
@ავანგარდები@|@vanguards@
@ავანგარდი@|@avant-garde, vanguard@
@ავანპოსტები@|@outposts@
@ავანპოსტი@|@outpost@
@ავანსები@|@advances@
@ავანტიურული@|@picaresque@
@ავაჟკაცური@|@manly@
@ავარია@|@breakdown, crack-up@
@ავარიები@|@breakdowns, crack-ups@
@ავარიულად ჯდება@|@crash-lands@
@ავარიული დაჯდომა@|@crash-landing@
@ავარიული დაჯდომები@|@crash-landings@
@ავატარა@|@avatar@
@ავატარები@|@avatars@
@ავაჯით მოწყობილი ოთახები@|@apartment@
@ავბედითი@|@sinister@
@ავგულობა, ღვარძლი@|@devilry@
@ავგურები@|@augurs@
@ავგური@|@augur@
@ავდრის მომასწავებელი@|@thunderous, thundery@
@ავეჯი@|@furnishings, furniture@
@ავეჯით აწყობს@|@furnishes, furnishing@
@ავეჯით გააწყო@|@furnished@
@ავეჯით გაწყობა@|@furnish@
@ავეჯით გაწყობილი@|@furnished@
@ავეჯის გადამტანები@|@removers@
@ავეჯის გადამტანი@|@remover@
@ავეჯის შალითა@|@slipcover@
@ავეჯის შალიტები@|@slipcovers@
@ავეჯის შესანახი საწყობები@|@pantechnicons@
@ავეჯის შესანახი საწყობი@|@pantechnicon@
@ავზები@|@sinks, tanks@
@ავზი@|@sink, tank@
@ავზნიანი@|@ill-natured@
@ავზში ინახავდა@|@tanked@
@ავზში ინახავს@|@tanking, tanks@
@ავზში შენახვა@|@tank@
@ავზში შენახული@|@tanked@
@ავთვისებიანი@|@cancerous@
@ავი@|@currish@
@ავი თვალის პატრონები@|@casters@
@ავი თვალის პატრონი@|@caster@
@ავი სულები@|@fiends, incubuses@
@ავი სულები განდევნა@|@exorcized@
@ავი სულების განდევნა@|@exorcize@
@ავი სული@|@fiend@
@ავი სული@|@incubus@
@ავიამექანიკოსები@|@aircraftmen, riggers@
@ავიამექანიკოსი@|@aircraftman, rigger@
@ავიატორები@|@aviators@
@ავიატორი@|@aviator@
@ავიაფოსტა@|@airmail@
@ავიაცია@|@aviation@
@ავიაციის პოდპოლკოვნიკები@|@wing-commanders@
@ავიაციის პოდპოლკოვნიკი@|@wing-commander@
@ავიაციის საკითხებით დაინტერესებული@|@air-minded@
@ავიახაზები@|@airlines@
@ავიახაზი@|@airline@
@ავიდა@|@ascended, levitated, mounted, scaled@
@ავითარებს@|@developing, evolves, evolving@
@ავინიონი@|@Avignon@
@ავის მომასწავებელი@|@portentous@
@ავის მომასწავებელი ნიშანი@|@foreboding@
@ავის მომასწავებელი ნიშნები@|@forebodings@
@ავის მომასწავებლად@|@portentously@
@ავისმომასწავებელი@|@ill-omened, inauspicious, ominous@
@ავისმომასწავებლად@|@inauspiciously, ominously@
@ავიწროებს@|@narrowing, narrows, oppresses, oppressing@
@ავკაცები@|@evil-doers, villains@
@ავკაცი@|@evil-doer, villain@
@ავლა-დიდება@|@clobber@
@ავლებს@|@dipping, dips, rinses, rinsing@
@ავლენს@|@educes, educing, eliciting, elicits, evidences,@
@ავმეხსიერი@|@resentful@
@ავოკადო@|@avocado@
@ავოკადოები@|@avocados@
@ავონი@|@Avon@
@ავრორა@|@aurora@
@ავრცელებს@|@pervades, pervading, spreading, spreads@
@ავსება@|@fill, prime, replenishment@
@ავსება ხალხით@|@overcrowd@
@ავსებები@|@replenishments@
@ავსებს@|@complementing, complements, filling, fills, primes,@
@ავსებული@|@filled, primed, replete@
@ავსებული ხალხით@|@overcrowded@
@ავსტრალია@|@Australia@
@ავსტრალიელები@|@Aussies, Australians@
@ავსტრალიელი@|@Aussie, Australian@
@ავსტრალიური@|@Australian@
@ავსტრია@|@Austria@
@ავსტრიელები@|@Austrians@
@ავსტრიელი@|@Austrian@
@ავსტრიული@|@Austrian@
@ავტო@|@auto, auto-@
@ავტობიოგრაფია@|@autobiography@
@ავტობიოგრაფიები@|@autobiographies@
@ავტობიოგრაფიული@|@autobiographic, autobiographical@
@ავტობუსები@|@buses, char`abancs, motorcoaches@
@ავტობუსი@|@bus, char`abanc, motorcoach@
@ავტობუსით მგზავრობა@|@bus@
@ავტობუსით მგზავრობს@|@buses@
@ავტობუსის მძღოლები@|@busmen@
@ავტობუსის მძღოლი@|@busman@
@ავტოგათიშვა@|@load-shedding@
@ავტოგრაფები@|@autographs@
@ავტოგრაფი@|@autograph@
@ავტოგრაფი მისცა@|@autographed@
@ავტოგრაფის მიცემა@|@autograph@
@ავტოგრაფს აძლევს@|@autographs@
@ავტოები@|@autos@
@ავტოკალამი@|@fountain-pen@
@ავტოკალმები@|@fountain-pens@
@ავტოკოლონა@|@motorcade@
@ავტოკოლონები@|@motorcades@
@ავტოკრატია@|@autarchy, autarky@
@ავტოკრატიული@|@autocratic@
@ავტომატები@|@automatons, slot-machines@
@ავტომატი@|@automata, automaton, slot-machine@
@ავტომატიზაცია@|@automation@
@ავტომატიზაციას ახდენს@|@automates, automating@
@ავტომატიზაციის მოხდენა@|@automate@
@ავტომატიზებული@|@automatic@
@ავტომატურად@|@automatically@
@ავტომატური@|@automatic, self-acting@
@ავტომატური მექანიზმები@|@automatics@
@ავტომატური მექანიზმი@|@automatic@
@ავტომობილები@|@automobiles, motors@
@ავტომობილი@|@automobile, car, motor@
@ავტომობილის ტარება@|@motor@
@ავტომობილისტები@|@motorists@
@ავტომობილისტი@|@motorist@
@ავტომობილს ატარებდა@|@motored@
@ავტომობილს ატარებს@|@motoring, motors@
@ავტონომია@|@autonomy@
@ავტონომიები@|@autonomies@
@ავტონომიური@|@autonomous@
@ავტოჟირები@|@autogiros, autogyros@
@ავტოჟირი@|@autogiro, autogyro@
@ავტორები@|@authoresses, authors, originators@
@ავტორი@|@author, authoress, originator@
@ავტორიტარიანიზმი@|@authoritarianism@
@ავტორიტარული@|@authoritarian@
@ავტორიტარული ხელისუფლების მომხრე@|@authoritarian@
@ავტორიტარული ხელისუფლების მომხრეები@|@authoritarians@
@ავტორიტეტიანი@|@authoritative@
@ავტორიტეტის, ღირსების გადარჩენა@|@face-saving@
@ავტორიტეტულად@|@authoritatively@
@ავტორიტეტული პირი@|@anybody@
@ავტორობა@|@authorship@
@ავტოსადგომები@|@laybys@
@ავტოსადგომი@|@layby, parking@
@ავტოსტრადა@|@autobahn, autostrada, autostrade@
@ავტოსტრადები@|@autobahns, autostradas@
@ავტოტრანსპორტით გადაზიდვა@|@cartage@
@ავტოფსია@|@autopsy@
@ავტოცისტერნა@|@tank-car@
@ავტოცისტერნები@|@tank-cars@
@ავღანეთი@|@Afghanistan@
@ავღანელები@|@Afghans@
@ავღანელი@|@Afghan@
@ავღანური@|@Afghan@
@ავყია@|@foul-mouthed, foul-spoken@
@ავყიობა@|@obloquy@
@ავხორცად@|@lasciviously, lewdly, lustfully, pruriently,@
@ავხორცები@|@sensualists, voluptuary@
@ავხორცი@|@lascivious, lewd, lustful, prurient, salacious,@
@ავხორცი ქალები@|@bitches@
@ავხორცი ქალი@|@bitch@
@ავხორცობა@|@lasciviousness, lewdness, prurience, pruriency,@
@ავხორცულად@|@carnally, voluptuously@
@აზავებს@|@dilutes, diluting@
@აზართულ თამაშებს თამაშობს@|@gambles@
@აზართული თამაშები@|@gambles@
@აზარტულ თამაშებს თამაშობდა@|@gambled, gamed@
@აზარტულ თამაშებს თამაშობს@|@games@
@აზარტულ თამაშძებს თამაშობს@|@gaming@
@აზარტული@|@venturesome, venturous@
@აზარტული თამაშების თამაში@|@gamble, game@
@აზარტული თამაშების მოთამაშე@|@gambler@
@აზარტული თამაშებისმოთამაშეები@|@gamblers@
