@English@|@Ukrainian@
@ablate@|@видаліть@
@ablated@|@видалений@
@ablates@|@видаляє@
@ablating@|@видалення@
@ablation@|@ампутація, видалення, знос@
@ablations@|@видалення@
@ablaut@|@аблаут@
@ablaze@|@блискаючий, палаючий@
@able@|@вмілий, вміти, здатен, здатний, здібний, здоровий, змогти, знаючий, кваліфікований, компетентний, міцний, могти, може, справний, спроможний, талановитий, удатний, умілий@
@able-bodied@|@дужий, здоровий, міцний, сильний@
@ablegate@|@легат@
@ablet@|@верховодка@
@ablution@|@вмитись, вмитися, обмивання, промивання, умивання, умитися@
@ablutions@|@умивання@
@ably@|@вміло, компетентно, мистецьки, по-мистецьки, розумно, спритно, уміло@
@abnegate@|@відкидати, відрікатися, відхиляти, заперечити, заперечте, заперечувати, зрікатися@
@abnegated@|@заперечений@
@abnegates@|@заперечує@
@abnegating@|@заперечення@
@abnegation@|@відмовлення, заперечення, заперечування, зречення, самопожертва@
@abnegations@|@заперечення@
@abnormal@|@анормальний, атипічна, атипічне, атипічний, величезний, ненормальний, неправильний@
@abnormalcy@|@аномалія, ненормальність@
@abnormalities@|@ненормальності@
@abnormality@|@аномалія, каліцтво, ненормальність, неправильність, порушення@
@abnormally@|@ненормально@
@abnormities@|@ненормальності@
@abnormity@|@аномалія, ненормальність@
@aboard@|@вдовж, вздовж, вподовж, повздовж, поздовж, уздовж, упродовж@
@abode@|@житло, мешкання, перебування, проживання, прожиття@
@abodes@|@житла@
@abolish@|@анулювати, відміняти, знищувати, касувати, нищити, скасовувати, скасувати, скасуйте@
@abolished@|@скасований@
@abolishing@|@скасування@
@abolishment@|@анулювання, винищення, знищення, зруйнування, нищення, руйнацію, руйнація, руйнування, скасовування, скасування@
@abolition@|@анулювання, винищення, відміна, знищення, ліквідація, ліквідування, нищення, скасовування, скасування@
@abolitionism@|@аболіціонізм@
@abolitionist@|@аболіціоніст, скасування@
@a-bomber@|@бомбардувальник@
@abominable@|@бридкий, гидкий, огидний, противний@
@abominate@|@ненавидіти, ненавидьте@
@abominated@|@ненавидиться@
@abominates@|@ненавидить@
@abominating@|@ненавидіти@
@abomination@|@відраза, мерзенність, огида, огидне, огиду@
@abominations@|@огиди@
@abonent@|@користувач@
@aboriginal@|@корінний, тубілець, тубільний@
@aborigine@|@абориген, тубілець@
@aborigines@|@аборигени, тубільці@
@abort@|@викидати, викиньте@
@aborted@|@абортивний, викинений, відмінений, зупинений, недонесений, недорозвинений, припинений, рудиментарний, скасований@
@aborting@|@викидання@
@abortion@|@аборт, викидень, виродок, невдача, невезіння, недоносок, осічка, потвора, потворо@
@abortions@|@аборти@
@abortive@|@безплідний, викидень, марний, невдалий, передчасний@
@abortively@|@невдало@
@aborts@|@викидає@
@abound@|@буяти, ряснійте@
@abounded@|@рясніється@
@abounds@|@рясніє@
@about@|@біля, відносно, довкола, довкруги, ґрунтовно, з, зі, зо, з-по, існуючий, коло, кругом, майже, навколо, навкруг, навкруги, недалеко, об, по, поблизу, повсюди, приблизно, про, середнє-з, скрізь, скрізь-скрізь, стосовно, у, усюди, щодо@
@about-face@|@про-лице@
@about-sledge@|@кувалда@
@above@|@вгорі, вище, наверху, нагорі, над, по, понад, угорі@
@above-board@|@чесний@
@above-mentioned@|@вищезазначений, вищезгаданий, зазначений@
@above-water@|@надводний@
@abr@|@арр@
@abracadabra@|@абракадабра, безглуздя, заклинання, нісенітниця@
@abracadabras@|@абракадабра@
@abrade@|@здирати, зносіть, прати, стирати, шліфувати@
@abraded@|@зношений@
@abrades@|@зношує@
@abrading@|@зношення@
@abranchial@|@беззябровий@
@abranchiate@|@беззябровий@
@abrasion@|@вишкрібання, знос, зношення, зношування, садно, спрацьовування, спрацювання, стирання, тертя, шліфовка, шліфування@
@abrasions@|@шліфування@
@abrasively@|@абразивно@
@abraxas@|@амулет@
@abreast@|@лавою, низкою, поруч, поряд, рядом@
@abridge@|@зменшувати, обмежувати, позбавляти, скоротити, скоротіть, скорочувати, урізувати@
@abridged@|@скорочений@
@abridgement@|@скорочення@
@abridgements@|@скорочення@
@abridges@|@скорочує@
@abridging@|@скорочення@
@abridgment@|@скорочення@
@abroach@|@відкритий@
@abroad@|@змішатися, очевидно, повсюди, розрахунках, смутитися, усюди, широко, широко-широко@
@abrogate@|@анулювати, відміняти, скасовувати, скасувати, скасуйте@
@abrogated@|@скасований@
@abrogates@|@скасовує@
@abrogating@|@скасування@
@abrogation@|@аброгація, скасування@
@abrogations@|@скасування@
@abrupt@|@крутий, крутій, крутої, крутою, нерівний, раптовий, різкий, стрибкоподібний, стрімчастий, уривчастий@
@abruption@|@відторгнення, роз'єднання, розірвання, розрив, розривши@
@abruptly@|@круто, раптово, уривчасто@
@abruptness@|@брутальність, грубість, крутизна, крутість, нерівність, несподіваність, несподіванка, несподіванку, раптовість, різкість, уривчастість@
@abruptnesses@|@крутість@
@abscess@|@абсцес, гнійник, нарив, наривши, раковина@
@abscesses@|@нариви@
@abscessogram@|@абсцесограма@
@abscessography@|@абсцесографія@
@abscise@|@абсциса@
@abscissa@|@абсциса@
@abscissae@|@абсциси@
@abscissas@|@абсциси@
@abscission@|@ампутація, видалення@
@abscissions@|@видалення@
@absconsio@|@порожнина@
@absence@|@вада, ваду, відлучка, відсутність, недолік, нестача, нестачу, неуважність, розсіяність, хиба, хибу@
@absences@|@відсутність@
@absent@|@відсутній@
@absentee@|@відсутній, неявки, прогульник@
@absenteeism@|@абсентеїзм, прогул@
@absentees@|@відсутній@
@absentia@|@відсутність@
@absently@|@неуважно, розсіяно@
@absentminded@|@розсіяний@
@absent-minded@|@неуважний@
@absent-mindedness@|@неуважність@
@absents@|@відлучається@
@absinth@|@полин@
@absinthe@|@полин@
@absinthial@|@полиновий@
@absolute@|@абсолют, абсолютний, безумовний, необмежений, повен, повний, самовладний, чистий@
@absolutely@|@абсолютно, аякже, безперечно, безумовно, досконало, звичайно, звісно, зовсім, незалежно, саме, самостійно, точно, цілком@
@absoluteness@|@абсолютність, безумовність, необмеженість@
@absolution@|@визволення, виправдання, звільнення, прощення@
@absolutions@|@виправдання@
@absolutism@|@абсолютизм, безсумнівність, визначеність, самодержавство@
@absolutist@|@абсолютист@
@absolutists@|@абсолютисти@
@absolutory@|@виправдувальний@
@absolve@|@визволити, визволяти, виправдовувати, виправдувати, звільнити, звільняти, пробачати, простіть, прощати, увільнити, увільнювати@
@absolvent@|@звільняючий@
@absolves@|@прощає@
@absolving@|@прощення@
@absorb@|@абсорбувати, амортизувати, видержати, винести, витримати, всисати, оплачувати, поглинати, поглинути, поглиньте, приєднувати, розуміти, усмоктувати@
@absorbability@|@вбираність@
@absorbed@|@поглинена, поглинене, поглинений@
@absorbent@|@абсорбент, гігроскопічний@
@absorbents@|@вбирачі@
@absorber@|@абсорбер, амортизатор, демпфер, поглинач@
@absorbers@|@абсорбери@
@absorbing@|@всмоктування@
@absorbs@|@поглинає@
@absorbtion@|@абсорбція@
@absorptiometer@|@абсорбціометр@
@absorptiometry@|@абсорбціометрія@
@absorption@|@абсорбція, вбирання, заглибленість, поглинання, поглинення, приєднання, приєднування, усмоктування@
@absorptions@|@абсорбція@
@absorptive@|@всмоктуючий@
@abstain@|@утримайтеся@
@abstained@|@утримується@
@abstainer@|@непитущий@
@abstaining@|@утриматися@
@abstains@|@утримується@
@abstemious@|@ощадливий, поміркований, помірний, стриманий@
@abstention@|@нез'явлення, неявка, помірність, утримування@
@abstentions@|@утримування@
@abstersion@|@очищення@
@abstinence@|@поміркованість, помірність, стриманість@
@abstinences@|@стриманість@
@abstinent@|@аскетичний, непитущий, поміркований, помірний, стриманий, тверезий@
@abstract@|@абстрактний, виписка, витяг, реферат@
@abstracted@|@абстрагований, віддалений@
@abstractedly@|@абстрактно, неуважно, окремо, розсіяно@
@abstractedness@|@абстрагованість, абстрактність, неуважність, розсіяність@
@abstracting@|@абстрагування@
@abstraction@|@абдукція, абстракціонізм, абстракція, викрадення, відведення, відвід, відволікання, неуважність, розсіяність@
@abstractionist@|@абстракціоністський@
@abstractions@|@абстракції@
@abstractive@|@відволікаючий, реферативний@
@abstracts@|@абстракції@
@abstruse@|@важкозрозумілий, глибокодумний, незрозумілий, неясний, прихований, скритий, схований, темний@
@abstrusely@|@неясно@
@abstruseness@|@неясність@
@absurd@|@абсурдний, абсурдність, безглуздий, смішний@
@absurdity@|@абсурд, безглуздість, дурість, дурниця@
@absurdly@|@безглуздо@
@abubble@|@киплячий, кипучий@
@abulia@|@абулія@
@abundance@|@багатство, безліч, достаток, множина, множину, надлишок, статок@
@abundances@|@достатки@
@abundant@|@багатий, рясний@
@abundantly@|@рясно@
@abuse@|@зловживання, зловживати, надуживати@
@abused@|@зловживається@
@abuses@|@зловживання@
@abusing@|@зловживання@
@abusive@|@жорстокий, негуманний, образливий@
@abusively@|@образливо@
@abut@|@граничити, межувати, межуйте, опиратись, опиратися, примикати, спиратись, спиратися, упиратися@
@abutment@|@границя, контрфорс, кордон, межа, межень, опертя, опора, п'ята, упор@
@abutments@|@межі@
@abuts@|@межує@
@abutted@|@межується@
@abutting@|@межування@
@abuzz@|@діяльний, стугонливий@
@abysm@|@безодня@
@abysmal@|@бездонний, глибокий, жахливий, крайній, повен, повний@
@abysmally@|@безнадійно@
@abyss@|@бездна, безодня, первинний, прірва, прірву, провалля, пропасти@
@abyssal@|@вивержений, глибинний@
@abysses@|@безодні@
@abyssinian@|@абіссінець@
@acacia@|@акація@
@acacias@|@акації@
@academe@|@коледж, школа@
@academia@|@академія@
@academic@|@академічний, гуманітарний, фундаментальний@
@academical@|@академічний, гуманітарний, фундаментальний@
@academically@|@академічно@
@academician@|@академік, викладач, студент, традиціоналіст@
@academicians@|@академіки@
@academies@|@академії@
@academy@|@академія, школа@
@acampsia@|@анкілоз@
@acanthiomeatal@|@акантіомеатальний@
@acanthioparietal@|@акантіопарієтальний@
@acanthus@|@акант@
@acarpous@|@безплідний@
@acat@|@акат@
@acbe@|@бвк@
@accede@|@вступіть, згоджуватись, згоджуватися, погоджуватись, погоджуватися, приєднуватися, приймати, примикати@
@acceded@|@вступається@
@accedence@|@вступ, згода, згоду, злагода, злагоду, порозуміння@
@accedes@|@вступає@
@accelerant@|@каталізатор@
@accelerate@|@прискорити, прискортеся, прискорювати, прискорюватися@
@accelerated@|@прискорений@
@accelerates@|@прискорюється@
@accelerating@|@прискорення@
@acceleration@|@прискорення, пришвидшення@
@accelerations@|@прискорення@
@accelerator@|@акселератор, прискорювач@
@accelerators@|@акселератори@
@accent@|@акцент, виділити, виділяти, вимова, наголос@
@accented@|@акцентований@
@accents@|@акценти@
@accentual@|@тонічний@
@accentuate@|@акцентувати, акцентуйте, виділяти, збільшувати, наголошувати, підкреслити, підкреслювати@
@accentuated@|@акцентований@
@accentuates@|@акцентує@
@accentuating@|@акцентування@
@accentuation@|@виділення, виокремлення, вирізнення, підкреслення, підкреслювання@
@accept@|@акцептувати, визнавати, визнати, допускати, згоджуватись, згоджуватися, погоджуватись, погоджуватися, признавати, приймати, прийміть, прийняти, припускатися@
@acceptability@|@прийнятність@
@acceptable@|@бажаний, жаданий, приємний, прийнятний@
@acceptance@|@акцепт, акцептний, акцептування, підтвердження, приймання, прийняття, прийом, схвалення, ухвалення, ухвалювання@
@acceptances@|@прийняття@
@accepted@|@акцептований, прийнятий@
@accepting@|@прийняття@
@acceptor@|@акцептант@
@accepts@|@приймає@
@access@|@доступ, малодоступний, підхід, підходе, приступ, прохід, проходе@
@accessed@|@доступний@
@accesses@|@доступи@
@accessibility@|@доступність, загальнодоступність, приступність, сприйнятливість@
@accessible@|@доступний, досяжний, податливий, приступний, хабарник@
@accessing@|@доступ@
@accession@|@додаток, збільшення, приріст@
@accessions@|@прирости@
@accessorial@|@допоміжний, помічний@
@accessories@|@аксесуари, приладдя@
@accessory@|@арматура, додатковий, допоміжний, другорядний, співучасник@
@accidence@|@елементи, морфологія@
@accident@|@аварія, випадковість, випадок, катастрофа, ненавмисно, несподіванка, складка, случай@
@accidental@|@випадковий@
@accidentally@|@випадково, несподівано@
@accident-prone@|@небезпечний, невдачливий@
@accidents@|@випадковість@
@acclaim@|@вітати, проголосити, проголошувати@
@acclaimed@|@проголошений@
@acclaiming@|@проголошення@
@acclamation@|@акламація@
@acclimate@|@акліматизуйтеся@
@acclimated@|@акліматизований@
@acclimates@|@акліматизується@
@acclimating@|@акліматизування@
@acclimation@|@акліматизація@
@acclimatization@|@акліматизація@
@acclimatize@|@акліматизуйтеся@
@acclimatized@|@акліматизований@
@acclimatizes@|@акліматизується@
@acclimatizing@|@акліматизація@
@acclivities@|@підвищення@
@acclivity@|@підвищення@
@acclivous@|@уступчастий@
@accolade@|@похвала, схвалення@
@accommodate@|@вміщення, залагоджувати, погоджувати, помешкання, поміщення, постачати, примиряти, приміщення, пристосовувати, пристосувати, пристосуйтеся, розташовувати, розташувати, узгоджувати, улагоджувати@
@accommodated@|@пристосований, розміститися@
@accommodates@|@пристосовується@
@accommodating@|@люб'язний, послужливий, поступливий, пристосування@
@accommodation@|@вміщення, жител, житл, житлами, житлах, житлі, житло, захисток, компроміс, кредит, осель, оселю, оселя, оселям, оселями, оселях, погодження, позика, позичка, помешкання, поміщення, прилаштування, приміщення, пристосування, притулок, розквартирування, угода, угоду, узгодження@
@accommodations@|@пристосування@
@accommodative@|@зручний, послужливий, принагідний@
@accomodation@|@мешкання, узгодження@
@accompanied@|@супроводжується@
@accompanies@|@супроводжує@
@accompaniment@|@доповнення, супровід, супроводження@
@accompaniments@|@супроводи@
@accompanist@|@акомпаніатор@
@accompanists@|@акомпаніатори@
@accompany@|@проводжати, супроводжувати, супроводжуйте, супроводити@
@accompanying@|@супровідний, супроводжування@
@accompanyist@|@акомпаніатор@
@accomplice@|@пособник, спільник@
@accomplices@|@спільники@
@accompliceship@|@співучасть@
@accomplish@|@виконати, виконувати, досягати, завершати, завершити, завершіть, завершувати, здійснити, здійснювати, робити, скоювати, сягати, удосконалювати, учиняти, чинити@
@accomplished@|@вихований, вишуканий, доконаний, досконалий, завершений, закінчений, зроблений, скоєний@
@accomplishing@|@завершення@
@accomplishment@|@благоустрій, вивершення, виконання, виконування, виховання, гідності, добуток, достоїнства, досягнення, завершення, здійснення, здобуток, скоєння@
@accomplishments@|@досягнення@
@accomplishs@|@завершує@
@accord@|@акордний, згода, злагода, надавати, надати@
@accordance@|@відповідність, згода, згоду, злагода, злагоду, порозуміння@
@accordances@|@відповідність@
@accordant@|@згідний, згоден, згодний, приголосний, співзвучний@
@accorded@|@погоджується@
@according@|@відповідність, по-якому, як, як-не-як@
@accordingly@|@відповідно, отже, тому@
@accordion@|@акордеон@
@accordionist@|@акордеоніст@
@accordion-pleated@|@гофрований@
@accordions@|@акордеони@
@accords@|@згода@
@accost@|@вітайте@
@accostable@|@доступний@
@accosted@|@вітається@
@accosting@|@вітання@
@accosts@|@вітає@
@accouchement@|@розродження@
@accoucheur@|@акушер@
@accoucheuse@|@акушерка@
@account@|@звіт, лічба, обліковий, оцінка, підстава, рахувати, рахунок, розрахунок@
@accountability@|@відповідальність, звітність, підзвітність@
@accountable@|@відповідальний, з'ясовний, підзвітний@
@accountably@|@відповідально, з'ясовно, пояснено@
@accountancy@|@бухгалтерія, діловодство@
@accountant@|@бухгалтер, відповідач, рахівник@
@accountants@|@бухгалтери@
@accounted@|@рахується@
@accounting@|@балансування, бухгалтерський, врахування, звітність, облік, рахівництво, розрахунок, урахування@
@accountings@|@обліки@
@accounts@|@звітність, рахунки@
@accouter@|@екіпіруйте@
@accouterment@|@обмундирування@
@accoutre@|@екіпірувати, екіпіруйте@
@accoutrement@|@багаж, обмундирування, опорядження, платті, плаття, спорядження, сукню@
@accoutrements@|@амуніції@
@accredit@|@акредитувати, довіряти, кредитувати, повірити, приписувати, уповноважити, уповноважте, уповноважувати@
@accreditation@|@акредитування@
@accreditations@|@акредитування@
@accredited@|@акредитований, загальноприйнятий, уповноважений@
@accrediting@|@уповноваження@
@accredits@|@уповноважує@
@accrescense@|@приріст, прирощення@
@accrescent@|@зростаючий@
@accrete@|@зростатися, зрощений, обростати, приростати@
@accreted@|@зростається@
@accretes@|@зрощений@
@accreting@|@зростися@
@accretion@|@збільшення, зрощення, нарощення, побільшення, приріст, прирощення, прирощування, розростання@
@accretions@|@прирости@
@accretive@|@наростаючий, приростаючий@
@accroach@|@узурпувати@
@accrual@|@кумулятивний, нагромадження, накопичення, наростання@
@accruals@|@накопичення@
@accrue@|@видобувати, виникати, відбуватись, відбуватися, діставати, діставатися, добувати, збільшитися, збільшуватись, збільшуватися, нагромаджуватися, накопичуватись, накопичуватися, наростати, нарости, наростіть, одержувати, отримувати, поставати@
@accrued@|@нагромаджений, накопичений, наростається, наростаючий@
@accrues@|@наростає@
@accruing@|@зростаючий, нарощення@
@accumulate@|@акумулювати, акумулюватися, збиратися, купчити, нагромаджувати, нагромаджуватися, нагромадити, нагромадитися, нагромадьтеся, накопичувати, наростати, складати, складувати, скупчувати, скупчуватися@
@accumulated@|@нагромаджений@
@accumulates@|@нагромаджується@
@accumulating@|@нагромадження@
@accumulation@|@акумуляція, груда, загал, збирання, збір, купа, маса, нагромадження, накопичення, накопичування, скупчення@
@accumulations@|@нагромадження@
@accumulative@|@кумулятивний, нагромаджувальний, нагромаджується@
@accumulator@|@акумулятор, користолюбець@
@accumulators@|@акумулятори@
@accuracy@|@достовірність, правильність, слушність, старанність, точність@
@accurate@|@вірний, влучний, калібрований, правильний, ретельний, точний, улучний@
@accurately@|@точно@
@accurateness@|@точність@
@accursed@|@клятий, ненависний, нестерпний, огидний, осоружний, проклятий@
@accurst@|@клятий, проклятий@
@accusal@|@обвинувачення@
@accusant@|@скаржник@
@accusation@|@звинувачення, звинувачування, обвинувачення, обвинувачування@
@accusations@|@звинувачення@
@accusative@|@знахідний@
@accusatively@|@знахідно@
@accusatorial@|@обвинувальний@
@accusatory@|@викривальний, обвинувальний@
@accuse@|@ганити, гудити, звинуватити, звинувачувати, звинувачуйте, обвинуватити, обвинувачувати, придиратися, чіплятися@
@accused@|@обвинувачуваний, підсудний, підсудні@
@accuser@|@обвинувач, скаржник@
@accusers@|@обвинувачі@
@accuses@|@звинувачує@
@accusing@|@звинувачення@
@accustom@|@привчіть, призвичаїти, призвичаювати@
@accustomed@|@звиклий, звичайний, звичний, привчений@
@accustoming@|@привчання@
@accustoms@|@привчає@
@ace@|@ас, вічко, очко, туз@
@acerbate@|@окисліть@
@acerbic@|@брутальний, грубий, кислий, неприємний, різкий, терпкий@
@acerbities@|@терпкість@
@acerbity@|@брутальність, грубість, жорсткість, різкість, твердість, терпкість@
@aces@|@очки@
@acescence@|@окислення, окислювання@
@acetate@|@ацетат@
@acetic@|@оцтовий@
@acetified@|@окислений@
@acetifies@|@окислюється@
@acetify@|@окисліться@
@acetifying@|@окислення@
@acetiodone@|@ацетиодон@
@acetone@|@ацетон@
@acetones@|@ацетони@
@acetous@|@кислий@
@acetrizoate@|@ацетризоат@
@acetylene@|@ацетилен@
@acg@|@акг@
@achaean@|@грецький@
@achalasia@|@ахалазія@
@ache@|@біль, боліти@
@achean@|@грецький@
@ached@|@боліється@
@acheless@|@безболісний@
@aches@|@болі@
@achievability@|@досяжність@
@achievable@|@досяжний@
@achieve@|@добиватись, добиватися, домагатись, домагатися, досягати, досягніть, досягнути, досягти, сягати@
@achieved@|@досягнутий@
@achievement@|@виконання, виконування, добуток, досягнення, здобуток, подвиг, успіх@
@achievements@|@досягнення@
@achieves@|@досягає@
@achieving@|@досягнення@
@achilles@|@ахілл@
@aching@|@біль@
@achromatic@|@ахроматичний, безбарвний, безколірний@
@achromatically@|@ахроматично@
@achromatism@|@ахроматизм@
@acid@|@кислота, кислотний@
@acidic@|@кислотний@
@acidified@|@окислений@
@acidifies@|@окислюється@
@acidify@|@окисліться, окисляти@
@acidifying@|@окислення@
@acidities@|@кислотність@
@acidity@|@єхидство, їдкість, кислотність, отруйність, уїдливість@
@acidize@|@окисліть@
@acidly@|@зимно, їдко, холодно@
@acid-proof@|@кислототривкий@
@acids@|@кислоти@
@acidulated@|@буркотливий, кислуватий, незадоволений@
@acidulous@|@кислуватий@
@acknowledge@|@визнавати, визнайтеся, визнати, підтверджувати, підтвердити, признавати, усвідомлювати@
@acknowledged@|@визнаний@
@acknowledgement@|@вдячність, визнання, віддяка, віддяку, зізнання, освідчення, підтвердження, подяка, подяку, потвердження, признання, розписка@
@acknowledges@|@визнається@
@acknowledging@|@визнання@
@acknowledgment@|@визнання, зізнання, підтвердження, признання@
@acknowledgments@|@підтвердження@
@acme@|@верхівка, кульмінація@
@acne@|@прищі@
@acnes@|@прищі@
@acock@|@зухвало, набакир@
@acolyte@|@помічник, прислужник, псаломщик, служитель@
@acolytes@|@прислужники@
@aconite@|@отрута@
@acorn@|@жолуддя, жолудь@
@acorns@|@жолуді@
@acoustic@|@акустична, акустичне, акустичний, звуковий, звуковій, звукової, звуковою@
@acoustician@|@акустик@
@acoustics@|@акустика@
@acquaint@|@знайомити, ознайомити, ознайомлювати, повідомляти, познайомити, познайомте, сповіщати@
@acquaintance@|@знайома, знайомий, знайомлення, знайомство, ознайомлення@
@acquaintances@|@знайомі@
@acquaintanceship@|@знайомство@
@acquaintanceships@|@знайомства@
@acquainted@|@відомий, знайомий@
@acquaintenance@|@знайомий, знайомство@
@acquainting@|@знайомлення@
@acquaints@|@знайомить@
@acquest@|@придбання@
@acquiescence@|@покірність@
@acquiescences@|@покірність@
@acquiescent@|@покірний@
@acquiescently@|@покірно@
@acquirable@|@досяжний@
@acquire@|@досягати, досягти, здобувати, здобути, набувати, набудьте, набути, нажити, оволодівати, опановувати, опанувати, придбавати, придбати, сягати@
@acquired@|@набутий, придбаний@
@acquirement@|@заволодіння, набування, набуття, навики, навички, оволодіння, опановування, опанування, придбавання, придбання@
@acquirements@|@набуття@
@acquirer@|@аквізитор, набувач, покупець@
@acquirers@|@покупці@
@acquires@|@набуває@
@acquiring@|@здобуття, набуття, придбання@
@acquisition@|@набування, набуття, надбання, придбавання, придбання@
@acquisitions@|@витрати, надбання@
@acquisitive@|@корисливий, сприйнятливий@
@acquit@|@визволити, визволяти, виконати, виплатити, виплачувати, виправдайтеся, виправдовувати, виправдувати, звільнити, звільняти, увільнити, увільнювати@
@acquits@|@виправдовується@
@acquittal@|@визволення, виконання, виконування, виправдання, звільнення@
@acquittals@|@виправдання@
@acquittance@|@боргу@
@acquitted@|@виправданий@
@acquitting@|@виправдання@
@acr@|@арк@
@acrania@|@акранія@
@acre@|@акр, володіння@
@acres@|@акри@
@acrid@|@гостра, гостре, гострий, дратівливий, дратівний, дратуючий, їдкий, різкий, уїдливий@
@acridities@|@їдкість@
@acridity@|@гострота, дотеп, їдкість, різкість, уїдливість@
@acridness@|@уїдливість@
