@English@|@Yiddish@
@a parasite@|@Shnorrer@
@A person plans and God laughs@|@A mentsh tracht und Gott lacht@
@A piece of fecal matter@|@Kuppe drek@
@A piece of meat with two eyes@|@A shtik fleish mit tzvei eigen@
@A pig@|@Chazzer@
@A pig remains a pig@|@A chazer bleibt a chazer@
@A plague on you!@|@A choleryeh ahf dir!@
@A pony-tailed nymphet@|@A maidel mit a vayndel@
@A powerhouse!@|@Yung mit bainer!@
@A punch@|@Boch@
@A question@|@Shaile@
@A ritual slaughterer of animal@|@Schochet@
@A sad sack!@|@Shmulky@
@A shallow person@|@A piste kayleh@
@A shame and a disgrace@|@A shandeh un a charpeh@
@A special man@|@Mentsh@
@A story@|@Maisse@
@A story with a (moral) twist@|@Maisse mit a deitch@
@A tall person@|@A langer lucksh@
@A terrible thing!@|@Gevaldikeh Zach!@
@a tiny piece@|@a bisele@
@a very little@|@A biseleh@
@A very tall thin person@|@Lange loksch@
@a waste of...@|@an aveyre@
@a week ago@|@farakhtogn@
@A wild one@|@Vilder mentsh@
@A wise man@|@Chochem@
@a year ago@|@a yor tsurik@
@A young@|@Yungermantshik@
@A young doll!@|@Yingeh tsats-keh!@
@A young goose@|@Gunsel@
@Aaron@|@arn@
@abandon a child@|@untervarfn@
@abbreviate@|@farkirtsn, opkirtsn@
@abbreviation@|@farkirtsung, kirtsung, rosheteyves@
@abdomen@|@Boykh@
@ability@|@feyikeyt@
@ability to speak@|@shprakhfarmog@
@able@|@feyik@
@abnormal@|@umnormal@
@abolish@|@opshafn@
@abortion@|@abort@
@about@|@mikoyekh, vegn@
@about it@|@derfin, dervegn@
@above@|@ariber, iber@
@Abraham@|@avrem, avrohom@
@Abrashe (name)@|@abrashe@
@abroad@|@in der fremd, in der oysland@
@abrupt@|@mitamolik, plutsemdik@
@absence@|@avekblaybn, feln, nisht-zayn@
@absent-minded@|@tsekhusht@
@Absentminded@|@Oiver botel@
@absolute@|@absolut, umbadingt@
@absolutely@|@durkhoys, lakhlutn@
@Absolutely nothing@|@Drek mit Leber@
@Absolutely nothing!@|@Kadoches mit koshereh fodem!@
@absorb@|@aynzapn@
@absorbed@|@farton@
@abstract@|@abstrakt@
@abstraction@|@abstraktsye@
@absurd@|@absurd@
@absurdity@|@absurd@
@abundant@|@bshefe@
@abusive word@|@zidlvort@
@abyss@|@thom@
@academic@|@akademish@
@academy@|@akademye@
@accede to@|@nokhkumen@
@accent@|@aktsent@
@acceptance@|@onnem, onnemen@
@accessible@|@tsutritlekh@
@accompany@|@tsushpiln@
@accomplish@|@adurkhtsufirn, dergreykhn, oyfton@
@accomplishment@|@dergreykh, oyftu@
@accord@|@bavilikn@
@according to@|@al-pi, alpi, loyt@
@account@|@khesboynes, kheshbn, khezboynes, khezhbm@
@accountant@|@kheshbn-firer, khezhbm-firer@
@accursed@|@farsholtn@
@accusation@|@bashuldikung@
@accuse@|@bashuldikn@
@acknowledge@|@moyde zayn@
@acquaintance@|@bakanter@
@acrobatics@|@akrobatik@
@act (a role)@|@shpiln@
@active@|@aktiv, tetik@
@activity@|@aktivitet, tetikeyt@
@Activity group@|@Chug@
@actor@|@aktyor, shoyshpiler@
@actress@|@aktrise@
@actual@|@faktish@
@Adam@|@odem@
@adamant@|@umpshoresdik@
@adapt@|@adaptirn@
@adaptation@|@adaptsye@
@adapter@|@adaptirer@
@Adar; the 6th month calendar@|@odar, oder@
@add vowel marks to Hebrew word@|@menaked zayn@
@addition@|@tsugob@
@additional payment@|@tsutsol@
@address (mail)@|@adres@
@address (speech)@|@adres@
@address a person@|@vendn zikh tsu@
@adherent@|@onhenger@
@adherent of  Jewish philosophy@|@musernik@
@adherent of the Haskalah@|@maskilim, maskl@
@adieu@|@adye@
@adjective@|@adyektiv@
@adjust@|@tsupasn (zikh)@
@administer@|@ayngebn@
@administration@|@administratsye@
@administrative@|@administrative@
@admiration@|@bavunderung@
@admire@|@bavundern@
@admirer@|@onhenger@
@admit@|@tsugebn@
@admonish@|@hobn tayne tsu@
@adolescense@|@dervaksung@
@adorn@|@batsirn@
@adult@|@dervaksn@
@adult (female)@|@dervaksene@
@adult (male)@|@dervaksener@
@adulterer@|@noyef@
@adulteress@|@noyefte@
@adultery@|@nief@
@adulthood@|@dervaksnshaft@
@advance@|@avansirn@
@advantage@|@mayle@
@advantageous@|@letoyve@
@adventure@|@avanture@
@adverb@|@adverb@
@adverbial complement@|@konverb@
@advertise@|@anonsirn@
@advertisement@|@anons@
@advice@|@eytse@
@Advice@|@Aitzeh@
@advise@|@oysmusern, rotn@
@afikomon@|@afikoymen@
@Africa@|@afrike@
@African@|@afrikanish@
@African (female)@|@afrikanerin@
@African (male)@|@afrikaner@
@after@|@nokh@
@aftermath@|@nokhveyenish@
@afternoon@|@nm, nokh mitog, nokhmitog@
@afterwards@|@dernokh, dernokhdem, nokh dem@
@again@|@nokh amol, nokhamol, tsurik, vider@
@against@|@akegn@
@against it@|@derkegn@
@age@|@elter@
@agent@|@agent, mekler@
@aggression@|@agresiye@
@aggressor@|@agresor@
@ago@|@mit...tsurik@
@agony@|@yesurem@
@agree@|@maskem zayn@
@agreeable@|@nikhe, nokhkumik@
@agreement@|@haskome, heskem, opmakh@
@ah!@|@akh@
@Ahasuerus@|@akhashveyresh@
@aid@|@helfn, hilf@
@aim@|@shtrebn@
@air@|@luft@
@airplane@|@aeroplan, ayroplan@
@Airport@|@aeroport, fligplats@
@Akdomuth@|@akdomes@
@alarm clock@|@veker@
@Alarm clock@|@Vek-zaiger@
@Alas and alack@|@Och un vai@
@Alas and alack!@|@okh un vey@
@alas!@|@okh@
@Albania@|@albanye@
@Albert@|@albert@
@alcohol@|@alkohol@
@alef; 1st letter of alphabet@|@alef@
@alien@|@oyslendish@
@alike@|@enlekh@
@alive@|@khay@
@All@|@ales@
@all kinds of@|@alerley, kolaminim, kolerley@
@All of a sudden@|@Mitn derinnen@
@All or nothing@|@Oder gor oder gornisht@
@all spruced up@|@Vie Chavele tsu der geht@
@all the more@|@alts mer@
@all the time@|@alemol@
@all the way@|@azsh@
@all the while@|@ale vayle@
@all told@|@besakhakl@
@allied (with)@|@aliirt@
@allow@|@derlozn, lozn@
@allow in@|@araynlozn@
@all-Slavic@|@alslavish@
@allude to@|@meramez zayn@
@all-Ukrainian@|@alukrainish@
@allusion to@|@remez, remozim@
@almond@|@mandl@
@almost@|@kemat, shier nisht@
@alms@|@tsdoke@
@alone@|@aleyn@
@alphabet@|@alef-beys, alefbeys@
@Alphabet@|@Alef-bais@
@alphabet (non-Jewish)@|@alfabet@
@alphabetic order (non-Jewish)@|@alfabetish@
@already@|@shoyn@
@also@|@oykh, oykhet@
@Also a V.I.P.!@|@Oych a bashefenish@
@although@|@hagam, khotsh@
@aluminum@|@aluminium@
@always@|@alts, tomed@
@amatuer@|@amator, libhober@
@amaze@|@dershtoynen@
@amazement@|@shtoynung@
@ambiguious@|@tsveydaytik, tsveytaytshik@
@ambiguity@|@tsveytaytshikeyt@
@ambrosia@|@ambrozye@
@ambulance@|@ambulans@
@ambush@|@iberfaln@
@Amen@|@Ohmain@
@amen!@|@omeyn@
@America@|@amerike@
@American@|@amerikaner, amerikanish@
@amount to@|@oyskumen, oysmakhn@
@ample@|@Gedicht@
@Amsterdam@|@amsterdam@
@amuse@|@amuzirn@
@an@|@an@
@An absolutely true tale@|@An emmisse meisse@
@An ache@|@Vaitik@
@an aside@|@Shushkeh@
@An enema@|@Kaneh@
@An expert@|@Balmalocha@
@An extreme pleasure@|@Mekheye@
@An Italian gentleman@|@Loksch@
@An old acquaintance@|@An alter bakahnter@
@An old bum@|@An alter trombenick@
@An old man or old woman@|@Alter Kocker@
@An old witch@|@An alteh machashaifeh@
@An unbeliever@|@Apikoros@
@analysis@|@analiz@
@analyze@|@analizirn@
@anarchist@|@anarkhist@
@anarchistic@|@anarkhistish@
@anatomy@|@anatomie@
@ancestor@|@ov, oves@
@ancient@|@uralt@
@ancient coin@|@shekel@
@and@|@un@
@And be well!@|@A leben ahf dir!@
@And you?@|@Un dir?@
@anecdote@|@anekdot@
@angel@|@maleh, malekh, malokhim@
@angel of death@|@malekhamoves@
@anger@|@kas, rugze@
@angle@|@vinkl@
@Anglicized characterization@|@Patshkies around@
@angry@|@broygez@
@Angry person@|@Kasnik, keisenik@
@Angry with@|@Kaas in kaas oyf@
@anguish@|@agmes@
@animal@|@hayeh@
@Animal@|@Behaimeh, Chaye@
@annihilate@|@khorev makhn@
@anniversary@|@yortog@
@anniversary of a persons death@|@yortsayt@
@Anniversary of the day's death@|@Yahrtzeit@
@annoint@|@zalbn@
@announce@|@meldn@
@announcement@|@meldung, meldungen, onzog@
@announcer@|@zoger@
@annoy@|@derkutshen, reytsn zikh mit@
@annoy persistently@|@Nudjen@
@annoying@|@zlidne@
@Annoying person@|@Nudje@
@answer@|@entfer, entfern, tshuve@
@ant@|@murashke@
@anthill@|@murashnik@
@anthology@|@antologye@
@antique@|@antik@
@anti-semite@|@antisemit@
@anti-semitic@|@antisemitish@
@anti-semitism@|@antisemitizm@
@anxiety@|@umru@
@anxious@|@bazorgt, tsiterdik@
@any@|@abi@
@Any person who is not Jewish@|@Goy@
@any time@|@shtendik@
@any Tom@|@Chaim Yonkel@
@any way@|@abi vu@
@any way (they) please@|@vi nor (zey) viln@
@anybody@|@abi ver, yeder, yeder@
@anyone@|@yeder eyner@
@anything@|@abi vos@
@apartment@|@dire, khalupe, khalupe@
@apologize@|@antshuldikn zikh@
@apology@|@antshuldikung@
@apoplexy@|@shlok@
@Apoplexy@|@shlak@
@apparently@|@a ponem, aponem, kloymersht@
@appeal@|@apel@
@appear@|@bavayzn zikh, onvaksn, oyskuken, oyszen@
@append@|@moysef zayn, tsuhengen@
@appendix (anatomical)@|@blinde kishke@
@appendix (written)@|@hesofe@
@appetite@|@apetit@
@Appetizer@|@Forshpeiz@
@apple@|@epl@
@apple cider@|@eplzaft@
@apple tree@|@eplboym@
@application@|@aplikatsye, onvendung@
@apply@|@tsuleygn tsu@
@appointment@|@bashtimung@
@appreciate@|@dershatsn, opshatsn@
@appreciation@|@opshatsung@
@apprehend@|@toyfes zayn@
@approach@|@tsugang, tsukumen tsu@
@appropriate@|@pasik@
@approximately@|@berkh, erekh, Oyfn oyg@
@April@|@april@
@apron@|@fartekh@
@Arab (person)@|@araber@
@Arabia@|@arabye@
@Arabic@|@arabish@
@arbitrariness@|@mutvil@
@archer@|@boygn-shiser, fayln-boyger@
@architect@|@arkhitekt@
@architecture@|@arkhitektur@
@archives@|@arkhiv@
@Arctic ocean@|@ayz-yam@
@Are you crazy?@|@Bist meshugeh?@
@Are you starting up again?@|@Du fangst shoyn on?@
@argue@|@ampern zikh, krign zikh, opfregn, taynen@
@argument@|@tayne@
@aria (opera)@|@arye@
@arid@|@fartriknt@
@aristocrat@|@aristokrat@
@aristocratic@|@aristokratish@
@aristocratic descent@|@meyukhes@
@ark (Noah's)@|@teyve@
@arm@|@orem@
@armor@|@pantser@
@army@|@armey, khayel, khayoles@
@aromatic@|@aromatish@
@around@|@arum, um@
@arrange@|@aranzhirn@
@arrangement@|@aranzhirung@
@arrest (someone)@|@arestirn@
@Arrival@|@onkum@
@arrive@|@kumen, onkumen@
@arrive unexpectedly@|@ongeyn@
@arrow@|@fayl@
@art@|@kunst@
@article@|@artikl, maymer, maymorim@
@article grammar@|@artikl@
@artist@|@kinstler@
@artistic@|@kinstlerish@
@Arye@|@arye@
@as@|@als@
@as a matter of course@|@mimeyle@
@as if@|@elehey@
@As long as you're healthy!@|@Abi gezunt!@
@as much as@|@azsh@
@as opposed to@|@keneged@
@As pretty as the moon@|@Shain vi der lavoone@
@as soon as possible@|@vos gikher@
@as well as@|@vi oykh@
@ascent@|@oyfheyb@
@ash@|@aš, ash@
@ash tree@|@ashbeymer, ashboym@
@Ashkenazi (person)@|@ashkenaz, ashkenazim@
@Ashkenazic@|@ashkenazish@
@ashtray@|@ashtetsl@
@Asia@|@azye@
@Asian@|@azyatish@
@ask@|@betn, fregn@
@aspect@|@shtrikh@
@aspirin@|@aspirin@
@ass@|@eyzl, tokhes@
@assault@|@shturemen@
@assembly@|@asife@
@asset@|@plus@
@asshole@|@shmuck@
@assimilate@|@asimilirn (zikh)@
@assimilation@|@asimilatsie@
@assist@|@aroyshelfn@
@Associates@|@shutfim@
@association@|@farband@
@assortment@|@opklayb, oysklayb@
@astonish@|@vundern@
@astronaut@|@astronat, astronat, astronoyt, shternflier@
@astronomer@|@astronom@
@astronomy@|@astronomie@
@at any rate@|@alklponem, alkolponem@
@at dawn@|@baginen@
@at first@|@lekhatkhile@
@at home@|@in shtub@
@at last@|@sof-kol-sof, sofkl-sof, sofkol-sof@
@at least@|@abi, abi, lekhol-apokhes, tsum veynikstn, veynikstns@
@at most@|@maksimal, meynst, tsum meynstn@
@at night@|@baynakht, oyfdernnakht@
@at that time@|@demolt@
@at the@|@tsu dem, tsum@
@at the head of@|@brosh@
@at the head of a bed@|@tsukopens, tsukopn@
@at the same time@|@far eyn gang@
@athletic@|@atletish@
@Atlantic@|@atlantish@
@atom@|@atom@
@atomic@|@atomish@
@atonement@|@tshuve@
@Atonement sacrifice@|@Kaporeh, kapores@
@atop@|@oyfn@
@attached@|@tsugebunden@
@attack@|@bafaln, onfal@
@attempt@|@pruv@
@attend to@|@bazorgn@
@attention@|@aynkuk in.., oyfmerk@
@attention!@|@akhtung!@
@attestation@|@oyfvayz@
@attic@|@boydem@
@attract sexually@|@reytsn@
@attraction@|@atraktsye, tsutsiung@
@attractive@|@tsutsiendik, tsutsiik@
@auction@|@litsitatsie, litsitirn@
@auction house@|@litsitatsie-firme@
@audacious@|@khutspedik@
@audit@|@bikher-revizie@
@auditor@|@bikher-revizior@
@auditorium@|@zal@
@August@|@oygust@
@aunt@|@mume, tante@
@Australia@|@oystralye@
@Austria@|@estraykh@
@Austrian@|@estraykhish@
@author@|@mekhaber, mekhabrim@
@authority@|@deye, reshus, smakh@
@autobiographical@|@oytobiografish@
@autobiography@|@oytobiografye@
@automated teller machine@|@mezumenke@
@automatic@|@oytomatish@
@automobile@|@oytomobil@
@Autumn@|@harbst, osyen@
@autumnal@|@harbstik@
@auxiliary verb@|@hilfsverb@
@available@|@bimtsies, faran, faranen, faranen@
@average@|@durkhshnitlekh, durkshnit@
@avoid@|@oysmaydn@
@awake@|@vakh@
@awake (up)@|@oyf@
@awaken@|@oyfkumen@
@away@|@avek@
@awe@|@pahked, pahked, pkhodim, yires-hakoved@
@awkard@|@lepish@
@awkward@|@umgelumpert@
@awkwardy@|@umgelumpert@
@awl@|@nol@
@ax@|@hak@
@axe@|@hak@
@axis@|@aks@
@axle@|@aks@
@ayen; 17th letter of alphabet@|@ayen@
@babble@|@plaplen@
@babka@|@babke@
@baby@|@eyfele, viklkind@
@baby dog@|@hintele@
@Baby son@|@Kaddishel@
@babysit@|@zayn a kinderhiter@
@babysitter@|@kinderhiter@
@Bachelor@|@Alter bocher@
@back@|@pleytse, tsurikvegs@
@background@|@hintergrunt@
@backpack@|@rukzak@
@backward@|@ahinter@
@backwards@|@oyf hintn, oyf tsurik@
@bad@|@beyz, shlekht@
@Bad@|@Shlecht@
@Bad luck@|@A schwartz yor@
@Bad mood@|@Unger bluzen@
@Bad odor@|@Ipish@
@bad person@|@Oysvurf@
@Bad taste!@|@Mein bobbeh's ta'am@
@badger@|@nudzhen@
@bag@|@tash@
@bagel@|@beygl@
@baggy@|@hengendik@
@bah!@|@be@
@bake@|@bakn@
@Baked dumplings filled@|@Knishes@
@baked roll@|@bulke@
@baker@|@beker@
@bakery@|@bekeray@
@balalaika@|@balalayke@
@bald@|@plikhevat@
@bale of hay@|@baln@
@ball@|@bal, bal, balem, pilke@
@ball (festivity)@|@bal@
@balloon@|@balon@
@banana@|@banan@
@band musical@|@kapelye@
@bandit@|@Bandit@
@Bang@|@Klop@
@banjo@|@bandzsho@
@Bank@|@bank@
@banquet@|@banket, sude@
@Bar Mitzvah@|@barmitsve@
@Bare behind@|@Toches in droissen@
@barefoot@|@borves@
@Barefoot@|@Boorvisser fiss, Borviss@
@barely@|@perlgroypn@
@Barely made it!@|@Kam mit tsores!@
@barely soup@|@krupnik@
@bargain@|@metsie@
@Bargain@|@Dingen@
@bark (at)@|@havken (oyf)@
@barley@|@geršt@
@Barley able to creep@|@Kam vos er kricht@
@barn@|@shayer@
@baron@|@baron@
@barrack@|@barak@
@barren@|@umfrukhperdik@
@barren woman@|@akore@
@base@|@baze, bazirn@
@baseball@|@beysbol@
@bashful@|@shemen zikh@
@basic education@|@yesod-bildung@
@basin@|@Shissel@
@basketball@|@koyshbol@
@bastard@|@mamzer, mamzeyrim@
@bat@|@fledermoyz@
@bath house@|@merkhets@
@bath tub@|@vane@
@bathe (oneself)@|@bodn zikh@
@bathhouse@|@beder, bod@
@bathing cap@|@bodhitl@
@bathing suit@|@bodkostum@
@bathroom@|@beys-hakisey, vashtsimer@
@Bathroom@|@Vash-tsimmer@
@bathtub@|@Vaneh@
@Batim@|@batey, batim@
@battery@|@baterye@
@battle@|@shlakht@
@battleship@|@pantsershif@
@bayonet@|@bagnet@
@be@|@zayn@
@be a success@|@oysnemen@
@be able to@|@kenen@
@be afraid@|@moyre hobn, shrekn zikh far@
@be allowed@|@megn@
@be angry with@|@beyzern zikh@
@be ashamed of@|@shemen zikh mit@
@be ashamed to@|@shemen zikh tsu@
@be asleep@|@shlofn vern@
@Be at pains to... Please@|@Zei mir matriach@
@be aware of@|@merkn@
@be banished@|@megaresh zayn@
@be connected@|@zayn farbunden@
@be cured@|@oysheyln zikh@
@be delayed@|@farhaltn zikh@
@be engaged in@|@zayn farnumen mit@
@be excited@|@hitsn zikh, kokhn zikh@
@be fit@|@toygn@
@be fond of@|@haltn fun@
@be friends@|@khavern zikh@
@be generous@|@be generous@
@be good@|@toygn@
@be good for nothing@|@toygn oyf kapores, toygn oyfn fayer@
@be greedy@|@hobn groyse oygn@
@Be Happy!@|@Zei mir frailich!@
@be impressed@|@nispoel vern@
@be in the way of@|@shtern in veg, shteyn in veg@
@be in turmoil@|@kokhn mit@
@be insulted@|@baleydikn zikh@
@be jealous@|@mekane zayn@
@be lazy@|@foyln zikh@
@be lost@|@farloyrn geyn@
@be missing@|@feln@
@be mistaken@|@toye zayn zikh@
@be named@|@heysn@
@be nosy@|@mishn zikh@
@be of the opinion@|@meynen@
@be pregnant@|@shvangern, trogn@
@be present@|@bayzayn@
@be proud of@|@shtoltsirn@
@be published@|@dershaynen@
@be quiet@|@shvaygn@
@be reincarnated@|@vern mgulgl@
@be ridiculous@|@zayn a gelekhter@
@be right@|@toygn@
@be satisified with@|@banugenen zikh...mit@
@be saved from@|@nitsl vern@
@be stubborn@|@aynshparn zikh@
@be surprised@|@khideshn zikh@
@be thirsty@|@darshtn@
@be understood@|@farshtanen vern@
@Be well!@|@Zei mir gezunt!, Zol zein gezunt!@
@beam@|@balkn, shtraln@
@beam with pride@|@kveln@
@bean@|@bebl, bob@
@bear@|@ber@
@bearable@|@nishkoshe@
@beard@|@bord@
@bearing@|@orientirung@
@beast@|@bestye@
@beat@|@shlogn@
@Beat it!@|@Chap a gang!@
@beat out@|@oysklapn@
@beatle@|@zshuk@
@beautiful@|@sheyn@
@Beautiful as the seven worlds@|@Shain vi di zibben velten@
@beautiful woman@|@krasavitse@
@beautify@|@bashaynen@
@beauty@|@sheynkeyt@
@Beauty@|@Krassavitseh, Shainkeit, Yefayfiyeh@
@beaver@|@biber@
@because@|@vayl@
@because of@|@makhmes, tsulib@
@become@|@vern@
@become angry@|@tsebeyzern@
@become embarrased@|@farshemen zikh@
@become spoiled@|@iberfirn zikh@
@bed@|@bet@
@Bed bug@|@Voncin@
@bedbug@|@vants@
@bedding@|@betgevant@
@bedroom@|@shloftsimer@
@bedspread@|@iberdek@
@bee@|@bin@
@beef@|@rinderns, rindfleysh@
@Beef@|@bif, rindern fleysh@
@beer@|@bir@
@Beer@|@biyr@
@beet@|@burik@
@Beet soup@|@Borsht@
@before@|@eyder@
@Befuddled@|@farmisht@
@beg@|@betlen@
@beg pardon of@|@iberBETn@
@beggar@|@betler, shleper, shnorer@
@Beggar@|@Hoizer gaier@
@begin@|@onheybn@
@beginner@|@onfanger, onheyber@
@beginning@|@aroysheybndik, haskhole, onheyb@
@behave@|@firn zikh@
@behold@|@zen@
@Belgium@|@belgiye@
@believe@|@meynen@
@Believe me!@|@Gloib mir!@
@belly button@|@Pipek, pupik@
@bellybutton@|@pupik@
@belonging here@|@hig@
@Belorussia@|@belorusye@
@beloved@|@balibt, balibt, khaviv, tayer@
@Beloved@|@Gelibteh@
@below@|@untn@
@bench@|@bank@
@bend@|@aynbeygn, beyg, beyg, beygn (zikh), oysbeyg@
@Bending your ear@|@Farblujet@
@benefactor@|@bal-toyve, voylltuer@
@benign@|@liblekh@
@Benjamin@|@binyomen@
@Berating term for mischievous@|@Shkotz@
@Berkshire hills@|@berkshir@
@berth@|@betl@
@beside@|@bay@
@besides@|@khuts, oyser@
@Bessarabia@|@besarabia@
@between@|@tsvishn@
@Beverage@|@getrank@
@bewildered@|@Farblondzhet@
@beyond@|@lemayle@
@beys; 2nd letter of alphabet@|@beys@
@Bialostok@|@bialostok@
@bialy@|@Bialy@
@Biblical text of...@|@parshas@
@big@|@groys@
@Big@|@Gres@
@big deal@|@Tararam@
@Big deal!@|@A glick hot dich getrofen!, Gantseh megilleh@
@Big deal! (1)@|@Groisseh gedilleh!@
@Big good-for-nothing@|@Groisser gornisht@
@Big hand@|@Lapeh@
@Big mouth!@|@Gembeh!@
@Big penis!@|@Groisser potz!@
@big shot@|@Macher@
@Big shot@|@Gantseh Macher@
@Big Shot@|@Gantseh K'nacker!@
@Big talker-little doer@|@Pisk-Malocheh@
@billion@|@bilyon@
@bima@|@bime@
@bind@|@farbindn@
@biography@|@biografye@
@biological@|@biologish@
@biologist@|@biolog@
@biology@|@biologye@
@birch tree@|@bereze@
@bird@|@feygl, foygl, foyglen@
@Bird@|@Faigelah@
@bird cage@|@shtaygl@
@birds of a feather@|@fun eyn teyg geknotn@
@Birthday@|@geburts-tog@
@bishop@|@biskup@
@bistro@|@kafe@
@bit@|@bisel, bisl@
@bitch@|@klafte@
@bite@|@baysn, bis@
@bite into@|@aynbaysn@
@biting@|@baysik@
@biting word@|@shtekhvertl@
@black@|@shvarts@
@Black@|@Shvartz@
@black man@|@shvartser@
@blackberry@|@ozhene@
@blacksmith@|@shmid@
@blah@|@be-me@
@blanket@|@koldre@
@blaze@|@flakern, sreyfe, sreyfe@
@Blech@|@Greps@
@blend@|@oysmishn@
@bless@|@bentshn@
@Bless you! (when sneezing)@|@Gezunt!@
@blessed@|@borekh@
@Blessed@|@Zelig@
@Blessed with children@|@Gebentsht mit kinder@
@blesses stomach@|@Gebentshte boych@
@blessing@|@brokhe@
@blessing for a good occassion@|@shekheyonu@
@Blessing over wine@|@Kiddish@
@blind@|@blind@
@blindness@|@blindkeyt@
@blizzard@|@zaverukhe@
@block@|@fartsam@
@block of wood@|@kletsl@
@blog@|@blog, blogirn@
@blokova@|@blokova@
@blond@|@blond@
@blood@|@blut@
@blood vessel@|@oder@
@bloody@|@blutik, farblutikt@
@bloom@|@bli, blien@
@blossom@|@tsvit@
@blouse@|@bluze@
@blow@|@bloz, blozn@
@blow the shofar@|@blozn shoyfer@
@blue@|@blo, bloy@
@blueberry@|@shvartse yagde@
@Blurred@|@Tseeshvimmen@
@blush@|@farreytlen zikh@
@board@|@bret, tovl@
@boast@|@barimen zikh@
@boat@|@shifl@
@body@|@guf, kerper@
@boil@|@kokhn@
@boil something@|@oyfkokhn@
@boiled beef@|@zupnfleysh@
@boiling hot@|@kokhedik, zudik@
@bold@|@brave, drayts@
@boldness@|@draytskeyt@
@Bologna@|@Vursht@
@bolt@|@shroyf@
@bomb@|@bombe@
@Bon appetit!@|@Est gezunterhayt!@
@Bon voyage!@|@A gliklekhe rayze!, For gezunterhait!@
@bond@|@khiber, khiburem@
@bone@|@beyn, beyner@
@Boneless person@|@K'vatsh@
@book@|@bikher, buh, bukh@
@book (small)@|@bikhl@
@book end@|@bikher-vinkl@
@Book of Dueteronomy@|@dvorim@
@Book of Exodus@|@shmoys@
@Book of Numbers@|@bamidber@
@Book of Transmigrations@|@seyfer-hagilgulem@
@book seller@|@moykher-sforim, moykhre-sforim@
@bookish@|@bikherdik@
@boot@|@bot, shtivl@
@bootblack@|@shikhputser@
@Boring@|@Haken a chainik@
@Borsht made from beet for poor@|@Botvenye borsht@
@boss (male)@|@balbatim, balbos, Balebatim, balebos@
@both@|@beyde@
@both...and@|@i...i, say...say@
@bother@|@dreyen a spodik@
@bother with@|@patshken zikh mit@
@Bothersome hanger-on@|@Ongetshepter@
@bottle@|@flash@
@bottom@|@dek, untersht, untn@
@boulevard@|@bulvar@
@bourgeois@|@burzshuaz@
@bourgeoise@|@burzshuazie@
@bowel movement@|@shtulgang@
@bowl@|@shisl@
@bowtie@|@mushke@
@box@|@kastn, kestl@
@box (fight)@|@boksn zikh@
@boxer@|@bokser@
@boxing@|@boks@
@boy@|@yingl@
@bracelet@|@braselet@
@Braggart@|@Ois-shteler, Umshteller@
@brains@|@moyekh@
