@English@|@Laotian (romanized)@
@a girl or woman with beautiful hair@|@ke si ni@
@a girl who chooses her own husband@|@sá nham va rar@
@a god@|@pat tha ma pa ni@
@a god of paradise@|@khun phen@
@a gold frame@|@khop kham@
@a good deed@|@ku son@
@a good example@|@pá thad sa tharn@
@a good figure@|@saum tou@
@a good man@|@ba thay, pá ri san nhou@
@a good omen@|@sú pha ni mid@
@a good person@|@să: thou xon@
@a good women@|@kan la nya ni@
@a grade of civil servant@|@phia@
@a gray bird of the quail faimly@|@khom eut@
@a gray bird of the quail family@|@khum khoy@
@a grayish@|@khao suan leung@
@a great number@|@ák khŏ: phei ni:, ák khŏ: phi ni:@
@a great tiger@|@khong@
@a great venerable bonze@|@ma ha thaen@
@a green insect which lives on leaves@|@khi hay@
@a group of a hundred@|@sá dok@
@a group of spirits without souls@|@á săn nhi: sard@
@a group of stars@|@da ra kha na@
@a group of teachers@|@ke chi a chan@
@a guerrilla unit@|@kong chon@
@a hair@|@sên phom@
@a hairy fern@|@kut khon@
@a handful of rice@|@khao kam neung@
@a handled@|@kong@
@a happy sound@|@hiv@
@a hard lump below the ear@|@lù:k nu@
@a hard mass in the abdomen@|@dan leut@
@a hard wood tree@|@ká yom@
@a hard wood used for columns@|@li:@
@a hardwood tree similar to teak@|@ta khiang@
@a hardwood tree the scented wood of which is used as medicine@|@ka lam phak@
@a hardwood tree with large leaves which are used to make torches@|@theung@
@a heap of flowers@|@ku su ma khon@
@a high rank in the religious hierarchy@|@chao la sa kha na@
@a hillside bush with fragrant flowers@|@kao ton@
@a Hindu race@|@ku ru@
@a hissing@|@feu@
@a hissing sound@|@for for@
@a hollow in a tree@|@kon@
@a horse race@|@kheng ma@
@a hundred@|@sá dok@
@a hundred things@|@hoy pek@
@a juristic person@|@buk khon ni ti som mut@
@a kind o fetish in the form of the male genital organ@|@khun phet@
@a kind of bamboo@|@may hiay, may huak, may lay, may phang@
@a kind of bamboo the black pulp of which is used to make a medicine@|@kam pheng@
@a kind of basket for measuring rice@|@pork@
@a kind of biscult@|@sá tu:@
@a kind of bookcase for palm-leaf books@|@kha ka nyia@
@a kind of bush@|@kieng pheun@
@a kind of Chinese pillory@|@kheu kha@
@a kind of chipmunk@|@ka chin@
@a kind of climbing eggplant@|@khor ham neu@
@a kind of cloth of the best weave@|@chit ta ra phat@
@a kind of edible flower@|@dok khe@
@a kind of flower@|@dok kap, dok xum xeun@
@a kind of lute@|@ka chap phi@
@a kind of mosquito@|@kon long@
@a kind of palm tree@|@ton khor@
@a kind of plant@|@nyor@
@a kind of raven@|@ka vao@
@a kind of ruminant animal@|@nyong@
@a kind of small banana@|@meu nang@
@a kind of soup made with coconut juice@|@tom ka thi@
@a kind of tree@|@nyom@
@a kind of yam@|@meu seua@
@a king’s concubine who has borne a child@|@chom man da@
@a knot@|@khot neung@
@a kond of tree@|@khak mok@
@a Lao song@|@xert sing@
@a Lao tribe@|@ka lerng@
@a Lao tribe in Burma@|@tong su@
@a large@|@ka ta koy, ka thiav, sing thong, tin het@
@a large bamboo basket for paddy rice@|@hin@
@a large bamboo buffalo bell@|@pong@
@a large bird@|@ket hoy@
@a large black bird@|@xum bang@
@a large catfish@|@pa: xoy@
@a large cooking pot@|@ká tha@
@a large cylindrical woven bamboo pannier@|@ka lom@
@a large dove-colore fish@|@pa: nok khaow@
@a large drum of the pagoda@|@kong phaen@
@a large fighting chicken with a small crest@|@kay ao@
@a large fish net@|@kádoung@
@a large fish-eating bird@|@ká ten@
@a large fisheating bird with black plumage and a white throat@|@kham kan@
@a large group of beautiful@|@sá vay@
@a large hook@|@nyo tha ka@
@a large lizard@|@nyap nyae@
@a large long scaleless fish@|@pa: khon@
@a large metal gong or bell@|@kang sa than@
@a large mussel@|@kap kuang@
@a large pannier fitting into a cart@|@ka so kian@
@a large pannier slung over the shoulder and attached to the waist@|@ka yang@
@a large pannier with coarse interstices@|@ka ta hang@
@a large piece@|@ngon@
@a large river fish@|@ka yaeng kho@
@a large sampan with side-passage decks@|@ka saeng@
@a large sea fish@|@pa: sa moy@
@A large solitary wasp@|@me non ven@
@a large tree with few leaves@|@ka nuan@
@a large type of deer@|@kuang soy@
@a large type of flying lemur@|@bang lua@
@a large type of mango@|@ka sen@
@a large venomous snake@|@să:ng har@
@a large Vietnamese roll similar to Chinese egg rolls@|@ka yor@
@a large white fish@|@pa: pone@
@a large white scaled fish@|@pa: eun, pa: var@
@a large wicker fish trapaverage person@|@kája@
@a large yellow-bodied circular web-weaving spider@|@meng yang sern@
@a largecicada@|@ka lem@
@a largemounthed freshwater scaleless fish@|@kherng@
@a larger owl@|@khao huk, khao lan@
@a late or delayed plane@|@kheuang bin xa@
@a latex vine@|@kha kay@
@a laying hen@|@kay khai@
@a legendary bird@|@sú ban@
@a leguminous@|@khi kay pho@
@a leguminous aquatic plant@|@ká set@
@a leguminous tree of the dense forest@|@nàm kieng dong@
@a letter@|@taeng nang seu@
@a line@|@ka la sut@
@a little@|@dee, noy neung, noy neung, sá ngao, sá noy, sūa:n noy@
@a little at a time@|@theu la lek theu la noy@
@a little bird told(me@|@phi bok@
@a little bit@|@chak su noy, lēk noy@
@a little later@|@tor na khao neung, tor noy neung@
@a little painful@|@pen si jep jep@
@a little time@|@bor nan@
@a little unhappy@|@pen si hay hay@
@a living husband@|@xi va bor de@
@a long@|@cheuay, khong loy@
@a long drum@|@kong tab@
@a long foot@|@thi kha pha thi@
@a long frum@|@kong hang@
@a long grass used for roofing@|@faek@
@a long or troublesome way@|@thu ra tha va@
@a long song in epic form accompanied by music@|@sĕ: phar@
@a long time@|@nyao nan@
@a long time ago@|@don nan, ná:n tuan laew@
@a long time since@|@don leow@
@a long vegetable of the gourd family@|@ngo ngev@
@a long-rooted wild yam@|@man nok@
@a look at@|@saeng tar@
@a lot@|@mak may@
@a lot object@|@khong hia@
@a lot of people@|@khon lay, khon lay@
@a lovely body which is tall and well-proportioned@|@ngam ad lat@
@a low group consonant@|@nor@
@a low wall (well-made and ornamented)@|@kam pheng keo@
@a lower grade functionary@|@khun meun@
@a magic word@|@kam pheng chat san@
@a male (rare usage)@|@ka thai@
@a male elephant with short tuske@|@si: dor@
@a man who has been widowed several time@|@phae mia@
@a man who is capable of love@|@ka min@
@a mango@|@muang si@
@a masonry wall@|@fă pha thay@
@a measure of area@|@phu mi ri man@
@a measure of capacity equal to 20 liters@|@sát@
@a measure of length@|@fut@
@a measure of length equal to@|@nyot sa na@
@a medical shrub@|@xor@
@a medicialplant@|@khī: fai nok khom@
@a medicinal@|@kon khup@
@a medicinal leaf@|@tong xat@
@a medicinal plant@|@ka, luang, kam noy, ket ta sat luang, ket ta sat noy, khon khian, kut nam, phi luang, phi ma saen@
@a medicinal plant of the Artemisia family whose leaves have an odor of camphor@|@chu la lampha@
@a medicinal root@|@kao thad, kha dong, kom koy lot khon, mon heua, phong phi, phu phor ka, să:m khuay, tap tao noy, tong theung@
@a medicinal vine@|@khao muak khao@
@a medicine for animal dysentery@|@ma ha herng@
@a medium-sized drum@|@kong ting@
@a member of the Araceae@|@phuk dam@
@a member of the monkey family@|@li:ng khang@
@a middle-sized tiger@|@seua leuang, seua leuang@
@a military unit@|@kong tha han@
@a ministry of the government@|@ka suang@
@a moment@|@bor nan, khao diev, khao neung, khao neung@
@a moment ago@|@meu ki ni@
@a monetary unit equal to four bath of silver@|@tam leung@
@a monetary unit equal to one on-hundredth of a kip or ticul@|@át, át@
@a monk@|@pha ton neung@
@a monocotyledonous plant with club@|@thiam thao@
@a moral person@|@nāk tham@
@a mount of rainfall@|@tha ra thi khun@
@a mountain nomad tribe@|@tong keung@
@a mountain tree@|@pha dai@
@a multitude of stars@|@da ra kha na@
@a musical instrucment@|@ku khaen@
@a musical instrument played on joyous occasions@|@nán tha nán thi dou ri nhang@
@a mythical bird@|@vé:n tai@
@a name of the Buddha@|@mu ni khun son@
@a neon lamp@|@fay fa lod@
@a new thing@|@khong lin@
@a newly admitted Buddhist novice@|@sát thi vi har reek@
@a nice knife is undid from it's holder@|@mit lon@
@a night-blooming flower@|@ban kham@
@a night-blooming flower whose shrub is used ornamentally@|@ban derk@
@a nocturnal bird of the owl family@|@ka ba@
@a non-inflammatory lump or mass in the abdomen@|@dan nay thong@
@a northern tribe@|@nyo nok@
@a nude ascetic@|@á chei la ka@
@a null@|@or@
@a number of@|@cham nuan neung, cham nuan neung@
@a pair@|@khu nung, khu nung@
@a pale indigo precious stone@|@nī lo bon@
@a part@|@kot that, sūa:n ning@
@a part of@|@kot that@
@a part of the intestine of bovines@|@nyor, nyor zin@
@a part of the whole@|@nyoy@
@a perennial plant found on sandy shores@|@kay tia@
@a perfume compounded@|@chuang chan@
@a person with black eyes@|@ka la naet@
@a person with religious faith@|@sát thar chid@
@a person worthy of marriage@|@khu sang, khu sang som@
@a piece of cloth@|@cho la@
@a piece of mony@|@ka ha pha na@
@a piece of wood@|@may khon@
@a pile of rice seed@|@sum kar@
@a pile of wood@|@kong pheun@
@a pinch(as of salt@|@yip diav@
@a place of wood@|@thon may@
@a place which is always wet due to water seepage@|@xam@
@a plant of the cactus family@|@ta bong@
@a plant of the garlic family@|@ka thiam@
@a plant whose seeds are edible@|@man nga@
@a plant with maroon flowers@|@man phu@
@a poisonous tree@|@pao@
@a poor@|@khon thuk@
@a portion of merit@|@sūa:n boun@
@a posture in the Lao classical dance@|@pha la phiang lay@
@a power king of the city of Patalibut@|@chan tha ra khop@
@a powered red stone used as a pigment@|@ma no si la@
@a president@|@pen pa than@
@a pretty color@|@si: sa lao, si: sa lao@
@a pretty girl@|@kaeng nya, kan nya@
@a prince of which founded Buddhism@|@să: ki nha@
@a prison drum@|@kong ta rang@
@a process of divination for finding lost articles (using one of three methods determined by lot)@|@ka chap lak@
@a prosperous person@|@xo ta ka@
@a province of southereastern China@|@kuang tung@
@a province of southern China@|@kuang si@
@a punster@|@xieng mieng, xieng mieng@
@a pure language such as Pali or Sanskrit@|@tan ti pha sa@
@a quatic animal@|@vá: ri: chon@
@a raise of 5%@|@kheun erk ha tor hoy@
@a rank in the Buddhist hierarchy@|@chao hua@
@a ray from the halo around the head of the Buddha@|@ke tu ma la@
@a red jewel@|@keo phae thay@
@a red tusk which inspires fear@|@kheu pheu@
@a reddish animal of the squirrel family@|@ka nay@
@a red-skinned with banana@|@kuay kang@
@a reexamination@|@sop kae tua@
@a religious person@|@nāk baud@
@a resounding drum@|@kong dang@
@a rest@|@xao heng, xao meuy@
@a ricefield plant@|@khay khiat@
@a rich and sensual man@|@sá ring khar rin@
@a river in Vientiane province@|@ngeum@
@a river of central Laos@|@nàm ka ding@
@a river which forms the boundary between Khammouane and Savannakhet provinces@|@xe noy@
@a rocking horse@|@ma yok@
@a rodent of the squirrel type@|@ká tae@
@a rolling stone gathers no moss@|@nyay bon siay thi@
@a rolling stone gathers on moss@|@nyay thi siay sao@
@a round@|@kheu hom ma@
@a round yellow spiny eggplant@|@tua khaek@
@a round-grained@|@khao mak kham@
@a rrive@|@han@
@a ruse@|@ku sa lo bay@
@a sacred place@|@chae dee nya sa than@
@a salt-water fish@|@ku lao@
@a samll flat white fish@|@mang@
@a sand insect@|@me beung@
@a scaled@|@kuan@
@a score@|@xao neung, xao neung@
@a seat of laths placed in the bottom of a boat@|@xá naen@
@a secret which must be strictly guarded@|@khuy ha ra hat@
@a sect of Brahmins@|@á chei la ka@
@a section of a degree@|@phi lin da@
@a seedless banana@|@kuay hib@
@a selfish man@|@mat sa ri@
@a senior monk@|@chao hua@
@a serious situation@|@pha va khap khan@
@a seven-line poem consisting of 28 words@|@sú rang kha nang@
@a shift@|@chat vaen phen fien@
@a short@|@ka ba nam@
@a short black silurid@|@pa: douk ee ou@
@a short man@|@vá: mon@
@a short or shortened arm@|@khaen khit@
@a short sound@|@chat@
@a short variety with yellow flesh@|@kuay kai@
@a short while ago@|@á chi ra@
@a show of force@|@kam lung haeng thien@
@a shroud enveloping the personal soul@|@xi va dot@
@a shrub with large leaves and white flowers@|@nyi hub@
@a silk material@|@ko sai@
@a silver scaled fish with a long dorsal fin and a flat belly@|@pa: sa kang@
@a silver-footed tray@|@phan ngern@
@a single step@|@bat yang diav@
@a skin disease characterized by white spots@|@keun@
@a slender woody vine@|@khor hang mu@
@a small@|@chaen, kay kum, kong kha@
@a small bat@|@kang tong@
@a small bird living near pools and characterized by a swooping flight@|@kádepdao@
@a small buffalo bell@|@kha ling@
@a small carp@|@pa: xiw aow@
@a small catfish measuring up to eight inches@|@pa: nhon@
@a small contianer for cooked rice@|@kong khao@
@a small crayfish@|@kung phai@
@a small cylindrical pannier of woven bamboo@|@ka yong@
@a small dog with long fur@|@chu@
@a small earthware kitchen bowl@|@ka up@
@a small fish@|@ka chon@
@a small fish-eating bird@|@ka ten sao@
@a small flat bronze cymbal@|@phang hat@
@a small fresh-water scomber which is usually served salted@|@thu@
@a small gong@|@khong ka thae@
@a small jungle bird@|@kon cha@
@a small Lao cake@|@káterlornsong@
@a small lizard@|@ka phom mai@
@a small mouse which appears in large numbers during the fruition of bamboo@|@khi@
@a small mussel@|@kap ki@
@a small owl@|@khao mak kok, khao mak kok@
@a small oxcart@|@kian sa li@
@a small river fish@|@ká tao, káderd@
@a small scaled fish@|@pa: kon@
@a small scorpion@|@ngot@
@a small species of river fish@|@ká yaeng@
@a small temple in the pagoda which holds just  21 bonzes@|@khan tha si m@
@a small two-faced drum@|@kong ta phon@
@a small type of banana@|@kauy kan boun@
@a small type of deer@|@kuong si@
@a small type of flying lemur@|@bang tong@
@a small white flower used for decorating bowls for the Lao wedding ceremony@|@dok hak@
@a small white scaled fish@|@pa: ka man@
@A small wooden bar@|@hua hao@
@a small woven pannier of bamboo@|@ka lum@
@A smooth and slimy white mushroom@|@ta lo@
@a smooth eggplant with a spiny stem@|@kheu khon@
@a smooth white rock@|@ná:ng farn@
@a solid thing or hard object@|@khong kheng@
@a sond@|@kot@
@a soul seeking to be born@|@săm pha vei si:, săm pha vei si:@
@a sound@|@kheuk kheun@
@a soup or ragout of porking giblets and assorted condiments@|@buan@
@a sour soup mage of meat@|@tom keng som@
@a source of guttapercha@|@bong@
@a species of tree fern@|@kut ka ni@
@a spiced sausage@|@sây kok@
@a spiny@|@khaeng nam, khaeng nam@
@a spiny bush@|@ngiang duk@
@a spiny eggplant used medicinally@|@kheu nam@
@a spiny tree with dark blue fruit@|@ken@
@a spiny vine@|@ka that@
@a spiny vine with small multiple leaves and a strong odor@|@kha@
@a stand@|@thaen@
@a starving tiger@|@seua hiew@
@a steer gone wild@|@ngua ba@
@a stick skims the head@|@khone vid hue@
@a strong believer@|@sát thar thi ka@
@a student interested in learning@|@vé: nai@
@a substitute cock@|@kay hong bon@
@a suburb of Bangkok@|@thon bu ri@
@a suffocating odor@|@kheun@
@a suit of clothes a set of tool@|@kheuang xum nung@
@a sweet prepared by boiling yams@|@kaeng buan@
@a system for calculating the time of a solar eclips@|@kam ma sa phon@
@a taboret for serving food@|@ká tok@
@a tanning substance@|@si: sied@
@a technical word@|@sáp teik nik@
@a Thai orchestra@|@phin phat@
@a thick@|@ban thu kan phon@
@a thick-leaved plant@|@phak sang@
@a third party@|@buk khon phay nok@
@a thorny tree without flowers@|@thong nam@
@a thousand or so@|@cham naun phan@
@a thousand years@|@phan phi@
@a tied game@|@chao@
@A tiny fish@|@pa: kom@
@a tiny green aquatic plant@|@khay hen@
@A tiny white fish which@|@pa: ka taow@
@a tiny white fish with a red dorsal fin@|@pa: vien fay@
@a tiny white scaled fish@|@pa: pok@
@a title for the Buddha@|@pha kha va@
@a title given to one who served as novice@|@xieng@
@a toy of northern Laos@|@ka sae@
@a transparent photographic positive@|@hup phim say keo@
@a tree@|@ka ka thing, lom khom, ma ha ra lay, mon va, xum ka tay@
@a tree having edible fruit and seeds used medicinalyl@|@muang khut@
@A tree in India’s garden@|@pa: ri xard@
@a tree of foreign origin in the Buddhist romance@|@kao phum@
@a tree of heaven@|@kan la pha na@
@a tree of the dense forest used for firewood and medicinally@|@duk say@
@a tree of the Dipterocarpus family@|@nyang khao@
@a tree relted to ko bearing no fruit@|@ko keu@
@a tree used medicinally@|@săn phar hom, săn phar mon@
@a tree with dark blue flowers@|@ka ka lao@
@a tree with edible  red fruit growing in clusters@|@ngav hod@
@a tree with edible young leaves@|@mek, mek@
@a tree with frgrant perfume@|@tak khan@
@a tree with handsome wood@|@săn phar nang ae@
@a tree with red flowers touched with white@|@sá mung@
@a tree with round sweet edible fruit@|@ta kai@
@a tree with small fragrant flowers used in garlands@|@phi kun@
@a tree with small fruit used medicinally against rheumatism@|@feung thoy@
@a tree with spiny branches and trunk@|@ngua liang@
@a tree with white flowers@|@Kádom tòn@
@a tribe between the Mon and Khmer@|@kha@
@a tribe in the mountains of Khammouane Province@|@tho@
@a tribe of mountaineers in North Burma@|@nyang@
@a true item@|@khong ching@
@a tureen from which rice is offered to the bonzes@|@khao bat@
@a two-faced drum@|@ta phon@
@a type of bamboo@|@kay, khoy sang, kuan, sá loy@
@a type of beetle@|@chi nun@
@a type of cake@|@khao sa tu@
@a type of cereal grain@|@khao khuang@
@a type of conical fishnet@|@chor vor@
@a type of decorative bamboo tree@|@may sang phay@
@a type of dragonfly@|@ka nun@
@a type of fiab@|@sá kang@
@a type of fireworks@|@fay pha niang@
@a type of flower@|@mun tha@
@a type of freshwater fish@|@kon@
@a type of grapefruit@|@kieng kham@
@a type of green leafy vegetable@|@phak kat khom@
@a type of hardwood tree@|@may khen@
@a type of heron@|@kap bua@
@a type of iguana@|@kho tha@
@a type of large banana@|@kay@
@a type of lizard@|@chi pom, ko@
@a type of lizard with a black and red neck@|@ka phon kang@
@a type of mango@|@sá vai sor@
@a type of masked play@|@khon@
@a type of mimoss@|@dok ka thin@
@a type of mushroom@|@kor nam@
@a type of music@|@kham@
@a type of orange@|@khiav van@
@a type of orchid@|@kuay mai@
@a type of others to work more effectively@|@kieng lom@
@a type of pannier@|@ka pae@
@a type of perch@|@kheng@
@a type of perch with tiger colors@|@pa: seua@
@a type of pumpkin@|@fak leung@
@a type of ragout m ade with vegetable@|@xua@
@a type of rattan@|@sá noy@
@a type of rubber vine@|@khor mak ngam@
@a type of short poem consisting of eight lines@|@sák ka var@
@a type of skyrocket@|@nork ka chork@
@a type of slacked@|@nyo@
@a type of small@|@chat@
@a type of small frog living in rice paddies@|@cha rong@
@a type of teal smaller than pet deng@|@pet bing, pet pong@
@a type of thornless bamboo@|@may sang@
@a type of tree@|@khe, khom fum@
@a type of tree similar to sandal-wood@|@chuang hom@
@a type of wasp@|@yay@
@a type of watercress@|@tang o@
@a type of white scorpion fish@|@pa: mou@
@a type of woven bamboo pannier@|@kuay ta lev@
@a type of xyophone with sixteen small bronze gongs@|@khong vong@
@a type of yam@|@heup@
@a type pf domestic chicken@|@kay ta phot@
@a variety of rice used medicinally for rheumtism@|@khao khay leung@
@a vast crowd of people@|@phu khon mak may@
@a vegetable@|@phak khao thong@
@a venomout snake@|@să:m liem ngou@
@a vertical piston@|@sû:p tung@
@a very famous physician in the early Buddhist era@|@ko ma ra phat@
@a very fine-meshed sieve@|@kherng thi@
@a very intelligent procedure@|@kon la mat@
@a very large bee@|@pha ma rin@
@A very large member of the catfish family@|@pa: khae@
@a very light noise@|@nging@
@a very small earthworm@|@khi thak thae@
@a very small eel-like fish@|@pa: sa thong@
@a very small frog which lives underground@|@khiat bak aeng@
@a very small mango@|@ká sor@
@a very small mosquito@|@nyung thin@
@a very small rodent@|@ka len@
@a very small stream fish@|@ka taep@
@a very strong@|@khi mu@
@a very tall and strong reed@|@khaem@
@a very tiny fish@|@pa: id, pa: od@
@a vine@|@huang sum@
@a vine of the pumpkin family@|@ká ton@
@a vine reputedly able to conteract poison@|@keo meung mang@
@a vine reputedly able to contetract posion@|@keo meung la@
@a vine resembling rattan@|@thao san@
@a vine used for medicine@|@nguan tak ngay@
@a vine with sour-tasting@|@koy@
@a vine with thorns on the stem@|@ta pong@
@a vine with white flowers@|@kádomkhía@
@a virgin@|@kan nya@
@a volcano erupts@|@phu khao la bert@
@a wading bird@|@ka thian@
@a watch@|@tang mong@
