@English@|@Cornish@
@berry@|@moren@
@beseiger@|@omsettyer@
@besides@|@hep@
@bestial@|@góthfylek@
@bestowal@|@larjes@
@betrayal@|@tull@
@betrayer@|@traytour@
@betting@|@kenwystlans@
@between@|@ynter@
@biblical@|@býblek@
@bicycle@|@deuros, dewros, diwros, marghhorn@
@bidding@|@arghadow@
@big@|@bras@
@billing@|@notyans@
@binding@|@colmen@
@binding board@|@aden@
@bindweed@|@gwek@
@birch tree@|@besewen@
@bird@|@edhen@
@birds@|@ydhyn@
@birthday@|@penbloth@
@biscuit@|@tesen gales@
@bitterer@|@wherwa@
@bittern@|@clabyttour@
@bivouac@|@camp@
@black@|@du@
@blackberry@|@moren du@
@blackbird@|@molgh dhu@
@blacksmith@|@ferror@
@bladder@|@gusygen@
@blanket@|@len@
@bleach@|@gwynna@
@bleating@|@brýf@
@blemish@|@defowt@
@blessed@|@gwynvýs@
@blessing@|@bennath@
@blindman@|@dall@
@blister@|@whejalen@
@blither@|@lowenna@
@bloated@|@whethfys@
@blockade@|@degéans@
@blood@|@goes@
@blood red@|@kogh@
@bloody@|@goesek@
@blossom@|@blejyewen@
@blowing@|@wheth@
@blubber@|@blonek@
@blue@|@glas@
@bluebell@|@blejen an gucu@
@boarder@|@ostyas@
@boaster@|@boster@
@boat@|@cok, skath@
@boatload@|@carg@
@bodies@|@korfow@
@body@|@corf, korf@
@boiling@|@bryjyon@
@boldness@|@bolder@
@bolster@|@penwely@
@bombast@|@predhek@
@bondsman@|@tythyak@
@bone@|@ascorn@
@bonfire@|@tansys@
@book@|@lyver@
@booklet@|@lyfryk@
@booster@|@crefhé@
@boredom@|@squyther@
@borough@|@borgh, burjestra@
@botanist@|@losower@
@boundary@|@ór@
@bowl@|@scala@
@boy@|@map, maw@
@boyhood@|@mapsys@
@bracelet@|@modrewy@
@bracken@|@grüglon@
@bracket@|@corbel@
@braggart@|@bragyer@
@bragget@|@bragas@
@bragging@|@facyans@
@braider@|@plethor@
@braiding@|@plethwyth, pléthwýth@
@brain@|@ympynyon@
@bramble@|@dreysen@
@brambly@|@dreysek@
@bran@|@talgh@
@branched@|@scorrek@
@bread@|@bara@
@breadth@|@les@
@breakage@|@torva, torva@
@breakfast@|@hansel@
@breaking@|@torva@
@breeder@|@mager@
@breeding@|@magereth@
@brethren@|@bredereth@
@brevity@|@berder@
@bridge@|@pons@
@briefer@|@cotta@
@brigand@|@robbyor@
@brighter@|@clerra@
@brightly@|@splan@
@brindled@|@labol@
@bringer@|@kergher@
@Britain@|@Breten@
@Brittish@|@Bretennek@
@brittle@|@brottel@
@brocade@|@paly@
@brochure@|@lyfryk@
@brooklet@|@nonnen@
@broom@|@scübel@
@brother@|@broder@
@brother-in-law@|@broder-da@
@brown@|@gorm@
@brownish@|@gellyk@
@bruised@|@brew@
@bucket@|@kelorn@
@buckwheat@|@gwaneth frynk@
@bucolic@|@bügelek@
@buffalo@|@büal@
@builder@|@sér@
@bulkhead@|@fós@
@bull@|@tarow@
@bullock@|@lothen@
@bulrush@|@penduen@
@bulwark@|@scons@
@burger@|@byrger@
@burgess@|@burjes@
@burgundy@|@burgayn@
@burning@|@loskvan@
@bus@|@bus, kyttyrn@
@business@|@negys@
@busybody@|@mellyer@
@butcher@|@kyger@
@butcher shop@|@shoppa kyger@
@butchery@|@kygereth@
@butter@|@amanyn@
@buttercup@|@paw-brán@
@butterfly@|@tykky-dew@
@buttery@|@talgell@
@buttock@|@pedren@
@buttress@|@jyst@
@buzzard@|@bargos@
@cabbage@|@cawlen@
@cabinet@|@amary@
@cackling@|@grek@
@cafe@|@koffiji@
@cake@|@tesen@
@calendar@|@dedhyador@
@calf@|@lugh@
@calfskin@|@lughken@
@calling@|@galow@
@callous@|@aflythys@
@camomile@|@camyl@
@can@|@canna, cannys@
@candor@|@gwyrder@
@canonry@|@chenonry@
@canticle@|@cantykyl@
@capable@|@abel@
@capacity@|@gavel@
@capital@|@chattelen@
@caprice@|@sýans@
@capstan@|@cabestran@
@captain@|@hembrynkyas@
@car@|@car@
@carapace@|@crogen@
@carcass@|@caryn@
@cardinal@|@cardynal@
@carefree@|@dygüth@
@careful@|@prederys@
@carnage@|@arva@
@carpet@|@leurlenn, lurlen@
@carping@|@crothak@
@carrack@|@carrak@
@carriage@|@caryach@
@carrier@|@deger@
@carrion@|@caryn@
@carrot@|@caretysen@
@cars@|@kerry@
@cartoon@|@lynennans@
@carving@|@gravyans@
@cascade@|@dowrlam, lamfróshé@
@cashier@|@cashyer@
@cassock@|@gonhyr@
@castle@|@dinas, kastell@
@cat@|@cath@
@cataract@|@dowrlam@
@cathedral@|@penneglos@
@cats@|@kathes@
@cattle@|@chattel@
@cauldron@|@caudarn@
@cauliflower@|@cawlvlejen@
@causeway@|@cauns@
@caution@|@gwarnyans@
@caution (v.)@|@gwarnya@
@cautious@|@wár@
@cavalier@|@marghak@
@ceiling@|@nen@
@celery@|@kegys whék@
@celibate@|@dydhemeth@
@cellar@|@dorgell@
@cemetary@|@enclathva@
@censure@|@repref@
@century@|@cansbledhen@
@ceremony@|@solempnyta@
@certain@|@cowgans@
@chaffinch@|@tynk@
@chagrin@|@edrek@
@chair@|@cadar, kador@
@chairman@|@caderyer@
@chairs@|@kadoryow@
@chalice@|@kelegal, kelegel@
@chalk@|@calghen@
@chamber@|@stevel@
@champion@|@campyer@
@chancel@|@chansel@
@chandler@|@cantolor@
@channel@|@chanel@
@chaplain@|@chaplen@
@chapter@|@chaptra@
@charcoal@|@glow@
@chariot@|@charet@
@charmer@|@gorhenyas@
@charter@|@chartour@
@chastity@|@chastyta@
@chattel@|@chattelen@
@chatter@|@flows@
@cheek@|@bogh@
@cheerful@|@lowenek@
@cheers@|@sowena, yeghes da@
@cheese@|@kés, keus@
@chemical@|@kymysk, kymyst@
@chemist@|@kymyst@
@cherry@|@keresen@
@cherubim@|@cherubyn@
@chervil@|@serfel@
@chest@|@bryansen@
@chestnut@|@kestenen@
@chevron@|@keber@
@chicken@|@mabyar, yar, yeryk@
@chickens@|@yer@
@child@|@flogh@
@childish@|@floghyl@
@children@|@fleghes@
@chimney@|@chymbla@
@chimnies@|@chymblys@
@chin@|@elgeth@
@chip@|@asclas, asclejen@
@chips@|@asclus@
@chivalry@|@chevalry@
@choking@|@ták@
@chooser@|@dewysyas@
@chopper@|@tregher@
@chorale@|@cürgan@
@chubbier@|@boghecca@
@church@|@eglos@
@churches@|@eglosyow@
@churlish@|@vylen@
@cinema@|@gwaya-mýr@
@cinnamon@|@canel@
@circle@|@kelgh@
@circuit@|@troýll@
@circular@|@cren@
@cistern@|@dowrargh@
@citation@|@devyn@
@city@|@cyta@
@civility@|@cyvylta@
@clamour@|@trós@
@clapping@|@takyans@
@clarion@|@tollcorn@
@clarity@|@clérder@
@classic@|@classyk@
@clatter@|@cryghyllyans@
@cleaner@|@pürra@
@clearer@|@clerra@
@clearing@|@lanergh@
@clearly@|@ylyn@
@cleavage@|@glenans@
@cleaved@|@felsys@
@clemency@|@cüfter@
@clement@|@cüthek@
@cleverly@|@fél@
@cliff@|@als, leder@
@clinging@|@serghak@
@clipper@|@gweljow@
@clock@|@clock, clok@
@cloister@|@lan@
@closely@|@close@
@closest@|@nessa@
@clothes@|@gwyscas@
@cloud@|@kommol@
@cloudy@|@kommolek@
@clover@|@mullyonen@
@clumsier@|@dycrefta@
@cluster@|@bonny@
@coach@|@kyttrin@
@coalmine@|@glowek@
@coarser@|@garwa@
@coast@|@arvor@
@coastal@|@arvórek@
@coat@|@pows@
@cobbler@|@kerýor@
@cod@|@barfüs@
@codfish@|@barfy@
@coequal@|@kehaval@
@coffee@|@coffy, koffi@
@cogwheel@|@rósdynsak@
@cohesion@|@kresclenyans@
@coinage@|@coynach@
@coincide@|@kenwharfos@
@colander@|@sythel@
@coldness@|@yeynder@
@colewort@|@ongel@
@collapse (n.)@|@collva@
@college@|@coliy@
@colloquy@|@kescows@
@colonial@|@colonyek, colonýek@
@color@|@lyw@
@colt@|@ebol@
@comb@|@crýb@
@come@|@dos@
@comfort@|@hebasca@
@command@|@arghadow@
@comment@|@campollans@
@commerce@|@kenwerth@
@commoner@|@kemyn@
@compact@|@ambos@
@compact (adj)@|@tew@
@company@|@kyfyewy@
@compass@|@compas@
@compete@|@kesstryvya@
@complete@|@cowlwül, dyen@
@complex@|@plegyans@
@compound (adj.)@|@kemyskys@
@compound (n.)@|@kemyskyans@
@computer@|@jynn-amontya, kempoller@
@comrade@|@cothman@
@concave@|@cow@
@conceit@|@góth@
@concept@|@consayt@
@concern@|@bern@
@concise@|@kempen@
@concord@|@kessenyans@
@condemn@|@dampnya@
@conduct (n.)@|@omdhon@
@conduit@|@goth@
@confined@|@yn@
@conflict@|@omdowl@
@congress@|@cuntellva@
@conical@|@pykernek@
@conjugal@|@prýosol@
@conjurer@|@atronymer@
@conquest@|@fethans@
@consent@|@bóth@
@constant@|@lél, lén@
@contact (n.)@|@tuchyans@
@contest@|@omdowl, stryvya@
@contexts@|@kerghyn@
@contract@|@kevambos@
@contrary@|@cónter@
@contrite@|@cüdhyjyk@
@control@|@gallos@
@convert@|@trélya@
@copious@|@lün@
@coppice@|@gwelenek@
@cordage@|@lovonow@
@cordial@|@colonnek@
@corn@|@ýs@
@Cornish@|@Kernewek@
@coroner@|@curünor@
@coronet@|@curünyk@
@corporal@|@corporal@
@correct@|@ewn@
@corridor@|@tremenva@
@corrupt@|@podrethek@
@cosiness@|@clesor@
@costlier@|@kerra@
@costume@|@dyllas@
@cottage@|@penty@
@couch@|@growedhva, gwely-déth@
@council@|@consel@
@counsel@|@cusül, cusülya@
@country@|@pow@
@coupling@|@copel@
@courage@|@colon@
@courier@|@réswas, réswas@
@courtesy@|@jentylys@
@cousin@|@ke-nderow@
@covenant@|@kevambos@
@covering@|@gorheras@
@coverlet@|@pallen@
@covetous@|@crefyon@
@cow@|@bugh@
@cowardly@|@coward@
@cowhide@|@bughken@
@cowshed@|@bowjy@
@crab@|@canker@
@crabbed@|@dynás@
@cracked@|@trogh@
@cracking@|@grolyak@
@craftily@|@fél@
@craving@|@yeunadow, yeunek@
@crayfish@|@gavar-mór, gavarmor, gryll awan@
@cream@|@déhen@
@creamery@|@dehenjy@
@creative@|@ynjýn@
@creator@|@gwrýer@
@credence@|@crejys@
@credit card@|@carten lendya@
@creditor@|@creancer@
@crevice@|@fúg@
@cricket@|@crýgell@
@criminal@|@drók@
@crimped@|@crom@
@crinkled@|@crom, crýgh@
@cripple@|@efreth, evredhy@
@crippled@|@evredhek@
@critical@|@tykly@
@croaking@|@grolyak, ronk@
@cromlech@|@cromlegh@
@crosier@|@bagyl@
@crossbow@|@arblast@
@crossed@|@trüs@
@crossing@|@tremenyans@
@crowing@|@kenys@
@crucial@|@tér@
@crucible@|@tehtlester@
@crucifix@|@crowspren@
@crucify@|@crowsya@
@crudity@|@anathveseth@
@crueller@|@garwa@
@cruelty@|@hakter@
@crumpled@|@crom@
@crusted@|@crestennys@
@crystal@|@crystal@
@cucumber@|@pompyon wheg@
@culture@|@gonysegeth@
@cunning@|@coyntys, fél@
@cup@|@hanaf@
@cupboard@|@a-mary, amary@
@cupidity@|@pythneth@
@curious@|@coynt@
@currant@|@grappa@
@currants@|@grappys@
@currency@|@mona@
@current@|@frós, lemmyn@
@currier@|@croghen@
@cursing@|@mollethyans@
@cursive@|@dygompes@
@curtain@|@croglen@
@curtsey@|@cortesy@
@cushion@|@pluvak, plüvak@
@custody@|@gwýth@
@customer@|@prener@
@cutting@|@skyllen@
@cuttlefish@|@padel-ynkyn@
@cyclone@|@trowyns@
@cyclonic@|@trowynsek@
@cylinder@|@ról@
@cynical@|@dyscryjyk@
@dad@|@tas@
@daffodil@|@a-fodyl@
@dairies@|@léthletyow@
@dairy@|@léty@
@daisy@|@ygor@
@damager@|@apéryer@
@dancer@|@donsyor@
@dandelion@|@dans-lew@
@dandruff@|@bréghy@
@dappled@|@spleytar@
@darknes@|@tewder@
@daughter@|@myrgh@
@daughters@|@myrghes@
@dawdler@|@termynak@
@dawdling@|@termynak@
@dawn@|@bora@
@day@|@déth, dydh@
@days@|@dydhyow@
@deadness@|@marder@
@deafness@|@bodharsys@
@dearest@|@whegoll@
@dearness@|@kerneth@
@debater@|@dathelor@
@debility@|@gwanegreth@
@decanter@|@costrel@
@decayed@|@podrek@
@deceased@|@marow@
@deceiver@|@tullor@
@december@|@kevardhu@
@December@|@mýs-Kevardhu@
@decency@|@onester@
@decipher@|@desmygy@
@decision@|@ervyrans@
@decorous@|@semly@
@decorum@|@onester@
@deepness@|@downder@
@deerpark@|@kery@
@deerskin@|@carowgen@
@default@|@defowt@
@defector@|@negedhys@
@defence@|@sclew@
@defiance@|@ér@
@deficit@|@dyfyk@
@definite@|@dyblans@
@deformed@|@cammys@
@defunct@|@marow@
@dejected@|@dygolon@
@delegate@|@cannas@
@delicacy@|@medhelder@
@delicate@|@medhel@
@delight@|@dydhana@
@delivery@|@delyfrans@
@delusion@|@tarosvan@
@demented@|@varyes@
@density@|@tewder@
@dentist@|@medhek dyns@
@depraved@|@podrethek@
@deranged@|@varyes@
@derision@|@gés@
@descant@|@dyscant@
@descent@|@devedhyans@
@desert@|@dysert@
@deserter@|@fýer@
@designer@|@ynjynor@
@desirous@|@whansek, yeunek@
@desk@|@desk@
@desolate@|@ynyal@
@despair@|@dyspér@
@despite@|@despýt@
@dessert@|@gorfen-prýs@
@destiny@|@destnans@
@detailed@|@keskelmyansek@
@devilish@|@dyawlak@
@devilry@|@dewlüjy@
@devoted@|@dywysyk@
@devotion@|@devosyon@
@diabolic@|@dyawlak@
@dialect@|@ranyéth@
@dialogue@|@kescows@
@diamond@|@adamant@
@dictate@|@erghy@
@dictionary@|@gérlyver@
@dignity@|@roweth@
@dilatory@|@termynak@
@dilemma@|@tranjyak@
@diligent@|@servabyl@
@dilution@|@dowrhéans@
@dining-room@|@kynyowva@
@dinner@|@koen, kynyow@
@diocesan@|@epscobedhek@
@diocese@|@epscobeth@
@diploma@|@gwarak@
@diplomat@|@lýscannas@
@directly@|@poran@
@director@|@kevarwedhor@
@dirty@|@plos@
@disabled@|@efreth@
@disarray@|@deray@
@disaster@|@anfüsy@
@disciple@|@dyskybel@
@discount@|@dyscont@
@discreet@|@dóth@
@disdain@|@dysdayn@
@diseased@|@anhedhek@
@disgrace@|@bysmér@
@disguise@|@toellwisk, tullwysk@
@disgust@|@dyflassys@
@dish@|@padel@
@diskette@|@ronderen@
@disloyal@|@dyslél@
@disorder@|@deray@
@dispatch@|@spédya@
@display@|@dysplétyans@
@disposal@|@danjer@
@dispose@|@desedha@
@disposed@|@plegadow@
@disprove@|@dysprevy@
@dispute@|@kedryn, stryvya@
@dissent@|@dyssentya, dyssentyans@
@distaff@|@kygel@
@distance@|@pellder@
@distant@|@pell@
@distinct@|@dybarow@
@distress@|@gréf, grevya@
@distrust@|@dyscrysyans@
@dividend@|@kevran@
@divinity@|@dewsys@
@division@|@kevrannans@
@divorce@|@dydhemedhyans@
@doctor@|@medhek, medhyk@
@doctrine@|@dyscans@
@doe@|@ewyk@
@dog@|@ki, ký@
@dogfish@|@dreynak@
@dogrose@|@rosenk@
@dogs@|@keun@
@doll@|@jowanna@
@dolorous@|@ankensy@
@dolphin@|@morah@
@domicile@|@trygva@
@dominant@|@rowtorek@
@dominion@|@gwarthevyans@
@done/made@|@gwrys@
@donkey@|@asen@
@door@|@daras, darras@
@doorman@|@porther@
@doors@|@darasow@
@doorway@|@porth@
@dove@|@colom, colomen@
@downfall@|@terros@
@downpour@|@pystyl@
@dragger@|@drayler@
@draggle@|@draylya@
@dragonfly@|@nader-margh@
@drainage@|@carthans@
@dramshop@|@gwyrotty@
@drapery@|@pannow@
@draught@|@swynnen@
@drawing@|@delynyans@
@drawnet@|@tenros@
@dredger@|@draylyer@
@dress@|@dyllas@
@dresser@|@lystryer@
@dribble@|@devera@
@driller@|@tollor@
@drink (n)@|@diwes@
@drizzle@|@newlglaw@
@droplet@|@dagren@
@dropping@|@pryl@
@drum@|@tabour@
@drunkard@|@medhow@
@drunken@|@medhow@
@dry@|@sygh@
@dubious@|@dowtys@
@duchess@|@duches@
@duck@|@hos, hós@
@duckling@|@heyjyk@
@ducks@|@heyji@
@duckweed@|@kenlyn@
@duet@|@deudhen@
@dulcimer@|@cythol@
@dullard@|@bodhorek@
@dullness@|@tewoglow@
@dumpling@|@pellen@
@dune@|@tewynn@
@dusk@|@twelwolow@
@dustheap@|@ponek@
@dweller@|@tryger@
@dwelling@|@anneth@
@dynamic@|@devrakterethek@
@ear@|@scovarn, skovarn@
@earldom@|@conteth@
@earlier@|@avara@
@earnest@|@dywysyk@
@earning@|@fangyans@
@earring@|@skynen@
@ears@|@diwskovarn@
@earth@|@gweras@
@Earth@|@An Norvys, Norvys@
@earthworm@|@búlügen@
@easeless@|@anhedhek@
@easement@|@hebasca@
@eclipse@|@megy@
@economy@|@erbys@
@ecstacy@|@rafsyans@
@edition@|@dyllans@
@eel@|@sylly@
@effusion@|@denow@
@effusive@|@tavask@
@egg@|@oy@
@eggs@|@oyow@
@egotism@|@omgarans@
@egotist@|@omgarer@
@eight@|@eth, éth@
@eighteen@|@étek@
@eighty@|@peswarügans@
@elastic@|@gwethyn@
@elbow@|@elyn@
@election@|@dewsyans@
@elector@|@dewysyas@
@electric@|@tredanek@
@elegance@|@jentylys@
@element@|@elven@
@elephant@|@olyfans@
@eleven@|@ünnek@
@elmgrove@|@elowek@
@elmtree@|@elowen@
@embalmer@|@untyer@
@embarass@|@ancombra@
@embassy@|@cannaty@
@embrace@|@byrla, chersyans@
@eminence@|@ughelder@
@eminent@|@flowr@
@employed@|@bysy@
@employee@|@arfedhysak@
@employer@|@arfdhor@
@empress@|@empres@
@enclosure@|@lann@
@endless@|@dyben@
@engineer@|@ynjynor@
@engine-house@|@jynnji@
@England@|@Pow Sows@
@english@|@sawsnek@
@English@|@Sowsnek@
@engraver@|@gravyor@
@enormity@|@efander@
@enquiry@|@govynnadow@
@enticer@|@dynyer@
@entirely@|@cowal, oll@
@entrance@|@rafsya@
@entreaty@|@govenek@
@envelope@|@maylyer@
@epistle@|@epystol@
@equality@|@hevelepter@
@equation@|@comparyans@
@equator@|@keheseth@
@equinox@|@keheja@
@erection@|@serthter@
@erudite@|@gwenwhys@
@escapade@|@prat@
@escapee@|@foesyk@
@especial@|@specyal@
@esquire@|@scoswas@
@essence@|@substans@
@estuary@|@hayl, heyl@
@evening@|@gorthewer, gorthugher@
@evenness@|@composter@
@evensong@|@gwesper@
@everyone@|@puponen@
@eviction@|@dyberghennans@
@evidence@|@dysquedhyans@
@evident@|@apert@
@exactly@|@poran@
@execute@|@dyala@
@executor@|@asectour@
@exercise@|@assay@
@exhibit@|@dysquedhes@
@exigency@|@ethom@
@exorcist@|@peller@
@expense@|@cost@
@expiate@|@prena@
@explorer@|@whythrer@
@exposed@|@dyclos@
@extract@|@devyn@
@extremis@|@enewores@
@eye@|@lagas@
@eyebrow@|@abrans@
@eyebrows@|@dewabrans@
@eyes@|@dewlagas@
@eyesight@|@golok@
@eyesore@|@hakter@
@fabulous@|@anethek@
@face@|@enep, fás@
@facility@|@eshéans@
@factory@|@gwýthva@
@faculty@|@týthyen@
@failing@|@dyfyk@
@failure@|@falladow@
@fainter@|@faynta@
@fairness@|@ewnder@
@faithful@|@dywysyk@
@falconer@|@falghunor@
@falconry@|@falghunoreth@
@falsely@|@falslych@
@falsity@|@fals@
@families@|@teyluyow@
@family@|@teylu, týlu@
@famished@|@storvys@
@fantasy@|@tarosvan@
@far@|@pell@
@farewell@|@farwel@
@farm@|@bargen-tir@
@farmer@|@tiek@
@farmers@|@tiogyon@
@farmer's wife@|@tioges@
@farms@|@bargen-tiryow@
@farmyard@|@garth@
@farrier@|@ferror@
@fart@|@bramma@
@farthing@|@ferdhyn@
@fashion@|@sewt, shapya@
@fast@|@uskis@
@fastened@|@stak@
@fasting@|@penys@
@fatality@|@marwoleth@
@father@|@tas, tás@
@father-in-law@|@sýra-da@
@fatigue@|@squytha, squythans@
@fatness@|@berry@
@fattish@|@berryk@
@fearless@|@dyagha@
@feature@|@dysquedhes, tremyn@
@February@|@Mis Hwevrer, mýs-Whevrel@
@feeling@|@natureth@
@feet@|@treys@
@feistier@|@hartha@
@felicity@|@gwynvys@
@feminity@|@gwregoleth@
@ferment@|@bragesy@
@ferocity@|@garowder@
@ferret@|@conna-gwyn dof@
@ferrier@|@ferror@
@ferrous@|@hornek@
@ferry@|@keybal@
@fiddle@|@fyl@
@fiddler@|@crowder@
@fidelity@|@lelder@
@fidgetty@|@fyslak@
@field@|@park@
@fields@|@parkow@
@fifteen@|@pymthek@
@fifth@|@pympes@
@fifty@|@hantercans@
@fig@|@fygesen@
@figtree@|@fykbren@
@filename@|@hanowscryf@
@filings@|@lyvyon@
@film-projector@|@gwayer-myr@
