@English@|@Lingala@
@bicycle@|@veló@
@big@|@-néne, monéne@
@big parent@|@nkoko@
@big parents@|@bankoko@
@bird@|@bandeke, ndeke@
@black@|@-índo, baindo, moindo, molílí@
@blood@|@makilá@
@boat@|@maswa@
@body@|@nzoto@
@bone@|@mokua, monkúwa@
@bones@|@mikua, mikuwa@
@book@|@búku@
@books@|@babuku@
@bottle@|@molangi@
@bottle opener@|@zibolateur@
@bottles@|@milangi@
@boy@|@moana mobali, mwana mobali@
@boys@|@bana mibali@
@bread@|@limpa, lipa@
@breads@|@mampa, mapa@
@breast@|@libele, ntólo@
@breasts@|@mabele@
@broom@|@likombo@
@brooms@|@bakombo@
@brother@|@ndeko@
@brother-in-law@|@basemeki, semeki@
@brown?@|@chokola?@
@buffalo@|@nzale@
@business@|@likambo, makambo@
@but@|@kasi@
@but he was not at home@|@kasi azalaki na ndako te@
@but she hung up@|@kasi akati@
@butter@|@mántéka@
@butterfly@|@kipekapeka@
@buttock@|@lisoko@
@buttocks@|@masoko@
@call it@|@Benga ye@
@Call me tomorrow@|@Benga ngai lobi@
@calm@|@kimia@
@Can we do a pregnancy test?@|@Tokoki kosala test ya dzemi?@
@Can you give us the name@|@O koki kopesa biso kombo@
@Can you write it in English?@|@O koki ko koma na Kingelezo?@
@car@|@motuka@
@cars@|@mituka@
@cassava leaves@|@mpondu@
@cat@|@niao@
@catfish@|@ngolo@
@chair@|@kiti@
@chairs@|@bakiti@
@cheek@|@litama@
@cheeks@|@matama@
@chief@|@mokonzi@
@chiefs@|@mikonzi@
@child@|@moana, mwäna@
@child is hidden in the house@|@Mwana abombami na ndako@
@child refuses to put the table@|@Mwana aboyi kosala mesa@
@child wants to take the breast@|@Mwana alingi mabele@
@children@|@bana, mwanabana@
@children are afraid of lions@|@Bana mingi babangaka nkosi@
@cities@|@bingumba@
@city@|@engumba@
@class@|@kelasi@
@classes@|@bakelasi@
@close the door@|@Kanga ezibele@
@cloud@|@lipata@
@cod dried@|@ikayabo, makayabo@
@coffee@|@kawa@
@cold@|@malili, mpío@
@confortable@|@elengi@
@cook@|@molambi@
@cooks@|@balambi@
@corkscrew@|@zibolateur@
@correct@|@alimá, malongá, seló, sémba@
@Could you possibly be pregnant@|@Est-ce que o zali na dzemi?@
@cousin@|@ndeko@
@cousines@|@bandeko@
@cover@|@molangiti@
@covers@|@milangiti@
@crocodile@|@nkoli@
@crocodiles@|@bankoli@
@dad@|@tata@
@Dad get out@|@Tata abimi@
@Dad got thinner a lot@|@Touches akondi mingi@
@Dad is outside@|@Touches azali na libanda@
@Dad is shaving@|@Tata azali kokata mandefu@
@dad's hat@|@ekoti ya felt@
@daughter-in-law@|@bakilo, bokilo@
@dawn@|@ntö'ngó@
@day@|@me, mói, mokölö@
@days@|@mikolo@
@delicious@|@elengi@
@Did you lose consciousness?@|@O kataki pema?@
@Did you read this book?@|@Otangi buku oyo?@
@Did you understand?@|@Oyoki@
@dirt@|@bosoto@
@Dish of water to boil for the flour of cassava!@|@Tia mai ya fufu!@
@Do not eat or drink anything@|@Koliya pe komela eloko té@
@Do you have a cough?@|@O zali ko kosola?@
@Do you have epilepsy?@|@O zali maladi ya njeta?@
@Do you have sugar diabetes?@|@O zali diabetique?@
@Do you smoke?@|@O melaka likaya?@
@Do you speak English?@|@Olobaka anglais?@
@does it come and go?@|@ezali koyaka pe kobunga?@
@dog@|@mbwá@
@dogs@|@bambwa@
@Don't know@|@Na yebi té@
@Don't touch me there!@|@Kosimba ngai awa té!@
@door@|@ezibele, pólte@
@doors@|@bizibele@
@dry@|@-kauka@
@duck@|@lisweswe@
@ducks@|@masweswe@
@dull@|@-túnú@
@during the day@|@na me@
@dust@|@putulú@
@ear@|@litói@
@ears@|@matoi@
@earth@|@mabele, mabelé, mokili@
@earths@|@mikili@
@egg@|@likeí, líki@
@eggs@|@maki@
@eight@|@moambi, mwambi@
@eldest@|@bankulutu, bayaya, nkulutu, yaya@
@electronic mail@|@mokánda@
@elephant@|@nzoku@
@ember@|@likala, makala@
@enjoy@|@sepela@
@Europe@|@mpoto, poto@
@evening@|@mpokwa@
@Everything will be all right@|@Nionso e kozala malamu@
@Excuse me@|@Limbisa ngai@
@eye@|@líso@
@eyes@|@miso@
@Fabrice is a child@|@Fabrice azali mwana@
@face@|@elongi@
@faces@|@bilongi@
@far@|@mosíká@
@fat@|@mafúta@
@father@|@papá, tatá@
@father-in-law@|@bokilo@
@feast@|@eyenga@
@feather@|@lonsálá@
@few@|@mokémoké@
@fine@|@Malamu, Nazali malamu@
@fine; thank you@|@Malámu, melesí@
@finger@|@mosapi@
@fingernail@|@linzáka@
@fingers@|@misapi@
@finished@|@- sila@
@fire@|@bamoto, móto, motorcycle, motorcycle@
@first@|@liboso, na liboso@
@fish@|@mbísi@
@fishhook@|@ndöbö@
@five@|@-ítáno, mítáno, mpáta@
@flower@|@fuléle, loin, lómbé@
@flowers@|@mbe@
@fly@|@nzinzi@
@fog@|@londendé, londendé@
@food@|@bilei@
@foot@|@lokolo, mopendé@
@For what do you look?@|@Ozali koluka nini?@
@forehead@|@mbonzo@
@foreheads@|@bambonzo@
@forest@|@zámba@
@fork@|@nkanya@
@four@|@-ínei, mínei@
@freshness@|@mpio@
@friend@|@moninga@
@friends@|@baninga@
@frill@|@liboke@
@frills@|@maboke@
@fruit@|@mbuma@
@full@|@má, meké@
@fumbwa@|@fumbwa@
@garment@|@elamba@
@garments@|@bilamba@
@get a photo@|@kokanga foto@
@gift@|@libonza@
@girl@|@moana moasi, mwana mwasi@
@girls@|@bana basi@
@Give him of water@|@Ponders ye May@
@Give me the bread@|@Pesa ngai lipa!@
@glass@|@kopo@
@glasses@|@bakopo@
@Go look for water@|@Kende kozwa May, Zwa May@
@Go you of it!@|@Longwa!@
@goat@|@ntaba, ntaba, taba@
@goats@|@bantaba, ntaba@
@god@|@nzámbe@
@gold@|@ólo@
@good@|@kitóko, Malámu@
@Good afternoon@|@Mbóte, Mbóte na yó@
@Good bye@|@Kendé malámu, Kendéke malámu, Tíkala malámu@
@Good evening@|@Mbote@
@good morning@|@mbote!@
@Good morning@|@Mbote, Uazekele?@
@good morning; daughter-in-law@|@Mbote; bokilo !@
@Good night@|@Butu elama@
@grammar@|@galaméle@
@grandmother@|@mama-nkoko@
@grandmothers@|@mama-bankoko@
@grass@|@litíti@
@green@|@-bésu@
@guts@|@nsopó@
@hair@|@nsúki, suki@
@ham@|@nsoso@
@ham is delicious@|@Nsoso ezali elengi@
@hand@|@lobóko@
@hands@|@maboko@
@happiness@|@bisenga, esenga@
@hat@|@ekoti, enkoti@
@hate@|@boyini@
@hats@|@bikoti, binkoti@
@Have u ever had heart problens@|@O si o zwa matata na motema?@
@Have you any bleeding?@|@E zali kobimisa makila?@
@Have you any diarrhoea?@|@Libumu na yo e zali koleka?@
@Have you any pain?@|@O zali komona pasi?@
@Have you ever had an operation@|@O si o zwa mbeli to operation?@
@Have you ever had angina?@|@O si o zwa matata na angine?@
@Have you ever had hepatitis?@|@O si o zwa matata na hépatite?@
@Have you had an accident?@|@O zalaki na accident?@
@Have you lost weight?@|@Poids na yo e kiti?@
@Have you passed black stools?@|@O sumbaki tufi ya moyindo?@
@Have you some with you?@|@O zali na yango awa?@
@Have you vomited blood?@|@O sanzaki makila?@
@Have you vomited?@|@O sanzaki?@
@he@|@a- (person), e- (thing), yé@
@He acted badly@|@Asalaki mabe@
@He burned my letter@|@Azikisi mokanda na ngai@
@he cooks@|@Akolamba, Azali kolamba@
@He deceived me@|@Akosi ngai@
@He died@|@Akufi@
@He doesn't have any food@|@Azali na bilei te@
@He drank a lot of alcohol@|@Ameli masanga mingi@
@he eats@|@Alie@
@he gave@|@Apesaki@
@he goes@|@Akei@
@He got his papers@|@Azwi mikanda@
@he is@|@Azali@
@He is intelligent@|@Azali ya mayele@
@he is small@|@Azali mokuse@
@He is ten years old@|@Akoki mbula zomi@
@he isn't here@|@Azali awa te@
@He left in journey@|@Akei mobembo@
@he left in voyage@|@Akei mobembo@
@he lives@|@Avandaka@
@he loves@|@Alingi@
@He made me known that@|@Ayebisi ngai you akei Mpoto na@
@He paid me for the shoes@|@Afuteli ngai basapato@
@He speaks the lingala well@|@Alobaka lingala malamu@
@he will give@|@Akopesa@
@He wrote a lot of books@|@Akomi babuku mingi@
@he wrote several books@|@Akomi babuku mingi@
@head@|@motó@
@hearing?@|@ko yoka?@
@heart@|@motema, motéma@
@hearts@|@mitema@
@heavy@|@bozitó, kiló, molito@
@Hello@|@Losáko, Mbóte, Mbóte na yó@
@Hello; my son-in-law!@|@Mbote na yo; bokilo !@
@here@|@áwa@
@hi you!@|@Ndenge nini?@
@him@|@yango, yé@
@His father is working@|@Touches na ye azali mosali@
@home@|@liboko@
@homes@|@maboko@
@hope@|@elikia@
@horn@|@boséba, liséké@
@house@|@ndako@
@houses@|@bandako@
@how@|@boni, bóní@
@How are you@|@Ndenge nini?, Ozali malamu?, Ozali?, Sángo níni?@
@How are you (1)@|@boni?@
@How are you called?@|@Nkombo na yo nani?@
@how did you sleep?@|@Olalaki malamu?@
@How does that go?@|@Ndenge nini?@
@How is the family?@|@Na ndako boni?@
@How long will I be waiting?@|@Na kozela tango boni?@
@How many months pregnant are u@|@Ba sanza boni?@
@How many people did you see?@|@Omonaki bato boni ?@
@How many tablets have you take@|@O meli ba comprimé boni?@
@how many times?@|@mbala profit?@
@how much of@|@boni@
@How old are you?@|@O zali na mbula boni?@
@Hum; han is good@|@Hm; nsoso ezali elengi@
@hundred@|@nkama@
@hunger@|@nzala@
@husband@|@bolóngani, mobáli@
@I@|@na-, ngáí@
@I am@|@Nazali@
@I am a doctor@|@Na zali munganga@
@I am a nurse@|@Na zali infirmière@
@I am a paramedic@|@Na zali: assistant medical@
@I am a: first aider@|@Na zali secouriste@
@I am back to the country@|@Nakozonga na mboka@
@I am going to hit you@|@Nakobeta yo@
@I am making the dish@|@Nazali kosukola basani@
@I am satiated@|@Natondi@
@I am tired@|@Nalembi@
@I arrive@|@Nazali koya@
@I asked him if there is bread@|@Natuni ye soki limpa ezali@
@I ate some beans@|@Nalie madesu@
@I began to read this book@|@Nabandi kotanga buku oyo@
@I bought a house@|@Nasombi ndako@
@I bought a new car@|@Nasombi motuka ya sika@
@I bought bread to them@|@Nasombaki limpa mpo na bango@
@I bought fish in the market@|@Nasombi mbisi na zando@
@I bought some vegetables@|@Nasombi ndunda na zando@
@I broke a glass@|@Nabuki kopo@
@I cannot send you of money@|@Nakoki kotindela yo mbongo you@
@I cannot send you the money@|@Nakoki kotindela yo mbongo te@
@I cook@|@Nakolamba, Nazali kolamba@
@I counted the glasses@|@Natangi bakopo@
@I cut the bread@|@Nakati limpa@
@I didn't buy any bread@|@Nasombi limpa you@
@I didn't insult you@|@Nafingi yo te@
@I didn't listen@|@Nayoki you@
@I didn't pay for bread@|@Nafuti limpa te@
@I didn't see anything.@|@Namoni eloko te@
@I didn't see them@|@Namonaki bango you@
@I don't agree with you@|@Nandimi yo you@
@I don't have a car@|@Nazali na motuka you@
@I don't have any place@|@Nazwi esika te@
@I don't know@|@Nayebi you@
@I don't know them@|@Nayebi bango te@
@I don't know you@|@Nayebi bino te@
@I don't understand@|@Na zali kososola té, Nayókí té, Nayókí yoté@
@I don't understand (1)@|@nayókité@
@I don't want this one@|@Nalingi oyo you@
@I drank water@|@Nameli May, Nameli May@
@I drink cooffe@|@Nameli kawa@
@I eat@|@Nalie, Nazali kolia@
@I feel a pain to the heart@|@Nayoki mpasi na motema@
@I feel a pain to the legs@|@Nayoki mpasi na makolo@
@I finished my work@|@Nasilisi mosala@
@I forgot your name@|@Nabosani nkombo na ye@
@I fried the chicken@|@Nakalingi nsoso@
@I gave@|@Napesaki@
@I gave them money@|@Napesi bango mbongo@
@I give@|@napésí@
@I go@|@Nakei@
@I go in bed@|@Nakei na mbeto@
@I go to work@|@Nakei na mosala@
@I grilled the fish@|@Nakalingi mbisi@
@I have a lot of money@|@Nazali na mbongo mingi@
@I have been writing@|@nakomí@
@I heard the noise@|@Nayoki makelele@
@I hope it rains@|@J'espère qu'il pleuvra@
@I hurt in the knee@|@Nayoki mpasi na libolongo@
@I know how to speak lingala@|@Nakoki koloba lingala@
@I lack ten makuta@|@Nazangi makuta zomi@
@I left the chairs of the house@|@Nabimisi bakiti na ndako@
@I like to smoke@|@Nalingi komela likaya@
@I like to write with a ballpen@|@Nalingi kokoma na biki@
@I like you@|@Nalingi yo@
@I live@|@Navandaka@
@I live in Africa@|@J'habite en Afrique, Navandaka Afrika na@
@I live in Kinshasa@|@Navandaka Kinshasa na, Navandaka na Kinshasa@
@I llike to dance@|@Nalingi kobina@
@I look for my hat@|@Nazali koluka ekoti na ngai@
@I love@|@Nalingi@
@I need to give you an inject.@|@E sengeli na tiya yo tonga@
@I need to listen to your chest@|@E sengeli na yoka motema na yo@
@I need to pass this tube@|@E sengeli na tiya tube oyo@
@I need to ring my family@|@E sengeli na benga ba ndeko@
@I need to take your blood@|@E sengeli na kamata yo makila@
@I need to take your blood pres@|@E sengeli na zwa tension na yo@
@I opened the bottle@|@Naziboli molangi@
@I prepare the food@|@Nazali kolamba mbisi@
@I prepared fish@|@Nalambi mbisi@
@I put a loincloth@|@Nalati liputa@
@I put the table@|@Nasali mesa@
@I read a book@|@Nakotanga buku, Nazali kotanga buku@
@I saw it himself@|@Namonaki ye moko@
@I saw your stepmother on way@|@Namoni bokilo na yo na nzela@
@I sent him a letter@|@Natindeli ye mokanda@
@I swept the house@|@Nakombi ndako@
@I try to phone him@|@Nameki kobenga ye@
@I understand@|@nayóki@
@I wait until tomorrow@|@Nakozela tee lobi@
@I want to go to the market@|@Nalingi kokende na zando@
@I want to speak to him@|@Nalingi koloba na ye@
@I wash the clothes@|@Nazali kosukola bilamba@
@I washed the clothes@|@Nasukoli bilamba@
@I washed this morning@|@Nasukolaki nzoto na ntongo@
@I went over there@|@Nakei kuna@
@I went to see it@|@Nakendeki kotala ye@
@I will bless you@|@Nakopambola yo@
@I will come this afternoon@|@Nakoya na mpokwa@
@I will come tonight@|@Nakoya na mpokwa@
@I would write@|@nákoma@
@I write@|@nakoma@
@I wrote him a letter@|@Nakomeli ye mokanda@
@if@|@sókí, sókó@
@if you have more problems@|@ozwi matata misusu@
@If you want@|@Soko olingi@
@I'll give@|@Nakopesa@
@I'll go to the market with mom@|@Nakokende na zando na mama@
@in@|@káti, na, o ntéi@
@in the beginning@|@Na ebandela@
@indeed@|@solo@
@intelligence@|@mayele@
@interior@|@kati@
@Is cassava vegetable?@|@Mpondu ezali ndunda?, Mpondu ndunda?@
@Is this cassava?@|@Oyo ezali mpondu?, Oyo mpondu?@
@it@|@e@
@it answered that it is well@|@Ayanoli you ezali malamu@
@it carries the basket@|@Asimbi ekolo@
@it didn't yet arrive@|@Akomi naino you@
@it gave him of money@|@Apesaki ye mbongo@
@it gave me money@|@Apesi ngai mbongo@
@it has a lot of money@|@Azali na mbongo mingi@
@It is a bad person@|@Azali motorcycle mabe, Azali motorcycle mabe@
@It is a hen@|@Oyo ezali nsoso@
@It is a quiet place@|@Ezali esika kimia@
@it is beautiful@|@ezali kitoko@
@it is cold today@|@Malili lelo!@
@It is his wife@|@Azali mwasi na ye@
@It is my elder brother@|@Azali nkulutu na ngai@
@It is my husband@|@Azali mobali na ngai@
@It is my junior sister@|@Azali leki na ngai@
@It is not your business@|@Likambo na yo you@
@it is silly@|@Azali zoba@
@It is sufficient@|@Ekoki@
@it is time@|@Ntango ekoki@
@It is true@|@Ezali solo ya@
@it is why@|@yango wana@
@it likes to sing@|@Alingi koyemba@
@it made us laugh@|@Asekisaki biso@
@it pleases you@|@Paladó@
@It rains@|@Mbula ebeti@
@it read me this letter@|@Atangeli ngai mokanda@
@it's fumbwa@|@Oyo ezali fumbwa@
@it's true@|@Ezali ya solo@
@journey@|@mobembo@
@journeys@|@bibembo@
@junior sister@|@leki@
@junir sisters@|@baleki@
@Kinshasa is a big city@|@Kinshasa ezali engumba monene@
@knee@|@libólóngó, libóngó@
@knees@|@mabolongo, mabongo@
@knife@|@mbelí@
@lake@|@etíma, nzálé@
@lamp@|@moinda, mwinda@
@lamps@|@minda@
@language@|@lokota, lolemu@
@languages@|@ndemu, nkota@
@last night I didn't sleep@|@Lobi na butu nalalaki te@
@laura is@|@Laura Azali@
@Laura is at home@|@Laura azali na ndako, Laura na ndako@
@Laura isn't at home@|@Laura azali na ndako te, Laura na ndako te@
@leaf@|@nkásá@
@leaves of cassava@|@mpondu@
@left@|@mwásí@
@leg@|@likolo, lokolo@
@legs@|@makolo@
@lesson@|@litéya@
@Let the business in the car@|@Tika biloko na motuka@
@Let the open house@|@Tika ndako polele@
@lie@|@lokuta@
@Light the lamp@|@Pelisa mwinda@
@Light the lamp!@|@Pelisa mwinda!@
@like that@|@Cures boye@
@lion@|@nkosi@
@lions@|@bankosi@
@Lisa gave birth@|@Lisa aboti@
@lit@|@- peeled@
@liver@|@libale@
@loincloth@|@liputa@
@loinclothes@|@maputa@
@long@|@-laí, -laí, -néne, -néne, molai, monéne, monéne@
@Look at this loincloth@|@Annoys liputa oyo@
@louse@|@lonsili, nsili, sili@
@louses@|@bansili@
@love@|@bolingo@
@Mada is 18 years old@|@Mado akokisi mibu 18@
@Make like that@|@Sala boye@
@man@|@mobali@
@man (adult male)@|@mobáli@
@man (human being)@|@moto@
@manioc flour@|@fufu@
@many@|@míngi@
@margarine@|@manteka@
@marriage@|@libala@
@marriages@|@mabala@
@masculine@|@mobáli@
@maternal uncle@|@noko@
@maternal uncles@|@banoko@
@May I examine you?@|@Na koki ko examiné yo?@
@Mbiffe and Dido are married@|@Mbiffe na Dido babalani@
@Mbiffe is married@|@Mbiffe abali@
@Mbiffe married Dido@|@Mbiffe abali Dido@
@me@|@na, ngai@
@meat@|@monsuni, mosuni@
@meats@|@misuni@
@medicine@|@kisi, nkisi@
@men@|@babali, mibali@
@mess@|@mobulu@
@milk@|@míliki@
@mom@|@mama@
@Mom cooked fish on the home@|@Mama alambi mbisi na liboko@
@Mom dressed@|@Mama alati@
@Mom dressed the child@|@Mama alatisi mwana@
@Mom is praying@|@Mama azali kosambela@
@Mom lay down the child@|@Mama alalisi mwana@
@Mom plaited him hair@|@Mama akangi ye suki@
@Mom sat the child on a chair@|@Mama avandisi mwana na kiti@
@Mom sold fish in the market@|@Mama ateki mbisi na zando@
@Mom; is this leaves of cassava@|@Mama; oyo mpondu?@
@Mom; what is that?@|@Mama; oyo ezali nini?@
@money@|@mbóngo@
@monkey@|@makako, makako@
@monkeys@|@bamakako@
@moon@|@sánzá@
@morning@|@ntongo@
@mornings; I drink milk@|@Na ntongo; namelaka miliki@
@mosquito@|@ngungi@
@mother@|@mamá@
@mother-in-law@|@bokilo@
@mothers@|@bamama@
@mountain@|@ngómbá@
@mouse trap@|@ndobo@
@mouth@|@monoko@
@mouths@|@minoko@
@My name is@|@Nkómbó na ngáí..@
@na@|@light@
@nail@|@linzaka@
@nails@|@manzaka@
@name@|@nkómbó@
@narrow@|@-ké, moké@
@nasal mucus@|@miyoyo@
@Nasukoli bilamba@|@to wash@
@near@|@mpembéni@
@neck@|@nkíngó@
@need to give you some stitches@|@E sengeli na kata yo mwa moke@
@needle@|@ntonga@
@new@|@sika@
@news@|@nsango, sango@
@nguba@|@cow@
@night@|@butú@
@nine@|@libwa@
@No@|@Té@
@No; it isn't cassava leaves@|@Oyo ezali mpondu te@
@noise@|@makelele@
@nose@|@zólo@
@not@|@... tÉ@
@nothing@|@eloko@
@nothing new@|@Nsango te, sango te@
@now@|@sikoyo@
@nurse@|@infirmière@
@odor@|@nsolo@
@of@|@ya@
@Of the cool water@|@May ya mpio@
@Of the delicious food@|@Bilei elengi@
@often@|@mbala mingi@
@oil@|@mafuta@
@okay with@|@- ndima@
@old@|@kala@
@oldest child@|@kulutu@
@one@|@-óko, móko@
@One killed the chief of the village@|@Babomi mokonzi@
@One made us wait a long time@|@Bazelisi biso mingi@
@One stole from me my car@|@Bayibi motuka na ngai@
@One stopped the thief@|@Bakangi moyibi@
@one thousand@|@nkoto@
@onion@|@litungulu@
@onions@|@matungulu@
@open@|@polele@
@open the bottle@|@Fungola molangi@
@open the door@|@Fungola ezibele!@
@orange@|@lilála@
@Osalaka wapi?@|@to work@
@other@|@-súsu, mosúsu@
@outside@|@libanda@
@outsides@|@mabanda@
@over there@|@kuna@
@owner@|@nkóló@
@pain@|@mpasi@
@paper@|@mokanda, monkanda@
@papers@|@mikanda, minkanda@
@parties@|@biyenga@
@Pass the hello to Mom@|@Ponders Mama mbote@
@pass water into this container@|@Tiya mayi na eloko oyo@
@path@|@nzela@
@pay attention@|@-keba@
@pay attention to the child@|@Keba na mwana@
@peanut@|@nguba@
@penis@|@likata@
@people@|@bato@
@pepper@|@pili-pili, pilipili@
@Pepper is rotted@|@Pilipili epoli@
@Pepper is rotted; throw it@|@Pilipili epoli; bwaka yango@
@phone me tomorrow@|@Benga ngai lobi@
@photo@|@foto@
@photograph@|@fötö'@
@photos@|@bafoto@
@physician@|@monganga@
@physicians@|@baminganga@
@piece of currency@|@likuta, makuta@
@pigs@|@bangulu@
@pineapple@|@ananasi, bananasi@
@place@|@esika@
@places@|@bisika@
@plane@|@mpepo@
@plate@|@sani@
@plates@|@basani@
@Please@|@Limbissa ngayi, Paladó@
@Please come back@|@Zonga lisusu soki@
@Please come this way@|@Yaka epai oyo@
@Please wait@|@Zela@
@Please write your address@|@Koma adresse na yo@
@Point where@|@Lakisa epayi wapi@
@pork@|@ngulu@
@professor@|@molakisi@
@professors@|@balakisi@
@Put the business in the basket@|@Tia biloko na ekolo@
@Questions from patients@|@Mituna ba malade ba tunaka@
@quickly@|@noki@
@quiet@|@kimia@
@quite@|@nionso@
@rain@|@mbúla@
@raised of the mourning@|@matanga@
@red@|@-táné@
@red?@|@motani?@
@Remove the glass of the table@|@Longola bakopo na mesa@
@replete@|@- tonda@
@rice@|@loso@
@right@|@mobáli@
@river@|@ebale, mái@
@road@|@balabála, nzelá@
@rooster@|@nsoso@
@root@|@ntína@
@rope@|@likósi, moniolólo, nsi nga@
@round@|@kílíkílí@
@Rush you@|@Cure noki, Cures noki@
@salt@|@mingwa, mókpa, mongwa, móngwa@
@sand@|@zélo@
@sandal@|@lipapa@
@sandals@|@mapapa@
@sauce of palm butter@|@moamba, mwamba@
@Say nothing about you!@|@Kanga monoko!@
@sea@|@mbú@
@secret@|@sekele@
@see you later@|@Tokomónono na nsíma@
@seed@|@bopó, mbóto, nyä@
@servant@|@mopési@
@servants@|@bapési@
@seven@|@nsambo, sambo@
@several things@|@biloko mingi@
@Shall I call a taxi for you?@|@O lingi na bengela yo taxi?@
@sharp@|@-pela@
@she@|@a@
@She carries a basket@|@Azali kosimba ekolo@
@she has a beuty face@|@Azali na elongi kitoko@
@she is not at home@|@Azali na ndako te@
@She is professor as you@|@Azali molakisi lokola yo@
@She is professors as you@|@Azali molakisi lokola yo@
@she is small@|@Azali mokuse@
@She wears a loincloth@|@Alati liputa@
@sheep@|@even@
@sheeps@|@bameme@
@shoe@|@sapato@
@shoes@|@basapato, sapátu@
@short@|@-kúsé, mokúsé@
@shoulder@|@lipeka@
@shoulders@|@mapeka@
@Show me your car@|@Lakisa ngai motuka na yo@
@side@|@epai@
@sides@|@bipai@
@silly@|@bazoba, zoba@
@singer@|@moembi, moyembi@
@singers@|@baembi, bayembi@
@Sits you here@|@Vanda awa@
@Sits you on soil@|@Vanda na nse@
@six@|@motoba@
@skewer@|@bakamundele, kamundele@
@skin@|@lomposo@
@skins@|@mposo@
@sky@|@likoló@
@slanders@|@songisongi@
@slap@|@mbata@
@sleep@|@mpongi@
@slowly@|@malembe@
@small@|@-ké, moké@
@smoke@|@mólinga@
@smooth@|@patátálú, séliséli@
@snake@|@nioka, nyóka@
@so@|@boye, soki, soko@
@soil@|@nse@
@some@|@bökó@
@son-in-law@|@bakilo, bokilo@
@sorcery@|@ndoki@
@spoon@|@baluto, luto@
@sprig of grass@|@lititi, matiti@
@star@|@monzóto@
@stick@|@nzeté@
@sticky@|@daidai@
@Stir fire!@|@Pelisa motorcycle!@
@stomach@|@libumu@
@stomachs@|@mabumu@
@stone@|@libángá@
@stone bottle@|@elokó@
@stone bottles@|@bilokó@
@stones@|@mabanga@
@Stop disputing you@|@Botika koswana@
@Stop making the noise!@|@Tika makelele!@
@straight@|@alimá@
@stream@|@ebale@
@streams@|@bibale@
@strong@|@makasi@
@suffer@|@-koka@
@sugar@|@sukali@
@sun@|@moese, mói, mwese@
@suns@|@miese@
@table@|@mésa@
@tables@|@bamesa@
@tail@|@mokíla, mokondó@
@tails@|@mikíla@
@tea@|@ti@
@teeth@|@mino@
@telephone number@|@numero ya téléphone@
@ten@|@ntuku, zomi@
@thank you@|@botondi, melesí@
@Thank you@|@Matóndo, Melesí, Natondi yo@
@Thank you very much!@|@Melesi mingi!@
@thanks@|@botondi, Botondi!@
@that@|@oyo, wâná@
@That makes a long time@|@Mikolo mingi!@
@the bananas to you@|@makemba mpo na yo@
@the breasts@|@mabele@
@The child begins to walk@|@Mwana abandi kotambola@
@the child didn't have book@|@Mwana azalaki na buku te@
