@Arabic (romanized)@|@English@
@3amma@|@aunt@
@3ammati@|@my aunt@
@3ashan@|@because of@
@3ashan al 3amal@|@because of my job@
@3ashan al baHr@|@because of the sea@
@3ibâra@|@phrase@
@3indamâ adkhul al jâmi3a...@|@when I enter the university...@
@3indamâ...@|@when... (used for future events)@
@3indî faslun al-yawm.@|@I have class today.@
@3ishrîn@|@twenty@
@3ishrîn sana.@|@20 years.@
@3udtu@|@I returned.@
@3umrî 3ishrîn sana.@|@I'm 20 years old.@
@3umrihâ 3ashira sanawât.@|@she is 10 years old. (num. plural)@
@3uyûn@|@eyes@
@a3îshu...@|@I live...@
@a3mal asdiqâ kathîr hunâ.@|@I make a lot of friends here.@
@a3taqid@|@I believe, I suppose@
@a3ûd@|@I return@
@abadan@|@always@
@abawayn@|@parents@
@abb@|@father@
@abî@|@my father@
@abkî@|@I cry@
@abqa hunâ.@|@I stay here.@
@adab 3âlamî@|@world literature@
@adab il-amrikî@|@american literature@
@adab-il-faransî@|@french literature@
@adhûn thâlik.@|@I think so.@
@adhûn...@|@I think...@
@adrusu@|@I study@
@aflâm@|@movies (pl.)@
@aHsan/afDal@|@better@
@ahtâj an athhab@|@I need to go@
@aHyânan@|@sometimes@
@aiDan@|@also, too@
@ajal@|@(yes)it is so.@
@akaltu al-3ashâ.@|@I had dinner.@
@akaltu al-ghadâ.@|@I had lunch.@
@akaltu al-ifTâr.@|@I had breakfast.@
@akaltu Ta3âman yâbâniyya.@|@I ate a japanese food.@
@akh@|@brother@
@akhadha/kâna yaf3al...@|@he was doing...@
@akhâfu min an-natîjah!@|@I'm afraid of the result!@
@ākhar (’ukhrā’) @|@ other, another@
@akhi@|@my brother@
@akhî asghar minnî.@|@my brother is younger than me.@
@ākhir (’awākhir) @|@ last@
@akhruju ilal riyâDat kul yawm@|@I go out to do sports every day.@
@akhuk@|@your brother@
@akîd@|@of course@
@akmil (or ukmil)@|@I finish@
@akrahu aflâm faransiyya.@|@I dislike french movies.@
@akrahu...@|@I dislike..@
@al- @|@ the@
@āl @|@ family, house@
@al 2ân salât ad-dhuhr.@|@it's time for noon prayer now.@
@al khassa bi ramaDân.@|@special to Ramadan.@
@al yawm@|@today@
@al-3ashâ@|@dinner@
@al-adab@|@literature@
@al-aghâni@|@songs@
@al-akalu Lubnân aSluhu Turkiya@|@the source of Lebanese food is Tr.@
@al-alsun@|@languages@
@al-ān @|@ now@
@al-aSl@|@source@
@alaysa kethalik?@|@isn't it?@
@al-barad@|@snow@
@al-bāriH @|@ yesterday@
@al-baTal@|@hero@
@al-dajaj@|@chicken@
@al-faSl@|@lesson, class@
@al-fîl@|@elephant@
@al-ghâba@|@forest@
@al-ghadâ@|@lunch@
@al-Halîb@|@milk@
@al-Hâsûb / kompyûter@|@computer@
@al-Huqûq@|@Law@
@al-Huzn@|@sorrow@
@al-jam3@|@plural@
@aljaza`irî@|@Algerian (person)@
@al-jughrâfiya@|@geography@
@al-khidr@|@tent@
@al-khuDâr@|@vegetables@
@al-kimyâ@|@chemistry@
@al-kull@|@everyone, all@
@al-kull yafham inglizî hunâ.@|@everyone understands english here.@
@al-lafath@|@pronunciation@
@allāh @|@ God@
@al-lawn@|@colour@
@al-lughz@|@mystery@
@al-malâl@|@boredom@
@al-maTar@|@rain@
@al-matbakh@|@kitchen@
@al-mufred@|@singular@
@al-muHît@|@ocean@
@al-riwâya@|@novel@
@al-safHa@|@page@
@al-sukûn@|@silence@
@al-thanawiyya@|@high school@
@al-ughniya@|@song@
@al-yawm kâna mumill.@|@today was boring.@
@am / aw@|@or@
@amrikiy@|@american (person)@
@ams@|@yesterday@
@ams kâne yawman mushmisa.@|@yesterday was sunny.@
@amzaH faqaT.@|@I am just joking.@
@ana@|@I@
@Ana 3aTshân.@|@I'm thirsty.@
@Ana a3îshu fi Turkiyya.@|@I live in Turkiye.@
@ana a3rafhâ min zamân.@|@I know it (or her) for a long time.@
@ana abHath 3an 3amal.@|@I am looking for a job.@
@ana adrus al-alsun.@|@I study linguistics.@
@ana âsaf.@|@I'm sorry.@
@ana ash3ur bil-malâl.@|@I am bored. (lt. "I feel boredom")@
@ana astami3u li...@|@I'm listening to...@
@ana dâiman hunâ.@|@I'm always here.@
@ana ghaDbân.@|@I'm angry.@
@ana jâ`i3.@|@I'm hungry.@
@ana la a3raf ghayr IsTanbûl.@|@I don't know except for Istanbul.@
@ana lâzim an anâm.@|@I need to sleep.@
@ana masrur@|@I'm glad@
@ana mutashawwiq ilal aflâm.@|@I'm interested in movies.@
@ana na3san.@|@I'm sleepy.@
@ana qultu hâthâ sâbiqan.@|@I had said this already.@
@ana rayeH (mid.east)@|@I go.@
@ana sâ`im@|@I'm fasting.@
@ana sa3îd bi ma3rifatik@|@nice to meet you@
@ana sirtu Sherlock Holmes.@|@I became Sherlock Holmes.@
@ana sirtu...@|@I became...@
@ana ta3ban(m)/ta3bana (fm)@|@i'm tired@
@ana tafshan.@|@I'm bored.@
@ana tfasht mn almadrasah(sla.)@|@i'm bored of the school.@
@ana ufaDDil al-riwâyât.@|@I like novels.@
@ana uHibbu as-safar.@|@I like travelling.@
@ana urîd an abkî.@|@I want to cry.@
@ana yaqdhân.@|@I'm awake.@
@anâm@|@I sleep@
@anjaH@|@I succeed@
@an-natîja@|@result@
@anta@|@you(m)@
@Anta fil-3utla?@|@Are you on holiday?@
@anta maHdhûdh.@|@you're lucky.@
@anta rayeH (mid.east)@|@you go@
@antadhiru@|@I am waiting (I wait)@
@anti@|@you(f)@
@antum@|@you(pl.m.)@
@antunna@|@you(pl.fm.)@
@aqsad...@|@I mean...@
@ar-raz@|@rice@
@asâfar@|@I travel@
@asdiqâ@|@friends@
@asdiqâî@|@my friends@
@aSfar (Sufr) @|@ yellow@
@ash3aru bil-Huzn.@|@I feel sorrowful.@
@asHâb@|@friends@
@ashtarî@|@I buy@
@aSlan (in tr. "aslen")@|@in reality, essentially@
@asmar (sumr) @|@ brown@
@as-Saf@|@class@
@as-safar@|@journey@
@as-sayf@|@summer@
@as-sayyaH@|@traveler@
@as-suyyaH@|@travelers@
@asta3milu@|@I use@
@astakhdimu@|@I use@
@astaTi3u@|@I can@
@aT3ima al khassa bi ramaDân.@|@foods special to ramadan.@
@atâ@|@he came@
@atamanna lak al-tawfîq.@|@I wish you success.@
@atamanna...@|@I wish...@
@atathakkar.@|@I remember@
@atayta/ti@|@you came (he/she)@
@ataytu@|@I came@
@ataytu huna li at3allam 3arabî@|@I came here to learn arabic.@
@aTfâl@|@children@
@athnâ@|@during@
@athnâ al munâqasha@|@during the discussion@
@aT'ima@|@foods@
@atrâk@|@Turks@
@atruk...@|@I leave...@
@at-taqs@|@weather@
@at-televizyoon@|@TV@
@at-Tfoolah@|@childhood@
@attî@|@I come, I get connected (comp.)@
@attî@|@I come@
@at-Tifl@|@child@
@at-tilfâz@|@TV@
@aturîd an tashrib shay`an?@|@do you want to drink something?@
@awstraliy@|@Australian@
@awwal marra@|@for the first time@
@ayya naw3 ?@|@what kind of ?@
@ayya naw3 min alkutub tfaDDil?@|@what kind of books do you like?@
@bā?a / yabī?u @|@ to sell@
@ba?d @|@ after@
@ba?D @|@ some@
@ba?īd @|@ far@
@ba3an an tadrus kul yawm@|@by studying (you) everyday@
@ba3D al-aHyân@|@sometimes@
@ba3D an-nâs@|@some people@
@ba3da qalîl@|@soon / in a short time@
@ba3îd@|@far@
@bāb (’abwāb) @|@ door, gate@
@badā / yabdā @|@ to seem@
@bada"at al-maTar.@|@it started to rain.@
@bada`a(t)@|@started/began@
@bada`at al-maTar.@|@it started to rain.@
@bada`tu ata'allam hâthihissana@|@I started learning this year.@
@bada’a / yabda’u @|@ to start@
@badawī (badw) @|@ nomad, bedouin@
@bādiya @|@ desert@
@baHatha@|@to look for, he looked for@
@bāHatha (III) @|@ to discuss@
@baHatha / yabHathu @|@ to study, to discuss@
@baHathtu al kalima fi al-qâmûs@|@I looked for the word in the dictionary.@
@baHr (buHūr, biHār) @|@ sea@
@baHr (m.)@|@sea@
@baHr-il-aswad@|@Black Sea@
@bal @|@ but@
@balad (bilād) @|@ town@
@baladiyya @|@ municipality@
@balāgh (balāghāt) @|@ report@
@balagha / yablughu @|@ to reach, to amount to@
@banā / yabnī @|@ to build@
@bank (bunūk) @|@ bank@
@baqara (baqarāt) @|@ cow@
@baqaytu fil manzil.@|@I stayed at home.@
@barâmij@|@programs (plural)@
@bard@|@cold@
@bârid@|@cold (adj.)@
@bārid @|@ cold@
@barīd @|@ post@
@barlamān @|@ parliament@
@barnâmaj@|@program (TV)@
@barnâmaj (f.)@|@program@
@bas (mid.east)@|@but@
@bas (mid.east)@|@enough@
@basīT (busaTā’) @|@ simple@
@baTal al-qissa ismuhû Majid.@|@the hero of the story is called Majid.@
@bayān (bayānāt) @|@ statement@
@bayD (buyūD) @|@ eggs@
@bayna @|@ between, among@
@baynamā @|@ while@
@bayt (buyūt) @|@ house@
@bi- @|@ with, by@
@bi nafsî@|@on my own@
@bi sabab il wad@|@because of the condition@
@bi sabab...@|@with the reason/because of...@
@bi’l-qurbi min @|@ near@
@biD? @|@ a few@
@bi-ddabt@|@exactly@
@bikhuSūsi @|@ concerning@
@bilâd@|@countries@
@bilād (buldān) @|@ country@
@bilâd il-ukhra@|@other countries@
@bil-iDhâfati ilâ hâthâ@|@in addition to this@
@bi-nniyâbati@|@instead of@
@bi-nniyâbati 3an..@|@in place of, instead of..@
@bi-nniyâbati 3annî.@|@instead of me.@
@bint, ibna (banāt) @|@ girl, daughter@
@birka (birak) @|@ pool@
@bisababi @|@ because@
@bittakîd@|@of course@
@bit-tawfîq!@|@good luck!@
@bukra (mid.east)@|@tomorrow@
@bulīs @|@ police@
@burtuqâl@|@orange@
@bustān (basātīn) @|@ orchard@
@da?ā / yad?ū @|@ to pray, to invite@
@Da?īf (Du?afā’, Di?āf) @|@ weak@
@dā’iman @|@ always@
@dā’ira (dawā’ir) @|@ office@
@DābiT (DubbāT) @|@ officer@
@dāfa?a (III) @|@ to defend@
@dakhala / yadkhulu @|@ to enter@
@dākhil @|@ inside@
@dākhilī @|@ interior, internal@
@dalla / yadullu @|@ to point@
@daqīq (diqāq) @|@ accurate, fine, thin@
@daqīqa (daqā’iq) @|@ minute@
@Daraba / yaDribu @|@ to strike, to beat@
@daraja @|@ step, degree@
@darasa / yadrusu @|@ to study@
@Darastu al-adab 3arba sanawat.@|@I studied Lit. for four years.@
@darrasa (II) @|@ to teach@
@dars (durūs) @|@ lesson@
@Darūra @|@ need@
@Darūrī @|@ necessary@
@dawla (duwal) @|@ state@
@Day3a@|@village@
@Dayf (Duyūf) @|@ guest@
@Dayyiq @|@ narrow@
@dhahaba / yadhhabu @|@ to go@
@dhakara / yadhkuru @|@ to mention@
@dhakī (’adhkiyā’) @|@ clever@
@dhakî (zekî)@|@clever@
@dhālika @|@ that@
@dhanantu...@|@I thought...@
@dhanna...@|@he thought...@
@dhannat...@|@she thought...@
@di?āya @|@ propaganda@
@difā? @|@ defense@
@dimâgh@|@brain@
@dirāsa @|@ study@
@dukkān (dakākīn) @|@ shop, store@
@dumya@|@doll@
@dūna @|@ without@
@duwalī @|@ international@
@every day@|@kulli yawm@
@every week@|@kulli usbu3@
@fa- @|@ and@
@fa?ala / yaf?alu @|@ to make, to do@
@fa`r@|@mouse, rat@
@fā’ida (fawā’id) @|@ benefit@
@fahima / yafhamu @|@ to understand@
@faj`atan@|@suddenly@
@fākiha (fawākih) @|@ fruit@
@fakkara (II) @|@ to consider@
@fakkartu@|@I thought@
@fallāH @|@ peasant@
@fannī @|@ artistic, technical@
@faqaT@|@only, merely@
@faqaT @|@ only@
@faras (’afrās) @|@ horse, mare@
@farīq (furaqā’) @|@ team@
@faSl (fuSūl) @|@ chapter@
@fâsûlyâ@|@bean@
@fataHa / yaftaHu @|@ to open, to conquer@
@fātiH @|@ light-colored@
@fattasha (II) @|@ to inspect@
@fawq @|@ over, above, on@
@fī @|@ in@
@fi al-mustaqbal qarîb@|@in the near future@
@fi al-wasat@|@in the middle@
@fî mâ ba3d@|@later@
@fî nafs al waqt@|@at the same time@
@fikra (’afkār, fikar) @|@ idea@
@fi-l bidâya@|@at the beginning@
@film@|@movie@
@fils (fulūs) @|@ money@
@finjān (finājīn) @|@ cup@
@firāsh (furush, ’afrisha) @|@ bed@
@fi-s-sabâH@|@in the morning@
@fiTr @|@ breakfast@
@funduq (fanādiq) @|@ hotel@
@furSa (furaS) @|@ occasion@
@ghā’ib @|@ absent@
@ghadā’ @|@ lunch@
@ghadan @|@ tomorrow@
@ghaDiba / yaghDabu @|@ to be angry@
@ghalaT (adj.)@|@wrong@
@ghālin @|@ expensive@
@ghanam (’aghnām) @|@ sheep@
@ghanī (’aghniyā’) @|@ rich@
@gharb @|@ west@
@gharîb@|@strange@
@gharīb (ghurabā’) @|@ strange@
@ghayr @|@ non-, un-@
@ghurfa (ghuraf) @|@ room@
@Hā’iT (HiyāT, Hawā’iT) @|@ wall@
@HaDara / yaHDuru @|@ to be present@
@Hadath@|@happened@
@Hādatha (III) @|@ to converse@
@Hadatha / yaHduthu @|@ to happen@
@Hadd (Hudūd) @|@ frontier, limit@
@Haddada (II) @|@ to (de)limit@
@hādhā @|@ this@
@hādhihi @|@ this (f)@
@Hadīqa (Hadā’iq) @|@ garden@
@HâDir@|@ready@
@HāDir @|@ present@
@Hadīth @|@ modern, new@
@Hadīth (’aHādīth) @|@ talk, Tradition@
@Hādith (Hawādith) @|@ event, accident@
@HafiZa / yaHfaZu @|@ to protect@
@Hafla (Hafalāt) @|@ party (social)@
@Hāja @|@ thing, necessity@
@hākadhā @|@ in the same way@
@Hakama / yaHkumu @|@ to rule@
@Hākim (Hukkām) @|@ ruler@
@hal @|@ (question particle)@
@Hāl (’aHwāl) @|@ condition, situation@
@hal akalti al-ghadâ?@|@have you had lunch?@
@hal lâ + verb past tense@|@could you +verb@
@hal lâ katabta hâthâ?@|@could you write it down?@
@hal lâ tarjamta hâthâ?@|@could you translate this?@
@hal tuHibbu an...@|@would you like to...@
@hal zurta Lubnân?@|@have you visited Lebanon?@
@Hāla @|@ situation@
@Hālan @|@ at once@
@Hālī @|@ present (adj.)@
@Halla / yaHullu @|@ to solve@
@Hamā / yaHmī @|@ to protect@
@Hamala / yaHmilu @|@ to carry@
@Hamd @|@ praise@
@Hamla (Hamalāt) @|@ attack@
@hāmm @|@ important@
@handasa @|@ engineering@
@Haqīqa (Haqā’iq) @|@ truth@
@Haqq (Huqūq) @|@ truth, right@
@Haqqan?@|@really?@
@Haqqaqa (II) @|@ to achieve@
@Haraka @|@ movement@
@harâra@|@heat@
@harâra murtafi3a@|@high temperature@
@Harb (Hurūb) @|@ war@
@harr@|@hot@
@Harr @|@ heat, warmth@
@Harrara (II) @|@ to liberate, to edit@
@Hasaba / yaHsubu @|@ to calculate@
@HaSala / yaHSulu @|@ to happen@
@Hasan @|@ good, handsome@
@Hasiba / yaHsabu @|@ to regard@
@Hassana (II) @|@ to improve@
@hâthâ ghalaTa.@|@this is wrong.@
@hâthâ shay nâdir.@|@this is a rare thing.@
@hâthâ shay râi' !@|@this is wonderful!@
@hâthâ yakfî.@|@that's enough.@
@Hattā @|@ until@
@HaTTa / yaHuTTu @|@ to put down@
@hawā’ @|@ air, wind@
@Hawālā @|@ about, approximately@
@Hāwala (III) @|@ to try, to attempt@
@Hawla @|@ about, around@
@Hayât@|@life@
@Hayawān (Hayawānāt) @|@ animal@
@Haythu @|@ since, whereas@
@Hayy (’aHyā’) @|@ alive@
@Hayya / yaHyā @|@ to live@
@Hāza / yaHūzu @|@ to get, to obtain@
@hazîn(m) hazîna(fm)@|@sad@
@Hīn (’aHyān) @|@ time@
@Hīna @|@ when@
@Hisāb (Hisābāt) @|@ account@
@HiSān (’aHSina, HuSun) @|@ horse@
@hiwâyat@|@hobbies@
@hiya @|@ she@
@hiya sawfa tarji3.@|@she will return.@
@Hizb (’aHzāb) @|@ party, group@
@Hubb @|@ love@
@Hukm (’aHkām) @|@ order@
@Hukūma @|@ government@
@Hulw @|@ sweet@
@hum@|@them(m)@
@hum @|@ they@
@hum al-aHsan.@|@they're the best.@
@hunā @|@ here@
@hunak farq.@|@There's a difference.@
@hunāka @|@ there@
@hunna @|@ they (f)@
@hurûf il-3arabî@|@arabic letters@
@Husn @|@ goodness@
@hutayl @|@ hotel@
@huwa @|@ he@
@hwa/hya sâkit/a. (male/female)@|@he/she is silent.@
@i?taqada (VIII) @|@ to believe@
@i?tazala (VIII) @|@ to retire@
@ibn (’abnā’, banūn) @|@ son (of)@
@ibtada’a @|@ to start@
@ibtidâî@|@elementary school@
@iHtāja (VIII) @|@ to need@
@iHtimâl@|@perhaps@
@ijâza@|@vacation@
@ijâzati usbu'ayn faqaT.@|@my vacation is only two weeks.@
@ijtahada (VIII) @|@ to work hard@
@ijtama?a @|@ to meet@
@ijtimā? @|@ meeting@
@ijtimā?ī @|@ social@
@ila@|@to; so that@
@ila an ata'allam@|@so that I learn@
@imra’ | al-mar’ @|@ man, person@
@imra’a | al-mar’a @|@ woman@
@imshî !@|@go away!@
@imshû!@|@go away! (plural)@
@imtalaka (VIII) @|@ to possess, to own@
@inkasara (VII) @|@ to be broken@
@innahâ al-'ashira.@|@It's 10 o'clock.@
@insâ dhâlik.@|@forget it.@
@intadhir hunâ!@|@wait here!@
@intaZara (VIII) @|@ to wait (for)@
@iqtiSād @|@ economy@
@irtafa?a (VIII) @|@ to rise@
@ishtaghala (VIII) @|@ to work@
@ishtarā (VIII) @|@ to buy@
@ishtaraka (VIII) @|@ to share, to participate@
@ism (’asmā’) @|@ name@
@ista?mala (X) @|@ to use@
@istafāda (X) @|@ to benefit@
@isTanbûl@|@Istanbul@
@istaqbala (X) @|@ to receive@
@istaykathtu fi-ssabâH.@|@I woke up in the morning.@
@istayqadh@|@to wake up, he woke up@
@istayqadhtu@|@I woke up@
@istiqlāl @|@ independence@
@ithâ@|@when (used for past events)@
@itha bi trîd(slang)@|@please;as you like@
@ithâ dakhaltu al-jâmi'a...@|@when I entered the university.@
@ithâ... (for past actions)@|@when...@
@ithan@|@then, in that case@
@ithnayn@|@both of you@
@ittajih li yamîn.@|@turn right.@
@ittajih li yasâr.@|@turn left.@
@izâ bitrîd (lebanese dialect)@|@please.@
@jā’a / yajī’u @|@ to come@
@jabal (jibāl) @|@ mountain@
@jadd@|@grandfather@
@jadda@|@grandmother@
@jadīd (judud) @|@ new@
@jalasa / yajlisu @|@ to sit@
@jalīl (’ajillā’, ’ajilla) @|@ great, important@
@jam?īyya @|@ association@
@jam3@|@plural@
@jama?a / yajma?u @|@ to gather@
@jamâl@|@beauty@
@jamal (jimāl) @|@ camel@
@jamâl-ud-dâkhilî@|@inner beauty@
@jamī? @|@ all, every, whole@
@jamīl @|@ beautiful@
@jānib (jawānib) @|@ side@
@janûb@|@south@
@janūb @|@ south@
@jarā / yajrī @|@ to happen, to run, to flow@
@jarīda (jarā’id) @|@ newspaper@
@jaw@|@weather@
@jāwaba (III) @|@ to answer@
@jāwara (III) @|@ to adjoin@
@jaww (’ajwā’) @|@ air, weather@
@jaysh (juyūsh) @|@ army@
@jayyid (jiyād) @|@ good, fine@
@jazīlan @|@ very much@
@jazīra (juzur, jazā’ir) @|@ island, peninsula@
@jiddan @|@ very@
@jubn @|@ cheese@
@jum?a (juma?) @|@ week@
@jumhūr (jamāhīr) @|@ crowd, public@
@jumhūriyya @|@ republic@
@jumla@|@phrase, sentence@
@ka- @|@ like, as@
@ka’s (ku’ūs) @|@ glass, cup@
@kabīr (kibār, kubarā’) @|@ big, large@
@kadhālika @|@ so@
@kaif al jaw hunâk?@|@how's the weather there?@
@kaifak/kaifik?@|@How are you?@
@kalām @|@ talk, discourse@
@kalima @|@ word@
@kalima khâTi`a@|@wrong word@
@kallama (II) @|@ to speak@
@kallama (II) @|@ to speak (to)@
@kam @|@ how much?@
@kam 3umrak?@|@how old are you?@
@kam as-sâ3a?@|@what's the time?@
@kam is-sâ3a hunâk?@|@what time is it there?@
@kam muddat@|@how long (time)@
@kamā @|@ as, like@
@kamâ turîd@|@as you wish.@
@kamaltu hâthal kitâb.@|@I finished this book.@
@kamân@|@also, too@
@kāna / yakūnu @|@ to be@
@kâna 3inda ukhtî...@|@my sister had...@
@kâna 3indak...@|@you had...@
@kâna 3indî imtiHân ams.@|@I had an exam yesterday.@
@kâna 3indî sulHufât.@|@I had turtles@
@kâna 3indî...@|@I had...@
@kâna yaf3al...@|@he was doing...@
@kâna'l-yawma mashghûl.@|@I was busy today.@
@Kânat tushâhid barnâmaj âkhar.@|@She was watching another program.@
@karīm (kiram, kuramā’) @|@ noble@
@kasabtu sâdiq al yawm.@|@I made a friend today.@
@kātaba (III) @|@ to correspond with@
@kataba / yaktubu @|@ to write@
@kathîr@|@much, many@
@kathīr (kithār) @|@ many@
@kayfa @|@ how@
@khabar (’akhbār) @|@ news@
@khabīr (khubarā’) @|@ expert@
@khadama / yakhdimu @|@ to serve@
@khādim (khadam, khuddām) @|@ servant@
@khāfa / yakhāfu @|@ to fear@
@khafīf (’akhfāf, khifāf) @|@ light (weight)@
@kharaja / yakhruju @|@ to leave, to go out@
@khārij @|@ outside@
@khārijī @|@ exterior, external@
@khāSS @|@ special@
@khaTar (’akhTār) @|@ danger@
@khâTi`a@|@wrong@
@khawafta at-Tifl.@|@you frightened the child.@
@khayl @|@ horses@
@khayr @|@ better@
@khayr @|@ good@
