@English@|@Xhosa@
@I'm glad (if) you are well@|@Ngiyajabula uma uyaphila@
@I'm glad to know you@|@Ngijabulela ukukwazi@
@I'm still well@|@Ngisaphila@
@I'm well@|@Ngiyaphila@
@Internet@|@i-inthanethi@
@It is cold outside!@|@Kuyabanda ngaphandle!@
@It is nice to know you@|@Kumnani ukukwazi, Kumnani ukuwazi@
@It's okay@|@Kulungile@
@It's okay with me@|@Nakimi kulungile@
@It's okay with us@|@Nakithi kulungula@
@January@|@EyoMqungu@
@July@|@EyeKhala@
@June@|@EyeSilimela@
@March@|@EyoKwindla@
@May@|@UCanzile@
@me too@|@Nami@
@Me-I'm fine@|@Nami ngikhona@
@Me-I'm still well@|@Nami ngisaphila@
@Me-I'm well@|@Nami ngiyaphila, Ngikhona@
@men@|@amadoda@
@Monday@|@Mvulo@
@mother@|@umama@
@mothers@|@oomama@
@National Language Service@|@Iinkonzo Zeelwimi Zesizwe@
@Nice to meet you@|@Ndiyavuya ukukwazi@
@nine@|@lithoba@
@nineteen@|@lishumi elinesithoba@
@no@|@hayi@
@November@|@EyeKanga@
@October@|@EyeDwarha@
@Okay@|@Kulungile@
@one@|@nye@
@Open your books@|@Vula iincwadi zakho@
@Open your books (pl)@|@Vulani iincwadi zenu@
@people@|@abantu@
@person@|@umntu@
@please@|@Nceda@
@Saturday@|@Mgqibelo@
@September@|@EyoMsintsi@
@seven@|@xhenxe@
@seventeen@|@lishumi elinesixhenkxe@
@six@|@ntandathu@
@sixteen@|@lishumi elinantandathu@
@sorry@|@Ngxesi@
@Spring has arrived@|@Intwasahlobo ifikile@
@Sunday@|@Cawe@
@ten@|@lishumi@
@thank you@|@Enkosi@
@Thank you@|@Enkosi, Ndiyabulela@
@the child plays@|@umntwana uyadlala@
@the children play@|@abantwana bayadlala@
@the man sees the child@|@indoda iyambona umntwana@
@the men see the children@|@amadoda ayababona abantwana@
@thirteen@|@lishumi elinantathu@
@This Was Your Life@|@yayibu bomi bakho obu@
@thousand@|@liwaka@
@three@|@ntahu@
@Thursday@|@Lwesine@
@to hear@|@ukuzwa@
@to know@|@ukukwazi@
@to play@|@ukudlala@
@to see@|@ukubona@
@traveler's cheque@|@litsheki zebhanki@
@twelve@|@lishumi elinambini@
@twenty@|@ngamashumi amabini@
@twenty one@|@ngamashumi amabini ananye@
@twenty two@|@ngamashumi amabini anambini@
@two@|@mbini@
@Us too@|@Nathi@
@Us-we're fine@|@Nathi sikhona@
@Us-we're well@|@Nathi siyaphila@
@We also are glad@|@Nathi siyajabula@
@We are glad (if) you are well@|@Siyajabula uma niyaphila@
@We are glad to hear that@|@Siyajabula ukuzwa loko@
@We are glad to know you@|@Sijabulela ukukwazi@
@We are pleased to know you@|@Siyathokoza ukukwazi@
@We are still well@|@Nathi sisaphila, Sisaphila@
@we are well@|@Siphilile@
@Wednesday@|@Lwesithathu@
@We're glad@|@Siyajabula@
@We're well@|@Sikhona, Siyaphila@
@What are you doing?@|@Wenzani?@
@What can I do for you?@|@Ndingakwenzela ntoni?@
@What is the time?@|@Ngubani ixesha ngoku?, Ngubani xesha?@
@What is this?@|@Yintoni le?@
@What is your name?@|@Ngubani igama lakho?@
@Where are you going?@|@Uyaphi?@
@Where is my room?@|@Liphi igumbi lam?@
@Where is the bar?@|@Ifumanekaphi ibhari?@
@Where is the beach?@|@Luphi ulwandle?@
@yes@|@ewe, yebo@

