@English@|@Greek@
@aboveground@|@που βρίσκεται πάνω από την γη@
@abovementioned@|@άνω αναφερόμενος@
@abrade@|@λειαίνω, τρίβω@
@abrasion@|@αμυχή, απόξεση, τριβή, φθορά@
@abrasion resistance@|@αντοχή στην τριβή@
@abrasive@|@αποξεστικός, τραχύς, τριπτικός@
@abreact@|@απελευθερώνω με ψυχανάλυση@
@abreast@|@ενήμερος, παράπλευρα@
@abridge@|@συντομεύω@
@abridgment@|@σύνοψη, σύντμηση@
@abroad@|@στο εξωτερικό@
@abrogate@|@ανακαλώ@
@abrup@|@απότομος@
@abrupt@|@κοφτός@
@abruptly@|@απότομα, κοφτά@
@abscission@|@αποκοπή@
@abseiling@|@κατάβαση γκρεμού με σχοινιά@
@absence@|@απουσία@
@absent@|@απών@
@absent minded@|@αφηρημένος@
@absentminded@|@αφηρημένος@
@absinthe@|@αψίνθι, άψινθος@
@absolute@|@απόλυτος@
@absolute zero@|@απόλυτο μηδέν@
@absolutely@|@απολύτως, τελείως@
@absolutely necessary@|@επιβαλλόμενος@
@absolution@|@άφεση, άφεση αμαρτιών@
@absolve@|@απαλλάσσω, δίνω άφεση@
@absorb@|@απορροφώ@
@absorbent@|@απορροφητικός@
@absorber@|@αποβεστήρας, απορροφητικό μέσο@
@absorption@|@απορρόφηση@
@absorptive@|@απορροφητικός@
@abstain@|@απέχω@
@abstemious@|@εγκρατής, λιτός, συγκρατημένος, φειδωλός@
@abstention@|@αποχή@
@abstinence@|@εγκράτεια@
@abstract@|@αφαιρώ, αφηρημένος, θεωρητικός@
@abstract art@|@αφηρημένη τέχνη@
@abstract thinking@|@αφηρημένη σκέψη@
@abstracted@|@απορροφημένος, αφηρημένος@
@abstruse@|@δυσννόητος@
@absurd@|@παράλογος@
@absurdities@|@γελοιότητες@
@absurdity@|@γελοιότητα, παραλογία@
@absurdly@|@παράλογα@
@abundance@|@αφθονία, συρροή@
@abundant@|@άφθονος@
@abundantly@|@άφθονα@
@abuse@|@βρίζω, βρισιά, κατάχρηση, καταχρώμαι, λοιδορία@
@abusive@|@καταχρηστικός, υβριστικός@
@abut@|@εφάπτομαι, συνορεύω@
@abutment@|@βάθρο@
@abutting@|@εφαπτόμενος@
@abysmal@|@φοβερός@
@abyss@|@άβυσσος@
@acacia@|@ακακία@
@academe@|@ακαδημία@
@academia@|@ακαδημαϊκός κόσμος@
@academic@|@ακαδημαϊκός@
@academic achievement@|@σχολική επίδοση@
@academician@|@ακαδημαϊκός@
@academy@|@ακαδημία@
@acanthus@|@άκανθος@
@accede@|@αποδέχομαι, συγκατατίθεμαι@
@accelerate@|@επισπεύδω, επιταχύνω, πατάω γκάζι@
@accelerating@|@που επιταχύνει@
@acceleration@|@επίσπευση, επιτάχυνση@
@accelerator@|@γκάζι@
@accelerometer@|@επιταχύμετρο@
@accent@|@προφορά, τόνος@
@accentual@|@τονικός@
@accentuate@|@δίνω έμφαση, τονίζω@
@accept@|@αποδέχομαι, δέχομαι, παραδέχομαι@
@acceptable@|@αποδεκτός, δεκτός@
@acceptance@|@αποδοχή@
@acceptant@|@δεκτικός@
@accepting house@|@τράπεζα εγγυήσεως@
@acceptor@|@αποδέκτης@
@accesory@|@σύνεργος@
@access@|@πρόσβαση, προσπέλαση@
@access logging@|@ημερολόγιο χρήσης@
@access road@|@οδός προσπέλασης@
@access time@|@χρόνος πρόσβασης@
@accessible@|@ευπρόσιτος@
@accession@|@άνοδος, απόκτημα, ένταξη, πρόσθηκη, προσχώρηση@
@accessory@|@αξεσουάρ, συνεργός@
@accident@|@ατύχημα, τύχηcaccidental@
@accidental@|@τυχαίος@
@accipiter@|@γεράκι@
@acclaim@|@επευφημώ, επιδοκιμάζω, επικροτώ@
@acclamation@|@επευφημία@
@acclimate@|@εγκλιματίζομαι@
@acclimatize@|@εγκλιματίζομαι@
@accolade@|@επικρότηση@
@accommodate@|@εξυπηρετώ, στεγάζω@
@accommodating@|@εξυπηρετικός, που στεγάζεται@
@accommodation@|@κατάλυμα, στέγαση@
@accomodation@|@κατάλυμα@
@accompanied by@|@συνοδευόμενος από@
@accompaniment@|@συνοδεία@
@accompany@|@ακολουθώ, συνοδεύω@
@accompanying@|@που συνοδεύει@
@accomplice@|@σύνεργος@
@accomplish@|@επιτυγχάνω, καταφέρω, ολοκληρώνω, πληρώ, πραγματοποιώ@
@accomplishment@|@διενέργεια@
@accord@|@συγκατάθεση, συμφωνία@
@accordant@|@σύμφωνος@
@according to@|@σύμφωνα με@
@according to an invariable rule@|@απαράβατο@
@according to rumours@|@σύμφωνα με φήμη@
@according to the contents of the contract@|@ως διαλαμβάνει το συμβόλαιο@
@accordingly@|@ανάλογα@
@accordion@|@ακορτεόν@
@accost@|@διπλαρώνω, πλευρίζω, πλησιάζω@
@account@|@αναφορά, λογαριασμός, σημασία@
@account for@|@εξηγώ, λογοδοτώ@
@accountable@|@δωσίλογος, υπόλογος@
@accountancy@|@λογιστική@
@accountant@|@λογιστής@
@accoustic distortion@|@ηχητική παραμόρφωση@
@accouter@|@εφοδιάζω, ντύνω@
@accoutre@|@ενδύω, ντύνω@
@accredit@|@διαπιστεύω, εξουσιοδοτώ@
@accredited@|@διαπιστευμένος@
@accretion@|@προσαύξηση, πρόσφυση@
@accrual@|@επαύξηση@
@accrue@|@προκύπτω, προστίθεμαι@
@acculturate@|@προσαρμόζω@
@accumulate@|@συσσωρεύομαι, συσσωρεύω@
@accumulation@|@συρροή, συσσώρευση@
@accuracy@|@ακρίβεια, ορθότητα@
@accurate@|@ακριβής@
@accurate in@|@ακριβής@
@accurately@|@ακριβέστατα@
@accusation@|@κατηγορία@
@accusative@|@αιτιατική@
@accusatory@|@κατηγορητικός@
@accuse@|@κατηγορώ@
@accused@|@κατηγορούμενος, υπόδικος@
@accustom@|@εξοικειώνομαι, εξοικειώνω, συνηθίζω@
@accustomed to@|@συνηθισμένος σε@
@ace@|@άσος@
@acerbic@|@στυφός@
@acerbity@|@δριμύτητα, οξύτητα, στυφότητα@
@acetate@|@οξικό άλας@
@acetic@|@οξικός@
@acetone@|@ακετόνη@
@acetylene@|@ακετυλένιο@
@ache@|@λαχταρώ, πόνος, πονώ@
@achievable@|@που μπορεί να κατορθωθεί@
@achieve@|@κατορθώνω@
@achievement@|@επίτευξη@
@aching@|@που πονεί@
@achromatic@|@αχρωματικός@
@acid@|@οξύ, οξύς@
@acid rain@|@όξινη βροχή@
@acidic@|@όξινος@
@acidify@|@οξινίζω, οξύνω@
@acidulate@|@ξινίζω@
@acidulous@|@υπόξινος@
@acknowledge@|@αναγνωρίζω@
@acknowledgeable@|@αναγνωρισμένος@
@acknowledgement@|@αναγνώριση@
@acme@|@ακμή, κολοφώνας, το άκρον άωτον@
@acolyte@|@ακόλουθος, βοηθός ιερέως@
@acorn@|@βελανίδι@
@acorn bar@|@αντιδονητική ράβδος@
@acoterion@|@ακρωτήριο στεγής@
@acoustic@|@ακουστικός, ηχητικός@
@acoustic guitar@|@ακουστική κιθάρα@
@acoustics@|@ακουστική@
@acquaint@|@γνωρίζω, πληροφορώ@
@acquaintance@|@γνωριμία@
@acquainted with@|@γνωστός@
@acquiesce@|@συγκατατίθεμαι, συναινώ@
@acquiescence@|@συναίνιση@
@acquiescent@|@συγκαταβατικός@
@acquire@|@αποκτώ, αποκώ@
@acquired@|@κεκτημένο@
@acquired characteristics@|@επίκτητα χαρακτηριστηκά@
@acquired disease@|@επίκτητη αρρώστια@
@acquired rights@|@κετημένα δικαιώματα@
@acquisition@|@απόκτημα, απόκτηση@
@acquisitive@|@άπληστος, κτητικός@
@acquistion of land@|@απαλλοτρίωση γης@
@acquit@|@αθωώνω, απαλλάσσω@
@acquittal@|@αθώωση, απαλλαγή@
@acre@|@4.000 τ.μ., ακρ, στρέμμα@
@acreage@|@εμβαδό σε ακρ@
@acrid@|@πικρός, πνιγηρός, σέρτικος, στυφός@
@acrimonious@|@θυελλώδης, πικρός@
@acrimony@|@δριμύτητα, πικρία@
@acrobat@|@ακροβάτης@
@acrobatic@|@ακροβατικός@
@acrobatics@|@ταυροκαθάψια@
@acronym@|@ακρώνυμο@
@across@|@απέναντι, κατά πλάτος@
@acrostic@|@ακροστοιχίδα@
@acrylic@|@ακρυλικός@
@act@|@ενεργώ, επενεργώ, παίζω, παίζω (από ηθοποιό), πράξη@
@act accordingly@|@ενεργώ ανάλογα@
@act affectedly@|@ακκίζομαι@
@act of God@|@Θεομηνία@
@act of parliament@|@νομοσχέδιο@
@act of violence@|@πράξη βίας@
@act up@|@δημιουργώ πρόβλημα, ενοχλώ, παρεκτρέπομαι@
@acting@|@αναπληρωματικός@
@actinic@|@ακτινικός@
@actinium@|@ακτίνιο@
@action@|@αγωγή, διάβημα, δράση, ενέργεια, επενέργεια@
@action pending in other court@|@εκκρεμοδικία@
@actionable@|@ενακτέος@
@activate@|@ενεργοποιώ@
@activated sludge@|@ενεργός ιλύς@
@activation@|@ενεργοποίηση@
@active@|@ακμαίος, δραστήριος, ενεργετικός, ενεργός@
@active partner in homosexual act@|@κολομπαράς@
@active volcano@|@ενεργό ηφαίστειο, ηφαίστειο εν ενέργεια@
@actively@|@ενεργά@
@activism@|@ακτιβισμός@
@activist@|@ακτιβιστής@
@activity@|@δραστηριότητα@
@actor@|@ο ηθοποιός@
@actress@|@η ηθοποιός@
@acts@|@ενέργειες, πράξεις@
@actual@|@αληθινός, πραγματικός@
@actually@|@πράγματι, πραγματικά, στην αλήθεια@
@actuate@|@διεγείρω, παρακινώ, προτρέπω@
@actuated by@|@κινούμενος από@
@acuity@|@οξυδέρκεια@
@acumen@|@διορατικότητα, επιχε, οξύνοια@
@acupuncture@|@βελονισμός@
@acute@|@έντονος, οξυδερκής, οξύς@
@ad@|@διαφήμηση@
@AD@|@μετά Χριστόν@
@adage@|@απόφθεγμα, ρητό@
@adagio@|@αντάτζιο@
@adamant@|@άκαμπτος, αμετάπειστος@
@adamant plaster@|@επίχρισμα ταχείας πήξεως@
@adapt@|@διασκευάζω, προσαρμόζω@
@adaptability@|@ευστροφία@
@adaptable@|@ευπροσάρμοστος@
@adaptation@|@διασκευή, διασκευή, προσαρμογή@
@adaptations of emoluments@|@αναπροσαρμογές του καθεστώτος@
@adaptive@|@προσαρμοστικός@
@add@|@προσθέτω@
@add insult to injury@|@ύβρις καί ζημιά@
@add to@|@προσθέτω@
@add up@|@βγάζω νόημα, προσθέτω@
@added@|@επιπρόσθετος, πρόσθετος@
@addend@|@προσθετέος@
@addenda@|@συμπληρώματα@
@addendum@|@παράτμημα βιβλίου@
@adder@|@οχιά@
@addict@|@εθίζω, ναρκομανής@
@addicted@|@εθισμένος, εξαρτημένος@
@addiction@|@εθισμός@
@addictive@|@εθιστικός@
@addition@|@πρόσθηκη@
@additional@|@επιπρόσθετος, πρόσθετος@
@additive@|@πρόσθετη ουσία, πρόσθετο, πρόσμειξη@
@additives@|@πρόσθετες ουσίες@
@addle@|@κλουβιάζω, συγχύζω@
@addled@|@κλούβιος@
@address@|@απευθύνω, απευθύνω τον λόγο σε, διεύθυνση@
@addressee@|@παραλήπτης@
@adductor@|@προσαγωγός@
@adenine@|@αδενίνη@
@adenoma@|@αδένωμα@
@adept@|@επιδέξιος, επιτήδειος@
@adequacy@|@επάρκεια@
@adequate@|@επαρκής@
@adhere@|@εμμένω, κολλώ, προσκολλώμαι@
@adhere to@|@εμμένω@
@adherence@|@εμμονή@
@adherent@|@οπαδός@
@adhesion@|@προσκόλληση@
@adhesive@|@κόλλα, κολλητικός, κολλώδης@
@adiabatic@|@αδιαβατικός@
@adieu@|@αντίο@
@adipose tissue@|@λιπώδης ιστός@
@adjacent@|@κοντινός, παρακείμενος, προσκείμενος@
@adjectival@|@επιθετικός@
@adjective@|@επίθετο@
@adjoin@|@γειτονεύω, εφάπτομαι, συνορεύω@
@adjoining@|@διπλανός@
@adjourn@|@αναστέλλω@
@adjudge@|@αποφαίνομαι@
@adjudicate@|@δικάζω, επιδικάζω@
@adjunct@|@αναπληρωτής, συμπλήρωμα@
@adjust@|@προσαρμόζω, ρυθμίζω@
@adjust to@|@προσαρμόζομαι@
@adjustable@|@αυτό που ρυθμίζεται, ρυθμιζόμενος@
@adjustment@|@ρύθμιση@
@adjutant@|@υπασπιστής@
@administer@|@απονέμω, διαχειρίζω, διοικώ, εφαρμόζω, χορηγώ@
@administer an oath@|@επάγω όρκο@
@administrate@|@διοικώ@
@administration@|@διοίκηση, διοικητικός, κυβέρνηση, χορήγηση@
@administrative@|@διαχειριστικός@
@admirable@|@θαυμαστός@
@admiral@|@ναύαρχος@
@admiralty@|@ναυαρχείο@
@admiration@|@θαυμασμός@
@admire@|@θαυμάζω@
@admirer@|@θαυμαστής@
@admiring@|@που θαυμάζει@
@admissible@|@αποδεκτός, επιτρεπτός@
@admission@|@είσοδος, ομολογία, παραδοχή@
@admission to@|@εισαγωγή@
@admit@|@αφήνω να μπει, αφήνω να μπεί, εισάγω, παραδέχομαι@
@admittance@|@είσοδος@
@admittedly@|@ομολογουμένως@
@admitting@|@το να παραδέχεται κανείς@
@admix@|@ανακατεύω@
@admixture@|@πρόσμειξη@
@admonish@|@νουθετώ, παραινώ@
@admonition@|@νουθεσία, παραίνεση@
@admonitory@|@παραινετικός@
@ado@|@ντόρος, φασαρία@
@adobe@|@πλίνθος@
@adolescence@|@εφηβεία@
@adolescent@|@εφηβικός, έφηβος@
@adopt@|@αποδέχομαι, υιοθετώ, υιοθετώ@
@adopted@|@υιοθετημένος@
@adoption@|@θιοθέτηση, υιοθεσία, υιοθέτηση@
@adoptive@|@θετός@
@adorable@|@αξιολάτρευτος@
@adoration@|@λατρεία@
@adore@|@λατρεύω@
@adoring@|@που λατρεύει@
@adorn@|@καλλωπίζω, κοσμώ, λουσάρω, στολίζω@
@adrenal@|@επινεφριδικός@
@adrenaline@|@αδρεναλίνη@
@adrift@|@εκυβέρνητος@
@adroit@|@επιδέξιος@
@adsorb@|@προσροφώ@
@adsorbate@|@προσροφημένη ουσία@
@adsorption@|@προσρόφηση@
@adsorptive@|@προσροφητικός@
@adulate@|@κολακεύω@
@adult@|@ενήλικας, ενήλικος@
@adulterate@|@αλλοιώνω, νοθεύω@
@adulterer@|@μοιχός@
@adulterous@|@μοιχικός@
@adultery@|@μοιχεία@
@adulthood@|@ενηλικότητα@
@adults@|@ενήλικοι@
@advance@|@προβαίνω, προκαταβάλλω, προκαταβολή, πρόοδος, προχωρώ@
@advanced@|@προχωρημένος@
@advanced bookings@|@κρατήσεις εκ των πρότερων@
@advancement@|@ανάδειξη@
@advancing@|@προοδευτικός@
@advantage@|@πλεονέκτημα, προτέρημα@
@advantageous@|@πλεονεκτικός@
@advent@|@έλευση, ερχομός@
@adventitious@|@παρείσακτος, τυχαίος@
@adventure@|@περιπέτεια@
@adventurous@|@περιπετιώδης, τολμηρός@
@adverb@|@επίρρημα@
@adverbial@|@επιρρηματικός@
@adversary@|@αντίπαλος@
@adverse@|@δυσμενής@
@adversely@|@δυσμενώς@
@advert@|@διαφήμηση, διαφήμιση@
@advertise@|@διαφημίζω@
@advertisement@|@διαφήμιση@
@advertisements@|@διαφημήσεις@
@advertising@|@διαφημιστικός@
@advertising campaign@|@διαφημιστική εκστρατεία@
@adverts@|@διαφημίσεις@
@advice@|@συμβουλή@
@advisability@|@ορθότητα, σκοπιμότητα@
@advisable@|@συνετό, συνετός@
@advise@|@συμβουλεύω, συνιστώ@
@advising@|@το να συμβουλεύει κανείς@
@advisor@|@σύμβουλος@
@advisory@|@συμβουλευτικός@
@advocacy@|@υπεράσπιση@
@advocate@|@συνήγορος, συνηγορώ, υπερασπιστής, υποστηρικτής@
@adytum@|@άδυτο@
@aedicule@|@θύρωμα, πύλη@
@aegis@|@αιγίδα@
@aeolian@|@αιολικός@
@aerate@|@αερίζω@
@aerial@|@κεραία@
@aerie@|@αετοφωλιά@
@aerobic@|@αεροβικός@
@aerobics@|@αεροβική@
@aerodynamic@|@αεροδυναμικός@
@aerofoil@|@αεροτομή@
@aeronaut@|@αεροναύτης@
@aeronautic@|@αεροναυτικός@
@aeroplane@|@αεροπλάνο@
@aerosol@|@αεροζόλ, σπρέι@
@aerosol spray@|@αεροζόλ@
@aerospace@|@διάστημα@
@aesthete@|@αισθητιστής@
@aesthetic@|@αισθητικός@
@afar@|@αλάργα, μακριά@
@affability@|@αβρότητα, προσήνεια@
@affable@|@αβρός, προσηνής@
@affair@|@δεσμός, υπόθεση@
@affairs@|@υποθέσεις@
@affect@|@επηρεάζω, παριστάνω, συγκινώ@
@affectation@|@εκζήτηση, επιτήδευση@
@affected@|@επιτηδευμένος@
@affection@|@στοργή, τρυφερότητα@
@affection for@|@στοργή@
@affectionate@|@στοργικός@
@affectionately@|@στοργικά@
@afferent@|@κεντρομόλος@
@affiance@|@υπόσχεση γάμου@
@affidavit@|@ένορκη κατάθεση@
@affiliate@|@προσκτώμαι, προσχωρώ@
@affinity@|@αγχιστεία, έλξη, συνάφεια@
@affirm@|@βεβαιώνω, διαβεβαιώνω, επικυρώνω@
@affirmation@|@διαβεβαίωση@
@affirmative@|@καταφατικός@
@affix@|@προσθέτω, πρόσφυμα@
@afflict@|@βασανίζω, ταλαιπωρώ@
@afflicted@|@βασανιζόμενος@
@affliction@|@βάσανο@
@affluence@|@αφθονία@
@affluent@|@εύπορος@
@affluent society@|@κοινωνία της αφθονίας@
@afford@|@διαθέτω χρήματα, διαθέτω χρήματα ή χρόνο@
@afforest@|@αναδασώνω@
@afforestation@|@αναδάσωση@
@affray@|@συμπλοκή@
@affront@|@προσβολή@
@Afghanistan@|@Αφγανιστάν@
@aficionado@|@οπαδός@
@afield@|@μακριά@
@afire@|@φλεγόμενος@
@aflame@|@φλεγόμενος@
@afloat@|@επιπλέων@
@afoot@|@στα σκαριά@
@aforementioned@|@προαναφερθείς, προειρημένος@
@aforesaid@|@προλεχθείς@
@aforethought@|@προμελετημένος@
@afraid@|@που φοβάται, φοβισμένος@
@afreet@|@αφρίτ@
@afresh@|@ξανά@
@Africa@|@Αφρική@
@African@|@Αφρικανός@
@afro@|@αφρό χτένισμα@
@aft@|@της πρύμνης@
@after@|@έπειτα, μετά, μετά από@
@after cataract@|@δευτεροπαθής καταρράκτης@
@after my own heart@|@σύμφωνα με την επιθυμία μου@
@after the event@|@εκ των υστέρων@
@afterbirth@|@πλακούντας@
@aftereffect@|@επακόλουθο@
@afterglow@|@μεταλαμπή@
@afterimage@|@μετείκασμα@
@afterlife@|@ζωή μετά θάνατον@
@aftermath@|@επακόλουθο@
@afternoon@|@απόγεμα, απόγευμα@
@aftersensation@|@μεταίσθηση@
@aftershock@|@μετασεισμός@
@afterthought@|@μεταγενέστερη σκέψη@
@afterward@|@έπειτα, μετά@
@afterwards@|@εκ των υστέρων, μετά@
@afterword@|@επίλογος@
@again@|@άλλη μία φορά, ξανά, πάλι@
@again and again@|@επαναλειμμένες φορές@
@against@|@εναντίον, κατά, κόντρα σε@
@agar@|@άγαρ@
@age@|@εποχή, ηλικία, περιόδος@
@age of majority@|@ηλικία ενηλικίωσης@
@aged@|@ηλικίας, ηλικιωμένος@
@ageing@|@γήρανση, που γερνάει@
@agencies@|@πρακτορεία@
@agency@|@πρακτορείο, υπηρεσία@
@agenda@|@ημερίσια διάταξη@
@agent@|@μεσίτης, παράγων, πράκτορας@
@ages@|@ηλικίες@
@aggravate@|@επιδεινώνω@
@aggravating@|@εξοργιστικός@
@aggregate@|@συσσωμάτωμα@
@aggression@|@επιθετικότητα@
@aggressive@|@επιθετικός@
@aggressively@|@επιθετικά@
@aggrieved@|@αδικηθείς@
@agift that is no gift@|@δώρον άδωρον@
@agile@|@ευκίνητος, εύστροφος, σβέλτος@
@agility@|@ευστροφία, σβελτάδα@
@agitated@|@ανάστατος, ανασταωμένος, ταραγμένος@
@agitatedly@|@αναστατωμένα@
@agnostic@|@αγνωστικιστής, αγνωστικιστικός@
@ago@|@πριν@
@agonising@|@σπαρακτικός@
@agony@|@αγωνία@
@agree@|@συμφωνώ@
@agree on@|@συμφωνώ για@
@agree to@|@συμφωνώ@
@agree with@|@συμφωνώ με@
@agreeable@|@ευάρεστος, τερπνός@
@agreement@|@συμφωνία@
@agricultural@|@γεωργικος@
@agriculturally@|@αγροτικά, γεωργικά@
@agriculture@|@γεωργία@
@ahead of@|@μπροστά από@
@aicraft@|@αεροσκάφος@
@aid@|@βοήθεια, βοήθημα, βοηθώ, επικουρία@
@aigrette@|@λοφίο@
@ailment@|@αρρώστια, ασθένεια, νοσός@
@aim@|@αποβλέπω, βλέψη, σκοπεύω, σκοπός@
@aim to@|@αποβλέπω@
@aiming@|@το να σημαδεύει κανείς@
@aimless@|@άσκοπος@
@aimlessly@|@άσκοπα@
@air@|@αέρας, ατμόσφαιρα@
@air attack@|@αεροπορική επιδρομή@
@air condition@|@κλιματίζω@
@air hostess@|@αεροσυνοδός@
@air navigation@|@αεροπλοΐα@
@air sickness@|@ναυτιά {σε αεροπλάνο}@
@airbase@|@αεροπορική βάση@
@airbed@|@στρώμα θάλασσας@
@airborne@|@αερομεταφερόμενος@
@airborne troops@|@αεράγημα@
@aircraft@|@αεροσκάφος@
@aircraft carrier@|@αεροπλανοφόρο@
@airfares@|@εισιτήρια αεροπορικά@
@airforce@|@πολεμική αεροπορία@
@airlift@|@μεταφέρω δι'αερός@
@airline@|@αεροπορική εταιρία@
@airliner@|@αεροπλάνο της γραμμής@
@airmail@|@αεροπορικό ταχυδρομείο, αεροπορικός@
@airport@|@αεροδρόμιο@
@airscrew@|@έλικας@
@airtight@|@αδιάψευστος, αεροστεγής, αρραγής@
@airway@|@αεροδιάδρομος, αναπνευστική οδός@
@airy@|@άυλος, ευάερος@
@aisle@|@διάδρομος@
@ajar@|@μισάνοικτος@
@ajudicate@|@αποφαίνομαι@
@akin@|@συγγενής, συγγενικός@
@alabaster@|@αλάβαστρο@
@alacrity@|@γρηγοράδα, προθυμία@
@alarm@|@συναγερμός, συναργερμός, τρομάζω@
@alarm clock@|@ξυπνητήρι@
@alarming@|@ανησυχητικός@
@alarmingly@|@ανησυχητικά@
@alb@|@άλμπα@
@albatross@|@άλμπατρος@
@albeit@|@αν και, έστω@
@albinism@|@λευκοπάθεια@
@albino@|@αλμπίνος, λευκοπαθής@
