@English@|@Albanian@
@attractive@|@tërheqës@
@August@|@gusht@
@aunt (mother's sister)@|@teze@
@authority@|@pushtet@
@autumn@|@vjeshtë@
@autumnal@|@vjeshtëror@
@avalanche@|@ortek@
@average@|@mesatar@
@away@|@përlaj, tej@
@away from@|@larg@
@awe@|@frikë@
@awkward@|@ngathët (i)@
@axe@|@sëpatë@
@axis@|@bosht@
@axle@|@bosht@
@baby@|@foshnjë@
@back@|@kurriz, mbrapsht, prapa, shpinë@
@background@|@sfond@
@backwards@|@prapa@
@bacon@|@pastërma@
@bad@|@keq@
@badge@|@distinktiv@
@bag@|@çantë@
@baked@|@pjekur (i)@
@baklava@|@bakllava@
@bald@|@tullac@
@Balkan@|@ballkanik@
@balkony@|@ballkon@
@ball@|@koqe, top@
@ballet@|@balet@
@ball-point pen@|@stilolaps@
@bang@|@përplas@
@bank@|@bankë, breg@
@banner@|@flamur@
@bar@|@bar, lokal@
@barbed wire@|@tel me gjemba@
@barber@|@berber@
@bare@|@zhveshur (i)@
@barefoot@|@zbathur@
@bark@|@leh@
@barley@|@elb@
@barouche@|@karrocë@
@barrel@|@fuçi@
@base@|@faqezi@
@basin@|@pellg@
@basket@|@kosh, shportë@
@basketball@|@basketboll@
@bath@|@banjë@
@bathroom@|@banjë@
@battalion@|@batalion@
@battle@|@betejë, luftim@
@bay@|@gji@
@bazaar@|@pazar@
@be@|@gjendem, jam, ndodhem, shtrihet@
@be absent@|@mungoj@
@be afraid@|@frikësohem@
@be amazed@|@mahnitem@
@be astonished@|@mahnitem@
@be born@|@lind@
@be called@|@quhem@
@be cold@|@kam ftohtë@
@be content@|@kënaqem@
@be created@|@krijohet@
@be distinguished@|@dallohem@
@be fixed@|@ngulem@
@be frightened@|@marr me frikë, trembem@
@be glad@|@gëzohem@
@be hungry@|@kam uri@
@be included@|@përfshihem@
@be left@|@mbes@
@be numb@|@mpihem@
@be pleased@|@kënaqem@
@be pleased with@|@më pëlqen@
@be situated@|@gjendem, ndodhem@
@be stunned@|@shtangem@
@be stupefied@|@shtangem@
@be surprised@|@befasohem, habitem@
@be terrified@|@lebetitem@
@beach@|@plazh@
@bead@|@rruazë@
@beak@|@sqep@
@beam@|@rreze, shkëlqej, shndrit@
@bean@|@fasule@
@bear@|@ari@
@beard@|@mjekër@
@beat@|@rrah@
@beautiful@|@bukur (i)@
@beauty@|@bukuri@
@because@|@ngaqë, sepse@
@bed@|@krevat, shtresë@
@bed-sheet@|@çarçaf@
@beech@|@ah@
@beech-wood@|@ahishte@
@beer@|@birrë@
@beet@|@panxhar@
@before@|@më parë, para, para se, përpara@
@beg@|@lus@
@begin@|@filloj@
@begin to cry@|@zë të qajë@
@beginning@|@fillim@
@behind@|@pas, prapa@
@being late@|@vonesë@
@believe@|@besoj@
@believer@|@besimtar@
@bell@|@zile@
@bell (attached to animals)@|@këmborë@
@belly@|@bark@
@belong@|@përkas@
@beloved@|@dashur (i)@
@bench@|@bankë, stol@
@bend@|@kërrus@
@bending@|@përkulje@
@beneath@|@poshtë@
@beseach@|@lus@
@beside@|@përbri, pranë@
@besides@|@përveç@
@best man@|@krushk@
@bet@|@vë bast@
@betray@|@tradhëtoj@
@between@|@ndër@
@beyond@|@përtej, tej@
@bicycle@|@biçikletë@
@big@|@madh (i)@
@billiards@|@bilardo@
@billow@|@dallgë@
@bind@|@lidh@
@bind oneself@|@lidhem@
@biography@|@biografi@
@bird@|@shpend, zog@
@birth@|@lindje@
@birthday@|@ditëlindje@
@birth-mark@|@nishan@
@birthplace@|@vendlindje@
@bishop@|@peshkop@
@bit@|@copë@
@bitch@|@bushtër@
@bitter@|@hidhur (i)@
@black@|@zezë (e), zi (i)@
@Black@|@zezak@
@black grey@|@murrmë (i)@
@blackboard@|@dërrasë e zezë@
@blacken@|@nxij@
@blackened@|@nxirë (i)@
@blame@|@faj, qortim@
@blameless@|@pafajshëm (i)@
@blanket@|@batanije, kuvertë@
@blaze@|@flakë, flakëroj@
@bleat@|@blegëron@
@bleating@|@blegërimë@
@bless@|@uroj@
@blessed@|@bekuar (i), lum@
@blind@|@qorr, verbër (i)@
@blood@|@gjak@
@bloody@|@përgjakur (i)@
@blossom@|@lulëzim@
@blossoming@|@lulëzim@
@blot@|@njollë@
@blow@|@fryj@
@blush@|@skuqem@
@boar@|@derr i egër@
@board@|@dërrasë, drejtorí, tabelë@
@body@|@shtat, trup@
@bodywork@|@karroceri@
@boil@|@vloj, ziej@
@bold man@|@trim@
@boldness@|@guxim, trimëri@
@bomb@|@bombë@
@bon appetit@|@të bëftë mirë@
@bond@|@lidhje@
@bone@|@eshtër, kockë@
@book@|@libër@
@book-keeping@|@llogari@
@bookshop@|@librari@
@boots@|@çizme@
@border@|@bordurë@
@borrow@|@marr hua@
@bossom@|@çel lule@
@both@|@të dy@
@bother@|@shqetësoj@
@bottle@|@shishe@
@bottom@|@fund@
@bow@|@përkulje@
@bowl@|@kupë@
@boxer@|@boksier@
@boy@|@djalë@
@brain@|@tru@
@branch@|@degë@
@brand new@|@fringo@
@brave@|@guximtar@
@brave man@|@sokol, trim@
@brawl@|@shamatë@
@breach@|@çarë (e)@
@bread@|@bukë@
@break@|@pushim, shkel, thyej@
@breakfast@|@mëngjes@
@breast@|@gji, gjoks, sisë@
@breath@|@frymë@
@breathe@|@marr frymë@
@breeches@|@shallvare@
@breed@|@rrit@
@breeze@|@fllad@
@bride@|@nuse@
@bridegroom@|@dhëndër@
@bride's man@|@krushk@
@briefcase@|@çantë@
@briefly@|@shkurt, shkurtimisht@
@brier@|@ferrë@
@bright@|@shkëlqyer (i), shndritshëm (i)@
@brightness@|@shkëlqim@
@brilliance@|@shkëlqim@
@brilliant@|@shkëlqyer (i)@
@brim@|@strehë@
@bring@|@sjell@
@bring closer@|@afroj@
@brink@|@buzë@
@brisket@|@gjoks@
@broad@|@gjerë (i)@
@broadcast@|@emision, përhap@
@broken@|@copëtuar (i), prishur (i)@
@brooch@|@karficë@
@broom@|@fshesë@
@brother@|@vëlla@
@brotherly@|@vëllazëror@
@brown@|@ngjyrëkafe@
@brush@|@furçë@
@bucket@|@kovë@
@build@|@ndërtoj@
@building@|@godinë, pallat@
@built@|@ndërtuar (i)@
@Bulgarian@|@bullgar@
@bull@|@dem@
@bullet@|@plumb@
@bun@|@kulaç@
@bunch@|@tufë@
@burden@|@ngarkesë@
@bureau@|@zyrë@
@burn@|@djeg@
@burst@|@kris@
@bury@|@varros@
@bus@|@autobus@
@bush@|@kaçube@
@bust@|@bust@
@but@|@mirëpo, po, veçse@
@butcher@|@kasap@
@butter@|@gjalpë@
@butterfly@|@flutur@
@buttocks@|@bythë@
@button@|@follë, kopsë, pullë@
@buy@|@blej@
@buzz@|@gumëzhin@
@by@|@prej, te/k@
@by heart@|@përmendësh@
@by side@|@përbri@
@Byzantine@|@bizantin@
@cabbage@|@lakër@
@cabin@|@kasolle@
@cafe@|@kafene@
@cage@|@kafaz@
@calamity@|@hata@
@calf@|@viç@
@calf (of lrg)@|@pulpë@
@call@|@marr në telefon, quaj, thërras, thirrje@
@calm@|@qetë (i), qetësoj@
@calming@|@qetësues@
@calmness@|@rehat@
@camp@|@kamp@
@candle@|@qiri@
@cannon@|@top@
@canon@|@kanun@
@canvas@|@kanavacë@
@capable@|@zoti (i)@
@capital@|@kryeqytet@
@captivity@|@robëri@
@car@|@makinë, veturë@
@care@|@kujdes@
@careful@|@kujdesshëm (i)@
@carefully@|@me kujdes@
@cargo@|@ngarkesë e vaporit@
@carpet@|@qilim@
@carriage@|@karrocë@
@carry@|@mbaj, shpie@
@carry out@|@kryej@
@carve@|@skalit@
@cashier@|@arkëtar, sportelist@
@casserole@|@tenxhere@
@cast@|@hedh@
@castle@|@kështjellë@
@cat@|@mace@
@catch@|@kap, zë@
@catch fire@|@ndizem@
@catholic@|@katolik@
@cattle@|@bagëti, bagëti e trashë@
@cattle-breeder@|@blegtor@
@cattle-breeding@|@blegtori@
@cause to wilt@|@vyshk@
@ceiling@|@tavan@
@cellar@|@qilar@
@cendemn@|@dënoj@
@center@|@qendër@
@century@|@shekull@
@cereal@|@drithë@
@ceremony@|@ceremoni@
@certain@|@caktuar (i)@
@certainly@|@patjetër@
@cevered@|@mbuluar (i)@
@chain@|@varg, zinxhir@
@chair@|@karrige@
@chalk@|@shkumës@
@challenge@|@sfidë@
@chancellor@|@kancelar@
@change@|@kthej, ndërroj@
@character@|@karakter@
@characteristic@|@karakteristik@
@charge@|@ngarkoj, pagesë, porosi@
@charging@|@mbushje@
@charity@|@lëmoshë@
@charm@|@hijeshi@
@chat@|@kuvendoj@
@chatterbox@|@llafazan@
@cheap@|@lirë (i)@
@check@|@kontrolloj@
@cheek@|@faqe@
@cheer@|@brohoras, jap kurajë@
@cheerful@|@me buzë në gaz@
@cheers@|@gëzuar@
@cheese@|@djathë@
@cherry@|@qershi@
@chest@|@gjoks, kraharor@
@chicken@|@zog@
@chief@|@kryesor@
@child@|@fëmijë@
@chill@|@ngrij@
@chimney@|@oxhak@
@chin@|@mjekër@
@Chinese@|@kinez@
@chink@|@plasë@
@chirp@|@cicërin@
@choir@|@kor@
@choke@|@mbys@
@choose@|@zgjedh@
@chop@|@çaj@
@chosen@|@zgjedhur (i)@
@chubby@|@brumbullak@
@church@|@kishë@
@cicerone@|@ciceron@
@cigarette@|@cigare@
@cigarette lighter@|@çakmak@
@circle@|@rreth@
@circulation@|@xhiro@
@circumstances@|@rrethana@
@city@|@qytet@
@civilization@|@qytetërim@
@claim@|@pretendoj@
@clang@|@tringëllin@
@clash@|@ndeshem, ndeshje@
@class@|@klasë@
@classroon@|@klasë@
@clause@|@fjali@
@clay@|@argjilë@
@clean@|@pastër (i)@
@clear@|@kthjellët (i), kulluar (i), qartë (i)@
@clearly@|@qartë@
@clerk@|@nëpunës@
@client@|@klient@
@climate@|@klimë@
@climb@|@ngjitem@
@clock@|@orë, orë muri, sahat@
@clock-repairer@|@orëndreqës@
@close@|@afër, afërt (i), mbyll, pranë@
@clothes@|@rrobë, teshë@
@cloud@|@re@
@cloudless@|@kthjellët (i)@
@coach@|@autobus, karrocë, trainer@
@coarse@|@ashpër (i)@
@coast@|@breg, bregdet@
@cock@|@gjel, kar, këndes@
@cocoa@|@kakao@
@coffee@|@kafe@
@coffee-house@|@kafene@
@coin@|@monedhë@
@cold@|@ftohtë (i)@
@collapse@|@bie, rrëzohet@
@collar@|@jakë@
@collect@|@mbledh@
@collide@|@ndeshem@
@colour@|@lyej, ngjyrë@
@comb@|@kreh@
@comb oneself@|@krihem@
@combating@|@luftim@
@come@|@afrohem, eja, vij@
@come near@|@qasem@
@comedy@|@komedi@
@comfort@|@rehat@
@comfortable@|@rehatshëm (i)@
@command@|@komandë, komandoj@
@comment@|@komentoj@
@commerce@|@tregti@
@commission@|@porosis@
@common@|@përbashkët (i), përgjithshëm (i)@
@community@|@bashkësi@
@company@|@ansambël@
@compare@|@krahasoj@
@compete@|@konkuroj@
@competition@|@konkurs@
@complain@|@ankohem@
@complaint@|@ankesë@
@complete@|@plotë (i), plotësoj@
@composition@|@hartim, kompozim@
@compositional@|@kompozicional@
@compulsion@|@detyrim@
@comrade@|@shok@
@concern@|@përket (i)@
@concert@|@koncert@
@condemn@|@dënoj@
@conditioned@|@kushtëzuar (i)@
@conduct@|@shpie@
@conjugate@|@zgjedhoj@
@connect@|@lidh@
@connection@|@lidhje@
@conquer@|@mund@
@consent@|@pranoj@
@console@|@ngushëlloj@
@constracted@|@ndërtuar (i)@
@construct@|@ndërtoj@
@contain@|@përmbaj@
@content@|@kënaqur (i)@
@continuation@|@vijim@
@continuously@|@vazhdimisht@
@contract@|@kontratë, marrëveshje@
@contracted@|@ndrydhur (i)@
@contribute@|@kontriboj@
@control@|@kontroll, kontrolloj@
@convenient@|@përshtatshëm (i)@
@conversation@|@bisedë@
@converse@|@bisedoj, kuvendoj@
@conyinue@|@vazhdoj@
@cook@|@gatuaj@
@cooker@|@kuzhinë@
@cordial@|@përzemërt (i)@
@cordiality@|@përzemërsi@
@cornel cherry@|@thanë@
@corner@|@cep@
@corpse@|@kufomë@
@correct@|@drejtë (i)@
@corridor@|@korridor@
@corrode@|@brej@
@cosy@|@rehatshëm (i)@
@cottage@|@vilë@
@cottege@|@kasolle@
@cotton@|@pambuk@
@cough@|@kollë@
@counsel@|@këshilloj@
@countless@|@panumërt (i)@
@country@|@vend@
@couple@|@çift@
@courage@|@trimëri@
@courageous man@|@guximtar@
@court@|@gjyq, oborr@
@cousin@|@kushëri@
@cousin (female)@|@kushërirë@
@cover@|@mbuloj@
@cover oneself@|@mbulohem@
@cow@|@lopë@
@crack@|@kris, krismë, plasë@
@cracked@|@krisur (i)@
@cradle@|@djep@
@craftsman@|@zejtar@
@crag@|@shkrep@
@craggy@|@thepisur (i)@
@cram@|@rras@
@crawl@|@zvarritem@
@crazy@|@marrosur (i)@
@cream cake@|@tortë@
@create@|@krijoj@
@cremate@|@djeg kufoma@
@Crescent@|@gjysmëhënë@
@critic@|@kritik@
@criticism@|@kritikë@
@critique@|@kritikë@
@Croatian@|@kroat@
@crook@|@kërrabë, kërrus@
@crow@|@sorrë@
@cruise@|@bëj një udhëtim@
@crumb@|@thërrime@
@crust@|@korr@
@cry@|@qaj@
@cubpub@|@këlysh@
@cucumber@|@kastravec@
@cuddle up@|@strukem@
@cuisine@|@kuzhinë@
@culprit@|@fajtor@
@cultivate@|@rrit@
@cultivator@|@bujk@
@cultured@|@kulturuar (i)@
@cupboard@|@dollap@
@curage@|@guxim@
@cure@|@kurë, mjekoj@
@curious@|@kureshtar@
@curl@|@kaçurrel@
@curly@|@kaçurrel@
@curse@|@mallkoj@
@curve@|@kthesë@
@custom@|@zakon@
@customer@|@klient@
@cut@|@pres@
@Czech@|@çek@
@daddy@|@babalok@
@daily@|@ditor, përditshëm (i)@
@dairy@|@bulmetore@
@dalay@|@vonesë@
@damage@|@dëmtoj@
@damn it@|@pse dreqin, xhanëm@
@damp@|@lagështirë@
@dance@|@kërcej@
@dancer@|@kërcimtar@
@danger@|@rrezik@
@Danish@|@danez@
@dare@|@guxoj, ma mban@
@dark@|@zymtë (i)@
@darkish@|@murrmë (i)@
@darkness@|@errësirë@
@dash@|@turrem@
@datum@|@të dhënat@
@daughter@|@bija@
@daughter-in-law@|@nuse@
@dawn@|@agim@
@dawns@|@gëdhin@
@day@|@ditë, ditor@
@day off@|@ditë pushimi@
@dead@|@vdekur (i)@
@dead (animal)@|@ngordhur (i)@
@dead body@|@kufomë@
@dead drunk@|@xurxull@
@deafen@|@shurdhoj@
@deal@|@merrem, veproj@
@dear@|@dashur (i), shtrenjtë (i)@
@death@|@vdekje@
@debt@|@borxh@
@decay@|@qelbet@
@deceive@|@moshtroj@
@December@|@dhjetor@
@decide@|@vendos@
@decision@|@vendim@
@declare@|@deklaroj@
@decline@|@tatëpjetë@
@decorate@|@zbukuroj@
@decoration@|@stoli@
@deed@|@bëmë@
@deep@|@thellë (i)@
@deeply@|@thellë@
@deepness@|@thellësi@
@deer@|@dre@
@defective@|@mangët (i)@
@defended@|@mbrojtur (i)@
@defender@|@mbrojtës@
@definite@|@caktuar (i)@
@definition@|@përkufizim@
@defy@|@përballoj@
@degenerate@|@zvetënohem@
@degree@|@gradë@
@delay@|@vonoj@
@deliberate@|@matur (i)@
@demand@|@kërkesë@
@dense@|@shpeshtë (i)@
@dental@|@dentar@
@dentist@|@dentist@
@deny@|@mohoj@
@departament@|@ministi@
@depend@|@varem@
@depth@|@thellësi@
@derive@|@rrjedh@
@descend@|@zbres@
@descent@|@zbritje@
@describe@|@përshkruaj@
@description@|@përshkrim@
@deserted@|@shkretë (i)@
@deserve@|@meritoj@
@design@|@vizatim@
@desire@|@dëshirë@
@despise@|@përbuz@
@despised@|@përbuzur (i)@
@dessert@|@ëmbëlsirë@
@destiny@|@fat@
@destroy@|@shkatërroj@
@detain@|@ndaloj@
@deter@|@përmbaj@
@develop@|@laj, zhvilloj@
@developed@|@zhvilluar (i)@
@devil@|@djall, shejtan@
@devise@|@sajoj@
@devoted@|@kushtoj@
@devour@|@llup@
@dialogue@|@dialog@
@diameter@|@diametër@
@diamont@|@diamant@
@diary@|@ditar@
@dick@|@kar@
@die@|@vdes@
@differ@|@dallohem, ndryshoj@
@different@|@ndryshëm (i)@
@difficult@|@vështirë (i)@
@difficulty@|@zor@
@dig@|@gërmoj@
@digest@|@tres@
@digging@|@gërmim@
@dimension@|@përmasë@
@diminish@|@pakësoj@
@dining-rooms@|@mëngjezore@
@dinner@|@darkë@
@dip@|@fut, zhyt@
@direct@|@drejtë (i), drejtoj@
@direct one's steps to@|@drejtohem@
@direction@|@drejtim@
@director@|@drejtor@
@director's office@|@drejtorí@
@disagreement@|@mosmarrëveshje@
@disappoint@|@zhgënjej@
@disaster@|@fatkeqësi@
@discontented@|@pakënaqur (i)@
@discovery@|@zbulim@
@discuss@|@kuvendoj@
@disgrace@|@turp@
@dish@|@gjellë@
@dish with offals@|@paçe@
@disperse@|@shpërndaj@
@disquiet@|@shqetësoj@
@dissolve@|@shkrij, tres@
@distant@|@largët (i)@
@distinct@|@dalluar (i)@
@distinction@|@dallim@
@distinguisged@|@dalluar (i)@
@distinguish@|@dalloj@
@distinguished@|@shquar (i)@
@distribute@|@përhap, shpërndaj@
@district@|@krahinë@
@disturb@|@shqetësoj@
@disturbed@|@trazuar (i)@
@ditch@|@hendek@
@divan@|@divan@
@dive@|@zhytem@
@divergence@|@mosmarrëveshje@
@diverse@|@larmë (i)@
@divide@|@ndaj@
@division@|@ndarje@
@divorce@|@ndahem, ndarje@
@do@|@bëj@
@do in haste@|@marr me ngut@
@doctor@|@mjek@
@document@|@dokument@
@documentation@|@dokumentacion@
@dodger@|@qerrata@
@doe@|@drenushë, sorkadhe@
@dog@|@qen@
@doll@|@kukulla@
@dollar@|@dollar@
@dominate@|@sundoj@
@donkey@|@gomar, veshgjatë@
@don't@|@mos@
@door@|@derë@
@dormitory@|@fjetore@
@dossier@|@dosje@
@dough@|@brumë@
@dove@|@pëllumb@
@downhill@|@tatëpjetë@
@dozen@|@duzinë@
@drag@|@tërheq@
@dragon@|@dragua@
@drain@|@kanal kullimi, kulloj@
@drake@|@rosak@
@drama@|@dramë@
@draw nearer@|@afroj@
@drawer@|@vizatues@
@drawing@|@vizatim@
@dreadful@|@tmerrshëm (i)@
@dream@|@ëndërr@
@dress@|@fustan, vesh, vishem@
@dressed@|@veshur (i)@
@drink@|@pi@
@drip@|@kulloj, pikon, rrjedh@
@drive@|@drejtoj, ngas@
@driver@|@shofer@
@drop@|@pikë@
@drown@|@mbytem@
@drowned@|@mbytur (i)@
@drowsily@|@përgjumësh@
@drug@|@drogë, ilaç@
@drum@|@daulle@
@drunk@|@dehur (i)@
@dry@|@thatë (i)@
@duck@|@rosë@
@dull@|@budalla, trashë (i)@
@dusk@|@mugëtirë@
@dust@|@pluhur@
@duty@|@detyrë, shërbim@
@dwarf@|@xhuxhmaxhuxh@
@dye@|@lyej@
@dying@|@ngjyrosur (i)@
@eagerly@|@kureshtar@
@eagle@|@shqiponjë@
@ear@|@vesh@
@ear (of grain)@|@kalli@
@early@|@herët, shpejt@
@earn@|@fitoj@
@earth@|@dhè, tokë@
@earthquake@|@tërmet@
@easily@|@lehtë@
@east@|@lindje@
@easy@|@lehtë (i)@
@eat@|@ha, ha bukë@
@eaves@|@strehë@
@echo@|@shungëlloj@
@edge@|@anë, buzë@
@effect@|@veprim@
@efficient@|@efektiv@
@effort@|@përpjekje@
@egg@|@vezë@
@eh?@|@vallë@
@eiderdown@|@jorgan@
@eight@|@tetë@
@eight hundred@|@tetëqind@
@eighth@|@tetë (i)@
@eighty@|@tetëdhjetë@
@elaborate@|@përpunoj@
@elbow@|@bërryl@
@electric@|@elektrik@
@element@|@element@
@elevator@|@ashensor@
@eleventh@|@njëmbëdhjetë (i)@
@ellipsis@|@elips@
@elsewhere@|@gjetiu@
@embellish@|@zbukuroj@
@ember@|@prush, thëngjill@
@emblem@|@emblemë, stemë@
@embrace@|@përqafoj@
@emigrated@|@mërguar (i)@
@eminence@|@lartësi@
@emit odour@|@lëshon erë@
@emotion@|@mallëngjim, ndjenjë@
@emperor@|@perandor@
@emphasise@|@theksoj@
@employ@|@përdor, punësoj@
@employee@|@nëpunës@
@encounter@|@ndeshem, takoj@
@encourage@|@përkrah@
@end@|@fund, mbarohet, mbaroj@
@end less@|@pa fund@
@endeavour@|@mundohem, përpiqem@
@endorse@|@miratoj@
@endure@|@duroj@
@enemy@|@armik, kundërshtar@
@energetic@|@energjik@
@energy@|@energji@
@engaged@|@fejuar (i)@
@English@|@anglisht@
@Englishman@|@anglez@
@enigmatic@|@enigmatik@
@enjoy it@|@e gëzofsh@
@enjoy oneself@|@argëtohem@
@enormous@|@shumë i madh@
@enough@|@mjaft@
@ensemble@|@ansambël@
@ensure@|@siguroj@
@enter@|@hyj@
@enterprise@|@ndërmarrje@
@entertain@|@gostis@
@entertainment@|@argëtim@
@entice@|@ndjell@
@entirely@|@fare@
@entrails@|@të përbrendshme@
@entrance@|@hyrje@
@envelope@|@zarf@
@enviroment@|@mjedis@
@epic@|@epik, epope@
@equally@|@barabar@
@equipped@|@pajisur (i)@
@erect@|@ngre@
@error@|@gabim@
@erudition@|@dituri@
@escalation@|@shkallëzim@
@escort@|@shoqëroj@
@ethnographic@|@etnografik@
@eve@|@prag@
@even@|@bile@
@evening@|@darkë, mbrëmje@
@event@|@ngjarje@
@everlasting@|@përjetshëm (i)@
@every@|@çdo@
@everyday@|@ditë për ditë@
@everything@|@gjithçka@
@everywhere@|@gjithandej, kudo@
@evil@|@lig (i)@
@evil habit@|@huq@
@exact@|@përpiktë (i)@
@example@|@shembull@
@excavation@|@gërmim@
@excellent@|@përsosur (i)@
@exchange@|@ndërroj@
@excursion@|@ekskursion@
@excuse me@|@më fal@
@execute@|@zbatoj@
@execution@|@zbatim@
@exercise@|@stërvitje@
@exercise book@|@fletore@
@exist@|@ekzistoj@
@expect@|@pres@
@expectation@|@pritje@
@expend@|@shpenzoj@
@expenditure@|@shpenzime@
@expensive@|@shtrenjtë (i)@
@expert@|@mjeshtër@
@explanation@|@shpjegim@
@explane@|@shpjegoj@
@explode@|@shpërthej@
@exploit@|@shfrytëzoj@
@express@|@shpreh@
@expression@|@shprehje@
@extend@|@shtrij, zgjat, zgjeroj@
@extinguish@|@shuaj@
@extremely glad@|@gëzohem pa masë@
@eye@|@sy@
@eyebrow@|@vetull@
@eyelash@|@qerpik@
@eyelid@|@qepallë@
@face@|@fytyrë, përballoj@
@facing@|@përballë@
@fact@|@fakt@
@fade@|@vyshkem@
@faint@|@venitem@
@fairly tale@|@përrallë@
@faithful@|@besnik@
@fall@|@bie@
@fall down@|@rrëzohem@
@fall from@|@bie nga@
@fallow deer@|@sorkadhe@
@fame@|@lavdi@
@familial@|@familjar@
@familiar@|@familjar@
@family@|@familje@
@famous@|@njohur (i)@
@fanaticism@|@fanatizëm@
@fantasize@|@fantazoj@
@far@|@larg@
@far and wide@|@gjerë e gjatë@
@far-away@|@largët (i)@
@farmer@|@bujk@
@farming@|@bujqësi@
@farther@|@më tej, më tutje@
@fast@|@shpejtë (i)@
@fat@|@majmë (i), trashë (i)@
@father@|@baba@
@fault@|@faj@
@favourite dish@|@specialitet@
@fear@|@frikë@
@fearful@|@frikshëm (i)@
@feature@|@tipar@
@February@|@shkurt@
@feel@|@ndiej@
@feel hot@|@kam vapë@
@feel sleepy@|@më vjen gjumë@
